	Decent hotel at a decent price	This hotel is older with large rooms. You get a kitchen in the suite, so if you are a with a family that is a great addition (eat inside). If you need the space and want a low cost hotel, this is a great option.	
Dec 19 2008 	What a great hotel	what a great friendly hotel!Carole was the most welcoming of the staff however all were friendly. The hotel room was clean tidy, Very spacious and bathroom was good size.the hotel is in a good location and walking distances of all attractions if you don't mind a 20-30 min walk.good eating places too. try the black sheep for snack and the frontier for breakfast.the resturant was closed but definately going under refurb as i found out by pressing the wrong button in the lift and ending up in the basement.the staff were vey helpful and luggage can be stored. safe deposit boxes are giving free of charge. I felt totally safe walking around anytime.tip : take the shuttle bus from 42nd street to airport $15 bargin	
Dec 18 2008 	Good value in an expensive city	It is hard to find acceptable accommodations in New York for less than $300 per night. $200 is a steal. So when we secured a junior suite at the Eastgate for less than $150, it was too good an opportunity to pass up.Yes, the decor needs a bit of freshening. I was told that starting in January, the place would be undergoing renovations. Meanwhile, the furniture is serviceable and the space is very generous. All is clean and the beds are triple-sheeted so you won't see the blanket at all. There was a full kitchen and a comfortable seating area with sofa, chair and excellent lighting. We only had a view of another building but that meant there was minimal street noise. Bathroom was small but clean.The location is very convenient for most things. We had to take a train leaving from Grand Central Station which is just a short walk away. There are plenty of restaurants and shopping nearby.Our one peeve was that we could not turn off the heat. Thankfully, the window opened so the &quot;fresh&quot; air coming in cooled things off to a comfortable temperature.There is virtually no lobby. All the workers we encountered were friendly and helpful. We even parked in the garage in the building. This cost us $34 per 24 hours including all taxes. Not bad for this expensive city.We'll be interested to see how the renovations affect the pricing. Meanwhile, like other Affinia properties that we've tried, this is a well-run establishment.	
Dec 16 2008 	Wonderful!! Will definitely stay here again.	Quite simply a wonderful stay at the Eastgate. There was 5 of us, my husband and I and our 3 small children.We had a 2 bdrm suite with massive lounge, dining table, kitchen, 2 bedrooms, 2 bathrooms. All clean and spacious. Others have complained about the decor, but I'm not in NYC to critique hotel furnishings. Everything was functional and clean, which is all I wanted. It must surely be the BEST VALUE in NYC.The location was great, neighbourhood has lots of good restaurants (Patsy's Pizzeria on 3rd Avenue is great).I have no complaints at all about this hotel. Will definitely stay here again.	
Dec 9 2008 	It was OK	Just returned from a 4 nights stay at the Eastgate. Overall it was &quot;OK&quot;, as in a five and a half out of ten sort of way.Good points? 1. Location, and close proximity to eating and drinking establishments and the sights. 2. Warm spacious rooms with comfortable (though small) beds. 3. VFM (allegedly) - even at a discounted £200 a night.Not-so-good points? 1. The staff (with the exception of Carole on the front desk) are a bit &quot;precious&quot; and not naturally receptive.2. The constant &quot;whirring&quot; of the elevator through the night is a pain in the butt.3. The bedrooms, bathrooms and kitchen haven't been decorated for about 15 years.4. The reception area is the size of a broom cupboard.5. The restaurant on the ground floor - seemingly undergoing a refurb. since June ! - has actually gone bust. Just tell the truth about this.Overall: 5.5/10 = A promising attempt in some areas, though undoubted room for improvement (and attitudes).	
Dec 2 2008 	Great hotel for the price	Booked a junior one-bedroom suite for myself and two friends. It was comfortable and clean, with a nice pull-out sofa bed. We didn't use the kitchen, but it would be great if you were traveling with children. The location of the hotel is good, too. Within walking distance to Penn Station, Empire State building. etc. Neighborhood felt safe.	
Dec 1 2008 	Fabulous Place - will stay again!	It was my first time to NYC for shopping, and I booked the Eastgate Towers a week before I flew out due to a mix up with a previous booking. I was a bit shocked to find that the price was almost half of what I had booked in another hotel only 2 Avenue's down and EastGate Towers was amazing for the price. For the week in NYC I paid only 672 Euros!!! I had an upgrade to a junior suite upon arrival at no extra cost, and the Staff at the front desk were so so very helpful - Morgan did my upgrade. Staff are polite and very helpful - and always able to deliver prompt service when I needed it. I'm a bit of a clean freak when it comes to accom overseas, but I had nothing to complain about during my stay. Some of the floors however are smoking floors so you can smell a bit of it from the stair wells ... but then you're not spending more than a minute in the hallways waiting for the lift so it's no biggie.Around the corner from the hotel is a load of places to eat and drink and Frontiers cafe is serving up the best pancakes I've had in years ... two mornings I had to go back just for the coffee and pancakes ... Dunkin Donuts is a bit further down the street, as is a whole range of other places to grab a bite to eat. There's a NYC Steakhouse about 10 minutes walk from the front door, and also a ton of cocktail bars along the way into Times Sqaure.I've already had a look at my next dates in NYC and the rooms available in May. I'll will certainly be booking another stay there. The rooms are huge, the fridge is massive, the bathrooms are clean.	
Nov 30 2008 	Pleasantly Surprised	I was a little fearful of what to expect, this hotel was FAR cheaper than 2.5 star hotels we looked at. I looked at other traveler reviews and concur with what most say. These are very roomy rooms, we stayed in the Junior queen suite, which had a queen bed and a sofa bed. The decor is not great but not bad, I think the room looks better in real life than in the travelers' photos. Our room was comfortable and clean.There is tons of closet space and room to spread out. Our room had one large closet and two smaller closets, one dresser and two nightstands. There was a small kitchen with sink, stove, microwave, toaster, coffee maker and dishes, glassware, silverware and cookware and a table with two chairs. The elevators were reasonably quick for an older building and we had no problems at check-in/check-out.This hotel also had larger suites that could accommodate slightly larger groups of friends. I only had two fairly minor complaints, the location, though not bad, was not really near anything of interest, we were a 15 minute walk to most things, not bad. The other issue is even though the heater said cool and off, it was spewing out hot air and we had not control of this. We had to crack the windows (which is all they would do for safety reasons) and cover the vents with pillows to keep the room at a comfortable level. For the price paid, the space and quality, I would definitely stay here and recommend to others.	
Nov 29 2008 	Relaxing break	This was a good hotel. Initial impressions were of a very average NY hotel with not much atmosphere, dated decor etc. We stayed 6 nights and it soon became home, warm and welcoming, plenty of space in our room (14th floor) facilities and friendly staff.It is located within easy reach of the centre and Gr Central for subway. We had a few meals in Frontiers on the corner and had no complaints (hotel restaurant is closed). We would use this hotel again as it wasn't bad value, particularly given proximity to city centre.	
Nov 21 2008 	Good location basic hotel	Hotel location is great eay walking distance from everything. Hotel itself was not like the photos, the rooms were out of date and needed modernising, and there was a lingering smell everywhere. The room size is really good, but the decor dated. Only 2 lifts as well, so sometimes a bit of a wait. i would not stay here again.	
Nov 11 2008 	Great Location	I stayed in a two bed apartment and there were five adults sharing. The apartment was spacious the kitchen facilities good, two clean bathrooms with lots of storage very handy and it was serviced daily by very lovely ladies Elizebeth mainly looked after our apartment she was lovely.I was worried about the 5th person sleeping on the sofa bed and they were very comfortable we left the sofa made up as a bed as we were not in much and the aprtment so so large. There was lots of wardrobe space everywhere so room for everyone.The location was excellent for site seeing, grand Central was only a short walk for subway. Nice bars and restaurants all in walking distance. The staff at Eastgate Tower were very attentive and informative, they arranged our airport transfer in their own SUv since there were five of us so saving us several tops with the airport shuttle service. The beds were also very comfortable.	
Nov 4 2008 	loved the eastgate tower	first time visitors to new york. just returned from 10 nights at eastgate tower. hotel really great.pleasant speedy check in, great sized room (junior suite) with adequate kitchen. House keeping was good and everybody very friendly. Location just perfect, fairly quiet but close to grand central station for every where that you want to go.Some great eating houses/bars within 100 yds.an earlier review mentioned that there was no safe in the room.on enquiring at reception they gave us a safe of our own in a room behind the front desk. (no charge at all, unless you lost the key)overall i would stay there again as we were very comfortable.ps. great irish bar just around corner for good food and drinks.(out of hotel, turn left to top of street, turn left again and it is just down there on your left)also great chinese restuarant - out of hotel, take road opposite,at end of road turn right and it is just down there on your right.	
Nov 3 2008 	Good if you need a kitchen	I recently visited NYU to give an invited lecture, and my hosts booked me at the Eastgate, which is a convenient place to stay if visiting the NYU medical center, just a few blocks away. The hotel has an odd layout. It is 25 floors tall, but each floor has only 7 rooms, all located within a few feet of the elevators. My room itself was spacious, and had a full kitchen complete with 4-burner stove and oven, pots &amp; pans, microwave, and under the counter refrigerator. There was also plenty of closet and dresser space for the 'extended stay' traveler. But the bathroom was so tiny it was a trick to close the door while in it, and the overall decor was pretty tired. Bed was fine; ancient heating system had two temperatures: Arctic or Amazon Rain Forest. But the noisy fan tended to block out street noise, which was a plus. No food available at the hotel. Overall, I'd pick this for an extended stay, but for a normal business trip it was nothing special.	
Oct 30 2008 	Great hotel	Just home after 7 nights at the Eastgate tower it was great . The staff were very helpful , after booking a room with two beds when we got to our room it had only one bed it took staff only 30 minutes to sort it and move us to new room . the room was big with kitchen and it was very clean . The hotel is very quite at night.  All in all our holiday was made all the better by staying at the eastgate.	
Oct 28 2008	Definite recommendation	We thought this hotel was great. It was quiet (which is quite something in New York!) with a big room, clean and tidy. The kitchen we had with our suite was perfect for our needs (breakfast each day before setting out to explore the town). The staff were pleasant and helpful. The area round the hotel was safe and non-threatening, and local shops and restaurants were useful as well. And not far to walk to Grand Central, Empire State, Broadway, 5th Avenue, etc.All in all an excellent choice, and I wouldn't hesitate to recommend this hotel to friends looking to stay in New York.	
Oct 14 2008 	tired hotel	We stayed 5 nights, this hotel is tired, shabby, dark and noise, we stayed at 8th floor a joiner suite. Ok the room is a good size but very dark, dirty wall tired carpet, rust in the bathroom cupboard, and the room has a strange smell, the noise is every 30 second or so from the underground trains, the area is good, this is our third visit to New York the previous two times we stayed at the Affinia Dumont at 34th street we loved there. but this time no room was available. I did tell the reception about my concerns but she said all the rooms are the same in this hotel.	
Oct 5 2008 	it was okay	So i stayed here for 5 nights with my partner, we paid about £850.upon arrival, the check in seemed rushed, and so we got our room on the 10th Floor. It was a non smoking room, and we have booked a smoking room. So had to go downstairs to check in again, and we got a room on the 12th floor. The room was okay, average. The lobby is more fancier than the rooms. Housekeeping was good too. The only negative thing i have to say is that there is not a proper lock, and even though we had the sign to say do not disturb they tried to come in. And there is no safe in the room. Also, the restaurant is getting refurbished and we were told that we could order in food from nearby restaurants. However, upon check out, we were charged with the telephone calls (local calls) which seems a bit unfair. We also asked to check out later at 3pm rather than noon and Donna was very accomodating, they would have ususally charged but it was waived. We were also able to use the computer in the lobby where you can check in and print your boarding passes for free. We also wanted a cab to get us to the Newark airport from the hotel, but the concierge recommended private hire, it was 68 dollars in total plus toll which was really good.Location wise, i would say its a 20 minute walk from times square and empire state building (not 10mins!) It was in a quiet area, theres a 24 hour pharmacy across the road, and a mcdonalds and other shops. Overall it was okay, but I probably wouldn't stay there again. The	
Oct 3 2008 	All good!	The Eastgate Tower Suites is a winner - a great location in Murray Hill close to the Chrysler and Grand Central and an easy walk to midtown, Fifth Ave etc and Central Park!Staff were welcoming and rooms very generous! Great view from the 19th floor too. Clean and comfortable, just what you need, a great base to explore the city from.We booked through Expedia and this hotel looked by far the best we could get for our budget and we were not disappointed. A good value hotel that is pleasant and welcoming - with huge rooms!	
Sep 16 2008 	What a great hotel!	We stayed at Eastgate Tower hotel for 6 days and thought it was a great experience. We arrived to the hotel early in the morning and they were kind enough to check us in straight away.There were 3 of us and we were provided with a junior suite which was huge and cheap (thanks to Expedia) so we were very impressed. The room had a lounge, a kitchen and a great sized bathroom.In terms of position, it was perfect. The hotel was close enough to everything. We stayed at another hotel for the second week of our stay which was closer to Times Square and it was too noisy. The area Eastgate is in is quiet, close to Central Station and great shops while being within walking distance to Times Square. There were great little terrace homes typical to the nice areas of New York surrounding the hotel too.We loved our stay at Eastgate and will return next time we are in New York.	
Sep 5 2008 	Enjoyed the Eastgate a great deal!!	We arrived at the Eastgate after landing at Midday at JFK and arrived before check in time. I had called prior to arriving as I realised that we would probably arrive before official check in and I wanted to ensure that we could check in early if needed. The answer was yes and when we got there true to their word they were ready for us to check in.We are a family of four, two children a girl of nine and boy of thirteen. We checked into our 2 bedroom, 2 bath suite on the 9th floor and were surprised at how large the suite was, absolutely amazing!! Each bedroom had it's own TV, it was clean and obviously very well kept and.On arrival we put our bags down and hit the streets almost immediately, stopping at the front desk to ask about places that we wanted to visit. Jenifer directed us to this fantastic camera shop (B&amp;H) so off we went, great tip.The staff were friendly and we stopped daily to ask for guides on how to get to different places and even got tips on where to eat, fantastic deli called Sarges on 3rd Avenue, great deli ‘ The Frontier’ on the corner of 3rd for breakfast and great Sushi on 2nd Avenue. The location of the hotel is great, the UN is just a few blocks away and conveniently this is where you pick up tour buses.It is clean and has a very cosy feel. It is not lavish, but is well kept and the space in the rooms is fantastic. The lobby is small but pleasant and the staff are very amicable. Special thank you to Donna who checked us in and out. If you want a hotel that is very ornate and in the middle of Time Square you will have to pay a great deal more. The Easgate is great value for money and is still within good distance of most things in the city. I have attached some pictures to help you with your decision, hope they help. We all enjoyed it immensely…highly recommended!!	
Sep 1 2008 	We Loved Eastgate Tower Suite	Arrived home from a weeks stay about an hour ago and felt compelled to write and sing this Hotel's praises.Had never been to NYC before and neither had my daughters 13 and 17.Spent a good deal of time locating a hotel on the internet and have to say that Tripadvisor swung it for me.Located other seemingly more swanky hotels but this one (I couldnt afford Trump Towers etc.) ticked the boxes and had much better reviews than other more expensive places.We were not disappointed.We had a junior suite which comprises a huge L shaped room with a huge bed my daughters shared and a very comfortable sofa bed that Dad occupied,a dining /writing postcards/quiet area, bathroom with exy shower and kitchenette (we didnt eat in cus eating out is so cheap - we ate out for as little as $50 for 3 at the nearby Frontier Diner(better than Euro Diner I see mentioned in another review,and a minute away) tho also spent as much as over $300 at Keens Steakhouse which was excellent too...got to push the boat out sometimes.Anyway room was brill and big and ideally suits a family.I see the Hotel has 2 bed Suites which I didnt know.They must be brill.Moving on from accommodation.Price.We paid something slightly over £1200 for 7 nights.Think you will find that is value for a very central location and for 3.As someone else said,only 10 min walk from Grand Central for the subway and altho I wouldnt recommend it with young children or 'whatever' teenagers and in Summer it can be hot,one can walk to alot of places.On my last day I walked from the Hotel to the Guggenheim museum (about 89th Street from memory) and which is further up Central Park than the Met Museum,and back.Staff were lovely. I read a review indicating that they were unhelpful.Nothing could be further from the truth.They are extremely friendly and helpful.Just ask whatever at reception and you will find help willingly and expertly given.Want to go on a helicopter trip then reception will refer you to Carlos ,one of the lobby staff.Need a taxi,Patrick from Shannon,Ireland who has been in the USA for 25 years will sort it efficiently and talk to you about football - which he loves (Celtic).(Black Lincoln booked to pick you up at the Hotel at your stated time for JFK is $50 plus $5 toll and whatever tip($10) .So location,accommodation,price and staff covered,hopefully you get the picture.Okay if money is no object you may well do better but for a mid priced hotel,Id be surprised you could do better on all counts elsewhere.Oh and what really did it for me was the adjacent terrace/plaza.The highlight of each day was sat there on my own (daughters watching american telly) take away coffee in hand ....smoking.Pure pleasure!Best takeaway coffee one block up on other side of road.	
Aug 30 2008	Good Central Location	We stayed for 3 nights and found the rooms basic but clean. The location was central and was a good base for sightseeing. 15 mins walk from Times Square. Rooms had kitchenette which was useful for food from nearby deli. Found a really good deli on Lexington and 41 st. - great breakfast rolls and bagels. Staff in hotel were in the main helpful but some seemed a bit put out. We found other USA guests were more forthcoming with guidance than hotel staff.The reception had a free safety deposit service which was a bit of a palaver and would have preferred something in the room. The bar/restaurant next to the hotel was under refurbishment so can't comment on this. The area seemed safe but some nearby restaurants closed early.	
Aug 15 2008 	Check your bill when you leave!	The hotel is generally OK but getting shabby - good for an extended stay as there is a kitchenette, basic but functional and clean. Some of the staff are a bit surly (as in &quot;customers are a nuisance&quot;). The hotel book in the room said that calls to 1-800 and 1-888 numbers are free for the first 20 minutes. On checking out I saw that every call I made was billed at $ 2.66 (even for two minutes) - when I queried it they showed me a bit of paper that said $ 1.50 for the first twenty minutes which did not match the charges built into their computer system. (By the way WiFi is charged at $10 per day while many other hotels provide it free - in any case the signal was not strong enough in the higher floors).Because of the discrepancies the reception called the duty manager who did not explain or apologize and in the end after making me wait re funded me the calls. I reported this to the HQ of Affinia who did not bother to acknowledge or reply. Suggest you check your bill for unexpected charges before you leave.	
Aug 5 2008 	Very Impressed	We stayed 5 nights at this wonderful hotel. Perferctly located within walking distance of so many things.We arrived and were greeted by very helpful and courteous staff.We were quickly checked in and went to our room. They were completely full and unable to accommodate our request for two beds, however they told us to come down the next morning and they would take care of us. The rooms were nice, nothing special but had everything you need.The next morning we went down and they told us we could move to a new room later that morning. We told them we were leaving and would be back for quite a while and the reply was &quot;no worries, we will move your items for you&quot;. When we returned late that evening, I was surprised to see they hadn't missed one thing, even the items in the fridge.Everyone was very nice and informative. We asked for different suggestions, directions and other thing. We always received great information.I would stay here again in a heartbeat.	
Aug 4 2008 	Great Hotel - Great Staff	I read a lot of hotel reviews before selecting Eastgate Tower Hotel for our 8 day stay in NYC. This was our first time traveling to NYC and I read a lot of bad reviews on various hotels throughout the websites. So of course, this made me nervous in booking a discount hotel. Our entire stay at Eastgate Tower was wonderful. We had NO complaints. The room was large and clean. There was no problems with the AC, elevator, staff, etc. Our room was cleaned daily with plenty of fresh towels put out each day. We never heard noises out in the halls or through the walls. I can't say enough about the staff. We stopped at the front desk every day, sometimes twice a day to ask questions, directions, recommendations, etc. They never failed us. The employees went out of their way to help us with our questions, look up information on our their computer and recommend great restaurants to eat at. On my next trip to NYC, I plan on staying at the Eastgate Hotel. I have already recommended the hotel to friends. Our first trip to NYC was wonderful. We loved your city!!	
Aug 3 2008 	Disappointed	I read all the reviews on Tripadvisor before deciding on Eastgate.so i think i was surprised when we saw our room. I knew the furniture and decor would be &quot;basic&quot; but i guess i thought it would be clean and functional.I thoroughly agree with the assessments about the staff being friendly, but honestly i felt the reason that is so noticeable is because of the shortcomings.As an example, the 2 Bedroom supposedly had a full kitchen with all the necessities. Well, there were only 2 plates and 4 glasses, no pots and pans etc. So, i had to call to get it.After a while, i got tired of calling. There weren't enough sheets, pillows towels, you name it.the furniture was old and dirty as was the carpet.Here is my conclusion.... It appears those that got a real deal loved the place. But I paid almost 2 thousand dollars for 5 days... I know it was a holiday weekend, so expected to pay more. but I would never stay there again.Worse yet, they keep sending me emails with weekend specials... Geez!!	
Aug 2 2008 	Dirty room - 30 years worth of dirt	My husband booked here because it is near his NY office and the hotel he usually uses is no longer giving him a frequent-user discount. I came several days after him and found the room to be pretty gross. It is in severe need of renovation - the shabby industrial carpeting had a trimming of decades worth of dirt and dust at the floorboards, the furniture is cheap and shabby, and there was mold growing on the ceiling above the shower. I would not walk barefoot on the carpet. We got booked into the W Tuscany hotel the next day - more expensive, but 10 times the quality for the extra money. No, I did not tell the staff the reason for our sudden departure - the place needs a complete overhaul and that can't happen in one day.	
Jul 23 2008 	Impressed!	Wow! From the moment my wife and I stepped in, to the moment we checked out, the service was top notch and our room very clean. We stayed 4 nights here and the location is quiet, safe and within walking distance of anything you need to enjoy in the Big Apple. The king size bed was very comfortable, the bathroom spotless, and had a kitchenette complete with cutlery and dishes. We received a call the evening we arrived from the front desk asking if there was anything they could do for us to make us more comfortable, and if so to please let them know. We also received a call the day before we left confirming our check-out time and also asking if there was anything we needed. Certainly one of the best hotels I've had the pleasure to stay in. We would recommend it to anyone.	
Jul 22 2008 	Great Location!!!	We travelled to NYC for a short 2 night girls weekend away. We arrived at the Eastgate Tower Suites and were amazed at how cute this hotel was. The lobby was decorated beautifully and the staff were very friendly. To our surprise they upgraded us the a bigger room. The room was clean and HUGE! It had a full Kitchen, dining room area, bedroom with 2 beds and pull out couch. There were 6 ladies all together and this room gave us plenty of room to get ready and sleep. The location was great. It is a short cab ride to Time Square, 5th Avenue, and all the shopping areas. We walked there as well and the walk was not too bad at all. It was also in a great location for all the hot Manhattan Night Clubs. Next time I visit NYC I will definitley be staying here again.	
Jul 21 2008	hidden gem for downtown nyc	If i were to travel for any reason to NYC, this would be my first choice for accomodation. Its only 2 and half stars but thats only a number! The rooms are huge, the kitchenette basic but has fridge, sink, microwave, plates cups, microwave, coffee maker etc. The hotel is not shiney-new and there was no breakfast room but its on a par with hotels costing double in the area. The hotel clean, functional, big for NYC and v central. A couple of blocks from Chrysler and across the road from Hertz rental station, whihc can be hand for leaving the city.The staff were v friendly and discreet...dare I say even hands-off.	
Jul 19 2008 	Wow big room	We stayed just one night with our two teens in a Jr Suite on the second floor. I was amazed at the space. We ordered a roll away bed so our teens would not have to share the sofa bed and we still had plenty of space to move around. There was a toaster, fridge, coffee pot. Also NO street noise even on the second floor. There is no ice machine, kinda weird and also no hangers in the closet, so bring your own. Most other reviews are accurate on the distances to times square and the location in a quite neighborhood, and also on the somewhat dated furniture, (and I can't wait for hotels in general to get the new tv's AND digital cable! ) but the place was clean and comfy enough, and the staff is friendly. AND the price was good at $300 for a Friday night.	
Jul 17 2008 	Perfect for a large group or family	We stayed at the Eastgate Tower at the end of June, and it was the perfect place for us. We booked two one bedroom suites for a total of 8 people and had more than enough room. We arrived on a red eye into JFK and showed up at the hotel at about 7 a.m. and they allowed us to get into one of the rooms (the other one wasn't ready yet), which allowed us to catch a couple hours of sleep before we headed out to explore the city. (We also had a late flight home and were more than happy to hold all our luggage until we left). We were pleasantly surprised that there was a full bath and a 1/2 bath (sink &amp; toilet) in each room. We went to Gristedes and bought some groceries (there's one a couple blocks away) and ate breakfast in the room every morning. The kitchen only has the essentials (including a toaster) but everything was clean and in working order. We ordered in pizza one night and had plenty of room for 8 to sit (4 chairs at the dining table plus a desk and chair, and a chair in the living room and the sofa which turns into a bed). Our rooms were also on the 18th and 23rd floors and had views of the city (although the Empire State building was blocked by another building). The hotel itself is located in a mostly residential area (Murray Hill) and there aren't any hotels immediately adjacent to it, so it is fairly quiet. However, the closest subway station is at Grand Central, about a 10 min. walk, which doesn't seem bad until you have to walk back to the hotel from there after already walking around all day! Of course you can always catch a cab to avoid walking, but we are cheap and walking affords you to see more of the city anyways!If you are traveling to the city with a large number of people or a family, I would highly recommend you check into the Eastgate Tower.	
Jul 17 2008 	Ouch!	Let me say the good things first: spacious room, attentive bellman, great valet parking, location close enough to Grand Central and subways.Okay now for the part I don't like to write about but this stay started off as a complete disaster. We arrived for the 3pm check-in time that the hotel stated. We were told it would be 20 minutes more as the room was not ready. The bellman took our luggage up to the room while we went and sat outside. We checked back 25 -30 minutes later and were told the room still wasn't ready. The front desk person asked housekeeping to call her when it was done. She explained that the previous party had stayed for a late checkout... not sure why we had to suffer though...We checked back bit after 4 pm after sitting outside on the table and chairs next to the abandoned restaurant that once occupied the hotel building. When we went in and asked, the front desk person still hadn't heard about the room. She called housekeeping and they said that they didn't know if it was done and that the front desk should send the bellman to check on it. The bellman was no where to be seen at this point so we had to wait until 4:30 when he went up and gave the okay. We received our key-cards and headed to the room.Arriving in the room we found it to be dated but fairly clean and very spacious with nice city views... room 17 G. However, even though we booked a &quot;two queen beds and another queen bed suite&quot;, we got a &quot;two queen bed with two twin bed suite.&quot; We even had Expedia call for us to verify that was what we would get but we didn't end up with it after all. The front desk explained that it can not guarantee a room type even though an Eastgate reservation person had guaranteed this to Expedia. We had to have a portable twin bed brought up so no one had to sleep in the living room.It was at this point we noted that the air conditioning in the twin bed room did not work, so we placed another call to the front desk and they said they would send up maintenance. They arrived within the half-hour and looked at the a/c unit. He determined it was a broken condenser and said the entire unit would be replaced but he had a new one. A short while later he returned with the massive unit and began to do the replacement. We were unable to unpack as this room was the scene of some major construction! About 30 minutes later he determined that the new unit was also bad and decided to try one more unit.The dinner hour was upon us and we were starving... but we had no idea if we would be keeping this room as it was partially un-airconditioned and it was 90 degrees outside. After waiting another 15 minutes or so, I went down to the front desk to discuss the general suckiness of our visit thus far and to speak with a manager. She arrived and her name I believe was Donna. She was very nice and helpful. She said she was willing to move us to another similar suite (2 queens, 2 twins) but it was on the 13th floor which was the smoking floor. We weren't too thrilled by that. She asked us to come see it and smell it with her as she felt most people don't smoke much anymore. We went her and it was nice and did not smell that much and had more up-to-date kitchen appliances.At that point, my cell phone rang... it was my wife and she informed me that the new a/c unit was in and working, so we went with Donna the manager to confirm. It worked great!Unfortunately it was now 7pm which was 4 hours from our scheduled check-in. After unpacking, we got to eat and proceeded on our late evening with the kids who were antsy and cranky now.Things seemed to be progressing... at least until I laid upon the most uncomfortable and squeaky twin bed I had laid upon since my childhood. Fortunately the days events had tired me and I slept well.The next morning, we all showered and tossed our towels on the floors in the bathrooms. We returned from a theatre matinee around 6 pm, ready to shower and go out to dinner at a nearby restaurant. Showers were put on hold because there was not one single towel in our room!So, of course, I called the front desk. They said they would tell housekeeping.30 minutes later, no towels, so I called again. Again they said they would be right up.Another 30 minutes passed as I was about to reach for the phone again, the towels arrived... but there were only 3 of them... for 6 people. I asked the house keeping person why and they told me that they had run out of towels.Weird. They have tons of extra a/c units but lack towels?Well, some of us skipped showers and I went to the front desk on the way to dinner. I told them about how silly the towel situation and they promised more towels.When we returned from dinner, there were stacks of towels in both bathrooms and an extra big stack in the living room. I guess they bought more???Anyway, After that our remaining three days were quiet and went smoothly. 2 of 4 nights/days were just fine.. is 50% okay for a visit that cost nearly $2k? I am not sure yet....	
Jul 12 2008 	BIg Room	Stayed here for 5 days and the whole stay was a pleasure. Staff were friendly and was allowed to book in early ( 11.30am). We had a 2 person studio on the 13th floor, the room was large and clean with a good a size bed ,small kitchen and a small but clean bathroom. Good base to see New York.  Don’t really have a bad word to say about this hotel but as the reviewer before me said, if you don’t have the money for a hotel in Time Square, this is a good alternative.	
Jul 10 2008 	Bit dissapointed!	We were on the top floor - 25E.It's a large &quot;suite&quot; - queen sized bed - in a large room with ensuite bath/shower &amp; toilet.There is a kitchenette off the main room, and a sofa bed which makes up into a quite comfortable double bed.The hotel is showing its age! Carpets and general decor are grubby. When we were there (4th.to 8th. July) the restaurant was closed for renovations. Not a big problem for us as we intended eating out anyway. Located on East 39th Street, the location is quite good. Maybe a 15 minute walk to Time Square.Accommodation in NY is ridiculously expensive - so we paid 4 star prices for this 2 star accommodation.	
Jul 4 2008 	Enjoyable Place to Stay	We stayed at the Eastgate tower for 7 nights and it was a very good expierance. Location: It is about 5 minutes walk from the UN Embassy, 10 minutes from Grand Central Station and about 20-25 minutes walk from Time Square. We found that most of the places we needed to go to started from Time Square so if you don't want to walk there each day you can take a taxi for around $8 (includes tip) or take one of the many buses that drive buy, which costs a $2 a ride. Room: The furnishings were basic but everything was clean and tidy. We didn't really use the kitchen to cook due to as the New Yorkers say &quot;Why cook when you have 36,000 restaurants&quot; also it worked out similar in price to eat in as it did to eat out. If you are a light sleeper like me then be warned that in the summer the air con is loud and even if it is switched off you can still hear everyone elses (pair of ear plugs sorted the problem for me).Staff: Really friendly and helpful.Overall I would say to anyone who has the money to get a hotel closer to Time Square, however if you cannot then this is a really good alternative.	
Jun 29 2008 	GREAT!	Just got back from a 3 night stay. I shopped around quite a while to find a hotel that was within our budget that appeared clean. This was the perfect place! Our room was spotless. Sure, the furniture was a little outdated, but who cares, it was clean! We traveled with our 13 year old son in a jr. suite and had more than enough room. The bellman brought our bags up and immediately asked if we needed to have the sofa bed made up for the evening. Within 5 minutes the doorbell rang (my son got the biggest kick out of the fact that our hotel had a doorbell) and housekeeping arrived with the bed linens. The entire staff, from the bellman to the front desk to the maids were all very friendly and helpful. They made us feel like we were staying in a 5 star hotel. Great little neighborhood that was close enough to walk to things, but yet just far enough away to be a little more quiet (if quiet is possible in NYC). We would definitely stay here again and would recommend it anyone.	
Jun 29 2008 	BRILLIANT CHOICE!	We stayed 3 nights at Eastgate Tower from 2nd June 08. We loved it. The best location, safe, even for walking out on an evening. Just around the corner from Grand Central Station! We stayed in a studio. Ok the funiture is a little dated but the room was spotless and clean towels, toiletries and coffee replaced as soon a we used them. Great to have little kitchen, table etc. Our only regret was not asking for a higher floor. We were on the 7th but better views from higher up. The reception staff were very helpful and welcoming. They gladly helped us with any information we required. Used internet in lobby. We would recommend it to anyone and would use it again next time.	
