	Excellent Midtown Location - Great Value	Neighborhood is nothing much, but it's a great location to get to everything, and near Penn Station and Bolt/Megabus stops. Very new and clean. We were there on a Saturday night so noise wasn't a factor, but based on the printed notices in the room, the &quot;white noise&quot; generator in the room, etc. it could be a problem, especially garbage trucks, on a weekday morning - I'd ask for a high floor if you were staying on any night but Saturday. Staff is extremely pleasant and helpful. Rooms of a very decent size for NYC. Restaurant with bar on the premises (for dinner and possibly lunch - no breakfast). Continental breakfast of average quality included in room rate.	
Sep 11 2009 	Immaculate and new.	I had a completely positive experience at this hotel. The rooms are tiny and I was alone, but other than that it was great. Staff was wonderful.	
Sep 10 2009 	Inexpensive but unremarkable	This hotel is clean and fairly inexpensive, by New York standards. There is a nice exercise room in the basement, with cardio equipment and free weights. The business center in the lobby is available 24 hours per day. The hotel is located on a fairly quite block right in the fashion district. The beds are quite comfortable. The rooms are small, but typical to New York. All in all, the hotel is fairly nice. My only complaint is that the hotel is unremarkable. You can stay in a dozen other hotels, at this price, near this neighborhood, and have the same experience. In other words, there is no good reason to stay at, or avoid, this hotel.	
Sep 9 2009 	GREAT HOTEL VERY COOL ROOMS GREAT LOCATION	This hotel just opened after being refurbished, the rooms are decked out really cool. Very nice bathrooms (spacious showers, no bath tub thou). The staff is very nice and attentive. the two rooms I stayed in were small, but space is used well and they felt quite cozy and ergenomic. very cool lighting in the rooms, A/C works great, bed, pillows, and coverings were soft and comfy. I didnt use the room service but judging by the rest of the service it would have been great. had breakfast in the restaurant and a few beers at the bar, good stuff. the workout room is small, but has a couple good machines, treadmills, and free wieghts. I had an awesome stay and plan to go there again!	
Sep 9 2009 	Excellent Hotel! Will Stay Again!	Just returned from a 2 night stay at the Wyndham and loved it. My husband and I were in NY for the Tennis US Open, so we were not in the hotel much, but what we saw of it was great. The hotel is very modern on the inside and out. The hotel staff was wonderful and very attentive to our needs. Check in and out were a breeze. The hotel has 3 internet stations in the lobby with free usage for all guest. The printer is also available. Big plus and made checking in for our flight very easy and quick. Continental breakfast was also served with the option to upgrade to the breakfast buffet for only $7. The rooms were small but very clean and tastefully decorated with modern amenities, including a flat screen t.v. and nice comfy linens. The exercise room is a nice size and the equipment worked, was durable, and totally top of the line. Several complimentary items are availabel upon request, like bottled water, toiletries, or any items you may have forgotten to pack. All in all the place was great. Kind of located on a deserted block, but it's only a 6 block walk to Time Square and close to all major shopping. We got a great deal on travelzoo.com.	
Sep 8 2009 	The best deal in New York!!	To anyone interested on going to New York on a kind of budget travel, this is the place to stay, if you are looking for luxury go somewhere else. We were going to stay for a couple of nights and then move to Queens for the US Open, but after those two nights we decided to stay for the total of our trip, very convinient, excellent location, super staff. This is the place to stay in New York, breakfast coupons that you could use at the cafeteria or at the starbucks on site (even at noon or later, did not had to wake up early to have breakfast). If you are in the 40K to the 70K, do not think about it, this is your best cost/benefit option.	
Sep 8 2009 	Nice	This was a very nice hotel, for the price we paid, however they don't tell you that they charge you a $50 per room extra recovery cost to you seperate from this price when you check in, still has yet to be reversed like they say it will, rooms at discounted price is small, overall it was the best looking hotel compaired to others	
Sep 7 2009 	Would stay again	The 2 elevators were a bit slow but everything else was great. I booked a deal that included breakfast and that was well worth it..choice of bagel or pastry, coffee or tea, yogurt or fruit. I checked my bags with the hotel after checkout and the all my belongings were returned without harm. The location was off the beaten path just a bit, being a single female I might not have felt that comfortable traveling alone at night. It's several blocks down from Port Authority which has shady characters but for the most part I think they'd leave everyone alone. There was also a 2 Bro's pizza that offers $1 slice near there.	
Sep 7 2009 	Wyndham By Request	I had forgotten about signing up for Wyndham By Request. What a nice surprise to find a split of red wine, a high quality fruit plate and two bottles of water waiting when we checked in.We stayed at this hotel five nights. The room was small, but very well organized and clean. The bathroom was spotless and really quite large compared to the room. The breakfast staff was excellent-very friendly and hard working.The only two draw backs were: 1. The slow elevators in the morning. 2. Walking west on 36th street after dark is a bit scary.Our Travelzoo deal gave us excellent value for the dollar. We would stay there again without hesitation.	
Sep 7 2009 	Great location modern rooms beautiful bathroom	This hotel is in a great location. Close to all the action on 32nd Street. Visit Manhattan once every couple of years will stay at this hotel again. The hotel staff were extremely accomoating. One of the best overall staff experiences that I have witnessed throughout all my years of staying at New York hotels. Room was very modern, comfortable size for a couple sharing a king size room. Bathroom was very nice large and modern.	
Sep 6 2009 	Great Value and Location	Hotel and its' amenities are fantastic value. Staff very helpful and accommodating. Location is great, couple blocks to Penn Station (Madison Square Garden) and 3 or 4 blocks to Times Square, Broadway, Macy's, and Empire State. Two blocks to subway station that has easy - no transfer trains to downtown and direct to Yankee Stadium. As some reviewers noted, the location is a little isolated and quiet in the evenings, but we didn’t run into any problems - allowed for restful sleeps. Hotel very helpful for tour, transportation information. If your coming from Newark airport take the train to Penn Station....15 bucks a person -- Leave right from the airport terminal. I know where I’m staying next time I come to New York...this one’s a keeper.	
Sep 4 2009 	A fabulous place to stay in NYC	We went to NYC for a quick 1 night sight seeing trip. Found a good deal on TravelZoo for the Wyndham Garden. After reading the reviews here I could not agree more- the place is great. The rooms are a little small, but it is NYC. The staff at this hotel is so nice and friendly- everyone we had to interact with was a fabulous statement about what is important to the management. We ate in the restaurant for dinner and breakfast and had good meals and service for both. I would highly recommend a stay here!	
Sep 1 2009 	Awesome!	This hotel is located right in the heart of everything that is New York!	
Sep 1 2009 	Great Place to Stay!	I decided to go to NYC alone for an overnight trip of relaxation and shopping. The hotel was great!! I arrived about 11am and my room was ready. The staff was very friendly and helpful. My room was clean and the bed was amazingly comfortable. The hotel is a short walk from Penn Station, Times Square and Macys and only 2 blocks from the subway. If I could say one thing negative it would only be that the 300 block of W 36th street was very quiet with only a few resteraunts on the block and many of the buildings boarded up this could be a concern for some. Being alone I did not feel threatened at all, but it was a quiet block. I would definately stay there again.	
Aug 29 2009 	A fantastic hotel for a fantastic price and with a fantastic location.	I stayed with my aunt for a four night trip to NYC. We found this hotel through TravelZoo and received a free breakfast at the Starbucks on location with this package. Upon arrival we were quickly checked in. Our room was quite small but it was very clean, had great toiletries and the bed was extremely comfortable. I can say nothing but good things about the room. The staff were very helpful and friendly and genuinely welcoming.The hotel was a two or three minute walk to the nearest subway station so it was easy to get to anywhere in NYC. It was a 10 minute walk to Macy's for great shopping. It was also a 8-10 minute walk to Times Square; I did this walk late at night by myself and did not feel unsecure at any time.I found only two small things wrong with this hotel - at checkout times the elevators took a while to arrive at your floor; there were three computers for guest use but some patrons spent quite a bit of time on them while others were obviously waiting. Perhaps a note regarding time limits would serve as a friendly reminder that there are other guests. I would not hesitate to book this hotel again for my next trip to NYC.	
Aug 25 2009 	Great Hotel	We stayed at the Wyndham Garden hotel on aug 22, 2009. The hotel was perfect. The rooms were clean, the beds were comfortable and the staff was friendly. The location was great too. I would stay here every time I come to the city.	
Aug 25 2009 	Didn't disappoint - great value!	We discovered this hotel through a great promotion with Travelzoo. At $172 per night (inc. taxes) we felt we got exceptional value. The hotel is located within walking distance of Penn Subway Station, Macy's, the Empire State Buidling and Times Square. Just a half block away from the hustle and bustle of 8th Ave. the Wyndham Garden is in a very quiet and unassuming neighborhood. During the day we walked or took the subway everywhere and at night we felt safer walking. One of the hotel staff pointed out the 18th Precinct is directly across the street so safety just isn't an issue in this part of the city.As soon as you step inside the hotel's doors you get a feel for the entire place - a relatively small hotel by NewYork City standards, but it's very big on friendly staff, cleanliness and newly and tastefully decorated rooms. We received a complimentary room upgrade to one of their 'clean air' rooms on the 4th floor and were relieved to find the room not as tiny as we'd anticipated from reading earlier reviews. Apparently the larger rooms are on the lower floors. Our king size bed was exceptionally comfortable and everything from linens, to a lovely bathroom, nice furniture and a large screen TV made our stay very comfortable. We spent most of time exploring the city so only spent time in the room to sleep so having a spacious room wasn't that important to us. The fitness center is small, but the machines are new and in excellent condition. Our only disappointment with the hotel was the restaurant. We tried it twice and were disappointed both times, so ate out for the remainder of our stay. We would definitely recommend this hotel, especially if you were like us in trying to find an affordable place in which to stay so we could spend our money on other activities.	
Aug 24 2009	Wyndham Garden Hotel - Times Square South	This hotel is in excellent condition and the staff is very, very helpful. The bed was very comfortable and the bathroom was clean and bright. Our package included cocktails and breakfast - both were great. My one tip - - we left the theater district as all of the shows got out on a Friday night and thought we would find dinner on our way back to the hotel. Once you leave the theater district (where everything was very crowded), the options are slim to none after 11 pm! The hotel staff was very helpful in arranging pizza delivery (it was hot and delicious!) We would definitely stay there again. Great value - but more than that, clean, safe and an extremely helpful staff.	
Aug 23 2009 	Great value beautiful hotel	Easy to locate. Staff was incredibly helpful. Room was immaculate, with even a good view on the lower floors. Everything is just clearly new (the furniture, the bathrooms, etc). The free breakfast was awesome. The bartenders are friendly. Free internet. Place just feels green and airy - lots of plants, windows, glass walls, etc. Free drinks as well with the deal we had. Bed was awesome, a/c unit new and wonderful, big TV and air purifier. You cannot get a better deal in NYC, I guarantee it. Next time we go, we will go here again! Very close to Penn Station as well.	
Aug 16 2009	Great hotel	I was on a budget on this years trip to nyc.. having recently stayed at the millenium UN plaza and paying over 200 dollars a night, i wanted to keep it under 150 dollars this time but not compromise location and cleanliness/service. i found the wyndham garden on 1800hotels.com, at a much lower rate than the hotel website as well as expedia and the other search engines. Overall, my stay was great. Room was immaculate, the cleaning ladies were quick and efficient, and the location of the hotel was perfect. I would recommend this hotel to anybody, and if the price is right for my next nyc trip i would love to stay here again.	
Aug 16 2009 	great value-better than anticipated	One of the best deals out there-very clean,comfortable,close to everything. More amenities that you expect for the price-how often does that happen??	
Aug 15 2009 	Fantastic Manhattan hotel but stay up high and in the north side	This is a gem of a hotel. Nearly brand new (even the google streetview shows it being in construction) and located just two blocks north of Madison Square Garden, one block from the subway. It worked great for our brief stay in New York City on both ends of our honeymoon. The rooms are small (typical for Manhattan), but effective. A/C works great. The first stay had us in a room on the 15th floor on the north side of the hotel, which was much quieter than the second stay which had us on the 5th floor facing 36th St. I didn't sleep much that second stay due to the noise of garbage trucks rumbling by and sirens. Look for good deals on Travelzoo for this hotel! And check out the bar on the 10th floor--it's fantastic (although $9 for a beer is crazy!!). Staff was VERY helpful, and they were able to hold our luggage on checkout day while we putzed around the city before an evening flight out of JFK.	
Aug 15 2009 	Great location great hotel	Very nice hotel. Rooms kinda tight...but it's NYC. Close to 34th Street/Macys and 42nd St, and subway. Staff was very friendly and helpful, room (and hotel) were very clean, and the7y stopped by in evenings to refresh. Nice fitness center, and if not enough, free passes to local fitness center. Lemonade in the lobby in afternoons. Starbucks in lobby, along with full restaurant. I'd stay here again in a NY minute.	
Aug 12 2009 	Very clean and perfectly located	Very nice property. The rooms were not large however I didn't expect that given the location in NYC. I've been to hotels in NYC where I didn't get much sleep due to the noise but this was very quiet. The staff was extremely helpful and gracious. Good location --easy to walk everywhere or hop on the subway.Beds were very nice and linens lovely.	
Aug 12 2009 	Beautiful accommodations and convenient location	The rooms have been recently renovated - very clean rooms, comfortable beds, lovely tiled bathroom...very pleasant experience	
Aug 11 2009 	More than you can ask for"	Location. Service. On-site amenities. View (by Mid-town standards). My wife and I stayed 4 nights at this hotel through the TravelZoo promotion and were not disappointed. A couple years ago we stayed on Madison Ave near the Empire State building and found this location much more convenient. You are only a few blocks from Times Square, the Theatre District and Restaurant Row. Penn Station is just down the street as is the Port Authority. Beds are comfortable, rooms are clean and the continental breakfast was a special bonus. We would definitely return.	
Aug 11 2009 	Great location....	Stayed at this hotel for 3 nights, got a great rate on Travelzoo for $139 for 2 of those and $159 which included a continental breakfast such as bread, bagels, fresh fruit and yogurts...you could upgrade to a buffet breakfast for $7.99 but we didn't....the hotel is smoke free except for the outdoor patio....the staff were extremely helpful and courteous, the rooms were immaculate ....loved the bed and the air cleaner that was in the room...spacious bathroom and great spa products (hard to believe a hotel with decent products eh).....also free high speed internet in rooms which we loved having....restaurant on site was fine but there are so many choices in NYC.....the location was great, a 10 minute walk to times square, practically around the corner from Macy's and Penn station....the street the hotel is located on is being renovated there is scaffolding everywhere....parking is down the street at the New Yorker for about $40 a day.....the hotel was described on these board as &quot;A Hidden Jewel in the Rough&quot; and so it is......will stay here again for sure...	
Aug 8 2009 	Good clean hotel in a central location worth the money.	Our family of three stayed here for 4 nights.Enjoyed clean room, all things were working, breakfast was good. Room size was small but considering the times square location, that is acceptable.I had booked through Travelzoo. The best rate one could get in that vicinity.I shall stay here if I were to come again and I strongly recommend.	
Aug 7 2009 	This will be my hotel in NYC from now on!	Look no further, this is the place you should book. First, location: I was able to walk EVERYWHERE from the hotel on 36th...the Intrepid, Radio City, Times Square, Macy's, Penn Station, saved $ on transportation...it was ALL within walking distance. The room: my single (full sized bed) room was small, yes, but that's NY real estate...I have stayed in some BAD hotels in NY and I would prefer to have a small but absolutely SPOTLESS hotel room. I'm not kidding. No speck of anything on the carpets or in the bathroom. Spotless. The bed: probably the best bed I've ever slept in. Now that I'm at home, I miss THAT bed. Conveniences: doormen incredibly helpful with directions and even go to the corners to hail cabs for you. Tip them, they deserve it! Breakfast bar was reasonably priced and a great way to start the day. Good bagels &amp; coffee drinks. Nice booths with internet access to help make plans or check email. Did not try the restaurant, but my room overlooked the patio bar, and everyone seemed to be enjoying the night air. I chose this hotel because of the price and to get Wyndham points, but the reviews here sure helped, and people weren't lying. This place is absolutely wonderful.	
Aug 6 2009 	The most comfortable hotel bed I have ever slept in	The sheets were wonderful and the mattress and bedding were outstanding. We stayed only one night but will definitely go back. The room was quiet and included some very nice touches - including reading lights on the bed, to allow me to read without disturbing my husband,, Though it is not the closest hotel to theson that we were visiting, it is very convenient to everything else. Just a couple of blocks from the Lincoln Tunnel and the subway, not to mention Times Square.	
Aug 5 2009 	Great Hotel for The money	I just returned from New York and though the rooms are small the hotel is clean and attractive the location is perfect if you have business to do around 7th Ave the staff were helpful and very courteous check in was very smooth.I will return to this Wyndam again it gets an A+++in my book.	
Aug 4 2009 	Not Worth the $	I booked a Travelzoo weekly bargain deal. We paid $185 for 1 night (plus breakfast &amp; free cocktails). The room was the smallest room I have ever had at any hotel ever. There was no closet, NO CLOSET. That is how small the room was. The hotel staff was not friendly at check in. The Front Desk did not answer the phone when we called down. The deal we booked was overstated--1 &quot;free cocktail&quot; with the purchase of any other beverage and the items stated on the &quot;free breakfast&quot; were not available. The location of the hotel was ideal for our trip, but I have stayed in many other, larger, more well appointed hotels in the city, and would NEVER recommend this one.	
Aug 2 2009 	The Garden That Never Sleeps...	So New York isn’t all buildings as the skyline may suggest. Add some geraniums and sunflowers and you’ve got a delightful combination. You may not consider the appeal of the juxtaposition, but I say it’s necessary; especially during the spring and summer when you want to be outside and amongst nature. No need to catch the next jitney to the Hamptons for the weekend when you can bask in the sun on the Wyndham’s tenth floor terrace or in the serene restaurant lounge. Managing to capture the chic style that is New York, the hotel takes beauty a step further by adding in some gorgeous greenery, carrying the theme throughout the design of the hotel. After a day of shopping or a night at the theater, this retreat is especially enlightening. Avoid feeling overwhelmed and just feel refreshed at the Wyndham. Sit either outside on the patio garden or inside a dining room with glass walls over looking it and you can’t go wrong. With a light and healthy (but definitely satisfying) meal, you’ll get the energy you need to take on the city. I was especially impressed by the appetizers and the drink—there’s nothing like ordering an iced coffee and getting it made at the neighboring coffee shop (another feature of the hotel), in a plastic cup, to go. Read your morning paper, even sneak an email-check on a lobby computer (at your table), but don’t feel suffocated for a second—the lovely atmosphere is constantly reminding you that you’re on vacation.	
Jul 28 2009 	I Don't Know How They Do It!	We stayed at this great find for only one night because we were moving around and only had a night in the Big Apple. We found the hotel on a competitive website and were impressed by the reviews on Tripadvisor. The value is fantastic. Not only did we get a room for a very low price by New York standards, but also got turndown service, a huge breakfast (they call it continental but with eggs, meats, potatoes, and all the rest) it can get you through the day. In addition we each got a drink on the house at the 10th floor outdoor bar. The room is small, but well designed, spotless,with lots of goodies in the beautiful bathroom with a terrific shower. There is internet service and a great desk. True there is not a huge amount of closet space, but for the price -- it's great.Some people complained about the elevator service in previous reviews. We stayed on the 26th, the top floor, and the elevators were fine.The location on West 36th St. is safe, a stone's throw from Macy's and the bargain shopping nearby. We walked the the Five Napkins a restaurant on 9th and 45st and the streets were crowded and safe.There is not much to complain about this hotel. The room might be a bit small for an extended stay, but the service and the value cannot be beat. From now on I shall check out the Wyndham chain -- and no I do not work for the company -- HONEST!	
Jul 28 2009 	Great hotel - clean gracious service it has it all!	This hotel exceeded our expectations in so many ways. Our room was typical NYC small but laid out very efficiently and made good use of the space. The room was clean and I appreciated that the bathroom had enough space to spread out a little bit (no putting my makeup bag in the sink because of lack of counter space!).The hotel is slightly off the beaten path but only a couple of blocks from Penn Station. I can't say I felt any more or less safe with the neighborhood that my other adventures in NYC.Our rate included both welcome coctails and breakfast for each morning. The coctails were able to be used whenever you felt like it (not necessarily upon arrival if you choose otherwise). The continental breakfast was AWESOME! There were two options: buffet style hot breakfast or a &quot;grab and go&quot; choice. We elected grab and go both mornings which allowed us to choose 3 items from the following: yogurt, Fiji bottled water, Naked smoothies/juice, other juice, assorted pastries and bagels, fresh fruit. In addition, coffee is also included and can be lattes, etc from their barista. They graciously toasted our bagels and smeared them with as much cream cheese as we wanted. We honestly had so much food that we put some back in the in-room mini-fridge (along with the complementary water that they refill daily or more often if you ask).Each floor has only about 8 rooms and while we were close to the elevator it was very quiet. In all, this was a great find and I would be happy to stay here again.	
Jul 26 2009 	Nice find in NYC	Had a mommy/daddy getaway with my wife this past week. Hotel was small, but new and very clean. Our room was a King/Allergy Efficient, it was very cruiseship like (SMALL), but it is NYC! It was very clean and comfortable for 2 people. The hotel is a bit off the beaten path, W36th between 8th and 9th, but within walking distance to Times Square (5blks), Madison Square Garden (2blks) and Penn Station (Subway). We also found out that 9th Ave has many fine (locals eat here), restaurants which are a couple blocks off of Times Square. Small chic little eating places, family run and operated (NO CHAINS). All in all a nice find for NYC, quite a bargain with a TZOO deal!	
Jul 25 2009 	It's the little things that count...and missing them detracts considerably	Some friends and I decided to meet in NYC for a reunion weekend. We both booked concierge-level rooms through the Travelzoo rate.For starters, despite multiple requests, not only were our rooms not close to one another, we were on different floors.We got to the hotel early and left our baggage, which went smoothly, and checked in. However, when we returned, the staff asked me to check in again, and didn't seem to know I'd already given the paperwork. Nor did they have the breakfast coupons available but I had to ask for them.When I got to our nice (NYC-sized--meaning small--but no surprise there) room, it had two comfy looking beds, nice bath amenities, a bathrobe (but no slippers, which were supposed to be part of the concierge-level stay), and...two containers of someone else's yogurt left in the fridge--eww. Big notch down for that.I called about the omission of welcome cocktails, which are part of the concierge-level, and was told I could have the breakfast as part of the rate but not the drinks (not a big deal, but if it's part of concierge level, it should be consistently applied). I asked about the slippers and was offered to have a robe sent up. Um, I had one of those already.Good points: nice location (a litttle farther from Penn Station than I'd thought, though), clean room (except for the yogurts left in the fridge), and a reasonable rate through Travelzoo for a Manhatten hotel.However, as a travel agent, I find that the details really matter, and there were just a few points that didn't make this a 'wow' experience.	
Jul 23 2009 	Very impressed! Super clean super nice and I'm super happy!	I had a wonderful stay at the Wyndham Garden Hotel - Times Square South. I have stayed in NYC on may occasions and at many different hotels. This is now my absolute favorite hotel! On this particular stay, I was completely elated with the overall service and quality of accommodations. Every single employee I encountered (front desk, wait staff, cleaning staff, etc.) were courteous, professional and happy! The room was clean, bright and very comfortable. The restaurant was excellent and the drinks were perfect! I will be recommending this Wyndham to all friends and colleagues. (Even my dog was happy with the hotel. I brought my Miniature Schnauzer on this trip and the hotel staff were very welcoming to her too!)I would have given the Wyndham 5 stars, but the location is a bit off the tourist path. It's walkable to Times Square and Rockefeller Center, but it's not ideal. Technically, this is considered Hell's Kitchen (or right next door). It's a mix of residential and commercial (with most of the shops being a bit sketchy). Don't misunderstand, I had absolutely NO problems during my stay and would absolutely stay there again because the room and customer service were perfect.	
Jul 22 2009 	Great hotel great location and freindly staff!	My husband and I just stayed at this hotel and we have nothing but great comments. The location was safe and withing walking distance to the subway and many sites in the city. The room was small but that is typical of NYC hotels. We found a great rate that included breakfast and welcome drinks. We would definitely stay here again.	
Jul 22 2009 	What a deal!	Found a $129 + tax rate on Travelzoo including continental breakfast and welcome drink. Despite the location on 36th St between 8th and 9th avenues, I decided to go for the deal. It was really worth it. Very fast and friendly check-in, small room but very clean, nice bathroom and very compfy bed. Flat screen tv and small refrig. Longer walk that usual to Times Sq and I wouldn't walk alone as single female (I had my spouse with me) down 9th ave at night alone but 8th seemed fine. Three computer terminals in the eating area for free guest use and apparently there is wifi in the rooms but we didn't use (no laptop). Nice outdoor bar on the 10th floor where we got our complimentary drinks. Continental breakfast isn't served until 7:30 in the Greenhouse area but you can select items from the bar area instead before then (juice, fruit or yogurt, muffin or bagel or cereal, coffee or tea). Helpful concierge; smooth check-out. Especially for this price, or even a bit more, I'd stay here again.	
Jul 21 2009 	A gem!	Very nice stay. Great staff. My stay included continental breakfast and internet access. The one downside is the location (gritty street but not unsafe) but then again everything is nearby . The street quickly disappears with a few minutes of walking. The village is only minutes away by subway.	
Jul 16 2009 	Was beyond our expectations!!!	We just got back from a two night stay in NYC . One of the highlights of our trip was our hotel. The room was beyond what we could have hoped for--clean, spacious and affordable. It was close to everything--Times Square (15 min.) , the Gershwin Theatre (20 min.) and the subway (2 blocks). It was wonderful to come back to such a clean and inviting oasis after walking through the streets. The staff were friendly and helpful. We will certainly come back to New York and the Wyndham!!	
Jul 15 2009 	Loved it no major complaints! Great staff!	We stayed at the Wyndham Garden Hotel - Times Square South for 2 nights. The hotel was clean, quite, and in a great location. I thought we got a great deal for the price we paid and valet parking was included in the price. The room was on the 4th floor and was very small but this was to be expected in New York City. We really didn't spend a lot of time in the room during the day or evening anyway. The walk from the hotel to the center of Times Square was about 8 blocks but there is so much to see and do that you hardly notice that you are walking. It was about 25 blocks to Central Park, took us almost a half an hour but we enjoyed the walk. The front desk staff were very friendly and helpful, Cathy was very professional and fixed a minor issue with our bill at checkout. One more thing that was a plus for me was the FREE WI-FI. Overall, it was a very pleasant experience and we will definitely recommend and/or stay here again!	
Jul 14 2009 	The only negative is that you never want to leave your room!	I rarely travel and so when planning this trip to NYC, I wanted to be sure it was good. In tough times like these, it's more important than ever to spend the few bucks you have wisely. On my last trip to NY several years ago, I was left with one indelible memory: a room that reeked of smoke. I can't even remember the name of the place, but I had requested a non-smoking room and was given one that was obviously a smoker's haven. When I complained, I was told the hotel was full and couldn't change. It was too late at night for me to check out, so I braved it. They sent up some woman who sprayed something that made it all worse. I checked out the next day, but the smoke went into my suitcase and everything had to be washed. I vowed that this would never happen to me again. So this time I looked for hotels that are totally smoke free. Well, the Wyndham was beyond my wildest dreams, for not only is it smoke-free, but it offered an option to choose an &quot;allergy free&quot; room that featured air purifiers, hypoallergenic sheets and so on. We stayed three nights and the only negative was that we hated to leave the room! I cannot describe how wonderful and comfy the beds were, and so quiet! We overlooked the restaurant and courtyard. Usually, wherever I sleep, including at home, I sniffle through the night and end up stuffing Kleenex beneath my pillow. I couldn't believe it. From the moment I entered the &quot;allergy free&quot; room, I never used a single Kleenex. The service was great and friendly. Breakfast came late one morning (by only 15 minutes)and they insisted it was on the house! The food is also organic--cage free eggs and so on. The tomato basil soup was fantastic. I will never stay anyplace else in NYC. Three blocks from the Port Authority so we got to the subway in a flash, and of course Times Square also a short walk away. Go, Wyndham! Kudos for the allergy free and non-smoking, healthy policy. I couldn't believe how reasonable the prices were, too!	
Jul 12 2009	Great Girls' Weekend!	Stayed the one night and loved the valet service. The staff was more than attentive and the matriarchs of the group loved how the rooms were well appointed and the accessibility of all the ammenities in the hotel. Great proximity to Times Square and all NYC shopping. HIGHLY RECOMMENDED	
Jul 7 2009 	Excellent	Great location, lovely comfy, large bed, room was very compact but really we only used it to sleep, lovely shower room, plenty of towels, would definatley return.	
Jun 30 2009 	Great location great quality!	Stayed in Wyndham Garden Hotel for 6 nights in June. We booked our room via travelzoo and got very good rate for a room with a skyline view. Our room was on 23rd floor and, though not too big, was very comfortable and clean. We could see the top of Empire State Building from our bed! Great power shower in the bathroom and spa toiletries. All members of staff were nice and helpful. Lovely breakfast area and patio as well as 10th floor open-air restaurant - fantastic for relax after long day of walking around. Free wireless internet worked perfectly. If we ever come back to New York I am sure we will stay there again.	
Jun 30 2009 	This is a great hotel in a convenient location!	We just got back from a three-night stay at the Wyndham Garden and had a great time in NYC and at this hotel. I travel to NYC for pleasure 7-10 times each year; this hotel will be toward the top of my list for options. It's not a luxury hotel, but it's a lot better than others out there at the same price. If you are getting to NYC by subway, Amtrak, or one of the bus companies from Boston / Philadelphia / DC, you will not find a more convenient hotel. You can walk from Penn Station.The hotel looks and feels brand new. The lobby has a coffee shop / bar as well as a big seating area where you can use the Internet, for free (slow connection, though). If you bring your own laptop, you can either use the complimentary wi-fi in the lobby and in your room, or bring a ethernet cord and use it, instead. (Speeds are fast in your room.)The restaurant on the first floor is serviceable. The complimentary continental breakfasts (muffins, coffee, boxes of cereal, toast/bagels) were mediocre, but you can upgrade and pay for a hot meal.The rooms were large enough. If you know NYC hotel rooms, you'll think this room is big enough compared to other hotels. If you don't know NYC hotel rooms, you might think the rooms are small. I think they are large enough. They fit a king-sized bed, two bedside tables, an armoire, a writing desk, a table with a fridge underneath it, and a flat screen TV. All looking brand new.The bathrooms are done nicely. The shower leaked on the floor, which was annoying. Otherwise, perfect.The elevators are slow; we were on the 11th floor and walked half the time. They were probably no more slow than in other hotels, it was noticeably slow during check-out and dinner times. There is an outdoor 10th floor patio where you can sit and have drinks. On a nice, warm, summer afternoon, it's a fantastic way to start your weekend.Great, friendly staff. Easy checking in, easy checking out.I'd give it a B+, maybe even an A-. There was loud music one morning - not sure if it was a guest or something else going on. The elevators were slow. The showers leaked. There wasn't a lot of cabs right outside the door (just walk to 8th or 9th Ave). That's about all that I can say bad about it. We paid $149 per night, weekend rate, with free continental breakfasts and free drink coupons! So, good value for the money.Location is as important to most people. You can walk to Times Square from the hotel. You can walk up and down Ninth Ave to find a fun place to eat.	
Jun 29 2009 	Incredibly slow elevators!	A friend and I stayed here for two nights during a conference. We landed here via a great rate on hotwire, but I'm not sure it was worth the hassle. For 24 floors, the hotel only has two very small elevators. Each night (a Thursday and Friday), the hotel was packed and the elevators moved at a snail's pace. We waited 15 minutes on multiple occasions, finally giving up and resorting to taking the winding, narrow stairs to and from our 12th floor room. The staff was neither apologetic nor particularly interested that we were struggling to get to and from our floor. The room itself was incredibly small but worked well as a place to simply sleep and store luggage. It was clean and pretty new, but we were unable to get hot water throughout our trip (probably because the hotel was so crowded). The neighborhood isn't the greatest at night (a tour bus parked outside the hotel received a nice splattering of graffiti overnight), but the hotel's very convenient to Penn Station trains/buses/subway and to Times Square. I'd consider staying here again for another low rate, but would make very sure I had a room close to the ground floor.	
Jun 29 2009 	Very good value!	My gf and I stayed for seven nights in room 1801. I called the hotel 24 hrs in advance to ask for a room on high floors, as I heard comments on street noise. The hotel rep was very kind and told me he could not guarantee my request as the hotel was overbooked, but he would put a note on my reservation (priceline). No mention of priceline at check in and in a matter of minutes we were off to our room which had lovely views of the skyline towards the river and the buildings nearby. The room was very small, in fact our bathroom was big half of the room, but it was spotless and well kept. The airconditioner was noisy. Flatscreen tv with HD channels was a plus, Wolfgang Puck coffee was pretty good. The maids were polite and very efficient. I found the breakfast buffet very good but terribly overpriced : 50$ for two buffets - tax and tip included is pricey on my opition. But then it's NYC. Wireless internet worked flawlessy. Location was good and the area was safe, we have NEVER felt unsafe and we walked back to the hotel fairly late at night. Very recommended if you can reserve through priceline/hotwire/travelzoo and save about 40% off the rack rate.	
