	Rooms are small but overall it was a great hotel - I'd stay here again!	I would highly recommend this hotel - not only is it in a fantastic spot in Manhattan (walking distance to 5th Ave and the subway etc) but it's neat, tidy and a decent price.Our room had 2 single beds inside, I must admit it was much smaller than I expected, but it didn't bother us one bit - we're in New York, if you're going to spend extended amounts of time in your room, then you're crazy! So the tiny room suited us because all we did in there was sleep. It was clean and comfortable and was within our budget ($1000 for 5 nights - booked on expedia).I highly recommend this hotel and would definitely stay here again.	
Jun 16 2009 	Good Clean Fun!	I was frightened at first after reading some of the terrible reviews about the 30 30. My friend and I arrives June 11th and were quickly given the key to our room on the 8th floor, and we soon went down to the 6th floor to visit a friend who was staying at the hotel with us. We had a quaint two twin bed room with a large bath, while our friend had a larger room with a queen and smaller bath. Both rooms were CLEAN! We had a very pleasant housekeeper who replaced out towels and made out beds daily. The front desk was prompt when we locked ourselves out of the bath room and replaced room keys at no charge if they were either lost of forgotten in the room (note that the replacement of a key imprints a new code so don't try to use the old key at a later time, it won't work). This is a great place to stay if you are planning to visit the city. Clearly, this is not the Waldorf with 24 hour room service, a spa, or any other luxury one might pay for. But that's just it, this is a clean safe hotel with a great price and location. If you require more you will easily find it in NYC, but not at this price.	
Jun 16 2009 	Do not stay here	This hotel had mixed reviews but we thought it couldn't possibly be that bad - it is!! The first room we were offered was filthy, and not just housekeeping issues - it needed new carpets and re-wallpapering to remove the stains of previous occupants.Did you know they let 70 of their rooms to &quot;tenants&quot;? These appear to be people who are a bit down on their luck and by some means have electcted to live in this establishment. Check out the front door of Room 1228, it looks as though the authorities have attempted forced entry on more than one ocassion.Eventually, after inspecting a further four rooms we upgraded to a deluxe - we had to pay extra, plus tax of course. This was a smoking room, but at least we could recognise the smell in this room.Staff not too friendly, apart from Joanna the Polish receptionist who was very helpful and concerned for our plight.	
Jun 7 2009 	Bargain rates and great location	great value for ny. $117 per night. Staff were helpful, room was clean. Coffee maker and fridge in the room. Maid service daily. View of the back of other buildings, and the air conditioner was noisy. But for the price I felt it was a bargain. Basic rooms, clean and safe.	
Jun 6 2009 	A nice hotel for your trip	I stayed at Thirty Thirty hotel 7 nights during 28th May and 4th of June 2009. Before my journey to NYC I read some reviews of this hotel. Some people weren't recommended this hotel at all.My 7-day stay at this hotel was very pleasant experience. I had made my reservation via internet site (www.hotels.com). When I made my room reservation, there was a great offer available and the room price was very reasonable comparing to many other Manhattan hotels (my room rate were 655 euros for 7 nights including all the taxes). When I went to the hotel, the reception personnel were nice and friendly. I got my room very quickly. My room was in the 11th floor. Room itself was quite small, and didn't have a nice view from the window, but there were everything I needed. Bathroom was fine. Room was cleaned and towels changed every day. Air condition was little bit noisy, but it was efficient. The fitted carpet should be renovated. There should be also rooms available without carpets (rooms for allergic persons). I asked, but they didn't had.I found this hotel also well located. A Time Square surrounding seems to be very noisy place (lots of people and traffic). The hotel room in lower midtown was perfect for me. There were not so much traffic during the night time. All the sightseeings and theatre district were either in walking distance or reachable by subway (two subway station quite near, in 28th street).It's very difficult to find a hotel room in manhattan at very reasonable price. In many other cities in Europe you get same level room much more cheaper. The price I payed, was the maximum price I like to spend for the accomodation. If the room price were have been different, I would have stayed somwere else in NYC. Now it was a very good choice for me.	
May 31 2009 	The Price Matches the Hotel	We just got home from our 2 night stay (5/29-5/31). The lobby &amp; hallways are not as trendy as shown, but were clean and nice. Our room (mini - king suite) was very clean and the bathroom was large &amp; modern. The bed was extremely comfortable. For a suite it was on the smaller side. The receptionists could have been friendlier, but it didn't ruin our stay.	
May 31 2009 	Adequate facilities front desk staff need more customer focused training	My wife and I have just returned from a four night stay at the Thirty Thirty Hotel. From the time we booked in until we checked out the front desk staff, concierge and doormen excepted, were curt. On two occasions our electronic door key failed and we had to ask them to recode them. They did so but rather begrudgingly. On another couple of occasions we asked for some small dollar bills change so that we could use the internet facility, both times we were told to go to the restaurant because they didn't carry change.Please don't be fooled by the photographs of the rooms. We were in a room on the twelfth floor next to the elevator, it was basic very small but adequate. If you are looking for something on a more grand scale from our experience you won't find it at Thirty Thirty.Location was good with easy access to 5th Ave and Broadway although Times Square and the theatre district is quite a walk away.	
May 23 2009 	good mid town hotel	have stayed here 3 times before, small rooms basic but thats all you need in New York. this hotel is just around the corner from the empire state building. my 1st trip to New York i stayed in The Plaza on the corner of 5th ave &amp; central park ave where most movies are filmed over looking centrel park, the rooms were bigger but 4 x the price &amp; other than 5th ave it was to far away from resturants etc which tend to be mid town. there is a lovely resturant in the thirty thirty, also a lot of dinners around the thirty thirty for breakfast. i would recommend get a cheaper hotel like the thirty thirty &amp; spend the money upgrading you flight.	
May 22 2009	Underwhelmed by the Thirty Thirty	I had booked the Thirty Thirty hotel as a treat for my mother's 65th birthday. The hotel website gave the impression of being a 3*+ boutique hotel and I took the pictures and blurb at face value. I wasn't expecting the world but I thought I had landed a great bargain and somewhere we would look forward to returning at the end of our long days exploring New York.Unfortunately, we were in for a real disappointment. The lobby and service are fine. Nothing special, just OK. The area where the hotel is situated isn't too bad although it's not that great. It's a five minute walk from the Empire State Building although the approach from Fifth Avenue is rather ropey with run down shops with graffiti. All acceptable up to this point.The real horror story was our room on the third floor. The walls were scuffed and dirty, the twin beds (two singles) were adequate, the carpet looked dirty and the air conditioning unit was extremely noisy. The porter who brought our luggage up to the room hurriedly pulled down the (dirty) blinds in the bedroom and bathroom to mask the hideous outlook from the windows. The lighting consisted of a neon light in the corner of the room and a table light. This made the small room look and feel dingy. There were no tea or coffee making facilities (is this not standard everywhere in this day and age?) and internet access was not free. The (tiny) wardrobe was not a full size and there were only four coat hangers. The only plus was the bathroom which was an adequate and was clean. Certainly not a hint of luxury or a 'wow' factor. Nor was it a relaxing haven at the end of our days. That's what you really want on holiday, isn't it? And we didn't want to pay the earth - we shouldn't have to to get the basics.Other contributors have suggested what great value Thirty Thirty is. I beg to differ. Value is when you receive fantastic service or a wonderful experience at a really good price. The price here is not exorbitant, but it is expensive compared to the overall service and quality of the hotel. You are left with a feeling of dissatisfaction when the overall level of service is poor and you are paying for it. And you don't always want to complain when you are on holiday. Although I do hope this review is a warning to others who are tempted to stay at the Thirty Thirty.I left with a sense that I had been let down and what should have been a special week for my mother was spoiled by the standard of the hotel.Someone suggested the Thirty Thirty is effectively good quality student accommodation and it certainly has the feel of student digs. I would recommend paying a little more and paying for the basic services expected in a hotel - tea and coffee, cleanliness, space - rather than suffer here. It's the little things that can let down a holiday - in this day and age internet access should be free in hotels. There should be tea and coffee making facilities in the rooms.The adjoining restaurant was hopeless for breakfast but there are plenty of other options so that didn't really bother us. The Crooked Knife restaurant opposite was worthy of mention as being a good bolt hole for the evenings when we wanted something quick - first night and pre-theatre.I had e-mailed the hotel several weeks before our holiday to say that I was bringing my mother for a special birthday treat and to confirm we would have a twin room with two beds. I did not receive a reply which I guess should have been a sign that all was not well with this hotel.I would definitely not return to the Thirty Thirty and I could not recommend the hotel to anyone, other than perhaps back packers or students who are looking for a base from which to explore New York City. It is on a par with a good hostel rather than anything approaching 3* even city standards. A shame, because I was hoping that I had hit upon a gem!	
May 21 2009 	poor hotel and worse breakfast	Just spent one night in this hotel. The location is pretty good but the staff and the room were really bad. Absolutely avoid the beside Zana restaurant and breakfast room related to the hotel, I guess it is the worst place to eat in NYC.This is my first and last time in Thirty Thirty although the position is nice. Of coourse I won't come back again.	
May 15 2009	Don't Worry its perfectly good.!!	i stayed in the 3030 with my mum for one week between mar30 and april6th 2009. after booking this hotel and reading some of the reviews was a little concerned but figured it couldnt be all that bad as im not that fussy!! and i was Right. the hotel was less that the estimated 45mins from airport. lobby was impressive ans reception desk was staffed by two. arrived in nyc bout half 4 in the evening, no line to check in but a few gathering in lobby. staff were friendly on check in and very efficient. a smile from a new guest goes a long way remember,.location of the hotel is perfect for sightseeing. we had good weather and walked EVERYWHERE: got two taxis for the entire week and both were at night. the room was small but clean and bathroom was very clean and shower was huge. well stocked with toiletries and clean towels which were replaced every day. bar downstairs was good for simple tea and toast breakfast and waiting staff were very friendly every day giving us the table we liked best to look out the window at the morning pavement activity. Gift shop downstairs makes it easy to buy the magnets and postcards so you wont have to carry them around the city with you!!no problems with this hotel during entire trip. would def stay there again and have recommended it to people here since my return. good for the traveller who wants a good location for sightseeing,(empire state building was bout ten minute walk, and you can get the sightseeing bus from there if your doing that, central : about the same distance from central park as to statue of liberty/ellis island-we walked to both) shopping, evening entertainment (broadway was a ten minute walk to see mamma mia. ), restarants and coffee shops all within seconds of a walk. beds comfy, can self control temp in rooms, plenty hot water in shower(didnt run out all week),if you want a bed for the night to enjoy the city , this is your best bet, but a romantic trip may want somewhere else if you want chocs on your pillow!! enjoy new york cant wait to go back.	
May 15 2009 	Very centrally located helpful efficient staff	We arrived very tired after 20 hr flight from S. Africa. They allowed us to check in early. Rooms were clean, comfy, but a bit small. Probably true of most NY hotels. Close to Empire State Bldg, Macy's and great 24hr Deli- Suzi's. I would stay here again. Also reasonable.	
May 13 2009 	Cosy and convenient	After having booked this hotel through a travel agent we were in fear and dread after reading reviews that labelled it the hotel from hell. But in fact it is a great little hotel for those who want a convenient location, good neighbourhood services like coffee shops, delis and restaurants before or after a frenetic New York day. The rooms are small but most people are only in the hotel to sleep. Our room was spotlessly clean, with towels etc changed each day, and lobby staff were extremely helpful. We would stay there again.Eddie D Oxford England	
May 11 2009 	Fantastic Hotel and Great Location!	We stayed at the Thirty Thirty Hotel over the Easter Break, on a girls weekend away. The location is brilliant, central but on a quiet street. We found the staff to be very helpful and friendly, and as we booked when their summer sale was on it was incredibly good value. On our first night they did not have a standard twin room available, so we were upgraded to one of the superior rooms for the first night - a nice bit of luxury! The standard room was fine as well - definitely a bit smaller but all we needed for a few nights in New York. Very clean, maid service every day if you wanted it and overall a great bargain if you can get a discounted rate like we did.	
May 8 2009 	Excellent Location - thats pretty much all!!	My friend and I stayed here for four nights. When we arrived the staff were extremely unfriendly - they bearly cracked a smile, did not even welcome us or tell us to enjoy our stay. Out twin room was clean, but unbelievably small! With our two suitcases on the floor we bearly had room to move around (unless we climbed over the bed!!) On the up side, the location was excellent! There was a restaurant adjoining the hotel which we ate in once, but across the road there was a delicious Irish restaurant called the Crooked Knife. We ate there most of the time. To conclude: I would not rule out staying here again, but only because of the location and next time I will insist on a larger room!	
May 7 2009	disappointing - worst hotel we have stayed in not only in the USA but anywhere	Two retired ladies arrived at 8.45pm from San Francisco having stayed in the Sheraton there absolutely no complaints. Recepionist immediately stated she did not have a non smoking twin room which was what had been booked this statement made by her without us saying what we had booked - our first night in a twin smoking room where plug hanging off the wall torn bedding and peeling wallpaper in a room where one person had to sit on the bed to allow the other to move about not even coffee making facilities(available even in a Travel Lodge)- one consolation clean bathroom and towels - moved the next day to a larger room still very tired decor and very short single beds - spoke to receptionist who pointed out we were in a cheap New York Hotel !!! - have stayed in New York before in the same price range where standard twin room had two queen sized beds - overall tired below par hotel which we would never stay in again -spoke in a restaurant to a New Yorker who had stayed one night during a snow storm and stated it was the worst hotel she had ever stayed in - says it all.	
May 4 2009 	good value	was not too sure what to expect with this hotel as it has got mixed reviews , room was fine not as small as some people made out the decor was a bit tired could just do with a lick of paint to freshen it up nice big shower the cleaning staff keeps the room very clean and tidied every day no complaints about them the staff at the desk were very friendly and helpful lots of nice places to eat within walking distance i would advice when booking to try and get a room at the back of the building we were on the fourth floor and we could hear the noise coming from the customers( especially at the weekend )sitting outside the crooked knife ( lovely warm evenings) they were having a great time but we wanted to go asleep ( no double glazing ) the hotel is very handy to get to many of the sights in midtown easy to walk to and near the metro to travel to the other sights i would have no problem recommending this hotel it is not 5 star but it is very good value	
May 4 2009 	excellent location just beside empire state building.	Really clean and modern hotel, I was very very surprised as it was not the most expensive. No restaurant but there are hundreds of places to eat, I would recommend the rodoe restaurant and les halles near the flat iron building.	
Apr 24 2009 	Great hotel - both location and price wise (for New York anyway)!	Thirty Thirty is ideally located - its about a 5 min walk to Empire State Building and roughly 10-15 mins walk to Times Square. The hotel itself is on a fairly quiet street and was very clean and staff were extremely helpful. We arrived early at the hotel and our room was ready so we checked straight in. We had a superior room - which was a decent size with dressing table area, 2 armchairs and a nice modern bathroom with shower and bath, also coffee making facilities and cd player. Our friends had a standard room and theirs was much smaller with literally a bed and wardrobe so would definitely pay extra to upgrade to superior room. There is a good bar across the road &quot;Crooked Knife&quot; which was always busy, with good priced drinks and food, also there is a California Pizza Kitchen 2 mins at end of the road. We got cabs down to Greenwich Village and they were only $8 - 10 so this gives you a kind of idea of the good central location of the hotel. All in all, I would say that this is a good clean hotel, with good facilities and an ideal location. It was also reasonably priced compared to some other hotels (with less glowing reviews!) that I found. I would definitely recommend this hotel to others.	
Apr 21 2009 	Great Choice !!!	Great location, just close to everything you want to see in NY (walking distance to Midtown, the Central Park, Broadway, Chelsea, West Village and Murray Hill). Nice, comfortable and clean room (view to the Empire States!!). It is also very close to metro stations. Many deli around (the best for us was the one located over 30th and 5th Avenue). I would strongly recommend this hotel and stay again !!	
Apr 17 2009 	Great base in NYC	I went to NYC for a 3 night break with my boyfriend in February. We found Thirty Thirty online and was easy enough to book. Was a little concerned with some negative reviews we read but figured the last place we'd be in New York was in the hotel! Our flight was delayed from Heathrow and we were concerned that the staff would think we weren't going. A quick phonecall rectified that and when we checked in many hours later than expected there were no problems. Staff were friendly and polite.We had booked a superior room and it was just what we wanted. A big comfy bed, couple of lounge chairs and a little table with a TV. The sink and mirror was in the main bedroom and the toilet and shower found in the en suite.There was a hair dryer, ironing board, iron and free safe in the room also. It did however smell of cigarette smoke (we wondered whether people were actually living in the hotel and if it was filtering through as we never saw anyone smoking). The walls were on the thin side but didn't bother either of us as we wanted to be up early to see the sights. The hotel was centrally located with most things within walking distance. To walk to the end of the block and look up to see the Empire State Building was amazing. We did avoid the restaurant attached to the hotel after reading some reviews on here, and was spoilt for choice for good cheap food. Please go and eat at The Crooked Knife opposite thirty thirty. The atmosphere in the bar was great and the food was reasonably priced and tasty. That and the bar staff will make you any cocktail you want.There is a concierge based in the hotel's reception area who is available for those who are unsure what they want to do. We didn't use him as we had a guide book and did a lot of research before we went.We paid the basic $45 plus tolls and tips from JFK in a yellow cab and the hotel booked us a cab for our return trip so we knew how much time we had left in the city. Our suitcases were kept in the storage facility and the bell hop was polite and helpful. Overall, a great trip. Would go back again definitely.	
Apr 17 2009 	Great location!!	Stayed here for four nights in Feb/march 2009. The hotel is about 3 minutes walk from the Empire State building and ideally located for reaching everything on foot. The hotel itself is clean, well presented and 3 star is about right. Four nights for £300 in heart of NY is great value.There is a pub opposite called the Crooked knife where the atmosphere is great and food very good. It seems to be used by all sorts on their way home from the office. They put complimentary spicy chicken wings and bowls of home made chips on the tables on a thursday and friday between 5 and 7. They are delicious!My only moan about staying here was when I used the porter to order a taxi to get to the airport. He was very polite but he obviously has a thing going with his mate who turned up in his range rover and took us to the airport. he was not a licensed taxi driver and in hindsight, I should not have got into the vehicle. Fore-warned is fore-armed!Other than that, highly recommended and when I return, I shall stay here again.	
Apr 15 2009 	Comfortable and ideally placed midtown hotel	We had 4 nights here and it was just what we wanted. There was nothing spectacular about the hotel, but it was clean, the rooms were small but perfectly adequate and the staff helpful . We were actually upgraded for the first night from the standard room. Although the more expensive room was bigger, we found the bathroom was smaller than the standard. Plus, the standard room was quieter through being on the side of the building.It was in a good location for walking both up and downtown - based on Thirty and Madison we were very close to the Empire State, Times Square and Grand Central. Suggest getting the bus into town from JFK - $54 dollars return for 2 is great as this takes you to Grand central where you transfer to car to take you direct to your hotel and they pick you up from the door for the return. If your going to the theatre, suggest 39 Steps - they've turned it into a comedy and its fantastic. Also try the rooftop bar on 230 5th Avenue - brilliant views of the midtown area. Best grub - they were all good but particular metion must go to Grimaldis pizza just across the Brooklyn Bridge and Tortilla Flats in Greenwich.	
Apr 14 2009 	Excellent Location very clean -would recommend and will def stay again	Excellent Location -clean, comfortable and cosy rooms. Walking distance to Times Square, Grand Central Station &amp; Empire State. Staff helpful and not in your face which was great!Really good restaurants and bars in the vacinity -our favourite was Crocked Knife (directly opposite) and Foley's which were vibrant, friendly and great value for money.Dont listen to other reviews -especially if you want to use the room as base and get out and see the city! The Hotel was great and perfect for our needs -will be going back and would recommend!	
Apr 12 2009 	Good for a base in New York	I was extremely nervous about staying at Hotel 3030. I am a young woman travelling by myself and some of the reviews I read of this hotel were just awful. I arrived at the hotel with no expectations at all and I was pleasently surprised. This hotel is a 3* and I think a lot of people forget this, 3* means it won't be the Marriot. I had requested a room on a higher floor-which I got. I had a single room, which was small but nice. The bathroom was very nice and had amazing granite (or a granite substitute on the floor and in the shower). There was a lock on the door and a safe. There were a few things that could have been replaced in the room -like the carpet and the grouting in the bathroom was a bit odd, the sheets were not matching, and the quilt had a sheet as a cover instead of a quilt cover but apart from that the place was perfect for a base in NY. The staff were not overly friendly and one in particular was unhelpful. There is a small resturant attached to the hotel-I had bfast there and there is a lovely irish pub across the way which does some very good food. The best description I can give this hotel is its like good student accommodation-its fine but not the Waldorf!	
Apr 10 2009 	Ideal hotel ideal loacation very clean and very helpful staff	Service first class 4 people in our party had booked two twin rooms but when we arrived only one twin bed available a folding bed was immediately sent to the double room and a new room twin bed was allocated the next day and requests were dealt with at once by very pleasant staff. Room ok beds clean and very comfortable. Location first class for all the tourists attractions only 4 streets from Empire State Building which could be seen from some bedrooms. Nothing I didn't like about this hotel and already planning another trip next year and will be booking this hotel again	
Apr 4 2009 	Ideally located	We stayed at thirty thirty for two nights at the end of March. The hotel is ideally located to explore Manhattan fully. The Empire State Building is no more than a 10 min walk as is Grand Central Station &amp; Madison Sq Gardens...if there is a negative to be noted it is the attitude of the staff on the front desk. I am kinda thinking they may have flunked out of charm school...but do not let this put you off the hotel is great with a lovely bar/restaurant directly opposite called the Crooked Knife...food was lovely there and reasonably priced. Subway station on 33rd Street just around the corner opens up the whole of Manhattan but we walked to most places...Central Park 30 mins....Times Sq 15 mins.	
Apr 2 2009 	Hotel Thirty Thirty is conveniently located and accommodating	The hotel is located just off Park Ave, where you can catch the subway to anywhere at 28th Street. My room was a standard in the back, in the corner on the eleventh floor so I had a great view of the New York Life Building from my window. The room was small, but clean. I brought my own travel coffee maker, there wasn't one in the room. TV mounted up high on wall, which I don't care for, but when in New York, it doesn't matter. I didn't purchase the hotel's internet access (expensive) but was able to connect via wireless to one of several unsecured networks. Comfy bed, nice bath. No vanity, desk, or table (except night stands.) Booked on Hotwire for $97 plus taxes/night.	
Apr 2 2009 	Excellent location and a decent place to stay	So long as you don't have expectations that the Thirty Thirty will somehow add to the experience of your stay in NY, this is an acceptable place to stay. Reading previous reviews, we made sure we booked a larger room and also confirmed this prior to arriving. We paid about $170 USD inclusive of taxes and breakie... and I wouldn't really want to pay more. Our room was large with a king bed, very modest - only 1 mirror, no in-suite bar, no coffeee-maker, but there was an iron. Front-desk staff rather surly, but with some charm and smiles we had them helping us out with early check-ins and an extra breakfast. Room cleanliness, despite other reviews, was actually fine. We heard several complaints from other guests about errors with bookings and very small rooms. The hotel attracts budget travelers --- english blokes drunk in the hallways, school groups, europeans, and young couples. It is a very European-feeling hotel - including the electro-pop trash music blaring over breakfast in the cafe. Advise getting a larger room, confirming your reservation in advance and only stay if the price is right.	
Mar 31 2009 	Grand	Reading peoples reviews I have to say i was a bit nervous going over. The lobby is large and ugly. The staff are very unpolite, the man at the desk didn't give us any information whatsoever i.e. check out time what floor the room was on or even how to get to the room. The hotel is a little grubby alright. The room was perfect for myself and my girlfriend. The view wasn't the best but it was quiet, clean, the bed was unbelievably comfortable and the bathroom was clean too. Our beds were made every morning and the sheets were clean. I'd definately recommend this hotel for a short budgeted stay in NY. Does the job. It's grand.	
Mar 29 2009 	rename this hotel dirty dirty	We booked this hotel for the location and on the recommendation from the travel agent .We had been adivsed before we traverlled and wished now that we had changed the hotel. We were given a room at the back of the hotel ,it was very very small and dirty .with wall paper hanging off, frayed carpets, scuffed skirting boards ,and the bath room was no better. Nothing about the hotel felt clean and the staff weren't very helpful. This was the worse hotel we have ever stayed in and for the price we payed we would of got a five star hotel in the uk .	
Mar 29 2009 	Like visiting a railway station with basic accommodation	We only stayed two nights while we were waiting to visit relatives in Upper West Manhattan. I have never seen such an enormous reception area, so underused and so unfriendly - a few uncomfortable chairs along one wall and that was really it. We waited nearly a quarter of an hour to get booked in, as there was only one man on duty and the gentleman in front of us had a problem. There was no friendly New York welcome, as we had from our taxi driver (please note those who paid more that it should only be $45 plus tolls from JFK). Our room was small and the bathroom tiny with the washbasin in the bedroom!! Not great if you prefer to clean your teeth in private. On the plus side, the sheets and towels were changed for the second night. It was just about OK but we wouldn't go there again. The cafe next door served expensive breakfasts but we opted for the convenience.	
Mar 28 2009 	Disappointing	We stopped here 2 nights and had similar experiences to other recent reviews. Positives - great location for Empire State and Times Square. The room was small but actually clean and although showing signs of ageing, was adequate for the price paid. Disappointing aspects were the restaurant / bar attached to the hotel where the staff added 50% service charge to the bill. When challenged they said it was an error with the calculator and accepted the standard 15% that we were prepared to pay. Having read other reviewers comments since returning, I now wonder if the calculator excuse was genuine... the reception staff and the Bell hop were unhelpful. They were only keen to quote their own overpriced means of transport to get around the city. We were quoted $120-140 for a transfer to Newark when a yellow cab (who the hotel said wouldn't do it)quoted $70. When the yellow cab turned up, the Bell Hop tried to talk the driver out of taking us in favour of his own transport. We had to load our own bags on and he then had the cheek to demand a tip and then attempted to increase the fee we had negotiated with the cab driver. To say we were furious was an understatement. Our yellow cab driver was so embarrassed and apologised to us, as visitors to his beloved city. That restored our faith with New Yorkers and was given a generous tip! Our impression was that the staff at the hotel merely saw us as cash machines. We could not recommend this hotel to anyone who values customer service.	
Mar 27 2009 	A convenient base for exploring NYC. Basic but adequate.	This hotel is fine as long as you're only using it as a place to sleep and wash before heading out for another adventure. As tourists, this is all my wife and I were looking for and this is what we got. Yes, the room was tiny but as long as the bed was comfy, which it was, we didn't need much else. The sink was also in the bedroom not the bathroom!!The hotel is conveniently located for access to the flurry of activity that is Times Square and also far enough south to take a strole to the more characterful downtown. The staff weren't the most helpful, it must be said. When I asked the concierge to contact our transfer company I was told that the hotel didn't 'deal with that provider'..... 'So then what are you for?!' I thought.So, in summary; has all the basics but only the basics.	
Mar 21 2009 	Terrible	I hate to say this about any hotel but this is the worst that I have ever stayed in. On arrival they tried to put us in a room that was already occupied then we had to hang around for another for ages. We were then put into a smoking room that you could not swing a cat in, that stunk of cigarette smoke, had no doors on the wardrobe, had not been cleaned, tiles falling off of walls. When a complaint was made to the front desk it appeared to be such a trail for them to have to do anything about it. We finally got given another room which was only everso slightly bigger, still smelt of smoke slightly but by now all we wanted to do was sleep. On inspection in the morning the carpet was falling to pieces, there was a hole in the ceiling in the bathroom. We got no further with the front desk. Thank goodness that we only had to stay 3 nights! The only good thing to say about it was its location as it was realatively central.	
Mar 20 2009 	poor service	stayed here with 7 friends for 5 nights...got a great deal in Jan when booking. all i can say is that we're all glad it was so cheap! rooms small which is fair enough but the bathroom was grubby in our room and our friends'.service was terrible.if you are requesting something like towels/extra blanket be prepared to ring reception 3 or more times. service in the bar next door was worse. we were there 3 times once before heading to the St.Patricks parade and twice in the evening for late drinks..on all occasions the service was incredibly SLOW. unbelievably slow...so frustrating to have ordered a drink and watch the bartender go back to her friend at the end of the bar and continue her chat!	
Mar 17 2009 	You get what you pay for....	I am in NY frequently for business and have stayed at this hotel twice in the last few months. The location is great, the service is non-existant. The front desk will do pretty much anything to avoid conversing, let alone helping. I had an &quot;executive suite&quot; both visits. The lighting in the rooms was so bad, I had to take a shade off a lamp and carry it from room to room. This is one of the dirtiest hotels in NY, that I have ever stayed in. Both of the bathrooms had a mildew problem and the dirt and dust in the vents above were shocking. Carpet and furniture is quite worn. I will admit I did get a screaming deal on these rooms, but I will pay more in the future to sleep in a clean and safe environment.	
Mar 13 2009 	Don't trust in this hotel	This hotel is incredibly terrible! First of all, I booked a standart room with my boyfriend and when we arrived our room was occupied. Instead of giving us a better room, they gave us a SINGLE ROOM, with a single bed for two people, after being exhausted of a long trip. The joking hadn't finished there. I'd never seen so terrible service. The doorman spent all the time looking us while we were carrying our bags. The attendance was totally stupid and inneficient. In the last day (thank god!), we paid the &quot;good price&quot; hotel in my boyfriend's credit card. However, surprise! My credit card, that i used for booking, was charged too, without my authorization. I saw that some days later, when my bill came and I was in my country. No receipt for this fee, no information, nothing! How can we stay in a hotel that we can't trust? You'd better pay some cents more and have no headache later, that's my advise and what i learned.	
Mar 13 2009 	Excellent Price	A good deal all things considered. The hotel was great - the restaurant however was awful. Prices on the bill were higher than those on the menu and a service charge for a party of two? Scandalous. The server probably needed that extra money to buy charm lessons.	
Mar 3 2009 	Perfect for travellers on a budget	Stayed in this hotel for 4 nights over the weekend. The first night it has to be said was awful. We arrived at 9pm very tired from a long haul flight to an extremely basic hotel over looking a noisy 29th street. The walls were paper thin and we could hear some man talking on his mobile phone from 2am until 4am. I dont think we slept a wink. The next morning at 7am we asked to be moved to the middle of the hotel where we did not face the street and side up to a building site. The staff obliged without question. When we arrived back that afternoon we were delighted to see that we had been 'upgraded' to a much nicer room. The bathroom was a lot bigger and the room had more about it. The first room did not even have a picture on the wall to make it feel cosy. This hotel gets a very good from me because of the cleanliness, the location and the value. Its nothing fancy at all but I could not fault it for what we wanted. There is a restaurant attached to the hotel called Zana. The breakfast is nice but we did'nt try anything else. The Crooked Knife directly across the road does a lovely brunch and if you are arriving late the first night like we did, there is a nice pizza place at the end of the street called Californial pizza. If I went again, I would try and spend morning time eating and drinking in the West Village at night. We went on the last night and loved it. Next time!	
