	Good choice for group of 3-5 people	I wish there was a 3.5 option in overall ratings for this hotel. 4 seems too high, but 3 too low.This hotel is very much as OP's have described. I found it to be a very good value. Pros:Very large rooms which are also VERY clean, lots of closet space, light-blocking window shades, good beds with good quality linens, very friendly multi-lingual staff, good location (altho I personally prefer the west side as it is easier to get around), excellent access to computers and printers- I think there may have been 8 stations- WIFI fast and dependable. Cons:We really could have used another bath or half-bath (3 women and 1 man), Breakfast was not much- yogurt, cottage cheese, coffee, juice, some rather dried out pastries..probably one of the worst &quot;continental breakfasts&quot; anywhere.Noise- the street noise did not bother me too much, but both daughters and husband commented on it. Oldest daughter said to me, &quot;mom, this is the noisiest place we've stayed in NY&quot;. Not sure why this is a problem as the street in front is not really a busy street, but there did seem to be a great deal of honking at all hours. If you think this might annoy you, ask for a room that does not face the street.We tried 'Mint&quot;, the eating establishment connected to the hotel- not impressed.My husband, our two 20-something daugthers, and myself were visiting NYC and I was looking for a way to avoid 2 hotel rooms at $275 - $325/night for each room for the weekend after Thanksgiving.The San Carlos had a suite with 2 queens in the bedroom and a pullout sleeper in the LR, along with a small &quot;kitchenette&quot; (microwave, sink, refrigerator and utensils) for $300/night. The reviews here on TA were favorable, so I booked it for 3 nights.Thanks to other members for their helpful reviews of this hotel. Very accurate reviews!Saved us hundreds of dollars over 2 separate rooms without sacrificing too much in the way of comfort and space.	
Feb 11 2008	Nice Hotel	Enyoed my stay, great location and free terminals to use the internet. Coffee and bagel for breakfast. Great	
Feb 11 2008	Good choice	I stayed at the San Carlos Hotel for three nights in January. The room was very spacious by NYC standards. The accommodations were clean and well kept. The coffee pot and refrigerator were much appreciated. With its address on E. 50th between Third and Lexington Avenues, the San Carlos is an ideal location. The Lexington Ave subway is around the corner, Rockefeller Center and Fifth Ave shopping is three blocks west, and the Times Square area is several blocks west. If you wish to avoid the craziness but still feel close to Times Square and the theater district, this hotel is an excellent choice. On the second floor overlooking the lobby, the San Carlos provides three computers 24/7. There is also a printer which is helpful for “e-ticket” boarding passes. If you simply can’t leave the lap-top at home, there is wireless access throughout the hotel. Breakfast at San Carlos consists of a variety of breads (including raisin bread), rolls and bagels for toasting, as well as pastries, yogurt and cottage cheese. The dark chocolate pastry roll was particularly good! There was a fruit basket with the usual suspects, too. Beverages included coffee, tea, orange juice and a pitcher of water. Overall, I would say the San Carlos is a good choice for location and accommodation. There are more fashionable places to stay in NYC, but for a fair price the San Carlos has a lot to offer.	
Feb 5 2008 	What a gem!	Stayed at the San Carlos on a business trip from 1/15-1/18 and was very impressed. Years ago I had stayed across the street at the old Plaza 50 which is now the Affinia 50 and knew this was a great location. I got a great deal on a one bedroom suite on a buy two get the third night free special. What a bargain! The room was huge and a great place to unwind, stretch out, and get some work done in the evenings. There were two bathrooms, a nice kitchenette, and ample space. My colleagues were at the Hilton by our office on W.55th street and were all complaining about their rooms. My only, and I mean only, negative comment about the experience was regarding the continental breakfast. I didn't mind the small selection however what was there wasn't very good. That's a very trivial gripe however and in no way would impact my decision to stay there in the future. I will be back!	
Jan 24 2008 	Location! Location! Location!	This hotel is in the best location on 50th and Lexington. We were within walking distance of all the great shopping (after Christmas sales!), sights and restaurants. There is no need to stray more than a few blocks for great dinners at some of the best restaurants NYC has to offer. The Rockerfeller Center is 3 blocks away, Central Park and Times Square are just a bit further. We hardly needed to use any transportation because we were able to walk almost everywhere we wanted to go. There is a subway station conveniently located on the corner.We stayed in a 1 bedroom apartment on the 11th floor. The space was perfect for our family of four. It was clean, nicely decorated and roomy for NYC. The kids slept on the sofa bed in the living area. The kitchenette was helpful for snacks (we had jet lag, having traveled from Asia) and the continental breakfast downstairs was perfect for our light breakfast eaters. The only downside of our stay was having to be moved to another room on our last night because our bath was leaking into the room below (we had no idea). The staff was very apologetic and did their best to make the move easy for us. The new room on the 10th floor had a lower ceiling and was a bit darker than our previous room. The attached Indian restaurant &quot;Mint&quot; is very good. Try the mint paneer which our whole family loved. The green lighting is a bit odd but the food is good. Across the street is a good family diner, across the corner is the Waldorf Astoria and their restaurants, etc.The hotel staff was very helpful and friendly. Matthew the bellman was particularly wonderful to our family and helped us in numerous ways. I really can't say enough about how pleased I am that we chose to stay here rather than at a large, impersonal hotel chain. We will be back.	
Jan 24 2008 	Reasonable hotel - but not cheap	This was a difficult one to make out. Booked this without seeing the mainly excellent reviews, based on a friend's recommendation, who I was going to NY with. My friend had stayed here loads of times so I kind of went along with it to avoid having to think where else to stay. I have seen this hotel described by some as a boutique hotel. Still not 100% certain what that really means, as I have also seen the Hudson described as boutique but in terms of design they are chalk and cheese with Hudson as hip, cutting edge and San Carlos very traditional new york.Stayed for 3 nights in September '07. Found nothing wrong with this hotel but at the end of my stay, I asked myself if I would stay here again. My answer was really no. Having now read all the excellent reviews on this hotel I cannot disagree with anything that has been written and my reasons for not wanting to return may not be valid to all people. I felt that the hotel was more of a business orientated hotel. You could walk in to the lobby, go up the lift to your room without seeing another guest. Those occasions you did see a guest - was usually corporate businessmen. Some people like the fact that its quiet but i felt it lacked atmosphere and character.We had a 1 bed suite which was not cheap. $600 a night. But even the standard rooms are $400 a night. The decor was ok. Inoffensive but not luxurious by any means and was certainly not hip or cutting edge. The size of the room was good with a leage seating lounge separate to the bedroom. Air con was a bit noisy but you got used to it. Bathroom was very small and could have done with updating.The location is good, central to Lexington and 5th. The lobby staff were good and helpful.Therefore in summary there was nothing I didn't like about this hotel. but there was nothing really i loved about it either....and for the price (which is not so much in the Top price range, but seems to be the Deluxe price range) i think i expected something a bit more.Not for me then, but would suit others. If you want a hotel with a buzz, good atmosphere, somewhere to hang out in the lobby and do a bit of people watching, I would look elsewhere. But if you're happy with a quiet sanctuary from the bustle of NYC, with a good location, using the hotel purely as a base it may well suit.	
Jan 14 2008 	When in NY - stay in the San Carlos	My boyfriend and I stayed in the San Carlos Hotel from 27 December 2007 to 1 January. On arrival we were greeted by a very nice porter who helped us with our bags. Check in was swift and the staff were very friendly. We were originally given a room on the 10th floor. It was the smallest hotel room I've ever been in. We were really unimpressed having read other reviews and viewing pictures online. I went back to reception and explained that we booked the hotel because the rooms looked spacious and comfortable but our bed was hard and our room was tiny! The receptionist apologised and told us he would move us the following day, he couldn't have been nicer about it. The following day we were moved to a room on the 15th floor, it was at least three times the size of the original room and the bed was one of the most comfortable I've ever slept on! We were delighted. Lots of TV stations to choose from after a hard day shopping and great shower and bathroom!The location of the hotel is perfect. We walked most places as the main shopping areas are within walking distance. It was my second time in NY and my boyfriends first but he couldn't get over how well laid out the streets are. The breakfast is quite good in the hotel. We had toast and yoghurts most mornings although one morning we decided to treat ourselves and went across the road to the diner and had sausages and eggs. Quite reasonable and the food is very tasty. It's across the road to the left, beside Kimberly Suites.We didn't try the room service. I would also recommend the steak house across on 3rd Avenue, Smith &amp; Wollensky - best steaks we've ever had. Quite pricey but the food is amazing!The staff in the hotel were exceptional! One of the doormen in particular. I didn't catch his name but he comes out and opens the cab door for you when it pulls up, offered us an umbrella when it was raining, he was just a really nice guy. We had no problems in this hotel (apart from the box room which was sorted almost immediately). I would definitely recommend this hotel. It's conveniently located, extremely comfortable and the staff are excellent! A special thank you to Johanna Vargas, who I had been harrassing two weeks before we went over but she managed to find us tickets to the Knicks/Bulls game in Madison Square Garden!If you're going to NY, stay in the San Carlos, I'll definitely be going back!	
Jan 13 2008 	Better than Home!	We have only just returned home from our stay at the San Carlos (Jan 2 - Jan 9). We just loved it. It is a great location just a few blocks from Rockerfella, and 5th Ave. Many things are within walking distance, and if not the subway is handy or a cab ride is just as cost effective.All the doormen are fabulous, as are all the housekeeping staff - nothing is a problem for them, when we first checked in, as we got to our room there were only enough towels for 3 people (we are a family of 4) and my husband was able to catch a staff member in the hall - from then on we had an abundance of towels and toiletries every day and didn't have to ask for anything thereafter - great service.The team behind the desk are so efficent, and check in was a breeze - as was checking out. While we were waiting for our car to JFK, my 2 little daughers were entertained with some tricks which kept them throughly entertained - and they are still talking about it!This is the only place I plan to stay at in NYC from now on - when you're on a good thing, stick to it!	
Jan 12 2008	Wonderful As Always	We stayed at the San Carlos for New Year's Eve. This was the second time we had booked rooms and it was as wonderful as the first time. A small, quiet boutique hotel with spacious rooms for NYC and an outstanding staff. I would be reluctant to stay anywhere else! The breakfast buffet is simple but enough to start your day without spending a fortune, the concierge is more than willing to assist with arrangements, taxis. etc., and the rooms are clean with fridge and microwave. Can't say enough good about the place!	
Jan 3 2008 	2nd time at the San Carlos!	Had a fantastic time in the San Carlos in 2006, so when it came to a shopping trip to NYC in November 2007, there was no question of where we wanted to stay. All the staff we met are a credit to the Hotel, and are always very pleasant and helpful. My sister and I stayed in a spacious and very comfortable one bedroom suite on the 5th floor, with 2 double beds, 2 tvs, bathroom and separate living area with fridge, microwave, coffee machine, etc. We had a street view, and yes it can be noisy but it is New York...you don't go there for the peace and quiet! You get used to the noise very quickly and it didn't stop me from sleeping well. There was only two of us staying in this suite but it would probably suit up to 4 adults, as there is a pull out sofa bed in the living area also. The hotel also has a fitness room and lounge on the second floor with internet access available, if you have the time or inclination during your stay. They serve a great free continental breakfast each morning in a room off the lobby with things like oj, coffee, yoghurt, toast, pastries, which get topped up regularly. If you prefer a hot breakfast, recommend you try the deli across the road, which is open 24hrs. It was always full in the morning, and a lot of locals seem to use it. They also do take out as well. The hotel doesn't have it's own restaurant, but &quot;Mint&quot; is well worth a visit. A top class Indian restaurant with a fantastic atmosphere. The room service at the hotel is delivered from &quot;Mint&quot; and is well worth a try if you don't feel like going out. Also try &quot;Lilys&quot; on Lexington Ave for a lovely Sunday brunch. The hotel itself is in a great location, with a subway stop round the corner in 51st Street, you can get around Manhattan quite easily. Buy a Metro card , even if you are only there for a few days, it's well worth the money. The hotel is within comfortable walking distance to most sights, approx 15 minutes to Times square and Central Park, less than 10 to Rockerfeller. Although if your want to give your feet a rest, then try one of the many city bus tours about. For the second year we got a Grayline 48hr hop on hop off ticket, which covers uptown, downtown, Brooklyn and night tours for $49. It's a great deal, and although their main pick up point is at Times Square, the uptown tour stops outside the Waldorf on 49th Street, so you can join it there. Recommend the night tour, which will take you over to Brooklyn, worth it to see the Manhattan skyline alone. You can purchase tours like this and other attractions from the hotel reception, but it may come in the form of a voucher/coupon which you will need to exchange at the tour starting point/attraction for a ticket. Shopping wise, Woodbury Common is worth a visit, with a number of designer outlet stores, selling clothes, shoes, luggage, etc. There are regular buses to Woodbury Common from the Port Authority bus station. If shopping in Manhattan, remember to get your discount card at Macy's to get 11% of most goods there, although be warned you do pay tax on goods bought in Manhattan. To get back to the hotel itself, you won't go wrong if you book to stay here. I have recommended this hotel to many people since my first visit. The location of the hotel, standard of service and accomodation is excellent, and we felt really at home here, it was a wrench to leave. It certainly makes the New York experience one to remember.	
Jan 2 2008 	Helpfull Happy Staff	We are an Irish couple just back from the San Carlos, where myself and my girlfriend stayed for 4 nights over the new year, We found that the staff were extremely helpfull on our arrival and throughout our stay including the owner who we just happened to bump into at breakfast. Great location Mid-town manhattan. Rooms are a good size and daily maid service with chocolates on your pillow.Only downfall was the the air-con in the room was very noisey and the breakfast room was too small but there is a starbucks across the road. Would stay here again.	
Dec 20 2007	Absolutely Fabulous	I stayed at the San Carlos from 8 - 12 December with my husband, daughter and mother and can't say enough nice things about it. Firstly, this hotel is about a ten minute walk to Times Square so we had no problem sleeping in the lovely comfortable bed, no noise at night. For those who are feeling energetic there is a great gym and on the 2nd floor computers with free internet. The bedrooms were spacious and kept very clean and we really appreciated the breakfast which was ideal for us. There was lots of different kinds of bread, croissants, muffins, yoghurts, butter, jams and cheese, a great way to start the day. The people behind the desk and the doormen were just lovely and very helpful, nothing was too much trouble and even the owner of the hotel introduced himself. Hopefully we will be visiting New York again within the next couple of years and will 100% be staying at the San Carlos. I know the hotel reads the reviews on Trip Advisor so can I just wish you all at the San Carlos a very Merry Christmas and a great New Year. I hope to see you all again soon.	
Nov 28 2007 	Great place to stay!	My husband and two teenage daughters stayed at the San Carlos Thanksgiving week. I can't say enough good things about this hotel. We are avid travelers and have stayed in many, many hotels. I always thoroughly research a hotel from the travel books I read but I base my decision on the public's opinion of the hotel (from reading the reviews). I always find that the people who stayed there are the most honest about the accommodations. My husband was hesitant to trust my judgement because he likes to be safe with name chain hotels, but now he can't say enough about how great a choice I made. We choose a hotel for the space, amenities and location. We had a very spacious room for NYC standards with two double beds, two nice windows with controllable roman shades, a comfortable sitting chair and ottoman with a table, a desk area with chair, an armoire with a flat TV and real plants in our room! The furniture was not jammed against each other either- there was lots of space to walk around. We loved the refrigerator, microwave and coffee maker in the room which is one of the main reasons why we chose it. The rooms are decorated in a modern, clean homey atmosphere with bathrobes too. It was extremely quiet in our room (we requested a quiet area of the hotel) with no street noise and we didn't even know there was a family next to us until we saw them leaving their room. We didn't have a view of anything but a building but I'll go to the beach for that. We weren't in the room most of the time anyway. The location was perfect, central to Fifth Ave, Rockefeller Center and the subway, etc. We actually were going to stay at the Waldorf Astoria (which was right on our corner) for $20 more a night but we read the reviews that said the rooms were small and not worth the price. So true! The service was wonderful. When we checked in, we were told about the gym, breakfast times and given coupons during our stay for shopping. Any question I asked of the staff was answered pleasantly. I got directions and a map for the subway and was shown a store around the corner I could go to for snacks and groceries. The doorman went to the corner for us to locate a taxi and set up a car service for us to get to the airport. It was ready and waiting for us when we left! My daughter (18) was most impressed that when she got in the elevator alone, a male employee stepped out and let her ride up by herself. She was also offered an umbrella when we left one night when it was raining and when she tried to return it was told to keep it. Umbrellas were lined up at the door for guests! What service! I did read the reviews about the breakfast just being yogurt, fruit and pastries, but my husband skips breakfast and my teenagers are happy with just a muffin so it worked for us. The assortment of pastries was very diverse and it was free so who's complaining. The only negative thing I could say about the San Carlos was the beds could be queen instead of double because my husband is rather tall and we weren't used to a double bed. But everything else made up for this. We are already talking about our next trip to NYC and staying again at the San Carlos. We loved it! Thanks for all of the honest advice!	
Nov 28 2007 	What a fantastic city	Just got back from New York City and loved the hotel, the attractions and the city. The San Carlos was a comfortable hotel with a touch of luxury. There was a free continental breakfast which included, fresh orange juice, coffee, tea, toast pastries, bagels with butter, jam. You can have as much or as little as you want. The staff were superb very helpful and made our stay much easier. Will be coming back and staying here again. A big hello to Virginia a voluntary member of an organisation called the Big Apple Greeters. New Yorkers who give up a few hours of their time to take you around a neighbourhood in New York, we would never have seen as much of Greenwich Village as we did so once again thanks for that. The hop on, hop off buses are good but can take a good hour/hour and half to do the loop so if you want to see a couple of attractions far apart this can be a little time consuming. Ice skating at the Wolfman ice rink and the buggy ride in central park are a must. For Shoppaholics Woodbury Common in New Jersey is a must you can go on a grayline coach for about $40. Just go you will love it!!!!!	
Nov 26 2007	Excellent stay	We stayed for Thanksgiving this year with our two children. Facilities were excellent. Location was great - short walk to many attractions and great shopping nearby. Room was plenty large with a nice kitchen area and two bathrooms. Staff was excellent. On the first day, the cleaning staff was not very efficient, but this was remedied on the following days of our stay, when their services improved.We will stay again and recommend this hotel to our friends staying in NYC. Thank you, especially to Matthew, who was a great ambassador of the hotel.	
Nov 22 2007 	Emaculate and Very Friendly Hotel	Three of us guys stayed here for four nights. Our original booking was taken by Fabio who turned out to be both friendly and proffesional and certainly made sure that we were made more than welcome. The room was huge with a pristine bathroom and was actually two rooms with one containing two beds and one containing a sofa bed and this when made into a bed was a perfectly comfortable bed. We had a kitchenette with all the facilities required available, although we only made coffee.A treat for us was the sylish and untypical Indian restaurant (called Mint and good for celeb spotting) by the lobby where we sipped on many an cocktail at the bar deftly created by the beautiful Erica, whose friendly and helpful nature was a great help to us all.There is a wonderful 24 hour deli two minutes walk from the hotel. Which we all would recommendThe hotel is brilliantly located for seeing all the amazing places that a visitor would want to see in the city. All of decided that we would go nowhere else but the San Carlos the next we are back in New York. Great Hotel - Fantastic Staff - Superb Location!	
Nov 17 2007 	Great place to stay	We stayed here the end of October. Hotel was convenient to many sites, clean, spacious room with comfortable beds(no sags). The beds were firm, but if you like, they had a note that you could order featherbedding to go on top. Everyone was friendly without being too intrusive. We stayed in room 907-was very quiet as we overlooked a back alley and another building- we did not book this hotel for the view, so we were fine with this. There is a nightclub across the street from the front of the building and lots of activity the weekend we were there, but didn't hear anything in our room. The people at the front desk were very helpful. One night we did not want to get dressed up for dinner, wanted something close and they recommended Oscar's at the Waldorf-Astoria-I wasn't expecting much, but our dinners were fabulous! I had Veal Oscar-their signature dish and my husband had their Brandt (all natural)steak. I would definitely stay here again-I liked the relaxed, quiet atmosphere of a smaller hotel, not the madness of some of the &quot;biggies&quot;.	
Nov 10 2007 	Excellent Hotel!! Consomate Professionalism!	We Stayed at the San Carlos for a five day stay during our 3rd anniversary. Excellent service was given the entire stay. Everyone who worked there including maintenance were extremely friendly and professional. Matthew, a doorman at night was particularly friendly. To top it off, the day before we left, the owner came out, introduced himself, and asked us how our stay had been. We were blown away with this hotel. Everything from top to bottom was exquisite. We definitely recommend this place for any business travellers or high class travellers on a budget. What alot of people don't know are the famous names that have stayed in this hotel. Including Puff Daddy, David Justice, and many others. Fifth Ave. class right on East 50th!!! Also very close to Rockefeller Center, St. Patricks Cathedral, and much much more. A definite A+++++	
Nov 6 2007 	Lovely hotel	Well my sister in law and I have just returned from a much looked forward to trip to NYC. (Booked in February!) The San Carlos was a lovely place to stay. Excellent area - the two of us were returning to the hotel around 9-10pm at night and felt completely safe. I did do quite a lot of research and it paid off as we were pretty much near to everything. There is no room service facility and I would have taken a kettle but we were hardly in the room so they are little gripes. The complimentary breakfast was a winner for us as we were not looking for fry ups! The staff were extremely polite and friendly which means such a lot. Will definitely recommend the hotel and would definitelty stay there again. What a City!	
Oct 29 2007	Back again !	Stayed here for 3 nights with friends in a two room suite. Have been before so knew the hotel well. The rooms in this hotel are larger than most in New York. Just little gripes - One bedroom ceiling had plaster falling off due to a leak from the floor above and one of the bathrooms had broken tiles covered with cellophane, obviously due to a previous occupant who had been heavy handed with the corner soap dish. Little things I know, but it is these things which helps tell the hotels apart and to what extend they are on top of their maintenance. Tip - ring the hotel directly to negotiate the rate (and ask for any special offers!)	
Oct 22 2007 	an excellent choice	Stayed in the San Carlos for 6 nights in October. We were with a family of four so I booked the one bedroom suite. What a great room! For New York standards it was very spacious. The bedroom had two separate beds. I expected only one so that was a pleasant surprise. One person slept on the sofa bed and the other 3 in the bedroom. It had a small kitchen and the bathroom was nice too. The sitting area was very pleasant to eat something or watch tv. Very friendly staff, especially the doorman. We tried the complimentary breakfast from day 3 until the end. Simple breakast but overall very nice. Loved the orange juice.I was very satisfied about the hotel. Great location, luxurious style, fantastic room. I will certainly return to the San Carlos when I go to NYC the next time.	
Oct 20 2007 	New York  16/10/07-19/10/07 - loved the San Carlos!!!	Wanted to book a great hotel with a great location in New York for our first trip to the Big Apple. WE WERE NOT DISAPPOINTED!! The San Carlos ticked all the boxes. A five minute walk to 5th avenue, St Patricks Cathedral. 10 mins to Central Park. It is in a good area and we felt quite safe walking about. An added bonus was the delicious buffet style continental breakfast. The staff were extremely polite and helpful - booking taxis, advising on restaurants, giving directions- even provided brollies for the sudden downpour of rain! Nothing was too much bother. There was four of us (2 adults, 2 teenagers 19&amp;16) sharing a one bedroom suite. There was plenty of room - 2 toilets, 2 televisions(not that we saw much telly because we were so busy out and about) 1 king size bed and 1 double sofa bed in the living room. There was even a small kitchen area fully equipped with microwave, coffee maker, fridge, cutlery. This allowed us to bring in our own drinks and snacks so we didn't use the mini-bar. Our request for extra towels/toiletries/help with pulling out the sofa bed was promptly dealt with by the housekeeping staff. We were on the 9th floor and at the front of the hotel. There was a lot of street noise but thats New York for you! We had no trouble sleeping! Would highly recommend the sightseeing hop on/off tour with the &quot;Blue Buses&quot; City Sights. Ticket agents on most street corners with bright yellow jackets! We paid 49 dollars each for a 48 hour pass but this gave us an Uptown tour, downtown tour, Brooklyn Tour (don't miss that one - the guide is a legend!!) free cruise to see Statue of Liberty (75 mins)tickets to the museum. All the tour guides were great and informative (leave a tip if you want to!) Saved on shoe leather and aching feet too!! One tip though - you can be on the bus a while especially due to the volume of traffic so a visit to the restroom before boarding is advisable!! There was scaffolding outside the hotel so the front was a bit obscured but looking around other buildings in the city - this was not unusual! Certainly didn't spoil our enjoyment! We had a marvellous experience and would definitely return to New York and definitely to the San Carlos hotel.	
Oct 10 2007 	What a friendly clean place to stay!	The hotel is located just behind the Waldorf Astoria, so the neighbourhood is quite classy and upmarket.Too bad the front of the building - like many many other buildings in New York - was hidden behind scaffolding (oct. 2007). Even the window of our room at the 17th floor had scaffolds in front of it.Inside, the lobby is nice and welcoming: not too big but not small either. The receptionists are friendly and efficient, they even have time to make small jokes. Check-in, as well as check-out, was done quickly and without hassle. We booked, using booking.com and were a little anxcious about it, having travelled 3.700 miles, but everything went fine.The doormen are friendly without expecting tips all the time.The two elevators run smoothly and quick, hardly any delays.The rooms are a nice size for New York, with a soothing colour scheme of greens, golds and browns. Very relaxing. Nice, firm bed but unfortunately rather small: don't expect king or queen-size. Flatscreen-tv, safe, desk with internetconnection (paying), two minibars (why?), a small microwave (first thought it was the safe!), trouser press, ironing board with iron, small closet. The bathroom is sufficient and most of all: clean!The room as well as the rest of the hotel was exceptionally clean. Only downside of the room: the airconditiong was rather noisy and very difficult to set the right temperature.Very friendly staff in general!The included breakfast is nice, but we went out for breakfast because they only serve muffins, cake and coffee. Nevertheless, there was a line every morning, 'cause it's free ofcourse.On the 1st Floor you can use the internetcomputers for free and you can even get printouts for free!Most of the guests in the hotel were hispanic/South American (due to the name, perhaps?) rather than European or Asian.Definately a good choice for your holiday in NY!Located near the Subway entrance at 51st/53rd Street and Lexington Ave. to the green 6-line.Starbuck's and a lot of luncheonettes are nearby, as well as the most fantastic place to have an afterwork-drink amongst the NY-yuppies: St. Bart's!!	
Sep 27 2007	Great Hotel-Don't waste your time anywhere else!	After numerous visits to NYC at many different hotels in the city, I have found the hotel I will be returning to from now on! The San Carlos has everything that a larger, chain hotel could never provide its guests -- that personal touch along with wonderful amenities and VERY clean rooms. We stayed on the 3rd floor and didn't care that we had no view of the city from our room-we didn't come to see the city from our room! The hotel Staff are outstanding to say the least, and the owner even took the time to introduce himself to us after we asked about the hotels ownership. Try that at the W Hotel, or most other chain hotels! The bathroom was very nice which matters to women, the rooms were so clean and ours (room 310) was a surprisingly big size with 2 double beds. The continental breakfast was more than enough to get you started on your day, although for me, dry cereal or instant oatmeal could replace the yogurt &amp; cottage cheese. But the complimentary breakfast is a wonderful plus. Also, the subway is around the corner, and VERY easy to use all around the city. Trust me, for the price &amp; personal service, DON&quot;T STAY ANYWHERE ELSE. I read this web site before I travel anywhere, and the comments are mostly true and accurate. That includes mine!!	
Sep 27 2007 	Fantastic stay at the San Carlos	My wife and I stayed at the San Carlos in the first week of September. On arrival we were upgraded free of charge to a deluxe room, however the room was not far from the buildings air conditioning unit. As my wife is a light sleeper I went down and requested a room change. Not a problem, within a couple of minutes we were given a different room on the other side of the hotel and much higher up.The room itself was much bigger than we expected, there was plenty of room to walk around in and was certainly not cramped like a lot of New York hotel rooms. There was a walk-in wardrobe which was more than big enough to hang up our clothes and store our suitcases. The room also came with a microwave which proved handy. The bathroom was also large and much better than we could have expected.The location of the hotel is great. A minute of Lexington Avenue, 20 minutes walk to Times Square and about 15 minutes to Central Park. It is also right next to a subway stop which gives easy access to the rest of New York. The area around the hotel was safe and we felt quite happy walking back there quite late at night.The staff at the hotel were fantastic. From the doormen to the front desk they were all incredibly helpful in giving tips of what to see and what would be the best way to get to certain sights. They went out of the way to help, including ringing our airline for us to confirm the time we would need to check in for our flight out of New York.Te breakfast at the hotel was fine. Plenty of bagels, croissants, Danish Pastries etc. One suggestion would be go earlier at about 7:30. At this time we fund there was plenty of room to sit down and plenty of food to choose from. We had breakfast at 9 one day and this proved a greater challenge in seating but its free so you can't really complain. If you want an authentic NY bagel then I would suggest Ess-A-Bagel around the corner from the hotel.All in all we had a fantastic time at the hotel and on our next visit to New York would definitely stay there again.	
Sep 25 2007 	a gem of a hotel	We stayed 3 nts at the hotel and it exceeded in every department...on arrival our bags were taken and we booked in promptly and were in our room ( 8th floor) within a few minutes...the bell boy was informative without being too in your face and gave us a few pointers for things to do...the room size was great(having stayed in N.Y before we have been used to smaller rooms) No Traffic noise at all....comfy bed and good air con. The free internet and gym were a bonus and came in handy.The Breakfast was okay..for nothing,and most people we spoke to enjoyed it....toast,rolls,cereal,hot coffee etc was a good way to start the day.This is by far the best hotel in N.Y for value and we will definetly stay and recommend this hotel to all our family and friends.	
Sep 23 2007 	Loved the San Carlos Hotel	Central , safe location. Stayed in Executive Suite (bedroom plus separate loungeroom) with kitchenette and a/c in both rooms, as well as two TV's. Both rooms good size. Plenty of cupboard space for clothes. Bathroom very good. Beds very comfortable. Continental breakfast included also. Gym and internet facilities available. Staff excellent, especially conceirge Matthew. It is worth the extra $ to come back to a clean, comfortable room with plenty of space, after walking around all day sightseeing, and having a glass of wine out of your mini fridge , plus cheese and biscuits(we did not use the mini bar and stocked our own mini fridge in the kitchenette). Not far from restaurants, plus supermarket, pharmacy and subway. Wld definitely recommend and also wld stay again.	
Sep 22 2007 	Thoroughly Enjoyed the San Carlos	We stayed at the San Carlos Hotel in NYC for 7 days and were pleased from the moment we arrived and were greeted by name until the day we left. The entire hotel staff was very friendly and our room was more than adequate. The continental breakfast was not a full blown breakfast, but it was not advertised as such as it was a great start to our day. If you're looking for feather beds and you won't find them here, but after a long exciting day in the city, we were exhausted and slept quite well every night. Not even the street noise bothered us at all. If you are looking for a charming friendly, well located hotel, choose the San Carlos. Check their website for promotions -- it works and we were delightfully pleased with our choice.	
Sep 4 2007 	Great hotel	I stayed three nights at the San Carlos Hotel and had a wonderful stay. I was traveling with 3 other adults. We had an one-bedroom suite that was extremely spacious and comfortable. The service was terrific, especially the man at the front desk in the mornings. He had quite the sense of humor.The fitness center was small, but had nice equipment. It happened to be located on the same floor as our room, which was very convenient. We were on the 3rd floor and did not find street noise to be a problem.The continental breakfast was not great, but I was not expecting much either. Most hotels don't even offer free breakfast. We only ate there the first morning. There are restaurants all around to choose from and of course Starbucks.The location of the hotel is great. We felt very safe even late at night.I would highly recommend this hotel to anyone.	
Aug 24 2007 	Loved the San Carlos!	Our family of five stayed at the San Carlos in July for four nights. We found the hotel property to be immaculate, the staff PERFECT (warm and friendly, and naturally, not overly, so), and the furnishings clean and good quality. The breakfast, which is included, was adequate. It is nice to have coffee and juice, etc. available for a quick start to the day. There were sweets and bread items, but very little fruit (apples?) and no eggs, cheese, or meat. There also was a small refrigerator full of Stonyfield Farms yogurts.We contacted the hotel directly to make the reservation because we wanted a one bedroom suite with two double beds, and I didn't see any available online. Even by calling the hotel, we were only able to get a one bedroom with a queen bed. When we checked in we were upgraded to a room I had not seen online, a one bedroom suite with a king bed and an additional half bath. It was a great room, and the extra half bath made a big difference for five of us getting ready in the morning!The staff was very responsive. When we called to have a rollaway bed delivered, it took less than 5 minutes to arrive. Also, we called the front desk pretty late a night (10 pm?) because we found that the window locks on three of our windows were not secure. The repairman was at our door in just a couple of minutes, and he fixed the one that was broken (and helped us lock the ones that we apparently weren't strong enough to lock our selves!).The location is great too. Very close to an express subway stop for the East side (the Lexington line) and easy walking distance to Grand Central, Rockefeller Center, Central Park South, and the UN.It was a pleasure to come &quot;home&quot; to the San Carlos each night in New York City.	
