	Is asking for a fish at a Kimpton that difficult a request???	First off the positive...a very short walk from Grand Central Station. Upon entering 70 Park Avenue I didn't get that &quot;Kimpton&quot; scent that all Kimptons have (sorry but I think Kimpton properties have a distinct fresh scent). The lobby and check-in area were very cramped and I felt claustophobic. Being a dog lover and purposesly staying at Kimptons because they are pet friendly, I found it odd that when I asked the front desk person if there were any dogs there that he didn't know and had to ask the front door man? As we were checking in I requested that a fish be brought to our room. Six hours later, still no fish, I placed phone call and was transferred to a manager's voicemail, where I politely left a message that we had requested a fish and would like one brought to our room which was on Wednesday. Upon check-out on Friday we never saw any fin friends in Room 709, which by the way I would never stay in again. This room was located right near the elevator and by a door that was used constantly by housekeeping staff and when opened or closed made it sound as if someone was knocking on our door. Apparently this hotel does not have housekeeping closets for storage. The whole three days we were there lined up in the hall right outside our room were various carts of towels, etc. The television in our room had serious malfunctions. We set the temperature in our room to 65, but it was a consistent 75?? We never used room service because I do not think any breakfast averaging $24 is worth it. The Silverleaf lounge did offer the customary Kimpton Happy Hour $5 drinks from 5-7 p.m. nightly. We were told there was live music in the lounge, but didn't hear it as it didn't start at the time it was advertized to. I do love Kimpton hotels, but will definitely stay at one of the other ones in NYC next time we are there.	
Nov 25 2008 	Loved 70 Park Avenue	We arrived at 70 Park Avenue on Firdya 21 November and where greeted by the very friendly staff. We had arrived in advance of check-in so we left our bags to be safely stowed away while we hit the streets to explore the Big Apple. The position on Park Avenue is great as on immediatley stepping outside the hotel you have a wondeful full view of Grand Central Station to your left. It only takes about 6-7mins to get to 5th Avenue which is great. You are smack bang in the middle of midtown with so many sights accessible from here. Our room was great with the most comfortable bed and amenities. I would certainly want to stay here on my next visit as it ticks so many boxes. After pounding the NY streets for hours on end it is so good to look forward to coming back to a lovely cosy room with a great atmosphere and jacuzzi!!. Good NY hotels are hard to find as so many of them focus on being uber trendy at the expense of real comfort and your wallet!	
Nov 23 2008 	Ok - might visit NY again but won't be staying here	Just back from 2 nights in this hotel. Got a good (for NY) price through priceline website. The hotel itself is very nice and the location is good.........However, there were a few negatives - the taxi drivers! Why do they feel the need to make such a continued racket until all hours of the night???? Extremely annoying. The bed in the room (double) was a bit smalll............ The shower was very noisy when the water was turned to hot. For a room service order of food totallying $28 I was charged a further $12 in taxes, delivery and graditude - ridiculous surely?? And finally, I phoned the front desk to ask to borrow the hair straightners the morning that we checked out but they didn't arrive..........If I do return to New York I probably wouldn't stay here again.	
Nov 21 2008 	Would stay here again	Our room was small, but stylish. The bed was very comfortable with plush pillows and linens. Our bathroom was tiny, with an awkwardly placed toilet, but the shower had great water pressure, hot water, plush towels and everything was clean. We had two windows that actually opened (nice!) and had a great view of the Empire State building.Things we loved:-Convenience. Easy walking distance to the major NY attractions. We were visiting to see a play and the theatres were within easy distance. We drove down and the hotel is fairly easy on/off the FDR.- Pet friendly: We specifically booked here because the Kimpton chain is pet friendly and we wanted to travel with our dog. For this reason, we will keep coming back to Kimpton. - Wine hour in the lobby - A nice way to unwind at the end of the day and meet other travelers. - Mostly friendly and accomodating staff. Front desk staff and doormen were always friendly and helpful. The hotel kindly accomodated our request for scheduling a specific housekeeping time so we could take the dog for a walk while they cleaned the room. We found one of the conceirges a little snooty and not very helpful. We would recommend more &quot;meeting and greeting&quot; of the guests and less internet surfing on his part.- Neighborhood feel: Located in mostly residential Murray Hill, we liked walking the side streets of this neighborhood and admiring the unique architecture of the homes. These neighborhoods were great for walking our dog as we were worried about how we would walk him on busy NY streets. On the down side, we felt the neighborhood lacked good dining choices within quick walking distance. We hoped for small, neighborhood style restuarants and found mostly larger, glitzy restaurants. We did enjoy Moonstruck on Madison for great breakfasts. El Rio was just OK for mexican food. Otherwise, we traveled out of the neighborhood for eating. Funny enough, there was a small cart on the opposite street corner for morning coffee and pastries that had the freshest doughnut I have ever had! Things that could be improved:- Because the rooms are small, less furniture would be more. Does anyone really use minibars?- There are no closets, but there are armoires with mesh doors. While OK for hanging clothes, they were too small for storing a suitcase. Worst of all, they had a pair of leopard print women's underwear apparently available for purchase. I would recommend to management, getting rid of these tacky items. Firstly, as a gay couple, it was the last thing we wanted to see, but more than that, It made us feel as though we were staying at a cheap motel and nobody wants to be looking at someone else's underwear. Because the armoires are open it became part of the rooms decor. Generally, a tacky feature and I can't believe anyone actually purchases these?!- No internet - huge problem. There were no unblocked signals to tap. The hotel allows 15 minutes free use on the lobby computer (after entering your credit card), with a fee for longer use. At these prices, we would expect free internet. - The noise: We requested a room on a higher level, hoping to eliminate city noise. Unfortunately, we were limited to the third floor since this was the designated pet floor. Even though the hotel is in a so called &quot;no honk&quot; zone, the honking seemed non-stop. We live in a major US city and therefore used to city noise, but this was constant. We asked for a fan the second night to provide some white noise for sleeping. Ask for a higher floor when booking. On the flip side, because we were on a pet floor, I think we were the only booked room on our entire floor. We never saw or heard anyone in the hallways or next to us.- Expensive parking - $50 a day for valet parking. There were several garages in the neighborhood with special rates. I think you could save big bucks if you parked your own car. I will say, the valet who greeted us (wish I had a name!) upon arrival could not have been more friendlier and accomodating.Overall, still an enjoyable stay and would rebook here.	
Nov 11 2008 	Ok but will stay somewhere else next time	Pros: Great location, helpful concierge &amp; wine hour! Nice breakfast in the restaurant too.Cons: Noise from adjoining rooms (we did complain &amp; so did other hotel guests that I spoke to) unfortunately the hotel allowed a party until at least 3am in the room next to ours, apparently the other guests also heard people fighting. There was confusion over our room too, we asked for a twin room but the room we were allocated on arrival was a queen. I did check with the hotel by email before arriving but they still managed to get it wrong – maybe this was why we ended in a twin room looking out to a brick wall? Also I did not get any upgrade mentioned by the other reviewers even though I am a Kimpton In Touch member, I would have mentioned this to reception if I had known!Nice hotel but the noise problems would put me off ever staying here again.	
Nov 9 2008 	Would return to 70 Park Ave.	I stayed at 70 Park Ave. from Oct. 25-27 after booking it via Priceline. The rate was excellent, and upon confirming the room, Matthew, was extremely helpful and due to availibility, upgraded me to a room with two queen beds.When I arrived, I was checked in promptly and everyone on staff was extremely courteous and nice. I must say, I've stayed in Manhattan over 20 times, and this hotel had the most polite and helpful staff.The room was extremely clean and a very good size for NYC, and the beds were very, very comfortable. I also signed up for the Kimpton In Touch program online beforehand, and received a $15 credit to spend on the room's minibar...a very nice bonus. I was located on the 8th floor and I could not hear any street noise. The bathrooms are quite small, and I had a problem where the sink was not properly draining. The front desk sent someone up to remedy this quickly. The L'Occitane amenities were amazing. I am usually not a fan of the bathroom shampoos/conditioners, etc. (except when it's Aveda), but the ones provided were excellent quality.The location is excellent, very close to Grand Central and several subway stops. The only snag was when I was checking out. Although room and tax was already paid for via Priceline, they charged my visa again. When I returned home I called back and they confirmed that I indeed was double-charged, and the front desk staff member said they'd reverse the charge and email me an updated receipt. However, I never received this, and had to call back a couple days later. This time the person was quite helpful and mailed me a copy of the corrected bill. This was an inconvenience, but I'm glad I caught the mistake and it was eventually taken care of.Overall, despite the billing issue I would definitely return to 70 Park Ave. again. I had a very positive experience there during my stay.	
Nov 9 2008 	Great Location but smallish rooms	being so near Grand Central, Herald Square, cannot beat this location. walking distance to Times Square or a short train ride away from Grand Central. only downside as everyone has mentioned is the smallish rooms, I had 1001...facing the back and to another buidling but because of that it was quiet. they let me have a look at 1005, marginally bigger, bighter with 2 windows instead of one but i was afraid of street noise so stayed in the first room. not much of an issue with the small rooms as we were out most of the day and it was not as small as the W where I stayed 2 years ago, that was even tinier!wine evenings a nice touch. staff was friendly, Nadia the housekeeper and the bellbo/doorman whose name i forget now (alonso?). Concierge was great, did not see his name but i think his name tag said 'Harry Connick Jr'...gave frank and real advise. he was funny too, that was a bonus. gave the best advise for brunch nearby, this cafe called 'Penelope's' i think, long wait but great value and tasty and not touristy.i got it for $239/night from the hotel website which i though was great value. good stay all in all	
Oct 28 2008 	Great Value	We have previously used the Kimpton Chain in SF and referred to Trip Advisor when making a booking for 70 Park Avenue in New York. We were lucky to be upgraded to a King Room upon our arrival given we were a Kimpton In Touch Member. Great bed, enough space although bathroom was small. However, we enjoyed the room and bed was big and comfortable. Staff were friendly and courteous and consider hotel great value for New York. Hotel has a bar / restaurant which we did not use. Definitely would stay again	
Oct 26 2008 	Great hotel in a great location	We stayed here for 5 nights in a family room for 2 adults and 2 teenagers. Although space was tight it was adequate and you don't spend a lot of time in the room anyway. The beds were very comfortable and we had the bonus of a great view of the Empire State from our window. On our first night we found the room quite noisy but were readily moved to a higher floor by Reception and this was much appreciated. We also had friends in the hotel who stayed on a lower floor and they weren't bothered at all by the noise so we may just have been extra sensitive! A nice touch by the hotel was the 'happy hour' evening reception, it was a lovely treat to return home to after a long day sightseeing and shopping. The hotel is in a great location with 5th Avenue, Grand Central Station, Empire State, etc all just a few minutes walk away. Would definitely stay here again.	
Oct 22 2008 	Awesome Hotel Awesome Service	AWESOME hotel, staff is great, the Managers get together is a nice touch at the end of the day....EXCELENT service PatrickIn the middle of everything can walk everywhere....for sure will be back!!!!!!!!!!!!!!	
Oct 22 2008 	Quiet Haven gets 70 Park Ave an A+	We booked this hotel because we have loved the other kimptons that we have been to this year, namely because of their attention to details and hospitality.Make sure if you stay here that you sign up on their website as a Kimpton in touch member. It's free, and you get perks and points. Namely free internet ($11), a welcome gift, and since it was my friend's birthday, champagne and cake.The room was a good size for a NY hotel. The use of lighting (everything had a dimmer!) and mirrors really created a great atmosphere. Loved the l'occitaine ammenities. THere is also a free wine reception from 5-6, but we missed it because of theater tickets. The room was quiet, and not far from Grand Central.Overall we really enjoyed our stay. The room was perfect and the staff was friendly. I would highly recommend this hotel.	
Oct 21 2008 	Wonderful Hotel Wonderful Location	We recently spent a long romantic Columbus Day weekend at the 70 park avenue hotel, Friday to Monday, October 10th to 13th. We were in Room 1217.Our redeye dropped us into NYC early Friday morning and we went directly to the hotel. We chatted with reception a bit, showed our Kimpton InTouch card, and were upgraded to a King Premier. This room was quite large for NYC standards, and we have stayed at quite a few hotels in the City. The jacuzzi tub and Occitane sundries added to whole romantic weekend feel, as did the electric candles. The entire experience from the lobby and its welcoming aromatherapy, to the room, to the bathroom was one of quality. The facilities left us without want.My bride is a member of the Kimpton Hotels Guest Loyalty Program because she feels this hotel group goes out of their way catering to the Woman Business traveler. At the 70 park avenue hotel, even curling irons and straighteners were available if one forgot them. The attention to the woman business traveler was evident during both the morning complimentary coffee service and the evening wine reception. During our brief stay, I can honestly say that during these moments, the ratio of Men to Women was at best 1 to 4. Not a bad way to start the day.The location is perfect, in the middle of the quiet Murray Hill area, yet only 2 blocks from Grand Central. The walk is only 5 minutes at the most. The hotel is on Park Avenue and we never had a problem flagging down a cab whenever we needed one. We used Grand Central Terminal as a meeting spot for our forays into the city with our friends who live in Brooklyn and on the Upper East Side. We'd meet at the Oyster Bar or the Campbell Apartment for a cocktail before heading out on the town. I would recommend this hotel to those who are expecting a luxurious boutique hotel and for those who want to be centrally located.	
Oct 15 2008 	Great location on Park Ave.	This hotel was recommended by a friend and it was perfect for us. We arrived off a red-eye flight but they stored our luggage at 8am in the morning. Room was great, bed very comfortable and we didn't have much time to use the flat screen TV except once. Staff were great, doorman always smiling and cheerful. My sister got a room with a view of the Empire State building. Great location, we walked everywhere south of the park and it is only two short blocks from Grand Central station with lots of subway and suburb trains. Only gripe was that their breakfast was overpriced and not so great, but everything else was really good value. It is not cheap, not too expensive either, and worth every cent. I will stay here again.	
Oct 9 2008 	a bit cramped and noisy...	Rooms are indeed a bit small, and if you're not used to small spaces, you could be even feel cramped (especially in the bathroom).Our neighbours were too noisy and even tried to enter the room through the doors that connect the room if you open them, but the hotel can't help that.Since the room isn't that big, I would advice the hotel to adapt the term 'less is more'..:-) They've put way too much in the room!It was a bit dirty when I opened one of the small cupboards in the room, because there was 1mm of dust on the bottom of the cupboard. I immediately closed it again.Room is way too dark and our 'view' (which I requested by sending them an email upfront) didn't allow us to open the curtain without being watched at..So not very positive about the room since the rate is quite high (but I know, it's NY...). Positive is that the lobby and the bar/restaurant are cosy and welcoming. Staff very friendly!!I think they do need to make some changes in order to keep their status.	
Oct 8 2008 	Best hotel experience in NYC	70 Park Avenue Hotel is my home away from home in NYC. I travel extensively for business and stayed with the fine team at this property for about 60-70 nights over a 12 month period of time from 2007-2008. They are wonderful! John, Carlos, Fernando, Jennifer, Marcella, Effrin, Josephine and the rest of their team are world class. My dog travels with me and the hotel is not only pet friendly, but they embrace them! The concierge will gladly arrange a dog walker while you are out (ask for Mustafa) and recommend all of the best places to take your pooch if he/she is with you. The rooms are a little cozy, but that's NY for you and the location is outstanding! Just a few short blocks to Grand Central will get you anywhere in NYC and beyond. There are many great eating establishments in the area (try Aji if you like Sushi and Carl's Cheesesteaks are the best outside of Philly) and if you're not sure where to go, just ask one of the smiling faces in the lobby! Make sure to join Kimpton's frequent guest plan as you'll be visiting this hotel over and over again!	
Oct 5 2008 	Great Time at 70 PA	We have just got back from a long weekend at 70 PA and we had a fantastic time. The weather was not so great (resulting from Tropical Storm Kyle) so we were so glad that we had chosen a good 4* hotel that is geared up to making their guests' time as comfortable and as luxurious as possible.I personally feel that the hotel is in a quieter part of NY (38th East) but still pretty central (2 or 3 blocks from Grand Central Station and the same for 5th Avenue) so we had the best of both worlds. TIP: If you are a light sleeper get a room as high up as you can to try and get away from as much as the street noise as possible. Also request a room away from the lift.)The hotel itself doesn’t look as 'boutique' as you might expect from the outside - and the lobby is not as intimately opulent as one might expect if familiar with other boutique style hotels BUT the staff were all welcoming and helpful. The concierge (I didn’t get his name) was a star and got us a table at the Marriott Hotel The View Restaurant at the very last minute (This restaurant was great for city views but ask for a table by the window in advance and DO get the tasting menu – gorgeous and great value when you compare to London tasting menus!!). TIP: There is wine tasting in the lobby every night from 5 - 6pm (approx) which looked great fun and a real bonus after a hard day shopping.The rooms are what makes the hotel in my book. It feels like walking into a cocoon after the chaos of the city - all warm lighting, soft fabrics and soothing green tones. It takes about 10 seconds to take in the peace and then you notice the… 42&quot; plasma, the amazingly well stocked mini bar, the L'occitane toiletries and the exemplary 24 hour room service menu. Oh and did I mention the spa menu if you fancy some relief for those tired feet from all the walking? (because you will walk!) In summary, this hotel really does try to please everyone and doesn't fail. We loved it and would go back, if not there, then definitely to another Kimpton Hotel.	
Sep 25 2008 	Small but perfectly formed	Great location, friendly staff, the bar was very nice. Although we never tried the food.The room was pretty small but that's New York for you! It was very nicely decorated. Nice touches like a complementary umbrella and Ipod docking station/ alarm clock.Great TV and DVD available although we never used it as there was so much to do in NYC!	
Sep 21 2008 	Very happy here!	My husband and I stayed here for the weekend September 13-14, 2008. The hotel staff were all polite and helpful. When we checked in, I was worried that the elevator would bother us. However, you could barely hear the quiet &quot;ding&quot; and it was not a problem at all! The room as smallish as expected, but was just wonderful for as little time as we spent in it. I will say....we had the WORST time in the mornings trying to get out of the fabulous bed!!!! I wanted to stay in bed all day rather than sight see! I also appreciated the nice bath amenities. The hotel was located perfectly for sightseeing. We easily walked to most sights, and the subway station only a few blocks away. If we were tired, the doorman was happy to hail a cab. We thoroughly enjoyed our first trip to NYC and were very happy at 70 Park Avenue Hotel.	
Sep 10 2008 	Good! to recommend!	I stayed in room 1520 of 70 Park Avenue from 9 to 14 Aug., 2008I was with my husband, a friend of mine and her son. We decided to share the same room to stay in a good hotel and to avoid to pay too much money for the accommodation.There were other 3 friends with us who have been located at 3rd floor: be sure to ask for a high floor room and you will get a good view, otherwise the low floors are extremely noisy.The hotel is conveniently located near the Grand Central Station and 5th Ave, and all major tourist attractions are nearby. A metro station is just a minute walk from the hotel so that you can go everywhere with easy. All those of the staff are cute, polite and good-willing.The hotel decor is modern and pleasant. The foyer has a seating area with newspapers, internet access computers (first 15 min free) and chilled water dispenser with lemons, limes and oranges--tasty on a hot day.I can say they do all their best to let you feel welcome, comfortably and at ease.The room, while not huge, was more than adequate (please note we were 4!) and had everything you could ask for, including a comfortable beds.The bathroom was small but clean and pleasant (the toiletries were excellent).I can say we had a very good stay, at a good value for money, at this hotel and I would highly recommend this hotel to anyone looking to go to New York.I’ll go back next May!	
Sep 8 2008 	A great boutique hotel	We just returned from a weekend stay at the 70 Park Avenue Hotel in Manhattan.Hotel and Location: 70 Park is a small, chic, Midtown hotel that offers a level of service that’s superior to many larger hotels at this price point. The quaint lobby is nicely decorated, comfortable and inviting. The hotel staff that I encountered during my stay (front desk, concierge, doormen, maid and valet) were proficient, gracious and accommodating. The hotel is located in a residential area of Park Avenue, 4 blocks south of Grand Central Terminal. Getting around town from the hotel is pretty convenient; taxis are readily available on Park Avenue and there are two subway stations located within 5 blocks of the hotel (Grand Central Terminal and the 33rd Street/Lexington Ave Station).Room: I got a very reasonable “Sleep in Style” promotion rate of $263/night for a King Deluxe Room for our Friday and Saturday night stay (valet parking was an additional $52/day). The room rate included a $20 credit for the hotel’s Silverleaf Tavern. My requested “quiet room” was on the 12th floor, overlooking Park Avenue and the Roman Catholic Church of Our Saviour. The room was approximately 300 square feet (a decent size by NYC standards), very clean and stylishly decorated with a comfortable king-sized bed, a small armoire (instead of a closet) a small desk &amp; chair, an upholstered chair and two nightstands. The room size is adequate for two people and a couple pieces of weekend luggage, but I wouldn’t book a lesser category room. The bathroom, although not spacious, was stylish, clean and functional. The hotel offers all the special Kimpton amenities including a complementary evening wine reception (from 5-6PM), L'Occitane bath products and plush bathrobes. At around $250/night, I think the room was a particularly good value for Midtown Manhattan.Hotel Dining: On Friday night, we met a couple of friends at the hotel’s Silverleaf Tavern, where we enjoyed tasty “small plate” appetizers, cocktails and wines by the glass. The food and drink quality, presentation and service were all very good. The tavern isn’t a full-service restaurant, but it’s a great place to hang out, converse and people watch.Summary: Overall, the 70 Park Avenue Hotel is a wonderful city hotel in a great location. The promotional rate of $263/night was also a great value. Once again, we’re very satisfied with the quality accommodations, amenities and value offered by Kimpton and we'd definitely stay here again!	
Sep 3 2008 	Prime location Great Service	We stayed here on business. Before we arrived, we emailed a question and received very prompt and satisfactory response from Tim Thomai. As a Kimpton In Touch member, we also enjoyed the benefits offered by the hotel.The hotel is conveniently located near the Grand Central Station and 5th Ave (for the shopping buffs). The toiletries were excellent. They had flat screen TV with a decent selection of channels.Thoroughly enjoyed our stay there.	
Aug 28 2008 	Mixed experience	This is a really good hotel in a great location for 5th Avenue, RF Centre, Grand Central, Central Park etc. Rooms are smallish but comfortable, clean and pleasant. My issue was that there were four of us staying, a couple and two women. We had booked (some time in advance through alpharooms) a double and a twin room but when we arrived they said they had no twin rooms left. They said that they would see what they could do. Their response was to provide a fold down childs bed which was totally inadequate - especially at the price we paid - although we waited on day 2 of our 3 night stay for them to sort things out they did nothing further to resolve this situation. We were disappointed that they didn't really try to at least offer some kind of compensation. So good hotel if nothing goes wrong but don't expect them to respond if they get it wrong.	
Aug 22 2008 	Good location some traffic noise	We stayed here for 4 nights and chose this hotel because of good reviews and its closeness to Grand Central Station. The location is very good. You can walk to the Empire state building and 5th Avenue shops. Our room was very small (on 3rd floor)and the bathroom was tiny. You had to sit at an angle on the loo! However, everything was clean and the bed was very comfortable. There was lovely L'Occitaine toiletries, but bizarrely no shower gel, only soap, shampoo and conditioner. There were no drinks facilities in the room, which was a shame as of course the mini bar was expensive. However, the hotel staff are excellent. The room had a plasma TV which had lines on it so we mentioned this to staff who arranged for an engineer to repair it. When he couldn't do this they moved us to a better room (bigger on 9th floor) and gave us vouchers for a free breakfast as compensation. We were very pleased with this. The traffic is very noisy. You hear continuous horn blowing from taxis and street noise, but I guess that's the down side to staying in a city. We only ate breakfast here once as there are numerous cafes close by which are cheaper. The breakfast was buffet style with plenty of choice. The hotel also provides complimentary tea and coffee from 8:30 am- 10am so we often used to grab a drink and buy a muffin from a bakery. New York is great and this is a good hotel to stay in for sight seeing. We used the Gray Line tour buses for getting about and walking is easy too. We would stay at this hotel again, but would book a larger room on a higher floor.	
Aug 12 2008 	So-So Won't stay again.	Great location, that is correct. But... I stayed for the weekend with my husband and children. Several days before we arrived, I emailed the hotel asking for two beds in room. The Kimpton website said that I would receive a reply but I did not. Upon arrival I was told that two beds would not be possible. The concierge told my husband that he &quot;didn't know&quot; where a good place for kid friendly dessert was located. The room had no coffee maker - come on!! The toilet was situated right against a wall so unless you are under 75lbs, prepare for an adventure. The tv remote did not work properly. We could not change the channels. Thank goodness for the great bartender in the hotel bar! Happy hour in lobby was nice. Hotel employees were friendly, bed was comfortable. We would take our chances in one of the many other hotels in the area next time.	
Aug 8 2008 	Great Location friendly/helpful staff tiny room.	We made a Priceline bid and eventually won this 4*-rated property for $185/nt ($222 w/taxes and fees). The hotel is in an outstanding area: close to Times Square, Grand Central Station &amp; the Empire State Bldg. The tree lined streets made for an attractive neighborhood. Nearby restaurants, drug stores and the like made this ideal for our short trip to NYC.The staff here were uniformly friendly: from the doorpersons, to the desk staff, housekeepers, restaurant/lounge staff and concierge. We were treated politely by everyone. Several, in fact, did not want to accept a tip for their services (e.g., the person who brought us a roll-away bed). We were surprised by this, expecting people to have more of an &quot;east coast, big city&quot; air.The hotel decor is modern and pleasant. The foyer has a seating area with newspapers, internet access computers (first 15 min free) and chilled water dispenser with lemons, limes and oranges--tasty on a hot day.Our room was tiny--one bed for two people, so we needed a rollaway bed . To accommodate the rollaway, we had to remove a chair. The flat screen tv had tons of channels. There were two radios. A minibar served as a tiny fridge for our water bottles. No coffee maker, but we did have iron, board and hair dryer. The bed and rollaway were comfortable--lots of nice pillows. The lighting and color combinations were pleasant. The bathroom, while not huge, was large enough for our toiletries etc. A better fan/ventilation would have been nice for preventing the mirror from fogging up. Toilet and sink worked well. We were on a low floor, and only had a view of the air shaft. Should have asked for an upper room.New York hotels are expensive and rooms are small. In this context, we felt we received decent value for our money. While I would not have wanted to pay the $300+ per night regular rate, our priceline rate made this hotel of good value.	
Aug 5 2008 	Great Hotel!	This is an excellent property. Location on Park Avenue is in a quiet, 'well-to-do' residential neighborhood, which is ideal to return to after a busy day of NYC sightseeing. Fifth Avenue, Central Park and the Empire State building are only a short walk away.The room was large (Deluxe Queen), modern, well-appointed and very quiet. This was one of the best city rooms we experienced on our trip across the USA.If there was one complaint, it is the charge for the internet. In my opinion, hotels should be supplying this as part of the standard service (many now do), or at the very least, a nominal charge. However, the fee the hotel was seeking was excessive. Although there is WiFi for those with laptops, many travellers who come from far away do not like to 'lug' around laptops (especially travelling through US airports). In any case (and after much seeking), we did find an internet cafe on 38th St not far from the hotel that charges $2 for 30 minutes.Other than the internet (which I have not taken into account when rating the hotel) the experience at this Kimpton was excellent. If I was returning to NYC, this is the first hotel I would stay at. I have already recommended the hotel to a friend who will be in NYC in September.	
Aug 2 2008 	Incredibly friendly staff Average hotel	My wife and I stayed two nights at 70 Park Avenue Hotel on the weekend of July 26th. We booked our hotel through Priceline by making an offer of $200 for a 4-star hotel.I had sent an email to the hotel prior to arriving letting them know that my wife and I were coming there to get one last getaway before having our upcoming baby. I also requested for any kind of room upgrade, if possible. We arrived around noon on friday. They stated that we could check into a regular room at that time or if we waited until 3:00 pm, they had a room reserved for us on the 16th floor with a nice view of the Empire State Building. We decided to wait and had them hold our bags for us. When we returned at 3:00, they booked us into a room on the 14th floor without the view. I'm not exactly sure what happened to the original room, but we only booked a regular room, so that was fine. Overall, we found our room to be nice enough. I would, however, rate it more as 3 star, than 4 star. The room was on the smaller side and in the bathroom there was a heater right next to the toilet that required you to sit on it at an angle. The windows in the room were also dirty impairing the view that we did have. Also there were power strips with splitters and so many wires plugged into that was a little frightening. On the positive side, the room itself was very clean and had a nice decor. They also provide a lot of extras including a flat-panel TV, iPod docking stereo, daily newspaper, slippers and evening chocolates. They also left us a box of chocolates, two waters and a nice card congratulating us on our pregnancy. We found this to be incredibly thoughtful.We found the hotel staff to be incredibly friendly and helpful every time we had an encounter with them. The location of this hotel is also very convenient as well. It is only a couple blocks from Grand Central Station and within walking distance of many other attractions. I would recommend this hotel to others because of the helpful staff and all the little extras.	
Jul 29 2008 	Midtown hotel on a human scale	I stayed in room 1712 of 70 Park Avenue on July 25, 2008. I'd booked the room--a 'deluxe queen,' I think--through a promotion on the Kimpton website (which I'd found about, in turn, through their frequent traveler program) for $194. The hotel exceeded my expectations in just about every way. My only previous Kimpton stay was in Chicago, at the Hotel Monaco, which had been underwhelming in several ways (frayed furnishings, bad plumbing), but 70 Park Avenue thoroughly redeemed the brand for me. The room--on the top floor of the hotel, and I should add my thanks to the front desk staff for doing us that favor--was airy, quiet, and (for folks who care about this) spacious, thanks to a long, narrow corridor separating the room from the main hallway. The room and bathroom were, as I remember, done in shades of cool green, beige, and white; it was a great place to take refuge in after a night (or morning) on the town. The hotel, like most (and perhaps all) Kimptons, features a complimentary wine hour from 5 to 6 each evening, and it was fun to people-watch in the lobby, even if the latter was a little too small to accommodate the guests who wanted to hang out there. (Big lobbies are not, by the way, anything I tend to crave in a hotel; still, if we'd arrived any later than 5.15, there would have been nowhere to sit.) The location is also, I think, preferable to about any other on the fringes of midtown, except, perhaps, Hell's Kitchen. There are plenty of restaurants in Murray Hill and Gramercy, and the only drawback is the yuppie vibe: for those of you who've spent time in San Francisco, imagine a coarser version of the Marina with fewer natural blond(e)s. But we ate well and slept well and walked everywhere, and that's about all I expect from a neighborhood. The hotel is clearly in an older building--there was a whiff of sewage every time we stepped into the elevator that made me think, ah, the good old days!--but the renovations are pretty convincing; the lobby is graceful, if small; we never ran into other guests in our hallway (a big plus for me), nor did we hear them (except for one door shutting distantly around midnight); the bath products from L'Occitane were nice (although I'd still prefer Aveda, guys); and we kept expressing our wonder at how well we'd slept in the heart of the city.	
Jul 22 2008 	Couldn't have been nicer!	Enjoyed a three night stay here over 4th of July. My first room faced an inner courtyard and was very noisy. My request to move was honored and luggage moved for me. Concierge was very helpful with restaurant recommendations. Wine hour was great -although busy and they didn't enough glasses for everyone all at once. Oh well, a cold beer tasted good, too! Great location and pleasant staff. Give this hotel a try!	
Jul 17 2008 	Standard Kimpton	I've stayed at 70 Park Avenue several times for both business and leisure. The price usually seems to be right ($250 range) which is the main draw, as the neighborhood isn't very exciting. The good:– Because I am a Kimpton In Touch member, I seem to be upgraded at this property fairly often. The corner king rooms over nice views of Park Avenue and abundant light, which is a rarity in NYC hotels.– The beds are typical, very comfortable Kimpton beds.– The desk is great and extremely functional.– There is an extra chair so you won't need to resort to sitting on the desk chair or the bed.The bad:– It is nearly impossible to catch a cab outside this hotel. Because it is located downwind of Grand Central, you can forget about getting a cab between 8-10am and 3-6pm. Not handy.– The rooms are tiny. Closet space is not abundant and the bathrooms are teeny.Overall, I will continue to stay here when the Soho Grand is at capacity or out of my price range (during the winter). It is clean, the staff friendly and the room is comfortable which helps you forget the size.	
Jul 14 2008 	Great location	We have just returned from a 3 week holiday in the US where we spent 5 nights in New York in this hotel. The hotel is in a great location near many of the great skyscrapers ie Empire State Building, Chrysler Building and the beautiful building that is Grand Central Station is only five minutes walk away. The hotel lobby is small but plush with complimentary apples, water and newspapers. Our room was on the 3rd floor but we asked to be moved after the first night as the extremely noisy air con units were outside our window hence no sleep on our first night! The hotel staff were very accommodating and helpful and there was no issue about moving. We moved to the 18th floor (back of the building) and we got a lovely bright room with a view of the Empire State building. Beds were very comfortable with an excellent large flat screen TV, bathrobes, nice toiletries in the bathroom, iron, minibar and even an umbrella. We had two children with us so we never had breakfast in the hotel @ 25USD a head. Instead we walked 5 mins to the Grand Central station where there were lots of good value options that suited everyone.	
