	Clean and friendly	I arrived in New York by train and the hotel is located only a couple blocks from Penn Station, so the location was convenient. The price was reasonable for staying in the city. The room was clean (always my top priority).The front desk staff was very friendly. Breakfast was included with the room and included a buffet with cereal, fruit, bread, pastries, coffee, eggs, etc. It was busy during the breakfast rush, but I had no problem finding a table. The wireless was free and worked great in my room.My only complaint is the noise level in the room. I could hear everything in the hallway. My neighbor was in and out of her room all night and I could hear the door open and slam shut every time.	
Feb 13 2009 	Clean affordable convenient	Stayed two nights at the HIE MSG in June 2008. Overall, fairly pleased with experience. Room was of decent size (around 200 sq ft) for NYC--good for price paid/quality level of hotel. Free hot breakfast was fairly good too, although breakfast area was always overcrowded and very busy. Some issues with elevators while staying there--one of two elevators wasn't working at times, so often resorted to taking the stairs or waiting a long while. Even with both elevators running, often long waits at peak hours with a full house.Rooms are clean, comfortable, with modern decor. Nothing special but functional and attractive. Location is convenient to MSG/Penn Station area and heart of Chelsea is just a few blocks south of hotel. Discount parking was available for $26/day at a garage a few blocks away--a good deal for the area (check with hotel for details).I'd consider staying here again if I could get a room at a good price. Rate in late June was around $225/night--not a bad deal.	
Feb 11 2009 	Excellent value great experience!	I stayed here with my dog that was entered in the Westminster Kennel Club dog show. I got an excellent rate through the Holiday Inn Priority Club.The location to Madison Square Garden was excellent. The hotel was easy to find and it was relatively easy to get a spot to unload our luggage. There are parking lots next door, but the preferred parking garage is a street over and 2 blocks down. Be prepared to walk back to the hotel if you park there! Even though parking is listed for $24/day on the website, that price is for small cars. To park my minivan it was $10 more per day. Still, an excellent price.The hotel staff was courteous and check-in was done as promptly as possible even though it was quite busy. Our room was small as other reviewers have noted. It was very clean, organized and fresh. The bathroom was larger than I expected and included a 3/4 tub with good water pressure. Our 2 double bed room overlooked a patio courtyard and was not at all noisy. The high speed internet was free, fast and easy to access. The adjustable electronic thermostat worked great and we were quite comfortable.The continental breakfast was nice. Priority Club members can avoid the long breakfast lines and have food delivered to the room each morning. Items included pancakes, cheese omelets, cereals, muffins, fruit, etc... The coffee service was availabe 24/7.I will definitely stay here again.	
Feb 5 2009 	Bad Experience	Date: January 26 to February 2, 2009Reviewer: Lee Pu ShengWe have just returned from a week stay at the Holiday Inn Express Madison Square Garden NYC, and the experience was terrible! My wife left her purse in the room the only time and found out that someone took US$300 from her! Four T-shirts were also missing from our luggage after we check them with the hotel since we had a late flight home!! Ironically, one of the T-shirt had the new American president's picture on it; :Yes We Can- Steal!!!&quot;There is certain a negligence on our part since we should have all our stuff with us when going out, also, we would not be able to provide any solid evidence to prove the said thefts were carried out by abyone in the hotel; still, we would like to remind all possible customers: Be Prepared!!!!	
Jan 20 2009 	disappointed	We often stay at the holiday inn express hotels throughout the USA.I was really disappointed with the size of the rooms, we had 3 people in our room with 2 double beds and there was absolutely no room to move.The buffet breakfast was crowded and there were not enough tables to fit everyone and the whole experience was awful.This breakfast was one reason we stayed there and most mornings we didnt even bother to eat there as there was no room.The location was good although i think it is better to stay closer to Times Square.Also while we were there, the lift broke down so we had to climb the stairs which was exhausting.Wouldnt stay at this hotel again.	
Jan 19 2009 	Overall a good place for a budget traveler but with some inconveniences	I have stayed at this hotel 3 times, and choose it when I can get a very good rate – they often have lower rates than other nearby hotels of similar quality and I have also landed on this hotel via Hotwire. The hotel is clean, safe, in a good location, and the room furnishings/bedding are in good condition. Rooms are quite small, even slightly smaller than typical Manhattan rooms with just a body-wide space to walk around 3 sides of the bed. However, there are a few moderate inconveniences: First, there are only 2 elevators for a larger 15-story hotel, and there is no separate staff elevator -- so, expect long waits every time you go up and down, particularly around check-out times. It is particularly inconvenient that the elevator stops very often for hotel staff members getting on and off, including housekeepers and their carts (on multiple occasions we stopped at 4+ different floors just for hotel employees getting on/off – at times, hotel employees were in the elevator when it was full, leaving guests to wait for the next one). Secondly, we called the hotel front desk because the bathroom fan was running 24x7 and could not be turned off. We were told that most of their rooms on high floors are required to keep the fans on and nothing could be done. Even with the bathroom door closed, you could hear a constant fan humming through the door which was a little annoying ...the good thing was that on the 15th floor with every little NYC street noise – overall this will not prevent me from staying here at a good price, but it does prevent me from giving this hotel a high score. They have an &quot;OK&quot; free continental breakfast -- mostly pastries, juice, coffee, yogurt, etc. -- nothing special, except the fact it's fast and free.So, if you find a bargain rate and can live with the above inconveniences, this is a good place to stay. I suggest asking for a room between the 7th and the 10th floor, high enough to minimize NYC street noise while avoiding the highest floors to minimize elevator inconvenience and the fan problem noted above.	
Jan 17 2009 	Wonderful stay!	Was extremely pleased with this hotel and the location is great. Every staff member encountered from the time we walked through the doors was very friendly and welcoming. This will be the first place I check for future stays in New York. Reasonably priced, comfortable accommodations, variety at breakfast buffet, conveniently located to Penn St and great places to eat. It was an all around wonderful experience.	
Jan 17 2009	Really liked this place!	I stay in hotels 50 - 70x a year, and I've stayed at probably 20 places in NYC. This visit was with my daughter for fun. The hotel was very reasonably priced. The room was tiny! However, we spent very little time there, so the more important criteria were that it was well situated (an easy walk to Times Square and very near the subway, close to some fine Chelsea restaurants), clean, and quiet. The staff was very helpful. I did not use any of the workout facilities. Wireless was free and fast. The restaurant was vastly overpriced for breakfast, so we only made that mistake only once. Overall, a very good experience.	
Jan 15 2009	Great Location nice hotel	Got a great deal on this hotel using Hotwire (where you don't know the actual hotel until you've booked). The hotel rooms are fine, although without any stunning view or anything (our room looked down into a courtyard), but we weren't in New York to look out of the hotel window. The complimentary breakfast was good - the cinnamon buns were just the least healthy possible thing to eat, I'm sure, but they tasted good. The breakfast area was too small to accomodate all the people, but we got down to breakfast at around 8, and it was fine - a little after that and it became a nightmare and just got worse until we left the hotel at about 10am.The location was great, within walking distance of a range of nice bars and restaurants on 8th street (I think) down towards Chelsea. The complimentary &quot;business centre&quot; was some PCs with free printers, so you could check-in online if necessary (very useful if flying with Delta - what a horrible terminal they have at JFK! But that's another story).Complimentary coffee is available all day, which is nice when you get back from tramping round New York all day.Overall, very nice hotel and I'd recommend it.	
Jan 7 2009 	Excellent alternative in NY	We stayed at this hotel for three nights and we were very pleased with it. Clean, good rate for NY, looked modern, free breakfast, good location very close to Penn station, 34th St., etc.The only tip I can give you is that you should go to the breakfast early in the morning; otherwise you will end making a line to get it, and you will not find a seat and will ahve to take it upstairs to your room.	
Jan 1 2009 	Great location but some inconveniences	I stayed in this hotel for a weel and in general, I am satisfied with my stay. It was walking distance to a lot of places and attractions, as well as to bus, train and subway stations. There are restaurants close to it and also plenty of stores.The breakfast in the morning was always warm, fresh and very good, although it was hard to find a place to sit and most days, I had to take breakfast to my bedroom. Also, there was always coffee and tea available in the lobby. There were a couple of things I was not satisfied about. One is that the heater in my bedroom was so loud that I didn´t get one night of good sleep while I was there, even using ear plugs, if you have sensitive sleep, I don´t recomend to take the risk. I complained because the heater in my father´s bedroom was not that loud and they told me to turn it off... not much of a help, considering it was december and I´d rather sleep bad than get a cold in my vacation.Another thing I was not satisfied about was that the room service was inconsistent. In 7 days I was there, I didn´t get toiletteries nor clean towels, nor tea or coffee in my bedroom for 2 days. The bedroom was always cleaned and the bed made, but to forget to leave clean towels 2 out of 7 days I think is a thing to mention. I also complained about in in the reception and I got woken up at 6:30 am with clean towels.Besides these two things, I would recommend this hotel for its location, for the breakfast and the fact that it was neat and clean.Also, I must say that the street where it is located felt quite safe to me, which I think is important if you plan to go back to the hotel at night.	
Dec 23 2008 	Great Location Great Customer Service	I was able to get a room for six nights with two double beds with my rewards points for our family trip. We found the location to be great. We have stayed at Holiday Inn Express hotels in quite a few states so we were used to the wonderful breakfast that they serve. At this hotel the space is a bit small but we never had trouble getting a table. Our room was very clean. The people at the front desk went out of there way to be helpful as did the gentleman at the concerige desk. The only thing I would probably do different if I was to go back is get two rooms. I had been warned by many friends that the rooms in New York were a good bit smaller than what we were accustomed to. It was true! However a family of four managed to make it for six days with a little organization. A helpful tip I have used for travel would be to take a clear Over the Door shoe holder for the bathroom for your tolietries, curling irons and such. It helps with the clutter and gives you a little more counter space.	
Dec 21 2008 	Great place great rate!	We just returned from a weekend get a way to NYC. It was our first time. Our family loved the trip. The sights and sounds of NY were wonderful. The hotel was great! The rooms are not huge but it's NY and I didn't expect them to be big. But they were clean, the hallways quiet and the hot breakfast was outstanding. We were close to everything. We didn't know how to navigate the city but the front desk staff couldn't have been nicer. They gave us maps, tips on travel, recommended routes etc. They were very friendly and efficient at check in and at check out. We truly had a great stay and will visit this Holiday Inn Express again.	
Dec 21 2008 	will be back..	Fantastic stay, stayed here for a few days before thanksgivingSpotlessly clean and the breakfast was a welcome surprise	
Dec 19 2008 	Excellent	Stayed here 24th-30th November. My sister and I had booked two rooms and requested that they were next door to each other, which they were. Check in was super quick and the staff were always helpful and friendly. We both had a double room and the rooms were lovely. They're not huge but not tiny either. Perfectly fine and cleaned very well on a daily basis. Breakfast was good and plentiful - lots of cereal, fruit, yoghurt, toast and some hot items (eggs, sausage, pancakes....), but it's true, the breakfast area is small and does get crowded. But we did get a table every time we ate at the hotel so it's not too bad. The best thing about the hotel is it's location - 5 minutes away from MSG and Macy's. We did a lot of walking but also took the subway quite a few times and it's a 2 minute walk from the Hotel. The basement also has about 3 computers connected to the internet which you can use for free.	
Dec 11 2008	Great Little Hotel	While the rooms were small, they were clean and modern. We had three staying in each of three rooms. No problem. The breakfast was terrific. I expected stale rolls and some coffee - I don't know why my expectations were so low! Everything was really good and there was a large choice. The hotel isn't in my favorite location, but it was easy to get to the subway, taxis, and a very short walk to Times Square. Finally, the concierge was extremely helpful. Actually, the entire staff was wonderful. A rare thing for New York! I'd stay here again.	
Dec 10 2008 	Beware these Rip-off Artists!	I booked this location for business the week before Thanksgiving for the first day of December. My client changed the trip dates on us and the hotel would NOT let us cancel. Even though I called them more than a full week before my planned stay they told me they could not allow me to cancel the room (more like would not!). THEY BILLED ME OVER $550.00 FOR A CANCELLED ROOM that I never used.We all they being in Manhattan they were able to rent this room.The Holiday Inn NYC MSG basically STOLE over $550.00 from me. BEWARE!	
Dec 5 2008 	Great Customer Service	I enjoyed receiving excellent service. The room I was in was not to my expectation, the front night auditor suggested another room and I decided to keep the one assigned and waited for my request. I received what I asked for and enjoyed my stay. The entire staff were very nice, and on top of that the early breakfast was free hot and very enjoyable..................I loved the stay!	
Nov 29 2008 	great location good price for NYC....breakfast	Good price through Priceline for NYC. Rooms are a bit small, to be expected in NYC. Hotel seems clean, staff helpful. I've stayed a couple of times with no complaints. The breakfast is very good. Pleanty of space. Free wireless internet.	
Nov 19 2008 	Worst hotel room I have ever stayed in.	I reserved a suite with a king size bed and Jacuzzi tub on the Holiday Inn website. Then I discovered a friend would be traveling with me and I added a comment to the reservation asking for 2 double beds in place of the king suite. I called the hotel and the receptionist said she got the request and would try to accommodate the request and to ask about it when I got to the hotel the following week. When I arrived too early to check in on Saturday, October 11, 2008, the receptionist said they have rooms with double beds available and to return at check in time to get the room. I returned to the hotel at 6:00 p.m. to check in. The new receptionist said they were out of double bedded rooms and the only way to accommodate us was to put us in the wheelchair accessible room with a queen bed and to request a roll-away bed. I asked him to get us the roll away bed right away to ensure we would have a place for my friend to sleep. He did and we went downstairs to the subterranean level to room 102.As we got off the elevator, we were shocked that the entire hallway was blocked by huge laundry bins and dirty laundry piled up throughout the floor space. It was so clogged up that the employees sorting the dirty laundry had to lift our luggage over the piles for us and we had to climb over them to get to our room. The hallway smelled like disgusting wet towels and sheets. It was so filthy! Unfortunately, since there were no more double bedded rooms and since the hotel was completely sold out we didn’t have any other option than to stay in that room.That night, in the middle of the night, the workers outside the hallway were being very loud. My friend had to ask them to quiet down, which they did and apologized. Then half an hour later the noise started up again. We came to discover the next morning that the employee break room was next to our room and the employees were bringing their small children to work with them. If we could not get down the hallway without the assistance of the employees with our luggage, it is absolutely inconceivable that a disabled person in a wheelchair could possibly navigate through the piles of dirty laundry and the bins taking up hall space. This is a violation of laws governing disabled access. I encouraged the hotel to investigate and solve the issue for future disabled guests. I have forwarded my complaint to the hotel twice and followed up. I still have not received a response. I hope my experience will serve as a warning to future travelers!	
Nov 10 2008 	Great little hotel!	This Holiday Inn Express is a terrific value located a couple of blocks south of Madison Square Garden. The neighborhood wasn't prime, but within a few blocks are restaurants, bars and shopping (Macy's Herald Square). We arrived super early in the morning, were able to store our bags (no charge) and we hit the Grayline Uptown/Downtown Loop Tour (a great way to get the lay of the land). When we returned to the hotel, we checked in and went up to our room. The room was quite small, but spotlessly clean with a nice, new-looking bathroom. We did have a slight bit of noise Saturday night (sounded like there was a dance club nearby) but it wasn't that loud and we were able to put in our earplugs and sleep away. The complimentary breakfast at this hotel is extensive--and delicious!! There are omelettes, sausage, biscuits, cinnamon rolls, bagels and the list goes on and on. It's not a 5 star, but all in all, a great place--highly recommended!	
Oct 20 2008 	Kind and polite but not pretentious	Everything in this property was as expected and some things we´re even better. Almost an instant response from front office to an email concerning details of the rate we had chosen before our arrival was perfectly in line with everyhing else: kind and polite, but not pretentious. Everyone we met at this hotel we´re doing a wonderful job being like that!If you´re thinking about staying in this hotel, you´re probably not looking for some luxurious options that New York City has plenty to offer, but good basic accomodations for a reasonable price.I think this is one of the best ones in this gategory and it is quitepossible that we´ll be staying there again in the future especially when staying in Chelsea.	
Oct 15 2008	Great hotel great location	HI Express at Madison Square Garden is a great hotel. It is conveniently located only 1 block from a red line subway stop and is near Macy's, Penn Station and some great restaurants. The continental breakfast is great, includes some hot items in addition to bagels, donuts, muffins, cereal, etc. My only complaints - I had requested a cot when I made my reservation and called to confirm it, and when I got there they told me that my room doesn't allow a cot, only the handicapped accessible rooms. Also, we were in room 411, and it was right behind the elevator shaft. I think this made the room quite a bit smaller and also somewhat noisy from the sound of the elevator. Overall, it is a great hotel at a great rate (I paid $200 a night during Columbus Day weekend!).	
Oct 14 2008 	Great Location	I was a big fan of this hotel. First the positives: breakfast was good, with a good selection of food; the location was excellent, with the 28th street stop on the 1 train only about a block away and Penn Station about 5 blocks; there are lots of food and bar options in the immediate area; the rooms are OK sized, by NYC standards; the staff was great; and the street is relatively quiet for NYC. Now the negatives: I would reccomend staying on a lower floor, as there are only 2 elevators for the whole hotel, and the wait could stretch to 4-5 minutes during busy times; also the breakfast area was terribly packed, making it difficult to find a seat and get food. Overall, a good value in a great location.	
Oct 12 2008	Oct. 2nd and 3rd 2008	Breakfast was fantastic. Rooms were clean. All the staff was pleasant and helpful. Guests were quiet and friendly. We would highly recommend this Hotel.	
Oct 8 2008 	Loved it!	My husband and I have just got back from spending 5 amazing nights in New York. We booked our stay with the Holiday Inn Express after a last minute cancel of our pre-booked hotel - Hotel Pennsylvannia (thank god! - the reviews for this hotel are really bad!). We were really happy with the Holiday Inn Express in Madison Square Garden. On the first night, we were placed on the first floor right next to the lifts. This was unfortunately really nosiy, especially when everyone came down to breakfast in the morning! However, after notifying the front desk of the issue, they kindly moved us to the 7th floor which was a lot better! The rooms are a great size and very clean! They provide you with ample towels and nice little creams and shampoos. The TV is HUGE and has all the major channels which is a nice break after a long day of sightseeing and shopping. The added bonus of staying in the hotel is the morning breakfast. Whilst it's no gourmet buffet, some toast and coffee really hits the spot! It also means you don't have to go wondering the city for breakfast in the morning. The location is good, but considering we spent most of our time in Time Sqaure and towards Central Park, it can be a long walk back. There isn't much around Madison Square Garden itself, with Macy's located some 3 blocks away. Overall, I would definitely recommend this hotel for those looking for a short break to New York. Whilst people say that a hotel is only a place to sleep, it really makes a difference to have a nice clean room with a comfy bed and pillow. Enjoy!	
Oct 7 2008 	Great but not for Business Travellers	This is a very nice hotel just a few blocks south of Madison Square Garden. It is a block from the Red Line (1) making it extremely easy to get to Times Square, Wall Street and South Ferry.The rooms are small but clean and quite nice. I'd give the beds a 3.5 / 5 for comfort.The only problem I had was the advertised &quot;High Speed Internet&quot; never ran faster than 2k (that's 1/14th dial-up speeds for the non-technical). Web pages would rarely (if ever) load under these speeds and technical support (for us business travellers) is impossible. I had to pack up my laptop and haul it down the street to find a coffee shop with a more reasonable connection (and pay for it). It would have been nice if there was an option to pay for a faster connection INSIDE the hotel like many other hotels provide.But as a traveller on vacation, I'd stay here again without hesitation (and probably will during my next visit)!	
Oct 5 2008 	A Very Enjoyable Stay	I'll try and put this in a nutshell. Customer service was exceptional throuhout the hotel. Staff were always curteous and never kept you waiting. Check in and out were fine with no problems. The rooms were very clean and well stocked with towels,toiletries. Good selection of TV channels, Clock radio has an MP3 attachment which was a nice touch if you like to take your music with you. I would describe the size of the rooms as cosy. As long as your not planning to move in for a month or two the rooms have plently of storage/wardrobe space for a weeks stay. Bathrooms are compact but no drama to use. We had a room at the back of the hotel which tended to be quieter at night. On saying that, the hotel is set off a main road so there's not too much noise anyhow. The express start breakfast was a winner! Just what you need to get your energy up for all your walking,shopping or business needs. We are early risers and there was no waiting on any of the mornings of our stay .Don't let the mention of cues by others put you off. They should have gotten up earlier! After breakfast is over the coffee/tea section is kept stocked all day and is complimentary for guests. For getting around you are in a perfect spot. Subway is 5 minutes away no matter which way you are heading. Empire state, Maddison Sqaure Garden, Times Square and Macy's are all just around the corner. We had a long walk downtown to Brookly Bridge. It took a while but it was nice to take a look at Chelsea and Grenwich village on the way. This hotel represents excellent value for money compared with other hotels in Manhattan. A little tip, I became a priority club member when I booked. Just for the seven nights stay I have enough points for a free nights stay somewhere already. Also, as a priority club member the hotel will deliver breakfast to your room. You also get a paper under your door. Oh and nearly forgot. Hotel has free broadband in the rooms and if you don't have a computer they have three on the cellar level for guests to use. I would have no reservations about booking this hotel again.	
Sep 25 2008 	Good Location Great Stay	My husband and I were visiting New York for the first time in Sept of 2008. We chose this hotel after much research. It really was a good value, great location, and very much recommended by other travelers. We got the the hotel about 5 hours before check in and they allowed us to stow our bags while we left to do some sight seeing. We came back at about 4pm and checked in. The staff was friendly and helpful. The lobby was clean and stylish. Check in was fast, we were put in the room that we specifically reserved. Our room was clean and nice. The bathroom was a touch small, but managable. If I were a high maintainance kind of woman I might be put off by the size of the bathroom, but as I am, I wasn't bothered by it. The bed was comfortable, tv was good, bathroom products were many and lovely. Lots of space to put clothes. We stayed for 3 nights and never once had any kind of a negative experience. The staff was VERY helpful. They helped us find the best way to get from point a to b and assisted us numerous times. The business center's internet was down while we were there. We needed to look up a time for an event we were attending and the staff actually looked it up for us at the front desk. I was very impressed at the customer service. We were able to stow our bags for hours after check out as well. The subway is just a few blocks from the hotel. The neighborhood seemed fine. We walked back to the hotel late every evening and never were worried about the neighborhood. Over all I was very impressed on every aspect. I would go back again.	
Sep 25 2008 	Good find in NY!	We decided on this hotel after trawling through numerous brochures, websites and reviews on Tripadvisor, and we were not disappointed with our choice. Situated one block from the nearest subway and a few streets from Penn Station, you can reach anywhere from this hotel in very little time really. The best way to get around Manhattan is by foot however, so make sure you take a good pair of shoes for walking. From the hotel you can be at Macys/ Madison Square Gardens/ The Empire State Building within 5/10 minutes or so. Times Square is a straight walk from the hotel up 7th Avenue in 10/15 minutes. As for the hotel itself, it has everything you can expect from a Holiday Inn Express: clean, adequate accommodation, friendly staff, buffet breakfast. The breakfast area does get busy, but you can eat anytime between 6-10.30am, so if you have to wait for a table, its only for a couple of minutes. We had a family room with two doubles, very nice, and a large bathroom. The wardrobe space could have been bigger, but there was plenty of drawer space. Our room had a view of the Empire State Building and the street was quiet on an evening, the only noise was the air con, which you control yourselves. New York is an amazing city and we are already planning a return visit for next year. I would not hesitate to stay at this hotel again.	
Sep 6 2008 	Excellent stay and very good value for money	I'm very picky when it comes to hotels, but this one was really good value and defintiely exceeded my expectations. Rooms were quite large for NYC, and bathtroom was very big. Location is excellent, you can walk to anything really. Breakfast also included and very good value, much better than most continental breakfasts. I booked a very low rate and got a room just next to reception, which I was worried was going to be noicy but wasn't. However, in the morning it smelled like fresh baked goods due to it's proximity to the breakfast bufet! I would feniteiyl recommend this hotel.	
Sep 1 2008	Agree with all the positive reviews	This was a great base from which to see NYC. Subway station one block away took you uptown and downtown. Empire state 10 mins walk. Macys similar. Madison Square gardens 5 mins. Totally agree with all the positive reviews and would always recommend this. A tip for all the British visitors...US Holiday Inn Express's (I have stayed at many of these) tend to be much better than the full service Holiday Inns rather than the opposite here in th UK. I would always recommend staying in an Express over a full service.	
Aug 28 2008 	Very Pleased!	Flew to NY for a job interview and this place really had such a helpful staff. I needed help with the computer printer downstairs and they jumped fast to help me. While I was downstairs I told them a bulb burned out in my room and they were up and replacing it before I got back up the elevator to my room. The front desk people were always really nice. The room was nice. I loved the football leather chair at the desk. It was a nice cozy king bed room. The bed took up a good part of the room, but it looked really nice inside and it served its function well for me. I appreciated the ironing board and iron and hair dryer. The breakfast was really nice and yes, it gets crowded downstairs at breakfast time but it was a nice choice of eggs, sausage, cereal, oatmeal, coffee, oj, cranberry juice, apple juice, yogurt, sweet rolls, toast, bagles, whatever. I was so pleased that I chose this place. And there is a little mini-Staples Office Supply and Copy Center right on the corner of the block -- perfect if you forgot items for your business presentation -- small things like paper clips, notebooks, printer ink, sheet protectors, tape, pens, whatever, they had it right down the block from this wonderfullly located Holiday Inn Express. This place was comforatble -- especially nice for out of town visitors who feel safer in a place they've heard of before. I wasn't expecting much when I arrived and I was pleasently surprised. I will 100% stay here again!	
Aug 27 2008 	Helpful Staff Good location - Very noisey over the weekend	We stayed at this hotel either side of a cruise holiday. I have to say that as this was our first visit to New York, the hotel was ideally located. The staff were very polite and helpful and I can only re-inforce the other reviews I have read about the breakfast situation. Basically very crowded. The only real gripe I have was that our second stay was over the weekend (15th&amp;16th August) and after arriving late back at the hotel on both nights we were all awoken by load music from what i can only assume was a nearby disco. This loud thumping bass noise finally subsided around 5:00am !!! (We were in room 417 on the side of the hotel).This said I would recommend this hotel and judging by how busy it was the whole time we were there the message is spreading fast.	
Aug 19 2008 	Totally Satisfied!!	O.K. If you're doing N.Y. on a budget and you need a very centrally located accomodation that is affordable, can't beat it. My sister got an amazing rate (don't know how she did it!) and we were able to walk to all of the midtown sights, shopping, Broadway, and beyond. When we ventured beyond, we were able to cab it back quite affordably. My feet were tired!Rooms are compact, but newly refurbished, comfy beds, super clean and noise, what noise, I was too zonked after the all day sight seeing and shopping to notice. Breakfast included, and sure the breakfast seating area is tight, no biggy we took our plates outside and sat on the benches conveniently located in front. Defintely nothing to complain about. If not, go to the Park Plaza or Waldorf and pay the big bucks. Staff was very courteous and helpful, even gave us a later checkout, no charge. It was a Monday and many guests had left that day. Goes to show that they are willing to help if they can. We took a shuttle bus back to JFK and preferred our location to the other 4 pick-ups the shuttle van made on the way to the Airport. Both my sister and I commented on the money we saved in cab fare had we been accomodated in any those other locations.Exceeded our expectations!	
Aug 15 2008	Great location in NYC	I had read reviews ot this hotel before I left for NYC. They were mixed. I loved the hotel, location, and the people working there were the best!! Breakfast was great. If you like to walk, as I do, this place was perfect in Manhattan. I was centrally located with Times Square not far away and Penn Station/Madison Square Gardens right around the corner. The rooms are small but perfect for me as a solo traveler. Two people would be comfortable also. I saw many families with children staying there.The price was good too.....location!	
Aug 13 2008 	Great Place	This was the first trip to New York for myself and my ten year old grandson. The hotel was walking distant from Penn station. The staff was friendly and helpful. The room was small, but comfortable and clean. The morning breakfast was very popular with travelers. I opted to grab a cup of coffee and a piece of fruit rather than wait for a table. The hotel is conveniently located which allowed us to walk to many sites. I would recommend it to anyone looking for a good deal..	
Jul 27 2008 	Nasty rude reception at 5 AM	Me my wife and son stayed here for 3 nights 24/25/26 July 2008. Small rooms but very clean and new and very well looked after. Very convenient location for us for the theatre district. Nice but to us overdone cooked breakfast with all extras bagelsl etc.The breakfast room was crowded worse then Penn station.Our only complaint was the surly receptionists one at 5 AM when we were heading for JFK airport to return to London, the other when we checked in.The African American at check out 5 am on 26th July was bloody rude and wanted to &quot;complete his audit&quot; whatever that means and asked if he could send our bill by fax after ignoring me for a fair period when we were rushing to JFK airport. I did get a print out before going but the rudeness at 5 am was something I could have done without.	
Jul 26 2008 	Great find in NYC	We stayed at the Holiday Inn express one night before embarking on a Canadian Maritime cruise. We needed two rooms as we were a group of 5 and there is no such thing as a room for 5 in NYC. My husband had enough Holiday Inn points that we were able to secure two rooms for points. A savings of at least $600.We had two rooms - both smoking. One with a king bed and the other with two doubles. Both rooms were immaculate although really small. The bathrooms were a nice size and there was enough room for storage for a night.The front dest staff were very helpful and most pleasant to deal with. And the breakfast the next morning was more than enough. But its true what others said - it does get very crowded so have someone grab a table first then you can get food. We saw many people standing around having something to eat. Its too bad the eating area couldnt be a bit bigger.All in all a nice stay in NYC - I would recommend it to anyone.	
Jul 10 2008 	Bad rooms nice people	O.k. - so we didn't book this room ourselves. It was for a job I had. basically had no idea we were staying here. I'm hardly ungrateful since the room was paid for us. That stated, I probably would not stay here again. Even by New York standards the rooms were small. Barely any space in the bathrooms and no closet- just a small dresser. It was hard to even move in the room!! Room was very noisy and the view was looking into a dirty alley outside. There were stains all over the carpet as well. On the plus side, the beds were very comfortable. The staff was also really, really nice. Genuninely really good helpful people. It is a shame that the rooms were so unclean and too small because the staff was just so sweet and attentive. BTW, the free breakfast in the morning is very crowded. Get a seat early if you can! Location was convienent to Times Square.	
Jul 5 2008 	Unhappy...	Overall stay was o.k.. The hotel was clean, but rooms were VERY small. A good deal for seein the beatiful city. Booked a room with double beds but got a room with one king. Front desk did nothing to fix the problem. They said they had no other rooms available, but when going back to front desk to see what could be done, other guest were offered what we asked for!!!! O.K. hotel but will never stay there again...terrible costumer service!!!	
Jul 4 2008 	Location location	Never having visited NYC before, everything I booked was a shot in the dark. We flew into Newark with no plan on how to get to the hotel in NYC. As luck would have it a train runs from the airport to Penn Station - 2 blocks away. The hotel is also walking distance to Times Square and of course the subway (a block away) can take you anywhere. After exploring it is so nice to have a clean comfortable room to come home to. It's not big by any measure but it does have everything you need.	
Jun 26 2008 	Pretty Good overall	We are Holiday Inn Priority Club members and we booked this hotel using points. It is small (many in NYC are) but clean with a decent bed and bath. Front desk and concierge have been a pleasure to deal with and helpful. Parking is relatively inexpensive for this area at 24.00 per night with hotel stamp. The only real downside is the noise level which can escalate if you have ungracious guests or housekeping around you. Adequete breakffast is free with stay. All in all a gem if you are looking for a clean moderate place to put your head down in between fabulous activities in the greatest city in the world	
Jun 22 2008 	GREAT VALUE and GREAT LOCATION	This was a &quot;girls trip&quot; and our first time to NYC. We didn't want to spend all of our money on a hotel, but at the same time, didn't want to sacrifice our safety either. This was a perfect hotel to accomplish that. Its central location made it easy to get to the attractions quickly, and it was also an easy walk to almost anywhere! We walked from Ground Zero all the way through Greenwich Village and Soho just to see the neighborhoods, and it wasn't too much trouble. (Don't do this if you have somewhere to be quickly - it took a while!) We also easily walked to Times Square and the Theater District, Rockefeller Center, the Empire State Building, and Central Park. The hotel is nice enough - comfortable and clean. The breakfast is a big plus - it is way more than a continental...in fact, there are many hot items each morning, and you can count on the cinnamon rolls to start your day off right. We ate such a hearty breakfast, we could skip lunch and have a nice dinner. The staff was very helpful and friendly, especially a male concierge working the bellstand the morning we arrived. He stored our bags and helped us with a map so we could go out and hit the city before we could check into our hotel. Obviously, there are much nicer hotels in the city, but if you would rather spend your money having fun and eating well, this is a great find....and you could tell that the staff really want to make the experience pleasant to build its repeat clientel. As two women traveling together, we never once felt threatened or not safe at ANYTIME while in NYC. Just be alert and smart, and everything will be fine.	
