	Excellent location everything else was so-so	We stayed there for 7 nights - in 2 different rooms. Both rooms were noisy in the morning and you can hear people talking loudly and slamming doors. The second room we had was just next to the rooms where they were renovating which may explain the noise - not sure about the first room. The staff were mostly ok except for this grumpy lady in her 30s who was awfully unhelpful. They provide lockers at $2 per usage if you need to leave your bags at the hotel after check-out. The first room we had was very small but the second was slightly bigger and newer. The selling point for this hotel is its location at 31st &amp; Broadway which is 2min walk from Macy's and 1min walk from the subway which is just 1 stop from Times Square. Me and my wife were there on Thanksgiving and we could catch the parade literally just around the corner. Yes, if you need a cab, get one off the street for one yourself, as the reception charges a ridiculous price. Room comes with free Wi-Fi internet access and LCD tv with HD channels.	
Mar 27 2009 	Well located and good value!	We really liked our stay at the Herald, the staff were very helpfull and the rooms BIG for the price we paid!! Free safe was a bonus and lockers to store luggage on final day for only 2$ was a bargain!No tea making facilities in room but enjoyed the free hot drinks in lounge area and took these up with us.Rooms cleaned daily to a good standard (fiance a cleanaholic). Felt safe and location of hotel was good everything was walkable especially the empire state building that was just around the corner...Would stay again!!!	
Mar 23 2009 	will be staying here again	it was nice to go to nyc and still not have to spend alot. a short walk to time square and macy's and 1 1/2 blocksto msg . may not be fancy but well worth the money spent. room just remodeled and very clean	
Mar 23 2009 	Most Comfortable Bed Anywhere!	As part of a choir trip package to perform at Carnegie Hall, we stayed at the Grand Hyatt at Grand Central Station, then moved for a couple extra days to the Herald Square. Herald Square was a better deal, clean room, bigger bathroom (with a vent fan; no fan in GH bath), very comfortable bed with new mattress,friendly staff and a very decent location. Wife says the bed was &quot;heavenly&quot;. This is a quaint old building which has been renovated and remodeled. I can only speak to our experience, but we plan on coming back to NY and will definitely stay at the Herald Square. Also, subway nearby on Broadway, Penn Station a short walk away.	
Mar 7 2009 	Good reasonable inner city accommodation	Close to Penn Railway Station as well as the Grayline Double Decker Bus stop near the Empire State Building. Shared a room with another couple - really comfy queen beds but the room was pretty small, but enough room to put the cases on the floor &amp; had a big bathroom. Another friend travelling with us had a single room, which was very small, but okay if you're only sleeping there. There's a sitting room with tables in the foyer where you can relax or have a tea/coffee which is provided free of charge. We thought it was good, clean accommodation in a good location. Nice meal at O'Reillys Irish Pub close by.	
Feb 28 2009 	Clean hospitable value for money hotel in central location.	We loved the free hot chocolate. Staff were always helpful. The room was small but clean and functional. Location was brilliant and provided excellent value for money.	
Feb 12 2009 	Excellent Rooms and service	I stayed at the Herald Sqaure Hotel for the Westmister Dog Show. I was very pleased with everything about the hotel. The new lobby is a new addition and it really is very lovely and comfortable. The rooms are very clean and comfortable. The staff is very friendly and helpful and ready to offer suggestions of things to do in the city.	
Feb 10 2009 	Great Hotel!	My boyfriend and I really enjoyed our stay at the Herald Square Hotel. Their web site has some great deals, and on top of that, when we checked in we were upgraded to one of the newly renovated rooms. The room was beautiful, with a brand new marble bathroom, new furniture, flat screen TV, and a VERY comfortable bed. The location was amazing, close to everything! Also, the staff was so nice and helpful. I would definitely stay there again!	
Feb 5 2009 	Best price downtown Manhattan	After reading the reviews on Tripadvisor my boyfriend and I decided to go to HeraldSquare Hotel anyway.What a great surprise!!!Let's be honest here people....who's going to NYC to stay in there room?...NO BODY!....The room was small but really confortable (especialy the Queen size bed)...Flat screen TV + a really clean bathroom. The Hotel is actualy the old Life Magazine building wich add charm to the stay.The hotel is at 5 mins of walk of the Empire State Building and 10 mins of walk of the Flatiron building....A great value...I highly recommended this hotel to alot of other friends! :)	
Jan 8 2009 	fab hotel !!!!!!!!!!! great value for money	my husband was 40yrs in nov went for a treat ! will defo stay again hope to book gor my 40yrs birthday in oct !!!!! well done mary c. cork	
Jan 6 2009 	Nice hotel	We stayed here for 4 nights at the beginning of November. Unfortunately both of us caught a gastro bug on the way over and spent almost the whole time being very ill in the hotel so we definitely made use of our room!Fortunately we went for a renovated room (our friends both stayed in non renovated rooms and said that they were tiny and very very basic, one of our friends even had the electricity to his room cut while he was having a shower and had to shower in the dark!). We spent ages looking at hotels and this was the cheapest we could find when we were looking (although still quite expensive). The room was on the second floor and gorgeous, chandeliers, huge queen size bed which was very comfortable, wardrobe and safe in the room. Beautiful bathroom with the biggest rain fall shower I have ever seen. There were also mini Aveda bath and hair products which was wonderful for me as I love Aveda! The room was very warm but there was air conditioning which was a little loud but overall fine. We had a big flat screen TV opposite our bed with loads of channels which was great for watching TV in bed. There was also a little table with a couple of chairs which was great since we did have to eat take away in our room on a few occasions because we were ill.The only bad thing about the room was that it was a bit dark. There was one window in the bathroom and the room which both opened up on to an internal part of the hotel so there wasn't much natural light although plenty of bright internal ones which made up for it and there was also some sort of extractor fan thing which we could hear if we opened the window. There was a hairdryer in the bathroom but it was really weak and took me about ten times longer than usual to dry my hair and it kept getting scorchingly hot making it difficult to hold. I did have my own little powerful travel hairdryer but with the adaptor just made it also very weak which was a little annoying.There was also some sort of work going on at the hotel during the day which was a little annoying for us as we ended up being ill and having to sleep during the day while there was constant very loud banging and drilling going on. Usually this wouldn't bother us tho as we would have been out sightseeing.The location is decent, mid town and just a block away from the Empire State and Broadway. The nearest subway stations were a couple of blocks away in various directions.Check in was efficient and the staff were fine. There were coffee facilities in the foyer which we used and there is a bar next door to the hotel which is quite nice.Would stay here again if got a good rate.	
Jan 5 2009 	Wonderful and cheap!	Stayed here for 8 nights over New Year's 2008/09 and couldn't have been more impressed. Staff were friendly and helpful, hotel has great amenities (guest laundry was very handy), the room was much bigger than we thought it would be, with a huge bathroom. Location is obviously a drawcard, but the room was a quiet oasis in the heart of the city. Compared with other hotels in NYC in this price range, the Herald Square is exceptional. Highly recommended!	
Dec 14 2008 	Again still good	As usual i stayed in this hotel to bridge an extended stay after a business trip where i stayed in Novotel . Booked the thanks giving night from the hotel website being the cheapest way everytime . got a single private bathroom room for $ 115 all inclusive . The only problem that you by age starts to change your standards . the hotel have excellent complimentary coffee stand in the lobby and reliable free wifi in rooms and other areas . also they are one of the rare hotels who will book the shuttle bus to the airport for you . the location is excellent close to empire state and shopping area 2 mns walk to macy s five mns to fifth avenue in addition to buzy 34th street with all know commercial brands such as gap , old navy , victoria's secrets , banana republic , aldo , bebe name it . also sbarro a good alternative for quality and value meal is 3 mns away and a diwan read pharmacy 24 hrs on a stone throw . i have stayed in many hotels in new york but this one for that price is the best . the problem is that you have to ensure getting the room with private bathroom it has become very expensive now for double room but stil good value for single and 2 double beds	
Nov 26 2008 	good clean hotel excellent location	this was a very centrally located hotel. 5 stars for location, it was a 10 minute walk to times square, 5 minutes to penn station, macys, empire state building etc,etc. it was very close to the herald square subway station which made it very easy to travel all over the city. even though its located right in a busy area it was very quiet inside the hotel, we were on the 5th floor and couldnt hear any street noise.The room itself was small and old looking but functional, it was clean and the housekeeping service was good. the bed was very comfortable. The bathroom was a good size and was very clean, the linen was also nice and clean. there was a safe and a new tv in the room, there was no tea/coffee facilities in rooms. there was very little space to put suitcases the room was pretty much taken up by the bed. we could hear a bit of noise though the walls. the hotel itself and the location felt very safe which was great. the lifts were very slow. The lobby area was great but unfortunately the coffee machine was out of action and never got fixed while we were there. there are laundry services (self service) and internet access (only one computer though) available for a price. The staff were ok, some were lovely but others were a bit rude and abrupt but we found that with a lot of the service staff all over new york anyhow. it seems pricy for a budget hotel but when you consider the location and compare it to other hotels in the area that offer private ensuites it is really very well priced. beware they dont include taxes in the advertised rates they add them on at the end of your stay. there is a city tax, state tax and occupancy fee. overall we found taxes increased our bill by 15%. all in all this is a great hotel if you want a room just to sleep in with a private ensuite on a budget in an excellant location. I wouldnt recommend it for travellers who want to spend a lot of time in the hotel room.	
Nov 24 2008 	Fabulous Location	Have just returned from a 4 night stay at the Herald Square. Having tralled the internet for hours trying to find something reasonably priced, clean and central we settled for here. It really is a great location, central to everything. Empire State and Macy's around the corner, Madison Square Garden a short walk away and plently of places to pick up the MTA (New Yorks Underground).We had a refurbished room, which was really spacious, very clean and had an extremely comfortable bed, which is what you need after walking around all day long! The showers were also very warm and the room was cleaned and fresh towels left each morning.There are two lifts at the hotel, which are extremely slow and sometimes take ages to reach your floor, so a couple of times we took the stairs. There is a coffee machine situated in the reception/rest area, which is a nice touch, although it was out of order for two of the days when we were there!As with most of America, the prices quoted on the internet for the rooms DO NOT include tax and when we were presented with our final bill it included almost £50 per night various tax charges, which was quite alarming and increased our expenditure by £200.All in all a great location and a pleasant stay.	
Nov 23 2008 	Excellent!	This hotel has a great price for New York City. It has a good location, aproximately 12 blocks from Times Square, and near the subway and Penn Station. It is clean and the staff is extremely friendly.	
Nov 18 2008 	Somewhat Overpriced	Very well located in the heart of New York City and just a block from the Empire State Building, the Herald Square Hotel was, for lack of a better word, average.Although some of the rooms have been newly remodelled, ours was outdated but generally tidy. The bathroom was clean but a bit old and the appliances (TV, airconditioning etc) looked like it dated back to the late 70's early 80's.The staff were friendly enough but seemed to give off the impression that they were only there for the paycheck and the hotel did seem a bit over priced even by summer standards.It's somewhere to sleep and I wouldn't recommend it to anyone who likes to spend some part of their holiday relaxing in a hotel.	
Nov 17 2008 	Excellent location	I stayed at the Herald Square hotel for one night and it cost me just over $100 which is pretty good for New York. The room was tiny but it was clean, I had my own bathroom and it had a tv and safe. The location of the hotel is fantastic and there are some nice places to eat nearby.	
Nov 13 2008 	Great little hotel	Stayed at the Herald Square Hotel 13/10/08 - 20/10/08 also 24 and 25/10/08 first visit to New York so was unsure which way to go for a hotel.Very happy with the Herald Square, good location and rooms were very clean.If you want a hotel with a big flashy lobby it is not for you but if you want value for money and very comfortable beds then look no further.	
Nov 6 2008 	One of New York's gems	Our family of three (2 adults and 11 yo) spent 5 nights at the Herald Square Hotel (HSH) in September. I would rate the HSH as one of New York's more affordable gems.We arrived in New York early on a Monday morning after a red eye flight from San Francisco. We wanted to drop our luggage off and begin our exploration of New York. We were pleasantly surprised to be told that they had our room available and we could check in then and there.The room itself was comfortable. While the room was not huge, it did have two double beds and there was enough room for our three large suitcases. The room itself was quiet, and there were shutters and block-out blinds on the windows. The comfortable beds and pillows meant that we all slept well. The bathroom was adequate, with plenty of hot water. There was also a free room safe for the storage of valuables.Housekeeping was very good. We always returned to a nice tidy room at the end of the day. Hotel staff were always pleasant and helpful.The HSH also has a good laundry facility and a pay internet kiosk. They also offer free coffee/tea/hot chocolate in the lounge adjoining the foyer.The location of the Herald Square Hotel is excellent. We regularly walked to and from Times Square. Or there was a subway stop two blocks away. Penn Street Station is also only a ten minute walk away - even when wheeling suitcases. We found a number of restauants within about a 15 minute walk (There is also a good restaurant right next door if you dont want to walk). For breakfast, we walked less than 2 blocks to Speedys. In summary, the Herald Square Hotel is a very pleasant hotel and very good value by New York standards. We would definitely stay there again.	
Nov 6 2008 	Perfect location	Just back from 4 nights at the Herald Square hotel and the hotel was perfect for my needs. Booked a single room with bathroom (room 410) cost $460 for the 4 nights which is great value for New york. The room was, as expected,small but given the amount of time I spent in the room that was'nt a problemLobby with free tea/coffee etc was an added bonus. I'd also recommend the Airtrain service if coming from JFK airport, terminus is Penn station which is a short walk from the hotel. From Hotel to Airport took about 50 mins, cost was $12.25, much cheaper than a taxi especially when travelling on your own.	
Oct 31 2008 	New York on a Budget	This is the second time we have stayed at this hotel. It is a small friendly hotel, the rooms are basic, but they are clean and adequate. This time our room was quite big with a good size, bright bathroom. Unfortunately we were on the ground floor. (We must have looked old and infirm when we arrived, when in fact we were just recovering from an awful flight) The room was dark as the window looked out onto a small backyard, so we didnt have a view at all. We should have asked to move to another room on a higher floor, but apart from the darkness it was a good room. There is a lounge area near the main entrance and a small area with tables and chairs where you can have a drink of coffee, tea or hot chocolate from the machine. Also, there are bowls of sweets, and lovely Italian biscuits for guests to help themselves to.The hotel is in a good place, just round the corner from the Empire State Building, a short walk from Times Square and Maceys. We ate at the Heartland Brewery on 5th Ave most nights and would reccommend it for a good meal.I would definitely reccommend the hotel if you are looking for a budget hotel in New York. You dont spend very much time in your room, there are lots of wonderful things to see and do. Just ask for a room on a higher floor.I would also reccommend the show Spamalot. It is brilliantly funny.	
Oct 31 2008 	Great Location Great Price	I stayed here with my mum and a couple of friends and despite the inital confusion over the outstanding balance the hotel was GREAT especially for the price you pay! The hotel is in an ideal location - walking distance to Macy's, Empre State and Times Square and close to the subway. The rooms and bathrooms are very clean and the hotel have tea, cofee and internet facilitiesWould definately go back and I do recommend.	
Oct 24 2008 	Best price 	I stayed her for a week in september and was really impressed with the location and price. The staf wasn't the most helpfull and the rooms where as tiny as they can get, i was only there for sleepig anyway. But for that price and location (right around the corner from the Empire state building) you just cant find a better deal!	
Oct 12 2008 	Great Location and a friendly staff	Had a very pleasant stay at the Herald Square Hotel last June. Stayed for a week with my girlfriend, and our room was pretty much what we had expected. The Hotel is close to many great shops and we fell in love with the breakfast menu in a restaurant chain nearby, called Speedy´s. We were satisfied with the service and I would recommend this hotel to anyone who´s looking for a good bargain while also getting a great location. And also we asked a woman who was working in the lobby to get us a shuttle to the airport, and the driver that we got was very nice and professional.	
Oct 9 2008 	great warm place in chlly NYC	We had a wonderfull 5 night stay at the Herald. We got a great bargain: we got a new room for the price of an unrenovated room. The bed was really nice, the room was really clean, good service and excellent location. The room was big enough for us two. Nice and quiet and nice decorations. Everything was well looked after. there is no breakfast service, but they have suggestions for nice places just around the corner. There is a free warm drinks service in the lobby where you also can relax and read a paper. I would really return.	
Sep 23 2008	Herald Square is a square deal	We stayed for 3 nights in one of their (supposedly) unrenovated queen rooms, so not their cheapest option, but still a bargain compared to other hotels near Amtrak's Penn Station. (The double bed rooms were all booked so this was the cheapest option for 2 people.) We may have lucked into a nicer room than we paid for as it was quite large and the bathroom looked like it had been redone in the past year or two. (Room #512.) We booked directly with them online 8 weeks in advance of our September arrival.Our 5th floor room overlooked the busy street, but it wasn't too noisy. The black out shades and comfy bed made for a good night's sleep. Few frills (other than the nice selection of tea in the lobby), but definitely a good deal in a VERY convenient location. There was a desk with one chair, but otherwise if you both wanted to read the options were to either sit up in bed (there were overhead lights over each side that made that possible) OR go down to the lobby. I never saw the luggage locker as we had a rolling duffle that the desk clerk said was too large for them. For $1 a bag it was worth it to leave the luggage with them in the larger storage area so we could arrive earlier than the official check-in (our room was not ready when we arrived at noon). It was great to have a reasonable bagel/deli place within 2 blocks for breakfast.	
Sep 16 2008 	Stayed twice would do so again!	What else are you looking for when staying in New York? Rooms that don't break the bank, excellent location, friendly efficient service and a hotel thats got history but you're not paying for the privilege! Not the biggest of rooms but you're in new york, you're not supposed to stay in for any significant amount of time! We'd be more than happy to stay there again.	
Sep 12 2008 	Love the Herald Square Hotel!	This was my second time staying at the Herald Square Hotel and again I was not disappointed. I arrived in NYC very early (5:30am) on the morning of Sept 8 and knew that my room wouldn't be ready. I was fully prepared to throw my bag into one of their storage lockers and head out to explore the city, so I was not put off at all when the front desk clerk told me nothing was ready. He gladly gave me the key to the guest/public washroom so I could freshen up and change, sold me a token for the lockers, and told me to enjoy the free coffee, etc.. in the lobby/lounge before I headed out. For the price I paid ($99 for a single room with private bathroom), I actually got a double room courtesy of a free upgrade when I checked in later in the day. I'm not sure if it's because they took pity on me, having arrived so early after being on a bus all night, but I didn't care the reason - they did the same thing when I stayed for 4 nights last year - I just knew I appreciated it. The room was not huge, but if you come to NYC expecting all the hotel rooms to be palaces (expecially in period/character buildings like this one), then you can only blame yourself for any disappointment you feel. The room was clean, however, and the bed was amazingly comfortable (must get the name of the brand they use), and the whole place was quite soundproof from what I could tell. I only ever saw people in the elevators and even though the hotel was fully booked, I didn't even know I had neighbours right next to me until the day I checked out and I saw them coming down the hallway as I waited for the elevator. I've recommended this hotel to friends and they've come back saying the same thing. Even though the price of the single room has gone up $20/night (from $79 to $99/night) from when I stayed there last year, I can say that it's still a great bargain for NYC, where the closest thing you'll find in price is a hostel where instead of having a private room, you'd be sharing both a dorm room and a bathroom.	
Sep 3 2008 	Good Hotel Great Location	Good city hotel. The room was small but clean and comfortable. Perfect location: near Penn Station and the Empire State Building. Free coffe and biscuits. Negative things: one of the employees at the front desk was quite rude, the rest were nice and helpful.	
Sep 2 2008 	NOT the best deal in town!	This was the first time staying at the Herald Square Hotel and we wouldn't do it again. It is a good location but it lacks the basic necessities and the front desk staff were not helpful and unwilling to do even the simplest of things. We asked for the toll free number for the airport shuttle and the front desk clerk told us she didn't have it. Since we had paid for our hotel upon arrival, she told us that we could not use the phone in our hotel to call the shuttle. Then I noticed the toll free number for the shuttle on the wall next to the computer and pointed it out to her. She said it was a concierge number and I couldn't call it but it was the exact same number that I had called from Canada! I told her this and she just shrugged her shoulders. I thought this was very rude. Call yourself for your shuttle because they charge extra to book it for you.The hotel says that they have coffee, tea and chocolates available all of the time but this is not true. There are no chocolates and they do not replenish the tea or milk, etc. in a timely manner.The hotel lacks shampoo, conditioner, radio, telephone book, city guides. I was not told this when I booked and luckily, we brought our own. You have to be very careful which room and what floor you get as some rooms are without windows, are musty and not pleasant as we heard from other guests. We were also charged an additional $40 for the room, compared to the price I was given over the phone. In meeting other tourists, we discovered there are hotels with better prices and better accommodations. We will not stay at this hotel again.	
Aug 8 2008 	A great city hotel!	We went there for our honeymoon in May after reading the great reviews. The price was reasonable, the bed was comfy and the bathroom quite roomy. The staff was friendly and we had no problem with staying an extra night. The coffee in the morning was great and one day we even walked to the Dunkin Donuts and bought food in to eat at one of the tables in the lobby. The room was clean, we did'nt want to spend a fortune and we we used the extra savings for a show a few nice dinners. We did go to the wine bar next door. I would stay there again.	
Jul 29 2008 	Small rooms 	The first thing that you have to know about this hotel (specially for those who visit NY for first time) is the location, very close to the Empire State Building ( 1 1/2 blocks) the Madison Square Garden (3 blocks), Times Square (10-15 minute walk) and many Subway stations.The rooms are small (it doesnt bother me, because i went to meet NY, not to get relax in the hotel) but OK an clean, and there was some dust in parts of the hotel, but it isn´t a dirty hotel.The price is affordable $120 per night ( i think it´s cheap, because similar hotels have rates from $200 per night)	
Jul 26 2008 	Great location but awful otherwise (this was in 2003)	I'm going to preface this review with the fact that I stayed at the Herald Square Hotel almost five years ago, when a room could still be had for under $100 a night, and it could have changed substantially since then. Judging from the number of positive reviews posted here, that's a possibility. But you might want to take a look at some of the negative reviews, as there's also a possibility that there is a range a room types, some a lot better than others. I may have had the worst room in the house. In 2003, there was no link on Expedia with which to review the hotel, and I definitely wanted to review it, as my experience there was terrible. I just took a look; there's still no link on Expedia. That should tell you something.My first contact with reception was a phone call to ask if it was possible to upgrade to another room with two beds, in order to share with another guest. The woman who answered the phone said there were no alternative rooms available. When I asked if there was a possibility of putting in a cot, she dismissed that with a laugh, and then cut me off.When I got into the room, I could see why she had laughed: it was tiny, and one of the dimmest, dreariest spaces I've ever been in. There were no windows to speak of, only one high up toward the ceiling that looked out to what seemed like an alley way - only you really couldn't see out at all. The room was bifurcated at the foot of the bed by a demi wall-column that doubled as a closet. The whole feeling was closed-in, positively clausterphobic.I would have tried to change hotels then and there, only it was a Friday night on a big game weekend, so the prospects were dim. I was pretty much stuck there for Friday and Saturday nights, but was determined to get out for Sunday night, which I did.There's no lobby in the hotel to speak of, only a small room with the reception desk behind plate-glass. Off to the side is a small room that did have a computer that guests can use, one very small amenity in a hotel that had virtually none. The other redeeming feature was the artwork on the walls - reproductions from the old Life Magazine, which used to own the building.I had one other encounter with the woman I first spoke to, and that was when I called to cancel Sunday night. She was once again very rude, and I told her so. Note: it is very rare that I ever say anything like that to anyone.A final insult from that visit was what looked like hugely inflated phone charges on my bill for the few phone calls I made - beyond the usual hotel gouging, I'd say. Needless to say, changing hotels from Herald Square to the Quality Hotel Times Square was a huge relief. I traded one tiny room for another pretty small one, but the latter was simply heavenly by comparison!	
Jul 22 2008 	Good value - maybe splash out for en-suite next time	I stayed one night at the Herald Square Hotel and but for the state of the shared bathing room, I was impressed considering the room rate. Taking a shared bath room is always an adventure anyway.I was in one of the $89 single rooms ($89! In NY!), which was tiny and clean with a very comfortable single bed. There was a rockin' cold air conditioner in the window, a small nightstand, a safe, a sink with mirror and bar of soap, a hand towel, washcloth, and bath towel, and a clothes hanging bar. The room smelt a little fusty and close (like a small room smells in the morning when someone has slept in it), but since it has a window a/c and not central ventilation, that makes some sense.To get to the shared bathing room (one per floor if I recall), I went down my hall, through a door, left, left again, and down another hall. This was slightly inconvenient in the middle of the night. The bathroom was stifling hot at all hours - seemed like it had the heat on in the hottest weekend in July - and twice I discovered someone had not flushed. Yuck! This is clearly not the hotel's fault, but in any case it made me wary of using the shower. The folks at reception were unfailingly friendly and kind and allowed me to check in as soon as my room was ready - 10 a.m. in this case! The complimentary coffee, tea, and chocolates were handy, as was the free wireless. The location is clearly fantastic. I'll stay there again if I can get one of the single bed en-suite rooms. They are fantastically reasonable in price as well.	
Jul 15 2008	Awesome! Awesome!	When booking online I wasn't sure what to expect....4 girls managed to live quite comfortably in a 2 queen rm for 8 days. It was very hot while we were there and the airconditioning was a godsend. Always fresh towels, friendly staff and very clean. They have laundry facilitys which was great, a nice lounge with tea, coffee, hot chocolate etc. The only thing that sucked was there is only 1 key per room, but you can drop it in the box at the front desk for others to pick up later.Beds were soooo comfortable ,linens nice and fresh.The location was.....AWESOME! You are in walking distance to practically everything and if not...the subway is at your doorstep. Post office is a few doors down, great Irish pub a block away, Pax deli around the corner, which was great (and cheap) for breakfast. I can't wait to come back!	
Jul 7 2008 	not bad	the hotel was not bad. the staff was very kind and the room was quite clean. we could have coffee, tea, chamomile, and also some sweets whenever we wanted. the hotel is really in the centre of the city, and this is another good quality of it, as in new york we found an odissey to move by subway (I wonder why the city still doesn't think of a renew of the subways...they really need it!). for the rest, the room was quite small, but given the price, it was appropriate. the only thing that was not satisfactory was the light: the room faced a wall at a distance of a few meters, and during the day there was almost the same light as during the night.	
Jun 26 2008 	For the rate in NY best choice	Before I went to NY, I stayed one week looking for a hotel and the best price/hotel tha i found was Herald Square. The first day I stayed in a single room, because the queen room wasn't available. The single room was very clean and with a great bed (little old), but the Queen Room that i stayed was new (618). Good location for Manhattan, very close to the subway and to Empire State. If you want to stay in NY and don't want to spend a lot of money in the hotel this is the best choice.	
Jun 26 2008 	Don't overlook a good budget Hotel	Don't be put off by first impressions.Sure the lifts are slow (there's stairs for the impatient!).This is an excellent budget hotel, centrally located for sightseeing (Empire State Building) &amp; shopping (Macy's) &amp; eating ( Little Korea), just request one the newly renovated rooms.We stayed five days after a long trip through Central Asia and Russia and greatly appreciated the hotel's services such as the guest laundry , the internet room and the 24 hour tea/coffee making facilities in the lobby/tea room, not to mention the extremely comfortable bed and the HOT water (which eventually does appear).99.99% of the Herald Square staff were professional and exceedingly polite and helpful with the exception of ......yep, the rude, unhelpful, surly check-in person who couldn't 'find' our reservation made nine months previously.Classic case of &quot;Computer says....... Naaaaaaaaaa!.&quot;So.... don't be put off by first impressions.........(tho' I think those without people skills should be moved to back of house at best)........ the Herald Square Hotel has much to recommend it!	
Jun 10 2008 	Great rates in the city	Considering the rate of $99/night in the city, I knew I wouldn't be given much. The room was small, but clean. There was just enough room for a twin bed and me to walk around it. Overall, I had a good experience. It could use a coat of paint and more outlets (I only had 3)! If you choose this type of room, I would advise you take a power strip. I had to rotate charging my phone, laptop, video camera, and rechargeable batteries. And I had a hair dryer and flat iron to deal with too. My main complaint about this hotel is the shower, they need to do something with the plumbing. I'd set the temperature, then it would turn cold on me and then really hot. Even with the cold water off completely, it would still be cold. That was really annoying. But I know they were doing some work on my floor so I hope that will be addressed soon. If I were to get a good rate as I did this time, I would stay again. It's in a decent part of Midtown and close to everything.	
Jun 9 2008 	Bathroom as big as rest of room	I've stayed at the Herald Square several times over the years, in rooms ranging from bathroom-free to unrenovated queen, and it's always been a dependable budget option. Where else can you get a bed and a bath for $99?Actually, the last time I stayed all there all I got was a bed and a bath. Either I've been extremely lucky and upgraded every time I've been there, but this room was literally a cubby hole--bed, a couple of narrow shelving units mostly occupied by phone, TV etc etc and a bathroom that was as big as the room itself. Since it was just me and just a base of operations, it wasn't that huge a deal, but the lack of storage area was a little disconcerting. Lighting was minimal and there was no natural light--the room's window opened to an empty shaft. Turn around with your arms outstretched and you're going to hit something.Even so, the Herald Square is still one of the best deals in the city...extremely clean, efficiently managed and apparently I'm there enough that some of the desk staff recognizes me now.But next time, either I'll keep my fingers crossed for an upgrade or move a step up on the room chain.	
May 23 2008 	Herald Square Worth the Money	For $250 per night in Manhattan the Herald Square is good value.Be sure to get room with Simmons Health Smart mattress. Good location for Times Square and subways. Our room was clean, there was plenty of hot water, the staff was friendly and helpful and when we had to relocate due to room construction noise close to our room there was no problem whatsoever. Overall, a good experience and worth the money. If you want plush, move up in price.	
May 22 2008 	Basic hotel in a great location	The Herald Square is nothing fancy, but it's in a great part of New York City. I stayed there for one night when I was going to a nearby jazz club. The elevator was very slow, and the first one to arrive had a cart of dirty towels in it. That wasn't really a great first impression. I took the stairs for the rest of the time there and had no problems. The room was small but extremely clean. The lighting in my room wasn't the best, and there was no outlet in my bathroom, but the bathtub was large and the shower had great water pressure and enough hot water. There were plenty of towels, the sheets and blankets were all in very good condition, and the door locked securely. Much to my surprise, the hotel was silent all night, and I got a good night's rest. The staff was friendly, though I did sort of get the feeling I was on my own. For a $20 deposit you can get a hairdryer or an iron (but no ironing board), and there's free coffee downstairs all day. It's not a hotel where I'd want to spend a lot of time, but it's great if you're just looking for a place to sleep and freshen up.Overall, you can't beat the location, and if you book early enough in advance, you can get a room for a good price. I'll stay there again.	
May 21 2008 	Very pleasantly surprised!	After reading some reviews, my new husband and I made it a point to ask for a renovated room and it was well worth it. We were in Manhattan for 2 nights while on our honeymoon and were very happy with the accommodations. We stayed on the first floor in a room with a comfortable bed and a flat screen television, and although it had no view out the windows it was quiet and spacious, clean and nicely decorated. The people at the front desk were very nice and helpful and the coffee machine in the lounge area was a definite plus. The location is great: 2 blocks from the Empire State Building, 1 block from the subway and only a couple more for the train station (we carried a week's worth of luggage with no problem), and right between Broadway and 5th Avenue (we walked to Mamma Mia from the hotel). We are very grateful for the Tripadvisor website! Thanks to all of the honest reviews we had a fantastic honeymoon!	
May 19 2008 	Great hotel for the price	My boyfriend and I spent five nights at the Herald Square and were very pleased with our stay. The room was big and very clean with a functional AC unit that kept it cool and comfortable. The bed was very comfortable and the bathroom was big and bright. Although we had no view whatsoever, we were pleased with our stay. The downside was the change in temperature in the water while showering, especially in the AM. The hotel staff were not so friendly, but that was not important to us. TIP-If you need a cab to and from the airport, take a yellow cab and not a private cab as recommended by the hotel, the fee is $45 dollars plus toll compared to $65 plus toll with a private cab. All in all we had a great time, the hotel was in a good location with all tourist areas close by. We would return and recommend it to others.	
May 6 2008 	Great find	This was my 4th trip to NY and I've stayed in some dumps which cost more than the HS hotel, so I was slightly weary about staying here having read some of the other reviews - however I was pleasantly surprised. We booked an unrenovated triple room (2 double beds). The room was small, had a dated decor feel (looked very similar to the pictures on the previous review) and there was not much of a view from the window, but who cares. The most important thing is that the room is clean, secure and the linen is fresh - which it certainly was. The beds were extremely comfortable which is important after a long days shopping. The hotel has a great position (walking distance to Macy's) and the nearby Metro gets you uptown and downtown easily. The people on the door were friendly and the bar next door is great for a glass of wine. There's also a great place called Speedy's on Broadway which is great for breakfast.Overall, considering it's NY and the cost of hotels, this is an excellent budget hotel.	
