	value/location/clean	This hotel is for those looking for location,price,and cleanliness, not 5 star. This hotel was on central park west, 2 blocks from a subway, basic but clean, helpful staff, fuzzy tv reception, private bath, requested room with a balcony and overlooking central park, got both. Paid with tax $134 in nyc november. I saw hostels with shared bathrooms for that price.	
Nov 24 2008 	Astor was clean great and freindly. Excellent value !!!!!	The Astor was Excellent value. The staff on the desk were helpful and courteous. The rooms are very clean and comfortable for the price. I would recommend the hotel any time. Thanks to all for an excellent stay.	
Nov 18 2008 	Perfect	Hotel was small, and lovely.Recently done up I'd say... an old building, with modern amenities. Room was small, with no view, but it was modern and spotlessly clean. Bathroom especially was lovely.Maid service was faultless. It was nice to be on the upper west side - you see parts of Manhattan that no one else would bother to come that north to see! Right on the subway lines to downtown and all the sights, and literally over the road from Central Park. (Again, not many people venture that far up the park, so nice and quiet.)	
Nov 16 2008 	simple clean great little hotel	For the price this is as good as it gets in NY city. It is located on 106th St on central park west. About a forty five minute walk into the hustle and bustle. However there is a Subway stop about two minutes along the road which costs $2 into town. The fact that the hotel is right opposite central park is a bonus and a morning stroll around the park is a must. For food and drink, nearby the hotel, columbus ave, provides ample choice. The walk into the centre is well advised, you pass the natural history museum, strawberry fields and a little restaurante/bar called the tavern on the green, a draw for tourists so a little expensive but well worth popping in for a drink and a look around the gardens. Now for the hotel, check in was swift and friendly and the doormen are more than happy to give any information you require. The rooms are small but modern, a double bed, one small wardrobe, television, CD/ radio alarm and telephone. The bathrooms are surprisingly spacious, modern marble tiled walls, power shower/ bath, bath shower products and fresh towels each day. If your going to NY to sit in the hotel don't stay here. However if you want a clean, cheap, confortable, decentley located hotel then stay here. I would have no hesitation in staying here again.	
Nov 10 2008	Just dreadful	I booked 10 nights at this hotel through a hotel website based in Thailand . After I read the reviews here, I tried to cancel but couldnt, the company had removed the WHOLE amount from my credit card immediately.The hotel was as bad as the reviews had said.I arrived on a HOT night, and the aircon didnt work at all. I was unable to sleep. The television didnt work at all either. I dont even know why it was in the room.The next morning, I went to the reception desk and complained , the girl merely shrugged her shoulders.I asked for a better room, and she said I'd have to pay another $200 for a room with an aircon that worked. When I gave her my credit card, she said if I paid cash it would only be 160, but that she couldnt give me a receipt for the money.Stupidly, I paid her cash.I got a room with an aircon, and a TV that worked for 3 days, then jthe reception just went to a fuzzy image.The area around the hotel is AWFUL..it's dangerous and there are always really scarey looking people about.While I was there...2 tourists were threatened at knifepoint close by.I wouldnt go outside when it was dark there.I couldnt wait to leave that hotel....it's a real dive, and I think it's fraudulent that they advertise rooms with TV's and aircon.Neither work.	
Nov 1 2008 	Nice doorman small room!	I had read the reviews warning me of bad service and a tiny rooms - but they were only half right!The room was tiny - to explain this further -- the double bed/queen was placed in the middle of the room, and you could reach the side of the wall with your hand from laying in bed. But as they say, you don't intend to spend much time in your room when you're a tourist, especially when Central Park was literally across the road.I had a late flight (2am!) into NYC, and the nightman working was rude and unhelpful. However, the doorman in the morning was very informative, polite and provided some nice suggestions for breakfast. Overall, the place was fine, the rooms were clean (albeit small) and I really was only there for sleeping.	
Oct 28 2008 	Don't believe the bad reviews	My wife and I stayed at the Astor on the Park in early February. It was cold cold cold when we were in NYC, and yes we did have a bit of trouble figuring out the radiator but once we were shown how to work it we were fine. They even gave us an extra heater to use because my wife was sick when we were there. The Astor was the most affordable hotel we found on Manhattan, and the location was plenty convenient for us. The bus line right outside the front door takes you pretty much everywhere you could want to go and allows you to sight see at the same time, and if you want to go farther faster the subway is right up the street. We had a blast in New York, though next time if we go in winter we'll bring even warmer clothes :). The people at the Astor were nice, and the rooms fine for a home base since most of us visit NYC to see the City not our hotel room, and we found the bed to be comfy and the room clean. Where else can you stay in New York for $75 a night and have views of Central Park from your room! We highly recommend this hotel.	
Oct 21 2008 	Perfect Location Great Room Great Price!	When planning my trip to NYC I relied quite a bit on TripAdvisor for as 'honest' and opinion as one could get as well as candid pictures and such.. After almost being conned out of a lot of money for an apartment in NYC I was pretty stressed and dubious about this place but with just 2 weeks left before leaving for NYC I really had no choice but to just hope for the best! Thank god I did!I can understand why a family, or someone who is used to having what one can only call 'Hotel Holidays' would find this place maybe a little less exciting than a grander hotel but for the price and location I was incredibly pleased with the Astor. Me and my boyfriend stayed there for 9 nights in total and we had a room with a 'park view' which to be honest is just a view of a mass of green but hey! It's better than a wall.. The room was incredibly clean, and yes the walls are painted green but I found the whole place to be very neutral and calming as there was no fuss with wall paper and odd curtains.. The room has a large double bed, two bed side tables with lights / a phone / alarm clock and paper + pen provided. There was not much room to 'move around' but both our suitcases and shopping fit in the room perfectly.. and we had a lot of stuff!! The bathroom was actually a lot bigger than expected! There was a bath and shower (and although the bath may seem small a lot of Manhattan baths are small due to size of apartments.. so this is not just a hotel thing...) and you get a complimentary toiletries basket full of goodies..The room was cleaned every day with bed linen / bathroom towels and toirlet paper changed every day.. We found the room to be very secure and the cleaning sevice to not only be very thorough but also very honest! (One of the ladies accidently knocked over a glass foundation bottle I had on the bathroom shelf and left me a note asking for full price so she could pay me back!)The staff were friendly and very helpful, we had about 2 hours left before we departed after check out and we left our nags with them free of charge whilst we wondered around town for a bit more!!LOCATION!: Although people here are saying that it is 'too far' away from town we found this ridiculous! The upper west side is a very good area to stay in.. The hotel is 2 blocks away from Columbia University which means a safer place, shops, great places to eat, two super markets near the hotel, and a 24 hour pharmacy that is literally a life saver for tights, sweets, etc etc. There are two main subway lines by the hotel, one which has two stops literally 3 minutes away from tbe hotel (whch is the AC - Blue line and the BD which stops at 110 Cathedral Parkway) and the other which is about 2 blocks away which is the the orange/red colour line 110 Cathedral parkway which is the 123 line) (you can also get off at 103 if needed but you have to walk a bit :) The subways takes less than 15 minutes to get to times square and the lines take you right to times square, ground zero, ferry for statue of liberty and other great places! If you want a quite place to sleep, a somehere thats safe to walk around then seriously this location is amazing! I'm 22 andthis was perfect for me to get our and about!I was not expecting to write such a long review but I always think it's best to get stuff out there, a lot of the time people write these reviews who are used to staying in a hotel for hotel luxery but I went to NYC to see NYC, it was like having a bedroom whilst I was there.. I wa snot interested in the cable, or if I could run around the room, I felt safe, was able to have a great holiday and saved on a lot of cash that I wa sthen able to spend on presents! I am a girl that is used to having the best and so to be so comfortable here is super, I will go back.	
Oct 5 2008 	The best New York hotel I've ever stayed in...	... but I should confess that it's the only New York hotel I've stayed in.I'm a great fan of Tripadvisor; however, it does tend to rely upon someone's subjective view of the hotel. This can sometimes be coloured by how much someone enjoys their holiday.My fiancee, girlfriend before we went to New York, and I both enjoyed this hotel. The rooms were clean and well equiped. The staff were friendly and the hotel was in a fantasic location. It's near enough to a subway station to allow easy access to the whole of the city, but at the same time, ideally located to be quiet at night.Central Park is a delight and is worth a day by itself.I would be happy to stay at this hotel again and can't believe there's a hotel like this available at a reasonable price.Great hotel, great city...	
Sep 29 2008 	Pleasantly Surprised!	My boyfriend and I stayed here this past weekend for one night. I booked the room as part of a gift for him and was a little nervous because there are extremely mixed reviews about this hotel. I went through with the reservation because the price was significantly cheaper than other hotels in the area and I am SO glad I did.The hotel was not far from the hustle and bustle of central manhattan and was perfect for what we needed. The room was extremely clean, newly remodeled and rennovated. It was by no means spacious, but there was plenty of room comfortabley move around. The cable was not so great but the last thing we stayed in the city for was to watch TV. I would definately recommend staying here for a weekend getaway!	
Sep 11 2008 	WE LOVED!!!!	When I read some reviews of the hotel my expectations were low and I'm afraid. But I have a very nice surprise!!!Great location. The room was very clean and comfy and not so small, the staff was extremely friendly and helpful! The subway was 2 safe blocks walk and bus stop was a pleasant and safe 1 block walk. The only complaint I would have is the cable issue. If you are looking to watch a lot of TV on your vacation, I wouldn't recommend this hotel, but if you are looking for a GREAT deal on a great room in a great location, this place should serve you as good as it did us!!!We paid $119 per night for a room (hotelconxions) we thought excellent value.	
Aug 31 2008 	Worst experience in my life	So ugly, unclean, plenty of noise.Never seen a room so ugly like that in my life.Garbage in the court and inside a trap for rats.Check-out immediately after one night there.Pay attention to the electricals broken!	
Aug 27 2008 	Would not stay there again - No Airconditioning!	We stayed for two nights in July 08. If you are staying in winter then this hotel is probably okay, BUT not summer! When we first arrived we were given keys to our room, only to go up and find the room was full of rubbish. Then we were shown two rooms, and told we could have whichever one we wanted, but one didn't have a key, and we would have to get staff to let us in every time?? So, we took the third option, and the room was small and clean - no complaints there, but the airconditioning is fan only. It was so hot that I nearly passed out (and we're from a hot part of the world so I should be used to it). Each night before going to bed, and again when waking up we would have to stand in the hall and fan as much air into the room as possible. The windows did not open so when it was cooler in the hall than in your room you know there are problems. We would not stay there again.	
Aug 19 2008 	Perfect all around!	After reading mixed reviews of the hotel my expectations were low, just in case it was as bad as some reviews make it seem. The staff was extremely friendly and helpful, the rooms were very clean and comfy, great location to get out of New York's fast pace! The subway and bus stop was a pleasant and safe 3 block walk. The only complaint I would have is the cable issue. If you are looking to watch a lot of TV on your vacation, I wouldn't recommend this hotel, but if you are looking for a GREAT deal on a great room in a great location, this place should serve you as good as it did us!!!	
Aug 16 2008 	Value for Money	Little aprehensive bout the Astor prior to our stay having read lots of negativity. If you want good value for money, clean and comfortable then this is the one! Couple of deli's close by for drinks and breakfast. Reasonably priced internet access here too - two pc's only but we never had to wait to get on them. A little out of the buzz of NY but taxis are inexpensive and by far the best method of transport. We got duped by a guy at the metro station on our first subway trip, trying to work the ticket machine - beware we saw him there a couple of times trying the same scam - helping to assist in buyin your tickets and then giving you expired tickets whilst he pockets your money - unnerving to say the least?!?! Also be careful to catch the right train back and not to get on an express - if you catch this you end up in Harlem - and my god you look like a tourist there!	
Aug 11 2008 	Astor on the Park -> great value for money!	We stayed in the hotel last week and found it just perfect. Especially when taking into account the rate compared to those of other New York hotels.... The rooms were a bit small but very clean and had good bed. If you cross the street you are in central park and just 2 blocks walking for the metro. Within 10 minutes you can be in downtown Manhattan! We highly recommend this place to those looking for a clean and comfortable hotel for a very reasonable price.We we certainly come back here!Rodey &amp; Helen, Amsterdam The Netherlands	
Aug 10 2008 	Good value for money	We stayed here for our first visit to New York last year. The accommodation is basic enough but the room and bathroom were very clean and there was a daily cleaning service. It is situated a little too far out of the city centre - we found we wasted a lot of our trip getting subways into the city. However, for what we paid for it - during high season - we couldn't fault it. The staff were friendly and very helpful, giving directions, etc. And it is literally just across the road from Central Park!	
Jul 24 2008 	NO WI FI	Hotel was clean but room was tiny and painted an horiffic green colour with a view of a cement wall. There was a phone in the room which was very convenient as we could call reception to find out what the weather was like in the mornings.The view from the hall was was only slightly worse - curling barbed wire fencing. When I arrived the porter watched me struggle up the lift with my luggage without offering to help. The key, (yes and actually key) didn't work so I had to struggle back down and the porter had to come up and show me the trick of lifting the door handle, pulling it toward you before turning the key. My sister and I took turns trying to open the room door at night as it was almost impossible. The Wi Fi was &quot;not working&quot; the 4 days of our stay with the hotel and we were directed to a cafe around the corner from the hotel where I got to see my first ever cockroach before the owner killed him. I honestly don't believe the hotel have a wi fi facility at all as no hotel staff seemed to know anything about it.Lastly, it wasn't very nice when you gave taxi drivers the address &quot;central park west&quot; souunds so nice, but the reply was usually &quot;oh, you want to go to Harlem&quot;.	
Jul 22 2008	Fish Palace	Hotel was cheap so didnt expect much. It was clean and basic but slightly further out that I would have liked.Main problem was that after the room had been cleaned each day the bathroom absolutely stank of fish. I have no idea what they cleaned it with but the smell was very bad, as there were no bathroom windows and only a small window in the bedroom it was a case of having to get used to it!	
Jul 19 2008 	"Saved the best til last"	We are two girls in our twenties and stayed in this hotel from the 23rd-27th January 2008. We would not consider this a good location for girls travelling on their own as you need to get the sub or a taxi into town due to the distance and would not walk around the neighbourhood at night. The room was an average size but when lying in our beds they were on a slope - very interesting! We also were awoken with a darfader like sound coming from the heating system followed by a loud banging sound, but gave out no heat so we were freezing! Overall the room was clean and we would have to agree with other reviews the bathroom was the best feature, BUT on our last night when entering the bathroom we were greeted with something neither of us owned in the toilet!!! We had to call the cleaner re our BIG issue and he was very good and came up to sort it out straight away. Astor on the Park is ok for what you pay for and after all you are there to see New York, but it definitly gave us a few laughs and stories to tell up on our return!	
Jul 17 2008 	Little Gem	My boyfriend and I stayed there for 12 nights. Only downside is the size of the room, I have never seen anything so tiny, however as most of the other reviewers mentioned its only somewhere to put you head after a long day out. The beds were extremely comfortable. The location of the hotel is wonderful. Its on the upper west side, subway only 5 mins walk away from the hotel,or you can take a bus M10 which will take you through Times Square and drop you off outside Macys.Overall hotel is very good, however, size of rooms toooooooo small.	
Jul 7 2008 	Great hotel	Normally check in is not until 3 but my friend and I had arrived after a 10 hour bus ride around 8:00 in the morning. The lady at the help desk said she would do her best to get us in ASAP and by noonish it was all sorted. Excellent location, clean room so overall a great experience and you cannot beat the price!	
Jul 2 2008 	What a surprise	Great deal at a good, clean hotel. Mattresses were comfortable and we had a fantastic view of downtown and the park. Staff was very friendly. Only negatives: tiny sink that was impossible to wash your face in, elevator broke on the day we left and we were on the 10th floor. Also they ordered one of their cars to take us to the airport instead of a taxi and we paid twice as much. But overall, what a find. I hope they stay affordable.	
Jul 2 2008 	Right on the money...	Just back from two nights at the Astor on the Park. I have to say that I was a little surprised by how small the room was when I arrived, but honestly for the price it is a great little hotel. The room and bathroom were recently renovated, clean and well kept. The young staff were cheerful and helpful.Nice and convenient to the subway made getting to meetings fast and easy.You go to NYC to see the city, this is a great place to sleep!	
Jun 30 2008 	Good enough	Visited New York for the first time with my wife and this hotel was adequate. Its nothing special but it was clean, cheap and in a good location On the upper West side across the road from Central park. Subway was close and the deli one block up was great for breakfast. Smoking rooms available on third floor. Staff polite.	
Jun 28 2008 	Great Stay at Astor on the Park!	My husband and I stayed at the Astor on the Park for a two night weekend getaway. We booked online through nychotels.com and got an excellent rate for the Central Park area.  The hotel is located at the north-west corner of Central Park at 106th St on Central Park West. It is a quick 5 minute walk to the subway stops at 103rd St or 110th St. We really liked the location as it is outside of the hustle bustle of the southern end of Central Park. We had a room that faced Central Park.  The Room itself is tiny, but clean. There was one double bed and an armoire that had a closet and a television set. Some of the channels didn't come in very well on the TV, but we weren't there to spend time in the room. The bathroom was a good size and had all the amenities we required. The Staff were friendly and courteous and were always there to open the door and greet us with a smile. It was also a bonus that with a 3pm check-in and a 12pm check-out that we were able to store our luggage on arrival and departure and enjoy the city without being burdened by our bags.If we return to NYC again we would probably consider staying at the Astor on the Park again.	
Jun 23 2008 	What a Relief	We just got back from our father/son trip to New York and our stay at the Astor on the Park. I have to say I was a little worried after reading some of the reviews. However, I was pleasently relieved when we got to the hotel. I won't say it's fabulous, but I will call it sufficient. At the price, though, you can't beat it ($145/night). As most people have suggested, you don't go to New York to stay in your room. In all honesty this hotel is not a place you would want to spend to much time in your room.The rooms were tight to say the least, but we had a double bed room. There was enough room for two double beds, a t.v. and a small cupboard for your clothes. There honestly was not a whole lot of room to move around. The rooms would be very crowded for more than three people, and three adults would be pushing it. The beds were actually very comfortable and I got the best sleep I've had in six months. The bathroom had to be the high point of the room though. Our room was clean and was newly tiled. There was no mildew and the shower had great pressure and hot water!!!! The rooms did not smell and the air worked. The down side was the t.v. which didn't really work and there was no remote, but again we only watched it for the weather and news in the morning. Otherwise this is a very sufficient hotel for the tourist. I would definitely not recommend it for a buisness traveler unless you don't mind minimal accomodations. The location was actually great, in my opinion. You're far enough away from the high traffic areas, but two blocks from the subway which can get you anywhere fast. It's about a 10 minute ride to Times Square. Also Central Park is right across the street. It is a very small hotel with minimal accomodations, but as I said it serves the purpose for the tourist. Our group had four rooms and some other rooms were slightly bigger, but not by much. Some of the other rooms had warped floors and older bathrooms, but again everything was clean and everyone raved about how well they slept. The staff was very friendly and accomodate our needs to the best of their ability. Again there's not a whole lot of ammenities, but they will help if you ask.	
Jun 15 2008 	Mixed feelings	My friend and I stayed for 5 nights at this hotel .  We were disappointed because the room was very small and crowded. It was said to have been recently renovated but the room was dark and shabby. The furniture was of poor quality and the wardrobe was damaged. The television was unwatchable because of poor reception. There were no facilities to make tea or coffee and nowhere else to get a hot drink. We did ask to be moved to another room which the hotel staff agreed to, and the alternative was a bit brighter and the tv worked. The floor however had an interesting gradient, sloping up from one side to the other! On the plus side, the standard of cleanliness was good and we always had fresh towels.The hotel also claims to offer park views but I think the number of rooms that could possibly have them must be limited as the hotel frontage is small. Our view was of out back... not very attractive.I would not return to this hotel because I think it was poor value.	
Jun 11 2008 	good hotel for the price	The hotel was clean, the bathroom was excellent. Good bed, good pillows. The front desk did a good job EXCEPT for one guy who failed to give me a wakeup call that I had requested. Fortunately, I had awakened early. The phone never rang, but when I mentioned to the man at the front desk that I hadn't gotten my wakeup call, he said he had rung the room but no one had answered. The woman the next night *did* give me a wakeup call. Clearly the problem was with that particular man, not the system.As might be expected for a hotel that I paid $108/night for in New York, it was tiny and no rooms with a view were available when I checked in. I had read reviews that said that there were problems with the heat, but I found the heat was so high that I occasionally had to run the air conditioner in order not to swelter. No coffeemaker in the room. However, having read reviews at this website, I was prepared and brought a heating coil and a mug and a small jar of good instant. There are a number of small grocery stores and restaurants only a few blocks away.I took the subway a couple blocks away. If you plan to take the train back at night, be sure to find out which trains stop there at which time, as lines you take in the morning may not always run late. (I bought a one- week MetroPass, and found that it was very handy not to have to add money.)	
Jun 7 2008 	better than I thought it would be!	Stayed here for 2 nights before QM2 cruise, was worried seeing other reviews but pleasantly surprised as it was clean and had a spacious bathroom with a tub to soak in, yippee! I get so fed up of just a poky shower with no tub. Nice area with good little turkish run deli at end of block which I highly recommend for breakfast and good coffee-not too strong and really tasty. Opposite c.park, great location and on direct bus route from centre of NYC, need to get a metro card for fares as the drivers can only take dollar coins and its only $2 a trip. Frequent clean buses, why pay taxi fares? And on departure day they arranged our taxi to cruise terminal for us and it was on time waiting for us. Only drawback is noisy plumbing during night. Would I stay again, probably yes if I was ging to NYC.as it provides exactly what you need.	
Jun 5 2008 	If you want to stay in a hotel that costs $48 dollars less than the	Sheraton Times Square then this is the hotel for you. We requested an extra night on arrival at this hotel to find the hotel manager and receptionist had not bothered pursuing our request , leaving us without a hotel room on the last night of our stay in New York, despite their assurances on arrival it would not be a problem. When it got to the day before our due departure date we still had not got a confirmation of our extra night. The receptionist did not even want to call, leaving us to call the central reservations from our room, the following morning not only did they not care we had no hotel room for our extra night, I even had to pay $1 to access the internet in the basement to see if I had an email confirmation. The manager did not try to find another room for us, telling us to call later in the day or acces my email. We finally were told they had no room. The manager handed us a card to call or email www.nychotels.com. If it had not been for a friend in Chicago who arranged a night in the Sheraton we would have had to have spent the day finding a hotel. We managed to get a room in the Sheraton, Times Square for $226 with all the facilities that this type of hotel delivers, restaurant, concierge, shuttle services to the airport etc. This is not a budget hotel, the hotel is at least a 40 minute walk to Times Square and you need to catch a bus which cost $2 each way, ladies if you want to shop, it will cost you $10 in a cab. This hotel offers nothing but a room, you have to shop for water and breakfast, the rooms are small and twin rooms even smaller, we had absolutely no where to put a case not a chair or a suitcase stand. I will not be recommending this hotel and to be honest, for £27more booking direct with the Sheraton in the middle of Times Square, then what else can I say	
Jun 3 2008 	No Problems for me!!!!	I had read a few reviews on this hotel and to be honest they wasn't a million miles from the truth. when we arrived we seen the rooms were quite small however who goes to the big apple to stay in your room? in my personal opinion it was fine for me to sleep in after the days you have! The staff were very friendly and always helped if we needed anything, i had read on a review that the rooms were very noisey and you could hear the subway, i never heard a thing however the plumbing was a little noisey, but if your anything like me after walking around new york for 6-7hrs a day i'd sleep through a band playing. The view from the window in my room was not great but again im not there to look out the window all day.This hotel is quite far out from times square and def would not recommend the walk in, as i'd say it was a gud 4 to 6miles but taxi's really was not that expensive and 3blocks away was the subway, the taxi's were about $15 and the subway was $7 for an all day ticket.My only problem with the hotel was there was not a bar there so once you went back to your room you sort of had to stay there as there was no where for you to sit around. Overall i enjoyed my stay here and didnt once feel like i needed to move, i personally would try not to stay in this hotel again due to it not being in a central location! That is my personal choice as i like to be near the centre.PLEASE NOTE: On arrival at the hotel they Will ask for a credit or debit card, this is incase you use the telephone in your room and check out without paying, i was a litle worried at first they took down my number, as checked out i seen the girl behind destroy the copy! upon my return to the UK i went to the bank and just checked that no money was taken out of my account, no money had been taken :)	
May 24 2008	Excellent value for money clean comfortable no-frills hotel	Reviews for this hotel in general are unfair and are likely to put possible guests off booking. The hotel is very clean and linen is changed every day, plenty of hot water, rooms are adequate for a good night's sleep, staff are very friendly and helpful. The hotel is very good value for money and one of the cheapest we found - for the price of a $25 for a 7 day Metrocard - the bus stop is opposite the hotel and the subway 3 blocks away - you can be in the centre of town within a very short time. Our room was at the back so very quiet - we couldn't see the sky so it was difficult to see what the weather was like outside - however, we only wanted to sleep there! No food available but plenty of delis in the area for simple snacks. We would highly recommend this no-frills hotel as you can spend the extra you would pay at other hotels on enjoying the delights of New York.	
May 12 2008 	Nice surprise after reading bad reviews	After booking this hotel, my wife &amp; I read reviews which started to worry us. At one point, we were tempted to book another hotel, as some were really bad but we need not have worried. On arrival, we were given a room on the second floor, which was very nice but to close to the street noise. My wife went back to Reception, to ask for a room higher up &amp; we were given one on the sixth floor, which was ideal as we are both light sleepers. The room was on the small side but fine for our needs, as we would only be using it for sleeping &amp; showering in. We hope, that the following points are helpfull to anyone considering a stay at this hotel.The hotel.The staff are friendly &amp; helpfull.The lobby is clean &amp; Comfortable, with vending machines &amp; internet downstairs. The only problem we found, was the small lift. It is a bit tight fof two people &amp; a couple of suitcases.The rooms.These are slightly on the small side, with not much storage space but how much room do you need. The rooms are cleaned every day &amp; the bathrooms has all you need, with towels changed daily. This is a buget hotel, which is all you really need when in NYC. Its only real let down is the location. Being at the top end of Central park, it is a bit of a trip every day into the city but not a real problem, if you don't mind travelling on the subway, or a bus. There is a station at 103st, which is only a short walk from the hotel &amp; an M10 bus stop just out side the door.We would stay at this hotel again, soon hopefully &amp; have no problems recommending it to others, travelling to this wonderfull city.	
May 10 2008	Spotless clean Unbelievable value for money!!!	It's long but i hope it helps!We stayed in this hotel in early 2008 for one week. We booked 2 twin rooms for our party of four (middle aged). And we could well afford this @ only €60 per room per night. We got this unbelievable deal @ www.hotelrooms365.com, simply use your credit card to book and with the dollar exchange rate right now you will get a simply unbelievable deal! There were lots of Irish and English at this hotel (aswell as Americans) from families to elderly couples!I had researched this hotel on tripadvisor before we went and must say that the reviews are mostly accurate. As long as one is not going with hugh expectations then they will be very very happy with this hotel. (no bar/restaurant - not that you would be eating in your hotel in NYC anyway!!)On arrival the receptionist checked us in no problem, yes a credit card is required and IF they are not the friendliest in the world then who cares, an they were always friendly anyway, just not OTT like in some more plush hotels.Our room was quite spacious, very acceptable for NYC, had a spotless marble bathroom, extreamely clean and complete with phone, TV with a number of channels, radio alarm and hairdryer. We had requested a park view and got a view of an internal courtyard but we didn't really mind as it was only a request, after all who sits in their room in NYC.The lobby is small, clean and is has a receptionist an porter 24-7. The small basement area has a coffee machine, vending machine and internet access.The lift is small and slow and we often decided to simply walk to the fourth floor, i mean one can wait if they want to!Rooms are serviced daily, are warm and have air-con, if the radiator &quot;hisses&quot; or makes noises, one can turn off the valve as we did!..no big deal really. Bathrooms were clean, well stocked with linen and complementary toiletries.The hotel is situated on the west side of central park. A nice location although I would not choose to explore the area as it seems a little less well off and is about 10 minutes/4 km/2.5 miles out of Central Manhatten. I would defentantly NOT allow this to stop people staying at the hotel as it is still manhatten and is a NICE AREA, just that the Times Sq. area is obviously where &quot;it's all&quot; happening! The subway is only 1 minute walk and brings you to Times Sq. in about 5/10 minutes. We used the subways in the daytime and taxis at night (taxis are very plentiful and cheap - $12-14 from times sq to hotel and all take credit cards), (buses also stop outside the hotel) I would not reccommend the subways for older people, people with babies and i would reccommend travelling with somebody, not on your own, they are just less well maintained and staffed as the London tube, more similiar to the Paris metro if anybody is familier with these. (also goes right to JFK in less than an hour but give yourself plenty of time!)Overall I would stay in this hotel, and recommend it to my friends and family. It is clean, and very cheap, and although a little out of the action, Manhatten is very easy to get around! Personally going to NYC the next time i would try and get in mid town close to times sq. but that is just personal and of out of no disrespect to this hotel which is very well represented by the reviews and pictures here. All the pictures on this site for this hotel are extreamely accurate!!!....it is the exact same as in the pictures.Please do not hesitate to contact me is you have any more Q's!!!On another note;Print out a subway map if you plan on taking the subway from the airport as they are not readily available in every station. The airport to subway interchange incurs a $5 charge per person. Try to not take any express trains in the subway system once in manhatten as they only stop in certain and few stations!! Subway is very cheap - $24 for unlimited travel for 7 days. Go to www.nycvisit.com an order your free city guide which includes a subway map!! Dont forget the sockets are differnet than British and European and only appliances with certain voltages ( i tink 120 or something) will work. (So no european GHD's hair straighteners will work!!!!!) Take the bus tours to get around all of NYC and they are also very relaxing if you are tired of walking and you get to see everything!	
May 4 2008 	You Get what you pay for!	We stayed at Astor on the park for Christmas 2007 and found it very dingy. Severall problems including room temperature - the room was either freezing cold or boiling hot - no control over the heating, Was quicker to walk 5 flights of stairs then wait for the anchient lift, no bar, toilett kept overflowing - once even on Christmas day! Its a good $10 n a taxi to get into New York City.The room was cheap and fairly clean, it was the only place we could find in new york where you had an en-suite bath.... would never stay there again...pay the extra..its worth it!	
Apr 27 2008 	Very good value for the money!!	I stayed at Astor on the Park for 6 nights and I have absolutely no complaintes at all! This was my first visit in New York and was a bit nervous as I had read that hotels in New York could be a bit disgusting so I didn´t expect much from this hotel as we only paid 110 $ per night. So I was very pleased when I first came to the hotel. From the outside it looked nice and clean and when entering the reception it continued looking nice and clean. The receptionist was kind and there was no problems checking in. I had read that the rooms were very small so expected a very packed room but when I saw it I was really surprised. There were to big beds with very clean sheets with plenty of room around it and a nice medium sized, spotless and extremly clean bathroom, There was a tv, an ironboard, hairdryer and some soaps, bodylotion ect. in the bathroom. After European-standards this was defently a quit big room. Remember that this is a two-star hotel (after my opinion a three-star hotel) so I think that the persons who has given this hotel bad reviews just expected to much. The location of the hotel was perfect. The area was quiet right next to Central Park and the subway was only three blocks away so in five-ten minutes you could be down in the city. This hotel made my holiday perfect and I would deffently come back again.	
Apr 27 2008 	Does exactly what it says on the tin!	We stayed at this hotel for 5 nights mid April. Yes a credut card was asked for at check in but this is soemthing which I experience when I check in at UK hotels now so was not a problem.The room was of adequate size with a comfy bed with crisp clean sheets &amp; HUGE pillows.Private bathroom with plenty of clean linen and complimentary toiletries. We had a problem with trying to work out how to use the shower but when we enquired at reception, someone came up to our room straight away and got it sorted for us.True what previous reviews say about location but once you have got the subway sorted then it is not a problem. We had a great view of Central Park &amp; we did not experience the noise which other reviewers have noted.The only thing which I did miss not having was a kettle to make a cup of coffee in the morning but there is a vending machine in the basement which despenses soemthing which nearly resembles coffee!!	
Apr 17 2008 	Enter at own risk.	Having never been to New York before we booked a package deal of flights and accommodation, Astor on the park was choice of Hotel with great location and affordable price. Having read reviews before booking we decided based on the handful of good reviews that it was worth a shot. Upon arrival at the Hotel we were greeted by an uninterested receptionist no hello just ‘you want to check in?’ After asking for a credit card as deposit she then demanded $100 also her reasoning in case we take something from the room. Reluctantly now checking into our double room supposed to be twin room after being advised due to overbooking will move you tomorrow. Being exhausted from 9 hours of travel we decided to deal with it the following day. Having crammed into the tiniest double room in history with no amenities other than a bathroom and a TV that had good reception of static (which makes me wonder what we could have stolen to lose our deposit) was not a good start to our holiday. The morning receptionist was quiet pleasant advised they would move us to a twin room that day. On getting in late that night from a full day of sightseeing to collect our key from the ever friendly night receptionist, only to find out they hadn’t moved us to a twin room based on the fact that all twin rooms were booked the entire weekend. Verbally displaying my unhappiness to the receptionist I advised her we would like some sort of compensation in the form of a refund for the difference of a twin room only to be told ‘we don’t compensate bookings on package deals’ that’s that. I am afraid this is not a Hotel there was no one to help with luggage, no room service, no fridge food or water in room, basic rooms with electrical problems ie: plugs hanging out of wall sockets and lighting busted from roof, hot water was great but shower didn’t work. I am sorry to say I do not recommend this place as you can get a 4 star Hotel for the same price and Im sure better service. Good luck, happy travels.	
