	perfectly acceptable	We stayed here on our return from Canada and Boston, having spent a week at the Hotel 17 a few weeks before. This hotel has a more modern decor and was quite adequate. It was in a good location for us; we could walk down to the shows we wanted to see, but we missed the area around Union Square - we preferred the vibe there.Our room became stifliingly hot every night. We had a thermometer with us and it was 35 degrees celsius at 3am the first night. We tried to open a window, but the window fell out of its tracks and took a lot of effort to replace. We commented to the desk staff who said it was because the air conditioning was linked to outside temps. Every night it became unbearably hot and we were sweating - confusing given it was 5 degrees outside. Apart from that the service was friendly, and they kept our bags both before and after we checked out for a few hours. It was ok and if this is the area you are looking to stay in, you could do worse.	
Oct 7 2007 	Not up to its star rating	We chose this hotel based on its location and its reported 3 star rating. We expected the rooms to be a bit on the small side but they were incredibly small. We have been on cruises where our cabin was larger. This hotel is way beyond need of a major makeover. It is also very dark in the rooms....even though the sun was blaring brightly when we went out of the hotel.The carpets in the room were quite disgustingly tattered and frayed. Our towels were too worn and beyond what we donate to animal shelters. The hair dryer is located over by the tub on the wall opposite the sink and vanity shelf area. Quite challenging to dry my hair without getting electrocuted from the water that was on the floor because the shower wall is not adequate to keep the water in if you decide to shower. The paint on the walls....well, that was quite something. The pictures online were of white and yellow walls. Our dark room had the walls painted a red-orange and green. The paint job was slopped up-not well done at all. Their attempt at hip and trendy really missed the mark and presented more of a depressing, run down dive effect. The space was so small that I had to keep the suitcases on top of one another and live out of them for our entire stay. The clost only had 6 hangers in it and there was not room for much more than that. The tv was also very limited - we could only get a few channels. Our cell phones did not work in our rooms either which made for some inconvenience. Oh, and the bed....very cheap, uncomfortable mattress. Woke up feeling those mattress coils in our hips!The staff was very friendly. If the rooms were gutted and redone, they would be worth considering, even though they are tiny. We are from NY City and now stay at hotels when we return to visit friends. If we are paying upwards of $300/night or anywhere in that range, we expect a better experience than this.	
Oct 6 2007 	great hotel	what can i say. cant fault this hotel .rooms clean,really nice bathroom ,huge bed friendly staff the hotel was central to all the major sites central park 2 blocks away ,empire state 10 mins walk away i would recomend this hotel to anybody planning a trip to new york . thanks to all the staff at the moderne for making our stay at your hotel one to remember thanks again...	
Sep 27 2007 	A good budget choice	The Moderne is a budget hotel by New York standards - cost us about $168 per double per night including taxes. Our room (#703) was very good - no view of course (apart from a brick wall and a fire escape) - but was very clean, a/c, tv, king bed, with good bathroom and shower. There is a nice lounge on floor #2 with free coffee and tea. Great location only two blocks to subway (55&amp;57 st) very close to Central Park and Broadway. Staff were very pleasant and helpful	
Sep 23 2007 	Pretty Good	Not a bad price for the standard and the city. Accomodation in NYC is VERY expensive so this hotel wasn't bad for the price and the positive was that it looked exactly the same as it was on the website nychotels.comBathroom is very small but still ok and bed was comfy. Only interesting point was that our room was on a slant?? Whether the floor was bowed, I don't know? A bit strange.And the TV reception was very ordinary too, we didn't have half the channels as what you would in other hotels.Pretty good given we were barely there (out exploring).Great location too, right around the corner from Times Square and Broadway.	
Sep 17 2007 	Two thumbs up!	I spent 7 nights in New York with my wife in early September and I have booked The Moderne based on some reviews from TripAdvisor. I must confess I was unsure of what to expect, as there are some extremely negative reviews. Well, The Moderne had exactly what we wanted. It's unbelievably well-located, just blocks away from Central Park, MOMA, Times Square and so on. Our room was clean, comfortable and the bed was big and great. Plus, the staff was extremely friendly and helpful, especially Dana and Jen. They have even drawed us a map for a store we couldn't find. It's as simple as that: if you want to spend a lot of money to stay on a luxury hotel, The Moderne is not the right place for you. If you want a great 3-stars hotel, with reasonable prices, to have a proper and comfortable rest at night after spending the day in one of the best cities in the world, The Moderne is an excellent call. I would stay there in a future trip, no doubt about it!	
Sep 11 2007	Great priced hotel in good location	Spent 3 nights at the Moderne hotel in August 2007. We just wanted somewhere fairly cheap but not a dump. After reading the reviews we decided on the Moderne. It is a really nice comfortable 3* hotel in a good location for everything. Central park is just 5 minutes away. The room wasnt massive but adequate for us and the bed was very big. Staff were friendly and the a/c was very welcome. I don't think you need anything too extavangant in New York as it is just a place to sleep and as we paid £470 for the 2 of us for 3 nights we were pleased. Booked through relaxabroad.com.	
Sep 9 2007 	Perfect as a tourist's base	This hotel is perfect anyone exploring the streets of New York by day who needs a friendly, comfortable and safe place to stay. It is excellent value for money compared to other hotels at similar prices. The staff on the front desk are very friendly and very helpful. The rooms are an adequate size. The double bed was huge and very comfortable. The room was also air-conditioned. The air conditioner was a bit noisy but it was great to have a cool room to come back to. There's a tv, hairdryer and a safe in the room also. The en-suite bathrooms are modern and clean. There is a common room with free tea and coffee and there is internet access. There is no food served at the hotel but it is perfect if you are just looking for somewhere to rest after seeing the sights during the day.The hotel is located just off broadway on a very quiet and safe street. There is an ATM about 20yards away. There is a convenince store round the block. Central Park is about 5 minutes walk and Times Square is about ten minutes walk. All in all, this hotel was exactly what we were looking for and intend to stay here next time we visit New York.	
Aug 27 2007 	Cool palce	This little hotel is a perfect choice if you want to be right in the middle of pretty much everything! Cool, clean rooms. Great location and the staff is just wonderful! Jen at the desk is a very sweet girl who really helped me out with a surprise. The restaurant &quot;Serafina&quot; right across the street is a great place to eat breakfast, a bit expensive, but soooo good! And if you want a great little italian restaurant, just take a right when you step out and walk 10 step to Nocellos =)The hotel is really good, and i will definetely stay there again!	
Aug 18 2007 	Great stay - would stay again!	I had my choice narrowed down to two hotels and chose the Moderne at the last minute. I definitely did not regret my choice. My husband and I stayed here for 2 nights in August 2007. This hotel was in a great location - within walking distance to Broadway theatres, Central Park, Times Square, all the shopping on 5th Ave, etc. We also walked to the Empire State Building, but that was pushing it after all the walking we had done before we headed there - it was hot outside and it seemed like a long walk back. The room was small, but not as small as some of the pics I've seen from other hotels. Room 703. We had a king size bed, no view (except of the fire escape, but that didn't bother us because we were only there to sleep), and most importantly the AC worked perfectly (we NEEDED it)! The bathroom was a good size also. I definitely have no complaints and would stay here again if we ever go back.	
Jul 21 2007 	Great little hotel	Stayed here for a week and it was great. It was boiling in New York, we had the delux room - 2 rooms in fact - with two big air conditioners and we needed them! They were a little noisy of course but well worth it. The location is great - 20 yds from Broadway and the nearest ATM. One block from the nearest subway and three blocks from Columbus Circle and more subway and Central Park. Loads of cheap places to eat nearby. The rooms were a bit dark, but comfy, clean, valeted every day incl new towels. There's a coffee lounge with free tea and coffee 24/7 and an internet PC at $1 for 4 mins.Totally safe, the staff were pleasant and helpful. Don't expect room service, or food, but you don't need that in this location. I will come back to this place. As soon as possible!	
Jul 15 2007	Good hotel with friendly front desk	As I said: good hotel with a very friendly front desk. Room is not big. Bed is huge. Housekeeping needs to offer better service. They did not do a complete job in my room. Hotel is very near to most attractions, including Central Park (just &quot;feet&quot; away) and Broadway mere ten blocks away (10 to 15 minutes). Hotel is very small, around 30 to 39 rooms. And it is a good place if you are looking for a hotel just to have bed and (some) breakfast and helpful people to help you with important information about Manhattan. I liked it there. Luis Araujo	
Jul 3 2007	The Great Family Hotel	We were treated like royalty!! Everyone was so kind to us. They could not do enough. Thank you so very much for our stay. we will be back!! Family from Florida.	
Jul 3 2007 	I'd Rather Die Than Stay Here Again	You know there's something wrong when it feels like a wonderful dream to step out of this hotel onto the streets of NYC in August. Never come here... you will regret it for the rest of your miserable days.It will change you for the worst.	
Jun 28 2007	Simple hotel	I took my mother to Manhattan for 2 days and was looking for a simple hotel in a good locations - I got exactly that. The staff was extremely helpful and friendly, the room was adequate for the two of us - two double beds and a small bathroom. This hotel is not fancy by any means but for just under $200/night is a good bargain for Manhattan. The location is close to central park, theater district, shopping, and the subway. Our room faced the back overlooking a sea of air pumps, not the most attractive but we had no street noise. The air conditioner was a blessing as we had 90+ degree days. The bathroom was small but nicely done, large towels. The comments on the elevator are true - extremely slow - but who really cares, you may lose 10 minutes on the whole stay. Great hotel for a short trip if all you need is a clean place to sleep.	
Jun 5 2007	Very impressed !!!	Myself and my Mum booked 7 nights in this hotel, as we were going to spend a week in Manhattan with her sister and her friend from here in Ireland and two other sisters who were travelling from Canada also. Unfortunately, the accomodation they were staying in for the week was booked out, so we had to book elsewhere, trying to remain as close to their location as possible. The girl in the travel agents recommended this one, and well recommended I must say !!! We arrived in JFK Airport and as there was 4 of us with two suitcases each, we had a bit of a problem trying to get transport for us all together with our cases. Eventually we managed to get a larger taxi to fit the whole lot. The driver, however, was extremely rude and ignorant, mumbling stuff at us and shouting at us. This sort of scared us and gave us a very bad first impression of New York. We dropped my aunt and her friend off at their hotel near Times Square, then he dropped us to ours and even after providing him with a very generous tip, he was still rather unappreciative !!!We entered The Moderne and were rather impressed with the very welcoming and friendly reception staff (a lovely young man, longish hair, very friendly). A lovely little porter came along immediately and assisted us with our luggage to our room. Despite the fact his english wasnt all that clear, he certainly improved our impression of New York with his friendly chatter. At least he made more of an effort than the taxi driver !!! We got to our room on the 5th floor (I think !) and we tipped him and he went off after telling us to phone if we needed anything else. Lovely guy. We had a look round the room ... huge comfy and very clean bed ... clean and fairly spacious bathroom ... desk with TV ... air conditioning by the window which was extremely noisy so we plugged it out at night, bit wary of this as there was a spark from the plug at one point when we plugged it out, but it was ok ... wardrobe with laundry services info and ironing board and iron ... small safe, however, this was very light and portable so we didnt see the point ... that would be my main complaint !!! Also, the hotel offers complimentary tea and coffee on the 2nd floor with a view out on to the street. The coffee was so nice, we preferred it to an actual Starbucks !!! Really nice ... also internet access at 25c per minute I think, which was very convenient and printing services too. The tea room also had leaflets about shows and sightseeing tours etc, which was handy. The staff were very friendly right through our stay and also held our luggage in a room for us when we checked out as our flight wasn't until that night. They gave us a lovely goodbye and wished us a safe and enjoyable journey. I would definitely return to this hotel again if I was going to New York. It's a 10 minute walk from Times Square yet the area's far enough away to be quiet at night (rooms aren't facing onto main road either so no noise of traffic or horns or people at night and the rooms are pitch dark as the windows look onto a wall ... not that we were bothered ... we only slept there !). Also only a 5 minute walk from Central Park. I'm sure there are a few Subway stations nearby but we didnt go for them as we just ended up walking everywhere. Definitely worth booking !!! Enjoy !!!	
Apr 22 2007 	Great Location 	My friend and I stayed at this hotel for a weekend in NYC. We found the room to be nicely decorated, and clean. We just basically used the room to sleep, and I used the &quot;library&quot; a couple of times for internet access and some complimentary coffee. Overall the hotel was basic, but was in a great location (within walking distance of Times Square and the theaters, and of course, subway stations) and found that it fit our needs perfectly. I would definately stay there again.	
Apr 20 2007	FANTASTIC!!!!!!	What a fantastic place to stay!!!! I loved it there, and the photographs you see is exactly what it is like!!!!We were upgraded.. I went with my mum and the whole room was fantastic!!!! We were getting taxi's to Times Square! and stupid us... its literally a 5 minute walk!! It is in a brilliant location! and is very trendy! Marilyn Monroe! It was lush!! The staff are very friendly... and you get free tea and coffee which is always topped up!!! and nowww getting back from the shops late we made our way in the lift to the 2nd floor... quite late.. and its still topped up!! its awesome there and they are very friendly and always looking to help you!There is a lush breakfast place around the corner.. Applebees i think its called!!! and go to the Irish Pub opposite... there is a gorgeous american guy working there! haha!! I had a brilliant holiday and I am so happy we chose to stay there!! It is in a brilliant location!!It got a little too hot in there at times.. with the heating! but thats nothing to moan about being in New York City your certainly not there for the hotel!! It is very spacious and the bathroom's marble! very posh haha!It was very clean! will definately be going back!!!! xxx	
Apr 13 2007	loved the moderne	My daughter and I stayed last week from 5th April to the 8th. I was apprehensive after reading some reviews but I am pleased to report that we both loved it. Housekeeping was excellent. We had a room with two queen beds, each bed having 4 big pillows. The bathroom was better than expected with a bath and shower and complimentary toiletries. The library room had a constant supply of coffee and tea with cold milk. No matter what time I went down to collect a drink everything was always topped up. We felt very safe at this hotel and it was ideally placed. I had originally toyed with the idea of booking a hotel near JFK and I am so glad I didn't (area looked a bit rough). The staff we encountered on reception were very helpful and directed us whenever we asked for help to get somewhere. The only exception to this was a female on the desk as we were checking out. When I asked about ordering us a taxi she told me I could go to the top of the road to hail one! Luckily the guy who was sharing reception with her was much more helpful.I would definitely recommend this hotel as a good, central place to stay and I would have no hesitation in staying there again.	
Apr 3 2007 	It was awful!	We hated our recent stay at the Moderne. The room was so hot and the heat could not be adjusted, nor could the window be opened. As we were checking out (2 1/2 days later) the hotel finally turned down the heat in the building. Also, there is no soundproofing in the rooms. There was a baby in the room next door who screamed for two hours a night (generally from 1:15-3:15) and it sounded as if the baby was in our room. Also, at 3:00 am one night (after listening to the baby scream for hours) we called the front desk asking about asprin or some other medication for a headache. The front desk did not have anything, nor were there any facilities (vending machines or otherwise) to purchase asprin. Finally, we inquired at the front desk about timing for a cab to the airport around 5 am. The front desk said they would flag a cab for us, but rather than doing this they ordered a driver for us at almost double the price for a cab. We will never stay at this hotel again.	
Apr 1 2007 	Good Deal	After reading the other reviews, I was surprised that so many of them were negative. I had a decent stay at the hotel. Most things were average. The location is unbeatable. It is right in the heart of everything. It is close to the corner of 55th and Broadway. The size of the room was small, but I expect that most NYC hotels have similar sized rooms.There are a few cons, which did not effect my opinion very much. The elevator is very slow. The cappiccino bar was really just a coffee pot that they kept in the library. The library was small and didn't offer many books. It did have several tables though and a desktop computer. You could use the computer for $.25 per minute. The hotel decorations are rather odd. They have an Andy Warhol theme throughout the hotel. There are many pictures of Marilyn Monroe, and a Campbell soup can picture as well. There were long green valvet curtains in our room. The beds had thin mattresses and nice down comforters.The beds were made every day, but they didn't change the sheets. They didn't give us new soap after the first day. They also didn't take out the trash on a daily basis.The employees were nice. We asked them for directions several times, and they gave us a map as well as written directions. They were also helpful with telling us about the subway. I would probably stay there again, due to the location and price.	
Mar 21 2007 	very pleasant stay	we have just returned from ny and oh what a great time we had. The hotel was excellent. The rooms were clean and in a very good location. The staff were excellent. What a great time had by all.	
Mar 11 2007 	Wonderful budget stay	For this time in NYC I decided to look for a nice hotel but not too expensive. After a lot of searching on the net I founded the Moderne Hotel. The very original furniture really impressed me with the Andy Warhol's Marilyn Monroe picture on the walls and the silver bead head contrasting with the freshly painted blue walls.Location is amazing: on the 55th street - Broadway Avenue, in the hearth of Theatre District, 5 minutes walking from Times Square, Fifth Avenue and the nearest subway station.Rooms are not too big (as the standard for NYC's hotels) but absolutely suitable for two people sharing. Bathroom is a bit small but very bright, hairdrier is very powerful, mirrors cover half of the bathroom, abundance of hot water (with huge pressure), daily changed soft bath towels and complementary bath foams and body lotions.Even the exaust fan was very effective and not too noisy (my bathroom didn't have the window).I slept in a room with two double beds that are very large but a bit short for taller than 1.90 meters. Bed linens were absolutely clean and soft, as the pillows were.Room was very very very clean, I've never found a grain of dust anywhere in the hotel.Hotel offers complementary coffee and tea maker on the second floor, very useful to start in the right way one day of visit of this amazing town. I've read some reviews about noise coming from the opposite building: I was on the fifth floor and I didn't hear any disturbing noise during night or day time (of course until you open the double glassed window, so if you aren't used to sleep with open windows it's not a problem).Finally my room had an in room safe, cable tv and an additional electric heater in case you need need it (I didn't, rooms are very warm).Please note that there is no free internet access in the hotel.A last thanks to the staff very smart and kind that can assist you for transfers, guided visits or everything you should need.I do suggest a stay in this hotel, where I stayed six nights, even if you travel alone, with your friend, for business or leisure reasons. An affordable and very clean NYC hotel, with great standard of service in a amazing location.	
Feb 25 2007 	Cockroach!!	Yup. I saw a cockroach on the morning of our departure. Thank goodness it was then because I don't know if I couldv'e slept the night. Good points: 1)garage across the street with parking for 33/day OR 20/day if you show your hotel receipt.2)proximity to broadway and its shows. proximity to Hell's Kitchen as well.3)cool trendy marilyn monroe decor4)comfy bedBad points:Cockroach!! Crawling across the dust ruffle of the bed. I'm sorry. I can never go back!	
Feb 13 2007	Quiet Hotel with Great Staff	I was pleasantly surprised by my experience at the Moderne. The nice-sized room was spotless...the king bed &quot;heavenly.&quot; The all-marble bath was as nice as hotels I've stayed at 3 times the price. Lots of steaming hot water too. With just a few rooms per floor the halls were quiet. Yes the elevator is a bit slow but, with only 7 floors I never had a long wait. Also there's a nice coffee lounge on the second floor, overlooking 55th St. The phone had a data port and voicemail too. Yes, the window looks out to a light shaft. But try to get an &quot;o1&quot; room - such as &quot;301&quot;...those tend to have windows looking onto 55th, and are larger.But the staff is what made my stay outstanding. The two young men who alternate at the front desk could not have been more helpful. They really came through was when NYC experienced a serious cold wave just as I was checking in for my 4-day stay. The &quot;high&quot; that day was 4 degrees..with wind-chills at minus ten. I phoned the desk because the room was chilly and, within 15 minutes, the day engineer arrived to adjust the heating unit and clean its filter. But that didn't seem to help so I called the front desk again. In less than an hour someone knocked at my door with a newly purchased portable radiator. Yes, they had actually sent someone out to get this one just for me.The Moderne isn't fancy and there are a few signs of wear. But at the great rate I found thru Hotels.com it was an uncommon value for NYC. And to be just 2-3 blocks from most theatres, numerous restaurants, and two subway stations....I'll be back!	
Feb 10 2007 	Never again	The title says it all. Never again will I stay at this hotel. About the only positive part of the hotel is the location. Located between Broadway and 8th Avenue, it's only minutes from the heart of Times Square and the shows of Broadway. This trip was for my wife and I to celebrate our 10th wedding anniversary; and being that we had tickets for a Broadway show, we wanted to stay close to the theatre. After searching Hotels.com, I settled on The Moderne, based on location and price. What a mistake!! As I said, the only positive I can come up with is the location. The negatives: I know the hotel is an older building, but it smelled like a funeral home; the bed had to be THE most uncomfortable bed I've ever had the misfortune to sleep on; and the toilet in the bathroom was so close to the wall, it was almost not able to be used (you had to sit on it side-saddle due to the closeness to the wall). I expected the room to be small, so that part wasn't an issue. My next trip to NYC will definitely include a different hotel.	
Jan 28 2007 	Great visit 	My boyfriend and i went over new year, we were worried after the reviews we read online...but we were SOOOOO pleased with the moderne!! It was the best location, friendly staff and so clean! Ask for a fridge, free of charge. opposite a great irish bar, mcgees, great craic as we r from n.ireland! Round the corner from broadway, 5 mins walk and 5-10 min walk to times square! would stay again, also david letterman show is round the corner, we went on the saturday and got tickets for the tuesday! worth a visit! xx im going back this november!	
Jan 12 2007 	Go Again!	Was not looking forward to staying in New York. But it was fantastic!!! very clean and friendly people and not in your face, and the pace was not as quick as i had thought it would be. The hotel is in a fantastic location less than a minute off Broadway and the Coffee is excellent! it's excellent value for money, very very clean. Don't be put off by the fact that there is no dinner etc, try Apple Jackets 1min walk away for an excellent b/fast every morning (the locals use it too!) and you will eat out every night so why pay more for a hotel with a resturant that you may not use! Can't wait to go back! Enjoy!	
Nov 22 2006 	The Moderne - Great location and good for the price!	Stayed here for seven nights in Nov 06. Our original room was near the air con unit on the adjacent building, which I was worried about having read other reviews, so we asked to move and our room was changed the following day with no problems. We didn't have much contact with the staff generally, but when we did they were always helpful and efficient.The room itself was larger than our bedroom at home, so not that small at all. Plus the tea/coffee room downstairs (where there is free tea and coffee available) has tables, chairs and a sofa available which gives you somewhere else to hang out. The decor was a little tatty around the edges in places, but hey, it's only a 3 star hotel! The main thing is the room was always clean, as was the bathroom, and the bed was huge. It's true that there isn't much natural light in the rooms (even though we were on the top floor), so I guess that if a room with a view is important to you, this hotel is not for you. However we were generally out all of the daylight hours so it wasn't important to us. The location of the hotel is great - close to Broadway, 8th and 9th for cool restaurants / bars, midtown and also Central Park. Plus it's only a block away from the nearest subway station. When I was looking it was the only hotel in Midtown within our budget that had relatively good reviews. I'd stay again!	
Nov 21 2006	Unbeatable location good place (mind its price!)	I was a bit aprehensive as after making my reservation, as I read the reviews on this and others sites.However, I read a few good reviews too, and I could not find any other good deal in a decent area of the city. Some people's complaints can be understable in a luxury hotel, but, what do they expect for less than $250 in NYC? (Yes, you can stay in amazing places for this or less price in other cities/resorts, but NY is NY)If you need a big and luxuriuos hotel lobby, room service, amenities, internet access in your room, cable TV etc. This is NOT your place. BUT, are you going to visit NYC to spend your time in the hotel?? My room size was OK, in fact much bigger than expected for this price in a expensive city like NY. Very clean and stylish. Nice common room at the second floor to have a cofee, check the email or just relax. No safety complaints. AC was a bit noisy. Wiews: to the awful building in front, but... who cares?. The best of this hotel was the location, just having a clean place to sleep (not much) in the heart of Mahattan!	
Nov 14 2006 	Cant Fault it......	Well, like many others on here I was a little worried about some of the &quot;bad&quot; reviews. After getting to the hotel itself I have to admit I was concerned as we were put into the now &quot;famous&quot; room with the broken window lock (304). I asked the porter if we could change and we got moved to room 302 str8 away, no fuss. 302 had a safe and the porter double checked the window to show it locked. He did advisd that not even maintenance guys use the space where the windows and fire escape lead to, only hotel staff if they need to smoke. The room itself was of a pretty nice size (not small at all), very very clean and the bed and pillows were to die for, awesome in a word. The room was cleaned within the hour of putting the label on the door to say &quot;please clean our room&quot;. The bathroom was pretty small, but very clean and an all marble and mirror finish, and lets face it, other than showers, teeth and erm....well...you know, you wont be in there, so it give what service it needs to. The staff (both day &amp; night) were very nice and even sorted out a car back to the airport when asked for. Overall the Hotel Moderne was a great place to get your head down and somewhere to rest your battered body after a long day out and about in the city. It was safe, warm, very very quiet and superbly located. This was my 4th time in NYC since Nov 99, and the hotel was ace. DezWirralUK	
Oct 29 2006 	Worst place ever	This was the dirtiest, unfriendly hotel I have ever stayed in in NYC. I often visited NYC but my usual hotel, The W was all booked. So I thought I would go somewhere cheaper but still in an accesible location. There were &quot;odd' stains on the pillow case, the hot water took ages to turn on and the bed/pillows were excruciatingly uncomfortable. I have never experienced something so horrible in my life. i am desperately telling you to look somewhere else.	
Oct 11 2006 	Good and bad...	Every hotel has good and bad reviews, so I wasn't too concerned with the bad reviews on this hotel, until I arrived....Yes, the location is fantastic (5 mins to Times Square) with an absolute quality Irish pub across the road, and the hotel does look really nice on the outside, but....the rooms are a tad small (so that puts it on a par with the rest of New York) and it is dark and dingy once you get past receptionThe important thing to remember is the bad points in previous reviews. Yes, I got the room on the 3rd floor looking out to the sidestreet with a view of another building, and yes, the Air-Con unit for the whole block was outside my window and it was really noisy, and, remembering previous reviews, my window would not lock.So, I decided to complain about the windows, and here's the clever bit, I complained out of hours so only a skeleton staff was working. They couldn't fix it, and I refused to stay in a room without a lockable window with the fire escape outside the window. In the end, they upgraded me from a bog-standard room to a suite, and an impressive suite at that.Awesome (upgraded) room, 5 minutes from Times Square, for absolute peanuts. Result.So.....if you get lumbered with the dodgy room with the window that doesn't lock and the Air-Con unit outside......COMPLAIN!!! It really does work.	
Oct 3 2006 	A good clean location	It was very difficult to find a middle class hotel, not very expensive, with a good location and finally, I booked the Moderne. I travelled with a friend and we stayed 10 nights at the Moderne. The best point is the location because it's near everything: Times Square, Central Park, Broadway, Rockefeller Centre, 5th Avenue,...I was a bit worried at first with the cleanliness of the hotel but the room was clean and comfortable. We had a enormous bed with four pillows. The bathroom was a bit small but enough for us. It's clean, no problems with hot water and towels were changed every day. The worst thing was the air conditioning, a bit noisy but at the end we didn't heard it because we were very tired after all day around the city.... And if you leave the hotel a bit late, for instance at midday, I can confirm that the room is clean every day. The room didn't have natural light, only a window next to a wall, but we didn't mind it.A piece of advice about the breakfast if you decide to book the hotel. The hotel only have a coffee machine and it could be better if you go to Broadway Avenue, buy your breakfast and go to Central Park to enjoy it. It's only 5 min walk. Relax and enjoy the views.I would recommended it to my friends and I probably stay again.	
Sep 5 2006 	Would not stay here again	I should have known I was going to New York and should not skimp by staying in an inexpensive hotel, but the reviews seemed good enough to chance it. We arrived in the evening and the building looked old ... like they took a really old hotel and tried to make it into a modern hotel ... the catch is, they did that very cheeply. Everything about it was cheep. The halls were beyond belief stuffy and when we walked to our room the guests in the rooms we were passed dead bolted their doors. The room had an extremely noisy window unit air condition and the window opened to a wall, so there was no light at all. The room was extremely small and felt dirty. I did not walk around the room without shoes. The bathtub was also stained and black because it was old and unkept, and the bathroom was extremely small (keep in mind that I live in Europe and therefore am used to very small hotel rooms, but this room was uncomfortable). There was no restaurant or breakfast, which is fine because who wants to stay in the hotel in New York city anyway. The location was fantastic. Overall, I would not stay at this hotel again. If you are looking to travel on a big budget and don't mind a cheep place, then maybe you would be okay with this hotel, but for those looking for a good steal I would not recommend this hotel.	
Jul 31 2006 	Fantastic room and location	We stayed in the hotel for three nights and found it fantastic.To be fair I will mention all the good and bad points. Good points are the location is second to none, very clean room with a good size ensuite. Bad points are that the room are very dark, windows upagainst a wall and there is no bar or eating facilities. But if your are looking for a well priced hotel in downtown NY then I would definately reccommend it.	
Jul 19 2006	Great low priced choice	My daughter and I spent five nights at the Moderne and I was pleasantly suprised. We paid an unheard of $100 a night so I didn't know what to expect. However, the hotel was clean, the staff helpful and I was very happy with our experience. It is located near everything, Times Square, the Upper West Side, Central Park and the subway was close! I would recommend this hotel to my budget conscious friends.	
Jul 3 2006	Pleasant Surprise-No problems whatsoever	My husband and a family friend planned this trip to NY as a surprise birthday gift to me. After I learned where we would be staying, I searched for information about the hotel and was mortified at the bad reviews. I'm typically the master planner when it comes to our trips, so this was a choice of which I had no input. So, to put it mildly I was concerned. However, I was pleasantly surprised by the friendly desk clerk and the large, street-facing room. We stayed in room 401, which has a living area and then a bedroom adjoined by French-style doors. The room was clean, comfortable, and met our needs. The hotel even offers mini-fridges. All you have to do is ask. That was a great service point, especially since we stocked it with fresh fruit, water, and juices found at the multitude of local markets. The location was absolutely perfect. We were right around the corner from David Letterman, which was just across the street from the Broadway theater where we saw Oprah Winfrey's the Color Purple. We visited the second floor lounge that had cool floor-to-ceiling windows overlooking the street. We didn't use this area, but it would have been a highly comfortable setting to spend time on your laptop or on the pc's they had set up. We spent little time in our room too as our intent was not to lounge there but to see as much of New York as possible. This wasn't our first trip to NY, but it was the first non-business trip. The front desk provided a great visitors booklet that featured a great map including subway stops, better even than the Frommer's guide we had purchased. The subway stops were easily accessible, one on almost every corner near the Moderne. We rode it everywhere: Harlem, WTC, Little Italy, etc. Overall we were very satisfied. I know everything is expensive in the city, but I'm not sure I'd pay any more than $150 or so for this place. I rate it above average because it met all our needs, had a fab location, and we had zero problems. It wasn't luxurious like some others we've experienced, but for a couple who appreciates five stars as well as quaint, homey, bed-and-breakfast establishments, the Moderne fit the bill for our trip to NYC.	
