	A 3 star hotel...	My husband and I stayed there for 3 nights. Location is good. The lobby is probably 20 sqm. Staff are polite but not welcoming.The rooms: really really small. Bathroom: really really small. Bed: really really small and too soft so if there's 2 of you prepare to cudle all night long because you'll sink to the midle. No views.So, try another hotel. With the amount of money Shoreham costs you'll find other hotels, also well located (if not better) where you have a bed where you can actually sleep.It takes more than white walls and funny lamps to be a modern luxury hotel. Would not recommend it.	
Nov 24 2007 	Small Room but Clean 	The two of us stayed at The Shoreham Hotel Nov 16-23, 2007. The Superior Queen rooms are small but clean, most of the room space taken up by a very comfortable queen sized bed. The bed leaves very little space for moving about the room. To give you an idea: 9 paces from the door to the window, turn left, and 5 paces to the wall. There is one chair parked beneath a narrow table surface (about 18 inches wide?), between the bed and the table surface. If pulled out for sitting, the path from the door to the window is blocked. We ended up repositioning it between the bed and the bathroom, and parking a suitcase on it, as there wasn't really much room anywhere else in the room for suitcases. There is a small closet on the right as you enter the room. It contains an iron, an ironing board, and a safe for storing valuables. The bathroom is small with a stainless steel sink which drained slowly so we called the engineer to fix the stopped up pipes - he came up immediately and fixed the problem forthwith, so we thought, until it started plugging up again, so we just let it go as it was not a major issue. The heating and cooling worked perfectly, no problems there. There are 2 handheld phones in the room, one by the bed, the other on the narrow table ledge.	
Nov 16 2007 	Worst "Luxury" Hotel Ever! Got no sleep!	This hotel was truly awful. The bathroom floor is marble and is FREEZING at night. There is no heater in the bathroom. Moreover, because my bathroom door did not close (the hinge was broken!), the cold air floated out into the bedroom. The bathroom is right next to the bed, and the cold kept me awake for hours.I turned the heat in the bedroom up to maximum, but was still not able to warm up the bed (which is next to the bathroom and far from the heater on the other side of the bedroom).I called guest svcs for slippers to walk on the bathroom floor; they forgot to respond. After a few hours, I finally fell asleep, only to wake up about 3 hours later because the room had somehow heated up to a roasting temperature, and I was sweating. I turned the temp back down a bit, but it was very slow to respond.Further problems with the room: 1. the front door (to the hallway) will not close without being slammed. 2. bathroom door won't close at all. 3. There is no bathtub, nor a shower stall or even a curtain. Just a shower head in the middle of the wall, which floods the whole bathroom (and bedroom b/c the door doesn't close) when used. 4. The sink is tiny, and is slanted downwards ,so water spills onto the floor.I got only three hours' sleep despite eight hours of trying. If you get Room 210, you should IMMEDIATELY change rooms or check out of the hotel.	
Oct 4 2007 	mixed review -- but wouldn't stay there again	This is a small boutique hotel -- and here is a snapshot of the good and bad:Good:1. comfortable bedding2. clean3. trying to be trendy 4. nice workout room for this size hotel (except that you can't control the temp and it was too hot)5. champagne at check-in 6. free coffee/cappucino machine nice7. nice locationBad:1. smallest bathroom I've ever seen (and I travel over 45 trips a year). seriously no where to put your toothbrush 2. very hot in halls, workout rooom3. who needs loud techno music over breakfast?4. breakfast should not be in the bar with tiny little footstool chairs.5. can't adequately control room temp.6. no privacy &quot;business center&quot; just two pc's in a hall7. check-out staff very unfriendly8. tiny desk size ironing board -- very hard to iron a business shirt on it.overall -- nice location, odd place. There are plenty of other choices in NY.	
Oct 2 2007 	little piece of heaven	Modern hotel in the best location and still with an affordable room rate (it's all relative). It is steps away from The Pennisula Hotel, and 5th Ave.. Great selection of restaurants on the same block. We have a Superior King w/ bath tub and a great shower, flat screen TV, plenty of closet space for short stay. The bed is heavenly...and the bedding is lovely...my young daughter enjoyed it so much she used it as launching pad! Staff are very helpful and friendly. Elevator is very efficient. There is a fancy Swiss coffee maker provides free coffee/tea/hot chocolate on the lobby floor around the clock. I was able to fill my daughter's milk bottle as needed - how convenient is that!!! there are also a couple of computers in the lobby for the guests free of charge. They also deliver New York Times daily free of charge...Yes, i do have to pay for the room, but it is defintely worth it!	
Sep 25 2007 	Great stay at The Shoreham	we have just returned from a three night stay in this hotel,with two teenage children. The location was FANTASTIC, when we arrived they upgraded our room, from a small queen bedded room, to a suite ,the bath room was small, however it had all the neccesities. The children's room was upgraded because they had been given a single queen to sleep in, they got upgraded to a larger room with two queen beds in. The hotel bar looked lively however we were all too busy to get a real taste of the atmosphere. The staff at reception were very helpful . The children enjoyed the free use of the internet, and overall it was a convenient and pleasant stay we would return if we were to go back to New York. The hotel is not a huge sky scraper,however it was a good size, there were no real views out of the bed room windows, especially the childrens which looked into a well, the rooms were always quiet, the beds comfortable, good bed linen and air conditioning was great.Also free coffee from a machine 24/7. we thought it was good value especially with the upgrades.	
Sep 8 2007 	Fantastic Hotel Stylish 	Had looked at a number of other hotels and got a great deal for the Shoreham through Travelzoo.It was our first time to New York and the hotel is ideally located just off Fifth Avenue.Rooms are very modern with flat screen tvs.The continental breakfast was great and so were the staff.Very friendly check in\out!Will return again!!!!!!	
Sep 4 2007 	A Great Weekend at The Shoreham	After reading such mixed reviews I was a bit apprehensive about this hotel. However our experience turned out to be very positive. Our check in was efficient on a busy Friday before Labor Day. We (my husband and I) booked a superior king at a very good rate (breakfast included) and were happy to find that the room was pleasant and a reasonable size for NYC. Our room had a massage chair (a wonderful way to relax after walking and sightseeing) and the bathroom had a tub with a good shower head. We were on the better side of the hotel and this and the great room rate had a lot to do with our satisfaction with the room itself. There were extra perks that also added to our favorable opinions..a daily New York Times, the free coffee bar, and really terrific staff that always had a smile and were helpful and so pleasant. It was always a pleasure to go to breakfast or have a drink at the bar and chat with the staff . I am guessing that there must be a wide discrepancy with the queen and king rooms and that makes it more difficult to know what you are getting and adds to the mixed reviews seen here.	
Aug 20 2007 	Two nights were enough.	I was in the city with my son for ten days during July, so as to see which school he may be going to next year. Unfortunately, we were not given the type of room I had booked, which was guaranteed as with two beds. The hotel expected me to sleep in the same bed with my son for one night and then move to a room with two beds the next day. Unacceptable, for which I made a reservation at another hotel for a room with two beds. This one was located in times square, but I didn't mind, it was much cheaper.At the Shoreham, after sharing the bed with my son one night, we were given a room with one queen bed and a pull out sofa. I was so glad I had already made reservations somewhere else. The next morning we let the front desk know we were leaving because the rooms had not been acceptable, for which we were told by the front desk staff and their supervisor that for us not to pay for the 7 nights we would not be staying, they would have to confirm with the general manager. Furious I left them my cell phone number and still have gotten no reply. Neither have I been charged for the 7 nights we did not stay there, nor have I been given any sort of reimbursement for the 2 nights we spent in rooms that had not been what booked.	
Aug 14 2007 	Wonderful! Love this hotel....and the great staff!!!!!!!!!!	What a wonderful experience. My friend and I just came back from spending 3 nights here. The staff went above and beyond...especially Sorin. The room we'd booked was not ready when we arrived, so we were upgraded (at no additional charge) to a penthouse suite with a balcony and incredible view. The hotel is IMMACULATE!!!! Not a speck, not a spot, not a grain of dust anywhere. The food was wonderful...delicious and artfully presented. Every member of the staff was so helpful...the lounges were comfy...fresh orchids were everywhere (even in our bathroom)....shower was huge and had 5 shower heads...cushy slippers...lattes, coffee, and tea were free...we would go back in a heartbeat!!!! Truly a hidden gem in NYC!!!!	
Aug 9 2007 	So many better places to stay in NY for the money	10th anniversary - DH and I never had done anything this romantic (have 2 kids now) in a looooooong time. We are very easy-going, not snobs at all. Live in Westchester and decided that rather than spend the weekend flying somewhere exotic, we would enjoy NY as tourists do, nice hotel, good restaurants, broadway play. Shoreham offers the Spa package, but before booking I call and ask specifically if we can book the package but in a king superior room, but still get the spa package deal, with champagne, chocolates, some body scrubs or whatnot and spa treatment. 1st thing, they book us in the junior suite. nOT a king bed. Very uncomfortable for us, we are not obese, but not petite, and, the point is, I specifically requested the king. When I called the front desk I was robotically politely informed that there were no other rooms available and that I didn't want them anyway. No view. Shower ran water ALL over the floor (they should add a lip on the door to prevent this - should cost them all of 25 bucks.) Shower was awesome though (many heads in this suite) although I would have given them all up and the jacuzzi (I told them this when I called to book it in the first place) for the KING SIZED BED.) Free breakfast is continental, not the hot menu. Bar is nice, and bar staff was nice in the evening, snooty in the morning. Didn't get the chocolates or the bath spa stuff. the spa treatments were across the street at a nice little place, and very nice. SPoke to concierge? Hideki 4-5 times, first time when we were checking out, who promised me they would make all the above right by me, including the missing package items. He promised some female manager whose name escapes me would call. No call. I called many times. no call from the mystery woman. Also, WAS OVERCHARGED for the shoreham's valet parking at the lot next door. they charged me 145, and i was told 45/day. We were there for 1 1/2 days. Figure 75 tops, right? Recieved a tiny box of Lindt truffles and 45$ back for the parking, and never heard from them again. If they respond to this review, just know that they are just a mill, hoping most people won't complain, but AvOID THE SPECIAL PACKAGE. IT'S JUST A ROOM IN NEW YORK CITY. Next year we are spending only a little more and going to spend the weekend at the Ritz Carlton Battery Park which is LOVELY and similarly priced. Oh well, 11th anniversaries are just as special, right????	
Jul 20 2007 	Great Hotel	The hotel was in a great location, just walking distance from the theatres. The staff was friendly and there was free water, champaigne, coffee, and hot chocolate. The hotel was very clean with a modern decor feel to it. This hotel can be for anyone.	
Jul 18 2007 	Great Room Service Bait and Switch room placement	I really wanted to enjoy my experience at the Shoreham.Highlights:Great location near 5th Ave Shopping, Excellent Bar and Delish Room Service. Good selection of inroom movies and Nice Flat Screen TV.Drawbacks Had to seperate reservations and when I called ahead to sync them up I was told I was being comped the better room and turned out I was given the less valuable room.Also sheets are uncomfortable and internet wireless DID NOT WORK.Everytime I called for help I was told no one could help.This is disappointing when the Hotel touts itself as internet/Tech savvy !	
Jul 16 2007 	Less than I expected	On the plus side, the bed was fantastic and the staff was very nice. Unfortunately, however, we found the Shoreham Hotel disappointing. Our very small room faced a little dingy light well with a very loud air conditioner compressor at the center. The lobby, like our room, is decorated with cheap but stylish furniture. Our room on the 6th floor felt dark and noisy.On the day we arrived, the hotel was overbooked and they were unable to give out any rooms when we arrived early. We gave them our credit card and left our luggage, with the assurance that our room would be ready when we returned. Unfortunately, there were still no rooms available at 4:30 and the clerk again explained that they were overbooked. I pointed out that we had already checked in many hours ago and asked him to think more innovatively about giving us a room. As a result, we were upgraded to a larger room.	
Jul 16 2007 	great stay	This was a great hotel. We stayed there 4 nights and room was always back to new when we arrived back everyday. The staff was very helpful and friendly. The room had a great layout and the bed is very comfortable. Our bathroom was small but how much time do you really spend in there. If you do want a bigger bathroom than I would suggest you ask for it since they have many different room layouts. Also, the free coffee/hot chocolate/expresso machine was GREAT. Loved the free WiFi as well. We will be staying there again.	
Jul 11 2007 	Good centrally located hotel but not 4 star	Spent 4th of July weekend at the Shoreham after winning bid on Priceline.com. Priceline categorized this hotel as 4 stars but small room with one queen size bed and shower without bath tub would, in mymind, disqualify it from 4 stars and put it closer to a good 3 star hotel. The view from 4th floor window was facade of adjoining building. Having said this, the Shoreham was the first hotel I ever stayed where I was offered champaign during check-in process.Location is great particularly if you want to avoid the havoc of Times Square area. The bedding was extremely comfortable, air conditioning worked great and the room was very quiet. Courtesy coffee/capacino/cocao bar and bottled water along with great TV were nice touches. In summary, the Shoreham surpasses the many other similarly priced hotels I've stayed in during frequent NYC visits.	
Jun 28 2007	"Okay" is as far as I can go.	OK is as far as I can go, although my brother thinks otherwise.The best experience at the hotel was the check in, after midnight. So fast it was amazing, perfect after a long flight.Well, that was it, because we get to the room and it has only one small bed, obviously not what we had booked. We decided to simply show up at the lobby in the morning, so I go to take a shower and my brother is already trying to sleep. I happen to pay attention to the water which is draining towards the bathroom floor but I think nothing of it. Unfortunately, the water got all the way from the shower, onto the bathroom floor and then to the room’s carpet. I had to use a few extra towels to dry out the carpet and the bathroom floor, of course by now my brother was helping me, I had already made too much noise and that room was, to put it in a nutshell, a &quot;tiny walnut&quot;. The next morning when we are heading for the elevator, we run into someone who seemed to work at the hotel . He was a handyman and he already knew about this specific issue in this specific room. Now there was no question about it, we needed a room change. Not only two beds, but please a bathroom that does not drain onto the bedroom.Luckily Daphe, the reason for this review, took care of us immediately. She asked us just two questions and said she was setting things up, so we tell her that we would like to talk to a manager, to which she nodded as making a call and continuing to work. She said that the manager would be with us shortly and that our new room would be ready in less than 10 minutes, so we decided to wait at the lobby, which by the way has very low seats. After about five minutes Daphe calls us to the desk. As we are standing up she gets interrupted by another phone call.At this point, out of the clear blue sky, a person who introduced himself as Ireki, while handing us a card, let us know that the general manager was not available. I was about to let him know that we were not in a rush, specially given the fact that our new room may now be ready, but he did not seem to know this. He started telling us how sorry he was about the incident and how this never happens, contrary to what the handyman had told us a few minutes before. I decided not to make him feel uncomfortable and I simply ask to leave a message for the general manager, which I did. I then try to go back to Daphe but I got once again awkwardly approached by Ireki who was asking for a confirmation of my booking, which I had already shown to her. At this time Daphe, who was still on the phone, hands me a new set of keys and waves to the bellman. Ireki was now in silence. Our bellman, Zaty, helped us go from the tiny walnut to a two beds real size room, he was ever so kind.After our few nights at the shoreham I must admit that I was impressed by the level of cleanliness and the professionalism of Daphe and Zaty, but we did not get a call back from neither Ireki, apparently the head concierge, nor the general manager.Daphe saved our trip, we asked for her upon leaving, but she was not around. We did not feel comfortable leaving a tip for her during our check out, they seemed to be very busy and somewhat disorganized during that sunday morning.All in all cool bar and bartenders, the entire lobby is all white and marble, extremely minimalist. The flower arrangements were very sophisticated and chic, although they did not match the cheap looking, low seats at the lobby. Also, the coffee machine that is literally two steps away from three public restrooms, definitively not a good choice for location. The Hallways on the floors were not air conditioned, neither were the elevators, extremely hot. Room type booked was not at all what we were given. Very clean rooms, excellent location, good rooms with two beds, tiny rooms with one bed, some showers leak onto the bedroom, no discounts nor amenities given nor offered, no answer from management, so thank God for Daphe.	
Jun 24 2007 	Nice hip hotel in a great location!	We just returned from our weekend at The Shoreham and we were quite pleased with the hotel and our room. Not sure what the person who wrote his review on June 22 is complaining about, but the hotel is just fine. The room was a bit on the small side and I've never been in a &quot;queen&quot; bed that was that small. But the furnishings were nice, the cappuccino machine in the lobby was a nice touch, and all in all this was a nice place to stay. The front desk staff were mostly helpful although they had this quirky way of seeing someone approaching the front desk and then quickly occupying themselves with something else or making a phone call ... not the best customer service but not the worst either. Flat panel TV in the room and Bose stereo were also nice touches. Some things we didn't like: the bathroom door didn't close, the hinge was broken; windows to the outside world seemed like they'd never been washed on the outside; the phone in the room was not working correctly and we didn't get our requested wake-up call on the first day.	
Jun 22 2007	Don't Stay Here!	Just got back from New York. We stayed 5 nights at the Shoreham (first time and the last time). It was the worst experience I've ever had at a hotel. We booked a suite and the room was really tiny. The staff was not helpful in any way and they seemed very inexperienced. I could go on and on - my list of what's wrong with this hotel is extensive. Only good thing going for the hotel is the location. Trust me, you can do much better elsewhere	
Jun 11 2007 	Cool hip spot.	Perfect spot....just down the block from the Peninsula and around the corner from Trump Tower. Was in town for the Cotto-Judah fight at MSG and to get a clean room from 299 just off 5th Avenue is a deal. Was even lucky enough to get street parking just outside the hotel for my rental because I got back from MSG late. Rooms are small but shower looked brand new and nice LG flat screen. Can't see why anyone would flame this joint.....	
Jun 1 2007 	Was a great central hotel!	Myself and my boyfriend visited NYC in April and I had spent hours researching hotels to stay in after hearing that expensive and tiny rooms were common in the city. I chose The Shoreham, as for a central boutique hotel it seemed like a good value deal, and I got a great deal with a small London-based independent travel agency, much better prices than the website or expedia. My tip is to search around for web prices, they are drastically different!Once we'd arived at the hotel, we were given our room by helpful and friendly staff (I'd read they were very unhelpful). We had the lowest priced double, but it was not as small as I'd imagined and had a large double, very comfy bed, huge flat screen TV and en-suite with huge and very powerful shower. Very simple but stylish and had everything we needed for a city break and base.Also, we really liked the bar, which was small but perfectly formed with gorgeous cocktails. We didn't try the food but the bar menu seemed nice too.When we left we had an evening flight and were worried about leaving our luggage but the staff obviously get this a lot and have a designated room that you can leave your luggage in for no extra cost.Just don't drink anything from mini bar - extortionate for a water!I'd conclude that this hotel is a good all-rounder, excellent location and well worth it if you get a good deal.	
May 31 2007 	Tremendously improved!	A year or two ago, I submitted a review of the Shoreham that was not very complimentary. The place had grown shabby, noisy and threadbare. Now, I'm happy to report the Shoreham has made a terrific recovery.I believe all of its rooms have been thoroughly overhauled and updated. Its capacity has more than doubled with the addition of a new west wing. And, although still pricey by national standards, the Shoreham - for its location and amenities - is an upscale bargain in midtown Manhattan.I've stayed in a lot of different rooms since the remodeling, and they are all more or less stylistically similar: neutral beige walls offset by mildly tufted, patterened, sea-green fabric wall panels. Furnishings and wall decorations are blonde wood with simple, modern lines. The beds are high and very comfortable, with a generous array of pillows. Lighting is minimal, but all dimmer-controlled, and the room can go from bright and cheery to shadowy and romantic. Here too are thoughtful touches such as individual reading pin spots over the bed, and headboard lighting controlled from bedside.Each room is equipped with a nice LG flatscreen TV, with a remote that actually lets you adjust the screen dimensions so that regular broadcasts aren't elongated and weird-looking; the Shoreham is the only hotel I've ever found that gives you that option. My only problems with the TV are 1) a limited selection of channels, and 2) no in-house movies or games. There's also a Bose clock radio/CD player with a remote, a couple of phones, and a generous number of well-placed wall outlets. Wireless internet is free, fast, and easy to use. There are two free computers and a printer near the lobby on the ground floor, which seem to be busy all the time. Each room has a little refrigerator stocked with costly little sweets and drinks.I've not checked out the fitness center, but from the literature it appears to be well-equipped and available around the clock. There's a decent food and snack menu available 24 hours, and a convenient (if pricey) valet car service at the front door.Although not quite a &quot;scene,&quot; the Shoreham Bar is colorful and comfortable in a futuristic way, sort of like The Jetsons' rec room. The location - around the corner from the heart of Fifth Avenue shopping and touristing - is a huge asset. You are within easy walking distance of great restaurants, the subway, buses, Madison Ave. businesses, and Central Park. You can walk across the street to rub shoulders with celebs and the rich at the Peninsula's bar, or head a block south to attend that conference at the Hilton. If you must, Times Square is ten short blocks away (although why you would remains a mystery to me). While not exactly bustling with activity at night, this Sixth Avenue neighborhood - once a ghost town after dark - is slowly coming into its own, with a number of comfy bars, late-serving restaurants, a Starbucks and a few expensive convenience stores. On warm summer evenings, the post-theater tourists and local happy-hour lollygaggers mingle to create a diverse street scene.My only quibbles: many rooms are spacious by New York standards (and especially by comparison to the dinky broom-closet rooms at the Hudson or the Paramount), but the bathrooms are so small they look like they were designed for the Space Shuttle. Forget about two of you in there, just one of you at a time, and even then you'll be bumping into the walls. The multiple-nozzle shower is cool, but its cubicle so tiny that it's hard to keep the showerhead from spilling over onto the bathroom floor. This is a major flaw in the redesign, especially when the bedroom has enough floor space to hold a square dance.Also, after throwing all that money at the hotel's re-do, would someone at the Shoreham please please PLEASE wake up and equip each room with a full-sized ironing board? The little desktop doohickey they provide is a royal p.i.t.a. to use!All around, the Shoreham is an attractive, comfortable and convenient stay at a reasonable price (price depending on the season, as with all NYC hotels). Look for online bargains, or call and haggle, there seems to be quite a bit of wiggle room in their rates.	
May 30 2007 	Ticked All The Boxes	Myself and a friend shared a room here for 4 nights, and as this was my first trip to NYC, a NYC-based colleague recommended this hotel. This is a contemporary hotel, with decent size (and spotlessly-clean) rooms, and very friendly and helpful staff. Sitatued close to Central Park (and even closer to 5th Ave.) but without the noise. The bathroom was a little small (especially for two girls) but the beds were the most comfortable I have ever slept in! I recommend a cocktail from the bar (the meals are prettty good too) before a night out, and will definately be staying here again!	
May 18 2007 	Good value and great location	Booked the hotel on Travelocity. Advertised as a four star hotel tho I'm not sure it quite rates that way. I would put it at a 3.5. Rooms are small as indicated by other reviewers, however, they are clean, modern and well laid out. Bathroom was tiny but never felt that way. We had a two bedroom suite. Two parents, two kids. Perfect for a family tho parents should note that the bedrooms have no doors. TV's are modern HDTV flat screen wall mounts. No pay per view but full cable. Staff was helpful. There is no concierge per se but the front desk staff were very knowledgeable and helped with reservations, etc. Room service was lightning quick. Food was pretty good for the one meal we ate in the room. No ice machine but no charge for room service delivery. What would bring me back to this hotel is the location. Two blocks south of Central Park South. What more can you say?	
May 6 2007 	great location and good service	I had some problems with my credit card, but the receptionist were quite friendly and very helpful. As I hadn't booked a room and as it was the first weekend of the Tribeca Film Festival, it was so hard to get a hotel room. So I was quite desperate when my credit card didn't work. But at the end everything went well and the staff was so patient. This hotels is small, but very fine and modern. The interior is trendy and the room is very clean. Though the restaurant and the bar looked great, I didn't checked it out.I paid 299$ per night for a single room, expensive, but still a good price. Because it's just located at the fifth avenue and the Central Park. I couldn't find a better located hotel. Furthermore, the doorman was so kind and obliging. I definitely would go there again.	
May 1 2007	Great Hotel in convienient location	While we initially had some trouble with the check-in process and some quips with the front staff, the hotel was overall very nice. We booked our trip through TravelZoo at $199/night rate for the weekend and also stayed our 1st night through their MOMA package. While we were supposed to get early 12PM check-in with the MOMA package, we were told at 2:45 when we arrived, that our room was not ready. As far as the early check-in, I was told, &quot;We have no record of that. Your room is not available.&quot; After coming back after 3PM, it appeared the initial front staff person had no clue what she was doing while the other people in the front staff did.Our room was the standard queen room. It was very clean and an okay size for NYC standards. The bathroom had a pretty large shower which they could have probably made smaller and made the rest of the bathroom bigger. The bed was very comfortable. The room was extremely quiet although part of that had to do with the fact that we were on the 9th floor not facing the street. The room had a mounted plasma. The only complaint was that the A/C was very cold and the vents pointed at the bed. Since the room is smallish, it would tend to get stuffy if the air wasn't on, but when the air was on, it was freezing cold. Keeping the fan on (without the A/C) helped with the problem but then made the room somewhat noisy.We got free continental breakfast one morning with our MOMA package which was very nice. However, we discovered on check-out that we got charged for the breakfast. The front-desk was polite and took off the charges.The hotel is located just off of 5th ave next to all of the fancy shops. It is 1/2 block from a subway station (F line) or about 2 1/2 blocks from 2 other subway stations with more line choices. It's also close to a small supermarket and drug store.For $199/night, this was definitely worth it.	
Apr 23 2007	Great location cool style hotel	As usual I searched for the Shoreham Hotel in Tripadvisor.com. When I got there I was gladly pleaced. The location could not be better. Just 3 blocks from Central park. Just a few feet from the Hotel Peninsula. The room was the size that one can expect from a hotel room in a mayor city. The interior design of the rooms and public areas was very nice and modern, and the staff friendly. There are two or more metro stations nearby as well. Overall, I would definitely stay there again.	
Apr 18 2007 	Very positive experience	Overall I was very pleased with my stay at the Shoreham. I booked a &quot;Superior Queen&quot; room that I got for $199/night via a special advertised from Travelzoo.com. As others have noted, the room was a bit cramped, but that is not unusual for hotels of this class and price range. It was very efficiently configured, and the condition of the room was excellent with a flat screen TV, high quality linens, tasteful decor and a spacious bathroom. The room was also very quiet given it's interior location. There was one small window that looked out to an interior air shaft and the adjacent rooms resulting in an unappealing view. Fortunately, the HVAC worked very well, so I just left the curtains drawn. I did not use any of the hotel ammenties other than the free wireless internet in the rooms (easy to connect), and the free latte machine in the lobby, but the bar looked quite pleasant and seemed active in the evenings. There is also a very small business center and fitness room, but they both appeared to be in good condition. Given the convenient location and quality of the accomodations, I would recommend this hotel as a good value.	
Apr 9 2007	small roomgreat location	I was surprised @ smallness of room,tho' it was fine for my 18 yr.old &amp; myself(we're not big)as we didn't intend to spend much time in room. The location was perfect:close to all 5th Ave. has to offer;proximity to MOMA,Central Park,and subways ,theater-all within walking distance.The bathroom was large;wonderful shower! but the best surprise? it was so quiet! we were able to sleep soundly(no street noise,no hallway noise).The staff was friendly,and helpful(I was able to store luggage;they got a taxi for me when it was raining;told me subway i needed to take).It seems like a great place for 20-30 -somethings for romantic getaway(the bar/lounge very modern).	
Apr 3 2007 	Thoroughly recommended!	I stayed at the Shoreham with my mum at the end of March, and it exceeded all expectations. We were originally booked in a smallish room (but with a kingsize bed) with a shower - we asked for one with a bath and were immediately moved to a large one with a tub and with an electronic massage chair thrown in - bliss! We found all the staff to be incredibly helpful, especially Daphne on the main desk. The beds are as comfortable as everyone says, and the rooms are serviced every day with new bed linen and towels, and were always spotlessly clean. The breakfast is very good if a bit pricey. The free drinks machine comes is great, as is the gym and the internet access. Whole hotel is very trendy and modern and has a really great feel to it, and the location can't be beaten. If you're looking for a hip, urban, boutique hotel experience in the heart of the city, the Shoreham really is the place to go.	
Mar 31 2007 	I would repeat it!!!	After checking that hotels in NY were very expensive and most of them are deteriorated by the use, we were very careful to choose the perfect one.After staying 5 night in The Shoreham, we are very happy for the chosen one. At the first sight, you can't imagine how good it is because the entrance is not very spectacular. Nevertheless as you are entering the hotel, the atmosphere is very modern, not as many hotels in NY.The room was as modern as the entrance. The furniture was very smart and there was a huge plasma screen TV hung up in the wall. The staff was very friendly, not as it is supposed in NY. And the rooms, as they're not huge, are fine.If that's not enough, there are 2 things that I haven't seen in many hotels. Near the hall, there are 2 computers in which you can surf in Internet free!!! That's awesome if you are far away from home. And the second one is that there's a free coffee machine you can have free coffees and hot chocolates. And they are quite good.I would recommend this hotel to every people who wants to stay in NY. For me it was perfect.	
Mar 29 2007 	Fantastic Experience!	This hotel exceeded our expectations! We did have a king room which is bigger than the queen rooms. The beds were wonderful and plenty of room for a NYC hotel. The location was perfect and many excellent restaurants within a couple of blocks. The 52 inch flatscreen TV was great for catching the March Madness games. Our deal on [--] included the ($16.00) excellent buffet continental breakfast. We really received an excellent deal! The staff was friendly and very helpful. There were some mistakes on our bill and they were taken care of immediately. I would highly recommend this hotel!	
Mar 17 2007	Cooked alive!	The hotel is beautiful, and the rooms are small, but very well thought out. However, there is an &quot;A&quot; side to this hotel and a &quot;B&quot; side. The &quot;B's&quot; get cramped hallways, rooms impossibly close to the clanking elevator and temperature controls that don't work, unless you want high heat. I had 2 rooms in 2 days in &quot;B&quot; and each time the temperature was the same; boiling and not adjustable. The A side is quieter and cooler. I stumbled upon this side by accident.	
Mar 8 2007 	Great Hotel In Mid Town	This is a great mid town hotel. The rooms are very comfortable, the beds are to die for, the price is right and you're in the middle of everything.Ask for a king room, it's only a few more dollars and it's much bigger than the standard.The lobby bar is very cool, too.	
Mar 1 2007 	Overall a good hotel	I got a great deal at the Shoreham through Travelzoo, we paid $249 with free breakfast for two for a Queen Deluxe room. I understand the standard rooms are tiny so this was a step up. The room was a decent size, had a plasma TV on the wall, nice bathroom with a desk. The lighting was all track lights on dimmers which was hard to figure out which switchs controlled which lights, but no big deal.We did have a window but it overlooked another brick building so no view. We also did not get a glass of champagne at check in and, I think this is VERY important, they take a deposit of $800 for 2 nights at check in! I almost made the mistake of using my bank card which would have held up $800 of my money. I used my credit card instead but it wouldn't go through at first because it was such a large transaction. They put through 2 charges of $400 and it was fine.Location is IDEAL. Central park is a few blocks away and 5th avenue shopping is right around the corner. Times Square was kind of a long walk, I was in heels, but we were able to do it no problem. Breakfast was just okay, muffins, bagels, pastries and juice/coffee. It is normally $16 so I would not have paid but we got it for free so it was fine. The coffee/espresso machine is awesome! Delicious drinks and free.Overall I would recommend this to a budget concious traveler who is looking for a nice, clean hotel. If you can get the travelzoo deal evern better! Go a room size up and get the deluxe queen, and I would ask not to be next to the elevator as we were, kind of noisy. Location cannot be beat! Staff very friendly as well.	
Feb 20 2007	Comfortvalue and a few extras	Our daughter goes to school in New York so whenever we go to visit we check out different hotels, hoping to find that perfect spot.This time we stayed at the Shoreham, whose location on 55th between 5th and 6th is close enough to be able to run in Central Park, and is just down the street from the posher St. Regis and Peninsula.Overall it was a good experience. Front desk staff were efficient and welcoming and our rooms (we treated our daughter to a break from dorm life) were clean and comfortable. Our executive King even came with a terrace - too bad the weather was freezing! Our winter special rate included a buffet breakfast with lots of delicious fresh fruit, granola and pastries. The Aveda bath products were very pleasant - there was face and body cleanser as well as the usual shampoo, conditioner and moisturizer. Free internet access and a large flat screen TV were much appreciated.I would definitely recommend the Shoreham for budget minded travellers who enjoy a touch of luxury.	
Feb 12 2007 	Average stay at Shoreham - unhelpful concierge	This hotel is average, there are definitely better hotels in NYC for the same price. Very small room with worn carpet. Flat screen TV was nice. Rooms need to be freshened up. Concierge said he would be glad to provide any assistance needed, then when we called and asked him to make us a dinner reservation he said he would and then never called back. Make sure you get free breakfast included in your rate. Good location. Located at 33 W 55th St, NY, NY 10019	
Jan 31 2007 	Shoreham staff great!	I recently stayed at the Shoreham Hotel, and I must say, all those rumours about New Yorkers being rude are entirley and completely false! I hd a wonderful time! The front desk staff was incredibly wecolming and friendly and made me feel at home from the moment i walked in the door. Scott and Ellie are a comedic duo worthy of Broadway! Their cheerful demeanors kept me entertained whenever I passed through the lobby. The hotel was clean, stylish and full of fun amenities like the endless supply of lattes. It's location is cenral to many attractions including Time's Square and Rockefeller Center. Overall, I ad a lovely experience, though be advised, the rooms are tiny and there isn't enough counter space in the bathrooms. (clearly designed by a man without hair products!)	
