	A very trendy and cool hotel right in the heart on Manhatten.	The hotel is in excellent location, just a couple of blocks away from Broadway (Time Square)I choose this hotel because of the cool pictures on their website. Altough it was not as cool as on the website, the hotel still is very modern and stylish.As I just used the hotel to sleep, I can only give my opinions regarding my room and my impressions. I did not use any of the their facilities and also did not have the chance to experience either the restaurant and bar.The room I booked was a standard room. It was very clean and stylish, but a little small for my taste.The bathroom is pretty decent and provides branded toiletries from L'Occitaine.As I almost never were in the hotel I cannot express myself to much about the staff. But the guy that brought my bags to my room was very friendly and helpful. The same guy escorted me when I departed. So, my only interaction with the staff was basically just him.As I mentioned earlier the location is just excellent, you can reach anywhere in NY midtown by foot. There is also an undergorund station just outside the hotel's entrance.In my opinion the hotel is most suitable for younger crowd (18-30)Overall I enjoyed my stay at the Dream.	
Feb 20 2009 	Great Location Could not fault it!!	As we had never been to NYC, I was nervous as what to expect, esp with the hotel!Room was a medium queen, it was a nice size, Not massive for the money but it was clean and comfortable and had all we needed.I was impressed the toiletries provided were L'Occitane which are fab.Every day the room was cleaned, fresh towels and if you wanted your bed could be changed.Very central location, subway round the corner.Roof top bar, good but pricey!Staff, very helpful and pleasant from door men to reception to handymen.The adjoining restaurant Serafina is lovely too, good food and reasonable! We stayed for a week and we are a young couple and both pleased!	
Feb 7 2009 	Sexy but small	I stayed here during the holiday season. By joining the preferred group of hotels I was able to get a decent deal on the room, which was what they call a &quot;medium&quot; size room. The room was about as big as my closet. I actually changed rooms after the first night, which had its pros and cons. The first room was extra tiny and overlooked some kind of generator or something. No view and no daylight at all. But it was pretty quiet. The second room, on the 10th floor, was slightly bigger and faced Broadway but really didn't have a view, unless you consider looking into other people's apartments a view. And the noise level from the street was unbelievable. I had to sleep with earplugs and I could still hear all the street noise, especially the taxis honking their horns! That being said, the room was very very clean and very sexy. The blue lights added a little something extra to those moments with my guy and the bed was super comfortable. Not sure if I would stay here again though. I dont think it was worth the price.	
Feb 2 2009 	Sooo Nice.	This hotel is in a great location in Manhattan. You are right in the center of everything. The rooms are very cool and I would definately get a suite if you could afford it. Overall I loved the hotel and I would definately recommend it. Dana-New York	
Jan 12 2009 	Great location	Had just a quick business trip for 2 nights and loved the Dream. Had stayed several years before it changed to Dream and I have to say that the upgrades are fab. Very good location and great service. I’d return in a minute.	
Jan 9 2009	Cool Hotel	Cool hotel. Great location. Nice roof top bar with great cocktails.	
Jan 8 2009	Great Location	Great Location, the location is on 7th Avenue 53rd Street, a perfect location for everything. The room booked was quite small, with a small bed. Modern with great amenities. You can see Times Square from the end of the road and the Top Bar. Central park short walk away.The staff were helpful, everything was very clean. It was not cheap, but this is Manhattan.Book if you want a great location, walking distance to Times Square &amp; the Park. Also a subway at the end of the block.	
Jan 7 2009 	Well positioned hotel	Just came back from New York and wanted to add my opinion on this hotel. Before we left we checked other reviews and decided to book despite the mixed ratings. We are very happy we chose this hotel after all. We book a large room with a big bed and we highly recommend it, as the small room is really small. The bed was very very comfortable and the service was very good. The hotel is very well positioned in New York, close to many attractions, metro, lots of cafes restaurants. For New Year's Eve we just had to step outside the hotel, on the 7th Ave and we had a very good view of the Times Square and the ball. The only one thing we did not like was the noise. This was not the noise from the inside, as the rooms were well insulated and we could not hear other rooms or people cleaning the corridors. It was the outside noise from the street - especially when the garbage was collected - and there was a lot of garbage. Since we had experienced before the same issue when visiting New York in other hotels, we were prepared with ear plugs - so we highly recommend them if you have a room facing the street.	
Jan 2 2009 	Just the perfect Hotel in Manhattan	After reading the reviews I was in a mixed mind whether to book. In the end I just did and stayed between 24th and 28th December 2008. The location is on 7th Avenue 53rd Street, a perfect location for everything. The room booked was a large room which was fantastic, modern with great amenities and great toiletries. Starbucks right on the corner and right round the corner from the famous carnegie hall and carnegie deli. You can see Times Square from the end of the road and central park to the north. The staff where very helpful, the bar cool and everything just great!! It was not cheap, but this is Manhattan and that is what is expected I gather. Book this hotel if you want a great location, walking distance to Macys, Saks, Times Square all the favourites with a subway literally across the road. Just brilliant!!!!!!!!!!	
Jan 1 2009 	Excellent Location	The Dream Hotel is ideally located in New York City. The staff are excellent,it is spotless and we will certainly return.	
Dec 17 2008 	Artsy Boutique Hotel	My Fiance booked two rooms at the Dream one for ourselves and another for my friend and her husband. When I looked through the travelers photos on tripadvisor I was discouraged and wanted to change the reservations but I am glad we did not. If your looking for a boring hotel with no appeal there are many to be found Dream is trendy sort of South Beach Miami style the small rooms are tiny, clean, great bathroom lighting for applying makeup(not florescent), and super comfortable soft duvet and bed. If your going to NY to spend a lot of time in your room dont rent a small one it is cozy for two without a lot of space for luggage. We left our suitcases with the bellman downstairs and left NY without one of our bags. I called a few hours later and the bag was tagged this was on Sunday I received my bag by Monday morning in Houston free of charge. I commend the Dream for great customer service, and you cant beat the location. We also had breakfast at Serafina and the food was very good.	
Dec 16 2008 	Hated my dreams	I should have taken the recommendation from my co-worker to stay at the Tribeca Grand Hotel. Well, I had the honor to pay $310 a night w/o tax for a room on the 13th floor. The good...when I brushed my teeth it wasn't a far walk from the corner of the bed to the sink in the bathroom. I just wish the bathroom door wouldn't have hit the sink when opened. My other coworkers bathroom door hit the toilet when opened, so I should feel lucky. The front desk and concierge staff were not very polite. They did do their job though.The bad. I was placed on the 13th floor which is below the nightclub and the dance floor. I got to hear the bass beat and the floor shake all night. In addition the elevators sounded as they were going to plummet to the center of the earth. I might have had a better night sleep snuggling with Lucifer (actually that my wife's name and I was on a work trip). Am I exaggerating? No, this is all this true and I am happy to be home. I would recommend the Drake or Weston at Times Square over the Dream.	
Dec 16 2008 	Nice hotel Shame about the staff	Me and my Fiancee booked to go to the Dream hotel for our first trip to NYC, we booked it as it looked like something different and very nice! Upon arriving to the hotel it looks nice but it is fairly small but well maintained! We had booked our trip with Expedia and had paid for the hotel upfront on the voucher we presented it clearly stated all we had to do was present the voucher and our room would be given as we had paid for everything in advance so we started to check in with no worries when one of the Front desk staff asked for a credit card for incidentals which is usually ok as they take a copy of the card and all is fine, But this hotel was different they advised we would need to have a credit card that had $100 per night we stayed on it for pre authorisation (We stayed 6nights so that was $600) they said they wouldnt check us in if we couldnt provide this!!! I was totally shocked I understand they need some sort of back up but $100 per night!! I didnt have that sort of money and nowhere did it state that we needed to do this as we had already paid upfront for the room for them to advise me I couldnt have the room I had already paid for if I didnt have the money they wanted on my credit card!! I only had a switch card with money on it as I wasnt expecting this and they refused this!! They also advised cash wasnt acceptable in the end we managed to put down $200 is cash for first night as we arrived on a saturday and then my mum back in the UK had to send a copy of her credit card which also we had problems with as they advised they didnt receive it then they found it just lying around and they blocked our room once also even though we had sorted this. The staff I found quite rude and their attitude was they were doing us a favour even though the room was already paid for!!!In regards to the rooms we booked a Medium room, thank god we did as this was still very small, so the small room must be tiny!! The rooms were spotless and they have an evening cleaning service so if you need it towels etc and your bed would be redone in the evening which was nice! Although we were there 6nights and the shampoos/soaps were never changed we never got any new although we had pretty much run out of this.The hotel location was amazing a really short walk from Times Square and all the Theatres etc also very close to Central park. Cant knock the location is fab!!Just be careful of hidden charges on room!!!	
Dec 2 2008	Great location nice hotel	We stayed November 21 - 25 in Dream Hotel. The location is perfect, close to Time Square and Central Park.Nice hotel with nice rooms. We stayed in a Kingbed room wich was not really King but ok.Concierge is a really good help for any questions. I would recommend this hotel for anyone who is in the city to discover NYC!	
Dec 1 2008 	Not what it seems	After staying at the Dream this past weekend it is difficult to understand where the 5 star reviews have come from. Do not mistake yourself into thinking that this is a good value alternative to the Hudson or W hotels. You want to spend time in these hotels, this one you do not. The overall standard just simply isn't there from the dark tired lobby to the understaffed and poorly trained front desk. This general feeling seemed to exist with other guests, in the elevator we had two unsolicited conversations calling the hotel &quot;a dump&quot; and &quot;seedy&quot; which is maybe a bit harsh. On the positive side the bed is comfortable, shower good, and the Chopra spa which is separate from the hotel has unique and great treatments. The location is convenient but you are not going to feel too special walking through that poky lobby and squeaky front door each morning. There are better alternatives in the same neighbourhood.	
Nov 26 2008	Fantastic Weekend Base in NYC	I stayed at the Dream Hotel with my boyfriend for a weekend back in February.We spent ages trying to find an affordable, stylish hotel and eventually found a great deal at the Dream hotel on ebookers. Even without this deal, I would highly recommend the hotel. The staff are incredibly helpful and friendly. It was raining one day and reception lent me an umbrella. We wanted a quick burger on our last day before we went to the airport and the girl behind the reception desk recommended an amazing place just around the corner from the hotel.The reception area is really beautiful with big gold thrones, fish tanks and statues - its OTT but cool and stylish. Our room was a standard room and pretty compact but more than big enough for our needs. Amazingly comfy bed, big flat screen TV with a variety of channels, cool radio, fluffy bathrobes and plenty of storage space. I love the way the beds are lit from underneath, very cool!The location was fantastic, we could wander to central park in about 5 minutes and there's a jazz club not far away in the Lincoln Center which everyone should go to - Dizzy's Coca Cola Club. Its so easy to get a taxi outside and then just a short hop to anywhere you'd want to go.All in all a really fantastic base for an amazing weekend in NYC!	
Nov 2 2008 	Dream a big dream at Dream	Stayed at Dream for a weekend. Loved the service, eye for detail and location. Staff was extremely helpful. Lunch at Serafina, facial at spa, drinks at Ava lounge. Stellar weekend. Room was comfy, clean and the bed was a cloud. Highly recommend staying there and will go back.	
Nov 2 2008 	Great Hotel	Just returned from a 4 night stay in the Dream Hotel, NYC. Couldn't fault anything. Stayed in a large room with 2 double beds. Room was big and airy. Location of hotel is excellent. First time to NYC and wouldn't hesitate returning and staying in this hotel. Unfortunatelly terrace bar was shut, but enjoyed the views of the city from the Penthhouse bar. Staff were friendly and helpful.	
Oct 29 2008	Good Location	Great location and cool hotel. I found the staff to be nice at the desk and I liked the apples at turndown. The rooms are very small, even for New York, however I wasn't in it for very long so, didn't really make a difference to me. I would stay here again.	
Oct 16 2008 	Great location and Clean	This hotel was so close to everything, and if it wasn't, the subway was about 5 blocks away. Time Square is right there. To walk out of the hotel (and to the corner) and see it, is amazing!! The room we stayed in was very big. It was so quiet and so clean!! The bed was great! The bathroom was big. We only had a shower, which was fine for us. There is a nightclub on the top level, but we stayed on the 3rd floor and heard nothing. Some reviews mentioned the elevator wait-we took the stairs. There is another place to have drinks off the main lobby. They do not offer a cont. breakfast, but across the street is a diner. Went there every morning. I don't have one bad thing to say about our experience at this hotel. I would stay again, and again...The aquarium in the lobby is soo cool!	
Oct 12 2008 	Great location	Great location, walk to lots of attractions. Service pretty good, rooms small but comfortable. Good restaurant.	
Oct 9 2008	sweet dreams	The only bad think about this hotel are the rooms on the first floor (the noise polloution was horrendous from our first room) they changed our room as soon as we asked and the rest of our stay was spot on! The beds are so comfortable and we only stayed in a basic double bed. The location is the best..5 min walk toTimes Square and Broadway which is a good idea to be just out side so you can escape the hustle and bustle. The rooms are small, but they have everything you need, they are clean and modern. Girls be warned (GHD Straighteners don't work in the states) But the very best think about this hotel is the rooftop bar. The cocktails don't come cheap, i suppose you're paying for the fantstic view. I would deffinetly recomed this hotel, for couples, friends etc, probably not for families.	
Sep 25 2008 	dream hotel - not quite a dream	So let me start with the pros of the dream hotel....overall I would call this a 3.5 star hotel for NYC.- Really nice, large flat panel TVs in the rooms. Great to watch and a good space saver since the rooms are tiny- Very clean, especially rhe bathrooms- Excellent location at 55th and Broadway - so a great jumping off spot for both central park and times square- Fun and hip feel on the inside- Apples on the pillows - nice!- Great toiletries - soaps, etc all great qualityCons- Slightly snotty staff- The tiniest room you can image - even small for NYC. Even the elevator is so small my luggage could barely fit in the door.- Is built around a huge air duct, which is running all the time and is noisy. I got a room on the second floor and it was unbearable. I didn't sleep a wink. I had to change rooms. Most hotels would be apologetic. They acted like they were doing me a favor. Moved to the 9th floor, and was still slightly noisy.- Uncomfortable beds - and smaller than a normal queen for sure. I am 5'11&quot; and I was hitting the end. Just hard beds.- Way overpriced hotel, hotel bar, and spa - even for NYC.- Housekeeping knocked on my door all the time for no reason. - Weird NYC crowd at the roof bar.Overall - it was too small, too snotty, and not that nice for how much I paid. There are SO many hotels in new york - pick another one like the westin times square, the W, etc.	
Sep 22 2008 	Good location average room price	This hotel is close to Central Park, Rockefeller Center and the exclusive designer stores. The hotel has an attempt to be a luxury hotel with reasonable prices. They have a spa, gym and restaurant. Our room was comfortable and clean. Yes, there is a blue neon light under the glass desk and under the bed edge. I guess that's their chic touch, personally I didn't like it much. Our room had a 36&quot; LCD TV hanged on the wall and a Bose radio. The bathroom was clean but to compliment hotel image they should replace the shower tiles and accessories as they were rusted. They also offered bathrobes, turned over your bed and instead of chocolates, a sweet healthy delicious red apple.We stayed on room 116 right above Serafina Restaurant on Broadway. It was a little noisy due to the traffic and restaurant, but we were so tired that we slept thru the night. Staff is very helpful and nice: Front desk, concierge, bellboy, housekeeper, everyone.The restaurant is expensive though. For 2 ravioli dishes, 2 glasses of sangria and complimentary focaccia bread we paid $65. The next morning we had breakfast at Apple Jack's across the street on Broadway, like a Denny's restaurant. Hearty cheaper breakfast.I loved their soap and shower gel from L'Occitane.Overall, the service was good, and considering other hotel prices in midtown Manhattan, I would stay here again but I would ask for a room above the 6th floor.	
Sep 6 2008 	Very hip	I've been to New York a couple of times and most of the hotels were very expensive and of very poor quality. This one was a pleasant surprise - the rooms were well made with nice lighting, wonderful bed and great shower, the location is right next to central park and metro station. They even give you apples every evening :) On the downside it is quite expensive and room service has a thing for waking you up at 8 - 9am. I tried to find a Don't disturb sign somewhere but without much luck.Overall this is a great hotel especially for business stay as it has high speed internet in the room for free.	
Sep 5 2008 	Dream? More like a Nightmare	Do NOT stay at the Dream.Booked a room on Quickbook for $351.Pros: On checking in, front desk staff was very nice. Same on checking out. Bed was very comfortable.Cons: NOISE. I stayed on the 55th Street side of the hotel. All night long there was a huge amount of construction, garbage collection, and road noise. Right outside the hotel there is a sewer cover on the road that doesnt fit right, so it makes a loud noise every time a car goes over it, which in NYC is about ever two seconds. Also lots of noise in the hall - doors slamming, maids talking and wandering, every little thing can be heard through the thin doors. And every half hour or so the air conditioning made a really loud noise for no apparent reason since it didnt really cool the room for the first 8 hours.SIZE: The room was tiny, barely bigger than the bed. Seriously. Like a bed surrounded by a one foot moat of old dirty carpet.QUALITY: Form the elevators ot the bathroom to the desk to the closet, this is clearly a really old hotel that has been superficially spruced up to look cool at first glance. Unlike the W chain and other boutiques, this is more like a coat of paint and some neon lights than it is a true quality upgrade.SERVICE: Other than checking in and out, front desk staff was unresponsive, unknowledgeable and generally unhelpful. When I asked to change rooms, I was denied. When I asked to leave after two hours of no sleep, I was told the noise would go away (it did not, in fact it got worse around 2-4am) and that I would be charged if I left. I almost left anyway, btu fell for the promise of more quiet which didnt come through.PARKING: We gave the hotel the key to our car to valet (which costs $45 by the way) and the car stayed on the street half double parked for more than 90 minutes. Each time we asked why, we were told it would be parked safely within minutes.FINAL DETAILS: The htoel is right near a couple of clubs, so the street can be loud and busy, but at least goof people watching,Ive stayed in maybe 30 NY hotels, other than a Best Western when i was in college that doesnt even exist anymore, this was my least favorite by a mile.	
Sep 2 2008 	Dream...more like a nightmare	Good Stuff :-Location - very near Central park great for early morning jogsRooms - ok size (for NY)Bad stuff :-No limo picked us up at airport as request (promised free limo on way back)Only 2 rooms available out of the three booked (and with booking reference numbers) eventually sorted another one out.Blue light in room couldn't be switched off, so couldn't sleep properlyAir con constantly blowing out cold air, again couldn;t switch offEventually with all the hassle and complaint we got upgraded to suite for the last couple of nights which was nice.Rooftop bar - friday / saturday nights, so busy it was a hassle getting an elevator.. attitude from staff... so busy it wasn't worth staying for.Everyone in the concierge seems to be called Sean, so whenever something went wrong it was always another Sean &quot;that we must have spoken to..&quot;Building work on building across the road, all night long (apparently allowed in NY because of traffic issues)1 Limo arrived to take us back to airport for 6 people and 12 big suitcases (which we had repeatedly told them about, but still needed 2 cars. Argued with them for 1 hour until eventually they agreed to pay for two cars) Various other issues and problems and attitude from staff but qutie a while ago so memory not great..All in all a dreadful experience. AVOID at all costs.	
Aug 27 2008 	Rooms like a nightclub.	Got your collar popped?The Dream is in a good location but it seems overpriced for what it is. The Good: Highly stylizedThe Bad: Local well-to-do kids taking over the rooftop bar and sneaking in the under aged ones with them.Money speaks here. If you are a guest you do not get a seat on the roof if a local with a new haircut arrives with cash.I was blinded by the fact that the Chopra Spa was here. Thinking if a center for meditation is here it should be a bit spa -like but, it is not.It is like an overpriced nightclub that you can sleep in. Interesting experience though.	
Aug 21 2008 	Great Experience	It’s safe to say that we no bad experiences during a recent 3-night stay at Dream over the July 4th holiday (2008). The reservation process was easy and friendly. The operator was full suggestions, but obviously this function is outsourced so the operator knew little of the small details about the hotel or the room. But he was very friendly and helpful overall. We booked an extra-extra large suite and the reservation was ready and accurate when we arrived around 2:00pm. I mentioned our anniversary when making the reservation and they noted that during check-in (no champagne or flowers though…LOL). We also asked for a suite away from the top floors (because of the rooftop bar) and they complied.TIP: You can pull up right in front of the hotel. Someone will assist with bags and then deliver your car to a parking garage on Fifth Avenue (or so they said). Parking fee is added right to the bill ($35-$40).You can’t get the car out without paying but why would you want to? Public transportation is abundant and convenient.The location of the hotel is perfect…3 blocks north to Columbus Circle and Central Park, four blocks south to Times Square and lots of stuff to the west and east. The subway is confusing but the grid pattern of the city is easy to get used to. Prepare to walk a lot. Right down the street (Broadway) is an excellent little café – Europa. Good for morning tea and lunch nibbles. There’s also a Starbucks two doors down. At no time did we feel unsafe in NYC no matter where we ventured within Manhattan. I’m sure there are places you shouldn’t go, but we stayed to the busy populated areas.The room was exactly as described (7th floor). Immaculate clean, nice soft robes, separate bathrooms, excellent shampoo and soaps…The blue neon lights really make the room a different experience. And what they say about the bed is true – it’s SUPER comfortable. Outside noise imposed on us just one night but the next nights were relatively quiet. There’s no bleed over from room to room (as far as we could tell).TIP: Careful with the mini bar. If so much as remove a bottle or snack to look at it, the bar code automatically charges the item to your room. A slight complaint – no fridge room for water and there’s no ice or vending machines in the hotel – you need to call room service – which means at least a tip.Each room has two flat screen TVs and two Bose radios. The water pressure in the shower was excellent and there was never a shortage of hot water. Air conditioning worked fine and was quiet for the most part.The concierge was always helpful and had maps and recommendations. The staff was friendly and unobtrusive. The housekeepers were pretty much invisible and did a good job. Checkout went smoothly and we called about 20 minutes in advance to have the car delivered to the front door.The hotel was generally clean and well-kept and we didn’t notice any of the marks and dirt that other reviewers have noted. Perhaps it depends on the room you get? It sounds like the smaller rooms on the lower floors need some attention but I can’t verify or comment.The elevators are not as slow as others have noted but they are a bit busier at night. The rooftop bar is a great experience. The first floor bar is very trendy and seems to turn into a dance club later in the evening. We only had breakfast from the restaurant (outside) and it was good but slightly cold because of the outdoors – a small trade off for the view.TIP: Drinks are expensive. We were paying $7 for a bottle of beer and $10-12 for an Absolut and cranberry. This may be normal depending on where you came from, but for us it was expensive. The drinks are ample and well made but compared to home, they were expensive. (Didn’t stop us though…)Although it may be expensive to stay at Dream, (rounds out to about $600 per night for the ex ex large suite + parking), it was worth every cent.	
Aug 16 2008 	To hip or not to hip	We have just returned from a week at the Dream Hotel. The hotel is in the list of the hip hotels of New York however it is definitely not that hip. In fact, the only hip thing about it is the location, it has a metro station just a few steps from the hotel door!We stayed on the first level so we were lucky that we could use the stairs to go to our room. The bar at the roof toop seems to be busy specially at weekends with all kind of &quot;want to be hip&quot; people with totally exagerated outfit. This means taking one of the two extremely slow elevators can take up some time.The hotel temperature is 65 F, that is about 18 C, which is absurd when you are wearing summer clothes. The housekeeping sets the temperature every day at 65 F in the rooms. If you want to set up the temperature higher, the air conditioning does not cool and therefore the room temperature goes up. We asked to get it fixed but this was not done. Perhaps they know this is just so and this is why rooms have winter bed clothing in plain summertime?The bar at the top is ok, however the staff are rude and not helpful or kind as you would expect in such hotel. When asking for the way back to the stairs to go down to my room I got a very rude answer: &quot;take the same way you got to get in&quot;. Unbelievable.The concierges were kind but not specially helpful. We were shocked to hear that for 200 $ each they could sell seats for us a Broadway musical, of course with average prices 75-120 $ per seat at the theater itself we did not take such offer. Another funny one was that one of them did not know about an internet café near the hotel - I recommend you to go to the Apple store to get access if you do not have a laptop with you. There are almost no internet cafés in NY.The Serafina restaurant looked ok, but we did not have lunch there in the end. We asked for a table and they offered us to share one with other guests even if there was a table free (with 4 places). We do think it is unacceptable to ask us to share if there is a table free. In the inside of course and once again temperature was about 65 F.Overall I would say this is an average hotel that needs to improve service levels as well as renovate furniture, painting walls and changing basic installations. Not worth the money, if you can, stay somewhere else.	
Jul 24 2008 	Just Ok	My husband and I were looking to stay in NY after a business function of his. We wanted a room less than $400. Lobby is great, looks relatively swanky like many other boutique hotels. As soon as i got into the elevator I could tell the upkeep on the rest of the hotel wouldn't be so nice. Our room on the 1st floor looked ok upon opening the door but once the light was on i could see the dingy carpeting, extremely nicked up walls and floorboards, and kinda skeevy bathroom. the bed was nice and the rest of the furniture ok- with the exception of the pleather chair with green pen marks all over it. Staff was nice, didn't check out the bars but it wasn't too noisy so we slept fine. I wouldn't stay here to have a lavish upscale hotel experience but it was fine for our 1 night stay. NYC hotels are overpriced but for $359 this one was just ok.	
Jul 13 2008 	Not very impressed	i was not very impressed with the dream hotel, especially in light of its hefty price tag. I was treated very poorly by the desk check in with multiple problems arising from my booking through hotels.com. Although my payment went through and credit card was charged, the Dream hotel claimed that my receipt served to only reserve the room (entirely ludicrous). After over an hour with the manager i was finally able to stay. The hotel has a modern look, however the decoration is entirely limited to the lobby area and a well placed saltwater aquarium. The rest of the hotel (floor to floor) has a very cheap modern theme that disappoints. The rooms are very small, as expected in new york, but are additionally very old which becomes very apparent in the bathroom. The room itself is relatively ok with an LCD TV and a comfortable bed however the neon lighting under the bed and desk simply destroys the atmosphere, i usually am not one to write reviews but i was particularly disappointed with this facility especially given their higher price tag. They essentially have oversold a product, albeit very efficiently, through their well-designed website and extensive lobby. A marriot would be a cheaper and frankly more satisfying choice.	
Jul 4 2008 	Mod Chic and a Bit Tiny	If you would like to stay mid-town near the theatre district and you like mod, trendy little hotels this might be all right for you. The rooms are tiny but modly appointed. Everything is dimly lit and sleek looking. I would not recommend this for business travellers necessarily or for families at all but this could be good for someone just looking for a hip little place to stay. The bed was comfortable and there was just one huuuge picture on the wall but everything was definitely tidy and white. Expensive but then so are most places mid-town. Also - not exactly a quiet area but that's mid-town!	
Jun 30 2008 	Great rooftop bar	Great big statue of Buddha in the lobby and an ayuvedic spa in the basement, this is a hotel with added extras. The rooms have been renovated, but to be honest some of the finishing is a bit lacking. The lifts were constantly going on the blink!But the rooftop bar is very cool with a great view down Broadway and as a resident, they gave us a table immediately despite all the Friday evening crowd.	
Jun 30 2008 	comme ci comme ça	Here is what I liked: easy check-in, check-out; valet parking; first impressions; comfortable bed; and good showers.Here is what I did not like: we had a corner room on the 13th floor. The staff failed to mention that the bar is above that room. Let's face it, loud thumping music is not conducive to sleeping. I had enough of that in college. To the hotel's credit, when my wife called the front desk they immediately moved us to a room on a lower level. The hassle, however, was annoying. If you are in the party mode then it is a good place to stay. However, with so many other good hotels in NYC, it simply was not worth the money.	
Jun 22 2008 	Never again !!!	Arrived in NY late and found Dream with no problem. Couldnt pull up to the door for Valet so we parked down the strret and my husband went to find the valet, who said just leave it there and he will get it.. Lugged our luggage to the desk and checked in, that went pretty smoothly, got to our room on the 12th floor (right by the elevator which I asked not to be by) and the room was the size of a postage stamp with no window. Called the desk and they said sorry nothing until Friday (3 days away). Went to bed since it was late and the next morning talked with a manager who said she could move us to a room with a window, 11th floor by the elevator. Came back after broadway show and because of the bar on the 14th floor could not get in any of the three elevators due the crowd waiting to go up. My husband and I climbed 11 floors of stairs to get to our room around 11:30 pm. All night long you could hear people stuck in the elevators ringing the bell. The elevators broke down through out our trip( 1 med. elevator and two small ones). At 5:00 am that same night a bell man knocked on our door and said he had our ash trays, I explained I didnt call for ash trays and this was a non smoking hotel, (manager claims hotel just turned non smoking and he must of been confused) that same morning at 8:30 am the cleaning lady didnt even knock and barged in. Bathroom was dirty - mold in grout. I couldnt wait to get home so I could rest... Great location but for a preferred hotel it needs a lot of help....sorry hotel dream..	
Jun 17 2008 	Great stay	My girlfirend and I stayed in the Dream for 4 nights running from Thursday until Monday and had a fabulous time. Upon arrival we were greeted by the door men and ushered through to reception where check in was quick and painless. We found our Queen size room on the 4th floor to be a good size, clean, well laid out and quiet.Throughout our stay we were shown nothing but good manners by all the staff who were helpful, attentive and happy to help with any queries. The hotel all around was very clean with a modern, chic feel; ranging from the polished marble floor with giant fish tank and the lovely looking spa downstairs to the blue strip lighting in the rooms and 2 good bars.The hotel was perfectly situated for everything that we wished to do, just a 5 minute walk to Times Square and the same to Central Park and 5th Avenue shops. I have read many reviews moaning about lack of service and small rooms but in reality how many people come to New York to sit in their rooms! We found we had more than enough space for our needs and can have nothing but praise for the staff suring our stay.It is true that food and drinks in the hotel aren't cheap but I think the same can be said for almost every hotel in New York. If I had one complaint it would be that on the days we visited it was almost impossible to get anywhere to sit in the rooftop Ava loungue. It was a very nice venue but we found it full of office workers with 'reserved' tables everwhere - perhaps a consideration to those who are staying there would be good. On Friday and Saturday night this turns into a very busy nightlife hotspot with queues outside and doormen checking entry. The bar downstairs however was very nice and not too full everytime we visited it.Our stay in New York was fantastic - the weather was great, we saw all the sights, did lots of shopping and had a brilliant time both during the day and at night. Although all of these things were not as a result of staying at the Dream, it definitely contributed to us having a great trip to New York. I woud have no resevations about recomending this hotel to anyone	
May 26 2008 	bad service	I stayed 3 nights in Dream hotel, from friday to monday. People at The reception desk was overbusy, no nice wecome for me. Bagage man was more aware of joking with his colleagues than taking my luggage up. When I asked him to put my suitcase on the trail, he raised his eyes up.The furniture in the room are a bit old. Renovation should be done.I had a message from the staff. When I called back, the housekeeping answered in a very angry way.But most of all, the last day, I consulted the internet site and I realized there was a lounge and a fitness club. No one or no information in the room to inform. Everyday, I went to the spa center near which was annexed. No one told me there is a direct access to the spa.Hopefully for the hotel, localisation is exceptional. But I won't stay there next time. I prefer stay in Night hotel which was much more terrific.	
May 21 2008 	No CHANCE of dreaming over all the noise	I have got a little good, and a lot of bad... Stayed in a small room for one night. The room and bathroom were incredibly tiny, even by new york standards, at the price point it was at (about $400). This aside, the location is great, the pizza from room service was yummy, the bed was super comfy, the blue light thing was mildly amusing, and the tv and bose sound system was great. Unfortunately this is all the positives I have to say about the hotel. I was placed on the 13th floor (heard on here from other reviewers about similar experiences) and was told the lounge is upstairs and there might be some slight noise. This was the BIGGEST under statement I have ever heard. Not only was the music blaring to the point where you could make out the words clearly, the picture on the wall was shaking (i kid you not), and the sound of footsteps on the upstairs deck was booming. Look, I'm in my twenties, go to bed pretty late, and noise generally does not bother me, but this was ridiculous. It was impossible to sleep until around 4 AM when the noise stopped. There obviously is a soundproofing issue and I just am baffled how they have rooms on this level. Staff was ok... upon my arrival the doorman (who's job was presumably to open the door) was standing there chatting with another staff member and made no attempt to open the door, even as I arrived with my bags (this happened each time I entered the hotel) and while I am more than capable of entering a building on my own, this left a pretty bad first impression. As I went up to my room, the tiny tiny hallway was blocked by the housekeeping cart as two of the housekeeping staff chatted in the open door to the room next to mine (cleaning nothing) and made no attempt to move the cart as I barely squeezed by into my room. Just was not what I would expect from the type of hotel Dream says itself to be. Parts of the room were worn down and needed revamping (ex the side tables had large chips of veneer missing and the window shades were stained.. yucky) The hallways and elevators were in similar states and certainly need revamping. Another slightly irritating thing is I checked on dream's hotel site through reservations and saw that there were small and medium rooms available ($400- 429 ish). I generally like to call and talk to an agent directly so I called reservations to reserve one of those types of rooms. Upon calling, the reservation agent insisted that the only room they had available was a suite at around $600. I hung up, thinking wow those rooms go fast, and for some reason checked on the website again immediately after getting off the phone and found the small and med rooms still available, booked this online... and what do you know, the room was there for me and available when I arrived. Just an odd thing that should have warned me before I even got there. While not terrible, I put this experience just slightly above terrible, and will not return to this hotel again.	
