	Charged over 108 USD for a phone call!	Unfortunately i had a relative pass away and urgently needed to use the phone to call home. I did - there was no information or due warning regarding the potential extortion price of one phone call. One 12 minute call and i could have stayed in a better hotel for night.When i asked to speak to the manager he was no avaliable and would not be avaliable tomorrow either. I walked out upset with yet another crampy hotel service.The way i was spoken to was a joke, i walked out and vowed to write a review to inform everybody else of my wrong doing... i should have brought a phone card, but at a urgent matter arose i thought best to deal with the situation at hand.I would tell this manager, you cant charge this price, without due information avaliable on hand, as was the price listed in all the other US hotels, i stayed in..	
Feb 11 2008 	Ended up here...	We booked hotel 17 originally. And despite confirming our reservation at JFK, when we got to hotel 17 we were told that there were no rooms available! They did get us a room at Hotel 31 and gave us a few dollars for the cab fare.When we checked in we were told to be thankful as many people didn't have a room in NY. I chalked that up to NY friendliness. Still he did give us a discount for our inconvenience.The rooms were small, but hey its a budget hotel in Manhattan! Bathroom at the end of the hall. The A/C didn't appear to work but it wasn't that warm outside anyway.The location is great. A short walk from several landmarks and the subway.Despite our problems getting booked in I'd stay here again for the price (compared to other Manhattan hotels) and the location.	
Feb 6 2008 	great place for budget	after travelling for 7 months in south america, we wanted to end our trip in nyc, and looked for a nice quite and clean budget place inside manhattan. knowing how hard it is to find such a place in the city we spent a lot of time searching on the web.we read a lot of reviews on the place, some of them were not so great, and were not so sure of what we will find...after spending 3 nights there, we can tell u this place is great for the budget travelers. we had a wonderful time. we had a double room with shared bathroom. the room was nice and very very clean. we read reviews about how small the rooms are, but we had 3 large bags and there was no problem fitting them inside the room and feeling more than comfortable. the rooms are more than big enough.the bathrooms were always clean (they clean them a few times a day) and the staff were nice and friendly.the location is the best. inside manhattan and close to some of the major attractions. the 6 subway train is located just around the corner so its easy to get around.if u are looking for a budget place, this place is perfect.	
Jan 30 2008	Lovely budget midtown hotel	We stayed there for 10 nights and found it to be a pleasent experience. The room was a decent size (twin - no bath) for New York at least. An excellent location in midtown manhatten. Walking distance to great sites such as the UN, Empire State, Times Square, Grand Central Terminal, Fifth Ave, Macy's etc. Also, the subway is a couple minutes walk which was great for convenience. There's also some good local amenities like a grocery store, internet cafe and cheap lunch and dinner places. The area is somewhat commercial so is pretty quiet in the evenings and weekends and more lively during weekday mornings and afternoons when all the office workers are getting to work or on lunch. Lexington ave and third ave which are right next to the hotel have some decent places to eat and drink if you're looking for a relatively quiet night out near by.The hotel staff were friendly and approachable and can offer great help with local information like directions, local sites, where to get something to eat etc. The hotel itself is quite cute and quirky in the decorations and style. Yes the elevator is small and slow but I laughed everytime I rode it because it was such a quirky old-school thing. The bedrooms are kept clean and tidy by the maids - remember to tip them - we tipped $5 a day as a rule. Our bedroom had a television and phone and couple of rails to put clothes. This was actually more than we were expectingThere were a couple of occasions where there was a wait for the bathroom - this was at peak times in the morning - say about 9am when everyone was just up - so to be expected really. And there were also a couple of times when the toilets would be blocked up - but a quick ring to tell reception about it sorted this out soon enough.Overall, I think this hotel is a great budget find. And I would happily recommend it to anyone visiting NYC who wants to stay somewhere cheap and cheerful. We stayed there for 10 nights which is more than i think most people tend to stay there and I could find precious little to fault them on.	
Jan 30 2008 	can't be beat	perfect location, clean&amp; friendly. rooms are small but efficient and price is right. why spend time in your room when you are in this city anyway? 2 blocks from subway that goes from one end of manhattan to other and hotel is within walking distance of so many neighbourhoods on sunny days. Will definitely return to this hotel.	
Jan 26 2008	An Excellent Deal (for some) in the Land of the Overpriced Hotel	A very good deal for those who are satisfied with basic accommodations in a European-type of establishment (sink in room). Clean room, friendly staff. Thin walls however. Clean shared bathrooms. I'd stay here again. If you're very fussy or expect $300+ /night type of accommodations for $150 (or as I paid $115 incl tax), you'd best look elsewhere. At the moment though, one of the best bangs for the buck in MY city even though I've spent the last 30 in Washington DC	
Jan 11 2008	convenient cheap no problems	I was leery but the hotel turned out to be fine. The location is excellent, the staff was helpful, the room was quiet, and I had no problems with the shared bath (which was nice and clean). The room itself was small and dowdy but it had everything I needed and was clean.	
Jan 2 2008	Had to cancel on short notice - polite service and no charges!	I booked this place for 2 nights this January, but got delayed with weather in upstate NY so my wife and I had to cancel. We called to cancel less than 24 hours ahead of time, but they were very polite and let us cancel without a charge. This is atypical in my experience and thought that these folks deserved some credit for treating guests like humans and not ATMs. We look forward to staying here when we are not snowed in...	
Jan 1 2008	Great location	We have stayed many times at sister Hotel 17 but this was our first time at this hotel. Room small --don't remember wallpaper--who cares! No wait for bathrooms, very pleasant staff--brought extra pillows within minutes of request. Affordable rates make it possible to spend extra time in city we love. Enjoyed access to midtown via walking and rest of city by subway.	
Dec 21 2007	Hope to go back...	The rooms are quite small but they are immaculately clean and let's face it, you won't be staying in yr room for long. Stayed one night in a room with en-suite as the room with shared bathroom wasn't ready and the en-suite was fine, as was the shared bathroom when my son and I moved. This room on the 4th floor had a view of the Empire State Building (with a bit of neck craning).Shared bathrooms were clean and well maintained. The location is what really sells this hotel. We paid just under £60 p.n. (incl. taxes) for 4 nights and this for a hotel within 3 blocks of the Empire State Building, Macy's and half a bock from the subway onE.32nd. Desk staff were helpful and even though the hotel doesn't do breakfast there is a deli on the corner and a great diner with 5 mins walk on Lexington Ave (the Murray Haill Diner).The area is safe and i would most certainly stay here again on my next trip to NYC.	
Dec 20 2007 	Great location - decent BUDGET hotel	The location is superb. Just a few blocks away from Empire State Building. A 15 minutes walk to Macy's, and nearest subway just a few minutes away.As we (me and my wife in our 20/30's) booked late, only rooms with shared bathroom were available.Our room was tiny, the smallest I've ever seen - but clean. There were as other have mentioned nowhere to put your clothes, and after a few days of shopping - the piles of clothes etc kept growing :)Contrary to other reports here, there were some waitings for the bathroom, but then we went to NY early December so it might have been more crowded than usual? But bathroom was clean, no complaining about that!If you're looking for budget accomodation, and clean rooms in a nice location is what you want - this is your place	
Dec 19 2007 	Quaint Hotel	My friend and I (both in our 20's) stayed at Hotel 31 for a few nights in November. The hotel is very quaint and full of character. We stayed in a room with a shared bathroom and we never had to wait. The rooms are tiny, but we were in our room so little that it didn't matter. Staff was very friendly and you could not ask for a better location. We also felt very safe walking around at night. I would definitely stay again.	
Dec 16 2007 	small but convenient	When booking this property we knew that it wasnt going to be luxury accommodation, in fact my expectations were really low... I was pleasantly surprised, though the property was run down, it was very clean, and ideally located! The only issue we had was that the more shopping we did the smaller the room became! Other then that it was a pleasant 10 day stay, with helpful staff, a great location, clean rooms, very clean bathrooms, all for a really good price!	
Dec 10 2007 	reasonable	We arrived here at 2am on 2nd Dec after booking a room at sister hotel (hotel 17) only to be told on arrival that our room had been given away (despite confirming time of arrival 24 hours earlier).The guys on reception were helpful, reimbursing us for our taxi and knocking $20 off our first night for the inconvenience we had suffered.After the 2nd night the manager told us we would have to return to hotel 17 as our room had been booked by someone else. He showed me a booking sheet listing no available rooms for the coming evening. I told him that was totally unacceptable, due to our inconvenience and the terrible service we had received at 17 and all of a sudden a room became available!Other than that we had no problems at hotel 31 at all.The room was small and a bit scruffy, and when we arrived it was absolutely boiling in the room. However with a bit of effort I removed the radiator guard and turned the radiator off. (The radiator remained off with the window slightly open for 5 nights - and despite sub zero temperatures outside the room temp was just right - the heat from surrounding rooms kept our warm!) Goodness only knows what other guests were suffering heatwise!We were right next door to a shared bathroom, but we were never disturbed by any noise. However it was often occupied, so we used the one along the corridor or upstairs - both of which had a more powerful shower. The water was always warm enough.I was dubious about using a shared bathroom, but it was always clean, and for the money you save, it is well worth it.The location was good, within walking distance of times square, central park etc.We had a great time in NYC, and although I wouldn't say the hotel added to our experience, it certainly didn't detract from it.	
Dec 2 2007 	Recommended	First thought was what have we done. Room was small and we have to share a bathroom. Yuck! But to my surprise the room was comfortable and bathrooms were very clean. For instance I had taken a shower and returned to my room and my husbands turn was next, I left some soap for him and he returned to tell me &quot;do you have any more soap someone is cleaning the bathroom already&quot;. For the price and location, Hotel 31 is the place I will stay in the future.	
Nov 30 2007 	Love NY - OK hotel	my bf and I stayed 6 nights, after 5 weeks in the States and a dozen hotels. This would be the least favourite for us, as contrary to otherreviews we regularly had to wait for the use of the shared bathrooms on our floor. There wasn't anywhere to place your clothes in the shared bathroom except for the window sill. The room got hot, even with the window open. Comfort wise, the bed was only OK, with no mattress protector on the bed, just the sheet.On the positive, hotel and bathrooms seemed clean, excellent location,nice staff....and the price was good for expensive New York. If I could afford it I would stay elsewhere next time, if you're on a budget definitely recommend this hotel.	
Nov 28 2007 	Great Hotel. Great Location	Myself and the Mrs have just spent four amazing nights in New York, wow! what a city! we stayed in Hotel 31 and we were very pleased with everything for the price, the rooms were small but clean and fresh (apart from the room was boiling, even when the window was wide open) , the room was without a bathroom but did'nt matter too much because the sharing bathrooms were hardly ever occupied and were always nice and clean. The service was helpful and friendly, but best of all was the location of the hotel right in the heart of Manhatten. For the price we payed it counld'nt have been any better..... One last thing, did anyone know what that old man was talking about??? I think I'm gonna miss him. We will definatley be going again	
Nov 26 2007 	Top Value. Great Service. Excellent Location	I was really worry about shared bathroom but my entire 10 days stay I had never need to wait for someone else to finish a shower. The bedroom is small but sufficient, it has a hanging rack, a very clean sink, no bed bugs, moderate air cond, a small tv sitting on a make up table.The location is superb, just 2 streets away from 33st subway which u can grab to go uptown and downtown. I found my deals at globalbeds.com.au for USD$130 a night. For a standard that Hotel 31 showed, it is a real bargain and I am a bit worry about the high demand will hike up its price soon.The lift is awfully small &amp; slow but still retain its original state, a grill bar. Fully recommended. You be stupid not to book here.	
Nov 19 2007	Location Location Location	The location is great, we got a view of the empire state building which was amazing!! However, there were shared bathrooms and also the hotel did not provide any meals. This didn't matter as every other store you walk past is a deli so it wasn't a problem. The rooms were clean, with a basin, wardrobe, chest of draws and beds. We were provided with clean towels everyday and the staff seemed friendly towards us. It isn't too expensive to stay here, but if you are looking for a luxury hotel then this isn't really the place to go. We only slept in the rooms at night, so we didn't spend much time inside as we were out and about explorin New York! Just one point though: If you do decide to stay at this hotel, could you please look out for a camera (in a red case) because I lost it! If you do find it, can you hand it into the staff at reception and also comment me saying you have found it. It has all of our holiday pictures, (this was my first time to New York) so please hand it in as I don't want to lose them!	
Nov 7 2007 	Excellent Value- will stay here again	This hotel is in an excellent location, just a 5-7 min walk from the Empire State Building. There is a great pizza place on the corner!! Our room was very clean and accomadation cleaned it every day and left us clean towels etc...we never had to wait to use the shared bathrooms and they also were very clean and the water was always hot!! there are sinks in the rooms which is very handy...the staff at the front desk were very helpful and also booked us a cab back to JFK....will stay here again on my next trip to New York!!	
Oct 28 2007 	Good value - will stay again	In town for Morrissey concert the end of October. We stayed in an ensuite room - 815. The elevator is sooo small, but really &quot;old-timey&quot; and fun to &quot;ride.&quot; Everything in the hotel was extremely neat and clean. Our double ensuite room had a desk, nighstand w/lamp, separate &quot;alcove&quot; to store luggage and hang up coats, TV armore (w/more than than just local channels) &amp;coffee pot. I really loved the way it was decorated - high ceilings, our room had a tray ceiling as well.The only negative thing I could say was the noise was a bit rough at night as our room faced 31st Street. That is not the fault of the hotel. How could they have known a wacko would flip out at 2:45 a.m., try to stiff a cabbie who then proceeds to call two more of his friends and they all beep their horns for a good long time until the cops show up at 3:10. The Empire State Building is close by, bit of a walk for other stuff, but the subway is at 34th Street - which we didn't use this time. All in all, I will go back on our next visit.	
Oct 27 2007 	Nice place great location	Very good location at a great price [for NYC]. Rooms are small and you have to share a bathroom, but not a big deal since we were never in our room and never had to wait for the bathroom. Everything is very clean and well maintained. Service was friendly and helpful. Certainly a place to consider if you want to stay in Manhattan on a budget.	
Oct 16 2007 	Hotel 31-Brilliant	I was a little worried before I arrived at the hotel, as it was the first time I had ever had a shared bathroom. However, I cannot tell you how happy we were with our stay at this hotel. It is not much to look at, and the decor is old, but who cares?! It is VERY clean, I never waited for a bathroom, the staff are very friendly and helpful and the maids come every day. I would deffo stay here again, as it is a great location and a great hotel! The only downside is the hairdryer was rubbish, but hey-ho!!	
Oct 16 2007 	Great Place for the Price	My boyfriend and I stayed here for 3 nights in October. The room was small, and the elevator is straight from the 20' s but who is going to spend that much time in it? Beds were comfortable, it was quiet, very clean, in a safe and clean neighborhood with a subway stop nearby and you can't beat the price. We walked a few blocks and were surprised by an awesome view of the Empire State Building a few blocks away! The shared bathrooms were cleaned several times a day, and always empty. The staff there is great. The guy at the desk actually moved his car where we could park for free on the street (he saved us $35), told us places to eat nearby, answered all of our questions about places to see in the City, stored our luggage the day we checked out, and arranged for a car to JFK. If you are looking for a hotel in the middle of everything but can't spend a fortune, check this place out!	
Oct 11 2007 	Excellent value for money	I've just come back from a 5 night stay at Hotel 31 and I can't recommend it enough.As a single traveller trying to keep costs down I'd done a fair bit of research before opting for this hotel. I booked a double room with shared bathroom and for the price couldn't fault it.Yes the decor is a bit dated but it all adds to the character of the place. The hotel was spotlessly clean and i never once had to wait to use the bathroom. The air con was bit noisy but I soon got used to it. It's a couple of blocks from the Empire State building and there are plenty of places to eat close by. It's in a great location for sightseeing and when speaking to friends who were paying more than double the price for places that sounded fairly poor I was very glad with the decision I'd made.	
Oct 8 2007 	Good place to stay...	I stayed here for 5 nights in September 07 and thought it was a great place to stay for the price as alot of other hotels were out of my price range. THe location is great just near a subway stop that can take you practically anywhere you want. Don't be put off by the shared bathroom they were very clean and I didn't have to wait long for a shower in the mornings. Hotel staff very friendly and it's on a safe and busy street - I would reccommend for those on a budget...there are cheaper hotels/hostels but this was good for the price.	
Oct 8 2007 	Excellent Location and Value	We stayed at this hotel for seven nights at a very good rate. The hotel is located in mid-town Manhattan close to two subway stops (which can be used to go up to the upper east side or down to the lower East Side and Brooklyn). We booked a shared bathroom double bedroom (Euro style). Check in was uncomplicated and quick. A staff member named Ziggy (he was very amusing) showed us to our room located on the eighth floor (the top floor). I was surprised to find that the room was much larger than the room we had stayed in during our previous visit to NYC (we had previously stayed at the Chelsea Lodge). The restroom was directly adjacent to the room. The only problems were loud construction noise, consistently weak and ocassionally non-existent water pressure, and a mattress that should probably be retired.We liked the building, the view, and the old elevator. We also had a laundry service across the street do our laundry for $.85 per pound, or about $.25 more than in Brooklyn.We noticed that we shared the hotel with many European visitors to NYC and thought that it was good to hear all those foreign langauages being spoken and enjoyed when they tried their English language skills with us in the elevator.The hotel's location is very ideal for tourists. It is located close to Madison Square Park, the Empire State Building, the UN, and the JP Morgan libarary, among other things (including Bellevue Hospital). It is south of Central Park and north of Greenwhich Village, lower East Side, etc.	
Oct 7 2007 	Great location!!!	Hotels in Manhattan are extremely expensive. When you accept this - Hotel 31 is among the best deals.The location is the best part of a stay at Hotel 31. You can walk to a lot of the &quot;must see&quot; attractions and some of the best shopping. The subway is nearby, which connects you to the rest of the city in a fast and cheap way.The neighbourhood is not among the &quot;must see&quot; attractions, but it provides several good restarants at fair prices and some pretty cool bars as well. We recommend the &quot;Les Halles&quot; at Park Av. between 28th and 29th.Our room was rather small and dark. However it was clean and everything was working. The bed was comfortable.Breakfast is not included or available at the hotel. However, Guy and Gallard around the corner is nice and gives a large selection at fair prices. The staff was friendly, e.g. arranged transportation to the airport and helped out with our on-line check in 24 hours before departure.All in all, the Hotel 31 was a good experience and contribution to a great vacation in NYC.	
Sep 21 2007 	Cheap (comparatively) and Cheerful	It's very important to realise what you're getting with Hotel 31. In general, all hotels in Manhattan are outrageously expensive. I was shocked when I first started looking for a place to stay because it seemed impossible to find anywhere half decent for under £150 (about USD300) a night. Call me a cheapskate but I consider that to be expensive!! I just couldn't believe this and even posted a forum question asking why this was? I had a lot of responses from local experts basically saying that hotels in Manhattan can charge what they like nowadays and it's almost a license to print money.Anyway, after a lot of searching and review reading, I went for Hotel 31 because of the ***comparatively*** cheaper price of £100 (USD200) per night and it's ideal and central location....and, to be quite honest, it's high star rating on Trip Advisor for what essentially appeared to be a budget hotel.I won't bore you with a long and overly descriptive review of the actual place itself but all you need to know is:OUR SITUATION:We had a double bed room with a private bathroom on the 8th floor and paid about £300 (exact USD588) for three nights. Disappointed not to have a view of the ESB but didn't think to ask for one when we checked in. If this is important to you, you might want to make a point of requesting one when you're checking in!Points I'd like to make:LOCATION:1) Yes, the location IS fantastic, a few blocks from the ESB, two blocks from either 28th or 33rd Street Subway stations (that take you directly right downtown to Liddle-Iddly and Chinatown etc :) and unless you are infirm, you can walk to most popular Manhattan locations within 30-odd minutes.HOTEL ITSELF:2) Yes, the rooms are on the small side and look a bit 'tired', the aircon unit is loud and will keep you awake if you need 'pindrop silence' to sleep and to be perfectly honest, the place as a whole is really nothing 'special'. You get all the usual amenities though, like a multi-channel TV, coffee machine, iron, alarm clock etc. You have a maid option every day and the place was kept clean and tidy and maintained. Although we had no need for them, the shared bathrooms looked well maintained as well. Yes, cleanliness couldn't be faulted in general.The deskstaff are friendly enough and we had no problems at all with them. We liked the musical lift/elevator (plays radio music) that's like something from the 1930's, that seemed to take forever to get from the top (8th) floor to the Ground!! :) It was quite quaint really...GENERAL:Here's the thing though. Unless you're royalty, when you go to NY, why the hell would you need anything more than something like Hotel 31?!? Even though I'm from the UK, I'm happy to go on record as saying that NY is the greatest city I've ever been to (now been 3 times) with sooooooo much to see and do that if you spend any more time in your hotel room than sleeping and washing, I tell you, you're cheating yourself!!! Why pay anymore than 'as little as you can' for somewhere to rest your head, that's clean, reasonably comfortable and central? In this respect, Hotel 31 is ideal and from what I've seen, probably the best place in Manhattan in this category. Sure, if you've got money to burn, I'm sure there are far more luxurious places to stay and if you can afford £200/£250 a night for a hotel, then good for you but most of us mere mortals can't so that why I'd recommend this place.SUMMARY:So there you have it. Hotel 31. Cheap and cheerful, great location, know what to expect, don't go with any delusions of grandeur and this place is absolutely ideal! I'd certainly stay there again unless I win the lottery and for a city that seems to be getting ever more expensive, every penny counts!!! :)	
Sep 20 2007 	Overrated	I stayed at Hotel 31 for 5 nights in Aug 2007. It is only a basic 2 star hotel, but as it's in Manhatten they can charge an unbelievable amount for it !Generally the hotel is ok, the rooms let in alot of traffic noise, and the air-conditioner was so noisy I couldn't sleep with it on, not good in summer! The shower pressure was abismal, it barely got me wet, and I never had to use any cold water, the temperature was at best luke warm.Other than that it's not too bad, as long as you don't expect too much. But I wouldn't stay here for any longer than two or three days.	
Sep 14 2007	New York's Hidden Gem!	My son and I stayed at Hotel 31 in NYC for 2 nights this past June. It is an unpretentious old school hotel, very quiet and charming. Our cozy but tiny room on the fourth floor had two comfortable twin beds, sink, wardrobe, desk and chair, TV, phone and AC. The view of the Empire State was great! No one was ever in the shared bathrooms in the halls when we wanted to use them. Everything was clean and well cared for. I will definitely stay here again and would recommend it to anyone looking for a nice, inexpensive place to stay in New York. The staff were very accomodating, as well.	
Sep 14 2007 	Excellent	We stayed at Hotel 31 for 7 nights. Check-in was easy and done within minutes. Very friendly staff. Small lobby. We had a room on the sixth floor for the three of us [double and twin bed] with a private bathroom. The elevator is a bit small and oldish but big enough for three people with suitcases. I was expecting a small room after reading some reviews here but i was a bit surprised to see how 'big' it was, it surely was big enough for 3 people. Enough space to store multiple suitcases near the coat rack. Room was spotless &amp; clean. Bed's were nice, clean and comfortable. Shower was nice, always warm water. The airconditioning worked fine although we didnt had to use it very much due to the bad weather. Every day there was maid service. In the room there's a TV with Fox, NBC, CNN, Weather Channel and some other channels, there's a coffee machine next to the TV, a hairdryer in the bathroom. I once forgot my mobile phone but at the end of the day it was still there. Always felt safe while staying at the hotel. There's also always someone from the staff present at the desk in the lobby.Location: nice and safe neighborhood and within a half minute walk of the subway #6 [walk towards Park Ave then towards 32nd Street] which can bring you uptown to Grand Central Terminal [one stop] or downtown all the way to Union Square Station, Chinatown and lower Manhattan. Within three blocks of the hotel there are enough places to buy food like two Duane Reade's [supermarket], Starbucks, deli at the corner, Subway, Dunkin Donuts [on the corner of 31st &amp; Park Ave], McDonalds and it's like 4/5 blocks or so from the Empire State Building, 5th Avenue and other shopping locations [i.e. Manhattan Mall, Macy*s]. Location is very good so to speak.After check-out you can leave your luggage for free in their storage room which you have to collect within 24 hours. Hotel staff arranged us a ride back to JFK airport with a fixed rate! So we didnt had to hail a yellow cab. Price was $55 including tip and toll. So ask them about this as a yellow cab won't use a flat rate like when you're travelling from JFK to Manhattan. Even with trafficjams it only took like a hour to get from the hotel to JFK.Last thing, although we had a private bathroom, we always noticed when leaving the hotel in the morning or coming back at night that the shared bathroom was always available so if you have thoughts about having to wait in line when making a reservation for a room with a shared bathroom.. this surely ain't the case. I definitely looking forward to return to this hotel when visiting NYC again! We had a great time staying in NYC and at Hotel 31.	
Sep 13 2007 	Excellent value for money	Absolutely spotless.Shared bathroom which I would no way consider but was swayed by reviews - 2 very near our room, never had to wait and always exceptionally clean and in very good condition. Loved the old-fashioned art nouveau piped-music lift. Bedding smelt clean and fresh, clean under bed, no dust anywhere - staff always cleaning andf helpful. Plaid wallpaper and dark woodwork reminiscent of a scottish castle. Would definitely stay there again. A little gem!	
Sep 10 2007 	Fabulous price	Very good hotel. The staff were lovely, the rooms were quite small, but more than adequate. The price was incredibly good - much cheaper than anything else that I could find in New York.Bathrooms were shared but seemed to be very clean.The hotel is not too far from the Empire State building - just a few blocks away. Bagels are easy to buy from street vendors if you need a quick breakfast. I forget whether breakfast was available. If so, it wasn't included in our booking so we got bagels instead.The room was very warm, and the air conditioning didn't seem to cope too well, but I would certainly stay here again, especially when it is not summer.	
Sep 6 2007 	A Nightmare!	My wife and I had traveled through Europe, South America and the United States and in this ocassion we booked this hotel for three nights and the experience was TERRIBLE. This is my &quot;soft&quot; review because the other one didn't get published but you can contact me via email if you want to read the whole nightmare.We booked a room with private bath and they gave us a shared bathroom although we booked it with anticipation. At 10 p.m. you got no choice but to accept it.Second day they gave us the private bathroom but my wife ran out of hot water. We decided to check out earlier and the front desk person gave us a very hard and rude time. I don't consider paying 370USD including taxes for 2 nights a cheap hotel. This is an expensive hostel!The rooms we got in the seventh floor were painted in dark color and very small. Air conditioning was super noisy and very close to your ears. The rooms have deep smoke odor and we are both non smokers. The elevator is old and creepy. The hotel doesn´t look &quot;renovated&quot; as some reviews say.The hotel has good location but not an excellent one. Distance is a little far walking (if you shop you'll need a taxi) and too short for using bus or subway.If you know what the word SERVICE means you shouldn't even to consider this kind of hotels. I think people review this hotel very good because they were expecting a nightmare for what they paid and didn't get one!	
Aug 20 2007 	Excellent value for money	We stayed in Hotel 31 for 7 nights in mid-August. I was a bit nervous about this place because it was so inexpensive but it really and honestly exceeded my expectations. Sure - its old, the rooms are smaller and we had a shared bathroom but I can't complain about a single thing! And most people won't spend that much time in their hotel room anyway - we didn't.The bathrooms were almost always available and were always clean. There are two bathrooms per floor and only about ten bedrooms per floor so really its one bathroom per 5 bedrooms and we never had a problem. There was always warm water in the shower. The air conditioning in our room worked perfectly although it was a bit noisy so we didn't leave it on at night. There was a TV in the room which worked fine, and a hairdryer too. There was also a sink in our room which was very handy. Security is good - its on a nice quiet and seemingly safe street between the bustling Park Avenue and Lexington Avenues. All the bedrooms are accessed with keycards which always worked fine. I enquired at the front desk about different things in New York several times and I always found the staff friendly, polite and helpful. The best thing about this place though was its location. It is within EASY walking distance of the Empire State Building, Macy's, Grand Central Station and Times Square and other places like the Port Authority Bus Terminal and the United Nations are a bit further but still walkable. If you don't feel like walking then the nearest subway station (33rd St. Station) is about 3-4 minutes away on foot. There are lots of places to eat/drink nearby. I would certainly recommend this hotel for those looking for something affordable. Sure, if you can afford it there are plenty of more luxurious places to stay but for the money you pay, this place is a little gem.	
Aug 20 2007 	Will go back	My boyfriend and i stayed here for a week in April and loved it. This place is a bargain, right by subway, couple of blocks from airport bus and you can walk to most places in a few mins especially the Empire state building which was around the corner by most of the big shops. Staff were very friendly, told us about the bus and local diner for breakfast (1 block), kept our money safe, posted our mail and held our bags for us on our last day.Our room was small (i think there were bigger ones) but this didnt matter one bit, we had a tv, a bed, a sink and clothes rail and all we did in our room and was sleep store our cases. I've stayed in a more expensive hotel in NYC before and if anything Hotel 31's rooms were bigger and the location was much better.Shared bathrooms were very clean and i never had to wait for them.It's small and quirky but your not in New York to look at your hotel! Brilliant bargain and would definately stay again!	
Aug 19 2007 	Friendly neighbourhood great location and clean	As a family of 5 it was difficult getting budget accommodation to suit us. The hotel 31 were very accommodating and put a rollaway bed in the double double room for us for an extra $15 per night and whilst it was a squeeze, it was fine for the amount of time we were in the room.Air conditioning worked sufficiently on some of the hottest days of the summer. Room was cleaned daily and our bathroom (and shared bathrooms) were spotless every day. TV in the room, toiletries, hairdryer etc.As we were on the 8th floor, we did experience poor water pressure from the shower at times but nothing to completely ruin our opinion of the hotel (we had stayed in the Hilton at the airport and the shower was cold, so you never can tell!). The area seemed safe and friendly. The local deli owners were great with the kids. Many of the restaurants on the 3rd and 2nd Avenues were good. The location for subway was perfect as was the short walk to many main attractions such as the Empire State.The only very small things were that there was no kettle but there was a coffee maker (and the deli on the corner was 2 mins away). Also, there wasn't a hotel lobby as such to wait for other members of the family or rest for a while at the end of the day but this was a very minor inconvenience.All in all, we were really pleased with location, price and cleanliness and have recommended to others already.	
Aug 15 2007 	I'd stay here again	I stayed at Hotel 31 on a recent trip to NYC and like the previous reviewer, felt totally safe and comfortable as a solo female traveler. The hotel is in a good location, has a few places to eat right next door and a convenience store on the corner (that was a big plus for me). The staff was very helpful, especially the very sweet elderly gentleman who is responsible for showing guests to their rooms. The actual room was small as expected, but not at all claustrophobic. Granted, the rooms could stand to be updated, but they were VERY clean and that was most important to me. I chose a room with a private bathroom and it was spotless. The only thing was that the water pressure was a bit low, I think because I was on the 8th floor. Anyways, I could deal with that. Next time I'd choose a room with a shared bath though, I never saw anyone using them and they were also extremely clean. You'll save yourself a good $40 bucks a night if you choose that option.	
Aug 13 2007	Great hotel	Fab hotel that wasn't too expensive. As a woman travelling on my own I felt totally safe here too. Recommended.	
Aug 4 2007 	Awesome for the price!!	The hotel isn't your typical kind where you have your own room with a bathroom. There are rooms like that there. However, they cost $40 more than the room without. The hotel is really well run however. There are 2 common bathrooms on each floor. Everyday, at least once a day I saw the cleaning staff cleaning out the bathrooms. Not that they needed it ever. The bathrooms were always spotless!! There is a pedestal sink in the room, however. It was very convenient. The hotel is old. But everything was clean. No dust anywhere. If you're expecting the typical 4- or 5-star hotel out of this great hotel, then you will be sorely disappointed. This isn't the kind of hotel you hang around in and spend the day in shopping inthe lobby. But if you're in NYC to go out and see the sights, then go back to the hotel to sleep only to start it all over again the next day, then this hotel is perfect!! For $100 a night in the heart of NYC, you can't beat Hotel 31 !!!We met some really interesting travelers from the UK, some from SouthAmerica, and other parts of the USA. All were doing the same as us --touring NYC. The hotel is conveniently located between two 6-Line subway stations so it was easy to go uptown or downtown from there. Approximately 3 blocks walk either way. Located at 31st and Lexington, this hotel was within walking distance to some great restaurants and a jazz lounge also. For health nuts, The Pump Restaurant is across the street. Two sushi restaurants literally next door to the hotel. And there is a cafe at the corner (we did not eat there though).The hotel staff was excellent. Greg, the front desk guy, was my favourite. He was always courteous and has the best smile. I arrived at the hotel earlier than my boyfriend so I asked him to help me surprise him. Greg dutifully called me in my room when he checked in and waited until he was out of earshot to ring me. It was perfect! And then when we were checking out, they let us keep our luggage locked up with them until our flight in the evening. All in all, I was pleasantly surprised by the hotel. It is definitelyone that I would recommend to others. As well I would stay there again.	
