	For the money you can find a better hotel with better service"	The location is great! But the service was awful! The rooms were large for New York standards.	
Aug 30 2009 	Beautiful people	We did this trip more for the kids. Beautiful people Jenny at the front desk what a smile when she welcomed us. Danny and Michael the night Divas, I asked for cookies and with no problem we got them along with stories. I can't believe Jimmy the doorman is still there, he remember us from a few years ago. Thank god also for Antonio when we checked out he reminded us by saying I hope nothing was left behind in your safe or closet. That's went I remembered leaving some valuables in the safe. Doubletree home away from home. Thank you guys.	
Aug 27 2009 	Great location superb price/quality ratio	We have spent 6 days in NY in this hotel. Great location and excellent service. The personnel is very friendly and helpful. Daniel in the reception had great idea about the hamburgers :-) Next time in NY again in Doubletree.	
Aug 23 2009 	Excellent Hotel in Fantastic Location with Exemplary Service	My wife, teenage daughter and I stayed at the Doubletree Guest Suites in Times Square August 20 -24. We were greeted quickly by a valet who ensured our car was parked quickly and then were greeted at the reception desk by Michael whose professionalism and wonderful attitude are very worthy of commendation and recognition. Since we were unfamiliar with this property and the room layout and locations, we let him select our room. We could not have been more pleased. The corner suite on the 18th floor was fantastic. The room and bathroom were very clean and housekeeping did a wonderful job making-up the room quickly when we went out rather early each morning. I could not speak more for the overall hotel staff; everyone we met was very helpful. In fact, returning late from the theatre on Saturday eve, we were very thirsty and asked a woman at the front desk if there was anyplace we could purchase water. She offered to have it sent up to our room. I'm so sorry I didn't get her name, but I know the manager reads these posts and I hope she is recognized. (By the way, the fact that the manager reads these posts shows itself a commitment to exemplary customer service.) The security at the hotel was fantastic. You had to show a room key before you could gain access. We always felt very safe and secure. The location was incredible - central to everything! I highly recommend this property and would not hesitate to stay again.	
Aug 18 2009 	Great location	The Doubletree in Times Square is in the perfect location. It is right across the street from the new pedestrian only area of Times Square and the TIX location where you can get discounted Broadway tickets. The room we had had a partial times Square view and was in very good condition. All the rooms are two rooms our room had two double beds and a very large pull out couch in the other room, a good size bathroom a small kitchen area with a sink, microwave, fridge and coffee maker. The rooms were very quiet and comfortable which is nice after walking the city all day. The staff were very helpful especially the bellman and the valet for parking the car. Getting to the hotel was a chore due to the traffic in the city but once you get there the staff takes care of the rest. Parking was $35.00 a day in the garage across the street. The parking garage was very well run. Everything seemd to cost twice as much as in Florida. Prices did get cheaper the farther away from Times Square that you got and the choices are endless.	
Aug 18 2009 	Great place staff and location!	We stayed here August 13 &amp; 14, 2009. From the moment we were greeted at the door by the security guard, to the receptionist on the 3rd floor everyone was very professional. Our only knock, we arrived at 11:00 a.m. and was told our room would be ready by 1:00 p.m. . We came back then, we have a 6 year old and he wanted to rest and the room was not ready, they kept pushing back 30 minutes. We went to restaurant, host sat us down brought us great, warm cookies and water, shortly after Diana from reception came and got us. Our room was ready by 2:00 and it was a great room, corner, looking south on Broadway. Room was very clean and comfortable. Though it was a non-smoking floor (only the 13th is for smoking) the room had the smell of smoke. We called and they said they would switch us our spray the room. We stayed and it turned out o.k. Highly recommend this place. Right in the middle of Time Square and everyone was very nice.	
Aug 18 2009	This hotel has it all!	We have just returned from our fourth visit to New York City in 2 1/2 years, and our third consecutive stay at the Doubletree Times Square. I cannot say enough about how much we have enjoyed our stays there. Everything about the hotel suited our needs perfectly. Accomodations: We had a two room suite with two double beds .The room was large enough to comfortably accomodate our family of four adults. The room appeared to be newly renovated, was very clean, and was well maintained by the housekeeping staff.Location: This hotel is ideally located for shopping, dining,and especially for the theater and subway access. The theaters are all within a few blocks of the hotel and the subway entrance is just out the door and around the corner.Hotel Staff : The staff is as friendly and accomodating as you will find anywhere, from the general manager on down. Doris, Yaniv, and Daniel, at the front desk are terrific, as are all the others.I highly recommend this hotel, and will be staying there on our future trips to NYC.	
Aug 17 2009 	Huge room great location and free cookies	Spent 3 nights at the Doubletree Suites in Times Square with husband and 2 kids (2 &amp; 5.) Booked 2 nights with points and paid for 1 night at a AAA rate. Got a 2-room king bed suite on a premium floor (actually the top 43rd floor). Kids slept on the sofa bed which was actually quite comfy for them, and we had the bed in a separate room. Shared bathroom with access from both rooms. Tremendous amount of space for NYC &amp; heart of times square location. Really enjoyed our stay and everyone slept great. And couldn't beat what we paid.Check-in on Thursday was a chaos but the hotel handled it well. Arrived at the hotel around 4pm to find the lobby full and a long line to check in. Apparently the hotel had a large group taking up the top/premium floors that weren't expected to check out until 6pm, so they didn't have many room available for checkin. As an incentive to get us to come back later to check in and get our room, they offered us a free upgrade to a premium floor (24th floor and up I believe) (versus the $5/night upgrade I'd pre-requested) plus breakfast for the 4 of us for each night of our stay. Breakfast buffet was $80/day for 2 adults/2 children so that was the real clincher for us. We took the offer and checked our bags until after dinner when we were able to check in for real (did have to wait in line again) and get our rooms (and free cookies). The hotel did offer water, fruit, juices and cookies to everyone waiting in the lobby for rooms so that was nice of them.We had 2 reservations given the nature of our stay (points + paid) and they were able to link them together at checkin so we didn't have to switch rooms. It did create a hiccup with the free breakfast on the 2nd day, but we were able to get them to adjust their records easily. I had a $50 coupon towards food and beverages that I got from their website which is good during a reward stay, but we ended up not using it since the breakfasts were covered, and it didn't apply to tips. But it would have been handy if we hadn't gotten the free breakfasts.Check out on Sunday morning wasn't bad but the hotel had given everyone checking out a note that checkout was supposed to be hectic and no late checkout requests would be honored. There was a running race going on when we left that meant we had to walk to 6th avenue to get a taxi, but it wasn't too bad otherwise. We never had problems getting a taxi during our stay, though if heading uptown it may be better to walk to 6th to get a taxi since the drivers have to go so far out of the way to turn back north around times square.	
Aug 16 2009 	Superb New York hotel and great base for everything	Syated here in mid August with my wife and 3 teenagers. The hotel is on Times Sq (many claim to be, this one is right in the middle). The entrance from the street looks a bit odd and has a security guard. However, the reception is on the 3rd floor and from that point onwards the hotel looks like part of the Hilton group it belongs to. We were on the 25th floor, which is the lowest guest floor. Our rooms were excellent, each with a bedroom with 2 double beds and a separate lounge with a double sofa bed. We had 2 of these which were interlinked, making it a huge footprint. The rooms were very quiet, well equipped and large.We were give a free breakfast each day, which was buffet style and comprehensive. The staff were superb. The concierge booked trips for us at very reasonable prices and the front desk even offered to print out our boarding cards at the end of our stay.Given the location, right on Times Square, the hotel was very reasonable and provided a great base to see all of the Ney York attrwactions from.	
Aug 10 2009 	Excellent Hotel/location	I choose this place after reading reviews, this is the first review a have ever written. The Doubletree TS was perfect, quiet, clean, suite type rooms. Peaceful in the room then walk out the door into the most exciting city in the world!! Never a dull moment. Staff friendly, concierge very helpful. If you can't have fun or enjoy yourself here, then stay home.	
Aug 10 2009 	5 Stars for Convenience	This hotel was a great choice and is perfectly situated for touring the city &amp; seeing Broadway shows. The rooms are large and comfortable when compared to a typical Times Square hotel but, the Doubletree itself felt more secure than some of the obscenely large hotels in the area. This was most evident when the surly night-shift doorman checked guests for their room keys before allowing them access to the street-level elevators. Throughout our stay I was surprised that I never had to wait much more than 15 seconds for an elevator after calling for one. The 3rd level lobby elevators take you to your floor where you will find a mere 13 guest rooms each, a luxury in itself.Our 33rd floor room was very quiet and was what the hotel referred to as an allergy &quot;Pure&quot; room. These rooms have a large, portable HEPA air cleaner and the white-noise it generated while powered-on only added to a good nights sleep. The Hilton &quot;Sweet Dreams&quot; bedding in these rooms also have special mattress and pillow encasements to help reduce dustmite and feather down allergens. All of the allergy-pure rooms are located on the 33rd floor so they're sure to have great views. One disappointment with our room was that it's 2 flatscreen HDTV's did not receive a HD signal... but, who goes to Times Square to watch TV?Our room was also one of the &quot;Times Square View&quot; rooms that ended with the room number &quot;03.&quot; This room really overlooked Father Duffy Square, which is part of what most people refer to as Times Square.(see photos) The best thing about the Duffy Square view room is that it has a 180° view of the city and is entirely surrounded with a curved wall of windows. The room is slightly smaller as a result of this layout but provides one of the most panoramic and romantic views available in Times Square. This room is perfect for couples or a small family and was very reasonably priced when I booked it JUST LESS than one month in advance through the Doubletree website. I guess they were trying to sell-off unused rooms because just a few days after getting my very low rate, the hotel was sold out. Don't forget that Doubletree offers a 10% discount if you have AAA.Note: The &quot;real&quot; Times Square view rooms end with the room number &quot;01&quot; but, have less windows. For New Year's Eve and the ball drop, this room cannot be beat.We didn't eat at the hotel's restaurant but I did stop by after hours to check it out. It was nicely decorated and appeared to have a fairly big spread for breakfast. For lunch or dinner I suggest heading west to the 300 block of 46th Street, just west of 8th Avenue. There are a couple dozen nice, &quot;real&quot; New York City restaurants to choose from. The hotel's business center was easy to use and had no waiting line. For a $12 fee I used the center to print boarding passes, prepay checked baggage, and upgrade our seats in advance of the flight home... all of which would have cost at least $100 more at the airport.The car service we used to and from the airport provided curbside service at the hotel's front door. The doorman assisted us each time even clearing a us path through the crowd to our car when departing. Adjacent the hotel's entrance you'll find an enclosed Wachovia Bank ATM as well as an entrance to a subway station. There's a convenience store about 6 storefronts north of the hotel on 7th Ave., and the Times Square Information Center is 2 doors south.Overall, I'd have to say that the front desk staff and lobby baggage handlers were very helpful and friendly. The concierge was just average, and who cares if the young man working at the lobby's bar was less than interested in serving beverages. This is one of the few hotels in Times Square that provides an in-room refrigerator (and microwave), and it's nice to have a refreshment in your room while enjoying the view. This is NOT one of New York's trendiest or most luxurious places to stay but it is clean, secure, nicely appointed and reasonably priced. If the hotels in Times Square were rewarded stars for convenience, this one would surely get 5.	
Aug 10 2009 	A great view in a comfortable hotel. Good for families with young kids.	We went to NYC for a long weekend with our kids, ages 2 and 4. From experience, we've realized that &quot;suites&quot; hotels work best for us because we can put the kids to bed early in the bedroom, close the door, and watch TV or read in the &quot;living room.&quot; The hotel worked perfectly for our stay. Times Square is mayhem and it was fun to be in the middle of it. The hotel staff was friendly and the concierge answered our questions about how to get tickets for Broadway shows. The hotel restaurant was empty when we got there but we ate at 6pm with the kids, so perhaps that's no surprise. The food was good and the waiter accommodated our picky eaters.	
Aug 9 2009 	Excellent Times Square Location Large Rooms - Good Hotel	Our June 2009 stay at the Doubletree Times Square was the 2nd time I've stayed there - but for a variety reasons, it will probably be my last. While the Doubletree Times Square is in a fantastic Times Square Location - right across from the TKTS booth - it's just become too crazy of a location for my tastes - Especially with all of the Grayline Bus Tour Hawkers swarming people as they are walking down the sidewalks (Grayline Tours solicting there must be new in recent years as I don't remember this). This just leads to the sidewalks getting backed up and causing more mass confusion. Perhaps since I've been to NYC a number of times in the last 10 years, I'm now more open to staying off Times Square - however - still would like to be in the Theatre District - but more near Hell's Kitchen, etc. Anyways, if you are not one for being thrown into throngs of people as soon as you exit your hotel - I do not recommend staying here - but I do have to say that the Doubletree's room size is very large compared to other NYC hotels. Tons of space which we liked since we were in NYC for 8 nights. Another downside we experienced was due to the fact that we used Hilton points for our stay and this was the first time we ever experienced with a Hilton property/Marriott property trying to put us in a sub-standard room just because we used points (and a lot of points at that). The front desk treated us like we were country bumpkins and put us in a pretty crummy room - and acted like we were suppose to be grateful - well after us giving pushback they relented and moved us to the room that we expected when we booked - telling us the whole time that the problem was that we booked our room though the Hilton Honors line and not though the hotel directly, blah, blah, blah. Basically, I agree with many of the other reviewers that the Front Desk staff was off putting and I don't care if it's NYC or not - the bottom line is that NYC Tourism is suffering like everywhere else in the US and they are not booking all of their rooms (which was definitely the case while we were there) so they may want to take some customer service lessons from Disney, Publix, etc. However, the other staff members we ran into, the restaurant staff, engineers, bellmen, housekeeping, etc. were awesome, so that offset our snooty check-in staff. We basically ate in the hotel restaurant every day since we had free breakfast due to hubby's Hilton Honors status and we found it very good with lots of variety - but not sure if we would have eatten there often if our breakfast wasn't free since it was approx. $ 25.00 per person for breakfast - which is a standard price at NYC hotels - we would have eaten at delis or at PAX. Would I stay here again? Perhaps if the room was free - like it was this time - or it would have to be a bargain compared to other hotels . Oh, other complaint is that it didn't have free internet access in the room - could have free access in the business center or lobby. However, this is like many of the other NYC hotels - which is another NYC tourism issue.	
Aug 5 2009 	Family friendly hotel in the heart of Times Square	We recently returned from a stay at the Doubletree Time Square in New York City. We searched at length to find a hotel that could accomodate a family of 5 (3 small children) in NYC. The Doubletree was one of the few that could. The location in Time Square was central to many attractions so that was good, however, the streets (sidewalks) in Time Square were super crowded so that was a drawback. Once you get a bit out of the heart of the madness it is much easier to navigate with small children or a stroller. (I had to make my ten year old hold my hand because the crowds were so thick there was no other way to stay together.) The hotel was fine. The staff was nice enough but certainly not top notch. They did their job and were polite. One morning at breakfast the manager stopped by our table to inquire as to our satisfaction with the hotel- that was a nice touch. The cookies on check in are DELICIOUS... that is definitely a bonus. The area is safe- I went out walking with my five year old at midnight one night to do a little souvenier shopping when neither of us could sleep- Time Square if full of tourtists well into the wee hours of the morning and all the lights make it seem like mid-day even when it is the middle of the night. I get weireded out about places being unsafe VERY easily so going out at midnight with a five year old is not the norm for me... it was THAT safe. The room was okay- again, nothing special. This isn't the Ritz or Four Seasons. It was clean... the carpet wasn't gross... the bedsheets were fine. The plug for the tub was broken so it would fill the tub even if you were just taking a shower (it was always in the down position) so we had to lift it up and lay it on its side for the tub to drain. Certainly the maids would have noticed that and should have had it serviced... but they would just knock it back down in there and we'd pull it back up when we got back to the room to shower that night.... like I said- not top notch service but this wasn't a deal breaker for us. We had a Time Square view room which was very cool and very entertaining for the little ones. The windows open out about six inches and have no screen... this was a concern to me but the kids were good about not playing with the windows so it turned out fine. we were on the 24th floor right by the elevator. We heard no elevator noise at all and only once heard some loud guests getting off the elevator on our floor at about 3am one morning. Other than an occassional siren- we couldn't hear the chaos of Time Square with the windows closed and the curtains drawn. The room was a suite but still small- very small &quot;living room&quot; area with pull out couch, a separate room with a king bed and a small bathroom. All in all, I would probably stay here again... it was fine. The price is right for the accomodations and the fact that they will take a party of 5 in one room.	
Aug 3 2009 	Excellent location	This hotel has the best location in NYC. There is even a subway station next to the hotel lobby, which made it very easy to stop and drop shopping bags at your room and continue with more shopping!!!Also, the separate living area with a sleeper sofa is very convenient.I would have preferred if the vanity section of the bathroom were separate, to allow for more people to get ready at the same time, but you can't ask for everything.The rates were very affordable, and the location in a huge city like NY is #1 priority.	
Jul 31 2009 	Hard to find similar hotel in NYC	I visit NYC every 6 months and have stayed in so many different hotels by now. We booked Doubletree Guest Suites this time to celebrate a birthday and this hotel just beats them all! Having so much space in a hotel room in New York is a rare sight. Service was excellent. The location is unbeatable. Can't wait to go back.	
Jul 28 2009 	Good hotel--Nice Location	We recently stayed at this Doubletree while on our first trip to NYC. We have two teenagers, ages 14 and 17. The hotel is nice, clean with spacious rooms. We were glad to have the extra &quot;living area&quot; with a pull-out sofa so that each child could sleep separately. Toiletries were nice and a small refrigerator and coffee-maker are in-room as well.The staff was very friendly. The concierge staff was just o.k. and seemed to know less about some things that were going on than we did. But they were very pleasant. One of the concierge staff was very helpful about the plays currently running and had seen many of them. The location is definitely prime. Close to subways and in the thick of Times Square. We were on the 38th floor so did not hear any street noise at all. Seemed very safe. During the evening they were fairly good about asking for proof of your key before you could get on the elevator from ground floor to the lobby.There is a little deli/store around the corner on 47th street where you can get hot breakfast sandwiches, bagels, juice etc at all hours. They were very friendly there as well. Nice for budget breakfasts and snacks.The Doubletree chocolate chip cookies were great as always. We managed to get a fairly good rate and were very happy with our choice.	
Jul 24 2009 	We will definitely stay here again!	I researched at least 80 hotels before choosing this one. It was also recommended by a friend. I am very picky about hotels and this one passed the test. The location is perfect--right in the heart of Times Square. You walk out the door to the hustle and bustle of the city, but inside you can't hear a sound. The rooms are clean and spacious and have an additional mirror and sink outside the bathroom for ease of multiple people getting ready at once. There are two refrigerators (one stocked and expensive and one empty which is certainly handy). At night you must show your room key to security which is a good idea although I never felt unsafe there. My search for hotels is over when I return to the city. We will definitely stay here again.	
Jul 23 2009 	Our Regular Hotel in NYC	We have stayed here three times now and looking forward to staying here many more times in the future now that we will have a son going to college in NYC. This place never disappoints. Great room, great, friendly service, clean, safe, helpful concierge. What more could you ask for? We love the location as it is part of the heartbeat of the city, close to theaters, subways, restaurants, coffee shops, etc. I have stayed at other places in NYC and now will only stay here. It is like a home away from home.	
Jul 23 2009 	Recent remodel makes this a much better hotel	I stayed at the Doubletree Times Square during a recent business trip. I needed to stay in Times Square to be close to my meetings. If you are in the same boat, or if you want to experience the hustle of Times Square, then this is a great place. If your business is outside of Times Square, then you may want to stay away. The recent remodel is a welcome change. The rooms are fresh, but the staff is still a bit off putting. I guess you have to consider that this hotel is positioned right in the heart of TS, where things move fast. If you want a slow-paced atmosphere---this is not it. Arriving at the hotel is now made more hectic thanks to the shut-down of traffic on Broadway. While this is great for pedestrians, it makes getting to businesses in the area difficult. While the street in front of the hotel is open, the increased traffic there because of the Broadway closure tends to clog things up---especially if you are trying to arrive around 5pm or depart around 8am. The door men here are great at getting people in and out of cabs--and almost as tough---across the sidewalk full of people. The new workout room is nice, with great new machines--but it would be better on a floor with a view outside. Instead, you overlook the lobby--which has also been redone in a Jetson's sort of motif. Having stayed at many of the hotels in the area, I'd rank this one in the Top 5 thanks to the new rooms and the relative price.	
Jul 21 2009 	A quality hotel and excellent cookie!!	My wife and I stayed in the Doubletree for 6 days on our recent trip to NYC.From the moment you check-in to the moment you leave, they treat you very well.The welcome hot choc chip cookie is amazing.Our room was on the 32nd floor and had amazing views of times square all the way to the hudson river. We watched the 4th July fireworks through the floor to ceiling windows - excellent vantage point.The room is well equipped with a microwave, fridge, coffe-maker, mini bar (very expensive) Plasma tv, wi-fi , sofa bed and work desk and phone and safe. The bedroom also has a big tv and ample storage space and one of the most comfortable beds ever.The bathroom is also a good size.As you are so high up there is very little disturbance from below.All in, a great base for seeing the great sights of NYC.	
Jul 20 2009 	Great Location Great Rooms Great Cookies!!	My husband and I just returned from New York and I would highly recommend this hotel to you! The location is perfect! Literally in the heart of all the action!! It was a little daunting getting out of the car with our luggage...but nothing that a little teamwork couldn't get us through:-) The hotel room is great: A proper living room/den with a pull out sofa, a mini fridge, a TV in the den and bedroom, the bed was very comfortable, the bathroom was a bathtub style with a shower head, and Wolfgang Puck coffee/coffee-maker in the room which was very good. The windows actually can open a little bit. The elevators are fast. And DoubleTree cookies are always a great bedtime snack! The noise from the street din't bother us in our room.The hotel is located directly across from the TKTS booth - but we were really happy that we had bought our tickets ahead of time because the line up were massively long especially in the hot sun. The Diamond street is just up 47th street!!! M&amp;M's, Hershey's, Toys'R'Us are just a few of exciting stores to see in Times Square.They say that you have to pay for the internet from your room and you can access their free WIFI in the lobby. We were on the 34th floor and easily - and happily - received great reception to the WIFI from our room.This hotel also happened to be priced better than most of the other options out there. The front desk told me that they are almost always sold out.The hotel is on top of a subway station and minutes walk from other subway routes. We found it really easy and SAFE to get around New York by metro. The commuters are happy to help direct you if you need assistance. (Although when we asked one transit worker which train to take to somewhere she replied with &quot;I don't know...I have never been there!!&quot; But honestly, buy a metro pass and go! Someone mentioned to us that they love the spa there. I personally don't have any experience with it.There is a huge presence of police and paramedics in Time Square. The hotel is on top of the West Side Story Production and just minutes away from the other theatres. We went to Citi Field (the old Shae Stadium) to see a Paul McCartney concert. We saw Billy Elliott and God of Carnage Broadway shows.We ate at Norma's, Ruby Foos, Basta Pasta, Carnegie Deli, Stage Deli and Nobu...and we thoroughly enjoyed and would recommend each one of these restaurants.	
Jul 19 2009 	Don't think I'll stay there again if I don't have to.	This is a hotel with a superb location if the hustle and bustle of NYC is what you're looking for. Unfortunately, the service is very unpredictable and not standardized. I found the lower the person in the rank, the more friendly they were. The front desk people or anyone working in the lobby area, forget it. They couldn't be more cold and impersonable. The restaurant servers, the cleaning ladies, were more real and friendly in sincere ways. I was also surprised how bad the internet service was in our room, very-very low in speed, for both downloading and uploading, and that's if it was working at all. I had made a complaint, the outsourced internet company tried to fix to no avail, so I insisted that they reimbursed the charges and they did. Beware of the Business Center, it charged usage by the minute, and again with the very slow internet connection, I ended up paying too much just to purchase a museum ticket online. We stayed for 6 nights, and wished that we could've checked out much earlier!	
Jul 19 2009 	Great hotel great location great value!	The hotel is spacious by New York standards. Our family of five (including three teenagers) slept comfortably on the two double beds and sleeper sofa fitted with Doubletree's comfy bedding and pillows. The rooms have a small refrigerator and microwave, but you do not go to NYC to stay in the room. You go to see the sites and the hotel excels here as well. It is smack in the middle of all the action in Times Square steps away from the TKTS booth (purchase discounted, same day tickets to Broadway shows) with several subway stations justs a few feet away. I recommend the Edison Cafe (about a block and a half away on 47th street) for breakfast. Since you are in the middle of all the action it tends to be wall to wall people especially on weekends but you do not go to NYC if you do not like crowds. Overall, a great value especially if you book well ahead of your trip. Check the hotel's website for internet specials.	
Jul 19 2009 	Gem of a location close to everthing	After struggling with the travel agent to find a single room in NY for 2 adults and 3 kids, at a reasonable price, we located this hotel. Fantastic location walking distance to everything, central park, empire state building, and of course Broadway.Staff very friendly, and hotel clean as a whistle. Rooms were a bit on the cramped side when the roll away was out but ended up only sleeping in the room as there was so much to do and see.Would recommend joining the Hilton honors rewards program it is free and i earnt enough points in for free night.	
Jul 17 2009 	Drivers Beware!	The hotel was roomy enough for us and quite comfortable. We never waited for an elevator and any staff member that we encountered was helpful and friendly. It was convenient to the subway and there are tons of places to eat. I personally wouldn't stay in the location again I don't think, just because I couldn't stand the crowds around Times Square. But that has nothing to do with the hotel. We ate at the restaurant once which was really good but expensive. My biggest complaint was in trying to find either the self parking (no mention of location on the site) or valet (the site tells you to pull up to the loading dock on 47th St which doesn't appear to exist. It also says don't pull up in front of the hotel). After a trying time in driving around the city twice, I called the hotel and found out that the self parking was a non-descript garage down the street that said 24 hour parking. Okay, how was I to know that? The valet parking was available in front of the hotel, where the site tells you not to stop. Well, between the taxicabs loitering in front of the hotel and the few cars waiting there to load/unload there was no place for us to stop anyway. We traveled the streets again and ended up at the self parking garage, which was fine. Perhaps if staying there and driving, you might want to call the hotel first to find out what the latest parking instructions are.	
Jul 16 2009 	Large comfortable rooms	My wife and I and our ten-year old daughter stayed here on May 29-June 2, 2009. My 70+ yr old parents stayed next door. The rooms are large and comfortable and with the adjoining suites our daughter could roam through 4 rooms. It was quiet despite the Times Square location (we were on the 24th floor). We visited the restaurant for the breakfast buffet each morning. It would have been rather pricey but Hilton Honors provided it for free. The staff there was extremely friendly and our daughter looked forward to her freshly made pancakes each morning. The hotel is adjacent to one subway stop and several more are within a block. The staff was able to provide directions and suggestions on several occassions. We had an excellent visit made more enjoyable by the quality of this Doubletree.	
Jul 15 2009 	Good in all respects	We are 2 English couples and we stayed here for 3 nights at the end of June at the start of our American holiday.Very central location with good security in the ground floor street level entrance lobby.The suite comprising bedroom and separate living room was clean and spacious with a nice sized bathroom and the maid service did a good cleaning job each day.We didn't eat in the hotel as there are far too many good and cheaper restaurants/diners within easy walking distance. The location on Broadway cannot be beat but that also means that the pavements outside the hotel get very busy especially in the evening.This was our 5th stay in New York and this was our cheapest hotel so far and gave far better value than the previous hotels that we have stayed in.We would stay here again without question.	
Jul 15 2009 	Best Hotel Stay Yet	July 8 – July 13, 2009 we had a wonderful experience at this location. The staff was great! On our first night, there was a problem with the TV. We called maintenance and they came right away and replaced our TV with a new one. When the TV went out it left a smell, dying TV smell. We asked if it was possible to change rooms. They sprayed this room and we could have stayed but they had a bellman there in less than 10 minutes to move us to another room. They were very professional, kind and accommodating - no questions asked. The staff is to be commended. Throughout our stay the restaurant staff beginning with the hostess, waiters and food prep staff went out of their way to make each meal pleasant. We had breakfast there every morning. My son looked forward to going; it was a very warm and inviting atmosphere - that says a lot coming from an eleven year old. The food was great as well. Housekeeping did an outstanding job. Our room was cleaned expertly every day. We requested extra towels and they were left daily without an additional request. The room was spotless upon our return. The bellmen were very helpful and were always asking ways to assist the guest. The concierge ladies did their job. They however did not exhibit the same warmth as the other hotel staff. There was a gentleman there on Saturday who was very helpful and greeted and assisted us with the same kindness as the other staff. The ladies did their job and were efficient, but were not helpful. They answered your questions with yes, no and I don't know responses. They also had nothing available from the hotel highlighting daily events in the city as most hotels offer. I had already mapped out most of our trip so it was not a problem, but I guess I was looking for the inside scoop from someone who lived in the city and who had experience directing guest to less advertised places. Overall we would rate our stay as the best hotel experience to date. We travel frequently and have stayed in many grand and great hotels, but the service and staff at this location are superior. Thanks for making our vacation memorable.	
Jul 10 2009 	Surprisingly good	As with most TA reviewers concur, the extremely affordable Doubletree Guest Suites in Times Square was a pleasant and welcome stay for part of our honeymoon. WE booked far enough in advance to get below $ 300 and received a room on a high floor that was clean and about average size for a midtown Manhattan hotel. Separate sleeping quarters with a very comfortable bed (that was welcome from all the walking) makes the Doubletree a BEST DEAL considering more upscale hotels in the area charging twice our rate.	
Jul 7 2009 	Perfect Central Location!	Located in the middle of Times Square, across from the TKTS bleachers. Ground floor features a very nice-sized welcome area with a guard who checks room keys before you proceed to 3rd floor. 3rd floor fatures check-in, bar with tvs, etc. We NEVER had to wait for an elevator. Three elevators lead from ground to 3rd floor, then upper floors accessible by at least 5 elevators. We had 28th floor with a nice view of times square. We walked to Emipre State Bldg/Macy's, to Lion King (across the street - HELLO!), subways are VERY convenient (went to WTC and Yankees Stadium), walked to FAO, 5th ave, Rockefeller Center, to Central Park, Radio City Music Hall, Daisy May's BBQ, etc.The room itself is a bit cramped for 6 people, as the fold-out sofa takes up a large chunk of the living room area when opened up. Service personnel VERY friendly and helpful! Room seemed either too hot or too cold - hard to find the balance at times. Free wi-fi was adequate.Very QUIET! Never heard the sounds of the city unless you opened the windows. We would stay here again in a heartbeat! McD's next door and easy access to stores, eateries, you name it.	
Jul 5 2009 	Perfect Location	I took 3 teenageers to the city for an overnight. We booked the Doulbletree on hotwire for 199/night. We were very happy with the large room (1 bedroom suite) which had a queen size bed in the bedroom and a queen size sofabed in the living room. The bathroom was huge. We had a great view of Times Square. All-in-all it was perfect.	
Jul 4 2009 	recommend recommend recommend!!!	I bid $200 on a 3 1/2 star hotel on hotwire.com, not knowing which hotel would be waiting for me at the other end of the &quot;send&quot; button. This was the hotel I received, I am thoroughly impressed with both hotwire and the Doubletree Suites. I had heard a lot about how small Manhattan hotel rooms are, since real estate is at such a premium in nyc. The Doubletree Suites are located smack dab in the middle of Times Square, and the room is well, a suite. We had a very comfortable king size bed, and the children slept on the pull out couch in the &quot;living room&quot; which was in excellent condition. The entire suite had been recently redecorated, and there were large, flat screen tv's in both the sitting area and the bedroom. There was also a mini fridge, a bar sink, an in-room safe, and the bathroom was spotless and very modern. We were lucky enough to get a corner suite on the 22nd floor, and we had amazing views from two vantage points. As for the cleanliness, this hotel room was immaculate. The sheets were crisp and new, and the room was cleaned to spotless condition both days we were there. The front line staff was uber-friendly, the concierge was likewise, and the guys at the baggage counter (bellhops?) watched our bags for the day after we checked out (for a nice tip of course).I could find absolutely nothing wrong with this hotel. Spacious, modern, clean, awesome location, friendly staff; the Doubletree had it all.Oh, the chandelier in the main reception could use dusting. There, I found something negative. This was an awesome experience.	
Jul 3 2009 	Not a great experience	Upon our arrival we were welcomed with warm cookies and upgraded to a king bedroom. The beds were comfortable and comparable to &quot;My Bed, Sofitel&quot;.The rugs were stained and old from the hallway to the bedroom. The bathroom was dirty, the paint was peeling, and the grout was old. Mildew covered all corners of the bathtub.We were charged $8.00 extra for a minibar that we haven't used before. The satff was rude.Overall not a good experience and I will not return.	
Jun 29 2009 	Great Hotel Made Even Better By Daniel!!	We had put off going to NY all these years because we heard the people in NY were rude and unfriendly - but we took a chance for 5 days on our way to Europe. Well, we decided to stay at the Doubletree Guest Suites based on their wonderful reviews - and hoped for the best. The very first person we encountered in NY - after our taxi driver - was Daniel at the front desk. He was charming, funny, welcoming, and we truly appreciated his AMAZING room upgrade to make my 50th birthday celebration even more wonderful. We are Hilton Gold VIP members - and are supposed to get a room upgrade when one is available - but often the &quot;true&quot; upgrades are saved for the &quot;diamond&quot; VIP members - and we are left to feel less like &quot;gold&quot; and more like &quot;tarnished brass.&quot; But Daniel set the tone for our entire trip. He made us feel like VALUED family members - and the hotel itself is clean, spacious, and a welcome respite from the noisy world of Times Square just outside their door. Do take advantage of the fantastic proximity to all of the world-class Broadway shows within walking distance from the hotel. And by the way, we LOVED all the New Yorkers we came in contact with - so - don't delay! It was a most enjoyable trip!	
