	Good Standard clean and efficient. Very central for shops and sights	Overall a good hotel and we enjoyed our stay. Facilities are good and staff are helpful.We were very annoyed by the 11 dollars charge for using the phone for local calls even if you only connected for seconds. Outrageous price. Don't know what the food was like, we always ate out even for breakfast. There's plenty of choice around. Wifi was expensive and only payable by the day, though there is free internet terminals in the executive lounge.	
Jun 29 2009 	Remarkably Bad Even by New York Standards	I am a frequent business traveler to New York, and have grown accustomed to poor quality accomodations at less expensive (meaning sub-$300) hotels. I stayed at the Hilton New York with my wife and baby, for a combination business trip and mini-vacation. I selected this hotel because the SIFMA conference, the reason for my business trip, was located there.The facilities were quite mediocre, trending towards poor. The room was musty, and the ventilation system was difficult to control, leading to alternations from too hot and damp to too cold and damp. I'm told that &quot;upper floors&quot; have been renovated, but my 27th floor room was definitely behind the times. Bathroom and bed were adequate.I had been lead to believe that internet service was included with my room reservation, but the front desk wasn't interested in my opinion. I heard two other travelers complain about the same thing. Network cost $15-20 per day for varying levels of access. Each device had to be paid for separately. And the $20 &quot;High Speed&quot; option was greatly inferior to my cable modem at home. We just used our cell phones instead.The housekeeping staff were the worst I have ever had in a 4 star hotel. They did not change the sheets when they said they would, did not reliably remove dishes, and sometimes removed dirty items without replacing them. About the only thing they could be counted on for was clean towels. That, and leaving the window open. Given that it was 80 degrees and thunder storming, that probably contributed to the room being damp.Mid-town is always a boring location for a vacation (unless you want to spend all your time at Broadway shows), and I knew that when I picked the hotel.I think some guests were staying on cheap packages. If you can get in here for $200 a night, and know what to expect, then you might be happy. But if you are paying the $300 rack rate, you can definitely do better elsewhere.I'm going back to the Hampton Inn Time Square North next time I have to stay in midtown.	
Jun 28 2009 	Feels Safe Very big good location	It's been a long time since I was there with my wife (Dec 07), but it was our 1st and only time in New York, and we have been itching to get back. And since I use trip advisor to check out where I would like to stay, I thought its about time I started to write reviews! So. back to the hotel. 1st thing thats hits you is... wow... its BIG. The reception area feels fancy, but you quickly realise its a bit of a zoo, when your are standing 10 minutes in a que to get checked in. The staff were ok, but they don't get a second due to the amount of people, so its very robotic. We are smokers, so choose to stay on smoking floor. We won't do that again. Too musty and smelly. We would rather wait to get outside. You can find yourself waiting a lot on elevators and trying to avoid bumping in to the literally thousands of people staying at the hotel. It did help make you feel secure and safe though. Places were easy to get to on foot., Times square, central park and especially rockafella centre all within a few mins walk. We got breakfast delvered to the room one morning and ended up with a bill for over $120. Best to get fed elsewhere! Room was ok. bed comfy and it was a nice place to put your feet up after a day walking the streets of this wonderful city. The bar downstairs was ok, and over all, it was an ok base for our first stay in New York. We were far from blown away, and we are looking for a different hotel for our next stay this summer. Funny thing is, we are thinking of booking the hilton garden inn times square. We both like the idea of a busy(ish) hotel that is a good size in the heart of all the tourist traps. After all, we are tourists! And it feels safe. Both aged 28, we don't care for quiet hotels, or being treated like royalty. You will only be using the hotel to re-charge your batteries, because you will be too busy enjoying New York. If you havn't been yet, then book NOW. You only live once, and you have to see this city. You won't go wrong with the New york Hilton, and although we will stay elsewhere next time, I think we will stay somewhere new everytime we go. Don't be afraid to book it if you are used to Holiday Inns etc... :) ... what are you waiting for!? Book your trip to New York! Enjoy!	
Jun 27 2009 	Exceeded our expectations!	We arrived by car after a trans Atlantic flight and nearly 3 hours getting through immigration at JFK! We were tired. The staff were great and took all the bother out of sorting baggage and checking in. We had booked an executive room and were given one on the 41 st floor. After a day and having rested we realized how small the room was (the bell boy described it as a closet). We complained and were moved to a suite on the 42 nd floor and it was great. The executive lounge was OK but not outstanding and some staff there were a little indifferent. The breakfast was fine if a little limited. Overall a nice hotel to which we would return.	
Jun 24 2009 	Good Hotel	Stayed for 3 nights over Memorial Day weekend. Room was clean and in good shape. The hotel is huge and had lots of traffic through the lobby all the time. Was able to check in early (about 10am) and had no problems during the stay. Beds were comfortable and the linen was in good shape. Bathroom was fully functional and clean.There are multiple bars and restaurants in the hotel. We didn't use them because they were too expensive, even for New York. There is a Starbucks accessible through the breakfast area. Not sure if it is attached to the hotel or not.There is a business center in the hotel but the charge for the internet is very high, $10/10 minutes. It cost $1/page to print. That typified everything about this hotel. If you wanted something you could get it, but it was going to cost you. There is a restaurant one block north (Astro) which serves a good breakfast at half the cost of eating at the hotel. There is also a kebab vendor on the hotel block that most have the best stuff going. Every evening he had 30+ people in line. Not too far from the subway and an easy walk to Times Square.	
Jun 16 2009 	Not a good experience!	Was attending a convention at Jacob Javits Convention Center and booked the Hilton expecting a superior stay. Was disappointed. First room was across the hallway from the elevator shafts. I shut the door to my room and heard &quot;whooo, whooo&quot; through the ceiling tiles as the elevators went up and down. Returned to the front desk, got no apologies, and was given another room at the end of the hall on another floor where quiet was promised. Up 42 floors, down a VERY long hallway, opened the door, and found the room to be already occupied. Not only embarassing, but maybe even dangerous.Down the elevator again to the front desk. Got another room, this time with a feeble apology and an offer of free breakfast. Was too tired at this point to even care. Got my third room that was mediocre at best. Fell asleep immediately, went down the next morning to check out. The front desk clerk was indifferent and never thanked me for staying, no &quot;have a nice day;&quot; actually no conversation at all.Would not stay here again. Hilton New York really needs to work on their customer service skills. Did I mention that a glass of third-rate Chardonnay at the bar was $14.00?	
Jun 15 2009 	Perfect for 1st time to NYC - mom and daughter trip	My daughter (18) and I stayed at the New York Hilton for 3 nights in May. We could not have picked a better hotel for our first trip to NYC.Our room was ready when we arrived at noon. It was big and beautiful – obviously recently renovated. Lovely linens, comfy beds, large flat screen, contemporary fixtures and lighting.The location was also perfect. Easy walk to Central Park, museums, Rockefeller Center, Broadway.The staff was exceedingly helpful and friendly.I can’t imagine even trying a different hotel on a return trip – why chance it?	
Jun 15 2009 	Good location - Tips problem for breakfast	I rented three rooms for members of my family for a week in June 2009.The positive aspects :- good location in NY - relatively quiet and modern rooms,- good service at the front deskThe negative aspects :- the entrance lobby is like a train station, huge and noisy, with almost no seats for customers,- almost a permanent queue for check in or check out,- locked minibar with &quot;all you move as to be paid&quot;,- swindle at breakfast ; even if you have paid your stay inclusive of breakfast, the waiters in breakfast room will ask for tips and will charge for it. So whatever you have paid in advance, they will rush to ask you to sign bills with tips based on a breakfast individual price of around USD 40... This is unacceptable but the practice of this Hilton hotel... Keep an eye on the bill because the final charge for the breakfast service can be... very inventive... This should be put to an end !!A pity, because the hotel as such is a good hotel.	
Jun 11 2009 	Nicely appointed comfy room and a great hotel location	This was my 10th visit to New York. I stayed here 5th June for 2 nights, and paid $190 per night (including tax) in advance to get the cheapest rate. I booked directly on the Hilton website. I choose their ‘eStandby’ upgrade option which means that rather than paying full price at the time of booking for a guaranteed upgrade, here if an upgrade is available on the day you get it for a reduced amount, if it is not then you pay nothing. Luckily for us it was, so for $9 extra a night we got one of the newly renovated rooms. The two double beds were very comfortable, and we used the fridge mini-bar to store our milk. The flat screen TV worked well, and had a good choice of channels. Make sure you join the Hilton Honors program before you go – this lets you join the slightly shorter queue at check in. There are machines to use for check in and out, and these can also be used to print airline boarding passes for free, which is useful. The lobby is large and busy with a restaurant and a bar. The bar has a good atmosphere and quick waiter service, but beware that like a lot of hotels it is expensive ($9 for a bottle of beer). The view from the room was not great, but we hadn’t paid extra for a view this time. The front of the hotel allows taxis to drive in, so you don’t need to get wet if it rains! There is also a smoking area here. The hotel left a message on our phone offering up to 2 additional nights for $99 per night, which is a great deal (sadly we didn’t have time to take it up). The room was spacious, nicely appointed and quiet, and the lifts were quick. The 6th Avenue location is really central – it takes only about 5 minutes to walk to Rockefeller Center, and a few minutes more to get to Broadway. I recommend this hotel, especially if you can get a reasonable rate like I managed to.	
Jun 10 2009 	Great close to everything	Really convenient hotel, centrally located, great deal available on Expedia. Room size amazing, had two interconnecting rooms which slept five of us all in beds (not sofa beds) Just what you need after a busy day sightseeing.	
Jun 10 2009 	Great hotel	I got an upgrade to one of the renovated rooms (34th floor).Beautiful fresh rooms. Service is good. Nice selection of restaurants. Great location. All in all a great experience. But it's so big that the service is a tad impersonal.	
Jun 8 2009 	pretty decent...	We stayed at this Hilton over the Memorial Weekend..compared to all the other locations we had been looking at, the hotel was well priced (around $692.00 for 3 nights) especially for the size of room we got. We stayed in a deluxe room on the 11th floor, and it was like being like any other Hilton hotel...but then again we rarely spent time at the hotel. I'll tell you this, the lobby was always super busy and noisy during the day...The staff that we came across were polite but always abrupt..I guess it's the New York way, everyone seemed to be in a hurry and unhappy...The one thing that was great about this hotel was the location. We really had no idea how close we were to Time's Square and 5th Avenue...we thought we had to take a cab only to find that it was only a 10 minute walk....nice! We didn't get to eat at the restaurant in the hotel, so I can't coment about it, but the best food I ate during my entire stay at NY was on the street right across the Hilton. There was a line at this vendor usually from around 5/6pm until around 2am, but I don't know if they ran later than that. The vendors told us that the food was Egyptian, and I'm salivating just remembering how good it tasted....so definitely worth the wait (and the line was fast moving)! I would highly recommend this vendor (6th avenue and 53rd st area), actually I would stay at this same location again just for to be close to this vendor as well as proximity to some NY sites....	
Jun 8 2009 	I wanted to like it - but it fell short in several ways	We have been to NYC 4 times, and stayed at 4 different hotels. The last time we were there, we planned to stay at the Hilton. We liked the location and thought it would be great.We checked in to the hotel at 9 PM at night and unfortuneatly for us, there was still a line at check-in. I had even joined Hilton Honors to try to avoid the dual line issue I had read about in a review below. It didn't help. We still had to wait. There was only one person working the desk for quite a bit of the time and they were only working the Hilton Preferred honors or some level above the regular hilton honors members. So that was not pleasant.We asked if we could have a high floor room and they said no, they were full and we only could have floor 10. We also asked about upgrading and again were told no. I always mark high floor on my preferences when making reservations and usually we are accomodated although its something we can live without.I had sent a package to the room paying for express mail for Monday delivery. Because the Business Office was closed we were unable to get the pkg until the next day even though they told us they would have sent it to the conscierge desk. That package had our toiletries in it and so we called to the customer service desk as they said they would provide complimentary toothbrush/toothpaste if you needed them. They said they would bring it up and they never did. They did however bring up room service for us. The next morning we called again for the toiletries as the business office wasn't opened yet and they did come up with 1 toothbrush and 1 toothpaste. Then we did get our package.The maid service cleaned the room but never replaced the glasses in our room during our stay. We didn't really want to pay room service prices on the other nights and so had to rinse out the one remaining glass. The room was ok but fairly small. There is no mini bar. It is locked and if you want anything you need to call down for the key. There was some discoloration in the shower that I wasn't sure if it was mildew or not.. I didn't like seeing it anyway.There is alot of business meetings in the hotel, which has an entirely different mood than we were on for our leisure trip. The hotel bar was stuffy and the waiter cutally asked us not to sit on a nice large couch that my hubby was wanting to use as it was romantic and it was our anniversary and asked us to sit at a table for two. We did and we left the large couch empty after we had our drinks, just like 85% of the room was when we arrived. Hubby was mad that I left him a tip at all. We did like being close to the Halal cart on 53rd and 6th as that is great food at a good price ($6.00 a platter) but we could definitely walk there from another hotel when we go next time.I also liked the overhead area where you could get a cab fairly easily.	
Jun 2 2009 	Great Location and Fantastic View!!!!	This is our second trip to New York. We stayed in a different hotel last year and was very dissapointed!!! Upon seeing the Hilton last year..we knew we would be saying at it next time. We checked in the within 10 mins of arriving. The staff are very friendly and helpful with all our questions. Our room was great!!! We were on the 39th floor. We did not wait more then a couple of mins for a elevator!!!!( and it was the long weekend). My husband especially loved that Starbucks was across the street. We needed a cab one day...they pulll up as soon as you walk out thanks to the doormen. We went to a couple of theatre productions and found we were only a couple of blocks away from both theatres. We also ventured to Central Park and we are only three blocks from of the entrances.We are returning in August and look forward to a longer visit.	
Jun 2 2009 	Perfect Location - Could Not Ask for Better	We headed to NYC for a Girls Weekend Away at the end of May 2009. We chose to stay at the Hilton New York because I had found an amazing deal through their website...the only catch was that the room had to be prepaid and was non-refundable which was fine since we were getting the room as such a bargain rate. We drove into the city and the hotel and parking garage were very easy to find. We had called the previous day to see if you could have early check-in on the Friday that we arrived and we were granted permission to do so. We checked in at 10:30am on a Friday. We also requested late check-out on Sunday and were given that also. There is a place in the lobby area that they will watch your bags for you (kind of like a coat check) and you will pay $3.50 per article that they watch/store for you. It worked out great for us on our last day so that we could still enjoy the city and not worry about our bags and purchases in the car.The hotel was very clean and in the absolute perfect location! It is very centrally located and is within walking distance to Times Square, Central Park, 5th Avenue Shopping, Radio City Music Hall and tons of bars and restaurants. For NYC the hotel room was large and fit 4 of us very comfortably. We did have a few problems, like the air conditioner wasn't working well and the shower pressure was very light....however, we called down to the front desk and someone was there to fix it within minutes and all was well again. They do provide a hair dryer in the hotel...no need to bring your own, and it isn't a typical hotel hair dryer, it's nice and powerful. We only went to the lobby bar once and each had one drink....very expensive! $14 for a small glass of red wine (house wine too) and it just wasn't worth it. Better to walk 2 blocks towards Central Park and do the 2 for 1 martini's....yummy!! And you get two for $13! No complaints about the elevators that I had read in previous reviews. They came fast and we never really waited for them. The hotel staff were very helpful in pointing what direction to go to get where we wanted to go.All in all a great stay for 4 girls in NYC....clean, safe and great location! Could not of asked for more.	
May 31 2009 	Location Location Location!	The best thing that this Hilton has going for it is its central location. It's a short walk to Central Park, Times Square, Rockefeller Center, and the theater district, with many good eateries around. The hotel itself is huge, with a large, busy lobby. The room are standard Hilton rooms - impersonal but very clean and comfortable. We recommend eating breakfast at Astro --a busy coffeeshop on Avenue of the Americas and 55th street.	
May 28 2009 	Terrific location adequate in all other ways	We stayed at the Hilton New York for 4 nights in mid-May on HiltonHonors award points. As Hilton Gold members, we received coupons for a beverage and a pastry at the lobby Starbucks each day (though NYC is one place where we could easily have found an inexpensive and much better breakfast) and got free internet access as our &quot;MyWay&quot; benefit; the internet worked fine, though the connection was slow.Our 2 double bed room on the 36th floor was of reasonable size, clean, and well maintained except for peeling ceiling paint in the bathroom and a scruffy, banged up safe in the closet. A small, but nice touch was having 2 luggage racks. The mattresses were the low point (pun intended). We only needed 1 bed, but tried both. They were ok, but both sagged considerably on the night stand side. Another annoyance was that there was only the center night stand. I did manage to pull a little side table somewhat near to my side of the bed to hold my glasses, etc. at night. Our north-facing room had a tiny view of Central Park and an even tinier view of the Hudson River, but it was nice to see more than just tall buildings. The noise level from both inside and outside was remarkably low.The staff were courteous, though with the exception of the housekeeping staff and the person who checked us out, I wouldn't characterize them as friendly. We never waited long for help. The Hilton Club hucksters at 2 booths in the lobby were aggressive and annoying--they are best avoided.Finally, the best thing about the Hilton New York is its location, It's an easy walk to Central Park, Lincoln Center, the Empire State Building, and much more. It's also of course near Times Square, but far enough away (a plus in my book). Subway stations and bus stops are nearby. Though the hotel is large and impersonal, this really mattered little to us as our goal was to enjoy the city--the Hilton's location made it the perfect home base.	
May 25 2009 	OK for a Manhattan Hotel	We stayed in a standard two-double bed room for Memorial Day weekend. The room was on the larger size of those we've stayed in in NYC before, which was nice. The beds were comfortable. The bathroom was tiny. Overall, the room was clean. OK, so there's the good stuff.Only two sets of towels were provided, and it took forever to get extras. Despite having 4 sets hung up on the morning of day 2, when we returned in the afternoon - two sets of towels again. Another wait for additional linen.Check-in was a nightmare. The line for &quot;non- HHonors&quot; was 8 people long, and they kept letting the HHonors people have priority to ALL of the registration agents. After 40 minutes on line, we finally made it to the front - only to be told (at 2:30PM) that the room wasn't ready and to come back and stand in line AGAIN any time after 3PM. Same MO at 3PM - waiting for all the HHonors guests to get first dibs at all the registration folks. Needless to say, we joined HHonors program - think it's a plot??Overall, we guess we can get past the check-in. We might consider staying here again. The location is great.	
May 25 2009 	Beautiful Quiet Roomy	I have been here before and once again the room was great, quiet. I asked for a quiet room and non-connecting and got an end room.	
May 22 2009 	A relly nice hotel	We visited NYC for 8 days, we booked 2 room suite.This place was awesome!Evrything about our stay was great but we did have some rain.who cares , your in NYC.	
May 20 2009 	Nice place but nothing included	Just came back from New York with my girlfriend and we stayed at the Hilton. The place was very nice and the rooms were very clean. The staff were very friendly and helpful. The bed was super comfortable. The only thing I found that sucked was that nothing was really included. We asked for a water bottle in our room and they wanted $5.50 for it, you might as well go across the street to the Pharmacy and get one for $1.00. The internet is not free either but you can usually catch a wireless signal from the building across the street. The bag storage is not free either, it is roughly $3.50 per bag. I'm not sure if it is like that everywhere in New York but some places, bag storage is included in the price of the room. The location is excellent, however. you are just a few blocks from central park and just 10-15 minute walk from Times Square. You are really close to all the flagship stores on fifth avenue, so if you're going with a women, you might want to hold on to the credit cards. Also, very close is the Rockefeller center which you can pay to go up and see the view.	
May 19 2009 	Great location and very good hotel.	Stayed at this hotel in mid-May for a weekend visit to Manhattan. This was our first visit and we were looking for a hotel near Broadway and other tourist attractions. The location was perfect - took the subway from Penn Station and there is a stop about a block from the hotel. Room seemed recently renovated (king deluxe suite). Bed was comfortable and the room had a wide-screen TV and a couch. Bathroom had a full-size shower but the sink and toilet area reminded me of cruise-ship bathrooms. I stay at Hilton brand hotels often on business and found this property to be consistent with the others. Only two negatives:1. Staff selling timeshares were too aggressive even by NYC standards. They should not be allowed to shout out at guests as they walk by.2. $3.50 per bag charge to store baggage before or after checkout.	
May 18 2009 	Stay Here for Radio City Music Hall	We needed a hotel close to Radio City for the Leonard Cohen concert so I chose the Hilton for its location. The hotel is large and busy, but our floor (36) was quiet and from the window we could see a small slice of Central Park. The room was clean and attractively decorated. The bathroom, small, but was clean and the marble sparkled. There was a small patch of peeling ceiling in the bathtub/shower from the humidity. The staff we encountered were friendly. Housekeeping greeted us whenever we passed them in the hallway. The concierge helped us with a reservation at a nearby restaurant(IL Gattopardo) which we both enjoyed. Dinner was $118 for two with wine and dessert. Check in and out was quick and pleasant. We were only in the city for the show so this hotel was perfect for being close to the venue and the nearby dinning saved us time.	
May 17 2009 	Great Location Clean and a good base for touring New York from	We wanted a good hotel that we could use as a base for our recent trip to New York.We didn't want or need a 5* hotel as we would spend the days and nights out around Manhattan.The Hilton NY is in a great location 5 mins from Central Park, 15 mins from the Upper East Side and a 5min walk from the Rockerfeller Centre. So it is a good choice for a mid-town location.The room was recently refurbished and plenty big enough. I would certainly use the Hilton NY again for leisure or business.	
May 16 2009 	Great stay in New York	Stayed four nights (Wednesday-Sunday) in the New York Hilton.The hotel is very well run for such a large place (almost 1000 rooms), but it is big and it is New York, so it is a busy place.If you can get a good deal I will recommend the hotel.I ordered an e-upgrade for $30 per night for the executive level, which includes continental breakfast in the executive lounge and Internet access (only in the lounge, not in the room). I think is is worth the price.We were tourists (using the New York Pass to visit all the tourist sites – also a good deal if you plan to be doing a lot), so the location was excellent for us.If you are here on business, it is OK, just don’t expect personalized service. Especially on the weekends it is busy with tourists.The elevators were OK, but I can see if one of them fails, then it will be a major problem.All in all, a great stay for us at a reasonable price.	
May 11 2009 	Great Location..Decently Priced	Took family for a long weekend trip to NYC and as a business traveler who stays dedicated to the Hilton brand I naturally selected this hotel due to excellent location. We were very pleased with this hotel and services we received. While not a top of the line Hilton it more than makes up for with location, cleanliness and good customer service. The only negative was the &quot;hard selling&quot; the Hilton Towers sales associates put on patrons as they entered the lobby. These eager sales reps bark and sell upon entry and exit through out the lobby and it is rather irritating. I would almost been interested in listening further to the opportunity but was beyond bothered by the constant circus barking. Also they closed down the lobby bar at 10:30 pm and didn't have another one to visit in the hotel......after a long day of sightseeing and walking a tired ole dad needs a DRINK!!!!!	
May 4 2009 	Average Hilton	We stayed for one night and this is an average Hilton. Room was clean, bedding good, bathroom was OK. We got the room for $125 on Priceline, a bargain basement buy for NYC. All in all a good stay.	
May 1 2009 	Hilton New York ok if price is good	No one was available to help us with the luggage. Checked in at the Kiosk, as the line was horrible in the lobby, but our room was ready and it was only noon.The hotel was kept up nice, very large lobby area and lounge, set up nice for conventions. One of the lounges was not open the whole 5 days and it was a bit crowded in the one that was. Our room clean, but had a strange smell in it when we arrived, we just opened the windows, who knows, we never noticed it again upon returning from or day trips. Room was large enough for NYC room size, but the bathroom was rather small. Shower was nice too. All in all Room was acceptable.I have had free internet in other Hilton hotels since I have a honors number, but here it was $18.95 a day in your room. And they could not get it to work for me, and it did not seem like they cared to, so they did let me use the business center once for no charge. A woman in the business center said they had been having lots of trouble lately, but no hotel staff told me that. The business center is $22 a day if you don't have your own computer along. We never hooked up to the internet, which I missed.I called the concierge's from the room and was put on hold a very long time, so I just walked down there, as I figured they were busy, When I go there there was no line and they were just standing there.The concierge's were helpful with directions, but not much help in suggesting things when ask about places to eat near by. The hotel restaurant only had a buffet for breakfast. No cooked to order.The maids were very nice and seemed to be the same each day. They did a good job too.When we checked out and ask to check our bags for 5 hours we were told it was $3.50 a bag. I travel to hotels at least once a month all over and have never had to pay for that service at a hotel I stayed at. I was floored. I realize it is New York, but never before even in New York. That really turned me off. Such a small thing, for a high priced place.convention business type hotelI	
Apr 30 2009 	Over Rated	The room was clean, as usual for the Hilton Chain BUT there was absolutely no sign of a coffe maker. If you wanted coffee downstairs, it cost 7.00 for one cup. For room service coffee, it was 12.00. We walked down the block to McDonalds for our morning fix.	
Apr 28 2009 	Great Stay !	My husband &amp; I stayed at the Hilton for 3 nights in April and wouldn't hesitiate to use this hotel again. This was our second trip to New York.Our room was ready for us &amp; was a good size, well appointed &amp; very clean. The ironing board was missing but one was brought up straight away on request. The location is great. It's an easy walk to Broadway, Central Park or major shopping streets !! There's abrilliant deli across the street ( if you go out the side door where the garage is) It was used by a good mix of tourists &amp; New Yorkers for breakfast. I loved it. Although the hotel was very busy all the time I always felt safe. They have good security late at night. All in all a very good base for sightseeing, shopping or theatre-going in New York. I'd recommend it.	
Apr 25 2009 	Nice Hotel But Lots of Extra Charges	We had a renovated room which was spacious, nicely decorated, and very clean. Beds were extremely comfortable, bath was small but clean with tile bath and granite counter top. As noted elsewhere, the location is terrific. Only complaint was all the extra charges, we definitely felt like we were being nickeled and dimed at every turn. Almost $50 for parking per day, $50 to use the gym (!), $3.50 per bag to check your bags - and coats/jackets each count as a bag. We did encounter some delays for elevator, but not nearly as long as other people have noted here - perhaps hotel was not full when we visited. Make sure you mention that you're Hilton Honors when making a reservation and ask for a renovated room. We found the lobby to be odd, with almost no seating except for a couple of circular seating areas around the busy registration area. For such a huge hotel, there was no comfortable area to sit, and no areas that were laid out for people wanting to have a conversation, or to read or wait to meet others. Almost like lobby was planned to force people to use lounge area if they want to sit or meet people, and feel compelled to purchase drinks. Would still recommend this hotel if you could reserve a renovated room. Just be aware that some perks that are offered for free at other hotels will cost you here.	
Apr 24 2009 	Don't waste your money	i got a great deal on this hotel with hotels.com. Hotel lovely on the outside, porters so helpful in bringing you to your room.(suppose they're after their tip)Once your in, it appears your forgotten about.There was a minibar, located in the room, behind a cupboard door. To open the cupboard door, you had to first break off a plastic tab and then insert the key that reception has given you. Of course, we all wanted to have a peek and looked inside but didn't take anything.Closed the door and then locked it. We then went out for a stroll and a sight of the city that never sleeps, and a bite to eat.On return I noticed that a NEW plastic tab, had been put on the cupboard door. This could have only been put on by a member of staff and although I understand its their hotel, I felt as if my privacy had been invaded as I wasn't expecting anyone in to the hotel room. Why would I expect anyone in the room, I'd just checked in!!! I hadn't requested anything from the hotel either. Sounds funny, but I'm sure you know what I mean.Secondly a big complaint is the lifts......only 3 elevators to serve the floors 24-34 and the porters use the same lifts with all the luggage. Always waiting for at least 5 mins for the lifts. No aircon appeared to be working in the hotel either as was always so hot waiting. The lowest I could set the temperature to in the room was 75F. Couldn't adjust this.One evening, my 9 year old son was unwell. We decided to rush back to the hotel as he felt he was going to throw up. Guess what??? We were waiting for the lift for a good 5 mins and my poor little lad, threw up on the floor just outside the lifts on the ground floor. My hubby called a member of staff and all he could do was 'roll his eyes to heaven' when he saw what happened. Line to deal with Reception was very long and only ever saw 2 receptionists. More waiting in line. No apology from receptionist about the wait.BIG Complaint was the cost of services within the hotel$3.50 per item to hold a bag once you've checked out$5.00 for 3 slices of toast and on top of that there is a 'room service tax' or something similar for room service delivery of €4.50!!!Salad was something like €18.00Even the Starbucks downstairs within the hotel charged $1 more for a cup of Latte than the one across the road. MadOne thing I will say, they're beds were fantastic. So comfortable. Doesn't make up for very poor shoddy service. I had just come from 10 nights at the Marriott in Orlando, and no comparrison to the service. Unfortunately the Marriott in New York was full.Ridiculous prices. I know its the Hilton, but unfortunately I'll never stay there again, due to the poor customer service, apparent lack of friendly and courteous staff.	
Apr 23 2009 	Great hotel; Awesome location	From the moment we arrived the service was excellent. Check-in took only minutes and the hotel staff members were helpful and polite. The hotel lobby is spacious and beautiful. Our rooms were beautifully decorated and perfectly clean. The hotel was very quiet and the beds were comfortable. There is no better location in the city. Everything is within walking distance...Times Square, theaters, 30Rock, Central Park and shopping. The breakfast buffet was great especially for our kids. We will defintely stay at this hotel on our next trip.	
Apr 22 2009 	The name Hilton should be enough - and it is.	We got a good offer, which made it worth the money. The hotel was crowded due to Easter celebrations and the waiting time at the elevator was ridiculous. Except for that, we enjoyed everything.	
Apr 22 2009 	Really enjoyed our stay	After a lot of research we eventually selected the Hilton. Spent four nights in a suite, then moved to double rooms for two nights as neither room type was available for the whole stay. I emailed the hotel in advance to request renovated rooms. However.....none of the suites have been renovated - last upgraded 5 years ago. The Hilton offered to upgrade our standard and therefore not renovated rooms for the last two nights to deluxe when I pointed out that their website said that the suites were renovated . Renovated rooms are classed as deluxe and charged at a higher rate.First impressions when walking down the corridor to our 43rd floor suite were not great. It was just all a bit shabby - not dirty or dusty - just well worn and tired. The suite was large though. Two double beds in a large room, double sofa bed in the lounge with plenty of room for a rollaway bed if required. There was a huge walk in wardrobe to store luggage and hang clothes. The bathroom was small but extremely clean, tiles were good, grouting looked new. For two teenagers and two adults, the space was great. Would have been very happy to stay in the suite rather than moving to the deluxe rooms but the suites were full. The Hilton staff (with the exception of the dour faced staff in the Exec lounge) were all fantastic and made our move very easy - allowing us to move from the suite by 6pm so we did not compromise our day. The Deluxe rooms were very good - certainly 4 star. Again the bathrooms were small but well equipped and immaculately clean. As for the location of the Hotel, it can't be beaten.....5 minutes walk to Radio City and the Rockerfeller Center, 10 minutes walk to Times Square, 5 minutes to Fifth Avenue. Would I stay at the Hilton again ....DEFINITELY. Would I recommend it ...DEFINITELY....just don't expect grand corridors or modern fittings in the standard rooms ...they are very clean 3 star offerings. If you want to be sure to get a modern room with a flatscreen TV and black granite surfaces, then go for the deluxe rooms.	
Apr 21 2009 	Charming wonderful first stay in the big apple	After the very long flight we were delighted by this lovely hotel.The location was prime (5 minutes walk from Central Park, Times Sq., Rockefeller Center and the famous Burger Joint). The staff was friendly and helpful (especially the bellman), the room cozy and nice, bed comfortable, closet space for our stuff, clean and tidy. And there are Starbucks and Pret just outside the hotel (good source for breakfast).Also - we had a lovely New York view from out window (not facing a brick wall...).Got this hotel through Priceline, lower price than Stay Hotel and much better!Would definitely stay there again.	
Apr 20 2009 	Great Location Comfortable Room	We spent 7 nights starting Easter weekend and were quite satisfied with the Hilton. We were given a recently remodeled room on a high floor reserved for Hilton Honors members so that may have made a difference.The hotel delivered on my most important requirements: it was quiet, the bed was comfortable, and the location is great. The air conditioning system worked very well. On the downside, both the hotel reception level elevator lobbies and the number of elevators are woefully inadequate for the size of the hotel. At busy times every day it was not unusual for every elevator that stops at your floor to be crammed with people. We sometimes had to wait for the fourth or fifth elevator before there was one with room to board.The satellite TV system was glitchy and might or might not be receiving the network you'd like to see at any given moment. The bathroom was very small, especially compared to the relatively spacious room. It was clear at some point the tub had been removed and instead there was a shower big enough for four. I would have preferred more bathroom floor space to all that shower floor space.But those were small problems offset by the very convenient subway stations (57th St. at 6th Ave. and Rockefeller Center), a short walk to Central Park, Times Square, many theaters, and 5th Avenue shopping. We never ate at the hotel so I can't comment on that.	
Apr 20 2009 	good choice for business	The Hilton NY is well located for most business appointments in midtown NY. My room was updated and comfortable - nothing special but no complaints either. I got a fantastic price (under $200) so for the money it was terrific. Nice fitness center. The only downside is that it was extremely crowded, which caused VERY long waits for elevator, front desk, concierge, etc. If you are a low maintenance traveler, this is a fine choice. If you expect personalized service, look elsewhere.	
