	Nice Hotel...Great Location	Stayed here for my 40th B-Day. Got Studio King Suite for great rate. Very nice and big room, hardwood floors and balcony. Comfortable bed and great shower pressure. 2 elevators in hotel, one was big and the other was barely enough for 2 people with luggage. Bellman and Front desk staff were great and helpfull. Food, Starbucks, train, Whole Foods, Central Park all within steps of hotel. Overall this is great hotel and plan on staying here again in the future.	
Feb 3 2009 	Mixed	I have to differ with most of the reviews I've read. Maybe it's a generation thing. Yes, the staff are fine: very helpful. And the place is clean. But: why is it that so many &quot;4 star&quot; hotels in NYC give you less than a Holiday Inn and charge you much more money? No coffee in the room. No free WiFi. No ironing board/iron. Three big marks against the place in my book. And the NYC-tiny rooms. Not as bad as the Hudson down the street, but still: no place to sit and relax, read a book, etc. And the decor. Yikes! Dark blue hallways; elevator walls covered in faux black fur with industrial metal accents. I felt like I was entering a dungeon. But it's a fabulous location. The bed was OK, the soaps were nice, and it was quiet. But then again, I booked with Priceline, so my window faced an brick wall, not the street.	
Feb 2 2009	Rip off rate for international phone calls! Don't stay here!	We stayed at this hotel for 2 weeks and we are from Hong Kong. So making a few international phone calls back home was necessary. After staying at the hotel for a few days and making just a few phone calls (literally less than 5 or 6 calls got thru the line and none of our calls were more than 10 minutes each), I asked the concierge how much our phone bill was. Guess what? 6 Columbus charged me more than US$500+ for just a few phone calls!!! They explained that international phone calls cost US$10 per minute. This rate was absolutely ridiculous and the manager blamed us by saying that why didn't we check out the rate in the little book stored in our desk b4 we make the calls. After speaking the manager, we checked out the booklet and it actually didn't set out the rate at all but just mentioned that guests should ask the concierge for the exact rate for making international phone calls. It just didn't make sense to us at all. How could you justify charging the guest US$10 per minute? My 5 minute phone call to a friend asking a few questions cost me US$50+!!!! Completely ridiculous. WE WOULD NOT RECOMMEND ANY INTERNATIONAL GUEST TO STAY AT 6 COLUMBUS. It's a complete rip off, given that the economy is so poor in the US. Such ridiculous charging rate is totally unacceptable. And the worse thing was, they refuse to do anything about it at all!!!!!!!!! Our original impression of the hotel was actually pretty good, given the location and the hotel rate and all that. But with the rip off phone rates, i guess that's how the hotels make profit!!! We are going to tell all our friends NOT to stay here if anyone goes to NYC. Completely disappointed!!!!!!	
Jan 23 2009 	Beauty Brains and Brawn. Must Read review!	My Monday (MLK Holiday) overnight accommodations at 6 Columbus far exceeded my expectations. I was greeted by the Doorman as I entered and again by the host of Blue Ribbon Sushi &amp; Grill. The staff at the front desk were delightful, especially Adrianna! My reservation for a Pod room was gleefully upgraded to a suite, room 103 on the tenth floor. The lobby is small but neatly furnished with a long modern sofa and bright round club chairs. Neat artist’s prints hung on the wall, low lighting down the hallway of the elevators. The elevators are modern. I stepped into a blue hallway with Thompson Hotels signature carpet. I felt like I was in a residential apartment building with my room number glowing bright. My room key was tucked into a designer 6 Columbus packet.I entered into an oversized, modern, thoughtfully designed room. Large platform bed, Frette Linens and robe, 2 modern side chairs and table and flat screen television and black and white cabinet with mini bar, Dean &amp; Deluca snack tray and available shag kit.Luxurious drapes hide French doors which lead to a giant balcony; behind frosted doors were a large walk in closet and gorgeous bathroom. Another window looking towards 58th street was tucked in an angled corner, beautifully shaded silver floor lamp.No carpet! All hardwood floors and allergy-free including the teak headboard. Wall pockets containing glossy design and fashion magazines. 2 bendable reading lamps.A blue throw, white duvet, striped pillow and drapes were all made of the finest quality luxury material. The bathroom was a standout with navy vertical subway tiles, under mounted sink, private loo area, free standing two person shower, large deep soaking tub with its own shower. High end bath toiletries from Kiehl’s, thoughtful extras like cotton balls and swabs, fluffy white towels and a giant round magnifying mirror under lit in blue. Located in the lobby is Blue Ribbon Sushi &amp; Grill, always open extra late and welcoming to my late arrival. Located directly across the street from 6 Columbus is the Time Warner Center, a luxury shopping venue. Close to subways, Columbus Circle and Central Park made 6 Columbus a Thompson Hotel to be envied by all Manhattan boutique Hotels.Yes, I will stay there again. Thank you 6 Columbus.	
Jan 21 2009 	Amazing Stay (And yes the doormen are hot!)	I booked the hotel through Quickbook at a rate of $127 for Fri/Sat and $90 for Sun. There were no problems with the booking, and I would throughly recommend Quikbook as a third party agent.Upon checkin I was given a free upgrade from standard queen to supeior (or deluxe - not sure which it is). The doormen make you feel very special, and could not do more to help. (As others have said they are all pretty hot too!!) :) I didn't really find the noise of the aircon too loud, the view was of some non-descript building and some shafts, but that didn't bother me. The only minor negatives I can think of (and I'm having to think hard) were that the ipod docking station wasn't dusted down and the bed frame sticks out a little, so I banged my leg a few times! For the rate I got, these are such small things that it really means nothing compared to the fantastic service, and great clean rooms at the 6 Columbus. Location, quality and genuine warmth and hospitality from the staff here makes this place exactly what it is: a PERFECT little hotel for any traveller to New York City.	
Jan 14 2009	Terrific stay at 6 Columbus	My friend and I got an amazing rate at 6 Columbus through Quikbook for January 9-12 ($127 for Fri-Sat, $90 for Sunday). We had an excellent stay from the moment we walked through the doors and the very friendly doorman took our bags and welcomed us. All the staff were kind and helpful, providing excellent service.Without asking, our room was upgraded free of charge to a queen deluxe with two beds, which was perfect. The room was spotless, and housekeeping brought us a second robe and non-feather pillows for my friend, who is allergic. The bed platforms are a bit of a nuisance, but not a big deal. Our biggest complaint was probably that the ice bucket, while very stylish, was quite shallow and not really functional. Clearly I'm really nitpicking here!I've seen comments complaining about the loud heating/air system, and it is indeed loud. However, if you're like me and my friend and you need white noise to sleep, it's perfect. The beds are also very, very comfortable and we both slept like babies.The hotel location is perfect. Right by the subway, a Subway sandwich shop, Starbucks, and a Whole Foods in the Time Warner Center across the street. Easy walk to Central Park and the theatre district, and when we were in a rush to make a show, the cab down cost $4 and took five minutes. While I wouldn't want to spend $500+ a night at 6 Columbus (or anywhere, for that matter), I definitely recommend the hotel. We had a great stay, and even received a hug from the doorman when we left. It was a terrific weekend.	
Jan 6 2009 	Exceptional Staff - Wonderful PLace	Let's start with the only &quot;negative&quot;. My room was small. But everything needed was provided in a well-designed and aesthetically pleasing space. The bed, linens and towels added to a feeling of luxury and style.The staff was the real standout in an otherwise great experience. Every single individual working at the hotel took the time to greet me. Anyone that I addressed with a request, question or simply a &quot;hello&quot; responded warmly and wholeheartedly. Their friendliness (which was never anything but respectful) created the sense of having a home base in NYC and really added to the pleasure of my trip.	
Jan 5 2009 	Very friendly and stylish hotel in great location!	The best thing by far about 6 Columbus is the location. You are within walking distance to both the theater district and Lincoln Center, and you are close to many fine restaurants. The Columbus Circle subway stop is literally right across the street.The hotel itself is very modern, and although the lighting and decor were not quite to my taste, I must say that the staff was the friendliest I've encountered at a hotel in a long time. The room, while small, was spotless. Our only complaint would be that the heater seemed to just blow cold air around the room, so we ended up just turning it off and asking for another duvet. Actually, even with the heat off the room wasn't really all that cold.The heated bathroom floor was a really neat feature.We got a great rate through the hotel website, and we'd definitely recommend this hotel to anyone who's planning on attending a show or concert and doesn't need a whole lot of space.	
Jan 4 2009 	Great Hotel	We stayed in the 6 Columbus Hotel for 5 nights in March 2008 for St Patrick's weekend. Overall it's a great hotel which I would recommend. The hotel is located opposite the Time Warner building just at the bottom of Central Park, we walked nearly everywhere, it was in such a convenienct location. The staff were very friendly and helpful, check in was fine, our room wasn't ready, but we were offered complimentary drinks in the hotel bar while we waited.We had booked a 'Pod' room, however on checking in we were advised we had been upgraded to the next biggest room. Accommodation was lovely, very modern, with plasma TV, ipod docking station and minibar. We got a complimentary paper everyday and the room was cleaned daily also. We didn't eat at all in the hotel, but the restaurant always looked busy and the hotel has a nice little bar for those apres shopping drinks!!All in all I would recommend this hotel. The rooms are quite small, but hey, this is New York city, you're there to shop and to party, not sit in your room all day. Special mention to all the gang next door in The Coliseum pub, hi guys!!	
Jan 4 2009 	Practically Perfect	Spent one night with family. We had two rooms. Both were upgraded, which gave us extra space (and room to hang out together), and fantastic value. Loved the style of the decor. The staff was very friendly and helpful, the sheets were TERRIFIC, and rooms were quiet (surprising to the two of us were are ex-Manhattanites!), etc. Our only complaint, if we were to have one, was that the sofabed in one of the rooms wasn't made up, which we didn't discover until we needed it (late), which entailed a short wait, improvised bedding, and making it up ourselves. (True, the &quot;turn-down&quot; staff had been by at about 6:00, but at that point, we were using the sofa as a sofa!) If you want to be near the Upper West Side and/or Theatre District and are looking for a luxurious, stylish place to stay, you'll be happy.	
Dec 5 2008 	Great New York hotel!	I have nothing but great things to say about this hotel! It is BEAUTIFUL! The staff are so friendly! We arrived at this hotel at 7 in the morning from an overseas flight, we were not expecting to check in to our room until at least noon, but we thought we would try anyways. Upon arrival...we found that the room we had booked was not available, but the receptionist offered to upgrade us to a junior suite(studio suite?) for an additional $100. I was very glad we did! This room was huge and gorgeous! We had a 600 square foot balcony, no breathtaking view, but what a surprise! The concierge was more than willing to reccommend places for dinner, and get our reservations for us for shows and dinner, as well as call towncars etc! A little tip goes a long way with these people, we even recieved a &quot;WOW!&quot; from one of the guys! After making a complete mess of our room before we went out to dinner, the housekeeping staff came in and reorganized it all! I was not expecting this, as it was 5 pm, and was actually a little bit embarassed by the state of our room! Just one of the things that added to our amazing stay at this hotel!I would definitely stay at this hotel again in a heartbeat!	
Nov 29 2008 	Great find in NYC	We just got back from an incredible trip to New York City and Philadelphia. We stayed 1 night at 6 Columbus in NYC and it couldn't have been better. The location is great if you don't want to be at Times Square and you don't want to go as far as the &quot;Upper West Side&quot;....this hotel is located in the middle of them. It is very close to the Trump and Mandarin Hotels. It is next door to a Starbucks &amp; across from large grocery store (Whole Foods?).Now for the hotel itself. Check in took only seconds. The hotel features a very cool decor with a great city vibe. We went for the cheap seats and got a Pod Room - which is a full size bed. The room is tiny but it is flawlessly designed to maximize space. Do be careful not to hit your leg on the bed corners ~ can be quite painful :) The bed was very comfortable and had crisp white bedding. I must admit, we are not a fan of down type pillows. There was a stocked refreshment case, but we did not use it. The flat panel t.v. was quite nice . The view from our window, well we had a lovely view of nothing, but we were not in NYC to look out our window. Now for the bathroom....I have to say I now want rip out my own bath and copy the one from 6 Columbus! The floor is heated ...don't underestimate how incredible this feature is. NYC at Thanksgiving is VERY cold and this floor feels fabulous on your frozen toes. There is a very cool tiled shower (no tub) and great bath products. They even thought to give you Q-tips and Cotton balls....a lovely touch. The bathroom sink is really beautiful too with a cool gooseneck style faucet. The towels smell great too ~ sound weird I know, but the towels aren't perfumey, they just have a nice fresh smell to them ~ very pleasant.The hotel staff was excellent and they had our luggage loaded in to a cab before we ever blinked...they make everything look easy here.I would highly recommend giving this hotel a try. If you are ever planning to visit the Macy's parade then this location would be terrific. You won't see it from your window, but you'll have total access in just steps....without the chaos of Times Square.	
Nov 24 2008 	Small chic hotel with excellent customer service	Recently returned from a 2 night stay at 6 Columbus. Very nice, small chic hotel in a great location central to everything. Stayed in a King Deluxe room with a very comfortable bed, &quot;cool&quot; decor with a nice flat screen tv on the wall. The entire hotel including the rooms are dimly lit which gave it a hip, night club-like atmosphere. The customer service was outstanding from start to finish. The doormen always welcomed you with a pleasant greeting, front desk staff were very friendly and courteous and check in and check out was fast and smooth. The front desk and doormen/staff communicate with wireless devices. As soon as I got there by cab the doorman opened the taxi door and asked me my name and quickly alerted the front desk via the device that I had arrived and they were totally prepared for me by the time I reached them. They even had the doormen have a cab waiting for me at the precise time I checked out and walked out the front door. Very well organized operation. The only thing I didn't like was the shower. The tile wasn't that clean and the shower head didn't work that well - no tub in the room. There was no iron in the room either. Overall, I reccommend this hotel for young singles who are looking for a cool, safe place to stay at reasonable rates.	
Nov 21 2008 	Stayed at this hotel in Sept 2008. Have visited NYC several times and have sta	Out of all the hotels we have stayed in, THIS one had the very be st location. Wonderful staff, quiet, nice bar-just great for 2 people!!! Subway, Whole Foods(great for carry out to hotel after a long day with a glass of wine)Time Warner Buidling with great shops and places to dine), CVS a couple of doors down for those items you forgot to bring, PLUS a Starbucks OR another(less expensive()coffee shop. Zabars is up the street, Central Park is across the street......just a great quiet oasis in a busycity. All hotels have a negative but this one has more +s than -s!Modern and clean, you feel as though you are in NYC. My friend and I are in our late 50s and we were very comfortable with this hotel Could not beat the price	
Nov 16 2008 	Small but lovely	My wife and I had a layover in NYC and decided to spend the night. The hotels was very clean and modern. All the people at front desk where very polite, friendly and helpful. I love the room. Yes it is very small but very well done. I've seen hotel try to cram too much into similar sized room but this is perfect. I will definetly stay there again.	
Nov 16 2008 	Great location otherwise disappointing	We have just returned from 3 nights booked directly via hotel website which states Roof Top terrace, unfortunately, the terrace is closed until next year and consequently we found it difficult to find a seat at the already small bar area.The reception staff, housekeeping and door staff were friendly and helpful, although one couldn't help feeling they were looking for a tip.The price of $480 for a double room became $540 after 4 different taxes, despite luxurious decor, the view from the window of the building shaft led us to conclude this was an extortionate price and did not represent value for money.	
Nov 9 2008 	Small accomodations but overall nice	Awesome location for this modern, boutique hotel. Right across the street from Time Warner Center. The staff members at this hotel were fantastic - from the doormen, to the front desk - all seemed to work on the guest's behalf almost effortlessly. The room (superior queen) was fine for 2 adults but a bit small. The bathroom was modern and nice. We were on the 6th floor and our view was of the HVAC system - not surprising for NYC.The hotel was perfect for us. I would certainly stay here again and would highly recommend to my friends. I wouldn't recommend to someone expecting a large, full service (restaurants, gym, etc) hotel.	
Nov 8 2008 	Dark interier over rated hotel	A boutique hotel that tries way to hard. Dark over all feel. Cow skin panels in elevators and downstairs. Room 86 was $150. more then room 26, exactly the same size. Both have a view of the alley! If it had a park view maybe, but for the money it was riducuously overpriced. The elevator and our bathroom were sprayed many times with some sort of bug spray. It was disgusting! Truly wished we had stayed somewhere else.	
Nov 4 2008 	NIce Change of Pace	I usually stay at Marriott or other chain hotels, pricelined this one and wasnt sure what i was goin to get. I booked the hotel thru Priceline for $120/night. Hoping to get an upgrade. Standard room is a full size bed, 175sq ft. room. I called them up and they upgrade me for $60 more to a King Superior, usually $350/nite.The hotel has a great staff and quite accomodating. The location is not on Columbus Circle, but on 58th st. You walk out the door and Columbus Circle is less than a minute walk across the street. Overall it is a nice place, rooms little small, but you pay for location.	
Oct 23 2008 	Would definitely stay here again	We have just returned from our stay at 6 Columbus and our experience was very different to that of some of the other guests. We booked a Queen room for a reduced rate via the Quikbook website. The Quikbook site clearly stated that the room was for a maximum of 2 people. Upon arrival, it was clear that booking via Quikbook meant that you were given the smallest rooms in the hotel. There was no way that 2 people could stay comfortably in this Queen room.There was only 1 single wardrobe, no natural light, hardly any floor space around the bed and nowhere to store our 2 large suitcases. I spoke to Lula on the front desk and she went out of her way to ensure that we were happy with our accommodation. She showed me 2 other rooms which were much more suitable for couples and managed to offer us a larger Queen room at an extremely reasonable upgrade price. Throughout our stay, Lula made a point of checking that everything was ok with our room. With regards to the rest of the hotel we really couldn't fault it. All of the staff were extremely friendly particularly the doormen. We didn't try the restaurant but we did drink at the bar a few times and they even served sushi to us at the bar. My only gripe would be that the bar area is quite small with limited seating. The room we actually stayed in was a great size. The double wardrobe was more than adequate and there were large drawers under the bed also. The ipod docking station was a nice touch as were the Khiels toiletries in the bathroom and the free daily newspapers. The room temperature control took some getting used to but overall it served it's purpose and the underfloor heating in the bathroom was very welcme after a hard day's sightseeing. The bed was also very comfortable.Housekeeping did a great job at keeping the room immaculate and also turned down the bed every night leaving little treats on the duvet.In addition to the great service and comfortable room, the hotel is in the most amazing location. The Time Warner Centre is literally across the road which houses a large Whole Foods market and lots of nice restaurants. Starbucks is next door and there were several places to get a great breakfast just up the street. Columbus Circle was right on the doorstep including the best entrance to Central Park. Overall we really enjoyed our stay at 6 Columbus and we would definitely stay here again on our next visit to New York.	
Oct 23 2008 	Fabulous Location	We stay in NYC about 6 times a year in the off season when we can find decent rates. We have stayed in many boutique hotels including Hotel Giraffe, The Muse and The Benjamin. We booked the smaller king room at 6 Columbus and it was small but how much time do you stay in the room? It was clean and the bathroom was clean and staff was great. We ask for a quiet room and it was very quiet. The hotel was great and you can't beat the location. There is no roof top bar. I read about that either on quickbook or their own site but when we went to locate it all we found was dirty laundry. There is a huge whole foods across the street to peruse including lots of food to go. We walked Central Park twice which is right across the street and we could walk to our Broadway show. We booked directly with the hotel and the same day found a considerable lower rate on quickbook. I called the hotel and they matched the rate. We will definitely stay here again.	
Oct 22 2008 	Great Little Spot	Stayed at 6 Columbus for 5 nights in late September and had a wonderful time!!! I'm not terribly picky, though, and mostly look for a place that's safe and clean and 6 Columbus definitely delivers in both respects!I got a really great deal thru quikbook for a Pod room (full bed) and since I was by myself, that was perfect. I will say, however, that if I had paid the hotel's asking price of $405/night, I would have expected more. But for $180/night, it was an outstanding value!!!Yes, the room is small. But honestly, if you're in NY for the room, then you do need to go elsewhere. The bed was incredibly comfortable, linens clean and soft, and housekeeping did a wonderful job every day. The bathroom was well-appointed, though the tub was a bit small if you actually wanted to take a bath--which I refuse to do at hotels anyway. Heated floor tiles in the bathroom definitely a plus!!! Kiehl's toiletries were a wonderful touch and there was also q-tips and cotton balls in the bathroom--simple but very nice touch!1 thing I did notice missing was a coffee pot...but there is a Starbucks next door to the hotel, so it really didn't matter that much to me. The view from room 27 was terrible, as most have described, to some kind of shaft in between buildings. But you know what? I was NEVER in my room during the day looking out the window and at night the blackout drapes were closed so why do I care what the view was? So it all depends on you! After my rave reviews, my coworker stayed at 6 Columbus the very next weekend and loved it as much as I did! Oh and the umbrella they provide for you to use during your stay came in handy as it rained 4 out of the 6 days I was in NY!!! :-)Will definitely return if the price is right!	
Oct 15 2008 	Honestly Not Worth It . . .	Alright, first the positives - the location is excellent (so close to Central Park, the Upper West Side, etc.), the hotel is clean and kept up nicely, and staff members are fairly friendly . . .. . . but for $250/night - even if we are talking about Manhattan - one expects more than a mere 75 square feet or so (a so-called &quot;Pod Room&quot;), with a view of a pigeon-occupied tower of space (about six feet by six feet), a tiny bathroom (admittedly with a heated floor, a nice touch), essentially upscale dorm-style furniture, and lousy temperature control.All things considered, experience suggests that one would do a lot better three times out of four by going on Priceline.com or the like, and putting in $250/night and 3.5 stars. Again, even for Manhattan, this didn't represent good value for money.	
Oct 12 2008 	Great if you like bugs and bird excrement - see the pictures	God help you if you booked via a booking channel that doesn't specify the room type, like priceline.Lobby nice, doormen always exceptional. Room 49: nightmare. It's tiny, but that's not the issue - I've stayed in the Hudson's even tinier rooms happily. It's not pleasant to have nowhere to open your suitcase except on the bed, but that's not the big problem here.The window in the room overlooks a waste disposal pipe in an internal airshaft, with a view across to adjacent rooms. That is, if you can see through the window given how much encrusted bird excrement cakes it - check out the photo.Of all the hotels I've ever stayed in, this is I think the most depressing layout. I couldn't deal with that aspect of the room, so I returned to the front desk. Lula on front desk told me I could pay almost $600 to upgrade to a better room - still nothing special, not up to an average Marriott or Hyatt standard - and she literally walked away when I complained. The general manager Barbara Lopez left notes every night asking to be contacted if anything could improve my stay, but she never replied to my email.The bathroom had silverfish bugs - check out the attached photo. I didn't bother complaining at the time because of my horrible prior experiences with Lula and Barbara, but I showed them these photos upon checkout and they didn't care or offer me any sort of amenity, not even a discount on my $20 minibar.This stay was approximately halfway through a 120-night vacation at 4* hotels throughout the Americas. It was easily in the bottom 10% of my hotel stays. I've stayed in NYC hotels around 40 times this decade, and this was easily the worst experience of the lot.I was so looking forward to my first stay in a Thompson hotel. I'm now about as anti the brand as it is possible to be.Avoid this hotel unless you are paying for a specific room type - but if you're gonna overpaying that much, just choose a better hotel.	
Oct 5 2008 	What a shame the designer of this place couldn't get quieter airconditioners	Funky little hotel in a great central location on Manhattan Island but our stay was ruined by a noisy air conditioner outside our window that the staff seemed either unable or unwilling to fix for the three nights we were there.Would have been nice if they'd offered to move us to another room, but no, we even had to get the bellhop to run down the street and get ear plugs so we could sleep.Would only stay here again if the room did not have an airconditioner outside the window.There are better hotels in New York for the price.	
Sep 21 2008 	Great Staff/ Great Location	Unfortunately, we had to go to NYC last minute for a funeral. The staff was incredibly caring, especially Lula. We had four separate rooms which were all lovely. The sheets are amazingly soft. The decor is fabulous...watch out for the corners of the platform beds!Plenty of closet and drawer space and the water pressure in the shower was fantastic, as were the toiletries of the hotel. Starbucks is just next door so a Latte is never far away. Whole Foods is in a great mall across the street. Everything we needed was within walking distance, including Central Park. All in all, its a bargain. I would highly recommend 6 Columbus.	
Sep 10 2008 	I totally liked it!!	This is definitely the place to stay if you're aim is to explore Central Park and hit the museums! I got a really good deal for around US $225 per night and it's worth it. Clean, modern, great amenities and amazing sheets!! Central Park is right across road and all the bright lights of Broadway, Times Square and Madison Square Garden are all within walking distance. This truly is a gem located in mid-town for the reasonable price you pay.	
Aug 30 2008 	Nice Location...	We booked a Queen Deluxe room on Quikbook.com for $250. We were in room 95. The room was bigger than I expected it would be. The bed was perfect for 2....with more than enough room.	
Aug 25 2008 	Finally a clean bathroom and room!	My mom and I stayed at this small boutique hotel right on Columbus Circle. This hotel is small, modern, and had a wonderful hotel staff. I had to upgrade to a bigger room and they were very accomodating. The bathrooms and the room itself was clean. It actually had this baby rose aroma smell that I just could not figure out what it was. The beds were clean and soft. I don't suggest large parties to stay here. The rooms are not that large, we came here to do some shopping and after 2 days it was getting pretty crowded. The location is pretty convenient. There is a mini mall and subway right across the street in the CNN building. Pinkberry is right next door for some yummy yogurt. And a block down is 9 Ave where there are tons of restaurants to choose from!	
Aug 24 2008	Small but well designed rooms couldn't be more convenient	I would recommend this hotel for anyone looking for a simple, yet quality stay at a hotel in NY for a reasonable price. The decor is modern and pleasing. The rooms are indeed small but well designed with hidden storage spaces, like drawers under the bed. The Fresh bath products are a real plus as is the Blue Ribbon restaurant in the lobby. The location across the street from the Time Warner building and the Columbus Circle subway station is also super convenient. My only complaint - and the reason why I didn't give this place higher marks - was the full sized bed, which was a bit cramped for two adults. I booked the room through Priceline at a great price and specified two people. I'm not sure if it's normal for the hotel to book two people to a room with a full sized bed, but I'd recommend calling the hotel to make sure.	
Aug 21 2008 	High-price...underwhelming.	After searching for a hotel with a good location in Manhattan for a &quot;reasonable&quot; price I booked at 6 Columbus. Most prices I had seen were upwards of 500/night and they had rooms at $345. I have to say I left feeling really underwhelmed and disappointed for the money I spent. Positives: 1. LOCATION, LOCATION, LOCATION. You really are paying here for location. Subway (59th street/columbus circle) right across the street, QNRW (7th Ave) less than 4 blocks away, Less than 1 block from Time Warner Center/Central Park. 2. Cleanliness--housekeeping service was outstanding. Drawbacks/Negatives: 1. LOUD doors that seemed to slam frequently after 1100pm. 2. Many of the staff were nice but it seemed like many were trying so hard to be friendly and helpful that at times I wasn't sure anyone knew what exactly they were doing. 3. SMALL rooms. I upgraded to a queen deluxe (having booked a superior) and it was tiny...with NO view. 4. LOUD water pipes. Anytime anyone used the water to shower the pipes were super loud. 5. LOUD A/C blower...I couldn't hear the TV when the A/C blower was going and especially not when A/C and water pipes were in use next door. 6. LOUD hum from pipes/fans outside window...if you are not lucky enough to get a street/park facing view and are stuck in the back you look out onto pipes from the adjoining buildings.Unless their prices come down or I could get a &quot;deal&quot;--less than $200 per night, I don't think I would stay here again.	
Aug 14 2008	Bad service	The clerk at the counter refused to check us in because the guest who had occupied the room wanted to extend his stay for another night. They could not offer us another room (fully booked) instead we should stay at the Hudson hotel a hundred yards down the road for one night and come back the next day for the second night. We refused and asked for the manager in charge to complain about this unacceptable offer, but the clerk was the manager already. The manager emphasized that the Hudson had the same standard (that was a lie, as we found out later) and we could stay there for two nights. We did not like to spoil our holiday and accepted the change.	
Aug 8 2008 	Nice hotel great location worth a stay	Stayed at 6 Columbus Aug 1-4 after getting what was apparently an introductory rate on Quikbook ($230 or so). The location is great (yes, it's not ON Columbus Circle, but barely 1/4 block away...not worth quibbling about) with the subway and Time Warner Center directly across the street, and the park right across the circle. The area is a lot less hectic than being further south, but still convenient.The staff was extremely nice and unobtrusive. The Queen room was very spacious for NYC, with a comfy bed, desk, flat panel TV, and a huge bathroom. It was nice to see a hotel think about the people who use their rooms and provide plugs on TOP of theThe interior rooms are a bit cave-like, since you don't have a window, but the lights have slider settings so you can make the room a lot brighter than the way the staff apparently sets it up in preparation for your visit. I'm not sure why people fixate on the dark hallways - I didn't run into anything, and unlike other hotels with dark hallways, the room numbers were lit up.Overall, I loved the hotel's style, comfort and location. I don't know if I would pay full rate, but in the $200+/- range this is a good NYC hotel that would make your visit to the city very pleasant. I would definitely stay again.	
Aug 3 2008	Nice Stay for $200	I arranged my one night stay through Quikbook, at a rate of 199.00. With this rate in mind, I found the hotel very nice. It was clean, modern, safe and nicely located in Columbus Circle. The staff were friendly and fairly helpful for my few questions. The only drawbacks I found during my stay were the loud doors and cleaning staff that seemed to be yelling &quot;housekeeping&quot; all morning long. Minor issues...As has been mentioned, the rooms are small, there are no views nor real amenities. I would not pay the rates they list on their website (425 for the queen room etc.); even in Manhattan you can find a better room for that price. I only needed a place to sleep near Central Park for one night, and did little more than sleep in the room, so it was perfect for my needs at the reduced rate. Nice new option in the city.	
Aug 2 2008 	Nice Stay but be Warned	My partner and I stayed at 6 Columbus Circle (not really on Columbus Circle) over the Memorial Day Holiday. After making my reservation I called the hotel and talked to Abbey to request high floor (street facing) which she confirmed. When I spoke to Abbey, I even reserved an upgraded room since it was my anniversary. Upon check in, we were given a SMALL room on the 2nd floor. Even though I complained to the front desk, I was told the hotel was full and nothing could be done for that night. The clerk at the front desk advised us that we could move the next day to the room that was promised to us. We were in the room until about 11:00 AM and no call from the front desk to change rooms. When we arrived back to the hotel later in the afternoon, still no call! I finally called the front desk and they had the nerve to advise me that they were ready to move us but we had not called them! Generally hotels that run efficiently would contact the guest and coordinate these types of activities. We finally moved to a room on the 10th/11th floor. The room was oversized with a large-ish bathroom facing the street. There was one day when housekeeping had not cleaned the room by 6:00 PM but this was quickly resolved without any hassle. One note, the beds that are used are platform so there is no box springs on the bed. Also, this hotel does not use top sheets, only a duvet (I’m sure this works well in Winter but not Spring/Summer). On the positive side, the location is EXCELLENT and Starbucks is next door. Each night the turn down service includes Voss water chocolate. A nice stay overall but with some problems and attitude from the front desk.	
Aug 1 2008 	6 Columbus - Pretty Good	I was in NYC for a business trip and stayed at 6 Columbus for 2 nights.LocationThe property is right across the street from the ACE subway line and The Shops at Columbus Circle. It is a great location that is close just south of Central park and an easy walk to everything mid-town. Oh, there is a Starbucks next door too in case you need a caffeine fix.StaffALL the staff were wonderful to deal with. They were friendly, professional and helpful. You would think this is one of the basics.RoomI'll post some photos, but the rooms are a reasonable size. I wouldn't say that it was a large room, as the king bed just barely fit with the 2 side tables, but it was serviceable. No complaints.The view was the back of another building. I had the curtains drawn the whole time and thought it was fine. If you want a brighter room and a good view, ask for a suite in the FRONT of the building. The decor is slick, but I agree with the other reviewers in saying that it is a bit too dark. I like dark hip lounges, but would like the bedroom a bit lighter/neutral.The worst thing was the air conditioning system. It worked, but it was basically an on/off switch run by a thermostat. This isn't bad in itself as the temperature was kept at a comfortable level, but when on, it was LOUD. Really loud. I found it hard to do a video conference on my computer with the fan on...something that I've never had issues with in other locations. Room AmenitiesNicely furnished with Frette robe, Dean and DeLuca snacks in the mini-bar, and Fresh bath products are a nice touch.Hotel AmenitiesThe building is old and it shows its age. You can either think of this as quirky and charming or dumpy. I prefer the former. :-)It isn't a newly constructed hotel with a work out room, pool, etc. Not a big deal to me as I work out by walking everywhere while traveling.The hallways seem a bit dark...as do the elevators that are covered in dark pony skin or something. This is the hotel's attempt to be hip and slick. I can take it or leave it and would rather have brighter hallways and rooms.There is a pretty restaurant off the lobby that serves Japanese inspired foods. It is pretty vibrant at night. It is OK (not great), and a bit expensive... Nice atmosphere but if you just want good food, you can do better just by going on a short stroll around the block.Oh WiFi...like all travelers these days, I need wifi...and the hotel is smart to have fully blanketed the building with FREE wifi. A big plus! What's with hotels that still want to charge for wifi access after already gouging for the stay?OverallThis hotel has been greatly anticipated. The retrofit is decent but nothing really to write home about. A bit dark for my tastes.I thought it was a nice hotel and would stay here again. Great location, excellent staff, decent room. If you can get a good price, it is a good play to stay.	
