	An ideal spot for visiting Manhattan	As many previous reviewers have chronicled, the staff, the breakfast, the afternoon wine and cheese all make The Library Hotel a special place and worth the bit extra it will cost over a big-box location. We also appreciated the central location *and* the fact that, in a business district, there is not so much traffic on the streets at night. It was possible to open the window and still sleep. The rooftop bar is lovely, if busy during happy hour. Grand Central is just around the corner; you can go uptown, downtown, or crosstown with ease. We will definitely return for our next nyc visit.	
Jul 5 2009 	A haven of peace in a world of rush	We spent 3 nights at the Liberty Hotel and couldn't have been happier with our choice. The hotel is well located near the public library just off Madison Ave. Our 4th floor room was very quiet and well appointed. The pleasant breakfast room (breakfast is included) is also used for the afternoon complementary wine and cheese. The staff was extremely kind and helpfull. We would definitely choose the hotel for our next visit and have already recommended it to friends going to NY.	
Jul 4 2009 	Unprofessional terrible incompetent staff	I called the Library to find out about availability . Egor, the front desk person, gave me misinformation regarding how to pay for the room. I followed his instructions and booked online only for him to call me and tell me he had given me misinformation. I asked to speak to his supervisor to try to fix the problem. When my guest arrived and checked into the hotel, Egor felt that it was appropriate to trash talk me to my guest. This is unbelievable. Do not stay here, especially for business, because you never know what they may be saying to your guests or clients that you book rooms for.	
Jul 3 2009 	Beautiful Hotel	I stayed here with my boyfriend in June and can not recommend this hotel enough. It really does live up to its rave reviews. Its location is spot on and the staff were superb...nothing was too much trouble. It has everything you could need for a city break and more, the wine and cheese platters in the evening were a real treat. We sampled the menu at the hotel restuarant on the first night and we were not disapointed, it had a great atmosphere. Whilst the rooms are on the small side (petite full room) it did not put us off in anyway and found the room more than catered for our needs. I would definately stay here again and look forward to doing so the next time I visit the Big Apple.	
Jul 2 2009 	Wonderful hotel fantastic staff would visit again for sure	Myself and a friend made our inaugural trip to NYC for our birthdays and chose to stay at the Library Hotel based on reviews on this site. We were from Toronto and Ottawa respectively so very excited to visit the big city :). The reviews were spot on - a fantastic hotel with loads of character and terrific staff. We stayed in the Germanic Religion room on the 12th floor - small room but enough space to move around comfortably. The washroom was an ample size and very nicely appointed. Highlights of the hotel were definitely the 2nd floor reading room where we had breakfast our first morning. We enjoyed the food and the company - got to sit with a lovely couple from Boston. Our first night on the town we may have overdone it and arrived back at the Library Hotel very late - but not to worry - the night manager, Leonard was very gracious and helped us to order food for a late night snack. He also recommended a couple of DVDs to watch (the hotel has an amazing collection of the top 100 AFI movies) over the course of our stay. He and all of the other staff were amazing. When we checked out, the staff helped us secure a car to the hotel, store our luggage (they have a nice, 1:00 p.m. check out time) and said we could use the 2nd floor reading room for snacks, washrooms, etc. even after we checked out which was amazing.All in all -great value for the money, great location, great rooms, great staff. I'd stay there again and definitely recommend it to any others.	
Jul 2 2009 	Superb	Stayed here with my mom last summer. First time for both of us staying in NYC. After flying in and taking a cab into the city we made it in time for breakfast being served that day. It was late morning and we were able to get coffee and food so we could go out and enjoy the day in the city. The staff was incredible (they even hailed cabs for us as my mom was a little unsure about the whole process). Wine and cheese on the terrace was a nice touch. I liked that we weren't in an overwhelming high-rise. Definitely a quiet location for the city. It felt like we were coming home after a long day in the city. We can't wait to return. It is pricey, but you get what you pay for-in this case immaculate rooms, top-notch service, and a fabulous breakfast!	
Jul 2 2009 	Excellent hotel	central location, very helpful staff, clean and cool. - rooms are small but you don't go to NY to sit in a hotel room. I would stay here again.	
Jul 1 2009 	Great location great people great place	We spent 5 nights in this lovely boutique hotel in mid-town Manhattan. We were located on the 12th &quot;Religion&quot; floor as were our friends. We all had a fabulous time. The rooms were comfortable and (for Manhattan) quiet. The public areas are excellent. The breakfast and wine and cheese were both good. We loved the roof top bar. The reception staff were very friendly and helpful. Their restaurant recommendations were particularly good.	
Jun 28 2009 	Great hotel and location but not cheap	Great hotel and location; service excellent - but deluxe rooms were on the small side even for new york and price was a little steep (especially for UK travellers)	
Jun 26 2009 	A great end to a great vacation.	After returning from a wonderful round trip vacation on the Queen Mary2 we could not have picked a better hotel to end our vacation. The staff of the Library Hotel was as good as the white star service aboard ship. The library hotel is an innovative hotel with amenities to die for.Great 2 day stay.EB/WB	
Jun 23 2009 	Wonderful service	We stayed here for our first anniversary trip to NYC. The staff knew their way around the city and were extremely helpful with recommendations. If you don't know the city, don't bring a city guide, just let them know what you want to do! The hotel is small and very cute, and its location can't be better. The only con was the size of the bed (a little bit small).	
Jun 22 2009 	Excellent hotel that stands apart from the rest!	My wife and I just returned from a weekend in the city to see a Broadway show, and we stayed for 2 nights at the Library Hotel, thanks to many positive reviews here on TripAdvisor. All I can say is that all the good things said about this hotel are dead-on! We found the hotel to be in a GREAT location (we took the train into Grand Central from upstate), the staff to be extremely nice and helpful, and the rooms to be extremely nice! We had a Deluxe room, which was a bit bigger than some of their normal rooms (from what I hear), and we found it to be perfect for a couple traveling in the city. The rooms are not huge, but are really VERY well appointed (has everything you would need, in my opinion). The bathroom was beautiful and FAR bigger than you might expect. The 24/7 free coffee/tea/cookies was really a nice touch. We didn't get a chance to attend the free wine and cheese in the evening, but that's another nice touch that you won't find many other places! We even ate at the attached restaurant, Madison &amp; Vine, and found the meal to be far better than we were anticipating...delicious! During our stay, I kept thinking to myself, &quot;Unless you had a reason to be located more uptown, there is no reason NOT to stay at the Library Hotel!&quot; We DEFINITELY will be back!	
Jun 19 2009 	Every nice things said about the hotel are true.	The stay does feels like an exclusive club rather than just a hotel. Service was friendly and attentive. The location is excellent - quiet and close to all the shopping and sight seeings on Fifth Avenue. Grand Central station is just a street behind. I would have liked a bigger room but I was told that is NY standard. The room was very nicely furnished though. Overall it was a highly satisfactory experience. I would definitely stay at the Library in my nex trip to NYC.	
Jun 18 2009 	Excellent Hotel	We stayed here in Dec 07 (sorry it taken so long to review) and have nothing but praise for the staff and the hotel in general. Yes it's not cheap (we needed a junior suite because there were 3 of us including my young son), but i really don't mind paying when it's worth it and The Library definetly is worth it. Breakfast is excellent and we loved the complinentary cheese and wine / snacks in the evening. All the staff were really friendly and helpful, they made you feel really welcome, which isn't always the case when travelling with young kids. We will most certainly return some day, we love New York City and The Library.	
Jun 18 2009 	We couldn't have made a better choice !!	We stayed 6 nights here during my wife's 60th celebrations. From checking in to checking out the staff were welcoming, helpful and clearly very keen to ensure we had a great stay. We had room 1106, which has the advantage of a balcony looking straight along Madison Avenue. Room size is fine, bed is excellent and there's plenty of space to store stuff and spread out. We really can't fault the Library, we'd looked through lots of reviews of this and other hotels before we made our choice and we have to say that it delivered everything we'd hoped for as NYC newies. Location, great; afternoon wine &amp; cheese, a welcome respite from the city hustle and bustle; breakfast choice and quality, just fine, a little busy on 1 or 2 days but we took a tray up to the 14th floor roof garden which was calm and ideal for a smooth start to the day; help from the staff with ideas and reservations, totally forthcoming without being over the top and gushing. Their efforts in getting us a cab on a very wet and very busy Friday night to ensure we made our final dinner reservation were typical of their standards. We just can't fault the place and would return without hesitation.	
Jun 11 2009	truly one-of-a-kind hotel	The Library Hotel is truly a unique hotel, an excellent idea that actually works. The idea of a library. For a person with literary inclinations it's the ideal hotel with impecable service and excellent staff. Although the internet made the library a lost paradise, New York shows ther can be a slice of paradise for any person that strives towards a world of culture. The rooms can feel a bit small, as the area is not known for massive and roomy accommodations, but the books in the rooms ( yes, there are books in the room, as you can choose which type of room you want according to the books in it ) give you a different perception of space. The bathrooms are great and, oddly enough, pretty large and uncrowded, as the hotel offers amenities galore, and whatever isn't in your room, the staff would gladly help with. While there the restaurant was closed, but the second floor reading room, a sort of &quot;club level lounge&quot; found in luxury chain hotels, was a great little spot for snacks, or a light breakfast, always packed with goodies, both for the stomach and for the brain, as a piano sits in one corner of the room surrounded by books and magazines with a gorgeous view of the street. The staff at the desk and all around are more than happy to help you, and even to give you free stuff ( thanks for the coffee mugs guys ). There's no reason to talk about cleanliness because it goes without saying that it's a great boutique hotel. Maybe they need a better pencil provider because they tend to break easily. We had stayed at Morgan's and Affinia Dumont while on the same long trip, and both had been just as spectacular ( morgan's breakfast place Asia de Cuba is probably better than the second floor lounge here, but there's an assumption that they served it there because of the restaurant closing ; affinia dumont's rooms were huge compared to here ) but there was an extra something at the Library Hotel. Maybe it was the fact that a couple of the guys working at the front desk were originally from Romania, or maybe it was because of a bias towards books. But all three deserve 5 stars, with the Library hotel deserving a &quot;+&quot; at the end.	
Jun 11 2009 	Excellence for a musical weekend	Stayed for a long weekend to see my great musical hero in concert The Library Hotel is lovely- warm friendly helpful staff, lovely room , perfect location No coffee in room but available all day on second floor and an excellent continental breakfast included Nice touches incuding turndown service with a weather forecast Broadband included though rather slow! Would stay again any time - thank you to all the staff for a great stay!	
Jun 10 2009 	simple classic perfection	I stayed here for a busines trip last year and I can't seem to stop talking about it. I reccommend it to every person I see. Between the beautiful books to the gorgeous bathrooms, I couldn't help myself to indulge in this inner city escape. It was hard to focus on work. I will be back, promise!!!!!	
Jun 5 2009 	Very good hotel but ...	... a few things could be improved to take it to the next level. For one thing, red wine ought to be served at cellar temperature not room temperature. Good wine is available both in the restaurant and roof-top bar but the polite and pretty aspiring young actors serving us seem to have missed the sommelier's briefing. My feelings about the place were also affected negatively by the failure of the hotel to honour the Cdn. dollar booking rate we were quoted online when we booked our room, blaming the internet booking agent for an error and refusing to compromise on the price in any way. The staff was very polite in how they explained to me why they should bear no responsibility for this but I think they were simply wrong, and that they ought to have given us the hotel at the slight lower amount we were quoted and then taken it up with the online company.Finally, the wireless internet didn't work very well. Staff eventually gave me a cable to let me hook up to a land line which worked well but maybe the hotel should consider investing in a better router.I see this is a pretty critical review that I have written. But I am writing it this way because I think this is a really good hotel overall, and not mentioning these things will prevent it from becoming even better.	
Jun 3 2009 	Delightful hotel with impeccable service and amenities	Just got back from the Library where we went to celebrate our 25th Wedding Anniversary. Complimentary champagne in our room, with a card started our trip beautifully, and it just got better and better. The staff are all delightful and cannot do enough for the guests; nothing is too much trouble. Highly recommended!	
Jun 1 2009 	Highly recommended	We stayed here on our honeymoon. We had previously been staying at the Grand Hyatt around the corner and had an awful experience at the Hyatt. In contrast, the service at the Library is impeccable. Congratultory bottle of champagne on arrival, theatre recommendations, dinner recommendations, everything you need. We loved the library area on the second floor and the rooftop bar. Decor is very modern and a little bit quirky. Decor in rooms great. The only down side is that the rooms are very small - we booked a deluxe room and it was still very small - had to put suitcase on the bed to get clothes out of it. But overall, we highly recommend it and would definitely return when next visiting NYC.	
May 28 2009 	Book now...	What a charming and lovely hotel. The service was very good, and the staff all very helpful from the moment of arriving until leaving. Great touches for any hotel and especially a new york hotel (this was our 6th trip to new york) with the rooftop terrace, cheese &amp; wine reception and breakfast in the lovely reading room. We had read the reviews on tripadvisor and debated between a few hotels before picking this one and didn't regret the choice.only downsides would be size of rooms small - i know everyone says NY hotel rooms small but this was smallest we'd stayed in - and we'd booked one up from the basic, also we were there on memorial weekend and the surrounding area was quiet ! Perhaps this is a weekend thing as it's in business type district.	
May 27 2009 	Welcoming high quality haven	From the initial warm and helpful welcome after a long flight from the UK to our check out five days later our stay at the Library Hotel lived up to its high rating. The room was very clean and well appointed, but seemed rather small, but I understand this is usual in NY. It was serviced thoroughly each day, including turn down in the evening. All staff were very helpful and friendly, often with a warm smile. The reception staff, especially Michael, shared their good knowledge of the city and the neighborhood, with recommendations for sightseeing and eating. We particularly enjoyed Convivia, a local Italian restaurant with very skilled cooking and great service and Sinlingua, an innovative Mexican restaurant. Both were booked for us. The breakfast buffet provided good choice including many healthy options. The only drawback is that the serving area is crowded at busy times. The wine and cheese buffet and opportunity for tea and coffee through the day were added bonuses. All in all we throughly enjoyed our stay at this haven of peace, providing gentle relaxation without any stuffiness, in a super location.	
May 27 2009 	A Little Gem and Perfect Location	My husband and I stayed at the Library Hotel for a week in May '08 (which I can't believe is a year ago now - have been meaning to write this review for some time!). However I highly doubt that the standard of the hotel has changed in this time, as the Library Hotel was very professionally run when we stayed.We stayed in the Dinosaur room on the 5th floor - the room was small but fine for my husband and I, who were out during the day and evenings anyway. The closet was sufficient and there was enough room for our luggage. Bathroom was great, shower was strong and hot. Our toilet did leak water though / water didn't drain properly once - but it was dealt with promptly and fixed, and the problem didn't return.The front desk and concierge were lovely - all energetic young staff (Nick was great) which gave an historic hotel an upbeat vibe. The breakfast/lounge room was very relaxing and well appointed. Continental breakfast was sufficient with enough variety, and the snacks available during the day were handy. The kitchen staff were lovely - in fact all the staff were friendly and polite and genuinely suited to hospitality. It seemed to me that they really enjoyed working there, which makes a big diffference in a hotel. There was also a little study room with high speed internet that was available 24hrs.For us as tourists having a week in NYC, the location was fab - midtown with easy access up and down town. Easy walk to 5th Ave and Central Park. The location was one of the main reasons we chose to stay at the Library Hotel and it was worth it.Would definitely stay at the Library Hotel again. Only recommendations would be: a) pick a room that's on one of the higher floors - we being on the 5th floor meant we were still quite close to the road below and it was quite loud 24hrs. Construction work was going on nearby so that didn't help. Earplugs helped! But then, we are from Melbourne which is quiet compared to the city that never sleeps!b) don't eat at the adjoining restaurant - we did the first night as we just got off the plane and needed a quick meal - but with so many good restaurants in NYC, it's worth being more choosy. The french onion soup was very salty, meals were average.	
May 23 2009 	For those who like small hotels great location	I stayed 4 nights with my 13 y.o. son in a junior suite. I would stay again at this hotel, definitely since i prefer small hotels and this one was very charming. Our theme in the room was fashion design which my son did not care for at all (i had requested &quot;mystery&quot;...) perhaps they should consider one room with a sports theme...At least access to espn on tv! Chose the hotel from previous newspaper article about it featuring the &quot;library theme&quot; and from tripadvisor reviews and for its midtown location. Booked with broadway package to facilitate getting the broadway tx i wanted (hair and billy elliot plus yankee's tx). Although service from Continental package was efficient and friendly i have the impression i might have overpayed for convenience and third party tx reservations. I would recommend booking with the hotel and getting tx for the yankees with stubhub for better prices.The location is perfect, one block from subway (green line), central station (excellent coffee counter- Joe the art of coffee- entrance on lexington, gray passage), one block from ny library (check out the stuffed animals at the origins of Winnie the Poo), Bryant Park in the back for a great place for a lunch (in the summer, outdoor movies on monday night), walking distance to the theaters, central park, am museum of natural history and museum mile on the east side, to NBA store and Nintendo world- Rockefeller center, to the Morgan library and the empire state bldg, and also walked easily to greenwich to watch some street basketball (6th ave and w4th st) followed by a stroll in the washington sq park, picture of the washington mews as well (hot chocolate afterwards at Max Brenner near union square).I found the room to be very clean and of adequate proportion (not too small), we hardly spent time in it anyway, Even on the 7th floor, it is noisy but we are centrally located in a city that never sleeps! (Madison st and 41st). Did not use my earplugs and slept very well. The hotel itself is quiet, hallways empty - less than ten rooms per floor.We appreciated the breakfast in am, good choice, service discrete and prompt. Only waited a few minutes one morning for an available table and another day shared a table briefly with another guest which is perfectly fine for me and even nice, in a city where people keep more to themselves in general.Only visited briefly the 14th floor terrace but i would imagine it is a charming place to relax after a day of walking. Did not use the available access to fitness center nearby (ran in central park instead) nor access to dvds but nice to know it is available.Kind staff at the desk as well as the bellboy and the hotel felt safe. Less than 30 minutes from LGA (afternoon). In summary wonderful stay at the library hotel.	
May 21 2009 	Fabulous NYC boutique Hotel !	Having just returned home from a week long stay in NYC at The Library Hotel we must add our kudos to the long list of very satisfied travellers who have stayed there as well.After considerable time spent surfing the net in an attempt to secure the BEST possible accomodation experience on our first trip to NYC we were extremely happy with our choice and our stay. We loved our room, it was well appointed, comfortable and had a great view onto Madison Ave. The breakfast and the wine and cheese were more than adequate and well appreciated. The staff were very friendly and accomodating and always willing to chat about the city and give us great information or make arrangements for us. We easily walked everywhere; to Broadway, seeing the sites, shopping, etc. The location is great and so is the experience of staying in such a charming and welcoming hotel. Do not miss going to the rooftop bar or eating in the restaurant off the lobby called, Madison and Vine. We loved our whole experience at the Library Hotel and would highly recommend it. Enjoy NYC...it is a wonderful experience!One sugggestion though...NYC really is the city that never sleeps, if you are a light sleeper take ear plugs with you. You'll fall asleep easily though with all the walking that you'll do (take comfortable shoes!).	
May 18 2009 	Outstanding contemporary charm	My husband and I just returned from two night stay. I can't say enough nice things about this little gem of a hotel. From the second we got out of the taxi the service was impeccable. Our bags were taken from the taxi with a smile and a welcoming hello, and we received a warm greeting from the desk staff along with recommendations for lunch. Room itself was IMMACULATE and although small, very well appointed and convenient. It is obvious every detail was well thought out and the decor itself was refined and luxurious, in a warm yet contemporary style. Everything seemed brand new. We are used to the enormous rooms in Vegas but didn't feel a bit put out or cramped here. The wine and cheese event was delicious, every offering top notch quality as was the breakfast. Downstairs open air restaurant and rooftop just added more magic to a great trip. Service everywhere was friendly and fun. Easy walk to 5th avenue shopping. HIGHLY recommended.	
May 18 2009 	New York Gem	Understated class and elegance; this hotel felt like a home from home as soon as our weary feet crossed the threshold. With complimentary breakfast and cheese/wine every day, this hotel becomes a great value retreat in the madness of NYC. Rooms are well appointed and moodily-lit. Front-of-house staff are eager to help or advise on the best places to eat or drink. The bar on the 14th floor is absolutely brilliant too; packed most nights with New York's beautiful people stopping by for a drink after work or a romantic soiree later on.	
May 16 2009 	A hotel..... Really?	I picked the &quot;hotel&quot; because it was our first trip to the city and I wanted to stay somewhere that we would really feel comfortable. Not offense to Comfort Inn or the Hilton but I wanted something..... more. We certainly got what we asked for! I wasn't so thrilled with the size of our room, it seemed a little bigger when looking at the pictures but this is how it is in the city! The staff is wonderful! They were very helpful and attentive. For example I just had to go to the Empire State building and that was all I talked about for weeks leading up to the trip but the staff informed me that I would have a much better view, a more pleasnt trip, and better pictures form &quot;The Top of the Rock&quot; at Rockafeller center. ( Boy were they ever right!) Our return flight was not until much later after check out and they held our luggage for us all day. Our flight also arrived hours before check-in time and they offered to hold our luggage, but the manager got us into our room early wich was wonderful to refresh ourselves before taking off. The breakfast was very nice and fresh and they serve until 10:30 on weekdays and 11:00 on weekends which is really nice when you want to sleep in a little. I could go on and on about how wonderful it really is. The only complaint that I have is I wish it were a little closer to Times square. It isn't too far but when you are a first time visitor to such a HUGE city and you walk everywhere almost, 5 or 6 blocks seem like FOREVER!P.S. Whenever our room was cleaned they would also leave a card on the nightstand letting us know what the weather was going to be like the next day! I loved that!	
May 12 2009 	Our new home-away-from-home in NYC	My husband and I stayed at the Library Hotel for 2 nights over Mother's Day weekend, to celebrate our 11th anniversary. We chose this hotel because of the high Tripadvisor rating and we can see why it's rated so highly! A great stay from start to finish. We had not selected a particular room when booking, so we were curious to see which one we would be assigned upon check-in. We should have guessed - as soon as they found out it was our 11th anniversary, they put us in the Erotic Literature room on the 8th floor! Before you get any ideas, just know that it's a very comfortable, elegant, tastefully decorated room. The bathroom had everything we needed and everything was very clean. The bed was extremely comfortable and had very nice linens. We felt right at home. Continental breakfast is included in the room price and it is excellent - a selection of fresh juices, coffee, tea, fresh fruit, pastries, bagels, cereals, oatmeal, and so on. Serene and beautiful surroundings, perfect location just steps from Grand Central, great service, attention to detail - this hotel is worth every penny and we will definitely be back! This was such a nice change from staying in the huge hotels in Times Square. Highly recommended.	
May 11 2009 	One word - PERFECT!!	We stayed at the library hotel on a recent trip to New York. We spent five nights there and all I can say was it was PERFECT. We have very high standards and felt that this hotel was OUTSTANDING in every area.The hotel staff clearly have the highest standards - I have never stayed in a hotel that takes so much pride in it's service.As soon as we arrived we were made to feel extremely welcome. As my wife had pointed out it was my birthday during our stay, there was a bottle of bubbly and a birthday card waiting in our room.First impressions of the room were that it was clean, very well furnished, quite petite, but entirely adequate for the two of us.This hotel has a lovely rooftop terrace and the staff make it clear that you are more then welcome to take food up there, your own drinks, breakfast or buy drinks from the bar up there.I cannot begin to describe how good the service was. We were given maps of New York, advice on where to go, and even given a number to call if we encountered any problems during our sightseeing.Breakfast was wonderful with a fantastic continental spread put on each day. Nothing in the selection was allowed to run empty or go stale as they were quickly replaced by the friendly staff.There was a library theme running through the hotel with different slections of books on each floor. You are encouraged to read the books at your leisure and also borrow DVDs from their lare range to watch on the DVD player in your room.The location of the hotel is perfect for sightseeing in Manhattan as it is near all the main attractions.We are already planning a return trip to New York and will undoubtedly return to this hotel.Do not hesitate to book - there are only around 40 rooms so book now and don't be disappointed!!	
May 11 2009 	No need to look elsewhere for a hotel in New York	The Library Hotel is simply one of the best I have ever stayed at. This was my second stay and I do not see the need to look for another place when I go to New York City; the answer is always: Library Hotel. The location is fabulous: you need only walk a few minutes to the subway at Grand Central Station or Bryant Park, and buses to the three airports arrive and leave several times each hour one block away from the hotel. Being able to have continental breakfast is a great plus (and will offset the somewhat steep price of the rooms); the same applies to the complimentary wine and cheese (plus carrots, celery sticks, and crackers, especially the New York Flatbreads) offered every day from 5.00 to 8.00 p.m. and to the beverages, fruits, and cookies available round the clock. Ask for a Deluxe Room Full rather than a Petite Room Full, especially for an extended stay, as the latter appears to be very small from what I have seen through an open door. I am already dreaming of my next visit to New York and of another stay at the Library Hotel.	
May 11 2009 	Charming hotel in great location	This is charming and trendy hotel in great location. Rooms are small or even tiny. Rooms are nicely decorated. Roof top terrace bar is absolutely must to go! You can see Empire state building while enjoying your drink.You can also borrow DVD´s and watch those in your room.	
May 10 2009 	An awesome stay - will definitely return to the Library Hotel	My boyfriend and I are just returning from a 3 day stay at the Library Hotel, and have just loved our experience. The hotel staff was incredibly friendly and helpful, from getting us a cab during busy hours (hotel staff actually spent 10 minutes on the street trying to get us the cab), to making restaurant reservations for us at the awesome Benjamin Steakhouse across the street for very last minute.The morning breakfast was great, lots of variety, and constantly replenished, so you don't feel like you're eating leftovers if go for later breakfast. Great coffee is served all day, as well as fresh pastries and fruit. The complementary wine and cheese is also great, with a nice selection of food and wine. I recommend the wine and cheese on 2nd fllor as opposed to getting a drink on the 14th floor terrace.Our room was very clean and comfortable. Although some could argue that the rooms are small, they are no smaller than any hotel room you would get in Europe, and has everything you need for a very confortable stay. Hotel noise is also very limited as there are not many rooms per floor.Also, we drove in to the city and got a discount to a parking lot around the corner due to our stay at the hotel, and this was the cheapest we've ever paid for parking in New York.We will definitely be back at the Library hotel for our next stay in New York city.	
May 9 2009	Something to add	Really cool hotel! Everything is perfect. What should be added? Ashtray to the entrance, second coffee machine and easier program for check out operation. Sometimes you will not feel too comfortable sharing your hotel with office people, that adore bar at the 14th floor. But that's ok.And... nobody from the stuff told anything about free sport club... Ask them next time	
May 2 2009 	Classy hotel in perfect distance of everything. Free food and wine!	This hotel was lovely. We stayed for 5 nights on our honeymoon. The rooms are small (it is New York) but perfectly formed and anyway, we only used them for sleeping in, we were out all day otherwise. Beautiful decor and all themed after Dewey Dec System categories - we were in 802-Classics - so we had a bookcase full of the classic titles. Breakfast had plenty of choice (taken in the Reading Room) and at any other times of the day there were always complimentary pastries and cakes laid out along with tea, coffee, juice. Between 5 and 8pm, there would be complimentary cheese and wine laid out, all very nice. It was lovely to come back from a day out and have a civilised snack, reading the papers or books, before going for a late dinner. You can see the NY Public Library from the window. Just near Grand Central for the subway but we walked everywhere else since it's in Midtown. Would definitely return. Loved it.	
May 1 2009 	A little gem in a special city	My wife and I picked the Library Hotel from an overpowering list of hotels claiming to be a little bit special. How lucky were we to pick this hotel as it was without doubt just so very different from most of the hotels on offer. We stayed for seven nights leading up to Easter and found every aspect of the hotel just as we hoped for.Not cheap but worthy of the claim to being a boutique hotel and with an atmosphere that was an oasis of calm in the frantic heart of NYC, perfectly situated, pleasant and helpful staff, endless supply of coffee and pastries, cheese and wine to start the evening and the reading room encourages you to take time and relax when all other senses are suggesting that you need to do otherwise.We loved the 2 minute walk to Grand Centraland access all areas, the 2 minute walk to the Public Library and the very short journey to Bryant Park which is a magical place to watch the world go by.I can promise that we will return soon and hope that it does not get too popular before then.John and Louise Callaghan, Ayrshire Scotland	
Apr 30 2009 	Terrific Ten-Day Trip	I stayed here from 4/4 to 4/14, a ten day trip, for a mix of business and pleasure. So this wasn't a short stay, and it was multi-purpose. So I got some unique insights into the hotel, their staff and the surrounding neighborhood.I had a set of meetings at NBC for the 2010 Olympics, so I wanted to stay somewhere within walking distance to 30 Rockefeller. Plus I wanted to bring my wife and pre-teen son along for part of the trip (it was spring break, after all).I first learned about LH after finding it in concierge.com. The high-rankings here and trip reports were encouraging. That plus we got a decent rate for a suite, which was important because my wife and I shared our room with our son (he slept on the fold-out sofa bed--very comfortable).This being my son and wife's first trip to NYC, I was very concerned about the hotel, the location and the &quot;vibe&quot;. None of which disappointed!STAFFFirst, the staff really makes this hotel work. I had the pleasure of many conversations with Billy, Michael, Marlene (your first mention!), Monique, Sood, Jayla and others. They helped us with maps, reservations, tips, business arrangements. Plus they're just cool folks to talk to. They made this one of the best hotels in NYC and you can tell they're proud of it. They're the reason this hotel is the one I will always return to.That plus the excellent lamb gyro cart across the street!BUSINESSDuring my stay, I had four of my employees come out from San Francisco on two different trips! The logistics of handling all the room combinations were a bit confusing, but Sood took care of everything.And Jayla quickly and professionally took care of our needs to rent the Penthouse / Boardroom for 3 days so we could do our work. Lovely location, above the Bookmarks bar.The 2nd floor lounge, while crowded in the morning for breakfast (if you can't get a table, grab a tray and head up to Bookmarks--you'll have it to yourself), was quite a luxury. It really felt like our own private living room. Great view of a small slice of NYC life on the corner. Also handy for keeping an eye on the #4 bus heading uptown.FUN Now this is mid-town, so it's not residential and is quite on the weekends. But nearby you have jumping off points via the Bryant Park subway station. Bryant Park itself is quite pleasant. A patch of green amonst the high-rises; the New York Public Library's main branch &quot;back yard&quot;. Get a sandwich from 'wichcraft there: Tom Colicchio's chain of gourmet sandwiches. Very good.No brainers: NYPL and Grand Central Station.Ten minute walk north: 30 Rockefeller. My son *loved* ice skating. I had no idea he's be into it so much; that was the highlight of his trip, and so, naturally, mine. Also, skip Empire State Building (3+ hour lines) and get a ticket up to &quot;Top of the Rock&quot;. Breathtaking views of the skyline. Go at sunset to see the city change.FOODNever made it to Benjamin Steak House, but it's #1 on my return trip.Grand Central is a short 3 min. walk. So much to eat and see there. Junior's stands out. So does the shoe shine at Eddies.Ask the staff about HB Burger and they'll rave about it, for good reasons. Get the homemade tator tots and &quot;world's smallest ice cream sundae&quot;. Just a short 5 min. walk towards Times Square on W 43rd. You'll find BXL next door, if you want an obscure pint of Belgian beer.Junior's at Grand Central Station had the best Ruben (I was on a quest) in the area. Good pizza at GCS, but I don't remember the name.Just 15 seconds from the entrance is Food Exchange. Good for a quick lunch or dinner. Excellent salads.Looking for a posh spot for cocktails? Ask Michael or Billy to set you up with the Campbell Apartment (at GCS). Dress smart and don't order a cosmo. This is a classic place, not many folks know about. You feel like you've stepped back into a '30s speakeasy. We left our son in the room (after getting a complimentary DVD from downstairs) and walked a block for a couple of cocktails: wonderful. ROOMSWell I had a suite the whole time (Mystery) and it was just fine for the 3 of us. Big king bed, comfortable sofa-bed. Generous bathroom. I needed earplugs at night at first. But leaving the fan on washes out the background noise. No big deal. You're in the city man! The smaller rooms (don't remember the name, but the least expensive ones). Well, they're small. But smartly appointed for a single traveler. My colleague remarked at the thoughtfulness of the layout--the designers did a great job with a relatively small space. Bookmarks: wait till you see this spot. Fantastic. If it's warm out, get there early to grab a spot on the deck. Beautiful.CONSOk, I have to list a few otherwise people won't believe the post.- Breakfast can be crowded. And cramped where people grab the bagels, coffee, tea, fruit, cereal, yogurt. But jeez, it's complimentary, fantastically convenient and tastes great! The breakfast staff works hard to keep everything stocked and the tables cleared. So this is a more a function of how well liked this amenity is and how they are economizing the space on the 2nd floor.- Elevator lights are hard to read. You'll push the buttons 3 or 4 times. Part of the charm.- TV signal, at least in my room, suffered from interference or something. Not an HD quality signal. More like mid 80s cable. Who cares.- Only 2 elevators, so you may be waiting a bit for a ride. - Complimentary wireless was spotty and not always dependable. But neither were our cell phone modems.PROSDidn't you read this whole note? I've never commented or reviewed a hotel in my life. This place is like home and I'm looking forward to my return trip!- Scott S. from Vertigo	
