	Clean room friendly helpful staff	We recently stayed at this hotel for 2 nights. The rooms were clean and well maintained but quite small. As we were out and about most of the time and only there to sleep for 2 nights it wasn't a problem.The staff were friendly and very helpful. We had a few queries and they were very attentive and helped us sort everything out.The location was good. It was in a quiet location but within easy walking distance to Midtown.I would definately stay at this hotel again.	
Mar 1 2009 	Fine but small	Recently stayed at this hotel which is relatively new, it’s OK but;The upside, free internet access, only 10 minute walk to Penn Station, so easy access for the train to Jamaica for the JFK airtrain or for the train to Newark, so no expensive taxi ride needed.Down side, very small rooms, no comfy chair and the bathroom entrance is off the room which is all right if you want to sit on the toilet and watch TV in the room. It has a tiny work desk and very small closet, everything is very cramped up. The worst thing of all, no video check out, so if you want to leave at a busy time a long wait at the front desk would be involved and the lobby is also very small.This hotel is fine for a short stay, if you just want a basic hotel.	
Feb 27 2009 	Great location great value	We stayed here for one night. It is in a great location - close to everything. The rooms were nicely decorated, clean, very comfortable bed. The staff were so friendly. Would definitely recommend it is a great hotel in NYC that offers convenience and value for money.	
Feb 25 2009 	Perfectly adequate for a short city break	Stayed at this hotel in Feb 09. We had a 3rd floor room with 2 double beds. It was a bit cramped, not much wardrobe space and the bathroom was bijou, but it was clean and the beds were comfortable. And how much time do you spend in the hotel anyway with a same sex friend?! Air conditioning was a bit noisy but we turned the thermo down a bit which solved the problem. Didn't try the breakfast because the local options like Murray's Bagels were really good. Hotel was well located, pretty central and within easy reach of major attractions and good eating places.	
Feb 24 2009 	The place to stay in NYC	I booked this ages ago using my Priority Club points for a surprise Valentines break to New York for me and my girlfriend.A lot of people dont seem to like booking hotels that are only 15,000 points a night but we've never had any problems anywhere in the world. My only question is.....why is this only 15,000 points a night ?!We arrived after a long flight UK-Amsterdam-JFK and took the subway to Penn Station. Its no more than a 10 minute walk but on the way back we got the subway at 23rd St which is even closer.On arrival we were greeted with a big welcoming smile and check in literally took 2 minutes...if that. Reading other reviews we though we would wait ages for the lift but it wasn't a problem. We were given a room on the 23rd floor as I had emailed saying it was a surprise break and the views were magnificent. Looking over the Mahattan skyline.Ok so the rooms werent the size of a suite from a Hollywood movie but they were immaculately clean with everything you needed...a very comfy bed and a spotlessly clean bathroom with large wet room type shower and all of the soaps, shampoos etc etc. A large flat screen TV allowed us Brits to look on in amusement at the millions of TV channels while we unpacked and there is free interent as well. Wired and wifi.Everytime you walk in through the front door or out of the lift the receptionists always greet you with a friendly hello and a smile. People may think this is 'the American way' but it doesnt happen everywhere in the States I can assure you.Walk out of the hotel, turn left and then left again and you have mini supermarkets and some cracking deli's for that New York feeling of getting bagels with all sorts of hot and cold fillings and a couple of coffees to go.Walk out of the hotel, turn left, cross over the road , up to to the next block and trun left and you are on Broadway and from here it is a 10-15 minute walk and you are in Times Square. This hotel is no more than 15 minutes walk from Times Square, Empire State, Penn Station, Madison Sq Gardens etc.People have said they have to wait for the lifts. One morning we waited about 3 minutes. ANd it probably stopped at most floors on the way down as the maids use the lifts as well. Total...about 5 minutes. Whats 5 minutes out of your life when you are in New York on holiday?The few times we used NY taxis it was no more than $5 to the hotel including tip. This hotel is central and clean and new. The barmaid behind the bar the couple of times we wnet in was annoying in that everyone had to know what she was doing, where she had been and how she was this or did that...but hey...you're in New York. We only popped in as it was happy hour and we were just cominbg back to refresh before we headed back out.At the end of the day, this is an ideally situated hotel in the centre of town that is clean...spotlessly clean...and has the same size bed as any other hotel. The same size wash basin, the same size toilet, the same size coffee mugs and the same size window. The maids make no noise. The views are spectacular and rather than spend $55 on a yellow cab from JFK, spend $5 on the Air Train to Jamaica central and then $2 on the blue E line to either Penn Station or 23rd St and walk 2 blocks.When we go back to NY, this is where we are staying !	
Feb 21 2009 	best hotel and friendliest i've stayed in new york !	myself and a friend just got back from new york and stayed here loved the hotel and the staff were just so friendly and couldn't do enough for us . we,re due to go back soon and wouldn't stay anywhere else had fantastic time !!!	
Feb 13 2009 	Excellent Value!	Great location. Nice cozy room. Tastefully decorated. Large thick bath towels. There were 4 of us (2 couples) in a room with 2 double beds. It was a bit cramped but we didn't spend much time in the room anyway so it suited us just fine.The staff was amazing. The most courteous, friendly staff I've ever encountered in NYC. And extremely responsive. When we had plumbing problems, someone was at our door within 5 minutes to take care of it.	
Jan 20 2009 	A no-problem stay; good budget option	Got a great $95 rate on Priceline for a holiday weekend in NYC. This hotel has only been open 7 months, so not everyone knows about it. Location is good--it's halfway between the F/V (6th and 23rd) and 1 (7th and 28th) subway stops, although the 1 is slightly closer. There are convenience stores, drugstores and restaurants just steps away: CVS and Duane Reade on 6th, Chipotle and BRGR on 7th. I recommend Supermac on 7th just south of 29th: multiple varieties of macaroni and cheese. Received an &quot;upgrade&quot; on arrival to a king bed on 14. Small, NY style room, and really tiny bathroom (bathroom even tinier than the ones at the Radisson Lexington). But everything was clean and comfortable. Flat-screen TV with many stations, about 1/3 of which didn't come in. FREE INTERNET! (Wired or wireless--I went with wired--but be sure all the ethernet cables are connected properly.) I had no noise problems--I could only hear people if they were in the hall outside my door. It was super cold during my stay, and it was kind of hard to keep the room warm because the cold kept radiating from the window, but it was better the last day when it got up to freezing. Staff was pretty friendly for a NY hotel, greeting all the guests as they got off the elevators (no long elevator waits, either). The bartender even changed a $100 for me. The only problem I had was one day when I left my room at noon, it was not cleaned when I got back. I called down and someone came right up and changed the towels and made the bed. I appreciated that; I've had hotels tell me I was out of luck before when that happened.All in all, I would recommend this place to a single traveler especially--but probably not families due to the size of the rooms. Maybe a couple. I don't know what the two-bedded rooms were like.	
Jan 7 2009 	Great Deal in Manhattan	My husband and I got a really great rate ($96.00/night) at this hotel. Granted, we stayed in early January--a downtime for NYC hotels. I had booked in part because of the price and in part because of the reviews read here. Everything was better than I expected. We stayed on the 21st floor and had a nice view. The room appears to have been very recently remodeled/updated. Yes, the room is small, as nearly all Manhattan hotel rooms are. Yes, sometimes we had to wait a few minutes for the elevator but it was much better than I had anticipated after having read other reviews here. The room and the entire hotel were very clean. The staff at the reception desk were incredibly friendly and helpful. They seemed very genuine and appeared to want us to really enjoy our stay. The location is great. IT is a nice, clean, safe, hotel. We got our great rate on their website. I would definitely stay here again.	
Jan 4 2009 	Friendly staff	We have just returned from a six day trip to new york and were a bit nervous of some of the comments regarding the staff and the lifts in this hotel. However we were very pleasantly surprised. We arrived on Xmas Day (family of 5 - children aged 15. 15 and 20), were greeted very nicely by reception, and then took the lift up to the 20th floor no bother. The rooms are small admittedly but have everything you need. Only gripe would be that the cleaners congregated outside our room each morning as that was where the trolleys were kept. We could not fault the reception - they went out of their way to be friendly, and the lifts worked reasonably quickly at all times. The position is good - just a few blocks away from Macys and then on up 5th Avenue - what more could you ask for?!	
Dec 24 2008 	Great location and staff	We stayed at this hotel from 18th to 21st December - a surprise birthday trip for my wife.We flew UK - Amsterdam - JFK but unfortunately our luggage didn't. We arrived 3pm on the Thursday; the luggage finally caught up with us at 3am on the Saturday.As soon as they aware of the problem, the staff at the hotel were solicitous and helpful. Within minutes we were sorted out with all the toiletries etc at their disposal, helpful advice and offers of any further support and assistance we needed. They couldn't have been more helpful.The rooms weren't large, but were big enough for our short stay. We had a double for my wife and I and a twin for the kids. The twin had a shower room. The double boasted a bathroom, but the bath was no more than a deep slightly elongated shower tray.But what do you expect in a city where space is at a premium?Everywhere was clean and well maintained. Our one problem - no plug for the bath - was sorted out in minutes.Each room had a huge TV with a vast list of channels, alarm clock, free internet (plug in and wireless), and tea/coffee making facilities (apparently not universal in the US). Not much tea or coffee though - take some of your own or buy additional supplies locally.The bar and restaurant prices were horrendous. We ate breakfast at the Malibu on 23rd Street - five minute walk (in the snow!), great food and inexpensive.The heating/air con in each room was individually adjustable (which I hear is rare). If you go, it isn't enough to change the wall thermostat and set it to &quot;auto&quot; - you also need to change the heat/fan speed settings under the flap on the air con unit itself.The beds were really comfortable. Good supply of pillows and towels.Overall a great hotel for a touring or shopping trip. Not a hotel to kill time in, but all you need in NY is a bed!One last recommendation - if you got to NY for the first time, get a guide to show you round. They know the quickest ways to travel between any two points, and the best places to view the inindividual sites. I would strongly recommend http://www.familyinnewyork.com/ who are competitively priced and work very hard to design your personal tour of choice. Scott (the boss) and Mark couldn't have looked after us better. Try them - you will see a lot more in a day with them than you would in a week on your own. They are also happy to offer unlimited advice on shopping, eating, entertainment etc.	
Dec 19 2008 	Would stay here again	Great place to stay if you're looking for a clean room in a very good location. Staff was pleasant and helpful, room was very modern and ammenities are simple, yet functional.Make no mistake about it, there is nothing fancy about this hotel. It's just a great value for NYC and within walking distance to most of lower and mid-town Manhattan.	
Dec 11 2008 	Great stay	Just back from New York had a weeks stay here and not dissapointed either, rooms were large two double beds, comfortable and a lovely view of the Empire State Building from the bedroom window.Staff were friendly and helpful.Hotel has normal facilities plus free internet in a buisness room, small gym and bar with restaurant, only downside here the bar do not sale draught products beers only by the glass.The hotel is in a decent location easy to walk to Macy's and a short walk longer to Times Sq, Empire state building, Grand Central station etc. Car rental only 5 mins away too for the adventurous and those looking to travel farther afield.Would i stay here again, yes, would i recommend this hotel, yes	
Dec 10 2008 	Liked the Hotel	I just got back from spending 3 nights in this hotel. I enjoyed my stay, the staff was very friendly and the hotel was clean. The restaurant that's inside has half price drinks 7 days a week for a few hours each night and the food was GREAT! The owner is on hand doing the cooking, the tortilla chips were fresh and the salsa great! Fresh wings, Fresh cut and dipped calamari, it was all outstanding! I didn't have any issues with the elevators or wait time. The rooms are small but having spent time in other hotels, they were the same there. We didn't go to nyc to sit in the room, by the time we came back at night, it was right to bed!	
Dec 10 2008 	Small but very nice...	This new hotel has its ups and downs. The staff was great! Friendly, responsive, and really helpful. The rooms are very small - not much extra space but you wont spend much time in your room in this perfectly located hotel. You are in the middle of everything and there is so much to do! The main downfall is the elevators....there are only 2 elevators for the entire hotel and it is hard to find a ride with room on it. Overall, a very nice place.	
Dec 9 2008 	Very nice hotel w/ tiny rooms and few amenities	Overall I enjoyed my stay at the Inn. It was a very nice and clean hotel, but for what I paid I feel like there should have been a lot more included. This is not a BAD hotel by any means, I am just used to receiving a lot more amenities for a lot less money (free breakfast, pool, fridge in room, etc.). The Good:- Hotel bar happy hour had half-priced drinks from 4 pm to 7 pm- Room furnishings; very comforrtable bedding - Location; very close to Subway stops and not far from Times SquareThe Bad:- The rooms were tiny! There were only two of us sharing a room and we felt very cramped. I can't imagine staying with more than 2 people in a room. - Elevators; there were only two and a few times it took a long time for them to come- Very few amenities; no pool, tiny &quot;business center&quot; and &quot;execise room&quot;- Hotel website claimed to have a mini-fridge and CD player in the room, but it didn't have either.Overall a nice stay, but in the future I will choose a hotel that offers more.	
Nov 30 2008 	Great location... shame about elevators and a bit pricey!	My partner and I chose this hotel because it's located near Penn Station - approximately 10 minutes walk away. We arrived from Boston by train, and walked four blocks downtown along 7th Ave to 26th. The lobby was small but the reception staff were very friendly, efficient and professional. Our room was on the 15th Floor - it's bigger than an average New York hotel room, with two queen-sized beds! These beds were amazingly comfortable! The TV was awesome. It offered 100's of satellite channels - if we didn't have go out and see our friends, I would have been very happy staying in the room for two whole days watching TV! The main problem about this hotel was its lack of elevators. There were only two of them, and both were tiny. Guests had to share them with bell-boys, cleaners and other hotel staff. So, sometimes we had to wait ages for it, especially in the morning. And other times, it was too crowded. We were on vacation, so it was OK - but for those in a hurry (i.e. businessmen), it wouldn't be so great. Secondly, breakfasts were not included in the price, considering we paid US$350 per night. Luckily, there were two McDonald's nearby - one on 6th Ave and the other on 7th Ave (24 hrs). The nearest subway station was two blocks away on 28th. Overall, it's a great hotel in the Flower District. Great location - right in the heart of Manhattan. We will definitely stay there again. And it may sound cliche, but &quot;We love New York!&quot;.	
Nov 26 2008	One person's cosy....	...is another person's cramped, or so this hotel's reviews would seem to indicate. We recently stayed there for one night at the start of a holiday and then four nights at the end. The first night we were in room 2507, on the top floor under the air conditioning system! A fabulous view towards the financial district did not wholly compensate for the noise level.Our twin room was, in the American way, funished with two double beds. While this worked in other hotels we stayed at on our trip it meant that, in the small rooms that this hotel possess, it was difficult to open, store and manoeuvre around two farly large suitcases. Our four nights were spent in room 807. There was still a noise problem from both within (an air conditioning duct runs down the inside wall of the '07' rooms) and without. I think that the bedroom windows should have been triple glazed, which would not have added a great deal to the cost of this recently opened hotel.As other reviewers have noted, lifts can be an issue. On our last morning one had broken down, a seemingly not uncommon occurrance, and it took my partner about 20 minutes to get down to the lobby with her case - she only managed that by getting in the lift while it was on the way up!On the plus side the hotel is within walking distance of many major tourist attractions and three subway lines. The rooms were clean and reasonably well appointed. The reception staff were as helpful as they could be given the chaos that sometimes reigns when a coach party are squeezing into the small lobby. I'd stay there again but I would be choosey about the room I'd accept.	
Nov 16 2008 	A great hotel	A fantastic view from the room.That sums up the hotel room for me.It also had a fantastic HD Flat screen TV, perfect air con, a comfortable bed and a great location. The 28th Street subway station is a 2 minute walk away, or you can be at MSG (Penn Station) in 5-10 minutes.The hotel room was not massive, but is ample for 2 persons.The room was very clean and although the hotel only had 2 lifts, I never had long to wait. There is a small gym and office with free internet access in the basement.I had a 21st floor room with views toward Empire State Building. Next time I will ask for a South Facing room to look towards Lower Manhattan.	
Nov 4 2008 	Never stay at this hotel for more than one night	I would never stay at this hotel again- never!There are two main issues that make this hotel inconvenient if you stay for more than one nightThere are only two elevators for the whole hotel- there are 25 floors so expect long long waits. Worse twice in a week one elevator broke down so on the last day we waited 22 minutes to get from the top floor to the lobby. I would have walked but we had luggage to bring down. Standard thru the week was a ten minute wait in the morning.As we had to check out we left our luggage and came back at 3pm to pick it up- again only one elevator was still working and they had moved our luggage to the storage on the 3rd floor. With a lobby full of people waiting for luggage we again waited for more than 20 minutes to get our luggage. Knowing they had problems with the elevators why would you move luggage from the lobby! I asked for a Manager but apparently she was working trying to find luggage for other clients and I could wait no longer. The staff look as if this is a regular thing and are shell shocked. They do their best to apologize but it must be agonizing to have to do this day in day out. The rooms themselves are fine- nothing elaborate but clean. If you are on the 25th floor do not stay in 2501 as it is right below the elevator shaft so you hear the elevator moving all night. I had to move after the first night. There are better hotels in the area- normally I stay at the Hilton Garden Inn on 28th Street but they were booked on the Halloween night.	
Oct 31 2008 	Good hotel with some things to look out for....	Type of trip: Leisure TripRoom Type Stayed in on Trip: Standard Room King Size BedMain things I look for this type of trip are:Central HotelQuiet RoomsClean RoomWelcoming / comfortable roomGood showerGood size towels Room fan / airconBlack-out curtainsIroning Board in RoomComfortable bed, duvet, with the ability to request feather pillowInternet in Room with area to workNon-essentials:Enough sockets to plug Laptop and phonesFilms on Demand on TV and good size TVToiletries provided and ability to order bathrobe and slippersRoom serviceGood breakfastExtras (Fitness room, sauna, steam room, pool)This hotel fared as follows:Central Hotel: Very, walking distance to Times Square, Macys, near subway.Quiet room: Yes and no, see further down.Clean room: YesWelcoming/comfortable room: YesGood shower: Yes, but no bath.Good size towels: Standard size not large.Room fan/aircon: Yes Black-out curtains: Yes, but not the best as some cracks.Ironing Board in Room: YesComfortable bed, duvet, with the ability to request feather pillow: Bed very comfortable, duvet and two types of good pillows however no feather.Internet in Room with area to work: Yes, internet is wired and wireless however can be very slow in the mornings and evenings when most of the hotel is using it.Enough sockets to plug Laptop and phones: YesFilms on Demand on TV and good size TV: New large flat screen TVToiletries provided and ability to order bathrobe and slippers: Toiletries provided but no bathrobe or slippers.Room service: YesGood breakfast: Did not eat at the hotel but bar did have very good cocktails.Extras (Fitness room, sauna, steam room, pool): Fitness room closed, however hotel did organise other facilities off site.Overall: New hotel, rooms are very small (compact) but are comfortable and well designed. You can however hear most of what is going on in the corridors outside the room. I recommend you use the room fan at full speed at night, this stops you from hearing any noise outside the room. The internet is stable however can be very slow. You can have to wait for the elevators as there are only two for a hotel with 24 floors with 10 rooms on each floor. All in all it’s a good little hotel and nicely comfortable.	
Oct 29 2008 	Nothing Special	Wanted to stay at the Holiday Inn nearer Little Italy, but it was book. So we were able to use Priority Club points to stay at the 6th Ave. location. Lobby was a hole in the wall and the room was no bigger. You could easily get claustrophobic in a space so small. Priority Club got us a room on the 21st floor, but that only made the wait for the elevator that much longer. Breakfast was miserable and high priced- oatmeal, granola with yogurt, tea and coffee came to $30. Starbucks was a better deal. After 2 days we were advised to have the key card rekeyed, but of course we got all the way up to the room to find that the key card did not work. Not near Times Square and not near Little Italy or WTC area. Really not good for much. Someone said that in a few years the area will be better, but who wants to wait. No service elevator so you have to compete with the bellmen and cleaning staff for the lifts.	
Oct 14 2008 	Loved the Holiday Inn Manhattan 6th Ave	This was our first time going to New York City, and we absolutely loved it. The hotel room was small but cozy, It felt like we were at home. The bed was the best I've slept on while being on vacation. The staff was so helpful and the location was great. When I return to New York I'll definitely stay at this hotel again without a doubt. The t-shirts are right when they say...I love New York!!!	
Oct 9 2008 	Loved it. Its great	Extremely professional service. The manager (Juniors ) was extremely helpful and professional. The rooms were a little small, but its a new hotel and we were provided a room on the top most floor( 25 th) . Comfy bed, very very clean room and bathroom.	
Oct 9 2008 	Very Happy with this Holiday Inn	I read the reviews and was concerned. Instead the check in area was small but just fine- there were maybe 15 people in the area and we still got right to the front desk and checked in quickly. The front desk staff was professional, courteous, and genuinely wanted to assist with any travel/tourism needs (same at check out). The room had a nice view of downtown. It was smallish, but sufficient with a new mattress- new everything! The bathroom was small and very basic- but this is no Ritz Carlton, and in NYC size will be reduced. The location was sufficient.I nornally don't stay in Holiday Inn hotels (hilton, hyatt...) but I liked my stay and would recommend that anyone consider this hotel.	
Oct 7 2008	commencement of a long holiday	We stayed here for two nights the commencement of a three week tour.We were very happy with the location and with the hotel as a whole.We enjoyed an evening meal here which was good.	
Oct 5 2008 	OK but could be better	Stayed here for two nights at the end of a coach tour. As stated in an earlier review, this hotel does not appear to be able to handle coach tours. The lobby area is very small and can quickly gets filled up with luggage. Only having two lifts causes major problems and major delays. Our tour arrived an hour before check in which seemed to cause chaos with luggage being left on the sidewalk when porterage had been paid. Reception staff were generally OK but could be unhelpful at times. Only a limited number of securty boxes were avalable which is a surprise considering how many rooms there are in the hotel. The room itself was good but small with very limited storage space. The hotel location was very good	
Oct 5 2008 	Wouldn't recommend this one	As with other reviewers I found many delays with the lifts. 25 floors and only 2 lifts doesn't make sense. Add that to a tiny and very crowded reception , and keys that didn't work on two consecutive days mean that this is a hotel to which I won't be returning. The young staff were helpful though , and being on the top floor I had no problems with noise.	
Oct 5 2008 	Another good Holiday Inn	We stayed here for two nights at the start of a family holiday. The room was a little small, but hey, this is Manhattan! The hotel itself and the staff were great, very helpful, very slick, good luggage handling/storage etc, and the only wifi of the holiday which accepted my own outgoing mail server. We didn't do breakfast (expensive) but there are lots of diners and restaurants just around any corner. If you just want somewhere comfortable, clean and secure to lay your head, this is as good as any. It pays to watch the website very carefully for prices - we got two nights cheaper than one night the following month.	
Oct 2 2008 	Below average hotel	Allow extra time on your holiday to take into account the time you will have to wait for the lift. Everything seemed good until we got to our room and found it was a tiny double. We had booked a twin about 6 weeks previously. Thought it was a mistake so went to reception - they said that they had overbooked on twins (hadn't bothered to tell us) and their manner indicated that it was not their fault and we would have to put up with it. Made a fuss and eventually given a twin room. Room was tiny - nowhere to put two suitcases down and furnished with items way too large for the room - the light took up half the desk. Air conditioning too loud to have on at night. Housekeeping seemed to vary from ok to having tea bags, paper cups and pillows strewn about the room.Couldn't wait to leave.	
Oct 1 2008 	OK but housekeeping is hit and miss	The hotel is in a good location, close to very good bars and restaurants in Chelsea. Several subway stops within a couple of blocks.As it's new , everything is new and clean. Good HDTV, free wifi and printers available in the business centre.We didn't have to wait too much for the lifts, however they did break down one day (when we were inside!). We also found the room quiet with no street noise (we were on 23rd floor), and had a great view of the Empire State Building.Rooms are small, but I gather they're about normal for New York!My main issue with this hotel is the housekeeping. One day the towels were not replaced, and it took several calls to get them. Another day coffee cups weren't replaced. Another day bins were emptied but no replacement bin liners put in.Maybe if the staff spent less time joking about in the lifts together then these things would not be forgotten??Reception staff were very friendly and helpful though. Overall we were happy, but the room was free (reward points), at $400 a night I may not have been so impressed?	
Sep 24 2008 	You'll need PATIENCE and EAR PLUGS!	Ok, so its one of the newer hotels for IHG in New York, still struggling to find its footing. However, the people that put this hotel together were obviously in a rush to make a buck. There were 2 big issues during our stay, the first being the NOISE and the second being the LIFTS.The noise issue is not only the normal external sounds you associate with New York, such as the rubbish truck that comes calling at 12am, the bottle collectors that come at about 3am and then the tour buses that sit outside the hotel idling from 6am - we would have thought double glazing was a minimum standard here. But the biggest issue is the inside noise of other guests and of the doors closing in neighbouring rooms. There are 10 rooms on a floor, and every time someone opens or closes their room door you will hear it, everytime someone is waiting for a lift (all the time, more on that later) and talking - you will hear it, and everytime the maids start yelling in the corridors you will hear it. So bring ear plugs, you'll need them. It wasn't like we were in the hotel room a lot, but when you are - you will wish you weren't.The other big issue is the lifts. The hotel has 25 floors with roughly 10 tiny rooms on each floor, so you can imagine how long you will wait for a lift to get up and down! A high floor will be good for less noise, but you will sacrafice time waiting for a lift. There also appears to be no staff lift, so often staff will clog the lift's use using it to go up a few floors, the maids getting to their floors in the morning, calling a lift then deciding to take the stairs and so on. Plus if a Porter needs to use it with a trolley, it will take up half of the lift leaving room for only another 3 or 4 people. It really is frustrating. As a result many people resort to having to use the stairs, but you can't get to the lobby level by stairs you have to go to the basement or to the outside fire exit., oh and watch out for all the floor's rubbish that the maids have put in the stairwells as well waiting for collection. The hotel also really struggles to handle groups, as the group all arrives at once, as the lobby is so small there is no where for them to wait, then they all cram into lifts, the lobby is full of luggage, and so on - just not group friendly.Staff didn't really interact as well, generally not friendly or helpful, no apologies for a few things they stuffed up - just no attitude of caring.Overall very disappointing. Won't return. Tiny, tiny rooms - be very aware.	
Sep 23 2008 	Close to Penn Station - Great stay friendly staff	Was going to NYC to catch some local bands over 2 nights, so wanted to stay one night vs 3 hr trip home and back...or train to NJ and back. Found the Holiday Inn at 6th Ave had a low rate for reward nights, and positive reviews, so booked it.On arriving Thursday, it was a quick walk from Penn Station to the Holiday Inn, about 6 blocks. The front desk had 3 people working and I was helped right away. Check-in was maybe 2 minutes!The room is on the smaller side, but not too crowded to me. All new furniture, fixtures, flat screen tv. The room was very clean, as was all of the hotel that I saw. I like the location, kind of midway between where I visit in midtown and lower east/west side. If you have a little time and energy, an easy walk to Times Square or midtown. Easy cab ride, or long walk, to lower east side.They do have a business center in the basement, with 2 computers, that you can use for free. Easy to access and check email. Staff was friendly and accomadating. I was also able to leave my bag there thru the day and pick it up before I left Fri night. All at no charge.I'll definately check here again for future trips to NYC!	
Sep 23 2008 	Echo 2travelers	Nice hotel, updated rooms thought small, ours had a decent view of the Empire State. Only two lifts (elevators!) so very busy, could take 10 minutes toget down. Nice staff, quick and efficient check in and out. Quiter area, need to walk to busier areas, but like all NYC safe.	
Sep 15 2008 	Holiday Inn is OK for some but maybe not all	We booked two nights (Fri &amp; Sat) for a weekend in NYC. We used a &quot;discount&quot; hotel site and to be honest, even the so-called discounted price seemed a bit steep for a property of this type in this location. The big pluses: hotel is brand new as of June 08 so everything is still fresh and clean. The staff we interacted with were efficient and friendly. Did not eat in the hotel restaurant; can't comment. The building itself is small - only ten rooms per floor! The room we had with one king bed was well appointed with large flat screen TV (hundreds of channels) and a coffee maker. But it was small, with a VERY tiny closet and just a few drawers for clothes. Naturally, since we paid a &quot;discount&quot; we were stuck in a room right by a very loud air intake vent in the hallway - sounded like an airplane engine even with the door closed. We are sound sleepers so it wasn't an issue for us but it might be for many. The bathroom was very small but it was new and clean. Lots of towels. Complimentary items were limited to a bar of soap, small shampoo and small lotion (no shower cap or hair conditioner). The room was just fine for two people for a weekend but it could be an issue for longer periods of time. We were also on one of the first few floors so we used the stairs going down - it was a real time saver. The elevators were very busy and we did hear others complaining about how long it took for them to get to and from their rooms. I would not recommend this hotel for tourists unfamiliar with NYC. The location is not that great unless you are confident using the subway and/or can walk comfortably for several blocks to get to restaurants. The Chelsea area is really nice and is off the beaten track but it doesn't have a lot of touristy things to do. The front desk staff are good at checking people in and out but limited with their advice for what to do in the area and how to get around. Had to interject at one point because they were advising an elderly, somewhat frail-looking foreign couple to take the subway somewhere instead of a cab. The subway was on a goofed up schedule due to track maintenance (very common) and it would have entailed transferring lines. Thankfully they decided to take a cab and I'm sure they arrived at their destination fine. Overall, this is a good location if you are an intrepid traveler, familiar with NYC or staying for a brief visit. Otherwise, you may want to consider another location closer to more familiar sights.	
Sep 10 2008 	Great new hotel nice little location - getting over any teething problems	I stayed here for 7 nights on a mixture of business and travel. Overall, I would say it was a good experience.Plus points: I really liked not being up in the hustle and bustle with all the tourist hoards, this is nearer Chelsea and the Garment district. I also found the free business centre a plus and the staff really helpful at all times. Going back to the location, you're close to the Fashion Museum/College so handy for that, there's a CVS down the street, Whole Foods a few blocks and various other stores around. Easily walkable to the Square Garden and 34th St shops like Macys. Negatives: I might have been something to do with the hotel being relatively newly opened but on occasion there were some issues with the lifts being operational (altho only 1 out of action at a time) so sometimes it was painfully slow waiting for the lift. I was on the 22nd floor, so after a long day didn't really fancy the walk!Rooms: I had just the one bed, it was perfectly comfortable, choice of pillows. Flatscreen, two phones, tiny wardrobe and some drawers. Bathroom fairly compact, shower only though which suited me. There are only 10 room rooms on each floor I think and altthough you could hear noise from doors closing I couldn't really hear the people around me. I had a high floor room at the back of the building. Now, I'm not sure where it's an upgraded room type but I had a great view across to the Empire State Building, so it might be worth asking as decent veiws can be hard to come by in NYC hotels. I did have room service, which was adequate and came in good time - but didn't try the restaurant. Overall, I would stay here again as it was in a good location and a budget hotel.	
Sep 2 2008 	very modern new hotel with great location	Stayed here for 5 nights. Had a room 1907 which was a corner room with 2 double beds. There was 2 adults and 1 child in the room. THe beds were very comfortable with luxurious bed linen and a choice of soft or hard pillows. It was a regular size for NYC, the two beds in the room, a desk, a small closet with iron and board. You had to clean up after you as it was easy for the room to seem like it was a tip due to the size.There was a flat screen tv, air conditioning which was lovely as the weather outside was in the 90's. Our room looked south and you could see other buildings. However, some of the rooms did overlook the Empire State building. The hotel is 26th st and 6th ave end. It was 5 mins walk to Penn Station and the nearest subway was 7th ave and 28th st. or broadway and 28th st. There were plenty of deli's nearby so dont worry about the lack of mini bar in the room. There were also ice machines and vending machines on 3 separate floors These had soda, water(2usd) and crisps and sweets. There was also an Olive Garden and McDonalds and Starbucks on 6th Ave. All within 5 mins walk. There was also a nice bar called Rogue where you could sit outside on 6th Ave. This had a nice seating area outside. There was also a bar next door to the hotel that looked nice.The bathroom had a small bath with adequate shower and small sink with hairdryer and basic toiletries. The towels were fluffy and replaced when required. The maids need to look at the rear of the bed though as we found a pair of mans underpants (yes a bit disgusting) and a mens deodrant. I wouldnt let this put you off though as obviously the staff are very new in the hotel. The staff were friendly and they stored our bags for us and sourced us a taxi with enthusiasm.The reception staff were very friendly and welcoming and tried very hard to keep you happy.The reception was small but hey alls its for is passing through. There was a bar next to reception with comfy sofas and bar stools. They were friendly and offered us lunch or evening menu on the night we ate there. The evening menu was a bit expensive but normal for a hotel in NYC. It was 8usd for a large glass of wine. The food was good and kids ate free and got a free soda. Next to this area was the restaurant which was part of the bar area. I gather this is where breakfast was served.I used my hubbys priority points for the trip and it was only 15000 a night this is very good for NYC as normally you would need 25000-40000 per night.There were no safes in the room. However, there were free safety deposit boxes at reception. If you lose the key they charge you 350usd.On the basement level there was a small gym area and a business centre. There were 2 computers with free internet. This closed at midnight. There was also free wifi in the hotel room if you had your laptop.Would I stay here again. It would have to be a yes. I would only pay 250 a night max though as i think there is other NYC hotels that have slightly larger rooms,.	
