	Good hotel but a bit far out for sightseeing with a toddler	My husband and 2 year old son stayed here for three nights over the Thanksgiving weekend. We got an excellent rate through priceline and the front desk staff upgraded us to a superior room on the 33rd floor. We had a big room with fantastic view of the hudson and jersey city. There was a small fridge in the room to put milk and yogurt for my son. The hotel is a standard marriot and the rooms are rather large for a Manhattan hotel.The 85 west restaurant has a decent menu but a bit pricy ($20 for a burger). We had breakfast from starbucks one day and the other mornings went to a diner a block away (Georges) which is excellent. I can't compalin about the hotel except I would not stay downtown again for sightseeing or shopping. Also not that many restaurants around.The hotel is one block from ground zero and in general there is a lot of construction in the area with sidewalks blocked off and traffic diverted. The subway stations are very close for getting into town. It is a 20 minute ride to midtown and 25-30 to uptown/central park. All in all, a great hotel but not the most convenient location for midtown sights, especially with a child and a stroller. We also prefer to come back to the hotel for naps and that was inconvenient from midtown as taxi ride is about $30. On the plus side, the ferry for liberty and ellis islands is 10 minutes walk from the hotel.	
Dec 4 2008 	Nice Hotel; Friendly Staff	It’s a nice and clean hotel. The staff is very kind, helpful and accommodating. Since the hotel is located downtown in the financial district, it’s not close to any of the touristy sites. However, the subway is about three to four blocks away. So, the trip to Time Square /Uptown is a short trip. Ground Zero, Battery Park and the Staten Island Ferry are within walking distance from the hotel. The elevators are slow, but not a deal breaker. There is a lot of construction outside. Overall, it was a good experience. I’ll definitely stay there again. I really like the room and I had an awesome view of the river.	
Nov 22 2008 	wonderful hospitality	It was fabulous, they looked after us so well. We had ordered a stretch limo to collect us from the airport and the whole holiday did not disappoint. Exceptionally clean and comfortable. All and more. Do not take heed of the problems with the lifts hardly bothered us at all.	
Nov 10 2008 	Decent Marriott in Financial District	Marriott Downtown is decent hotel in Financial District, steps away from ground zero. I stayed for business as it was convenient to my meetings; it's not near many touristy sites if you're visting NYC. Room included: hair dryer, iron, coffee maker, flat-screen tv, expensive high-speed internet, in-room safe, bath amenities shampoo, lotion, conditioner, etc.Pros:* Spacious and clean* Comfortable bedCons:* Noisy hallways* Elevators currently under repair and caused some delays in waiting* In-room safe was in a drawer, making it difficult and heavy to open.	
Nov 5 2008 	Nice Hotel/Boring Location	Stayed Saturday night in November, 2008. Bid $250.00 on Priceline.Location: accross the street from &quot;Ground Zero.&quot; Can observe the construction outside room's window. Financial district area is dead on weekend and after hours. Subway stop three-ish blocks away.Appearance: fairly new, probably from renovation after 9/11. Everything had a better than standard look, but definitely not &quot;luxurious&quot;.Recommendation: stay, but weigh in costs in time and money of traveling to activity centers (e.g., 42nd Street).	
Nov 4 2008 	Clean great service and room	Very friendly and quick service--- let me check in as early as 9:30am, even though it said 3pm. Small fridge under the TV in cabinet. The room and bed was very comfortable and clean-- large LCD TV as well and fantastic shower head.	
Oct 31 2008 	Great room great view but a little out of the way	We stayed at the hotel for my husband's business trip. It was a very clean, warm, nice hotel. Warmth was important to me since it snowed during the entire trip! The staff were friendly and I have no complaints about the room or hotel. The one thing that would keep me from staying there again is the location. It's not really close to anything to see or do while in NYC. It's in a location more for business. Overall though, great place to stay.	
Oct 29 2008 	Good Value Hotel	We stayed in this hotel (2 plus 13 year old child) after previously using hotels in and around Times Square. This hotel was an improvement on all of the others. From the moment we checked in, we were made to feel welcome. Our room consisted of 2 double beds which were more than adequate for our needs, and the maid service was excellent. Although not exactly central, there are still loads of restaurants/bars/deli's in the immediate vicinity. Check out the small Thai takeaway just near the back entrance - delicious, cheap food on your doorstep. The hotel pool was pretty good and made a nice start to the day. I would highly recommend a walk to the nearby Battery City Park &amp; the Winter Gardens. from there you can walk up the west side of the Hudson or down towards Battery Park &amp; the ferries.The downsides - room service was ridiculously expensive ($7 for a bottle of water, $42 for a pizza &amp; pepsi ) and put us off using it again. The issue with the lifts seems to have dragged on for ages. Only one lift went as far as the 12th floor where we stayed so it could be a bit of a wait. The bad news is the work to upgrade them will take a few more months. I dare say they'll get there eventually.Overall - a very positive stay at a good hotel. I would definitely use the Marriott Downtown again.	
Oct 18 2008 	Mixed Experience	if you get a good deal, the hotel is certainly ok, but can be crowded with large travel groups. Our room was on the 6th floor, which could only be reached by one of the four elevators, since another one was under repair. This arrangements resulted in frequent and partially long waits for an elevator, which in this hotel category and price class are not acceptable. The hotel room was large and the bed and furniture were comfortable, however the ice machine opposite our room was noisy and could be heared in the room during the night. When the air conditioning failed, service was quick and upon return to the hotel, everything was working again.Overall, the rating reflects that for 1600 EUR for 5 nights, we simply expect a better, less noisy room and hassle free elevators. However, the Roys Restaurant was delicious, albeit pricy.	
Oct 16 2008	Can't praise this hotel more highly	My husband only requested a river view room because this was my belated 50th birthday trip and this was all we hoped for at the most. We arrived without our luggage late on Wednesday night to find that we had been upgraded to a junior suite and were given toiletry packs to help us out. On the desk in our suite was a cheese platter, a box of crackers, a bottle of champagne and two champagne flutes, a box of Godiva truffles and an individual Godiva birthday cake shaped truffle. When I walked past the coffee table I noticed a plate with a cover under which there were chocolate dipped strawberries on it. It was like my birthday all over again! I was deeply touched by their kind thoughts and attention to detail.We went down to the lively cocktail bar off the lobby (not one of the dead dull places that some hotel bars can be) at about 11.30pm, starving as the second meal on the plane was pizza and I am wheat intolerant and my husband hates cheese! They serve until midnight and their French onion soup (minus croutons for me) was excellent. Their Cosmopolitans were very good too.The next day at about 5pm there was a knock on the door. With sore feet from shopping I padded to the door and there was a member of staff with another plate of chocolate dipped strawberries and half a bottle of wine! I felt truly spoilt.The hotel is fitted out to the high standard I have come to expect from Marriotts, with very comfortable beds and pillows (I needn't have brought my own memory foam one, theirs was just as good - note to self!). Yes, the elevators were a little slow but not tragically and they are working on them. It is sad to be able to see Ground Zero while you are waiting for the elevators but we need to remember what happened just around the corner, not forget it. It is in an excellent location for getting uptown on the Subway with Rector Street station really just a couple of blocks and a few minutes away. It is on the best line for getting to Loehman's at 18th Street for great bargains, and you just have to stay on a while longer for Macy's at 34th Street. The view across the river was worth requesting as there is the impressive looking Goldman Sachs Tower on the other side. It was the manager who found that out for me and she even attached the page from Wikipedia explaining which building it was after I got home. That is the level of service provided by this hotel.We had a wonderful time there in spite of my luggage taking a full 48 hours longer than me to arrive. A big thank you to all of the staff who made it special for me.	
Oct 16 2008 	Great weekend value	Went to NYC with my husband and parents for an overnight and was able to snag a double room for $350! An amazing deal for NYC, and still not sure how it happened. We got to the hotel at 11am, checked our bags, and then went out sightseeing and did not actually return to check in until 11pm.The room was impeccable, comfortable beds, nice decor - obvisously very set up for the business traveler but it was perfect for our one &quot;crash&quot; night. We were up and out by 9 am the next morning, so really didn't spend a lot of time there, but it served our needs. Staff at check-in was friendly and efficient.The only drawback is the location - it's downtown near Ground Zero and that's not a very happening area on the weekends (especially Sunday morning). If you plan to do all of your sightseeing up in Midtown (Rockefeller, Central Park, Museums, etc.) then you may not like the location.	
Oct 9 2008 	Great base for 4 girls	I have just returned from a stay at the Downtown Marriott (2nd-6th Oct). I was travelling with 3 friends &amp; we stayed in a 2 double bedded room. I was a little worried about 4 of us in one room; the amount of space, one badroom, getting ready etc. However our room was great, it was clean, had everything we needed and enough space &amp; storage for us all. Admittedly we were not in it very much as there is so much to do in New York, but as a base and for the price it was excellent. Do not go if you are after luxury and personality. The only thing I could fault is the fact that one of the elevators was not working (you had to wait a good few minutes for one to arrive) and the staff on the reception desk were not very friendly. I'd reccomend it to anyone going to New York who wants somewhere that is clean &amp; good value as a base.	
Sep 23 2008 	Excellent Hotel	We recently stayed in the Downtown Marriott for a couple of nights and found it to be an excellent hotel. Fortunately, my husband had Marriott points that covered our 2 nights stay. The location was great for visiting Battery Park, going over on the Staten Island Ferry and as it was also located very near the Rector Street Subway station, we found it useful to catch the no.1 train to travel further uptown. As it's location is close to Ground Zero, there is a lot of construction work nearby but we did not find it to be problem at all.Our room was a king size, beautifully clean and large compared to hotel room sizes we've stayed in when travelling in Europe. The bed was so comfortable too. There were plenty of towels available in the bathroom. Other room provisions included a really good hairdryer and an iron and ironing board. The facilities were great. There was a Starbucks cafe - handy for breakfast, but really busy early in the morning as a lot of business people staying at the hotel find it useful. I believe there is another bar but we didn't use it and also health facilities - pool/sauna, again we didn't get a chance to use them.We had a room on the 10th floor, the view was pretty good - we could see the Hudson River in between buildings opposite. I guess higher floors have an even greater view.We would definitely stay here again.	
Sep 18 2008 	Wonderful hotel great views	We stayed for 2 nights over a weekend at the end of August. The room rate was incredibly good, given the standard of this hotel: $219 a night for 2 adults plus 2 kids in a double queen room, pre-paid rate!I had requested a room on a higher floor, which , to my surprise and pleasure, we got. The room was amazingly clean and comfortable with ample space for the 4 of us.Probably the best thing was the view - or should I say views- right over to the Statue of Liberty. Plus, from the second window, my architect husband was equally thrilled to be able to follow the buidling site under construction just opposite (without the noise, of course, great soundproofing).For our girls, a major plus was the heated indoor pool, a real treat after a day's sightseeing - Battery Park is so close, we got on one of the first boats to Liberty/Ellis after just a 10/15 min walk. Century 21 is also nearby, as is Wall Street and only a block away you will find Ground Zero -we even took a photo looking down onto the site from the window by the hotel elevator. This hotel may be a little off the usual beaten tourist path for NYC, but the rest of Manhattan is just a short subway ride away, and to be honest, lower Manhattan near a weekend ( we stayed Thurs/ Fri) is refreshingly calm compared to non stop Times Square.The staff were ALL cheerful and very obliging ( special mention for the guy by the pool). The elevator renovation really didn't bother us, but then we were there as tourists, not on business as most of the hotel guests seem to be.We ate at Roy's on our first evening - excellent food, nice bar-like atmosphere, a bit pricey.Breakfast was from the in-hotel Starbucks ( how convenient can you get?) rather than the 'official' one , and you can even buy souvenirs from the hotel's gift shop if you are in a rush.Overall an excellent experience. I wouldn't hesitate to recommend this hotel.	
Sep 17 2008 	very nice place	This was a very nice hotel. The rooms are large for a NY hotel. The linens are fabulous. The lobby was pretty. The view was nice. One of the elevators was out of service but we didn't have to wait too long on any given day.	
Sep 9 2008 	More Than I Expected!	Not really a fan of Marriotts...only because of some of my former stays, but this was a class act! Excellent accomodations (spotlessly clean) with a great bed and view . Wonderful and very helpful staff. Area perfect for lower Manhattan sites and easy access via subway to other parts of NYC. Lots of restoration/revitalization in the area. Enjoyed a walk along the river in the morning with our coffee!	
Aug 29 2008 	Fantastic	I was delighted to find a deal on Expedia at such a reasonable price for this fantastic hotel. It was my first visit to New York and I had been looking forward to going so much, and I wanted everything to be just perfect so I would have loads of great memories and be happy that NYC lived up to its hype. I was so glad that we picked the Marriott Downtown as our hotel. We arrived on Boxing Day late at night. Everywhere was so quiet and I just put it down to the fact that it was Boxing Day and people were doing family things. But throughout our entire stay this location proved to be a very peaceful retreat despite being on a major road and one block from the World Trade Centre site. In a city as buzzing as New York, a quiet respite is a truly welcome thing. We were greeted by very friendly and welcoming desk staff on check in and quickly made friends with a very helpful and chirpy doorman who was so much fun to chat to. You could tell by talking to him (I believe his name was Sandy) that he loved the city he worked in and he gave us a spring in our step as we left the hotel to explore the city!Our rooms were plush and clean. The beds were SO comfortable and I found it hard to say goodbye to them. We reserved a standard room and had a decent view, we could see the Statue of Liberty and some of the immense skyscrapers of downtown. The turndown service was impecable and every day we had our bathroom restocked and the cleaning lady even folded our pyjamas! Despite being downtown and some distance from the hive of activity up in midtown, this hotel is only round the corner from Rector Street subway and like I said WTC is one block away with loads of access to uptown. That being said there's plenty to see and do in this neighbourhood too! Wall Street is only a few blocks away, the shops of Broadway even closer and why not take a ferry ride to Staten Island from the South Street Seaport to take in the views of the skyline. There's also the heliport for aerial views and you can catch a boat over to the Statue of Liberty from Battery Park. All of which are within a 15 minute walk from the hotel.I absolutely loved staying at the New York Marriott Downtown and wouldn't hesitate to stay here again, in a New York Minute!	
Aug 26 2008 	Great place to stay.	Recently stayed at the Marriot Downtown NYC for four days with my husband and two teenagers. We had a very good experience there and would consider staying there again. I got a great rate through Travelocity so that helped. The hotel is right next to the World Trade Center site and there is a lot of construction going on - but it didn't bother us at all. The exterior of the hotel is nothing special but the location is great - near a couple of subway stops, lots of little restaurants and stores (including Century 21 which is absolutely insane but worth it for designer clothes and handbags at about 1/2 the price). The room was small (normal for NYC), the hotel was very nice inside - a lovely stained glass light in the lobby, a Starbucks and Roys - apparently a great restaurant although we didn't go (it was a bit expensive). Front desk, bellmen and concierge were all very nice and helpful. They had chocolate fondue in the lobby one afternoon - it was a nice little treat. The only complaint I have is that there is sometimes a wait for the elevator - but nothing that would stop me from going there again.	
Aug 16 2008 	NIce stay	I booked this hotel with my airmiles and it was certainly worth it. The hotel is positioned well for sightseeing Battery Park,( ferries to Statue of Liberty , Statern Island ) South Street Sea Port, Ground Zero etc but a way to go for Times Square and Central Park. All was very clean, the beds were heavenly and there was enough room for all 4 adults. We had an amazing view just missing the Statue of Liberty. The bar served very nice cocktails and you had a choice of a restaurant or Starbucks inside the hotel if you wanted breakfast there. Otherwise there were lots of cafes and bars around about. We used the swimming pool which was clean, warm and a reasonable size. What really made the hotel however was their service- everyone wanted to help and they were all very pleasant. They were having problems with the lifts when we left and the bottled water was expensive in the room which is why I have given this 4 and not 5.	
Aug 14 2008 	Great location for neighborhood vibe	We have stayed in this property many times and on two occasions this summer. The location is downtown and the bike and walking paths with river views run for miles along the Hudson and begin in this area. It is a perfect spot to bond with the Statue of Liberty! We like the downtown area because it is quite and has a neighborhood feel. The hotel is close to Tribeca, the Meat Packing district and Soho. There is a large movie theatre just blocks away and many wonderful restaurants and the rest of NYC is only a cab ride or a subway ride away. The hotel has come a long way since it began it's renovation. The rooms are fully up to speed, but the elevators are a different story. They are being refurbished and in the mean time are extremely slow. The concierge was okay at best ( we live in Northern New Jersey and are in the city all the time, so for us it did not matter much). Hotel staff were just going through the motions and security did not seem to be around ( which on our last stay over a year ago very much was). The concierge lounge was very nice and breakfast was fine there. It was nice having a Starbucks inthe lobby. We would stay here again for the views and because we like the general area, but would like to see hotel management instill a &quot;can-do&quot; attitude with it's employees. We will wait until the elevator refurbishment is complete!	
Aug 13 2008 	Fair price for a great Manhattan hotel!	We booked this hotel as a last-minute thing for one night (extended trip for one day, stayed at the Millenium Hilton the other two nights). We paid for $299+tax/fee from the hotel's website, for a King regular room. It was running a special that the room rate includes a $50 Exxon gas card (1 per stay) which was very nice. We enjoyed our stay very much and will definitely go back.&gt; LOCATION – not that close to a lot of tourist spots, but is convenient for taxi and close to subways. Chinatown/SoHo are all within walk-able distance.&gt; CHECK-IN – very smooth, polite and professional. We waited in line for ~3min and check-in took ~2min.&gt; ROOM – nice sized room for the price, compare to other hotels I’ve stayed, especially for the bathroom; very clean and fresh, with all the typical amenities you’ll need; closet is a bit small but typical for a Manhattan hotel (it is actually a bit bigger than the Westin at Times Square). Bed is super comfy (seems like all hotels are upgrading their beds these days). See uploaded photos I took.&gt; VIEW – good view for a harbor-view room – you can see decent amount of the harbor and lady Liberty in the distance, but in between other surrounding buildings.&gt; SERVICE – superb! A hotel clerk offered the service elevator after we checked-in since 2 of the 3 main ones are being ‘modernized’ and he said we could wait for a while. He was very professional with everyone at each stop. We got a tray of cheese &amp; fruit as a welcoming gift shortly after we entered the room. The next morning a manager called just to tell us the weather forecast and to wish us a nice day. All these little touches do make a difference.&gt; OTHER NOTES: 1)Hotel entrance faces the north bound of West street which is a divided big street. If you take a taxi to the hotel on West street from the north, try to get off across the street and walk over, otherwise the taxi has to go down a lot further to make a U-turn. 2)It’s better to reserve a car pick-up service from the airports since it’s cheaper than taking a taxi (and more comfy) – ~$30 for LGA, $40-45 for JFK. They are flat rates for Manhattan (higher rate for going back to the airports).	
Jul 14 2008 	Great hotel affordable luxury.	This hotel was one of the few in Manhattan that was able to accomodate our requirements; a room for two adults and two teenagers and a pool. We were very pleased with the price and felt the hotel offered very good value for money.It was very clean and luxurious with extremely comfortable beds with lots of pillows. We loved the pool - the changing area provided everything you could think of eg. towels, hairdrier, body wash and shampoo. The staff were friendly and helpful; the concierge arranged for us to take a helicopter ride at a special time that suited us.We loved the breakfasts - all you can eat buffet being the highlight. The hotel is downtown,about a 10 minute subway ride from Times Square, but these are easy to negotiate and cheap and, of course, its very easy to get a cab. This means that you are very near Battery Park and virtually next door to Ground Zero. All in all, an excellent hotel, we thoroughly enjoyed our stay and recommend it.	
Jul 13 2008 	great	The staff was great, and the room was better. We stayed for two nights. Only two blocks from the # 1 subway train. We had a great view fo the Hudson River and Ellis Island. I would stay again.	
Jul 12 2008 	Marriott "Downtrodden"	We all know that the location of this hotel meant it suffered in extremis on Sept 11 and the committment of the staff to keep the hotel operational in those dark days was deeply impressive.However, 7 years on, this Marriott is showing its age. The public areas are good with a cosy &quot;Cheers&quot; style bar and a good restaurant. However, the rooms are simply no longer good enough and need total rennovation.Given that it's not particulalry cheap, it will need to up its game substantially if it is to compete in the years ahead.Thankfully, there is a programme to renovate the rooms and you are strongly advised to check beforehand.The proximity to the WTC site is also unfortunate due to the construction and can be upsetting. It's also a long way from the cut and thrust of the city (even the financial district is a brisk walk) and one is heavily dependent on the west side highway. That said, we stayed there to demonstrate our committment to help regenerate that part of Manhattan.With so many good properties in Manhattanm we are likley to try our luck elsewhere for the time being.	
Jul 10 2008 	View of Lady Liberty on the 4th of July!	Stayed here overnight on July 4th to be in a convenient place to walk to the fireworks. This is a great hotel! I am a big Marriott fan and am so for a reason. I have yet to stay at a Marriott that has disappointed me. Location: I live in CT and have been to NYC many times. If you have never been, you may find the Marriott Marquis in a better &quot;touristy&quot; location, as it is smack dab in the middle of Times Square, but I wanted to be able to walk over to South Street Seaport to watch the fireworks. This hotel is a 5 minute walk to Battery Park where you catch the ferries to Ellis Island and the Statue of Liberty. Its about a 10-15 minute walk to South Street Seaport, and around the corner from The Twin towers site (I get chocked up just writing those words). If you do drive in from CT (or anywhere in New England) follow the hotel directions and do the FDR, not the West Side Highway, much less traffic and easy. Hotel: I had read the reviews here before booking (I always do!) and knew that the elevators were slow, so I was prepared to wait. And as a matter of fact, it wasnt that bad and they are in the process of replaing them with high speed elevators! From the moment we pulled up to the hotel, we were greeted by one of the nicest Bellman that I have every met! (ps its $50 to valet your car for 24hours). He set the stage for all the staff that followed. Tennile was a sweetheart at the front desk. We asked for a room with a view of the Statue of liberty , she checked and was able to accomodate us! we stayed in room 3604-- awesome view!!! The room was clean, bright, flat screen TV, nice marble bathroom. Bed was definatley not the &quot;marriott bed&quot; but it was fine. We had a package that included breakfast for 2 in Roys Rest. off the lobby. It was a very nice buffet with all you could want! and the staff there just couldnt have been nicer!! there is also a real Starbucks attached to the hotel, so you can enter right thru the lobby. if you stay here, you cant go wrong!	
Jul 5 2008 	Easy location for all of Manhattan - Allowed 4 adults in room	This was one of the only hotels in Manhattan that allowed 4 adults in the room which was a huge cost savings for us! We got a good rate by staying over a holiday weekend, since this hotel caters to business travelers. Even though it is down at the south tip of manhattan, I found it to be very convenient to everything we wanted to do since it is close to 3 major subway lines. We saw a broadway show and then easily took the 1 Train directly from Times Square to Rector Street by the hotel - no changes. The rooms were comfortable and nicely decorated. Nice gym and pool. And a starbucks in the lobby - perfect!	
Jun 21 2008	Bittersweet stay at NY Downtown Marriott	Every February we look forward to a saturday evening in Chinatown in New York City to celebrate the Chinese New Year with our adopted daughter who is Chinese and several other adoptive families and their children. This year we were able to find a room at the downtown Marriott for $250 (room plus tax) and decided to stay overnight so we could catch the famous Chinese New Year parade on Sunday. Since we had to drop off my older daughter at Newark Airport on the way, I printed out the directions from the Marriott website. Unfortunately, the directions were incorrect, indicating that you should turn right onto Laight street after exiting the Holland Tunnel. Since we rarely drive into the city, I turned right onto Laight street and was promptly stopped by a cadre of police officers who were pulling one car after the other over and ticketing them for not going straight as the green arrows indicate. There is no sign indicating that a right hand turn is illegal. Shortly thereafter, we arrived at the Marriott - valet parking is the only way to go as it is $50 for the night. Our room was well appointed, comfortable and private. Yes elevators are slow. We took a quick 10 minute taxi ride to Chinatown to meet up with other families where we enjoyed a wonderful Chinese meal and then toured the endless row of stores and outdoor bazaars. We decided to take the 30 minute walk back to the hotel with another family and enjoyed the peacefulness of the area as well as the architecture. Since the hotel is very close to the ground zero, we stopped to observe the construction site of the memorial structure that is being built and comtemplate for a moment amid these peaceful and sacred ruins where so many lost their lives. The hotel has a wonderful indoor heated lap pool. While the discount on the room was a selling point for us, the first floor concessions are very expensive for families of modest means so on Sunday morning I walked several blocks to buy some affordable croissants and muffins. After returning home, I contacted the hotel's customer service to let them know that as a result of wrong directions from Newark Airport on their website, I was confused upon exiting the Holland Tunnel and ended up getting a traffic ticket. I was not expecting that they pay my fine but thought they might take some responsibility for the erroneous directions, e.g. correcting the directions on their website and maybe offerring a small credit for the inconvenience that we incurred. I did receive a verbal apology but the directions were never corrected and remain incorrect as of today, 6/21/08. I then wrote a letter to the CEO of Marriott and received the same response - a letter apologizing for the inconvenience but no remuneration of any kind and no change to the incorrect directions. If you decide to visit this Marriott, follow the Mapquest directions, not Marriott's!	
Jun 16 2008 	Wonderful Birthday Celebration!	My sister and I made plans to take my mother to NYC for the weekend to celebrate her 80th birthday. She wanted to see the Statue of Liberty, so we chose to stay at the Marriott Downtown. I booked a Friday and Saturday night stay for an amazing senior rate of $212 a night. We checked in an hour early and were given a corner room on the 35th floor with a view of the Statue (which would have been more expensive had we booked it that way online). While this hotel is clearly not in the center of all the action of NYC, it was perfect for us. The hotel is just a 5 minute walk to Battery Park and the Statue of Libetry ferry, and a 15 minute walk to South Street Seaport. It is a $15 - $20 cab ride to Times Square, and the subway station, Rector Street, is just around the corner. My 80 year old mother loved the subway, and we used it to shop for knock offs on Canal Street and to travel to and fromTimes Square in the day and at night.The concierges were very helpful and everyone at the front desk and the door were friendly and attentive. Requests for extra towels and ice for an injury were met promptly.We requested late check out on Sunday so that we could make the most of our day before catching our bus home, and were allowed to stay until 2 pm without charge. We had drinks at the hotel lounge, and had lunch there on Sunday. The food was surprisingly good. We had pizza and chicken sandwiches on focaccia bread, which were large enough to save half for the bus ride home.We had read about the inconvenience of the elevators, but did not experience any problems. The elevators were being updated and one of the 3 that traveled to our floor was out of service for our entire stay, but we still did not have to wait for an elevator for longer than 5 minutes.The only negative was that there was a lot of construction going on on the streets and buildings in the area. It was not noisy for us on the 35th floor, but it was hard to navigate for the taxis and somewhat for walking. I do a lot of research and planning for travel, and my high expectations were definitely met at this hotel.	
Jun 10 2008 	Great Hotel great location great view	We stayed at the Marriott from June 5th to June 9th, we got a wknd special 289 per night excellent value. Paid for a city view room and requested a harbour view if available, We got room 3613 full hudson river room view of ellis island and new jersey beautiful night view, rooms were newly renovated and very clean, housekeeping was excellent, check in staff excellent, front door man was excellent. ok elevators sucked they only had 4 working and at peek times was a bit of a wait, some people may not like location but seriously the subway station was around the corner and off you went to anywhere and anytime. will definately stay again.	
May 14 2008 	Fabulous view	Stayed two nights on a weekend at a reasonable rate for NYC. The rooms have been recently updated and have nice furnishings. It was a good size and clean. Our corner room had a great view of the Statue of Liberty and the Hudson River. The hotel is about 2 1/2 blocks from a subway to midtown. The staff was friendly and very helpful. Only two of the elevators were operating, so you had to wait a few minutes. However, that was the only negative regarding the hotel.	
May 14 2008 	Excellent Service and Rooms	We arrived at around noon and were greeted by Anna the front desk manager. She checked us in right away despite being so early (their check in time is 4 pm). She gave us a room with a view of the harbour and the Statue of Liberty. I know this is a room they can charge extra for, but she gave it to us anyway.The room was great and the view tremendous. They even have a Starbucks! They are in the midst of an elevator upfit, so the elevators were slow. The hotel is located at the southern tip of Manhattan where three major subway lines converge (1/2/3, 4/5/6 &amp; N/R/W). You therefore have have access to the east side, west side and central midtown within a short walk from the hotel.Excellent discount shopping is within a 5 minute walk (Century 21 and Sym's) and the financial district is at your finger tips. The Staten Island Ferry is also a quick walk away.When we checked out Anna recognized us and wished us a safe trip. We will definitely return to the New York Downtown Marriott.	
May 12 2008 	Great visit!	I just returned from an NYC weekend trip where we stayed at this hotel. It was a simply wonderful trip and a great hotel. The staff is outstandingly pleasant, the room was perfect, the bed was amazingly comfortable, and the amenities were first-class. The hotel is only a short cab ride away from Union Square, Times Square, etc. and the doorman makes getting a cab easy. I was on a lower level floor but still had a really neat view; my friends on upper floors had incredible views. I thought the hotel restaurant was a little pricey, but it IS New York City, after all, so that really came as no surprise - and there are very affordable little cafes all around within walking distance. Our only complaint was the elevators - especially to the higher floors, there was a long wait, and usually there was at least one elevator not in service. Didn't spoil the visit, though. I would certainly stay here again if I had business in the financial district or couldn't find an affordable hotel in Midtown.	
May 11 2008 	Staff is top notch!!	We received one of the newly refurbished rooms (I'm not sure they're all done yet) and it.When we checked in there was a huge group (and lots of kids), yet the staff stayed very polite, professional and helpful.The location is good (near 1 subway), but not great, otherwise I can't think of any other constructive feedback - the rooms, the service and staff were all wonderful - even when they were swamped.	
May 5 2008 	A fabulous city break	We stayed here for 2 nights with our two young daughters (2 and 5 months). I was a little worried prior to the trip as it's obvious this hotel is mainly inhabited by business travellers, as it is in the heart of the financial district. I didn't see another child in the hotel for the entire trip - but the staff and facilities were fantastic and we didn't struggle with the girls at all. Our room on the 27th floor had a double aspet view out over the water, and on our 1st night we were given complimentary access to the concierge lounge, which had a stunning view of the statue of liberty. Out room was fairly spacious and had two king sized beds, plus they'd added a cot for us (a real cot, not a travel cot which hotels often provide) We drove in to the city from Boston and the hotel was easy to find. We also had valet parking until 5.30pm the day we left, so the car was taken care of completely by the hotel. The hotel was a short stroll to Battery Park, which is where you pick up the Ellis Island ferry (big queues tho). It is also immediately next to Ground Zero and you could see the work going on from out of the elevator lobby windows. We took cabs into the centre of city, Times Square, Blue Circle ferry pier for trip around Manhatten, also to Broadway to the theatre. Grabbing a cab was easy as there are plenty around. Central Park is right over the other side of the city so that was the longest cab ride we took. I don't think this hotel would be right if you wanted to be more in the heart of the city, but that didn't bother us at all. As you'd imagine, 100% clean and excellent service. Friendly waiters at breakfast waived any charge for our toddler and just offered her the buffet without charge. Waitress on our last day also offered take away cartons for us to take whatever food we wanted to the journey - which was great. Front desk gave our children a bag of goodies, a lovely teddy, toys and activity bits too. I couldn't fault this hotel at all.	
May 4 2008 	Mixed review	My wife and I just stayed 2 nights at the Marriott Downtown for our anniversary. The check-in was smooth and friendly. My wife's parents sent us a large vase of flowers that was waiting for us at the front desk. I'm sure if we ASKED, they would've brought it up to our room for us (our hands were full with luggage). But, they could've offered.The room was a decent size - everything was clean and looked like it had been updated recently (nice flat screen TV, good bed linens). But, I found the bed VERY uncomfortable. It didn't bother my wife as much as it did me, but we both agreed it was beat-up and lumpy.Now, I don't hold this next complaint against the Marriott, but its worth mentioning. Our room was on the 15th (out of 35+) floor located on the West St/front side of the building, We had a late night Thursday, and come 6:30am Friday there was a cop blowing a whistle (directing traffic) right outside the hotel. That went on until 8:30-9am. From the 15th floor it was more annoying than loud. Paired with the bad mattress it was a bad night/morning for me.We had the breakfast buffet at Roy's (hotel restuarant). They had a little of everything. Great selection of fresh fruit. I wouldn't say the food was exceptionally good, but it was ok. Expensive ($25) but ok. We also had a quick bite at the 85th St. Cafe (also in the hotel). The food was pretty good, but the acoustic duo playing that night was painfully loud...and bad.The hotel is very close to the 1 subway line (about 3 small blocks). The R, W is one block further. And the 4, 5 isn't too far past that. The South St Seaport is about a 25 minute walk away. So overall, not really a bad place - just nothing exceptional. I wouldn't recommend it as an ideal location for tourists. But, if you can't get an affordable room mid-town, this isn't a bad option.	
May 3 2008 	Awesome	This was an awesome stay, everyone was friendly and the rooms were especially great. They were clean and we had an awesome view. I would definitely stay here again in a heartbeat. The beds were vvvveeeeeeeeeeeeeeeeeeeeery comfy.	
