	good for leisure great location at a reasonable price	Room was clean and pretty big for NYC standards, TV, hair dryer, additional blankets and all first necessities were available. Only negative note: we saw several reception staff, friendly and not, but generally not prepared to give information of any sort. Overall if your purpose is tourism and your main need is a reasonable but confy room, then you're in the right place.	
Apr 7 2008	Two Star Rating is dead on	Ok so like a lot of the other reviews, I too booked a room with two beds only to learn upon arrival they had none. After agreeing to single room.We went up to the 11 floor. My key would not work in the lock.I told my friend to go back down and tell them key has an issue. When they returned I was informed the front desk proclaimed we were not using the key correctly and possible ignorant??? After some flittling, he too couldn't get it too work. Used his master key and opened it up, to find someone was currently using the room unknowingly..? They gave a us a new room on 3. After that no problems for the 6 days. Cleaning staff was excellent , rooms were 80's style but always clean. No street noise due to its location.2 Blocks from Grand Central.Walking distance from Times Square (bring comfy shoes).I may have been scammed out of $100 bucks too. They ran my card to &quot;cover inccidentals&quot; since my room was pre-paid on Priceline. We had no additional charges but.I'll check my cc bill when I get it and let citibank handle it.Long story short. For the price avg.$210 a night for NY and having a clean,centrally located, quiet place I'd still stay there again with the knowledge little things are bound to go wrong with these guys.	
Apr 3 2008 	Disappointing!	I have never been to a hotel where the desk staff are so rude and unhelpful. I must say that the doorman was always very pleasant.The suite was very spacious and the kitchen was a real bonus.The decor and the bath need updating, but the rooms were clean.It's disappointing that the first people you meet give you such a negative response.	
Mar 27 2008 	Terrible Customer Service	When we checked in they couldn’t find our reservation. After digging for a while through stacks of papers, they found it, but it did not include the last day of our stay. They told us that they did not have any open rooms for the last night. (The next day we spoke with the manager and he was able to get us a room for the last night of the trip.) We had reserved a room with two double beds and a pull-out couch, but they put us in a room with one double bed and a pull-out couch. They did bring us a roll-away bed though. Do not plan on sleeping on the pull-out couch—it is not comfortable. The next day we were able to switch to a room with a king bed and a roll-away. When we were checking out of the hotel, we waited for the elevator for 25 minutes on the seventh floor. One elevator was broken, and a garbage collector had tied up the other one. We were afraid we would be late to the airport, so we hauled our luggage down seven flights of stairs. When I got to the lobby with half of the luggage, I told the woman behind the desk about waiting 25 minutes for the elevator before carrying the luggage down the seven flights of stairs. I told her that I had to go back up to carry down the rest of the luggage, and I asked if she would watch what I had brought down. She said no.  I do not recommend this hotel.	
Mar 25 2008 	Terrible Customer Service	The front desk and the management was a nightmare! I booked a one bedroom suite with 2 beds. When I checked in they refused to honor the booking. They placed me in a room with one bed. I needed two beds so they agreed to put another bed in the room for an extra 20 dollars per night. I had no choice so I complied. I spoke to the manager and she said that they DO NOT honor any on-line bookings. Although I voiced my displeasure I received no satisfaction whatsoever. In all my travels I have never been more upset. The hotel was not a bad place to stay but the fact is they misrepresented themselves. To make matters worse a friend of mine checked in after me and had ordered a single bed but they placed him in a room with 2 beds. Unfortunately I was unaware of his situation until it was not worth the move. Be careful when dealing with these people. I believe they actually scammed me for the extra 100 dollars.	
Mar 21 2008	Would definitely recommend this hotel.	I stayed at Murray Hill Suites for 6 nights as a single occupant. Like other reviews I would agree that it is not the most modern of hotels but my room was extremely spacious, clean and comfortable. It had both a desk and dining table. Also a separate kitchenette which housed a stove, a ketttle, a sink and of course a range of crockery and cutlery. You have to ask housekeeping if you require a toaster and/ or microwave, which they will promptly supply. I found the kitchenette very useful for breakfast.  Most of the staff were very helpful and polite. I woulld like to say a big hello to the cleaning lady on my floor (4th). I did not find the hotel noisy like some other reviews but like any hotel it depends on who the other guests are at the time of your stay. Certainly the street the hotel is on is quiet., unlike the noise that hotel residents on Times Square face.Around the corner to the hotel are some lovely delis, a small supermarket and Murphys bar which does delicious meals. Various restaurants and bars are within walking distance.The hotel is also situated in a very good location for tourists. It is in the residential district of Murray Hill but is within walking distance of Grand Central Station. You could see the Empire State building from my room. Also Times Square and Broadway are within walking distance, although those that are unable to walk far can easily get around by the extremely good bus system. Pick up the MTA Manhattan Bus Map. I travelled alll over Manhattan by bus using a weekly MTA card costing $25 for unlimited use. You can get these in any subway station. It is a great way to see everything especially if time is short. Taxis are also relatively cheap. I would recommed a Circle Line boat trip to take in the Statue of Liberty and to see Manattan from the river, a helcopter trip and also going to the top of the Rockefellar Centre, which gives a great perspective of the whole of Manhattan.One warning - give the so called &quot;psychics&quot; a wide berth!!!! Lets just say the Ms Lisa around the corner from the hotel could see me coming.	
Feb 26 2008 	Very comfortable and if I return to NYC would happily stay here again.	We stayed here for 6 days in a 1 bedroom suite: welcoming lobby and staff, 2 elevators to floors. Although the corridor was a bit unprepossessing when we opened the door to the suite we were really pleasantly surprised. It was spacious and well-laid out, with a huge bedroom with kingsize bed, and a double roll-out in the sitting room, which easily accommodated our 16 year-old daughter. There is a small kitchen with cooker, microwave (no instructions!), tv, dishwasher and some crockery and cutlery, though few utensils.Bathroom was fine: compact but perfectly adequate, and water was hot though it needed to run. Hairdryer provided which was good in view of different voltage from UK. It isn't luxurious, but it is very comfortable and nicely located, and ideal for families with teenagers. 2 blocks from Grand Central Station (fantastic) and subway, a D'Agostino round the corner with lots of fresh and appealing food (a bit pricey but what city isn't?), a Fedex internet 'cafe' 2 doors down..... Great and highly recommended.	
Feb 11 2008 	have to admit it was a good value	this is hardly a nice place. but rooms are clean, sheets were ugly but comfortable. tv was old as dirt but worked. staff was responsive enough. if you're looking for a safe, cheap, centrally located place to stay on manhattan, you could do a lot worse. but this place is certainly nothing special.	
Jan 29 2008 	Great Location HUGE rooms	We recently spent two nights at Murray Hill East. As other reviewers have mentioned, the place isn't exactly modern, but it was very clean and we had no problems with check-in, etc. Our room did have a great view of the Empire State Building and we were within walking distance of many great bars and restaurants. We paid $179 per night and at check-in, got upgraded to a larger room. We couldn't have asked for more ... a large fridge, a microwave, a dishwasher, a small dining table, a pull-out couch, several armchairs and a separate bedroom with two queen-sized beds. Tons of closet space, small bathroom, but we were impressed overall. I would stay here again, esp. with kids, since you can put them to bed and still stay up to watch TV, etc. Great bargain, great stay.	
Jan 24 2008 	Take your earplugs	My husband and I stayed three nights at the Murray Hill East Suites for a relative's engagement party. It was a &quot;plus-minus&quot; experience. We booked through Priceline, and paid $110 a night, which is a spectacular price for a Manhattan room. The room was very large for a Manhattan hotel booking, and it even had a small kitchen. The room was very dated (I hope you like faded green paisley, circa 1983), but we don't mind that much. Also, the TV situation was pretty funny -- it was a huge, clunky TV on a rolling stand that could be moved around the room. Once again, for $110 a night, what do you expect?The hotel was definitely a no-frills experience. The largest problem is that the walls were extraordinarily thin, and we could hear every peep made in the rooms around us. Including the screaming and laughing of several rooms of young women who had come to New York to party, and would stay out until 4 or 5 a.m. each night. The last night I called the front desk to complain, and the man at the front desk was decidedly unhelpful. Also, we noticed that they never changed our bed sheets -- they just made the bed. They did replace the towels every day.We stayed on the second floor, which had its advantages and disadvantages. We had a lot of street noise (typical of New York -- I lived there for several years and it's just something you have to get used to) and there were neon lights in the windows across the street which gave our room an electric pink glow when the shades were open. When the shades were closed, the light was not a problem.The benefit to the second floor, however, is this hotel does not have internet access, except wireless in the lobby. Since we were directly above the lobby, we did have a strong wireless signal in our room.Finally, my husband used the gym and said it was nice -- comparable with a 3 or 4 star hotel mini-gym. Supposedly it had just been redone. Ladies, if you like to use conditioner in your hair, bring your own. This hotel stocks the classic &quot;conditioning shampoo&quot; - one bottle, one giant tangle.	
Jan 18 2008 	Absolutely Worth It!!!	If you read some of the other reviews and they mention out dates style of the room and furniture, I would take it with a grain of salt. I guess everyone has different tastes. I found this hotel to be perfect for what we were in NYC for. Also, I had an extremely horrendous experience previously at a different &quot;hotel&quot; which i paid twice as much as I did here!! The room was very clean as was everywhere in the hotel! (Well all the places I saw). The only downside was a slightly rude receptionist. Over the phone I called a couple of times with some questions and the answers were very curt and not elaborate. This can completely be disregarded on my part for saving probably over $150!!! BOTTOM LINE: There are worse places in the city and I stayed at one of them before. This was a 20 star hotel compared to the one I stayed at before!!!I almost posted this without mentioning the BEST sushi place we have ever been to. It is maybe a block from the hotel at 581 3rd Ave and it is called Hane Sushi. If you do decide to go there ask for Charlie and he will hook you up with the best stuff you have ever tasted!!! We also went to Margarita Murphy's and had a pretty good time there. I hope this was helpful. I read a lot of reviews prior to booking and felt as if I owed it to whomever to provide my point of view!	
Jan 16 2008 	Stayed 01/04-01/08 Perfect Hotel ALL AROUND !	As most others have dreamt about traveling abroad as an foreign country or an island, my dream was to visit New York. I finally arrived to New York, not know what to expect. We decided to stay at this hotel, mainly because it has a kitchenette with a great price, especially since we were not planning on staying indoors that often. Upon arrival, the hotel was better than we thought, from the very kind doorman to the spacious (not common in NY) hotel room. We were upgraded to the Queensize bedroom., which had three closet spaces including iron/board. cozy bathroom w/ courtesy toiletries and kitchenette w/ mini refrigerator and oven with all essential cookware (no microwave though). They even had a small area for dining and living room. The location of the hotel was absolutely perfect ! 5-10 minute taxi or walking distance to everywhere...Times Square, Grand Central Terminal, Chrysler Bldg, and Rockafeller Center. The lady in the front office even mailed out my postcards for me. There is no internet in the room, but if you have an laptop with WIFI you can go downstair in the hotel lobby / waiting area, you will receive free internet there. Or in the same block, there is a Fedex/Kinko's, where you can pay for internet. This is the perfect hotel for the New York experience, minus the hussle and bussle of the city. I HIGHLY recommend this hotel for any future stays.	
Jan 9 2008 	Murray Hill good hotel in a good location	We stayed at the Murray Hill Suites from Dec1st to 7th. 2 Couples. After all the horror stories we heard about New York hotels &amp; bed bugs etc. we were delighted that we had made a good choice. The decor is a little dated &amp; not a luxury hotel but it was clean &amp; comfortable &amp; that was most important. We had a large bedroom with 2 big double beds &amp; plenty of wardrobe space, there was also a big pull out sofa bed in the living room along with TV, chairs, dining room table &amp; chairs etc. Kitchen had fridge, dishwasher, cooker, microwave, toaster tea, coffee etc. While we never cooked we did use toaster &amp; coffee maker in mornings. Bathroom was small but it was spotlessy clean with clean towels daily &amp; also shower was powerful which you need after a day walking about New York. Our room faced the street &amp; we had a view of the ESB. Staff were at all times pleasant &amp; we had no problems at check in or check out, it was very efficient.It was about a ten minute walk to GCT &amp; out onto 5th Avenue &amp; same to ESB &amp; Macys. I would have no hesitation in staying here again &amp; booking with &quot;apartments2book&quot;. I found them to be the most reasonable of all the sites we tried at the time. $420 for 4 of us for the night including taxes at a busy time of the year.	
Dec 17 2007 	Worthwhile option	We needed a place to stay after a show and turned to Murray Hill East after determining several other hotels we patronized at in the past were charging more than $400 a night. On arriving, we were told we would be getting a room upgrade and were given the keys to #1001. As some other reviews have stated, the rooms here are essentially efficiency apartments. This one had a newly retiled bathroom, kitchenette, living room with couch and love seat and dining table. The place was clean, with a decent uptown view, and the bed was comfortable. A winter storm rolled in overnight, but the heating was adequate -- not something you take for granted in some older New York hotels. The lobby and elevator showed signs of heavy wear.The $319 per night rate (before taxes) represented a decent deal, but not a bargain in my book. The overall experience reminded me of getting the use of an old college friend's apartment for the weekend. Grand Central terminal with subways, restaurants and commuter rail is just three blocks away. I'll keep the place in mind for future travel, probably as a second or third choice.	
Dec 7 2007 	This place is great!	Our four nights here were absolutely terrific. As has been repeatedly mentioned, the rooms are a little worn, but are large and VERY clean. The excellent location really tops the value. We felt very safe venturing out day or night, and found great places quite near the hotel: the diner on 40th &amp; Lex, a great pub on 40th between 3rd &amp; Lex, the market on 39th &amp; Lex. We also loved the skating rink at Bryant Park (behind the NY Public Library), where we had cocktails and snacks at the outdoor cafe (with heaters) one evening while watching the ice skaters. And don't miss Grand Central: the station itself is fabulous, &amp; there is a wonderful market on the main floor, and an excellent food court on the lower floor. It's a great place for a snack or meal &amp; some people-watching!When we return to NYC, we'll definitely stay here again!	
Dec 2 2007 	Overall a good value	We arrived at noon, and were able to check in early. We stayed for one night during peak season, and the hotel was fully booked. The first room we were shown was on the first floor, and had two double beds. We needed queen beds, since we were sleeping six people. (There was an additional queen sofa bed in the living room.) We were then given a room on the 14th floor, 1404, which was a smoking room. This was not our preference, but we did not want to chance moving again. The suite was quite spacious and clean, but one of the heaters was blowing cold air. We reported this at the front desk before leaving for the day. When we arrived back in the evening, there was a space heater in the area with the broken heater. Unfortunately, this was the queen sofa area, and it was very cold during the night. There was cold air blowing into the room. If we were staying another night, we would have requested to be moved again.The location was great, and it was a good value for the rate, but be picky when you check in if you have the chance!We booked through apartments2book with no problems.Sam's Place across the street is outstanding!	
Nov 27 2007	Fantastic location spacious rooms!!	We booked via Ebookers.com after trying to pick from a huge list of NY hotels!! What appealed was price, location, reviews and room sizes.To re-iterate what has been said before, yes the decor is quite dated and the lift (elevator) was a bit hit and miss! However the rooms were spotlessly clean, a fantastic size for New York and ideally located. They are a brisk 10 mins walk to Grand Central or a more leisurely stroll up to 5th Avenue and then onwards either up or down town. There was a fabulous diner, Bloomers, for breakfast (try the &quot;famous&quot; Eggs Benedict), a lovely Italian and a great Japanese restaurant that we tried, all within five mins walk. There is also a convenience store on the corner which stocks everything you could need (including umbrella's when we got stuck on a rainy day). Our room faced out onto 39th Street with a great view of The Empire State building. There was the odd occasion a car woke me in the night, but in the main I was impressed with how quiet it was.If you are looking for good value for money, good location, clean rooms and friendly service then I would definitely recommend this hotel.	
Nov 6 2007 	Fantastic value!!!	We booked the Murray Hill East Suites through apartments2book.com and were completely thrilled with our experience. We were staying in NYC the same weekend as the NYC marathon, so hotel rooms were at a premium. This hotel offered a comfortable, extremely spacious room with lots of storage, and kitchenette for much less than others. I couldn't get over the size of the studio room. It was twice the size and half the cost of what we would have paid closer to Times Square. Being so close to Grand Central Station was a bonus, as it was an easy 5-minute walk away. We walked to the Empire State Building (about 10-15 minutes) as well as to the theater district for shows (about 20-30 minutes, depending on location in district). If we didn't feel like walking, it was about a $10 cab ride or $2 per person subway ride to anywhere. The neighborhood was very residential, and we had breakfast one morning at Bloom's Deli (corner of E 40th &amp; Lexington), which had enormous, flavorful portions in a mom &amp; pop setting. Be sure to grab a slice of cheesecake at Junior's (originally in Brooklyn, they now have a storefront in Grand Central Station as well as a diner on Shubert Alley in the Theater District) too.The only drawback was that you could hear traffic at all hours, but it kind of added to the experience of being in New York City. Our room overlooked the street, so I wonder if being in a room that overlooked the alley would have been quieter. The room decor is a bit 1990's, but it's spotless and in good condition. The overall room to relax in was so great, so who cares about the vintage?	
Nov 2 2007	excellent value and location	I researched and researched a hotel and as this was my first time in New York with two teenage daughters I was concerned over safety and location. I have always trusted the trip adviser reports and found them to be totally accurate and I was not disappointed..I booked a one bedroomed apartment which was very spacious, spotlessly clean and had a fully equipped kitchen with dishwasher. Yes, the decor was old fashioned but so what. Reception was always helpful and we always felt completely safe and at home.The price was exceptionally good value through active hotels and cost much less than having to book one room in a hotel.The location was ideal, 5 minutes from Grand Central (subway, cheap, safe and easy to use) with all its cafes, 10 minutes to 5th Avenue and Times Square and restaurants, supermarkets, delis just round the corner. Would definitely go back.	
Oct 24 2007 	Great place to stay	Three gals spending 5 days on a shopping spree in NYC. The Murray Hill East Suites was the perfect place to stay. We had a one bedroom and loved the accommodations. The kitchen was perfect for keeping snacks and breakfast bites. The cleaning staff was great. The doorman was excellent and the desk staff quite nice and helpful. A little bit of street noise, but after all, this is New York! Easy access to transportation, local eateries, etc. We will definately use the Murray Hill East Suites again and will recommend it to anyone we know that is headed out for a New York City stay.	
Oct 21 2007 	Great	Fantastic price for an apartment style accomodation, we met people on a tour who paid way more for a small hotel room, the location is very good for walking or getting to the subway, a little noisy with traffic noise at times but hey when your in the city that never sleeps you have to expect that! overall very good.	
Oct 21 2007 	New York on a budget	This hotel is within walking distance to many of the top attractions and relatively close to the subway. The rooms are clean and the staff is good but not great. For the price I could not think of a better place to stay in Manhattan. I would recommend it to anyone travelling to New York.	
Sep 28 2007 	Excellent experience	Stayed here mid-September and was very pleased with the place. Three friends on a holiday to NYC &amp; didn't want to share a bed and also wanted to save some cash - this place was perfect. Good price - we paid less than $350 a night for a large 1 bedroom apt on the 14th floor. Room had 2 queen beds, kitchen, lounge area with 2 sofas (one was a fold-out queen bed) and although the decor/furnishings weren't the most modern, it certainly did us. Didn't spend vast amount of time in the room - it is NYC afterall, however, when we did, it was a comfortable experience and certainly less expensive than the alternative, 2 hotel room option!!!Location great, couple of blocks from Grand Central and the conveinence store on the corner of 39th &amp; Lex had most of what we needed + made great sandwiches	
Sep 28 2007 	Perfect for NYC	This is a great place to stay for a city break. Great location with local flavour. Nail bars, dry cleaners, supermarkets, pizza, breakfast places all on your doorstep - makes you live a little of the NYC life. It's not super luxurious but the rooms and beds are big and comfortable enough.Would book again.	
Sep 20 2007 	A tired outdated experience	Sorry...but my experience here was simply not the wonderful one that others have had.I paid $500 for a room, and was told by the helpful clerk at the front desk that I was being upgraded. He also said there is no wireless Internet access, but that some people in rooms have reported receiving a usable signal.The room was a major disappointment. This hotel was a 1950s/1960s apartment building that has been converted, and I'm not sure it's ever really upgraded. My room was on the 14th floor, and was quite big...a one-bedroom apartment. However, the furniture was orange velour...kind of/almost matching the matted burnt orange carpet. Combined with the white Formica cube end tables, and the white Formica desk, it just didn't have anything of a modern, or classy, or upgraded feel.The two beds in the bedroom were fine, if a little hard, but I got a pretty decent night's sleep. Being on the 14th floor, I could even open the windows slightly to get some (NYC-style) fresh air.I guess my largest frustration had to be the lack of Internet access. I'm a business traveler and it is a key element for me. The hotel's laissez-faire attitude clearly said that I'm not a target customer for them (&quot;when will you have it?&quot; &quot;oh, maybe in a year or so.&quot;). The signals that others have reported receiving, even in the lobby, were simply not available for me, nor were they available for two other laptop users in the lobby at the same time. Now, the nearest WiFi-enabled Starbucks was a block away, so I made do. But still, that attitude, plus the tired, run-down (albeit clean) ambiance of the hotel in general just made it a place I don't think is worth my time or money in the future.	
Aug 30 2007 	Great location! Perfect quality/price ratio!	This a really good solution for a trip in New York City! We booked a room with kitchen by apartments2book. The position is perfect: 39th between Lexington and 3rd Avenue. It is close to everywhere, to public transortation and the Murray Hill area is really wonderful! The room was big and very nice, the bathroom was a little bit small but very new and beautiful. There is also a kitchen and more than one supermarket are close to the hotel. At the reception they are very kind, but not very efficient: a girl told me that there wasn't any internet connection in the hotel, but I discovered just last day that there is one free wireless connection in the hall!! They also forgot to change the sheets in the sofabed for our arrival...I opened it and I found used sheets!!!Terrible!!Anyway, I went to the reception, they apologize and they gave me new blankets...(but I had to do the bed by myself!!). This is not a luxury hotel, but if you are looking for a nice, clean and kind aparthotel with your own kitchen where you can save some money without loosing quality and a good location, this is a very good solution!!	
Aug 17 2007 	perfect for us	We spent five nights here the second week of August and were very happy with the room, the price-point and the service. The only draw-back was not having wi-fi available in the room, but it is available in the lobby. I would stay here again in a New York minute.	
Aug 17 2007 	A good choice	The hotel was good. It was clean and quiet, except that the noise of door-closing did disturb us a little bit. The housekeeping was very prompt and efficient. The room was spacious and comfortable. We used the laundry service too. We tried the breakfast in a nearby cafe (Frontier) which was good as well.	
Aug 3 2007 	Outstanding value for midtown hotel	We booked this hotel because we needed a suite-style room configuration. The one-bedroom suite was excellent - sufficient privacy for the living room sofa bed and the bedroom occupants. Nice, clean kitchen and bathroom. Clean throughout, it seemed this room was recently remodeled. Front desk and Door-man service was excellent. Convenient location - a short cab ride or a comfortable walk to Times Square. A very nice place and a great value!	
Jul 31 2007 	Happy to stay	We were at the hotel for most of a week in July. it was clean, quiet, and superbly located: we needed to get to the lower numbered streets as well as the usual museums (first-time visitors) The kitchenette was fine: the room information said that microwaves and toasters were available, but we didn't get around to asking. It doesn't count as luxury, but neither does my house, and we would stay there again any time.	
Jul 25 2007 	Quiet reasonable and convenient	Selected this hotel based on Trip Advisor reviews and was not disappointed. I and my 20-year-old son stayed here for a weekend. First, it is quiet, a rare attribute in New York. No traffic, no loud bars near-by, no dumpsters emptied at 4 a.m. Area is relatively quiet but only three blocks from Grand Central Station so subways to anywhere are only 10 minutes away. The hotel is a half-block from 3rd Avenue where cabs are plentiful. The theater district is a 10-minute walk to Grand Central and 10 minutes on the subway shuttle. The rooms are fairly large for New York with a small refrierator, sink and stove which we never used. Maid service was excellent and the front desk was helpful. One small piece of advice; do not ask them to call a cab for you for an airport trip the night before you need to leave. Hotels cannot call cabs so they called a car service for us. The fee was $50 to LaGuardia instead of the $24 cab ride. Not really a big deal. This is not a resort hotel so if you have five little kids looking for a pool and a game room, this is not for you. Quiet and convenient and reasonably priced.	
Jul 13 2007 	Great Choice	We were very happy with the hotel. Location is convenient -- short walk to Grand Central. Room was well maintained, and clean. Staff was friendly and helpful. I'd stay there again -- no question.	
Jul 2 2007 	good price	Booked a single night through Priceline. I forgot that priceline doesn't guarauntee rooms for three people. At check in we were informed that we would be charged $20 for the extra person (our daughter) but get the cot for free. Our first room was on the eighth floor with one queen bed. The bellhop said he would bring up the cot right away. We changed and went out for the evening. When we got back to our room several hours later there was not cot. I called the front desk and was told we were promised one but now they were out. I said that didn't help since we had three people and one bed. The guy and the front dest just kept saying &quot;sorry we don't have anymore cots and I don't understand why the bell hop didn't bring one&quot;. I got frustrated and handed the phone to my husband. He told the front dest that our daughter was not going to sleep on the floor. The guy said he would be right up to move us to a new room on the same floor. After waiting 30 minutes my husband went down to the front dest to see what was going on. Nothing, they were just sitting around. My husband returned with a luggage cart and keys to a new room (with no help). We were moved to the first floor to a two room suite. It was huge and very nice. The $20 extra person charge was removed from our bill for &quot;our troubles&quot;. I was a little frustrated with the service but it all worked out in the end plus we got discounted parking. I would stay here again.	
Jun 26 2007 	Nice Place!	We just returned from a week in New York City, 6/9/07 - 6/16/07 and really enjoyed our stay at Murray Hill Suites. The staff is friendly and the doorman accomadating, helping with lugage and hailing cabs. The location is great, close to everything and in a neighborhood that gives you the feeling that you are a resident as opposed to a visitor. The building was once an apartment complex and still maintains that ambiance. The units, although on the older side, are clean and comfortable. We particularlly enjoyed having a kitchen since some in our group wanted to eat before the theatre and others wanted to wait until after. There are a number of deli's and grocery stores in the area which allowed us to save money and eat in the apartment some of the time. Our one bedroom unit had two full sized beds and a fold out sofa in the livingroom which was very convienent for our group. We will certainly return to Murray Hill on our next visit to NYC.	
Jun 22 2007 	Great NYC Bargain	I stayed at the Murray Hill East Suites from June 16th-21st, 2007, and we booked it through Priceline (via their name your own price feature). I was surprised by what I got for my money when I had &quot;won&quot; this hotel on Priceline. For those unfamiliar with Priceline you choose the area in which you would like to stay with its star rating (I chose 2 star, but got a 3 star so you can luck out that way), and they tell you pretty much right away whether your offer is accepted. The hotel name stays anonymous until you put in an offer and it is accepted.I managed to get a whole one bedroom suite (looks like renovated condo) that came with a living room, large one bedroom with king size bed, a small bathroom, and a kitchen. I got all this for an extremely reasonable rate (it would have cost the same for a hostel in downtown manhatten!). I was travelling with my fiancee and we were looking for a reasonably priced hotel near all the attractions of NYC since it was our first time. This hotel is on 39th street, and Grand Central station is ony 42nd so it's pretty close, but not as close as some of the reviews made it sound. It is about a 5-6 minute walk, and it can be a long one in the 30 degree celcius heat. Nevertheless it's not a bad location.The kitchen was small so we didn't end up using it except for the full size freezer/fridge (great for keeping your drinks/leftovers cold). The only suggestion have for ths hotel is to put in microwaves. I was impressed by how clean our suite was, and by how large the bedroom and living room were. The tv (although tiny) was good at the end of the day of walking and walking, and there were many channels to choose from.The bed was huge, and the airconditioning in both the living room and bedroom was nice. The maid did an amazing job with housekeeping every day, making sure the bathroom linens were well supplied and the such.The concierge downstairs was neither rude nor over hospitable--so if you needed anything it was there but they don't bother you much. The hotel did not seem at full capacity which means it was really quiet. The hallways did smell like rancid smoke at times, but our suite was fine. The elevators are old, but I think most buildings would be old like that in manhatten, unless you plan on shelling the bucks for something fancier and much more expensive.Overall I would say choose this hotel if you are budget minded, and need/want a lot of room, and a place to stay close to everything. We took the subway everywhere, and you can even walk to the Empire State building from the hotel. It's not fancy, but it's good value for your dollar. My total trip (hotel &amp; air from Vancouver) was $1000 CAD and that is a real bargain for such an expensive city.Tips:1) Buy the new york pass. You can buy it there (planet hollywood in times square) or online at newyorkpass.com. Well worth the money and helps you plan your itinerary. You get $10 credit each day of the pass at Planet Hollywood which I used for souvenirs.The New York pass also allows you to skip ticket lines, like at the busy Empire State Building.2) Buy an unlimited metropass--it's indispensable and way cheaper than taking a cab in this traffic congested city. You can buy these at the machines there.3) Credit cards are accepted everywhere! I hardly ever had to fork out cash. Very convenient.4) Some must see things (all free w/ the New York pass):Radio Music City Hall TourMadisson Square Gardens TourDO NOT DO THE ROCKEFELLER TOUR unless you want to just look at the art on the buildings for an hour NBC Studio tour (go early to reserve your spot--this fills up fast, we had to go the next day)Circle Line Boat Cruise (we upgraded to the 3 hour for $4 more--nice on a hot day and good to do in the beginning for a good overview of the city).5) To get to the hotel from JFK airport we opted for the subway instead of a $45+ cab ride (flat rate plus tips/tolls). It is $5 for the airport airtrain to the subway and $2 for the subway (or you can buy the weeklong unlimited pass for $24/week). There are also shuttles you can take like airlink and supershuttle. We used airlink ($20 USD) one way to JFK from the hotel and had a HORRIBLE experience. They billed our credit card, and the driver asked us to pay again in cash! After a LONG discussion we finally got our cash back and was not a nice way to end our trip.You can prebook Supershuttle online at their website and they give you a discount.If you found this review helpful please let me know! Your feedback is always welcome.	
Jun 20 2007 	Good value clone of Eastgate Towers across the street	Stayed a single night recently at the Murray Hill East Suites. I've previously stayed at the Eastgate Tower, across the street and a block east of here, and had a pretty good idea what to expect from this converted apartment building. In fact, the Murray Hill East Suites was nearly identical physically to the Eastgate Tower -- my room was a mirror image of the one I had at the Eastgate Tower a few months before. My general perception was that the furniture/drapes/carpets at the Murray Hill East seemed every so slightly newer/cleaner than at the Eastgate Tower, but the furniture itself was identical, and there wasn't much difference overall except for the bathroom; the bathroom in the Murray Hill East appeared to have been remodeled with completely new fixtures, tile, etc. sometime in the last year or so.The room itself was large and comfortable, with a dining table and chairs, sofa, end tables, arm chair, coffee table, TV stand, and dresser, along with a double bed and one nightstand, arranged in an L-shaped room with the dining table at the top of the L near the door, the couch along one wall, the TV near the angle of the L, and the bed/nightstand in the base of the L. The small kitchen is in a separate room near the entrance door, with a half-sized fridge, full four-burner (albeit small) range, coffeemaker, sink, etc.The bed itself was nothing much -- at the low end of acceptable -- and the pillows were barely there -- I had to scavenge the two extra pillows from the closet to make up a decent place to put my head, and the first time I looked in the closet for extra pillows I mistook the two pillows for folded sheets -- they were that thin and flimsy.I ended up not using the high-speed internet access -- I couldn't find any indication of a hotel-provided wireless signal, and there was no wired connection of any kind in the room. Since I didn't start looking until late in my only night there, I decided I could live without it until morning and didn't pursue it. Neither here nor there, but this was the first hotel I've been to in the US in fifteen years or so where I was given an actual, honest-to-god metal key for the room, instead of a magnetic card key(another vestige of the building's days as an apartment building). If you're particularly concerned about security and the possibility of someone duplicating the key, I suppose that might give you pause.Service, in the limited interactions I had with the staff, was courteous and professional, if not effusively friendly.All in all, this seems like an excellent option in this part of Manhattan, particularly for the price. If I were to return to this customer's location for several days, I'd definitely consider it. Having room to spread out and a kitchen where I could store and prepare meals would be welcome.	
Jun 14 2007 	A great value for NYC	We had a large two-bed room (6th floor facing north. nominally &quot;smoking&quot; but without any smell) with full kitchenette, two big closets and a big bathroom with all basic amenities, plus dressers and a desk, windows that opened, with an actual (if narrow) view, adjustable air-conditioning, and decent beds. The staff were helpful and the cleanliness was faultless. The hotel has old-fashioned thick walls and is on a quiet street (important for sleeping) despite its central location, with grocery and wine stores around the corner and plenty of cafes and bars and wifi nearby. The hotel has a laundry center and there's a dry cleaner across the street. The tradeoffs are no room service, no hotel cafe or bar, and no business center or online access, which might matter in winter. Also, the room decor is old-fashioned indifferent and the carpet a bit worn.	
