	Small modern quiet rooms but awesome location	My hubby and I took advantage of his miles for a night away from the kids. The location is amazing right in the middle of 5th ave shopping, tons of restaurants, and walking distance to many areas if u enjoy walking that is, hello this is NYC.The rooms r small no doubt about it but they r very modern, clean, and quiet. U can hear people in the hallways.I have seen rooms in fancy NYC hotels that r rundown and noisy so this is bliss. The staff r very nice. There is parking at a indoor lot (right side) on 46th between 5th and 6th ave which u can get a discount from staying at the hotel.	
Nov 22 2008 	I Liked It but Husband Says "Never Coming Back"	Hotel has a convenient location on 45th between 5th and 6th Avenues. Easy to get to Grand Central. Considering the type of hotel this is and that there isn't a restaurant, it has a fair, no frills breakfast with both hot and hard-boiled eggs, meat, and pastry (hot cinnamon rolls) options. The breakfast area is located basically right inside the door, so it gets pretty cold when you are eating breakfast in the winter. Hotel does not have a work out facility, but it does have 2 computers with access to the internet (on the basement level). The rooms are quite small, with no closets, just a rack to hang clothes. We stayed in a room with 2 double beds (I think there is more space to move around in a room with a king). The bathroom is also very small. The beds are hard, which I really like but my husband hates, so you have to determine how important that is to you. We had to call several times to get toilet paper because, while there were 2 rolls in the room when we arrived, they were both almost empty. We arrived very early (8 am) with a check-in time of 3 pm, so they kept our bags until later. However, they did say that as I am a Gold Member for Priority Club, they would get my room ready and I could check in in a couple of hours. But being this is NYC, I wanted to go out and explore and didn't come back until 3:30. My room was NOT ready and I was told to come back later. When I complained, they got someone to get the room ready about 15 minutes later. I like the location (but as its not a big, main hotel, it's tough to get a cab at the hotel) but my husband hates the beds, small rooms, elevator noise that we heard all night long, and would prefer a place with a restaurant for breakfast to order. Only other point about the location, you do have to walk several blocks to get a subway. There are lots of hotels in NYC with much more convenient subway access.	
Nov 20 2008 	Excellent location and great value for money	My husband and myself stayed here with my 80 year old mother. The location is excellent - walking distance to 5th Avenue, Times Sqaure, Grand Central Terminal, Theatre district, Rockefeller Centre. We had rooms on the 14th Floor facing the street. There was some street noise - but no enough to keep us awake. The rooms were very clean and well equipped - hairdryer, iron and ironing board, and a blackout blind to keep out the light. Not as small as I expected based on previous comments.Whilst we did not use the the services of the hotel staff very much, they were all, without exception, polite, welcoming and super helpful - nothing was too much throuble. The breakfast is not haute cusisine, but has a great selelction of food ( from toast, through scrambled eggs and bacon to donuts) and is more than enough to set you up for the day.All in all I would have no hesitation recommending this hotel and would definitely use it again.	
Nov 14 2008	Decent Place	Check in was fast and friendly. The room was very small, smelled a bit stuffy, and facing the back of the building which, when opening the window we got a terribly greasy odor. However, the air conditioning did solve that problem. The Italian tour group staying at the hotel took over the breakfast room so we skipped the free breakfast. No worries, tons of great placed to eat within minutes. Loved the convenient location. All in all a decent place to stay in downtown Manhattan.	
Oct 30 2008 	Great Midtown Choice	My wife and I were very pleased with our 3 night stay. The location was near perfect for our needs: walking distance to the Brwy theatres, subway stations, and bus stops. Our room, although compact, was clean, quiet and equipped with ironing board, iron, and hair dryer. Included in the price was a daily breakfast that exceeded our expectations - eggs, bacon, sausage, juices, fruit, coffee cake, french toast, yogurt, hot and cold cereals, beverages. The hotel staff was friendly, accomodating, and competent. We were able to get into our room 2 hours prior to the 3 pm specified time. There was no charge to check our bags for several hours after checking out, so we could visit the Art Museum unhindered on the final day of our visit. A copy of the US News was slipped under our door every morning. Local calls were free, as was use of 2 PCs and printers in the lobby. The only glitch was a 15 minute delay in returning our two bags to us when we returned to the hotel after our museum visit so we could proceed to Penn Station to return home. We will give top consideration to staying at this hotel on our next visit to NYC.	
Oct 26 2008 	Enjoyable visit ..... but not as enjoyable as the last time	We stayed in this hotel on our previous visit to New York and loved it. This time, it was not as good. Despite being Priority Club Gold members, we still had to wait half and hour for check in .... even though our room was ready. The lift broke down one morning which meant you have to wait forever to get upstairs. Also the air conditioning needs cleaned.Despite this, the majority of our stay was enjoyable. The majority of the staff were very friendly and helpful. Breakfast was enjoyable. Rooms are on the small side but they are clean and more then adequate.	
Oct 23 2008 	Great Location	We chose this Holiday Inn mainly because of the ideal location. Our room had two double beds and was on the 3rd floor facing the street. The windows that face the street do not have room darkening drapes so the street lights gave the effect of having night lights on all night. Our room was clean and comfortable. And the breakfast in the morning was great. They keep fresh, hot coffee flowing in the lobby all day and evening which was terrific! The only down side for us was the small size of the room. With two double beds there was only a tiny amount of room to move in the middle of and around the foot of each bed. We were only staying for one night so we could easily deal with it but would not want a room this size if staying longer.	
Oct 21 2008	A good place to stay	My husband and I stayed at the Holiday Inn Express 5th Avenue for 5 nights at the beginning of October. The hotel is in a fantastic location and it's only a few blocks from eg Times Square, Bryant Park, New York Public Library etc.The hotel is not very wide, so you only get approx 6 rooms per floor. We stayed on the 12th floor (I think there are 20) and couldn't hear much of the traffic on 45th Street, apart from police sirens etc.The staff were very friendly and helpful. We managed to get a seat at breakfast every day and the food is of an acceptable standard, with both hot and cold food.The bedrooms aren't very big by US standards, however, they were big enough (they were about the same size as UK hotel rooms).I would thoroughly recommend the Holiday Inn and would stay there again.	
Oct 16 2008 	Great hotel in a great location	My wife and I spent 3 days in NYC at the end of September and had reserved a room at the Holiday Inn Express based on the reviews seen here on TA. The reviews are right on. The rooms were indeed small, but we weren't in NYC to hang out in our room. Even though the room was small, it was very clean. The breakfast was good and the breakfast area was somewhat small, but we were always able to get a table. The entire staff was helpful and friendly from those at the front desk to the cleaning staff (when we asked about where to go for cheesecake a place called Juniors was recommended and it was very good). They even hailed a yellow cab for us when we needed to get back to the airport. The best thing about the hotel, though, was its location. 2 blocks from Times Square, an easy 10-15 minute walk to Central Park, minutes from Grand Central Terminal and 10 minutes or so from Rockefeller Center. One thing to be aware of if you stay.....the elevators can be very slow at times especially when the rooms are being cleaned.	
Oct 14 2008 	Small 	Rooms are small, breakfast is very crowded, it's expensive. However, the hotel is clean and staff are helpful. It's a great location and probably the best you can find for the price. I will go back again.	
Oct 7 2008	Make sure you don't end up on the 'executive level' (aka basement)	The title pretty much says it all. The basement is noisy - computer outside rooms which can be used at any time, day or night which made me feel unsafe and the emergency exit is labeled 'employees only'. I've stayed at this location before - once before in the basement which is how I knew to request that I not stay in the basement this time. Unfortunately, when I checked in there was no record of my request despite the fact that I called directly. Prior to this visit I didn't have a problem with this motel - its clean, easy and has a great location. However, this time the staff was not helpful and I was promised a call from the manager to discuss my issues and was never contacted. Bottom line: I'd say this place is fine, if they honored committments made during the reservation process.	
Sep 6 2008 	GREAT stay! Very clean!!	Stayed at the Holiday inn Express Fifth Avenue in NYC the last week of August. I had never been to NYC and had no idea about where to stay. I booked this hotel based on the reviews from this website. I was looking for something affordable and clean. This hotel did not disappoint; the rooms we stayed in were EXTREMELY clean. The hotel is located about half a block off 5th Ave; Times Square is about 2 blocks to the east. The area we were in felt safe and we were comfortable walking around at night. The hotel is within walking distance of several attractions, including Times Square and all the broadway shows, Rockefeller Center, Grand Central Station, St. Patrick's Cathedral, etc. The complimentary full breakfast at the hotel was great. The only problem with the breakfast area was that it was small and tables filled up fast. If you want a place to sit, I would say you would need to be down there before 8 AM. We ended up taking our breakfast up to our room most of the time, but that was not much of an inconvenience for us. The lobby area is small and gets easily congested, but this was not a major problem either. The other reviews about this hotel are correct when they say that the rooms are small; there is not much room to move around. The corner room I stayed in was smaller than one next door that other family members stayed in. However, we were really in our rooms only to sleep, and the small aspect really didn't bother me much. The flat screen TVs are nice and there are LOTS of channels. The free wireless internet access is a huge bonus as well. I guess there is a office workstation area in the hotel but I never went there. The front desk staff was very nice and they were helpful. They quickly got us a cab the morning we left. Just an FYI, the cab they got for us was not a yellow cab and was instead a private car service, which was a little more expensive. But this was better than trying to hail a cab on a main avenue in the pouring rain at 5AM. If you are looking for a hotel with nostalgia, I would look for a different place to stay. But if you are looking for a hotel with a great price, location, friendly service,and more than adequate amenities, then this is the place for you!	
Sep 6 2008 	Tiny rooms but great location	You don't stay in the Holiday Inn Express in New York if you want a large room or a spacious breakfast area. But it's got location, location, location - on 45th West between fifth avenue and avenue of the americas with central park a ten minute walk away, and radio city and the rockefeller centre a few minutes on foot too. Grand central station is a couple of blocks away and the excellent italian restaurant Resette is just next door. The rooms have free wireless internet access and a huge range of cable channels, but they are very small. USA Today is free every morning. The breakfast room is chaotic at peak times with too many people trying to crowd into a very small space. But hot breakfast was included in the rate so I wasn't complaining. The staff were friendly - Jasmine on reception had a very cheery, positive attitude when I checked in at midnight after 15 hours on a plane. So all in all a good experience	
Sep 4 2008 	Great location!	My wife and I attended the Fancy Food Show and we stayed at this hotel for 5 days. Pretty good place to stay. Location:Hotel is very centrally located. Close to everything -- 5th Avenue shopping center, St. Patrick's Cathedral, Central Park, Broadway theatres, Times Square. Staff:Very helpful and accomodating. Too bad I didn't get their names to thank them, but they're all nice.Cleanliness: Rooms are clean and since this is a pretty new hotel, the bathrooms and furnishings are pretty new.Room Size:Enough for myself, my wife and my daughter. New York is not known for large hotel rooms anyway. Extra stuff:Breakfast is free and they have scrambled eggs, bacon and sausage, danish pastry, juice &amp; coffeee. Very basic but sufficient. I figure I'm saving $5 / day for breakfast. Great to have free wi-fi as well.I stayed at the New Yorker Hotel before and I'd definitely pick Holiday Inn Express over the New Yorker hotel.Would recommend it to others. However, I'd probably stay at another hotel next time just for a change.	
Aug 3 2008 	Just wonderful	I reserved a room in this hotel for 3 nights for myself, my wife and our two young teen kids. The rooms are small, but typical for NYC I think. It was very clean and nice and the shower was wonderful. That, along with flatscreen cable TV was all we needed. The hotel staff was wonderful(especially Skylar at the front desk..always helpful and friendly and got us a great SUV to haul us out to the airport).We stayed on floor 20 and it was peaceful. The location was great as we could walk the three blocks to Times Square for food and fun and get to the subway easily as well. I would highly recommend this hotel.	
Jul 30 2008 	Little Gem	We booked the hotel through British airways as a deal. We had looked at reveiws and most seemed good. The hotel is tucked away and appears to be a recent new build (or recently renovated). Firdt thoughts was that the reception is basic and small but acceptable. We checked in fairly quickly and the staff were very freindly. The bell boy brought the bags to the room which was good for such a basic hotel (expect to tip). The rooms are quite small but thats standard in new york. They are clean and fairly new. Bathrooms are clean and small but more than adequate with complimentry toiletries.The lifts are fairly slow so expect a 5min wait in busy periods. The breakfast in the morn was unexpected but very nice. They had everything to set you up for the day, the only complaint would be the small eating area and the cold draught fromthe main street as the automatic doors were always open. Most of the time we took a tray with breafast back to our rooms.The hotel staff were really helpfull and the concierge were always there to help with booking trip etc. They organised a limo style car to pick us up from the airport which was only $20 more than a taxi and well worth the extra. Overall i would definatley recommend this hotel and would return in a heartbeat!!	
Jul 29 2008 	Very nice New York hotel	Very nice hotel. Good location, but if you need evening life - choose other place - Chealsia, Soho or Grenvichvillage, cose everithing closed after 7 p.m. - cafe and restrans. Rooms are small but nice and clean. We choosed this hotel about good location and cose its new...everithing is fresh.	
Jul 24 2008 	Super location nice helpful staff	We traveled to NYC for a long weekend. We wanted a central location and have easy access to everything. This hotel fit the bill. The price was not to excessive, especially since we would only sleep there. It was clean and comfortable and the AC felt great since it was a hot spell in NY. 94-98 each day! The rooms ere very small, with full beds, so if you need 2 to a bed, you better be friendly! They were comfortable though. We were on the 20th floor, and didn't hear any of the noise from the street. The front desk staff were very helpful and friendly. Skylar and Carmelo were exceptional and always willing to help out with directions and recommendations. There were plenty of places to eat near by. The continental breakfast was good. Better than most. Plenty of selection. I would definitely stay again and I have already recommended it to a friend.	
Jul 22 2008 	Nice Hotel	My husband and I booked this hotel through Orbtiz and it helped that it got good reviews. Our hotel room was small (exactly like the photos) but I found it comfortable enough. We had free wireless internet and the free breakfast bar boasts all sorts of stuff -- eggs, bacon, bagels, cereals, etc.One thing I didn't like was that our room didn't have a mini-fridge and since it was summer when we visited, we could have used the appliance to cool beverages. But other amenities were there -- dryer, iron, etc. The location is great as well, close to Times Square, Rockerfeller Center, 5th Avenue shopping. Overall, the hotel was really nice.	
Jul 11 2008 	BEST LOCATION	Just returned from 8 nights at this Hotel.I have never been to New York - but this is a great location.Room is small but very clean and the bed was lovely and soft.Breakfast was great and saved time.Would definateley stay here again.You can walk anywhere fron this location.	
Jul 9 2008 	Great Location Looks better than the pictures	We read all the review from all the websites, and decided it seemed like this hotel had a good location. Also, all the reviews said the hotel rooms were very small and the lobby was tiny. So we prepared ourselves. Once we got there we realized it was much better than the reviews! The lobby was full of people and it was a small bit cramped, but nothing horrible. We checked in around 11am and they already had a room available. This was great!! Once we got to our room, I was in for another surprise.. it wasnt that small!! Sure its a bit shorter than regular hotel rooms. But just having come back from France, this was a LOT bigger. The room was nice and clean and bathroom was a nice size. (A little scum in the shower). The only thing I wished the room had was a refrigerator. (There is a microwave in the lobby to reheat food)We will DEFINITELY stay at this same hotel. The price was just right for Fourth of July Weekend. We are planning to go back for New Years..I'm sure it will be more expensive.	
Jul 8 2008	Great hotel for the price	This is a great hotel for the price. The location on 45th street between Fifth and Sixth ave. is excellent- near Times Square and Grand Central Terminal. It is a very safe area. The desk clerks were very pleasant and helpful. This is not a posh hotel- don't expect lots of pampering. The hotel is fairly new and the beds comfortable with lots of pillows. The rooms are small but serviceable with a large flat screen TV. Breakfast is included and it was substantial. Coffee is available for free all day and night- which was nice. There are lots of restaurants within walking distance. There was no room service but some area places will deliver to the hotel.One caveat- when we checked out the doorman offered to get us a cab. He led us to a black sedan- not a yellow cab. I asked the price-The price to LaGuardia was $45. I refused. A yellow cab costs $26. plus tip on a Sunday morning- a substantial difference. I would stay here again- this is a good place If you would rather spend money on shows than hotel rooms.	
Jul 3 2008 	Great hotel	We stayed in HIE for 8 nights in May 2008. We got a yellow cab from Newark airport and it cost us $65 which I thought was excessive compared to the prices quoted on the website. The hotel was quiet when we arrived and our room was ready early. It was small but we did expect it to be. We had only just got settled when someone arrived with bottles of water and biscuits for us, as we are Priority Club members. The hotel was really busy each morning for breakfast and often you had to wait for a table. The food was good - toast, croissants, fruit, bacon, sausages, eggs and cinnamon buns. Tea and coffe were always available at the far end of the breakfast area but there was also a kettle in the room. The free wifi and computers on bottom floor were great. Overall this hotel was really good. Only downside was the fact that safety deposit boxes are at reception and we never got one as they was never any free ones.	
Jun 29 2008 	Small and Functional	I was in NYC for business and stayed at the Holiday Inn Express. Conveniently located, close to Grand Central and 42nd st stations and Fith Ave. Hotel staff was nice and accommodating. I had an urgent request to which they responded immediately.Rooms are a bit small even by NY standards but I was only there to sleep. Although the prices are slightly steep for a hotel in this class, I would highly recommend it for for its no nonsense, no frills offering. With free wifi and free breakfast, I saw no reason to complain about anything.	
Jun 26 2008 	Very nice surprise	We go to NYC once a year and have stayed in several different hotels. For the past few years, we've been returning to the Marriott Times Square--good location and we've always been very pleased with their rooms. They have always been very clean and roomy and the bathrooms pass my test. However, this year, the rates have gone through the roof and we decided it was time to try somewhere else. The reviews of the Holiday Inn Express on 5th on this site led us to stay there. I was a bit apprehensive going in, as I thought surely, no one had the bathroom standards I do. Well, I must say, it was a very pleasant experience. Yes, rooms are small--but there was a very comfortable king-sized bed there, as well as a desk area and stuffed chair. We were a bit stretched for hang-up space in the armoire, but we managed. The bathroom counter space was a little wanting, but the room itself was very nice and clean. The bathtub looked brand-new and the floor was sparkling. Best of all, the towels felt as if they had a little fabric softener in them. There was a hot breakfast buffet every day--no, it wasn't fabulous, but it was a nice added &quot;extra&quot; considering we were paying $100/day less than most of the other hotel options with no breakfast. They also provided free wi-fi, as well as a computer &amp; printer in their basement for e-mails and printing out boarding passes. Be warned: there is NO ambiance in this hotel. If you're looking for a picturesque setting, it's not here. But for a couple of weary tourists, it was wonderful to come back to a nice clean room and comfortable bed each night. We stayed 6 nights. It wasn't far from the subways and was convenient to the theater. Our one and only complaint: we'd asked the Front Desk to call for a taxi the morning we left for home. Up pulled an unmarked &quot;taxi&quot;. With everything we'd heard about not using them, we questioned the guy at the desk. He looked at the car and driver, then at us and assured us it was a legitimate taxi service. So away we went. However, it was not until we were loaded and on our way, that the driver told us the charges were more than a regular yellow taxi (about $20 more). I put the blame on us for not questioning him before we got into the cab, but I also feel the guy at their Front Desk should've been held accountable--he knew what he was doing and that it wasn't a regular yellow cab he'd called. Will we stay at this Holiday Inn again? Probably, but we will definitely call our own taxi.	
Jun 17 2008 	Pleasant Hotel Great Location Friendly Staff	After waiting an hour over check-in time, we were taken to our rooms. The room is fairly small, but with very comfortable beds. If you have more than one piece of luggage, good luck finding somewhere to put it. There is one small rack that will fit one suitcase. Your only other option is the desk. There is no view, but we were just there to sleep and take occasional breaks. The staff is very friendly and accomodating. Overall, it was a good experience with an excellent location. Breakfast was good, but a small crowded lobby.	
Jun 16 2008	Loved the HIEX on 45th st.	My mom and I just took our very first trip to NYC and we stayed at the Holiday Inn Express on 45th st. for 4 nights. The staff was very friendly and they always had a smile and a hello whenever we left the hotel or returned. Check-in was quick, and easy. They gave us a map of the city and answered all our questions. They even told us which subway to take when we needed it. The hotel is so centrally located we only took the subway once. It's walking distance to the ESB, Macys,Grand Central, Times Square, Central Park, Rockefeller Center, and the list goes on. The room was clean and the bed was very comfy and the shower in the bathroom was excellent. We were not picky on the size of the room because we did not spend a lot of time there. It was very hot when we were in NYC and it was so nice to come back to a nice cool room to rest our feet and cool off. Our room was on the 9th floor and our room faced the street, but was not noisy. The breakfast was excellent and there was always plenty to eat and a nice place to sit. Check out was just as easy and there were no suprises on the bill. The price was right at $279.00 a night and I would stay here again and recommend it to all I know. :)	
Jun 14 2008 	Great location and very clean	We loved the location. If it is your first trip to New York then this is the place to be. The front desk was helpful, and it is SO central it is unbelievable. We are headed back for our second trip their this summer and we will pick this hotel again.	
Jun 10 2008 	BETTER THAN EXPECTED	Wow!! Awesome location, Affordable price, Clean room, and very friendly staff! The young lady at the desk, Solange, had a very warm and welcoming personality. I have NO complaints about this hotel. 4 blocks to Rockefeller in one direction and 3 blocks to Times Square in the other direction. We parked behind the hotel on 46th in the garage for $35 (reduced price for hotel guests). We arrived before check in and they kept our bags for free until check-in and kept our backs after check-out so we could walk around until it was time to pick up our vehicle. I will stay at this hotel every single visit back to NYC and will and have already recommended it to friends and family.	
Jun 6 2008 	Very comfortable hotel.	Hotel was great location. Very effective air con (it was hot and humid in NYC at the time). Slept really well (didn't want to leave the room at times!). LCD TV with hundreds of channels, good size room. Clean bathroom.Very friendly staff. Pleasant and tasty free breakfast in morning. 5 mins walk to Times Square, seconds from 5th Avenue.What more could you want?Well recommend this hotel to anyone.Tom GriffithsUnited Kingdom	
Jun 6 2008 	Great location very central	There is no doubt that decent NY hotel prices are excessive but we feel we got a good deal for our 4 day trip to NY. The location is perfect, very central and easy to get to.I would say this HI Express provides above average accommodation and an excellent buffet breakfast for a reasonable price. The only downside was the inadequacy in size of the entrance foyer/ breakfast area. Space at reception was only around 2 metres in width, so customers at the desk were jostled by others coming in and out of the establishment.When breakfast was not being served, you could by-pass reception around the dividing screen. But this was also the area where groups arriving or waiting for transport had to wait.The room was fine. Two queen size beds, nice spacious layout and a good bathroom, all very clean. The view out of the window was just as seen in old movies!	
Jun 1 2008 	Excellent stay and great value	The hotel is very clean, rooms feel new, staff is courteous and very helpful and friendly. I suppose the rooms are small, but what do you expect for $200 a night in Times Square? You really cannot beat the location. I would highly recommend.	
May 26 2008 	Here's why I rated it as I did....	If you read through the various reviews on this hotel, you'll get a pretty accurate picture of the good and the bad. However, one person's excellent is another's average. Here's why I rated it as I did.Staff - Very curteous and helpfull, always responded to our needs - a &quot;5&quot;Rooms - Very clean and functional. Very small, but you're not in New York for the room if you stay here. On it's own - &quot;2&quot;, becasue it's NYC &quot;3&quot;.Breakfast - It's free &quot;5&quot;, well stocked &quot;5&quot;, very busy in the morning with little room &quot;2&quot;. Ran out of items because of the crowd &quot;2&quot;.Location - Not on Broadway but very close. &quot;4&quot;View - We were on the backside of the hotel, 17th floor. Nothing to see but buildings &quot;2&quot;.Overall a &quot;4&quot; because the things we really wanted and needed out of the hotel - good staff, free breakfast, good location, outweighted everything else. To call this a &quot;5&quot; is similar to grade inflation. The property is not bad and I'd stay there again in a heartbeat. However, if I wanted something with more space, amenities, etc. I'd need to look elsewhere. Knowowhat you want before you book here. If you plan to spend time in the room and want to be pampered. Pull out the wallet and spend more by staying someplace else.	
May 19 2008 	smokey rooms	We just returned. I agree with other reviews, The hotel is well located and clean, The rooms are very small even for New York. We asked for a no smoking room but were told the hotel was full and the only rooms were smoking. The room stunk! The breakfast was better than expected but the area was packed every morning and they seem to always run out of some items. I would stay here again but only if they promised a no smoking room and the price was right.	
May 6 2008	Wonderful Hotel and Location	My husband and I just stayed here, and it was wonderful. The location couldn't be better. The members of staff were friendly and helpful. They always greeted us as we came back to the hotel or left to go out, and always did whatever they could to answer a question or honor a request.Our room was small, but this is New York City. Our view was of an office building next door. But the room itself was great. The bed was very comfortable, the new flat screen TV was great and had a lot of channels. Also, the wireless internet worked great on our iPod Touch. The bathroom was a bit small, but I expected that. However, it was a nicely decorated bathroom with great towels.There is a business center in the lower level of the hotel with 2 computers. There is a printer available; however, I did not use it.The complimentary breakfast looked great, but we did not eat there. It was very crowded each day we were there, so we had breakfast at a market a couple of doors down (great omlettes for a great price).The front desk did add a nice touch for us since I'm a Priority Club member and used points for this stay. They had 2 bottles of water and a little package of Pepperidge Farm cookies with a Thank You note on the desk. It just goes to show that a thoughtful gesture goes a long way with a customer.My only complaint about this hotel is that there is no in room safe, and the front desk staff told me that they did not have a safety deposit box available that could be used for a laptop computer. It seems silly to have complimentary wifi but no safe available to secure the computer.I will definitely stay in this hotel in the future. And I will recommend it to friends. The staff did an excellent job.	
Apr 22 2008 	Nothing More You Can Ask For!	Was staying at the HIE 5th Aven with my mum for 3 nights in early April. We only had 3 days to tour around New York and so really needed a hotel centrally located to Times Sq and the other tourist spots but one which didn't cost an arm and a leg!We payed slightly over $1000 for the three nights and to sum it all up - it was worth the money.Great Location: Just a 5-7 min walk to Times Sq., which is where most of the tour busses operate from to get you to the Empire state building, Battery Park (ferries to Statue of Liberty depart from here) and all the other spots.Walking distance to Macy's and the Empire State building (but we took a taxi because it was raining!)There are several places to eat next to the hotel - an Indian Vegetarian restaurant next door, a burgur bar 2 doors away and a sandwich bar/grocery store infront of the hotel. Just note that most of these places close at around 9.30 pm - which I think (coming from London) is very early! The room: The rooms are small - but not tiny. Me and my mom had 7 peices of (medium to large) luggage between us and we still had place to move around in the room - and think about it you aren't going to spend a lot of time in the room anyway being in New York. The bed was very comfortable and there was a choice of two soft pillows and 2 firm pillows.We had a room with one double bed - I like to go for 2 twins but the hotel was going to charge me extra.The room also has a lap top 'table' with a cushion stuck on the bottom so you can work on your laptop in bed - GREAT!The bathroom was mainly marble decorated - nice fluffy towels, little hand and face towels too. A tub with a shower.Breakfast and the Lobby: Breakfast with several hot options in a tarriff like this one was great. Loved the scrambled eggs and bacon. Loved the muffins and crossaints. They also provide breads, juices, cereal, boiled eggs, yoghurts and the famous cinnamon rolls (which I found too sweet and too greasy)The only downside is the lobby - which also is the breakfast area - its too small and gets overcrowded.Front desk: Very helpful staff, helped us with directions, kept our luggage for several hours before our flight. Hailed us taxis several times!In summary - A great hotel, clean rooms, great breakfast, great staff, great location and WELL WORTH YOUR MONEY! Will definately stay here again!	
Apr 1 2008	much better than expected--will definitely return ASAP!	04-01-08Just returned from a spring break trip to NYC. Stayed at the Holiday Inn Express at 45th and 5th.The hotel was great in every aspect. From check in to check out everything was smooth. When I addressed any need to the front desk, it was handled right then--no waiting. From baggage storage, need for toothpaste, baggage retrieval, and assistance with a cab--it was immediate!The rooms were very nice, though small. The overall coziness though, led us to stay in the room more than usual--we skipped getting show tix for Sunday PM in favor of watching TV. The variety of channels was excellent. The beds/linens are so comfy. The location is the best-subways close by.A good variety is offered at the complimentary breakfast. Also there is free internet service in the lower lobby. Ice machines on several floors.No room service, but plenty of dining choices within a block.Also, close to Rock Ctr., AND the Red Flame Diner is one street down, on 44th. Can't wait to return.	
Mar 30 2008 	Beware of the Parking	The hotel was perfectly located at 45th off Fifth. We had a quiet room with a King bed on the 15th floor, no view though. The bathroom was pristine and mostly marble. The mattress was comfortable and the linens and furnishings were clean. The hotel is only a little over a year old and it feels new. It is small, but in NY most rooms under $300 are small. If I have a King bed, flat screen TV and spotless bathroom, I'm happy. The free breakfast was good enough with excellent croisants, but weak coffee. We were able to leave our bags when our room wasn't ready early at no charge.Now the reason I'm taking the time to write. BEWARE OF THE PARKING ! We used the suggested lot behind the hotel on 46th street. We checked in the car at 12:30. We went to pick it up at 3:30 the next afternoon. We were charged $85. The cost per day is $35 plus tax, which we knew. What we didn't know, is that if you go over 24 hours you are charged for an additional full day. When we had our parking ticket validated at the desk we should have been told this. We would have moved the car to an hourly lot. When we tried to complain at the lot, no one could speak English and we couldn't get the car without interacting with a credit card machine on the wall.We had wrongly trusted that this was a good place to park	
Mar 29 2008 	Clean and Friendly	We stayed for a week at this hotel. The more you shop, the less room you have and there isn't much to begin with! Very small, tiny rooms, but very clean also. Little room for hanging clothes, especially if you have winter jackets. The breakfast is brought in and microwaved; sausage, muffins, scrambled eggs, round bacon,cinnamon buns, toast, cereal, juice and usually bananas and oranges. If you are lucky enough to find an empty table to sit at, bring a sweater. It is very cold in the lobby where you eat! Food really cools quickly. Also, many people linger on after eating, reading maps etc. so tables are rare. Management should post a sign asking guests to leave once they are done eating in order to free up tables. It is convenient though; nice not having to get dressed up for the day and leave your hotel before you have something in your belly. Coffee throughout the day is an added touch. Staff is very friendly, everyone we met always had a nice hello, or can we help you. No problems with the elevators or water pressure. Rooms were always cleaned when we returned from an outing with plenty of fresh towels. Very good location. Walking distance to all the major attractions; Times Square, Rockefeller, Shopping, etc. We also walked to Empire State Building and Pier 83 for harbor Cruise (which we strongly recommend).Food is everywhere, cheap or expensive, whatever you prefer. Free internet and two computers for guests to use 24 hrs. is great. Not everyone has a lap top to lug around.We would definitely return to this hotel, although another trip to New York isn't likely in the near future. We're thinking Paris!	
Mar 23 2008 	very impressed all-around	This hotel was an all-around &quot;winner&quot; in my eyes..... I really can't think of anything to negatively criticize it on.The location is really great (just a block or two East of the craziness that is Times Square /Broadway).The hotel was clean and very presentable on the outside and in.Check-in was great......simple, quick, and pleasant. The elevator was fairly high speed, so it didn't take much time to get to the top floor (where our room was).Our room had two double beds and was very spacious, especially considering we're in NY. There was a nice desk/ work space and a conveniently large dresser and closet. The beds were very comfortable and all linens and decor was attractive &amp; up to date. The washroom was clean, large enough, had ample water pressure and an eco-friendly 'low flow' toilet to save water (and reduce some of the flushing noise).By being in and out of the hotel semi-often, I enountered a number of staff members, and they were all very nice &amp; personable.Perhaps the highlight (although the entire hotel &amp; stay was great) of the stay is the warm 'express start' breakfast in the morning. Very delicious food, as much as you can eat, and good quality. (From eggs, bacon, and sausage, to muffins, cinnamon buns, and yogurt... as well as all beverages).Checking-out was a breeze as well, and left a great impression on me. I would definitely return here and recommend this place to friends and family.	
Mar 20 2008 	Do Not take Room 101 or 102 Noisy Beyond Belief	The hotel itself was very clean, staff very nice, breakfast good, location great, price good. BUT....one warning....do not accept 1st floor room 101 or 102....the noise from elevator, food prep area, and storage area right outside is intolerable. I had to wear ear plugs to get sleep. And in the morning, the smell of the cooking going on next door around 5am wakes you out of a sound sleep.	
Mar 12 2008	Great hotel	My boyfriend and I stayed at this hotel for 5 nights in march 2008.I picked it after reading good reviews and would highly reccommend it. Its ideally situated as its a five minute walk from times square and close to the subways. I felt very safe in the vacinity of the hotel.Our room was on the inside of the hotel and our view was of offices and not very exciting. But I certainly didnt spend much time in the room looking out of my window!I found the hotel very clean, the staff were helpful and the room although not huge, was perfect for our needs.The bonus is the breakfast that is provided free. I found that lots of hotels dont do breakfasts as new yorkers eat out. We saved a lot of money that we would have spent on breakfasts.If I ever return to New York I will definitely stay here again.	
