	Great Value for NY - but SMAAAAAALL.	If you´re not bothererd by the fact that the toilet is outside the room and shared with a few other guests from your floor, it´s not an issue. If you´re on your own in the cuty and have few luggages, it won´t be a problem either. After being to NYC many times, there´s no need to stay in midtown anymore... which makes the hotel location perfect. It´s a very charming place and the owner is a really sweet person, always with a smile on his face. It´s spotless and housekeeping does a really nice work. The room is cozy, but too small, and the tiny window makes it a bit claustrophobic... Anyway - paying $150 with taxes to be that well located in Manhattan is sometimes worth it.	
Sep 25 2008 	Stay here!!! Remove all fear of the unknown	Having put a lot of research into where to stay I am so very happy with our decision to stay at Chelsea Lodge. Thanks to the honest reviews in Tripadvisor on this property and others our 6 nights in August 2008 where a blast.It is on a lovely treelined street a very short walk from 7th Ave, with a pharmacy, shops and numerous places to eat nearby. We arrived late, 2 am in the morning and this was no problem. We went straight to bed and settled our account in the morning, such a relieft after 30 hours travelling!The rooms where good, just what you see in the pics. The toilets are clean, quiet and a non issue. We had at least 2 on our floor and no one had to wait. Our room sloped a little but this added to the character, I mean this is an old city. Great shower.A short walk to the subway, great bagels at Brooklyn Bagels. I agree with others, DO NOT STAY NEAR TIMES SQUARE or you will never see NYC. New York is about its neighbourhoods, not its tourist attractions.	
Sep 21 2008 	Absolutely great place to stay!	We stayed at the Chelsea Lodge because of Tripadvisor reviews and we were very glad we did. Be prepared though, it is not your normal mid-America Holiday Inn type of hotel experience. However, as long as you do your research, you won't be surprised by anything. The rooms are exactly as pictured and many of the other reviews were bang on. Everything was clean and quiet during our stay and as others have written, the shared toilets were a total non-factor. Other than the price, what's really great about the hotel is the neighbourhood! We loved the area and treasured our early mornings and coming back late at night after all our adventures. We felt quite safe because of the 24/7 restaurants and all the pedestrians and traffic on 8th. After a couple of days, we began to feel sorry for all the tourists staying near Times Square. Be sure to check out the nearby Empire Diner, Sarabeth’s Bakery in the Chelsea Market, and Murray’s Bagels for eats, although I’m sure there are many others we missed. Doing my pre-trip research, I noticed a Tripadvisor submission by the hotel, so if anyone connected to the Chelsea Lodge reads this review, please accept our heartfelt thanks for playing such a large part in making our visit so memorable.	
Sep 21 2008 	Wonderful Stay!!	My husband and I stayed at the Chelsea Lodge from Sept. 14-20th and thoroughly enjoyed our stay. We stayed in a deluxe room (#1) in the basement which had its own private bathroom and plenty of room space to spare. It was well worth the extra money spent for this upgrade from their other rooms. It was cleaned out very well (only smelled of cleaning solution upon arrival and it wasn't too strong). The bed definitely wasn't the most comfortable that I've ever slept in, and it was a little caved in the middle, but it wasn't horrible. After all the long and busy days we could have fallen asleep on the floor! The tv had cable and all the movie channels that you could ask for which was great when we had some down time to relax.The front desk staff were nice enough, We got a good morning every day and they were nice enough to call for a ride for us back to the airport. We took a taxi from Laguardia to the lodge which costed about $43 with tip and toll included (we only had to wait about 5 min for a taxi; there is a long line of cars waiting at the airport to take you &amp; the city makes sure you don't get ripped off by giving you a slip with rates stated on it). The city can not guarantee you will get ripped off if you flag a taxi outside the lodge to get back to the airport, so that is why its recommended to get a flat rate car or shuttle service. Just ask the desk staff the day before you leave to arrange for a car to pick you up from the lodge (this service costed $46 w/ tip and toll).As for New York I learned a few pointers I can share with you. First, if you plan on taking the 1 line (subway) to South Ferry for the Statue of Liberty, make sure you are in one of the first 5 cars in the train otherwise you won't be able to get off on the last stop that you need to get off of. Also, be careful when getting on express subway trains. They skip a lot of the stops (black dot stops) on the subway maps! Second, skip the top of the Empire State building &amp; go to the top of the Rockefeller Center. It costs about the same and you can actually get the Empire state and Central Park in your pictures.Third, if you are looking for the quality &quot;Coach,Versace, or Luis Vuitton&quot; purses (the C's look like a C and not Q or G) go to Canal street into the fake purse shops. Even if you only see the obvious fake purses just ask if they have Coach (or wait for them to ask you if you want a Coach purse) and then they will show you their secret stash or take you into a hidden upstairs room. Be aware: I wouldn't do this alone! We were taken into a locked van at one point which I wasn't happy about and no one should be alone, it felt unnerving. If they start walking you away from the stores then you are most likely going to a car so say &quot;no&quot; if you don't want to do that.As for shows, we saw Phantom of the Opera, Young Frankenstein, and Hairspray. The last two were excellent and funny, and Phantom was good too, but just not my kind of play. If you don't decide to see a show until that day, watch out for raffles done a few hours before the show. Both Young Frank, and Hairspray raffled off $25 tickets 2 or 3 hours (respectively) before the performance. The raffle for YF is actually for front row seats which is excellent. We didn't win that raffle but they allowed us to purchase wonderful balcony tickets for the same price. Don't forget your cash though, no cards accepted for this deal! If you don't want to take a chance waiting that long to purchase tickets just go to www.nytix.com and for a one time $4 membership fee they will give you promo codes on all plays for 40-70% off ticket prices which you can buy from Ticketmaster before you even go on your trip. Forget wasting your time and cash at a TKTS booth!Last tip: don't forget your cash!!! You will be surprised at how many small restaurants, rental places (boats @ Central Park), and tickets booths will only take cash. Have a great trip and don't hesitate to stay at this lodge. We can't wait to come back again!	
Sep 20 2008 	Great value and convenience to Broadway Penn Station and Restourants	My wife and I stayed there one night to see the play &quot;Equus&quot; .We enjoyed our stay and the staff was hurried ,but helpful. The rooms were clean and quiet. The staff recomended a breakfast and dinner place, just up the street, that were very good.Cheers to Chelsea Lodge	
Sep 18 2008 	Lovely hotel brilliant location	I loved this hotel and would recommend it to anyone. Brilliant location, loads of nice restuarants near to the Lodge and close enough to mid and downtown to make it easy to get everywhere else. Yes the rooms are small but they are perfectly adequate especially if you are planning to be out most of the time. Toilets were never busy and the whole place was clean and beautifully finished. I loved it!	
Sep 3 2008	Lttile gem in Chelsea	We booked the room for our first trip to NY, based on Trip Adviosr reviews and were not dissappointed or suprised. Being in the industry, I have stayed in some pretty sweet properties, but the price of the Chelsea Lodge could not be beat and the location was great. The room was small and the toilet was down the hall, but as we were never in the room except to sleep, it really didn't matter and the shower is in the room, which was convenient. I think if the weather had been bad and we needed to hang out in the room more, it would have been a real drag, but there is so much to do in NY, you just don't need alot of expensive space if your main goal is to just sleep and leave again. I would recommend it to singles or couples who are more focused on seeing the city and spending their money on great meals and fun stuff in a cool neighbourhood.	
Aug 24 2008 	Very nice hotel	This is a very nice place to stay. Staff is friendly, location is great and rooms are nice and clean. We changed our reservation just a week in advance and there were no problems. I would definitively stay here again.	
Aug 24 2008	Great budget accomodation	We enjoyed a 5 night stay at the Chelsea lodge in June. The property is located on a lovely street in the heart of Chelsea. The room was quite small, shower and sink in your room. Though the toliet was just outside the room, it wasn't a problem at all, we never had to wait. The reception staff are a little strange, not overly friendly, but helpful if you required anything. The air-con in our room was really noisy so couldn't have it on during the night which made sleeping quite uncomfortable in the high humidity!The hotel is about 20 blocks from the centre, which is about a mile, easy to walk. But the area where the hotel is has got lots of nice restaurants, fast food places, bars and a cinema. We can recommend O Mai - a Vietnamese restaurant just round the corner. Also Qdoba and Rub BBQ are near by - very tasty!!Overall, great budget accomodation &amp; nice location. A great base for exploring what NYC has to offer!	
Aug 21 2008 	Love Chelsea good value hotel	As we had read the reviews on tripadvisor before we booked, the Chelase Lodge was what we expected. The room was very small, not much room to move at all. However, the room was very clean and interestingly decorated. The toilets were in the hall (2 a floor), and they were always clean and free, we never had to wait for one. The room had air-conditioning which was essential in New York in summer. Be aware that there are no lifts so you have to carry your luggage up the stairs. We loved the location, Chelsea is so much fun! Great restaurants nearby and not touristy at all, seemed to be quite residential area which made the area all the more interesting. The subway is a short walk from the hotel. Given how much a hotel room can cost in New York, we thought the Chelsea Lodge was great value and we would definitely stay there again.	
Aug 14 2008 	Great place for the price 	Me and my girlfriend stayed went up to New York to stay for a weekend of New York sight seeing and I searched for a nice hotel under $200 / night because we'd be gone most of the day anyway.For the price chelsea lodge is really a great hotel - after reading the reviews I thought the rooms would be so small that we could barley even walk in the doors - but it wasn't bad at all. The beds were very comfy &amp; the room was big enough to get ready and head out to hit the town.The shower was a little small though, but it worked ok.The toilet down the hall was no hassle at all - we never had to wait or had any issues with cleanliness - actually all the hotel made a very clean &amp; nice impression.We got fresh towels every day and could store our bags the day of our check-out while we still did some shopping downtown.Great place, great price, would go back there anytime!	
Aug 13 2008 	Good for a single person	This is a great hotel for a single person in New York where hotel prices can be very expensive. However, I think it would be a bit cramped for a couple. The shower and wash basin are in the room and the WC is located down the corridor. The hotel is clean and has both AC and a fan and is furnished with arts and craft furniture. Location is quiet but you need to take the subway to get to the action in New York, however it is an easy walk to Greenwich village.I found a great restaurant close by called Cookshop on 20th street on the corner of 9th avenue.Great price for a single person in a quiet area	
Jul 17 2008 	Just ok....	Myself and my boyfriend spent two nights at Chelsea Lodge in November 07 . When we planned this trip from Italy we decided to spend only 3 days in NYC since we also wanted to go elsewhere along the west coast. We checked the hotels rates and we were so surprise on how expensive NYC hotels are so when we found Chelsea Lodge and read all the positive reviews on tripadvisor we felt lucky and immediately booked it .Once we got there we found that the entrance was nice, the people at the front desk were welcoming and helpful, the neighbor also has its pluses (close to the subways, restaurants etc..) but we were so disappointed of the room! It was very depressing...too small (no place for luggage), old run down furnitures, very bad smell, noisy from an old heater. The room was not also very clean either (dust everywhere and hairs in the shower) ... especially if I compare it to the bathrooms which despite were in common, were spotless! Had no problems with them always available when needed despite the lodge was fully booked. The shower in the room was the worst ...tiny, water did not run well and it was impossible to have it simply warm...it was either cold or hot. Additionally after taking the shower the room had water vapor everywhere! We did not expect a 4 star hotel but we expected some decent rooms! I was so uncomfortable with the shower that the last day I did not take it and waited to get to my next destination hoping it would be better.I can't say don't stay there but just don't expect anything and don't believe to all the positive reviews....there are more cons than pros in my opinion! Unfortunaly I would not recommend this place as it this....they need to clean more, renovate the rooms (nothing fancy but not 1960's furnitures!) and change the showers!!!	
Jul 11 2008 	Clean good value and location!!!	We wanted to go to New York for seven days but couldn't believe the high price of hotels. We found the Chelsea lodge on trip advisor though and couldnt believe the low price, great value! The hotel is easy to find and in a good central location, within walking distance to most attractions.The staff are friendly and helpful but are not in your face, which is just what we like. Room was no penthouse but in New York you don't spend much time in your hotel. Bed was comfy and very clean, fresh towels and a spruce-up every day. Sink and shower in room very clean, loads of hot water and good water pressure. T.V and drawers also.The toilet was across the hall, very clean and was always free. I was a bit worried about it being seperate but it turned out not to be a problem. Neighbourhood safe and we were not worried about walking aroud at night. Places for breakfast nearby and for dinner check out the Dallas BBQ on 23rd and 8th great chicken and ribs! Don't order starters - portions massive :)Tips!! We went to emipre state at 8.30am no queues! In Macy's their souvenirs are in the basement all in one place I only found this out on the last day and had been running around the huge store all week! Go to Canal Street for cheap souvineers and watch out for the carriage ride in Central Park - not worth the money!	
Jul 6 2008 	love this place its perfect	I booked the lodge for a friend and I after looking through a lot of places, checking out prices and reviews on this website. Chelsea Lodge had such good reviews and reasonable prices that we went for it. I was a bit nervous about the shower being in the room and the toilet down the hall, but it was absolutely fine. We had a nice method worked out where we read a magazine or watched the tv whilst the other came out of the shower! there were 2 toilets on our floor and we never had to wait for one. Everything was wonderfully clean and the bed was very comfy. Our window looked out of the back of the property onto the little garden and the gardens that adjoined it. The room is bedroom sized, big enough to sleep in and have our suitcases open and shopping everywhere. A chair to sit on and a little space for hanging things. also we had what looked like an old writing desk with drawers which we could use to put our clothes in and that the tv was stood on. There was a very quaint feel to the building, you could almost forget you were in New York when you were inside. We had a desk in our room that was actually a sewing table with the old sewing machine underneath! They will store your luggage for you whilst you spend your last few hours in the city and even bring it outside for you when you get back late and the taxi is there waiting for you, (ahem)!! This was my third trip to new york, and i've been lucky each time with my accommodation, but this was definitely my favourite. It was on a very quiet street, but you only had to walk a few metres to be on 8th Ave, with shops, and plenty of places for breakfast, lunch and dinner. Tube stops were very near and it was greatly located to go up the city, or down. im always going to recommend this place to anyone going there, and I'd certainly stay there next time i go.	
Jul 5 2008 	Wouldn't stay anywhere else!!!!	Just got back from a wonderful 4 day trip to NYC and had such a greatl experience staying at the Chelsea Lodge. We went fully aware that the rooms were small, and yes they were, but spotless and charming. It is called a LODGE...and that's exactly what it felt like.Staff was very nice and welcoming.Shared toilets are not a problem at all. Great air conditioning...and we needed it as it was very hot. Located on a very safe street in Chelsea...steps away from many restaurants and cafes. For great morning coffee and pastries try La Bergamote on 9th Ave at 20th.The Lasagna Ristorante on 8th is very good as well. Staying at the Chelsea Lodge makes u feel as if you are living there and not just a visitor to a typical sterile hotel room. If you are expecting a 5 star luxury hotel with all ammenities then you will probably be disappointed with the Chelsea Lodge....but for those who want an affordable,safe clean accomodation with lots of character right in the middle of everything...u cannot beat this place. Could go on for days about how pleased we were. Such a great find....we will DEFINITELY be back.	
Jun 30 2008 	The Chelsea Lodge was a great find!	My husband and I stayed at the Chelsea Lodge for 2 nights while we were in town to see a concert at Madison Square Garden (Pearl Jam). I booked the hotel for 2 reasons: the price and the location. The price was excellent considering the location.... Okay so the hotel is not in Times Square but it is in a very nice, clean &amp; fairly quiet neighborhood.It only took us minutes to walk to MSG and we also walked to Times Square from the lodge. We felt safe the entire time and our room was very quiet. We had expected the shared toilet so that was not an issue...and I must say that the bathrooms were kept very clean (at least on the third floor). The hike up the steps to the room was the only drawback...though it was only 3 floors up, unfortunately our legs were not used to the steep steps.The staff were pleasant and the overall feeling of the lodge was quaint. I would definitely stay here again.	
Jun 6 2008 	ok.	While the price and the location were great - I wasn't so happy with the lodge itself. The room was tiny - only a sink &amp; shower stall, the bathroom was down the hall... not so convienent if you have to go in the middle of the night. It was just my husband &amp; I and we felt very cramped. We had a lot of luggage (2 carry-on suitcases, duffel bag &amp; 2 backpacks) which left little room to manuever.The bed was uncomfortable and there was no way to adjust the temp - it was fairly chilly in the room at night &amp; I about froze to death.If you do stay here or in the area - you must go to the Lasagna Ristorante - it's absolutely wonderful!!! The best pasta I have ever had!	
Jun 5 2008 	Great base to explore the city	We have just returned from a week staying in one of the ground floor apartments. We found the studio apartment spacious and well equipped with it's small kitchenette.The location is superb, the lodge is in an attractive quiet street which feels very safe, which was very relaxing after a busy day out. We found all the staff very helpful and appreciated having the wireless internet.	
Jun 2 2008 	Okay for the money	The hotel has an excellent location. I felt extremely safe and the subway (red and blue lines) is only about a 3 block walk away. The &quot;lodge&quot; itself could use some work. The bed was extremely hard. After a long day/night of walking the last thing you want is a hard bed. There was also a dingy smell to the place, but it was tolerable. We stayed on the first floor with a shared toilet. It was rarely otherwise occupied so that really wasn't an issue. The shower and sink worked well in the room. It got pretty warm outside one of the days we were there, and so, fairly warm in the room. I turned on the ceiling fan and was sprinkled with dust bunnies, which was kinda gross. There was not much closet space, and only about 4 hangers, so bring some extra if you plan on hanging up your clothes. The desk and dresser drawers were not the most appealing places to store your clothes, so we opted for keeping everything in our suitcases. There was a flat screen in the room, but some channels didn't come in very well. However, we rarley watched tv so this wasn't really a big issue. The walls are thin so you can hear whenever someone else talks. The only reasons this place is &quot;above average&quot; are b/c it is cheap for NYC, and has a safe, conveinent location. If you are used to chain hotels, this place may take a little getting used to, but it was worth the $$$ we saved to stay here.	
May 21 2008 	Couldn't have stayed anywhere better!	After reading the excellent reviews we chose the Chelsea Lodge for our stay in New York in April. (we had to book in November though as there was great demand!)From a getting about NYC point of view it was a great base, only 5 mins walk from both the red and blue subway lines (make sure you get a 7 day pass for $25, bargain!)Also, you can easily walk up towards Madison sqaure/Empire etc no bother.... plus you get to see some sights on the way.The Lodge itself is in the village of Chelsea, which as we found is a residential area. But this is one of its great points. You walk out into the neighbourhood and its all locals, its great, not a tourist in sight (well apart from you).Eating in Chelsea is superb too. We had originally intended to goto chinatown, little italy etc for our evening meals, but having sampled a few of the eateries in Chelsea we thought why bother sitting on the subway when theres great places on your doorstep.We can heartily recommend the Dish for breakfast and the Italian/pasta place on the corner (name escapes me) for evening meals and drinks. Both ppovide great food and service and are cheap too. No rip-off tourist prices here.Although we did indulge ourselves for a meal at the Rainbow Room Grill one night which is on the 65th floor of the Rockerfellar Centre overlooking the Empire State Building. Google it for yourselves, brilliant place! (but expensive!)The hotel itself was spotless clean, no complaints. We were downstairs in the basement in one of the deluxe rooms which had its own private bathroom/toilet and shower. All of which were great, with towels changed everyday. It was quite a hot week when we were there, so the ceiling fan was on 24x7, but it was silent and did a great job and could be kept on through the night. There's cabled TV in room also.All 3 staff that we had dealings with in the lodge were helpful. I can see why some people might find the older chap a little dour and unhelpful, but thats just his persona, he was very helpful with us allowing us to use the internet terminal to prebook our seats etc for the journey home and let us print out our boarding cards and leave our cases in the recpeption room on the day we checked out.We have no reservatitions in recommending the Chelsea Lodge to anyone. Okay, its not the ritz, but it is a cheap and cheerful hotel in the heart of the Chelsea District.Don't bother with a Tourist Trap Hotel, get yourself in the Chelsea Lodge, you wont regret it.	
May 18 2008 	Chelsea Suites Rock	Arrived in the morning to drop off our luggage and proceeded to JFK to return our car.Took the LIRR back to Penn Station (twenty minutes and 17.00$ for two on the weekends) and walked down 8th ave to the Hotel in 15 minutes.James, the manger on duty(great guy willing to offer loads of information and very kind) had already taken our luggage and put it in our suite.He showed us everything we needed to know about our suite and was very helpful with information about the neighborhood.The subway is a 5 minute walk and the neighborhood is in a fantastic location.There are great restaurants all over the place and two markets within a 5 minute walk. There is also a Whole Foods within a ten minute walk.The Chelsea Market(where Emeril films his show) is a ten minute walk away and a must visit to explore all the gourmet foods and baked goods.Great for coffee in the morning.The Chelsea Pier sports complex is also ten minutes away.Check out their web page for all the activities there.For 229.00 a night you will not find a suite with its own garden (huge) in a great neighborhood anywhere else in Manhattan.Staying there was like having your own apartment in a Manhattan Brownstone on a beautiful tree lined street where you are perfectly safe walking late at night.The rooms in the hotel are 124.00$ a night.They are small but the hotel and the suites(about five doors down from the hotel) are impeccably clean.The suites are huge and ours had a beautiful white marble bathroom that looked like it belonged in the Trump Towers where the rooms are probably smaller and start at 1600.00&amp; a night. I could rave about this hotel all night long but I probably said too much already and they they will raise their prices. From now on, this is the only hotel my wife and I will stay in when we visit N.Y. City.	
May 16 2008 	Woke up it was a Chelsea morning and the first thing that we heard? Birdsong	We travelled as a family group of seven and booked two suites - one parlour and one garden. The hotel arranged for these to be on the same level which was really useful. Each room had a queen size bed, a sofa bed, chest of drawers, TV with cable, chairs and coffee table. The parlour suite faced the street and was very hot, it had a small shower room, closets and a kitchenette. The garden suite had no closets, a large shower room and a smaller kitchenette.The staff were very helpful accepting delivery of some books we had ordered from US bookstores and even returning two face cloths which had been taken with the laundry by mistake.Both were comfortable to sleep in, convenient for subways, local shopping and restaurants (The Empire Diner is two blocks west and two blocks north).Our teenage children felt confident enough to go around by themselves and we felt comfortable to allow them to.Would we come back - definately!	
Apr 22 2008 	Good find	It is definitely worth staying at the Chelsea Lodge for:1) the price2) the location3) the local amenities4) the cleanliness of the rooms and facilitiesI went expecting it to be like a nice hostel (i.e. clean, basic rooms, with no breakfast and some shared facilities) and while this wasn't inaccurate, the little touches (fresh towels daily, new TV, complimentary toiletries etc.) reinforced its status as a guest house. It would have been even better if there had been a kettle in the room, but I understand that this is probably too much to ask of this kind of accomodation.TIPS: We also had problems with morning (6.30am!) noise from the radiator in our room (2G). However, as other people have mentioned, it is really warm in the rooms anyway, so we just asked the guy at reception to turn it off for us (you can't do it yourself, as it involves unscrewing a cover) - job done!I would also recommend requesting a room on the 2nd floor (not sure about the 3rd or the basement, but these might be ok too?), as I wouldn't fancy staying on the ground floor because of the lobby.	
Apr 21 2008 	simply the best value in NYC	If you want a clean, friendly, helpful, no-nonsense place to crash after a hard day's sightseeing in NYC, then don't hesitate to book here. Small rooms, shower, TV, clean bed. Watch out for upstairs rooms though- ridiculously noisy pipes, although this was our only moan! Situated in a pleasant, tree-lined avenue in Midtown Manhattan, you are a short walk from the Empire State and Times Square, but far enough away to avoid the traffic noise.Mike and the guys were helpful in arranging transport, sorting out checkin until after we'd slept - we arrived at 1am - and of course, pointed out a great diner for breakfast. Luggage can be left with them if you have a late flight after checkout. The entrance hall is covered in awards, including Tripadvisor's, so book with confidence.	
Apr 21 2008 	Could be better....	Stayed in a basement garden suite for 5 nights. Wonderful location very convenient for Subway, Chelsea Art Galleries, Meatpacking District, West Village. Room was spacious by NYC standards &amp; also very quiet (except for foot traffic noise from room above!) Kitchenette was poorly stocked, had to boil water in the microwave. Overall decor slightly tatty and in need of updating. Also only superficially clean, don't look too closely at fixtures &amp; fittings or under the bed! Garden is no more than a neglected patch of scrub.These issues were outweighed by the excellent location in a vibrant neighborhood. Pros: location, location, location. Cons: in need of refurb, neglected garden, no kettle in kitchen, poor cleaning.	
Apr 21 2008 	A great base from which to expore	We stayed at the Chelsea Lodge last week (12/04/08) for four nights and really loved our time there. The rooms are basic and rather small but they have everything you need and are perfect especially if you don't really intend to spend much of your time there as we didn't. The rooms were checked daily and beds were made and clean towels left. The guys on reception were helpful but let you get on with your stay too, and I felt safe and secure there.  We also liked Chelsea which is a great place to kickstart your trip from as there are lots of shops and bars and cafes nearby as well as the subway which links you to uptown and downtown areas really quickly.I would definitely reccomend this to a friend.	
Apr 5 2008 	Lovley.	Rooms are small and compact, containing a shower, sink, double bed and desk. Free WiFi. Don't let the shared toilet put you off. The cleanliness was excellent and the decor was lovely. The room we stayed in for 3 nights was on the back of the building which was very quiet. We found the location of Chelsea lodge to be great and it is a 2 minute walk away from the nearest tube stop. My partner and I have stayed in a few budget accomodations in NYC and this was by far the best. I will definately stay here again. I am surprised that it only ranks #13!	
Apr 4 2008 	Pretty good but some cons	My room was probably one of the worst in the building, facing the street on one end and the lobby on the other end. So there was quite some noise from both the street (luckily W 20th Str is a pretty quiet street) and the other guest entering the building/lobby. There was also some kind of waterpipe running through my room and everytime someone was using the shower it could hear the water going up pretty loud. But despite all the noise, I wasn't kept awake all night because I was pretty tired from walking around all day long.The room itself though was very cute. Yes, very small, but the space available was used very effectively. It was very clean as well. There was even a small flatscreen TV, but the channels on offer were very basic.Had some mixed feelings about the staff. Cleaning staff was very friendly, but there was one guy behind the desk who was looking at me like I was some kind of stranger entering his building. Weird guy.The location was pretty good, it's just a short walk to the 23th Street subway stop. And plenty of places to get a good breakfast.Overall I was pretty happy with my stay. There is room for improvement, but I feel they offer good value for the money.	
Apr 2 2008 	Charming rooms great value!	We stayed in Chelsea Lodge for 2 nights in february 2008. If you're looking for a hotel in New York (even hostels and budget things), you've already found out that they are very expensive! You'll have to spend at least around 150 USD per room per night. I would say, give that money to something that's worth it and go to the Chelsea Lodge!!! Great location in a beautiful street, only 2 blocks from the subway and the avenues where you can find great deli's (there are some good breakfast places on 8th avenue). The rooms are small but it didn't bother us at all, there's room enough for two people, even a shower, a reading table and your suitcases. The rooms are just adorable, with charming colors and nicely decorated (not what you're used to in budget hotels, even expensive hotels can look like: &quot;o my god how could you ever decorate a room this ugly&quot;). But more important, they were spotless CLEAN. The bed and the shower were very good. The toilet was just across the hall, was very clean and we never had to wait. The staff was not unfriendly at all to us. We did have an incident with the heater that suddenly made a lot of noice in the morning (we had to call the staff to do something about it), but probably doesn't happen to everyone all the time. Don't look any further and don't hesitate, you found a great little secret in a fantastic city...	
Mar 31 2008 	Great Location Great Price Bad for Sleeping In	Stayed here for three nights in early March, and we were definitely glad to have found this little place! Our room was small but quite clean, and the toilet was right across from our room and never occupied when I needed it! Having the shower in our room caused a little heat, but that was easily resolved by opening the window a crack.The street noise was not bothersome, but the hissing radiator became our alarm clock, reliably &quot;going off&quot; around 6:30am every morning. We had plans to get up early and enjoy our trip, so it wasn't a big problem, but those who visit this place in winter and plan on catching a few extra hours of sleep, be warned!	
Mar 25 2008 	Home from Home	I stayed at the Chelsea lodge in March of this year and had an amazing time.I arrived during a massive rain shower and was dripping wet and the staff could not be more helpful and do more for me. My room was on the 2nd floor and was perfect and very homely. This whole place feels homely and as it is on a quiet st you actually feel like you are living like a new yorker. I had a room that over looked the back yard and woke up every morning to the sound of birds tweeting, which i loved as that would be a rarity at any other hotel. The staff were always very friendly and talkative asking how my previous day had been and what my plans for the current day was. Even the cleaning staff were really nice and friendly and your room and towels are cleaned everyday.There is a great cafe just round the corner on 8th between 20th and 21st called Dish which i went to every morning for breakfast as the food and staff were amazin. This just completed the feeling of being a new yorker as you got to know the staff like a local would.I was there for 5 nights in total and my only complaint is that my stay wasnt longer, but hey thats my own fault. I am going to return to NYC next year and would not even think about booking another hotel as i will stay here whenever i return now.Dont delay - book up today and then concentrate on what do to on your trip without worring about what your hotel will be like, as if you book here i gaurentee you wont be disapointed.	
Mar 23 2008 	Very bad room but other rooms probably better	Pros- Clean- Shower and basin in room- Comfortable bedCons- Toilet in the hall (although I never had to wait)- Mixed quality of staff - I experienced one reasonably friendly and one extremely unfriendly person behind the desk- Street noise - no attempt to sound-proof the windows at all.Rooms are extremely small but that wasn't an issue.However, I was VERY bothered by the location of my room, which opened directly onto the reception desk/entrance hallway. I felt exposed and like I had no privacy because every noise could be heard through the door, including all the conversations of people entering the hotel and of the reception staff. If you stay here, make sure you are not given this room. I complained but was told no other rooms were available. I was concerned that I would be kept awake all night by guests entering the hotel but in the end was lucky (I was only staying one night) - this would be a big gamble, though, if you were given this room. I was also uncomfortable walking across the reception to get to the toilet.Overall, I am rating this hotel 3 stars because it was clean, I was lucky enough that guests did not keep me awake the night I stayed, and I imagine if you stayed upstairs there would be much more privacy	
Mar 19 2008	Pros and Cons	Pros: Great place to stay. Great prices and clean! This lodge gives the guest a feeling of living in a real New York City Apt. It is a great community located near the Subway! Unique and different!Cons: Staff is not friendly or familiar with the area to help if needed. If they are they were not willing to assist. If you do stay do ALL your research before the trip or take a laptop. Sheets not changed each not...maybe not during your stay. If you leave something they are not willing to help you get it back. Just said, &quot;We do not do that!&quot; So...check all areas before you leave. Community restrooms.	
Mar 17 2008 	Nearly Perfect But!!!	Stayed in the Chelsea Lodge for 4 nights and it was extremely close to being the perfect stay.From reading the previous reviews we knew what to expect in terms of room size, toilets sharing etc but these were not an issue.Rooms: The rooms, although small, were extremely clean and really had everything one could need. Had no problems at all and I am 6'3.Toilets: The toilet sharing was not an issue. Never had to wait and again the toilets were spotless. There were 3 on each floor so more than enough to go round.Location: The location of the Lodge is probably the real selling point. We had been to New York twice previously but only on this occasion did we feel we were actually living like a New Yorker. It was a fantastic area. Safe, buzzing with loads of restaurants and bars. Really was fantastic and we ended up coming back to the area on a couple of the nights.Staff: Helpful without going to win any awards for friendliness. Small talk was definitely not the order of the day but they are there 24 hours so no issue.NOISE: This was where the Lodge lost out on the final stars. There is noise from the street but its New York and busy and we had no issue with that. You can hear other guests but again its relatively minimum and doesn’t go on for long. The noise issue we had was with the heater in our room. We were in 2G and every morning at 6.30am the heating kicked in and the radiator began to hiss and steam at ridiculous noise level. This went on for 2 hours each morning. We didn't make a deal of it as we were getting up early and the price is good but it was extremely irritating.All in all I would recommend the lodge as it is great value, in an amazing location and very clean. Go prepared in terms of the room size and possible noise and you won't have a problem.	
Mar 1 2008 	Great Price!!	We didn't check in until close to midnight due to flight delays, but the staff was very friendly. They also let us keep our luggage there until 8:00 p.m. when our flight left. The rooms were indeed small, but felt very cozy with the homey decor. I don't think you can beat the price and quality of this in NY. The room did get quite toasty especially during showers but we just cracked the windows to cool it down. We could also hear anyone in the hallway and next door which woke us up several times.	
Feb 11 2008 	Perfect for a Budget-Friendly Girl get-away	Great location! Perfect if you don't want to spend a lot of money. The rooms are small, but you should already know that going in. Try and ask for an A or B room. They seem to be a little bigger than the C rooms. Really close to the subway stations. Very safe and clean. The shared toilet is great.. very clean and not a bother at all. For food hit up Murrays Bagels right around the corner on 8th Ave. Great brkfast before a big day. Also Empire Diner on 10th Ave/22nd - great french toast!!!!!	
