	Fantastic Hotel Great location Great Price Great Staff	Just back from a 4 night stay in the Marriott Eastside. I was a bit hesitant staying on Lexington Ave as on previous trips to NYC I have always stayed close to Times Square, but it was the best location ever. The hotel is located less than 5 minutes walk from 5th Ave and less than 10 minutes walk from Times Square. The staff were very friendly and efficient especially the Irish Porter from Donegal. He was so pleasant and helpful. We had room service one night as we could not walk any more after our day shopping. The food and service was great and only cost $70 for dinner for two with beer and tea included. Never again will I stay in hotels close to Times Square, I'll be staying in the Marriott. The concierge was great and organised a 'town car' for us to go the airport in and it only cost $75 including tolls and tips - again this is the cheapest fare we have ever paid to the airport from a hotel in NYC. This is my seventh trip to NYC and would have to say the best trip ever by far and this was all down to the fantastic hotel that I stayed in. I'll be back!	
Jan 15 2009 	Good hotel and superbe loaction at a decent price	Spent 2 nights at the hotel on a business trip. The meeting places (law firms) were in walking distance, so location was ideal (but always take an umbrella with you if rainy weather forecasted). The room was nice, clean and well equipped, the bed very comfortable, coffee maker and ironing board available. Bathroom amenities are good. Fresh newspaper delivered daily, no slippers, flat screen TV but no international channels, e.g. BBC. Room a bit small, windows can be opened, view just to other blocks (was on 12th floor), and reasonably quiet. They were building something in the street below, even during the night. Staff friendly, business center with helpful attendance. No smoking in entire building. Lobby sympathetic, but always quite busy. Check in and out extremely efficient. Yellow cabs and private limos outside.	
Jan 8 2009 	Beautiful room	I came to NY with my 16 year old daughter, her friend and mother for some post Christmas shopping and to see a show.We had asked for early check-in since our train arrived at 11 am.Of course when we arrived at the hotel that was not going to happen. They held our bags for us and we went exploring. They were going to call our cell phone when our rooms were ready. By 3:00 we hadn't recieved a call, so we went back to the hotel. They had one room ready, so we took it. The other wouldn't be ready until 4. (Remember we asked for early check in) By the time we all got settled, we had 30 minutes to get ready to see Lion King. Almost impossible with two teenaged girls, but we made it. The beds were very comforable. Elevators were slow and you never knew if you were going up or down.Overall the hotel was nice, clean and close to everything.	
Jan 4 2009 	Disappointing Poor Service	I was on a business trip in Manhattan and had stayed previously at two other properties, Residence Inn Times Square and Affinia Dumont, both I can highly recommend and have written previous Trip Advisor Reviews on.Check in was average. Welcome was not welcoming. Small and busy lobby. This building is a bit old and the rooms reflect that. I was issued a small but quiet room. The bed was comfortable. There was a desk and a chair. The chair was a bit hard to position since the room was so small. I could hear a little noise from adjoining room.The bathroom was small too. The room was moderately clean but not thoroughly clean. Water pressure and temperature were okay.The plus in the room was there was a mini fridge.The plus with this property was the conciere lounge which had well stocked refreshments and snacks. Also the exercise room was well equipped too.The property was nearby to my workshop at PWC headquarters on Madision. I was attending USC CEO Stratgegy workshop and earlier in the week, attended a workshop at Cornell ILR's conference center on 34th and 5th.Prior to my last day I looked at bill to date and notice that I wascharged for a local call. I went downstairs and told the front desk person because of my Hotel membership level, I get free local calls. She told me they do not honor that at this property. This was typical of the service at this property.I don't know if the property mgmt. treats that staff poorly but I do not know that their staff does not treat their clients well.This is one of the worst Marriott properties that I have stayed at and I will do my best not to stay here again! There are several other properties nearby, Double Tree Metropolitian, Waldorf Astoria, Omni and several others. I do not recommend this property if this location is not critical, I recommend the Affinia Dumont or the Residence Inn, Times Square.	
Jan 4 2009 	Bad experience!	I booked this hotel in October direct with the hotel at a rate that was pre-paid. Upon arrival at the hotel, there was a problem with checking in. Although I had booked 2 rooms, we think that they only had 1 for us. The receptionist disappeared for about 20 minutes without any explanation. We were eventually given rooms on the 19th floor. The rooms were nothing special. Our room didn't have a view at all. We were here for 4 nights. One day, our childrens room wasn't cleaned till 8 p.m. and that was after making 2 phone calls!! On leaving the hotel, we found that the hotel had charged us on booking for only 1 room and not both of them. We had specifically wanted to pay in advance due to the changing rate of exchange, and now find that we are worse off due to their mistake. Thye tried to tell me that our bank had obviously not allowed the charge to go through. Unfortunately, I onlly booked this hotel as we were meant to stay at the New York Palace, but thought that it would be too expensive because of the rate of exchange. In retrospect, I'm upset that we changed and would not recommend this hotel. The only thing going for it is the location. The concierge didn't seem to know anything when we asked about restaurants.	
Dec 20 2008 	Nice location! Good hotel.	First, the location is wonderful. Across from the Waldorf-Astoria, the Inter-Continental and the W hotels. A couple of blocks or so from Rockefeller Center. The lobby is awful! Always crowded, noisy and much too small for this size hotel. However, in spite of a lot of people arriving at the same time as I did, the check in went smoothly.Once up to my room, things changed. The room was very large with two double beds (I was alone) but I like that as I put my luggage opened on one of the beds and left it that way. The room was attractive, the bathroom was good size with decent lighting. Although I faced 49th and Lexington, the street noise was not a problem. Big flat screen TV. Comfortable chair and table. Nice desk with ergonomic chair and good light. The restaurant was ok for breakfast but did not have any other meal there. Not too exciting and neither was the bar and lounge. In fact, the lounge was really just part of the small lobby. That entrance way is the weak point of the hotel. However, I would certainly stay there again as I don't sleep in the lobby!.There was a slight misunderstanding about the rate I was being charged as it was higher than the one on my confirmation. However, after a few minutes at the reception, they corrected it.	
Dec 16 2008 	Very Good Location	This location is perfect. Midtown and everything you want to see in Midtown is within walking distance.Rooms are small but up to Marriott's current standards.Bar is pretty boring, but you can go across the street to the Waldorf, the W or the Intercontinental (Barclay) for excellent bar scenes for the 50's types. There is a major hotel on each corner of this intersection.	
Dec 2 2008 	Great location	This hotel is at a great location. Restaurants, shops, public transportation, everything is just a few blocks away. The room was small, but very clean. Nice king size bed.	
Nov 19 2008 	Good Stay at the Marriott East Side	The location is excellent, rooms are smallish but clean, and there was a bit of traffic noise from the 9th floor. Nothing about the hotel really stood out as exceptional.	
Oct 31 2008 	Great Location Small Rooms	I have stayed at the Eastside, Brooklyn and Downtown Marriott on business travel. Even though the Eastside Marriott has the &quot;best&quot; name its rooms are definitely the smallest and the odds of you seeing anything other than another room from your window are low. The staff is courteous, the location is great, but except for the location the Eastside Marriott is inferior to its cousins.	
Oct 26 2008 	Poor Service	The day we checked in the customer service was poor. No one met us at the door to assist with luggage and no one welcomed us. The room was small and view was of another building. The construction outside was very noisy and woke us up every morning. When we checked out no one inquired about our stay. The only thing positive about the hotel was the convenient location to all the sites.	
Oct 9 2008 	Great stay at the East Side Marriott	We stayed 3 nights and loved the hotel. The room was small but very comfortable. The bed was fabulous - just what we needed after long days on our feet. The location is great - very close to subway and central park. There is a well-equipped gym at the top of the hotel with cardio machines, weights and individual TVs. I'd definitely stay there again - it was great!	
Oct 5 2008 	Would go back	Elegant hotel, perfect location.Room stylish, spacious, practical and very clean.Most of the staff were friendly and helpful, others (the minority) looked as if they didn't want to be there... but the whole New York experience made up for it all :)	
Sep 23 2008 	Great location	We recently stayed at the Marriott East Side for our second trip to New York. Being a 3.5-4 star hotel we were unsure what we would find, but were pleasantly surprised. The rooms were lovely and clean. The bed huge (king size) and comfortable. We had a room at the back of the hotel so we had no trouble with road noise. The hotel is situated across from the intercontinental hotel and Waldorff Astoria near the Chrysler building so it is a mere 10 minute walk to times square or 5th avenue for a bit of shopping. We had drinks in the hotel bar one evening and found them to be expensive so would not recommend this. Definetely would recommend this hotel to anyone staying in NY!!	
Sep 17 2008 	Dissappointing	Big room, however no minibar!What is that? How can you allow travelers not to have minibars anymore?Some things were obviously outdated: peeling wallpaper, some older furniture that they claim to have been &quot;refurbished&quot;.Overall a decent stay but not worth the money spent for a night in the city. Should've stayed at a hotel closer to tourism.	
Sep 1 2008 	Very Nice Hotel	Beautiful hotel. Room was on the small side, but not bad for New York. Room was spotless. We were in the back, away from the elevators so it was very quiet. Staff was wonderful. When the maid saw that there were 4 of us, she immediately provided extra towels, without being requested. Very nice touch. Was a little out of the way, kind of a long walk to Times Square, but not too bad.	
Aug 23 2008 	Very nice but very small	I thought the hotel was beautiful and elegant. Our room appeared to have been recently renovated and was very nice.  A plate of freshly baked cookies were available at the front desk, which was a nice treat on check in. The location is excellent but in a very expensive area of Manhattan. The subway is close, and I even took the subway/train to and from the airport with no problems. The Waldorf is right across the street (stayed there last time I was in town). I have one negative comment concerning our room. It was way too small to include a desk chair. The desk chair stuck out and was practically touching the bed. It was difficult to get by this - especially in the early hours of the morning on the way to the bathroom.	
Aug 19 2008 	Bad Times in NYC	I booked this room 3 months in advance and when I arrived they had given my room away. I had reserved a superior king on an upper floor. I was given a queen in the front side of the hotel which is noisy with traffic. So I requested a quieter room and was given a small room in the back of the building. It seemed quiet at the time but it was not. It was next to the elevator and could here it going up and down all night. Next morning requested another room and was attended to by a very nice young man. I was told to go out for the day as planned and they would switch me when I got back. They lied. They had given my room away again and the only room I could now get was the smallest queen ever. I had to open my suitcase half way under the desk, after putting the desk chair on top of the club chair. What an awful stay in that hotel. I would not recommend this hotel to anyone.	
Aug 6 2008 	Lovely hotel in brilliant location	Loved it! We stayed at the Marriott East Side in Manhattan over 4th July weekend so were expecting to pay a fortune for the room but were really impressed with the prices from hotel.com for our stay. The hotel was in a fantastic location (no more than 15-20 minutes walk to Times Square, 5th Avenue, Central Park and most major attractions). We were on the 25th floor and had a real city view (Waldorf Astoria just a stone throw away). The staff were great - very friendly and helpful. As soon as we checked in the staff took care of everything and the Porter arrived with our bags within seconds. He was really bubbly and gave us a lot of good advice (all of which turned out to be spot on!) - like where to go for the 4th July fireworks, how to get to places and the best times to be there. The NYC pocket maps at the hotel were a godsend.The room was for 3 people and there was more than enough room for all of us. It was very clean and obviously refurbished recently as it wasn't as dated as some of the other hotels we'd checked out in Manhattan. There was a huge king-sized bed (which I guess is Superking in the UK) and even the fold-out bed was comfortable. The bathroom was a decent size - it wasn't huge but had a bath and shower (which was great). We also had an ice machine right outside our room which came in useful!Checking in and out was painless and when it came to arranging a late check-out, there were no issues whatsoever. We had help with booking our seats for our return flight and also checking the weight of our luggage.I can honestly say I don't have a bad word to say about the hotel.I'd definitely stay at this hotel again.	
Aug 2 2008 	A Little Tired but Great Location	A great location made this this ideal venue, but the hotel itself was a little tired. The rooms were dark and the whole place felt old-fashioned. The executive club was closed at the weekend, but when it was open had a good selection for breakfast. Overall an okay experience, but not a five-star experience.	
Aug 1 2008 	LIED to	Was guaranteed a KING bed. Lied to upon arrival, and put in a room with a FULL bed, not a queen or a king. Called their customer service and was told that I was wrong, and its a queen. I cant even fit in this little bed, the hotel was WILLING TO DO NOTHING for me	
Jul 3 2008 	Nice hotel in central Manhattan	RoomsI had a nice big room with a king size bed on an upper floor, as requested. Room was equipped with a safe, coffee maker, iron and enough closet space.The hotel in general and facilities24h fitness studio with steppers, treadmills and basic weight machines is available on the 35th floor with a nice view over midtown Manhattan.Wifi internet is available for a fee of USD 15.95 plus tax/day.ServiceFriendly and efficient staff throughout.LocationThe hotel is centrally located on Lexington Ave and E 47th Street, not far from the UN and other midtown locations.	
Jun 4 2008	Great Hotel	I stayed at the Marriott Eats Side May 19-21 for a conference. The hotel is in midtown in what I call &quot;lawyer city&quot; as there are probably ten thousand lawyers in a ten block radius. As a business traveler to New York it is a great hotel, pretty lobby, nice rooms, comfortable beds, safe area, near the subway, etc. As a pleasure visitor I would not stay here because the area of town is dead at night. There are not many good restaurant choices nearby. However it is good for a conference. It is within a block of the W Hotel, the Intercontinental, and the Waldorf-Astoria. The one thing that really made me angry though was that there is a $16 charge for the internet. It should come free.	
Jun 4 2008 	Fabulous NYC Vacation	Just returned from 5 nights in NY and have one word for this hotel....PERFECT. Great location and staff was always friendly and helpful. Had read some scary reviews, but everything was lovely. Rooms recently renovated. Decided for more space so we booked the junior suite which came with a fridge. Even though we were on the 6th floor, never heard any noise. Not much of a view but peacefully quiet. Also never had to wait for an elevator. If you are a Marriott Rewards member, I definitely recommend taking advantage of the concierge lounge on the 16th floor. Good breakfast, drinks, snacks, and desserts. If Kenda is working, she is the best concierge I've ever worked with. She printed subway maps and gave us some great tips for our vacation. I will definitely stay here again!!	
Jun 3 2008 	Fantastic location	Superb on all accounts! The rooms are on the smallish side, but the Marriott standard is in every detail. It is very clean; the linen and bath towels are luxurious. Coffee making available in the room and housekeeping are very obliging if you want more supplies. There was a tiny fridge in our room in addition to the minibar, which was excellent for storing some bought water, fruit and yoghurts for breakfast.The reception service is wonderful – very courteous and nothing is too much trouble attitude prevailing throughout. Drinks and snacks from the bar downstairs were first class.The absolute best about this hotel though was its location. It was incredibly close to the Chrysler Building and the Grand Central Station; a short stroll to MOMA and Guggenheim and a pleasant 20 minute walk to the Empire State; beautiful East side Brownstones all around; Waldorf Astoria literally across the road; Bergdorf around the corner. The subway station is also a stone’s throw away. From there you have easy access to the CBD and the Staten Island Ferry, Central Park, etc. For the shopaholics – Macy’s, Barney’s, Century 21 and the rest are all within easy reach.From the airport – it is worth arranging transport via the hotel. It appeared to be a very cost efficient option and the service was great – on time, help with the luggage, safe.	
May 16 2008 	Very comfortable hotel in a great location	I have just returned from a 4 night stay in this hotel. We had a standard double room on the 19th floor overlooking Lexington Avenue. The room was small, as was the bathroom, but I think that this is fairly standard for NY and it didn't detract from our stay. We arrived before check-in time and had no problem with getting a room straight away. It was also no problem to get a late check out on our departure day. The bed was exceptionally comfortable (with the new bedding that is now standard in all Marriott hotels). As a Platinum Rewards member we had access to the executive lounge which provided a great breakfast and a very helpful concierge. We found all of the staff to be helpful and courteous throughout our stay. The location of the hotel is great with easy access to the subway. I would definately stay in this hotel the next time I visit NY.	
May 15 2008 	Never Again	The front desk staff are ingenuine and rude.The website is misleading regarding the number of rooms they have with double beds. One would think that if they are selling a room for 5 nights to two people who request 2 double beds, and they already know all of those available rooms are spoken for, they would indicate that over the phone when the reservation is being made. But no, we got here and they said &quot;oh, all of those reservations were taken long before you made your reservation. We can bring you a roll away.&quot; Okay... for $400 per night - a roll away sounds just dandy. But okay, we are flexible. Little did we know we were not quite flexible enough to squeeze both of us AND a roll away bed into the VERY small room. And laughably, the man who brought the roll away suggested the best location would be in front of the door. With our luck, in this old place there would be a fire. Anyway, we are going to put the other furniture in the bathroom and maybe squeeze the bed in under the super-small window that looks directly into another guest's room. After seeing what I saw, I wish I had the view of the brick wall.Pure comedy, at this point. We are staying here for a conference - I wish I had checked this website before booking our rooms here! A couple years ago we stayed at the Grand Central Hyatt - Now THAT was an awesome hotel with an awesome concierge. They upgraded our room for no reason at all and called the restaurant we were going to to comp us a couple glasses of wine. Now THAT is service. If we could get our money back here, we would be back at the HYatt in a heart beat.	
May 9 2008 	Great location new rooms	Travel frequently to New York on business and have stayed here several times. This hotel has a really good location in midtown in a nce neighborhood. Rooms recently renovated, very clean, good staff. Highly recommend.	
Apr 28 2008	Good business hotel- except for Internet charges	I stayed one night at the Marriott before a business meeting and chose it due to its proximity to the meeting. My room was a decent size for a NYC hotel and, although the windows were small, they actually had a view. Because I was on a high floor (23) traffic noise was no problem at all.The real view was from the health club on the 32nd floor- I could see the backs of the building's gargoyles and the East River. The health club was well-equipped and uncrowded at 6:30 AM on a Monday- everything had a TV screen and earphones you could use if you didn't have your own. My only complaint was the radio they also played in the health club. Why do you need that when you have your own TV and it competes with the pounding of feet on the treadmill? They charged $15.95/day (plus tax) for their &quot;wired for business&quot; package, which is what you need to get on the Internet. This is extortion. A huge % of their target customers wants Internet access. Why not build it into the rate? (I believe that &quot;wired for business&quot; also includes phone calls in the US- but 90% of their target market probably also has cell phones.)Plenty of places to eat and drink nearby.in some places the hotel shows its age- the marble floors in the elevators have a few cracks and there was repair underway on the Health Club roof, which appeared to hsuffered some leaks- but it was clean and well-equipped. I would definitely stay there again, especially at the decent pay-in-advace rate I got on the hotel web site.	
Apr 21 2008 	metza-metz	We spent the w/e in NYC to see museums and eat in the Village.Hadn't been to NYC in ages and did stay in nicer hotels then. I found this property to be just OK. Having paid 300 a night we were certainly underwhelmed. The rooms are so small that only one person can walk around at once. Though its been updated it just seemed like a dark old hotel. Nothing special. Uncharming concierge.	
Apr 21 2008 	Great location great service great hotel	We stayed at the NY Marriott East Side March 31- April 5. We LOVED the location (4 blocks from Rockefeller Plaza) and just a few blocks from Grand Central and then another station at 51st street which was even closer. Lobby was nice and the conceirge desk was always helpful when we had questions about dinners, activites, etc. Bathroom was nice size, beds were super comfy (as with any Marriott hotel), decent sized room (remember you are in NYC) and we liked the flat screen tv in the room. A word of caution that has nothing to do with the hotel but do NOT use Lincoln Limousine if you hire a car to pick you up at the airport. They were (1) late (2) picked us up in a DIRTY, OLD Lincoln and we were driven around by (3) a rude, smelly gentleman who talked on his cell phone the entire time he weaved in and out of traffic. We spoke with the doorman before we left and he gave us a company that he has used for a long time. They were the same price as Lincoln Limousines but actually picked us up on time, was friendly, the car was CLEAN and the driver very, very friendly.	
Apr 11 2008 	Good Hotel	My partner and I stayed at the Marriott East Side and, all things considered (New York hotels), it was better than average. We were given a corner bedroom with three windows, which while facing Lexington (and noisy) were great for spying the city. Unfortunately the guests next door were very loud and at midnight we asked to be moved. The front desk was very apologetic and moved us. We ended up in a room on the back side (very, very quiet) but a bit smaller (but bigger bathroom). The room service seemed expensive, even by NYC standards, but was fairly decent. Loved the location, close to shopping and the park. You could do worse than staying here...	
Apr 8 2008 	Initially Disappointed...But Hotel Turned Things Around	I was attending a conference at this hotel and initially had some serious problems with some shipments I had made to the hotel, but the staff was more than helpful in their attempts to resolve the problems.Aside from the shipping issues, the hotel rooms were well appointed and relatively clean. I say this because when I checked into my room there was a used candy wrapper on the floor and a dirty towel hanging on the back of the bathroom door. Other than that, the sheets, tub and toilet were clean (at least they appeared to be). Also, as I walked barefoot across the floor and did not end up with dirty feet, I can attest that the floors were also clean. Because I was attending a conference, I took many of my meals in this hotel. The food was excellent. The staff (from the events coordinator, maids, front desk, security, business center and banquet set up) were all helpful and friendly. Phone calls, internet service and printing services at this hotel were very expensive, but given the location it was expected. The hotel is located within walking distance to a good many attractions and several restaurants of varying quality.	
Apr 8 2008 	Nice place to stay	My husband and I were part of a large business group that was booked into the hotel for a series of seminars. I was a tag along like the other spouses and children who just came in to enjoy the city. The hotel did a wonderful job hosting the meetings and providing private breakfasts, lunches and a Sunday brunch for our group. The hotel's location is very convenient for sightseeing, yet removed from the bustle/bedlam of Times Square. Unlike the Hilton which is a few blocks away, this Marriott has the feel of a boutique hotel. The valet service was quick to park our car and check-in was super fast. We had a nice refurbished room with 2 super comfortable double beds and a nice marbled bathroom. Our towels were fine so they must have upgraded. On the top corners of the headboards they've mounted small reading lights so you can read in bed without disturbing the other person which can often be a problem in traveling. I also found the room very comfortable temperature wise. So often hotel rooms can be very stuffy and you spend the night playing with the thermostat because it's either too hot or too cold. Even though the hotel has down comforters, there is a nice chenille throw on the bed that you can use as a light blanket if the comforter's too warm. Women of a certain age will get what I'm talking about.Our group was booked for a dinner cruise on the Bateaux which was something we normally wouldn't have done but it was really nice to see the lights of the city from on board a boat on the Hudson. We got really close to the Statue of Liberty and it's a beautiful sight lit up at night. You don't have to take the Bateaux as there are other tour boats that do night cruises and I highly recommend a relaxing cruise on the Hudson when the sun goes down. If you avoid the subway like I do, let me just give you a bit of advice about the cabs that I found out about on previous visits to the city. The cabbies change shifts at either 4 or 5pm depending upon what time they started in the morning. After 4pm it gets increasingly difficult to hail a cab unless you catch one dropping someone off at a hotel, etc. By 5pm on a business day, it's near impossible. If it's raining, forget it. So unless you plan to walk or take a bus or subway, keep that in mind and head back to the hotel before then. Also allow time to get a cab in the evening if you have dinner reservations too. This Friday evening some people were waiting about 10-15minutes for a cab around 8pm at the hotel. If you want to try to get reservations to popular restaurants, I suggest you make reservations days ahead of your arrival or else try for an early time. We've always had luck with that.	
Apr 1 2008 	Great Stay at the Marriott East Side!	I stayed at the Marriott EastSide for a girls shopping weekend Mar 27-30. I used my Marriott points for the stay and had e-mailed the hotel directly requesting a room with 2 double beds. I received an e-mail back basically saying they couldn't guarantee 2 doubles but will note the request. We checked in at 10:30pm and to our delight we were given a spacious, corner room (3 windows!) on the 14th floor with 2 double beds!The rooms have just been remodeled completely with new comfy beds/linens, flat screen tvs, granite bathrooms and new carpet/wallpaper. It was really neat to stay in such an old, charming hotel with all the new amenities of a modern Marriott. I've stayed at the Waldorf and the W across the street during past trips to NY and liked the Marriott the best! The W was the worst ever- the room was about 10' x 10' (Tiny!!!!) great bar though.... and the Waldorf was nice but the bathrooms were very small. The Marriott is located in great spot- about 4 blocks to Rockefeller Center and 5th Ave for all the fun shopping.As for food, the concierge (was not the friendliest) but did give us some great recommendations. The bagel shop (Ess-a bagels) on 51st and 3rd was the best and Haru sushi 1 block up was great too! PJ Clarkes was good if you're looking for a casual meal.On my next trip to NYC I will most likely stay here again~ our other option using my points was the Time Square Marriott Marquis and I'm glad we didn't stay there. Walked past it one day and Times Square was dirty with tons of traffic and some creepy looking people.	
Mar 31 2008 	It was OK but Need to Know....	The rooms are very small and certainly not big enough for 3 people (12 year old). We had a standard king bed room and couldn't even fit a roll away eventhough I was led to beleive a sofabed was available. I was also led to beleive I could use the conceige lounge being a silver elite member. It's only for gold and up eventhough member benefits state this but their website does not so inconsistent.We stayed March 21-28, 2008 Come Monday morning we were awaken at 7am by construction at the hotel. They are adding onto the hotel and the jack hammering was right outside our window. We were promptly moved but thought they should have disclosed this since it took time out of our vacation to re-pack and un-pack AGAIN.The staff wasn't overly friendly or helpful, but did like Patrick (a bellman). The hotel is close to the subway (6 and E train). I would recommend the Residence Inn Times Square more than this hotel! The affina dumont is awesome too!	
Mar 28 2008 	Great location updated rooms	This was an old hotel that had a complete update. The room while small, had a king size bed and a large new TV, a desk and two chairs. The bathroom was all new with lots of counter space.The lobby is nicely decorated. The staff was pleasant and the concierge was helpful.	
Mar 26 2008	Nice Hotel Experience	I was staying at this hotel on business and it was my first time visiting the hotel. The rooms were updated, clean, good-sized for NY standards and comfortable. The only complaint that I had, was that the internet cable modem reception was sporatic, obviously that made it difficult for me to do business and was frustrating. If I was visiting this hotel on vacation I would have rated it an &quot;Excellent&quot;. I really liked the great view from the fitness center, not to mention the great workout equipment with tv's. You will not be disappointed staying at this hotel.	
Mar 25 2008 	Displeased and disappointed	This was the complaint I sent to Marriot, with slight amendments : My wife and stayed at MarrioT NY East Side last week from Mar 20 to 23. I must say that we will by any means necessary avoid Marriot hotels in the future.We had been recommended your hotel by a friend who actually works for Marriot in HK.Right from our arrival, unhappiness was caused:- We had an early flight in from Vegas, so we requested for an early check. No rooms were available, and a lady staff told us that. I persisted to ask if &quot;it was at all possible&quot; and &quot;what if we upgraded to another better room&quot;, and &quot;nothing at all, are u sure?&quot; - BOTH ladies at your front desk reacted defensively, with one even telling the other that &quot;I was already telling them that no rooms were available&quot;, and &quot;No, sir, it is just not possible, if we had we would give you the room&quot;. Their tone left much to be desired.Next, after checking in, I dialed &quot;At Your Service&quot; for slippers and toothpaste. The At Your Service button wasn't working - so I tried the operator (and note: nothing indicated that the button zero was operator) and had her redirect me. The guy At Your Service was disbelieving when I told him the button wasn't working and he protested &quot;But you are now speaking to At Your Service&quot;. I had to take pains to explain to him what happened. could i possibly have anything to gain from making up such a story ?Next, it took FORTY minutes for the staff to come to our room and ONLY with toothpaste. By then my wife and I were already trying to sleep due to jetlag. The slippers - which I had emphasized more heavily - were forgotten/missed. It took another 10 min for him to come with the slippers. Overall, there is very fake sincerity and pretense in the several staff we encountered - many clearly trying to avoid the fact that the hotel was small and old - tiny bathrooms, slow lifts, incredibly inconvenient access to the fitness center.&quot;Note: to get to the fitness center (which is small, at the top 35th floor with the view blocked owing to construction), u had to get to the 32th floor and then switch lifts. We stayed on the 15th floor which meant changing to the 16th floor to get to the 32th floor, and thereafter switching to the 35th. The hotel is more than 80 years old.	
Mar 19 2008 	Enjoyable Stay	Went to NYC over the weekend to take our son to a Broadway show. Used Marriott Rewards points to stay 2 nights at the Marriott East Side. The hotel is beautiful. As other members have said the rooms are in great shape since recently being renovated. We stayed on the 10th floor (not facing Lexington Street)...we were so happy that the room was quiet. Our previous stays in NYC usually end up with many sleepless nights because of the noise. Not so with this stay. Breakfast buffet is a bit steep. Costing over $70 for 2 adults and 1 child. I dont like the fact that they automatically add the gratuity to the bill because I feel that the wait staff does not work as hard to please because they know the tip is a given.	
Mar 9 2008	Fantastic hotel -- my #1 choice in NYC	In short -- an oustanding hotel!Rooms are recently renovated: beautiful, ultra clean, and comfortable.Location is perfect -- easy access to everything (Central Park, Times Sq/theater district, south to SoHo/Chelsea). Most importantly, it's far enough removed from Times Square (that entire area is now a very artificial, very non-NYC tourist trap) that you can see and experience the 'real' New York from this hotel.Service was over-the-top friendly and efficient (a rarity for Manhattan hotels). Doormen were friendly and speedy. We were greeted by a friendly manager whenever we walked up to the front desk area. Front desk staff were super friendly and efficient. I can't say enough about the quality of the service at this place.Bottom line: GREAT hotel -- both the building and the people.(My previous usual hotel in NY was the Sheraton Manhattan, which pales in comparison to this place. I'll definitely be at this Marriott when I return.)	
Mar 4 2008 	Not bad for NYC standards	I made reservations at this hotel for the proximity to a business client. The location is very good, the lobby and staff are very good. The room was clean and small (for $300/night) but it IS NYC in the middle of mid-town Mahattan. One problem with this hotel, EVERYTHING is at an additional cost....internet is $18/day, there is a bar (for a fee), breakfast/lunch/dinner, etc...whereas I've gotten accustomed to business hotels for travelers (where there is managers receptions, free breakfasts, free internet, etc) You wont find any of that here.	
Mar 3 2008 	Marriott East Side vs Marquis?...........	Having stayed at the Marriott Marquis in NYC on 2 other visits I decided to give the East Side a try. There are pros and cons of each hotel. Location..........The Marriott East Side is in a great location &amp; central to all things mid- town , from shopping to tourist attractions etc. I prefer this location to the Marquis because the streets surrounding the Marquis, in the center of Times Square, are always very crowded. This may be appealing for a first time visitor to NY but is not to me. Rooms..........Marriott East side rooms are very nice, with the comfy beds, flat screen TV and nice furnishings, however I don't think the towels have been upgraded. Room size is adequate, though rooms at the Marquis are larger. I also believe there should have been a robe in my room but there was not.Service.....A good experience at both properties. Check in probably a bit faster on the East Side, since it's a smaller property and you don't have to take an elevator or escalotor up to check in.Excellent service at the coffee shop and a very nice breakfast buffet.Bottom line is if you like a smaller more intimate feel of a hotel, the Marriott East Side will not disappoint you. If you prefer larger hotels with more restaurants etc ., than the Marquis will surely please.	
Mar 2 2008	Nice hotel great location	My wife and daughter had never been to NYC, and we particularly wanted to visit there during the Christmas season. Near the top of our list of things to see was Rockefeller Plaza, Saks 5th Avenue, and Radio City Music Hall for the Christmas Spectacular. This hotel was in an ideal location, a short walk to all of those sites, plus a subway station a couple of blocks north to get to the places too far to walk. Because of the proximity, we ended up going to Rockefeller every single night that week to enjoy the decorations. (As an aside, I highly recommend making at least one visit to NYC during Christmas season - loved it.)The hotel itself was very nice. The one drawback was that the room was smaller than we're used to having, but we didn't feel cramped, and it's not like we were planning to spend a lot of time in our room anyway. It was very clean, nicely decorated (especially the bathroom), and it was nice having a flat-screen HD television in the room. As members of the Marriott Rewards club, we got an added perk of access to the Concierge Lounge with free water, sodas, snacks, breakfast, etc. We took advantage of that every day. Every staff member we encountered was very friendly and courteous.	
Feb 22 2008 	First bite of the Big Apple	We stayed at the Marriott East Side for our first visit to New York . We stayed for 4 nights from Saturday to Tuesday. The location was great - we could walk to most of the city's sites from the hotel. The service was good and the staff were always pleasant. The room itself was smart and decor was fine. The beds deserve a special mention - I've never slept in such a comfortable hotel bed - somethig to be very grateful for after walking yer socks off around the city. The room was a quite dark and a little on the small side but I expect that this is typical of the New York mid price hotel range. Having said that, we had a great view on the 32nd floor - looking right out at the Chrysler building. The rooms also appeared to have good soundproofing - we heard very little noise from the neighbouring rooms. If there was one criticism of the room it would have to be the poor quaility of the towels. It may be being a bit picky but they really didn't fit in with the otherwise quality experience of the hotel.We ate in the bar one night - food was o.k but a little pricey - I'd avoid that - there's so many eateries on your doorstep. The bar area was surprisingly small for the hotel size and also stopped serving pretty early (about 11ish) - but again -there's plenty of places around that will serve you a drink later.	
