	Great Value for Money	Recently stayed here with my daughter. Really nice hotel in Downtown location. Close to Soho, China Town and Greenwich Village. Subway 5 mins walk to Uptown Manhattan. Staff very friendly and helpful. Would recommend this hotel. Within a 20 min walk to the financial district, World Trade Centre and the Staten Island Ferry. Great Value for money, with a good restaurant. Rooms clean and although not big, they have everything you could want. If you want a drink there is a central tea/coffee making service on each floor.	
Jun 18 2008 	Very Nice Hotel	I stayed here with my husband last week for one night. We requested a non-smoking room but the first room had definitely been smoked in, probably by a guest who didn't care that it was designated non-smoking. The bellman agreed with us, called down to the front desk and immediately moved us to a new room.We had a standard room, it was very clean, easy wireless internet access (for $10) and not a bad size for New York City. Aesthetically, the decor is modern and very cool, which is great in the sleeping area. I did not particularly enjoy some of the modern design implementations in the bathroom. For example, I personally was not fond of the stainless steel sink with the ball drain stopper in the bathroom - it felt too much like a kitchen sink, but this is a decor preference and did not really affect the nature of my experience. I also wish they had more places to hang towels - the bathroom decor is sparse, and with just two people, I still found it difficult to find a place to hang our wet towels -there is only one hook on the back of the bathroom door, and no place to hang a hand towel.Ladies with makeup bags - be vigilant - the trash can in the bathroom is situated under a hole that is cut out of the sink counter - again, a modern design idea that I think is not practical at all. I had quite a few toiletry and makeup items, and first of all, the hole took up valuable counter space, and secondly, I was a bit concerned that we may accidentally drop something in there and not notice until it was too late to retrieve it. However, these are minor things. The hotel staff is very attentive and wonderful and we ate breakfast and a late snack in the hotel restaurant. Wonderful! Pricey but delicious. Night-owls and bar-hoppers - note that the neighborhood is not much at night - not a lot going on in the area, it is by Canal Street, which does not provide much by way of night life. It is close to the Canal Street subway station, for those of you who don't mind taking the train.Overall, a nice experience at the Tribeca Grand.	
Jun 8 2008 	Great Hotel	We were a little concerned after reading various reviews about this hotel on Tripadvisor regarding noise. Yes the hotel has an open atrium and on the weekend the bar is loud, but for us noise was never an issue. The rooms are smalli (king sized beds only no doubles) but very nice and the room was very clean. Staff was excellent. Great downtown location. Recommended hotel.	
May 29 2008 	Loved it!	My mother and I made a reservation to stay with another hotel in New York. The hotel, after discovering that they had overbooked for the night of our check in, made arrangements for us with the Tribeca Grand. The staff were courteous, kind and prompt. Instead of transferring the next day, we asked if the Tribeca could give us a rate comparable to the one our original hotel offered. They could and they did! We stayed our entire vacation with them. On Saturday nights they offer a complimentary flute of champagne! The rooms are clean and cozy-- a welcome respite from the bellows of the surrounding city. Well done.	
May 28 2008 	Pretty Good - Lousy bar staff	Booked on Priceline for $190/night so really didn't care what I got. Got this and was pleasantly surprised by the quality. Was happy to be in Tribeca, an area I've grown to love for the relative tranquility yet proximity to Canal St/SoHo shopping etc. Plenty of restaurants/bars nearby (try the Landmark Restaurant a couple of streets away, great meal and they have a $30 Petite Syrah (only petite on the full bottle menu) that was awesome at such a reasonable price).Hotel room Exactly what I expected. Not huge, not small. Lovely king bed, large flat screen TV. Last review said he/she needed 2 controls..huh?? One remote operated the TV, large channel selection, decent movies.Bose clock radio was good.In room safe is secured using the credit card you used to book.Mini bar looked good but as you would expect...expensive.Toiletries, lovely, peppermint and lavender or some such thing...although conditioner was almost too thick to get out of the bottle.Had no need for the white noise in the room......I had no issues with noise form the bar below but was on top floor.Aircon worked well and was fairly quietGrand GuestI had signed up for this but booked through Priceline so they said it wasn't applicable....I disagreed and asked for a manager, pointed out to her that this being my first visit, I would contend that looking after me now might bring me back; the promise of a foam pillow , cookies and milk on a future stay when booked through their website only (thus paying 50% more) would not....surely repeat business is the point....she agreed...2 glasses of champage, milk, cookies, foam pillows, goldfish (Bruce - lol), continental breakfast each morning and an 8th floor room soon were agreed upon.ServicesFree internet behind the concierge or WiFi throughout (I think).Didn't eat there so no idea about that but did try to get some cheesecake about 1am on Sunday morning - room service had an answering machine, I went to bed. BarNYC bar staff can be a bit brusque but these lot added ignorant, slow, inept and unhelpful to the mix.Friday midday, just arrived, meeting others, went to bar. Sat for 20 minutes unserved (was alone). Female bartender was stocking up/ getting ice etc, fair enough...she sees me gives me the fakest smile ever...no words....looks at me and gives a slight upward motion of her head which I took to mean &quot;Hello sir, how are you today? What can I get you?&quot;........Saturday night, midnight - bar closed despite there being about 15 persons there, mostly residents....so this whole nightclub thing that seems to be a problem here certainly wasn't this night. I asked for the bar manager.....never appeared, I then watched the greasy haired Lothario wannabe behind the bar serve 2 young girls a full 15 minutes after I was told the bar was shut. I walked right over there, in his line of sight, prepared to let it go and just get a couple of drinks, to be roundly and completely ignored. I lost it at this point so waved him over and told him that his lack of professionalism was beginning to annoy me and that this was not his personal pick-up joint. He seems a tad nervous as I'm a big man, not that I threatened anyone or anything......some manager arrives to 'deal with me' however, I'm a professional, decent, nice person as is my girlfriend so what started out with him preparing for an arguement dissolved into me being apologised to, told that the senior person present chooses when to close the bar based on number of people there etc. made sense to me and I told him that but also told him what had gone on with the girls and Lothario boy...4 drinks were soon in my hands and off we popped to our room.Sunday night 2am - bar closed prior to my arrival, snotty nosed little runt behind the bar treated me like utter filth, sort of like &quot;Duh, it's 2am...what,are you stupid&quot; kind of attitude, with less words. I couldn't be bothered with another fight so we went to bed.Check outThey tried to charge me for the cookies and the breakfast (I signed nothing as they were Grand Guest amenities)...this was a different person to the one that I checked in with. Bored with it al now, I asked for another manager, luckily same one came out...nearly had a fit when she saw me again..lol....sorted the problem out.I say all this to highlight that their lack of customer service throughout the property ended up costing them a few $$. A simple &quot;I'm sorry Sir, we're closed for the night but I'd be happy to connect you to Room Service or send something up with them&quot; etc etc was all I was looking for.3 bar staff and not one of them with the knowledge of how to acknowledge a guest or prioritise those standing at it awaiting service. Given the inconvenience that the bar appears to be to many other guests (to the extent that white noise is in every room) I would have to assume that it is the main source of income here or at least a very significant one...if that is the case, get your staff better trained and learn to milk the cash cow.GeneralGood area, nice, clean property, bell staff excellent, managers excellent but working too hard to rectify mistakes by/atitudes of their staff.I doubt I'll go back by choice but if I Priceline it and this comes up I'll be happy with that too. I'll be sure to take names and challenge bad practice though as the managers are decent people and see sense. Who likes that much confrontation during a weekend though??	
May 26 2008 	Didn't meet expectations	I stayed at the Tribeca Grand for a business trip. The rooms were nice, but we had some problems with details. First, the windows could not be opened or closed except with the help of an &quot;engineer&quot; from the hotel. I was booked into a smoking room (which was not what I requested but couldn't change rooms because they were full) and the windows were open when I checked in and the following day housekeeping opened them as well (even though I wasn't smoking in the room). After getting in at 12:30 that night, I had to call the hotel &quot;engineer&quot; to come close them for me. One of the people I was traveling with wanted their windows open, and had to call someone to open them for him. What a pain! Would be nice it you could open and close the windows yourself. Additionally, all three people in my party had trouble figuring out how to use the TVs in their rooms (there were two controls that had to be used). Finally, they give you a questionnaire to fill out when you check in about your prefereces (what type of pillow, snack, etc.) which gets you all excited about your assumed special treatment, and find out you get none of your preferences on your first stay; they just keep the information on file should you ever stay there again. It would be helpful if this were communicated up front so as to set expectations, as all of the people in my travel party were expecting their preferences (foam pillows, chocolates, etc.)!On the positive side, the bed was very comfy.Next time I go to NYC I will probably stay somewhere where more &quot;action&quot; is going on -- good restaurants, shopping, etc., as there didn't seem to be much around the hotel.	
May 20 2008 	We Loved the Tribeca Grand!	We booked this hotel through Priceline and I was a bit worried when I read the mixed reviews. Not to worry the hotel was fabo - the room was average size, but clean as a whistle. The bed was comfy and the view from our window of the streets of Soho was so quaint. We weren't bothered by the noise from the bar at all. We had drinks at the bar - be prepared - it is $12 a pop at least. Great location - away from the hubbub of Times Square - easy walking distance to the Bleecker Street pubs, Little Italy restaurants and Canal Street shopping. Want to go back!	
May 12 2008 	Tribeca Grand -- Pros 	I stayed at the Tribeca Grand for an extended work stay. The pros of the hotel: (1) excellent location, in a very cool area of NYC, near public transportion, great restaurants; (2) very nice staff -- helpful, not offputtingly hip. The cons: (1) downstairs becomes a nightclub scene most nights of the week, and even in my 8th floor room, you could hear the noise; (2) decor is getting a little worn around the edges. Overall, this is an above-average hotel, although I would say that some other boutique hotels I've stayed at in NYC (Hotel on Rivington, Bryant Park Hotel) were a bit better in terms of style.	
Apr 20 2008 	Brilliant location very helpful and friendly staff	I spoke to reservations at the hotel and they advised me to become a &quot;Grand guest&quot; as I would get a discount when booking online. I was concerned about the noise from the bar after reading other reviews and so requested a high floor room. We were given early check in and I was really pleased to see we had a 6th floor room (there are 8 floors). Each floor has a coffee machine, which also provides hot chocolate and hot water - which was brilliant for tea-making after a hard days shopping! There's also an ice machine. The room was quite spacious (we upgraded) and had a good view over Avenue of the Americas. The only noisy night was a Thursday when a DJ played in the bar for a party. But once the door is shut we couldn't hear anything. The white noise machine sound like teh air-con but it wasn't needed. I thing noise may be more of an issue if you are on lower floor.The hotel is ideally situated if you want to shop downtown in the SoHo area, but it is also 5 minutes walk away from Canal Street which has loads of different subway lines to all parts of the city. Getting a cab is very easy too as the hotel is at the intersection of 2 main roads. The hotel staff were incredibly friendly and helpful. We asked the concierge to recommend bars, restaurants, diners which were really good. Ask for the shopping map as it has all the shops in the SoHo, NoHo area as well as uptown.This is a great hotel to stay in if you want to be able to access all parts of the city easily but want the feeling of a local neighbourhood. Great shops and bars in easy walking distance and they are friendly and helpful in the hotel.	
Apr 11 2008 	Horrible	I stayed at the Tribeca Grand on 3/29/08 for my 5th Anniversary. It was beyond atrocious. They put us on the second floor, failing to advise us that the atrium (the rooms all overlook the atrium) turns into a nightclub until the wee hours of the morning. Suffice it to say, all of the reasons why you don't want to sleep in a nightclub came true here. Even worse, after agreeing not to charge me for my room, the hotel charged my credit card anyway!!Avoid this hotel at all costs.	
Apr 8 2008 	Great But Not Fantastic	This is a great hotel - don't get me wrong - but for the money you pay there is better value around. I have to say the staff we so friendly and helpful that they did make us feel welcome from the minute we arrived. I usually stay upper west or midtown but decided to stay around Tribeca this time. The location is Ok if you want to be close to Soho but not in the middle of it and its a breeze getting in from the airport on the A train as the stop is right by the hotel. So Canal Street is nearby and there are lots of shops but there was not the number of bars or restaurants I expected. This probably explains why the hotel bar is so busy (untila round 2am on weekends) which can be a bit dull if you are trying to get some sleep. We were on level 5 and could still hear the noise even with the white noise machine turned right up. Rooms are adequate but I don't think they cleaned evry well as by the thrid day everything was very very dusty. Great toiletries (Malin &amp; Goetz) and the coffee machine is also a real bonus. Forget the gym however.	
Apr 6 2008 	Great stay at Tribeca Grand.	We stayed at Tribeca Grand for 5 nights, 28 march - 2 april.I had booked at corner king and was put in room 326, with a large floor-to-sealing window facing an officebuilding. Since the booking of the hotel I had dreamt of the lovely view of the streets of Tribeca (and not an officebuilding) so i gathered all the diva i had in me and went to the reception and asked for another room. At first i got the fully-booked line from a girl there, but furtunately a manager overheard our conversation, and he found room 305 for us. It was just a lovely room, everything i had wished for. Lots of space, a large closet for allt the fantastic shopping, a very nice bathroom with a tub and the most fantastic shower (the waterpressure was outstanding). And the room was clean. And i mean C-L-E-A-N. Everyday, the room was spotless and stocked up with amenities.The decor of the room had a kind of 70´s feel to it. Brown walls with an orange lamp, hessian tapestry and brown linen drapes all gave the room a nice varm atmosphere.Around the corner from the room, there was a mashine where you could get coffee, tea, cappucino and hot chokolate for free.If you have tried this thing called jet-lag, where you wake up at 2 am and think it is 8 am and you are ready for your usual coffee, you understand what a god-sent this maschine was. All in all, a great hotel. Great location. Great experience.P.S.: Do try the Eggs Benedict.....	
Mar 27 2008 	I like this hotel a lot!	Anyone who has read any of my reviews knows that I am hard to please when it comes to hotels, but this hotel is excellent. I really like this place. It's expensive, but the decor is nice, the rooms aren't closets as SOME artsy fartsy hotels in New York and the service while it had a hiccup when I first checked in was completely excellent.The hotel has a good lobby, you WILL have to pay for Internet access (which is a down for a hotel this expensive), and the TVs were kinda cheapo for what I would have expected from a hotel in this price range. The bed and the bedding was great and the location is prime if you're in town on business. If you're traveling with family or here for more of a vacation, I'm not sure this is the right choice for you because you'll do more traveling than you would otherwise. The price for drinks and the restaurant were lower than the norm which caught me off guard. As for noise since it is in a busy location, I was on the 4th floor and didn't hear anything other than mild background noise on occasion.	
Mar 22 2008 	Great hotel that offers pet fish and ipods with your stay	I was in NYC for business and everything was booked so we had to stay at this hotel. They have a small but nice gym. The rooms have &quot;white noise&quot; pumped in so you can't hear the street noise. They have coffee bars on the floors to. Very good breakfast from the hotel resturant.	
Mar 13 2008 	Loved the Tribeca Grand great location friendly staff and worth every penny!	This was our second trip to NY and we decided to stay in SoHo rather than up or midtown as we had seen a lot of the sights and wanted to enjoy the funkier side of the city. The Grand is instantly recognisable due to its corner location, big clock and strange triangular shape! The decor is ultra modern and the vibe is quite &quot;hip&quot; with very youthful and exhuberant staff. The bar and restaurant were great - a little pricey but this is NY and the pricier area of SoHo so only what we expected - attentive staff, table service and a bar area. The food was a la carte sort of style but in american proportions - another words there was plenty! The rooms are very stylish with all the mod cons and a coffee machine is situated on each floor with free fill ups - always helpful for the late nights and early starts! Although the rooms are a little on the cosy side, this is pretty normal for NY and they are more than sufficient for getting ready in, sleeping in and being nosey from! We loved our stay here and found the staff really helpful; directions were given to various night haunts and when BA lost our luggage we were compensated with some lovely bubbly by the amazingly helpful receptionist! There is loads to do in the area, Canal St is literally round the block - not my thing but its there all the same! - the shopping in Soho is better than uptown, unless you want the big stores like Macys, but there is a Bloomingdales and pretty much everything else you could want. There are some great restaurants in the area but I would also recommend the Eggs Benedict at the hotel for breakfast and I would recommend you eat there one night during your stay as it really was that good. Have fun at the Tribeca Grand! Oh and go to TAO for dinner, its uptown, you will need a taxi and a hefty wallet but my god the food is to die for! You will need a reservation - I booked 3 weeks in advance and was lucky to get a table so don't wait until you get there!!	
Mar 3 2008 	never again	My boyfriend and I booked this hotel last August during our last 4 days out of a 2 weeks stay in New York.For our first 10 days we stayed in On the Ave Hotel. And it was great .Great location, service and great staff .But we decided to treat our selves for the remaining days with a more expensive hotel in the lower part of Manhattan.We saw that the rates of the Grand Hotel were higher than the previous hotel , but we took it any how. When we got there, the staff was indifferent, the room has this pretentious 60s theme that only made it gloomy. We had to call to remind them to bring the bathrobes and to refill the small bottles of shampoo which they would forget to do systematically for our stay there.The lounge area at the entrance was an extra pretentious meeting place for what I assumed were &quot;aspiring actors&quot; and people in the showbiz. And since everybody coming to the hotel to meet other people was overdress , we , as tourists, in our &quot;tourist outfits&quot; felt permanently eyed up and underdressed just by passing by.Useless to say that after the first night, we wanted to move back to our first hotel , but they were fully booked.	
Jan 30 2008 	Place to Stay in NewYork	On advice from 1800hotels.ie booked this hotel that i had never heard of before, Was well impressed with their suggestion, as mentioned before bar is great and food also. I did not find the rooms so small, we had a partition and our bed was behind this and then we had a couch and coffee table on the other side. When i looked out and saw the traffic i was expecting to get no sleep but found the room really well sound proofed! thanks 1800hotels!	
Jan 27 2008 	Great downtown scene; tiny loud rooms	I got a great deal on expedia to stay at the Tribeca Grand. A beautiful hotel with great service. Fantastic bar. The rooms are tiny, but hey, it's NYC. I didn't expect a big room. Good Service. Very clean and comfy. If you are staying on the weekend and have trouble sleeping, I would avoid this hotel. There is a central atrium that is stunning to look at, but amplifies the noise from the bar below.	
Jan 21 2008 	Hotel Room takes a back seat to Lobby	While room #225 was average at best in size, maintenace, ammenities and retro design, the real show stopper is the 8 story open atrium with clubby atmosphere and industrial chic decor. Rhythmic lounge music prevails on the weekends into late hours with all the partying hipsters. The noise-dulling device in the room is effective. Friendly and welcoming staff. Puny gym. Pet friendly. Excellent and popular Sunday Brunch in the atrium. Movie viewing room on lower floor. Soho shopping and dining is 5-7 blocks north. Midtown and theater district is a 20-30 minute cab ride away in traffic. Hotel is a good choice to be away from congestion further north, edgey neighborhood and trendy design.	
Jan 19 2008 	The TGH is FAB!	We stayed in TGH for 5 nights in mid January. We had previously made a similar visit to hotel some 5 years ago and we were pleased to see that the hotel had lost none of its trendy ambience and a recent refurb had ensured our suite was in v.g. condition.Nothing to complain about with the front desk, concierge and housekeeping service being excellent. The Pound Sterling has good exchange rate with the US dollar at present so this did help immunise us to an extent from the rather steep room rate and bar tab(s). The hotel is in good location for subway. If you need to pick up a taxi the cost to midtown or back is in the region of 12 dollars. We pootered about in Soho/ Tribeca areas on this trip quite a bit and visited the Mercer Hotel and its much revered kitchen restaurant. We were not impressed considering the place very overhyped. Balthazar by contrast was a delight and well worth a visit.We are visiting NY again in the autumn and depending on dates and workload will almost certainly be going back to the TGH.	
Jan 9 2008	GREAT SERVICE but needs some improvements	the hotel service was excellent.....but the room needs some small improvements......more lighting(too dark)......cotton balls and q-tips.........a fan in the bathroom..........the upside to the room was a wall sound machine........very good for sleeping.........and a very easy safe to get in and out of...........we had a very nice stay and would consider going back again...:)	
Jan 9 2008 	Good hotel nice room great location.	My wife and I had an enjoyable stay at the Tribeca Grand over the New Year period.We were booked into one of the corner suites on the 6th Floor and despite the atrium, noise was never a problem. It's probably the smallest suite I have ever stayed in, but I believe this is a Manhattan issue as opposed to a Tribeca Grand one. The room itself was well appointed with a very comfortable bed, large flatscreen and great views to the street below via a huge window that took place of one of the walls. The bathroom was quite &quot;industrial&quot; with steel sinks, nice shower, soft towels and decent products. The service level in the hotel is good. You get a glass of champagne upon arrival which is nice. We had requested a goldfish and Bose Docking Station when booking. Although these were not in the room when we arrived, a quick call got them sent up in only a few minutes. There was a coffee machine pretty much outside our room which alongside a complimentary copy of the NY Times was a nice touch in the mornings. We had room service breakfast on a couple of occasions and found it delicious and hot with fast service. Did not have lunch or dinner in the hotel but I looked pretty good.The location was one of the major plusses for us. Fantastic bars and restaurants are only a short walk or stumble away. It feels very different from the frantic Midtown, we had so much more fun mooching through the boutique shops in Soho then the huge department stores in Midtown. Perhaps it was due to the sales being on, but we much preferred the dept stores in London to those in NYC. Ask the concierge for good recommendations of bars and restaurants locally.We had an interesting incident shortly after midnight on New Years Eve. Following a meal and music at Jazz Standard (average), we jumped into a cab and got back to the hotel at about 00.30 intending on buying a bottle of champagne to join the party in the bar. However, when we strolled in they tried to charge us $150 each for the privilege of sitting in the bar and drinking free booze until 2am. We explained that we were hotel guests who had paid a significant amount of cash to stay there for NYE and wanted to buy our own drinks. After turning down the offer of $75 each, they finally let us in after we complained to Night / Bar Manager saying that neither of us would stay there again on business unless they let us in. This did the trick, and we ended up with very attentive service and getting some nice nibbles sent to our table as a way of apology. The NYE incident had the potential to sour our stay, but not accepting their rules actually meant that we had more fun! As with any other hotel, you just need to make yourself heard to get what you want.Good hotel, nice room, great location. - would recommend and return	
Jan 4 2008 	Pure NYC	Had a great long weekend at the tribeca and managed to fit in a 101 things into a few days, The hotel was great with a happening lounge which was good for inviting frineds back to. The location is also really why we picked the grand. So many good restaurants and shopping near by. The concierge was excellent and organised some must see things and table reservations for us. Staff on the whole were professional and curteous as you would expect. I would recommend the hotel for a city break.	
Dec 27 2007 	Enjoyable stay at the Tribeca Grand	We stayed at the Tribeca Grand for 3 nights just before Christmas and enjoyed our stay very much. The rooms are modern and relaxing. All rooms have a large TV and a Bose CD player/Radio. You can borrow Bose sound docks for ipods as well. We felt the room was definitely spacious enough and not small at all (unlike some reviews on this site). Maybe they are small by American standards (they do not have 2 double beds in them as some American hotel rooms do, the bathrooms are on the smaller side - there are not two sinks - just one!) but it was fine for us!The service in the hotel was generally very good. Our bags were taken care of for us, the hotel doorman flagged down taxis for us, staff were always very courteous and helpful and room service was fairly rapid (took around 20 minutes from ordering - the same amount of time that they said it would take when we ordered). The rooms were cleaned daily and to a good standard.We booked the Tryst in Tribeca package. It is definitely worth booking one of their packages if you can. It actually worked out cheaper than simply booking 3 nights at the hotel and in addition we got an American Breakfast every morning (via room service), champagne and strawberries on arrival, a free cocktail at the bar (they are VERY strong - be warned!) and late checkout on the last day. We felt that by New York Hotel standards, the hotel was very good value for money - as New York is a very expensive place to stay. However, we haven't stayed at other New York hotels so we can't compare to other hotels. The breakfast by the way, was very good - and kept us going until late into the afternoon!Other reviewers have complained about the noise from the bar. Yes the bar can get noisy, but we requested and got a high floor room. We were on the 7th floor (there are 8 floors) and we couldn't hear a thing from the bar even without the white noise. (They have white noise machines in the rooms to mask the noise). Tribeca itself is quite a good location but it depends what you are looking for. There are lots of good restaurants around (We went to Nobu Next Door and would highly recommend it) but for bars, you might want to go to nearby SoHo (about a 10 min walk) as Tribeca is quite quiet at night. SoHo is also excellent for shops! The nearest subway is a 2 minute walk away - and it's about a 10 - 15 minute ride to Fifth Avenue or Times Square when you want to go to bigger department stores or see the sights of New York. We'd definitely recommend this hotel to people who'd like to stay in a good 4 star hotel, which is conveniently located for SoHo. It's not luxury, but it is 'Hip' and very comfortable with great service as well!	
Dec 21 2007	Underwhelmed	Never written a hotel review before, but had to on this occassion. TG may have been cool, edgy or whatever at some stage, but not any more. Spent the weekend wondering why we didn't stay in 60 Thompson or Soho Grand. They're basically the same price and way better.Nobody in reception when we arrived. Bar was booked for a private party so we were stuck in some basement room. General fit-out was dated. Restaurant service was less than enthusiastic...food was average. Concierge was very helpful, as were doormen.Basically came away from the hotel feeling that for the same money, I've stayed in better hotels in better locations in Manhattan. PS Nobody seemed to have a clue where the hotel was located.PPS No fishbowl or i pod player in room as suggested in website...unless you contacted room service.	
Dec 15 2007	disgraceful service	Had the worst experience with a rude surly waitress who ruined our stay here... she actually became aggressive with us and we had to call for assistance from the manager,, rooms ok but small and most rooms didn't have a bath.. don't stay here if you like good service as from the front desk to the waiting staff they were inept and unpleasant..	
Dec 1 2007 	Consistantly Good	This was our fifth stay at the Tribeca Grand Hotel spread over 4 years and it never fails. I am sure there are plenty of hotels with maybe better rooms / dining etc but I don't know of any that give such a pleasurable laid back but classy feel. The atrium design is particularly good as as soon as you step out of your room you feel like you are part of the hotel with a nice buzz emanating from the ground floor. If you want to feel like you are part of the New York scene and not just a tourist it is second to none.	
Nov 26 2007 	Fabulous Place (and I'm fussy!) - Excellent Location Trendy NYC feel	We stayed for 5 nights in grand king room (ave $350 per night). Turned off the white noise system as had no problems with noise. Very little traffic around that area at night and middle of day. Hotel itself was very trendy (don't understand the run down bit in others but perhaps we had a refurbed room?!). The lobby, bar, restaurant area is really cool and great place to relax. We had food at the bar 2 nights and both served quickly and good quality. Had drinks most nights at some point and always greeted very well and seated on comfy sofas even if it was just for a coffee at end of tiring day shopping. The staff were v. friendly and welcoming at door, getting us taxis etc.Bathroom I thought was just average for a city centre hotel. The floor cold have been cleaner though! - great toiletries.Great locatation for restaurants in TriBeca &amp; Soho (Bouley bakery for breakfast, Balthazar for brunch, Loopa or Boom for lunch/dinner, Nobu if your feeling flush!)Across the road from Bubble Lounge for champagne cocktails and also a good wine bar Vino Vino.It's such a good area if you want to wander round the smaller stores in the more trendy streets of soho and be able to go out at night for food etc. Different from the madness of Times Square which we did last time.Overall could not fault the stay here at all - we'll def. be back!!	
Nov 22 2007 	Tribeca Grand has Great Staff Super Trendy Bar/Lounge	I was surprised at how friendly the staff was at this trendy, boutique hotel. It had all the NY flair without the NY attitude. I tagged along with my husband, as he was doing business in NY, and I was never disappointed with the food, drinks, or service at the hotel. Everyone from the doorman to the housekeeping staff was super attentive. We are in our 20's and wanted to stay somewhere that didn't have a stiff, snooty, atmosphere as many upscale hotels do, and we were not disappointed. My only concern was that the room needed some minor repairs. No big deal! It's NY! The fact that it was within walking distance of all my favorite SoHo shops compensated for the minor room issues. I would stay here again.Yes, it's expensive, but again, this is New York.	
Nov 7 2007 	Expensive - but its New York	A very nice trendy hotel, that hosted &quot;the beautiful people&quot; of New York.The gym was pretty poor and we had a room near the lifts and could hear them going up and down all night despite the white noise machine in the room. Staff were very friendly and accommodating, overall pretty expensive and not quite worth it.	
Nov 6 2007 	nice location not worth the price	You arrive at this nice place in a charming area, the reception is right in front of you, the check in was easy, professional and nice. The room was Ok, small and noisy, extra small bathroom (excellent shampoo), interesting deco but not in very good condition. Nothing like a room you are paying $750 for. Breakfast in the room was thrown on a tray with no butter with the toast and no salt for the eggs, service was better in the main room - the food was good though. The staff is almost unpolite. It does not make you feel like spending anytime at the hotel. Overall it would be an fine place to stay in the area if the price was reduced by 50% - For 20% more, I would rather stay again at the Four Seasons.	
Oct 31 2007 	Stop! Stop! Overrated!	I am a regular reader of Tripadvisor and even if it is always your personal view which will count in the end, Tripadvisor do help out when selecting a hotel. However this time I was astonished about the great reviews this hotel had received and the overall rating among the hotels in New York (at time of writing #41). We like to try out different hotels when visiting NYC, on previous occasions we’ve stayed, for instance, at 60 Thompson, Gansevoort and Mercer. Why not Tribeca Grand? Well, we discovered Why not!When we arrived there was no valet service to help us with our luggage. The staff at the reception was not at all as friendly as described by previous visitors. Perhaps they had a bad day, but we are getting used to this nonchalant attitude in NYC. We had booked through American express platinum service and an upgrade was included. We were told no upgrade available. Anyhow we had booked a studio which supposedly should be 333 square ft with 20-foot-wide windows, so we believed this should be fine. On our way to the room we got a general impression of the hotel being pretty run down. Our room was a major let-down! Old, run down, small (definitely not 333 sq ft!), stains on the carpet, ugly furniture, marks on the walls, bathroom terrible with poorly patched up visible damages in bathtub and on the walls. Floor dirty. And absolutely no space for your clothes! Asking the reception for a change to a more refurbished room was useless and when reminding them our booking came with an upgrade (if available though) we were informed the hotel had no agreements with American Express and the duty manager told us American Express was lying! If we wanted to change room we would be charged extra! We told the hotel we would check out the following day. The hotel has no atmosphere; just look at the carpeting in the hallways – they should have been changed long time ago. The elevators did not work properly, they stopped all the time on certain floors, despite no one wanted to get off or get in. The lounge, dinner and bar area is dreary. The service is poor, really poor. If you order a drink at the bar, you will not be allowed to sit down. When we asked for a table, we were told it was only for bottle service. Even though it was empty! At midnight there were no people there! On a Saturday! They even turned the music down. We had some friends coming over for a cocktail. We were 14 persons and if it would not have been for us, the place would have been empty! Next morning when we checked out we were charged the double rate for the transportation from the airport. I explained the rate we had been given by the concierge but we were told they could not rectify it until Monday because the accounting department was closed. We waited almost half hour to get it sorted out and it was not until we insisted to speak to the manager when things started to move. He immediately changed our invoice and apologized. Off we went to 60 Thompson where we stayed for the rest of the week – and boy! – what we enjoyed our time in this splendid establishment! Again!	
Oct 31 2007 	Totally amazing!	Had an absolutely amazing stay at the Tribeca Grand. Chose this hotel as Soho Grand's reviews where not 100% and feel we definitely choose correctly. The hotel was very ultra modern. Staff to open doors for you. After arriving from the UK was absolutely shattered and they did everything for us. Rooms were brilliant. Again really superb modern decor. Beds were amazingly comfy. Sound proofing in rooms, although we didn't use it and noise was fine. No problems at all. They automatically upgraded us when we arrived which was a super touch. Right in the heart of Tribeca where there are loads of fab bars and unlimited restaurants around. Definitely won't go hungry or thirsty. Downside. Unfortunately there will always be something, although it was all rectified immediately. When we arrived and the porter took us to our room which we'd asked for non smoking, the room smelt heavily of smoke. The porter went downstairs and got us keys to another room straight away and apologised. Breakfast on both days which is not included was stone cold!!...once again, they apologies prefusely, sent it back, got us another and didn't charge. Food does take some time to get aswell so don't look to be in a hurry. Overall will definitely go back to New York again soon and will definitely stay at the Tribeca Grand. Superb.	
Oct 18 2007 	Great for New Year's	This is a wonderful place to stay during the holiday season. My girlfriend and I spent New Year's 2007 here and loved it. I encourage you to book a room now if you're planning on spending NYE in NYC. The rooms aren't too spacious, but it's Manhattan -- what else do you expect? The Church Lounge has better-than-average food and it's a great spot to people watch. The location (Tribeca) is perfect; it's a prime neighborhood for foodies and you're not too far from just about every subway line. Plus, cab fares to the major nightclubs and lounges won't break the bank. Speaking of $$$, my only complaint is the hotel's policy of charging $150 extra per night on top of the agreed-upon rate. They say it covers any damages to the room. Therefore, upon checking in for a 4-night stay, you're wallopped for an extra $600 that doesn't get credited back to your account for a few days after check-out. Kinda makes you want to break a lamp. Oh, the irony.	
Oct 17 2007	Amazing boutique hotel	My stay at the Tribeca Grand was amazing from the very first minute to the very last. The staff was polite and efficient, the club in the lobby very fun and hip, and the room was just plain sexy. They had a fabulous array of cheeses, fruits, and beverages waiting in the room. The bed was so comfortable that it was nearly impossible to leave it. They not only take pets, but welcome them, and will arrange dog walking and/or sitting should you need it. I can't wait to go back!	
