	Cleancomfyperfect location and perfect for my budget!	This is my second stay at the travel inn on 42nd street. Even with knee damage I found the location to the theatre and shops (and times square) within a comfortable walking distance.I booked a single and got a double double, near the lift as requested. I forgot my hair dryer and uk to USA adapters and these were provided for me (hair dryer in room,plugs on request)it was a handy later check out 12pm, so I still got to run a few last min errands on my last day. In easy walk to the subway and port authority. Also across the street is a drug store with food nearby too. A fridge and microwave in the room were a nice touch and it was warm too. I can't fault this place for the price and location. Small and cozy, well looked after and helpful staff.Will return and def. Reccomend to all NYC traveller who want comfort on a budget and location to 'the thick of it' !	
Dec 14 2007 	Shocking service	We have recently stayed for a night at the Travel Inn Hotel on W 42nd Street &amp; 10th Ave. We felt that it is over priced and has very poor service.	
Dec 6 2007 	Great place - Great Price!	After spending several hours pouring over reviews of hotels in Manhattan, we decided to stay at the Travel Inn, on the corner of 10th &amp; 42nd. The location is excellent, just a ten minute walk will get you right into the heart of Times Square. Although this Travel Inn is not the same company as the Travel Inn in the UK it is to the same standard (if not better). The rooms are well maintained and the staff are friendly and helpful. You might want to take a set of earplugs with you. Our Room overlooked the police station and every now and again you get woken up to the sound of the NYPD. I would definately stay here again and have recommended it to friends.	
Nov 13 2007 	Great Location	We have just returned from our 5 night break. Upon arrival check in was a breeze and the staff were friendly. The room was a fair size with 2 double beds that were very comfy, fridge and microwave also good additions (a kettle would have been nice also) this hotel is not the ritz but if you want cheap and clean I would recommend. The location is great just a couple of blocks from Broadway and Times Square. If you are planning a trip to Liberty Island I would try to go on the earliest ferry as the later ferries have horrendous queues.	
Nov 9 2007 	Excellent value - great staff!	4 of us stayed here for our first trip to New York - my mum, me, my sister and a friend. We booked 2 double-doubles and were pleasantly surprised, having heard how small hotel rooms in NY can be. Our rooms were a good size, with really comfortable beds, TV, microwave, fridge, iron and ironing board... in fact, everything except a kettle! Luckily, I'd brought a travel kettle as we Brits love our morning cuppa. The view from the rooms (of the railway tracks) was a bit disappointing, but we weren't planning on looking out of the window much!The staff at the hotel were fantastic - nothing was too much trouble for them and any small needs were attended to immediately. Also the luggage store on our last day was a real boon - it meant we were able to enjoy our holiday right up to the last minute (and we did - arriving to pick up our bags 2 minutes before the shuttle bus collected us!).As others have said, the deli next door was great for breakfast - but I must recommend the Westway deli on 9th avenue - near 43rd st. Even better value than the one next door, and they do hot oatmeal which is brill when it's cold! Also unlimited coffee. A really substantial breakfast for 4 came to $27 including taxes. Fantastic.We ended up getting Citysights bus tour as they accosted us on the first day. Can't recommend them over Grayline as the frequency is much less. The guides were hilarious, though! Proper NY sarcasm.	
Nov 3 2007 	great choice for great price	For first time visitors to new York, 2 adults (mum,sister )and a13 year daughter we were concerned about location, safety and cost. Travel Inn was ideal on all counts. Room had a great view of Empire State Building, great deli next door for breakfast and lady in the little gift shop a mine of useful information. She also arranged our transfer back to JFK . Hotel roomsaren't luxurious but were very clean and believe me after shopping and sightseeing 13 hours a day a firm matress was just what was needed. Only complaint the shower temperature control was very erratic. Young children should use bath.Out the hotel door turn left walk 2 blocks Time Square. Grey Line sightseeing tours stops for Down town and Uptown in Times Square(tour guides excellent!) . Subway station block before Time Square direct line to South Ferry for Statue of Liberty- get in the first five coaches though! Turn right from hotel door two/three blocks to a new waterfront development also terminal for river cruises. We loved New York and we thought the Travel Inn represented great valuefor money in a great location where we felt perfectly safe walking to and fro even late in the evening. PS If the Blue Man Group are still on in Astor Place Theatre definitely worth a visit- great show!	
Oct 25 2007 	Don't tell everyone you'll never get back!	This was the second time we had stayed at this hotel. The first time was good, this time was even better! The room (4th floor)was spacious and overlooking 42nd St, though you wouldn't know as there was minimal street noise. Ideally located for Times Sq and virtually everything else in Manhatten (but don't walk from back from Battery Park like we did!). Hells Kitchen is just around the corner with a fantastic selection of eateries. There is a good Irish pub round the corner on 10th.Of course, the biggest bonus is the fact that you get complimentary, on-site parking.OK, it's not the Ritz, but it is clean and tidy with pleasant, helpful staff. I would much rather spend my cash on enjoying myself than contemplating the wall paper! This is New York!	
Oct 18 2007	Broadway on Broadway	My wife and I were in NYC (my first time) for the second half of a nine day vacation. The first four and a half days we spent inWashington D.C. In NYC we stayed at the Travel Inn Hotel, 42nd and 10th ave. I can recommend the Travel Inn for being way above average in every catagory, from location, to front desk, tobeing extremely clean, and large room. ( After hearring how small hotel rooms were in NYC) our room was the same size asany hotel or motel room we have stayed at anywhere. We walkedalmost everywhere, except for sight seeing bus (Greyline) andone cab from train station (We took the train from D.C. to NYC)to Travel Inn and van from hotel to Laguardia airport. My wife and I(I am 63 she is 54) walked from Empire State Building to CentralPark and then back to Travel Inn.Anyway while we were in NYCthey had Broadway on Broadway ( Times Square ) every Broadway show had one number song dance whatever. Then at the very end confetti fell from the roof tops just like New Years Eve.WOW	
Sep 22 2007 	Not A Budget Hotel... Much Better	I booked the Travel Inn direct by telephone as I needed 2 rooms for 5 people for a 6 night stay. I had searched the web for a budget hotel and the Travel Inn fell into that catagory. I would not class this place as a budget hotel. We had a fab stay there. From my first contact by telephone to the reservation staff, various e-mails as I had to change the dates and room requests, to arriving and having a great welcome by the desk staff. Our double double rooms overlooked the pool and were clean and fresh. The rooms inc a TV, fridge and a microwave, an ironing board and an iron and a hairdryer. The maid had her hand full with 3 lads in one of the rooms but the room was cleaned every day no matter what time they emerged. The pool was a great place to relax after a day out and before a change for a night on the town. The manager arranged a Limo to take us all the the airport ... at a good price.The hotel is located on West 42nd Street and has plenty of delis and bars around. The &quot;Theater Diner&quot; across the way will deliver to your room and the Deli next door to the hotel is ideal to nip down and grab a coffee. A great location with easy walking to Times Sq and all sights.This was the 1st trip to New York for the lads as they were waiting until they were all 21 .... and they loved it and was made a Fab holiday by the stay at the Travel Inn. I will rec. to friends and family and def stay they again on my next trip.ps .. my last stay in New York was at the Crown Plazza on Times Sq.	
Sep 7 2007	Nice hotel inconvenient location	My mom and I just spent one night at the travel inn to go to Rachael Ray and Hairspray. The hotel was great for the price we found on expedia. We had stayed there years ago and new it was a safe choice. The first room we got was literally over the train tracks. The fridge and micro were missing (which I wouldn't know unless I had read reviews prior). I immediately asked for another room. Good thing as the train came and blew the horn twice before going under our room!!Our second room wasn't clean yet, but WE asked the housekeeper to clean it. She did, so we knew it was clean (saw the old sheet taken out, etc). We tipped her for being so quick.The room was pretty and clean. The TV was extremely small, but we didn't need it. It was right next to the elevator and pool, but we stuffed our ears to steep! The beds and pillows were fine (little hard, but not too hard). There were no extra pillows, and the towels were SUPER small. Water pressure was fine. We mostly walked, which is why I would say the location isn't stellar, Yes it is on 42nd street, but very close to the hudson. You can take the M42 cross town bus though right by the hotel. We couldn't because we didn't have $2 in coins each. That was a real pain!!! There was a taxi strike too, so we mostly walked. I love walking in NY, but my mom just had knee replacement surgery.I would recommend this hotel if you want the free parking (which is why we chose it). otherwise, try to stay a little closer to broadway or so if that's where you are headed.	
Sep 3 2007 	Wonderful Stay!	Our party of 4 stayed at the Travel Inn 8/31-9/2 2007. I have been reading all of the reviews here religiously trying to decide what to expect of this hotel. Based on the mixed reviews, it seemed like a 50/50 chance that I would have either a positive or negative experience. We arrived at 9am Friday morning. Our check-in wasn't until 2pm, so I was hoping to just be able to park our car at the hotel until we could check-in later. When I walked into the lobby, the desk staff was friendly &amp; there was another staff washing the windows. Not only could we park at 9am, but they said our room was vacant &amp; they let us go right up!!! That was a huge plus for me - an 8hr drive &amp; to have a bed right away was fantastic. Our check-in literally took 30 seconds - completely hassle-free. Parking was a bit tight for our Crown Victoria, but my husband pulled it off without much effort whatsoever. We were on the 7th floor, room 733 just outside the elevator. Pretty standard room as far as size &amp; furnishings go. The bathroom was Tight. We made it work, but compared to the room space, the bathroom was disproportionately small. Our room overlooked train tracks &amp; a smaller side street without as much traffic. I actually requested a street view - I should have specified the street I wanted to view was 42nd! Nonetheless, the view was lovely &amp; perhaps the most amazing &amp; unexpected bonus was the breeze that came through. While in our room, aside from when sleeping, we left our hotel door open the entire time &amp; the cross breeze was incredible. The occassional trains &amp; little street traffic were welcome sounds that did not disturb - we enjoy the sounds of the city. The beds were like concrete - very hard, but that mattered none. Each night when we came in after a very long day of sightseeing, etc. we all slept like rocks (no pun intended). I typically wake in my own bed at least 1x per night. I never stirred in these beds. Housekeeping was fine &amp; everything was clean. To be honest, I don't pay attention to many details while in NY. I love the city &amp; that's why I'm there, so I'd be just as happy staying at a hostile or on a bench in the park. But, mom, brother, &amp; husband preferred a hotel. We did eat at the Theater Row Diner. Very close by, quite lovely on the inside, a strong contrast to it's outside appearance. We also ate at the Broadway Diner next door - also very good. The hotel's location is good, pretty central to everything you'd want. A short walk &amp; you're at Times Square - definitely on the way I recommend Pax Whole Foods (a chain deli w/ delicious sandwiches that you can also get uptown at 2 other locations) &amp; Madame Tussaud.'s wax museum - very entertaining. If you plan on making repeated trips to the city, I recommend avoiding the tourist traps around the bus terminals &amp; Times Square. Head to the upper west side where you will find The Buttercup Bake Shop on W.72nd just before Amsterdam. Or, head to the village to eat at The Magnolia Bakery. Both of these bakeries make the same basic cupcake (the 2 ladies used to be friends &amp; when their cupcakes created instant mania &amp; booming business, they fought &amp; split up, thus there are now 2 different stores) which is the most delicious baked good you will ever put inside your mouth - get them - $1.98 each - terribly underpriced!!! Just know that you can only get a maximum of 12 per person/party at the Magnolia Bakery - so if you plan on getting lots - go to the one on 72nd. Upon checkout, which also took about 30 seconds, we were allowed to leave our car in the garage until 5pm at the latest. Overall it was a fantastic stay, no real complaints about the hotel other than the bathroom being tight. Although, I was impressed that toiletries were vegetable based, rather than animal based, something that is important to my husband &amp; I. The early check-in, fantastic breeze, location, &amp; late parking were what pleased us all the most about the Traveler Inn	
Sep 2 2007 	Great place for those with a car	This hotel situated in mid-town, just a 5-10 minute walk from Times Square, is great if you want to be close enough to downtown without having to spend a fortune. The rooms were clean, and comfortable. Our room opened up to the corridor with a view to the swimming pool courtyard. It also had a fridge for those foods which we purchased from outside. It wasn't a mini-bar but the ice &amp; vending machine were situated on the 3rd Floor, where our room was. The staff was very friendly and helpful. There was one computer in the lobby with paid access to the internet. Room service was available and the hamburger and soup we ordered were very good. This hotel is by no means luxurious, but it's nice if one doesn't wish to spend $400/night in a downtown hotel, but values the commodity of the proximity to downtown without the cost and requires a safe spot to park their car, as valet parking on this property is FREE!	
Aug 27 2007 	Loved our stay	We stayed in this hotel from 23 till 26 of August! It was our second stay in NYC, we stayed in NYC once in 2005 in a Hotel in the same price catagory. So upon our arrival we expected the hotel to be similar, but we could not be more wrong! Although we payed approx. the same price it was nothing comparred to our previous, I would even say this was a luxurious hotel, considered being in NY and paying a cheap price! the staff was friendly and the rooms were very spacious and clean! Also a big advantage was the noise, so close to all the action and barely no noise! In our first hotel we had no sleep for the 3 days we stayed there! I would recommend Travel Inn hotel to all the first timers going to the city that never sleeps!!	
Aug 21 2007	Couldn't ask for anything more.	This hotel met all of our expectations and more ( for the price).Yes, we have stayed in fancier hotels but we also paid much more. Our room was clean, the staff was excellent.The lady working in the boutique was very pleasant and helpful.As like most guest, we felt very safe walking back to the hotel in the evening. The deli next door was great as well as the grocery store one block away.We also had a vehicle and parked it in the garage for the week.I really don't know what people expect. If you want a 5 star hotel then you should stay at a five star hotel.Keep in mind, this is a budget hotel.To sum up our perspective of the hotel: Clean room, large room, fridge, microwave, pleasant staff ( lobby, chamber maids, boutique, maintenance staff), pool,deli next door, close to Times Square, supermarket one block away, secured parking(no extra charge), police station across the street. Yes, the walls are thin and having a room facing 42 street there is traffic noise, but hey this is New York after all!I know where we are staying the next visit back to New York.	
Aug 20 2007 	Great ! A better deal than I expect!	Our family of 4 stayed at this hotel. There is a fridge and microwave in the room -- surprised to see NO coffee pot. Little restaurant next door with great food, great service. Police station across the street. Rooms clean, people friendly. Got an amazingly great deal! Enjoyed our stay very much. Wish we had made time to go to pool-- it looked fun. Was 2 long blocks from subway, but very close to other food places and a grocery. Probably a better deal than I'll ever find again. I'd definitely stay here again.	
Aug 20 2007 	Great hotel for the price!	8 of us stayed here in June '07 and no one had any complaints! It was a great hotel, staff was fantastic and free parking, how can you go wrong?! The beds were clean, a little small and not so comfortable but who stays in their hotel room for too long in NYC?! The cleaning staff were very friendly and accomodating. It's about 10 min walk to Times Square and there are great little restuaurants down some of the strees to explore. I would encourage anyone who wants a deal and doesn't mind being a little out of Times Square to stay here!	
Aug 13 2007 	Avoid like the plague	This was a last minute booking (my son broke his wrist just before our vacation so we had to cancel our horseriding holiday upstate and opt for a city break) and we had very little choice of availability. We had requested (and been promised) two rooms near each other (one for me and husband, other for the kids) yet were offered rooms on separate floors and the rude check in manager refused to even look into sorting things out. Absolutely no attempt at any form of customer service. The rooms overlooked a railway line - not many trains running per night thank goodness but noisy when they did. The rooms actually weren't too bad - new carpets and new large fridges. Tiny bathrooms, however, with showers which went from freezing to scalding in a second. BUT, and it's a massive but, the bedding was dirty. Pillowcases had hairs on them. No apology from housekeeping when I asked for fresh ones. The bathroom sinks also had major cracks in them harbouring dirt - first thing I did was buy antiseptic wipes from the drugstore across the road and scrub those bathrooms. Not best start to a holiday. I can cope with bad views/service but not bad hygiene.The hotel itself is frankly grim and depressing. Didn't see one smiling face the whole 3 days. An elderly couple stormed out after seeing how dirty their room was. Yes it has a pool, yes it's handy for Times Square (is that an asset?!) but the wire fencing round the balcony walkways prompted my daughter to christen it Prison Cell Block H. Especially if this is your first visit to NYC, don't stay here. It will put a black cloud over your whole trip.(One point - don't buy Circle Line tickets from the shop or other outlet. You'll only get vouchers and then have to get in line at the Ferry to swap them for a proper ticket.)	
Aug 9 2007	Never again!	My work arranged a short trip through our social club to travel to New York from 19t April - 23rd April. I was sharing with a male colleague who is a good friend although not my partner. On booking the trip we requested a twin room. On arrival at the hotel we checked in and was given our room key. This is where the nightmare begins! once at the room we noticed we had one double bed. I went down to reception on my way out to dinner to asked for my room to be moved. I was asked if i could &quot;do them a favour&quot; and stay where i was as they were very busy! i did explain i didn't want to sleep with my friend as he was male and not my partner but they didnt seem to work under the rule of &quot;the customer is always right!&quot;. I went out to dinner and on my return i called from my room and insisted i was moved. The receptionist advised me to go and collect another key. When i got to reception i was advised how difficult my behaviour was and that i was making the their lives difficult as i had requested the incorrect room at the time of booking!!!!!!!!!! By this stage i was very tired and became quite upset. I was given another room and thought finally my awful day was over, but on arrival to the new room it seemed one of beds hadn't even had the sheets changed since the last guests used it. The sheets were crumpled and had pubic hair on them (very inviting.....not!) by this time i had just had enough so ended up sharing with my male colleague because the stress of dealing with the reception staff was just too much. My trip in general was fab and i loved New York as much as i always thought i would but the staff at the hotel put a dark cloud over my stay in such an amazing city.	
Aug 7 2007 	It's a good deal	We stayed five nights at the Travel Inn and found it to be a good value. To be sure, it's not luxurious, but our room was fine for three people (two adults and a teenager.) We stayed in a room facing 42nd St, so there was some street noise. You might want to ask for one of the rooms that overlook the pool -- they seemed more peaceful. The location is pretty good -- three long blocks to Times Square and near the incredible collection of restaurants that line 9th Avenue from 42nd Street north for many blocks. Also, there's a nice little deli right next door and a grocery store a block or so away.Parking is free -- such a deal -- in the attached garage, but it's tight. We struggled to jam the car into a space. Of course, we never had to move it again, so that really wasn't a big problem. I'd stay at the Travel Inn again.	
Aug 3 2007 	Wow-Loved it-Why the neg. posts-What do you expect its NEW YORK	We, a family of 4 (2 adults, 2 kids 19yoa and 12yoa) loved this hotel. As I read the reviews I cant figure out what people expect from a budget hotel in New York City. This was wife and mine third time to New York City and kids first. We needed a place that would fit four in two beds, most budget hotels only sleep two and the cost is way high (200/400$ nightly) This is a excellent budget hotel (we paid $150.00), the room was always clean and the maids went the extra mile by replenishing the soap, shampoo and conditioner daily they always spoke to us in the halls. The hotel lobby was always being cleaned, there was always a doorman or security in the lobby no matter what time we came in even if it was the parking garage security. Our 12 yo daughter was always going to get ice and “see who’s at the pool” she even went to the deli, we always felt safe. The pool was clean and an extra-added bonus in New York cause most hotels don’t have them. The location could not be beat, on 42nd st a three block walk right (west) out the front door and you’re at the river, where they have a nice marina, where several “go fast” and “tour boats” operate from, nice restaurants and outdoor concerts. Turn left out the front door (east) and it’s a three-block walk to the bus station/subway. The next block over on 9th ave, a full grocery store. Next door to the hotel is a nice little WINE only store on the other side attached but not owned by the hotel is a Deli/Coffee shop opened for breakfast and lunch, no dinner. The up side is that it’s a safe area the police station is right across the street and its only 4 blocks from Time Square. We took a train in from white plains to Grand Central ten walked the 9 looong blocks to the hotel, I would not suggest this unless your in good shape. Now down side- the front rooms that face 42nd are noisy, the walls are extremely thin all conversations can be heard, there are vents in the bathrooms that lead the bathroom in the room next door, I am not joking I could talk to the people in there just like they were standing next to me. Also there are only three temp settings on the air in the front rooms, high, low and off. We kept ours on high all the time for the “white noise” because of loud, obnoxious neighbors. – A LITTLE SIDE NOTE – travel off the tourist path, we took the subway every where or walked, I suggest that after you see time square once avoid it the rest of your trip. Go to Coney Island and Queens. My son and I walked the whole width of the city to the UN, while the ladies went to the pool. One block from the hotel we spotted a man talking on his cell phone, the voice sounded familiar then we noticed who it was, I tried to sneak a picture when he noticed us. He motioned us over, my first thought was that he was going to be angry and demand the film, but instead he stuck up a conversation with us and ASKED US could he take a picture with us. (Yes that’s Martin Sheen) So be observant, we also saw Robin Williams, Kelly Preston and her daughter making a movie in Central Park. Oh back to the hotel, every hotel has problems; don’t let the negative comments from some posters keep you from trying this hotel. It fit us perfect. The staff went out of their way to make us feel welcome.	
Jul 31 2007	Lots of positives...	We took a chance and chose the Travel Inn based mainly on 2 things: price and free parking. We lucked out as the whole experience was a good one. We were leary of driving in NYC, but getting in and out of this hotel couldn't have been much easier. From the Lincoln Tunnel, it's 2 left turns, 2 blocks and you're there. The parking lot attendant was very helpful in getting our van in to what can only be described as a very tight parking garage. But hey, free parking is free parking, and we weren't planning to do any driving while in town. Check-in was a breeze, the staff was &quot;New York&quot; courteous. Our room was high enough to not hear the traffic below, and the view was of the train tracks snaking under the building (my 3-year old son loves trains and ran to the window every time one passed). You could definitely hear the trains when they passed, but it was no where near what I would call too loud. The hotel's location was fine for us. We had 2 kids and the 10-minute walk to the Times Square area was fine. The Subway is right there, but I should mention that the closest station to The Travel Inn does not sell MetroCards. You will need to walk a little bit closer to Times Square. 2 extra minutes, no big deal. We felt safe walking the streets, even late in to the night. The streets were always fairly active. Our room was clean and well maintained. My wife was concerned when we first entered our room, as there was an open Coke bottle and a used soap in the otherwise clean bathroom. We checked in a bit early and I imagine we got a room that was quickly prepared by the cleaning staff. We never had a problem with the cleanliness of the room for the rest of our 3-night stay. The pool is half indoors and half outdoors. The water was a bit chilly, but the kids didn't mind too much. The pool was clean and towels were provided. The fitness room was tight. The room is rather small, and there's quite few pieces of equipment. However, the equipment worked fine, and the TV was appreciated. We loved the small diner right next to the lobby of the hotel. The food and service was excellent, and we ate there more than once. My only complaint is minor: the WiFi was $6.95 per day and you had to walk back to the lobby and get a new code every day. Codes were not distributed over the phone. These days, charging extra for WiFi is a bit greedy. We stayed at several hotels on this vacation, and most offered free WiFi. They don't charge for TV, why internet? I imagine a couple years down the road everyone will offer it for free. Bottom line: we would most definitely book The Travel Inn again.	
Jul 10 2007 	Great	We had a girls week in NYC. This hotel was picked for us by the price. We talked with many travellers and found out our stay at the Travel Inn was worth the price. It is in a perfect location, walking distance to Time Sqare and Subway. The room was clean and larger than we thought it would be. The staff were great, the 24hour security was awsome and we lucked into a great view. We paid 200.00usd a night to stay and it was perfect. You only sleep in your hotel at NYC for a few hours a night. Save money, stay here and buy more shoes. Overall, we would reccomend the Travel Inn to other people, it was a great hotel and a great price.	
Jul 2 2007 	Would stay here again - price and location	The location of this motor inn is near the theatre district and restaurant row, as well as the ferry lines and quite close to Times Square. We are used to staying in better hotels but wanted a reasonable stay with parking for just a couple of nights mid-week. The Travel Inn was $225 including parking while the better hotels were easily over $400-500 a night. The room was clean and simply decorated. The area seemed safe, next to police station and grocery store.Downsides on the location - cars exiting the police station across the street sometimes had sirens going (not constant but the intermittent start up kind) and perhaps the ugliest view of an old building and construction site you could imagine. The bed was short (6' husband and son had to sleep a little side-ways)and so hard it was like sleeping on stone covered with a mattress cover and sheet. Overall, we'd go back for short vacations where we want to economize on the hotel to splurge on shoppiong, shows and food.	
Jun 11 2007 	great stay at travel inn	we were in new york the first week of june. we stayed here at the travel inn . I picked the hotel because it had parking the garage was great and it had a security guard. the rooms were great it was very clean. the beds were very comfortable. and it is only 3 blocks from times square. we were out till midnight and I felt very safe walking back to the hotel. I would definately recommend this hotel. for the price with parking it can't be beat.	
Jun 9 2007 	Can't beat it for the price	There was something about June 6th that made it impossible to find a room in NYC for under $500. Or how about $700? Or maybe $1,000?? I consider myself fairly adept at finding good room prices, even in NY, but this one pushed me to the limit! I finally decided to book with the Travel Inn, even though it seemed iffy. At $250 plus taxes, it was the best deal out there. The fact that other Trip Advisor members said it was clean helped me decide to give it a try.While it's not your typical mid-town, large lobby NY hotel, it is perfectly serviceable. The Travel Inn is part of a chain of budget-minded hotels in NY called the Empire Group. You can go more or less expensive with them. The room was large and clean, the shower had plenty of hot water and good pressure, and the bath products were actually qutie nice, called Essential Elements, from a company in Australia. We were lucky and got an inside room (off the street, pool view) - my husband said he'd never had a quieter hotel in NY. Free parking (yes, FREE) and a good front desk manager - what more could you ask for?	
Jun 8 2007 	I agree with the poster below	Following on from the review below, we stayed there for 4 nights in February 07. I agree with a number of the posters comments. What struck me to write though was the taxi back to JFK. The same thing happened to us. Except we got stung for $70. I really dont know what is going on between the reception staff and the cab company. But it left a bitter taste to a fantastic holiday. We are returning in Feb 08, but not to the Travel Inn.	
Jun 6 2007 	Mixed feelings	My two teenage daughters and I stayed here for 4 nights in May 2007 and I was a bit disappointed. Firstly the good things. The location is good. It is about 2/3 mile west of Times Square (just past 10th Avenue) and half that distance east of the Hudson River. Once we took the 42 bus, which stops just outside the door, to 5th Avenue but usually we had breakfast at the Theatre Row Diner (about 2 mins walk east) and then walked to and from Times Square. Even at about 11pm we felt safe as there are lots of people around – and there is a police station opposite. Sometimes we took a cab, which cost about $8, including tip. The shower &amp; bath had plenty of hot water and the maid did a good job keeping most of the room clean. There were massive cobwebs on the ceiling for our whole stay! There was also a large fridge and microwave. I would have preferred a room safe. We had to use a deposit box in reception that was so narrow I could just get my spare wallet in – although it was very long. It was inconvenient to keep disturbing the staff to access it. It seems that New York hotels are expensive, so the price we paid was probably good.Our first problem was with some of the staff. The elderly Asian men were uncommunicative at best and rude and aggressive at worst. Our bedside light didn’t work and we asked for it to be repaired when we left at 8 am. When it still didn’t work at 10.30 pm (and we were really tired) I asked again and the receptionists was really aggressive. It only needed a new bulb – I could have done that myself. Also when we booked out we said we were taking a yellow cab to JFK at a flat rate of $45. He told us that the return trip was metered and at 4pm rushhour this would be very expensive. He persuaded us to use one of his cabs at a fixed rate of $60, which we did. The cab driver then demanded $65 when we got in (that was his tip gone!). While it is true that a metered fare would have been costly (it took over 80 minutes to do 15 miles) I have now found out that there is a fixed $45 fare to JFK from Manhattan. I do not like being lied to!My second problem was the room itself. See the photos. I had emailed ahead asking for 3 single beds and a quiet room away from the road and lifts. All I got was a curt acknowledgment of my booking number and arrival date. We got two double beds (which annoyed my daughters a bit!) in a 3rd floor room away from 42nd street. The problem was that the swimming pool is on this floor – directly outside our window. There were chairs immediately next to our window. There were no net curtains so we had to close the curtains every time we wanted to get changed. Also there are no heating controls in the room. There was a large old air-conditioning unit, with the cover partly pulled off. This pumped out lots of cold air 24 hours a day. Since the minimum temperature was 62 degrees and the maximum in the 90s this wasn’t too much of a problem, although we had to wear extra clothes in bed and it sounded like a gale at night. We couldn’t leave the windows open because of the pool outside. Also, the door was stuck up with builders Duck tape! The receptionist said that all we could do is turn the fan down. On the last night we found a panel opened (presumably by the maid) with a fan control in it, but no temperature control.We only slept and washed in the room so this wasn’t too much of a problem but if the staff had been more helpful we would have asked for a room at the back on the 4-7 floors. I would be worried what the temperatures were like during the winter, although no-one seems to have complained. This hotel is part of the Empire Hotel Group, which owns Lucerne, Belvedere, Newton, Carnegie, Riverside and Americana Inn. Summary – good location and price. Clean sheets. Staff need Customer Service training. Ask for a room at the back on 5-7 floors if you are spending any time in your room.	
May 27 2007 	Nice	We sayed here for 4 nights in May 2007. The hotel is located 5 minutes walk to the bus station where the buses to Newark Airport leave and arrive at, 5 minutes walk to the subway, 5 minute walk to the pier to catch a ferry and a 10 minute walk to Times Square The font desk staff were fine and helpfull. The room was large, clean and out dated. The beds seemed small maybe only doubles. The pool had no water in it but it was far too cold to swim. We paid about US $300 a night so I don't think it was that cheap, but I am sure I could have got it cheaper on the net instead of my travel agent. The location was great and I would stay here again if the price was right.	
May 5 2007 	Great Hotel. Great Price	I stayed at this hotel with friends for 5 nights in December 2006. The room was spacious and clean. We were fortunate to have a room overlooking the pool, these rooms are quiet and removed from the sounds of 42nd street. The hotel is in a wonderful location less then 10 minutes walk away from Times Square, and 5 minutes from the nearest subway station (take a subway map as routes are poorly marked).We had breakfast at the Diner next door to the hotel, and as I was on holiday I was able to order the banana pancakes without the usual guilt. We also enjoyed some meals at the Theatre Row Diner conveniently located close to the hotel (across the road and left). For a drink head to the Lansdowne Road (from the hotel - left down 10th Avenue between 43rd and 44th Streets), a friendly pub, with fabulous staff, only minutes from the hotel.Enjoy your trip to New York. Though I think it will be difficult not to.	
May 2 2007	Good location...Overpriced like all NYC hotels	I think that the location is great...about 3 LONG blocks to Times Square...no business center if you need to use internet for more than 5 minutes. there's a bus that stops right in front on 42nd and on 10th....that was great.Rooms were decent...2 beds, fridge, table, tv, small, but decent bathroom, but what ruined it was the last night when I saw a huge roach go from behind the fridge to tv area! That clinched it....So, provided that they do some major extermination this year, i recommend staying here.	
May 2 2007 	Fantastic for the Price	Our family of four drove up to NYC from Florida in Summer of 2005. We chose this hotel due to reviews like the one I am writing now. NYC can be a very expensive trip but Travel Inn made it far more affordable than we could have expected. The FREE PARKING is definately a major plus for this hotel. We pulled into Manhatten at 10 pm, the garage door was open and there was a parking spot right there in front by the side entrance door. We parked and never drove again using the city transportation and walking the whole trip. Our vehicle was right there and we were able to see it every day as we went in and out. The staff was very nice and the room was clean and basic. Nothing special, but we only slept in it and as long as it was clean and roomy enough, it met our needs. The location was very convenient and within walking distance to Times Square and the Hudson where we took one of the night time cruises (just BEAUTIFUL). When we go back to NYC Travel Inn will be home away from home.	
Apr 25 2007	Great	Just stayed there for the second time April 21-24 2007 and it was a good experience again.It has free parking and easy access from tjhe Lincoln Tunnel and is about 4 blocks from Times Square.It is also close to Hells Kitchen and some really coollocal haunts which is great when youre tired of the tourist traps	
Apr 25 2007	Great Base Hotel near the Action of Times Sq.	My boyfriend and I stayed at this hotel for 3 nights in December last year. This was our 1st trip to NYC and we loved it.The hotel was nice and clean and the beds made for us every day. The reception staff had reasonable local knowledge and we ate at the Theatre Row Diner every morning for Breakfast which is just across the road. My boyfriend and I walked almost everywhere from this hotel, it took us about 10 minutes to get to the heart of times sqaure, 15 minutes to get to the Minskoff Theatre (where the Lion King was showing), 30 minutes to 5th Avenue and 25 minutes to Macy's. (we do walk quite fast however!).We also ate at a little Chinese take away which is down the side of the hotel and serves good food at reasonable prices. Also there is a great CVS Pharmacy right across the road that seemed to be open at all hours and has everything from drink, food, make-up, magaznes and medical supplies.I would definately stay in this hotel again.	
Apr 9 2007 	Visit to NY	We have just returned from 6 days at The Holiday Inn New York.Like others we wanted a reasonable hotel near Time Square - this was ideal. The people were agreeable but not intrusive. We had a double double room for 3 people - this was plenty big enough. We were disappointed that there was no drink making facility in the rooom but soon learned to get them from the diner joined to the hotel. Time Square is only a matter of minutes away and the short walk feels totally safe at night. The walk is ideal after a meal.Our stay was really good all round - apart from a long wait at the Empire State Building. Go very early even if you have bought tickets online etc.The main feature of the Travel Inn is its great value - which releases more money for shops and sights etc	
