	Great location 	This is a great hotel for location and transport links. The rooms are very large for New York, clean, with large clean bathroom. There is use of an ironing board and a free safe in the room - would definitely return here when next in NYC.	
Jun 26 2008 	Super Hotel	We stayed here January 2008 this hotel is excellent though bad breakfast and very little eating space.It is situated in the wholesale area which means there is a lot of streetsellers in the morning and the evening, but they do no harm. Some of wholesales nearby you can buy cheap stuff from.The Room are nice with a toilet and bathtub in every room. Icemachine on 7th as I remember.--Rasmus	
Jun 22 2008 	Loved the Broadway	Just returned from NYC and a 4 night stay @ Broadway Plaza and it was terrific!! Better than expected. We booked our reservations via Travelocity and then read reviews on the TripAdvisor; so we had mixed feelings, but were expecting the best. Anyone with reservations about whether or not they should stay at this hotel; put them aside, you will not be disappointed. Myself and 3 friends were very pleased with the room size and arrangement. The room was very spacious and beds had pillow-top mattresses that slept like a dream. Most hotels in NYC will not allow 4 adults in the same room without additional charges, but the Broadway did not charge anything extra for the 3rd &amp; 4th persons in the room. The bathroom was very nice and very large. We didn't have a view like some folks have, but we were planning to see everything on our own and not from the hotel window anyway!! The hotel staff was great in helping us with directions, suggestions, and any requests that we had. The hotel was very clean and especially quiet. If I had to change one thing about the hotel, it would be it's physical location. It was actually in a central location near the subway, but the 'garment district' is not the cleanest area of town to be in. We felt it was a small sacrifice for all the other wonderful amenities we received and I would not hesitate to stay there again.	
Jun 20 2008 	A great value hotel: we liked it so much we went back!	We visited in May 2008 and February 2007, both times we had a thoroughly enjoyable trip, made better by the friendly staff at our hotel.The Broadway Plaza is located conveniently on 27th Street an Broadway. It is an ideal location: Herald Square (including Macy's and the Empire State Building are just 6 or 7 blocks away ~ roughly a 10 minute walk), there are subway stations within a couple of blocks, and buses to both downtown and mistown are wirhin easy reach. Some people have mentioned the area it which the hotel is situated is not particularly great, but as three young(ish!) girls, we did not encounter any problems on either of our trips, even late at night.The hotel itself is clean, tidy and confortable. It is not the most luxurious hotel I have ever stayed in but, to be honest, if you're in NY you will not want to be in your hotel room for very long! Nevertheless, it is nicely decorated and perfectly adequate for a shopping or sightseeing trip. The bathroom is also spotless and room service good. The only slight complaint I would have is that the TV only had a couple of channels which were properly tuned in... but, as I said before, you will not have time for much watching TV in NY!!The view is fantastic of you manage to get one of the rooms facing the Empire State building (we actually requested this when booking online). The rooms on higher floors have the best view but these are the smaller rooms. The first time we went we were upgraded to a Junior Suite - this was HUGE and had a seating area, etc. The second time we had a superior room , which was very nice, just smaller, but as I said, the view was better.The breakfast is good, a range of bagels, cereals, donuts etc but we most;y went out for breakfast... try Greenwich Village for a lovely al fresco meal!! This is only about 25 minute walk from the hotel.With regards to eating out, good restaurants are fairly sparse in the immediate area but you will probably want to explore a bit any way... my personal favourites are Little Italy, South Street Seaport and the Boathouse in Central Park. However, we did find a couple of lovely restaurants nearby: Blue Smoke (on 27th near Lexington, this does barbecue type food and has a jazz bar downstairs... great atmosphere) and Ilili (on 5th between 27th and 28th Street, this is the best Lebanese restaurant I have visited!)I would not think twice about where to stay in my next visit to NYC. The staff are great and will do all they can to make your visit a pleasant one. They are happy to hail cabs, book transfers to the airport... they even arranged for my boyfriend to send us a bottle of champagne when we were there for Valentine's Day!!	
Jun 19 2008 	Shady area	I read reviews and they were mixed, but I didn't think this place would be this bad. Area NOT safe....Rooms smelly ...I do not recommend.I am a single prof. female and I felt very unsafe here.	
Jun 6 2008 	Reasonably priced hotel	A very nice hotel situated on Broadway, the room was quite nice and very spacious for New York standards, however it maybe could do with a bit of refurbishment. The only negative part of the hotel is the ridiculous breakfast routine - there is one tiny room for the whole of the hotel and about 2 (four seater) tables, which is ridiculous for a hotel this size - and we dreaded getting up in the morning to have to trek down to the breakfast room - but eventually we got used to it and made a bit of a laugh and a joke about it.The hotel staff were very friendly and helpful - especially the concierge who will tell you how to get to places in new york via the subway or will call a private cab for you.The hotel is situated in the wholesale district of new york - where there are many cheap shops and the area is fine in the day - but at night everywhere is closed - there are very little restaurants and bars in the proximity and it is very lonely at night - but more nightlife is not a long way away if you know where to go.Overall however - our stay was very enjoyable and we would reccomend the hotel to anyone looking for a reasonable priced hotel in Manhattan.	
Jun 1 2008	Worst Hotel ever.	This hotel was one of the worst I have ever stayed in. The room we got was supposed to be non smoking but when we walked in the room smelt of old cigarettes. The floor had stains on it the air conditioner didn't work, We asked for 2 beds they only gave us 1. When we first arrived we pulled in front of the building walked inside and the person handling the everything up front asked us where we parked and we said out front the guy looked outside and said &quot;No you aren't&quot; My sister told him to go outside and look and she said &quot;There it is, hows that not our front&quot; He didnt say anything, He gave us a piece of paper and said &quot;park your car in this garage&quot; My sister said that she called the Hotel and they said they would take the car to the garage free of charge. That was a lie. So we took the car to the garage and WALKED back to the hotel. The people at the desk were rude and not caring. We tried to go to a different hotel but it was too late. We were stuck there. It felt like you stepped into the Ghetto, People taking things out of trash cans, people half dressed standing next to the hotel, People smoking pot and dealing. The next morning we left the hotel to do shopping and there was throw up next to the door. The door holder said some woman had to much to drink and threw up on the street. THEY DIDN'T CLEAN IT UP. The food that was put out was all hard, the orange juice was warm and they didn't have that much. Just one pitcher. Once it was gone it wasn't filled back up. A very big disappointment. I wouldn't even give this Hotel 1 star.	
May 28 2008 	Pleasantly surprised	We stayed in the Broadway Plaza Hotel for a girly shopping trip from 18th to 22nd may 2008. There were 3 of us in a room with two large beds, the room was huge and had a safe which was great. The beds are so comfortable, i wanted to take mine home!!! The room was very clean and tended to every day and staff were really friendly.On first impressions we were'nt overly impressed with the area, having read the reviews though we were'nt surprised. When you come out of the hotel there are a few people hanging around trying to sell fake handbags and perfumes, shops in the immediate area are a bit cheap and tacky too. We were'nt spending time around here so it didnt really bother us all that much. The breakfast was ok, reminded me of being in a hostel but there was good coffee and nice bagels and fruit so we just grabbed and went. Overall i would say stay here if you want a good base to be in the centre of things but dont expect anything fancy, I'd stayed in the pennsylvania before and it's about the same standard as that.	
May 28 2008 	Excellent Location with friendly staff	We booked a 6 night trip choosing this hotel from the reviews on Trip Advisor and were not disappointed.Whilst the hotel is nothing special to look at it is an average clean 3 star hotel.The complimentary continental breakfast each morning is a bonus. Tea and coffee is available 24 hours in the breakfast room which is on the small side.The advantage of this hotel is it's location and the fantastic staff they employ who could not have been more helpful or accommodating. Location wise the hotel is a short walk from the Empire State Building, Macey's, the Flatiron building and sight seeing bus pick up point.The rooms are well maintained and cleaned well each day. The beds are also very soft after a long day sight seeing.Overall a great stay.	
May 13 2008 	Loved the Broadway Plaza!	We chose the Broadway Plaza after carefully reading the reviews of many New York Hotels, and were pleasantly surprised.The hotel has been remodeled recently enough to look fresh and clean, but did not have the new carpet and paint smell, important to me because I have allergies and chemical sensitivities. There was no perfumed smell in the room, and it really was a non-smoking room that had not been smoked in. The amenities were too highly perfumed for me to use, but I always travel with my own.The free continental breakfast was a nice surprise--good coffee, large bagels and pastries, and fruit. Some of the reviews had reservation about the neighborhood, but I didn't feel worried about it. During the day I was comfortable walking around alone, and at night, I took a cab. Fifth and 6th avenues are a block in either direction, and are very clean, safe streets. The hotel is in the garment district, but that's a plus for me, because I was buying beads. I found about 10 stores within as many blocks.The room was spacious--larger than any room I've had in New York City, even in more expensive hotels. I'll definitely made this my New York City home in the future.	
May 6 2008 	A hidden Gem Of A Place	Having read some of the reviews of this hotel we arrived with some uncertainty about the hotel. The immediate area is, admittedly, not the best to be found in New York. But it proved to be fine; some somewhat tacky shops and occasional street traders, but neverthelessa an interesting area and felt totally safe. Our interactions with the local street inhabitants were all very friendly and extremely courteous. It also felt very safe at night.The hotel itself has a very narrow entrance with the reception desk some way down a corridor. The receptionists, concierge and doormen were all very obliging and helpful. The public areas and our rooms were exceedingly clean, tidy and well decorated. The bedrooms were also of a very good size, much bigger than we have had on previous visits to NY. We had asked for views of the Empire State Building and were given two adjoining rooms on the 11th floor, both with a view of the ESB.We didn't use the breakfast facilities but did use the 24hr coffee services to take back to our rooms. There are lot as of delis and other places to eat in the area.We really enjoyed our stay at the hotel, and will certantly use it again when we are next back in New York	
Apr 27 2008 	Great Hotel	We've just got back from a one week stay at the Broadway Plaza and we loved it! The location is perfect for anyone visiting New York, its pretty central, you're about a two minute walk from the flatiron building and five minutes from the Empire State Building which you could see from our room.The main complaint made by other people about this hotel seems to be the area and we left feeling a little nervous about it. It's true it's not in the greatest of areas but its no different from lots of other streets in Manhatten unless you're paying to stay in a top of the range hotel. There are some 'cheap' shops and some street sellers around the hotel but neither of these things bothered us at all. We walked back to the hotel quite happily at night, its quiet but we felt perfectly safe.The breakfast room is fairly small but the free breakfast is great before you start the day. There was fresh pastries, bagels and fruit every morning and tea and coffee all day and night. Most people seemed to just grab something in a morning and took it back to their room and this worked fine.There are also vending machines on the 7th floor for other drinks and snacks. There's also an ice machine there too.The rooms are great too, fairly large and the beds are really comfortable. The rooms were cleaned daily and all the cleaning staff were helpful and friendly.All the staff at the hotel were lovely. The concierge and doormen are there 24 hours and are really friendly and can book lots of trips for you. They can also arrange a car service back to the airport for you which is really helpful. It was $60 to JFK (not including toll and tax) in a black lincoln which isn't a great deal more than a yellow taxi but is a whole lot more comfortable and less hair raising!Overall we had an amazing time in New York and the Broadway Plaza made an ideal base. We wouldn't hesitate to recommend this hotel to people.	
Apr 15 2008 	Great Hotel	Hotel was really clean and everyone at the hotel was really friendly. Hotel location could put some people off as there are a lot of cheap shops around and people hanging around outside them during the day. I took a previous travellers advice and cut over to 5th Avenue when heading uptown or downtown. The breakfast wasn't up to much so we usually had it elsewhere. There's a great cafe called Naturally Tasty on 27th and 5th Avenue that we used for breakfast a lot. Had a great view of the Empire State Building from our room. Would definitely use this hotel again.	
Apr 15 2008 	Turmoil at the Broadway Plaza	One of the worst stays at any hotel, EVER. Upon arriving at our room, found it to be tiny, cramped, and carpet was dirty. So dirty, in fact, that I stepped on a needle. Needless to say, stress ensued. I called the front desk to inform them of this, and all they offered was a bottle of hydrogen peroxide and some bandaids. Front doorman brings up it, and says I should bring it back down after I'm done with it. Didn't offer any consolations of any sort, didn't offer to log it in the security books, ...nothing! Tetanus shot to follow, not excluding stressing about the possibility of contracting anything else. After calming down from all this, tried to get some shut eye. It might have been the elevator, but alllllll throughout the night there was a constant, LOUD noise that sounded like the elevator motor running and stopping and clanging, running and stopping and clanging. Didn't get a wink of sleep.DO NOT STAY HERE. If you do, wear your shoes inside the rooms and bring earplugs!	
Mar 31 2008 	Great hotel	Great Hotel in all. Area looked a little seedy but really it was totally fine, looks can be deceiptive. Staff extremly freindly and very helpful. Breakfast included , well really coffee and pastry but nice to start the day. Rooms great size and very clean. Maids did a wonderful job everyday of replacing towels, there were 4 in our room, and always a bath towel and hand towel each.Some rooms had view of Empire State but unfortunately ours didnt.Make sure you visit Ellen's Stardust Diner on Broadway and 51st!	
Mar 16 2008	Decent Room - But you have to be careful	Rooms are clean, small and oddly shaped. You will get stuck next to an elevator shaft if you do not tell then you want quiet. The elevator doors are very close to and face one room per floor. You do not want to be that person! Ding!I think room service is non-existent. The hotel is centrally located but its immediate area is a bit low-end.It is good value but go in pre-warned and push at the front desk!	
Mar 12 2008 	Had a great stay!	I had some fears about staying here, due to some of the poor reviews this hotel had on here but I was actually pleasantly surprised! I think some of the reviewers have never actually stayed in a hotel in NYC, because in comparison to other hotels in NYC, this room was fairly spacious, the breakfast was great (as was having coffee and tea available 24 hours), and the location was very convenient. The subway is only a block from the hotel and it was very easy to get around town. The &quot;locals&quot; who hung around outside were harmless-never approached us...and were only there during the day. The beds were VERY comfortable here, lots of extra pillows and the staff was extremely helpful without being overbearing. Yes, the breakfast area is small, but we were able to sit down at a table every morning. My only complaint had nothing to do with the hotel but with the VERY loud people who stayed in the room across the hall from us the first 2 nights and slammed the door 5 times around 2 am. When I go back to NYC, I'd stay here again! No it's not a ritzy hotel but I'd rather spend money on Broadway tickets than a stay in an overpriced hotel that doesn't offer breakfast.	
Mar 6 2008 	Basic central slightly dodgy area	I stayed in the Broadway Plaza for 3 nights from 2 February 2008. I can honestly say that as we neared the hotel in our taxi, having come from Newark Airport via the Holland Tunnel (I think), the area did not give a good impression at all. The hotel is actually above some shady tat shops and a very grotty pizza restaurant, surrounded by intimidating &quot;hoodie&quot; or &quot;homeboy&quot; type gangs which is sad because this is an okay hotel.We were greeted courteously and shown to our rooms, which were reasonably clean and comfortable. There were a few suspect stains on the carpet and iron burns. The bed was comfortable and the linen was clean. The bathroom was rather dated with a 1970's pvc type cubicle within the bath instead of tiling. Again it was clean and the towels fresh. Another reviewer has mentioned the 1970's polystyrene type tiles on the ceiling and neon strip lighting, this is a bit of a naff element and simply changing this would probably brighten and modernise the room. The view was okay, better than some New York hotels as you can see the Empire State from the front (and probably the side) of the building. The room size is also above average I would say and all in all this hotel is...just okay really. I have no complaints about the staff, they were all reasonably pleasant. The breakfast facilities weren't great as the room is rather small and you have to wait ages for the elevator, balancing your breakfast while you wait. There is a microwave and coffee, tea and orange juice available 24 hours.The location is great, it's central and close to the subway station, if you cross the road straight ahead from the hotel and walk down 27th street you will get on to 5th ave, another member's advice was to cross here to walk up town rather than walking up Broadway as the unsavoury characters do congregate along this stretch of road. A Metro card is well worth your while (I can't remember how much it was but well worth the $ whatever it was). All in all I enjoyed my stay in the Broadway Plaza as the location is great, breakfast is included and the rooms okay but the actual locality is not the best and a real turn off for me. It's not the worst but not the best either, if you don't mind hangin' out in da hood then you'll be fine!	
Feb 18 2008 	O.K but....	Hi all..We stayed at the Broadway Plaza for 3 nights having booked direct with the hotel. I can't compare it with anything else in New York as I've never stayed there before but I'll tell you what I think.The hotel is situated on the corner of Broadway and west 27th street so its actually only about a ten minute walk from Penn. station if you're coming in from Newark on the train as we did. The streets around the hotel are not the smartest as this hotel is in the garment district but we had absolutely no problems. If you're at all nervous then our tip would be to walk a block across to Fith Avenue instead of walking up Broadway, its nicer, This section of Broadway has a few groups of hooded locals hanging around during the day but its fine at night and as I said they were no problem at all but I can imagine some people would be a bit nervous.The hotel itself is fine, I paid about £130 a night for a double with breakfast included. I think this is maybe a fair price for New York. Our room was on the 10th floor with a great view of E.S.B. The air con. system in our room made a loud whining noise a couple of times even though we weren't using it. Pretty poor really when you're tired and it starts at 4 a.m. I called down to reception and they told me it happens a lot and to turn the air con on and off so they obviously know there's a problem.. The room itself was clean and comfortable and the bathroom etc was fine so no problems at all other than the aircon and the staff were friendly and helpful.Breakfast is machine coffee and orange juice and a selection of pastries and muffins which is ok for a quick start to the day but for anything more cross the street to the &quot;Naturally tasty&quot; diner which has more traditional eggs and stuff.. There's no restaurant and the breakfast room is about 4 little tables so don't expect lavish surroundings. There is a room service menu with reasonably priced food being delivered from a local cafe/ restaurant but we didn't use it so can't comment. We didn't use the T.V really so don't know about channels etc but there were pay per view channels etc. It was $9.95 a day for wireless broadband in your room if you have a laptop. About a block or 2 over there is internet access in cafe 28 if you need to check in on line etc for your return trip. The hotel is just round the corner from the Flat Iron building and 28th street subway is just round the corner. There's a good restaurant called Bluesmoke about 5 minutes away and 34th street for Macys etc and E.S.B are an easy walk. Feel free to get in touch if you have any questions..	
Jan 25 2008 	Room with a View	We were a party of 6 staying for 3 nights. We had 2 rooms, 8th and 12th floor. We both had wonderful views of the Empire State. The staff were extremely helpful and the breakfast room more than adequate. Being a small hotel the coffee/tea on the 4th floor 24/7 was most useful.We arrived in the dark and we were concerned with our immediate impressions of the Hotel. Not a very large entrance hall but once inside it was very pleasant.We found it to be quite central to the things that we wanted to do. We used the subway everyday - purchased the $7 ticket per day - and made endless trips. The subway is a stones throw away from the hotel.The rooms were quite spacious, the beds very comfortable, ample pillows - something I usually have to ask for. The bathroom was certainly big enough, with plenty of towels. Great having a room safe, I always like that.By day you could feel a little wary as there are many 'cheap' stores in the vicinity. Lots of youths standing around also trying to sell a variety of items, handbags, trainers etc. But we just ignored them and made our way to the subway and never felt unsafe on that.	
Jan 19 2008 	great view	i have just returned home after spending six nights at the broadway plaza nyc and would thoroughly recommend this hotel to anyone thinking of visiting this great city.the hotel is clean the staff extremely helpful and the views of the empire state building are superb.there is also a decent complimentary breakfast which is a rarity in this city.i will certainly stay here again on my next trip.this hotel is a bargain for new york.	
Jan 16 2008 	Ughh.	I recognize that the Broadway Plaza is a budget hotel--is $170 to $240 per night budget?--but you can get much better accommodations for the same price at the Pod Hotel and others in mid- and uptown.We stayed for four nights in two different rooms. In the second one, a junior suite, a switch outlet was coming out of the wall, the couch was so filthy that I wouldn't sit on it (dirt, dog hairs), and generally shabby conditions. Both rooms have added a unique (to me) innovation: office-style overhead fluorescent lighting. What a concept. There were, to be fair, desk lamps but there should have been better overheads. I agree with the another reviewer that the food and coffee were pretty bad.Oh, and they debit your credit card $100 in case of damages, which they promise to return in 5 to 7 business days, another grand innovation.We also had a problem with the management. My wife was traveling on business and the room was paid for the first two days. She had called two days before we arrived to add more time and was given the only room available, the junior suite. But, when we saw the first room, we decided to cancel the second two nights. The manager refused, saying that we were canceling three hours too late (45 hours instead of 48). He argued (!) with us about the quality of the rooms, as if our opinions as paying customers didn't count. Finally Scott agreed to try to &quot;sell&quot; the room if he could get another sucker. He almost certainly lied when he said he had just turned away a regular customer who wanted our junior suite. And he said that there was a &quot;99% chance&quot; that he would sell the room, since it was becoming available on a Friday and the hotel being so popular and all. Of course, it didn't sell, no surprise there.I would have given the place two stars, but the manager's attitude and the $100 deposit dropped it to one star. Stay away from this place.&quot;	
Dec 28 2007	USD$400+ for nothing!	After a schedule change we cancelled our booking at the Broadway plaza hotel within the 2 day limit. Unfortunately the website we used was based in Europe and the Timezone worked against us (a big watch out for travellers). So Broadway Plaza walked away with over $400USD of our money... for nothing They refused to provide a refund, they refused to negotiate or even refund part of the amount. With a &quot;...we see the problem but too bad&quot; The hotel blamed the web provider and vica versa.....and guess who lost....the consumer! Rude, off hand and almost aggressive in their responses - we were left with a very bad taste in our mouths and were glad in the end we didn't stay there because who knows what the service would have been like face to face. All we can do is warn other travellers so the same thing doesn't happen to you!	
Dec 27 2007	Great Option for NYC	We were looking for a &quot;not too expensive&quot; option for a three-girl trip to NYC in October, 2007 and the Broadway Plaza fit the bill! It was not in a fancy part of the city, but VERY accessible by subway and taxi to all the big attractions. While the street scene was very plain, once we walked inside we found a clean, well-run hotel with large rooms, comfortable beds, and friendly service. Don't count on a great continental breakfast though --- it is rather meager at best. But you can't beat the price and convenience. I'll definitely book there again!	
Dec 19 2007 	Nothing Outstanding But More than Adequate	I chose this hotel based on its proximity to my meeting at 21st St. and Broadway. The outside doesn't look too impressive and the lobby doesn't do that much to change one's initial impression, but I found the room to be clean, the desk staff, housekeeping staff, and doormen to be very helpful and efficient, the continental breakfast of bagels, donuts, pastries, apples, oranges, juice, coffee, etc., to be adequate for my needs, and the bed reasonably comfortable. Unlike the pictures on the website, my room had a marble tile floor rather than carpet. The room reminded me of Comfort Inn-type rooms. Nothing over the top, but nothing to find fault with. For $179 a night (booked on the hotel website), I'd stay here again, but the next time I'm in NYC, if any hotel in the Affinia chain (affinia.com) is available for not much more than this one, and is in as convenient a location for my needs, I would choose the Affinia hotel over this one in a heartbeat.	
Dec 17 2007 	Not what we expected...	I visit NYC on a regular basis so I am used to the small rooms and overly priced hotels but this was just ridiculous. We paid an arm and a leg for this room so we were at least expecting something semi- decent. First thing, the lobby was tiny and the staff was money hungry for tips. We carried our two bags in and they had a problem with that. Next we get up to the room (non smoking) and there was a stench of smoke in the halls. A huge red stain was on the carpet and other dirty spots all over. The bathroom was tiny and the water pressure was weak. The ONLY positive about this room was the free internet. The hotel is 9.95 per day but we just worked off an unsecured wireless network in the area. Overall: thumbs down.Do your research and find something better. I have stayed in MUCH nicer hotels for a much lower price.	
Dec 17 2007 	Great value	Stayed at the Broadway Plaza in October 2007 . Read reviews about hotel location so was a little worried but there was no need to be , sure it is in a retail area but we were never bothered and never felt unsafe . It was only a ten minute walk to the Empire State Building and 25 minutes to Times Square . The rooms were large and spotlessly clean as was the rest of the hotel . The free tea and coffee was a bonus as were the GIANT pastries for breakfast which were also complimentary . The reception and concierge were very helpful and friendly unlike most New Yorkers . We paid £650 GB Pounds for four nights which was half the price of bigger chain hotels which have smaller rooms and no breakfast . When we return to New York we would definately stay at the Broadway Plaza .	
Oct 11 2007 	Disappointed	I booked this hotel in March after reading reviews on another network - but I was extremely disappointed. We booked mainly for the inclusive breakfast and the high standard of cleanliness. However on both points we were very disappointed.The room - despite having paid extra for a 'superior' was very small and very dark, needing the light on even first thing in the morning; and although we had a great view of the Empire State Building there were no chairs or tables to sit at if we brought our breakfast back - which we had to do as the breakfast room was always full and extremely hot! On the subject of breakfast - forget the hotel and walk across town rather than uptown, where there are some superb and very cheap cafes - forget the one next door to the hotel - it was FILTHY.We stayed for 4 nights in this hotel and on check out could write our names in the dust on thr bedside table. Also, toothpaste spilt on the sink on the first night of our stay was still there when we checked out. (We deliberately didn't clean it up just to check how long it remained there.) On the first day we reported that the bath plug didn't work, it took 2 days before it was fixed.Another gripe - considering we arrived in the middle of a heatwave - each evening when we returned from dinner, someone had been into the room and turned the air conditioning off. Not a major point - but very annoying. (Especially as that person had used the loo whilst in the room.)Good points were definitely the door staff - Anthony and Angel were great. I've been to NYC before, but they gave loads of advice where to go and how to get there. Recommend using the subway with a Metro card (if you go the wrong way - it costs nothing to go the right way.) Also, try Houston's Restaurant (27th and 5th Ave) 3 blocks walk from the hotel - AMAZING!	
Sep 27 2007 	a home away from home	just had a wonderful week in new york with three friends and would go back to the broadway plaza hotel in a heartbeat. originally I read all the reviews on trip advisor and then confirmed with a travel agent that the hotel looked nice and seemed like a good choice from an economical point of view. it is situated in the wholesale part of town but even walking home in the evening we felt very safe. we walked home from times square several nights and it was fine.there is also some good bargains to be found in the area. the staff are so friendly and our room was a huge junior suit giving the four of us space. we had two queen beds and a pull out couch. with the couch was a sitting area and a fridge. then by the other end of the room was a small sitting area with a table and two chairs by the window- bonus was the view of the empire state building. the room was great and Richard the concierge was so helpful not only in recommending tours and restaurants but also in hailing down taxis and giving us directions for anywhere we wanted to go. great place which I look forward to retuning to. Sherwood Park Alberta Canada	
Sep 22 2007 	great place and excellent location	I have jus arrived home from New York and a four night sat at the Braodway Plaza hotel. The hotel is in a great location, one block from Fifth Avenue and a ten minute walk to all the shops, Times Square and the Empire State Building. When we arrived the hotel staff were very friendly and could not have been more helpful and welcoming throughout our stay. The rooms were very clean and spacious, 4 of us shared a two bed superior room and it never felt cramped. The bathroom was a decent size too with fresh towels and maid service daily. The hotel provide continental breakfast which was nice but fairly basic! the bagels and doughnuts were very nice, there was also fresh fruit and tea and coffee. My three friends and I really loved new york and our stay at the Broadway Plaza, i would definitely stay there again on my next visit to New York and would recommend it to anyone for location, cleanliness of room and the pleasant and friendly staff.	
Sep 1 2007 	Great Hotel	We stayed in this hotel for a 1 week and all we could say is to recommend this place. All the staff of the Broadway Plaza Hotel are very kind and helpful and the hotel offers a good quality of services. You can ask them anything you want they will help you as best as they can. The rooms were lovely, calm and comfortable with a fantastic view on the Empire State Building. Rooms are equipped with air conditionning, huge TV ,very comfortable beds and bathroom comes with a tube &amp; hair dryer, as well as an iron table. The hotel is in a great location within walking distance from the main attractions (Times Square, Empire State Building, Madison Sq., Greenwich village...). The subway is located near the hotel or you can easily catch a taxi. This hotel is a very good value for money. We had a fantastic time and would recommend this hotel to anyone who wish to visit NY.	
Aug 22 2007 	We will be back !!!!	We just returned from staying at the Broadway Plaza hotel. Don't be fooled by it's small enterance and reception area. The flat iron area is not seedy as stated on some websites, we were returning to our room around midnight both nights and had no problems at all. Felt safe at all times. The rooms are spotless, very roomy and beautiful. We were on the 10th floor and had a amazing view of the Empire State building. Beds were comfy and the bathroom was very large. The free breakfast was great. Yummy bagels, donuts and pastries. 24 hour coffee service is a plus. Staff was very friendly and helpfull. We will not hesitate to book our stay there again.	
Aug 16 2007 	Great bargain rate hotel!	Broadway Plaza Hotel is a very nice and clean hotel targeted to value-conscious travelers - I highly recommend it! The rooms are spacious and comfortable but the neighborhhod is a bit dodgy. Don't worry about the location - it is very convenient and you will not be bothered by the local street vendors. For the $$$, this hotel cannot be beat. I will definitely return to this hotel in the future.	
Aug 15 2007 	100% Recommended	Excellent hotel located at the heart of NYC. Staff were very friendly! Rooms very cleans! Facilities were the same! Recommended for every kind of people/traveler!	
Aug 14 2007 	Very nice hotel in NY	Just returned yesterday from a 4 day stay at the Broadway Plaza. We stayed in the large 2 bedroom suite. The room and bathroom was very spacious and very clean. There was more then enough room for the 4 adults and 1 child staying in the room. The continental breakfast was very good, the hotel lobby and personnel were exceptional. The hotel is located in the warehouse district were during the day there are a lot of seedy people hanging around. By 6 pm they are all gone. We felt a little uncomfortable a few time with the locals that hung around the area during the day, but not enough to discourage us to not stay there again. The location is central between lower Manhattan and Central Park which is where we spent most of our time. There is a good restaurant 1 1/2 blocks away called Dona which was really good as well as a really nice deli located a block away that has great take out meals. Walking to Time Square is about 1/2 hour. Our average price was $289 per night for Friday through Monday and we would definitely stay here again.	
Jul 7 2007 	Nice Hotel for the price.	While booking my hotel I used these reviews as my guide line,so i thought I should contribute. I found the reviews I read to be pretty accurate. The location of the hotel is great for getting around town. It is really close to the yellow line subway (28th &amp; Broadway), and mid town, but not the best neighborhood. The outside of the hotel is basically a narrow doorway. There were always a lot of seedy guys hanging around the outside of the hotel in the day time. What was interesting is they were usually gone in the evening. As far as the inside of the hotel, it was very clean and our room was a good size. We didn't have a great view (it was a small window with a film on it, you couldn't see through), but we had changed rooms because the first room we were given was a smaller bed and room with a great view. I called the front desk saying my reservations were for a king. They were very nice and quick to accomadate us. Staff was great. The free breakfast was just okay. It was in a very small room on the fourth floor only offering breads, Bagels or danish. I wish they had some fruit or lowerfat options. They did have someone in there keeping everything clean and stalked and it was free. Over all I was very happy with our stay for the price.	
Jul 5 2007 	Great for the price and space!	My girlfriend and I stayed at the Broadway Plaza for 4 nights in April on a girls trip to NYC. For the price of the hotel, it is really good. The room was spacious and very clean. Request a view of the Empire State building, it's worth it. The frontdesk was always helpful. The pizza place 2 doors down was awesome. The downsides...the entry way from the street is very small--we were so shocked to see it in person, the area was shady, mainly at night, but we usually had a taxi drop us off right at the door. A few times during the day we walked and explored, it was not far at all from the Empire State building and that area. We only had breakfast one day, not a big space, but you can take it back to your room. Overall, most people are not in their rooms that much in NYC, so as long as we have a nice, clean, and safe place to lay our heads, we are good. We would most definitely come back to the Broadway Plaza Hotel.	
Jun 22 2007 	Clean hotel spacious rooms	The only thing wrong with the hotel was the slightly seedy location - not nice to look at, but great from the point of view of getting around town. Especially handy for 5th Avenue and the Chrysler Building.The room was large and very clean. Bathroom was fine - lots of hot water, strong shower. Staff were very friendly, helpful and cheerful - even the receptionist, working on Thanksgiving! Great value - would definitely go back.	
Jun 20 2007 	Central location great staff Good sized rooms poor breakfast	This was my first visit to New York for my 40th birthday.we were greetde by the Consierge who was friendly and proved to be very very helpful during our stay.the entrance is very narrow and the hotel stretches back behind the single door entrance.Our room was comfortable and quite large. The bathroom was clean and quite spacious. The bed was really high and we almost needed a ladder to get into bed every night. But the bedding was clean and bed reasonably comfortable. When I arrived in new York I was extremely unwell and neede to urgently see a doctor. Richard the Consierge sorted everything out and was very helpful.We did try room service, which was OK (but the food in New York I didn't find to be great anywhere!), although this is not run from the hotel . but from a nearby restaurant and you can order beer!The breakfast room has4 tables and is very poor. There is limited choice of pastries and bagels which are all really bland.Location wise the hotel is really central from most of the sites. We tend to walk loads so it made sense for us. Times Square 12 blocks away, Empire State a ten minute walk, we found it excellent.As regards the previous unsavoury area comment, I think it depends what you're used to. Having travelled to both Delhi and Mumbai in the last few months, this area seemed OK: there is no rubbish on the streets, beggars constantly harrassing you or people staring at you and following you! This area is probably little different to most busy areas in a western city.We had an excellent time and would go back to this Hotel for it's Central position and excellent customer service.	
