	Great location good restaurant clean rooms.	We enjoyed our stay at the Martinique as first time visitors to New York from New Zealand - it was central to everything we wanted to do and everyone was very helpful. We ate in the restaurant for the three nights we stayed in New York and the meals were great. Especially enjoyed being able to get a meal at 11.30pm after having been to a show on Broadway. Would definitely stay there again.	
Aug 19 2008 	Great Budget Hotel	My family vacationed in New York for the first time in late July. This was a wonderful hotel for the price. The staff (especially the bellhops) were very kind and helpful. The standard room was clean; comfortable beds w/ goose down comforters and pillows. We had a small problem w/ the AC unit when we first arrived, but it was repaired immediately. Hotel lobby is very nice. The hotel restaurant is nice, but the food is only so-so. The hotel is centrally located, (1) block from the Empire State Building and (2) blocks from Macy's and other name brand stores. There is a drug store located next to the hotel and the subway is out the front door. We had a wonderful time and would stay in this hotel again!	
Aug 18 2008 	Robbed at the Radisson Martinique NYC	I stayed at the Radisson Martinique for 5 days/4 nights for a conference August 13 - 17, 2008. I entered my room a little after 3 pm and within the first hour, an employee entered my locked room and upon seeing my husband and I, said &quot;sorry...just checking&quot; and hastily left. I was aghast. My husband laid down to nap and shortly after, a second employee entered my room and said exactly the same thing as the first and hurriedly shut the door and left.I laid down to nap with my husband around 5:30 pm and was awoken by a phone call at 9 pm by my daughter saying some women had just called our house in upstate NY saying she had found my purse. I could not believe it. I have no doubt my purse was in my room with me before I fell asleep as I sat and put my receipts in my wallet and purse while my husband slept.I also put my cell phone on the floor by my bed so I would hear when our NYC friend called to meet up with us. That was also taken. Someone entered our room while we slept and removed these items!It was quite nerve-wracking to know that not only did someone enter my room (AGAIN!), they were right by my head while I was sleeping...what would/could have happened if one of us awoke? o_0Hotel security was of no help. The Front Desk manager(s) were of no help. They would not call the police for me and made me find and walk to the nearest precinct. The Manhattan MIdtown South Precinct wanted to know why I did not call 911 to report the robbery and I told them the Radission said I could not and had to walk down to the Precinct. The Police told me they were well aware of the Raddision Martinique management being obnoxious in this way and not wanting the police in their lobby to reflect poorly on the other guest. I found this to be outrageous. When I confronted the head of security about this, he stated that it was not an emergency so I could not use 911 regardless of what the police told me. For real.The conference meeting planner made the hotel give me a new room with a lot of arguing as they did not want to. One the last day there, I received a call from security that my purse had been found outside the door to my NEW room.Security refused to discuss the investigation with my or why two of their employees would try to enter my room without knocking or anything. They would not give me a printout of the information for my company...nothing.My personal feeling is that it was definitely an &quot;inside&quot; job and the hotel will do anything to just shut you up till you go away. They don't want to hear anything that reflects badly on them. I don't recommend this hotel to anyone but if you do stay there, I wish you luck.	
Aug 15 2008 	A Great Deal in A Fantastic Location	I live in the NYC area but occasionally need to stay over in the City for business. I have many choices but this hotel is perfectly situated and frankly can not be beat as far as the quality for cost. You can do FAR worse for price and still not be in such a great area with a subway entrance at the door of the hotel.	
Aug 13 2008 	The Big Apple	Just back from four nights in the Big Apple. Stayed in this Radisson. Staff were very courteous and helpful. Room was clean and tastefully decorated although bathroom was on the small side. The hotel is right beside the Empire State building and Macys department store and is in a safe neighbourhood. Arriving at JFK, we took a yellow cab to the hotel. The flat rate in $50 to anywhere in Manhattan. They also have minibuses that service the hotels that cost $19 per person but the journey is long and tedious, stopping at various hotels along the way. We got a got a good rate from hotels.com that did not include breakfast but there are delis and cafes all over the place. Speedys opposite the hotel was excellent that priced your food per weight on plate!. There is also a delightful small park right beside hotel which offers refuge from the heat and a nice way to have your breakfast and/or coffee alfresco. Beware of the tipping epidemic in New York. They all expect it and some restaurants even include it in the bill. Don't be intimidated by it. Only tip for good service. This was our motto so the rude taxi driver lost out etc. For the big attractions go early. We were on the ferry to the Statue of Liberty at 8:30am, otherwise tickets sell out by afternoon. Buy a Grayline ticket for the sighseeing open topped bus. This really gives you a feel for the city and gets you to the main attractions. You can hop on and off all day. I would stay here again in New York and would recommend it to friends. Overall a brilliant city break.	
Aug 11 2008 	Housekeeping......	I spent a few days in this hotel in New York.My room was on the 15th floor. the room was pleasant. Two king-size beds, spacious room. Nice bathroom, with the things you need. Not spectacular. But wich bathroom in the USA is spectacular, when you have a standardroom??Location of this hotel is excellent. You walk out the hotel and the famous shops are surrounding you. Good place.Lobby is small. A pianist welcomes you. Litlle shop.Taking the elevator takes quiet a long time. Friendly staff. but....housekeeping problems:My bathroom was not clean. I found hair ont the wall, and the bathtub. And that;s the most dirtiest a traveller can find.The wastebin was not emptied as well.Cause I had a flight back to the Netherlands late in the evening, I wanted to sleep a few hours by day.But than there is housekeeping: smashing doors, vaccuumcleaner hitting your door constantly, and shouting at eachother. When there is a : Don't disturbe sign on the door, that mean, please silence. I do understand that housekeeping-emplyees have to do there work, and sometimes that makes noise, but the way I experienced here in this hotel. It was to much.I asked to be a little more silence but I was not succesfull!Please members of the housekeeping: respect the signs on the door, your guests will appreciate this.I do hope that the staff of the hotel do read this view as well, so they know what guests experienced.	
Aug 8 2008 	Great Location Very Good Hotel!	Family Friends booked this hotel for us. We are a family of 5. When our friends first checked in they only received one room and it wasn't the best from what I understand. They moved them and gave them the second room. Their room was nice and had a good layout for the room. Our room had two double beds and the kids are small enough (11, 8, 7) to still to fit all three on a double bed if arranged right. As a family of five, we quickly take up space, but we had plenty of room to take care of the four S. Sleep, shower, shave, and I will let you figure out the last S. After a long day of touring new york, watching the today show live, and going to mets and yankees games, the beds enabled us to recharge our batteries with a good night's sleep. The hotel is in the perfect location. We took amtrak to new york so it was an easy stroll to and from union station. There is a subway station right out side the hotel. For the most part the hotel staff was very friendly and helpful. Would i take my family there again, Yes and hope to next year when the new stadiums open.	
Jul 30 2008 	Good solid chain hotel	Arrived late at the hotel but was checked in quickly to a room on the 7th floor. I stayed two nights, and the staff were polite and helpful throughout.Room was very spacious by NY standards with a large bed and sofa/table. The bathroom was fairly dated but clean enough, and shower was excellent. Slight niggles were the auto-pay minibar (I hate these) and the lack of a safe in the room.The best thing about this hotel is it's location. You can easily walk to Central Park, Soho, meatpacking district etc in 15-20 minutes, and it's right on a subway stop.Overall, this is by no means a luxary hotel, but the prices are ok for NY, and it's fantastic location means it's a great choice for enjoying this amazing city.	
Jul 29 2008 	We will definitely return!	Let me be very clear... I gave our hotel experience an excellent rating based on the fact that we locked in a $175.00/night rate (I'll get to that in a moment). The service was great from arrival, our room was clean and even had a view of 32nd &amp; Broadway. There is a subway entrance right outside the hotel which is so convenient. Right around the block you'll find Macy's and tons of other amazing shopping. Now back to the price. If you are still wondering how we got such a great deal, here's the secret...Radisson's Best Price Guarantee!!! Here's how you do it...find the lowest online rate, then book the room through Radisson.com, submit a claim form (found on the website) within 24 hours and once they verify the lower rate, they will match it minus 25%. Not only do you get the best deal, but you also don't have to pay up front. It's the way to go. That said, had we paid full price, I would have higher expectations so I can see why there are some poor reviews. I guarantee if you lock in a decent rate, you will be as pleased as we were with our overall experience.	
Jul 28 2008 	Would have been higher score but had some issues	We booked this because we got a good price for our stay of 3 nights and they said they offered internet access. Well, our first night there I went to download pictures we had taken that day and could not access the internet. When I called they suggested we come and get a bridge to help with the signal. That was done and we still had no service (funny thing is I could get service for everywhere else around, including the hotel next door, but they required a cc to use it). Called again and they gave me a number for the internet help desk...that was a pointless waste of minutes on our cellphone(didn't use the room because it was .50/min for toll free calls) and still nothing. We had sporadic if the laptop was in teh right place at the right time, or if I wanted to sit in the lobby. They only kept saying that they are working on getting fixed so all can use it. The other problem was the breakfast buffet. We decided to eat at the hotel our last morning before checking out. Buffet was $15 and I have had better and bigger ones for less money. Service was bad, food was mediocre and all it was was a glorified continental breakfast (eaten simlar at super 8/Best Western for free). May stay here again, but will verify internet is working in all rooms and will not eat meals there.	
Jul 25 2008 	Great Stay	We arrived early on Saturday July 19th, knowing that our room would not be ready we check our bags with the bellhop and went off to see a matinée on Broadway. When we returned there was a very short wait for check-in, the front desk staff was great and very pleasant. We signed-up for the free gold points rewards program during our check-in and we were given a free upgrade to a king executive room. What a great way to start our vacation. The upgrade also gave us access to the Martinique Club, which provided a free continental breakfast each morning and a cocktail and appetizer buffet each evening. Housekeeping was great and kept our room nice and clean, even brought up extra towels right on request and they were even still warm from the dryer. I will stay at this hotel every time I visit NYC, it is very close to the subway and within walking distance to Times Square and the Theatre District. We checked out on Tuesday July 22nd and again the bellhop held our bags during the day as we had an evening flight. Great time at the Martinique definitely will be back.	
Jul 17 2008 	At the right rate the Radisson is Great!	We chose to stay at the Radisson based on price and location. Radisson has a lowest rate guarantee policy - if you find a lower rate anywhere on-line they will match it minus 25%! We found a cheaper rate on Hotels.com and after submitting the information to the Radisson - they guarnteed our room at the lower rate - which was a fantastic rate for a hotel in New York City. The location is good - it is centrally located and very close to Macy's and the Empire State Building. It also has easy Subway access which we used alot during our stay in the city. The rooms and bathrooms are small but functional. We didn't plan on spending alot of time in our room, so they were okay with us.The bellhop service was excellent. We were traveling with another couple and the bellhop was excellent in unloading and sorting our many bags. They also held our bags for us after checkout so we could finish our touring of the city without having to worry about our luggage.When I wrote this review the Trip Advisor rate for the Radisson was $444/night - I wouldn't classify the Radisson as a $400 hotel. but it is an excellent value for around $200/night. Overall we had a great stay at the Radisson!	
Jun 29 2008 	Great location Great Service Good Hotel	I stayed in &quot;penthouse room&quot; last week and overall very satisfied. The RoomThe room was large from a NY perspective; it had a bedroom, bathroom, but also a separate section for desk and a large closet. The Sleep Number bed was great, the cleaning standards very good and the bath room in good condition. Two complaint though; 1) the hotel has a wireless network rather than a cabled solution for guest room Internet access. In my room (maybe because it was on top and in a corner) had a very poor, on again off again, access. 2) Small issue, but easy to fix, the bathroom door opened in, which forced you to navigate around a very tight space to get it closed.The ServiceCleaning was very good, room service was quick, the front desk new what they were doing and were very accommodating. A guest services representative checked in to see that all was fine towards the end of the stay (nice touch, but would have made more sense to contact guests earlier in their stays). The complimentary breakfast served on the 17th floor was more than adequate. All in all very good serviceThe Location32nd and Broadway. 12 blocks or so from Time Square, a few avenues from Madison Square Garden. Great location for tourists.	
Jun 26 2008 	Glad the Reviews on this hotel were wrong!	I have just returned from New York after a 6 night stay at the Raddisson with my other half and have to confess I was relieved not to have any of the experiences I had read about in other reviews! We arrived before our room was ready but that was not a problem, our bags were sorted out by Mike at the porters desk who was really helpful and nice, all the staff we encountered were. The room itself overlooked the Empire State Building which really made us realise that yes we were in the big apple! the room wasn't massive but I would not describe it as small either, we were on the 14th floor. The bathroom was small but there was enough space for us, most hotel bath rooms from my experience are small in any event. We had requested a none smoking room and that is exactly what we got, I have chest problems and we emailed expedia after reading some of the reviews to ensure that we would get a no smoking room and they emailed the manager at the hotel who ensured them that the room would be no smoking.The location of the hotel is great, two blocks from Macy's, the Empire State Building is also just around the corner and Times Square is no more than a 5 minute walk away. We didn't eat in the hotel restaraunt which is located next door, it looked nice but we found so many nice places to eat in the area, the hotel is very convieniently situated for sightseeing, shopping, everthing really. The subway is relatively easy to use once you have figured out which way you are travelling. The only thing that we wanted to see which was some distance away was the Statue of Liberty and Ellis Island but again this can be accessed via the subway.The hotel arranged for a car to take us from the hotel to the airport the day we were leaving to continue our trip in Boston, Rebecca on the Concierge desk sorted all of this and again was very helpful and lovely to deal with,I would stay here again, it was value for money, conveniently located and just what we wanted.	
Jun 17 2008 	Very Good Hotel	Stayed at Martinique for 3 nights. I booked with expedia and got a very good deal. It was cheaper than booking direct with hotel and airline websites.No problem checking in and the room was fantastic.The hotel does not have single rooms so it was one of the 1 to 2 people rooms it had a view of Broadway.It was on the 16th floor and was very clean and well fitted out, it had a writing desk and armchair and reading lamp.I have read some of the other reviews and from my point of view the bathrooms are a little small but no problems.The hotel has 3 lifts at the front of the hotel and 2 more at the rear so no problems as some people have mentioned the lifts in reviews.Did not use the mini-bar there is no need on the corridors there are vending machines and soft drinks are $1.25.The air conditioning in the room I was in worked OK.Very convenient position in Midtown, I would go again with expedia and choose this hotel.	
Jun 9 2008 	Not horrible but had some problems	Booked a weekend trip to NYC and stayed at this hotel due to location and reasonable price. Unfortunately, our first experience with the hotel was not as good as expected. I arrived early and checked in, but as I expected, my room was not ready. That's fine. We left our bags and did some siteseeing. Returned hot and tired about 2:30. Had quite a long wait to check in again, over a half hour. Finally got our room and went up only to find someone else was in it. So back down we go and the woman at the front desk argued with me that I was the only one assigned to that room and no one was in it. I insisted there was. This went on for some time until the manager got involved. He gave us free drink coupons and told us to go to the bar until he could resolve it. Not really what I wanted to hear at this point - just wanted my room. After about an hour and a half total, the manager gave us a new room right next door. Just left us in a rather bad mood at the beginning of our trip.As for the hotel itself, okay, but not as nicely maintained as I expected. Our room was VERY small. Not much room to even walk around in. The bathroom also very small and hard to maneuver in. The room was fairly clean, but in need of some repair. The bed linens were stained and the sheets very hard and scratchy. Not the most comfortable bed I've been in. The Cafe Martininque, their inhouse restraurant was okay. Very small and, again, in need of a little updating and repair, but the food was not bad. The location is very convenient to the Times Square area and the subway is right outside the door, so it's easy to get around. Just 2 blocks from Penn Station. Overall, good location, but not impressed with the room or the service we received.	
May 31 2008 	great hotel	we stayed here 24th may -28th may we had a great time the hotel staff were really helpful and friendly. the location was great so near to so many attractions macys just round the corner empire state building 10 mins walk away every thing else 5th avenue about a 25 min walk . we used the subway which was just out side the hotel the hotel helped adviserd us how to get about on the subway. the bedroom was a little small as was the bathroom but really you are not in your room much as there is so much to see and do in new york . i would recomend this hotel as the price was really good.	
May 30 2008 	Great Time	At first when I had booked through Expedia, the Raddison Martinique was not available, so i booked the Hotel Pennsylvania.However after reading and seeing various reports about the Penn, I decided to ring Expedia and change the booking to the RRaddison which was now available, although Expedia charged me £85 to change the booking.From what I saw of the Penn when I was in NY 22nd May to 28th May, I am glad i paid the extra to change.From what I saw you cannot compare the two.I suppose there is a good reason why so many flight crews stay at the raddisonwe got to the hotel at 12.30pm and only had to wait until 1pm to get into the room, 14th floor no smoking and no smell of smoke, air con was fine could turn on or off, bathroom small, but I don't know about you but i did not go to NY to sit in the bathroom.Location fantastic, in 2007 I stayed at the Roosevelt, which is a better hotel but you are closer to everything at the raddison.Staff very pleasant, room cleaned every day and big enough for two, location great. Overall really very good, i am going back next year and will be booking again	
May 22 2008 	Marvellous Martinique	I just love the Martinique, location is Excellent just around the corner from Macys, Victoria's Secrets and many more shops. Reception staff are very friendly. Number bed is great fun my daughter slept like a log once she got the perfect number setting. Bathroom is very small this is the norm for NY. Security on the door gives peace of mind at nights and they are very hot. Would not recommend upgrading to the Club Level as it is not value for money with so many eateries around get out and about. Have stayed in many hotels in NY, will continue now to use this hotel as it is good value for money, leaving more in the pocket for shopping. If you are going to NY for a special occassion do not forget the revolving restaurant in the Marquis Hotel. Shopping - Woodbury Common is a must, also a visit to Century 21 at World Trade Centre is worth a visit.	
May 21 2008 	Great location but have stayed in better hotels	The good - the midtown location is great and I got a very good deal via expedia. If this is the best deal on offer at the time, go for it. New York hotels are very expensive and the rate on the hotel's website was much higher than what I paid, so always check expedia or similar sites before you book this via their website.There was free wireless internet which worked very well in my room. I have read some reports of the connection being weak or inexistent, so maybe it depends on the floor - I was on the 3rd floor.The bad - my &quot;non smoking&quot; room smelt of smoke. The air conditioner was very noisy, and the sound proofing was inexistent in my room. There was a filthy pyjamas bottom under the bed which looked like it had not been vaccumed for a while. Was not impressed with the service at the front desk.Tips - there's a Speedy's opposite the hotel which has great buffet meals. Don't waste your money eating at the hotel, there are so many eateries in the neighbouring area. Macy's is very close by but Manhattan Mall is even closer, which is a great option if you're on a budget.	
May 14 2008 	A Nice Place to Rest Your Head	I went to New York on my honeymoon and booked the Radisson based on okay reviews. We were looking for something that was clean, half-way decent, and not super expensive. And that is exactly what we got. I booked an executive room on the hotel website for $474 a night. I took advantage of the Radisson Online Rate Guarantee and ended up getting the room for only $266 a night!!! The hotel is not an extremely nice hotel with lots of amentities. It is a nice place to rest after a long day of walking around New York. I would stay here again if I could get the same rate. If you are looking for luxury, DO NOT stay here. The concierge Rebecca was very helpful and nice. The bellman Ronnie was also very nice. He gave us a coupon to Jack Dempsey's Irish Pub (located only a block away). We ate there 3 times during our trip. Very good food! The hotel restaurant is good but the service is terrible. We ate there twice and had bad service both times. Definately take advantage of the subway located right outside the hotel door. If you are intimidated by the subway system (which we were), take the time to learn it. It is very beneficial and will allow you to get around the city MUCH faster.	
May 14 2008	Great Trip to New York stayed Radisson Martinique Hotel - Phil Ireland	Stayed in the Radisson Martinique on Broadway in May 2008. We arrived before 3.00 p.m. on 3rd May 2008 but they had a room ready and we were able to check in immediately. Very helpful gentleman on the desk. My daughter and I booked a double room and it was good, bathroom a bit small. Great location for getting around. Had breakfast in the Hotel most mornings 15 dollars each for the buffet breakfast + tax and service. Housekeeping staff very friendly and did a good job. All other staff in the Hotel were very courteous although some waiting staff not the most helpful. Would stay there again.	
May 2 2008 	Rude Staff Charged For Room We Didn't Stay In Called A Liar Mocked By Staff	I can honostly say in the past 13 years I have been travelling at least twice a month and have NEVER BEEN SO THOROUGHLY DISGUSTED by every aspect of this hotel. I was visiting with family and booked 2 sepparate rooms for 2 nights for the 5 of us. We arrived and were told that we were only booked for one room and that there was nothing they could do. There is no way we would have booked one room for 5 people... They proceeded to call me a &quot;liar&quot; AND I QUOTE!!! The hotel manager we were speaking to went around the corner and was mocking what I had said to her in a goofy voice. We confronted her on this and she turned around and started laughing with another hotel clerk. I have never been treated so rudely in my life and because of something that was 100% their fault.We ended up speaking to almost every level of management in the hotel until they finally told us they would not let us stay there at all, let alone our entire family. We left and found on our statement a $657.00 charge to my credit card when we DIDN'T EVEN STAY IN THE HOTEL!! Still working on that, so far they have been no help and I have not received a credit.. WILL NEVER STAY AT ANOTHER RADISSON AGAIN!!!	
May 1 2008 	Great Hotel	New York is expensive. This is a definite compromise. Hotel location is in a perfect location, right by the Subway, Empire State and not too far from Times Square and Broadway Theatres. This has nothing to do with the Hotel, but we made the mistake of booking the Shuttle Service (Super Shuttle) through Expedia, from the Airport to the Hotel. IT IS TERRIBLE. The drivers treated us like cattle, and jibbered away on their mobile phones whilst driving very dangerously (even for New York standards). Avoid if you can. Hotel itself excellent. We originally got a room without a view, that smelt of smoke. We called the Front Desk and they apologised profusely and moved us to a room with a great view. Room very comfortable, only small downside is the sound proofing isn't great. But a minor compromise really. All in all recommended!	
Apr 29 2008 	Radisson Martinique New York City	Stayed for 3 nights, in April , 2008. Great Location, subway practically underneath the hotel, Macy Dept. store is 1/2 bllock away, Empire State Bldg is about couple of blocks.. about 15 minutes walk to Time Square/Broadway Theatres... Located in Korea town with lots of Korean Restaurents, Massage places.Business center with free use of computer for internet. Check in at 4 pm but you can leave the lungages with them if you get there early. Cost about $28-32 taxi fare from LaGuardia.Negatives..would be old hotel with most room has no view, has windows but looking at other windows and cannot see the city or the streets. Weak concierge sevices, located together with gift shop cashier... did not give us the Club Level room (eventhough we booked and paid for as Club Level, citing they have no records) Club Level Rooms are top two floors 15 &amp; 16 has access to snacks and services... Executive levels are nothing more than higher floor 12 and above and no special room or privileges.Having stayed at Radisson Lexington New York City 5 months ago, both are old hotels, noisey at Radisson Lexington with lots of construction in the building, and bathroom is smaller than Radisson Martiniques. Location is much better at Martinuque on Broadaway. Radisson Martinique on Broadway used to be Holiday Inn.	
Apr 29 2008	great position	we booked this medium priced hotel through expedia as a package including virgin flights. its in a great position, a 2 minute walk to macy's and the back looks over (under!) the empire state building which is about a 10 minute walk. the staff were really nice and helpful (as we found everybody in new york). its got a grand entrance and marble everywhere. the bar and restaurant are good. we had breakfast there the first day, but wouldn't bother again - it was pricey and not very good. the rooms were fine - clean, well furnished, a bit on the small side as were the bathrooms.(however we were not in it very much - too much to see and do!) there was a good hairdryer and iron and full sized ironing board. the only complaint we had, was that our room had no natural daylight (706) as it looked straight out to a brick wall. i would check to see where your room is. unlike one of the other reviews, we asked if we could keep our room longer than the 11am time and were told it would cost 50 dollars. i would still recommend this for a short stay, definitely.	
Apr 22 2008 	Great Location All Round Good Choice	We stayed at the Radisson Martinique from 4th - 10th April. I used the ‘price promise’ offer on their website which stated they would match any price quoted on other sites and give an extra 25% discount. I booked direct, and then quoted the better price which was listed on Hotels.com and received an email accepting my claim and confirming a rate of $207 per night, less than half the price offered by the hotels website! Now for the hotel, I am not sure about the negative reviews of this hotel as I can only speak of our experience which was on the whole very good. Our room was big enough to accommodate myself, my wife and our 12 yr old son, with two double beds, en-suite and all other comforts you would expect. The decor throughout the hotel was very good with obvious on-going ‘touch-ups’ being carried out. A buffet breakfast was available in the restaurant, offering a good choice of hot and cold options for $15 for adults and $7 for children under 11. The location of the hotel is excellent; being only 10 blocks from Times Square, across the road from Macy’s and with a subway station on the corner of the street, access to the whole city was simple. There was also a good selection of bars and restaurants around Penn Station which was 2 blocks west of the hotel. All-in-all I would recommend this hotel, providing you can secure a deal on the price.	
Apr 18 2008	Great place to stay	Had read a few reviews before travel and was a bit concerned but this hotel was great. Very central-1 subway stop from Times Square- station right outside hotel- very easy and safe to use( get day passes for $7 and you can hop on and off all day - great value) Rooms exactly as shown on web site - very clean, loads of clean towels everyday, complimentary toileteries and beds changed even though only there for 3 nights and you can adjust the firmness of your mattress to suit yourself. Very friendly and helpful staff . Next street to Empire State and very nice area. No problems at all - would stay here again &amp; recommend it to anyone. You must visit the cocktail lounge on top floor of Marriott hotel in Times square - revolving room with 360 degree view of Manhattan and FAB champagne coctails- not too expensive and a real treat.	
Apr 16 2008	loved our stay	This was our first trip to New York and we cannot say enough for the hotel, our first experience was the bellhop notifying us about the Martinuque club on the 17th floor which was a wonderfull experience for light snack. We were four in the room and after reading some ot the reviews was a little apprehensive about what we would find, however it worked out fine for us.The towels and bedding were wonderfull and our highlite was doorman Ronnie? he was a delight, we would come back. subway stn right next door and within walking distance to every thing.M&amp;M from Chilliwack Canada	
Apr 13 2008 	Much better than we were expecting !	Just returned from a 6 night stay @ the Radisson. Booked through the hotel directly without having to pre-pay for our room. There were 2 adults &amp; 2 children 11 &amp; 8. From the moment we arrived at the front door, we were treated like true guests, the only problem we encounted was on checking the room size on arrival,but this was quickly overcome by a fellow airline crew guest who stays regularly, he advised us in the lift after inspecting our first room allocated, that we should request a room on any floor ending in a &quot;9&quot;.So as instructed requested this room at the front desk and was very pleased with the size of the room and particualry the bathroom. The room was on the 16th floor so no smell of any heavy smoke and air con/heat worked fine. The breakfast was fantastic in the hotel and after some discussion with the front desk our children were included as complimentary also. Each person of the Radisson staff we encountered were friendly, professional and very customer service driven and all spoke English. Overall it was a great hotel experience in a great location for our first trip to the fantastic New York City.	
Apr 8 2008	Don't Believe Everything You Read	Just returned from a 6 night stay @ the Radisson. Booked through Quikbook without having to pre-pay for our room. There were 2 adults &amp; 2 teenagers (boy &amp; girl). From the moment we arrived at the front door after surviving our first NYC taxi experience, we were treated like royalty. I was very hesistant about the hotel after reading many negative reviews, most which had to do with a heavy smoke smell (which for non-smokers is a nightmare)After a suggestion from a fellow TA, I called the hotel the day before arriving to make our concerns known that we wanted to be as far away from the &quot;smoking floor&quot; as possible. We arrived many, many hours before the &quot;official&quot; check-in time and were told that if we wanted to leave our bags &amp; go exploring, they would call our cell as soon as the room was ready, which they did . We were able to check-in 4 hours early which worked out great for us . We had dinner reservations before our Broadway show which allowed us to change . There is much truth in regards to the size of the hotel rooms in New York, for 4 people, our room was very small compared to what we have been use to when traveling but we were assured we would only be in there to sleep and that is the absolute truth! Each staff peson of the Radisson we encountered were friendly, professional and very customer service driven and all spoke English which was a blessing being from Tennessee.We never smelled smoke and the rooms were very clean. The biggest surprise upon arriving at check-in was that we did not have to leave a daily $50.00 deposit which freed up extra cash for shopping. Sorry this is so lengthy, but overall it was a great hotel experience in a great location for our first trip to the amazing New York City, our first, but certainly not last trip there. By the way, our room for 6 nights with tax was $1825.00. Thanks for letting me share.	
Apr 6 2008 	Location location  location!	We stayed on the club level in an exec room with our two kids. Room size was on the wrong side of ample but in NY you are out and about so this was not really a problem. The hotel is situated on Broadway very close to the Empire State building and Macy's store and has a subway on the corner. The staff were very friendly and couldn't of been more help. The hotel is undergoing some renovation and it has to be said it does need it, so don't expect a glitzy NY establishment but I had no faults with it overall.One thing, if you buying NY tat, don't buy from the hotel shops even with the discount - there are plenty of others round about and if you have kids this is part of the NY experience.The cafe/restaurant is good and is open to the public. It is always busy which speaks for itsfelf so if you are arriving from a long trip eat there and save your legs for the next day.	
Apr 1 2008 	Just OK	We spent three nights here. I would say the room was OK, for those not staying long, but it was a little small if you wanted to open more than one suitcase. The location was good, a subway stop was right outside the front door, and the Empire State building was around the block. For our needs, which was seeing the sights, the location worked well. I was not impressed with the desk staff, but this was a very busy hotel, so perhaps that goes with the territory. We tried to check in early, but that was a no go. We were allowed to upgrade our room (the room cost changed, of course) when we finally tried to check in (at 4:10) and were told it would take about 45 minutes to get the people out of the room and get the room cleaned. About 1.5 hours later, we finally got a key to the room. For the price I paid, I wasn't terribly impressed. There was a safe in the room, but I would have had to pay to use it each day. But, perhaps that is typical for New York, I don't know. Would I stay there again - only if they had a really outstanding special. Otherwise, I'd find another place.	
Mar 31 2008	Good location but don't bother with the 'superior' room	Located in Korea Way, this hotel is ideally situated for most things and is reasonably inexpensive. Expedia gives it a 3.5 star rating which I think is pushing it a bit.The superior room is adequately furnished, but in ours the fridge didn't work and the air con was very noisy. It included breakfast in their upstairs 'club room' but this was pretty pitiful - only one waitress to cope with everything from taking room numbers to cleaning dishes. Every time we went up there something was missing, from cups to plates, to hot water to some food items. We went early and late, but the timing made no difference - basically there was a lack of staff and equipment to operate efficiently - not even a bin for teabags/cereal packets!Our children had a standard room, which was pretty much the same as the superior room, just didn't include breakfast. This was no great loss! The staff were courteous, but not very knowledgable.Overall, the hotel decor is pretty tired looking, but I would go there again if I wanted a reasonably central hotel on a budget.	
Mar 30 2008 	Run don't walk away from this hotel...	Worst hotel ever -- the Radisson appears to be an average three star New York hotel. I paid nearly $400 to stay at the Radisson Martinique on Broadway and thus was expecting a pleasant experience. The hotel is located in Koreatown and is a short walk (less than a block) away from the Empire State Building and Macy’s. The lobby is nice, but that is the ONLY nice thing I can say about this hotel. My room was clean but every single electronic device in the room was broken! The television made this loud flicker sound every 60 seconds, the thermostat was broken and thus I had no heat, (it was March and it was COLD) the telephone didn’t work and the “complimentary Wifi” had such a poor signal that it was unusable. In addition, the “Sleep Number” bed was broken and half the bed remained hard as a rock despite my attempt to soften it with the stupid remote control and the large “mini bar” was empty except for a can of iced tea, a can of orange juice and a can of beer…all warm of course.  I was traveling on business and had a really important email to send, so when I realized the Wifi didn’t work I called the front desk to ask about the problem and they said they couldn’t help and that I should go to the Business Center. So I packed my laptop up and headed to the “Business Center.” The Business Center was packed with people. I went to the counter to ask for assistance and the guy told me that he wasn’t affiliated with the Business Center (even though he was the only employee in the tiny room) and that they Business Center was comprised only of the three computers along the wall. However, I observed these three computers were currently being used by three 12 year old boys playing games on the internet. Maybe it’s just me, but I think the Business Center should be reserved for Business Guests…. Anyway, I told the guy behind the counter that the Wifi in my room didn’t work and he told me to tell the front desk. The problem is that there were about 20 people in line to check in at the front desk. So I went back upstairs to call the front desk and tried to tell them what was going on. When she answered the phone I could hear in her voice that she was quite annoyed I kept calling. I was pretty frustrated by this point too and asked to talk to the hotel manager and guess what, they hotel operator HUNG UP ON ME!! Either that or the broken hotel phone disconnected me. I am not sure which. I ended up across the street at some shady internet café so that I could do my work. I will never, ever stay at another Radisson. Ever.	
Mar 24 2008	Ok Blame New York	Hotel is clean. However the rooms are small and the lifts are a joke in this day and age. However for new york not a bad deal. We enjoyed our stay.	
