	Good stay apart from lacking service hospitality	I and my girlfriend spent one week in New York to celebrate her 30th birthday and we spend four of those nights at Carlton and the remaining three at The Surrey which was a much better choice in every way (see separate review). Given the competition of New York hotels in this price range, I would not recommend nor stay at the Carlton again.Pro's:- Location, close to pretty much everything including two subway lines making transport to e.g. Grand Central or points south (Union Square, Financial District) very easy- Quality of the breakfast at the in-house restaurant Country- Well-priced (by NY standards)Con's:- Small room (we had a Deluxe room)- Quantity of the breakfast (we have breakfast included in our package)- They charged us $50 for a three minute US long distance phone call- Lack of customer service. The front desk and bell boy service was not what you expect from a hotel of this standard (given the price tag). At check out, when I asked for help with our luggage they just pointed to the elevator. The friendliest staff there were the maids and porters who would always say greet you in a kind manner and have a little chat with you.	
Oct 19 2008 	Classy	Just returned from a wonderful trip to the Big Apple. It was my first visit and this hotel was great. The entrance is soothing and relaxing as you enter. The room was clean, the restroom was bright and large and the bed was very comfortable. The staff were very helpful. The restaurant staff were quick and food great. This hotel is within walking distance to many sites. Breakfast is served ready to go at a location two blocks away (30th and Madison) if you want to eat on the run. Would definitely recommend and would stay there again.	
Sep 19 2008 	Great location hotel is ok	My husband and I spent 4 days in NYC in July 2008 for his birthday. I booked the Carlton on Madison Avenue based on the reviews here and the location. The location is excellent - it can't be beat. It's in a safe area, close to the Empire State building and 2 subway lines - it couldn't be more convenient. The hotel itself has an extremely impressive lobby. It's gorgeous when you walk in - really stunning in a very ritzy NYC kind of way. The restaurant is beautiful, but the food is only ok and it's very overpriced ($5 cup of coffee with a mandatory 20% tipping charge?). The rooms are small, but it is NYC. The bed was nice and big as was the bathroom, but there's not a lot of space to move around. It was very quiet at nice which was great. The room could really use some maintenance - the wallpaper in the bathroom was peeling off, there was mold ALL OVER the shower door and floor, the walls are scuffed and dirty and the carpet is in bad shape. It's really a pity because with some more diligent cleaning and maintenance, it would be a very nice hotel. Overall - great location, ok hotel.	
Sep 7 2008 	Top location.	Whilst travelling the US we stayed for four nights at the Carlton. Check - in was quick and friendly and the hotel interior is very modern and airy. We were unfortunately put on the 8th floor where a lot of refurbishments were taking place. After one night of paint smells and 6am banging we were moved to a room on the second floor which, was huge with a great bed and no noise! We hate to complain, but the staff were very helpful and made the room change whilst we were out sightseeing.The consierge are so helpful, they organised us a private car to the airport (which was cheaper than a taxi) and booked us into some great restaurants which were within walking distance - nothing was too much trouble.For a cheaper breakfast, there is a little cafe on madison ave (out of the hotel, turn right) which does delicious pancakes and Times Sq is only 10 mins away - plenty of places to choose from on the way. We will stay again.	
Aug 27 2008 	Its was OK nothing fantastic.	I stayed at the hotel last December and my expectations were pretty high after spending ages on tripadvisor.Unfortunately the first room I was given was really really noisy (even with ear plugs at 11pm!) although double glazed, but the staff were helpful and happily moved me to a quieter room. Overall I think the hotel was OK, but I didn't think it was anything special given the cost. The decoration seemed a little tired and I've stayed in better hotels in the UK for $100 a night.I don't think I'll be going back to the Carlton, it was so-so, but the staff were very nice.	
Aug 27 2008	Carlton on Madison hotel	Just back from NY and I was staying at the Carlton on Madison, good hotel with pleasant helpful staff, the room {401) street view first floor was very good and more than adequate for our needs.The hotel is near the junction of broadway and as there is a open park area at every Broadway junction the Madison Park is a welcome respite from the congested buildings, a quiet coffee watching the locals walk thier dogs and eat out the buckets :-) {only one} was very entertaining.I'd recommend the hotel and the city as I never seen any sign of trouble in the entire city and there was more than enough to keep anybody entertained, what did surprise me was the architecture as I never thought there would be so many historic and interesting buildings, a great trip and I'll definately recommend the hotel and the city.	
Aug 11 2008	Carlton Exceeded Our Expectations	My husband and I stayed at the Carlton on Madison in NYC from August 1 to August 4. We were in NY to celebrate my husband's 40th birthday. At reception were greeted by friends who were there to surprise my husband as part of the celebration. The hotel staff at check-in saw the commotion - balloons and all - and made a quick decision to upgrade our room. We were thrilled. The room was beautiful - a real treat. But that was not all. That evening in our room when we returned from sightseeing there was a very thoughtful note from the Hotel Experience Manager accompanying the most delicious cheesecake I have ever tasted.  We felt so special getting this wonderful treatment ... and yes, I did have cheesecake for breakfast the next morning!! I am certainly sharing my story back in Canada telling everyone they have to stay at the Carlton when they go to New York. I am very grateful for the hotel making my husband's birthday so memorable.	
Jul 29 2008 	Okay but watch your wallet!	I stayed at the Carlton this past weekend. After reading your reviews, I knew to expect a nice lobby and very small rooms - both true. It was just my girlfriend and I, and there was hardly room enough for us to open our suitcases and get our stuff out without bumping into everything. The only upside to the bathroom was that it practically guarantees you have sex - because you have to squeeze past each other, literally, as you go from the door to the shower. The entire bathroom, shower included, couldn't be more than 6' x 3.5' if that. But of course, it's NYC, so I know space is at a premium and I can deal with small spaces. What really irked me was the upcharges on drinks and room service. We grabbed 2 wines and a beer before dinner. I signed the receipt to charge the drinks to my room. I never saw the total, and never got a bill. I was floored to see it was $35 the next day on my room bill! We also ordered breakfast through room service. The food arrived quickly, but given the room is so small, they couldn't roll in the serving tray and the guy had to put breakfast on or bed. I rushed to grab the bill and sign it as my lady friend was just 3 ft away in the bathroom stark naked and I wanted to get this dude out of there. Well, I gave a NYC style tip, and THEN after he left noticed that the bill included a $5 delivery charge, an automatic gratiuity that was very large, and they charged me $7 for a side of TOAST! Basically, eggs and coffee for two cost me $70 - even for NY that's rediculous. Between that and the drinks, the reasonable room rate I got flew out the window. Also, they have parking, but it's as expensive as just about any neighboring lot.	
Jul 27 2008 	Small comfortable clean and incredibly quiet	The Carlton is a wonderfully situated hotel. I booked a room for $209 on hotwire. What I really appreciated about the hotel was the incredibly quiet room, the very comfortable (but incredibly small) bed, and the excellently appointed bathroom with great water pressure. I wouldn't pay rack rates for this place though as I would be extremely upset with the size of the room (even for NY). All-in-all a great hotel. Also, the building's original facade is really along with the grand lobby.	
Jul 27 2008 	great friend getaway	I traveled with my friend for a girls getaway. We thouroghly enjoyed the hotel. Quick check in, room was large (for NYC) and bathroom . We got a corner room on about the 6th floor and end of the hall. Perfect and quieter. The staff was so helpful and we never had a problem. They even mailed back a whole suitcase for us. What we loved the most was the location. This hotel is centrally located. Everything is in walking distance (10 to 20 blocks). Subway right down the street. It was nice because when you walked out of the hotel, you weren't in a mob of people, it was just a normal street in Manhattan. We had breakfast there the first morning, great food but pricey ($100 for oatmeal breakfast and 1 egg,toast and bacon and 4 mimosas). We found that in the AM, we would just walk around the corner to fifth avenue for a Starbucks and stop at a deli for fresh fruit and pastries. So we did that for the rest of the week. If you are not a big, TIMES SQUARE intense, crazy atmosphere, this is the hotel for you. Friendly, great location, and clean, larger rooms.	
Jul 4 2008 	Modern Masterpiece Surprise!	We read a review about this hotel and one of the descriptions was....&quot;located in an emerging neighborhood.&quot; I'm happy we put the open for interpretation red flag aside to stay at this beautiful hotel just 3 blocks from the Empire State Building. We arrived quite late on Friday evening and were welcomed by a kind gentleman smiling from ear to ear. The hotel lobby was remodeled and features a 2-story waterfall with an old time photo of NY behind it. You will also notice a gorgeous Tiffany skylight in the hotel restaurant &quot;Country&quot; which is run by a one of the nations top chefs . We read that this WWII era skylight was uncovered by the Architect during the renovation process. Even the elevators were designed using some of the original components giving it a vintage look. The rooms are small but tastefully decorated. Very comfortable beds and an ipod docking station. We made this reservation late, and were surprised they were able to honor our request for a room with a view of the Empire State Building. Water pressure is low...so don't expect a power shower....but do expect nice robes compliments of the hotel! The hotel is only about 10 stories which makes it look like a townhouse in the middle of the city. The hotel is close to Broadway theaters, Times Square and various other hot spots as well as Penn Station, but a welcome quiet retreat when you decide to turn in for the night. Even housekeeping is very quiet and respectful during your visit. We received a very good discount through TravelZoo. We highly recommend staying at this hotel.	
Jun 29 2008 	4 Star? No Way!	The problem with the newly renovated Carlton Hotel on Madison Avenue and East 28th Street is that it is not what is supposed to be. It was supposed to be a 4 star hotel room, but it was a 2 star hotel room. Has anyone ever heard of a double bed (not a queen) in a single room intended for 2 guests in a 4 star hotel? The room was so tiny that the two of us could not get around the edges of the furniture or the puny sized bed without banging into something. The bathroom door could not open past the toilet. There was not enough room for our luggage or clothes. But to be sure that this is not 4 star -- an old fashioned 25&quot; tube TV instead of the sleaker, brighter, and space saving LCD that you now see in just about any hotel. To be sure, the lobby is beautiful and the restaurant Country looked fabulous. However, the two recommendations from the front desk for a good local salon and a dry cleaner were not up to par, either. Room was kept adequately clean, but they should have removed old ice buckets and used wine glasses. A true 4 star would be different/better. Booked within 24 hours thru hotwire for $249 before taxes.	
May 28 2008 	Perfect spot for a great weekend	Travelled to NYC this past weekend and stayed at the Carlton Hotel after doing some digging on a number of spots. I'm pretty picky about my hotels and tend to stay away from the really big ones. The Carlton proved to be a fantastic pick. The rooms were big, the hotel was clean and well kept, as was the bathroom in the room, and the bed was pretty comfortable. Even the windows opened. The renovation in the lobby was done well; my friends who previously stayed in the London thought the place looked great and enjoyed their stay as well. Staff was really nice and helpful; Jill in particular went out of her way to pass along helpful hints about some of the restaurants where we wanted to eat. One last thing - the Madison Square park was a really easy stoll right down the street. Both mornings, my wife and I enjoyed the early morning sunlight in the park with a cup of coffee from the corner store next to the hotel. Highly recommended!	
May 6 2008 	I heart NYC!	With reading the previous reviews, my boyfriend and i didnt know what to expect. I thought the hotel was lovely. Yes, the rooms are a little small, but it didnt seem to matter. With all the stories about new york the hotel is situated in a safe neighbourhood. Its about a 10min walk to the empire state building and another 5 after that to get to macys. Its the perfect location if you don't want to be in the &quot;thick&quot; of it.Staff were friendly and helpful. A great place to stay!NOTE - there is not safes in the rooms anymore - you have to use a safety deposit box down in reception.	
May 2 2008	Okay	The lobby is lovely, the staff competent. Our room was very small which I expected after reading reviews. You can barely move the desk chair out to sit because the queen size bed takes up most of the room. There was a tear in the carpet and our room safe did not work. We were told we could bring our valuables down to the lobby....no, thanks. The room was very clean and the bedding was luxurious and very comfortable. At check in we asked for a room on a high floor but were told &quot;sorry this is the type of room you booked but it is very nice.&quot; Our view was of some industrial stuff on a neighboring roof. So if you booked through Hotwire don't expect an upgrade. All in all it was fine.	
May 1 2008 	relaxing but perhaps a little snooty	Good location in midtown Manhatten, not too far from 5th Avenue, the Empire State Building, and the theatre district.The room was a good size, clean and had a nice bathroom with a shower and a bathtub. It was dimly lit, however, with just three bedside lamps and no main light fitting. We couldn't get the safe to work and the air-con was the same temperature nomatter what the setting.Upon check in we were given no information about the room or the hotel and throughout the stay felt that the staff thought it an inconvenience to speak to us - having to tear their eyes from the very important box-ticking or whatever business they were conducting on their computer screens at the time which prevented them from acknowledging our presence!We checked our account one night only to realise that we had been charged about $80 worth of honor bar items. The hotel receptionist says this happens all the time (how reassuring)...you are automatically charged to your credit card for any item that is moved from its place so watch out for that.We ate breakfast at the restaurant on the last day and it was really nice.Overall the hotel met my needs and provided a relaxing environment to come back to each night. I wouldn't go back however as I was not made to feel welcome and I felt that it was fairly 'snooty'. I wouldn't say it was worth the $400 a night.	
Apr 27 2008 	Wonderful four nights at the Carlton	My sister and I wanted a midtown hotel convenient to Penn Station for a long theater weekend in New York. I decided I did not want a hotel near Times Square or the theater district so we would see more of the city. I was absolutely delighted with the Carlton and even more delighted with room rate of $209/night obtained through Hotwire.com. The lobby and public spaces in the hotel are modern in decor, but warm and inviting. Upon registering the front desk upgraded my room from a standard (with a full bed) to a king. This was appreciated since we were sharing a bed. The room was lovely and featured pristine white linens and comforter, a tufted headboard, a huge wardrobe holding a wide-screen TV, closet space, bureau drawers, and a honor bar. The bathroom was compact but intelligently designed with plenty of counter space and a wall cabinet to provide extra storage. On the back on the bathroom door were two lovely bathrobes. The shower had plenty of pressure and was one of the best hotel showers I've used. The room was in excellent condition. The bed was super comfortable and the hotel was very quiet. We never saw guests in the hallway--but we did see plenty of housekeeping staff.The front desk staff and the conciege were extremely helpful and friendly. I didn't find anyone to be remote or aloof as other reviewers have reported. Our first night there I asked for a restaurant recommendation and was asked &quot;What type of food to you want to have? Italian? Mexican?&quot; and it was a bit like having a conversation with friends deciding where to eat. I chose Mexican and they made a reservation for me instantly at Dos Caminos, which by the way had the best Mexican food I've ever had outside Austin, where they serve some of the best outside Mexico. We had breakfast the first morning at Country, the restaurant located inside the hotel, and it was excellent. We split a side order of bacon, which was a huge portion, perfectly cooked. We didn't need to eat lunch that day. We had dinner at Country Sunday night and it was excellent. The hotel is a block from the subway at Park Avenue and 28th and is within walking distance of the Empire State Building. Two lovely parks within walking distance heading to lower Manhattan are Madison Square Park (the Flatiron Building is located there) and Gramercy Park (private--you need to be a Gramercy Park resident to get in, but it's lovely just to walk around the park and admire the beautiful buildings--a real taste of old New York). It was lovely to come back each day to a beautiful hotel, a beautiful room, and an attentive and cheerful staff. The place made a very great impression on me and I'd stay there again.	
Apr 24 2008 	I Love the Carlton	I stay at the Carlton twice a year, every year, on business and I LOVE it. It is my home away from home in New York. The rooms are beautiful and the bathroom is large and gorgeous. The staff can be slightly disinterested, but that's New York for you.Location-wise, it probably isn't the BEST place for tourists, although it is close to a subway stop. If I were in the city for pleasure, though, I'd want to be closer to the park. As a business traveller, it's great. Free WiFi! Also, the bar is nice.	
Apr 22 2008 	overwhelming	hotel looks trendy and pulls quite a crowd on the weekends. seemed understaffed and had to give up my suite as they were overbooked. Standard rooms are small but have all the luxuries required. Would stay again but only if on special - not worth the $450 quoted.	
Apr 21 2008 	Disappointed in The Carlton on Madision Ave.-read this before you stay there!	I was very disappointed with my recent stay at the Carlton on Madision in New York.To start, it is NOT as nice as it looks online!! My husband and I arrived to find out that they did not have the original room that we had booked, so we had to take a room with two double beds. It was so small that the door hit the bathroom when we entered. We were able to switch the next night to a queen size bed, not much better. still very small, barely enough room for our two suitcases. The beds were hard and uncomfortable. The towel racks were falling off the wall in both of the rooms that we had. There was barely any lighting. The first room had a broken lamp and and one of the electrical outlets was hanging off of the wall. Several other guests also told us that they had to switch rooms.To top it off, we had almost $30 worth of honor bar charges when we checked out, even though we had never used the honor bar! As we were waiting to speak to the front desk about it, another gentleman came up with the same problem. I do not know how this place gets away with being rated a 4 star hotel!! I have stayed in plenty of 4 stars and this one was by far the worst! I would rate it a 2 star.	
Apr 13 2008 	Excellent Location for Central New York	This was the first time we had been to America and I was not disappointed with the Carlton on Madison Avenue. The hotel was very clean throughout, the staff were very polite, pleasant and very helpful.We arrived late in the evening and the lady on the desk gave us an upgraded room, which was lovley. The bed was so comfortable with lovely linen and a feather duvet. The bedlinen was changed daily. The room was on the fifth floor and was very quiet, we had no disruptions at all.There was a tv in the room which was ideally placed and great to watch in bed! There was also a small ironing board and a fab iron! The bathroom was lovely and the towels were changed daily and was exceptionally clean.A complimentary newspaper was left at our door each morning. The hotel itself is ideal as it is centrally located and everywhere is easy to get to either on foot or by the subway. There are plenty of cafes and deli's near to the hotel.I would certainly go back to the Carlton on Madison Avenue.	
Apr 5 2008	Nice but Underachieves	The Carlton seems to not exactly know who it is. The outward facing staff, whom you speak to at the desk or on the phone, are very attentive and want you to have a good stay. The hotel however is poorly maintained -- both in maintenance and cleanliness.My first room was a great size, but sadly you could not connect to the hotel wireless internet service as it was on a far edge of the hotel. It took me trying their wireless internet adaptor (which worked no better than the native wireless in my Apple) to get them to switch my room. I did not mention the peeling wall paper or sink counter top separating from the wall in the bathroom to them. I figured it was an oddity -- the room was very nice.The second room had internet connectivity, adjacency to an elevator and placement pretty much on a highway of foot traffic. The shower curtain had a fair amount of mold on it, which housekeeping neglected after I asked the housekeeper about it. Bathroom was in a similar state of disrepair as the other room. Just not looked after. The lobby, bar and restaurant are beautiful. I really do like the place and I hope they can work these kinks out. I'd like to stay there regularly.	
Mar 29 2008 	5 Star All the Way Impressive	Very impressed with this cute boutique hotel . From the minute my limo stopped at the entrance of this grand hotel the doorman was there to immediately greet me letting me know his name all the while taking my luggage to the front desk. Such a charm the agents are so professional and polite catering to my ever need . For a minute i swear i was back at home talking to old friends such warmth. Walked in my room was small ( my agent booked me a QN next time got to haveher book a KN) but very cosy from the frette comforter to the ammenities so luxurious. What was utterly amazed about i only hinted to front desk that i was in the mood for something other than the hotel resturant since i had them for dinner the night before.The young gentleman at the desk was gracious to let me know what was around and by the end of the conversation presented me with the menu of every resturant he had mention and which one delivered right to my room, such service wow I was really impressed with the accuracy of the bill was at my door at 3am and knowing me i'm always in a rush . Will visit again in a few weeks **FYI rooms are small make sure you book into a KN if you're as phobic as i am its worth the extra**	
Mar 26 2008	shame about the staff	overall it was a good place to stay but the staff seemed totally disinterested in their guests.	
Mar 22 2008 	Classy Hotel Central location	Good, 4-star hotel. Central location in midtown Manhattan, two blocks from Empire State building, one block from Fifth Avenue.We had a king room. Good size with usual amenities although bathroom small. Hotel has a small business centre for internet access (small charge made) plus an ATM.Would happily go back there.	
Feb 26 2008	Nice but not as nice as it looks.	I booked a trip for my girlfriend and I for Valentines. As I looked for hotels, i was not able to find any in several price ranges. First I looked for under $100, and found nothing, so I looked for hotels under $200, and still no luck. So I decided to look in a price range that I never thought I could afford. I looked at $300 and under and all of a sudden all of the hotels in New York came up. The price on the hotel website for The Carlton on Madison, was listed at something crazy like $450. Anyone that is willing to pay that much for a hotel, and especially this hotel is [--] Crazy. So I was quoted the price of $212 for supposedly a superior room. Well if this was superior, I sure would not want to see the regular room. We checked in and went up to the room and the door hit the bed as we entered. Not ok! So we went back down, and asked to a superior room, they said it was, and gave us one with a slightly different floor plan. This time the door didn't hit the bet as we entered. However, the size was still much smaller than any of the pics on the website. The lobby was beautiful, the location was perfect, and the overall appeal of the hotel was great. The rooms were small, the view was pretty lame, and the pictures were decieving. IF I had paid the price that the hotel website was asking, I would have raised hell. But knowing the price of hotels in NY and that it was Valentines weekend, I was pretty satisfied with the place. NO problems to speak of other than the size. The staff was very friendly, the hotel and the rooms were very clean. The bathroom was large and clean and the location on Madison was very central and in a clean and nice area. Close to Subway stops and in an overall great location. Just blocks away from the Empire State building. So go for it, Get a good deal, and try it out. If you dont expect a huge room, you will get exactly what you want. Hope this has been helpful. Enjoy New York Folks!	
Jan 25 2008	hotel was lovely but not a great location	We stayed here for 3 nights in november and had a good time.The only thing was the location was a little far out for us as we were on a shopping trip.We had a suite and it was lovely 2 double beds and a seperate sitting room 2 tvs and bathroom was big.	
Jan 20 2008 	Perfectly fine hotel	We stay here on business and chose it for its close proximity to my husbands office. We specifically book an inside room (very quiet). The room was about the size of a closet, but for New York it was perfectly fine! I might not recommend it for a vacation because of small room size, and certainly not for a family, but for busines travel it's a fine choice. Attractive lobby and restaurants within walking distance. We were also within walking distance of the Brooks Atkinson Theater on W. 47th where we went to see Grease. The staff was great.	
Jan 14 2008 	nice place and pet friendly	My husband and I were looking to spend Thanksgiving in NYC and see the parade when we found a deal for this hotel online, for 199 a night, and found out that they allowed small dogs which was a bonus for us (meaning we didn't have to board our pooch). As for the hotel, the staff were great. We had a problem with our heat/thermostat, and they sent a serviceman promptly to fix it. They had a whole welcome package for our dog, which we thought was really charming. The hotel overall is nice and well appointed. My only complaints is that that standard rooms are rather small. Even at a bargain rate. Secondly, the location is centrally located but may not be ideal depending on what you want to do in NYC. It worked for us, though we did rely on the subway a lot. The subway stop is a couple of blocks away, and you have to walk down a seedy street (which I might not have felt comfortable with had I been alone). Otherwise, the location was overall centrally located in midtown, putting most locales in easy reach. And we were really close to Macy's, which was great for the Thanksgiving day parade.	
Jan 4 2008 	Christmas in New York forever	I'd like to spend every Christmas in NYC with my boyfriend, and a ton of friends. My family lives everywhere but close, so when the holidays roll around, and folks are rebuilding family ties, I try to squeeze every bit out of the extra days off. So many places shut down, but in NYC things are hopping! And with the TINY slowdown during Xmas, hotels, including the Carlton offer better rates. So we jumped (thanks to TravelZoo) and wanted to be close enough to the theatres, Greenwich Village, SoHo and generally mid/downtown. With renovations the place looked very proper, elegant, heavy, with shadows in the right places. It's more a hotel for biz execs but we were there for fun. We couldn't t believe they let us in the hotel, frankly. Go figure. I LOVE NYC. It is a foodie festival every day. A safari for gourmets. The hotel on this occasion had to take second consideration. But about the hotel. It is in a quieter section, but cabs were easy to get. The look and feel is heavier, older, stately but with clean lines. The rooms are decently sized for NY, with a slight floral style. The bed was NOT comfortable; the shower, absolutely glorious. What really hurt the hotel was its out of control heating. It was so hot that even when we left the window open in December and turned on the air con, it still felt stuffy. WEIRD. Room service is good, and there's a wonderful little diner the next block over. The hotel restaurant, Country, is pricey but their &quot;oeuf au plat&quot; for breakfast/brunch incredibly rich, and perfect for those pushing the envelope on their cholesterol levels.So it was a beautiful, perfectly efficient hotel. Although I have great memories of the weekend, I would be hard put to recommend strongly the hotel to friends for (1) fun factor, (2) value, (3) charm. Also, aside from the little diner one block down and a 24/7 convenience store one block up, no quick quick outstanding eateries were 2 minutes away. Certainly, that's nothing the hotel can control... but those are the things that count for me! I can go on and on about the heating problems and shower... but would you want me to?	
Dec 31 2007 	A wonderful stay!	We stayed at this hotel because of a great deal we got for the room at half off the rack rates for a 2 double beds room. It was worth the money we paid especially during this time of the year.PROS:Walking distance to shopping and the Empire State Building. Beds were so comfortable with Frette linens. Pillows were very fluffy.Fancy toiletries.Very nice and helpful doorman.OK size clean bathroom with robes. OK size room for NYC. It was cozy and clean. IPOD dock clock radio.Loved the lobby.CONS:Our room was literally across the elevators. We opened our room door and there was the elevators with not much room in between (about 2 ft). Front desk person upon arrival was very arrogant but the one when we checked out was nice.No closet.No coffee.Fan in the bathroom was extra loud.	
Dec 29 2007 	Overpriced room small by any std.non-functional HVAC 	I've stayed at quite a few NYC hotels and stayed at the Carlton only because there was a group function there. I had no pre-conceived opinions about the hotel. Indeed, I had no opinion.The staff was quite friendly.The lobby was rather immpressive. So far so good. And then there was the room ..... small even by New York CIty standards. Now the rooms at the W are small, but they're functional. Not so at the Carlton. The lighting was horrible. I discovered that two lamps had no bulbs, and after they were replaced, the lighting improved to &quot;very poor&quot;. It was nearly impossible to read on your bed at night.The telephone wouldn't reach the work desk. The was either no fan in the bathroom or a fan that wouldn't work, so you were in a steam zone after a shower. My wife couldn't get ready in the bathroom after a shower, and there was nowhere outside the bathroom for her to do her hair, makeup etc. I inquired about a larger room and was told ours was a larger room. (I made it clear I was not looking for a free upgrade. I just wanted a larger room)One concierge was quite helpful. The other was nice, but better suited for a Ramada in Omaha than a &quot;happening&quot; hotel in New York.Things really got ugly after bedtime. It was cold outside, and the thermostat essentially had no effect on the heat. When the heat was &quot;on&quot;, it blasted the temp up to 80 plus degrees, and there was no way to moderate the heat. If you turned the heat off, the room was quite cold. The best alternative was to leave a window open and the heat on, and that technique helped provide a tolerable environment.... until the traffic picked up in the morning and the noise woke you up.I asked to speak with a manager and was told one would call. No call was forthcoming.I have never posted a bad hotel review before, but this place was profoundly disappointing and over-priced. If you want to see it done the right way, check out the Bowery Hotel.	
Dec 19 2007 	Fantastic!	We stayed here for four nights - when we booked we upgraded to a delux king room (was definately worth the extra!). Our room was fantastic, very big, massive bed with great cosy duvet, great bathroom, plenty of space for all my toiletries and it also had a dressing gown which i loved! The best bit about our room was the amazing view.... it looked onto the Empire State Building!!! (we put a note on our booking that we would love a room with a view).The hotel had such buzz to it, it was only the week before Christmas and it felt very festive. Lovely big Christmas tree in the lobby, great door men who are more than happy to hail cabs for you all the time!! Also the hotel bar served an amazing glass of 'christmas fizz'!! One afternoon the hotel organised carol singers who sang in the lobby, the hotel also provieded freshly home made hot chocalate and gingerbread men you helped yourself to! Very very festive!! This hotel helped make our first experience of new york just amazing!! Also, I would suggest the Empire State Building at night after your meal as it was so quiet and absolutely stunning! Also The Subway Inn is a very cool, american bar which is near bloomingdales and if you can i would suggest a trip to 'serendipity 3' - it was in the movie 'Serendipity' with John Cusack and Kate Beckinsale and it is amazing, you have to book though!! All in all, an amazing trip of a lifetime, we loved it and the hotel!	
Dec 18 2007 	Will Definitely Return Next Trip to New York	Had a fantastic experience at the Carlton on Madison Avenue this past weekend. My friend and I were there for four nights and both agree that when we return to New York we will stay at the Carlton on Madison Avenue. The hotel is ideally located within walking distance of many sites and shops, while enough off the beaten track to be calm in a city of hustle and bustle. There is a subway stop only a block away as well as many nice, local restaurants and delis. The area is very safe and we had no qualms walking back to the hotel at night. The lobby was beautifully decorated for Christmas and the hotel itself is classic elegance. We had requested a quiet room on an upper floor and when we discovered we were across from the elevator, our request to change was immediately accommodated. The room was very spacious and beautifully appointed, however, the room assigned was on a lower floor and the New York City garbage collectors kept us awake. The next day we requested another change and were happily accommodated again and found ourselves in a large suite with a view of the Empire State Building. We had packed our bags in the morning and they were stored and then shuffled between rooms later in the day while we were out enjoying the city. As others have said, the beds and linens are fantastic and there are complimentary robes for use during the stay. I can’t say enough about the superior staff. From the doormen to the operations staff, and those in between, everyone was a pleasure to encounter. Any request, from the numerous room changes, to adjusting the time on the clock, to fixing the running toilet, to storing our bags on the last day, to asking directions, and simply in general, the staff at the Carlton on Madison Avenue went above and beyond our expectations. We can’t wait to return to New York and to the Carlton on Madison Avenue.	
Dec 10 2007 	Great Rooms and Service	Great experience. I stepped out of the cab- the Doorman was very nice--check in LINDI awsome-restaraunt great- Rooms very nice linens were so nice pillows comfy- Bathrooms very clean-mini refridge. I needed ice and housekeeping very very efficient. -view of the courtyard nice- FYI you rarely see land like that in NY - safe. Deli-convenience store next door, liquer store across the street- great breakfast coffee place a block away. Nice area. Near the Empire State bldg. Concierge got us into Smith and Wollinsky Steak house- AWSOME staff!	
Nov 25 2007 	A comfortable stay.	My in-laws and I stayed in this hotel for one night on the Friday after Thanksgiving. We live an hour or so outside of the city, but we wanted to stay in so that my in laws could have the &quot;big city&quot; experience. We normally stay in Jersey City, so when our normal standby wasn't available, we didn't know where to stay. Needing room for 5 people, we thought that we'd be stuck renting two rooms at a high price (I had a lot of trouble finding hotels with availability with 2 beds and room for someone to sleep on the floor). Luckily, we found a deal through Travelzoo for $239/night plus tax for a Deluxe room with 2 full beds. At 375 square feet, it's probably one of the largest rooms that you'll find in Manhattan! The rate was nearly $300 below their rack rate, so it was a fantastic deal, especially since it was Thanksgiving weekend.The room was very nice. The comforters are fluffy and they use Frette linens on the beds (so cozy!). They had a few arm chairs and a desk, but really, all we needed was a place to sleep and change before heading out for another day of sightseeing. They do have basic cable plus HBO and Gamecube for a fee. There is also a minibar with an electronic sensor, so make sure you don't pick anything up unless you want to buy it! The bedroom was just like the pictures, but our bathroom was a little different. Instead of a marble vanity, it had a single pedestal sink. It had plenty of room for toiletries. The shower had good pressure, and even with five people, we didn't run out of hot water.The hotel does have a nice restaurant that we didn't try, but we did have a seat at the bar. As long as you realize that you're at an expensive restaurant bar, you won't be surprised at the prices. There are several cafes and delis within a few blocks; for a good sandwich and other deli treats, try Cafe 28 down on 28th and 5th. Their prices are very reasonable! It's on the way to the subway stop at 28th and Broadway. It's nice to be within two or three blocks of a few subway stations.As far as problems, there weren't that many. The heat seemed to be a little off, but we just stayed deep under the covers anyways. We were on the second floor (room #228) and had a nice view of the street, but since we were so low, we also had a lot of street noise. When you're staying at an expensive hotel on a deep discount, I couldn't really ask for more. It wasn't any noisier than a lot of city hotels.For the price, it was a fantastic deal! Even using Priceline, we couldn't have gotten something that cheap over Thanksgiving weekend in NYC, and then we wouldn't be assured of having 2 beds.	
Nov 25 2007 	Nice Hotel	I had a gift certificate for a 1 night free stay at the Carlton. I live in Queens, so it's only about a 25 minute drive to the city, but I wanted to do something nice for my wife's birthday. The hotel was very nice. The lobby was very modern, with christmas decorations, modern chairs and couches, and a small waterfall flowing down 2 stories. I did not eat at the restaurant, but it looked nice, althoughI had heard it was really expensive. The room was really nice, with a view overlooking a small park next door. The bed was amazing, with a very comfortable comforter. The tv was still old, but it was no big deal. It had about 40 channels, with free HBO, and of course Pay-Per-View movies that had just come on video or were just coming out of thetheater.The bathroom was great, with nice new tiles, mirrors, and amenities. Also came with a robe, which was nice and comfortable. The room was fairly big for NY, although we saw another room with an open door when we left, and it was much smaller, it even looked kind of cramped.All in all I had a great experience, and would come back againif the price was right (free is always good :0). Any questions, pleasefeel free to email me at yoshapman@hotmail.com. Thanks.	
