	Everything was wonderful except the size of the rooms.	If you are by yourself or staying with just one other person, this hotel is a great choice. My husband and I both said that we would absolutely stay here again..... as long as we were by ourselves. We stayed here for 2 nights over Thanksgiving with our 1 year old and 2 year old and the room was WAY too small for the 4 of us. The room we stayed in (611) was not much bigger than the Queen size bed that was in it. However, room size aside, the hotel was great. It is located very close to the Subway on the 6 line. The staff was very friendly and helpful. The lobby was nicely decorated with leather couches and fresh flowers and the attached restaraunt is very nice. They served a great breakfast with croissants, bagels, juice, yogurt, fruit, etc. And for the price, it was FABULOUS! We found a deal on the internet where we only paid $139/night. However, NYC kills you on taxes: $12.34/night State tax with $8.17/night city tax and a $3.50/night Occupancy tax.	
May 15 2008 	OUR FIRST BREAK WITH A 6 MONTH BABY	In NYC with our 6 month Baby-Park south Hotel was just OK...We wanted to make sure that the hotel had everything we needed so my husband wrote them an email to confirm everything.eg travel cot etc.. To our surprise their reply was very sketchy and rather rude!!..there was no hello's thank yous or sign offs! We had to again reply the email by making sure that everything we requested was going to be available as the first reply said they had it if we needed it..(of course we need a travel cot!)So we set off for our trip with the expectation that the hotel were rather slack!On our arrival the were polite and accommodating. we really had very little interaction with the staff but the door men were nice enough.The rooms like everyone said were on the small side but this didn't bother us. We were woken by next door people having an argument one night but thats not the hotels fault. The one very good thing was the continental breakfast served in the restaurant next door.You can expect to see many europeans stay here and many people above the age of 25 years. Did not see any other babies or children staying whilst we were there.Our stay was pleasant and short. we didn't have a kettle to do feeds so we used the coffee machine to heat the water...this was our fault for not checking.For the price we paid for staying i don't think it was good enough and that there could hve been more effort with the decor and staff.	
Apr 25 2008 	Nice Hotel Good Location.	After much searching, decided to stay at this hotel due to the recommendations on this website (price, location, quality etc)We were not disappointed. This hotel does have small rooms, but we asked straight away if we could move and the hotel were only too happy to oblige. Second room gave us more space (it wasn't huge) but it allowed us to be more comfortable. Hotel staff were friendly and helpful (at our request gave us coffee maker, allergy free pillows, booked taxi back to airport) nothing seemed to be too much trouble. Restaurant was good and reasonably priced (ideal for a meal after a hard days shopping) Subway station on the corner. Hotel also very clean, bed, towels etc. The bed was very comfortable, although the rooms did get quite hot (air-con fan heater never seemed to help much) Views from rooms not much good but this was never really an issue for us.	
Apr 16 2008 	Great Easter holidays	Very good location; great staff; great breakfast; excellent restaurant (live jazz on fridays evening); small double rooms (best chose a twin)	
Mar 1 2008 	Didn't love the Park South	Disappointed! Website makes guest rooms look comfortable, when i walked into our room I felt like it was a cruel joke! Not exaggerating when I say it was walk-in closet sized. No room to walk around the bed, the mini fridge door could not open all the way because space was so tight! The bathroom was terribly small too - no space for toiletries. No real closet in the room - there was cabinet with a 5 in rod sticking out towards you because there was no fitting a hanger in the traditional way. Trendy though, and okay area. Wouldn't stay again for more than $100	
Feb 3 2008 	Front desk staff need an attitude check	I've stayed at this hotel three times when my best friend came to New York on business. The rooms vary widely in size, from tiny to large but are tastefully decorated. The housekeeping staff do a wonderful job, as do the dining room staff at breakfast and dinner. Unfortunately, the front desk staff don't seem to have learned that haughty and condescending service went out of fashion in New York sometime after September 11, 2001. On my last visit, a simple request for minor assistance at the front desk was met with indifference, inaction and discourtesy. Fortunately, dining room staff jumped to my aid. I recommend that the management invest in a basic &quot;interpersonal skills&quot; course for the front desk attendants, they are a dime a dozen in New York.	
Jan 22 2008 	Great Experience	I stayed at this property with a friend from January 20th-22nd. After having a bad experience at a nearby Murray Hill hotel, I gave this property a call hoping for a better place to stay. The staff was very cordial on the initial call on the phone and at check-in. They were gracious enough to extend a complimentary room upgrade. The room was very clean, but not overly spacious. If you don't plan on being in your room a whole lot, this is the perfect place. They have a complimentary breakfast (pastries, cereal, muffins, deli meats and hard-boiled eggs), free internet access and newspaper. Great amenities for any new york hotel for the $209 price tag paid per night. This also is one of the most quiet hotel rooms that I have stayed in. Our room was located at the back of the hotel on the fourth floor. Never once was did I hear the honk of a horn, people talking or doors slamming. The beds were also very comfortable with great linens and many pillows provided. On our way to checkout the doorman asked where we were heading off to and had a car waiting for us once we stepped out the front door. Overall, this was a fantastic experience and would recommend this hotel for anyone staying in NYC.	
Jan 5 2008 	Clean quiet hotel - great HQ if you're planning to be out a lot	Nice clean little hotel. Quiet rooms, good cleaning and desk service. My boyfriend and I stayed for a week in early december. The room wasn't large but was comfortable and clean. Our safe broke four times while we were there but the handyman managed to fix it each time. Our view was of a brick wall across the courtyard but we weren't really in our room enough for that to matter. All in all, a cab anywhere in town cost less than $10, the hotel felt safe and was in a great neighbourhood for bars and you can walk to attractions like the Empire State Building and so this would seem like quite a good bet if you're visiting to shop or look around. We'd certainly stay again if we went back. For restaurants try Blue Smoke (jazz and a great bar open late - the food is brilliant) nearby. Try and see something at Madison Square Garden and try to make it to 11 Madison Avenue to eat - great service and a wonderful wine list.	
Jan 3 2008 	fantastic hotel	Park south is a fantastic hotel. Great double bed room, nice staff, breakfast included and subway just a few steps away. I'll stay again.	
Dec 30 2007 	Great 3* hotel	Stayed here for 4 nights just before Christmas in a Superior Double Double room. PLEASE NOTE that all Superior rooms have a view outside - of a brick wall. If you want a City view, then opt for the more expensive Executive Double Double. That said, the room was still great - average size, warm, clean, great bathroom, bath robes, TV, fridge etc.Breakfasts good - great range of fresh bagels, pastries, cereals etc.Never ate in the Black Duck Restaurant, but went in there in the evenings for cocktails and a listen to the Jazz Band - great bands, great staff.Overall, we thought the staff were all really friendly and helpful too. However, my friend also stayed here a couple of weeks before, and she had a different experience! Nice central location - not far from the Chrysler, Empire State and Fifth Avenue etc. Great Indian restaurant next door to the hotel -Copper Chimney - recommended. Also, great Tapas not far from the hotel - Barna. From hotel, turn left onto Park Avenue, and then left again for about 200 metres. Restaurant is on the left. We loved it here - great food, atmosphere, wine, staff and food!For yellow cabs, from the hotel, turn right onto Lexington Avenue - easier to flag one down here than directly outside the hotel.Any other questions please e-mail me, and I would be happy to help.Top things to do while visiting New York:1) Statue of Liberty - an absolute must - make sure you pre-book a free Monument Access Pass off the Circle Line Ferry Website for entrance into the statue (pedestal only, but still absolutely amazing! - if not just for the views, then for the museum!)2) Empire State Building at night - wow3) Grand Central Station - fab4) Walk in Central Park - beautiful5) Ground Zero6) Trinity Church - beautiful7) Cocktails in Trump Towers (on 5th Ave)8) Rockefeller CentreIf you think you're going to go and get a load of bargains though - think again! Bloomingdales, Saks 5th Avenue, Macy's etc - extremely expensive!That said, have a fantastic time, and enjoy!	
Dec 29 2007 	Nice hotel	Great boutique hotel in midtown manhattan. Its a great place for the price you pay. The rooms are fairly small (like most other hotels in New york) but very comfortable and clean. Spend 5 nights here with my mother and had a room with two doubles. The bathroom is very clean with a very nice bathrobe to use and lovely soap products. the complimenty breakfast is very nice as well. The black duck (restaurant/ bar) is alright but very dark and serice at the bar is not so friendly. Overall a nice place to stay, not a hilton but a decent 3 star.	
Dec 13 2007 	Fab hotel	We have just come back from a 5 night stay at the Park South.It was a fabulous hotel, better than i had expected. The outside of the hotel had little xmas trees covered in fairylights and looked welcoming. The lobby was very clean, with lots of marble and big sofas, very impressive.Our room was a good size. The wardrobe was very small though but it did have enough room to hang 5 or 6 items and 3 medium sized drawers, we did manage to fit our things in but it was small. I had read that there was no place to store bags but we didn't find that at all, there was plenty of room to have our bags against the wall and still walk around. The bathroom was lovely but small. But having said that how much time do you spend in the bathroom on holiday?? It was more than fit for its purpose. The bed was very firm but comfy. The flat screen tv was fab and there was a air conditioner/heater in the room so you could control the temperature in your room which was good (i found the corridors to be boiling hot so it was a relief the room could be how i liked it). We were overlooking the street so no exciting view but we weren't bothered by street noise at all. We were on the 5th floor, if we were in the room early evening or during day there was road noise but there was very little after about 9pm. The complimentary breakfast was good, with lots of bagel/croissant/bread/cereal etc. I also stocked up on the bananas and nutrigrain bars supplied for snacks during the day. We did not eat any other meals at the hotel, there is a lovely deli next door called Bagels and Schmear which did a great breakfast and amazing bagels all day. There is another little market shop on the corner of the street which has a deli inside that was also good. There's also a 24 hour mcdonalds on the same street. We didn't try the Indian restaurant next door but we did notice the corridor occasionally smelled of curry but our room did not smell.The hotel was ina good location, the subway was literally steps away, it was very easy to flag down a cab on the street adn we walked almost everywhere and it took only minutes. Good location, near sifghts but in a quieter neighbourhood. Would definitely recommend it adn would stay there again.	
Dec 8 2007 	Great NYC hotel	My boss and I stayed here twice within the span of a couple months for two tradeshows we exhibited in. The hotel was very convenient (we could walk from the Javits each day) and clean and comfortable as well. The rooms, while typically NY small, were decorated tastefully and felt very clean. A major perk was the free continental breakfast, with a great selection of food choices. We found the staff to be quite friendly and the overall experience was a good one!	
Nov 29 2007 	Great hotel in NYC	My partner and I stayed at this hotel for 5 nights in November 2007. Our main reason visiting NYC was for the shopping so we were looking for a clean, well-presented hotel in the hub of it. We got a lot more!The hotel was superb. It has an art deco style, large reception area with comfy sofa and chairs and a fitness room in the basement.Location is great too, about 10mins from the Empire State Building and the subway is approx 1 minute from the hotel, which goes both uptown, and downtown.We were fortunate to get upgraded on arrival and stayed in room 407 on the fourth floor. The room was very good; medium sized and nicely decorated. It also had super King size bed, large plasma TV on wall and a clean, modern bathroom. The hotel also provides you with a hairdryer, bath robe, ironing board, iron and coffee machine.There is a heater and air con unit under the window too.There were two downsides to our room. One, that we were facing the street so the view was semi-ok (car parking and front of hotel) but it was also very noisy, especially on the first night, which was a Saturday. The rest of the week was a little quieter. We decided to not ask to be moved though (more a case of having to re-pack then un-pack again).Secondly, there is a small Indian restaurant next to the hotel and as our room was on the street we could smell this some nights, as the window would not fully close. Again, we were just too lazy to switch rooms. (my partner would like me to point out that he couldn't smell anything though!!)One of the best things about the hotel is that breakfast is included in the price. There’s a great selection of teas/coffees, muffins, croissants, bagels, fruit toast, yogurts, cereal and fresh fruit. We tended to pig out, as you then really don’t need to eat until about 2pm!Breakfast is also served 7-11am, which is handy as you can have a lie-in still.The staffs in the hotel were very helpful too. We had a slight discrepancy with our bill but they resolved the issue quickly and efficiently.The doormen are also very polite and knowledgeable. Other things to know:Hotel is approx 30-45mins from Newark airport, depending on traffic. On a public holiday give yourself about 1-½ hours though, just to be safe.The hotel also has a restaurant but the food is quite specialised and wasn’t to our liking. The atmosphere is lovely though; one end of the restaurant has a log fire and armchairs, which is very cosy.Overall we were very happy with our choice and would stay here again and recommend to our friends and family.	
Nov 27 2007 	Park South- solid hotel great location	I just returned from a four night trip to NYC for Thanksgiving weekend and stayed at the Park South hotel. The staff was friendly and helpful. The lobby, hallways, and common areas were very clean. The continental breakfast is a great plus to your stay (if you're not going out for a meal)- bagels, coffee, cheese, muffins, pastries, various meats, English muffins, juice.The rooms were larger than expected (for New York City). Our only complaint was that the bathrooms desperately need an extra shelf!! My two friends and I couldn't even keep our toiletries bag in the bathroom. The beds were comfortable, but a bit firm for my taste.I think the best offering of the hotel is the location. You're literally one block from the 28th/Park Subway stop on the 4/5/6 line. Go uptown, downtown easily- it's great!I will definitely recommend the hotel to others and plan on using it for future trips to the city.	
Nov 14 2007 	Excellent experience from budget travelling husband and fussy wife	We had some trepidation when reserving Park South Hotel given that its price was $100 + a night cheaper than well known hotels with good reputations and at the same price level as hotels with lousy reputations. But our visit couldnt have been better. Even though we got a room next to the elevator, we could barely hear it. The staff was respectful, though not fawning (an attitude I would not expect from a self-respecting). The room was not tiny, just small and certainly was well appointed, with a touch of class thrown in to details like the bedpost and the terrycloth robe. The complementary breakfast pasteries were great, a cut above what one expects for free breakfast. I loved the neighborhood, quieter than midtown, but in walking distance to it, as well as longer walks to the Village. I loved Anthony Bourdain's Les Halles restaurant around the corner (quite affordable) and the fun indian emporium a few doors down. All in all a great, affordable experience.	
Nov 13 2007 	Seventh or Eigth Stay At This Hotel	I've stayed at this hotel at least seven or eight times in the last five years and it is always a fantastic value for the money. While the rooms may be on the small side, the friendly staff, excellent location, great breakfast, and overall niceness of the hotel make up for this one detail.For the money, it is one of the best deals in Manhattan.	
Nov 7 2007 	Room issues	I stayed at the Park South Hotel for one night, and was put in a room right next to the elevator. The noise level was rather high, so I called the front desk and asked whether I could be moved to another room. The answer was &quot;NO&quot;, and the recommendation for dealing with the situation was to &quot;walk to the corner pharmacy and get yourself earplugs&quot;. I would not recommend staying here.	
Nov 7 2007 	Terrific absolutely no complaints.	Thanks to a friend and past guest of the South Park Hotel for recommending this place to me. It was fantastic. The room was big (king bed) perfectly clean and very quiet. We even had a view of the Chrysler Building from our window. The wall mounted flat screen TV and the chocolates left on our pillow each night made our room a very inviting place to come home to at the end of each busy day. Free broadband in the room also facilitated a great stay.Ashley from the front desk was a pleasure to deal with over the phone from Australia. She put us on a waiting list initially for a room and then called back as promised to confirm availability leading up to our trip.The bar/restaurant in the hotel is a happening little place too!I'd read some scary reviews about various NYC hotels online but the Park South in Murray Hills, NYC was delightful. I would definately stay there again and will recommend it to my friends.	
Nov 2 2007 	Ok yes Rooms are small .... but overall not a bad stay	Yes well you can gather from the other posts that the rooms are small. And yes its expensive to get accomodation in New York so I suppose you have to just deal with it - I am not used to paying so much for a room and it not being 100% to my satisfaction but I cant whinge about it because you either pay ALOT to get a great room or pay an Average amount and get a basic room - we obviously chose the latter. Anyway, we stayed in a double room as there were four of us - two couples. We manged it OK, but probably next time we would get two seperate rooms or find a hotel with a bigger size as we could hardly fit all four of our cases.But - the good points - the room was clean, the breakfast included was good, the hotel has a great little restaurant (the steak was to die for), the location was excellent, can walk to most attractions or a short cab fare. I cant say that I would stay here again, I would try somewhere else But if you are not concerned with room size (i.e. you are on business) then I would recommend this hotel. Also a great indian restaurant next door - Copper Pot from memory and the Mexican as well next door are both great eats !	
Oct 30 2007 	Park South Oct.22-25 Great Experience!	My husband and I stayed at the Park South for 3 nights in October. We arrived at the hotel early, and checked our bags and explored/had lunch till 3pm check in. The room, 1 Queen bed, was very clean, bathroom spotless, desk, chair, flat screen tv and fridge. There were coat hooks behind the door and a small narrow half closet to hang shirts and below a set of narrow drawers for items. Also in-room safe. Comfy bed with down bedding and pillows, side lamps and a clock radio. My room was small, and no where to put luggage, should suggest to add a luggage rack/stand so it is not on the floor, otherwise, its all you really need in NYC. Provided breakfast, basic bread/toast, muffins, bagels, croissants,hard boiled eggs, cereal, fresh fruit, cereal bars, coffee/tea, etc.Staff was friendly and courteous, doormen were charming and the frond desk ladies were sweet. Good location, off of Park South near the # 6 subway line to uptown/downtown, lots of restaurants and takeout.Very safe area to be in. What i was very impressed with them, and if i could give them a 10+ is for their customer service. On our last day, we checked out, checked our bags with their storage and proceeded to do last minute shopping and sight seeing, had a great time cramming in the last bits, until we got to the subway to buy fare,i reach into my bag and my wallet, with EVERYTHING is gone.We raced back to our last purchase store, no luck, nice for them, we got to use their phone, but who do i call? I called the hotel for help/advice. They advised us to go to the police and file a claim.And allowed us to use their fax/phone numbers to receive any info regarding our situation. When we got back to the hotel, they received copies of our passport and social insurance cards, that we left at home, and had our family fax over to us. Allowed us to use their front desk phone to contact our travel insurance/ visa card to get some cash wired, and the hotel agreed to give a cash advance against our visa card that the agent had reissued for us.Also they helped us find a new flight to get home, considering during all this we missed our flight home. I believe they really went out of their way to help us any way they could, And we had already checked out, so really, we were no longer guests! Honest, decent, genuine, considerate, helpful people! When i go back to NYC I'm staying there again.	
Oct 25 2007 	Horrible Service	horrible service, slow - inefficient and generally RUDE!!!this is NOT a 5 star luxury hotel, yet ALL THE STAFF act as if they are working at the Delano!SLOWWWWWWWand RUDE.	
Oct 17 2007 	Best!!	Im taking the time to review this Hotel, i saying only one thing.. its the best , its a small comfortable hotel located only 15 steps of a subway station in 28 street, the rooms are spectacular and clean ,staff and security great , the continental breakfeast was the best one I have ever seen in a hotel !! I recommend this hotel to everybody dont look for other options. AHH forgot the price excellent for the city of NY.	
Oct 9 2007 	Park South: Good value for the money in Murray Hill	We really enjoyed our stay at the Park South for 2 nights in September. We booked our room through Priceline and got a reasonable rate. Breakfast was included. Check in was efficient, we had been upgraded and found the room (#419) to be large, immaculate, contemporary and stylish. The bathroom was very small (the blowdryer is kept hanging in a bag on the back of the bathroom door because there isn't anywhere else to store it!), but it was fine for the two of us for a few nights. Smallish &quot;closet&quot; built in the wall with 4 drawers beneath it; the hooks on the entryway wall were a nice addition. Our bed was a king, the mattress and bedding were great....Again, everything was very clean and appeared to be relatively new. Our room was very quiet. Breakfast was basic continental...there were hard boiled eggs in addition to the bagels, muffins, cereal, fruit, etc. on Sunday morning. The doorman offered to store our luggage on Monday after we checked out of the hotel while we visited MoMA: This was great for us. Everyone we dealt with in the hotel was professional (check-in, doorman, housekeeping). The neighborhood is filled with restaurants (we had really good Indian food one night and had great barbecue at Blue Smoke one afternoon), there's a small store on the corner for really good sandwiches, coffee and bagels. The general vibe is friendly and safe. I'd stay here again.	
Oct 3 2007 	Excellent hotel	We stayed in the Park South in mid September for 3 nights and I would highly recommend this hotel.The location was great with the subway nearby. The room is clean and the bathroom is modern and clean with excellent water pressure. The bed is comfortable. I can't comment on the size of the room as that was the first time I have been to New York and the Park South was the first hotel in New York that I ever stayed in.I also found the hotel to be quiet. Though fully booked, I couldn't hear the people next door or above us. I would stay in this hotel again the next time I am in New York.	
Oct 3 2007 	A nice little hotel	My most recent stay at the Park South (I've stayed there twice) was good, and I would stay there again. The location is great, with easy access to midtown and Union Square, a subway line practically outside and a Duane Reade just on the corner. The staff are helpful and friendly, and the chocolate at reception is always a nice touch. They offered car service (unprompted) when we were checking out and minded our cases with no problems at all. Rooms are a bit small and on both times I've stayed there I've had no view, other than the usual NY view - onto other buildings. I hear that there are views of the Chrysler though, so maybe you'll get lucky... As a result of this the rooms are dark and the lighting in them leaves a lot to be desired - this is probably my main gripe. They were very clean though and the fridge is very useful. The AC is noisy but efficient. Breakfast is great, and we didn't have a problem getting a seat although the restaurant is small. The first time I stayed here my employer paid as I was on a work trip. The second time, I paid. The location (right in Murray Hill) does it for me, it's just great. As there are a lot of business people staying here regularly it means that the staff are a bit nicer - they know that there's a chance you'll be back. It also means no 15 minute waits for the lift as a giant tour group takes over an entire floor. The intimacy of it combined with the location make it a great choice.	
Sep 27 2007 	We loved this place!!!	We came to NYC for a 5 day trip in September and spent 2 nights in this cosy and fair priced hotel in midtown. The hotel staff was very friendly and we were assigned a cute room on the 8th floor. Like most hotel rooms in New York, it was fairly small, but offered sufficient space for luggage, clothing etc. Wireless internet and flatscreen TV were among the amenities we enjoyed. The room including its nice bathroom was very clean and designed neatly. Details are what matter to me and I found them to be placed well in this hotel.Breakfast was included in our rate (booked via [--]) and offered a variety of bagels, muffins, croissants, cup cakes and bread. Also fresh fruit was offered. Being German we especially enjoyed the somewhat 'un-american' big variety of cheeses and cold meats for the breads.  The location of Park South is perfect as well with a subway station right on the corner of the block that takes you north to Central Park and south to SoHo.We really enjoyed our stay at the Park South and whenever in New York again will come back there!	
Sep 27 2007 	Park South was more than adequate	My husband, daughter and I stayed at this hotel for 3 nights in August. Our room was on the third floor and had 2 double beds which were very comfortable. The room was not spacious but we weren't in it much apart from when we were in bed. I did think the noise from the air con would be annoying but it didn't bother us which was good as it was necessesary to have it on as the weather was hot. Most points have been covered in other posts all I can add is I would recommend this hotel to anyone like us who is on a short break in New York and just needs a hotel as a base. I did a lot of research on hotels before our trip as value for money was paramount and we certainly had that. We had a brilliant time in New York and I am glad we stayed at the Park South Hotel.I booked this hotel through Quickbook.	
Sep 25 2007 	not all tiny rooms	Not every room is doll sized as one reviewer mentioned. My wife and I have been 3 times in the last year and the more familiar you become with the property and the staff the better your stay becomes. Ask for room 209, very quiet and large and near back door with ez access to rest of this fabulous neighborhood location.	
Sep 19 2007 	A great place to stay in nyc	We stayed here for a week and had a great time - the rooms are small but then they always are in NYC. The rate was very reasonable at $209 + taxes per night which includes breakfast - almost unheard of in New York hotels as far as I can tell. The location is very convenient to both subway stops and main drags for cabs etc and there are a lot of restaurants on 3rd avenue just a block away which never disapointed. I would thoroughly recommend this place to all travellers.	
Sep 15 2007 	Front Desk Attitude!	I was disappointed with the attitude of the front desk staff at the Park South Hotel. It has always been my experience around the world to find hotel staff to be happy and effervescent - this bunch were lack lustre and flat. Overall, the room we had, though small, was well furbished and clean. The restaurant/bar downstairs had loads of nightime atmosphere, particularly when the jazz singer and her ensemble played. It was nice to return in the evening, plop down in a cosy chair with a cosmopolitan, to chill-out before dinner. It felt like we were in a jazz den, all deep red furnishings and dark wood. On check out please check your bill thoroughly as we were charged twice for the same phone call. This could happen anytime anywhere, but the front desk staff were adamant that they were right and we were wrong. In the end, after consultation with a supervisor, they acquiesced. In the end, it's all the little things like a &quot;Smile&quot; and a &quot;Hello&quot; that make all the difference to one's overall experience. Unfortunately we barely experienced either of these two simple gestures here.	
Sep 13 2007 	Not at all bad...for New York	It's amazing how little hotel you get for the money in New York, but altogether my stay was pleasant. The staff was friendly and helpful on my (limited) interactions with them, and they kindly held my bag both before check in and after check out which I appreciated. The room was tiny - two steps from the door to the bed, another 2 steps to the desk, and in the bathroom you had to carefully pivot around the door to get to the tub. Even in NYC, I would not want to share this room with a second person unless I was very, very comfortable with them. You could not bring in a cot for a kid. And to put it as delicately as possible, larger people might find the experience quite uncomfortable. The room smelled of paint (my colleague who stayed on another floor said his did too), which was unfortunate since the window did not open. But on the plus side everything was clean, there were plenty of towels, the bed was comfortable, and the free internet worked beautifully. Breakfast was free in the restaurant attached to the hotel - nice! It was totally fine and obviously very convenient. We also had drinks and appetizers there on the evening we checked in - didn't seem like anything special, but again the staff was friendly and it was handy. (Not that the hotel isn't convenient to other, more desirable restaurants - Anthony Bourdain has a place around the corner, and the Grammercy Tavern is nearby as well as dozens of others.)I didn't hear a sound after I laid my head on the pillow, despite being near the elevator. My colleague said his hallway was noisy, though, so I guess it depends on who your neighbors are. Overall, although I would be appalled to get so little space for so much money in most other cities, I can recommend this hotel and will probably stay there again.	
Sep 12 2007 	Great Location Great Price Great Place	This was our first visit to the Park South Hotel and it was a wonderful stay. The staff throughout the property was friendly and helpful. A great bargain for the location, with good amenities and looks of the hotel, and only 1/2 block from the 6 subway line. Although the room was very small, it was not shocking by NYC hotel room standards. It was clean, nice linens (bed and bath, with a bath robe) with a flatscreen tv, and tiled bathroom with nice toiletries. The room air conditioner worked fine. The breakfast was amble- cold sliced cheeses, meats, hard-boiled eggs, cold cereal, yogurt, sweet breads, plenty of coffee and juices. The property has a very nice restaurant and bar on its premises; a nice plus was the live jazz on Fri and Sat nights. We were housed on the 8th floor, facing the alley, so it was quiet. We had traveling companions who stayed on the 2nd floor facing the street, and they complained about the noise - oh well, to be expected, so bring the ear plugs if you're on lower levels. I would recommend staying at the Park South and will book my room (on the upper floors) when I return to Manhattan.	
Sep 11 2007	good value	Although I have visited New York City annually for more than 10 years, this is my first NYC visit (and review) since joining TripAdvisor last summer. I like to try a different hotel (sometimes more than one) for each visit. Hotels have ranged from luxury--St. Regis (3 times), Four Seasons, Mandarin Oriental, Pierre (while a Four Seasons), St. Regis Club at Essex House (while a Starwood), Peninsula--to &quot;chic/designer&quot;--Mercer, Chambers, City Club, Shoreham, Tribeca Grand--to &quot;good value and well reviewed&quot; --QT, Lucerne, Library. The Park South belongs in this last category.The hotel is located on E. 28th St. between Park and Lexington, an area I've never stayed in between Murray Hill and Gramercy Park. The Empire State Building is within walking distance. The subway stop for the 6 train is 1/2 block away on Park. Note: if returning to the hotel by subway, take the local 6 train only; the 4 and 5 express trains don't stop at 28th St. This area seems to have a large Indian population which is reflected in nearby shops and restaurants. A McDonalds and a Duane Reade drug store are on the same block. Note: Park and Lexington have some restaurants, but 3rd Ave. one block further east has many more.The front desk staff do everything--the usual front desk duties plus concierge duties, DVD check-out, room service orders from the adjacent Black Duck Restaurant. Everyone I encountered was competent but not particularly friendly.I was given a room on the top (8th) floor, and judging by the fire escape diagram on my door, it was the smallest. I was neither surprised nor upset, given that I was travelling solo for this trip and also booked through a discount website based in NYC (Quikbook). My room looked exactly like the photos posted by &quot;redhead 73&quot; on 3/28/06. My room was right behind the small elevators, but I heard no noise.Despite its size, the room was decently equipped--DVD player, small flat screen TV, fridge. The window was large enough and the space between buildings wide enough to let in a decent amount of daylight. The bathroom was tiny, had a shower only with weak water pressure, and the temperature of the water from the sink was highly variable. The closet was small--3/4 length with 3 drawers below. The rod was a foot long at most. There was no real space to store luggage.The previous guest seemed to have spilled beer on part of the mattress and carpet, as this area reeked and was damp. It took awhile and several attempts for housekeeping to address the issue, and the odor did not completely disappear.On the posivtive side, the hotel offers a car and driver (fees involved), free internet access (in room with your laptop or in the nice business center), a free DVD library, free newspapers (USA Today and NY Times but not Sundays), and a free expanded continental breakfast in the Black Duck restaurant. The breakfast is set up on the bar and offers a wide variety of carbs--toast, bagels, muffins, danish, croissant, cold cereal--and some protein--cold cuts, cheeses, hard boiled eggs. It is offered 7-11am and is always crowded. It was here I discovered that most of the other guests seemed to be European, taking advantage of the strong Euro and the August holiday.The restaurant is open for dinner nightly and did not seem crowded the times I peeked in. The menu is seafood oriented. I did have room service one night. The front desk took the order and a waiter delivered the tray, but without the usual room service amenities like salt, pepper, flower, water or bread. At least there was a napkin and the food was tasty.All in all, although some of the other &quot;good value&quot; hotel I've stayed at were in more vibrant neighborhoods (Times Square, Upper West Side), I would book the Park South again without hesitation if I got a good rate.	
Sep 7 2007 	Excellent Stay	We have stayed at several New York hotels over the past years. Our most recent stay was this past Labour Day weekend for 4 nights. South Park offers very clean new modern rooms. Our room had a quest size bed (very comfortable), night stands on each side of the bed and a desk with a chair. There was a fridge below the desk. The closet was build into the wall with 3 drawers, and hangers for suites, pants etc. A safe and an iron were included in the room. Bathroom had all the amenities you will need. The hotel offers a very nice upscale continental breakfast with a selection of juices, toast, delicious pastries, cheeses, cold meats, fresh fruits and of course coffee. Service was excellent. All in all an excellent stay and would stay here again.	
Aug 27 2007 	Nice....But Doll-Size	I've been there for 3 nights after 25 days trip aroun US and Mexico.The hotel is clean, nice, located right close to the underground (n° 6 - Stop 28th), with an included breakfast but....the rooms are too small, really small and without a real wardrobe !!!!If you have a big luggage and you are able to fit it , you have two solutions: walk on the luggage or jump over it....that's up to you!!Don't believe to the hotel website: photos don't correspond to reality (we saw 3 rooms)!!!!I'd suggest it for a one night stayng or if you travel without big luggage.ANTONIO B. - COMO -ITALY	
Aug 27 2007 	it all depends on the room you get	On his first trip here, my husband was assigned to what he thought was a regular room at the Park South; there was no mention that he had been given an upgrade. The room was spacious by New York standards and well appointed, especially for the price. So, on our next trip to NYC, we booked a room at the same hotel. Imagine our surprise when we checked in and got a room that was barely larger than its queen-sized bed. Honestly, there was no space for the luggage other than next to the bed, right we're you'd walk into it. The bathroom was nice, but there was no room to put your toiletries (and we both travel very light). Even by NYC standards, this was a tiny, tiny room. Breakfast was included with our room rate, and was a nice European-style spread of cold cuts, pastries and such. Nicer than most free breakfast, to be sure.So, if you're assigned one of the hotel's larger rooms, you'll be comfortable. In the standard rooms, however, prepare to be verrrry cozy. Considering the price and location, it's still a good value, but perhaps not nearly as impressive as we first thought.	
Aug 9 2007	thanks but no thanks	my husband and I were only able to take one night away from our 2 young kids. Hoping to stay out late enjoying the city and sleeping in. We were told that the hotel was sold out and that we were given an upgrade. With the excitement of being away from the kids and we overlooked the one reason why we needed to get away in the first place. We had a late dinner and did not get back to the hotel until midnight and slept around 2. Unfortunately, our dream of sleeping in was short lived. at about 6am, we were awakened by bright sunlight coming through the skylight right above our bed...4 hours of sleep...we mentioned to the front desk when we checked in that we both looked forward to sleeping in, over and over we said this, but they did not accommodate us in anyway. the front desk staff was not professional and the room was dirty...this is how we knew that we indeed were not upgraded. the room was dusty, the cabinets were filled with junk, shoes, booze, etc. and the fridge had mayo, and other used products. Over all we would never stay there again.	
