	Great Hotel	This hotel is a great find considering it is in Manhattan, if you love Broadway and that is part of your reason for coming to NYC, stay here. Its very close to the broadway theatres (Especially the Gershwin, where &quot;Wicked&quot; plays..one block away). The rooms are very small and are great if you are traveling alone or with your spouse. I would NOT recommend this hotel if you have children with you as most of the rooms are single twin beds or double twin beds. Other than that, the rate was great and although the hotel does have a restaurant, I found it too expensive and there are cheaper places to eat, you just need to walk around and explore until you find something that appeals to you.	
Apr 23 2008 	Not as bad as people are making it out to be	We stayed 4 nights in the hotel. As I have read the other reviews, I was a bit worried. I found the hotel on Hotwire, so my rate was a little cheaper. I was nervous about the size of the room though – and with good reason. The room was small! However, it is NYC! Nothing in here is huge and you get what you pay for. There was a small desk, a small closet and a single stall bathroom. The shower had good water pressure and the temp was good. We never had to wait for hot water. There was a flat screen TV in the room also, with an internet keyboard if you did not bring your own laptop. The internet service was horrible though. Not worth the $10 we paid at all. We could barely even navigate through the system and it was a waste. The lobby, hallways and the room were clean. Every employee we ran into were super nice, which is a rare find to find all nice people. They would stop what they were doing and acknowledge you. We even walked around the room in white socks and did not dirty them up at all. The only thing that stunk about the room was our location. We were on the 2nd floor, above the entrance, so we heard everything. We had a window AC unit that let some noise in – it really sounded like the window was open. However, we turned it on due to a small “heat wave” and it really drowned out a bunch of the noise. In the hotels defense, every hotel that I stayed in in NYC that has been on the 5th floor or below has always been loud.The location was great also. We only had to take a cab 2x in 2 days. We were across 8th from the Gershwin Theatre so we walked to go see Wicked. We did do the subway a few days, but the location was perfect! There is a bar/pub next door, so that was a great thing.I would stay here again if I was coming with my husband or best friend. However, I would need to spend a bit more if I was coming with a child to get a bigger room.	
Apr 22 2008	Excellent location	This was our first trip to New York, and after reading some of the negative reviews of the WJ hotel, we are very pleasantly surprised. It was spotlessly clean, the staff were polite and helpful and best of all was the location - it was very quiet (for New York) and very easy to walk to most of the tourist sites. It was also good value - around half the price of some hotels on Times Square. Can recommend breakfast at Georgio's Country Diner, just around the corner. It was excellent. We shall definitely use this hotel again the next time we are in NY....	
Apr 9 2008	Great hotel in NYC	This is a great deal in NYC. Location is excellent, just a few blocks from Times Square (51st St. and 8th). The staff is exceptionally friendly and helpful, room was very nice, clean and well decorated. It was not a very large room, but there was plenty of space. The price was very reasonable for NYC. I would definitely return to this hotel.	
Apr 8 2008 	Great value and location	As a solo traveler, I stayed in one of the single twin bed rooms. The room was very small (approx 7x 9), but the decore is modern, new and tastfully done. Bathroom has new tile and fixtures. Bed was very comfortable, fitted with a fresh comforter. Towels were also felt new, fluffy and fresh. There is a big window that opens, so the room doesn't feel as small. The ability to open the window as useful as the heat did come on one night and made the room very warm. Large flat panel TV and iPod clock radio were nice amenaties. Staff was very friendly and helpful. They even smile when you check in! I stayed here twice during my visit. First time the rate was $185., booked in advanced. Next time I just called the same day and the rate dropped to $155. I suspect if they are not filling rooms, the price goes down last minute.Subway is only 2 blocks away. Port Authority Bus Terminal is a 15 minute walk.	
Apr 6 2008 	Great all the way around!	After reading others' reviews about the room being tiny, we were prepared for a closet. This was NOT the case. We were pleasantly surprised to find the size was comfortable and more than enough room for a weekend stay. The staff was extremely friendly and accommodating. Our room and bathroom were spotless and the shower is great!! Great location on a quieter street while still steps away from Central Park and midtown Manhattan. The only negative comment we could find to make is you could not control the temperature of the room as there was not a thermostat. So our room was a little on the warm side, but you could open a window. Cosmic Diner across the street is fabulous, open 24 hours. Stay away from the outrageously priced Stage Diner. We left after seeing $18.95 for a cheeseburger. We would definitely go back to the WJ again!	
Mar 29 2008 	location location location	The room was very small but so what. Why would you want to be in the room when your steps away from everything NYC has to offer and them some. The place was clean, comfortable and the staff friendly. Other than some coffee in the morning what else can you ask for ?	
Mar 23 2008	ok stay	Our stay didn't start too good. given wrong type of rooms. didn't get sorted until the 2nd night. rooms very small. lock on door was faulty and we got locked into room. very good showers. very good location near time square. stay was ok, won't be going back. i should say that the hotel was clean and staff were friendly.	
Mar 19 2008 	A great hotel for a general NYC visit	Mostly all of the reviews on this hotel that are negative appear to center on room size. Our room was small, yes, but I really can't see what else one could possibly need!The room had a large closet, safe, ipod dock/am/fm radio/alarm unit a comfy bed with lost of room underneath to store cases etc, and a huge tv.The rooms and hotel were immaculatly kept and cleaned daily. They are stylishly appointed and a pleasure to spend an hour or so relaxing in after spending the day walking around the city.We found the service to be excelent. The Cosmic Dinner, on 8th and 52nd, with whom the hotel can get food delivered to your room 24 hrs was great, we kept going back. The Italian restaurant accorss the road was also a great place, with great food and service at reasonable prices.My girlfriend and I are already planning our next trip to the city later this year, and will certainly be trying to stay in the Washington Jefferson again.	
Mar 17 2008 	Great base for the Big Apple	Having read several not-so-favourable comments on this hotel (having already booked it) I was concerned that we may have made a mistake - definitely NOT. Sure the rooms are not huge, but other than that we were well satisfied with the standard of the room, the public areas, the cleanliness and definitely the service. The staff (front desk, housekeeping, bell staff) were all most welcoming and helpful at all times.The property is within 10 minutes walk of Times Square/Broadway, about the same to Central Park. Go a block the other way and there are many well priced, good quality independent restaurants (certainly better value than the chains).We stayed for 3 nights, spending most of the time seeing the sights and are very happy to recommend this hotel as a base.	
Feb 25 2008 	Simply the Best!!!	Ok, I have read a lot of negative reviews about this place, its small, noisy and a slum.. NOT THE CASE AT ALL! Read On... I am a travel agent and a Hotel Review editor, I have stayed at easily 1000 places in my lifetime. Well, my girlfriend bought me tickets for Wicked for Christmas. So we decided to book a hotel within walking distance to the Gershwin Theater. We were tired at staying at all the chain hotels, so we decided to book this independent one, It ws fantastic. First off, After I had booked it, I needed to contact the hotel via email to make sure the reservation i made on the hotels website went through (a step I recommend for anyone booking any hotel)I had an instant email back with my reservation and a personal message welcoming me, I had asked about the complimentery wireless access, as even though on vacation i had to work :(. they explained that the hotel did have wireless, but if it was slow, there was a backup T1 line if needed. Awesome, After a cabbie ripped us off, charging 25 dollars from NY Penn station to 51st, we were in no mood for trouble, Well, when we checked in the Front desk agents were professoinal, nice and very efficient at their job, we had room keys in 3 minutes. We had come up from Pennsylvania by train, during the first major snowstorm of the year. and i had the flu.they understood we were cold, wet, tired and aggitated at the aforementioned cabbie, that we were able to check in early. The room was beutiful, we booked a Superior King with a jacuzzi, the room was NOT small at all, it was very clean, nicely decorated with fine lines and a fresh rose on the nightstand. the bathroom was beautiful, all travertine tile and a platform jacuzzi was just what i needed, in the desk drawers there was plenty of information on what to do in the city, they even printed up the hotels own book about where to go and eat and what to do, it was awesome and very hepful. There is the cosmic diner accross the street, went to run a jacuzzi bath and my girlfrend ordered me some chicken soup at the same time, the diner delevered it even before the tub was done filling, thats how fast they were. We ate at the hotel restaurant schmizu that night, top notch, awesome service in this small, quaint restaurant. I highly recommed the prix fare dnner! Afterward we spoke with London the Concierge about what to do in the nighttime, he not only recommended some hot spots, but sent us to Coyote Ugly and the village, we had a blast, he really knows his stuff! Seek him out at all costs, he even wrote down more ideas for us and delevered them right to our room! We ended up renting a limo for the night to see the town and do the things he recommended. The next day we walked the few short blocks to the theater, enjoyed Wicked and then walked around a little, THIS HOTEL is SO centrally located, you can walk to almost everything in the Theater District and Times square! Basically, I know this is a lot of ranting and raving, but ignore most of the other neg. reviews, true, walls are thin as it is an older hotel, but it was worth every penny and the staff was great and should be commended for their professionalism for 2 girls, one very sick, for the duration of our stay, I will be back to stay there again, you can bet on it!!!Thanks WJ!!! RECOMMEND HIGHLY!!	
Jan 22 2008 	Tiny Rooms Big Disappointment	We stayed here for 4 nights at the beginning of January and unfortunately would not recommend this hotel. As far as location goes, it is situated 5 minutes from Times Square...but then again, so are a lot of (much better) hotels. Having visited New York previously, I was certainly prepared for a small room, however upon checking in, the size of the room was a bit of a shock. The room would be ideal for a single bed, however having squeezed two beds into the room, there was little room for anything else. No closet, drawers, storage etc. Manouvering around our suitcases &amp; subsequent shopiing bags was an absolute nightmare. Bathroom was nicely decorated &amp; good supply of towels, but so tiny that only one person could fit in at any given time. Great I-pod dock in the room, but no tea &amp; coffee making facilities. We encountered two maintnenance problems - constant blazing heat from the radiator (we asked for this to be turned off to no avail) which meant icy blast from windows being left open - terrible! The shower constantly leaked but was fixed (although begrudglingly done by maintenance man).The staff were adequate (doormen = great). Reception staff showed little warmth or welcome.Overall, a highly disappointing hotel stay in New York. There are better hotels at a better price, I'm sure.	
Jan 17 2008 	Big Apple - Small Room!!!	We arrived in NYC for a 6 night holiday, this was our second trip to NYC, previously staying in a hilton hotel on eigth avenue. we arrived at 4pm ish, and walked from Penn Station, which took about ten minutes. we were allocated a room on the ground floor, which was tiny, you walked in and there was the bed, desk and room for very little else!!! So i politley asked the manager at reception of there was a bigger room available as it was just not going to be big enough for my shopping and myself let alone my husband!!!! He was very pleasant and showed me room 570 on the fith floor. It was much better, not huge but adequate enough. The room was terribly hot, so we opened the windows wide, as we were in a room which faced the inside court yard it wasn't a problem leaving them open! We had a queen sized bed, small bed side table with lamp and i-pod docking station, small cupboard with safe, iron etc (not leaving much room for your clothes), desk, comfy chair, luggage stand and bathroom. It was small but all really modern and clean, the bed was very comfy and after 8 hour flight it was just what was needed!Bit of tourist type advice use the subway, it is so easy to use, when you get a metro card which you can buy from a machine generally in each subway, they cost $24 for 7 days and you can use it as many times as you like. Last time we came we got the hop on hop off bus, which was ok but stopped operating at about 8pm. The subway is 24 hours, but like any other big city just be wary using them on you own at night, and if you do get the cab which is at the front as this is where the driver sits.i would definately book here agian, after all this is New York you don't travel this far to spend all the time in your room, and this hotel is very well placed on 51st st, 8th avenue, there is a subway stop at the end of the road and two more going up town and down town at the end of the block!	
Jan 16 2008 	Nice little Hotel in N.Y	Me and My Wife stayed 4 nights in this cozy hotel in Midtown Manhattan on west 51st. We were very close to Restaurant row and theaters. Rooms in Hotel is small but decorated nicely.We liked our Standard room. We also had a nice and really good dinner at the Shimizu Restaurant connected to the hotel. Fantastic sushi!!! The surroundings around the Hotel is also nice. Will return to this hotel again next time we are in New York.	
Jan 7 2008 	Sleeping on a postage stamp.	After booking on Priceline, I read TripAdvisor reviews about the small rooms, looked at the virtual tour and upgraded to a King Room at no extra charge. The room was the smallest I ever stayed in. No closet, but a free standing wardrobe not tall enough to hang a coat in without folding up the bottom. Everything in the room was first rate, bed, flat screen TV which was mountedon the wall, wireless internet, fresh rose bud, quality chocolate. But because of space limitations, no dresser,no ice bucket, no luggage rack, no coffee maker Besides the bed, you just had enough space to walk around the bed. We brought in breakfast and had to put the cups and plates on the window sill.The bathroom had a tiny pedestal sink, no vanity and a shower door which was less than 14 inches wide because if it was any wider, you could not open it as it would hit the toilet bowl.The lobby is lovely and the help, especially bellmen were very nice.Our fifth floor room faced 51st St, a block with a bunch of bistros with outdoor seating. People sat at the outdoor tables in 25 degree weather conversing loudly until 2:30 AM making sleep very difficult. At 3 AM, the private carting companies arrived followed by the city garbage pickup at 4:30 AM.We had booked with Priceline in New York City many times before, always with great satisfaction, but never in the West Side district where this hotel is located. If possible, I advise you to stay away from this West Side area and spend a little more as there really are no class hotels in this area.	
Jan 3 2008 	great location - room not so great	Stayed in the Washington Jefferson, from 29th. November to 4 December 2007. Found the location great, right beside times square etc and only short walk to Central Park. The lobby of hotel is nice, small as epxected but welcoming. The reception staff were friendly and helpful. The rooms as expected were small, however the heating system dreadful. As mentioned by other members, the noise, tapping and hissing bad, and we were roasted out of it most nights. We did ask to have it turned off but the porter wasn't able to adjust it.We had to leave window open most nights, and it was freezing outside. The room was however very clean and we didn't spend much time in it. We had no problem with street noise as not in front room.The Sortie bar/restaurant across the road great for breakfast. Friendly staff and lovely choice for brekkie, omlettes, pancakes, bacon etc, the bar was humming at night.  We did try the italian restaurant across the road as well, but food wasn't great and the pasta wasn't fresh, but not too expensive and good atmosphere.We are planning another trip to new york 2009 and I would definitely use this hotel again, it was quite inexpensive compared to others in that location.	
Dec 27 2007	Great place to stay for a short time.	The Washington-Jefferson is located in midtown west in the theater district between 8th and 9th on 51st. Hell's kitchen is just around the corner on 9th with 20-30 ethnic restaurants which the locals frequent and are reasonably priced. The hotel is easy walking distance from Central Park, Times Square, Rockefeller Center and really just about all midtown attractions. The rooms are very small and usually without a view, but really similar to European hotels, so anyone familiar with European travel will feel at home. Rooms are clean and well maintained with comfortable beds. They have flat screen TV's and adequate bathrooms and showers. The staff was really friendly and helpful. We felt there wasn't anything they wouldn't do to make us happy. We saw several airline crew staff staying here which says something about the hotel's value and comfort. For singles and couples who will be out and about enjoying New York's attractions and not spending a lot of time in the hotel room, this is a great place to stay based on it's location, value and staff.	
Dec 26 2007 	WJ a great place to stay	We enjoyed our stay from Dec. 13-17. I appreciated the fresh rose that was in our room and also the jacuzzi tub with armrests. After walking all day long, it was a special treat to relax in that tub. Not all the rooms have jacuzzis, so request one and you'll be glad you did. Everything was within walking distance, including subway entrance. The staff was very pleasant and helpful. The only thing I can fault is the heating system, which is a bit antiquated. We made do by propping open a window, but then you hear the sirens. Every day was so full that we were still able to sleep well. I would return to the WJ.	
Dec 23 2007	Never Again!!!!!	Our first impression of our room was WOW, it was a deluxe and quite spacious.On our first night stay there was a problem with the boiler and pipes and they banged loudly all night n our walls keeping us up/ When we complained the follwing morning, the staff were un pleasant and not very interested and we'd been charged $425.They agreed to move us rooms, it was smaller but still resaonable space and clean.Theres obviously a problem with the heating, there is no temp gage so you are either very very hot or very very cold!!!!! The system is an old oil one ad they hiss disturbing your sleep. Needless to say, didn't get much sleep anyway, road very busy with dustbin men at all hours, drunks shouting from the pub a couple of doors away and windows single glased and one didn't shut proper so couldn't keep noise out.Found staff - Un friendly, especially when on complaint.Radiators, Dusty and dirty.Rip Off and Bad experince for us as 1st time in NY.NEVER AGAN.	
Dec 20 2007 	Perfect location - clean friendly	This hotel was in a perfect location for us - at 8th and 51st. Literally around the corner or down the street from a ton of theaters. Also, just a short walk (1 mile or less) from Times Square, Rockefeller Center, Radio Center Music Hall, and more. Prices were very reasonable given the location and time of year ($300-$400/night).The rooms are very small - we had to be creative with where to put our luggage, but it was clean and comfortable. The exercise room looks really big in the website picture but in reality, that's the size of the room - so a bit cramped if more than 1 or 2 people there. However, we didn't end up using it because we were walking so much.Staff was very friendly and helpful. Restaurant on site is a Japanese restaurant open only for dinner - so we had to find an offsite place for breakfast - not a big deal since there were two great diners just 2 blocks away. No fruit at front desk and no vending machines, so if you go, stock up for late night snacking or bottled water at the drug store around the corner.Overall, we really enjoyed our stay.	
Dec 17 2007 	Great location not so great room	Upon arrival to the hotel, we were immediately impressed by its location...VERY close to Times Square, theatres, etc! And initially, the size of the room didn't seem to be an issue because we didn't plan on spending much time there. However, after a few days, it was pretty inconvenient not to have a place to just sit down and chill out (not to mention the fact that there is basically nowhere to put luggage/clothes except for a tiny bedside closet). The other major inconvenience was the noise level at night, which consisted primarily of garbage men throwing and breaking glass. The room was clean and the linens were nice but not enough to make up for the lack of sleep or space. The icing on the cake was finding out after checking out that our room rate would have been hundreds of dollars cheaper if we had made our reservation over the phone instead of online. Even so, it was cheaper than most other hotels in the area but you should at least know why before booking! One more thing, the room didn't have an adjustable thermostat and got VERY hot, had to keep the window open or cracked most of the time. Would consider staying again if the price was right and I got a room far away from the street!	
Dec 17 2007	Clean but noisy at night.	Booked hotel reservation from hotels online web site. Fairly friendly staff. The hotel is in a very convenient location. The rooms are clean, but are very small. There is no place to sit except a small chair and on the bed. To light sleepers it was very noisy with garbage trucks collecting trash every night at 1am and with patrons from the bar down the street heading home yelling at night. I would advise not to book rooms from company website. I did this and ended up paying $150 more per night. I was informed by the clerk at the front desk that the hotel charged more for online bookings than if you booked by calling!	
Dec 17 2007 	Washington Jefferson great location but not so great customer service	We stayed at the Washington Jefferson Hotel between the 3rd and 10th December for a deal that cost 1600Euros for seven nights with Expedia....which wasn't cheap!!The hotel kindly provided us with a complimentary bottle of champagne as it was part of our honeymoon. The hotel is in a fantastic location on 51st and 8th which is only a block from Times Square. There are lots of really good reastaurant within walking distance from the hotel that are really good valueOur room was small however it wasn't an issue as we didn't spend much time in the hotel only to sleep. However there was a horrendous smell in the corridor outside our room which seemed to come from the rooms down the hall. There appears to be people living in the hotel which was very strange!! and one of them liked to play her music a full volume late at nightWe tried to use the internet from our room one morning and it wasn't working properly and was incredibly slow so we reported it to the reception and asked them to have the connection charge removed from our bill. We had to deal with 3different people before this charge was removed as the initial two staff refused to remove the charge as they said that their records said that we were connected for 30minutes. We found the staff to be extremely unpleasant when dealing with this issue and their customer service skills are rubbishThe room itself while small was nicely decorated and had a flat screen tv on the wall. The bathroom while also very small had a good power shower. We also selected this hotel as it advertised that it had a gym however this consisted of a tiny room with a treadmill and little else....so not my definition of a gym. In summary the location of this hotel is great but thats about it. We weren't looking for a very fancy hotel as we wanted to spend our money shopping and going out however due to the awful smell and awlful customer service we won't be returning to the WJ and won't be recommending it to anyone	
Dec 14 2007 	Fab hotel	We stayed at the WJ for a family wedding and we had a fantastic time. The rooms where smaller than perhaps we are used to but the hotel was a1 for cleaning and staff. As this was a wedding booking the hotel staff went out of there way to look after us. Nandy the receptionist and London the porter where brilliant. London advised us on the best ways to get around and things to pack into our stay.Only thing that did dissapoint us during the stay was 2 other british travellers who did complaine and where exceptionaly rude to staff this was embarssing to us as fellow brits. Manners dont cost money but to the complainers it seems they do.The customer service skills of all in New York leave us brits far behind we need to learn from them.I cant wait to go back to New York and would stay without shaddow of doubt at WJ again	
Dec 10 2007	Worst hotel in NYC.........AVOID!!!!!!!!!!!!!!	BEWARE...........if you like a dorm room stay here in a closet sized room with a public bathroom right outside.......... room 601( from peep hole you see people urinating).....the floor is also a dorm for low income people....camera's all over hotel........this is NOT in the description of the hotel........what a rip off!!!!!!!!sounds like a JAIL to me!!!!!!!!!!!!......:)	
Dec 3 2007 	Not the "Presidential" Suite but Enough Room to Maintain your "Independence	We stayed in room 485 at the Washington Jefferson Hotel November 19-22, 2007 while in NYC for the 81st Macy’s Thanksgiving Day Parade. We paid $177 a night through Priceline. The hotel is located on 51st St between 8th &amp; 9th Aves which is a great location, there are many delis, Duane Reeds (NYC drug store) &amp; restaurants with in walking distance; Times Square is about a block or 2 away. There is also a subway stop one block from the hotel. The front desk staff were professional &amp; friendly; they offered us a map of the area &amp; a complimentary copy of the New York Times upon check-in.I’ve stayed in many NYC hotels &amp; I must say this was probably the smallest room I’ve stayed in yet. However, it was clean with modern décor &amp; fine for me &amp; my husband. The room had a nice flat screen TV on the wall, a desk, &amp; a mini armoire/closet which also contained a safe, an iron &amp; board, &amp; 2 shoe mitts. The queen size bed was comfortable; however the outside noise level was very high. Our room was facing 51st street which provided a nice view of the quaint street below, however, due to the window mounted air conditioner, it sounded like a window was open but they were all closed. This wasn’t a big issue to us because we’re used to city noise but for those who are not, it will probably be a big issue. A few of the nice room features were an iPod dock on the nightstand and copies of New York IN magazine &amp; Time Out New York magazines which list all of the goings on for the week in NYC. Complementary in-room internet service was also provided. Wireless was supposed to be available but every time we tried to connect to the wireless we had problems logging on, we even asked the front desk who referred us to the service providers customer service line which was unable to help us. We were however, able to connect using the wall connection cable in the room (cables are in the desk drawer in the room). The bathroom was VERY small, but again, it was clean with modern décor. The stand up shower had good water temperature &amp; pressure. Complementary bath products included Gilchrist &amp; Soames Forest Essentials shampoo, conditioner, body lotion, body wash, facial soap, oatmeal bath soap, shower cap, &amp; a little kit containing cotton balls, q-tips &amp; a nail file. I found the sink to be a bit awkward; the faucet was rather large &amp; right in the middle of the sink so it got in the way when washing ones face.The Washington Jefferson hotel is a nice hotel in a great location however, due to the small room size I most likely would not stay there again or recommend it to others (unless the price is right). While in NYC I would recommend having lunch at S’mac in the East Village (345 E. 12th St between 1st &amp; 2nd Aves) it’s a terrific neighborhood restaurant that serves different versions of mac &amp; cheese. After lunch make your way to Little Italy &amp; have one of Caffé Palermo’s “best cannolis on planet earth”. Enjoy your stay in NYC!	
Nov 30 2007 	Avoid at all cost	I booked to stay at this hotel for a week in November. When I arrived with my traveling companion, having specifically booked a room with separate beds, we were given a pitifully small closet of a room with one bed. When we asked to be put in an alternate room, we were advised that there were no vacant rooms available but as we were staying for a week, they were sure they could move us the following day. Unsurprisingly, this proved to be rubbish and did not happen. Furthermore, i was awoken during the first night by a concierge called London welcoming guests into their 'large twin bed room'. This served to rub salt into our wounds.The room itself was cramped, very loud and extremely hot. The air conditioning didn't function and was bolted onto a half open and somewhat grubby window. The closet was so small we could not unpack into it and instead had to live out of our suitcases for the week. The staff were unhelpful and unsympathetic to the situation and their customer service was non-existant.Having contacted Max Izmaylov, the 'Director of Sales' at the WJ Hotel, since my return, I have received no response whatsoever and given the lack of customer service WJ offers, I don't expect I will ever receive a reply. Do yourself a favor and don't stay here.	
Nov 26 2007 	will def stay again	Completely agree with person in the previous review. Itoo got this place through Hotwire and was a bit leary as it was my first time using it. I couldn't have been happier with the Washington Jefferson!!Location:Tremendous! Few blocks to Times Sq chaos, 5th Ave shopping, Rock center, Moma,etc. but away from the noise and fray. Served within blocks by just about all the subway lines you'll need. Great lower priced restaurants all up and down 9th. 2 mins to Starbucks in the a.m.Rooms: again small but very clean. Mattresses new &amp; spotless-I checked! I got a twin deluxe (reasonable $20 upgrade). Bathroom (shower only) was a tight fit on elbow room for my hubby shaving at small sink but doable for a few days. Great hot water. Armoire only and 4 desk-type drawers; limited storage so should be organized traveller. We had 3 average size wheeler bags with us so space was a little tight but nothing you can't work around for the time you're in the room. As prev said, once you close your door it was silent, even on a busy Thanksgiving wkend. Slept Great!We're low maintenance travellers so didn't ask for much but staff was very pleasant and welcoming.Parking: Hudson View Icon Garage only 11/2 blocks down on 51st &amp; 10th only cost us $75 for a 4 day weekend. Fantastic rate for the city.I hope they keep this on Hotwire! For the rate I got and the quality of the stay I am already planning another trip to the Washington Jefferson.	
Nov 23 2007 	A Pleasant Surprise	I booked my room through Hotwire, which rated the hotel as 3 star. I would describe it as a boutique hotel, but I was still pleasantly surprised when I arrived. The hotel is on 51st, between 8th and 9th in NYC. Before going to NYC, I had booked dinner reservations for each night at a few of my favorite restaurants. I knew I would have good karma for this stay when my driver pulled up to the hotel and I saw Maria Pia, my favorite Italian restaurant, right across the street. I had read reviews and expected a small room--what I always expect in NYC--but I had called ahead and upgraded to a deluxe room (at the nominal rate of $20 per night) so my room was quite adequate. (Come on folks, how much time to we actually spend in the room when we're in a city with so much to see and do!) Our king sized bed was firm and the bedding was extra nice. I wanted to take the duvet home with me!The bath was small but had everything I needed during my stay, including a window ledge to store my toiletries. Even though I did not have a tub (which I would have loved to soak my feet in at the end of a busy day), I did have a nice, hot shower with great water pressure. The linens were replaced every day, and the bathroom was always well stocked. While I didn't have much drawer space (just 4 small drawers in the desk), I did have a good sized closet, and I used space under the bed to store shopping bags and suitcases. I was most surprised at how quiet the room was. Our room overlooked a very clean &quot;courtyard&quot; which was formed by the shape of the hotel. When all was completely quiet, we could hear an occasional horn or siren from 8th or Broadway, but when we turned on the widow unit, we heard nothing. When it was too cold to run the AC, we simply turned on the fan and slept like babies.The hotel desk help was exceptional. We didn't stop by often, but when we did, we were always treated with respect and good humor. One morning when we were looking for a leisurely breakfast, we asked the doorman, who recommended the Sortie, right across the street. I highly recommend the restaurant with its quiet ambiance and wonderful crepes--both sweet and savory. I also have to mention the location. Just one block from a major subway line and two blocks from another, all of NYC is closeby. For those who don't mind walking, Penn Station, Central Park, and the Javits Convention Center are all within walking distance. (I actually enjoyed my walk to the Javits Center through Hells Kitchen.) When I showed my friend the city, we took the subway with its quick and easy access. At the end of each day--we were there 5 days--we were happy our hotel was so accessible since we had often walked miles in our excursions.Most theaters conveniently went on strike two days before my trip, and I was a bit apprehensive that my visit would be spoiled. But it wasn't. I simply regrouped and did new and interesting things that I would not normally have done--Radio City Music Hall's Christmas Spectucular, a walking tour of Central Park, a comedy club on the upper east side, Zabars on the upper west side, shopping in China Town on Saturday afternoon. NYC was as exciting as ever! If I get the chance to return to NYC, I will definitely stay at the Washington Jefferson again, especially if I get a Hotwire rate. (Hotwire often gives enough information for me to figure out where I'm staying. Just read between the lines in the reviews.) I hope you will, too. For the price, it's among the best places to &quot;sleep&quot; when you need to sleep during a visit to NYC.	
Nov 10 2007 	An Outstanding Mid-town Experience	We used to visit Manhattan fairly often but hadn't been back in about four years. In earlier visits we've stayed in suite hotels, condos, apartments, and traditional hotels.. in lower Manhattan, the East Village, and Midtown. With only four nights in town, we went back to the area we know best: Midtown. We chose the W-J after a lot of internet research, including TripAdvisor reviews. We could have started off on a very bad note... JetBlue kept us in Dulles for 9 hours. The desk dealt with the delay smoothly and efficiently - which characterized their dealings with us right up to and including booking a very professional and pleasant hirecar to take us to the airport when we left.Our room was at the rear of the west wing's sixth floor. It was very chic without being uncomfortably minimalist. Not at all large but, even with a king bed, roomy enough for the two of us to move around without a problem. It was also impeccably clean when we arrived and stayed that way.The amenities are fine and the internet access is highspeed and easily accessed. It's not a perfect place... the elevator is small and a little slow. The bathroom is proportionally even smaller and might not be comfortable for plus-size people but offered no serious challenge to my six foot plus/190 pound partner. Finally, the location is extremely convenient for Broadway theaters, Rockefeller Center, and a plethora of restaurants of every culinary sort and level of sophistication. It's also an easy and interesting stroll up to Central Park.Based on a single stay, I recommend it highly for couples and individual travelers.	
Nov 7 2007 	Great little hotel on side street in hells kitchen	This is a great little boutique hotel on a side street... within walking distance to Rock Center, Times Square and theater district. Great little find!! It is worth the extra $30 to upgrade to a Deluxe room. The regular rooms are tiny... but Deluxe room I upgraded to was very nice and much more space. The bathroom was very nice. The hotel didn't have roomservice or a mini bar, but it did have a restaurant downstairs and was in walking distance to other great restaurants. If you are in town for a quick overnight and need a cumfy place to stay, this is a great hidden gem.	
Nov 1 2007 	Worth a visit	We have stayed in mid-town NY before and after reading the reviews this is a great loaction. Yes the rooms are small but spotlessly clean and who wants to stay in their room in NY. Cleaned with fresh bedding every single day. All hotel staff freiendly, reception staff, door staff cleaners, handy men all just great. As I said the location is great near to everything but just far enough to get away from all night sirens etc. would deffinately stay there again! great value for money!	
Oct 29 2007 	Nice hotel on small side street	The Washington Jefferson was overall a nice hotel.A few of us had rooms that faced the street, those were obviously noisier, but turning on the fan (it was hot) helped drown out the trucks and horse-drawn carriage noise. The rooms are small, but clean and modern, with nice amenities like down comforters, slate bathroom &amp; new fixtures, free wireless, and close to many restaurants and theaters.My room had a full bed, nightstand, desk, and mini-wardrobe. The bathroom was slate tile and had a corner shower with glass enclosure. All very modern &amp; clean, but small. Another colleague had no desk or wardrobe, and another got upgraded to a king room. All depends. Maria Pia across the street was good, and the crepe place was ok, but slow and maybe pick your own crepe filling, some was weird.	
Oct 18 2007 	HIGHLY recommended!	Just got back from a 3 day stay at the WJ and we loved it! Despite fears from past reviews that the room might be a shoebox, we were pleasantly surprised to find it was more than adequate in size. We requested a room with twin beds and were lucky to receive it- we also arrived at the hotel at 11am and were able to check in immediately. The beds were clean and comfortable, the bathroom was attractive and though compact, definitely sufficient. We found every member of the staff to be helpful and friendly. The lobby is nicely furnished and there is an elevator (a bonus for a bargain hotel). Should be noted that there is no continental breakfast offered at the WJ.Our first night we were exhausted from travelling followed by a full day of shopping and couldn’t bring ourselves to go out for dinner- strongly recommend the Italian restaurant, Maria Pia, across the street. It looks charming for eat in, and they prepared our meals for us to pick up in under 20 minutes and included salads, fresh rolls, and dessert. $50 for the 2 of us. Delicious! The location of this hotel is perfect for the die-hard NY shopper. Just walk 5 blocks east across 51st St. and you are in the department store mecca. 2 blocks east and 2 blocks south and you’re already at Times Square.We will definitely be staying at the Washington Jefferson again.	
Oct 15 2007	Perfect location good value.	First time in New York and I´m very pleased with my stay and hotel. Great location, close to Time Square, Broadway and all the theaters, subway station etc. Lots of restaurants just outside the lobby, a great diner just a street north on 8 ave, Cosmic Diner.The staff at the hotel were very helpful and nice.I don´t have anything negative to say at all about the hotel, good price(for new york).	
