	Great location great service and comfort at the best quality/price!	This hotel is a gem. If you like smaller hotels with attentive service, this is the place! The whole staff is very nice, polite , smiling at all times, from front desk to housekeepers, breakfst staff etc. Breakfast is included and is very good, including good coffee. Rooms are clean but a bit small.But who cares, we are in NY to visit and shop, not to stay in the room! The location is perfect, litterally 2 blocks from Penn station, Macy's, Empire State building etc. We even walked all the way to Times Square, Broadway and Central park (need time for that however!) I will go back and recommend it anytime! The price makes it even more attractive : app. 250$US for room with 2 double bed) .	
Dec 18 2008 	Too small	The location is not too bad for the price paid for NYC. 2 blocks from subway station, 2 blocks from Amtrak station. View is bad both at entrance and from room. The front desk is very helpful and cheerful in fact. The rooms is very small for 2 double bed. But they do try to squeeze a tea facilities area which sandwich between the front door and writing desk. The bed is decent, so as the bathroom. We did not spend too much time in the room since we're out sightseeing day and nite. Since our flight was only at 9 pm the next day, we tried for late check out, unfortunately the hotel was fully booked. So, after all the morning and afternoon walks all over NYC we had to sit at a very small sitting room awaiting our shuttle to the airport for 2 hours. We also had to do some of our packing (after more shopping during the day) at that open small space. Quite embarrassing though.BF was terrible. We have to do everything ourselves. And food is only replenished after sometime they are gone. The area is also very small to be comfortable.	
Dec 17 2008 	A great experience	This is a clean, roomy hotel in the heart of midtown. I'm in NYC at least once a month which means that I've stayed at quite a few hotels in midtown - this is one of the better ones. I wish they had smoking rooms and body wash (instead of plain soap) would have been nice. Watch out for the $5 bottled water in the fridge, the label is quite elusive, I only noticed the price after I opened the bottle.	
Dec 16 2008	Great for Macy's - But Noisy from Street	A great quality hotel - clean, tidy and fresh. Macys 1 block away and good location for MSG. Breakfast a great bonus although could be very very busy.Location isnt the best of areas in general but good as base. Only real complaint is the noise on some nights - I know the hotel cant help garbage trucks but tripple glazing and better soundproofing would help. we were on 4th floor and i had emailed and asked for a high room or a rear room - butin fairness it was thanksgiving week.I know you dont go to New York to sleep but even so I did need more than I could get!The staff are very friendly and fun. Overall the hotel is a great hotel - just a bit too noisy at street side and not in the nicest of streets.	
Dec 5 2008	great hotel	Great little hotel. Very friendly staff. Very clean	
Dec 3 2008 	Great Hotel Great Staff Great Location	Just returned from the Wingate, where we spent Thanksgiving. The hotel staff were extremely friendly and polite (thanks to Christina and Jessica) . We had a room on a high floor and at the back, and heard no noise at all. Two bottles of water and a complimentary paper are provided every day. The rooms have a microwave and a fridge. The room is nicely decorated and so is the bathroom. The location of the hotel is fantastic. Literally less than 5 mins to Macy's. Turn left out of the hotel and then right and you are outside Macy's and shops galore. Times Square is about a 10-15 min walk. The Empire State Building is a 5 min walk away and is opposite Macy's. There is a subway on the corner of the street, (turn right out of the hotel) which came in very handy. The complimentary breakfast really set us up for the day. Eggs, alternating between Sausages and Bacon. Toast, juice, waffles, fruit, pastries and cereals. There are lots of places to eat. We liked the Bread Factory Cafe (turn left out of the hotel, and left again and you are there). There is a Starbucks on this corner too. The hotel provided maps and we made good use of this. Its a good idea to get a MetroCard for $25 and it lasts for 7 days - you will definitely need this. It works on the subway and on buses. Was a bit wary of the subway, as it looks confusing, but we managed fine - didnt get lost at all!!! The hotel also has two computers for guest use, so it was handy to check emails etc.I thoroughly recommend this hotel and I will most definitely stay here again!!!	
Dec 1 2008 	Best holiday	Myself and my friend have just returned from a weeks holiday in New york city.We stayed at the Wingate hotel on west 35th street.we really couldn't of asked for better location,price,service and quaility of hotel.The staff we found each one of them to be all very good at their job really couldn't do enough to help us in anything we wanted.If you want to shop this is the hotel Macy's at the top of the street and everything else in walking distance.The hotel has breakfast which is really good to get you started in the morning and helps your pocket it was always very good and plentiful eat as much as you want.We could not of asked for better.	
Dec 1 2008 	Great Stay	Returned following a 4 night break over Thanksgiving. Hotel located very central 1/2 block from Macy's and walking distance to Times Sq, ESB, Grand Central Station. Subway located 1/2 block.Staff very efficient upon arrival and was quickly assigned a room on the 10th Floor. Reception very informative and offered free maps, tourist guides (and popcorn which was a nice touch). Also offered advise about the Thanksgiving Parade. Soon after entering the room the staff rang to see if the room was acceptable which it was.Room quite spacious but importantly clean with a comfortable bed and a heating system that worked and was quiet. There was some noise from outside but nothing that caused too much disturbance - After all it is the city that doesn't sleep. Read reviews about the breakfast and so I was not expecting much however I was pleasantly suprised. Plenty on offer and plenty of room to sit although we went down before 7.15hrs most days.Hotel able to hold luggage on last day and organised a car back to the airport.Generally found the staff, hotel and location to be excellent and would have no hesitation in returning.	
Nov 30 2008 	Wonderful Wingate - 2nd visit and even better than the last	This is my second visit and second review of the Wingate Inn. This is a wonderful hotel, the staff are absolutely fantastic (dramatic improvement on my visit last year), great location. Complimentary breakfast, comfortable rooms. 10/10 for everything! Will use this hotel again.	
Nov 16 2008 	an enjoyable stay	Stayed here for four nights last weekend and would recommend it. We booked two rooms for five of us,three in one ,two in other. They both had two doubles. My room was on the 9th floor at the back and we didn't hear any street noise. The rooms were a good size ,comfortable beds and pillows and good showers. There was complimentary coffee,tea and water in the room and a free paper left outside your door on weekdays. It was serviced each day with fresh towels etc. Breakfast was better than we expected..scrambled eggs and sausage patties,bagels, english muffins and breads to toast,cereals,yogurts,fruit ,pastries and a waffle maker. Although some mornings were busy we always got a table and they constantly replenished the food.The lobby area is small but there is a nice mezzanine area with computers for your use and a nice sofa.It is half a block to Macys and the ESB is just past that. It is also one block to Madison Sq Gardens and Penn Station. We walked to the theatre (15 mins) ,Bryant Park,Times Sq etc.The only negative things were that there are not many restaurants/bars in the immediate area and we couldn't open the window in our room which made it a bit stuffy.Overall I would recommend it for good rooms,convenient breakfast and walking distance to a lot of things.	
Nov 14 2008 	Pleasant Staff	I stayed with my husband and 2 kids ages 17 &amp; 8. One of the nicest hotel staffs I've encountered in my trips to NY. It was reasonablly priced. It was a GREAT location - Macy's in the next block, couple blocks from Empire state bldg. Very Clean with free computer and internet use available. The Free Breakfast was really good. A slection of Pastries, bagels &amp; cereals along with Eggs, bacon and make your own waffles. Although, if you want the best selection get there early. By 7am it was packed and by 8am most of the good stuff was gone.	
Nov 10 2008	Unhappy with the Wingate	I booked a twin room with 2 double beds via the Wingate reservations system. I made sure to read all the fine print, as I know that sometimes hotels will not guarantee separate beds in twin share accommodation, however the confirmation came through clearly saying that a room type with 2 double beds had been booked.When we arrived, my friend and I were given a room with 1 queen bed.I immediately spoke to reception, who told me that not only were there no other twin rooms available, but that the hotel had no roll-away beds either. When I asked whether we could be placed in a twin room the following day, they could not confirm whether this would be possible.The manager was eventually called to talk to me and he was totally unapologetic and unhelpful. He denied that I had been guaranteed a room with 2 double beds. When I showed him the confirmation slip with the guarantee in it, he told me that the reservations system had nothing to do with the hotel, and that even though the booking was for a room type that had 2 double beds, the hotel never saw this (????). He then informed me that my booking had said there was only 1 guest in the room, so there would be no need for a twin room. Again, I showed him my booking confirmation that clearly showed I had entered that there would be 2 guests. He just said &quot;well, our system shows only 1&quot;. At no time did I receive an apology or even an acknowledgment that an error had been made by the hotel. No matter what I said, the manager continued to argue with me and wouldn't concede that an error had been made. There was a total absence of customer service professionalism in the way he handled the issue.Ultimately we cancelled our booking on the spot and went to another hotel. I recommend anyone considering staying here to call in advance and confirm the information that the hotel has on file to prevent disappointment.	
Nov 6 2008 	Nice hotel for the price	We stayed at the hotel for one night and were pleased with the cleanliness of the room. We arrived early and hoped to check in but our room was not ready. We were able to check our bags though. Did not find the staff to be overly friendly but they were ok. The heater in our room was VERY loud with a clicking sound that kept me up all night! I even wore ear plugs and they didn't help. I had expected to hear street noise but all I heard was the heater! Arrived at breakfast around 8 am and there was plenty of food available-very nice assortment. Overall, a nice hotel for the price,location is good if you want to shop at Macy's.	
Nov 2 2008 	absolutely brilliant hotel	Stayed in the Wingate on 35th street in Manhattan. Loved everything about this hotel. The staff were so helpfull, a great free breakfast each morning. The bed was the most comfortable one that I have ever slept in sheer bliss. The room was kept immaculate clean sheets each morning and lovely soft towels. The Wingate is in walking distance of all the Manhattan sights. Penn Station just a short stroll away. I would highly recommend this hotel to anyone visiting New York.	
Oct 28 2008 	Great Location Big Noise	Booked this hotel for a 4-night stay based on TripAdvisor reviews. The location is nice...close to the theater district, convention center, Penn Station and shopping. Keep in mind that this property does not have the amenities one would expect from a typical Manhattan hotel: no bell staff or room service, and it was hard to tell if the restaurant was open or not. The included breakfast was decent for a free breakfast, but not great. On the other hand, the room was good sized for midtown, the hotel was very clean, and the bed was comfy. One word of warning: if you're not accustomed to street noise, request a room facing the back or on an upper floor. There is a great deal of construction going on on 35th Street, and every night between midnight and 3 am, a garbage truck shows up to haul away several dumpster-loads of construction debris. The hotel tries to help by providing earplugs and a white noise machine but I was awoken by this every night despite all efforts to block it out. I expected Manhattan to be noisy, but this was beyond the norm for NYC.	
Oct 21 2008	First Time in New York	My wife and I stayed here for our 25th Anniversary. We couldn't have been more pleased. Our room was larger than I imagined New York hotels would be. The staff was very friendly and helpful. The continental breakfast was a very convenient way to get our day started. We did not experience the food running low that other writers have mentioned. Neither were we bothered by street noise. We heard some, but we both figure this is a big noisy city. We were street-side on the 8th floor and got a good night's sleep for all three nights.We spent our four days here running all over the city and found the hotel's location to be extremely convenient. We were able to walk to the theatre district for several evening shows. The Empire State Building was also within easy walking distance. For all other parts of the city, we were only a half block away from the red or blue subway lines.We were both very pleased with the location at such a great price. We plan to stay here again when we return.	
Oct 21 2008 	Fantastic value good location - highly recommended!	We stayed at this hotel for 2 nights at the beginning of October 2008. Check in was smooth, and as requested, we was provided with a room on the top floor. The rooms are spacious and comfortable with a large safe (free of charge), tea/coffee making facilities, free wi-fi internet access and TV. Local calls are also free of charge. As well as the in room free wi-fi, the hotel also has 2 computers in the lounge area which offer free internet access and free printing facilities - perfect for doing online check-in prior to our next flight. The hotel provides free breakfast in the morning, which although did run empty towards the final half hour, was stocked with a wide varitety. In terms of location, this was our first visit to NYC and we found the hotel to be exactly where we would want to be. A short 5 minute walk to Macys and surrounding shops, a 15 minute walk to Times Square or just a 2 minute walk to the nearest subway. Hotel staff were friendly and attentive, and helped us to plan our routes around the city using the subway. The only thing I would say is the road the hotel is located on can get busy with lorries seemingly constatly driving along it. For this reason I would recommend requesting a room either at the back of the hotel, or a high floor room (the hotel is on 18 floors). Great location, brilliant value. Next time we visit NYC we will be staying here again!	
Oct 14 2008 	Win-Win for Midtown	NYC is like a second home, and to find a decent, comfortable, very reasonable priced midtown location can be a rare find these days since hotel occupancy is at (and been) a high. Since there are so many hotels to choose - I recently found this one by a Wyndham Rewards promotion and was glad I did, as an affordable option for those frequent weekend trips.Location is decent - Short blocks to Times Square/theatre district, Madison Sqaure Garden/Penn Station/A C E, 1,2,3 Subway lines (two blocks) and really any central point to the city (Grand Central, Fifth Ave etc etc). From here walks in any direction and you have plenty of food and shopping choices - in the city you never have to walk that far or just get on the subway. Being in the garment district always makes for fun window shopping and bargins so consider that also if you have a clothes fetish.Hotel itself is smaller, clean, rooms are decent sized and newly furnished and finished. Bathrooms are new, clean and also decent sized. Flat sceeen TV, microwave, refer, coffee maker, room safe and free wireless in room. Dresser and standard size desk, and good sized closet also. For the reasonable room rates the room amenities and condition are excellent.Small fitness room and second floor open area with large TV, there is also a small business center also. There is a bar and restaurant on site which also provides the free breakfast in the AM. Hot choices of eggs, sausage, make-your-own waffles and plenty of breads, pastries, toast, cereals, yogurt, juice, coffee etc. More than the &quot;average&quot; cold continental offered at many of these mid-priced hotels now. Very suitable to get you going in the AM for a freebie. As for the concerns of noise - well I can tell you on the weekend that's not much of a problem; but certainly I can see it could be an issue on weekdays - for those lower rooms facing streetside. Obviously the hotel is aware of this since they provide a white noise machine and ear plugs in the room. An option is to ask for one of the rear rooms or at least a room on a higher floor (during the week when garbage collection is more prevelent since this street is a working-garment/office area). During a weekend it was not an issue at all (Sat/Sun). This is possibly the only concern you should have - depending on your stay.Overall - if you can get a new, clean, well amenitied location such as this for under $250.00 a night in this midtown location - it's a keeper, especially if you are training in and out from Penn Station/LIRR for a quick stay.	
Oct 13 2008 	Awesome Stay!	This hotel was a true wonder! It has a central location, near all the public transport and a block from great shopping (Macy's) The staff was warm and inviting anfd they got to know my name over the 4 days. The rooms were over-sized for NYC and very comfortable and well appointed. The hot breakfast was included and fresh. I have found my new home away from home in the city.	
Oct 1 2008 	Good Midtown Hotel	We stayed here on our honeymoon for 5 nights and enjoyed our stay.The staff were excellent. All were friendly and were more than happy to help with anything.The rooms were clean and tidy with a good bathroom. We were in a room overlooking the main street and yes there was 24 hour street noise, but staying in the centre of Manhattan we didn't expect anything else. The air con was a bit noisy,(but after days of living it up and with the help of ear plugs!) we slept soundly.We had a nice surprise when we discovered that our breakfast was complimentary. Breakfast gave a good choice of hot and cold foods. Although it did get a bit hectic in the breakfast room at times. Probably best to get there before peak times. The hotel was in an excellent location for exploring New York. Times Square 6 blocks away, Macy's one block and Madison Square Garden two. 34th St subway gave a good transport network for reaching other parts of the city.On the whole we would recommend this hotel and would have no qualms returning here.	
Sep 30 2008 	"Wingate Wyndham NYC" is a great place to stay!	Absolutely loved everything about our stay here! One of the very nicest staffs ever! Everyone was so kind and helpful and they really seemed like they cared that we truly enjoy our time in New York. The rooms are so nice and clean and the beds are super-comfortable! The location is the best...we were so close to &quot;Macy's&quot;, &quot;Tic-Tock Diner&quot; and even &quot;Times Square&quot;.Felt very safe in this neighborhood.The breakfast was very good...lots of items to choose from and they had &quot;4-Star&quot; coffee!Would definitely recommend this hotel and we will certainly stay here if we return to New York for a visit!	
Sep 29 2008 	great hotel in great location	This hotel was great. Room was spacious, comfortable bed and cosy atmosphere. Location is perfect. On several subway lines and walking distance to Times Square, Empire State, Macy's, etc. The free internet in lounge was great, wonderful complimentary breakfasts, really helpful and competant staff. I chose it because it was walking distance (2 blocks) to Penn Station. The only problem was the noise from the Airconditioning. Or maybe it was the 'noise cancelling machine'. Anyway, our room was on the street and the street was actually quite quiet, so we did not need the 'noise canceller' but I could not turn it off. Eventually I got used to it when I used ear plugs. The laundry service was very expensive, too. We stayed 4 days and really enjoyed this hotel.	
Sep 26 2008 	Nice clean and comfortable	Stayed here in mid Sept, we had a standard 2 bed room, which was shared by 3 people. The room was quite small especially when we were all there at the same time, but was perfectly fine in every other respect. It was clean with very comfortable beds, the bathroom was small but adequate (also very clean), and our room was right at the back so no street noise at night at all, apart from when they had a live singer in the bar downstairs one evening. Helpful front desk staff, breakfast wasn't great but not bad considering it's complimentary. We usually had breakfast down at Andrews? Coffee House just one block away from the hotel. Would definitely recommend this hotel to anyone on a mid range budget.	
Sep 21 2008 	ok but	Nice hotel and friendly staff but a few problems. The noise in this place is terrible at least in the front rooms as garbage trucks seem to go all night. They have a white noise generator in the room but it still doesn't drown out the noise.I stayed 5 days and never got clean towels.	
Sep 17 2008 	hate the noise	Nice room and amenities. Very warm staff. The noise was awful all day , but unbeareable at night with the garbage trucks working all night in front of the rooms located at the front.never return to this place.	
Sep 15 2008 	best part of the trip	my stay at this hotel was one of the best parts of my trip to NYC. The people that work there seemed to be the only friendly service personel we met. We were on the back side of the hotel and did not hear any noise from dump trucks, and my phone(at&amp;t) picked up fine. You can walk to almost everything, but I don't suggest it. you will end up walking or standing in line the whole trip. we took a bus tour and got some great pictures. there was plenty of space to hold our clothes and the beds were fantastic. it was a nice haven to go back to after an exhausting day of sightseeing.	
Sep 11 2008 	Perfect place to stay in Manhattan	Having read many good reviews we booked to stay at Wingate for 2 nights and I've got to say I will stay here again. Reception were very helpful. Rooms were clean, decor was good. Rooms were not cramped. Free breakfast was a bonus but we were up early everyday so did not have problem of breakfast running out. Free internet access / computor was also so useful. It's right next to Macy's - which is so convenient. I would highly recommend this place. Next time I go to NYC I will be staying here again	
Sep 3 2008 	convenient location used soap	We stayed at the Wingate last weekend for the U.S. Open, and the convenience to Penn Station and the LIRR was unbeatable. The front desk was helpful and friendly, the rooms were bigger than many in NY, and the free breakfast was, well, free. There were, however, some problems. I realize that $250/night is fairly cheap for midtown NY standards, and I am all for ecologically friendly hotels, but . . . . we were given two used soaps in a new soap box. The other issues were that the shower curtain had lots of mildew on it, the bathroom was generally not clean, the air conditioner was extremely loud, and the walls were paper-thin. Moreover, as everyone else has noted, they often run out of breakfast food.Overall, a decent experience -- but the hotel could use some improvements.	
Aug 30 2008 	spectacular !!	I am sitting in my room this very minute writing my review because I am so pleased with our experience here that I could not wait until I got home. I just came upstairs from eating my fantastic FREE continental breakfast. Eggs, sausage (bacon yesterday) bagels, toast, cereal, muffins, belgian waffles, fresh fruit, 4 kinds of juices, coffee and specialty teas. I am not even sure if I got everything. The room is exceptionally clean, and very roomy by NYC hotel standards. The front desk people have been more than kind and friendly. I personally booked this room based on these reviews only, so that is why I am writing mine so quickly. Everything is within walking distance and for the price I don't think there is a better deal out there. My husband and our 2 young daughters were here for a yankee game and the american girl doll store. It has just been a wonderful experience and I am so sad to leave tomorrow. I would highly recommend this hotel and for sure would stay here again. Oh and the fridge is great for leftovers with the microwave on top to reheat them. Free wireless internet also worked perfectly. If I could give this hotel 10 stars I would. Not one single complaint about anything. This is the best hotel in midtown and a great value for the money.	
Aug 28 2008 	A haven in the city	This hotel is absolutely perfect in it's own class. It's got great service, friendly staff, clean rooms (and both my wife and I are difficult to please) and the rooms look nice at that.The extra's, like the complementary bottled water and breakfast, are great add ons to help you start your day in the city.I was worried by the noise at first, but being up on the 15th floor at street side, this has not been a problem as of yet, and we have had great full nights of sleep. The long days and the great bed might have helped ;-).The bed by the way, is the kind you wish you could take home on a plane (bit big for carry on though...)Whether it's business or pleasure, this hotel is one I would definitely recommend to everyone.	
Aug 12 2008 	A Little Gem	An excellent hotel in a very convenient position. We stayed for three nights in a spacious room with two double beds for myself, husband and daughter. Following flight cancellations, my husband and I were very grateful the hotel were able to accommodate us both for a further night (my daughter managed to get a flight home) and we were given a room with a king size bed and such a large room. Everything in this hotel was spotlessly clean and nothing was too much effort or a problem for all staff who were courteous, friendly and very helpful. I have to mention the breakfast, which was included in the price. This was much better than the usual coffee, tea and toast that is usually provided. There were cereals, croissants, breads for toasting, bacon or sausage patties, scrambled eggs and you could even make your own waffles and again nothing was too much trouble for the staff who were quite happy to replenish when things ran out. Definitely a hotel I would be happy to recommend and one I will be definitely be back to.	
Aug 11 2008 	Thumbs Up!!	What an excellent choice of hotel. I was staying 3 nights in NYC with my Mum (a very young 61) and my brother (16), we booked into a standard room which had two huge queen sized beds. I echo of the recent comments, the rooms are equipped to a high standard, the microwave proved very handy!! The breakfast really sets you up for the day . . . you can eat as much or as little as you like. Unfortunately for me I couldn't keep away from the pancake machine! The staff are friendly and always happy to help.In terms of location, you are a stones throw away from Macy's which can be dangerous on the wallet! I've stayed at the Waldorf Astoria before and think this is better located. Okay the street is not as pretty as Park Avenue but you are right in the heart of NYC here. The walk from Soho is pleasant enough but with the underground at the end of the road, you can get to where you need to be within minutes. Everything is easily accessible.	
Aug 6 2008	Perfect Hotel for us!	I took my Teenage Nephew and Niece on vacation to NY City for 4 days primarily to see a Yankee game. I researched a lot of hotels around the same price as The Wyndham Manhattan, but none came close in comparison to the amenities that The Wyndham had to offer. The fridge, microwave, free wireless, free water and breakfast were huge benifits and made our visit so much more enjoyable. The room was a good size and exceptionally clean and the bathroom was very spacious, which was a pleasant suprise. The location was great, close to Macy's, train stations and a 10 minute walk from Time Square. The staff was great, and even held all our luggaqe for several hours after we checked out. I would highly recommend The Wyndham and will definately stay there again. K. Darville Nassau, Bahamas	
Aug 5 2008 	Perfect Location Great Stay	My daughter was in NYC for a week-long theatre workshop around the corner so we booked the Wyndham for our stay ... the property was terrific and the staff couldn't have been more helpful.Morning breakfast was simple but hot and delicious - better than lots of &quot;included meals&quot; you get at places like this.Note to cell phone addicts - your phone won't work in your room; I considered this a plus. The free wireless is a very nice touch; I actually managed to &quot;work from home&quot; without going out to a local cafe.I would definitely return to the Wyndham - it delivers on its promise of a clean, comfortable, and affordable hotel in Manhattan's midtown.	
Jul 28 2008 	good value good location	We stayed at this hotel for three nights. The location is close to Times Square and Penn Station. The rooms are clean and well stocked with complimentary bottled water, coffee/tea. The continental hot breakfast was also a plus (although I'd avoid the eggs- they had a strange consistency- sort of like Styrofoam) But it was free so I'm not complaining.	
Jul 27 2008 	Clean and Spacious	I stayed at the Wingate in NYC for 3 nights in May 2008. We ran into one problem while there but it was taken care of rigtht way.Since the city is so big it's hard to pick a perfect location for a hotel but the Wingate is in midtown and is very close to a lot of shopping. It is less than a block away from Macys. We arrived early in the morning and checked our bags with the front desk since our room wasn't ready. We got back to the hotel around 7pm to get our room. The clerk was very apologetic in telling us some bad news. The hotel had been overbooked and since we hadn't come back earlier the last room was given to someone else. The good news was that they booked us at the Sheraton in Times Square and were paying for it. They also reimbursed us for our taxi cab fare to the other hotel. Our first night in NYC was free!We checked back in to the Wingate the next morning and were happy to find a much larger room than the Sheraton. The bathroom and beds were very clean and the mini refrigerator in our room was a free added bonus. The internet service was also free.The people at the front desk were very helpful with any directions and advice we needed. The free breakfast was the usual foods but perfect and helped save with costs. The Wingate is a very small hotel with only 5 rooms to a floor. It's a great location and had very large rooms by NY standards. We couldn't complain about the over booking since it saved us an extra $250. You also get many extra bonuses for free that other hotels charge and arm and a leg for. I would definitely stay here again.	
Jul 26 2008 	Excellent Stay	Having been to New York on several occasions and stayed in shoebox hotel rooms, I was thrilled to stay at the Wingate by Wyndham Manhattan Midtown. The room was spacious, clean, well-furnished and reasonably priced. Breakfasts in the morning were nourishing, and the location was perfect for my needs. This hotel is now where I'll be staying from now on when I visit NYC.	
Jul 26 2008 	A Diamond in the Rough	Needed a hotel close to Penn Station, resturant and show and this was a pleasant surprise. Wonderful staff and beautiful room. We will stay here again and recommend to others.	
Jul 18 2008 	PRAISE PARTY	Writing this review from the hotel, in the 2nd day of a 5-day stay. Couldn't be more pleased with our accomodation. What has pleased us: Free WiFi internet connection in the room, satisfying all my family's connectivity needs simultaneously. (At another hotel, we would have been charged 3 separate charges for our 3 computers to be connected at the same time.) Free breakfast. Room charge inclusive of tax, which at a different hotel in New York could aggrandize your bill to the tune of another 15%. Two double beds in the a comfortably sized room. Powerful air conditioning. Friendly and professional staff committed to make your stay 100% satisfaction guaranteed. Met fellow guests and had a praise party in the elevator, two families echoing how pleased they were with this hotel.	
Jul 13 2008 	Perfect Place!	Best Staff we've ever met! We've traveled all over the U.S. but this was our first trip to NYC. The Wingate Inn Manhattan made the trip the enjoyable success it was. The room was great, the breakfast was wonderful, and the staff was the BEST. Thank you for a wonderful stay. We had plenty of room for a family of four and all the complimentary amenities were unbelievable. The only thing that might have made it absolutely perfect would have been an additional mirror over the desk instead of a picture. We had two teenage girls with us and sharing the bathroom was a little difficult with so much primping going on! :) :) Otherwise, everything was ideal.	
Jul 9 2008	Great Hotel	Great Hotel for families. Room (2 double beds) was a good size and modern and clean. Fridge and Microwave are a plus. Good range of food at breakfast (although they did run out of some things at times).Good location although West-side area is a little dowdy. Handy to subway stations (hint walk only half a block west for the Blue Subway line)	
Jul 8 2008 	Totally Loved It!	We stayed here for a week in June 2008 and totally loved it. This was a first-time trip to NYC and it was just perfect. We couldn't have asked for a better hotel. I have no complaints what so ever about this hotel. The staff was extremely helpful and friendly. The room was super clean. The breakfast could use a little improvement, but the hotel overall was just wonderful. The location was superb and close to everything. The closest subway station was a 5 min. walk. Times Square was about a 10 min walk. Macys was just around the corner. There were many wonderful places to eat that were all nearby. We are, with out a doubt, definitely staying here again.	
Jul 8 2008 	Great Location 	We stayed at the Wingate this past weekend and it was a great hotel for the price. The hotel is within walking distance of everything you want to see in Mid Town. The hotel is located on w35thst. but it is well lit up at night and felt safe coming to the hotel late at night. The front desk was very helpful with the subway system and everyone said hello every morning or even late at night. I would stay at this hotel again.	
Jul 4 2008 	Fab Ideal place	Absolutely ideal place to stay. The room was fine not small at all and very clean. We stayed in 405 which was at the back of the Hotel so you didn't hear any street noise (the rumble of the garbage trucks etc) in the mornings. Breakfast was good, not loads to chose from but enough to get you started for the day. Macy's just over the road, half hour stroll to 5th Avenue, Penn Station just a short stroll. If we go back to New York we will surely be staying here again it is so central for everything. Booked the Hotel and flight on Expedia excellent rates for those of us from the UK.	
Jun 27 2008 	Wingate a WINNER!!!	WOW!!! Our first trip to NYC, and based on prior reviews on this hotel here, and the fact it fit our budget, we decided to book. This hotel is like the crown jewel of 35th Street. In amongst the street garbage and run-down warehouses, this hotel's exterior looks like gold. The front desk service...top notch! Friendly, always wanting to say &quot;hello&quot; and &quot;Have a great day&quot; as you walk in and out. Walking distance is minimal to ALL major sightseeing hotspots (especially the 35th street back entrance to Macys!)...we even walked from the UN building to the hotel in minimal time. Time Square is 7 blocks, but takes about 15 minutes to walk, and that's in NY crowds. Room bed might be one of the best I've ever slept on, and thankfully so as this helps deal with the garbage truck noise in the early morning (which really is not that bad). Free water and morning paper, and a sparkling clean bathroom. Then there's the free breakfast...full marks! And I usually dispise continental breakfasts. Great selection that changes daily. And they arranged our transportation back to JFK through car service...one cab ride was enough for us. I highly recommend this hotel to anyone.	
Jun 23 2008 	Great hotel - super service	We had a great experience here on a 4 night stay in June 2008. The hotel staff was friendly, helpful, efficient and courteous. Kudos to whomever does their hiring!We arrived exhausted after several flight delays - after 11 PM. The desk staff hooked us up with a welcome microwave popcorn and loads of print info and maps for our visit. We loved having the microwave and frig and daily bottles of water in the room.The daily breakfast provided included scrambled eggs, sausage or bacon, toast, bagels, English muffins, and simple pastries, several cereals, waffles, juices, coffee and teas - (buffet-style). It helped not having to buy breakfast every day.Located steps from Macy's - and a short New York walk from Times Square via 7th Avenue.Kinda cozy - just 6 rooms on each floor. Which we prefer over the massive &quot;super hotels.&quot;Appreciated the free internet and printer access in the business center.We liked the fitness center downstairs- complete with flat screen TV.We used their available car service to return to LaGuaradia airport - $45 - and rode in comfort, stress-free in a Lincoln Town Car.Have already recommended it to friends. Hope to return next year!	
Jun 20 2008 	Great Rooms Great Locations	We stayed here for 6 nights at the end of May, after months of researching hotels in New York, as this was our first time in New York.We arrived at the hotel 3 hours early and were hoping to just leave our bags at the front desk and start exploring, but they checked and were able to get us a room right away. The staff at the hotel were all very polite - always said good moring or good evening as we went through the lobby. The hotel also had a loft type area on the second floor which provided free internet access with printer and fax and phone. There was also a free breakfast every morning and though it only ran until 9 on weekdays and 10 on weekends we were able to get up for most days and had no complaints over the food - though at times the staff were slow on refilling certian foods.The room we had was very clean was a nice size, especially for New York and the 4 of us (all adults) had no problem getting our luggage in with room to spare. The room had a safe which was very nice, it also had a mini fridge and we received 2 complimentary bottles of water every day.The location of the hotel was by far it's greatest selling point. Keeping in mind that at night all of the businesses around the hotel completely shutdown and the area was much darker than we expected. Not once did we feel unsafe and we were out at 1-2am on a couple of nights. The hotel's proximity to Times Square multiple subway stations, shopping (Macy's) and restaurants made it very easy and convenient to get around and explore. (Tip: don't be afraid to use the subway, you will appreciate it after walking around all day and the stations are so close to the Wingate.)I would highly recommend this hotel to anyone looking in this price range - for 6 nights we paid $2200 for the 4 of us which is not to bad by New York's standards.Hope this helps, enjoy New York.	
Jun 18 2008 	Nice Hotel	The hotel was great with a good location.Nice and clean room.Breakfast was also verry good.One tip do not take the taxi to the aiprot from the hotel it self. Because then you will pay much more about 75 dollars. Just take the yellow cab its about 55 dollars.We would go back again.Greetz from The Netherlands	
Jun 13 2008 	Would recommend	Stayed for 4 nights in May. Very handy for Penn Station (5 minute walk) and various subway lines. Room bigger than average for New York, clean, comfortable with all necessary amenities. Breakfast basic but nice- gets busy after 8am so go early. Not the most desirable street but felt safe and great central location. Would definetly go back.	
