	A very good choice	The Stanford is well situated in Korea town, close to Macy's and good shopping. Although we were in NYC on business we also had some downtime so we were able to enjoy the delights that the city had to offer. The rooms are on the small side, and there is only one elevator but this did not present a huge problem for us. The bathroom was clean and the sheets and towels smelled freshly laundered. We were at the back of the hotel so we overlooked other windows but this did not present a problem either as it was quieter than being street side. If you craned your neck you could just about see the sky so you were able to see what the weather was doing and dress accordingly. Breakfast was bagels, doughnuts and other carby things - buns, rolls, toast etc, but this was ok too. The staff were very helpful and pleasant. As this is in mid-town we did struggle to find restaurants other than Korean ones which stayed open late.	
Oct 27 2008 	Great location clean and friendly	This is lovely hotel and well located near 34th st for shopping and also for access to buses and trains. Plenty of places nearby for eating out. Breakfast is nice and enough to set you up for the day....would recommend to a friend..	
Oct 24 2008 	Great Hotel For The Money You Pay!!! Would Go Back	This hotel is fantastic value for money, you are right in the heart of NYC. You are a short walk away from many attractions such as Madison Square Garden,Broadway (Hairspray was great),the flatiron and the Empire State Building is right round the corner. Penn Station is is right on you doorstep if you feel you have walked the city enough! The only thing that wasn't that great was the breakfast but for the money you pay to stay here i didn't expect much, you pay for the location.The Hotel is clean and tidy and everything you could want. I would recommend this to a friend and i would go back and stay in the hotel Stanford again.Leanne Scotland	
Oct 24 2008 	Great location good service	Very good location, a few blocks from Penn Station &amp; The Empire State Building. The staff was very friendly. They arranged a shuttle bus to the airport for me. Although the lady at the reception was insisting on taking a cab, which is 3 times more expensive, I asked another receptionist about the shuttle bus the following day, and he booked it immediately. I was staying on the 9th floor, at the back side of the hotel. Very quiet room, but pretty small compared to the other hotels I stayed in during my US trip. Breakfast was in the cafetaria next to the hotel. I always had to wait 15 - 20 minutes to be seated. A $10 'penalty' is charged if you take food outside the hotel (which is quite stupid if you only want to take one croissant with you, for instance when you don't want to stand in the waiting line to be seated).	
Oct 21 2008 	Fantastic shopping location!	We stayed at the stanford hotel in October. We had been to NY before, yet stayed further out, so this time we wanted to be closer to the main area. And that is exactly what we got! The hotel is about 10 steps away from a subway, and just around the corner from Macys. Everything is close and easily accesible. Our holiday was for shopping mainly, and the hotel's location was ideal for buying things and taking them back to the hotel before starting again! Rooms were a bit dated, but ok. We were very pleased by the fact that the hotel had a safe in the room. Breakfast was provided in the cafe attached to the hotel, which consisted of pastries; bagels and coffee and tea. The food was good, and was repelenished often by staff, who were polite. Overall, I would recommend this hotel for it's fantastic location.	
Oct 3 2008 	Great location nice hotel	Stayed in the Stanford hotel for 2 nights in mid September. Location could not be better, 2 minute walk to Macys and 10 minutes to Times square. I booked a queen room which was larger than I expected with a wall view. The bathroom was a little tired but clean. Coffee,Juice and doughnuts and Bagels were nice in the morning as part of the deal. Would definitely reccomend this hotel.	
Sep 17 2008	Great hotel and location	I stayed from Sept 1-Sept 6. I read the reviews and was a bit apprehensive about the air conditioner but I had a great room at the Stanford Inn. I stayed in room 810 and it had 2 double beds and it was comfortable for my daughter and I. For 4 people, it might be a bit tight.Everything worked as it should be and the beds were comfortable. The bathroom was clean and the water flow was great. The location of the hotel was close to everything. A few doors down the hotel, there was a grocery store so you could buy water to keep in the fridge that the hotel provided you. it was 2 blocks from Macy, close to all the shops and restaurants, about 10 blocks to Theater area ( it was not as far as it sound and it was a great walk with shops and lots of things to watch) and the subway was a few steps away. I bought a $25 subway ticket for 7 days for both subways and bus so I walked and used the subway, bus to everywhere. My daughter loved the Broadway shows so we stood in line to get the discount tickets everyday. The Wicked show did not have discount tickets but it was worth the full price. We saw Phantom of the Opera, Grease and Wicked and Wicked was our favorite show. The only thing that the hotel was not very helpful was on what to see and what was the best way to see it. But they had a lot of weekly free magazines with activities so you can plan for your time. I would stay at the Stanford inn hotel again next year.	
Aug 23 2008 	great budget hotel in a great location	this is a great budget hotel for a short trip to NY. its in a great location, 10 mins walk to the Empire State, go at night its beautiful3 mins walk to Macys (ask for the 11% visitors discount card!)a subway station two steps from the door15/20 mins walk to times sq and theatre district10 mins from madison Sq Gardensthe hotel is not luxury but its clean and the room was big enough for two girls and all their shopping! the decor is old fashioned but at the price I was paying its great. Our window looked onto a brick wall so we didnt open the curtains but we were really only sleeping and showering there. The complimentary breakfast was minimal but welcome and handy for saving the pennies if you are on a budget. Speedys deli across the street is great for salads, bagels, hot food, fruit, eat in or take out.the staff were very nice and helpful and the free internet acess is great on floor 2. Hint try to get a room on a lower flor as there is only one small lift which gets very busy.For a buget hotel I cant fault it and I would go back. they are in the process of renovating the bar lounge area so that will probably ad even more to it as it would have been nice to relax after a days shopping with a nice drink!	
Aug 12 2008 	Extremely Pleased With This Hotel	The Hotel Stanford is a beautiful hotel and in a very convenient location. It's a narrow building, but you enter into a very nice lobby with a lovely crystal lighting arrangement in the ceiling that sets the tone for a high-class hotel. There's just one small elevator, but there is also a narrow staircase if you don't want to wait.The staff were extremely friendly and willing to help, and the room was surprisingly large for a New York hotel. One wall was mirrored which may have made it seem larger, but we also had a dresser, a table and chairs, a small refrigerator, and a fair-sized closet with its own safe, which you program with your own code. The bathroom was larger than most of the others we had during our trip, which was unexpected and appreciated. The TV didn't get a lot of channels, but it was enough considering we spent most of our time out anyway. We were lucky to have a street view room with two windows, but many rooms appeared to be right against other buildings.The breakfast selection was limited, but nice if you just want to grab something quick before getting out to enjoy the city. The staff there were friendly and helpful as well.There's a subway station on the corner and the Empire State Building is just a block away. There are convenience stores and restaurants nearby, and a parking garage right across the street which offers preferred rates to guests of the hotel - which was the real selling point for us. (I do NOT recommend driving in Manhattan unless you really know what you're doing - it was definitely an adventure! - lol) Just make sure to get your parking validated when you check out. We walked back to the hotel from Times Square (via the Empire State Building) and it didn't take long. We did the hop-on, hop-off bus tour, which I highly recommend as well. (Note: our tour guide told us you can take the Staten Island ferry and see the Statue of Liberty closer for free - wish we'd known that before we bought advanced tickets!)The price was great for New York options, although expensive compared to other cities. We paid $189 per night plus $36 per night at the garage for our truck (it's $26 for a car). For the convenience and comfort, though, it was worth it.	
Jul 25 2008 	Just perfect	My friend and I stayed in this hotel for 6 days and everything was great. Very friendly and helpful staff, nice breakfast with fresh bagels and dougnuts, coffee, tea, milk and juice. Normaly I don't eat breakfast but I love bagels and it gives you an perfect start of a busy NY shopping day.The room was not big but clean and quit, with a small fridge and a safe in the closet. A clean bathroom with bath and shower and fresh towels every day. The room has no view, but we were only there for the night so that didn't bother us. The airco worked just fine.I fell in love at The City and staying in this hotel helped a great deal with that because everything was just perfect.The location is great to because, Fifth Avenue, Madison Avenue, Macy's , The Empire State Building it's all just around the corner.The best way to see NY is by foot, so put on your sneakers and go.	
Jul 6 2008 	Stanford Hotel good hotel for a right price in NYC	Located in midtown of Manhattan.200metres from Empire State Building.Very clear and comfortableAir conditioned working wellSafe box on room includedSimple breakfast included with hot coffee (american), bread, milk, tea, orange juice, croissant, butter and cheese.Only jam was missing.Internet free access.Referring the price: very goodconsidering the hotel rates in NYC.I suggest to everybody budget travellers	
Jul 4 2008 	Excellent!	My friend and I had a lovely stay at the Stanford. Close by to main attractions, very convenient. The room was clean &amp; simple, just perfect, you're only there to sleep! The staff was very friendly, the breakfast was absolutely fine (sometimes it got really crowded, but no big problems there). We are already planning our next trip to New York and we will definitely stay at the Stanford!	
Jun 29 2008 	Great Location good service	I give it 5 stars for its excellent location. It is near the subway, Penn Station, Broadway, Macy's and F&amp;B outlets. I booked a twin room. It looks exactly as it does on the hotel website. It's a little small but who cares if you are just there to crash? Unfortunately, it had two windows, both of which faced a brick wall 4 or 5 feet away. I am claustrophobic so I asked to change to a 'room with a view'. I had to upgrade to do that. I was given a double room. At least it looked out to the street below and the windows let in more light. For $10 more, excluding tax, it was worth it and the staff was courteous and professional enough to not think I was giving them more work by swapping rooms.Breakfast was nothing great - just bread rolls and orange juice, tea or coffee. There was no cereal, eggs, or bacon. The breakfast everyone else talks about is served at Martinique Cafe which is just round the corner from the hotel. If you want a leisurely full breakfast, go there. It's a great place to hang out.	
Jun 29 2008 	Nice Hotel in right place	As others have said it is a nice, clean hotel and being nearly nextdoor to the Empire State Building is in just the right place. The small downsides if I am being picky are just one lift, which gets very busy in the mornings. Breakfast, whilst adequate is not fantastic, bagels, rolls and cake - my gripe is no jam! I love grape jelly. It is served in one end of the cafe that is attached to the hotel. This space is just not big enough. They have another room which is being renovated at the moment (June 08) I don't know if this is normally used for breakfast. My final criticism is that the air conditioning is controlled centrally somehow. I would prefer contol to be in the room.Regardless of my criticisms I would recommend the hotel and I would stay there again.	
Jun 15 2008 	Great Location	My friend and I stayed here for 3 nights. It was great. The subway is right outside the Hotel. Very easy to get about. The hotel is next to the Empire State Building, Macy's and Penn Station. There is a little seating area across the road to sit and watch the world go by.The complimentary breakfast was good. Our room was quiet so we had a good sleep.	
Jun 4 2008 	Great location does what it says on the tin	Fantastic location near Macy's, underground station, Madison Square garden. Rooms very clean and beds comfortable. Could do with redecorating though (stains on carpets and walls rather scuffed). Didn't have a great experience of the breakfasts as they have it in a very small cafe and we had to wait for somebody else to get hurried on before we could get a seat at their table. Breakfast was ok (bagels, croissants, bananas, apples, bread rolls) but felt a bit hurried due to the limited number of tables.However all in all this is great value for money in a fantastic location. I'd stay there again.	
Jun 1 2008 	nice hotel!	I stayed 6 night in this hotel, and I really like it. The staff are very friendly and polite, and the rooms are clean.I have looked for a lot's of hotels before decided to book this one. And I don't regret it. The cost/benefit was great. It's have a great location.Even thought is a simple hotel, I believe that they provide the essencial things for a good stay. Clean rooms, cordial staff, and great location. I would stay there again.	
May 26 2008 	Nice clean excellent location friendly staff	The location is superb, near Macy's, a metro station right in the corner. Rooms are clean, big bathroom, wonderful bathtub to relax after a long sightseeing day. Complementary breakfast is wonderful to start the day. Staff is friendly, as well as maids. We will certainly go back!! I've read other reviews and we had no problem with the AC, it worked perfectly. Room was fresh every time we came in.	
May 21 2008 	Good budget hotel	Clean rooms, comfortable but smallish but had a lovely ensuite. No tea and coffee making facilities in the room even though it said that there was. Great coffee shop next door with nice well priced coffee which made up for it. The coffee shop was also where we had the complementary breakfast (which we thought was not inlcuded in the price) which consisted of bread and cakes and plenty of coffee, tea and OJ. Fridge in room.Staff were very helpful, giving directions on an excellent map. Great location, we could see the Empire State building from our room.Overall very pleased	
Apr 28 2008 	great stay at stanford	stayed here from apr 10th to 14th.rooms were clean and larger than i expected for nyc, the fridge was a bonus, there also was a safe which was handy for personal items.our room was on the 12th floor looking out on 33rd st, but hey who goes to new york to sit in their room???? i loved the bath and body works toiletries. the front desk staff were always smiling and very helpful as were the maids. the location is perfect, macy's and manhattan mall around the corner, only 10 blocks to times sq and around the block from the ESB. check out speedy's deli (LOVED speedy's)across the street for some fantastic food and jamba juice at the other end of the block (on 5th) for some yummy smothies.the subway was at the end of the block for trips further afield.the only bad thing was the heat in the room, it was a bit stuffy at times and the thermostat didn't work so we couldn't turn it down!all in all we had a fantastic trip to NYC which was made better by the fantastic location of the stanford	
Apr 24 2008 	Great Hotel	We stayed in The Stanford hotel for 3 nights, from April 10th to 13th 2008. This hotel's location is perfect. Close to great stores and a nice deli across the street!. Friendly staff and a really comfy room with lots of space and a fridge. I would highly recommend this hotel to visitors of NYC.	
Apr 22 2008 	Nce affordable accommodation	Ideally located, only a couple mins away from macy's. Room very comfy and clean, only problem was very noisy central heating system at night. Hotel staff were friendly. Perfect for those visiting on a shopping trip as it is within walking distance of shops. Adequate breakfast provided aswell, tea, coffee, juice, fruit, buns.. would def go back if vistiting nyc again	
Apr 10 2008 	clean and convenient	We just got back from a 7 day stay at the Stanford Hotel. Location was convenient, subway literally on the same corner and great places to eat in the morning. The hotel breakfast was below average, but they did have cornflakes and bananas, croissants (no jam), and some pastries. Our first impression of our 11th floor room was &quot;it's clean&quot;, we definitely enjoyed the Bath and Body lotions and shampoos. There was a bit of stuffiness to the room and its true that we couldnt ever get the AC on, however we just left our window open and that was sufficient. I dont think we could have stayed here come summer time. Definitely inquire about the air conditioner, maybe they just dont turn them on this time of year. Overall for the price and location it was great.	
Apr 7 2008	ideal for a girlie shopping trip	Stayed here for 4 nights in april. i organised the trip for myself, my sister and 21yr old neice for her birthday treat. we had a great trip. the hotel exceeded my expectations - it's brillaint value for money (we all stayed in one room), the location was ideal - for shopping and to see all the sights (and it was a 'safe' area) and staff were friendly and helpful. I'd recommend it to others - but bear in mind it is only a 2/3 star!	
Mar 28 2008 	Best hotel for shopping holiday	I have been here many times and it is the perfect hotel to go to for a shopping holiday. Its 2 minutes away from Macys and 34th Street so perfect for heading back with bags of purchases, sit down, relax for a bit before hitting the shops againStaff are extremely friendly and will do anything to help you. we have had a couple of times where our room is too hot, but once we say it to reception they fix it for us so its never been an issue.Breakfast is perfect too, pastries, toast, cereal, what more do you want! :) the breakfast room can get a little overcrowded at times but since its a buffet style breakfast people are there no longer than 20 minutes before they are gone againrooms are nice, clean and spacious. I recently stayed in a supposedly superior hotel last week in NY by times square, double the price of the Stanford Hotel (it was free tho, thats why i went) and I would never go back. Rooms were tiny and we had so many problems with the rooms too. Not good at allI would definitely recommend the Stanford Hotel if you are looking for something central, cheap, or somewhere good for shopping	
Feb 29 2008 	Perfect location	This hotel is in a perfect location to see the many sights and right in the heart of Manhattan. Just one minute or so to the nearest underground, Madison Square Gardens, the Empire State Building, Broadway theatre land and Times Square are all about 10 minutes walk away. There is a cafe adjoining the hotel entrance on one side and a bar on the other. Didn't venture into the bar but the cafe is perfect for getting that last minute latte on the go! The hotel reception staff are friendly and the maids are too. The breakfast is alot to be desired though - abit of a let down - plastic cutlery and paper plates, paper cups etc!! The breakfast is from 7.30am until 10am, it is best to get in the queue by 7.30am otherwise there will be no seats left. There's the usual breads, cereals and fruit, tea, coffee and orange juice-nothing too grand but just enough to set you up until lunchtime. Our room was fairly small for a double, the bed seemed small for a UK double too. The rooms are so hot and the thermastat didnt seem to work, we had to sleep with the window open but can be quite noisy - all in all though, great hotel, perfect location, amazing city!	
Feb 24 2008	Sleep Depravation	Unlike its online description, the hotel is below average in every way. There is no lobby, the rooms are in desperate need of updating, the staff barely speaks English, and they are not willing to accommodate guest’s needs. Most frustrating was the sauna like temperature of the hotel. The rooms have individual climate controls that don’t work, and the hotel's central heater, which is not controllable from the room, was continuously blowing hot air, which hovered at 82 degrees. The room was so hot that we didn’t sleep all night even with window wide open to the winter air. After complaining I was assured that the heat would be turned down. But again and again nothing happened. On the 2nd night I was finally pushed to the point that I wouldn’t leave the front desk until they actually acted on their multiple promises. Stay here only if you want to waste your time fighting with the staff just to get a night's rest.	
Feb 24 2008 	Great hotel can't fault it!	Before arriving at Hotel Stanford, our expectations were based on the (relatively low) price we paid through Hotels.com. However, upon arrival these expectations were greatly exceeded and we found a fantastic though low-key hotel in a perfect midtown location with all the services and amenities you would expect from a much more expensive lodging.The staff at the front desk, as well as the catering and cleaning staff and the doorman were all very friendly and went out of their way to support and help us during our visit. At one point we requested to change rooms due to the clanging pipes noise throughout the night. Our room was switched without incident (although unfortunately the same noise in the new room!) - and this didn't at all spoil our stay.The hotel was very clean and rooms were made up every day, with fresh towels and toiletries provided. Loved the shower gel from Bath &amp; Body Works!The best thing about the hotel is the location. It is adjacent to the 34th St subway stop and only 2 blocks from Empire State Bldg, which we could see from the window of our room. Second best was the size of the rooms - much, much bigger than we had expected in New York and the biggest of any city-centre hotel I've stayed in.Breakfast was good - a great selection of cereal, toast, bagels, doughnuts, pastries and fruit, with hot and cold drinks. Transport to and from the airports can also be arranged, as well as entry to some of the city's attractions.In order to address complaints over the elevator, I would simply like to comment that in some European city hotels, you would be lucky to have an elevator at all, and often you would have to walk up several flights of stairs. Although admittedly not the fastest elevator in the world, it far from ruins the experience of the hotel!We could not have had a better stay in New York, and I would definitely return to Hotel Stanford.	
Jan 30 2008 	Good Place Great Price	This hotel is in a wonderful location (Herald Square) near subway. Went on a 3 day vaca. with no kids (wife and myself). Room was small but very clean and clean private bathroom. Fridge in room was very handy. Staff was very friendly and helpful. Also affordable parking ($25/day) across street if you are a guest. Only downside was slow elevator and our room was smoking when we wanted nonsmoking. Also the continental breakfast was minimal, but we didnt get there until the end. Downsides not a big deal.	
Jan 11 2008 	Once again the Stanford was great value for money clean and well located	We stayed at the Stanford for 3 nights in December. I had previously stayed in the hotel in 2006 and was again pleased that for the money, the rooms were clean, relatively modern and had all basic facilities including a room safe, small fridge, flat screen TV etc... The only problem was one of the double beds in the room which had a tilted mattress (too many overweight visitors in the past?). I reported this to the hotel reception who were apologetic and it was fixed by the end of the day. Excellent service.I would stay in this hotel again and recommend it for location and value for money.	
Jan 10 2008 	Excellent Location - Nice Hotel	My Boyfriend and I stayed at this hotel over the Chritmas Period. The hotel is in an excellent location for shoppers as it is located at the door step of Macy's &amp; Manhattan Mall. The Empire state building is at the rear of this hotel, penn station is a 2 minute walk and it is a 10 minute walk from times square &amp; 5th avenue heart of shopping. We stayed on the 7th floor. The room was small including the bathroom. We had to sleep with the window open all night as we could not control the room tempeture. It was very stuffy! As there is only one lift in this hotel which only holds 8 persons it is very slow at peak times. When we were departing this hotel with our suitcases, we had to wait 20 minutes on the lift!!! A real pain. The staff were pleasant. There is an excellent resturant around the corner of this hotel which is facing Manhattan Mall (can't think of the name of it). We had breakfast here every morning and it was great. Great menu and fast service.	
Jan 6 2008 	Pleasant Stay!	Just returned from a 2 night stay at the Hotel Stanford. All the employees we had contact with were very pleasant and eager to assist us. We stayed in a standard room on the 7th floor at the back of the building. Our room was very clean, quiet and had ample space for 2 women visiting for a shopping trip. The continental breakfast had something basic for every taste. And, the location is ideal as the hotel is within walking distance of Macy's and the other shops at Herald Square and the entrance is only steps from the subway line.	
Jan 6 2008 	Great location not so great service	I stayed with a friend at the Hotel Stanford in Dec for 3 nights.My first choice would have been the Hilton Garden Inn but due to Dec being really busy it was not available so we decided to go with the Stanford Hotel.When we got the Hotel we were disappointed. The Reception area didn't look very nice at all and was cold and quite empty looking. The staff were friendly but spoke little English and it was hard for us to just check in! The room was ok - clean and comfortable. Nothing special but then we wasn't expecting anything fantastic it was all we needed and was quite comfortable. The room and the bathroom were of a good size and had a TV and Dining table in there. The only problem was the noise but then this is New York City and that was to be expected!! The location was fantastic - just around the corner from the Emipire State Building and Macys so it was really good.I was SHOCKED by the included breakfast!! They had NO MILK!!! So you couldn't have a cup of Tea or Coffee or even some cereal!! Seemed pretty strange! When another guest asked for milk the staff didn't understand her and just shook their heads! So we thought well we cant have cereal we will just have toast....but...there was NO BUTTER!! or anything to put on the toast! The only thing we could have were cream filled chocolate doughnuts!We made a sharp exit and went to a cafe around the corner from the hotel which did lovely typical American breakfast! We then ate breakfast here for the rest of our stay!On the last two days there were some lovely staff on the reception desk who were really helpful with our queries. If you are looking for a great location and comfortable, clean rooms then this would be brilliant.	
Jan 6 2008 	great value	Just came back from the Hotel Stanford. Can't beat it for the price. Great location - near Macy's, Madison Square Garden, and two steps from a subway stop. Ask at the front desk and they will let you know about special Hotel Stanford rates at the internet cafes across the street. The room is small but clean and the staff is friendly. The continental breakfast has toast, danishes, bagels, cereal, bananas and apples. All in all, I'd go back in a second!	
Jan 4 2008 	Modest and well located	We stayed here for five nights over Christmas. Given that I booked our holiday quite late, I don't know if the price we paid was value for money, but I found the rating that other TripAdvisor reviewers had given Hotel Stanford to be quite appropriate.Our room was smallish but comfortable. It was furnished well enough that we could unpack and make ourselves feel at home. It did however tend to feel quite stuffy at times despite it being winter. We tried fiddling with the thermostat to no avail. The bathroom was fine. There was no real view to speak of other than a narrow slice of buildings uptown!The housekeeping was good and the service provided by the rest of the hotel staff was just fine as well. We never went to the breakfast area so I can't comment on that.Now the location is really fantastic, especially for first-time visitors to NYC. If I go back I'll definitely endeavour to stay somewhere with a bit more 'cred' like the Village, but at the Stanford you are right in the heart of Midtown. The Empire State Building is right around the corner, as is Macy's if you fancy some shopping. The new home of the Second Avenue Deli is a few blocks to the east, we had a great Christmas Day breakfast there! Times Square is just a few blocks north. Plenty of subway stations nearby, plus Penn Station and Grand Central Terminal a little further away. And its an area that I expect is always a little busy so you could consider it to be pretty safe (as all of NYC is these days).The only annoying thing about the Stanford was how tedious it was getting up and down in the single elevator during peak periods (we were on the 11th floor). If you are closer to the ground and are able, I'd take the stairs! If you do have to wait for the elevator on the ground floor, don't forget to check out the framed letters from 1927 written on the hotel letterhead when it was the Hotel Alcazar.	
Dec 27 2007	Stanford stay	The Hotel stanfor was a nice experience. It wasn't an extrodinary hotel but nice to say the least. For the price the service wasn't that great but it did have its perks and falts. The check in was bumpy the front desk clerk barly could speak english and then a hidden expence of 100 dollar was added for something. He wasn't a plesant man at all. Then we got to our room it was nice but the bathroom was held together by duck tape. Weird. However there was a great bellman/ housekeeper that should be running the place his name was Victor and he made our stay a much pleasanter experience. The location was great! The continental breakfast was nice however not well kept. It was out of juice the milk was warm and the room it was in was way to small. All though there was some bumps it was a great time.	
Dec 24 2007	Ideal Location	Stayed in room 308, a double double room for 3 nights. There were four girls on a shopping trip and it was ideal.This was my fourth time in NY so I've experienced other hotels, and paid a higher price!The room was a good size, 2 dbl beds, and a pull out sofa, a fridge and tele.The breakfast starts at 7.30, this consited of cereals, bagels, croissants, juice, tea etcThe bathroom was small but did the job, the shower wasnt very powerful but after twiddling with it, it worked fine.The hotel is 2 mins walk from Macys, we got the sub to ground Zero and Century 21 and this was just a short stroll away,If your looking for cheap and cheerful this is your hotel!	
Dec 4 2007 	Excellent value	I've just got back from staying at this hotel and found it excellent value for money adn in a wonderful location. OK there's only one lift which can get a bit tiresome but you never have to wait that long so chill. Our double double was a good size for New York with very comfortable beds, plenty of storage space, a fridge and good maid service.I would recommend this hotel to anyone wanting a clean, comfortable, convenient budget hotel.	
Nov 24 2007 	Good location old but in good condition	It has been really a problem to find good value hotels in New York City. Stanford is old, but the average condition of all items is ok. The rooms (and the bathrooms) are big; no problem if you want to stay with your family of 4 (I’ve stayed with my wife, son and niece). It is located in the street of the Korean community (you will find many people on the street all the time and it is ok if you want to walk around late at night). It is very close to the Empire State Building and 2 corners from Macy’s, the Madison Square Garden and 2 subway stations.But if you like to have breakfast in the hotel, forget about… In the Stanford the breakfast is served in a small bar inside the hotel and it is almost impossible to get a place to sit.	
Nov 8 2007 	Never mind the roache(s)	We are a family of four (including two teenagers) that stayed for 5 nights between Oct 30 - Nov 4. Got room 815 with 2 queen sized beds and one &quot;folding sofa&quot;. Large room with nice bathroom, small fridge and a TV-set that worked okay. Good cleaning. No problem getting extra towels when we needed. Paid $1950, i.e. almost $400/night, inclding all taxes. The hotel tried to charge a $100 extra but when I asked for the original price they managed to find my booking and I got a that price. Friendly staff in reception and doormen. Complimentary breakfast was nothing fancy but you got your cereals, some fruit, toast of different kinds, bagels, donuts, coffe/tea/juice. NB! Not a lot of space in the breakfast room, avoid rush hours. After finishing breakfast we went down to the lobby and took the elevator from there since it took long time to wait for the elevator outside the brakfast room (on the first floor). Location of Hotel Stanford is perfect when visiting New York. You got everthing around the corner; i.e. Empire State Building, just go left outside hotel entrance and left around the block (be there early!). Subway is 20 meters away (34th street station with 32nd street stairs, which is good to know the first time you go by subway to the hotel). I would go back and stay again just for the location. And never mind the roaches (yes, we saw a couple in the hotel), they are just part of a traditional New York experience!	
Nov 4 2007 	Exactly what we needed for our holiday	We stayed for 5 nights at the Hotel Stanford during October 2007. We were three 20 something girls who came to New York for a shopping trip. The hotel was exactly what we needed. It was very central, perfect location. It was 5 min walk to Macy's and 10 mins to time square. There was a subway stop right outside the hotel. For us, we basically wanted somewhere clean, safe and central and this certainly delivered. It has been recently refurbished (although not necessarily to my tastes!!!) but was spotless. The room was big enough for the 3 of us to share (2 double beds) and was very cheap. I think we paid £240 each for the 5 nights. Originally we booked for 6 nights but BA was overbooked so we got compensated £420 each to stay in london in a hotel and returned the following day to the airport with our shopping money! The hotel staff were very nice and refunded our first nights stay with proof from BA. The bathroom was very clean and new and the shower was massive with a large &quot;raindrop&quot; head. We stayed on the 5th floor and could not hear a thing. The air con hums at night but this was fine for us. There is a new flat screen tv in the room. Also, there was a small window which looked out to another building so you never saw any natural light but we didn't mind as we just had the room for sleeping. All in all, I would definately stay there again, especially if you want to save more money for shopping!!	
Oct 31 2007 	Perfect Location	Stayed in this hotel for a week of shopping and sightseeing in March and found it to be very reasonably priced in a perfect location. Subway stop right at the door, Macys just around the corner and in the unique location of Korea Town. room was a decent size, lots of wardrobe space for shopping! Bathroom was also a good size. TV had a good variety of channels and room was cleaned on a daily basis. Stayed on the 13th floor so no noise! Would definetly recommend this hotel as a base for a week of fun in New york City!	
Oct 17 2007 	We loved this hotel!	My daughter (age 11) and I stayed here in August 2007 for three nights and we loved it.The location is perfect: two blocks from the Empire State Building and one from Macys, and bus and subway stops nearbly to anywhere you want to go. We really felt we were right in the middle of New York.The rooms are not huge, but perfectly fine considering the very reasonable price, and with everything you need: telephone, television, good drawer and desk space, well- equiped bathroom, and clean. The view from the window showed enough New York skyline to keep us happy.Staff were unfailingly kind, polite and helpful. Breakfast takes place in the karaoke bar (no music, just breakast news!). Smiling staff hand out cardboard plates, and there is an adequate selection of tea and coffee, cereals and bagels, and , to my daughter's delight, chocolate doughnuts!Our fellow travellers were mostly a mixture of Koreans (it is situated in Little Korea) and Europeans, including several Italians, and family groups.I would definitely come back again and bring the rest of the family.	
Oct 17 2007	Ideal Location for shopping and sight seeing	I have to say that we enjoyed our stay at Hotel Stanford. It is ideally located. Exit the hotel to your left is 5th Avenue and to your right is Broadway, with Macy's, Gap, H&amp;M, Forever 21, Payless, Manhattan Mall and many more just around the corner, we couldn't believe our luck. Penn Station is only 15 minutes walk away and metro only around the corner. The reception staff were extremely helpful. The breakfast was good nothing exciting, no pancakes......... but the restaurant in Radisson next door do fab pancakes!!!! The only down side to the hotel is there is only one lift to at least 12 floors but just be patient. The bedrooms are basic like every hotel in NYC, the beds were really comfortable, shower fab nice and strong and the rooms were cleaned every day. Overall we enjoyed our stay and will go back.	
Oct 1 2007 	Mixed feelings about the experience	I have mixed feelings about my experience at the Hotel Stanford. On the plus side, the price is very reasonable for Manhattan and the room was very clean. The location is convenient to the subway and to a number of downtown attractions such as the Empire State Building and Macy's. My husband and I were in town to attend a wedding at the Marble Collegiate Church, and the Hotel Stanford was a short three block walk from the church, which was a major factor in our decision to stay at the hotel. There are, however, other hotels on 32nd Street (they were full when we booked) that might be equally convenient without some of the drawbacks.On the other hand, while the room was clean, it was extremely small. There was barely enough room for one of us to move sideways around one side of the bed. The air conditioning in the room was anemic at best, and the room felt stuffy the entire time we were there. It's central air conditioning and, when the street noise became too much, I found myself wishing for the white noise effect that an in-room unit would have provided in addition to keeping the temperature more bearable.We came in on Thursday night for the wedding and were looking forward to watching the season premier of The Office after dinner. Apparently, according to the bellhop who responded to my call, the antenna on the top of the building doesn't get NBC at all, so no rooms in the hotel get that station on their TVs. He did, however, proudly point out the excellent reception on CNN, which didn't really help at that point. All in all, it's a decent budget hotel in a good location.	
