	location is everything	i will agree with some of the earlier posts ,The decor does look slightly tired ,It could possibly do with a facelift ,BUT the location is superb ,the view of central park is spectacular,the subway is 2 minutes away ,as are 5th and 6th avenue.times square is 15 minutes walk as are the rockefeller centre and empire state building .A great alternative if you cannot afford the Plaza ,Ritz or Trump ,overall good value for money.	
Sep 22 2008 	Okay...Interior dated...Service lacking..Good location though	I stayed here Aug 23-27, 2008. I booked it off of hotwire because I needed to save money. I was disappointed as it is rated a 4*. The service is very lacking. It is not a friendly environment. They told me they would get someone to help with my bags. After waiting 10 minutes, I decided to take them up myself.The room is very dated in my opinion. I'm more in to clean crisp conservative settings. To me it had a tacky 70's decor to it. Yet it had a plasma TV to throw the whole setting off.the location is great though. It is right across the street from Central park and one block from the subway. Though I really disliked the horse smell that seemed to linger all day and night due to the carriages.The good things are that they make you show your room key when you return late at night. And they do have a bed turn down service.Be aware of extra charges on your final bill. They took them off. Actually, the last day there was the only day that the service was actually helpful. They took the charges off with no arguments. They held my bags until time for my afternoon flight so I could continue site seeing. The doorman was excellent that day.The price was good but as a single I wouldn't stay there again.	
Aug 28 2008 	Good location - sour service!	We booked a park view junior suite at the Helmsley Park Lane for a four day stay. At check in the staff were friendly but slightly condescending, which only got worse throughout the stay. I have to say that on the whole, the level of service form the reception and concierge was below average and delivered in a way that was verging on snooty. It was almost as if the doorman would see us coming and run the other way. This continued throughout the entire length of our stay, I couldn't help but feel like they would see us and wonder what we were doing there. Not a very pleasant way to be greeted on the way in and out.The room was extremely spacious (especially for NYC) with breathtaking views of the park, and everything was very clean. The room was a bit tired and the decor very dated but for the money we paid, the size of the room was more than value for money. We were frowned upon for buying bottles of wine in from outside, and charged for the usage of the corkscrew in the room, not once - but twice! they charged $12 a day for wifi, which I thought was a bit steep, but you come to expect that.The only good thing I can say about the hotel service was the housekeeping who kept everything spotless, provided a chocolates and turndown service and replenished towels twice daily. They were the only staff who got a tip at the end of our stay.I would recommend this hotel for visitors to NYC who value their space over everything else. I think the space and location was a fair trade for the shortfalls in service and dated decor.	
Aug 27 2008 	Disappointed	I booked 7 nights at this hotel through Expedis.com. I read over all terms and conditions and on my itinerary it clearly stated that the money paid covers all taxes and fees. and I thought this will cover all my hotel expense. but when I checked in, the person at reception, asked me to sign up for a $15,00/day internet charges' agreement, it stated that this is a compulsory fee for each room per day for use of phone and internet. This would be fine if I was informed at time of my booking. in the end, I had left no choice, but pay for this expense which I was NOT required for. I would strongly advise to be cautious at this hotel, where is the extra money going to Mrs Helmsley's dog that inherited all of there money!I will reconsider my next visit to this hotel. Hotel's room is over priced for its condition. My very first trip to New York, but disappointing.	
Aug 25 2008 	Great Location!	My husband and I stayed three nights at the Helmsley Park Lane in early August and we had a great experience until the last morning. We were on the 40th floor overlooking Central Park and the room was neat and clean. The housekeeper we encountered was very friendly. The only issue we had was with the $15 fee for phone/internet use. We booked the hotel through Expedia and thought we had pre-paid for all of our hotel expenses, but awoke on our departure day to an invoice. We were able to escape being charged this fee (but not without a lot of persistence on my part) The front desk staff members were not very willing to help us with our situation and as I was aruguing my case, another couple came to the desk for the same reason. This is an issue that needs to be resolved and even though the room was nice, it is enough to make me look elsewhere when I return to NYC. There are too many hotels to choose from to deal with sneaky fees.	
Aug 18 2008 	Great location and value for money	We stayed here for 4 nights and thought the room was absolutely fine. It was clean, the staff were really helpful and we had no problems at all. The only downside, as a few people have already mentioned was the automatic charge of $15 per day for telephone calls, even if you didnt make any. But they did tell us about this when we checked in, but instead of asking for it to be removed we made good use of it - saved us a fortune on mobile/international calls home to the UK!We had a city room on 41st floor - the views were mostly of buildings but it was amazing at night! The location is superb, with the subway being just a few doors down, or a short walk to Columbus Circle for more choice of trains. I couldnt really fault this hotel at all and would recommend it.	
Aug 12 2008 	Fantastic Location	This is a fantastic Hotel, In a GREAT Location,I think good value for money too,But Care, with the treats and mini- bar, When you first go into the rooms, We had three rooms and in just one it warned that if you remove an item for 20 seconds it will be billed to your room.The only other downfall to this hotel is that it charges a room rate of 15 dollars a day for IT services, even if you do not use it.It mounts up over a longer stay,Because we had not been advised of this charge when booking ,We complained and had the charge refunded.	
Aug 5 2008 	Watch out for hidden costs	New York is amazing the best city in the world. I booked 7 nights at this hotel through hotels.com. I read over all terms and conditions and on my itinerary it clearly stated that the money paid covers all taxes and fees. It came to my last morning and woke to an invoice under the door for $15 US every day that I had stayed there including our first day even though I had arrived a 9.30pm. When checking out at reception they stated that this is a compulsory fee for each room per day for use of phone and internet. This would be fine if I was informed of this upon my arrival so I could have actually used the phone or internet provided. &quot;Í was never informed'' I stated the reply was basically stiff (----)!I would strongly advise to be cautious at this hotel, where is the extra money going to Mrs Helmsley's dog that inherited all of there money!I will not be back..	
Aug 4 2008 	Nice but...	Great location and very nice hotel. Too bad they have started a sleazy automatic upcharge of $15 per night for internet, telephone, and long distance. This charge will be applied even if you use none of these services. If you complain on check out, they will not reverse the charges. Watch for the small print on the bottom of the check in form where you authorize the charge.Hotels like this don't need to resort to such a shabby upcharge policy. We would have gladly paid the extra $15 per night if the room charge was upped.	
Aug 4 2008 	great location	although the hotel is looking a little tired and dated as are the rooms we enjoyed our 6 night stay and experienced littel/no problems and found it particular good value considering its location. The check-in was effortless and prompt. The rooms was quiet throughout our stay which is extremely important for us, although we do still wonder why Americans in particular have this instance in using the brass security catch as a door stop and have no ability to close doors quietly! Other than this the stay was fine and the housekeeping was efficient with the towels being changed again each evening whilst the bed was prepared, so there was always plenty of clean, dry towels to use. The bed was comfortable and the air-con ok, although a little noisy! Never had to wait long for the elevators which is always a bonus. They tried to charge us $15/day for telephone &amp; internet but as we had not been informed at check-in that this serevice was available refused to pay it and it was removed from our bill. Overall it was good value.	
Aug 1 2008 	Wonderful stay at this hotel!	We stayed at this hotel for 4 nights and it was wonderful! We arrived at 1pm and were told that if we wanted a higher room for better view, we should check back after 3pm. That was fine with us, so they held our luggage and we were off sightseeing. We arrived back at 5pm and they had a room on the 39th floor with a partial park view (we had paid only for 'city view'). There was no extra charge and we enjoyed the view of the west side of Central Park.The room was clean and roomy and the bed comfortable; the water was instantly hot or cold; there was a mini refrigerator which we used for fruit and leftover sandwiches; we called nightly for ice, and room service brought it in 5 minutes or less each night; the staff was friendly and helpful; there is a subway entrance a short ways down the street and most times we could figure out how to use that entrance to connect to something else to get us where we wanted to go; the cooling system was consistently cool - not hot, cold, hot, cold and fairly quiet; the elevators were fast and never crowded; we had an iron, ironing board, hair dryer, in-room safe; there was turn-down service each night with chocolates left by the bed; the room was quiet - never heard anyone next to us on either sideDo not expect this to be a complete luxury hotel! There were some stains on the bathroom floor and some of the grout was discolored. Also, the toilet was not level and made a 'clunk' sound each time you sat on it. One lamp didn't seem to work correctly, but there were 5 lamps in the room so we didn't bother to call about it. The room showed some wear, but it was a lot nicer than our own bedroom and bath, and for what we paid for it in Manhattan ($225/night including all fees and taxes), it was a great place to stay in a great location!	
Jul 23 2008 	Won't Stay Here Again!	I've stayed at the Helmsley Park Lane several times before. I was there on business, and their rate could not have been beat. But we all know the old story &quot;You get what you pay for&quot;. Upon check in, I was told my room was not ready, but they cold upgrade me to a Junior Suite for only and extra $50 per night. Sounded pretty good, so I agreed. I have been in other park view rooms before, and the only difference in the &quot;Junior Suite&quot; was an extra love seat. I told them that wasn't worth $50 a night, and amazingly, they found a room that was ready. I dropped off my bags, and off to work I went. When I got back to the hotel later in the afternoon, it was toasty. Apparently the airconditioning didn't work. They were kind and moved me again, but we could never get the room to cool off. This was a big problem. It was hot as heck in NYC.That was just the beginning. As other reviewers have noted, the rooms are dated, The wall paper is peeling off, there is mildew in the leaking bath tubs. Housekeeping is inadequate (never replacing wash cloths), and room service trays that are in your room when you return from work the next day. I guess, there is only so much the staff can do. They are cordial and try to be helpful, but they don't have a lot to work with.I don't know how this hotel is able to keeps it's designation as a &quot;Leading Hotel of the World&quot;. They do not hold themselves to the same standards as the other LHWs.	
Jul 20 2008 	Fit our needs perfectly	We stayed at the Park Lane for one night. It was a beautiful hotel. The room was clean, the staff were friendly, and check in/ check out were a breeze. Location was good. I have nothing but good things to say about this hotel!	
Jul 20 2008 	Diry Old And Tired	We had a similar experience as the other reviewer who was told their room wasn't ready and was offered an 'upgrade' to a suite for an additional (in our case) $100. The good news, it was two huge rooms and a great view of central park. The bad news unfortunately made it unlivable. 1. Although they said we were not on a smoking floor, the moment we got off the elevator it smelled like an ashtray. 2. The room and upholstered furniture was old and filthy. The worst was the upholstered headboard had 'head' stains on both sides. 3. The carpeting in the common halls were old and super dirty. The carpeting in the rooms were also old and dirty. You did not want to walk in bare feet.4. The rooms in general have not been updated from what we could tell in over 20 years.It is a shame that a hotel in such a prime location can let itself deteriorate to such a degree. The Helmsley company must be in some sort of financial limbo. Leona must be turning in her grave!	
Jul 6 2008 	Perfect service and location	From the first minute we felt at home. Nice concierge andreception. Helped us with several things and upgraded us to 42nd floor. One week's stay was too short but for celebrating a wedding day after 25 years' of marriage it was perfect. Central Park and shopping facilities just round the corner meant excellent value for money, not to forget the Swedish FIKA-bar on 58th street on the other side of the block, a few yards away.The Grahms	
Jul 4 2008 	Central park here i come!	What a pleasant stay it was at the Helmsley park lane. I felt like living NYC; Waking-up early going for running at the central park, taking shower (using the bath robe) then drinking coffee at Starbucks and of course shopping at fifth avenue. The location of the hotel is great- 59 street between 6th and 5th avenue! Apple store is right behind the corner, Abercrombie and AX are 5 minutes walk, the subway is across the street and of course central park is in front of the hotel. Even that I didn't get central park view (you need to pay extra money for that), room number 2707 at the non smoking floor was great! It was wide and clean and had fridge, safe box, iron, hair fan and snacks' bar and the king size bed was pretty much comfortable after long walking day in Manhattan.The receptionist was nice and kind. I got in at 10:30 am so she checked me in without waiting for 3:00 pm and on the day I checked out, they stored my luggage while I was touring the city till 9:00 pm. Before I went off the hotel, I used the concierge's service to get instructed how to get JFK by metro and her help was kind and professional (take the R train to Queens Plaza, change to E train [same platform] to sutphin blvd and take the airtrain to your terminal). I must say that I was little bit surprised that at 11:30 pm maid service knocked on my door to ask if I need something. I was wondering how I would felt if I was sleeping and woke up because of that.Although the room and hotel were perfect, I might say that next time I go Manhattan, I might go for cheaper hotel only because I didn't get the chance to use the hotel facilities (such as fitness club and restaurants). Most of the day I spent outside of the hotel, so I only used it for sleep and storing my stuff. If u got spare money, I would say go for it, it worth the money, but if you are on budget +, look for cheaper one.A tip- Grab yourself healthy meal at &quot;Whole food market&quot; which is located in the shopping mall at Columbus Circle (5 minutes walk from the hotel) and go eat at central park.	
Jul 2 2008 	Bumpy start	We booked for 4 nights in June in a park-view king room. When we arrived at 5:30pm, we were told our room was not ready, and they offered to 'upgrade' us to a suite for an extra $50 a night, stating that the suite is a lot nicer. We later realised this was a common thing that happened. Do not get pressured. We were told that only rooms on the smoking floor was available. We decided to take the room, and move to a non-smoking floor the following morning. The reception staff seemed more interested in getting us to 'upgrade' than to get us the room that we had paid for! The room is large, decoration a little old, and in need of update. The wonderful part was the view out to central park. More hiccups ensued. The bellhop said he would get a fax waiting for us from the business center, but after 15 minutes of waiting, it never arrived. My husband decided to go down and get it himself. The room seemed fine, but later, we realised that two of the lamps did not work. We asked housekeeping to fix this at 8:30pm, but they did not show up until 11:30pm, waking us from our sleep. We asked the 'engineer' to come back the next day. The next morning, we asked to be moved to a non-smoking floor. We put our suitcases into storage and was told that our room would be available at 3pm. When we came back at 3pm, we were told there was another '15 minutes' wait. We decided to head out for some shopping. Arriving back at 5pm, we were told again our room was not yet ready. We were very annoyed at this stage, and asked to speak to the manager. She told us the previous occupants only checked out at 4pm (which basically meant the person at reception had out and out lied to us), and housekeeping had not had the chance to clean the room! She offered us a double room instead. Hubby was pretty incensed at this time, and insisted that they sort this out. The manager was apologetic, and sorted out a room for us and gave us vouchers for complimentary continental breakfasts. When we arrived at the room, it was a park-view king room. So, why they insisted they didn't have a room ready for us, when they did, is anyone's guess. This time, all the appliances worked, and we were further up (level 38), with a marvellous view. What really lets down this hotel is the staff, - unfriendly, unhelpful and unknowledgable. The staff at the concierge desk is unpredictable. We were informed of a concert at the park by someone else, and when we checked at the concierge desk, they didn't know. Later, we were informed the concert was on the following night. Guess what? There were fireworks later than evening from Central park, and the next morning's papers had an article stating what a great free concert the philarmonic orchestra had thrown! They also rang us at midnight to ask if we dined at the Garden Court cafe. We hadn't, and it woke us up. Very bizzare, and truly unwarranted. What saves this hotel is the location and the view. The view is truly marvellous, you can see the nearly the whole of Central Park from the 38th floor. It's next door to a subway stop, great for a morning stroll through Central Park, and 5th Ave is right around the block. The breakfast in the Park Room is again, nice for the view. We booked through Expedia.co.nz, and paid NZ$418 a night (including taxes). We would not return.	
Jun 27 2008 	Tawdry and Dirty.	My husband and I just returned from a romantic weekend trip to NYC. It was supposed to be both romantic and luxurious but that is not quite how it turned out. We booked a room at the Helmsley Park Lane expecting a decent amount of luxury and pampering. What a disappointment.The only hotel personnel who seemed to have any clue about how to do their jobs were the desk clerks and even they were not always up to the task having some difficulty using the computers. The doormen and bellhops stood around the lobby or in front of the doors, both revolving and swinging, and only once during our five day stay did they bother to even open the door let alone bother to get out of the way.The hotel itself has seen far better days with torn and worn carpeting, banged up walls and furniture and stained fixtures and broken tiles in the bath. This tawdriness was compounded by the very poor job the maid service did in cleaning the room. There was a half inch of dust under all of the furniture with legs where the maids had not bothered to vacuum for some time, and even though the maids came into the room every day the room was never clean. Hair dotted not just the bath but the floor and sink after they cleaned. I am not at all sure it was from either my husband or me. The toilet was simply disgusting with a brown ring that looked more like some youth hostel than a fine NYC hotel. We never got clean glasses in the bathroom and there was dust on most of the pictures and television.The bellhop said there was an iron and ironing board and an umbrella in every room and that was only partially right. There was an iron, no ironing board, and the umbrella had several broken ribs which became apparent on the day when the skies opened and the rain came plummeting down.The Helmsley touts itself as one of the world's finest hotels and we were certainly expecting a level of service comparable to hotels we have stayed in in Europe, but it just was not there. I will not return and I do not recommend this hotel to anyone unless location is the only criterion.	
Jun 21 2008 	Location Location Location	I stayed at the Helmsley Park Lane Hotel for 10 days in June this year and would certainly recommend it to anyone travelling to New York. Although quite expensive, it is well worth booking a 'park view' room, as this is by far and away much nicer than the 'city view' rooms which potentially could be looking straight into another building. I found the hotel staff very friendly and helpful and the room was cleaned twice a day. The decor of the place wasn't really to my taste (very floral and rather dated) and the room did not have any coffee or tea making facilities, but these are really just minor points. We only had dinner at the hotel once, and it was to a very good standard, but for a great breakfast do head next door to Sarabeths which has a great chioce or the many delis which are within close walking distance. Definitely the best thing about the hotel, however, is the location. Based directly opposite Central Park, and within walking distance of 5th avenue, the Empire State, the Rock and the major museums, it is perfect for a sight seeing trip. Highly recommended.PS. The only word of warning I have about my stay is that we hired a car to get us from JFK to the hotel, instead of a taxi, through Tel Aviv motors. DO NOT book through these guys if you wish to book a car also, they have many hidden charged some of which are ridiculous and the final bill came to over twice what I was originally quoted.	
Jun 12 2008 	Great Place Great Location	Great place on Central Park. booked a 4 night stay. When we got there we upgraded to a park view room for 75/day. Totally worth it! Walking to distance to Times Square/Fifth Ave Shopping. Central Park right outside the door. Access to subway 50 yards from Hotel door! Stay here! You won't regret it!p.s. Mickey Mantle's Restaurant and Bar 2 buildings down if ya are a sports fan!	
Jun 11 2008 	Perfect location renovation under way.......	I stayed for 2 nights. Very nice staff at the reception. Had a fairly &quot;cheap&quot; room on lower floors with no view of Central Park. The room was one of those due for renovation &amp; refurbishing. Nothing to say about that considering the low rate. The Hotel has great potential when the renovation is completed considering the top notch location of the hotel.	
Jun 11 2008 	Dated decor terrible service.	This is a truly terrible hotel; its only redeeming feature is the location opposite Central Park. Our experience at The Helmsley Park Lane was disappointing from arrival to departure. We arrived from London very late or actually very early in the morning to find no one at the reception, it appeared closed – we had on booking stated we would arrive late, we even organised the airport transfer through the hotel so this should not have come as a surprise. We rang the bell and waited, and waited until eventually a grumpy person whom I assume was the receptionist checked us in. We then waited and waited for a bell boy to be summoned to take our bags. The same bags we had to carry ourselves out of the car and negotiate through a set of small revolving doors – this is not an easy task with 2 large suitcases. I had specifically asked at the time of booking for a room away from the elevator – ours was not only next to the elevator but also backed on to the elevator shaft. The mini bar (which bizarrely is kept in the bathroom) was empty, so we had to order a bottle of water from room service – which cost over $10 before tip!The room was a good size and the bathroom had a nice big bath tub. However I noticed shortly after our arrival I received electrical shocks from all the light switches and any metal fixtures &amp; fittings. The décor throughout the hotel is incredibly kitsch and dated, but to be fair this would never have been my first choice of hotel – it was booked by my parents for a family weekend away together. Unfortunately my parents request for a room with two Queen Beds had also been overlooked and they were given a room with 1 King. I understand that rooms overlooking the park have great views; unfortunately ours was at the back of the hotel and overlooked the car park and an office block.Jet-lagged and tired after the late arrival we took breakfast at the hotel dining room on our first morning, an experience not to be repeated. We were expecting this to be served as advertised in the famous ‘park room’ however found this closed for refurbishment and breakfast was now served in what appeared to be a windowless conference room. The waiting staff had already started clear the buffet away (even though there were 40 min left until the end of service). The staff were incredibly rude and begrudgingly took our order. They then proceeded to hurry us to finish as they wanted to set up for lunch (at 11am). Luckily the next morning we found a very pleasant restaurant next door, Sara-Beth’s that serves a great breakfast at a fraction of the cost with a smile! Reservations on Sunday would be recommended as it gets very busy for brunch with queues out the door. I wouldn’t recommend this hotel, I can overlook the dated décor as that is a matter of taste – and this is not our usual style of hotel but rude service in a city that prides itself on attention to the customer is unforgivable.	
May 31 2008 	Fabulous position and spectacular view	The Helmsley Park Lane is perfectly located opposite the park and if you are lucky enough to be in a room a high floor ( we were on 43rd ) then the views of the park are incredible. Initially we were placed on the 8th floor and could only see trees outside the window, but after speaking to the hotel staff, they were very helpful and moved us. The hotel bar and restaurant were also excellent and &quot;Sarabeth's&quot; next to the hotel is even better, ( try the brunch and evening meals ) The position of the hotel is excellent if you are planning to walk to attractions: Time Square 10 minutes, Fifth Ave shopping 5 minutes, Rockefeller 10 minutes, Park 2 minutes. A great hotel !	
May 29 2008 	Large rooms	My room was with city view and seeing the park was impossible. The room is very big and the bathroom is good and large. The check in desk was good and provided a room before 3 p.m. The room has a small fridge and that was a surprise for me, the first time I see this in an American hotel. The problem with the mini-bar was the high cost of Fiji water, more than ten dollars for a bottle.The cleaning was efficient and good. The cable sistem could have more channels.The decoration could be a little more contemporary but it´s not a problem, after all.	
May 12 2008 	great cusotmer service	This hotel is a great location for the price. Although the interior needs some updating it was very clean. The customer service was great. I was with my Mom who is handicaped as well as my 20 month old and everyone was so helpful. I had one slight complaint and after I informed the front desk, the night manager gave us complimentary room service and a hand written apology. Very nice touch	
May 12 2008 	Perfect trip to NY	I've just come back from a long weekend in New York. I was a little worried about the Helmsley Park Lane, as I had read a few negative reviews beforehand. However, I can honestly say that it is a lovely hotel, with extremely friendly, helpful staff.Firstly, the location is perfect. Opposite the park (with beautiful views), next to 5th Avenue, and convenient for so many of New Yorks sights. We stayed on the 30th floor, with a window to the side of the hotel, so we could see both the park and the city. I loved the view!The hotel itself can perhaps be a bit dated in its style, but I found it charming, and the rooms themselves were very spacious. (I just want to point out that this is not a hotel only for older people as has been said before- I am only 22).The only negative point about the Helmsley is Harry's Bar. It was expensive, and the air-con was on so high that people were actually leaving! Overall, I highly recommend the Helmsley Park Lane. The position was fantastic, and the people working there really were helpful.One more thing - if you do decide to stay here, you must try Sarabeths next door (go out the front entrance and turn left). The breakfast in there is amazing.. and enough to keep you going until dinner!	
May 6 2008	Double The Park View For Half The Price	If you've always wanted a Central Park view but don't have unlimited travel funds this is the hotel for you.Windows are huge and will even open a bit.From the 28th floor I could see the entire park. That's quite the way to start your day.The large, quiet rooms seem to have been decorated by Aunt Mame back in the 1980s but are very clean.Hotel doormen, reception and cleaning staff are super pleasant.I will definitely be back.	
May 5 2008 	Very nice but nothing spectacular	I stayed here during a recent business trip. The price for a city-facing room was decent and the room was bigger than I expected for a New York hotel. The location is perfect and housekeeping visits your room several times during the day.There were a couple minor flaws. I had requested a non-smoking room and was given a smoking room, which was an easy remedy but inconvenience. I also had security come into the room to check the safe since another guest had asked for help but provided the wrong room number.I’d be happy to stay here again but will probably check out another hotel next time I’m staying in New York.	
May 1 2008	Best view of the city EVER!	I lived in New York for 7 years but NEVER did I experience such a spectacular view as I did from the window of our room at the Helmsley over-looking Central Park. It was MAGNIFICENT. MAKE SURE that you ask for a Park View room. It's worth it. The higher up, the better! We were on the 41st floor and it was jaw-droppingly beautiful. The hotel and rooms are decorated in a very 'tacky' way. It's all very gotti and old-fashioned, and although I'm sure a lot of people like that style, it's not really mine. BUT, the hotel is very clean, it's location is incredible, and your across the street from Central Park! So, you'll easily forgive the gottiness.The only negative I can think of is that I was given a beautiful photo of myself as a present while we were there, in a beautiful frame...and I forgot to pack it. I called THE NEXT DAY inquiring about my photo/frame and after speaking to 10 different &quot;departments&quot; I was informed my photo was no where to be found. (Btw, I left i right on the desk in the room, not hidden somewhere.) Anyway, other than that, it was a great stay.	
Apr 30 2008	Great Location!	Best thing about this hotel is the view over Central Park and proximity to mid-town.We had booked a non-smoking Junior Suite on a high floor but when we arrived they only had lower floor suites available. We were convinced that a smoking suite would be fine and we could get a much higher floor. BIG MISTAKE!! As soon as we exited the lift the stench of smoke was overwhelming and the room wasn't much better - the sheets, whilst clean had an overpowering smell of smoke. As it was quite late we stayed one night then switched to a room on the 11th Floor - view was still good and this room was much, much nicer.Hotel appeared to be run my middle-aged men who weren't really interested in being too helpful, they had an air of superiority which was a bit annoying! Good hotel if Central Park and Mid-town areas are where you want to be but would personally try something different next time.	
Apr 29 2008	Great location lovely hotel	Lovely hotel, don't get breakfast in the hotel, eat out (but this is not because of the hotel, but you must have breakfast in a diner). No tea and coffee facilities in the room although there was a fridge. Harrys bar in the evening was lovely, when you come in after dinner.	
Apr 27 2008 	Superb Hotel and Location	I cannot fault our 4 night stay at the Helmsley Park Lane Hotel on Central Park South, overlooking Central Park. It is a superb hotel, clean, smart and the staff are very helpful and approachable. The rooms are a very good size for New York hotels and although some of the furniture and fixtures could be described as somewhat ornate, it is done extremely well. The rooms are cleaned to a high standard, the generous supply of towels are changed twice daily and bath robes and slippers are provided. The public areas and lobbies in the hotel are clean and well maintained and there was always plenty of desk staff on hand to answer any queries. Fronting Central Park meant that the noise level was considerably less than hotels in the hustle and bustle of the City which was a welcomed relief at the end of a busy day.The hotel restaurant &quot;A Room with a View&quot; has just been completely and tastefully renovated, as has the bar area &quot;Harry's Bar&quot;, and although we did not get round to eating in the restaurant the menu looked divine. We had booked a deluxe room on the 38th floor with a city view which are less expensive than the park view rooms but were lucky enough to see both the city and part of Central Park from our room.I loved New York but cannot put into words how to describe it! My one tip would be to take a very comfortable pair of walking shoes as we certainly ended up walking much further than we had originally planned.	
Apr 18 2008 	lovely hotel with a wonderfull view	We had a large room on the 24th floor with a wonderfull view over Central Park. Good queensizebed, nice bathroom and the decoration was classic buth tastefull.The location is perfect, next to fifth avenue. You can have breakfast at Sarabeths next door.	
Apr 9 2008 	Great Hotel in ideal location	After looking at the Ritz and the Essex House, we decided to stay at the Helmsley Park Lane and were pleasantly surprised! I was a little worried since we only paid @ $300 for one night and I also knew that the hotel's rooms were slightly older. HOWever, it was the perfect place to stay. My husband and I will definitely stay here again. We arrived early (1pm) and our room was ready for us complete with an amazing view of Central Park below! I believe we were on the 33rd floor; the view was incredible. We invited one of our friends up who lives on the Upper West Side in Manhattan and even she said she had never seen a view of Central Park like ours! The rooms were well kept, clean, luxurious, and HUGE. . . for NYC, at least, and the bathroom was very nice, as well. Yes the decor is a tad older. . . imagine you are staying at your very wealthy Grandmother's apartment for the weekend. For the price we paid ($300/nite is a really good deal) you can't beat the view. Take a look at our pictures to see for yourself. The only thing we didn't like is that the Helmsley didn't seem to have a good bar to enjoy drinks at, so we went to the Ritz just a few hotels down. You're right there on 59th Street (Central Park South) and 5th Ave; the location is unbeatable!! Don't miss breakfast right next door at Sarabeths. You can't go wrong with the Helmsely. I dread the day they remodel as prices are sure to skyrocket. Just remember: Location, Luxury, and View. The Helmsley is a beautiful hotel with tremendous value.	
Apr 8 2008 	Lovely Views	I stayed here last week for a meeting for 3 nights.I had a Park View Room which was lovely.Sadly the room needs re decorating as with a lot of the areas of the hotel.The Dining room and Harrys bar were getting re decorated and we were not told before we arrived even thouh i booked for a party of 19 people!However the staff are truly wonderful and make your stay very special .	
Mar 29 2008 	Perfect Spot	The hotel is very well located in front of Central Park and a few steps from the 5th Ave. You have many options within a few blocks of restaurants, delis and breakfast. The subway is also close. There are many stores around the block.My room didn´t have a view, but instead it was very quiet, spacious and well decorated. We had plenty of towels that were changed twice a day. There was always some chocolate in the room. The staff was very nice and helpful.I really intendo to come back as soon as I can.	
Mar 25 2008	Had a great stay at this Beautiful Hotel	Just had a one night stay at the Helmsley Park lane Hotel inmid March. I found this hotel to be beautiful, elegant, and very clean. I arrived for check in at 9:30 am. and was given my room on the 24th floor. I loved it. After reading how small the rooms are in NY, I was surprised at how spacious the room was. It was a very nice room with everything I could have needed. I had the city view room and at night it was nice to see the lights at the other buildings. The location of this hotel is fabulous. It is right across the street from Central park, a block from 5th Ave., and the subway is just a couple of blocks away. After much research I obtained a great rate on the internet from Hotels 365.com. I would definitely stay here again on my next visit to New York.	
Mar 23 2008	The best view for the best money	I thought we might have gone over budget until I saw the look on my husband's face as he looked over Cental Park from the 32'nd floor, on his first visit to NYC (He is from Scotland). He said that shaped his view for NYC for all time and he was so glad that we booked this hotel. I had stayed here years before, and three times at the Ritz, once before it was bought out by the Ritz Carlton (shame they tore out the old pine) and never after the Marriott, (thank God) and also at the Essex house in the 1990's. Yes, it was a lot of money. We were only there two nights, but it was value for money. That view will take your breath away, it will stay with you forever. The room was lovely although a little dated, over all, I still loved it. Apparently, the Ritz, a few doors down, is now about three times or at least twice the price for the same view. My opinion, as a prior great fan of staying at Ritz Carltons in the 90's, is that the price went up and the quality went down when it became just another Marriott based on my experience with the flagship Ritz Carlton Buckhead.	
Mar 13 2008 	Delightfully Better than Expected	I booked this hotel via Hotwire, not knowing where I would be staying beforehand. After reading some of the reviews here, I think I would have changed hotels if possible. However, after staying at the Park Lane, I really couldn't be happier with my luck.The hotel's location is excellent, and the staff extremely helpful and courteous. I think the big question in many people's mind concerns the decor and ambiance of the hotel. In my case, my room was clean, extremely comfortable and tastefully decorated to soothing cream colors. The room had robes, slippers, iron and ironing board, in-room safe, refrigerator, hair dryer, flat screen television, and a wonderfully comfortable pillow top bed. While it did not face Central Park, the view of midtown was pleasant enough. The bathroom was large, clean, and well appointed.That being said, I did happen to get a glance into an adjacent room at one point when it's occupants were leaving, and it was the technicolor nightmare heavy in lavenders and rouges. If I had gotten that room I think I would have asked to change.In any case, I would strongly recommend this hotel to anyone who wants a comfortable room in an excellent location in Manhattan.	
Mar 11 2008	WOW - what a great holiday	WOW We had a great holiday. We arrived at the hotel and were very impressed. It was in a great location on Central Park. Horse carriages were outside (across the road) and the birds were singing. We were greeted at the car by the bellman who took our cases and lead us to reception. We were offered a upgrade from a double room to a 2 bed suite room. We were taken to our room and shown the amenities’ by the bellman. He must have thought we were nuts as we were so excited by the size of the room etc. We had a look out the window of our 45th floor room WOW. Some reviews on here have said the hotel rooms were shabby and old – not at all - ok the wallpaper is flowery in the rooms but not offensive but it was very very clean and tidy, I would even say elegant. Our Bathroom was clean neat and tidy, the bath was nice and it was good to have a bath and shower. The fridge is handy to store drinks in. The hotel is very very classy and very elegant, beautiful fittings and decoration.We found all the staff to be extremely friendly and helpful. New York is amazing we loved the shopping and sights. If you like designer stuff Macys and Century 21 are a must!!!! We used the subway (Metro) daily and taxi`s at night (2 girls alone etc). We loved a Irish pub called “The Perfect Pint” if you go say hello to Ronan and Liam the barmen from us (Kelly &amp; Lorraine).I am more than happy to offer advice if you have questions regarding this hotel,,,, I highly recommend it.	
