	Okay to stay at this hotel.	Liked this hotel eventhough it is in a funny area. 24 hr auto shop across the street, stables for the Central Park Horse just up the street and high rise building construction on one side. It looks like it's in the middle of nowhere but it is in fact close to everything. Felt safe enough to go out for a smoke at night. Not the biggest rooms but clean and the staff was friendly and recommanded an excellent restaurant for dinner.	
Mar 5 2008 	Excellent value	I paid about $115 including taxes for a night during the week. The room was very clean and the furnishings were new. It was very basic and a very small room but more than worth the price. Free breakfast (didn't eat it though), free newspaper, coffee maker in room, and in room safe.The only drawback with this hotel is that it is about 8 blocks from the subway. Some women might not feel comfortable walking alone at night in the neighborhood. There isn't much activity at night because the nearby business have shut down. There did appear to be some ongoing labor dispute against the hotel (signs up outside), and maybe that was the reason for the cheap rate. The quality of the service was fine (front desk and housekeeping).I would definitely stay here again.	
Feb 20 2008 	Satisfied with experience	I got my two rooms from priceline and so I didn't actually select this hotel. I was wary about what to expect since I read the other reviews. However, the hotel was exactly what a 3-star hotel is: clean rooms (booked a single and also a double room), continental breakfast (toast, bagels, small muffins, juices/teas, donuts until 10am), competent and polite staff (they speak English, Spanish, and Mandarin Chinese apparently), and basic room amenities (small shampoo, lotion, soap, wet wipes). Some previous reviews talked about worker protests, but apparently no protesters on weekends or weekday evenings. The neighborhood is at the border or Hell's Kitchen and Chelsea. Its about 6 blocks to the two closest subway stations or a $5-$6 cab ride to Times Square or Central Park. Wouldn't recommend females to walk around neighborhood alone, but it's fine during the daytime.	
Feb 6 2008 	enjoyed stay	Just got back from a long weekend stay here. We were greeted by the protester! but the nice doorman helped us with our luggage and kept him away. The protesters consist of 2 maybe 3 ex employees who were unhappy with their treatment by the management at the hotel, they say shame on u for staying here, and get your money back but thats it, just walk on in and they leave you alone and they were gone all weekend! Once inside the hotel was pretty basic, but it was clean. The room was fairley average but again cleaned with coffee machine, telephones, hairdryer, iron/ironing board and a safe. Fresh towels daily and the room cleaned and made up fresh. The staff were very helpfull, helped us book trips, recommended where to eat and what to see, even took time to point places out on maps and circle them to show us how to get there. Would stay here again.Great location 5 - 10min walk to times square and idealy located for you to see the sights of new york.	
Jan 16 2008 	Depends	Location: Be OK in summer - 15 minutes walk to anywhere decent. In winter, when it's freezing and snowing, it seems to be a million miles away. The area is also quite grotty.Rooms: Tiny but modern and clean. If staying a few nights, should not be a problem.Service: Not the best. Wake up call two hours late - thank god my plane was delayed!!! Would I stay again: Probably not - only if it was summer and very cheap.Without a doubt better hotels for the price we paid.	
Dec 16 2007	Shame on YOU!!!!	Let me start by saying I lived in NY for several years, and my husband and I decided to return for a visit. We booked our stay on priceline and ended up with this hotel. When we arrived we were greeted by a sole male protestor, who insulted me before I could get in the door. If you have thick skin this won't be a problem. Usually we found just one or two protestors would be in front everyday. They will yell &quot;shame on you!&quot; as you walk out the door. They have a giant inflatable rat outside too. We took a picture in front of it and they did not like it. Oh well. As for the hotel, it's comfortable, clean, and quiet. One of the bigger hotel rooms you will find in New York for the price. Yeah, it's a little bit of a walk to times sqaure, but it's a safe neighborhood. It really takes no more that 10 minutes to walk to the nearest subway. I recomend this place because it was very comfortable and low-key. I think the people who wrote the negative reviews are just used to higher-class hotels. For a two star hotel- it ain't bad!	
Nov 20 2007 	never again at the BW Convention Center	I can't believe I paid $300 for a night in this dump. The room was not unlike your standard motel room that you can get across the Country for $60/night, but this being crazy NYC I paid through my nose for paper-thin sheets, no wireless connection, and -hear this- a non-working telephone in the room. When I complained to the front desk a guy with clearly no hospitality management experience told me rudely to follow the instructions on the phone (like I can't read). When I called him again to let him know that the phone was just not working, he said: &quot;sorry, you will have to speak to the manager tomorrow &quot; and hung up on me.The next day I contacted the front desk again and they said they'd send someone to look at it shortly. Well, I didn't see anyone until I checked out an hour later. In short: never again, not at least for $300.	
Nov 15 2007	not good at all	My spouse had booked the hotel online last minute. The price seemed good-but what a mistake. First of all, the hotel is in the middle of nowhere. The only other thing on the block is an auto repair and trucks. Oh, and people in a tent in front of the hotel. At first we thought it was some sort of bad joke, but everytime we'd come in we were heckled and harassed and yelled at by these people. The hotel employees didn't seem to care, and the elevator kept breaking. The hotel seemed dirty on top of everything else. Its one thing when things go wrong, but for such a short trip i still have a bad taste in my mouth. don't do it.	
Nov 13 2007 	VERY hospitable AND friendly	On my trip to New York i stayed here at the best western convention center , the staff was very helpful and friendly . For what its worth this is a good hotel worth the price i would recommend this hotel to anyone , they were very accommodating with hints about the city and restaurants and tours.I would stay here again , also very close to jacob javits center for those convention goers and a short walk to times square and the empire state building .brian from iowa	
Nov 13 2007 	Not the best but not the worst	First, the good things. The staff was friendly and low key. I loved the internet access. The place is indeed new, if a bit small. The bed was firm, and the bathroom, clean. The bed won't kill you and they have continental breakfast if you like such food. I was ready for the neighborhood, in fact, I have been visiting New York every 2-3 years more than 30 years, and understand this is an industrial neighborhood, for tourists on a budget. There was plenty of parking on the street. I had no problem taking buses or the subway during my entire stay, and best of all I walked just one block to the convention center.The surroundings are drab to put it mildly. The term &quot;Industrial&quot; sugar-coats the fact that #1, there are no nearby restaurants until you walk to 9th ave, and #2, there are bags of trash waiting to be picked on the street. Sadly, the taxi driver will be able to locate the hotel faster if you tell him to look for a giant inflatable rat (the product of a labor dispute) in front of the building. Since the hotel sign is the tiniest I've ever seen on a Best Western, the rat makes a great landmark. At night, the lobby light provides the best illumination on W 38th street. Once inside the lobby, the flight of stairs right in front of you will prompt you to negotiate your luggage to the registration desk, without noticing an elevator to your right. Speaking of elevators, the hotel's only elevator broke during my stay, making me suddenly glad they had placed me on the sixth floor. It seems the company greedily crammed as many rooms as possible in the small frame of this hotel. The rooms are small. Don't expect a big lobby or anonymity. There isn't. The tiny breakfast area means you have to elbow your way to continental breakfast. I cannot complain about internet access. Their wi-fi was reliable and fast. I was there in November, and the cooling/heating system was clean and efficient, warming up the room almost instantly. For a hotel in this price range, the bed sheets, pillows (only 2) and cover were rough. The bed was firm if again, a bit small, it seemed like ours was a full instead of a queen size bed. The diminutive bathroom was clean, but there were mold spots in the tub's caulking in the two rooms I saw. In the 1st room the toilet sat strangely low for a person my size (5'4&quot;), in fact, my knees were higher than my rear end. The second room had a normal toilet. The best rooms are above the 8th floor, and look westward, since their biggest problem is noise. Not only is the hotel located right by some train tracks, I was awakened at 7:00 AM inside my north-facing room by construction sounds and the noise of the giant rat being inflated. There is a large construction site next to this lilliputian hotel.When I complained, the staff promptly found me another room one floor above. The second room was quieter because it faced south, and I was able to sleep in a bit.In short, if you're a small-framed business traveler who needs to be close to the Javitz, and if you need to be up before 7:00 AM to get to work, this is a good value. If you're a tourist, stay at The Pod. If you're a woman who plans to be out at night, this isn't a great choice.	
Oct 30 2007 	Quite an unusual experience	The hotel itself was an oasis and quite nice. However, while it is close to Times Square, the walk is scary, especially at night. There is nothing else around it for at least two long city blocks except for a taxi repair shop, package shipping and bus storage. Everything else is torn down. I would not have wanted my wife to stay there by herself. Also, they were having ex-hotel workers protest all week when we were there. They had a big inflatable rat and approached us almost every time we entered or left the hotel--at least they were cordial.	
Oct 29 2007 	Don't stay Here	This place sucks! Giant rat in front people screaming at you everytime you go in or out. I know for New York this place is cheap but I paid $265.00 and others paid like $80.00. I got screwed big time. The place is not close to anything! What the hell where they thinking when they built it here. The staff seemed very uncomfortable about the whole thing. It's not thier fault! Will not ever stay there agian or close to it. The area is ok it's about eight blocks from anything! Not all that scary just industrial. Good luck to all that stay there and good luck to the people who work there.	
Oct 24 2007 	Would not stay here again	The hotel is okay for the price but if my husband had not been with me I would not have stayed. The walk to it is iffy I was scared and weary of my surroundings even in the hotel itself. Then when we got there there was a protest because apparently the owners have mistreated some staff. I wish that was found somewhere before we booked there. I will never stay on the outskirts of manhatan again. And another thing I did not like was that after we checked in, we were outside our door when about 3 asian men came by and said our room number and we were like wha't sgoing on and it turns out they were changing the light bulbs and my husband was upset because who knows when or how many times they go into people's rooms to do maintenance. I'm sure that happens at other places as well but the way this happnened left too many things to the imagination. Well for the price it is OK but I will NEVER stay there again...	
Oct 23 2007 	On the fence	First the cons...the location isn't great -- you aren't really close to any sites and what you can see is pretty uninspiring (taxi garage, horse and buggies and lots of construction in the area) and the room was positively tiny yet seemed to cost a lot of money. You're also very close to the Lincoln Tunnel, so there's a lot of traffic during rush hours. On the positive side though, the rooms were fairly modern and very clean, the location was quiet and the staff, for the most part, was very friendly, informative and helpful. If you're just looking for a place to stay, and not overly concerned with the ambience, then you probably won't mind staying here.	
Oct 15 2007 	Giant Inflatable Rat Says It All!	When we arrived, the hotel staff had all been fired and they were all protesting outside with a giant inflatable rat. The scene was very uncomfortable and I cancelled my reservation. The staff were all very impatient and didn't understand why we wouldn't want to stay. They were not accomodating in the least. The hotel is not in a good location, not very close to anything,and directly across the street from an auto garage and next to the horse stables for central park. Needless to say, we didn't stay there because of the horrible conditions and I don't recommend it to anyone.	
Oct 8 2007 	good value	This was a busy holiday weekend in NYC and because we had made reservations relatively late, this hotel had a reasonable rate for this particular weekend. The rooms were a bit small, but certainly adequate and above all, clean. Everything was in good working order and the front desk staff were absolutely wonderful and very accommodating and helpful. I had no problems with the hotel itself although the street it is on is not pretty. There are repair garages for taxis and a trucking business and the train goes by at times. There are restaurants a short distance away and parking is in a big garage a block away and is reasonably priced if you go to the garage that the hotel recommends. I would go back to this hotel only because the staff were great!	
Oct 7 2007 	clean comfortable convenient	Great experience. I took a red eye flight and the friendly desk clerk arranged early check in. The room was spotless. Small room but usual by NY or European standards. Location was great with uptown and downtown buses one block away. Walk to Times Square and Empire State building. Great Italian deli on 9th ave. Hotel staff printed out my boarding pass on their computer. Desk staff was heard teaching each other French words during the time a large group from France was there, and then I heard them deciding to work on learning a foreign language. These were young people and I was very impressed.For some travelers the desolate block and 7 am to 5 pm construction noise might be a problem. Ask for a room on the 10th or 11 floor it is quieter. I walked home at midnight with no problem, but the block has nothing on it but a 24 hour taxi repair and two huge construction sites. I am a 60 yo woman who is used to urban living.	
Oct 1 2007 	Far better than expected!	I was full of anxiety after being awarded this hotel via Priceline and reading the unflattering reviews. From the minute my husband and I arrived however we were greatly relieved. The hotel was clean, the room size was fine (it is Manhattan after all), and the staff was friendly. The hotel is a little off the main thoroughfare, but it was only an easy 10-15 minutes to walk to the subway and it was pretty quiet. The taxi garage across the street was never a problem, if anything there were mechanics working late into the night which made us a little extra safe. Easy to hail a cab close to the hotel. We bid 150.00 a night and probably could have gotten the room cheaper. The city is expensive and it was great having a room this nice for the price.	
Sep 6 2007 	More than happy	Simple hotel, a lot complain about the location, but myself and my wife had no troubles with it, enjoyable 4 night stay there before jetting off to SF. Penn station just a 5-10 min walk away made this more than adequate location wise. Room was clean, staff helpful. Recommended.	
Aug 2 2007	Warning dooon doo itt!!!!	this hotel was the only bad experience when i went to NYthe hotel is terriblethe location is TERRIBLEis sooo far to downtown and we are not the only ones with complainalmost avery guest had the same opinionsand plus around is ery scary at night full of homeless seriously DONT STAY IN THAT HOTELyour gonna regret like usis a warningdont listen to good reviews they totally LIES!!	
Jul 25 2007 	Great Location 4 Business at Javits	If you’re staying here for business at the Convention Center then you will really like that it’s a short 1-2 minute walk down the street. The surrounding area does look bad, but I have stayed here for a week four years in a row and I never had any problems. Other than the Convention Center there really isn’t much around that area. The hotel and rooms are okay but small in size. I’ve only stayed here during trade shows and there rates are very high, but this is NY so I guess that’s what they go for.	
Jul 18 2007 	Not the Worst	The Hotel was clean, the staff was very helpful and kind. The location is the biggest problem. It is a pretty long, walk to the subway or Times Square. The neighborhood is not the best, but I wouldn't really say it was bad. I don't recommend it for a first timer. We didn't have the noise problem at night but we were on the backside of the building. The rooms are pretty small. But we booked throught Priceline and the price was right.	
Jul 13 2007 	Worst Hotel I have ever stayed at!!!!!!!!!!!	This hotel is absolutely awful. Stay at Motel 6 before this place. The previous reviews are very accurate. It is situated on 38th st very close to the convention center. I booked this hotel on priceline for $70/night. This is a great price for NYC and always book with priceline as I have never had a problem with any of the hotels they have given me. I am far from picky.Unlike some guests, I had no problems with the lobby or with check in. Upon going up to our room on the second floor, we were very unimpressed with its condition. The curtains were falling off the hangers and we noticed the main recessed lights was out as well as stale cigarette smoke permeating the room. We called down to the front desk to ask if we could move to another room. They said they had none but did send up an asian man who spoke NO english who handed us a light for a lamp. I said no and pointed to the ceiling and he just left. A few minutes later, he came back with a light (no ladder). Since he was about 5 ft tall, I just took it and changed it myself. The following AM we were introduced to their horrible breakfast. They only have about 10 tables for everyone and served brown bananas (yummy) and stale looking doughnuts as well as plain bagels. They had a limited selection of cereal and only had whole milk?? Who drinks whole milk. I heard one lady ask for some butter for her bagel and one of the workers said they had been out for over a week!That evening, I called down for an extra blanket as my wife was cold. The blanket never came. I also asked for a 7 am wake up call so we could get an early start. The wake up call came the following morning at 7:25 am. 25 minutes late....lucky I didnt have to catch a plane. We didnt oversleep, however, as we had a prompt wake up call from all the banging from the 24 hr cab repair shop just across the street.One night when we were passing by the front desk, we overheard one of the staff who was on her cell phone calling one of her friends a stupid [--]. NICE.Not to mention this hotel is horribly located. They have to be selling drugs out of the 24 hr cab repair place. We also had the pleasure of seeing multiple prostitutes just two blocks away from the hotel on our way back. We felt very unsafe in the area and woud recommend carrying a gun.The only positive aspect of this hotel is the $70/night price. If I had paid what some postings said they paid, I would have demanded a refund and go somewhere else.	
Jun 5 2007 	Don't do it	This was by far the WORST hotel I have ever stayed at in my entire life. I walked in and was first greeted with a terribly hot and muggy lobby area, that lacked any a/c whatsoever. My room was on the second floor, and even though I asked for non-smoking and was assured that my request was honored, my entire floor overwhelmingly reaked like stale smoke. I entered my room only to find out that, after I was finished gagging from the odor, that I couldn't walk around without shoes on because the floor was soaked. The curtains were broken off the hooks and wouldn't close all the way, leaving no privacy against the 24-HOUR cab repair shop right across the street, which made loud, obnoxious noises through the entirety of the night. My blow-dryer started sparking profusously after it was on for about two minutes, and smelled like I lit something on fire. The bedspread had cigarette burn-holes on it, and the front desk staff had the knowledge of a door knob and the speed of immobile 90-year-olds. A half a block down the road was a horse and buggy area, which was lovely enough to fill our nostrils with the smell of urine and manure right after they emptied the smoke smell of our hotel room. The location is mildly convenient if you are in the city to go to the convention center, but not convenient to anything else. I didn't feel safe walking around the area during the daytime, and saw two lovely hookers on one of our walks toward Time Square, not to mention other spooky crowds. You are far better off staying somewhere like the Milford Plaza, which is comparitvely priced, and provides a shuttle to the convention center. If you must stay at this absolutely hellish hotel, bring a one-piece body suit, rubber boots, gloves, and a gas mask.	
Jun 3 2007	Hated it!!!!!	The location is terrible. Across the street from a 24 hour cab leasing and auto repair shop, down the street from a carriage horse stable (lovely smell of horse urine) and next to noisy train tracks. We `were there May 29 thru June 2 of this year and NYC was very warm. No A/C in the lobby, vending machine out of order as well as lobby ladies' room. Neither bathtub drain in our 2 rooms worked. We requested repair the day we arrived and they were never fixed. We had non-smoking rooms, but corridors smelled of cigarette smoke. A/C units in room were very noisy. Rooms were extremely small. Only a tiny bottle of lotion for an amenity in the bathroom. Had to go to the desk for shampoo. Twice in 1 day our room key had to be re-programmed.Our rooms overlooked a dirty tar roof and the train tracks. Could not call room to room. Continental breakfast was next to nothing...only doughnuts, bagels ,bread and poor cereal selection...no fruit, yogurt or anything healthy.Very bleak, unsafe neighborhood.We did not expect the Taj Mahal, but THEY should have paid US to stay there. Lesson learned...you get what you pay for.	
Jun 3 2007 	Hotel Hell	Location and rooms are as described in other reviews: a healthy walk to Times Square and fine, small rooms. In fact, the superb cleaning of the room on a daily basis is the only reason I'm not rating this as terrible. Two of the desk clerks were rude bordering on hostile. We were not told when we checked in of any of the amenities (breakfast, fitness center, internet access) and clerk acted as if we were not welcome. I requested an ethernet cord to connect to my laptop which was provided for a fee which was initially $3.00 but immediately changed to $10.00. The ethernet cable did not work, so I returned it and was refunded my $10; then asked if we could access the internet via wireless and were told to &quot;go ahead.&quot; That didn't work, either, and when the following morning we mentioned this to another desk clerk, he scoffed at us and told us wireless was only available in the lobby. Wish we'd known! I also overheard the desk clerk who checked us in advising another guest of the AM breakfast, but we were never told. We asked about taxi service to JFK for our departure and were told it would be $65 with a $10 deposit, which we paid. After checking around, we found several better deals and cancelled our hotel booked taxi. A third desk clerk, pleasant in other respects, told us our deposit was not refundable. We checked our receipt which stated it was and when we returned to the hotel, showed the receipt to another desk clerk who told us, &quot;Go to your room and I will bring it later!&quot; In addition, the hallways on our floor reeked of marijuana on several occasions. I will never stay at this hotel again. The lower rate is not worth the grief and inconvenience. We felt we were intruders and not welcome guests. Very unpleasant. The room was, however, kept very clean after the first day when we found a wet towl hanging on the bathroom door and hairs on the bed sheets.	
May 1 2007 	Decent Place with a Bit of a Hike	I've stayed all around the city in just about every area using Priceline (so you never really know where you will end up). Got a great deal on this place...just for a one night stay. I was going to a concert with a friend (another woman) at MSG so we didn't really care where we were...as long as it was clean and safe. This hotel was both of those. We walked from Grand Central...which is what we always do so we didn't necessarily mind that but I'm sure others would find it to be a hike. As other reviewers said...it is in an industrial area so no little cafe's across the street or anything like that. The front desk clerk told us that they are going to be building up that area soon so that's good to hear. The rooms were small but appeared to be re-done recently. Bedding, bathroom, furnishings etc were all brand new. They seemed to have a nice breakfast but we didn't partake in it. The front desk gal was great. Though we felt safe walking home that night from MSG it was definately a little disconcerting since it was basically dead in that area at that time of night (11pm). If you don't mind walking and want a deal..give it a try. Oh yeah and on Saturday and Sunday there is a flea market in the street about a block up..if that is your thing...check it out.	
Mar 20 2007 	Not to Worry	Stayed at this hotel on March 17 with 2 other couples for one night. Hotel is off the beaten path in the middle of a somewhat industrial area, but we had no problems with the location. If you don't mind walking (which it seems your always going to walk in NYC anyway), this was a good location. We actually walked from Grand Central to the hotel (about a 1/2 hour walk) in slushy weather, but we braved it! We met more friends from London at Time's Square which probably took us about 10 minutes to walk to and partied at local Irish Pub's on 9th Street/Ave? which seemed to be less crowded than your Time's Square area (and cheaper). Felt safe walking in the area at night - there are a few late night/quick bite places nearby (hot dogs/pizza) on 9th.Room was yes, small, but very clean and we had no problems with the room at all. We tried to check in earlier than the 3:00 p.m. check-in, but that didn't happen, but when we returned, we got our rooms and were not disappointed with them (all 3 sets of us).The continental breakfast was acceptable - cereals, bagels, croissant's, fruit, coffee, tea, juices, donuts - it did us just fine for a quick bite before we left.Hey, while it's not the RITZ, we didn't pay for the Ritz ...but for the money we paid, I would definately stay at this location again if I got the same prices. Don't worry, you'll be fine as long as you are able to walk, are open-minded and are not expecting an extravagent place. Have fun!	
Mar 13 2007	Quaint but very very nice	Some friends and I ventured up to New York for the Big East Basketball Tournament. I booked this hotel through a 'name your own price' link on [----], so I was not sure what I was getting prior to booking it. My offer price was $100 and it was accepted for a three night stay at the Best Western Convention Center Hotel. At first I was nervous because of the location and the reviews I had read about this hotel. The reviews I read do not do this hotel justice. First of all, the location is great if you don't mind walking a bit. It is true that there are not a lot of restaurants or bars directly in the area, but a five to ten minute walk remedies that. The garage across the road is a bit of an eyesore, but the noise from it was minimal. At no time did we feel unsafe walking around the area. They validate parking at a cost of $21 a day (that's phenomenal) at a lot about 5 minutes from the hotel. The staff was extremely cordial and accomodating (we needed to switch rooms after one night, and this was done no problem); the rooms although small, were clean and very nice, and the CONTINENTAL breakfast was decent and very substantial. We had a great stay at this hotel making our New York trip outstanding. It's about a 10 minute walk from the Garden and Times Square. Great Trip. Great Hotel.	
Mar 2 2007 	Good deal~	My husband took bar exam in Jacob Javis Convention Center so I booked this hotel as it's the closest one.  The price is about 199.99/per night (excludes tax). This price for a NY hotel, we don't complain about it.  The room is very small but the size of bathroom is ok. It's clean and has everything we need. They offer free internet, that's a big plus for us.  The staff is very friendly. You need any kind of help, they will do their best.  The area is safe for me. I often walk around by myself as my husband had to concentrate on the exam, but I went back to the hotel before the sunset. After 7pm, the stree gets quiet. I would suggest not to walk around alone.  It takes 15-20 minutes walk to Time Square or NY Penn Station. There are several starbucks &amp; a supermarket on 42nd stree. You can also find several restaurants around the corner of 42nd St. &amp; 10th Ave.  If you don't care about small room &amp; a little bit walk, it's a great choice.	
Jan 5 2007 	Great Deal	Stayed for 5 nights the week before Christmas. Paid $116 a night for a queen bed. Had a pleasent stay here. Place is not in a tourist area but we felt completely safe walking in the area. (We being two girls) It is at least a ten minute walk to subway but we were able to walk to quiet a few things, like...time square, madison square garden, macy's, empire state building, port were harbor tours begin, and the theatre district. The room was clean and the staff was friendly. Only made it to breakfast one morning which was not that great but better then nothing. Could not hear the car repair down stairs. We stayed on 9th floor.	
Nov 17 2006 	Fine and 'cheap'	This hotel was fine and 'cheap' for NYC. I paid $214/weeknight plus tax, but most other hotels on short notice booking were running above $300. It is 3 or 4 long 'avenue blocks' west of 7th and 8th avenue, but really only a 15 min walk to Times Sq (north) or to Penn Station (south). Hotel was built 3 years ago, so rooms are new and clean. Bed sheets are a bit cheap, but very clean and no real complaints here. Location is a bit odd, sharing block with taxi repair garage, horse barn, and gentlemen's club, but it is safe and no worries for all but a nervous solo pedestrian after midnight who might take a cab rather than walk the last few blocks (though I never had a problem or felt that necessary). Rooms have granite floor in bathroom, coffee makers, and safes. The windows tilt open which is a bonus. It's an 11 or so story building, with something like 60 rooms is my guess. Front desk is friendly. They take left luggage after check out cheerfully if you have time to explore and want to do that. Check out is noon, but they added an hour and a half (130) on my request with no extra charge. For the Convention Center, location would be superb. Continental breakfast is skimpy, but it is free coffee and a bad bagel so hard to complain too much. Overall, a fine 'cheap' alternative if you cannot find similarly priced accommodations in an updated hotel closer to wherever you are going in NYC.	
Nov 8 2006 	Very average	This hotel is fine for people on a budget! Our room was very small and dated, but adequate. Absolutely everything at breakfast was plastic (including the bagels I think!) and they didn't have sufficient seating.The area was okay - quite convenient for getting around, but didn't have a very nice feel to it in my opinion. It's surrounded by car washes. Saying that though it was great being able to walk to Times Square within 10 mins...	
Sep 17 2006 	Surprised!	When I first saw this hotel I thought I'd made a mistake by choosing it, but when I arrived I changed my mind. The staff were friendly and efficient, the rooms were small but clean and comfortable. It's a few blocks away from the shopping and sights but once you find your feet your fine. The hotel doesn't have a restaurant but they allowed us to order in food, they had a few menu's in the rooms. Breakfasts were basic - cereals and toast.Avoid using the phone in the room, the charges are absoloutly dismal - especially when they have payphones all over the city (if you can get them to work that is)!!Overall I can't think of any reason why you shouldn't stay here!	
Sep 7 2006 	Awesome Hotel!	Stayed at the hotel in march, kept a fairly open mind about the place. my room was great, cleaned everyday(if you wanted it) at a very good standard, staff were great, location was pretty poo but nothing but a short taxi ride couldn't sort out.I was a alone female travelling and the staff made me feel really welcome, felt very safe in the surrounding areas at night on my own.WOULD RECOMMEND!!!	
Aug 12 2006	Surprisingly comfortable!	This hotel was a great deal for the price. I used it when I was taking the bar exam at the Javits Center, and I could not have asked for anything more. The room was quiet and clean, and the staff was very accommodating and helpful.The hotel is the closest you can find to the Javits Center, so if you are having a conference there, this is a great option. There is a free continental breakfast which starts at 7am, but if you have to get up before then, your options are very limited (you have to order from a 24 hour diner - the hotel provides menus for you).One of the few drawbacks is that the block itself is very very quiet. There is a cab repair place right across the street, so finding a cab typically isn't too much of an issue. But at night (say, past 7pm) there is virtually nobody in the area, which is a problem if you are planning on hitting any bars late at night by yourself. There is also a horse stable on the block, which makes the area a little smelly, and there is constantly hay blowing around. Also, there is a &quot;gentleman's cabaret&quot; on the block.In summary, the area is not the greatest, but it is extremely convenient to the Javits Center and a good value. I had a very comfortable stay during a stressful period.	
Jun 7 2006	don't stay on the third floor	The hotel is across the sfreet from a car repair service that's open 24/7. You can hear hammering in the middle of the night. I was on the third floor facing 38th street. It was memorial day weekend and the hotel was full or we would have asked for another room. Other than that, the room was clean and the employees were very pleasant.	
Jun 5 2006	Very Clean for a budget hotel	We were up in New York for my sister’s graduation and decided to make a vacation out of it by staying in the city for 5 nights. The hotel was very clean and cozy and had all the necessities. Though I had reservation at first because it was a bit far on the west side, we stuck to it because it was the only reasonably priced hotel during the third week in May. The bed was a bit hard for my taste and the blankets were to thin. Other than that, no complains about the hotel. However, the location is not exactly prime. It’s located in Hell Kitchen, which is an equivalent to your local “ghetto” neighborhood. The closes subway station is 2 avenue blocks away (if you’ve been to New York, you know how long the avenue blocks are). The minute you walk out of the hotel, you smell horse manure because right next door is a stable and right next to that, a “gentlemen’s club”. So, for all the money we spent on tax cabs, we could have stayed in Times Square because we were average $50 in cab money a day. Nonetheless, the hotel was very clean and that's the most important of all.	
Apr 11 2006	cheap and cheerful	We stayed in the hotel between the 8th and 11th of december 2005. We had spent ages searching for hotels and as we had left it to the last min we found that the majority of places were either booked up or very expensive. But then we found the best western convention centre! When we arrived I was a little unsure about the location - especially walking back to the hotel on our first night - but we had no problems at all! It's only a short walk from times square! All the staff in the hotel are very friendly. The rooms are very small but well equipped and very clean. The continental breakfast is great, it really does set you up for the day! As two young women on a shopoping trip the hotel was perfect! i'd definately recomend it to people!	
Apr 8 2006	Great Hotel if your on a budget	Stayed at this hotel for a week in march there is not much around but it is only a short walk from Times square and 34th street.Rooms where nice,clean and comfortable Tony the door man was really nice and helpful would stay here again if on a budget.	
Apr 8 2006	Great Little Hotel	Stayed here for 7 nights during March and April and would recommend it for a bargain break in New York.Hotel is spotlessly clean and the Staff are friendly and welcoming. Rooms are a bit on the small side but nicely decorated and furnished. I was a bit worried about the location when I first arrived but it is only a short walk to civilisation and restaurants, and I experienced no problems. Perhaps would not recommend for a lone woman Traveller due to location, would have no problems during the day but might feal uneasy at night. Would stay here again without hesitation, can't beat it for value and cleanliness, New York can be a bit of a lottery where hotels are concerned, unless you can afford the very best.	
Mar 23 2006	Ideal Hotel	I stayed in this hotel for a week in March. At first the location seemed to be dodgy but was actually safe. There isnt much in the immediate location but a few blocks away on 9th avenue there is numerous diners and restuarants. The hotel is within walking distance of Times Square and 34th street which is good for shopping. The hotel room was small but very clean which is the main thing for me! The breakfast sets you up for the day. As I was on the 6th floor I didnt hear any noise from traffic. Would definately recommend staying here.	
Mar 4 2006	Close to Amtrak	Nice hotel convenient to Penn station	
Dec 1 2005	Felt Safe but just the basics	I stayed at this Best Western because I read the reviews of the BW President, which were not very good. I really rely on Tripadvisor for the truth. Location was probably the biggest downfall, but it is in Manhattan! This hotel felt safe because it was near the NYPD. In the middle of the night we heard bullhorns pulling over cars. Although it is a bit of a walk to activities aside from the Convention Center, it was adequate for one night. The staff were very nice and the continental breakfast was adequate. It is best to walk towards the Convention Center and then take a right for night time walks. That way you walk by NYPD, which is more than safe. Walk up to 42nd St. and turn right. There was a great restaurant along the way called Cafe Josephine. As you walk up 42nd St. it starts to light up. The room we had was small but clean. No frills. I would stay here again if I had to go to the Convention Center, which is right across the street. The price was right at around $200 night during Thanksgiving weekend.	
Nov 18 2005 	Did Not Like It!	I stayed at this hotel because of the reviews and because I had to go to a conference at the convention center. I left after two days because I did not feel safe. I'm a woman traveling alone and did not like the characters going in and out of the &quot;gentleman's club&quot; down the block or the taxi drivers hanging out all night long across the street. There was even a fight between some of them late one night that got loud and scary! Yelling, swearing, etc. I was too scared to go out at night to get dinner so didn't even eat. There are homeless people and thugs on the streets. The rooms are small, but clean. The staff was helpful. The location is awful. I moved to Times Square and was much happier.	
Nov 14 2005	Modest but marvelous	What a hidden gem... ok it’s not the Waldorf but it is clean and friendly. Breakfast is complimentary and the bagels are fresh!! Endless tea and coffee too .. This hotel is about 15 to 20 mins walking (stroll) distance from Times Square. At no point either in the hotel or walking back at night to the hotel did we feel uneasy. The area is busy but quiet and all the main streets leading to the sights etc are lit up so it feels very safe to walk about. Rooms are smallish but well equipped and with friendly daily maid service they are just perfect for a short stay in NYC.Try and get a room on the 11th floor its quiet up there and the views aren't too bad either.This is a great hotel and if you can get over the 15 mins stroll in to town then its well worth the stay.	
