	Crowne Plaza Times Square	Amazing hotel. Very posh and pricey but in a wonderful place with brilliant views of times square.	
Sep 8 2009 	Great hotel	Excellent hotel with great staff. Totally lived up to expectations.	
Sep 7 2009 	Great place great location	We stayed at the Crowne Plaza on a weekday when we went to NYC for a Broadway Show and then went to the U.S. Open Tennis the next day. We had a great experience at this hotel. I would definitely stay there again and would recommend it to anyone. The hotel is located right on Times Square. Our room had a view of the Square, while our friends had a corner room, with a view of the Hudson river.Check-in was very nice. We dealt with Vanessa at the front desk (Priority Club - no line) and she was terrific. We arrived at 11:00 and asked for early check-in. Unfortunately, no rooms were available, but Vanessa took our cell phone number and promised to call us as soon as the rooms were free. We checked our bags downstairs (the lobby is on the second floor) and went to lunch. Vanessa called us in about 30 minutes and said we could check in. (We had valet parked our car and this went pretty smoothly.)After lunch we walked back to the hotel and checked into the rooms. We had a room with a king bed. It was quite big - we had heard that the hotel had been recently refurbished and it looked new. The bed was comfortable and the bathroom was fine. The room was quiet and the staff friendly; pretty much what you would expect at a Crowne Plaza.We did not eat breakfast at the hotel, but our friends did and were not really impressed. Their waiter was not friendly at all. There are plenty of good places to eat within two minutes walk.We got a good rate for the room ($219 + taxes) by contacting the hotel directly about a week ahead our our stay. It was better than the internet rate and the hotel was full when we checked in. The lobby was nice and spacious, with a bar and plenty of lounge seating.We have stayed at a number of hotels in and around Times Square and this was our best experience (location, price, room).	
Sep 7 2009 	Great place for a tourist!	In the heart of NY, this hotel is great for tourists, assuming its in your budget. The room was contemporary, clean and comfortable. The checkin / checkout took a long time and the staff was pretty stale.None the less, I had a great and comfy sleep!	
Sep 6 2009 	Great Hotel and Location	I recently stayed here for the US Open tennis tournament and had a very nice stay. Check in was very quick - no lines - room ready at 12:30pm - Rooms just had a makeover so very nice and clean, mostly all new - very comfortable bed. Linen spray nice touch - Negatives were no newspaper, tv channels terrible as no tennis was able to be seen in the room, had to go to the bar/restaurant didn't even have HBO. Regarding the location lots of people in TQ but if you walk a block over it is easier to get around. Breakfast was excellent, Continential came with my room and had oatmeal, hard boiled eggs, muffins, bread, cereal, cold meats, salmon, 3 types of granola, bagels - much better than the Barclay from last year. Staff was very helpful and I didn't feel they were cold being such a large hotel. I would definately stay here again.	
Sep 3 2009 	In the heart of the apple	very good location fine rooms not free internet and some problems with the luggages	
Sep 1 2009 	Good place to stay	I arrived at this hotel and was given a room in 33rd floor, but asked if I could change to a room with view to Times Square and the persons working in the lobby gently acceeded and was transferred to the 40th floor. Negative things were that at some times the lobby was completely full and there was a queue either to ask for something or register. As well during nightime, the calls were not answered from the lobby, and I don't know but most 4 or 5 hotels I've been to work 24 hours, especially if they are this big. As well, when I wanted to see the pool before deciding if I was going to have a swim I was told to sign and register, even if it was just to have a look, and I wasn't allowed inn if this was not done. The room was excellent and very big and decorated with a very good taste. It had a big LCD TV, a good air conditioning system and an astonishing view from which even the Empire State building vould be seen. The bathroom was also very nice and clean. Room service was also good, fast and of good quality. It is a good option, especially for the view and location.	
Aug 31 2009 	Great location nice place!	We really enjoyed this hotel. Great location with a super view of Time Square. The people were very nice and on Sunday they had a great little market going on right in front of the hotel. The Bed was cozy, the coffee maker with the pod system was pretty cool as well. It was very easy to find and the staff was very nice. The restaraunt and common areas were decorated very upscale and it was a pleasure to stay here!	
Aug 28 2009 	Fantastic Experience at Crowne Plaza in Times Square	People usually only take time to complain, I thought I would take time to write a positive review after a great 5 days. My family and I (teens 14 &amp; 15) in from Toronto spend August 22-26th in NYC.Upon arrival on the Saturday at 3 pm we were told that they were behind and we would have to check our bags into storage. Not an ideal situation after flying, but no big deal. I asked for a bellman and this request was overheard by a manager named &quot;Danny&quot; who promptly asked if were checking in or out. I told him we were checking in but rooms were not ready, he asked my surname and within 5 minutes we had a great renovated room overlooking times square. He approched us without us even asking! The room was recently updated with new furniture and plasa tv. Great location, great staff!	
Aug 27 2009 	Not in summer time	We spent 5 nights at this hotel, 10 days ago. We reached N.Y. at 22:00 so we arrived at the hotel near midnight. We were given a “smoking room”, though I reserved, a month before, a “non smoking room”. The explanation was that they are overbooked and the first to come is the first to be served. Although I wrote to them telling them about our late arrival that didn’t make any difference. We were asked not to unpack so that the next day we will be transferred to a “non smoking” room and got a free breakfast as compensation. We did as we were told.The next morning we were waken up by a receptionist that reminded us not to unpack. We went away for the day and came back at 19:00 to find that we were transferred to a non smoking room, but our third bed did not make it and the room is for two. So we called reception and they said that they know and they will soon send it. We went to dinner and came back three hours later to find that the bed is still missing. To make a long story short – the bed arrived at midnight without pillows. So we asked for pillows and the bellboy went to look for them. He came 20 min. later with 2 pillows but with no pillowcases. As it was 01:00 we lost patient and went to sleep as is. Again we were compensated, this time by a gratis Internet. We thought that the maid will see when she tidies our room that there were no pillowcases. But on returning in the evening – there were still none. We decided to go to the Gym. We went in and took towels from reception and went to look for a Cross Trainer to find that they are putting out the lights. In the dark, we went back to reception to ask what was going on, and they said that they are closing up. So why didn’t you tell us, we asked, with no answer. The next day brought the pillowcases. On that day we decided to take advantage of our compensational breakfast. I had some bread and some pastrami. There were a black/green spot on the pastrami so I just took it out. The same night I woke up to vomit. The hotel has great facilities and good location (in midst of the action) but something is not working as it should. Maybe when the season is over …	
Aug 27 2009 	great hotel	the hotel was very nice and clean.The room we stayed in was great, we had a great view to Broadway. The room was big too, which is unusual in NYC. We paid $200 for the night and that is a great deal. (if you have AAA you can get a discount)The only thing we did not like was that the door in the bathroom kept gettin stuck, other than that the room and hotel were perfect.Downstairs you an leave you luggage in an storage room where you can come and pick it up right before you leave the city (and its free, except a tip)The restaurants right on Broadway are pricey so I recommend to got somewhere more uptown or downtown.	
Aug 27 2009 	Very friendly helpful service	Got a free upgrade to top floor room, which had great view. Room was not very big, but was well appointed and had a great bed and spacious bathroom. Everything seemed clean and new.	
Aug 24 2009 	Amazing!	Fantastic location, serivce, room quality, outlook, people, value for money luxury	
Aug 22 2009 	Very good hotel great location for diving in the Apple	I regularly go this hotel on business trip. For a long time I was boarding hotels in quieter areas (3d av/Lex) , I was fearing the crowd of Times Square. But once in the hotel and especially on higher floors you are away from the crowd. The rooms are spacious, quiet, well decorated. Many were renovated lately. Staff is nice but but just - It is a very big hotel so quite impersonal. and lots of traffic. But it is the case of most New York hotels. I would 'complain' about the long and slow lines at reception - happens too often. I do not use the hotel services much and could not comment on that. So much available in the city, why eat or drink or spend time in the hotel ... Well that's only my point of view. Higher floors offer great views to Times Square or the Hudson.	
Aug 19 2009 	Would definitely stay here again!	This hotel was wonderful. No lines at check in. Allowed us to check in luggage at 9am. Room very big for NYC. Stayed at other hotels in Times Square that were much smaller. Had a corner room on 17th floor. Room very clean. More than enough room for 4 people! Nice view of river. Right in the middle of everything. Restaurants everywhere. I liked that there was heavy security. Felt very safe when they asked for room key at entrance to hotel and by the elevators. I liked that when we got off our City Sights downtown tour, the hotel was right around the corner. The only thing I didn't like was that there was no refrigerator. Would have been nice to keep our drinks cold when it was over 90 degrees! Other than that.....this hotel was perfect. Would definitely stay here again!	
Aug 19 2009 	Exceptionnal !	Great location, totally renovated. Very friendly staff, room is spacious and view was awesome !	
Aug 18 2009 	Fantastic girls weekend	Visited NYC for the first time and had a wonderful experience. The hotel was great and in a fantastic location. We found the staff and especially the concierge extremely helpful. The drinks were expensive in the bar but we thought they were throughout Manhattan. The room we stayed in was extremely comfortable and adequate for the small amount of time we stayed in there. I thought the hotel was good value for money.	
Aug 18 2009 	Crowne Plaza pleasantly surprised	Just returned from 6 nights at the Crowne Plaza. The 6 night stay was booked using reward points so I was pleasantly surprised to receive an upgrade to the Concierge floor which meant that we gained access to the lounge. This was a real bonus as breakfast was provided, which was of a good standard &amp; also afternoon snacks including cakes &amp; cheese.The location is good for most tourist attractions, but I did prefer the location of the Intercontinental Hotel where we stayed for the first three nights as this was much more relaxed. My 13 year old son loved the location, so it could be that old-age is catching up with me!My only minor gripe is that it can be a chore if you need to queue for reception, which at times seems a little 'swamped'.	
Aug 18 2009 	Nice hotel concierge perks were good	Great location, right in times square. Views from the hotel are nice, river on one side and times square on the other. Full access to the New York Sports Club gym, which is huge and has a large variety of different machines I had never seen. Even though the website says you have to pay to use the gym and you can only use it during off hours, that is not true. The pool is in the gym on the 15th floor and is small with lanes that are permanently set up. Not really good for children who want to play in the pool.As can be expected for downtown manhattan, prices are expensive. The room was over $300 a night and meals in the hotel were quite expensive. The business centre is not free, it costs $1 a minute to use the computers and in-room wireless is $20 per day.However, if you are on the concierge floor (we were on the 44th), you get free wireless internet for your stay + free continental breakfast and afternoon snacks including pop, delicious cookies, fruit, and cheese and crackers.In our room they gave us, eye masks, lavender linen spray, and a drape clip.There was NO fridge in the room.Overall the hotel was nice, not overly modern, but comfortable, and was in a great location.	
Aug 17 2009 	Loved the Crowne Plaza ... but wouldn't stay on Times Square again!	We recently returned from a six night stay at the Crowne Plaza and our first ever visit to NYC.We loved the hotel, - beautiful, spotlessly clean room. There was plenty of space all of us (we are a family of four with two teens aged 19 &amp; 17). Beds were so comfortable and inviting after a busy day's sightseeing and the maids were more than happy to leave plenty of extra towels/coffee etc for us. Despite having a room on the 14th floor and facing over Broadway, we were not troubled at all by the noise from the busy streets below. We ate breakfast in the hotel once only. It was not included in the price of the room and was very expensive but delicious!!!If (or when) we return to NY we would not stay directly on Times Square again, but that's just our choice and the hotel is about as close to the action as you can get!!!	
Aug 17 2009 	Disappointing for Crowne Plaza	We stayed here for 1 week from August 6th in room 3822. We booked a double double for 2 adults and 2 teenagers. This was not adequate, the description double double is more like 2 3/4 beds, resulting in sleeping top to toe for enough room! No up grade available apart from a king size bed and a camp bed which was not suitable for 4 people. Room was clean and modern due to their recent refurb, and the location is great however it ends there. Minor problems all week resulted in an overall disappointing stay :- constantly asking for extra towels due to only 3 being left each day, bathroom flooded 1 night, this was dealt with quickly but still not something we go away for. Reason we booked this hotel was the double double room and the pool due to having 2 teenagers and wanting to relax at the end of each day. The pool was run by NYC sports club and not the Crowne Plaza, resulting in misunderstandings when we wanted to use it. You need a padlock for the lockers which you must provide yourself, the one you use on your suitcase is fine however you will need to keep the keys on your person when in the pool!!! Or buy a combination lock from them NYC club, how enterprising of them!! They did not inform us of at the start of our stay. We felt that we were not wanted in the pool due to the amount of people paying to use it, hotel guests are not made to feel welcome. It was not a pool for relaxing in, it is split into lanes and is well used by New Yorkers for constant swimming. On our first night there was a function in the bar area and all the tables had reserved on them, where were hotel guests expected to sit for a quiet drink? At the bar! On our last day luckily we were checking out because a bongo playing guest had moved in across the corridor and decided it would be good to put a privacy please sign on their door and play their bongo drums to their hearts delight but not to ours. You can check in for your return flight home which is free for the first 10 minutes and this is adequate to checkin however don't use the facility to print your boarding passes leave this until the airport because you will be charged $1.50 for each sheet you print and 2 phonecalls home lasting no more than 1 minute each were charged at their standard rate at a total cost of $33.20. We have stayed in other Crowne Plaza's which have been head and shoulders above this one and being priority club members we have been disappointed. With all the problems we encountered never once was there a sorry.Location of this hotel is great however in future we would pay the extra and stay at the Marriott Marquis on Times Square.We did not eat at the hotel, having been to New York previously we found several places for breakfast some reasonable some no so. Cafe Edison on West 49th in Hotel Edison $37 for 4, Ellen's Stardust Diner on Broadway just up from Crowne Plaza oppposite side of street with singing waiter/ress $60.Lunchtime and evening places Maxie's West 48th the other side of Times Square was good and 3 NYPD officers came in while we were there which is always a good sign. All places to eat in Times Square are busy and ok nothing to write home about.Don't book a Broadway show when you get there unless you are willing to queue about 2hrs in Times Square for same day discounts, we used www.entertainment-link.com and saved around $200 on 4 tickets.Top of the Rock at the Rockefeller centre has fantastic views of all of Manhattan, There's no need to buy the sights card for the Empire State Building just use the binoculars when you are up there for where to look for the sights, no need to put your money in just look at the base.	
Aug 16 2009 	Exceeded Expectations	You never know what you're going to get from a Crowne Plaza other than a really good bed. Since this trip wasn't for business and I brought my wife along, I was a little nervous about the quality we'd encounter, but I can tell you this Crowne Plaza's a really GREAT one!First, the location is probably the best you could ask for if you're going to midtown Manhattan to do the touristy things like sightsee, shop or take in a show. You can walk to any of those things. There are also multiple subway lines in walking distance to get you from one end of Manhattan to the other. I don't recommend this place if you intend to enjoy the more bohemian sides of NYC and stay away from tourists. As for the property, it appears to have been recently remodeled. The rooms are huge by NYC standards. The amenities in the room are first rate. I also must note that our view from the 42d floor was breathtaking and to all you PC Platinums out there, we got a great room with a Times Square view and access to the lounge on a reward night! Service was great; not overly old school stuffy like some NYC places can be nor overly informal. It was just right. If you like scotch (I know I do), the bar in the lobby has a great single malt menu and the pours are &quot;healthy&quot;.Overall, I would go back in a heartbeat and would recommend this place to friends going to NYC.	
Aug 8 2009	Great location Long line-ups at check-in Good gym access High cost internet	We loved the location of the Crowne Plaza, right in the middle of the action in Times Square. When we travel to NYC, we rarely spend a lot of time in Times Square. But there's something that perennially draws us to the area as a home base. The lights, the people, the theatres, etc.The Times Square location is obviously amazing, particularly for someone going to NYC as a tourist for the first time.The Crowne Plaza was a comfortable place to stay. The beds were excellent, linens were clean, and a good choice of firm to soft pillows to suit any sleeper's needs.Check-in at the hotel was torturous. A long line of ~15 guests took forever to clear. The hotel must do a better job of expediting the check in process. Furthermore, when arriving at 3 pm, shouldn't one typically expect to have their room ready? We had to store our luggage upon check-in and wait to have our room cleaned. The inability to ready room in times for the mid-afternoon check-in provides a financial bonanza for the bellmen, who profit handsomely from the hotel's inefficiency.We loved the access to the NY Sports Clubs gym. There was no extra charge for accessing the gym. Typically, hotel gyms have a spartan selection of equipment. So, having access to the NY Sports Club gym on the 14th floor was a great surprise and treat.We did not like the exhorbitant cost to access the internet for a 24 hour period. With telecommunications costs continuing to decline, charging $15+ to access the internet for 24 hours struck us as excessive. Crowne Plaza must find a more cost effective solution for non-business travellers who merely want to stay in touch with family while away.Rating is average for a four star hotel. Check-in efficiency needs improvement. Internet access policy needs to be revisited. Gym access is a plus.	
Aug 1 2009 	Good central hotel - but beware	Beware - we booked a room with 2 beds to accommodate 4. We arrived very late from London and the hotel was overbooked - lots of confusion and queues at reception. We were offered a triple room with a camp bed. We had no alternative to accept - (we did get a breakfast voucher to make up for it). We had to wait for the room to be set up. The room was great - great view over times square, but the small bed cramped the room and breached fire regs. Three of us in one massive bed was not a great start.As requested we had all our luggage ready by 10.00 am to be moved to our 2 bed room. Reception assured us by the time we came back it would all be sorted. Got back around 6.00 pm eager to unpack and shower and get back out. Problem - we were not put on the list that day for room change!! The guy on reception was arrogant and when I asked to speak to the manager he said he &quot;would see what he could do&quot;! We went up to the room showered, repacked and went out. On return around 11.00pm we got the room we booked. Totally shambolic and disorganised! Shame as without this I would have rated it highly. Went to use the pool but they wanted to charge us for swimming caps - not on their website as a condition for entry!!	
Jul 31 2009 	Location Location Location	We stayed at the Crowne Plaza for two nights while on a quick NYC weekend get-a-way. It was my 14 year old daughter's first trip to the city so we wanted to stay in the heart of it all. We were able to use Priority Club points to stay with no cost other than parking the car. The hotel was very clean, beds were comfortable and the room was fine. To be honest, the room wasn't quite as upgraded as other Crowne Plaza's that I've stayed in, but again, we stayed at no cost so we didn't complain. The absolute best feature of the hotel is its location in the heart of Manhattan. The hotel staff were professional, but I didn't think they were as pleasant as at other CP's I've visited. No Biggie - it was NYC after all. I did learn a valuable lesson though, don't tip the concierge until you successfully get your Broadway show tix. I tipped before and we didn't end up getting the tix. Not her fault, but it seemed like a waste afterwards to come away with nothing. Overall, everything was great for our visit. While we were there we did the Statue of Liberty (GO EARLY in the day. We didn't have to wait to board the ferry at 9:00 AM, but the line was around the block at 10), Top of the Rock (again - no line with ticket in hand), Serendipity 3 for frozen hot chocolate, Wicked, shopping, etc.	
Jul 30 2009 	loved it	I went here with mi parents and it was cool its a modern 42 floor building just off times square if ur looking for big labels.i was excited as i love ny and it was mi first stay.the breakfast is overpriced and you should go out for it.you would save 10 dolars on just pancake alone.the room was spacious with a view of the hudson river and the noise wasnt bad for new york city!!ill be back!!!!!	
Jul 26 2009 	Fab location	We stayed at the Crowne Plaza and it is so close to the every thing, the rooms were spacious and we had a club room and the lounge was great to head back and chill before heading back to your room. I would definately stay here again	
Jul 23 2009	Location Quality Value	My 8 year old daughter and I stayed here for 3 nights in July 2009. Our firts visit to NYC. We were in a twin room on 16 floor overlooking Broadway and Times Square (as requested). It was everything I hoped for and more. I can't fault this place. *Amazing AMAZING AMAZING views. *Location meant we could stay out till late without the hassle of subway/taxi*I felt incrediby safe in NYC and Times Square *We bought Broadway tix from the Concierge to see Mary Poppins. The show was magical. The seats were first class. I didn't mind paying the full price - you can line up at the cheap tix place a block away but be prepared, this could take at least 2 hours. *Hotel is quieter than you'd expect*Room was very comfortable and spacious, even though we had twin beds *Beds were INCREDIBLY COMFORTABLE Concierge pleasant and helpful. Front desk OK. We had a small problem with the bathroom door. Was immediately attended to. Highlight of our stay was being invited to see the 4th July fireworks from the roof top/47th floor. This was a very generous gesture from the Manager of the 1605 Brassiere who was running the event. It was an unforgetable experience - thank you!  Unbelievable value for money for what we paid (heavily discounted). I would stay here again for sure. Also - my daughter and I did a Bike the Big Apple Tour - was AMAZING. She doesn't have much riding experience. Loved it. We did the Harlem Gospel Tour on Sunday morning. I organised through concierge. Was crap. If you want to do Harlem jump on the subway and see it for yourself. You don't need to be in a tour to attend one of the church services.	
Jul 16 2009 	What's not to like?	This hotel had everything I could ask for, except maybe for designated express check in for Priority Club Platinum Elite members. The rooms were clean, quiet, nicely decorated, and we had a nice view of the Hudson River. Great location!! If I could give this an extra half point I would.	
Jul 15 2009 	Really Good Location	We stayed in this hotel in November 2008, I had read a lot of the reviews on this site as I would normally like to stay in a top 10 hotel but I thought most of the complaints were things that wouldn't bother me anyway (internet speed etc). I also knew that the hotel had a full renovation so I also didn't pay much attention to the reviews about the rooms.When we arrived we checked in easily, our room wasn't ready so we left our bags and went for a look around.The hotel is in Times Square, literally you look out of the windows and there is times square. You are in walking distance to all main attractions. We only used a a taxi once to go to little italy/china town. Its just a small walk to 5th avenue where all the nice shops are.The rooms are modern, clean, have everything you need, and if you need anything else e.g. bathrobes, extra towels, blankets they bring it very quickly. Our room was cleaned every day and the bed was turned down in the evening.The beds are huge and are so comfy, after a day walking aroung NewYork it was perfect to drop into a huge comfy bed.We didn't eat any food in the hotel so I can't comment on that. There are so many places to eat that we didn't want to eat in the hotel.The pool/gym was very busy, we went once and I must admit I didn't like it. There wasn't any private changing rooms and the pool was all roped off for lane swimming, there was a small sauna which was also very busy. This isn't a spa/relaxing pool, just for serious keep fit people.All in all the hotel was everything you needed, clean, safe, modern, and best of all fantastic location. I would definitely stay again if returning to NYC.	
Jul 5 2009 	Million dollar view	My daughter and I just returned from a 4 nights stay at Crowne Plaza. I was a bit concerned about staying in the Times Square area, however, needless worry.....we loved this hotel. The location is perfect, within walking distance to 5th Ave and the theaters. The hotel is lovely and the beds &lt;and pillows&gt; comfortable beyond words. We had a buffet breakfast every morning, which was quite good. Our only negative was a slow check-in.......but the wait turned out to be more than worth it. Our room &lt;Rm 2101&gt; was wonderful, a corner room with two double beds and a fantastic view of Times Square. We could not have been happier. We will certainly stay here again.	
Jul 2 2009 	Excellent hotel - Mucho class - Right there in the middle of everything!	Everything was perfect, the rooms were amazing, the staff was more than friendly (Thumbs up to Nadine Jackson who coordinated everything for our group!) - The Crowne Plaza is the perfect choice for a stay in NYC! When I return to the Big Apple, I will be staying there for sure... A+!	
Jul 2 2009 	Comfortable hotel great location 	We are a family of 4, who stayed at the Crowne Plaza for 4 nights. We booked through Expedia with a flight on AA (would not recommend- uncomfortable seats and surly flight attendants) and were given a room with a view of Times Square (which I had requested if possible) on the 20th floor. Beds were comfy and big enough to share. TV was a good flat screen, and bathroom had a shower/bath combination. I called for extra towels several times and they were delivered along with bathrobes within approx. 10 minutes.We didn't have a safe in the room- it had gone for repair, so I had to put valuables in hotel safe. Not a major problem. I would have liked a small fridge in the room, but otherwise have no complaints at all.A great plus was the pool- not huge but very welcome to start the day and the staff would clear a lane for you. Both I and my 12 year old son really enjoyed the chance to have a good swim. We did not have to pay extra to use the pool, but did bring along swim caps which are compulsory. My 17 year old daughter loved the fact we were right in the middle of Times Square and all the excitement of Manhattan. We did the tours, but missed out on the 'Crown tour' of the statue of Liberty- the crown has been re-opened to visitors but it is booked up until August- so plan ahead if you wish to visit in the autumn -you can book online prior to your trip. We loved The Oyster Bar in Grand Central Station; Eileen's cheesecake (the best) 17, Cleveland Place; the market and Fulton Park under the Brooklyn side of the Brooklyn Bridge; The Empire and Comfort Diners (the latter for the blueberry pancakes especially); relaxing in Central Park and generally walking round this fantastic city and found New Yorkers friendly and very keen to give advice and directions.Can't wait to return and would fully recommend the Crowne Plaza.I would have liked	
Jul 2 2009 	Poor service couldn't care less about customers.	The problem with this hotel is that for your money you could probably enjoy a better stay elsewhere in Manhattan. There is no sense of customer service or satisfaction. It seems to be essentially a travel agent destination or a conference facility with guests farmed through. I booked a superior room which was supposed to be on the higher floors (in the 40s)and refurbished. I was given a key to a room on the 32nd....and it was old and worn out...basically I had been downgraded. I asked reception to change me to a room that I had booked and was eventually given a replacement but it was grudgingly and with a long explanation about how inconvenient it was for THEM! I mention this downgrade as other reviewers have mentioned this problem before, I think it may be practise at this establishment. The cleaning was sporadic and many of the promised facilities and extras never materialised. The surly and aggresive porters effectively mugged for tips us everytime we entered of left the building, one refusing to surrender my bag until he had cash in his hand!	
Jun 30 2009 	For Times Square this is a very very underrated hotel!!!	I would be surprised if this hotel doesn't increase their rates in the very near future. For someone who wants to stay in Times Square, this is a great location. For someone who likes a nice hotel, good value but very nice rooms, this is a great hotel. I was a little leery when my friend booked this hotel because I usually stay in midtown at a &quot;nicer&quot; hotel. When we arrived, there is a beautiful lobby that overlooks all the lights with a great bar. The rooms are far nicer than the W which is just down the street, and at a far better rate. The rooms are modern and newly renovated. The steam shower is incredible!!! The hotel is clean and the staff as friendly as you would expect for Manhattan. I would definitely recommend this hotel if they are looking for a medium range hotel which is truly 4 star quality.	
Jun 25 2009 	Rooms toooo uncomfortable	Well, for sure not big enough for two adults and two teenagers - I have a 13 year old girl and 17 year old boy and was assured it would be big enough - NOT! The beds are stated to be &quot;Queen beds&quot; and they are most certainly double. IF they had been Queen as stated they may have worked for us but as it was we had my son on the floor two nights, my daughter in two chairs one night, and so on. They charged us 30.00 extra for both kids each night and it was very uncomfortable. Not a major thing but one that became annoying since they had on the reservations that there were &quot;four&quot; of us in the room - each night for all five nights that we were there, we only got three complete sets of towels and we had to call for the extra set each night waiting up until 2 1/2 hours one evening - I had to call back and they brought them right up. I complained and they gave us a voucher for &quot;two&quot; breakfast buffets.Location was wonderful - in the middle of Times Square-you could get to everything	
Jun 19 2009 	Look no more	Everything about our stay was excellent. The staff is very accomodating and friendly. Upon arrival my husband and I were told only smoking rooms were left...we informed the clerk that we both have severe allerigies and she immediately changed us to a nonsmoking corner suite with an incredible view of times square! This was much more than what we had asked for. The hotel is very clean, quiet, beds are comfortable, and it is one of the most reasonably priced hotels directly on times square. We had a late flight out so we checked out early in the morning and stored our bags at the hotel for free until we returned later in the evening.	
Jun 16 2009 	Friendly New Yorkers- Great Service!!!	We stayed at the Crowne Plaze Times Square, NYC during April School vacation week with our children. The room was fine, clean and nicely done. I've stayed in more plush hotels but this room was fine. The hotel had a nice city feel and the location could not be beat! My experience with the hotel staff was excellent.....I truly did not expect NY to be so customer friendly. We asked to be moved to a room overlooking Times Square (we had really got a great deal on the web and did not expect to get any good view)- though they could not give it to us the first night they called first thing in the morning and said our room overlooking Times Square. They moved our things and that was that!!! We had a great week, great hotel stay and great service!!!! Would love to go back to NYC!!!	
Jun 16 2009 	Wonderful room and location	My husband and I stayed at this property from May 31- June 06. I was there on business, and he was there to relax and enjoy the city. I was very pleased with the hotel!! The rooms were spacious- large and comfortable bed, flat screen TV, big bathroom-for NY standards, the vanity had enough space for my toiletries, closet space, etc. In addition the view of our room was amazing- the lights at Times Square during the evening were incredibly romantic. I also loved that they hotel had an amazing gym!!! My husband and I took advantage of it on a daily basis: lap pool, exercise classes, weight room, aerobic equipment, etc. The gym staff was courteous and friendly- no charge for hotel guests. If you can, do the boxing class; it is a real killer. The hotel is centrally located, near shops, theater, restaurants, etc. I didn’t eat at the hotel restaurant, so I can’t comment on it. The hotel overall is very clean and well kept. We will definitely return to this property during our future visits to NY.	
Jun 13 2009 	Great Location.	The hotel location is great. It is real close to Times Square. Used heavily for conventions, tours, and hi-end business meetings. Great deal if traveling with a Government Rate. Location is close to everything: Subway stations, restaurants, theaters, shopping, etc. Rooms are well equipped and Room Service is very good. Concierge staff is oustanding. They helped me out in selecting affordable restaurants every night. Cellular phone reception in rooms is poor. Wireless Internet access is $20.00 per day, if you have a mobile broadband card, better bring it with an additional antenna if possible. Front Desk service is packed almost all day. For any small question the staff requires you to make the long line. No refigerators in the rooms. Swimming pool is a plus and is free. You may have to pay to use the gym. If you want to avoid round-the-clock street noise (Broadway never sleeps) ask for a high floor . If you are a TV freak, verify that your room has a Flat Panel LCD TV, there are some rooms that still have tubes. Overall, a great place to stay.	
Jun 13 2009 	Great upgrades to concierge floors	I stayed two weekends in a row at this hotel using rewards stay and I was impressed with the upgrades I received. The first night I was given an Ambassador Suite which was close too 1000 sq ft. The feature I used the most was the access to the concierge lounge on the 46th floor with compl. breakfast and snacks. The view from there is spectacular. The second night I tried to check in at 9 AM and was given a King room also on the concierge floor.The hotels location close to subway stations and Broadway play etc. makes it my first choice for short stops in Manhattan.	
Jun 11 2009 	Pretty good!	Stayed 4 nights at the Crowne Plaza there at Times Square! Nice hotel, comfortable room, great location! The thing I liked about it best was the bar/lounge area! Cool bar, great bartenders/waitresses, tasty food and drinks!We got a good deal directly on the Crowne Plaza website for a corner room. Our room was a decent size, clean, and the bed was very comfortable! Our view was facing the Hudson, so nothing that great. Would have liked a view of Times Square, but they said they were full and that was all they had left.We ordered room service twice. Pretty good both times.Overall I thought the hotel was nice, but here's a few things I'll nitpick about:1) As many others have mentioned, there's no fridge or mini-bar! They have plenty of space to put one in!!!2) The little shop downstairs only stays open til 11:00pm. There were many nights we got back after that and I wish we could grabbed a water or soda, but it was closed (and there's no mini-bar or vending machines). There were a lot of people coming and going after 11pm, I would think it would be profitable if they stayed open longer.3) The maids start knocking on doors before 9:00am. Even if you have the do-not-disturb sign up, you can hear them walking up and down the hall knocking on all the doors very loudly.4) Shower. The water pressure was very weak.Overall it's a good hotel in a good locations. A few minor things, but pretty good for the most part!	
Jun 8 2009 	surpassed expectations	Can't fault it. Stayed using priority pointsas regualr Holiday Inn user in the UK. Must admit I got an upgrade to room 4615. A corner room with an amazing dual aspect view of Times Square. the room had recentyl been renovated and was immaculate, but teally it was all about the view. We had access to the concierge room where we got free breakfast and soft drinks which was really nice. Staff were very pleasant but not overwhelming. Lobby was also lovely and although would rather stay on the UWS the location is a novelty and for many reasons can't be beaten.	
Jun 4 2009 	Excellent location  fancy lobby good security	We stayed in this hotel during April. There are two entrances for the hotel , the smaller one is next to the Hershey's candy store. The other one is on the back and it's the car entrance.Once in you take electric stairs up to the lobby. About five people will help you through reservations in peak hour. The bar is just in front of the desk and it's got nice atmosphere. It gets crowded at nights.We stayed on the 25th floor, side views (not to Times Square but to the side of the buildings) so nothing fancy to comment. The room was clean and the beds were quite good. There was no free internet so thats a downer. 42inch LCD screen but no connection panel (you couldn't connect the laptop to the TV).Location is great , at least three subway stations nearby, close to the tickets booth for Broadway shows and excellent security, they required keys at night to let you through the lobby.There are several diners nearby , the one to the left (an italian) is a little bit expensive, but other than that , it's fine.	
