	I am not sticking my neck out here---great hotel.....lol	Stayed here for 2 nights. Excellent staff,especially the breakfast and wine and cheese staff.Front desk staff very good also. I agree with the Irish girls,Dos Caminos ,is a good restaurant just around the corner.You are in a very good location and can walk everywhere.You cannot go wrong with this hotel,the value of the breakfast and wine and cheese makes up for the extra dollars you spend.	
Jul 24 2009	My family and I experienced a most welcoming professional staff and a very gracious environment.	What a gem this hotel is in New York City. The hotel was our home base for our son's wedding in Manhattan. I must say that with all the stress of a wedding, the hotel stay was calming and everyone was there to help in any way. Many, many thanks,Lydia and Tony Bellino	
Jul 23 2009 	Perfect Wedding Stay	Recently stayed at the hotel 4 days for our daughter's wedding in the city. The accomodations were absolutely incredible! the service was outstanding, suite was perfect and the roof top bars were absolutely amazing. The new couple live in NYC so I know we will back for a visit and I will under NO circumstances stay at any other hotel. Your staff is amazing, the BEST in the city. Thank you so much for making our stay so incredibly wonderful!! Cindy Butrico Palm Harbor, Florida	
Jul 23 2009 	Very good place to stay.	My husband and I just spent five nights at Hotel Giraffe and had great stay.The hotel is well located for seeing Manhattan ,it is two blocks south of 28th street subway-line 6.It was a very relaxing place to stay,with helpful,friendly staff.We started each day with the complimentary buffet breakfast served in the main downstairs lounge.There was plenty of food and a decent choice,it was very relaxing sitting gazing out the window onto Park Avenue South watching rush hour while eating breakfast.We had a good sized room with french doors opening on to a small balcony,as the hotel is not huge each room is very close to the elevator,we walked out our room and the elevator was right there,which was very handy.	
Jul 23 2009 	We'll Be Back!	The Hotel Giraffe is a rarity - it's actually BETTER than it lets on. Located close to both public &amp; private transit, the Giraffe's ambiance &amp; attention to guest needs make it a hotel we will return to whenever NYC is our destination. The staff is attentive, but never intrusive, &amp; the added touches, such as the continental b'fast served each morning, &amp; the wine &amp; cheese tastings each night from 5-8 p.m., were the perfect start to each day &amp; evening. With only 7 rooms per floor, that feeling of being just another faceless guest never happened. If you want to stay at one of New York's hidden gems, then book your stay at the Hotel Giraffe.	
Jul 22 2009 	wanna go back	upon first arriving at the gifaffe, I was disappointed... by the time we left, I was ready to book my next NYC stay there! There were 3 of us and we booked a suite with the fold out sofa... had I known how dark the &quot;sofa room&quot; was, I would have chosen the more expensive corner suite ...I realized for me no matter how large or well appointed the room is , if there is little outside light , its drab feeling -- the staff was outstanding -- genuinely friendly and willing to help -- the breakfast was excellent and evening apertifs were too -- we also liked the rooftop bar and lounge -- we had gorgeous weather and it was fun to sit , relax and enjoy the stars!! Now , I cannot wait to visit the City again and stay in that corner suite!!	
Jul 21 2009 	Absolutely Fabulous	We have just returned from a 6 night stay at the Hotel Giraffe and it exceeded our expectations, even after all the 5 star Trip Advisor reviews. Everything about the hotel is good; location, decor, friendly service, superb continental breakfast, cheese and wine from 5pm - 7pm (life saver after pounded the streets of New York). Our suite was wonderful, the bed was luxuriously comfortable and the air conditioning was quiet and effective. I cannot think of a single negative thing about this place.	
Jul 21 2009	Hotel Giraffe: Excellent Service and Hospitality and Location	Date: July 20, 2009My good friends and I had another fantastic trip to New York City. This time it was enhanced by our stay at the Hotel Giraffe in Gramercy Park. This new location (for us) gave us easy access to Lower Manhattan as well as convenient access to other parts of the city.What made this stay so special was the hotel staff. Every person, the bell captains, the happy hour and breakfast staff, the front desk staff, and the housekeeping staff, was courteous, helpful, and gracious.A very special part of the hotel was the rooftop lounge. This place was a haven of peace and relaxation as well as a fun social area. I heartily recommend the Hotel Giraffe. Your New York visit will be perfect with a stay at this hotel.	
Jul 20 2009 	Could Not Have Been Better!	Outstanding, clean, modern, tasteful hotel. Beautiful suites. Staff extremely friendly and professional. Lovely ground level lobby area with breakfasts and happy hours, very comfortable for hanging out or meeting friends or business colleagues. Location extremely central. We shall return!	
Jul 18 2009 	Lovely oasis in Manhattan	Wonderful staff. Sleek, comfortable room packed with amenities. Lots of mirrors, even a bathroom scale! Wine and cheese reception every evening and breakfast every morning in the beautiful lobby.	
Jul 17 2009 	Superb Hotel!	What can I say....The Giraffe is a suberb hotel with a great name...one of the few times our research has been spot on! Location may not be lively enough for some, but suited us very well!Rooms are spacious, decoration tasteful with lots of storage space ...beds unusually very comfortable, slept well each night... elegance with comfort!Service was excellent, thoroughly enjoyed the informal breakfast arrangement and complimentary early evening cheese &amp; wine. Roof top bar popular with guests &amp; locals. We do pefer a 'boutique' hotel...we enjoy the intimate and individualism of this type of establishment; sadly, however, not all 'boutique&quot; hotels are are in the same class as theGiraffe!	
Jul 16 2009 	Could not have been better	We recently spent five nights at the Hotel Giraffe. We had booked our stay based on information we found on &quot;Trip Advisor&quot; and are pleased to report that our stay was simply wonderful. Our room was clean, well-appointed and very comfortable. The complimentary breakfast was just what we needed; the evening &quot;wine and cheese&quot; time was outstanding. Best of all was the level of service. The staff was both professional and personable--not a trace of 'attitude'. We will certainly use Hotel Giraffe again and recommend it to you.	
Jul 15 2009 	Best Hotel ever	My husband and I and our two sons travelled to New York for a holiday. We made the best choice staying at this hotel. The staff were pleasant and helpful in reception, the maids were very friendly and efficient, the doorman attentive, good advise was given to us about the firework display. The breakfast was really lovely, the wine and cheese in the evening was just what we needed after a hard day of sightseeing and the pianist was the piece de ressistance.I can't wait for our return trip.	
Jul 14 2009 	Excellent location great amenities and impeccable staff! LOVED IT!	This was our first trip to NYC. I choose the hotel based on the amenities it offers. We were not disappointed. The rooms were actually a very good size...the balcony allowed us to continue enjoying the sights and sounds of the city even when we were in our room. The staff were impeccable. They were very helpful and attentive. They tried very hard to anticipate your needs and accommodate them accordingly. The daily breakfast, all day snacks/beverages and evening wine reception were an added bonus and did not disappoint. The location turned out to be very close to everything...either via walking or short taxi ride. What I liked most was it was on a nice street...close to food, night life, sights and shopping...but not congested and loud. I would highly recommend this hotel and definitely would stay there again. My only disappointment was the bed was a little hard...and they don't allow pets. Other than that....I loved this place!	
Jul 13 2009 	So glad that we stayed here	We stayed at The Giraffe for my 50th birthday and had a wonderful weekend. The hotel staff were welcoming and friendly and had provided a bottle of bubbly and a cake in the room. The room was well equipped and very clean as was the rest of the hotel. The double glazing was effective in keeping the noise from the street out. We enjoyed the breakfast and also the evening wine and cheese. The roof top terrace was lovely for a nightcap although drinks were a bit pricey! We would thoroughly recommend this hotel and would certainly make a return visit.	
Jul 12 2009 	Great hotel centrally located with top quality service.	Our recent stay at the Hotel Giraffe was excellent. Hotel staff were friendly and helpful, our room was large (for New York) and clean. The property was well maintained and had a club-like atmosphere about it.Our room was on the 11th floor, and had good sound-proof windows (evidenced by the noise level when they were open), and very quiet air-conditioning. There was fresh bottled water left in the room each day, and chocolates provided by the evening turn-down service. Both wireless and wired internet were available for free in the room.The complementary continental breakfast included pastries, bagels, eggs, fruit salad, juices and yogurt, as well as a variety of specialty coffees. Coffee was also available throughout the day. Evenings included complementary wine and cheese and a piano player.The location was very central and right on the 6 subway line. I would definately stay here again. There may be cheaper hotels, but most would charge for breakfast and internet, so these freebies make the Giraffe a really good deal.	
Jul 9 2009 	Fabulous	The Hotel Giraffe was a wonderful place to stay. The rooms were comfortable, clean, and very modern. The staff were helpful and friendly. All of the amenities were superb -- breakfast in the morning, wine and cheese in the afternoon, snacks all day. Typically, hotels of this caliber charge extra for everything, but at the Hotel Giraffe, many of the little extras were included with the room (e.g., breakfast, waters in the room, internet, snacks/coffee throughout the day).	
Jul 3 2009 	A hidden gem	A really great place to stay! Close to the subway, very friendly and helpful staff, spacious rooms and a very good breakfast buffet. I travel quite a bit and am very critical of conditions - wear of furniture/linens, outdated furnishings, even amenities - I have nothing negative to say about Hotel Giraffe. I will defintely stay here again and would recommend it to other travelers.	
Jul 1 2009 	Once again we were very pleased with our stay at Hotel Giraffe.	This was our second time staying at Hotel Giraffe, and every single employee we came in contact with was EXTREMELY courteous and polite. In addition, the hotel has been immaculately clean both times we stayed. Plus, the hotel is in a great location. Easy to get up or downtown. We took advantage of the free guest passes to New York Sports Club this time, and it is close by and a nice gym. We'll definitely stay there again.	
Jun 30 2009 	When in Manhattan stay at the Giraffe!!	We have stayed at the Giraffe many times and it is our favorite place to stay in Manhattan! We love to walk in the city and it is close enough to walk to Little Italy, or South Street Seaport, or go uptown to Times Square or Central Park. If you don't like to walk that far, there are plenty of restaurants and shopping nearby. The complimentary breakfast is awesome, not to mention the &quot;happy hour&quot; with unlimited wine, champagne, cheese and crackers. The staff is very professional and certainly make you feel welcome. I HIGHLY RECOMMEND staying at the Giraffe.	
Jun 30 2009 	Great place for wedding party to stay.	Very nice room and spacious bathroom (esp. for NYC). Extremely clean and well maintained. Outstanding staff - courteous and helpful at all times. The breakfast and evening wine and cheese provided an easy way for members of our group to meet (or not). This was the perfect choice for this occasion. I would definitely stay here again.My only negative would be that it is not as close as some other hotels to shopping (Saks, Barneys, etc.). Subway is very close by and a short ride, but it is not a quick walk.	
Jun 29 2009 	The Hotel that does not disappoint.	A sudden rain storm arrived at the hotel with me, so it was helpful that an umbrella was hanging in my closet for my use, or if I chose, purchase. The gracious staff did not disappoint me as they were easily available and helpful. I did not order room service so I have no evaluative comments of those offering.	
Jun 26 2009 	Perfect...!!!	We travelled to New York for our Silver Wedding Anniversary, and chose the Giraffe because we did not want to stay in a &quot;run of the mill hotel&quot;. Did we select right.... You bet yah. The Giraffe is perfectly located in midtown, with short distances to any spot in Manhattan. The rooms are great, and the whole atmosphere is relaxed, stylish and friendly. We enjoyed the Giraffe for:* The nice breakfast* The great rooms*The comfortable bed* Cheese &amp; wine every evening from 5 - 8, fab after a long day shopping/seeing the sights.*The helpful and friendly staff.I paid extra for a &quot;romantic rendevouz&quot; and had &quot;rose petal turndown &amp; chocolate hand dipped strawberries &amp; A Bottle of Champagne&quot; in the room when we arrived after a long flight - fantastic.There is no need to look any futher for a romantic get-away from home - I would be happy to come back to the Giraffe.	
Jun 26 2009 	Happy at the Giraffe	From the outset, all the staff were from satisfactory to good at their job, also they were friendly.The location is brilliant. You can easily get to anywhere in Manhattan, and further afield, from here.The room was of good size and very comfortable. Our room had a balcony, complete with large attractive flower pot. All aspects of the accommodation were good, bathroom toiletries, dressing gowns and slippers, use of an umbrella. There was a flat panel tv, electric controlled window blinds, a safe, complimentary bottled water on arrival.The complimentary continental breakfast was very nice, as was the wine and cheese evenings (except for Sunday) a well received gesture. This was from 5-8pm in the evenings. Newspapers were provided in the lounge/lobby area also.Wireless internet connection was complimentary.The room-service restaurant recommendations were, surprisingly, very good. We were amazed and the beautiful food from Dos Caminos.Overall a very positive experience.	
Jun 24 2009 	well-managed professional and personalized	This hotel is The Four Seasons on a small scale. Modern, well appointed and maintained. Luxurious towles, linens, toiletries, etc. The staff is friendly and helpful. Little things add up such as complementary bottled water that is available in the room and coffee, tea, cookies, fruit etc available in the lobby, complementary breakfast--in this, better than The Four Seasons! Very nice, convenient location. Highly recommended.	
Jun 22 2009 	A great stay. . .as usual.	The Hotel Giraffe never fails to please. It is centrally located; the rooms are large for NYC; it is quiet and calm inside the lobby. Always nice to come back to after a hectic day in the city.The staff is always helpful and accomodating. We recently stayed for one night at a different hotel because of a business issue and everyone agreed . . . the Hotel Giraffe was a million times better.It is my home away from home in New York City.	
Jun 22 2009 	Completely worth it	First of all the people there are really kind and helpful. Beyond hotel standards. That only is worth using this hotel.Rooms were spotless as expected. The location is great, in between up and down Manhattan, you feel close to everything.The valet parking is convenient and cheap for NY standards. A public parking at the corner cost 65 dollars a night, and the hotel is less than half that.The complementary breakfast was a very nice touch, specially the fact that they kept it going until noon! Also the checkout at 1pm justgives you that feeling of tranquility, so appreciated the day you're leaving a place and have to pack, etc.They let us play the piano.Basically, you feel unrestricted, and thus at home.	
Jun 15 2009 	Top notch service and beautiful rooms.	From check in to check out, the staff at this hotel were just excellent. We were allowed to check in early in the morning, which was a huge help considering we took the train to go to city hall to get married. Not only did we get an early check-in, but we got an unexpected upgrade to a suite, which was very comfortable. The breakfasts and wine and cheese in the afternoons were great. Great location with easy access to everything. Overall just a wonderful experience and well worth the money.	
Jun 15 2009 	Giraffe Proves Itself Again	I challenge anyone to find a better value for money for the size of rooms, location, and genuine service than the Giraffe. We have stayed there many times and are rewarded with same care and service every time. A wonderful respite in lower-mid Manhatten.	
Jun 12 2009 	I'd come back again.	I can't think of anything that I would change. Great, helpful, etc. staff. Saved me a fortune and added convenience by having continental breakfast in the morning, and wine/snack in the early evening. And I almost forgot, wifi internet access in the rooms at no extra charge.	
Jun 12 2009 	Perfect location helpful and friendly staff great rooms!	Giraffe is perfectly located in midtown, with short distances to any spot on Manhattan. The rooms are great, and the whole atmosphere is relaxed, stylish and friendly. We enjoyed the Giraffe for:* The nice breakfast* The helpful and friendly staff who always were ready to give advise and make that phonecall to make it perfect* The rooftop terrace, beautiful - day and nightThere is no need to look futher for my home away from home - I am sure to come back to the Giraffe.	
Jun 5 2009 	Couldn't have asked for more.	We stayed for 4 nights in mid-May to celebrate my birthday, and since my husband had never been to Manhattan before, I wanted to choose a hotel that would be more than just a place to collapse after a long day spent shopping/sightseeing. I am so glad we chose Hotel Giraffe!  We called ahead to inquire if we could check in a couple of hours early and when we arrived we were warmly greeted by friendly, unpretentious front desk staff and concierges. This seems to be the trend with every staff member we encountered. Friendly in a genuine non-robotic-corporate-chain kind of way. After an afternoon spent walking, to be greeted at the door by name and with a smile is one of those little touches that goes a long way. Our room was spacious and the terrace was lovely. The bathroom was a real treat. Marble throughout with lots of shelf space and drawers, and a large lighted shaving mirror. A special note about housekeeping; our toothpaste had leaked into it's ziploc bag and when we returned later in the day, they had cleaned it all up for us! Sparkling wine and a large gourmet cupcake were brought to the room a few minutes after our arrival along with a birthday card. It is attention to details like these that made our stay so memorable.  Breakfast was healthy and tasty and served with a smile. Enough to keep you going until lunchtime. Fresh fruit and cookies as well as coffee and juice on hand all day for a quick pick me up. Would usually take this up to the rooftop terrace for a nice little escape. We were in walking distance to pretty much everything we wanted to see and when we did take cabs they were fast and relatively cheap seeing as our home base was pretty much in the centre of the island. The hotel staff were also very helpful with subway directions. Hotel Giraffe has everything you want in a New York hotel- it's clean, spacious and well located- but without a huge price tag. Sure, it's a little bit more than say the Comfort Inn or Club Quarters, but it's value is in its intangibles. The understated elegance and little personal touches are what you remember it for, and for that, it was worth every penny. A special thank you to TripAdvisor and all the reviewers. I relied heavily on this site to make my hotel choice and I was not disappointed!	
May 28 2009 	Superb hotel in one of the best locations for exploring Manhattan	Everything about our stay in the Giraffe was above our expectations. The location, on the borders of East Village and Midtown, meant we could explore the traditional sites and shops of Midtown (we even walked further to Upper Westside and Central Park) and yet closer to home were our preferred areas of the Lower East Side and East Village for eating and drinking.Service impeccable, friendly and attentive, with complimentary cheese and wine social in the evening. Our room was spacious and luxuriously equipped with everything we could want and more (fascinating book on giraffes anyone?) . Lovely balcony to relax with a drink and high enough for the road noise not to be an issue.We spent several days researching hotels and most importantly the area the hotel is located and this offered the very best for being in the middle of everything worth seeing.With the pay in advance/30% off option it was affordable...even for Manhattan!Would definately recommend to anyone and would not hesitate to rebook for our next trip.	
May 27 2009 	Well located clean pleasant hotel great staff	My sister &amp; I went to NYC to celebrate her birthday and she chose the Giraffe. The room was lovely and had free wifi. It was immaculately clean &amp; the beds very comfortable. While the street was busy &amp; there was construction going on, the rooms were well insulated &amp; dampened the sounds.The staff bent over backwards to help us at every turn &amp; the complementary brunch was delicious and contained healthy, low fat foods (a pleasant surprise, expected only danishes &amp; bagels). The location was near the subways, restaurants of all price points, parks and drug stores. Taxis were easily hailed when we wanted one.	
May 27 2009 	weekend in the city	I found the Hotel Giraffe through this site and based on the awesome reviews, I decided to give it a try. The hotel was very nice. We loved the fact that the doors in the room open to a small balcony. The breakfast in the morning was a great way to start the day. The girls working the breakfast remembered how I took my coffee, which I thought was great. The only complaint that I have and keep in mind I am a complete bed snob, is that I thought the bed was very hard. If this hotel had the comfy beds that I have found at other nice hotels, I would rate this as my favorite hotel by far. If you are not a princess and the pea kind of girl, you will love this place. I loved it regardless. Be sure to check out the rooftop terrace. We ate at Dos Caminos which is attached to the hotel and thought it was the best mexican we have ever had. The guacamole was to die for. Also try Tabla if you enjoy Indian.	
May 27 2009 	Charming and cozy hotel with relatively good size rooms	We stayed 5 nights in Giraffe and enjoyed our stay. Hotel location was good, if you prefer something else than just a tourist populated area. Area seemed to be very safe and not too busy: we were able to sleep our nights, although you could hear the traffic noise, but that's New York, I guess. Our queen-bedroom was surprisingly spacious and very clean. Only small minus we can think is the views from the room windows, or merely the lack of the views. Breakfast room was home-like and staff serving it very friendly. Staff overall was helpful and friendly. - We definatelly woud recommend this hotel for people looking for an elegant and peaceful stay in New York!	
May 26 2009 	I can't find anything negative to say.	I don't have a bad thing to say about this hotel. Great location? Check. Right near Madison Square Park and the flatiron district.Finely appointed rooms? Check. Great decor, granite surfaces, comfy beds.Free breakfast? Check. Delicious, and graciously served by smiling hotel employees.Lack of street noise? Check. Even on the 3rd floor, I never heard a thing.Free wi-fi? Check.Attentive and polite staff? Check.I could go on and on, but you get the point. I'm loathe to write this positive review--I don't want the hotel to become too popular and ruin my future fun!	
May 25 2009 	Nice Hotel	We stayed at the Giraffe over Memorial Day weekend. The hotel is very nice--not outstanding,, but very nice. The so-called Queen Deluxe room is a bit small, but comfortable. The location is great--walking distance to Union Square to the south and Grand Central for subway connections to the north. The hotel has a continental breakfast and wine and cheese event daily, which are really nice. Even though the hotel was full there seemed to be plenty of seating and no shortage of food. Service requests were filled quickly, which is always a pleasure. All in all, I would recommend the Giraffe and would stay there again.	
May 25 2009 	wonderful stay	I stayed at the Hotel Giraffe in December 08 for 10days, with my parents.We were in a suite. The service was really good, the room was spacious. My parents slept in the double room in the suite, while I slept in the sofa bed (ok the matress was not great, but was ok for me) for 3 the suite was perfect.We loved the breakfast and the cheese and wine in the evening, during the week day there was a pianist. This hotel is a bit retro in its decoration which is so charming.The staff was always friendly (maybe one of the staff at the cheese and wine evenings could have smile a bit more :()But overall our experience was really good, I will come back there	
May 23 2009 	Excellent stay but a bit on the pricey side	On arrival after 4pm our room still wasn't ready so we had to sit around for housekeeping to finish - not ideal after a long flight. Room itself was lovely - very large, bonus that you could open the French windows to get fresh air in - or even cool drinks out on the small balcony. Room was very clean and well set out. Heating/ air con all worked really well. No good views just looking into another building.Found the staff to be chatty &amp; helpful... Only a handful of rooms per landing which made for a quiet stay! As no through passing traffic of people like in other hotels that have long corridors.Hotel offers a turndown service of chocs, your music put on and bottled water replaced - although the free water was a bit hit or miss in being replaced. The free Wi-Fi was excellent full use of this was made for checking out local places for dinner and attractions in town. Hotel also offered free use of a laptop and printer in the lobby area.The hotel is in a chic part of town and although the street is rather busy with a higher floored room it couldn't be heard. Lots of locals out walking their pedigree dogs. Carbon monoxide detectors along with the normal fire ones - good to see both types of alarms in the room. Easy walking distance to the subway station or walk able to Times Sq - just across the block from the Flatiron building and nice little park area. Nearby is curry hill with lots of good places to eat esp. vegetarian’s options. Breakfast was free - continental style - bagels, eggs, toast, pastries, cereal and choices of coffees, juices &amp; teas all self service. The hotel also held wine &amp; cheers most evenings which was also free along with some piano music. Lobby very small but nice - marble throughout - this also doubles as the breakfast area in the morning. Few local papers are put out for guests to read. Stayed here for 5 nights in Feb '09 - this cost £1,100 a bit pricey considering there was no on site pool - not even at the gym club they give passes out to. All in all I would say a 9/10 for this hotel. Would like to see some better deals done to get guests in as staff we spoke to said they were running an almost empty hotel and were on the look out for tourists.	
May 18 2009	Great value great rooms and thoughtful extras	I stayed at Hotel Giraffe for a long weekend in New York back in April. Although I'd booked a superior room, I arrived extremely late in the evening and ended up with a small suite on the eight floor. For NYC, the room was huge, with high ceilings and a real feeling of space. I also took a peek at a superior room and that was pretty sizeable too. Staff were friendly and the free breakfast and evening drinks were very welcome. The hotel is independent and well maintained; service is good and the staff welcoming. The only minus point was a dinner reservation made by the front desk - wrong time, wrong restaurant and not confirmed with a note under my door or a phone call. But this was a small point on an otherwise very enjoyable stay.Location is good, close to the subway and the flat iron building. I'd defintely recommend this for anyone looking for a cosy, charming hotel with high standards of service. The roof terrace is a bonus too.	
May 14 2009 	Disappointing	We stayed for three days. The room was quire nice. The staff was friendly and curteous.The problem was no water in the room. The hotel management obviously couldn't solve a problem with the water not working in our room. When I turned on the water (hot or cold; it didn't matter) and nothing came out i would call the front desk and they would have the &quot;pump reset.&quot; The water would be back on shortly. On the second day we received a bottle of wine and a $100 credit and an apology from the manager. He indicated that the problem was corrected that this was not their normal mode of business. The next morning (a Tuesday) at 8 AM there was no water again. They did &quot;reset the pump,&quot; but when I was in the shower two hours later the water again stopped. I would like to be able to recommend this hotel but considering the cost of the rooms and a meager $100 credit, i cannot. The manager did wish to speak with us as we were leaving but we had a train to catch a could not wait for him to appear. I did email him when we returned but he did not respond. Too bad. Other than this I would have given the hotel a high rating.	
May 13 2009 	Awesome!!!!	The staff was the best by far! They greeted us by our name, helped us with tours etc. Rooms clean, breakfast and the wine and cheese at night, fabulous! Easy access to the subway and not such a busy location, very layed back. I would definitly stay there again and recommend it to everyone!	
May 5 2009 	Elegant and chic in a convenient area	We just returned from a 3 night stay at the Hotel Giraffe and were very pleased. We arrived 2 hours before check-in and were greeted by the bellhop when he saw me sitting in the car while my boyfriend checked in. He took our luggage and told us that our room was ready right away - we were very happy after a four hour drive from Boston.The lobby was nicely appointed with a piano and beautiful floral arrangements, a sofa and chair set up, and tables and chairs. We helped ourselves each morning to the continental breakfast, consisting of things like bagels, muffins, pastries, hard boiled eggs, oj, cranberry juice, coffee, cut fruit, yogurt, cereal - all delicious.When we returned late in the day, we stopped again for wine and cheese. Coffee and cookies were available 24/7.We had a 1 bedroom suite at the end on the 5th floor, room 501. It was tastefully decorated and roomy. The bed was comfortable and the room was clean. If you're looking for a view, though, this isn't the place. We were very happy overall with our stay.	
May 4 2009 	Also had high hopes	Don't expect the grand expance of the Tribeca Grand on arrival, the foyer and reception are unassuming to the point of disappointment. The rooms however are well appointed and the high ceilings and mirrors add to the sense of space.Great add-ons including free continental breakfast that was surprisingly good. Wine in the evening was odd (avoid the sherry coloured Chardonnay) but provided a great late afternoon snack.The hotel also gives free vouchers worth $25 to an NYC Gym which was 3 blocks away. I prefer this to hotels with 'fitness centres' that more often than not are unlettable rooms with outdated equipment.Staff were hit-and-miss. Some exceptionally helpful others a little vacant. On leaving they offered to flag a taxi but could not agree how much this would cost, apparently unaware that there is a fixed rate from Manhattan to JFK. This was important to us as our cash was limited on our last day. FYI its $45 + tolls.Location is great, walkable to times square to the north and union sq to the south. Also on line 6 on the underground. Not my favourite hotel in the world but provided a great base with substinance for exploring manhattan.	
May 2 2009 	Hotel Giraffe is excellent value for money in a great midtown location with very good service.	We like Hotel Giraffe for it's boutique ambiance, excellent free breakfasts and free wine and cheese from 5-8 nightly, and a lovely rooftop garden. The location is excellent and the hotel is modern and beautiful. One of the few hotels with balconies,	
Apr 28 2009 	Made our 20th wedding anniversary incredibly romantic	Stayed at The Giraffe for a romantic getaway weekend to celebrate our 20th wedding anniversary. What a wonderful surprise, we were treated to a one bedroom suite upgrade, 15 minutes after arrival the hotel manager brought a bottle of Proseco along with belgium chocolates. Really set the tone for a romantic weekend. The hotel is elegant, our room was spacious and very tastefully decorated. The staff were friendly and eager to help, very happy to share our enthusiam over our anniversary, congratulating us every chance they had. The hotel manager went out of her way to get a bucket of ice after my husband enquired about the location of the ice machine. The hotel offers a complimentary breakfast in the morning with fruit salad, danishes, yogurt, juice, and more everything fresh and tasty. A complimentary wine and cheese between 5 and 8 is a wonderfual way to get your evening started before enjoying the NYC nightlife. On the corner of Park Avenue and 26th, the location was close to Herald Square and Penn station, (coming in from Newark airport this was a bonus)easy access to the subway two blocks away, bus in front of the hotel, barely needed to take any cabs. We are anxious to go back with our daughter, we are certain she will absolutely love it.	
Apr 27 2009 	Love this place - we will keep coming back!	This is our favorite boutique hotel in NYC. The location is perfect. The customer service excellet - they attend to your every need - even upgraded us to a suite! We love the complimentary breakfast, wine and cheese before dinner and the coffee and cookies offered all day long. After a long day shopping this is a real treat to come back to. It is just the right size and this year, we even discovered the roof deck - a splendid little area to gaze at the stars or hang out in the sun on a warm day.	
Apr 25 2009 	Great friendly hotel in a great location on Manhattan. Exceptionally clean	My husband and I stayed here for 5 nights and we loved it. The rooms were really very well equipped and exceptionally clean which always makes relaxing that bit easier. The bedlinens and towels were of a great high quality. We were very pleased with the inclusive breakfasts and free wine, champagne and cheese in the evenings between 5 and 8. It was great to have coffee and teas and fruit and cookies available all day from the lobby too. We would have liked to have had facilities to make a tea/coffeee in our room too though, that would be our only niggle. I must point out you are able to get your tea/coffee and take it upstairs.The location is great, just a couple of blocks from the Flatiron building and one block from the lovely Madison Square Park. On the far side of Madison Sq Park is Fifth Avenue where you can catch any of the sightseeing hop on - hop off buses.We were able to wander to Soho, Greenwich Village and Central Park in fact we walked to pretty much all the districts in Midtown and Downtown from the hotel on different days. (We usually hopped on the bus to get back though)The restaurants around the hotel are all nice but we found much better value and warmer atmospheres when we wandered into Greenwich Village or even a few blocks away from the bigger Rds like Park Ave and Broadway.The staff were, without fail, extremely attentive whenever we enquired about something or asked for help. When we return to New York there will be no question about us staying in the hotel again.	
Apr 25 2009 	Could not have been happier with this hotel.	We generally stay in the Central Park South area of midtown Manhattan and decided to try the Giraffe Hotel that was a little further downtown in the Murray Hill area. What an excellent choice it turned out to be. The hotel is attractive and we had a spacious Terrace Suite that was tasteful and comfortable. It also had the largest bathroom I've seen in a New York hotel. The vanity had a sink that was set it an almost 6ft wide granite counter of usable space!The wine and cheese welcome in the late afternoon was simple, but very pleasant. The complementary bottle of bubbly (Prosecco) that greeted us in the room on arrival was a nice surprise. I'd forgotten that when booking the room, I'd checked the &quot;Special Occasion?&quot; question indicating that we would be there for our anniversary.Our continental breakfast of bagels and pastries, fresh fruit, yougurt, cereal, coffee, juice and hard boiled eggs was perfect to start the day.By reserving the hotel on their own webiste and choosing the &quot;PREPAY - Visit soon&quot; promotion, I was able to book a suite at close to what I would have paid for a regular room on all of the booking websites.We'll definitely return to the Hotel Giraffe.	
Apr 14 2009 	Superb - Great Location	If you are looking for a lovely boutique hotel in the heart of Manhattan then this could be the right hotel for you.The staff are very helpful and friendly, the room we stayed in was more than sufficient, a super size, well decorated and very comfortable. Breakfast is a lovely range of cereal and pastries and bagels and unlimited tea and coffee (tea and coffee are available throughout the day.They also serve (free of charge) a selection of cheese and biscuits with a glass of wine in the evening and this is a great way to start your evening off - before a trip to Broadway or the Rockefeller center - or a stroll around the many streets and avenues.The hotel is superbly located with Grand Central Terminal just a few blocks north (15mins) but the great joy is that everything is within walking distance especially the heart of Manhattan. Of course you can still get the Subway or hail a cab for the New York experience - but this hotel is in a great location.Highly recommended.	
Apr 12 2009 	Wonderful	I chose this hotel because it was close to my NY office. The staff was very friendly and courteous. The room was comfortable and clean. Free internet was wonderful. Breakfast exceeded my expectations, as did the evening cheese and wine. I will definitely go back.	
