	Kimberly Suite	We had a two bedroom suite with an outside deck with limited but nice views from the 19th floor. Full compact kitchen, two baths, really nice older hotel. Lots of action by the lobby and out on the street.	
Sep 5 2008 	Great find in NYC	We stayed here for 5 nights with a 2 year old. We had the one bedroom apartment and it worked really well. Heaps of space and great little kitchen. The location is brilliant, easy to get to everything. Made use of the computers in the lobby - cramped but free. Ate breakfast at the hotel and it was ok but didn't appreciate them charging for the 2 year old who sat on our lap and ate basically nothing. Also, I used hotel phone to phone a land line in Connecticut and the charges were exorbident. These were the only negatives. The positives were the location, room size, comfy bed, kitchenette. Really was a terrific place place to stay and would consider it again if we didn't live so far away (Australia)!	
Aug 25 2008 	Outstanding service and accomodations	We stayed here for our honeymoon. We were given champagne and the minibar stock for free. Our room had a balcony with two parts to it. One part of the balcony was enclosed in, so that one can be protected if it rains. The concierge arranged a sunset harbor cruise around Manhattan. The cruise was complimentary for all of the guests. The hotel is located a block from the subway, and is an easy stroll to Rockefeller Center.	
Aug 19 2008 	We chose well	we chose this as it was written up in a guide book as having great family rooms, in great location and not prohibitively pricey...the guide book was absolutely right.We had a one-bedroom suite (i think all rooms are 'suites') which had 2 double beds in the bed room, large sitting room, small but adequate bathroom and plenty of extras (extra sink, microwave, coffee perculator, 2 huge TVs, big fridge, etc etc). Hotel's having a bit of a refurb it seems of some of its room but there was little disruption. Had a light lunch in the restaurant one day and that was very good. Staff were generally very good and genuinely friendly (not just on the look out for tips).Location on East 50th between Lexington and 3rd was excellent. Negatives? Front desk was a bit sullen. Hotel only has two small lifts and so waiting for one takes a painfully long time, however they are in the process of adding a third so this should improve things.Generally really very good and if we go to NYC again with the kids, we almost certainly would return.	
Aug 15 2008 	great hotel!!!!	I would recommend this hotel to anyone! My family brought me here for my 21st birthday and I had the time of my life! New York was one of the most exciting places I have ever been to and the hotel was magnificent! When we arrived they had upgraded us to a duplex suite free of charge! the rooms were beautiful and the beds were so comfortable you completely forget about the bustle of the city and you're asleep in no time! The staff was very friendly especially helping us park, especially in manhattan! Check out the kimberly the next time you're in manhattan im sure you wont be disappointed! and be sure to ask for Ralph the door greeter!	
Jul 27 2008 	If it's Good Enough for a U.S. President.....	Just returned from NYC and a night at The Kimberly Hotel. I've stayed at a lot of hotels in the city, but this topped them all for value. I prefer the intimacy of boutique hotels and this hotel was also incredibly reasonable (comparably priced on most of the websites). The hotel website had much higher rates for the same rooms.Pros:Great location for shopping. Take the E train from Penn Station and you arrive a block from the hotel. Also plenty of cabs in the area.Our standard room was large, quiet and immaculate. Bathroom was average size, renovated with marble floors etc. and shelf space for toiletries. And the air conditioning purred - no clunking as the temperature adjusted. Comfortable beds with crisp, white sheets. And so clean - a great room.The staff is well trained and helpful. I mentioned my concern regarding the noisy rooms by the night club mentioned in some of the Trip Advisor reviews, and the receptionist immediately took care that our room was in a quiet location. Concierge provided great maps and a recommendation for a moderately priced Italian restaurant on 53rd St. between 2nd and 3rd. Felt like the East Village - 10 tables - and very inexpensive. La Gioconda - fantastic food - esp. the crepes with chocolate sauce! Thank you, Lindsay, for that recommendation. Management take note - Lindsay should be your top PR person- charming and efficient!The $10.00 coupon towards the $20.00 buffet breakfast was well worth it. We also had a late lunch there that was excellent.Cons:For the hotel, none. The area, however, was very crowded and rushed, but it is summer and the tourists are spending their Euros. And there are stores everywhere.And should I complain when there is a framed letter from President Jimmy Carter complimenting the hotel? It seems he has stayed there many times.	
Jul 14 2008 	Bargain hotel in Mid Manhattan	Central and safe. Four nights in luxurious accommodation for a fraction of the cost of the well known hotel where we usually stay a block away! Comfortable suite with kitchen, if needed, + balcony and views over Manhattan. Just two minutes walk to St Patrick's Cathedral. An incredibly busy schedule demanded a central hotel and the Kimberly provided all we needed - sumptious bedroom and separate drawing room with cosy sofas, desk and chairs. Printer/fax provided + stack of paper and laptop was up and running immediately + a Business Centre on ground floor. High quality furnishings and fabrics. Staff helpful and polite. Room service fast and efficent. In pouring rain the doorman found a taxi almost immediately - nothing was too much trouble. The restaurant was relaxed and food good. Will definitely use this hotel again, perhaps for a longer stay with teenage children as sofabeds in drawing room and plenty of room for all the family.	
Jun 30 2008 	Loved the Kimberly	The service at the Kimberly is absolutely great! The doorman, concierge and reception are super friendly. The suites are large and for a decent price! Restaurant and bar are also nice and friendly. Location is also good, within serveral minutes you can be everywhere. I will definitely stay here again on my next visit to New York.	
Jun 25 2008 	Best Hotel Ever!!!!!	I loved this hotel!! Most people say the rooms look old fashion.. but they arent and they are really cozy and nice. I really liked this hotel. The staff was excellent and very quick. Whenever I ordered room service they came up right away. I wouldl for sure stay at this hotel again. It is good for all ages. I think that everyone will enjoy there stay at this hotel. The rooms were very nice, and the beds were very comfortable. The pool was so nice and relaxing. I wanted to spend my whole time at the hotel there! This hotel also has very good dining. The food was very good and the service was very quick. I enjoyed my stay at the Kimberly New York Hotel. I suggest this hotel to anybody who is coming with familys and children. My kids loved this hotel!This is a really good hotel!!	
Jun 20 2008 	Cute place but ...	This was our first stay in a boutique hotel and overall we've had quite a positive experience. On the positive side, the staff is excellent, the suites are spacious, and the location is great. On the negative side, the rooms are really dated (ugly green carpets), old and dirty AC units, cheap looking sofa, tiny bathroom. The reception area is very small and would benefit from more chairs (there were only 4) and air-conditioning. There was a construction (a new elevator?) at the time of our visit but we didn't notice any noice. You get $10 coupon for breakfast in the next door restaurant, which we used ones and enjoyed the quality and quantity of the bufet style food.	
May 8 2008 	Not Bad	Not too bad....the rooms were a mix of 4-5 star and a Courtyard Marriott style....the beds were the saving grace as they were soooooo comfy and amazing....the ac didn't work well so at times the rooms were stuffy....the staff was amazing....beyond helpful and nice...we would probably stay again as the price was great for being right in the heart of east side near everything...however we would probably check other hotels first for an over all nicer room...	
May 2 2008 	Brilliant stay! Great hotel.	Me and mom, sister and aunt decided to go to new york. I looked around for hotels that had big rooms with more than one bed!The kimberly suited this! We arrived at the hotel and was greeted by very friendly door men! When we got to the reception they decided to upgrade us from the one bed suite to one of the duplex rooms! So we were very pleased with that! When we got to the room, we were god smacked! It was amazing! There was 2 floors, 2 baths and 2 balconys. Each floor had a king size bed and a wide screen tv. There was a very fancy spiral stair case as well! Over all we were very pleased. It ment me and my sister could leave my mom and aunt to rest while we went upstairs. The location itself was great! Just off 5th avenue. There's a subway just a couple blocks down. All in walking distance with central park, 5th avenue, rockerfella center, empire state building, times square! Right smack bang in the middle.We were given vouchers for the resturant which we used in the morning. There's a lovely buffet in the morning with lots of fresh fruit, pancakes, waffels, french toast, omletes, cereals. On the weekends, breakfast is free! The staff there were also very friendly.If you didn't want to eat out there's a food shop around the corner with a big deli type bar with loads of fruits, hot food, pasta, salads.There's a concierge in the reception also, who are very helpful.All in all a brilliant stay and would def go back!	
May 1 2008	Kimberly 29/4/08	Just returned from NY and will definately be going back but wont be staying at The Kimberly. Nothing wrong with the staff and room but from our room (5J) we had no view and was next to a nightclub. Spent a lot of money of taxi's back and forth to Meat Packing District and Greenwich Village. 7/10.	
Apr 12 2008 	Great rooms and location but lacking friendliness	Arrived at the hotel after a much delayed flight was greeted by very friendly doorman but cannot say the same about the reception greeting. Reception area small and reception staff quite unfriendly.The one bedroom suite was large, clean with very comfy beds. Refurbishment work was going on at the hotel which we were aware of before booking. Whilst there were no major disturbances the workman were using the lifts and on a number of occasions we had to resort to resort to the stairs. We were given money off vouchers to use in the restaurant but we did not use them as thought there were better dining experiences elsewhere. Location was great and given the good size of the suite and room facilities would consider staying again. Hope next time reception staff will be a bit more friendly - it is New York!	
Apr 12 2008 	Fantastic!	My husband and I spent a weekend at The Kimberly for our 10th year anniversary. It was the first time either of us had been to New York City. The hotel was great! The suite provided plenty of space and it is within easy access to all the great sites such as Rockefellar Center and Times Square. You have your own kitchen and there is a market within walking distance for snacks and drinks. The staff is very friendly and helpful. The absolute best feature is the bed. Wow! The mattresses were so comfortable! Nice to come in and relax after spending the day....or night on the town. We would definitely recommend this place for couples or famililes.	
Apr 10 2008	Great location homey place	The Kimberly Hotel is in a great midtown location with lots of other hotels and places to eat, both humble and elegant. I agree with all of the past reviewers, that the lobby is small and pretty, with antiques, but the room was a bit tired. They are in midst of rehabbing, and I bet the newer rooms are spiffier than our suite on the 4th floor was. But it was very comfortable, clean and having a full kitchen was a treat. We were tired after a full day, and were happy to do take-out and eat at &quot;home&quot;.The bedding was really nice and reminded me of Switzerland. The down duvet was covered with fine linens, and not tucked in. The street noise was very loud, but in NYC we expected that. The staff is congenial. We'd stay here again.	
Mar 31 2008 	You only get one chance at a first impression	I’m almost torn to tell you my experience with this hotel as after initial problems we had an absolutely fantastic stay. We arrived tired after the flight from London, and were really disappointed to discover that instead of the one bedroom apartment with two double beds that we’d booked, there was only one bed in the room. No real issue, we thought a quick trip back down to reception would sort out the problem. I can honestly say in all the hotels I have stayed in, the lady on reception was the rudest and most unhelpful I’ve ever come across. She said the hotel was full and she couldn’t move us, and that it was our fault. Quite how I really don’t know but we just wanted to crash out for a couple of hours and her attitude was horrific. As she was barking away I found myself reading a thank you letter on the wall from Jimmy Carter, saying what a great stay he’d had there and how courteous the staff were. Clearly this chick hadn’t been working that day…Anyway, we asked for the manager who turned up 10 minutes later and said he’d put a rollaway bed in the room, and then three of us would share the other bed. Luckily we’re not the tallest girls in the world, and I must say the bed was huge! We were in fact moved from 3E to 29G the next day (boy that’s high!) and a nice bottle of wine was waiting for us with an apology letter from the manager. I was later to learn that the behaviour of this one individual was not the standard the rest of the hotel staff; they were all lovely with a capital L. OK, now for the good bits. We were there for a girlie holiday (ages 22-28) with a mission to celebrate St Patrick’s Day and go shopping. The second room we had was excellent and well equipped with kitchenette, dish washer, iron and board, drinks, snacks, bath robes and wow what a view! We had a problem when the sink blocked one day and rang Hotel Maintenance, who arrived with in five minutes to fix it. As I’ve said, the staff are so attentive (apart from the one awful receptionist) and the doorman Harry deserves a mention. He’s a real star and took complete care of us. The only other small gripe was the speed of the elevators. If you’re on a high floor, be prepared to wait a while then stop at most floors on the way down.The location of the Kimberly is superb, about 10 minutes walk from the shops on 5th Avenue, and with plenty of restaurants nearby (we like Houston’s on 3rd). We also spent way too much time in The Pig &amp; Whistle, also on 3rd (go say hi to Pete and Liam) and PJ Clarkes across the street, which has an interesting oyster bar in the middle of the pub. The area has a residential feel to it and I never felt unsafe, even when walking alone at night. All in all, a fantastic hotel and I couldn’t recommend it highly enough. We were lucky enough to have this hotel paid for us, but I would imagine it’s worth every single penny. Just watch out for that one miserable check in clerk!	
Mar 13 2008 	Good value for a nice hotel	I have stayed here several times. This time I stayed in the Diplomat 2bdr suite. The bed was comfortable, The rooms had nice comfortable furnishings. Flat screen lcd TV's in each bdr and regular TV in living area. A terrace/balcony you can sit out on, but I just went out to check the weather. The hotel is a little old. The heater in each room had issues, but the staff responded immediately and fixed the problems, even on the first night when we got in at 2130. They came up right away.The staff is very nice. The buffet breakfast is pretty good and with the coupons they gave us, a bargin at $6 per person + tip, By the way, I tipped the maids $5 a day, what do other people do?The location is great. Just down from the Lex Ave subway at 50th.	
Mar 5 2008	Wonderful !	My daughter is currently contemplating colleges. In a misguided attempt to dissuade her from going far away in scary (to a mom) New York, I took her for a long weekend to the Big Apple. The Kimberly Hotel was in a great location, the staff could not be more helpful and the rooms were large enough to accommodate a crabby teenager and mother without any fuss. I highly recommend this hotel to anyone wishing to avoid the giant impersonal hotels, as you will have all the amenities and none of the hassle. Awesome Experience!	
Feb 11 2008 	Make sure you get a refurbed room!	We stayed in the Kimberly in November 2006, for a family get together over Thanksgiving. We chose the hotel on location and the apparent quality of the rooms, as shown on its website.When we arrived we were struck by the location, which is excellent, just to the rear of the Waldorf, a short stroll from Park Avenue. The public areas were promising too, done out in quite a stylish manner, but not too glitzy.Our room was a big disappointment. We had booked a suite that gave us a bedroom for my wife and I and a bed-sofa for our two children. Both rooms had small balconies, though the views weren't fabulous. My main problem with the room was that it looked very tired indeed, with loose fittings in the bathroom and kitchen area and a general down at heel feel to it. We phoned reception and asked what the deal was with the room not being like the one we had booked, and were told that only some of the rooms had been rennovated, and that ours was one that hadn't. We asked to see another available room, and were told that there was only one other that could accomodate us, but that it was identical to the one we had already, and was just two floors higher up the building. We grudgingly accepted the room that we had been given.Spending time in the room allowed us to see just how poor it really was. The worst thing of all was that it was a room where whatever you did, you seemed to generate enormous amounts of static electricity, so that whenever you touched anything, a shock ensued. We gave up kissing th children, as each time we were left with stinging lips! One evening I was getting their bed ready in the lounge area, and was unrolling the blankets in the dark, as it was late and we wanted to get them to bed. As I let the blanket open out, I could see a shower of small sparks!Fortunately in the wonderful city that NYC is, we did not spend a great deal of time in the room. However, this was just as well, as it was at best poor.I would rate the public areas of the hotel as a strong 3-Star, but the room a weak 2-Star, similar to a cheap hotel room in France for example.The hotel's restaurant is a dark and uninviting area off the main lobby. We ate there one eveining and had a very good meal indeed. We also tried it for lunch on the day of our departure, and found it just as good.In summary, make sure that you don't get put in the stables, and you will have a gret time at the Kimberley. We can't help feeling let down though, as my wife was very careful to check on the rooms when we booked, and then to be so disappointed on arrival is plain unacceptable.	
Jan 30 2008	Wow...	When I was booking my 10 day 30th birthday treat in New York, I wanted something special and not too expensive. This hotel caught my eye and I was immediately seduced by the traveller photos on tripadvisor. However, although it was very cheap for what it seemed to be offering, it was a little more expensive than other hotels in the exact same area, and the money would only be justified if it really was as special as it looked (tripadvisor reviews vouched for the great amount of space, but as I was travelleing alone, charm and fantasy were much more important to me). I decided that it was too much of an expensive gamble and I went for the safe and cheaper bet of a well known chain hotel in the same area, which had raving reviews. Upon arriving in New York, even though I was satisfied with my hotel, I was curious to see 'The Kimberly' for myself (also since I'd fallen in love with New York, I wanted to check it out for future trips!) The staff were without exception immediately very welcoming, and I was shown around several different types of rooms! The lady that showed me around was obviously very proud of the hotel she worked in (that's always a good sign!). I just had to post this review on tripadvisor for all those who think this hotel is 'too good to be true' when they see the pics on the hotel website, and like me, opt for safer options and never discover the beauty of this rare place. The rooms are even more beautiful, spacious, and luxurious than they look on the website. From the gorgeous fluffy bedding to the luxrious carpet that your feet sink into as you enter the room. And so calm and sunny. I thought that being an appartment hotel it would be full of noisy kids, but actually it has more of a 'couples' feel to it than 'family' feel. It would certainly spoil the feel of the place if there were noisy kids running around, but it doesn't seem to have been designed with kids in mind. A word of advice - they have a mixture of dated and more renovated rooms. Personally, I prefer the dated ones (they're very well kept, and I prefer the charm and character of these), but I know some people would hate this decor, so don't forget to request a more modern renovated room if that's the case (I had a look at one of these too, and they are the same as the pics on the hotel website). As I say, I didn't stay here. But I fell in love with this hotel as soon as I saw it, and I thought that maybe there is someone out there reading these reviews, looking for something really unique and special for their trip to New York, and thinking like me, that it all looks too good to be true... I went for the safer option, and I was very lucky with my choice of hotel too, so I don't regret it, but I just thought this place deserved a special mention, since it really is a very special place in a wonderful location. And hopefully, someday soon, I'll be back here, and will be able to write another review...	
Jan 22 2008 	Awesome	This is an outstanding hotel. The location is excellent and the staff is the best in the world. They were friendly and took time to get to know us. We had a 2 bedroom 2 bath suite and it was more spacious than all of apartments I have lived in. The staff is sooo helpful and recommended restaurants for us that were delicious. I would definately recommend this hotel to everyone and I will stay here again!	
Jan 2 2008	The Kimberly: Best kept secret in NYC	This is the second time I've stayed in this little haven and I can't imagine ever staying anyplace else . It is very quiet, conveniently located to all major attractions, but away from the commotion that some of the larger hotels attract. While the suites don't have designer furnishings, everything is spotless. Staff is very attentive, and without &quot;the attitude&quot;.	
Dec 30 2007 	Great Hotel Alternative In NYC	We really like d the Kimberly. Great location in mid-town right down the street from The Rock. Very friendly staff. Excellent value: 1 bdrm suite with really comfortable king bed, queen pull-out sofabed, balcony, kitchenette. Perfect for family with kids. Will go again.	
Dec 30 2007 	Great suite - location - concierge - balconies!! Very good hotel.	We stayed at the Kimberly in Suite 8 I for 4 nights over the weekend before Christmas. It was a 3 generation &quot;girls&quot; trip including me (a 30 something mom), my 10 year old daughter, and my 60ish mother. Before we arrived Octavio, a great concierge, was extremelely helpful with our planning &amp; arranging transportation. The duplex suite was perfect for us. The duplexes have their own &quot;Kimberly Townhouses&quot; elevator just for the 8 floors so we didn't experience any delays. Upon entering you are in the bottom floor bedroom room with king bed, dining table, fridge, large flat screen TV, closet with safe (nicely done - customized w/lots of shelves), spiral staircase, bathroom, 3 windows, &amp; patio door. The downstairs patio is especially great during cooler weather because it protects against wind with 2 half and 2 full walls. There is an umbrella table w/2 chairs. Up the stairs is an enclosed landing with microwave &amp; coffee maker. Entrances to the upstairs bath and bedroom have doorways so privacy was very good between up and down stairs. The upstairs bathroom is identical as downstairs - mostly marble, good tub (can actually bathe in it!), great robes, &amp; a floor heater. The upstairs bedroom is fantastic! King bed, sofa, flat screen, great closet, large desk area w/fax, &amp; 2 doors to an AMAZING balcony. It is very open with great views of 50th St.E. &amp; has an umbrella table w/2 chairs too - but a lot more room than downstairs. Downsides to the Kimberly..... Problems with water pressure (water went from hot to cold intermittently), problem with upstairs getting hot in the middle of the night (in the winter although heater was turned off), and room service food wasn't consistent - one night had amazing pizza and 2 nights later it was horrible.Good things besides the room details....The location was just a block from the Waldorf but I think we got a better value. Octavio arranged a car service to and from the airport for us that was very good (around $110 for LGA) and a private tour of the city along with restaurant reservations &amp; vip passes. We weren't affected by hotel construction noise, just some street noise. The restaurant, Ferro's is under some construction. We treated my daughter to a great 1st time in NYC-Wicked, Xanadu (highly recommend Stage Seating-it was amazing!), American Girl Place, Tavern on the Green, Met.Museum of Art, Radio City, Top of the Rock, Sardi's, Mars 2112 (amazing experience esp. for kids-not so great food though), &amp; the View Restaurant @ Marriott Marquis. We were so happy to come back to the Kimberly each night!	
Dec 26 2007 	Great Service and Location	We stayed here Dec. 20 to 23. Glad to say both elevators are now working. Never an issue. The location is great and the staff very helpful except on the last morning when we could not get anyone to answer any phone and send up a bellman for our luggage. We were in room 5c which could use some updating. The chair backs at the table were broken and it just seemed dated. My girls were very excited when they entered the lobby and then disappointed when they saw our room. The bed however is one of the most comfortable I have ever slept in. Would definitely stay here again for the extra room, location and friendly staff.	
Dec 21 2007 	We loved this hotel	We had a long weekend in New York to celebrate our sons 18th birthday.Picked a 2 bed suite at the Kimberly as it was cheaper than booking 2 twin rooms. Room size was excellent with plenty of room to move about. Beds very comfortable, bathrooms small but functional.I think others say that the place could do with a re-fit. I guess that is true, but it certainly doesn't detract from the charm of the place.The massive LCD tellies were a little incongruous and you could argue that the money spent on them would have been better spent on new curtains, but again, i think that would be harsh.Simple fact is that its a comfortable, friendly hotel, in a great location at a reasonable price. What more do you want?	
Dec 19 2007	Great Value for Prime Location in Mid-Manhattan	This was our second visit to the Kimberly, an all-suites hotel. We brought our children so we had a two bedroom suite, with a great view. The location is wonderful and the price was very reasonable considering its location. Obviously, this is not the Waldorf (which is only one block away) but it's great if you have your family with you and you want a kitchen and lots of room.	
Nov 27 2007 	Great Rooms Good Location Pricey	Very nice 1 bedroom suite in a great location near shopping and subway. Staff very friendly. This was a business junket, so we didn't have to pick up the tab. I think it was around $400/night. I could never afford to stay here on my own, but it was fun for just this one time.	
Nov 23 2007	Great Location Comfortable Hotel	We are 3 ladies who stayed at the Kimberly for a 4 night sight-seeing and shopping trip. we shared a one bed suite which had a huge bed in the bedroom and a pull out bed in the sitting room. The suite also had kitchen facilities although the gas supply had been disconnected for security reasons, but as all we wanted to do was make tea, coffee and toast we didn't care. We all felt extremely comfortable. There was no bar in the hotel which didn't worry us but it had a restaurant which we didn't use as we liked to try restaurants in different areas of the city each night. However next door is a great little diner for breakfast brunch, or a snack!The staff were excellent, very obliging, nothing was too much trouble. The room was cleaned daily with fresh sheets and towels, the bathroom was adequate rather than large but was more than made up for by the bedroom &amp; sitting room.The location was brilliant, just a short walk to St Patricks Cathedral, the Rockerfella Centre and Fith Ave. (If you do nothing else in New York go to the Top of the Rock)!! Be prepared to travel for decent, reasonably priced restaurants as it is mainly expense account dining in the area so is quite pricey, we had great fun trying different places to eat and had mixed fortunes but thats all part &amp; parcel of it. We didn't use the subway at all only taxis and had no problems and we felt they were good value. Just watch out between 5-6pm as they change shifts and can be hard to find. We would definately recommend the Kimberly if you want a comfortable hotel with no frills in the centre of the action!	
Nov 15 2007	A delightful stay!	My husband and I spent three nights at the Kimberly Hotel and it was wonderful. Our room had a living area and a bedroom so we had plenty of room to stretch out which is unlike most hotel rooms I have stayed in New York. It was very clean and had lots of closet and drawer space. The two TV sets solved the every problematic fight over the remote control!It has the most comfortable beds that I have every tried and enough fluffy pillows to feel like a queen. What most impressed me, however, was the service. It was superb. We were always addressed by name when entering or leaving the hotel from the moment we checked in. Best of all, two weeks after we left, we discovered that we had left two shopping bags of clothes that we had purchased at Bloomingdales in one of the closets. I called the hotel and they had them in the mail to us by the next day and not one thing was missing. The only problem was that one of the elevators was not working so getting up and down was quite slow but the service and comfort of the Kimberly hotel more that made up for that glitch.	
Oct 28 2007 	fantastic hotel	I am just back from a stay in NYC and stayed at this hotel for six fantastic nights. One of the best things was the staff, they were all so friendly a special memtion to Harry the door man he was a true gent and always was happy and very helpfull.The hotel was in a great location with Smith and Wolenskys just around the corner and Mint resturant right across the street, both fantastic eating places.Four of us stayed at this hotel myself , husband and our 17 year old daughter and 14 year old son, we had a one bed suit, and the only thing we had to do was request two pull down beds for the living room as the sofa bed was very uncormftable, however this was certainly not a problem and there was plenly of room for them. the bed in the bedroom was very cormfortable.I would throughly recommend this hotel and when I go back to NYC will def stay there again. It's location was fantastic and very safe at night, the rooms were all cleaned to perfection.	
Oct 28 2007 	Excellent hotel - would return.	Stayed here for 5 nights and we were very happy overall. The only hitch when we were there was our friends got stuck in the elevator which was very scary for them, but was taken very lightly by the hotel.The elevators seem very old and seem to break down frequently. I believe that they should be replaced.Other than that were were pleased with the hotel. It's a great location.Laura	
Oct 19 2007	My Favorite in NYC	I've stayed at the Kimberly a couple of dozen times over the last 15 years. It's my first choice of hotel in NYC and I stay there whenever I can. For the price of a 5 star hotel room you get a full suite with very comfortable bed and a lovely living room, just like an apartment. (It was actually built as an apartment building.)The staff is excellent and some (including Kevin, the doorman) have been there since I started staying there in the early 1990s.The only drawbacks: the elevators are slow, it's a bit tough to catch a cab in front of the hotel (I usuall walk two doors over to third ave) and it can get a bit pricey in high season.But it's luxurious, updated, clean and very comfortable, in a perfect location.	
Oct 8 2007 	Loved the location	This hotel was exactly what we were looking for. With 2 teenaged daughters, we needed a two bedroom w/ 2 baths. The bonus was the living area and small kitchen we used for snacks and breakfast. The price is better than gettting two hotel rooms at a similar property. The subway is 1.5 blocks away and covenient to everything NYC has to offer. We were on the 29th floor with views of the Chrysler building - we heard no traffic noise this high up. The staff (especially the bellmen) were very friendly and helpful.The only negative is that I have to agree with other reviews that the rooms and baths need to be refurbished. The only thing updated thus far are the flat screen tv's. It is not a fancy hotel, but suited our needs and space requirements.	
Oct 8 2007	Great hotel but......	We recently booked two suites for a long weekend. The rooms are updated, beds very comfortable, large, bathroom average. One suite had no air conditioning from either a/c unit for two nights. The other suite lost a/c from the unit in the bedroom for one night. While everything else looks very nice, a/c units look (and sound) very old and unreliable. Staff very accommodating.	
Oct 5 2007	A patchy experience	The location is very convenient, the staff was very helpful and courteous but the hotel itself is definitely in need of upgrading. Our room on the 18th floor was large and would have been great except for the feeling that it hadn't been maintained or refurbished in years. I also didn't feel that it had been cleaned very well. The bathroom especially is in need of work. And a more modern air conditioner that lets you sleep wouldn't go amiss.	
Sep 17 2007 	Awesome beds!	Looking for a central, comfortable hotel in midtown? You can’t do much better than The Kimberly. Rooms were larger than average, staff very accommodating, beds are just awesome! Huge and very comfortable.Little noisy at night with traffic, even though we were on the 8th floor but where in NY isn’t? We didn’t eat here at all but the place is surrounded by great restaurants and cafes so you won’t go hungry. 5 mins to the main shopping areas and 10 mins walk to Bloomingdales.Will definitely stay here again!	
Sep 6 2007 	Home away from home	Loved this hotel! Our apt. suite was more than I could have hoped for. I have made many trips to N.Y. city and stayed in quite a few 4 star hotels. This by far was the best. Every day that I returned to my suite I felt like I was coming home to my own apt. instead of just a plain hotel room. The livingroom combo kitchen was big enough for a small party. The bedroom was bigger than most 4 star hotels with more than enough room as not to feel cramped. Both rooms had windows that took up an entire wall. Great open feeling. The balcony was to die for. It was really nice to be able to have my morning coffee sitting on the balcony and looking up at the sky. The maid service was excellent. Very clean. The resturant is some of the best Italian food I have ever had in New york. I have found my home away from home.	
Aug 24 2007 	Rooms nice elevators performance bad	Suite was very nice and the beds extremely comfortable. Good location within walking distance to Rockefeller Center, Times Square, Central park etc. We had a nice dinner at Fretto's next door and a good buffet breakfast there too. Doorman was very pleasant and helpful as were the concierges.Only 2 complaints. Room was noisy from all the air conditioning units on the roof below us. Worst of all was the situation with the lifts. Typically one of them was not working so the other was over used by 29 floors of rooms. On our last day we waited about 30 minutes for the lift to stop on our floor to take our cases etc to check out. Major rehaul of the lifts is sorely needed	
Aug 4 2007	Wonderful Hotel	I was referred to the Kimberley Hotel by a good fiend who said the location was great and the kitchens were a nice addition for snacks, drinks and anything else you could want while staying in a hotel. She was right. The location was awesome. Almost everything you need is within walking distance. You can pick up fresh produce and grocery items 2 blocks away, there is a liquor store across the street from that. Bars, restaurants, shops, everything you can imagine is nearby.But the best part of our stay was the beds! I have never slept in a more comfortable bed in my life! We had a two bedroom suite with one king bed and one queen and they were both heaven to sleep in.The staff was very friendly and helpful. I would highly recommend this hotel.	
Jul 6 2007 	great Hotel lovely staff	We are a family of 5, 2 adults 3 children. I chose the Kimberly after reading reaviews on trip advisor. This hotel was great. We were all in a suite 1 bedroom. The room was spotless, the conciege staff were fab especially ralph my kids loved him. I found New York over whelming and very busy. the hotel in in a great location.	
Jul 5 2007	Great stay at The Kimberly	One of the nicest hotels we've stayed in. The staff was most accomodating and attentive. The rooms were lovely, the bed was wonderful. We were in town for our daughter's wedding and had booked several rooms. Upon the last check-in there was a slight miscommunication, however it was immediately taken care of. The location was very convenient, yet quiet. We will absolutely return to The Kimberly.	
Jun 25 2007	A Small but Lovely Hotel	My sister and I stayed at the Kimberly for one night. It was lovely. The beds in the rooms were ultra comfortable. The rooms are equipped w/ safes and even an room alarm, so I felt very safe. The staff was professional and nice, especially the doorman.All in all, I was very satisfied with the Kimberly and would stay there again.(By the way, Jimmy Carter has and continues to stay at the Kimberly when he goes to NYC. Posted at the front desk is a framed letter written by Carter in which he lauds the hotel).	
Jun 23 2007 	Wonderful hotel were it was safe to walk at any time	We stayed here for our 20 anniversary and found the location to be fantastic. We love to walk and were located less then a 20 minute walk from Time Square, Central Park or Grand Central Station and just around the corner from Rockerfeller Center and lots of shoppping. It did not matter the time of day we walked we always felt safe compared to other areas of Manhattan. There were door man at every hotel in this area as well as alot of extra security due to all the diplomats staying in the area. Our Room was 6I and had a large dressing area and bathroom plus sitting area with 2 queen size beds. The beds were very nice with nice cozy feather comforters. The umberllas in the room were a nice touch to bad we didn't take one with us on one of our walks. The concierge was knowledgable and helpful but Rolph the doorman was great recomending little pubs and getting taxi or limos.	
Jun 1 2007 	Good Boutique Hotel	We have recently returned from a 4 night stay at the Kimberly. In short the hotel is slightly dated and in need of some refurbishment. However this should not detract from staying there. The reception staff were efficient but where this hotel comes into its own is the doormen and the concierge. Each of whom were absolutely fantastic. I am very lucky as I work in the travel industry and get to see many countries and stay in some very beautiful hotels but I have to say the guys on the door were so courteous and the concierge very knowledgable it was a pleasure to be greeted by them when coming back to the hotel after a busy day. The suite itself was very clean and tidy but as stated a little dated. The only area for complaint was the bad attitude of one of the bar staff in the restaurant one young girl in particular. She really let the hotel down with her very poor customer service. Not in keeping with the rest of The Kimberly staff! Excellent location for all areas and close to the subway. Walk down out of the hotel a few blocks to where you will find some excellent restaurants Italian, Seafood and French all very reasonably priced.	
