	Quiet Haven Amidst the Noise	We celebrated our wedding anniversary with a trip into NYC and enjoyed the quiet of the Ritz Carlton. Our room was on 6th Avenue, but we were able to see Central Park. The room was spacious, spotless and serene. The service is impeccable. This hotel is highly recommended!	
Jul 24 2008 	Very Luxurious	We booked this hotel for 7 nights through British Airways for a cost of around £2400 for 2 adults. Our room was very spacious - we had booked a standard room but I think we were probably given a larger than average room. There was a small lobby area to the room and the bathroom was perhaps the largest I've ever seen! Nothing was too much trouble for the staff, who were fairly consistently excellent (with the exception of one waitress in the Star Lounge who hurried everything and was quite rude). The hotel decor is tasteful, and the relativley small lobby and reception area gives the hotel a personal feel that other five star hotels often lack. My only real complaint is the exorbitant cost of food and drink if you eat in the hotel - other than that, our stay was almost faultless.	
Jul 18 2008 	Incredibly beautiful	Room beautifully decorated, view of Central Park was stunning, bedding was soft and comfortable, shower pressure was great, service was consistently friendly and helpful, internet connection was fast, a/c worked well.The service desk accommodated my request for a particular room and my late checkout request with no problem at all.The (head) concierge and the room cleaner (who told me about her son) were especially friendly and helpful.Thank you for a great stay...	
Jul 18 2008 	Great Experience	Just returned from a great trip to NYC. Spent the first two days at the beach, and the last two nights at the Ritz. From check in to check out, everything was flawless. We arrived early, greeted by name, and offered fresh coffee. We had a room overlooking the park, well laid out, spacious and very comforting. We found the proximity to major attractions a bonus. we basically just scratched the surface, but left fulfilled. We picnicked in the park, went to Whole Foods in the Time Warner building (two blocks) and grabbed some items. The staff at the Ritz were very well mannered and approachable, we felt right at home.Until next time, we look forward to another delightful stay at the Ritz Carlton Central Park.	
Jul 16 2008 	Nice Valentine Weekend	My husband took me to New York for a valentine weekend get away. He had it all planned out from hotel, to dinner, shopping and piano concert. We stayed at this Ritz Cartlon with a room the overlooked the park. It was a beautiful traditional hotel and the service was excelent as with all the Ritz Carlton's I have stayed in. The rooms are big and elegant yet comfortable. Great hotel for a wekkend get away.	
Jun 27 2008 	Better than the Ritz?	Just returned from a quick 3 day stay at the Ritz Carlton Central Park, Celebrating my wife's 40th birthday and her first visit to NYC.Check in was quick and extremely efficient. We were greeted by name and offered a cold bottle of water, which was appreciated after a long cab ride. We arrived on the red eye from L.A. at around 9:45 and were immediately allowed to check in. Now that may not seem like much to some, but to us, it meant everything and got our trip started off right.The room was very clean and pretty much what one would expect from a Ritz property. This is NYC and one should not expect huge rooms, but it was large enough, spotless and well appointed. Having stayed at 5 star properties/resorts around the U.S. and abroad, they did a very nice job living up to the hype.The location is superb. Across the street from Central Park and in walking distance to just about everywhere as long as you are a walker. We walked to St. Patricks, Rockefeller Plaza and the theater district. Subway stations are within 2 blocks in every direction. There is a really nice Whole Foods Market 2-3 blocks to the west at Colombus Circle where you can pick up the fixings for a nice Central Park picnic lunch.For tour seekers, there is a Grayline bus stop (double decker)right across the street at Central Park So. as well as the Hansom Carriages. The concierge desk was very helpful with tour/admission tickets as well as some great dinner suggestions. We dined at Scalinatellas, a great Italian restaurant with impeccable service and food in a quaint location. We took a 5 minute cab ride and strolled back in about 15 minutes. Great call Abraham. We also dined at Del Frisco's Double Eaglr Steak House, again at the request of the Concierge and were not disappointed. Great atmosphere and a very friendly bar/server staff. Great steak, and very large portions. Definitely a wonderful experience. Again kudos the the RC Concierge staff. Again, at the advice of the concierge, we had a very nice breakfast at the BLT Market, located in the hotel. Great Service and delicious pancakes. I read these reviews and try to extract the pertinent information about the property in question, so as to make an informed decision when I travel and or stay at new locations. In turn, I try to write reviews which are also on point. Don't go to the Ritz if you are worried about spending a few extra dollars. We spent $75 on last minute dry cleaning and the service was fast, the clothes were well handled, pressed and cleaned. This is to be expected and I was appreciative of the service. Don't complain about the use of the Business Center, just ask questions first. It aint free, there is a fee. If you choose not to use it, DON'T.Lastly, we were extended a late check out until 2:00 PM and the Bell Desk held our luggage whicle we went to the most venerable of all locations in NYC, Yankee Stadium. Upon our return, we were offered the use of the roomy bathroom facilities tochange. I would have preferred the use of the shower facilities at the Spa, as most Four Seasons allow, but all in all, this was a great stay and my wife and I offer you much thanks and gratitude.Howard, L.A.	
Jun 21 2008 	six towels what for?	Good location. Having had large company discount I still had to pay 500 USD pp for 1 night for a deluxe room. It was airy, nice bathroom (shower&amp;bath, toilet was separated). The bed was way too soft, the aircon was extremely noisy.In the business centre, 10-min internet costed 10 (!) USD. Ridiculously pricey. The staff was pushy even in US terms. 6 towels for a single placed in the bathroom, simply unnecessary. No breakfast befor 6am even no room service before that time.No amenities, no fruits, water, ect in the room that you would expect from such a hotel (like in Four Seasons).	
Jun 13 2008	Absolutely perfect experience at the Ritz	I have a bad habit of not writing reviews when a hotel experience is perfect, but after referring to the Ritz Central Park in writing two other NY hotel reviews, I realized it's not fair to proclaim how wonderful the Ritz was. The service at every level was absolutely impeccable. Our room was beautiful and comfortable, with every amenity we could want (my only complaint would be the charge for Wi/Fi access; I really think that should come gratis nowadays). The room rate included use of the club floor, where refreshment is served all day long. Really handy, and nice to sit there with views to the park. I don't know how they manage that every single staff member knows your name, but they do. And they really make you feel welcome.	
Jun 9 2008 	Trouble with Gift Certificates	My family and friends for my 60th birthday (Feb. 2008) bought me 15 gift certificates to the Ritz Carlton for the expressed purpose of staying at this hotel. Check in May 24, 2008 and am told these are no longer elligible to used at this property.On the back of this cerificate the hotel is clearly identified as one of the participating hotels in the Ritz program. When they were purchased the only hotel they were intended to be used the Central PArk location. Now what good are they? I can return them and get the money back but what of the original intent? A birthday present lost.Ritx Carlton has lost my business and I want every one to know be careful when purchasing git certificates to this hotel.	
May 22 2008 	Impeccable Service	Having stayed at our share of five star hotels, we were not sure what to expect from the Ritz. We went to Cancun last year and stayed at the Tides. Having had our own personal butler, we did not know if we would find the same level of service here. We were not disappointed! Check in was seamless, we were personally shown to our room. The bottles of water provided with the turn down service was much appreciated. While, the hotel was plush - although our room was a bit small, but probably a good size by New York standards - what stood out was the level of service. The entire staff seemed sincerely gracious and helpful. In fact, my husband got sick from a meal that we had at a surrounding restaurant and the staff came to our rescue. After cleaning up the sink in the restroom, housekeeping would not even accept a gratuity. I had to practically shove the gratuity in her pocket! We utilized the limousine service a couple of times, and the car was always punctual and waiting for us. After checking out, we noticed that there had been a duplicate charge on our bill. When we called the Ritz, they had actually self-audited and corrected the charge themselves!! We were quite impressed with that level of attention to detail. Overall, it was the details that made our stay so memorable. We definitely plan on staying at this Ritz on our next trip to NYC.	
May 20 2008 	Fantastic Stay at the Ritz	We recently booked a 5 night stay at the Ritz Carlton Central Park through American Express FH &amp; R progam. Although we did not receive an upgrade at check-in, we were notified of an upgrade the next morning to a lovely room overlooking Central Park. The bedding, bathroom amenities (Frederick Fekkai), towels and service were wonderful. The hotel is well situated for walking to Fifth Avenue and Madison Avenue shopping. We loved walking through Central Park and enjoying some quiet time away from the hubbub of the city. Breakfasts were delicious and we were able to take advantage of our &quot;free lunch&quot; amenity by requesting a picnic lunch to go. Friendly doormen as well as efficient front desk and concierge service all added to our very pleasant stay at this lovely hotel.	
May 5 2008	Yes it is	Yes it is a lovely hotel, for New York. Stayed there during a short stay in New York in April 08. The location is difficult to beat... rooms are very comfortable and well equiped, overall a classy hotel. Paying a little more for a view of Central Park is worth it in my opinion.Receptionists and consierge helpful and simely.Have stayed on a prior visit at the St. Regis ... however I find the Ritz Carlton a more interesting place.Did not eat at the hotel	
Apr 16 2008 	The Best of the Best!	Nobody does it better. The Ritz-Carlton Central Park has mastered the perfection of its art. If you can only experience it once, it's worth a life-time of waiting. Thank you Ritz-Carlton.	
Apr 10 2008 	Great rooms and attentive staff	The experience from checking in to out was amazing. The staff was truely there to enhance the luxery experience of the Ritz Carltons already premiere standards. Our room overlooked Centeral Park, the bedding was very comfortable, the room including the bathroom was extrememly clean. Location was key to us for restuarants, shopping, and sightseeing. There was a great deli- grocery store 2 blocks away with wine and beer etc... I cant wait to stay here again. Excellent	
Apr 2 2008 	Great place	Wonderful stay for a family of four. Excellent, sincere service. the prices in the bar are a high, but not unexpected. Our suite was very nice, well appointed and well laid out. All in all, it was actually a bargain as New York goes.	
Mar 8 2008 	Anniversary Vacation To Remember!	This hotel was fabulous! We went for our 10th Anniversary and were treated like royalty. The room was luxurious and the service was above and beyond all expectations. The extra cost was well worth it. The only down side is that we are so spoiled, we don't know if we would be satisfied staying anywhere else in NY!	
Feb 20 2008 	Lives up to the Ritz name	Have stayed here on a number of business trips with my husband. The service and location can't be beat. The rooms are a bit small, and some of them facing the inside shaft have no views whatsoever (keep those blinds closed!) but it is definitely a bastion of plush relaxation from the busy, crowded, smelly streets of New York. And the service is great, I look very young for my age but have never experienced anything but the friendliest and most respectful service from the staff.	
Feb 14 2008 	The best in NYC	The Ritz Carlton Central PS has been by far the very best experience I have had in NYC. My usband and I have been coming to NY once a year for a week for the past 10 years. We ahve tried many 5 star properties but none of then managed to achive such a wonderful combination of location, beautifull room, beautiful bathroom and service.We were upgraded to a prak view room on a low floor (8) but it was more than good enough.. we were just above the tree line but the sensation of space, day light and openness was wonderful.Although I am a travle agent and love to try new properties, I think I have found my home in NYC. If you are considering paying a little extra for the park view.. GO FOR IT !! It worth it.	
Jan 29 2008	The Only Place Stay in NY	My husband took me to New York for my 40th BDay and we stayed at the Ritz Carlton, Central Park. This hotel is hands down the best hotel we have ever encountered. We are well traveled and stay in 4 or 5 star hotels consistently. We have stayed at many Ritz Carltons, but the Central Park location is simply outstanding. The hotel limo picked us up from the airport and upon arrival we were greeted by name and I was wished Happy Birthday from most of the staff. They upgraded our room, had complimentary champagne sent each evening, rose petals covered the bed and champagne and desserts at the restaurants we dined (compliments of the Ritz). The spa is to die for and I was given a bag full of products to take home. There was never a time that we were not greeted by name from the staff and throughout the weekend I was consistently asked if I was enjoying my birthday stay. The room was exceptionally clean and tended to and trust me that coming from me says a lot. The BLT market is fabulous and the hotel bar is fun and a good people watching place. I never wanted to leave and actually teared up when we did. Thanks to the Ritz Carlton Central Park, I was able to enjoy my 40th and feel like royalty. The pampering is never ending. We are already planning a trip back with our entire family and even though it is pricy, we would never stay anywhere else in NY. Go and enjoy!	
Jan 23 2008 	Great location for shopping	My husband and I stayed at the Ritz-Carlton for 4 days in December. It was a great location for shopping ! The hotel was very busy which meant the lobby bar was always full to bursting and it was difficult to get a table. We had a suite and it was lovely with an incredibly comfy bed and a big, well fitted bathroom. The spa was slightly disappointing - my massage was OK but the waiting area was very small and felt dated. This is definitely a hotel where the location counts for a lot and it's probably best to just use the hotel for sleeping - it's not a place to spend time in its own right.	
Jan 13 2008 	Impressive as you expect for a Ritz	We stayed in December for a business/pleasure trip. We traveled with our 3 year old daughter. The staff was incredibly nice and helpful, especially with her. For example, front lobby staff would watch her while I got stroller, etc ready to get out the door.The rooms do see a little dated for a Ritz, however it was very clean and the housekeeping service was great.We stayed in a room that allowed club level access that had a lot of free perks. I highly recommend booking a room with this access. There was food, drinks (water, soda, wine, tea, etc) out all day. This was great with having our 3 year old along. Very easy to stop in for snack on our way out or way in. Each night was tapas with sushi, cavier, etc. Very high end. We normally eat out when in NYC, however since we had our 3 year old we ate the majority of our meals here.The club access also has a conceirge. They were very helpful and knew our names from the first time we stopped in.I also become sick during the trip and the hotel doctor was fantastic. His office is very close or he will make a house call if you are too sick to travel to him. Fortunately, I had an ear infection so it was easy to stop by his office.We are planning on staying at the Ritz again this week and hope for the same wonderful, welcoming experience.On a side note, we stayed at the Peninsula on our prior trip and while as impressive, I did not find the staff as welcoming and our bill was not correct. It took over an hour to fix and there was another couple at the counter with the same problem.	
Dec 28 2007	Heaven in Central Park	This was the most amazing hotel stay my husband and I could ever imagine. We stayed here using a Gracious Getaway certificate which includes an interior room (no view) and breakfast in the morning.We arrived at the hotel right at 3:00 p.m. and Wenny told us that our room was available, but that they would like to upgrade us to a room overlooking Central Park, complimentary. We had to wait about 15 minutes, so she found us a place in the swanky hotel bar. We drank $19 glasses of pinot noir, and were happily surprised when the hotel paid for them!! The hotel bar was unbelievable, and the staff was better than we could have expected, even for the Ritz. These people know how to treat guests and were just amazing.When we got up to our room on the 22nd floor, we had a breathtaking view of Central Park. The room was gorgeous. We took a bubble bath together in the oversized tub while listening to Tony Bennett Christmas, one of the cds available in the room. The American Breakfast in the morning was delicious. The meal came rolled in on a table and we enjoyed breakfast overlooking Central Park.This was a night to remember and I recommend this hotel above all others I've stayed in New York City.	
Dec 11 2007 	Friendly staff	We stayed at the Central Park Ritz-Carlton the week after Thanksgiving and had a wonderful time.Check-in:Unfortunately, they only had one person at the front desk at the time we checked in, so we had to wait several minutes for him to help us. But the check in process was extremely speedy.Room:We were given an &quot;interior view&quot; Superior Room, which is essentially a window that faces a brick wall. The room was pretty large, compared to other New York hotel rooms I've stayed in. The bathroom was especially spacious and had both a soaking tub and a shower. The bath products were Frederic Fekkai and the toilet even had its own room, which I loved. The bed was extremely comfortable. The only complaint I have about the room is that there was no iron or ironing board.Staff:The housekeeping staff were great! We never saw them, but they visit your room twice a day. Once in the morning for the usual cleaning, then once in the evening for turndown service, complete with chocolates on your pillow! The concierge staff was friendly, though extremely busy. When we went down in the morning, there were three of them all working at full capacity. The doormen are very helpful and anytime you leave the hotel, they tell you to have a wonderful day/night. The only staff that was not friendly was the waitstaff in the lounge bar. She was not very helpful to us when we were looking for a table.Service:Room service was prompt and efficient. The restaurant downstairs is pretty busy and they recommend you have reservations, even for breakfast. We had to use the business center once, but the business concierge was not there, so it was confusing as to how to use it when no one is present. But eventually someone helped us and we didn't get charged for the internet usage or printing.Location:It was lovely to walk out the door each morning and have Central Park right across the street, though the smell of the horses can be a bit overwhelming. There are two subway stops within one block, which made for easy access to any other part of town. It's a short walk to 5th Avenue, which made window shopping a breeze. You just need to plan ahead and leave with plenty of time if you are taking the subway to mid-town for a show.Check-out:Checking out was easy and painless and we were out the door quickly. The doorman was extremely helpful in getting us a cab to the train station.Other:I have heard that the Central Park Ritz has a complimentary Bentley that can be used to take you short distances, but the couple of times we wanted to use it, it was already booked. It is first come, first served.	
Dec 7 2007 	Returning guest ...because it cant get better in NYC!	Once again, top notch! Well worth the money (and its a lot!). Ensure you get a room as high up as possible - stunning views at dawn when with European jetlag you lie awake staring out across the trees! Only draw back is hotel lacks a fine dining 'option' and as such no glam breakfast room either. But space is limited in NYC and this hotel, as far as luxury &amp; location go, is top!	
Nov 19 2007	5 stars	I've stayed at many different Ritz Carlton's now, and I gotta say that I'm most impressed w/ the level of service from their Central Park Staff. My parents who have been married for 35 yrs were celebrating their anniversary this past weekend, and several staff members went out of their way to say a nice word of congratulations to them. I thought that was classy. The club level staff is absolutely stellar, clean rooms, etc... Will definately stay again.	
Nov 3 2007 	Great Service - Small Hotel	I agree with all of positive comments about this hotel in previous reviews. I love Ritz Carlton and do not intend to suggest that this location does not live up to Ritz standards. However, there are some important characteristics of this location that you must be aware of which may or may not be an issue for you.I kind of expect that the staff will bend over backwards for your every need at these prices, and they do. However, that doesn’t mean that they do so for free. They will get you whatever you want, whenever you want it, and charge you 4 times more than anywhere else. I have never appreciated the significance of extraordinary service at extraordinary prices. What impresses me is extraordinary service at moderate prices.I realize that complaining about cost when one is staying at a Ritz is silly, but this Ritz is more costly than any other Ritz I have stayed at. I just want to prepare anyone who is used to paying $15 for a cheeseburger at a typical Ritz for the sticker shock; they are $29 here.Also, I did NOT pay the premium for the Park View. I was in the Superior Room ($995/night) for 5 nights that was supposed to have a courtyard view. A courtyard view here means brick wall. I realize that this was my error, since I could have paid 50% more for a view. So if you don’t want to see a brick wall, pay for the view. Otherwise the rooms are beautiful, comfortable and the bathrooms are huge. I had no problems with noise on the 6th floor.But the prices and lack of view aren’t my real concerns. The reason I would not return to this hotel is that this hotel had virtually no common areas to speak of. The lobby and the adjacent lounge are small by any standards (about 40 chairs). Their is a small bar that is really a common corridor that leads to the hotel's only small restaurant. That's it. The grand tour will take you 3 minutes. It reminds me of a nicely appointed apartment building where there is a small lobby and elevators. So the only thing we used our room for was a home base. When we came in, we went straight to the elevator to our room. When we left, we walked straight outside. There is noting to see or do inside this hotel (they do have a spa and meeting rooms on other floors).The lack of common areas in the hotel may not be a factor for many of you. I realize that many travelers would say that they come to NYC to see the sights, not the hotel. But why can’t you have both? Particularly at these prices. I like my hotels to be destinations unto themselves. If it is raining (like it did one day during my stay) I want an oasis from the storm. Here, there was no place to sit because the chairs in the lounge were full of people escaping the rain.For example, The Plaza is right next door and is about 6 times the size of the Ritz and has large common areas and probably similar levels of service. I can make example after example of nearby hotels that are bigger, but I realize they are not Ritz Carltons. If I had it to do over, I would have stayed at the Marriott Marquis in Time Square, which I realize is a whole different experience in the middle of the hustle and bustle. The bottom line here is that the Ritz is not much of a destination as far as hotels go. The reason to stay here is the great service, Central Park across the street and its proximity to many great attractions.	
Oct 17 2007 	Luxurious and pricey!	We just got back from a fabulous stay at the Ritz Carlton. We were there for the weekend and pulled out all the stops for a 10 year anniversary celebration. My husband coordinated everything through the concierege who could not have been more helpful; cars to and from the airport, helicopter rides, roses, spa appointments, restaurant reservations, show tickets, etc. They were extremely helpful and most everthing exceeded our expectations, great seats for dinner and the show, amazing spa treatments, use of the hotel's Bentley, etc. When one of our actitivites didn't work out and my husband complained about having to take cabs to and from, only to find out it had been canceled, the concierge apologized and reimbursed my husband for everything (including the cabs) immediately and without a fuss.The Ritz was impressive: You are offered champagne and hors d'ouvres while checking in, the person who checks you in shows you to your room, they sent up a little anniversary present and also gave us one at the spa, there's a lovely turn down service, the staff knew our names, we needed to have some clothes pressed and they turned it around in a couple hours, etc., etc. It's right across the street from the carriage rides in Central Park, down the street from the Time Warner center and around the corner for FAO Schwartz, Barney's the rest of Fifth Avenue shopping. The park view deluxe view room we booked was big, traditional and nicely appointed with a huge bathroom. (Although for $1200 a night it would have been nice to have had two arm chairs.) The rooms look as though they were recently redone, ours had a very fresh feel to it. The staff was extremely courteous and accomodating. As I mentioned above, my husband coordinated all our activities through them. However, you are paying for service like this. When we got to our room for the first time, my husband, who is an appropriate, but not overly generous tipper, noted that he had already spent about $100 tips. (We had only been in New York for 2 hours!) (For the entire trip, and, admittedly we had thrown caution to the wind a little bit, we spent at least $500 on tips alone -- and we're not over tippers!!)I received the best massage of my like at the La Prairie spa and also enjoyed a very good facial.Room service is beyond the pale expensive. Breakfast for two was a jaw-dropping $200. Safe your money and have breakfast and the lovely BLT Market off the lobby.Despite being extremely expensive, we'd do it all again. It's a fabulous special occasion treat!	
Oct 12 2007 	Fabulous hotel perfect location but very expensive.	The Ritz Central Park is a beautiful absolutely top notch hotel. It's literally across the street from Central Park, near Times Square, and just blocks from Madison Ave. and wonderful shopping. But it is pricey! We spent 4 nights at the Ritz 10/6-10/10. The first night we had the cheapest room (which was $995 a night!). It was decently sized and beautifully appointed, but a little small given that we were travelling with a toddler who needed a crib. The next three nights we stayed in their smallest suite, which was huge and lavish and wonderful. I am not sure why anyone would need a larger room. It had a completely separate living area (where we put the crib), two bathrooms and a king bedroom. The bedroom was on the interior of the hotel so it didnt have a view, but was very quiet. It was $1595 per night.The living room also stayed amazingly quiet given it faced the Avenue of the America's. It had a partial view of Central Park.The staff was very helpful and attentive and I have nothing but good things to say. They treated our 20 month old with cheer, which was nice at such an expensive hotel.We ate room service for breakfast. We ordered a pot of coffee, one of tea and the chilren's pancakes. This came to $95! Luckily there are about a mllion places very close by (including Mickey Mantle's Sports Bar - great for kids) to eat for much more reasonable prices.If I could afford it, I would always go back and stay at the Ritz.	
Sep 23 2007	Wonderful Experience	Everything was perfect. I have nothing but great memories of my stay. The view, the service, the bed, the bath, the food, the location.	
Sep 22 2007	Exceptional	As a part of a luxury two centre holiday [for our honeymoon] we booked the Rita Carlton via Virgin Holidays. Now we are not seasoned travellers though we do expect to receive a certain high grade service from 5* establishments. The hotel from the outisde looks unimposing when compared to the Plaza, however, it is well situated for Central Park and 5th/6th Aves. This is a smaller but no less luxury hotel which really excels in 1 to 1 customer service. The lobby areas are exquisite as is the lounge and the lifts up to the bedrooms. Upon our arrival we were warmly received and informed that we had been upgraded to a 'park view' room which was very nice. Our stay was for 4 nights and as the hotel is located right at the foot of CEntral Park this makes it an ideal 'base' from which to explore this great city. The room was luxurious and spacious with a superb bathroom. As you'd expect you do also get the added value of thick and comfortable bath robes and toiletries. The room benefited from a large TV, DVD and mini-bar though I would avoid this as the prices are just plane 'silly'! Being British, it is often the small touches that appeal and we especially liked the free shoe shining service and free newspaper [delivered to your door each AM]. The air con was effective and easy to control. The views across the park were outstanding.This IS a luxury hotel and the hotels facilities have prices to match but as you are centrally based in one of the busiest cities in the world, you will probably only spend a limited amount of time in the room. I think because of it relative small size, good location, and 'quirky' feel this will appeal to British tourists looking for something a little more sophisticated and not just a plain travel lodge type affair. The hotel lived up to our expectations.Enjoy!	
Sep 11 2007	Ultimate New York Hotel	My wife and I spent an anniversary here last October, and the experience still resonates with me. We frequent many top hotels and high quality Inns around the world, but the New York Central Park Ritz is most definitely one of the best. Accommodations were wonderful, top notch. I love the security factor at the elevator with the electronic key card elevator access. It made me feel very secure in the Big Apple. Jake, the concierge, was fantastic in getting us reservations at the last minute to Daniel's on Broadway and Nobu, and we were treated very well at these fine establishments. it's evident that the concierge at this hotel has influential pull at the finest restaurants in New York.The location of the Central Park Ritz can't be beat. the view of the fall foliage from our hotel room was breathtaking. The hotel is only a short walk to all the shops on Madison Ave. High Tea service was wonderful. All in all, it was worth the price. Our room was about $750 p/night midweek, plus we tallied over $1K in incidentals, including the la Prier Spa on the premise.Wonderful stay! As k for a suite with views of Central Park!	
Sep 7 2007 	Five Star Disappointment	My husband and I love to travel and love the Ritz Carlton - we pay the premium for what is supposed to be five-star premium service. We had a wedding to attend in NY and we had looked forward to staying at the Ritz NY CP all year. On the first evening, Sat., we stayed in with the DND on the door - housekeeping respectfully left us alone, but left a card stating they had attempted turn down. So far, so good...The next day, Sunday, we again relaxed in our room all day with the DND and left for the wedding around 4 pm. We called housekeeping to tell them we would be leaving so they could take care of our room. We left around 4:10 and removed the DND. We returned to the hotel at 2 am AND THE ROOM HAD NOT BEEN CLEANED - no cleaning, no replacement towels or toiletries, no refreshment of the minibar, no turn down, nothing. Not even a card stating they had attempted to stop by. My husband called the night manager who was apologetic and offered to take &quot;fresh towels&quot; up to us. Since they had about 10 hours to do that, we declined.The next day, Monday, we complained to the assistant manager. Again, very pleasant and apologetic fellow. He stated that housekeeping had noted our DND sign. We said we had called AND removed the DND sign before we left the room around 4 pm. We understand that at a 5-star hotel, they won't enter your room with the sign on, so we are careful to remove it when we are away.He offered to upgrade us and/or give us a discount - we responded that we don't stay at the Ritz to save money, we go to the Ritz to be pampered and taken care of. That's the point. We left to go shopping and as is &quot;normal&quot; our room was cleaned. We then returned and readied ourselves to go out to dinner around 7:30 pm, removing the DND from our door before we left. We returned around midnight. Again - no turn down card. What we had was a voicemail (?!) stating that they had &quot;tried&quot; to give us turn down but that there was a DND on the door. Patently false. If they had bothered to simply walk by the room, they would have seen that.We have stayed at 6 Ritz Carlton hotels, of these - NY and New Orleans (we stayed in 2004) were the worst in terms of service. We were extremely disappointed that there was a complete and total breakdown in service and instead of making sure it did not happen again (or at all), we were blamed - &quot;You had a DND on the door&quot; - for their lack of attention. For 2 nights in a row, a simple walk down the hall would have revealed no DND sign on our door or, alternatively, accurate records by housekeeping noting that our room had not been cleaned/turned down.Since the Ritz is a chain, it has a responsibility to offer its guests consistently excellent service. Average or &quot;Ok&quot; service that we experienced at the Ritz, especially the Ritz NY, which one would rightfully expect to be a bit of a standard bearer, is unacceptable. Given the fact that NYC is full of luxury hotels we have other choices - we won't be returning to the Ritz NY. If you enjoy true luxury travel, we suggest you spend your money elsewhere while in NY. The Ritz NY CP simply is not worth the money.	
Sep 3 2007	Has spoiled me such that I have trouble staying in other hotels.	I have stayed here during most of my visits to NYC since moving away from NYC in '04. I am a native of Brooklyn but have lived in Manhattan for 15 years prior to having to move to the midwest. I return as often as possible. Quite simply, I cannot stay in other hotels. My work takes me to other cities and despite trying to find &quot;the 1st choice&quot; or best hotel, I am always disappointed. The staff at Ritz-Carlton CPS is dedicated, responsible, courteous and attempt to anticipate needs often very successfully.The rooms are spacious (I always stay in Park View), well appointed, in outstanding condition and spotlessly clean. They actually do look like the pictures on the website.The food is very good for hotel food and during my most recent stay they were re-doing the restaurant but still served a full menu in the lobby lounge.The security is outstanding with security staff at the entrance and card entry to both the floor and room a guest is assigned to. The location is perfect for tourists and business travelers as it is centrally located and the staff at the door are very helpful in getting taxi's even at difficult times for catching a cab in NYC. Also, public transportation is nearby.The tea service is wonderful and I adore the clotted creme. A long time ago I developed a habit of requiring &quot;heaps&quot; of clotted creme whenever I have a &quot;creme tea&quot;. Something the Ritz was not initially used to providing but now understands what I mean by &quot;heaps&quot;. The server's for the most part do an excellent job hiding their surprise regarding how much clotted creme one can get on a scone. But they accommodate me and remember from visit to visit my special request for &quot;heaps&quot;.The spa is so peaceful and clean and relaxing. The services are very good. The staff is soothing. And Rachel. She is the most nurturing person I have ever met in a spa and I am a spa junkie. She is like a dotting mother while you are with her and she gives the best pedicure in the whole world. Plus advice not to let anyone else clip your toe nails because she knows no one can do them as well as she can and she is right. Don't miss it. I had to miss her once when she was out ill after she had a fall on the subway but really all I cared about was her well being and not because of the pedicure. She just brings out good will in others. Which again speaks to the special staff at Ritz Carlton CPS. Her pedicure, alas, will also spoil you for any other pedicure because hers is the absolute best.Check-in and out is a breeze. I have never had problems. Special room requests have been met whenever possible and when they weren't the staff tried to make it up for it in some manner.The concierge staff will do anything possible for you. And no matter what celebrity is staying there (and there is usually some celebrity) you will only know it if you happen to see the celebrity entering or exiting or if there is a crowd outside the hotel waiting for a glimpse. But everyone is treated like a celebrity or more accurately all guests are treated the same. I always feel pampered beyond belief. The staff make me feel &quot;special&quot;. However, I am impressed that they do treat everyone alike.Room service is adequate. The food is good and really the only problem is that the food is luke warm by the time it gets served. But the presentation is lovely and they do not make mistakes with the order. The tray or table is collected within minutes of calling them. I have never seen a tray just set outside any guest room waiting to be picked up.Most importantly, I was concerned that in the few years I have been staying at this hotel things would change now that Marriott is the owner. However, not a thing has changed and I hope that Marriott continues to attract the outstanding staff at the Ritz Carlton CPS. Marriott is lucky to have the dedicated professionals they have attracted. It is truly a special hotel. A destination in and of itself in a city with plenty of competition for destinations.	
Aug 16 2007 	Loved!!!!! Ritz Carlton Central Park	My 2 best friends and I stayed here for 4 nights in July. We really love this place! Upon check in we were greeted by Ender who is fabulous. We then were escorted to the Club lounge as our room wasn't ready. We frequented the lounge several times during our stay and always loved the services of Kahn, he's so attentive and helpful. At the door we would always get a &quot;good morning&quot; form Felix, and an umbrella when it rained. We loved the concierge George, who helped us out on rainy days!The rooms were awesome and of course the bathrooms were to die for.Upon our departure, the club lounge fixed us a &quot;to go&quot; box to eat lunch at the airport.I highly recommend this marvelous hotel.	
