	FIRST CLASS ALL THE WAY	Stayed at the Bryant Park Hotel for a quick overnighter with my friends. The room was gorgeous, bathroom was beyond amazing, and the amenities offered were first class.After running around the city looking for a fun place to go, we ended up at the Cellar Bar and were mad that we didn't come earlier! Music was great, crowd was fun, and the staff was very nice and funny.Only downfall was the &quot;late night&quot; menu -- food was obviously microwaved, but what else can you expect at 3 a.m.?	
Jan 16 2009 	"Great Hotel" loved it!	Fantastic hotel, Front desk staff was excellent. Room was great, as well as the amenities offered by the hotel. I will def be back next time I'm in the city.	
Jan 3 2009 	Fantastic Base For A Fantastic Stay in the Big City	We read the reviews of this hotel before we booked and based our choice of hotel on Trip Advisor. The hotel was as good as we expected. It was our first trip to New York and the polite, helpful welcome we got from the receptionist was in welcome contrast to the abrupt immigration officers and taxi driver who said no more than ‘where to’? The room was perfectly clean and reasonably spacious considering we chose the most basic room. The bathroom was very plush and sizable. The room was basic but had all the essentials you may need. On our first morning the hot water wasn’t working so I rag down and there was someone in our room and the problem fixed within 30 mins (this was 7AM on Christmas Day!) this service in the UK is unheard of!All staff were more than helpful, polite and considerate but the best thing about this hotel is the location, it is right in the middle of all of the tourist hotspots. If you were staying for business thought it is a bit of a trek downtown. I’ll be recommending this hotel to every one but would suggest you pay a little more for a room with the view over the beautiful park just across the road.	
Dec 30 2008	Highly recommended	We stayed at the Bryant Park for several days just prior to Christmas. Our room was spacious and had pretty good views, although we had not specifically requested a view, which made our stay that little more enjoyable. The room was of a good size for NY and was very comfortable, and the bathroom was of a high standard. Staff were friendly but professional and discreet, and the Cellar Bar is a cool place to enjoy a drink. Our one word of advice would be to consider pre-booking a transfer (e.g. limo/taxi) if heading out of town, as the Bryant Park is in a crosstown location and getting a cab from right outside can be a drama during rush hour (is it worth including this in the in-room hotel guide?). Overall, a great stay and we can't wait to return!	
Dec 19 2008 	Bryant: the Best in service	Was happily surprised about the friendliness of the staff (after all, this IS New York).I ordered room service and a glass of wine with the order. The gentleman who delivered this and I do apologize since I didn't catch his name was extremely friendly and interested in my conversation. I realized after he left that my wine was not with the order. He immediately returned, apologetic and provided a bottle of wine from the in-house dining people. He didn't blame the omission on anyone and really made the mistake a win for me by his nice attitude. I loved the ambiance, the view of Bryant Park with ice skating rink front and center and will happily book with them again. Fran Waite	
Dec 15 2008 	Really expensive Hip Hotel	We had a good 3 nights stay in The Bryant Park Hotel.However i can not understand the raving comments about this hotel.Pros:Good quality room, we had a Junior Suite with two double beds, they were really huge, also room really spacey, bathroom well equipped, nice big tub.Location is very good, one minute away from 5th avenue, but other hotels like Sofitel, Marriott Residence inn have an equal location.Cons:Not a single bottle of water provided in the room as a gratuity. We payed 625 Dollars for our room to find our that a small Evian would cost 12 bucks?! Thats really annoying.If you forget toothpaste: you have to buy it from them for a fortune! No breakfast incl in the priceThe view of Bryant Park is only available from a few rooms, ours was promised to have a view but then you really have to stick your head out to see the Park.Reception and Concierge staff were quite helpful but did not go the extra mile and i think they were acting quite a bit too cool for a hotel of that category.Dont expect a five star service. The hotel is for people that are mostly into fashion and hip and cool stuff.	
Nov 29 2008 	Good Hotel. Nice Room. Nothing Exceptional. A Safe Bet!	Came in from NJ for a romantic weekend with my wife the day after Thanksgiving. Black Friday in NYC is not for the weak! The city was jammed packed as were the stores, but the hotel was VERY quiet. We checked in on Friday after making a last minute reservation on Weds. We were able to upgrade to the Bryant Park Suite which was very large for any hotel room, especially for a NY hotel. Christian the reservations manager was great to work with and helped us out tremendously. The room had a sitting room, and 1.5 baths. Nice glassed in shower and very large tub in marble bathroom. Bed was not huge nor the most comfortable to sleep on but it was ok. Room was very stark with a white color theme. In fact I don't think there were any photos hung on the walls! Our room overlooked Byant Park which was quite nice especially with the ice skating rink below. The location of this hotel cannot be beat as its sits right in the midle of the city at 6th and 40th street. I actually expected something more exciting, cool, different, etc. but this was just a nice hotel. Very good but not headturning! Nothing you'd write home about which is the only negative thing I'd say. We'd probably stay somewhere else next time for something different but this is a safe bet!	
Nov 28 2008 	Location Location Location	Stayed here for a week in a Deluxe Queen room. We got quite a good deal directly from the hotel. After a gruelling 18 hour flight from Hong Kong we called the hotel to ask if we could check in early (it was 7am) and luckily they agreed which we were very impressed with. The normal check-in time is 3pm which quite frankly I think is ridiculous!The room itself was a decent size but very dark as the window was small and we had a side-view of the park. However, the bed was REALLY comfy with a flat screen TV which unlike most hotels was at the right height and the right size for the room. The bathroom was large with Molton Brown amenities and a well pressurised shower. As some previous reviewers have mentioned this hotel is only for fans of minimalism. The best thing about the hotel would definitely be the location which is in mid-town which is convenient to get everywhere in Manhattan.The only slight negative is that some of the hotel staff forgot to smile in an effort to look cool. I guess that's the price of cool. Despite that, I would definitely stay here again.	
Nov 18 2008	My favorite hotel in New York	I am a frequent traveler and a sucker for good hotels. For the last six years I have visited New York once a year and stayed at many different hotels. This year I found my hotel. The Bryant Park has everything one can wish for. Beautiful architecture, excellent beds and the linen floats around you. The room has a big beautiful bathroom, with large and thick towels. The Hotel has an excellent location, only a few minutes walk to the theater district, half an hour stroll to SoHo and Central Park. The Bryant Park is just opposite the hotel, with a beautiful garden and in the winter you can go ice skating. The staff was superior and knew exactly how to take the best care of their gests.All of you looking for a good hotel, treat yourselves well and stay at The Bryant Park, you won’t be disappointed. I had to prolong my stay because my husband got sick. The stay that could have been very difficult became easier for the sake of the friendly staff at The Bryant Park. We were upgraded to a suite and I felt like a Queen, with a beautiful view over all Manhattan. The hotel staff became our family and did everything to make our stay as pleasant as possible, under our circumstances.I don’t have to look any more for a hotel in New York. I will stay at The Bryant Park hotel next time I visit. Matthildur, Iceland	
Nov 13 2008	A Great Room Overlooking Bryant Park	We travel to New York several times each year, and haveenjoyed stays at a variety of great hotels in the city. Ourvery recent stay at the Bryant Park Hotel, though, was easilyone of our very best.We were given a great room - a 'junior suite', overlooking the Park - an upgrade, though we'd reserved at a bargainrate. The room was very spacious and comfortable, withup the minute furnishings. The bath, with large, separateshower and tub!, was also large, commodious, and well-designed, something very unusual in New York.Wonderful, helpful, cheerful staff. And, of course, what aterrific location, on Bryant Park.	
Nov 11 2008 	Perfect	There are few things in New York that make me as happy as a park view room in the Bryant Park Hotel. In the supper the green trees and grass provide a calm dychotomy to the busy city, and in the winter the ice skaters seem so peaceful. The rooms are fantastically modern and minimalistic. The service is fantastic, anything you need is just a phone call away. If you stay multiple times the hotel staff even remembers your name when you arrive. I love this hotel. (the breakfast in bed packages are a great way to get room service, a late check out, and a great room, all in one)	
Nov 11 2008 	Great Hotel in Central Manhattan	This was my second stay at the Bryant Park Hotel, and it was every bit as good as the first. The rooms are spacious, clean and comfortable. The room service is discreet and unobtrusive. The location of the hotel is excellent -- it's midtown, very good for seeing the sights and getting to locations all over the city. I was travelling alone and needed a nice, quiet room in the city. My room didn't have a view, but it was a good place to be in all other respects.I recommend this hotel unreservedly.	
Nov 10 2008 	Best Boutique in NYC	My 4-year old and I have stayed at the Bryant Park Hotel twice recently (and I've stayed there alone on business) and I am in complete agreement with his review, &quot;Dad, can we stay here every time we come to NY&quot;? I've been to several dozen hotels in NYC in recent years from the highest end to the best budget. Bryant Park has a great location, rooms that are a perfect blend of elegant design and real comfort and attentive but not intrusive staff. The rooms over the park offer a peaceful view of a quintessential midtown city landscape.The staff is exceedingly friendly and efficient. On both recent visits we have received a complimentary upgrade without requesting it. The bathrooms are large and as well-furnished as the best hotels. And the beds are so comfortable that sometimes I wish we weren't in New York with so many things to do just outside the front door.	
Nov 10 2008 	Best in Manhattan	I work in the travel industry and have stayed at many different hotels in the New York area. Most offer small rooms, noisy environments and long walks to most of the main sites.The Bryant Park Hotel had none of that. The staff was unbelievably pleasant and accommodating. The rooms were large, comfortable and spacious. Most of all, it is centrally located; with beautiful views of the park.I would definitely return to this hotel and look forward to recommending it to everyone I know. It truly is a gem of a hotel and rates 5 stars in my book.	
Nov 5 2008 	Loved The Bryant Park Hotel	I am lucky enough to have travelled all over the world on business enjoying the best in service from the most exotic locales. I was thrilled to find this gem of a hotel right in my backyard of Manhattan, centrally located in midtown. I stayed there for a celebratory weekend with my boyfriend and the service was impeccable from the moment I arrived. The staff is ready and willing to help you with any need or concern. The room — a junior suite — was huge by Manhattan's standards and had great views. Plus Koi, an amazing Japanese restaurant, is right downstairs. (Get the Crispy Rice!!!) I would definitely recommend this hotel to anyone.	
Nov 5 2008 	Excellent weekend in NYC	We stayed at the Bryant Park Hotel during a long weekend in New York to celebrate our 20th wedding anniversary. We made the booking directly with the hotel, which unlike others we had spoken to, was flexible and willing to offer a really attractive package. We ended up with a junior suite and, as I had stressed I was keen to make this a memorable weekend, they put us on the 17th floor where we had fantastic views. To mark the special occasion, the hotel said they would provide complimentary champagne – when it didn’t arrive, I spoke to the receptionist the following morning and she was very apologetic. Clearly, this was just an oversight and it arrived on the second evening. The room was really great – quite minimalist and super trendy – with a large bathroom with separate walk-in shower and large bath. The Bryant Park is deliberately stylish and may not suit those with traditional tastes; however, we found the service attentive and not too formal. In particular, the concierge was very helpful in securing reservations at a couple of top restaurants. Other than the separate Koi restaurant and bar – which we didn’t find time to visit – the public areas are small and functional and limited to the reception and concierge. This wasn’t a problem for us as we wanted to see as much of the city as possible, rather than hang around in a hotel lobby. When you start looking for a hotel in New York, the sheer number of options is daunting. The first thing you have to decide is which area to base yourselves in and, although we liked the idea of staying in a trendy neighbourhood, we decided that as we were doing a classic tourist weekend taking all the main attractions, we needed to be uptown. The Bryant Park is in a great location because it is within walking distance of so many of the places you will want to visit – Top of the Rock, Grand Central Station, Empire State, Theatre District etc. – and is within half a block of the subway. Even though it is just two or three blocks from the frenetic hubbub of Times Square, the Bryant Park Hotel is situated in a relatively calm street between 5th and 6th Avenues and, of course has the benefit of the leafy oasis that is Bryant Park itself just across the street.Finally, an anecdote to restore (or indeed confirm) one’s faith in human nature – when we got to the room, we realised that in our jetlagged state we had left our duty free shopping (perfume, cosmetics, wine etc.) in the yellow cab that brought us from JFK. This was not a great start to the weekend and my immediate reaction was to put it down to experience and write it off. However, I realised that I still had the receipt from the cab and saw it had the cab’s unique 4 digit medallion number. So, as a long shot, I called 311 to get the NYC Taxi and Limousine Commission (TLC) and gave them the cab number. Whilst I was STILL ON THE LINE – the lady at the TLC tracked down the cab, called the driver on his mobile phone and asked him to drop off the lost property back at the hotel. We were very impressed at the efficiency of this and (needless to say) thanked the driver with a decent tip. It turned a potential disappointment into a memorable start to a great weekend.	
Nov 2 2008 	great service	I ,like many others, really enjoyed our stay at this hotel. It was my first time in NY and i was travel with my twin children aged 11. As i was quite nervous about gettng out and about the staff were extremey helpful whenever I asked questions. The icing on the cake as far as the staff were concerned was that my daughter collapsed with de-hydrated one morning in our room. I called receiption and within a few mintues a doctor was on the telephone suggesting she should be taken to hospital.I panicked but didn't need to worry. within five minutes two membersof staff knocked on the door telling me an ambelance was on its way and did i need help. Everyone was so efficent!!. We finally returned some hours later to be greeted by a lot of the staff all checkng we were ok. When we got to our room there was a ballon say &quot;get Well&quot; plus a big teddy bear in a box! and a card sgned by the staff.The checked every few hours to see if we needed anything and there after always made sure we had plenty of water in the room. The front staff checked everyday to make sure my daughter was ok. I don't know of any hotel that would give this kind of service!!!!!!! I would like also to mention the door staff wjo were excellent. I would like to thank Darren Sumner who oversaw everythngThe other big bonus is in the park opposite the hotel, every Friday in the summer they have free concerts. The week we were there it was Usher!!	
Oct 31 2008 	A Brilliant Hotel	Let me start by saying this hotel is one of the best customer focused establishments I have ever stayed in and I have been fortunate to stay in many 4 &amp; 5 star hotels. Not only do they have an excellent approach to new guests but they raise the bar even further to repeat customers.My friends and I stay in this hotel when we make our annual trips to NYC from Ireland. On our first visit, we stayed in a 2 Queen Bed Junior Suite with terrace and had such a wonderful time that we booked the same hotel for our visit this October. The restaurant Koi serves the most delicious Japanese food and the bar/hotel is young and trendy which was perfect for 3 young girls!This year we wanted the same room however it was nearly twice the price as what we paid in the previous year. I contacted the hotel directly on the chance they could reduce the rate slightly and even if they just provide us with a room without a terrace as this would be more cost effective. Within a few hours I heard back from Chris Jevas, the reservations director. Not only did he reduce the rate but he matched it to what we had paid last year and included the terrace.A few days before we arrived, Chris emailed to apologise as the terrace was unavailable due to restorations and he reduced our rate by a further $130 per night. When we arrived in our hotel, we got the usual warm greeting and the concierge had all of my restaurants, clubs and limo transportation booked. One of the other conierge even remembered me from last year and was able to recall certain stories and requests!My friend and I went up to our room to unpack where room service brought up a lovely bottle of wine as compliments from Chris. We were so taken aback by all of this as we have never expected such appreciation to repeat guests.I am now making a repeat visit to NYC tomorrow and I contacted the hotel again. Surprise, surprise I was given a deluxe room with a view (I only asked for a standard room) with a $200 reduced rate. Not only this, but they said I could cancel any time without incurring a penalty.This hotel is just wonderful and it is the staff (concierge, front desk, room service, door men, cleaning staff and of course Chris!) that make it so. I will say it might not be to every taste as it is trendy and there is no real lobby. In addition, the only restaurant is open for the evening and serves Japanese which might not appeal to everyone. But this hotel is simply wonderful and if you want excellent service, beautiful large rooms, a young and funky atmosphere, a great dinner, excellent location and an extremely comfortable bed then look no further.	
Oct 29 2008 	Loved the small touches and the mystery envelope!	This was my first trip to New York and I was fortunate enough to stay at the Bryant Park. Having travelled the world I'm well aware that finding a decent place to stay in the city can be very hit and miss, however this hotel exceeded all my expectations.It was very &quot;boutique&quot;, fashionably kitted out and provided us with everything we needed. The staff were courteous and friendly, (although we would have appreciated some more inspired recommendations for breakfast rather than the nearest tourist traps) and always on hand to deal with any queries. We didn't get a chance to experience the &quot;additional items&quot; in the mini bar, although we did have fun trying to figure out exactly what was in the mystery envelope. You'll have to stay here to find out what though! It was these small touches that set this hotel apart in my opinon from the bigger chains.Unfortunately I didn't get a chance to check out the restaurant (Koi) or Cellar Bar - but both looked popular and lively and this is something I would definitely check out next time in town.We were fortunate enough to get some pretty good rates at this hotel, but it is worth the money for the unbeatable location and quirkier feel compared to other similarly priced hotels.	
Oct 22 2008 	Fantastic Hotel	Great hotel - such a good location and the staff were so fab! Got upgraded for free and felt very looked after. Booked by HotelRes Ltd in Cambridge, England.Definitely recommend to others wanting a great experience.AND I AM HARD TO PLEASE!! :)	
Oct 22 2008 	An Amazing Weekend	We are going to make this an annual trip to NYC. The hotel did everything right from meeting us at the door, to bringing us Champagne, to making sure everything in the room was just right. It was worth every penny and I would look into staying at the hotel. We picked one of the weekend packages which were nice because most of the other hotels we looked at didn't offer anything like this.	
Oct 20 2008	AWESOME	MY family spent the weekend here for my 50 bday. we were treated like royalty. three awesome rooms all with park views. darren and somer from the front desked took care of all our needs and chris from sales made sure it all went smoothly. this hotel blows away any hotel in nyc.	
Oct 17 2008 	My new favorite hotel in NYC	I come to New York from L.A. about 4-5 times a year for business, and have stayed at virtually every &quot;hipster&quot; hotel the city - from the Soho Grand to the Royalton. The Bryant Park Hotel is by far the best! The service was unparalleled, the room extremely comfortable and the location very convenient for my fashion/market appts. My room was outstanding - had a gorgeous view of the park, huge windows for lots of natural light, and was very quiet. They also have a good-sized and well-equipped gym, which is open late.I'm not only planning on staying here exclusively for all of my future trips, but I'm going to host a few of my clients' appointments in the suites that they rent out for events. I definitely recommend!	
Oct 15 2008 	nice hotel but wished for more....	After researching forever and deciding on a different hotel, I noticed a great last minute deal for the Bryant Park and was able to cancel the other res. and book this hotel. I had looked all through the reviews and pictures and knew this was going to be a really deluxe place to stay. We loved the location, Bryant park is beautiful and the architecture of the building is amazing. Check in was great and everyone was very accommodating and friendly. Checked our bags early and explored most of the day. Our room was 1102 on the back of the building and had no view whatsoever (I know, I know, not every room can have a view). The room was huge (especially by NY standards) the bathroom was really large too. OK, it is my own fault for not mentioning that we were on our anniversary trip...perhaps we would have had a better room. Now not to be a complainer but just to point out a few of the negatives (in my own opinion.of course)...The bed was really, really hard. I have a platform bed at home usually they have a nice thick mattresses on this type of bed. I even like sleeping on futon mattresses but this bed seemed more like sleeping on a cheap box spring type mattress..Some other review mentioned that the room seemed sparse and boring (my thought upon reading this is well, they just dont like the modern/contemp style) but upon staying in the room I also felt like it just needed some more style, some art, a red bedspread....something to make it seem more modern and chic than just sparse. Again, not a big deal just my opinion.Lastly being from Seattle (starbucks headquarters), I really really would have loved to have coffee in the room in the morning or at least available in the lobby (which there really isnt any sort of lobby). We tried to order cappucinos next door at the italian cafe and ended up with 2 black coffees...finally found starbucks on the other side of the park.So all in all it was a nice place to stay for the rate of $300 but I cant imagine paying $600+ for this room	
Oct 14 2008 	Bryant Park Rocks!	The staff @ Bryant Park are very attentive to detail and seem genuinely concerned with your satisfaction during your stay. They accomodated all our needs in a pleasing way. We enjoyed the Cellar Bar downstairs, too, and felt like we made friends in all arenas of the hotel.	
Oct 14 2008 	Nothing Beats the Bryant Park Hotel	Without a doubt, the best hotel in the city. I travel to the city often and have stayed in many of the fine properties in NYC. They Bryant Park is quietly elegant, and the service is first rate. The room was immaculate, comfortable and very spacious. The location could also not be more perfect. Since I am from LA, I was excited to see that KOI was also there. Excellent! I am hard to please, and I highly recommend the Bryant Park Hotel!	
Oct 7 2008 	Awesome Suite in NYC	We recently stayed at the Bryant Park Hotel for two nights. This was our 4th time staying at this property and we love it everytime. We had booked a junior suite and were upgraded to a full suite at check-in. The suite was on the 17th floor and faced the park. It was a one bedroom suite with a dining/living room combination. Each time we have stayed at the hotel I always leave there talking about the rain shower in the bathroom. It is not the most luxurious bathroom but the shower is incredible. The water pressure is the secret to the shower. I have traveled all over the world and have been to numerous spas and this is by far the most relaxing shower around. So after spending the day walking around Soho and the rest of the city it was extremely relaxing coming back to the suite and having a great shower. The staff at the hotel is very friendly and professional. This is a fashion/celeb hot spot and we are so not apart of that crowd. Even though we are average people we always felt welcome by the staff. We ate dinner at KOI, which is in the hotel, and found the food to be outstanding.This hotel is pricey;however, the location and the overall experience made it worth the expense. When we return to NYC we will stay there once again.	
Oct 5 2008 	Loved it	My boyfriend and I just returned from a 1 night stay at the Bryant Park Hotel, and we absolutely loved the hotel. We stayed Saturday night, and were looking for a fun, interesting hotel with a good, central location. The staff was courteous and they even upgraded us to te junior suite. The room was huge, and not even just &quot;NYC big&quot;- it was USA big! And, it seemed that everytime we left the hotel, someone took notice, and everytime we came back, someone had tidied up our room and left us something special. Oh, and anything that you could possibly want you will find either in your hotel room, or on the phone. Luxury shampoo, intamacy kit, even white castle could be delivered after hours (for a price). We will definitely stay at the Bryant Park Hotel again.	
Oct 1 2008 	Best Hotel in NYC	My husband and I stayed at the Bryant Park Hotel for a weekend getaway. We have stayed at numerous properties throughout the city and was pleasantly suprised at this hotel. From the moment we checked in, the staff was very accomodating and nice. We were upgraded and the room was very impressive.We will be staying at this hotel in the near future and want to pass on this experience to anyone looking to stay in NY.The hotel was in an excellent location and the park was my favorite spot to sit and have coffee in the mornings.	
Sep 28 2008 	Great room and location!	We stayed here for a wedding during Labor Day weekend. The lobby was chic and red. I really loved the decor. The rooms were tiny but comfortable and modern. I like the huge flat screen tv and the location. The club downstairs was nice to have a cocktail before turning in. We ordered room service and it came within 25 minutes. They had White Castle hamburgers on the late night dining menu. $22.00 for 6 of them. Worth every penny to have them delivered hot to your room. They give you a discount on parking if you get your ticket validated at a certain garage referred to guest. That was a plus.	
Sep 25 2008	The Rudest Staff Ever	I was meeting someone at this hotel and sitting in the tiny lobby waiting and I observed the rudest staff treatment of a member of the public i have ever seen. this man, nicely dressed, came in to meet someone staying at the hotel. he asked to use the restroom and was told the one in the basement was closed and the one on the second floor was only accessible to registered guests. The security guard was aggressive and hostile. No customer service or graciousness here. Then I went and complained to the manager and they proceeded to defend their security guard, who then came over and started telling me I said something to other guest about using the other bathroom, which is not what I said. I told the other man he should talk to a manager. Well we both talked to a manger, the head of security and he didn't seem to care. They were just rude people. I sure will NEVER stay at this hotel.	
Sep 17 2008 	Safe Clean and Courteous	I needed to find a Manhattan hotel for seven employees (including myself) from Canada. Some only stayed a few days, others needed to stay on for three weeks. Because there was a group of us, I decided to try phoning hotels within a certain radius because the hotel rates listed on websites were astronomical. After two days of phoning I called The Bryant Park Hotel. What a find! Despite it being Fashion Week, they gave us a reasonable price. When I first walked into the Hotel upon arrival I was a little worried because of the &quot;nightclub&quot; feel of the lobby. Once I saw my room, my fears disappeared. Besides being very stylishly appointed, the room was clean, comfortable, and the bathroom was gorgeous. As it turned out, The Bryant Park hosted several of the fashion functions but that affected our stay very little. We just flashed our hotel &quot;keys&quot; and were whisked through the crowd at the door toward the elevators. I am a woman and tend to feel nervous staying in hotels alone. Not so at The Bryant Park. I always felt safe. I didn't get a chance to eat dinner at the Koi Restaurant but some of my co-workers did and said it was fabulous food - especially the fish.The hotel has a booming nightclub in the cellar but I never heard a peep from my room. It was nice and quiet. I believe they knew we were working so they put us at the back of the hotel where our only view was the brick wall of a building. However, when one of the fellows wanted to change to street view, that wasn't a problem. Overall a very positive experience.	
Sep 15 2008 	Worth the Money	Normally I don't like to spend a lot of money on a hotel room but felt like splurging this trip. I am glad that I did!! The staff was extremely helpful and professional. The room was a good size. The room had lots of extras (seating, stationary, printer and keyless keyboard, sound machine, stereo, and I can go on and on). I liked the fact that there were not only glasses in the room, but wine glasses and champagne glasses as well. I left my watch when I checked out and actually received it back! The location is great! Just staying in the hotel has enough entertaining for one night between Koi and The Cellar. Very Posh. When I asked a bunch of questions to the entertainment planners, they gave great suggestions and made my trip with the things they suggested. I would definitely recommend this to any friends going to NYC. The location is amazing too!! All around a great stay.	
Sep 15 2008 	Amazing Location Great Staff Mediocre Rooms	Stayed there for a recent weekend trip. The location is PERFECT, and within walking distance to theatres, restaurants, bars, and shops. Staff also was very nice. Guests are young, hip, and attractive. And the best part was &quot;VIP&quot; access, albeit expensive, Cellar bar. The only downside, which for me was a major one, was that the rooms were much like a Ramada Inn with an uncomfortable platform bed. Starting at $400+ a night, I think you might be able to find better for your money (i.e., Royalton, Hudson, or Dream).	
Sep 8 2008 	Great NYC hotel	Stayed at the Bryant Park labor day weekend to attend the US Open. What a great experience! Perhaps it was because I received an upgrade to a suite, but from the moment I arrived until I had to leave, the staff was friendly, courteous and very helpful, the service excellent and the room fantastic. My suite overlooked Bryant Park, and if I had one &quot;issue&quot;, it was the noise from the preparations for Fashion Week, which is certainly not the hotel's fault. The suite was huge and very well appointed. The platform bed took a little getting used to, but once I did, it was wonderful. The living room had two lounges and a flat screen TV, as well as an iPod dock (as did the bedroom). The bathroom was well-fitted, with a separate soaking tub and shower. The Molton Brown products were a plus. As an example of the great customer service, while at the tennis matches, I decided to call the hotel and request that they book a car service back to the city. On about 2 hours' notice, and with several changes in the pick-up time (due to the matches running until after midnight), the staff (I wish I could remember their names) were most helpful and arranged for a terrific car service.This is a sleek, fashion forward hotel, not for those used to poufy sofas and chintz. It may not be for everyone, but if you are looking for a chic, lively place to stay in an amazing location, this may be the place for you. I will definitely return.	
Sep 5 2008 	A Wonderful Wonderful Wonderful Hotel	I’ve stayed in NYC on many occasions and I wish I had found the Bryant Park Hotel earlier. I had booked two suites and both rooms were upgraded on arrival to corner suites. What a treat for my mother whom I’d taken to NYC for a birthday present. The rooms were beautifully clean and the maid service was outstanding. The bathroom was spacious – probably the size of ‘ordinary’ hotel room in the city!We didn’t eat much in the hotel, however, the mini bar and ice bucket were constantly checked and restocked.Nothing was too much trouble for the hotel and I loved the younger style employees without a hint of stuffiness.A great location for visitors and in June the park was a great place to grab breakfast and read the papers on Sunday mornings. The park also hosted an event for Good Morning American which was fascinating to watch.I would like to thank the Bryant Park Hotel for making a great holiday into a fabulous holiday. We intend to return in December.	
Sep 4 2008	Can't wait to return!	We have just returned from our honeymoon in New York and couldn't have chosen better! The atmosphere is sophisticated but relaxed and all the staff were very friendly and professional. They gave us 2 or 3 restaurant recommendations which were excellent plus a typical New York diner for breakfast which we frequented daily! The rooms were spaceous and modern and the bed so comfortable that we slept soundly every night. Being so central you feel you are only a short distance from anywhere in Manhattan. The park opposite was a haven amidst the New York hustle and bustle where you can relax at the outdoor bar or the restaurant next door, or even enjoy watching the locals play petanque! A wonderful stay - a big thank you to all the staff!	
Sep 3 2008 	Fantastic Hotel at the Park	My wife &amp; I have just returned fron New York this week and had a FANTASTIC stay in this hotel. We consider the location to be the best of all worlds as it is in the middle of all the action.The staff were very attentive and helpful whenever entering or leaving the hotel.We asked for a 'park view' and were not disappointed, the view was excellent. The room it's self was bright and bueatifully presented, the bathroom was large and well fitted out. One of the most entertaining futures for us were the lifts (elevators) you would have to be in one to get it!!!!!!All in all a wonderful hotel the we would recommend to anyone.	
Aug 28 2008 	I love this place :-)	Its a beautiful hotel. Perfect location - right on the doorstep yet feels like its off the beaten track!. From the moment we arrived we were met with helpful and considerate staff who made our stay fantastic. The rooms were really cool with everything you need and more - oozing with style and plenty of space. The cellar bar is also a great place to hang out for a late cocktail. I'm going back :-)	
Aug 23 2008 	Walking distance to major attractions.	Great New York hotel for being central to all the major sites. Walking distance to most things and Bryant Park is just opposite. We arrived after midnight on a Friday night( flew from San Fran.) We were met with a long queue of party goers waiting to get in the hotels door as there is a club in there that is a hotspot to go to.( I had no idea about there being a club in the hotel on booking, silly me!!) After travelling all day and being jet lagged, feeling tired, hungry, wanting a bath etc, it was not the best thing to be met with and we had to scramble our way into the entrance! When our luggage was taken into the hotel lobby on a trolley, one drunken young woman checked our luggage labels to see if we were anyone famous and was rather upset that we weren't!!! Staff were friendly, hotel room was lovely and big, rare for alot of New York hotels. Mini bar and room service menu was so over priced, not good when the hotel is rather expensive anyway. A complimentary bottle of water would of been a big plus point when most of the guests have probably travelled for hours (there is a shop a few doors away that sells snacks and drinks for a fraction of the price, turn right out of hotel entrance). Tv internet didn't work, after I was told it was on checking in, however there is a place a few doors away that has the internet by the minute ( turn left out of hotel entrance).Bath is big enough for two!!! Molton Brown products, me likey!!!They also have a Pleasure Chest catalogue of sex toys etc that was enclosed in an envelope and put on our bed!!!! Again after jet lag, at this point I thought I was hallucinating on seeing this, we had a good old laugh looking at it!though and it is now in our holiday scrapbook! We would certainly stay here again, room very comfortable and spacious, staff very friendly and helpful. Location is fantastic, saved alot on cab fares. Didnt hear any unwanted noise from the nightclub downstairs. View from room was directly onto scaffolding and a building site next door, but we don't go all the way to NYC to stare out the window do we?!!!	
Aug 18 2008 	One Chic yet Friendly Hotel!	My husband took me here for our one year anniversary and this has been one of THE best hotels we've stayed at. The staff was friendly and one of the valet guys even offered to find parking on the street for us rather than having us pay $50 bucks to have it parked in a garage overnight! He even came and brought back the car keys to us.We stayed in a junior suite and the rooms are definately bigger than a lot of Manhattan hotels. Everything was spacious, especially the bathroom. Plus they use Molton Brown products, which are a plus. Also, their towels are super soft! Some thing you don't find at a lot of hotels nowadays.They also have free copies of magazines near the elevators, which is great.Overall, great experience and great view of Bryant Park!	
Aug 15 2008 	the best NYC hotel I've stayed !!	Perfect location , Friendly &amp; helpful staff, great atmosphere, lovely well equipped room with wonderful bed ! This is really one of the best new york city hotel !! And I've been to many ! I will come again for sure. ENJOY BRYANT PARK !	
Aug 12 2008 	Rude Service small rooms overpriced 3 star at best	Started when I called to book room very nasty un-pleasant reservationist with a bad attitude.I should have hung up but location was near my client.front desk had no record of my reservation when I checked inwaited 45 minutes for them to reinstate and then they charged me 150.00 more than I was quoted and confirmed atSmall , dirty room had to call for towelsAVOID	
Aug 11 2008 	Everything Fabulous!	The location of the Bryant Park Hotel could not be better - right on a quaint lush park with restaurants, bistros and picnic tables galore! Extremely near Times Square, The Empire State Building, Macys and only a short walk from Bloomingdales, Saks Fifth Avenue and Central Park! Not that we needed to use it, but if you fancy the New York Underground experience, there's a stop right at the end of the street!The hotel was luxurious - very modern and contemporary! Room was immaculate and housekeeping was fantastic - tuck down service, chocolate on your pillow, relaxing music waiting for you when you come back in the evening!I would recommend to everyone!ps. if you watch the Sex and the City movie - the scene where Carrie jumps out of her car to throw her flowers at Big after the wedding was filmed right outside the hotel!	
