	Fantastic Hotel Great Location	We stayed at the Blue Moon Hotel during November and had a great time.The hotel is lovely with little bits of history all over the place.Our room was lovely and with plenty of room, it also had a small balcony over looking the Williamsburg Bridge. The bed was firm ensuring a great nights sleep. The bathroom was well appointed, but you had to flush the toilet a few times for it to clear. The shower was powerful, but the towels for drying yourself were on the small side.The front of house guy who we met on our first day, Paul, was fantastic. So friendly and full of information. He really made a difference to our stay.We would definitely stay there again. The hotel is in a great location for getting around New York and the neighbour hood has some lovely restaurants in strolling distance.	
Jun 9 2008 	lovley and friendly hotel	my family and i stayed at the blue moon hotel for the new year 2007,and being it was our first time in new york we was not sure what to expect as we had been told conflicting stories of hotels in new york.to our surprise the hotel was very clean and tidy and the hotel staff could not be more helpful,and the room was spacious andtastefully restored to the theme of the hotel of the era it was built.we enjoyed our stay very much and enjoyed talking to the ownerof the hotel and you could see the effort and care taken by the owner to restore this old tenament building into a very quaint and enjoyable place to stay.a very nice enjoyable stay and would definitively stay there again on our return to new york.thanks the dennises	
Jun 4 2008 	Delightful weekend!	my dad decided to come for the weekend and of course we booked at the bluemoon hotel where we had the pleasure to stay previously, its always a great experience, warmth atmosphere, easy to deal with, great location, and comfortable.le reste es pour des francais qui le lirais et qui se dirons mais pourkoi aller o bluemoon hotel, si vous voulez retrouver l ambience d un hotel du marais sur la place des vosges, ou il y a du jazz qui joue en arriere note, et ou tout es en bois cirer et en couleur chaude. le boutique hotel es l endroit rever pour s echapper de l agression de manahatttan pour vivre une nuit dans une chaude atmosphere...je confirme le bluemoon.	
Jun 4 2008 	Great for a cultural experience	This was not my typical hotel choice. Manhattan hotels were especially pricey during this particular week, so I chose Blue Moon because the rate was decent and it looked intriguing.Blue Moon is great if you like boutique hotels off the beaten path with something unique to offer.On the plus side: rooms are a decent size by Manhattan standards, period details in the lobby and the room are nice, the owner has embraced the cultural significance of Orchard Street and the Lower East Side. Also, climate control is excellent. I loved have a ceiling fan in the room. Amenities are very good - good toiletries, small but nice TV, solid furnishings.On the room-for-improvement side: While the interior of the hotel was nice and quiet, my room (and that of a colleague) faced Orchard Street and there was a pretty good amount of street noise - sirens, large trucks, etc. - throughout the night. I didn't get the best sleep as a result. For a $450 a night room, I would also expect a slightly higher quality bed, particularly the pillows and sheets. The requirement to leave your room key at the front desk when you leave is a bit odd - kind of hostel-like.So on the whole, an enjoyable stay. But if you are a spa-loving, luxury hotel regular, you might be better off with another choice.	
Jun 2 2008 	Great boutique hotel	This was a last minute booking, and we were more than pleasantly surprised. We were greeted at check-in with a complimentary glass of wine and a very friendly and knowledgeable young lady. We were given the Ella Fitzgerald room, which was very nicely decorated and had a sitting area which was perfect for enjoying our glass of wine. The bathroom was stocked with Bath and Body Works products, as well as, two toothbrushes and a travel toothpaste (my favorite touch). It was quiet for sleeping and a continental breakfast was provided in the morning. The only shortcoming we found (and this is not under their control) was that the parking garage that they validate for their guests was full, and we needed to walk about 6 blocks back from the one we tracked down a little farther away.	
May 22 2008	Great stay at the Blue Moon	Just returned from a long weekend in New York where we stayed on the Lower East Side in this fantastic boutique hotel. The hotel is a refurbished tenement house where the owner (who was present and very friendly) tried to preserve as much of the original details as possible - marble floors, original tenement doors, tin ceilings...The lobby is quaint and a tad &quot;shabby-chic&quot; but our room was modern and clean. We (there were 2 of us) had the smallest room in the hotel and it was more than fine size-wise - it even had more floor room than many standard rooms in chain hotels, I would say. And although our room was on the second floor at the front of the building, it was very quiet.My only criticism of the hotel would be the complementary breakfast served in the morning - the coffee and OJ are good but the bagels and pastries might have been fresher and of higher quality.The hotel staff at the front desk were all very friendly, especially Andy who helped set up the coffee and pastries in the morning.The hotel is 5-10 minute walk to Soho and the East Village and it is very close to a subway line.I would definitely stay here again and will recommend it to anyone I encounter who is planning a trip to NYC!	
May 20 2008 	My absolute favorite hotel in New York City	Ah, what a breath of fresh air it is to experience such an exquisite little gem that is Blue Moon Hotel! This was my 2nd visit and I’ll probably never stay anywhere else in the city. And usually I'm a bit of a snob staying at the Ritz or Four Seasons, hotels of that caliber. In my opinion though they pale in comparison to what you'll be greeted with the second you pull up to Blue Moon. It is on a quiet street on the lower east side in an area between China Town and Little Italy. It is out of the way of the more touristy areas of the city but to me worth every hair raising second in a cab to get there. It’s in an historic little bldg inspired by hotels of yesteryear. The proprietor, Randy, is always in the lobby, sitting at a cozy table waiting for guests to arrive and announcing you as you enter. But not in a pretentious manner. It's done in a way of respect and honor that you have chosen his hotel to spend time in.The halls and rooms are decorated with collages of old postcards and artifacts that were found in the basement of the century year old hotel while it was being renovated. Each room is individually dedicated to stars of the 30’s and 40’s such as Molly Picon and Mickey Katz. Simply yet elegantly decorated, they have the feel of ones found at fine bed and breakfast establishment. And everything is so clean. Hard to find in any hotel let alone an older one in the city.Randy will enthusiastically tell you about the history of the premises. He warmed my heart while telling us about his desire to ‘preserve the soul of his building'. And you just know while listening to him that he truly means it. The attention to detail and the friendly, welcoming staff add to the ambiance. Fare from local vendors at the complimentary continental breakfast as well as being offered a nice glass of wine before retiring complete the journey.I reluctantly recommend this hotel ONLY because selfish me doesn’t want this little secret to get out and then have a hard time getting in on my next trip. Rest assured though, Randy told me to call him personally and he’d find hook me up. Wow…love him, LOVE this hotel!	
May 18 2008 	A Real Gem in the Delightful Lower East Side	The Blue Moon Hotel is a beautiful little boutique hotel nestled in the Lower East Side of Manhattan, a very exciting corner of the city. The painstaking process that Randy Settinbrino went through to keep the spirit of the building alive is very obvious as soon as one enters the hotel, with details from the former tenement flats utilised throughout.The free wine upon arrival, free internet acces, free breakfast, DVD library and special parking rates give an added value for no additional cost. The room was very large and spacious, and the bathroom comes with a huge bath, not like the small baths typical of New York hotels.Antonella and all the staff are extrememly helpful and willing to give you help and advice to make your stay in New York memorable.For those tourists visiting the city who think that Midtown is the only area to be in, I would advise you to consider the Lower East Side, as there are many exciting bars, restaurants and boutique shops, with easy access to Little Italy, Chinatown, the Brooklyn Bridge etc. The hotel is just beside the subway too, so you're not too far from the sights and sounds of the rest of the city.	
May 16 2008	loved it	I stayed there with my children. The room was very captivating. It had old world charms. Named after a movie star. With tenanent doors. Colorsof the walls were so pleasant and the room was very large overlooking the Williamsburg Bridge. The service was friendly and engaging and the neighborhood a blast. We loved it!	
May 12 2008	We love this little gem	We'd stayed here before - it was great then and has only improved. The new complimentary glass of wine - red for my husband, white for me - on our late arrival was deeply appreciated. The hotel is clean, painstakingly restored and well maintained; the staff consistently helpful and charming. Clearly the operation is a labor of love. Our view of The Williamsburg Bridge from the balcony of our 'Duke Ellington - cozy room' was lovely and calming, day and night. Its bathroom has a wonderful deep tub, perfect after our long drive and busy New York day; it even had a place to rest my arms while I read, soaked and unwound. Not noisy at all in our room at the back. Note: If you need to use the wi-fi computer connection, call the desk to get the best access and codes. We were able to log-on both our laptops simultaneously.My grandparents' custom-made clothing store (women's cloaks &amp; suits) had been just down the block, at the corner of Division St &amp; Orchard so it was a short walk to see where it had been. My mother and her sisters had lived on Division Ave in Williamsburg just over the bridge, also very close. The hotel and its celebration of that era extended the feeling that I had 'come home' and was still a part of the neighborhood, despite never having lived there myself. Guests without such ties can visit the Tenement Museum next door to connect with the area and its history.The hotel does have a bit of a B&amp;B quality, watching the owners' adorable young children leave for school in the morning, chatting with staff and owner over a light breakfast, so if you like an impersonal anonymous hotel this may not be your cup of tea though all were respectful of my husband's need for privacy. We were in the lobby when a couple (from Ireland, I believe, who'd been there for over a week) came in and thanked Randy effusively for his excellent suggestion for that night's dining and mentioned to us that all his recommendations had been wonderful treats. The night manager was very helpful after I had booked online; he made sure we were able to stay in the room we'd loved during our previous visit and Antonella, an artist in her time off, was as charming and helpful as she'd been during our '07 visit when I celebrated my birthday there. We'll be back!Sura	
May 12 2008 	Not worth it	I stayed at this hotel for a few days over the bank holiday and was very disappointed, Its an ok hotel but is in no way worth the money that we spent. After the first day we were desperate to move but once checked in if you leave you have to pay the full amount for the rest of your stay so be warned. Read all the small print! The one redeeming factor were the bathrooms which were nice but I will never again go to stay there. Go if you're happy to waste money on something that you should spend at least half of what they ask on.	
May 9 2008 	An amazing experienece!!	After my Husband had stayed at the Hotel on a business trip he roccomended that I stay there when I came to Manhatten to visit some friends. And I was glad that I did!! The service was extraordinary! The beds were comfortable and the size of the rooms are almost impossible to find in a hotel outside of NY much less in the city itself. The staff was very helpful and friendly and the decor is a work of art in and of itself. The Owner of the Blue Moon has not just created a great hotel, but rather a unique experience that the descerning customer can appreciate.	
May 7 2008	Great Experience	This is the 8th time I've stayed at the Blue Moon. The staff is friendly, the owners thoughtful and very appreciative. The rooms are spacious and immaculate. In this era of boutique hotels with tiny overpriced rooms, the Blue Moon is an oasis.I highly recommend staying here. The area is one of the most popular in the city with great restaurants, shops, all within walking distance. Wonderful value in a five star property.	
Apr 28 2008 	Best secret in NYC	I'm a native New Yorker now living in Ohio. Stayed at this new hotel on Manhattan's trendy Lower East Side for 2 nights. Staff was friendly, helpful, and knowledgeable about the area. Room was HUGE for the price with a view of historic Orchard Street (off Delancey). Everything was very clean and updated. This is by far the warmest decor I have ever seen. Generous, century-old woodwork -- lovingly restored -- is everywhere. The lobby is a visual feast, leading immediately to a vibrant neighborhood teeming with contrasts of old and new, interesting restaurants, night spots, bargains and trendy upscale shops. A quick walk to Little Italy and Chinatown. When we were knocked out from shopping, the Hotel felt like our home, with friendly help, space to spread out, great shower and firm, comfortable beds. This place is the best secret in NYC.	
Apr 15 2008 	A fabulous hotel in the historic Lower East Side	I just stayed at the Blue Moon Hotel this past weekend and had a really great experience. I wrote up a similar review on Yelp.com and here it is again... Blue Moon Hotel is a unique and quaint boutique hotel in the Lower East Side! Apparently, it's only a couple of years old so I guess the word hasn't really spread, yet. Although, the building itself was erected in 1879. The Tenement Museum is right next door, so historical information about the area is easy to get. Blue Moon Hotel has spacious rooms, friendly staff and a cute theme! From the outside, you may not know this is a boutique hotel. The reception area looks like a quaint cafe! We walked right by when we first got there. There are 22 rooms named after old movie stars, some of which I recognized... The hallways are decorated in old New York relics, pictures from years past and salvaged ornaments of the original building strewn about. We stayed in the James Cagney room on the 4th floor, overlooking the historic Orchard Street. (There are lots of cute restaurants/cafes and boutique shopping on this street, btw.) Our room was the &quot;Comfort&quot; room that had an iron wrought queen size bed and a sofa bed. Our stay included complimentary continental breakfast and a gym pass to the Ludlow Fitness, which we didn't get to take advantage of. Oh and they even set you up with 2 toothbrushes and a travel size toothpaste! It's not perfect, of course... (Is there such thing?) The elevator is slow and we had to leave our keys at the front desk every time came and went. Which reminded us a bit of Europe... But, this cute hotel has been written up in many travel mags as the &quot;hidden gem&quot; of New York and National Geographic did a special on Blue Moon Hotel this month! I'm glad we got to stay here. (A special thank you to Olga and Larry! Front desk staff who really helped us and made our stay super great!)	
Apr 14 2008 	The Blue Moon is a Charmer!	I travel a lot and usually prefer big hotels - I made an exception for my most recent stay in Manhattan and stayed at the completely charming Blue Moon Hotel on the Lower East Side. This hotel is spotlessly clean, the rooms are large (by NYC standards) and very comfortable, the staff is helpful and friendly. We stayed in one of the smaller rooms and were very pleased - but we noticed the large terraces of the upper floor suites from the outside - so if you can afford it, spring for one of those!  I have to say that my favorite thing was the old fashioned scheme of getting your key from the desk each time you return to your room - it made me feel I was being looked after! We returned to the hotel quite late each evening and believe me it was an oasis of warmth and light on a rainy NY night. It was like stepping into a bygone day when hotels were family owned and the proprietor actually cared whether you enjoyed your stay. When we first arrived, an Irish couple was leaving and said they wished they were staying longer because they loved the Blue Moon so much. I felt exactly the same way - it's my new favorite NYC hotel.	
Apr 12 2008 	Home From Home In New York City	It says 'New York's Hidden Jewel' on the website and they weren't lying. After several nights here we were saying things like 'meet you back home at six'. This hotel is for people who are still interested in people, I met so many lovely human beings from different places, cultures and traditions in this hotel and it was an enlightening experience for an old cynic like myself. The rooms are named for iconic movie stars and I think central casting may have had a hand in selecting the staff. From the beautiful, willowy receptionist Olga - always happy to keep those Google map guides coming - to Larry, the night manager with the gentle manner and the sympathetic ear, from the passionate Antonella with that amazing career path to the ever present and ever helpful manager, Randy, he of the late night philosophy discussions. This is not The Hilton or The Four Seasons or any other 'brand'. It is uniquely honest and sincere, and, as with the best endeavours in life, your willingness to contribute is rewarded enormously. We are most grateful for having found our home in New York and look forward to seeing them all again just as soon as we can.	
Apr 10 2008 	Cozy peaceful spot to stay	This was the perfect hotel for me. They have done a marvelous job with the building. Amazing details that make it charming. Located in a cozy neighborhood side street.The salon type atmosphere at breakfast was nice too. Delicious NY bagels and coffee and you can visit with the other guests and read the morning paper.Everyone that works there is very kind and helpful.It just had such a nice welcome home feel after a day of running all over the city. It was nice to get away from the sensory overload of Manhattan.I highly recommend.	
Apr 10 2008 	wonderful experience!	This hotel is by far one of the most charming i have every stayed in. Step back into a place not only decorated with so much taste, attention to detail, and beauty, but every room, molding, and picture frame tells a story from the Lower East side of the past. A charming escape from the busy New York City life, just moments away from the village and all it has to offer! The staff was wonderful, very attentive, kind and respectful. I love that they had a selection of old DVD's that could be watched on the player in our room. The bed sheets were the nicest and cleanest smelling of any hotel I've ever been in as well, and the free breakfast was a perfect touch! HUGE room, gorgeous balcony with quaint chairs and table, all in all it was the perfect setting for a relaxing weekend of luxury!	
Apr 8 2008 	Lower East Side	Loved hotel and area. Much more fun than midtown. Very safe to stroll China Town and Little Italy. Walkable to Brooklyn Bridge.	
Apr 8 2008 	Absolutely LOVED the Blue Moon Hotel in NYC!!	We first booked another hotel in NYC (the Howard Johnson) that was so terrible. As soon as we walked into the Blue Moon Hotel, we knew it was just perfect for us. It was a &quot;girl&quot; trip to NYC. The 4 of us just had a blast. The rooms were unbelievable clean, the beds were soo comfy, bathrrom towels soft &amp; cozy. The trundle bed was so fabulous, I'm looking to purchase one just like it! Amazing views, so much history in the lobby area. And the staff, 100% excellent. Each morning, we had fresh bagels and coffee in the lobby, while chatting with the concierge. And each evening, we never went to our room w/out hanging out in the lobby &amp; talking some more w/the concierge. We even had the pleasure of meeting the owner &amp; his lovely family. I have done a lot of traveling, and stayed in several 5 star Hotels, and this one is at the top of my list. I would suggest it, and will stay at the Blue Moon anytime I visit NYC!!!	
Apr 7 2008	A wonderful taste of old world elegence in Modern New York	What a surprise to come to &quot;cold&quot; New York City and be greeted with old world warmth and beauty in a Lower East side location, the wonderful &quot;Blue Moon Hotel&quot;. It sits in the middle of old New York, with panoramic views of the whole city from the windows, as it was in the 1800's. We had an upper floor room, with large french doors and a balcony. Although it was January, we could not resist standing on the balcony and viewing the city. A great Old New York view. The rooms were larger than any othe New York hotel I have stayed in. The staff, especially the manager, a tall, bespeckaled, literate poet, greeted us as if we were family. The lobby comes out of old Paris or any other european cultural center. The rooms are named for great theater and entertainment personalities of the past, and there are many rare photographs to view in the lobby. We could have spent our whole time in New York in the hotel, and still felt we had an exceptional holiday. The neighborhood is a history lesson, with the warmth that we thought came with old world charm, even if it was a myth. This was the best hotel stay we have had in years. Go for it, you will love the experience.	
Apr 1 2008 	Friendly hotel in New York	The 3 of us had 5 great nights at the Blue Moon with a large room (Benny Goodman) and clean bathroom. The &quot;bagel breakfast&quot; kept us going through the day. The staff are all very friendly and helpful. This is in contrast to the large NY hotels where no one is usually bothered about you. Our only negative comment would be the expensive price but then the Blue Moon is in New York! It would be a good idea to hunt around for deals on the internet or maybe ring the hotel direct to see if they would make a competitive deal. They discount by 20% on repeat visits so they might be flexible if they are not already full! We would happily return	
Apr 1 2008 	Loved the ambiance!	Really enjoyed staying in a hotel in the middle of the Lower East Side of New York! The owners captured the essence of the history of the neighborhood, with great collages and other era artwork and paraphernalia. Each room (we were in Sophie Tucker), had a unique design. The staff was friendly and went out of their way to make us feel comfortable. Truly a gem.	
Mar 30 2008 	Wonderful Stay at the Blue Moon	My daughter and I stayed at the Blue Moon for 3 nights, from March 10th-13th. I wanted to try a different location then the usual and I made a great choice. The staff was wonderful. I had dealings with Antonella, Larry and Andy. They all went out of their way to answer any questions, give suggestions and be helpful.I loved my room. Although I had one of the least expensive room in the hotel it was beautiful. Very nice colors, very homey. It was the Tommy Dorsey room.I enjoyed my stay and would not hesitate to stay at this hotel again.	
Mar 29 2008 	Beautifully Restored Hotel in NY	Hotel is beautiful and the owners treat you like mom and dad. There was a problem though with the reservation; I reserved and confirmed two rooms on-line using the Hotel's web site, but their system only booked one room. The Hotel was full and there was panic for a brief time. But the owners worked quickly to arrange a room for my associate in a beautiful Euro hotel two blocks away and even walked us over to book the other room. My room at the Blue Moon was big and expertly restored to match the rest of the hotel. This place is as much a work of art as it is a hotel and I'm sure it gets a lot of repeat business. All in all a pleasant experience. The glass of wine at check in is a very nice touch.	
Mar 13 2008 	Great bijou hotel	Writing this review at JFK airport wishing we had a few more nights at the Blue Moon. This Hotel is a beautifully and lovingly restored old tenement building which is such a refreshing change from the usual NYC hotel chains. The staff are welcoming warm and only too pleased to help. The rooms are a good size , individual, cosy, comfortable and romantic. Although not placed in midtown Manhattan there is a subway just around the corner which enables easy (15mins) access to the mid town area. More importantly the local area (Lower East Side) is vibrant at night with restaurants and bars including live music, however the hotel is quiet and free from noise. We travel all around the world and are fortunate to stay in top notch hotels, but this little gem has soul, character, charm and warmth and we shall be recommending it to all our friends.	
Feb 20 2008 	Very Impressed	I was looking for a hotel near Bond Street because of a show I had going up in a theatre there. The Blue Moon was in an ideal location and turned out to be a wonderful experience. I stayed in the George Raft room and it was fine -- very clean and surprisingly roomy -- especially by Manhattan standards. The staff were extremely helpful and friendly -- I would definitely stay there again given the opportunity.	
Feb 11 2008 	Found Gem On Trip Advisor	If you are like me, you probably use the Internet to search options for hotels in the cities you visit. On short notice, I had to go to New York City, but unfortunately it was Fashion Week. Reasonable rates were hard to find. The only options seemed to be extremely pricey, or those ultra small rooms. I took a chance on the Blue Moon Hotel, and I was extremely pleased. Very clean hotel, good sized rooms, and excellent breakfast choices.For your visit to the Lower East Side, I think you will be very happy with this hotel selection.	
Feb 11 2008 	Definitely NOT stay here again...	Our family, and I particularly, travel a lot. I am pretty demanding, and don't mind paying top dollars for friendly service, clean, nice rooms. I used to live on Canal and Ludlow and wanted to share the lower east side experience with my partner and children. I was excited when I found Blue Moon on TripAdvisor, which I used for our month-long trip to Italy in 2007. Boy! Was I disappointed. it's way too expensive for a so-so experience. We rented the &quot;quintessential&quot; penthouse. Nice views. Large room. But no shades on the top windown. The jacuzzi did not work and was accused by the owner that &quot;your family probably boke it...&quot; Why would we pay $600/night and book your penthouse and break your jacuzzi?! How insulting. Restaurants nearby (Jin, Sticky Rice) were not very good. Nice try but missed. Cafe 88 was fantastic for breakfast. Katz' Deli has melt-in-your-mouth pastrami; fantastic chocolate egg cream, and a super authentic new york experience (a line for meat?)... lunch for 4 came to $100. wow.Next time I'll look at other places to stay. Nice idea. No stars.	
Feb 10 2008	Wonderful boutique hotel!	This boutique hotel is a lovingly restored tenement building that retains its original character while offering the comfort of a high-end hotel. The management was warm, welcoming, and helpful, pointing us to good local restaurants. Located next to the Tenement Museum, the Blue Moon Hotel is in a fascinating, historic neighborhood. We will definitely return!	
Jan 6 2008 	Vintage New York at Its Best!	Traveler from Sweden with very high standards - and her husband - were more than pleased! Having travelled both in Europe and the US, we have plenty of hotel experience, and we can honestly say that we never enjoyed a HOTEL this much before! We spent a January weekend at Blue Moon Hotel, and it was a true delight - it is quite a unique place, full of charm and nostalgic New York atmosphere. The Gibson girls, theater posters, and 1920's originals that decorate the walls; the quaint lobby with antique objets trouvés and loads of embroidered pillows; the consistent vintage Americana flavor throughout, all have tremendous appeal. And - did we mention that the staff was pleasant, the room was comfortable, the bathroom gleaming, and every inch of the hotel absolutely spanking clean?!As New York nostalgia buffs, we gloried in our complimentary Sunday morning coffee and bagels with cream cheese, reclining on a window seat in the adorable lobby, with Frank Sinatra and Al Jolson crooning softly in the background. It doesn't get much better than that!We also chatted a bit with the owner, who lives on the premises with his young family. He is an artist, who did all the renovations and decorating himself, and his creativity is apparent in every detail. We wish them much success in the future - because we will want to return again, and again...	
Dec 5 2007	Loved the Blue Moon Hotel	This hotel was first class all the way. Everyone at the Blue Moon, the owner and staff, couldn't have been nicer and more pleasant. They couldn't have been more accommodating and willing to go the extra mile for their guests. The accommodations were utterly beautiful. The food was absolutely fabulous. I recommend this hotel very highly to anyone that needs a hotel on the Lower East Side.	
Dec 4 2007 	Why Stay Anywhere Else?	Holiday season New York means streets full of shoppers who, if they are visitors, all seem to be staying in closet-sized rooms in Mid-town hotels. The Blue Moon and the Lower East Side is an escape from all that!We stayed 5 nights in the Jimmy Durante room sharing balcony at the rear of the building with Sophie Tucker - the room not the lady. OK, so not a great plus in November but no doubt a bonus in the summer. A huge room for your buck compared to other hotels in NYC with a very comfortable bed, sufficient closet space and plenty of draw space. Everything in the room was clean and well cared for. The hotel wi-fi worked well and the flat screen TV was a great improvement on the older TVs that most other hotels still provide. Kosher beigels and pastries in the lobby each morning, complemented by fresh hot coffee, were always a good way to start the day. The hotel staff were very helpful and the offer of a glass of chilled wine at check-in was a welcome surprise in New York. The opportunity to talk to the owner, who lives in the property, as he took his children and his two dogs to local school in the morning was a bonus: he left the kids at school and brought the dogs back later.The nearest subway station is a couple or three blocks away making travel to the rest of NYC very simple - even for tourists. Brooklyn is just a few stops away so you can see first run movies for $11 a ticket at the Brooklyn Academy of Music (BAM) rather than the $25 charged to tourists in movie theaters around Times Square. Great places to eat nearby. The Noah's Ark on Grand Street offers authentic deli food as does Katz's on East Houston. Further west along East Houston is Russ and Daughters with the best selection of fresh cut herrings and smoked fish in New York and a newly opened Wholefoods store if you want to buy in your own food. Guss' on Orchard Street just across from the hotel or the Pickle Guys on Essex Street still sell pickles straight from the now plastic 'barrel' with the offer of a taste before you buy. Tell me any food store that does that nowadays. And a glut of Chinese, Thai and Vietnamese, Italian and American eateries everywhere else in the area with local people eating in them.We are back in New York next year: our friends have asked us where we will be staying. The Blue Moon of course!!	
Dec 2 2007 	Hotel with a difference.	Date 26.11.07 Stuart and Julie on a 25th wedding anniversary. The hotel is a converted tenement on the Lower East Side of  Manhatten. Many of the original features have been kept and some recreated. The rooms vary in size but even the smallest is  very spacious, very clean and very comfortable. The bathroom was perfectly adequate with a deep bath and shower. The area was once dangerous for tourists but is now very safe  with many varieties of bars and restuarants in the area. The nearest subway station is approx 150 yards away, giving  excellent access to all the cities attractions. All in all an excellent place stay if you want to sample  an alternative to the usual say in Midtown.	
Nov 16 2007 	Delightful...and CLEAN!	Having recently recovered from breast cancer treatment I was looking forward to my roadtrip from Mobile Alabama to Redding CT. I picked up my best friend, Sue, in Baltimore and we drove from there to NYC...and the BEAUTIFUL Blue Moon hotel. The hotel has been exquisitely and lovingly renovated by the hotel's owner, Randy. Sue and I both were very impressed with the pure cleanliness of the huge room and luxurious bath. We were in the Sophie Tucker room (all rooms are named after 1920s &amp; 30s vaudeville stars) and it was perfect for two friends. The daybed was much more comfortable than a pull out sofa and with its high back and ends Sue and I both felt like we had our own space and privacy when it was time to go to bed.The people who work at the Blue Moon were wonderfully sweet and helpful. In fact, it was my initial phone conversation with (manager?) Antonella, that got me exctied about the hotel and made my decision to stay two nights insted of just one. I am so glad I did. Thank you, Antonella (or Roma as I called you!)Stay at the Blue Moon next time you're in NYC - you won't be sorry!!	
Nov 11 2007	The greatest location and hotel in NYC	let's see...the service was so good I didn't want to leave the place....I actually felt I was home (other hotels I don't feel that way) the front desk lady was very polite (olga...I think) and the rest of the management...I suggest to any historic seekers to come by there...the place is an attraction in the middle of the Lower East Side.one more special thanks is to the owner Randy Settenbrino who would do anything for his guests and guide them about everything around the area	
Oct 22 2007 	Don't Book this hotel	I stayed at this hotel in the spring. The hotel did not meet expectations, and when I tried to leave early, management was rude to my family. Hotel would not honor its cancellation policy. Worst hotel experience in 30 years of travel.	
Oct 9 2007 	Lovely	I love this hotel, my husband and I stay there everytime we go to New York. The staff is so friendly and the rooms are unique and comfortable (perhaps the roomiest I've had in NYC).Plus it is so nice to stay on the Lower East side, away from all of the tourists and traffic of Midtown.	
Sep 21 2007 	So friendly!	Had only 2 nights in NY ! My friend &amp; I were treated like royalty from the moment we arrived! Stayed in the Benny Goodman suite! Only my second trip to NYC, however the staff freely offered many wonderful recommendations for lunch, dinner, drinks, and NY experiences and all the directions necessary!! Each idea turned out to be a real treat! The hotel is cosy and friendly, the rooms spotless and comfortable and every aspect shows how much love has been put into its development! Congratulations Blue Moon. Another very satisfied and hopefully soon-to-be repeat customer and friend! Thank you!	
Aug 31 2007 	We loved the Blue Moon Hotel!	Our stay at the Blue Moon was a highlight of New York City! The small number of rooms and welcoming lobby allowed frequent interaction with the hotel staff who were the epitome of excellent service. The concierge took personal interest in us and our needs, answering a multitude of questions regarding directions, restaurants, and what to see during our short stay. Talking with her was like having an insider's view of the city and all her recommendations were used and thoroughly enjoyed. The historic aspects of the hotel itself were charming, and I was extremely appreciative of the impeccable cleanliness. I fully plan on staying again at the Blue Moon as soon as I get another chance! Thank you Antonella and the rest of your excellent staff!	
Aug 26 2007	Great cancellation policy	We really couldn't wait to stay with the Blue Moon... unfortunately, our parents took ill just 2 and a half days before the date of arrival and a quick call to the manager Larry... he said &quot;no problem&quot; We will receive a complete refund because we called within 48 hrs... wow what a relief... we can't wait to try our stay another time.... thanks Larry... The Bloom's	
Aug 14 2007 	Unique and worthwhile	Our stay was enjoyable and, subject to a few reservations, we would recommend it. First, the pluses. The hotel has been painstakingly and lovingly renovated and the experience of staying there is, from a historical point of view, at least as interesting as the visit to the tenement museum located directly across the street (which I would highly recommend). Staying at the hotel really feels like staying at a very pleasant museum, down to the period music which was being piped into the lobby.The rooms are spacious. The quality of the bed, linens, bathroom fixtures, physical amenities, etc. are in line with New York hotels costing much more per night. Continental breakfast was rather pedestrian, and quantities were limited but, hey, this is New York City, and if you'd rather pay $35 for a bountiful breakfast in a mid-town hotel, be my guest. I'll take the complimentary breakfast any day.  The proprietor of the hotel is a courteous and accommodating host. When we had a small issue on check-in in arranging to have two rooms (our entire family of four visited the hotel) on the same floor, he managed to work it out for us and presented us with a complimentary bottle of wine (Kosher, I might add) for the very slight inconvenience.  The minuses: There is not much, really, to say, other than if you are looking for an urban experience, you'll find it here. If not, stay elsewhere. Yes, the ambient noise from the surrounding street is in line with what you would expect from a neighborhood which is still a very authentic one. Think of what you would experience if you visited a small hotel on a lively street in an old building in Paris, and you'll get the picture. If you're not up for that kind of experience, then stay away. If you're more interested in that kind of adventure, then this is more for you.  Likewise, the area itself (hardly the hotel's fault) is quite a distance from any of the touristy parts of town. You will spend a fair amount of time in taxis or on the subway and, for that reason alone, our next visit to New York might be spent somewhere else but, all in all, it was well worth the price and made for a very worthwhile and interesting visit.	
