	Best hotel for value in NYC	My mom and I recently stayed at the Ramada Eastside for Thanksgiving to enjoy the Macy's parade. The hotel is in a good location and we could walk to everything. Continental breakfast is included in room price, which is nice. Our room was compact but very clean. We had a coffee maker (which is rare in NYC), flat screen tv, comfortable queen bed, and for the price and location, we would definitely stay here again. If you want a cozy, nice, quiet, clean, safe, convenient, and reasonably priced hotel in Manhattan, the Ramada Eastside is the best value!	
Sep 26 2008 	Good Hotel - Good Location	Stayed here for a night in September. Was anxious having seen some of the reviews but I found it to be very good.Rooms and Bathrooms appear to be recently refurbished (stayed on the 8th floor) and very clean. Breakfast had a good selection and all was well maintained and clean.Good location for visiting the city. Would recommend it.	
Sep 16 2008 	Great experience	My husband and I stayed for a week at the Ramada Eastside and we were very pleased with our stay. Compared to prices at other hotels in Manhattan it was good value. Great location. Few minutes walk to Empire State Building and about 20 minutes to Times Square and Rockefeller Centre. Good amount of restaurants nearby and also on 3rd Avenue. Italian restaurant next door to the hotel was lovely. Unlike most hotels this hotel provides a complimentary breakfast and the breakfast was excellent with plenty variety of food and drinks. Kitchen staff kept replenishing the stock if any food ran low. All staff throughout the hotel were very pleasant, helpful and obliging. The beds are extremely comfortable too! Really nice. Rooms were kept clean. Phones in the bedrooms allow free calls to anywhere in the US.Lifts might be a bit slow but there are only 12 floors altogether so it doesn't take very long to get to your floor.Our only complaint would be that our room had no mirror except for the mirror in the bathroom. Also, the television remote control was temperamental. Would only work if held at a certain angle. Nice television though!All in all we had a great experience and a great week in New York. Would definitely stay at Ramada Eastside again.	
Sep 9 2008 	Raves for the the Ramada Inn Eastside	If you're looking for a reasonable hotel that offers rooms with 2 queen beds and free breakfast, this is definitely the hotel for you. My mom, sister, best friend and I planned a trip to NYC to celebrate my 30th birthday. My mother insisted on staying at a hotel with queen beds instead of full, and her internet search with that criteria brought us to the Ramada Inn Eastside. We booked online, and when we arrived, we were greeted by a friendly staff who were very accomodating for our entire stay. Our room was much larger than we expected, and the beds were so comfortable that my mother is looking into ordering one for herself. We loved that our location was so close to so many major attractions, and we used that to our full advantage, often walking to and from the hotel as we explored the city. When we had to take a cab, it was usually only a few dollars to anywhere we wanted to go. Throughout the trip, we marveled at how lucky we were to stumble on such a great hotel for such a reasonable price (not to mention bigger beds than the competition!), and the complimentary breakfast was the icing on the cake! It's not the Ritz or the Four Seasons, but for a clean comfortable night's stay in a convenient location, you can't go wrong with this hotel.	
Aug 31 2008 	very good experince	My wife and I stayed in the Ramada eastside for almost 3 weeks between 10th august and 30th august 2008. The Hotel, though small is very clean and well staffed. The facilities like free Internet access and free local telephones call are very useful and do save a lot of money. The business office also has basic facilities for small office work.Mr. Harry at the front office is well informed and very helpful.I would surely recommend this Hotel to those who want a clean economical residence in the heart of Manhattan.Dr Bimal Mody ( Mumbai , India)	
Aug 24 2008 	Most Comfortable Bed Ever . . . but not a minute's sleep!	Booked this hotel on short notice, without really knowing much about it, except that it was close to NYU Medical Center, and I got a very inexpensive rate for NYC. I had a super tiny queen bed room, but it had all of the things it needed -- a closet, a desk, flat screen tv, and a small but clean bathroom. The bed's mattress is Tempur-Pedic -- quite possibly the most comfortable mattress I have ever slept on. However, I didn't get any sleep all night! There were two problems -- first, this room and the room next to mine had their doors practically touching. Every time the people in the next room entered and exited their room . . . it sounded like they were coming into my room. Second, the road noise was crazy. I could hear people talking on the street as if they were in my room -- and I was on the 11th floor! Every car, bus, ambulance that drove by, I heard! Yes, I know this is NYC, the &quot;City That Never Sleeps&quot; . . . but the noise was so loud that I checked the window two times to make sure that I hadn't left it open! I probably can't much blame the hotel for this problem . . . but if you value your sleep, you won't get much here.	
Aug 14 2008 	very good position	We had a very good stay at this hotel. Our family room was all we needed (2 queen sized beds) and breakfast was included. The beds were extremely comfortable - they were Tempura mattresses. Just about had views of the Empire State Building from our window but main attractions within walking distance. Great diner just up the road. Staff friendly.	
Jul 30 2008 	Nice hotel with spacious rooms	Overall, this was a nice hotel and we would definitely stay there again.Things we liked:- Good location. Near subways; many restaurants nearby. Penelopes across the street was very good for dinner and breakfast. Many Indian restaurant in the vicinity. Chennai Garden (a few blocks away) was excellent; the best meal we had in New York.- Large rooms. I was prepared for the small rooms that New York is known for, but the room was extremely spacious and had been recently renovated.- Comfortable beds. The most comfortable bed I've ever slept in in a hotel.Things we did not like:- Front desk staff was not very friendly or very helpful. They usually could not be bothered to say hello when we walked through the lobby. They could not tell us where the nearest Chinese restaurant was or where a public computer could be found.- Marginal continental breakfast. Little variety; the same expired yogurt remained available for our entire stay.	
Jul 27 2008	Not ready for prime time.	It IS possible to get deals on hotels in NYC. I paid full price for this one, and it was not worth it. If you could get a great rate, it would be.I was on a newly renovated floor, so everything was new, but it was not quite finished! When I checked in, the phones didn't work (they did they next day). I had to call the front desk from my cell. Both days, the windows stuck open--sans screen--and someone had to come up to close it. I had to call and ask for a hairdryer and took a cold shower because the water took too long to get hot. The &quot;fitness room&quot; only has one machine plugged in. I think that once all the renovations and upgrades are done, this will be a fine hotel if you can get a good price. The staff and management are VERY nice and helpful. They are trying hard, but my room was not ready for prime time.	
Jul 23 2008 	Great Place to Stay	I stayed at the Ramada Eastside for 5 days. The location was excellent. The train stations were near by and there are plenty of stores within walking distance including several cafes, delis and restaurants. Its also very easy to catch a cab because there are always some driving by.The hotel itself was clean. My room was small but clean which was fine because I really only used it for sleeping. There is a continental breakfast offered from 7-10 which consisted of: bagels, hard boiled eggs, dry cereal, donuts, yogurt, and fruit.The staff was not overly friendly but they were courteous and helpful.My only complaint was that the elevators were super slow.	
Jul 21 2008 	Great Clean Accommodations - Ramada Inn Eastside	My Dad and I stayed at the Ramada Inn Eastside on a trip to see the Yankees play in May 2008. The staff was friendly enough at check-in. When we got to the room, we found it small, but very clean. The beds (2 double) were very comfortable. The bathroom was nice and modern and again, very clean. I guess I didn't expect it to be as nice as it was (don't get me wrong, it's not luxurious, just nice and comfortable). We were both very pleased with the accommodations. Breakfast was ok - a typical continental breakfast. The attendant there wasn't overly friendly. Seating space is limited, so be sure to get there before the rush. The breakfast area is a little cramped and people seemed to stumble over one another to get to the food. There is a nice Italian restaurant next door and some great Indian food on 28th. The subway is within walking distance and we felt safe in the neighborhood. My only complaint would be the cost, but the Ramada Inn Eastside was the best rate we could find at the time in that area.	
Jul 12 2008 	always nice and easy	We stay here several times a year...even tho they are renovating, it was still the best around. The staff is always accomodating and by NYC standards the rooms are always well appointed....not big but again, it is New York. A great starter breakfast and the location is terrific.....close to everything, easy cab service and bus or subway nearby...nice little coffee haus downstairs. Many foreign guests...they know value and quality. For the price.....cannot be beat in a location parallel.	
Jul 1 2008 	good location ok price clean and nice	Spent in the hotel one night, and it was pretty good experience. I called from the airport at 10:30 asking for an early check in (at 11:30) and answered that it will take a bit more bit it's doable. well... it took a bit more than promised and I had to wait a bit in the cafe near by (which was pretty nice - good coffee, nice atmosphere, but don't be tempted by the coconut muffin...), but I got in by 12:00.the room was pretty nice. small, but greatly lighten with sun. the bath and toilet are pretty miniature (I'm not too big man, but it was feeling like sitting on a training pot, rather than on a toilet seat.there is a breakfast included - pretty nice continental one.one minor thing... someone should reset the alarm clocks after a guest is leaving the room... (that goes for ALL the hotels...) I don't need to remember to shut someones else's alarm on the morning of my day off....one last thing... don't want to be picky, but the elevators are s-l-o-w.... I was on the 12th floor... bottom line:great location - Lexington and 30.the room was clean and tidyrestroom a bit claustrophobic ok breakfasttake 5 mins ahead of schedule to catch the elevatornice cafe near bywill come again once I'll be in NYC	
Jun 25 2008 	All The More Reason to Visit the City!	This hotel was a bit more money than I wanted to spend for one night's stay in the city. However, this was easily one of the nicest rooms I've stayed in while in NYC, and the location was absolutely IDEAL. I was walking distance from everywhere I needed to go during my weekend visit (and walking distance is saying a lot for NYC). Upon my arrival I was informed by the very pleasant female attendant that they were doing some remodeling of the rooms on the floor where my room was located. I had booked the first room to be finished on that floor. We briefly joked about it being especially set aside for me because they knew I was coming. I always love a hotel staff that is friendly and has a sense of humor, but who doesn't? As the elevator doors opened to the 11th floor I was met with a hallway full of furniture, TV's, and styrofoam packaging materials. At first I was a little nervous, but once I was shown to my room by one of the employees (since the rooms had not yet been marked) I was met with an adorable room that I was so pleased with! The employee was very kind and asked me to make sure everything was there that I needed, and that if anything was missing to please let him know immediately so that he could attend to my requests. I stayed in a standard Queen room. The bed had a Tempurpedic mattress that was amazing; the color and design themes for the room were very nice and warm; the bathroom was HUGE for a single occupant room!; the furniture was simple, yet very nice; and the large window by the closet space actually had a nice little view &quot;overlooking&quot; the city. The room came with a nice air conditioner (functional and NOT musty smelling!) that came in handy with the 85* weather that day. I settled in for about an hour before leaving for a meeting a few blocks away. Upon arriving back to my room about 4 hours later the hallways were spotless, the rooms marked, and everything looked as though there was never remodeling or construction in the first place. I was very pleased with my weekend experience and have already begun making plans to stay there again when I return to the city in a few weeks for a more extended stay.	
Jun 22 2008 	Good Choice for kids	good location, very safe neighborhood. The rooms are not huge but comfortable and it includes breakfast which is a great deal when you travel with kids. They are undergoing some renovations but it was not noisy and pretty clean. a great nail salon is near by ( open until 11pm) and the pizza place on the corner vezzo was very good. They have a deal with a parking garage for $20 a day- that's a bargin in and of itself.It is near a bunch of subway lines so it was a perfect location for that as well. I would stay here again, good value for the money (considering what so many of these ny hotels are asking)	
Jun 17 2008 	Terrible Experience	We stayed at the Ramada Eastside for 4 nights in June, 2008 and it was the worst experience in NYC we have ever had. We booked online through the hotel website 2 months prior and called the hotel one week before to confirm. They gave us a nice room but said we had to move to another room the next night because of remodeling. I asked why they didn't book us into the same room for the 4 nights, but the receptionist didn't know. She said the new room would be exactly like the first room. Well, it wasn't. It was about half the size and a smoking room. Since we specifically asked for non-smoking, we complained. They said it wasn't a smoking room (lie) and besides they didn't have any other rooms. I complained again and again and demanded to speak to the manager. He wasn't there and wouldn't be there for 2 days, so the receptionist didn't know what to do. I kept complaining and he finally offered to move us to a &quot;sister hotel&quot; near Times Square. He said it was far superior to the Ramada Eastside and that the new hotel would give us a big discount, half the price of the Ramada. Well, we looked it up online and the new hotel was 2 stars below the Ramada and the &quot;big discount&quot; was the regular price. In other words, it was a cheaper hotel, and in NYC that means lower quality in all ways. We asked him to lower the Ramada price because we didn't want to move again, and he agreed to do that. That night, our son urinated in his bed, and we asked Housekeeping to change the sheets. Well, they didn't put new sheets on the bed. When we got back and were ready to go to bed, we discovered this and asked for sheets. The hotel person came and didn't want to change the sheets himself, but I refused to do it, so he did it. The final experience was that we asked them to call us car service to take us to the airport. It turns out the car was unlicensed, had an open beer bottle in the back seat, and one of the seatbelts was broken. We went half a block and the driver demanded more money than the original flat fee. It seems the hotel receptionist pocketed ten dollars and didn't tell the car driver, who wanted an additional ten dollars from us. We demanded he take us back to the hotel and we caught a taxi. I strongly advise you to carefully weight the very negative management style against the free breakfast and decide what is worth more to your trip.	
May 26 2008 	Convenient location	I originally booked this hotel for its convenient location and reasonable rates. We weren't disappointed. I've now stayed at the hotel three times and would not hesitaste to recommend it to friends and family. There is a good complimentary breakfast and free interenet access. The room was clean and the staff were all polite and helpful.The only problem on this last visit was that the room was very small - hardly room for two suitacses - and there was a lot of traffic noise which is not surprising.	
May 12 2008 	Extremely Small but pretty clean; good location	We booked through the hotel's web site for $109 double room. The staff was friendly, a bit stand-offish, but helpful enough. The room was very tiny, but the beds were clean and so was the bathroom. The hotel is partly condos on some floors, so it was interesting to mingle with the locals on the way in/out. The hotel room has and old feel to it. We didn't see any of the creepy-crawlies that some travelers have complained about. We only used our hotel as a base to facilitate scheduled auditions for our kids in NYC. It was well worth the $109, as we were hardly ever in the room; but, I was happy with the general cleanliness of the room for bathing and sleeping. I would give the hotel another chance if I could get the same nightly rate. Hotel is within great walking distance of Broadway other major streets/aves. Great pizza/shopping just blocks away.	
Apr 25 2008	An excellent discount hotel	The Ramada Eastside Inn 161 Lexington Ave., New York, NYThis hotel is in the Murray Hill section at the corner of Lexington Ave. and East 30th St. We stayed on the tenth floor for three nights in mid-April 2008. Two adults - king sized bed - non- smoking. Per night cost, taxes and fees included was about $270. We had an excellent experience. The service people were friendly and helpful. The room, like many in New York, was small, but it was clean, bathroom included. Basic cable and a basic television. The continental breakfast was great. Bagels, cereal, donuts, waffles, juice, fruit, and coffee -- all fresh and in abundance. And a cleaning woman maintains the room constantly, cleaning and replenishing. You are a few blocks from the nearest subway stops, but you can easily walk to the Empire State Building, the Chrysler Building, Grand Central Station, and the Flatiron District. You are also right next door to a wonderful Italian restaurant, Trattoria Belvedere. Dinner for two with appetizer, wine, dessert and tip - $130 (generous tip for very good service). If you seek high-priced luxury, look elsewhere, but if you plan to see the many sights of NYC and use your hotel simply as a base of operation, this might be the place for you. We certainly plan to return.	
Apr 4 2008 	Filthy Dive	Do not let the low rate and promise of the Tempurpedic bed fool you. This Hotel is no bargain. Shabby Chic is one thing, this establishment is a dive. The employees were rude and non responsive and the rooms were filthy and cockroach infested. In some cases this Hotel reminded me of a bad horror movie. The room across from mine, on the 5th floor, had its door foamed shut. I shudder to think what was in there!! The heater/air-conditioning unit self destructed the first night in a cloud of smoke and was still not working when I left. Do yourself a favor, avoid this hell hole at all costs. The inexpensive room rate and decent location are not worth it.	
Apr 4 2008	Creepy crawlies	I had stayed at this hotel in 2004 and my visit was pleasant at that time. So when I booked it again for a 3-night stay for 3 individuals I was surprised that the conditions were much worse. The condition of the room had deteriorated from my earlier visit in 2004. There was peeling wallpaper and the air vents did not look very clean and made a peculiar noise even when turned off. I could not find another hotel that had 3 rooms available in my price range so decided to stick it out. One of my traveling companions saw cockroaches on our last night there and the staff on duty just handed him a can of insecticide and said they would handle it the next day.	
Mar 1 2008	Great value hotel in mid Manhattan	On arrival we could tell the hotel was old-fashioned and tired in its furnishings, however the room was clean. The reception staff were helpful and pleasant. We booked very early and paid $140 per night and consider it excellent value because of the location, superb mattresses, free Wi-Fi internet connection and the eat-as-much-as-you-like cold buffet breakfast. The breakfast room along with all the public areas were clean and tidy. We had a large two-queen beds size room which was nice, with a view of the Empire State building from the window.	
Feb 29 2008 	OK Hotel - Poor Front Desk	This hotel was convenient, nice breakfast for a quickie, reasonable cost and close to the hospital where my mom was staying. I was in NYC for family medical reasons and the hospital had a listing of several hotels in the area. I called every one of them and finally picked this hotel. I got a price quote for the five nights and it was faxed pretty quickly. I arrived on a Friday and before I went to my room, I asked Ela at the desk how much it would cost to upgrade the room to two beds. I was told $20 dollars. I said fine when my Dad comes to NYC he can share a room rather than getting his own. By Sunday I asked Preya for the room upgrade and the price went up to $60 more. I said that is not I was quoted and thought to wait the next night. Monday I asked the nice guy Henry or Harry and he gave me the upgrade for $20. Tuesday went to the hospital for the day and came back with my dad. Went to the room and it was locked out. Came back to the desk and Preya said I didn't sign out in time and they were holding my bags. I asked for the manager and she said she was the manager. She said the price is $60 more. I told her I was quoted twice by two others and the extra cost is $20. She said since I am signing in without reservations the price went up. I told her she increased the price two days before and I had reservations. She eventually got me the real manager and he was not helpful either. I paid the difference since I had no where to go with an 82 year old parent standing in a hallway waiting to get our belongings. Ela and Henry or Harry whatever his name was, was nice and polite. I will never forget the rude and uncaring manager(s) and I will contact the hospital to let them know about the inconsistencies within their own group. I understand prices change every day but to change and flip flop on charges every other day with the same person is rather suspicious.	
Feb 29 2008	Great place to stay good restaurants nearby too!	If you're looking for a place to stay that is reasonably priced, with clean rooms and friendly staff, then this is the place for you! I'd had a very bad NY hotel experience in the past but this one is great. We didn't have to wait long to check in, we were given a list of the hotel's amenities and the wifi is also free which was great. The bed was also very comfy - perfect for when you're trying to adjust to a different time zone and we loved the coffee maker with proper filter coffee. We were greeted everytime we went in and out of the hotel which was nice and something you don't get from a bigger hotel. We could even see the Chrysler building from our hotel room window. My only niggle was that there was only one lift as the other wasn't working but that's minor really. There were loads of restaurants around and the Italian one next door is superb. The Ramada also has a good selection of leaflets in their foyer about what to do in the city including money off vouchers if you go to the Rockerfeller building. If you're after a good bar as well, I'd recommend &quot;The Watering Hole&quot; on 106 East 19th Street. If I'm lucky enough to go back to New York, then I'll definitely be staying here.	
Feb 27 2008 	no bed bugs (in room 1009)	We were trying hard but couldn’t find any bed bugs (see earlier review). Rather, we found the Ramada Inn Eastside a pleasant place to be. The room and the bathroom were clean and everything worked well – including the wifi on the 10th floor. I thought that the mattress was a bit soft but then I am usually sleeping on a futon, so that’s a very subjective judgement. We found the staff friendly, competent, and helpful. Somewhat annoying was the fact that there was only one lift working during the three days of our stay. But staff at the front desk told us that safety is paramount and they weren’t happy with the other lift in this respect. I certainly wouldn’t criticise such an attitude. The location is good – my friend was happy to walk to his office on East 43rd Street. The subway station is only one block away. The rate ($129 per night) seemed good value for money as I can imagine a lot of places in Manhattan are being more expensive and less comfortable. All in all, I would certainly check the hotel again for my next trip to NYC.	
Feb 26 2008 	Perfect for a quick trip to NYC	Some hotels you visit because you want to luxuriate in the hotel experience. Others you stay at because they are clean, affordable, safe ways to visit a city. The Ramada is definitely the latter, and it was just perfect. It's two blocks from a parking garage (they validate--still expensive to park, but way cheaper than parking anywhere else!)--two blocks from the 6 train, and near plenty of places to grab a bite. I stayed with my two little ones, and we were quite comfortable. The room was small, but plenty big enough for the three of us. Quite clean. Quite comfortable. The complimentary breakfast in the morning was pretty decent. Lots of selections--yogurt, bagels, hardboiled eggs, donuts, cereals, waffles, breads--plus of course juices and coffee. The only downside was the nastiest look I got from the guy stocking the room when I accidentally dropped my coffee cup. The guy shot daggers at me! The only other interaction I had with a staff member was at the front desk, and she was a very pleasant woman who noticed that I was accidentally booked into a smoking room and she quickly fixed it for me. I'd definitely stay here again. The price was just right and I felt safe and comfy.	
Feb 10 2008 	I love this hotel!!	I love this hotel.I've been to Ny a few times and even if I try new hotels I always end up at Ramada Inn.I've been to this hotel alone sometimes or with my boyfriend.I think the location is great, it's not really far from things, if you like to walk there are many attractions at a walking distance(5-7 blocks away) or if you want you can just ride a cab what is usually not expensive considering most places are not far at all...And it's great cause it's a great neighborhood, there are many restaurants nearby but still it's not that crowded or noisy.Honestly the rooms are small, but I've seen much smaller in NY. It's small but still big enough(I always come with 2 giant packages).The rooms are very clean and comfortable, also the views are great. And the maids are all very nice too, as someone else already mentioned.I feel at home here!The people from the front desk were not exactly friendly but they were pretty efficient.There are many services included, such as free internet service, free phone calls for all over the US, free breakfast(and it's a nice breakfast!!!).The TV has a good size too, and cable is free.I've been to other hotels where I paied a little cheaper but had to pay crazy prices for TV, internet ,breakfast, phone...it's just not worth it!And the average price I pay when i stay is $130 dollars, and this is a good price for Manhattan and for everything you get here.So I highly recommend this hotel!Camila S.	
Feb 2 2008 	great value hotel	Stayed here for a week due to a family emergency in NY. The hotel is great value - lovely free continental breakfast, free internet access, free daily newspaper, free local calls from room and answermachine. The beds are very comfortable although there is traffic noise which is expected everywhere in a major city. The staff are very friendly. Outside there are many restaurants and diners. 5 mins walk to Empire State building, Macys, Broadways etc. Get a weekly travel pass for $24 each bought in subway for buses/tube this saves fortune as taxis can be expensive.Highly recommended if you are on a buget - we paid £500in January which is pretty reasonable for 2 in queen sized room. Has TV satellite - ensuite bathroom,pay movies or use of nintendo.	
Jan 18 2008 	Decent place in manhattan	Stayed in this hotel over Christmas period. Although the front staff was rude and unfriendly, this hotel is centrally located with the subway only 5 minutes away. Great rate in central manhattan. The area seems to be a little India so lots of indian and other types of restaurants around. Wouldn't walk around too much in the night time though - dubious characters here and there in the area. We took a standard room which was very small but since it was just a place to stay, I didn't mind. Overall, decent as long as one does not have to deal too much with the sour faced receptionist.	
Jan 7 2008	Ok for the price	Payed about 180USD per night here which seemed ok.I thought it was ok but not great.Try to get a room on a higher floor, say above floor 7 since there should be less noise and the lower floors seemed less fresh (a friend stayed there). Also, try and get a room facing the side street (30th I think) with less traffic.Rooms are kind of small but neat. Breakfast lousy and service snobbish NY-style.	
Jan 5 2008	Great rates great location nice staff adequate room	OUTSTANDING rates (about $140/night AARP) for midtown NYC. Location is in residential area - you can walk around like a local in a less frenzied atmosphere. Subway and Bus stops a short walk away. Very nice staff overcomes tiny, cramped rooms - but you're not going to stay in the room day and night. Rooms are close to each other (a bit noisy if you have inconsiderate neighbors) and 'clean enough' to get by. Wonderful restaurant right across the street: Penelope's - inexpensive good food, breakfast, lunch, &amp; dinner but cash only, no reservations. Book through Ramada or applecorehotels websites for discounted rates.	
Dec 6 2007	Nicer than I expected	I stayed here for one night on a recent trip to New York. The last New York Ramada I stayed in (on 34th Street) was horrible, so I was a bit nervous about trying this one. The building looks kind of old from the outside, but it turned out to be quite nice inside. My room had two beds so it had plenty of room for just one person. It had the usual array of amenties--coffee maker, hair dryer, iron. Everything was clean. There is a business center with Internet access that you can use for free, as well as free breakfast. The people at the front desk were friendly. The location on the corner of Lexington and 30th is a few blocks from the subway. That particular corner is relatively quiet so there isn't much noise from the street.I had accumulated enough points through one of my rewards programs to get a free night here. But the standard rate is $250, which is too expensive for me. I would stay here again if I could get a better rate.	
Nov 1 2007 	I really loved this hotel.	This hotel is great. The location is fantastic. Away from all the tourist crowds and in a great neighborhood.Most of the staff isn't &quot;friendly&quot;, but were generally helpful (and c'mon. it's New York!). But the maid was delightful. She would be singing somewhat quietly but cheerfully in the mornings. Always said &quot;Hello!&quot;, was careful not to invade your room when you didn't want to be disturbed, and her demeanor was a pleasant way to start the day.The rooms are smallish, but great for New York. And the view was spectacular. Our room was on the 12th (highest) floor. I loved laying in bed and being able to see into the city. The (FREE!) breakfast was fantastic!!! So many options. Cereal, bagels, breads, donuts (real donuts. Like fresh from the bakery donuts). They had a separate cooler unit with yogurt and, get this, Red Bull (both regular and sugar free). The coffee was always burned, but there's a cute little cafe next door w/ great coffee and fabulous vanilla lattes. Free wireless internet. Nice closet. Good desk space. Again, small by most other standards, but very decent for New York. Small workout space, but at least it existed. The architecture and layout of the building was so quaint and classic. My biggest complaint, of course, has to be the price. But it's pretty average for New York, so I can't dock it too much for that. I would totally stay here again. Wish it were a bit cheaper, but if you're coming to NY, it's kind of what to expect.	
Oct 30 2007	Not Too Bad...	I was in town for a convention at the Javits Center 10/21-26 and stayed here as the best option @ a AAA rate of $246 a night. Having an MTA bus/rail schedule I knew that by walking 4 blocks you can catch the M34 crosstown bus directly to the convention center (17 min). It also passes Penn station, so I purchased a 7 day unlimited metro local bus/rail pass upon arrival for $24 and proceeded to get off at the Lexington St. stop. Buses run about every 10 minutes. Local metro transportation options are easy and the hotel has MTA maps and numerous brochures. The Murray Hill Deli @ Lexington and 34th is the best option for sandwiches/beverages/sundries etc.I Checked-in @ 8:45PM and presented my TripRewards card and Id, however when presented with the invoice, noticed that I was being charged at a higher than my AAA rate reserved through the website. I questioned why my rate had changed and she said because I hadn't showed my AAA membership card. I countered &quot;you never asked for it&quot;, and showed my card (she made a photocopy) and reservation copy, at which point she changed the rate. During this process I noticed that they have a sign behind the desk about 8 feet high (I'm 6'3), stating that you must present AAA or other discount ID upon check-in to obtain that rate. Not a very classy methodology in my opinion.This is a charming, small, older renovated hotel, in the Murray Hill residential neighborhood, with about 10-15 rooms per floor. I reserved a double queen and was initially given room 1101. Unfortunately, after a few minutes I realized that the floor was wet for about 2 meters outside of the bath, and remembering another sign on the wall at check-in, regarding immediately reporting water leaks; I went straightly to the front desk and was promptly assigned to room 601. Both rooms are in the left back corner of the hotel with a view over some lower buildings and through the alley to the street, however very quiet.The room was small as always in NYC, and contained the two beds and a chair next to the one window. The Tempurpedic beds were comfortable, however I noticed the already occurring inward sag towards the middle with one. The bathroom is small and configured so that you have to close the door to sit on the toilet, which was a little annoying. However, there is a phone in the bathroom and the &quot;Arc&quot; shower curtain providing more space in the combo tub. I had some problems with the CATV and lost all channels for parts of one night and ESPN only another. The hotel free WiFI worked great and after once inputting the login/password (obtained from the desk) recognized me for the week. An open LinkSys network is also available.The room was clean and the service good. The hotel contains a small gym with solely 3 pieces of aerobic equipment. There is also a public gym located 2 blocks away. The continental breakfast is pretty good as they go, although they need to splurge for some new double toasters, as one has a sign saying &quot;don't use&quot; (one side works according to the attendant) and the other works intermittently. On my fourth day my room key no longer worked and I had to get another from the desk. The next day that key no longer worked and I got another from the desk. I immediately went to my room and that key also did not work. Subsequently, a hotel staff member escorted me to the room with a new one that did work. I tried unsuccessfully to explain the possible need for some new room keys (limited useful life of the magnetic strip) to the young receptionist during my check-out.	
Oct 24 2007 	Inexpensive But Make Sure You Confirm If Arriving Late	The hotel is quite basic. The location is unremarkable. There are no real attractions nearby. If you go to the top floor, you can get a view of the Empire State Building which is about 6 blocks away. You need to walk a few blocks to get to a subway station.The only negative experience was the check-in. We arrived after midnight. We had advised the hotel of this by both email and phone days before. When we arrived, the night manager said they had cancelled our reservation and wanted to charge us a higher walk-in rate. Fortunately, my wife had a copy of our email and the manager finally agreed to give us a room at the original rate. We ended up with a lower floor room which faced a brick wall of the neighbouring property.The price was very reasonable. We had booked last minute and it was difficult to find an inexpensive hotel with all the days that we needed. (Part of our New York stay was at the Radio City Apartments which we would highly recommend; see Tripadvisor review). The continental breakfast was included and was more than adequate. One other bonus, I was able to pickup a free wifi signal so I did not have to pay for the hotel internet.	
Sep 20 2007	Fantastic	We stayed 5 nights here and loved it - location was great ~ 20 blocks to Times square, but 2 blocks from subway station. Hotel staff were not all that welcoming, but the room, although small was everything we needed, bug-free and clean. The room was very quiet as well.We did not want to pay more than $200/night and from what I hear this hotel is probably the best value for that price range.Good sized bathroom, but toilet didn't flush all that well. Complimentary continental breakfast was nice. AMAZING indian food 2 blocks down called Curry in a Hurry, a few times we just ordered it and ate back in our room.	
Sep 17 2007 	Basic but good	I booked this hotel with a little trepidation because it's been at least 20 years since I had a good experience with a Ramada Inn. Usually they're a bit shabby. However, all the usual mid-range hotels I like to stay at (Courtyard, Hampton) were either booked solid or $600/night, so I gave this one a shot.This hotel is pretty good. It's not luxury, but the room was spotless, the furnishings recent, the Tempurpedic bed was comfortable, and the room was fairly quiet once you turned on the air conditioning. I have no real complaints.Like pretty much everything in New York, this is an older building that has been refurbished. I had a room with one queen bed, which was a little claustrophobic, but the closet was big enough to put my luggage in there so I wouldn't trip over it.WiFi Access is free and works well. (Call the front desk to get the password to login.)The shower controls are a little tricky. As you turn the knob at first, it goes from cold to lukewarm to no water, back to cold-ish. If you stop at the lukewarm before you hit the spot where the water stops, you'll get a surprise when the water heats up! The trick is to open the valve all the way and wait for the water to heat - it will be cold at first, but will be perfect in a couple of minutes. I'm not sure if every room is like this, but it's what I experienced in mine.The neighborhood is great - very residential. You feel like you're living in New York walking through this neighborhood, not like you're a tourist.The hotel serves a free continental breakfast if you want to carbo load on bagels, donuts, and cereal. There is a coffee shop next door to the lobby that serves eggs, and the excellent Murray Hill Diner is a couple of blocks away on Lex if you'd like something else.I'd stay here again. I'm still a little skittish on Ramada Inns in general, but this is a good one.	
Sep 12 2007 	Good hotel + location and a good price	If you looking for a hotel in New York that's not going to break the bank then this hotel has everything you would need for your stay.Ensuite rooms, a good continental breakfast, friendly staff, internet access and within walking distance to all the major sites.We would stay here again	
Aug 13 2007 	Ramada Inn Eastside..	The Hotel was average at Best. Location was not too bad from Times Square about a 15 Minute Taxi Ride in the evening. The staff was luke warm and unfriendly at times but other times they were fine. My last morning I notice a rodent baite station next to the Heating/AC unit. I did not see any signs of rodents in the room but I was not happy to see the baite station in the room. The Ramada Inn's Wireless connection is very poor, I was able to make it work for an hour each morning and then like clock work it would cut out. There is Telephone Tech Support for their inhouse Wireless Network, when I called they would reboot their server and it would work for a short time but then cut off. I was on vacation so it maybe have been fate.. But if you need to be connected don't count on their Wireless connection. The elevators are small but hey you don't spend a lot of time in the Elevators.. All in all I would probably look for another Hotel next time to NYC but if I could not find a reasonble hotel somewhere else, I would **PROBABLY** stay at the RAMADA Inn once again.. Good Luck!!!	
