	Amazing Service!	I was so happy with the overall value of this hotel. The service was incredible - the location was awesome - and the rooms were comfy!!! I loved the breakfast in the mornings - great coffee!! The free internet service was extremely helpful.... There was a complimentary bottle of Perseco and chocolates in the room.... Wine at night.. awh....The room was pretty good size - for NY, especially. They offered passes to the gym, but who wants to do that on vacation? I found NO complaints at all with this hotel. We could walk to 30 Rock and to Central Park. Subways are only a few blocks away... and 5th Avenue is only 1 block away! It doesn't get better than that.	
May 4 2009 	Cosy European style hotel with loads of ambience	We spent 15 years in Europe and this reminds me of the warm and charming hotels we stayed in. Lots of charm with old world antiques. A lovely breakfast area which also serves as a wonderful happy hour location during the week. The staff is extremely helpful and the location can't be beat. A nice safe area to be in and easy acess to the subways for traveling farther afield. There are terrific restaurants nearby and within walking distance to the theatres. A perfect place for all kinds of get aways!!!	
Apr 29 2009 	Feels like home!	We love this hotel! It's a boutique hotel with a terrific location. The staff makes you feel like family and they take great care of you. The room itself is spacious for NYC. It had a separate dressing area and is quiet and comfortable. The bathroom is updated and has nice amenities. The best part of the hotel is their club room that feels like a big living room. They serve a good continental breakfast and have drinks and snacks starting at 5pm. You can also stop in after coming in for the evening for late coffee and cookies. It gives you a chance to meet other guests at the hotels and make new friends. We love this place and would definitely return again and again.	
Apr 23 2009 	Alternative to the big hotels in Manhattan	This hotel gets fantastic ratings on Trip Advisor and seems to be very popular with Europeans. The included breakfast makes starting your day very easy--provided you don't need a hot meal. There is only one elevator and it is SLOW. Take the steps or spend a lot of time waiting. There is a lot of street noise on the 54th St. side of the hotel. Request a room in the back. There is a lot of noise from rooms above including rushing water from bathrooms. We have no idea what to do about that!	
Apr 20 2009 	Great location 	Excellent location in NY. Large room, comfortable bed. Great personal service with breakfast included. Wine &amp; cheese a wonderful idea providing a well-earned break for the feet! Would recomend to any traveller.	
Apr 17 2009 	A Terrific Value	The Elysee is a wonderful hotel. Intimate, European style. Excellent staff. Great breakfast room. Comfortable and large (for New York) room. (The bed was a little soft for me, but I'm told that there are rooms with more firm beds.) Modest price. Great value. Excellent location for us: MOMA and the theater district.	
Apr 14 2009 	Cozy boutique hotel in perfect location.	We spent one night with our children, aged 10+. The staff was very helpful, friendly and efficient. We had two rooms on 4th floor facing 54th street, which were large and lovely. We tloved the easy accesibility to the street (no long elevator waits like in large hotels.) The continental breakfast was delicious and plentiful. We enjoyed returning after a long day, to the 2nd floor club lounge to relax with tea and cookies and classical music while watching the people walk down 54th street. The location is wonderful...easy walk to Central Park, MAdison Ave shopping, MOMA, Rockefeller Center. There were numerous terrific eating options only steps away, from elegant dining to awesome street vendors and take out buffet on the corner. We will definitely return!There seemed to be many European guests, which was interesting for our children to hear. We didn't see any small children. Although our children were perfectly comfortable and made to feel welcome, I myself wouldn't have felt comfortable bringing small noisy children, because there seemed to be mostly adult guests.	
Apr 14 2009 	Perfect stay!	We were recommended this hotel by a friend who lives in NYC and so I booked this hotel for our final night on a holiday to USA, we had spent a week in DC seeing the sights and were tired and sore when we arrived at Elysee on the Thursday from our train journey up from DC. On check in we were overjoyed to have been upgraded to a Suite on the 15th Floor, I had emailed ahead to tell the hotel that we were celebrating our anniversary during the trip and can only imagine that this is why they were kind enough to upgrade us.. it was much appreciated and made the stay even more perfect. We had a beautiful suite which was bigger than our house in the UK! so no complaints at all from us on the accommodation. It was spotlessly clean and in excellent condition. The staff were very professional and courteous and communal areas clean and well kept. Lounge on 2nd Floor very well appointed and comfortable and a good place to relax and unwind with the papers and enjoy lovely coffee and biscuits available all day. Breakfast equally good and plentiful. Wine and cheese in the evenings is lovely and all very fresh, nibbles etc. A very nice touch and a good way to spend time in the hotel without staying in the room, although because we had the suite we wanted to spend the whole evening in there! I would definitely recommend in terms of service, staff, amenities and location and would love to stay again when we (hopefully) visit the city for another holiday. It is a refreshing change from larger chain hotels. When we got married we couldn't afford to have a honeymoon abroad, so this trip was in place of that, and our stay in Elysee was the perfect way to spend our last night and has given us a memory we will never forget. Thanks.	
Apr 9 2009	Lovely little hotel.....	Just got back from a four night stay at the Elysee with my teen daughter. We had a perfectly lovely street side king room. A little noisy in the am so bring earplugs but otherwise.....big enough and comfortable. I put a four for cleanliness: the sheets had hair on them when we arrived as if someone had clipped their black hair all over them.....we asked to have them changed and it was done immediately....with a little doubt from the head housekeeper which I didn't appreciate.....she kept repeating...&quot;They are clean&quot; but they were covered with hair clippings which were not ours! Also, the room was a little dusty....lamps and alarm clock...Some things didn't work....the alarm on the ipod dock and the buttons on the phone.I tried and tried to call the front desk with the button on the phone and was told later that only the &quot;0&quot; button worked! would have been nice to know that from the beginning!The service at the front desk was great and very attentive and helpful. No complaints there ...very professional too.The breakfast was great and the service there was also, perfect and friendly.Wine and cheese was lovely too.Having the computer was helpful and handy.The location is great and safe.All in all, very good value.	
Apr 6 2009 	Great Value	I recently stayed at the Hotel Elysee for the first time, and was pleasantly surprised. The welcome at check in was warm, my room was ready, and nicely equipped, and I had the surprise of a breakfast included. It is a great location, as well.I would definitely stay there again.	
Apr 6 2009 	Excellent service ideal location	My husband and I stayed here March 18-22 based on reviews, and found it suited us perfectly. It's an easy walk to shops on 5th Avenue, Central Park, the Theater District, and Rockefeller Center. For longer distances, the subway is just around the corner.The staff provided exemplary service all around. I particularly want to highlight the efforts of the breakfast staff - always gracious, remarkably efficient. They continuously replenished the buffet of fresh fruit salad, yogurt, hot- and cold cereal, pastries, bagels, juices, coffees and teas. Just ask, and the girls will bring you an espresso or toast your bagel as you visit with other guests or read the Times or USA Today.We had a quiet room on the 6th floor. No view to speak of, but spacious (for NYC) and sparkling clean. The king bed's mattress and bedding were very comfortable.I can't imagine staying elsewhere on our next visit.	
Apr 5 2009 	Pretty happy overall	I stayed here for a week in March. I'm a bit fed up with paying top-dollar for big-brand hotels that don't offer much in return, so I thought I would try something more like a boutique.The location is very good, with all my mid-town meetings within a few blocks. Staff were very welcoming on arrival and were sufficiently organized not to have lost the presentations I had delivered to the hotel, which was a relief. I was on the 10th floor. There is only one lift and the week I was there must have been spring break because the hotel was quite busy and at peak times the wait for the lift was occasionally pretty long.Room was a pleasant surprise in terms of size: I had something approaching a junior suite, with a separate dressing room and decent sized bedroom. Bathroom however was a bit dated in appearance and pretty small. Wireless LAN is available free throughout the hotel which I have decided is a 'must' for all hotels I visit, I resent paying hundreds of dollars per night for the room and then being asked to pay another $20 for WiFi. If Starbucks can do it for nothing, so can hotels, right?My main issue with the hotel was the noise: I guess I was overlooking 54th St and every morning around 5:30 or 6:00am the traffic noise was horrendous, with trucks sounding their horns etc etc. If you like to lay in late in the morning, ask for a room somewhere quiet or don't stay here.The hotel wasn't really all that geared up for business travellers: breakfast was served in a lounge on the first floor, which was fine except that because it was included in the price (which was a plus), it was not really possible to have a breakfast meeting in the hotel. I tried one morning and the doorman pretty much tried to turn my colleagues away!	
Mar 30 2009 	Midtown perfection!	My husband and I stayed at the Elysee from 3/19 - 3/23. We had a fabulous room on the 11th floor on the back side of the hotel, which was fine because it was much quieter than if we'd been facing 54th Street. We even had what I jokingly call a &quot;Partial Park Avenue View&quot;. Our stay at the Elysee was nothing short of spectacular. The staff was always very friendly and helpful, and the 2nd floor lounge served up a fantastic breakfast each morning (go early, it's a zoo by 9:30 AM) and delightful wine and cheese in the evenings. In the afternoon, the lounge was a great spot to just people-watch out the window, and enjoy some coffee and cupcakes from Crumbs. The rooms were nicely appointed, and the large shower with ample water pressure was much appreciated after a long day of sight-seeing. Our only regret is that the Monkey Bar had not yet reopened. My husband is up in NYC often on business, and will try to stay at the Elysee whenever he can. I know when I come up next, I won't stay anywhere else!	
Mar 30 2009 	Very European in New York City	We spent 4 nights in early January 2009.....it is a great little hotel with all the amenities that we enjoy. Not for those who want &quot;glitz&quot;. Service could not have been any better. Wine and appetizers nightly and a wonderful, filling breakfast each morning. Location for visiting the MOMA is perfect. Bus service or subway are handy. It is an older hotel but well kept. We enjoyed and plan to return.	
Mar 28 2009 	New NYC favorite	Last minute trip to NYC, thought we'd try a different hotel. Have stayed at the Casablanca but needed to be near the Lex on the East side. After reading the reviews here, booked a king room and requested a high floor. A very nice staff member called to say that he didn't have a high floor available but could give us a larger and very quiet room. Spacious and elegant , it had an anteroom/dressing room which kept the large bedroom uncluttered with luggage and shopping bags ;0 The bathroom is small but serviceable with lovely fixtures. The breakfast buffet is similar to the Casablanca, beautifully presented, fresh fruit, yogurt, bagels, muffins, croissants.All-day coffee and cookies and the wine and cheese often salvaged us after a long day on our feet. Our new favorite and The Monkey Bar looks like it will be open soon.	
Mar 28 2009 	feels like home to us	This was our third visit but the first with our teenage children. They had their own room on a different floor but we never worried about them. The staff is so helpful with restaurant reservations or city tours, anything you need. They always say welcome back and after 3 stays it feels like home to us. We will be back!	
Mar 26 2009 	First Class hotel excellent in every aspect.	I booked two nights at the Hotel Elysee after reading a few reviews. I was searching for that special hotel to stay in whilst in New York, I had a suprise proposal planned so wanted something special and romantic.The staff of the Elysee were very helpful, courteous and swift when it came to arranging a few special requests via email and telephone. Upon arrival, we were both very pleased with every aspect of the hotel. The staff are friendly, knowlledgeable and polite, the public and private areas are very well appointed and looked after, and the facilities such as breakfast room/lounge and library are both cosy, romantic and welcoming.I look forward to making the Elysee my regular New York hotel.	
Mar 15 2009 	Nice old world NYC hotel	I stayed at the Hotel Elysee in March 2009. This first time was relatively good and I would stay there again. The location was good for the meeting that I had to attend in midtown. Check - in was quick. As I checked in I was upgraded to the presidential suite. This was svery spacious suite that felt like a small apartment. The living room had a dinning table that coould seat 6. The hard wood floors were welcomed as well. The bedroom was also very spacious and the bed comfortable. The hotel is an older property and it feels as if you are staying in an old world hotel. But not in a negative sense. The one issue I had was the fact that the one elevator can take some time since it serves 15 floors. The Suite came with breakfast included served on the second floor. Traditional continental with bagels and pastry, cereals and yogurt and juices and fruit. The setting was also very pleasant and by far more intresting than the more modern sterile hotels you will find in New York.	
Mar 15 2009 	The third time's the charm at least for us.	Just spent a night at the Elysee Saturday, and were very pleasantly surprised to find that we'd been upgraded from a Deluxe to a Suite for no extra charge. This is our third visit there, and it has now become our annual wedding anniversary tradition. The champagne was in the room waiting when I arrived, and we threw it in an ice bucket, went out for a walk up Fifth Avenue, and it was wonderfully chilled when we returned an hour later. Accompanied by some cookies from the second floor, and the complementary chocolate bar in the room, it was a cute and fun little interlude before going to Restaurant Daniel for dinner later that evening. I simply cannot stay anywhere else in the city when we visit, and the hotel has some of the most comfortable beds I've ever slept in, even more so than my own bed at home. The downside of the upgrade, of course, is that we are now spoiled for suites for the future. I guess we can learn to live with that. My wife simply loves this place, as do I, and whenever we return there, it's like coming home to friends. Everything is simply taken care of without having to demand it, from the valet parking to the bellman taking us to the room. The location is exactly central to the things we do and see, and I really hope to see the Monkey Bar renovations completed when we next return. This hotel has spoiled us for all others, and is the standard to which we compare any other hotel in any other city in the USA. Having a suite is something we've never experienced before, but now that we have, it's obvious we've been missing a lot. I guess I know what we'll book the next time we visit! This is the second review I've written in the last two years, but I can't resist the compulsion to do so.	
Mar 13 2009 	beautiful hotel friendly staff and conveniently located	Overall my experience at the hotel was great. The staff was friendly, the room was clean and comfortable and the complimentary breakfast and happy hour were nice bonuses.My street -facing room was a bit noisy, but next time I'll request a room without a view. The hotel seemed family friendly. While I was traveling this time for business, I will consider coming back next time with my husband and young daughter. The subway is close, which makes it easy to get to various locations. It is within walking distance to MoMA and the Met, which is great for museum lovers. I also discovered the Paris Theater, which is a wonderful art house cinema near by. The anniversary special that the hotel was offering made this an affordable option during these budget conscious times. I'll be back and have already recommended it to several friends.	
Mar 3 2009 	Very nice stay	This was our second time at the Hotel Elysee and it was just as nice as the first. The staff were very friendly and helpful. The first time we had a room facing the street, which was a little noisy with street traffic. This time I requested a more quiet room, which faced the back. Although the view wasn't much, we usually have our curtains closed so that was not an issue. The room and bath were kept very clean. The bed was comfortable and the addition of a flat screen TV was nice. There is a nice breakfast and evening wine reception, and throughout the day and evening coffee and tea, fruit, and cookies are out for the guests. The location is perfect, away from the hustle of Times Square yet walkable to the theater and the park and shopping just around the corner. The hotel does not have a fitness facility but does provide complimentary passes to the New York Sports Club, which was only a few blocks away. After staying many places in New York we have finally found our favorite.	
Mar 3 2009 	Perfect Location 	This little boutique hotel is located in a perfect location in midtown Manhattan. It has a european charm that makes it more special than staying in a large box hotel. We went for my birthday 2/26-2/28/09 and the hotel was kind enough to upgrade us to a small suite (room #60). The room was lovely although as every other reviewer has noted the bathrooms are small. The room rate includes breakfast on the 2nd floor (bagels, croissants, fresh fruit, yogurt, hard boiled eggs, coffee, teas, etc.). They also have a wine and cheese hour (5-8 PM) in this same room. We were able to walk to 5th Avenue and cruise all the designer stores and were easily able to get a taxi to get to our other destinations. The staff was very pleasant.	
Mar 2 2009 	Just right - aaaahhhh	The Hotel Elysee hit every note just right. We were three ladies in the city for one night to relax, see a matinee and enjoy a nice dinner. Very last minute, called Hotel Elysee the night before - the reservation clerk took quite a bit of time with me to determine the best room combination for our needs. Upon arrival Saturday morning, car was whisked away and we were given an early checkin. The rooms were perfect! I have stayed at the sister hotel, The Library, which I like very much - but their rooms are a little cramped. The Hotel Elysee rooms were roomy and I appreciated the seperate temp controls. (Can't sleep in a stuffy room). Decor is French something - pretty, not trendy and the beds were quite comfortable. Very clean, bathrooms had just been remodeled, shower actually had pressure instead of the usual dribble.My favorite part of this hotel group is the club floor which is open all the time with coffee, tea and cookies. Filled with comfy chair clusters, it is the perfect place to unwind between activities. This is where they present a very generous continental breakfast which was available all the way until 11:00, constantly refilled. Service was great, from the front desk, to the bellhop to the club room. Just love this hotel!	
Feb 28 2009 	beautiful hotel in midtown manhatten	We picked this hotel purely on trip advisor recommendation, and whilst fairly expensive it really was a beautiful hotel in a very good location. The rooms are spacious and immaculate and the staff cannot do enough to make your stay a great one! The complimentary cheese and wine (5-8) is an absolute must, but be warned don't overindulge especially if goin over the road to Bills bar where the friendly atmostphere and great barman 'Richie' will take care of you 'New York' style. Look out for 85 year old greeter Aldo whos mother used to cook for Rocky Marciano!Some great eateries around but Bobby Vans Steakhouse 2 blocks away is a must- expensive but worth it!	
Feb 24 2009 	Great service good price friendly staff..in Midtown? - unbelievable!	Although my daughter is in college in NYC, I rarely visit because of the high prices and unfriendly service at most hotels and restaurants. At the recommendation of a friend, I stayed at the Hotel Elysee with my family for several days during late summer. The staff was extremely helpful and friendly and the club floor is available to all guests with food, drinks, etc. offered during much of the day. On the day of our departure, we had purchased a few food and drink items from a nearby grocery store and had them packed in a cooler to take on the road with us. When the doorman saw us, he went into the hotel and brought back a bunch of crushed ice from the hotel kitchen and put it in the cooler for us. We were just amazed. I called this evening to make reservations for May and the gentleman I spoke with went out of his way to find me a lower rate and to provide friendly feedback and service. This is the way to win customers and keep them!	
Feb 23 2009 	Fantastic	Having stayed at many NYC hotels over the years the Elysee is a tremendous fine. Old world charm combined with superlative attention to detail and service. The staff are always warm and welcoming and the hotel exudes a homey sense of warmth and personal style. Highly, highly recommend this hotel to the discerning traveller that does not want to be just another cold number in a faceless big city hotel!	
Feb 23 2009 	Room with Benefits	We chose to switch our hotel reservation from a much larger NYC hotel last-minute because we discovered all the added complimentary benefits to staying at the Hotel Elysee. The free wireless internet was a lifesaver when searching for city addresses, subway stops, and dinner reservations, and we really were able to cut down on dining costs by taking advantages of the continental breakfast each morning. The deluxe room in which we stayed was by no means &quot;economy.&quot; It was spacious, clean, comfortable and was stocked with high-quality amenities. This trip was for our honeymoon, and we have decided to revisit this hotel every year.	
Feb 23 2009 	Highly Recommended	This hotel was great. It was a slow weekend, so they upgraded us to a beautiful suite with a private enclosed terrace. They provided a very nice breakfast. The location is great, as the 53rd &amp; Lexington subway stop is near. A cab ride to most places or neighborhoods of interest is also pretty inexpensive from this central location. Or you can just walk, as the surrounding area is filled with shops and sites. Somehow Hotel Elysee remains quaint and quiet in the middle of everything!	
Feb 17 2009 	Please don't book a room here - because I want to be able to get one!	I really considered writing a terrible review of this place to increase my chances of getting a reservation when I want one, but doing so would be a bigger lie than I'm willing to tell! I stay at the Elysee frequently for business and it has easily become my favorite hotel in NYC, even when I'm visitng clients in other areas of the city. It's that good. Antonio the doorman is a gem, the front desk staff very accommodating, and the breakfast/happy hour staff likewise helpful and cheerful without being intrusive. The rooms vary in size but all are more than adequate and thoroughly charming. The only time I've ever had a problem with my room (my most recent stay), they offered to move me while I was at business meetings and upgraded me to a suite. What's not to like? In fact, it is so comfortable a place that next month my new husband and I are going there as part of our honeymoon!	
Feb 16 2009 	Grest Boutique Hotel	I have been staying at this hotel many times a year for several years. the location is great for shopping and enjoying the windows at Christmas time. Everyone who works there is very helpful and friendly. the breakfast is very good and the servers are ther to help -from a newspaper to a toasted bagel. The rooms are clean and the beds are comfortable. I will be staying there again in April! Debbie	
Feb 16 2009 	Charming!	Lovely hotel - quiet, comfortable. Really charming.	
Feb 15 2009 	Perfect in EVERY WAY!	We just got back from a fabulous weekend in the Big Apple. We had a reservation for one night. We got to the city early on Saturday morning and the hotel actually let us check in early. The free breakfast was still available and they even suggested we take part in it, even though we weren't even technically staying there yet. They gave us the option of two rooms - a queen in the front of the hotel or a king in the back of the hotel. They warned us that the king did not have a nice view and no bathtub. We chose the king and the view did not bother us at all. They said the bathroom would be small, but we felt it was perfect. Very comfortable bed with down comforter. There was a turn down service with chocolates. Pretty room - very clean with very nice amenities. The breakfast was a fantastic continental breakfast - fresh NY bagels, fresh fruit , hard boiled eggs, croissants, cereals, etc. Not your average continental breakfast - it was all so fresh and yummy. The staff was extremely helpful and so friendly. When I return to NY, this is definitely where I'll be staying again! : )	
Feb 9 2009 	2nd time a charm	We visit NYC often and this hotel stands out above all others for many reasons. I was so impressed the first time staying here with my girlfriend that I vowed to bring back my husband one day.It was a special anniversary for my husband and I. I just happened to ask for an upgrade, mentioned the special occasion, and voila, we received a great upgrade for the night. My only regret is not being able to stay a night or two longer. Our suite was spacious, beautifully appointed with antiques, and had a charm that no cookie-cutter hotel can offer.As usual, service was attentive without trying too hard, the breakfast and the late afternoon snacks were a treat. However, the cafe au lait/cappuccino in the a.m. is not good if you know your coffees. Stick with regular coffee.Thanks to everyone at Elysee for another wonderful stay.	
Feb 9 2009 	Not Posh But Great Value	Just returned from a two-night stay at the Hotel Elysee in midtown Manhattan. Having lived in NYC for over 15 years, I can say that the hotel's location just can't be beat! For tourists, it's an easy walk to many attractions plus shopping, dining and theater. We booked a rather large, 1 BR suite for about $375 a night directly from the hotel website. I would estimate the suite to be about 650 sq ft--large by NYC standards. The suite featured a large sitting and dining area, tiny kitchen area (with dorm fridge, sink and micro--very convenient), nicely appointed, double-sink bath with tub and separate stall shower, and separate bedroom with king bed. The sitting area had a queen-sized fold-out sofa--comfy enough for two kids. Our room was located on the 10th floor, but there were really no views to speak of. Everything was meticulously clean. The king-sized bed was quite comfortable and the linens of high quality. Towel supply was more than ample.It was noted by one previouis reviewer that the rooms are not sufficiently illuminated. While this is a small point, I would certainly concur. More lamps or higher-wattage bulbs might be a good idea.The hotel offers complimentary &quot;happy hour&quot; Monday through Friday. Red, White and Champagne were offered as well as coffee, tea, water, juices, cheese, olives, cookies and fruit. This was a lovely touch and many guests seemed to avail themselves of this respite. Also complimentary is daily continental breakfast. There was an impressive array of items available, and for a family of three, this would represent a $50-$75 savings over eating breakfast in most NYC hotel dining rooms. Quite a deal if you don't need Eggs Benedict and mimosas.The front desk and lobby staff were welcoming and efficient. I think the faded &quot;monkey bar&quot; motif in the elevator area and hallways could use a bit of an updating.All in all, our stay was quite pleasant. This is a small, old-world hotel, however, so if you are seeking glitz, fawning service and an extensive list of amenities, you may need to look elsewhere. For us, the premiere location and undeniable value made for a satisfying weekend.	
Feb 8 2009	Loved Hotel Elysee	My girlfriends and I stayed one night at the Hotel Elysee for a weekend trip to NYC. We chose this hotel based on location and the reviews on this website. The reviews for this hotel are spot on. The front desk staff were extremely welcoming and helpful. The rooms were incredibly quiet, clean, and the bathroom was large. We stayed in a suite with a king bed and queen sized sofa bed pullout. Both were very comfy. There is free high speed internet access, free access to the NY Sports Club which is 5 blocks away, complimentary bottled water and chocolate, and an included continental breakfast in the very comfy 2nd floor club room. The club room has coffee/tea and snacks every afternoon (which we missed because we were out and about) and the breakfast every morning from 7a-11a. The breakfast was impressive with coffee, tea, juices, milk, cereal, fresh fruit, yogurt, pastries, boiled eggs, bagels and toast. The breakfast is well staffed and staff will toast for you, make lattes, and clear away your dishes for you. The club room is otherwise open for guest use and has comfy chairs, couches, a TV, and is very well lit and comfy. We would definitely stay here again!	
Feb 7 2009 	Highly recommend	Everything was perfect. Very helpful, friendly and accommodating staff. Exceeded our expectations!!	
Jan 29 2009 	Charming hotel in the heart of New York City	My husband and I have been staying at the Elysee for over fifteen years and we now consider it to be our &quot;home away from home&quot; while visiting NYC. The staff is professional, pleasant, courteous and endeavor to make our visit as pleasant as possible. We have stayed in many rooms over the years and have yet to be in one that was not to our liking. The best kept secret of the hotel is the 2nd floor concierge level where all guests may partake in breakfast and evening snacks. Coffee, tea and cookies are provided throughout the day. We enjoy this small boutique hotel for its superb location, warm staff, and great amenities. You will not be disappointed should you decide to stay there. John Avina, the manager, has done an excellent job maintaining the high standards for which the Elysee is known.	
Jan 27 2009 	Love the Hotel Elysee	We stayed at the Hotel; Elysee January 2009 and just loved itThe rooms are perfect, decor is done to make you feel at home and not in a hotel room. the breakfast are quiet and set in a beautiful room. Club room absolutely great for a nice relax after a big day out, with so much food and drinks.the location of the hotel is just perfect, away from all the busy tourist areas, but still close to everything. We did not want to leave and would love to go again	
Jan 26 2009 	Great value and location	This is the second time I've stayed at the Elysee and both times I have been extremely happy with my experience. The rooms are nicely furnished, the staff is extraordinarily friendly and the location is perfect if you are planning on doing business in midtown. Although I've stayed there on business, its very close to some great shopping and night life. The concierge reccommended a place called The Modern to get drinks and I wound up having a great night. On my previous trip I did dinner and drinks at Tao, which was only about a block away from the Elysee and had an excellent time there as well. I would highly reccommend this place for its comfortable rooms, friendly staff, and great location. Also the beds are incredibly comfortable! This is by far the best value I've had for midtown and I wouldnt stay anywhere else!-Matt	
Jan 19 2009 	fantastic stay	We visited the Elysee between Christmas and New Year to celebrate our twin daughters 18th Birthdays .When we arrived we were upgraded to a suite which was easily big enough to live in and the other room was great too.The complimentary breakfast was a great start to the day and the complimentary cheese and wine a great way to relax and unwind after a hard days sightseeing(actually we had champagne) mmm... lovely.As mentioned before a real homely feel and a welcome change from the corporate hotels and chains.Nobody warned us about the massive queues for Ellis Island-go early! and the Grey line bus is a great way to see all the sights.We also enjoyed an evening at Bills speakeasy diner over the road from the hotel a great idea if your tired after a busy day and don't feel like going far. Don't hesitate book it now!!	
Jan 18 2009 	Loved this hotel!!!	Unfortunately, the Monkey's Bar was closed for renovation, so I can not say anything regarding it.But the hotel itself was PERFECT!!! Actually, we have received complimentary upgrade to junior suite. Our suite was gorgeous!!!With separate living room and bedroom, all the furniture were of good quality! Maybe they should put wardrobe in the room so the guests could place their clothes in it, but it was not problem for us as we were staying just for 2 nights. Staff was extremely helpfull! We asked for adaptor and they brought us three different ones because they didn't know what type of plug we had. It was very nice of them!Breakfast is very good, wine&amp;cheese reception also good (I can not say anything about quality of wine or champaign they offer as I had tea all the times, but cheeses were very good!!!). All the day you can have a cup of tea and some pastry at no additional fee!We loved the location of the hotel, we loved food, we loved our room and we loved staff there!!!It is highly recomended to reserve a junior suite there as it is worth it!!!	
Jan 18 2009 	Loved it	I loved this cosy little hotel. The hotel was in a wonderful location. The staff was very professional. The hotel was like home away from home.	
Jan 15 2009 	A wee Gem!	My Wife and daughter stayed for 4 nights in January 08, this year they returned and allowed the guys to come on this trip. Stayed for four nights, really enjoyed our stay. Staff in all departments all very helpful. Both rooms very comfortable, good size and everything on hand to enjoy our stay.Best points: great location, very friendly service, small comfortable hotel, FREE wine &amp; nibbles each week day evening, a very nice touch, bearing in mind the price of wine in New York. Would certainly recommend this wee gem of a hotel.	
Jan 15 2009 	best hotel in town!!!	I recently stayed with my wife and my mother in law in the Hotel Elysee and all I can say it´s the best hotel I´ve been in New York so far!Our trip took place from december 25th to january 1st, we decided to spend New Year´s in New York and the Elysee made everything even more special.We booked the room a week prior to arrival and were upgraded to a suite!!! We even had a piano in the living room, too bad it wasn´t tuned... ;)The rooms are big (even the regular ones) and ultra-clean.Staff is very friendly.Free breakfast is great!!!And, after reading some minor complains about elevator issues, all I can say it´s that the day we waited more for the elevator we maybe waited for 5 minutes, no big deal!!!I also want to thank John Avina, the general manager of the hotel.He makes a terrific job and have guests feel like home, THANK YOU JOHN!!!!	
Jan 14 2009 	Old world charm in a wonderful position.	This hotel suited our family of 5 perfectly. As one of the previous reviewers mentioned, it has old world charm. The rooms - a one bedroom suite with interconnecting twin room were of a decent size for NY. I also liked that the hotel is not one of those large anonomous hotels. Front desk staff were efficient. A big plus is the position of the hotel, we could walk to many places of interest, or get the subway, which was also very close to the hotel.Being able to open a window was also a bonus.Breakfast was plentiful - beautiful fruit salad, pastries, yogurts, juices, a wide variety of teas, bread, cereals and hard boiled eggs - more than enough to sustain us for a day of sightseeing and shopping.Two small gripes - 1. that the one complimentary computer was often occupied, and hard to get access to. 2. The lift at peak time would often require a long wait - but since we were not in a rush this was acceptable.We would highly recommend this hotel - it has a very European feel and the complimentary food is a very welcoming addition, especially when travelling with children.	
Jan 11 2009 	Another Great Stay	Had another wonderful stay at the Elysee and look forward to my next. Courteous and friendly staff, very comfortable room, a real oasis to return to after exhausting days shopping and sightseeing. I find buildings and stores in NY are incredibly hot in Winter and it was great to return to a room which had great air conditioning. You can control how hot or cold the room is. I have stayed in a lot of hotels where you never seemed to be able to get the heat down but here it was no problem. Cannot fault anything and highly recommend the Elysee.	
Jan 10 2009 	Awesome	We arrived at the hotel to a very warm and friendly welcome. They made you feel very special and were more than happy to help you with anything. The hotel is in a great location - just off 5th Avenue, about 3 minutes walk from Central park and 5 minutes from Bloomingdales, which my wife loved. Breakfast and snacks were great and plentiful. All staff were very friendly and always seemed happy to see you. I would have no hesitations in staying here again or recommended it to a friend. With help from this hotel we had a great honeymoon.	
Jan 8 2009 	great discovery	We were a group of 6 ,including our 4 teenage kids!! First time staying at this great little place : wonderful location , warm peolple at the front desk , door , etc. We stayed at a suite and a connecting room , good size rooms , good service, maybe lights should be improved in the living areas. Nice breakfast in the mornings in the 2nd floor , drinks later in the afternoon !! Only once they had run out lf bread !!!! I would definetly go back as soon as we can!!	
Jan 8 2009 	Wonderful hotel	My daugher has stayed here many times but this was my second time. It is warm, wonderful and welcoming. The location is great for us since we are there to enjoy the city. Everyone is friendly and helpful and the rooms are comfortable. Breakfast and evening wine is great. I will always stay here when I'm in NYC.	
Jan 2 2009 	almost 10	Very good hotel in good position. we stay in deluxe roomRoom are spacius and clean.Good also the bathroom.Staff is very friendly .breakfast is ok.in the afternoon small free breakfast in the second floor.Points no good: lift always busy!and some people from the breakfast are not so friendly as the other staff from the hotel	
Dec 30 2008 	Lovely ambience at Elysee	I tried the Elysee after the Library Hotel, where I've often stayed , was less than efficient at handling the reservation. The Elysee is less hip but, for me, more convenient and pleasant in its own way. The reservationist asked my preferences and then seemed pleased to offer a room with 2 exposures. With a chandelier, the well-appointed room (comfortable bed!) was peacefully Old New York-y, though the tub was shallow and there was big noise, even 10 floors up, from some semi-continuous garbage operation down 54th. Adding to noise were rambunctious kids on my floor. The front desk offered to address the issue, but, since I was staying only 2 nights, we just made a joke of it. Breakfast and the evening wine offerings were satisfying, in a comfy atmosphere. The staff were unfailingly polite and helpful; the hotel supplied an umbrella; and when I traipsed in from my wet wanderings, the Elysee truly felt like a refuge.	
