	Clean pleasant convenient hotel.	My husband and I stayed here over Thanksgiving (2 nights). We purposely chose a hotel away from the craziness of the parade route, even though we knew we'd be going to watch it. This hotel is located less than one block from the W 4th St. subway entrance (a pleasant surprise), making it easy to come and go as we pleased. We quickly learned when getting off the subway here to follow exit signs for W 8th St. (not W 3rd). That brings you up to the Waverly Place and W 4th intersection, closest to the hotel. The hotel lobby is small, but clean and nicely decorated. There is only one small elevator, which was not a problem until morning hours when we had to wait for it to arrive. Continental breakfast was typical (croissants, muffins, fresh fruit, cereal, etc.) but I noticed people were waiting in line to be seated when we had finished. Glad we got there early. Our room was spacious for New York (if you can walk around the bed, it's spacious), and the bathroom was very clean and nicely appointed. I did not find the mattress that comfortable, but liked the bedding. The room was stuffy so we used the AC and it worked fine. Our windows looked out onto another building, but the view was unimportant to us since our plan was to go out and DO things vs. look out the window. However, it was a bit disconcerting to have no blinds/shade in the bathroom; just the bubbly privacy glass. And there WAS a room across the way where someone could have enjoyed voyeuristic views, I suppose. I just kept the bathroom light off. All in all, a pretty good experience.	
Sep 10 2008	Below Average	We only stayed here one night, having spent four nights at the Cosmopolitan Hotel in Tribeca, and two nights at the Alexander Inn in Philadelphia. The WSH was by far the most expensive of these three hotels, and easily the worst. The room was generally shabby, and had a feel of a prison cell about it. It echoed, was sparsely decorated, and had an inward facing window which afforded us a view of some kind of courtyard. It actually felt like we were underground. Breakfast was ok, but for the price (we paid £200 for our one night) I was really disappointed with the whole experience. Perhaps the other hotels we stayed in on our trip had raised my expectations somewhat, but, was really disappointed on the whole. I must give credit however to the staff on reception in the evening, who were very friendly, courteous and helpful.	
Sep 7 2008 	Good location good value	We stayed at the WSH at the end of August for 4 nights on a long weekend from London. Having stayed in NYC previously near Times Square we were keen to stay in a different part of the city and to explore more of Greenwich, Soho etc. The location of this hotel made it an excellent base from which to do this and is probably it's biggest asset. We arrived at night and were allocated a room on the 5th floor. We had booked a deluxe room with a queen bed and were glad we had, there wasn't much room in the bedroom so I'm not sure how much smaller the standard rooms/beds would have been. The room itself was pretty basic, clean and comfortable and it made a perfectly adequate base for our weekend stay. If you're looking for a plush room with all mod cons then this isn't the place for you but if you want somewhere clean and comfortable to lay your head at the end of a day out in NYC then this is just the place. The only real issue that we had with the room was the air-conditioning. AC is provided by small window mounted units which made a lot of noise and weren't very effective. The temperature was such that we could have done with the AC on at night but decided not to put it on as we thought it would have kept us awake with the noise. Given it's location and proximity to bars and clubs etc we did hear a bit of street noise late at night, nothing too bad but if you are a light sleeper best to ask for a quiet room if possible. Good points about the hotel are the free internet connection and complementary continental breakfast. This consists of juice, coffee or tea, cereal, yoghurt, fruit, bagel and muffin and was a good start to the day. If you want something more substantial then you can order from the menu, the prices are pretty reasonable. We also drank in the bar on the night of our arrival which was fine, if a little dark. The best thing about this place is the location. In the heart of 'the village' just across the road from Washington Square Park with a subway station at the end of the road. There are loads of bars, restaurants and shops within a 5 minute stroll and we enjoyed exploring the surrounding neighbourhoods. Overall we were happy with our stay. There was nothing fancy about this hotel but we were happy with what we got for the price we paid which we thought was very reasonable for NYC. We'd consider coming back if we wanted to stay in this part of the city again.	
Aug 30 2008 	Plenty of history not too much cleaning	Entering the lobby, having just enjoyed a taxi ride through the whole Greenwich Village area for the first time (so this is it! how exciting!), I was keyed up for an enjoyable stay. The reception areas are full of character—they've gone for this mix of Art Nouveau, Art Deco, combined with a Greta-Garbo vibe. Lots of dark colors, enamelling, rich velvets. Reception-area staff were also nice; courteous, helpful. But once in a guestroom (it's old Manhattan, so expect teeny-tiny and lots of rehabbing), and once your eyes get adjusted to the 1930s gloom, you begin to notice a lack of diligence in the dusting and vacuuming. Then there's the bathroom---OK, so I'm a clean freak, and if you don't mind seeing occasional hairs from other people in basins and bathtubs along with not-perfectly-removed spots from toilet bowls you'll be fine with the standard of housekeeping that the WSH is content with, at least according to the molecular evidence of the bathroom I was using. And don't look in too many corners.The breakfast room is fine (at the end of a maze of corridors; also, it turns into a gourmet lunch spot at noon). Coffee is basic (you can grab it on the run from flasks). But again, if you're sensitive to things like coffee cups and breakfast bowls that are a little sticky to the touch rather than feeling 100% clean—because they've been boiled in a dishwasher; I used to work in a canteen kichen–you might not enjoy this part of the hotel.	
Aug 26 2008 	Great Locationwould definitely go again	My daughter and I loved this hotel. It is a great place to return to after the hustle and bustle of the city and having visited a few other places in NY I was SO glad we were staying in 'the village'.The surrounding area has a lot of character and there are lots of quirky little shops and places to eat nearby. There was a little street noise but FAR less than you would get in other parts of New York and the hotel will give you a quiet room on request .There is a subway at the end of the street and we found it very easy to get around and it was central for all the main sights and activities.The staff couln't have ben nicer and fell over themselves to be helpful. The dining room is worth a visit , we went twice and the food was excellent each time. Yes the rooms are small but very clean and comfortable. The art deco style was cool and funky. We will certainly book here again on our next trip to NY.	
Aug 20 2008 	A Good Trip	Excellent location. Our room was quiet as it was less than 3 feet from the next building. So, nothing to look at. Room was small as is typical in NY. Bathroom quite nice. Everything new. Was a good value for the $$.	
Aug 20 2008	Great place	Pleasant, somewhat old fashioned hotel in a terrific location. The room was small but comfortable, with a small yet serviceable bathroom. Clean and light (our room faced the front street.) Continental breakfast was pretty good. The desk staff and concierge were friendly and helpful. No refrigerator in the room, and the television is small and mounted high on the wall. Minor issues all in all. Great place to stay if your focus is lower Manhattan.	
Aug 13 2008 	week stay in washington square hotel	The hotel room we had was beautiful, recently renovated and had the amazing 1930's style that new york loves so much. the hotel itself is great, the front desk staff were not overly friendly but we didnt have any problems with them! The guy who stands in the lobby did make up for it though, he was really friendly and always had a chat when he could! The location is great for new york if you want to travel around as much as you can, located near enough inbetween Times Sq and the statue of liberty. Its also only a 10 minute walk to the subway so easy enough to get around !	
Aug 6 2008 	Was really really disappointed	The best thing about New York is the service - but not here. I was travelling to the city for the first time and was on my own. I found the whole experience a real disappointment. You are pretty much ignored from the moment you step in till the moment you leave. No thank you after you pay. No bell boy, no assistance whatsoever provided to you once you check in. Not one member of staff smiled at me the whole time I was there. Room not available when I arrived - had to wait 5 HOURS!!!!!! even though I was told in my confirmation call made prior to arrival it would be available. Lugged bags through heavy door (with security guard just looking - too busy to open door) set off to room up wrong set of lifts, couldn't find room - was not told I should have used other lifts. Cleaning staff dont know how to clean - they didn't even wipe down basin or bath, or throw out rubbish each day.Breakfast was HORRIBLE and not even worth $1. The muffins and bagel offered were stale, and then there was some plastic fruit salad that was devoid of taste. Best thing - Babbo across the road for dinner.Stayed there for 9 nights and really was so unimpressed and so disapppointed with it. The cafe downstairs was actually shut most afternoons and I ate in the restaurant once - and was the only person in there. Had to flag down a girl to serve me - she was too busy chatting to her other wait staff, and then when the bill came they charged me for 2 extra glasses of wine - and when I questioned them didn't even get an apology. Really noisy airconditioner that intermittently switches itself off and on during the night. TV was really old and had terrible reception. My advice - pay the extra and get a better breakfast, better service and better facilities. Not worth it at all. Only good thing was the proximity to everything.	
Aug 4 2008 	Exception Value Unbeatable Location	I stayed here with my mother on her first trip to NYC and I am happy we chose this hotel.We looked at many other properties but weighing both location and price- Washington Square was the clear choice.The staff are very considerate and take time to get to know the guests.The room was spotless and well-apointed. The bathroom was very large. There is free breakfast.What sets this hotel apart is that you get an authentic NYC experience because of the location on a quiet street in Greenwich Village- where there is hardly any car traffic. There are no chain hotels nearby so you really get the experience of living amongst the locals. Subway connections are very close and staff will arrange airport transfers.I would not hesistate to return.	
Aug 2 2008 	We Loved The Washington Square Hotel	We spent 8 nights at the Washington Square from July 11 to 19. We had a renovated room with 2 double beds for myself and 2 teen girls. Contrary to what we expected, we didn't find the room too small at all. After all, we didn't go to New York to stay in our room!The teens appreciated the location near NYU as it gave way to a younger crowd in the evenings. There are alot of wonderful little shops nearby and a wide variety of restaurants and bars. It is a great neighborhood to relax in after a long day of sightseeing or shopping.The subway is about a 2 minute walk from the front door of the hotel although if you are up to it, you can walk to Times Square (we did it our first night there).Staff were helpful, rooms were kept clean and the included breakfast came in handy to get us out the door and start the day as quickly as possible.I would not hesitate to recommend this hotel and hope to return soon.	
Jul 30 2008	Fine hotel	This is a belated review as we stayed last year. I agree with the positive comments made by others. This hotel offers good value and a good location in Greenwich Village. Friendly staff made the stay enjoyable. Clean well equipped bathroom and comfy bed. Room was barely adequate size for two adults and luggage which is the reason I give four stars instead of five.	
Jul 16 2008 	Great Location	Great hotel, location smack bang in the middle of Greenwich Village. Small rooms which is average for NY but the beds in the deluxe rooms are mega comfortable. The conceirges are fantastic and a wealth of local knowledge. Visit the french restaurant on Bleeker called A.O.C. and sit and the bar and chew the fat with Phillip the Irish bartenders and the locals, before buying cupcakes at Amy's bakery (the queues for Magnolia are shocking!). Will def be back in 2009 and for many years to come.	
Jul 15 2008 	great location..	We stayed here for New year 2006/2007.Nice place and not too expensive as far as New York goes.Room wasnt massive and the bathroom small, but it had everything you needed. It was clean too.Liked the area, although you dont really want to be walking through the park opposite after dark.Only down side was breakfast, it wasnt that great and you had to line up every morning before you got a seat....a bit naff!!The staff were nice, although there was a bit of confusion when we booked and they nearly canceled our booking due to the fact we hadnt paid in full, even though we werent told to pay in full when we first called to book.All in all a nice stay in a fantastic city.	
Jul 6 2008 	Coudln't Have Been Nicer	My wife, 16 year old daughter and I spent 6 wonderful days here. Before we had spent 3 nights in a 5 star midtown Manhatten hotel. Hands down we enjoyed our stay here much more. The room is comfortable, the bathroom is roomy and seems to have been newly renovated. Everything was very clean, the staff was quite friendly, the included breakfast was a nice touch. Plenty of restaurants and shops are nearby, the subway is just down the street. If we didn't know we were in New York City hotel, we would have sworn we were in a European hotel. We would and will stay here again.	
Jun 30 2008 	Loved this sweet little hotel......	This hotel is a beautiful little gem in the Greenwich Village area of NYC. Greenwich Village is fabulous and within walking distance to everything. I stayed here for 5 nights for a conference and was within 8-10 blocks to my destination on Broadway St. between 12th and 13th St. My initial room (#407) was in the back with a view of a construction site. I changed to room # 617 with a gorgeous view of Waverly St. The rooms are on the smaller side, but have everything you need. The bathrooms are very clean, the beds are very soft and comfortable, and if you upgrade like I did, you can have web access in your room. The staff is usually very nice and there is free breakfast in the restaurant where you can actually sit down and enjoy coffee. You can order off the menu for more. This hotel is in walking distance to NYU and Washington Square so there are many restaurants, diners, shops, 24 hr markets to get anything you will need for your hotel room. There are cabs everywhere so you can go anywhere in Manhattan. My absolute best advice from this trip is to pack very, very, very comfortable shoes as you walk everywhere. I ruined my feet from bad shoes and had to buy new ones, but the damage was done by that point. I cannot say one negative thing about this place. There is no early check in so if you arrive early, they will store your luggage for you. Every Weds. Union Square has a Green Market which is a don't miss. If you make a right out of the hotel and walk up a few blocks, there are tons of shops and beautiful restaurants.	
Jun 26 2008 	Great for NYU	There are other interesting hotels in Greenwish Village, but if you have to be at NYU, this is the best bet.The hotel is funky, but rhe room very clean, bed comfortable and, like most NYC rooms, tiny.As another reviewer said, they are doing major work on an adjacent building - not the hotel's fault, but it was very noisy during the day. If you are coming for an NYU related event, make reservations WAAAAY in advance (3, 4 or even 6 months), as they book up quickly for those periods.	
Jun 12 2008 	Great little hotel	This is a wonderful little hotel! The room was quite comfortable and the service excellent. The complimentary breakfast in the dining room was really good. We thoroughly enjoyed the visit to New York--my first time. The hotel is well located near the subway, the park, and restaurants and bars and in walking distance of Chinatown and LIttle Italy. If you stay at the Washington Square, go to Volare, a great authentic Italian restaurant.	
Jun 11 2008 	One of our favorites in NY	We've stayed here for a week every June for several years, due to some work we do near NYU. It's a favorite of ours because of the small, intimate ambiance, the proximity to the park, smaller crowds than mid-town, and excellent service. If you can get rates that are reasonable by booking way ahead, it's a great value. On the downside, the rooms are NYC-small. Also, during our recent visit, the building behind the hotel was being renovated and there was a lot of construction noise at times. This looks like it could be going on for awhile. This is not the Washington Square Hotel's fault, but could be a concern if you plan on spending a lot of time in the room and are located in the back. If you stay here, be sure to walk around the block alongside the restaurant and check out the doggie day care on MacDougal St. There's a big window and you can watch all the dogs playing and waiting for their masters to arrive to take them home!	
May 31 2008 	Perfect Village Location	The Washington Square Hotel is right in the heart of the Greenwich Village. The location gives you easy access to the village (East &amp; West) and also the trendy Meatpacking District. Bleaker Street is around 5 minutes walk from the hotel with all its bars / cafés / restaurants and shops. The hotel itself is pretty in a boutiquey way, the hotel foyer looking like something out of the 1950’s. The room itself wasn’t spacious but there was enough room to ensure a comfortable stay (and this is New York remember!). A comfortable bed and free Wi-Fi ensured the hotel ticked the boxes. Breakfast was complimentary and plentiful, providing a nice start to the day. The Washington Square isn’t the cheapest hotel you’ll be able to find in NYC but it is towards to the lower end of the price bracket. If you want to stay in the Village rather than midtown (as we did) you’re not going to find a better place in NYC. A great hotel, friendly helpful staff and a great location.	
May 20 2008 	fantastic	We staid 9 nights in a deluxe renovated room, on the 8th level. everything was perfect. you join any undergrount line from 100 to 500m from the door. the front desk is so helpfull, all the staff is sympathetic. the breakfast, included, is simple but excellent. you can order extras for your breakfast. the restaurant and lounge bar serve excellent food also.	
May 4 2008 	Neat place to stay!	What a neat place to stay. Yes, the room and bathroom are small but it IS Manhattan! The hotel had an Art Deco/old movie star theme. The room had new furnishings, new carpet, fresh paint. The linens were fresh and new. The beds comfy. The bathroom was small but very clean. There were not bugs, street noise, etc. that others may have seen/heard. The included continental breakfast was great! We had juice, coffee, a bowl of fruit each, and a basket of bagels, muffins, and scones that were delivered to our table. We could have had yogurt and cereal as well. It was definitely a nice touch. Although we didn't eat there, Babbo is right across the street. A very nice hotel. The front desk was helpful too.	
Apr 30 2008 	I checked out the next day	The Washing Square - Greenwich Village.I booked 5 nights in the Washington Square Hotel. Never again.I had found a new hotel within 1 hour. We stayed the night onlyHostel came to mind. I hated it - we paid 250 dollars a night - rip off.I vaule this hotel as a 90 dollar a night at the most.The rooms were not bad, clean. But the hall ways and reception left room for massive improvement. The staff didn't fill me with confidence.Breakfast - there was a big queue waiting for the next people to sit down. We wouldn't queue I'd rather pay and get seated right away so I can't comment on that.We booked in the Crabtree Metropolitain on Lexinton and got 1st class accomodation ( king room) for 9 dollars more. If you want a bigger room ask for the King. It was 15 mintuers walk to Greenwich village. Loved it. Breakfast was wonderfull.If you want to get a taxi to Greenwich Village its really cheap. Trust me, Take a cab and get a better hotel.	
Apr 29 2008 	Great area comfortable hotel pity about the noise	We enjoyed the situation of this hotel which is near Greenwich Village and away from the main tourist drag. Our de luxe room was fine with two excellent double beds, plenty of storage space and a decent bathroom with good shower. Breakfast was not exciting but good enough with fruit salad, and a bread basket with bagels and muffins. Cereal was also provided on request. Fresh orange juice and coffee were very good.On our first evening we dined in the hotel restaurant which was excellent and very convenient after a long flight (we booked a table on arrival - the restaurant is usually busy). There are lots of good restaurants within 10-15 minutes walk of the hotel - it's a good idea to book, especially at the weekend.The real downside for us was the problem of noise starting with deliveries or refuse collection well before 6 am and also the very intrusive building noise which is taking place close to the hotel at the moment. This starts around 8 am and is LOUD! It was possible to reduce the noise to a small extent by keeping the window closed (but it did not appear to be double glazed - so this did not make a huge amount of difference). If the window was closed the room got warm (even in April) and the air conditioning was also extremely noisy. We are not light sleepers and can usually sleep through the sort of noise you might expect in a city , or with air conditioning, but this was really bad.Overall we liked the hotel and there is little choice in Greenwich Village area. However I think we would only book again if we were going in a cool season when it would not be necessary to use air conditioning and we would check first to see if the building work had finished. Our room was at the side of the hotel - it is just possible that rooms at the front may be quieter.	
Apr 17 2008 	Nice hotel in great area	Stayed at the WSH for 4 nights earlier this month. Found the staff to be very helpful and the rooms were small but clean. It is in a fantastic location with loads of bars/restaurants nearby and the subway a 2 min walk.Yes, the hotel was expensive and the rooms small but this is the norm for NYC! The decor in the corridors could do with some updating too. Let's face it tho, you dont come to Manhattan to sit in a hotel room - all you need is a comfortable, clean room and a decent shower which we had.The inclusive breakfast was also good (and rare for hotels in Manhattan) which set us up nicely for a hard days shopping.Would stay here again!	
Apr 16 2008 	Great stay	We stayed at the WSH for 5 nights in early April. The staff were friendly, the room big with a good sized bathroom. It's an excellent base for getting all over Manhatten and over to Brooklyn (close to the A, C and E subway on West 4th). I would certainly recommend it. But make sure you pay the extra and get a Deluxe room rather than a Superior, it's certainly worth the extra.	
Apr 15 2008 	Excellent little hotel	Just got back from a weeks stay. Hotel was comfortable and staff very helpful. Food in the bar was great and the service second to none. Good location with subway and restaurants very close. Would stay there again.	
Apr 10 2008	Very disappointing	We had planned to stay for 5 days but left after 2. The hotel is nicely affordable, but I guess you get what you pay for. Room was small and dank, facing a wall. There was insanely loud construction going on starting at 8 in the morning right outside our room -- did not make for a pleasant vacation experience. We found the staff to be unhelpful; for instance when we arrived no one helped us with our bags, when we discussed changing rooms we were met with indifference. This is one of the few hotels in the Village area, which is why we picked it. But overall quite a disappointment.	
Apr 9 2008 	what a bug riddenanti smoking rip off joint!	The Washington Square hotel is an overpriced DIVE. They banned smoking in this hotel, yet the rooms are FILTHY, and the room I had had BUGS in it -- and even with the bugs and filth, they expect people to go out in the cold to smoke?! Ha!!! All the rooms I saw were the size of closets. So for a TINY, BUG INFESTED room where you are not free to smoke a cigarette, you get the honor of paying over $300.00 per night. It is a FLEA BAG HOTEL...LITERALLY. Don't stay there. (By the way, we did smoke cigarettes in their non-smoking room, in their non-smoking hotel, regardless of their new rule, which was put into place just when I made my reservation, but they didn't bother to tell me until I arrived to check in! We were too tired and cold to look for another hotel, so we checked in and smoked in the room anyway. Maybe our smoke killed some of their bug infestation problem, in that room at least)	
Apr 7 2008 	Highly recommandable	Stayed at the WSQ from 27/3 until 1/4 and I can recommend this hotel to anyone who wants a decent and cozy room in the middle of Manhattan. Subway station is just around the corner as well as literally hundreds of cafés, excellent restaurants, pubs, delis. We got a room at the 8th floor which was very nice and I guess considering that you were in the middle of Manhattan very quiet. There is also complimentary breakfast which we actually had only once during our stay because we are not the breakfast-type people, but it was decent - coffee, tea, fruit salad, orange juice, bagels &amp; muffins, butter &amp; jam. For New York and due to the excellent exchange rate (at least for people from EURO countries), this place is almost a bargain. The neighbourhood is great, we were walking around Greenwich &amp; West Village, Soho during late night and felt absolutely safe.Would definitely go there again!!!	
Mar 25 2008 	Value for money in Greenwich Village at the WSH	I always, but always, when in NYC stay at the WSH. Its strengths are its location (good for NYU and transportation), its relative cheapness (for NYC), its small scale and mainly helpful staff. The drawback is the size of the rooms. The restaurant is ok for breakfast (included is the basic but extras cost) but pricey for lunch and dinners. The jazz brunch is fun. Overall, it is recommended.	
Mar 18 2008 	Great Location. Quirky Decor. Great Value. Lovely Breakfast	Loved this hotel with its friendly staff, quirky decor and adequate sized rooms (inc. large bathroom with separate toilet).We overlooked the service area and there were rooms opposite which wasn't great but we were hardly ever in the room (jet lag was getting us up at 5am) so it didn't matter.Breakfast was generous and fresh - great start to the day.Great location among the student bars, comedy clubs and restaurants and halfway between the north and south tourist attractions so easy to walk everywhere from the Hotel.	
Mar 17 2008 	lovey hotel in a fab area	Stayed at the hotel for 4 nioghts, were inroom 809 and could see the empire state building from the room which was fantastic. Breakfasts were lovely, fresh fruit, yogurt, juice. Only draw back, was no tea of coffee facilities in the room ,las as we were wking very early around 4 am to 6am would have loves a cuppa, instead it was a quick change and down to starbucks at the end of the block for a take out. Otherwise no fault as the subway wasa a block away and it was a 10 min walk to greenwich. Would ue=se the hotel again	
Feb 25 2008 	Perfect place to stay	Just back from a week's stay with a girlfriend - what a gem of a place, fantastic location, very clean room, friendly helpful staff, agree with all the comments made by other reviewers. Great to just walk downstairs for breakfast (ample for us, loved starting the day with healthy fruit and yogurt, orange juice, bagels, and all included in the price). Never had to queue or wait for service. We had a delux room on 2nd floor with partial view of the Square. My only criticism is that the room decor is rather drab, though had just be renovated (don't think much of their interior designer, if they had one...dull browns and beige - more colour please, but that's just my personal taste) Lovely fluffy bathrobes and lots of towels and toileries. Tip - if you can use the stairs that lead up from the restaurant to get to your room then do - much nicer and grander than the narrow cramped corridors that lead to/from the elevator (and all that horrid swirly plaster on the walls!)Location perfect - just loved Greenwich village, not at all touristy but only one stop on subway to 42nd street. Lots of great restaurants and cafes within walking distance, and felt very safe whatever the time of day. places.Staff so helpful (will book tours, recommend places to eat/visit, check flights etc - very reasurring as we were due to fly home the day after 6&quot; snow fell and flights delayed by 6-8 hours, thankfully all back to normal the day we flew) All in all, no complaints and would definitely stay again - and happy to recommend to others.	
Feb 17 2008 	Great value for money + great location	We arrived late into New York, so had already booked a table at The Square restaurant, right next door to the Washington Square Hotel, and as we found out, part of the hotel itself. The food was gorgeous and it was great to stumble back next door to our lovely clean and soft, comfy bed to sleep off the jet lag. Having read other reviews about noisy rooms, we had requested a room far away from the elevator. The room we got had no view (we didnt need one!) but was so quiet, we didnt hear anything! Next morning the fresh complimentary breakfast was served in the restaurant we had been to the night before! The staff were friendly and smiley without being gushing. The location of the hotel was perfect for us - metro station right on the corner, and on Saturday night Greenwich Village was right on the doorstep - really busy nightlife with a great atmosphere.	
Feb 14 2008 	Trying to put a good face on it	I stayed at the Washington Square Hotel on Feb. 12, 2008. I chose it for its proximity to NYU law school (block and a half away). I paid $220 + taxes, which included breakfast.The hotel did the best it could in an old building. My room was small, just big enough for a double bed with 3-4' of space on three sides. The bathroom was small enough that when I put the bathmat on the floor, it was like wall-to-wall carpeting. But the room and bathroom were both very clean, and I heard no street noise. (I was in room 329, and the window faced a courtyard or alley, I couldn't tell which.) I heard the shower in the room above me once, but otherwise did not hear any noise from nearby rooms.The room was very thoughtfully outfitted. The bed was comfortable and clean, there was free (wired and wireless) internet access, bathrobes, an umbrella (which I needed), etc. The fitness room was also small, but had a couple of treadmills, a stepper, half a dozen weight machines, and a few other things.The hotel doesn't have room service, but there is a nice restaurant on the first level and it will package food to go so you can take it back to your room. I had some terrific scallops there. In the morning, breakfast is served there -- fresh squeezed orange juice, coffee, fruit salad, bagels and muffins are brought to your table and included in your room rate, and then you can also add additional food (one egg, $2, three-egg omelette, $9). I'd probably return to this hotel if I needed to stay by NYU again.	
Feb 3 2008 	Great Place to stay in new york!	We stayed at this hotel over new years for 6 nights and it was exactly what you needed to have a great trip to new york!Fisrtly our flight was delayed on the way over and we got stuck in Fiji and had to cancel our first night with only 24hrs notice with which they were very accomodating and didnt charge us for which was appreciated.The people at the front desk were lovely, very helpfull and freindly! Breakfast included in the room was good and aparently not very common for new york, so if you want to start your day without trekking around looking for somewhere to eat its great!Thr rooms werent anything fancy but we hardly spent ANY time in them and when we did the room wasa clean, bed comfy, tv had a million stations and the bathroom was a decent size too - i would reccomend a renovated room!Ther hotel is right on the park which was nice and we saw the movie I am Legend while we were there and the movie was set around the park alot which was fun to see!I liked the location because it is very central to new york city so where ever you want to walk is not too far away - we walked everywhere! There were also some great restaurants around in greenwhich village, soho, west village etc which were no more than 15 min walk from the hotel.Overall i found it good value, great location, nice room and nice staff - i had it reccomended to me by 2 people and i will now reccomend to others myself!	
Jan 27 2008 	Great hotel	Great little hotel in Greenwich Village.Reasonably priced (for New York), good location, very good breakfast included in the room fee.Only complaint was getting a room next to the lift but at least that wasn't working between midnight and 7am.	
Jan 19 2008 	Great Hotel great location!!	I stayed at this hotel for 5 nights over New Years 2007-08 and had a great stay. I was in one of the room son the third floor which has been refurbished and feel a good job has been done on the refurb. The room actually felt quite spacious, with a large bed and smaller separate bathroom. The room looked exactly like the hotel photos that you can see.The location is fantastic - Washington Square across the road, an entrance to the W4th St subway station at the other end of the block and only a couple of blocks to walk to Bleeker Street.The staff were very helpful both in just checking in and out as well as with any questions that I had.The included breakfast at the restaurant was a great way to get the day started, with usually juice/coffee, a bowl of fruit salad and a plate of breads/muffins.All in all, would definitely recommend this hotel!	
Jan 8 2008 	Great location mixed stay...	First - the location is great. If you want a more authentic New York experience, Greenwich Village is a must. Great atmosphere, shops, coffee shops (real, not just Starbucks!), and the hotel is bang in the middle of all of these. A subway just around the corner will wizz you up to Times Square, but we couldn't wait to get back again!Having stayed in New York before, there are some things you just can't change... yes the rooms aren't huge, but who needs a huge room when there's so much to see outside! The bigger issue was the size of the bed, which though it said Queen, was not the size I expected, and my feet did go over the end! Yes, it was noisy outside, and we did have to move once to escape the noise from above the bar exit at 2am, and yes the lorries and sirens woke us up, but this is a city, so you get over it!The staff were helpful and generally very friendly, and the breakfasts were great. We did eat in the bar on our first night, and the food and service were very good.Would I go back? I think so, and I would recommend to friends, but for a real authentic experience in a great location, you have to put up with the odd flaw!	
Jan 7 2008	Well Priced Great location No Troubles!	This hotel was in a word fantastic and made our holiday.From the moment of arrival we where welcomed by a cheery chap who opened the door and gave us a happy holidays shout!The room was not huge by any means but it was clean tidy and compact. It wasn't too small though dont think that... It depends I guess on what you are looking for. I loved the touch of having bath robes for each of us and an umbarella for our use during our stay. We arrived also to find that brekfast was included with our room rate... which was a welcome surprise as when we booked with expedia we understood it was not. The breakfasts where of a continental style served by proffessional team of hispanic waitors all dressed in black. They just hit the spot with me and I have no complaints. They also offered huge cooked breakfast options and we watched many people getting platefulls delivered whilst thinking how could they possibly down all that food at this time in the morning.As for the general hotel stuff.. It was busy but not to noisy... the air conditioning worked fine... we had no problems with the bathroom or a supply of hot water...In short a well recomended hotel... especially if you preffer the downtown area of the city. Much less bussier than the whole mid town razamataz... which is nice to experiance but not great to come home to in my oppinion.	
Jan 2 2008	Pros and Cons. Charming but .......	I stayed at the Washington Square Hotel two weeks before Christmas when hotel prices are at their highest in N.Y. My niece recommended this hotel for its relatively reasonable rates (remember this is NY), great location and really charming atmosphere. I'm in the city a lot and I don't like large, impersonal hotels. This boutique hotel was perfect. However:Cons: Street noise was bad and we were on the top floor. The room air conditioner could not be turned on (this was December) and the only way to cool the over-heated room was to open the windows. (This is typical of city apts. but not hotels.) The recycling truck crashed below at 2 a.m. but I took a sleeping pill and slept well the rest of the night. There's always an answer!The pillows are like bricks (a previous reviewer was right.) Bring your own pillow. Book a room away from the elevator.Pros:The room was very large, 2 double beds, and immaculate. Beds were extremely comfortable.Bathroom was large, 2 double sinks, gleaming white subway tiles and also immaculate.Breakfast (included) was perfect - bowls of fresh fruit, basket of assorted breads and unlimited coffee.Restaurant is very well known and deservedly so. People come from uptown to dine here, but it still has that neighborhood feel that makes a visitor believe that he has an apt. around the corner and has just stopped in with friends. The best. Make a reservation when you book the room.Recommendations: Spring for the luxury rooms that are newly renovated and decorated like the lobby in the art deco style. Check the website - the older rooms look like monks' quarters.Also check where the elevator is. In our room it was in the wall behind our beds' headboard, but again that's why I travel with my emergency sleeping pills.Would I go there again? I think so, but I would be sure and deal with the pillow, noise and heat problems ahead of time. All three could be avoided when booking the room. I was with my sister - when my husband heard of the problems, he said that's why he stays at large, quiet, impersonal hotels and would never put up with those inconveniences. But it was charming!	
Jan 1 2008 	Great small hotel	Booked the hotel through Trailfinders as it is one of their recommended hotels. Although you see the rooms quoted as being small, ours was plenty big enough (although we did book a deluxe room). Lovely bathroom with 'condiments' amply provided. We were expecting a mediocre breakfast as it was included, but were pleasantly surprised.We had an evening meal in the North Square restaurant which was delicious.Not too far to walk to a choice of metro stations - and an easy walk to the shopping area of Greenwich Village. The Olive Tree is a short walk and also a nice place to eat and while-away an evening.We'd book again.	
Dec 29 2007	Very cozy hotel!	We just returned from a stay at the Washington Square Hotel and had a wonderful experience. Because we were a family of four on a budget we were able to book a renovated quad room which provided ample space and a very nice, clean bathroom. The staff including the breakfast crew were always smiling and very helpful and made us feel welcome in a big, busy city. Highly recommended!	
Dec 18 2007 	Great Hotel great location	We stayed 4 nights in mid December. The room and bathroom were clean and reasonably sized. The room was warm (NYC had two snowstorms whilst we were there). No view from the room but we hadn't come to NY to sit in a hotel room. Reception staff were always helpful, provided maps, discount vouchers and advice. They even booked us in on our return flights and printed our boarding cards for us.The included breakfast was a pleasant surprise, fresh fruit and juice followed by muffins, scones and bagels, unlimited tea or coffee.The North Square restaurant was good value for evening meals - but book if you intend to dine there on Friday or Saturday night as it is very popular.The subway at West 4th Street is just a block away.All in all an excellent hotel.	
