	Disappointment	I had high expectations for this hotel given its reputation, and was really wowed by the architecture upon entering. Things went mostly downhill from there. The staff lacked the warmth and willingness to assist I would expect from a Four Seasons. This was obvious from the moment we checked in, but got worse when we notified the front desk that we had no hot water. They said they would flip a switch and get the hot water running, but that did not happen. When we called again, they finally sent a repairman (rather than simply send us to a room that had hot water). He still did not get it fixed. After calling one more time and getting blown off, we just shivered for the rest of our visit (it was snowing outside). Smaller issues, but ones that I would not expect at this hotel: dirty dishes stacked up and abandoned on a tray next to us at the restaurant; a 45-minute wait for room service to bring granola and coffee, with no explanation offered. The room is big by NY standards and of course the location is great, but St. Regis and Ritz-Carlton are far superior in terms of the appointment of the rooms and service in this area.	
Mar 14 2008 	Luxurious Break (but not for my wallet!)	Yet again, a lovely weekend wearing my corporate wife hat. I'm trying to sleep my way around the Four Seasons chain - a girl has to have ambition! (NB Same husband at each hotel though) We had a corner room on 21st floor - lots of room, but not much furniture. Felt a bit empty at first but got used to the space after a while. Bed wonderfully comfortable, comfy sofa and tables, desk etc - although there were a few worn patches on the sofa (tut tut 4S - less than perfection).Being a typical Brit I was desperate for tea in the morning. No in room facilities, and £11 for a cuppa... I was twitching when I flew back.The bathrooom - how fabulous! Big deep bath - filled in 60 seconds. Lovely soap &amp; stuff (sorry guys, kept pinching it each night so I had lots to take home). Big wonderful shower. Fluffy fluffy towels. I know it's irresponsible, but I had a bath every evning!Staff were soo friendly. Breakfast wonderful (but not cheap) with emphasis on quality, not quality. But when will American hotels get the hang of making tea???Tried out the spa (told you I was playing corporate wife) - very pleasant surroundings, friendly staff, but a bit $$, even for a Londoner!Convenient location - I'm not a great shopper but if that's your thing, you'll love the 4S. Easy to wander to Central Park for a bit of greenery, or down to the museums.Would happily return - and even pay for it myself!	
Feb 25 2008 	Winter wonderland	This really is a fantastic hotel. We were upgraded on arrival (thanks!) and our room was absolutely huge. Previous stays in NYC have generally involved tiny rooms, but not this time. Saying that, it is eye-wateringly expensive. One grumble. When ordering a cheese and tomato omlette for breakfast, I would have thought that they could source a better cheese than &quot;Squeeze Cheese&quot;. Yurgh. One final thing, the concierge was a master!	
Feb 15 2008 	A perfect stay!	Just arrived from the Four Seasons New York and loved it. At our arrival, we received a better room than the one we reserved. The reception gave us the room #2805, on the 28th floor, facing 57th St.Woowww!A corner room, with a view! As advice, observe that after the 24th floor, there is no other buildings at this heights on that face.Check our photos. A pair of windows make the room full of light.It has a closet, and a big bathroom.The service is very quick and the concierge veeerrrryyyy helpful.The only negative note is that the breakfast, either in the room or at the doesn't value what you pay for.Certainly, recomend and will return to this hotel, where we stayed for 6 nights.	
Feb 12 2008 	Incredible rooms wonderful hotel 	We had a wonderful time at the Four Seasons New York. My boyfriend and I spent 2 nights here late January, and the hotel is in the perfect location if you are looking for top of the line shopping and incredible restaurants (not to mention Central Park!)The rooms are huge -- I could not believe the size because NYC hotels, even at the 5 star level are usually on the smaller side compared to the rest of the world. But this room was definitely top of the line -- comfortable bed, amazing pillows, flat screen tv and also a flat screen in the bathroom. The bathroom is huge and clean, and well appointed to. The bathtub fills up in 60 seconds and is the best tub for a relaxing bath. The bar serves great drinks (at $22 a drink), and has a great menu to choose from. The front desk personnel are professional, and the doormen were fun to talk to.I would definitely recommend this hotel for anyone looking for luxury, relaxation, and tons of entertainment right outside the door.	
Jan 24 2008 	We can't get enough of the Four Seasons	We stayed again at the Four Seasons NY, for my son's birthday celebration. It's hard not to like this place, where they pamper you endlessly, even if you're not a celebrity.During the Christmas season, there's a &quot;beany baby&quot; tree in the lobby, which the kids get to pick from at every meal, or just walking by. (The hotel is owned by Ty Warner, creator of Beanie Babies)We always opt to include breakfast with the rate, because we will eat the extra 60$ they charge to include it. There was a stay 2 nights, get 1 free, so it almost made it reasonable in cost.The location is great if you're looking to stay near the park, and the shopping is extremely close as as well.Whenever we can afford it , it's the four seasons or the St. Regis for us!	
Jan 13 2008	Beautiful Hotel but no wireless internet?	Hotel has a very asian flare. Expansive Lobby and comfy beds. Doormen and Concierge are world class. But the hotel still does not have wireless internet. How is this possible at a 5 star hotel in 2008? Our closet was the size of my first apartment. If you like to spoil yourself, stay at the Four Seasons and visit the spa but don't plan to curl up on your bed and get some work done. You have to hard wire into the Ethernet at the desk. 600 threadcount and no wireless = Above Average.	
Jan 13 2008 	Astonishing Palace - Wonderful Four Seasons	Wonderful stay at the Four Seasons Hotel New York so far the finest Hotel I have ever stayed in. My experience has been amazing if I value the physical features of the Hotel (including interior and exterior design/architecture) as well as the quality of service I received by all the staff, commencing from the doorman at your arrival. The Hotel is a 52-story building at a premier location 57 East 57 Street, between Park and Madison Avenue. For some reasons – such as the masonry building and the punched windows – it reflects the perfect tradition of New York and fits in it gorgeously, whereas in a different way itself stands alone: it is not a flat building but a light limestone cascade which creates an inviting scale for the main entrance. At each corner is set a lantern which at night create an invitation from the outside. The light honey colour of the limestone tower gives you a sense of well being and when you are inside it is all a surprise. LobbyImpressive, high ceiling with columns, onyx and limestone composes the foyer which is open onto the terraced lobby lounges on both sides. On one side there is 57 Restaurant and on the other side you have the TY Bar. Front Office/ConciergeThe reception is located past to the Concierge’ desk, which is in front of the main entrance. Staff is excellent – kind prompt friendly – they always come with a smile. Check-in is was quick and although the Hotel was fully committed we did not have to wait for our room to be ready. With the Concierge we only arranged a couple of sightseeing plus booked 2 dinner and experienced their insightful knowledge. RoomLarger than average Deluxe Room, even for NY standards with plenty of space for a comfortable sitting area with a divan, armchair – seating for 3 people with a large coffee table. The FS beds are marvellous all over the world, I would love to buy one for my home. There is a large oval table which serves either as a working desk either as a dining table. At the desk you do have the cable for the Internet connection, a printer/fax/scanner at your disposal and all the electrical devices for your laptop. The table faces the huge glass window, which itself overlooked the bustling 57th Street. Even if you are not staying at top floor – we were at 28th – you would definitely enjoy stunning views of the city. UpgradeOn our seventh and last night, we have been upgraded to an enormous 93 square metres studio-one-bedroom suite on the 50th floor (see picture). We enjoyed breathtaking views of Manhattan either at day and night and there was also a private terrace which we – unfortunately - cannot take advantage of because of a tight working schedule. All of our baggage have been packed and unpacked for the room move, but you have to authorize them for that. BathroomHuge full marble bathroom with ample space. Features: englassed walk-in shower and separated bath-tub that really fills-in within 60 seconds, it is a promise – perfect for a last minute relaxing bath after a long day of work or sightseeing. Luxurious Bulgari Amenities that are replenished twice daily. Excellent turn down service as per the picture and very nice touch the plasma TV screen.RestaurantsWe dine once at the outstanding l’Atelier de Joel Robuchon where we experienced an excellent service. The ambience is sophisticated and elegant yet casual. The kitchen is open onto the dining area and you can see the Chef at work, which is basically the meaning of the word “Atelier”. The dishes are tasteful – even if you are not a French cuisine fan – and presentation is top notch. You can even choose less formal dining options such as Express Menu which we enjoyed at the fairly reasonable price of USD 54. If you are looking for something less ambitious the 57 Restaurant is good as well and overlooks the main lobby. Great for business breakfast and/or lunch. At the TY Bar you can choose among a wide range of Martinis for appetizers or cocktails. This is facing the main lobby too, with a very nice fireplace. Breakfast:It is not buffet, of course, and you can choose among the most sophisticated combination of cold and hot dishes according to your low fat diet, or choose a Breafast Menu such as American/Continental/Japanese/Central Park: I loved the Central Park Menu and also tried the Japanese one with the finest grilled salmon and green tea I have ever tried. All of them are approximately at USD 30, except for the Japanese USD 47, which is not that much for what it is included. One breakfast menu can be sufficient for 2 persons or even for three. Fitness Centre:500 square metres of space for your daily routine with complimentary juice/water and cut fruits. A wonderful experience to start or end your day in the city, better if combined with the Spa. Spa:Whirlpool, Jacuzzi and Turkish bath are perfect for relaxing in a tranquil environment. Did not have massage/treatments and cannot judge on the quality and service but it certainly is overpriced. Negatives:Do not have a swimming pool and the spa area needs much more air and open spaces. Room featuresI would have chosen parquet floors, instead of carpets, to give much more elegance to the room fittings. Room Service:Overpriced, in fact each dish is not inclusive of service charge, delivery charge, 17% tax and sales tax and - of course - you have to tip the waiter. If you are on budget, go for an a la carte breakfast in the restaurant. Business Centre: the fee is expensive (i.e. 10 USD access + 1 USD per min + taxes) therefore, 1 hour for checking the e-mails and printing few pages comes to more than 70 USD. They should not charge for it and offer as complimentary.Overall experienceThis is definitely a place to stay in New York City.	
Jan 4 2008 	Wonderful service at the Four Seasons	I stayed here for three nights in December with my husband, who was on business. The room was wonderful, the closet space and bathroom enormous and there was nothing I could fault about it apart from the fact that we seemed to be on a housekeeping schedule that left our room until 3.30pm each day. It was really quite annoying to come back from a morning out and find the room still not done.My only other complaint is that the portions of anything from room service were enough for two or three people and it felt like a terrible waste. I expect though that this would be a real plus for a lot of people.Apart from the late housekeeping the service was really quite outstanding. I was treated like a valued, long term client despite it being my first stay and it really made me want to go back again - soon. The main restaurant is a Joel Rebochon which is wonderful at home in Monaco and just as good in New York. I ate there once for lunch and once at dinner - highly recommended!The price tag is high ($1,100 per night) but this is serious value for money.	
Dec 17 2007 	Disapointment +	We decided to give this hotel a try from many reviews, write ups and quite frankly, the Four Seasons name. What a disapointment! First of all, make sure your room is high up - for a modern hotel - the street noise is terrible. We checked in to our room on the 7th floor - long, narrow, sterile, average furnishings, and bedding. The nexy day the front desk did accomodate us in the move - however, we had asked for the move to happen while we were out as we would be rushed to get ready for an event once we returned to the hotel - not done, had to wait for our bags, and heard all sorts of excuses. Skip room service - does not arrive in the stated time, and by the time it is there one has cold eggs (nice job for $100/breakfast for two). The business centre is a total ripoff - $10 log in and $1/min. The location is great for shopping. The gym is great (the ONly really good thing about this hotel).Although the Penninsula is not perfect - they at least have more value for the stay - also there roof top bar is loads of fun in the summer. Will take my business back here.Obviously the Four Seasons chain doesn't keep a &quot;standard&quot;. The George V is amazing, and we call the Whistler Four Seasons our home away from home - New York, disapoints.	
Dec 13 2007	ummm??	Good location, average room for a huge price tag. If you're gonna spend that kinda money for a night, NY has better hotels to offer.	
Nov 17 2007 	Not up to expectations	I am a big Four Seasons Fan, and have stayed at many of their hotels. I stayed at the NY property on a business trip and was disappointed. The room I was first assigned to was oddly configured and extremely small (even by NY standards). I asked for a different room, and was graciously moved, but the new room lacked charm. I found it cold and unwelcoming. It was also very dark in the evening, even if I had all the lights on which made it difficult to work in the room.Please don't take me wrong, the hotel is still a Four Season location. The staff is wonderful, it is clean and it is definitely a luxury hotel. Just when I compare it to other properties in the city in the same class (ie The Peninsula), I just think the Four Season team could have done much better (and does). If you want to see it done right, visit their Chicago property (or better yet, their Maui one).	
Nov 15 2007	Expensive New York Favorite	I stayed at the Four Seasons New York for 5 nights in November, 2007. This is probably about my 6th stay over the past 5 years. Room rates and restaurant prices have increased with each stay and are very expensive. However, this hotel remains my favorite in New York. The facilities and service are outstanding as is the location on 57th between Madison &amp; Park. All staff encounters were of the highest level. Rooms are very large and spacious.There are only a few rooms per floor and rooms are very quiet. There is a little muffled street noise, but no sounds from adjoining rooms. You usually have an elevator to yourself.I ate for the second time at the L'Atelier restaurant which is an expensive adventure for those with gourmet tastes.Convenient to Lexington Avenue subway 59th &amp; 53rd Street stations.As an indulgence, this hotel is hard to beat.	
Nov 11 2007 	Great if you know what to expect	This is a great hotel and one that should put anyone in a [deluxe] New York state of mind; I.M. Pei made sure you feel like Bruce Wayne in the public rooms. The service and all the rest are as expected or better, with the Atelier restaurant worth an extra star in itself if you're a foodie.Rooms: If you expect a view you need to spring for the upper floor rooms. Know that the square footage is larger on the corner rooms below and as long as you clear the 20-25th floor, the view is basically the same as much higher up in the building; it becomes a question of improved view vs a few extra square feet. If you're a family of three to a room, definitely go for the larger room &quot;downstairs&quot;. Toddlers love the rooms as there are windowseats, hiding places, and everything is padded except the coffee table.Having said that, I've found I'm most comfortable in the low-end &quot;superior&quot; room ( the one a previous reviewer found facing into a wall) ((the ones facing west are better)). My reasoning is that unless I'm smack on the park or above the 50th floor, I'll pass on the view and go for comfort - the layout of these rooms on the side of the building is great with separate walk-in closet and bathroom to either side of the entrance hallway. Check out the floorplans offered on the 4S website for more.Cheapskates like yours truly will delight in buying their own water etc across the street on 58th street-entrance at Duane Reed, and there is an EXCELLENT coffee shop next to that called &quot;Oren's&quot;.	
Oct 22 2007 	Not worth the money...	My overall impression of this hotel is that it quite simply is not worth the $1200/night price tag. - The rooms are comfortable, but basic and the decor is unimaginative and lacks the luxurious touches expected of a hotel of this sort (there were no cushions on the sofa, no complimentary fruit and water in the room).- The check in was disastrous. One of our rooms was not ready yet, we were taken by a member of the reception staff to have a drink in the lounge. We were left standing at the entrance for 5 mins whilst the receptionist ensued in lengthy debate with the girl at the desk in the bar that we couldn't sit down for a drink as they were busy (they weren't); this situation could have been handled much better had someone taken charge. We were then taken all the way to the back bar where we were charged for our drinks (any other 5 star hotel would have given these to the client complimentary).- I asked the concierge for an adapter (as did the other half of our party in a different room), it took 2 phone calls and an hour to get this adapter to us).- Our room was not turned down on the second evening of our stay.- The first morning we booked breakfast with the concierge half an hour in advance, went down for breakfast and the restaurant told us they didn't have our booking.However, on the other hand:- The rooms are large with great views.- The lobby is fantastic and I don't think I have ever seen one to rival it.- The location for shopping is unparalelled.- The breakfast was fantastic.- If you can overlook the inefficient service, you realise it is warm and friendly.	
Oct 7 2007 	Absolutely Fantastic Hotel!	This hotel was by the far the most beautiful hotel we have every stayed in! What a fantastic property! Our room was incredibly comfortable, clean &amp; decorated with great taste. The closet leading the bathroom was a spacious bonus. We really enjoyed our stay at this hotel &amp; would highly recommend it to anyone coming to NYC.They were very helpful booking us for dinners at area restaurants &amp; providing transportation to a Broadway show.We will definitely stay here again!	
Sep 18 2007	Four Seasons best hotel in NYC!	This hotel can not be beat! It is a beautiful property. Location is great. Service impeccable! If you can afford it...do it!	
Sep 4 2007	Best Hotel in NY	Stayed here over Labor Day weekend. This hotel is phenomenal! Everything was perfect here! My girlfriend and I went for a girls weekend and stayed in a beautiful room overlooking 57th street- spacious and very simple. Bed was extremely comfortable and the bathroom was huge! The hotel was booked ( US OPEN) but you would never know it because you never saw anyone in the elevators or the lobby. The concierge service is the best in the world. Misty Shores, the concierge is incredible. They got us in every single restaurant every time. Darrell the doorman sent us to the theatre in the hotel Rolls. Truly VIP service! I would stay here every time if I could	
Aug 21 2007 	great hotel great location	Everything you would expect from a Four Seasons hotel. Great location and beautiful room. The bathroom was very comfortable, like you might find in a nice home rather than a hotel. The concierge was extremely helpful with finding a great place to eat nearby. Although we did not eat at the restaurant, I hear it is fabulous as well. Would stay there again without hesitation.	
Aug 7 2007 	Very good property	My wife and I just spent two nights at this property. We are not regular travellers to NY so have little basis for comparison to other hotels in the city. That being said, I do understand that most hotel rooms are not particularly large. Our room was a very comfortable 600 sq ft. which was spacious in all areas. Bath products were Bulgari which my wife appreciated. The room was attractive and well appointed - nothing was missing.The concierge desk was superb - exceptionally professional and well informed. They were really top notch. You can tell that the staff is very well trained. The workout facilities, although in the basement of the hotel, were well appointed. Free juices and fruit were available. I also took note of the extensive security that the hotel maintained. I was suprised, in a positive way, that an employee was positioned in the evening to check any person accessing the elevators. While perhaps not necessary, it was reassuring.We only ate at the hotel once. The food at breakfast was excellent along with a similar quality of service. While not someone unaccustomed to expensive prices, I was taken aback by the $10 charge for coffee. While $20-$25 for eggs does not surprise me, the coffee charge did.Anyhow, it is obviously a hotel that caters to its guests and is very responsive to all of their needs. You do pay for this level of attention to detail. It is, by any standard, an excellent hotel.	
Aug 4 2007 	Perfect	Perfect service, perfect room, great with children, best concierge, only breakfast could be improved (if we consider the cost...)	
Jul 24 2007 	Unquestionably the best hotel in the world	As a regular visitor to the Hotel The Four Seasons in NYC (57th) time after time delivers best possible experience for the discerning visitor.What sets it apart from any other hotel in the excellence of its staff...be it the doorman,ront desk,conceirge,etc.Its the small touches that sets it apart the rest.....from the doorman having your keys ready as you get out of the car so you go straight upto your room after a very late night arrival after a delayed flight,etc,.This is the only establishment where one gets a true feeling of coming back home each visit.The only downfall is that one benchmarks the Four Seasons with every other hotel and they never match up to the standard.	
Jul 24 2007 	Staying in an airshaft	I booked on the 4S website. My room on the 14th floor had an apartment building 10 feet outside the main window. When I worked at the desk I was looking directly into the apartment and vice versa. It was similar to being in an old time NY hotel in an airshaft. For $800 the 4S should do better. When I checked in to the hotel, if I had been told about the room I would have gone elsewhere.	
Jun 25 2007 	Sheer Heaven--I love this place!!!	I have stayed at this property numerous times &amp; don't always post a review but I feel I am doing a dis-service to them if I don't. Briefly-- it just doesn't get any better than this. If you are looking for a sleek, semi quiet (the bar during the week is quite happening with business types) luxurious stay with excellent service this is the place for you. What I like about this hotel is it's location, the size of rooms, the fact that every staff member makes an effort to know your name, &amp; that it's not overrun by conventions, weddings, etc. The answer is always &quot;yes&quot; at FSNYC &amp; my answer is &quot;yes&quot; I wouldn't stay any other place!	
Jun 13 2007 	One of my favourites	I love this hotel. I stay here every year with my family and have never had a complaint. Excellent size of rooms, service, location and most importantly attention to detail. Would highly recommend to anyone. One trip in particular sticks out - the black out in NY (Summer 2003?) - The Four Seasons made every effort possible to ensure comfort in this tough time (esp when most other hotels simply closed down).	
May 30 2007 	Fabulous Time at the Four Seasons	Our Family just returned from an exceptional weekend in New York, thanks in large part to the Four Seasons Hotel. We booked the Kids for all Seasons Package which is two adjoining rooms. Children aged 11, 9, 7.From the moment we arrived, the kids were welcomed and treated wonderfully. They were given a small gift each and then treated to cupcakes and cokes in their room, which I can tell you won them over on the spot.On a service level, we were given top notch service from everyone at the hotel. The people at the concierge handled all of our transfers and requests for driver and car as well as recommending nearby family friendly restaurants. We were driven twice by the hotel house cars, once each in the Maybach and Rolls Royce. The door men were excellent. Every little need or request was addressed immediately from pressing to bandaid requests to room service etc... each time someone responded immediately. Yes this level of service is expected at these prices, but in our case they did deliver!The location was fantastic for shopping as well as proximity to sight seeing, FAO Schwartz, Central Park.Our rooms were very spacious for New York standards and extremely well appointed. We had a surplus of closet and drawer space, the washrooms were incredible. No noise concerns and we were only on the 10th floor. I did not find the decor boring or drab as other reviews have stated, I felt it was elegant and luxurious in an understated way.Let us not forget this is Manhattan, not Hawaii. I wasn't expecting the same decor and atmosphere as a Four Seasons &quot;Resort&quot;. I felt the entire hotel was well suited to a stay in Manhattan and representative of the Manhattan we wanted our children to experience and remember.Unfortunately there were some crotchety folks who were cranky with the children for no apparant reason. We turned those into teachable moments for us to share with the kids that sometimes it's the adults who are badly behaved (not the children).If you want a flawless, stress free place to stay in a serene atmosphere where you don't have to do all the planning and scheduling - you won't be disappointed.	
Apr 23 2007 	Wow what a place	Thursday to Sunday in the FSNY was perfect. No kids to drive us mad, a stunning room on the 29th floor with dual aspect windows meant 2 different views, and glorious weather (the hotel had nothing to do with the weather). We did start at the 19th floor but after a polite request, the front desk happily changed our room to a higher floor. Rodman at the Concierge was a god - pure genius. He guided us round the shops, the sights &amp; the restaurants and seemed to know exactly what we wanted when we wanted it. If I was to pick any bones, it would be the price of 2 hot chocolates at bedtime (my wife's regular hotel request) but at over $30.00, it seemed a little steep. In fact, it took 20 hours for anyone to remove the tray from our room. Both my wife &amp; i had Spa treatments and desipte the price, they were both excellent.Overall, I rate this hotel experience as one of my most enjoyable. New York has a special vibe about it, and the location, the style &amp; the class of the FSNY made this a perfect place to stay	
Apr 5 2007 	Amazing!	Had the most amazing stay here. The rooms were great. The service was THE BEST I have ever experienced, especially Steven at the Concierge desk !	
Apr 4 2007 	Still head and shoulders above the rest	Having stayed the the FSNY several years ago, I was almost afraid to return after reading several of the more-recent reviews on this site. I had fond memories of the stunning open lobby, the oh so savvy concierge, the friendly staff, and the marvelous and comfortable rooms and, especially the bathrooms. This is not to say I do not remember that all of this comes at quite a hefty price, but one must pay for a superior experience. So, off I went, fingers crossed, and......I am happy to report all is well at the Four Seasons! The same helpful and knowlegeable staff, the same sky-high standards of care obvious in the housekeeping and furnishings, the same absolutely fantastic location. And, the same stratospheric prices I remembered, but somehow didn't mind paying. This hotel is an experience in itself, and one not to be missed. You owe it to yourself to enjoy the splendor, at least once in your life. Somehow I think you'll find it was worth it.	
Feb 21 2007 	Very good not the best	After staying at a few FS hotels throughout the world, I decided to spend the week-end with my wife there.The FSNY is a very nice hotel but it lacks life! It felt very sterile and too corporate to us. On the plus: -staff is very friendly-location is good-their signature massage is top-rooms are clean and spaciousOn the min:-rooms lack inspiration-turn down service is just that (not like in the Mandarin with water, chocolates, info paper and an Asian inspired saying)-amenities though by Bulgari are very basic-high premium to be paid for a good view (always inclusive at the Mandarin)So if you want to stay in a top chain hotel in NYC, the Mandarin Oriental beats the FSNY easily: lively, nicer and bigger rooms, more amenities and even cheaper....	
Feb 21 2007 	The Four Seasons: Nightmare after nightmare!	I cannot express my disappointment with my stay at this hotel. There was still feces flecking the toilet when we checked in and a hair on the nice, white sheets. It took two hours for them to decide if they were going to change our room or clean it--they ultimately cleaned it with no apologies. The front desk staff were gruff and unhelpful--failing to even answer basic questions about museums and theatre tickets. The elevators were broken or under repair for our first night. At the restaurant, the first two items we ordered were unavailable. I expected much, much more from the Four Seasons flagship in NYC. No apologies were ever made.	
Jan 23 2007 	Couldnt fault it	I was very impressed with the FS, mostly with the hotel staff, from checking in to the bell boy and the doorman, everybody knows your name here who ever you are. Bathroom was quite impressive with the bath filling in 60seconds, very handy!Rooms were cleaned very well, and turndown was good also.The only thing is -- they phoned me at 08.00am to ask what time I was checking out that day, why phone at 8am when i was sleeping in bed??! If you want a very upscale hotel in new york go here, but very expensive. Did not eat at the hotel so can not comment on the food.	
Jan 21 2007 	The Four Seasons made our NYC visit Fabulous	We visited NYC for the first time and have really enjoyed the Four Seasons in Paris and Geneva, so it was our primary option. The location is excellent for the &quot;5th avenue stroll&quot;.The lobby is beautiful and enormous. It was a great welcome to a wonderful two night stay. We checked in with ease and waited for our friends to arrive by having a high tea in the wine bar just off the entrance. Everything was delicous.All of us enjoyed the spa (Four Seasons in One treatment for 80 minutes) the first afternoon and then got ready for dinner. We dined at Daniel and per se, thanks to the unbelievable concierge team in NYC. We were wait listed for per se, which I assumed meant &quot;no chance&quot;, but they kept checking for us and three nights before called our home in Switzerland and told us we had reservation at per se. Everytime we asked for help from the concierge it was if it was there true pleasure to help us. That is what I expect at the Four Seasons and they delivered 100%.We choose a deluxe (basic for the Four Seasons) room and it was spacious enough (500 ft2) ... the rate was $595 per night. We all talked about how well we slept in the wonderful beds.The biggest downside is the expense eating there. Breafast was $44 per person for a normal two egg, sausage, ... and high tea was $200 for four people. However, I knew that going in and with the great service ... I am happy to pay.In our opinion, the Four Seasons in Paris is still our favorite hotel in the world, but the NYC concierge is &quot;the best&quot; (thanks again for the per se experience) and it is an overall great experience.	
Dec 21 2006 	Still a Ritz fan......	I begin by saying there is no doubt this is a wonderful Four Seasons and my stay there in no way diminished our vacation experience. However, in that we like to stay at different places in the city from time to time we chose this over either of the Ritz properties in NYCity so as to try something different. We booked a two bedroom suite and much attention was given to our arrival before the trip by a member of the staff. However, litte of what we discussed with her regarding requests was prepared upon check in. I requested a rollaway in the LR for my 20 year old daughter be made up and in place upon our arrival. It was not. I had asked that it be made up just like the beds in the rooms....it never was. SHE asked the ages of our children so she could have age appropriate welcome gifts. We told her they were &quot;children&quot; in their 20's but Beanie Babies were still given. In more than one email correspondence my husband told her we were travelling with our son and dauhghter in law but we were given one BR with a king and one BR with two twins. They claimed they were under the impression that we had three small children in tow. And of course they were fully booked and this was all they had available. Each morning our room service order was just a little bit off. One pot of coffee instead of the two that were ordered, missing orders of eggs, just little things but still irritating considering what we were spending. As to the quality and appearance of the room....nothing to shout about. Mini Butler in the LR had a broken door. Decor was as it was advertised and presented but nothing to jump and down about...bland, boring. Master BR was very roomy. Attached double was quite small. LR was just average. Furniture not very comfy. Concierge was very attentive when we did use him. Door staff was excellent. Location was the best of any of the properties i've stayed at in NY. But all in all, it was just an above average visit. I am happy that we tried it. But I still prefer the Ritz Cartlton	
Nov 5 2006 	The very best in NYC	How in the world can anyone find fault with this, the very best of all, Four Season's hotels. I've stayed in the ones in Paris, Lisbon, Great Exuma, and Nevis this year and none can touch the one in New York. The rooms are lovely and so well appointed. The service is exemplary. The restaurant is even excellent. And all this located on 57th Street between Madison and Park; what could be better.	
Oct 30 2006 	Disappointing!	I had high expectations for my stay at the Four Seasons Hotel in New York and the one word I am using to describe my two night stay is 'disappointing'. My partner and I arrived at 6 pm after a delayed flight from the UK and were suppose to be meeting colleagues at a cocktail party which finished at 7 pm. We were in two minds whether to rush to try and make it, or just phone and say we were unable to attend - luckily (!) the hotel made the decision for us by taking a considerable time to check us in - having to check whether the room was ready (it was 6 pm and the room was suppose to be ready by 3 pm!) and the porters who had taken our bags from the taxi then took 20 minutes to deliver them..... To add insult, we discovered when we checked out, that we had been charged for that 'service'.We were offered a complimentary newspaper - didn't get one on either morning. The turndown service was a constant ringing of the room bell at 6.30 pm when I would have thought the majority of people were either relaxing after a busy day or in the bath getting ready to go out. We politely asked the maid to return in about half an hour - and in fact saw her while we were waiting for the lift and told her our room was now available - to return later on that night to discover no-one had bothered to return.The room was very nice - clean and a decent size - and the bathroom lovely. Although I would expect nothing less for the amount charged. We left our baggage with them on the day we checked out and specifically asked for the suit bag to be hung up. They said 'certainly' but when we went to collect it was folded up actually underneath our other bag! Some people may find my comments 'picky' but at the prices charged by this hotel, I really feel that I am entitled to be.	
