	I LOVE SOHO GRAND HOTEL!!! ;)	Hello there,I stayed at Soho Grand one time but it was a fantastic experience. The room was very noisy the first day so I asked to change the room and they gave me one at the 15th floor with great views. All staff was very nice and helpful so I left good tips ;) I am going back in January and have booked it again there.Relation quality - price: Excellent.	
Dec 1 2007 	Very hip decor I saw Adrian Brody!!!	I stayed at this hotel for one night to attend my firm's event in New York. The room (corporate rate was $559) was stylishly furnished, but very small. There was an armoire, a queen size bed, two side tables and lamps, a small table with the usual goldfish in a bowl (though my fish was dark gray :)), a flat screen TV, a DVD player, and a standing lamp. The bed linens were very nice. The bathroom was not large, but sufficient for one person. Malin &amp; Goetz toilettries were provided (shampoo, conditioner, body wash and body lotion). I think the hotel should also provide cotton balls, a sewing kit, etc.I ordered room service breakfast, which was delivered a bit later than requested, but was good (I had the egg white frittata with vegetable ratatouille and whole grain toast).A big plus for me was the self service coffee/tea/hot cocoa machine on my floor. Though the quality was not high, the free beverages were very convenient. Plus, I typically carry my own tea bags with me, so I only really needed hot water.The first level and the lobby (which is on the second floor) were decorated exactly as you would expect in a hip NY hotel. I really liked the old style elevators, the metal staircases, and the bar area.Plus, as I noted in the title, I saw Adrian Brody, who is absolutely my favorite actor ever!!! I would return to this hotel, but only if I found a good deal. I definitely did not think it was worth anywhere near the $660 rate paid by my company.	
Nov 28 2007 	Great location not as great as it looks on the website..	This hotel is in a great location if you want to be right in the Soho/Tribeca area. It's a boutique hotel and I think likes to think it's uber cool, with a trendy bar and urban look and feel to it. As there are not many hotels around here we chose it and although it served our purpose location-wise, I'd say it's a bit overpriced and the rooms are quite compact.	
Nov 18 2007	Overpriced overhyped	The very smart gentlemen on reception gave us warm towels to freshen up with, but just when I thought we were going to get a glass of champagne too they discovered, on going to the open bottle behind the till, &quot;no glasses!&quot; and did nothing to find some, so no champagne for us. The rooms were tiny. The view was of a building site opposite. The cleaning woman had left a card telling me who it was who'd cleaned my room; she'd also left beside the card the dirty rag she'd been doing the cleaning with, presumably so I'd know she'd been hard at it. The bar was noisy, brash and inhabited by people with more money than sense, with a smattering of idiots thrown in for good measure. I'm ashamed to say we joined them later on and fitted in well. The main bright spot of this otherwise overpiced, overhyped hotel was the staff outside the front door, who were uniformly polite, cheerful and helpful, pointing out the (wonderful) Pepolino restaurant just up the road when we needed somewhere to eat.	
Nov 12 2007 	Fawlty Towers in Prada....	Yes it's true, New York City's hotel rooms are at times on the small side. It's also true to say that at times, even the best hotels can disappoint a jet lagged, tired guest. And yes, it's also fair to say that at times, hype can get the best of us. The Mercer was full so I tried my luck at the Soho Grand. My first and last stay at the Soho Grand combined a tiny cookie-cutter room with completely hopeless customer service and a feeling that the hype brings many first timers and few repeat customers - but as they say, &quot;fools and money....&quot;Location: Great for Soho, not as good as the Mercer, but most of the commercial fun in Soho and surrounds is within walking distance and travel to the hotel from the aiport is easy.The Checkin: Lets face it, the price of top-line hotel rooms has skyrocketed all over the world in the last four years. In some cases spending the money is a joy and in others you feel completely abused. After negotiating my way through the six porters and doorman all of whom were doing nothing but their hair, I entered through the dim, urban lobby and signed my life away on a room rate of a purely insulting $780 per night - good thing I have two kidneys, one is now for sale... This was only after &quot;Sascha&quot; (yes, how typical) had finished her flirtatious interlude with an elderly gentlemen while keeping five guests waiting in line. Conclusion: Checkin is a glamor job fielded by 'trendy', slightly clueless &amp; unprofessional staff who are a touch on the rude side. In short, these guys are glorified cashiers ringing the till and gelling their hair. You get none of the 'chop-chop' and impressive attention to detail from more professional outfits here. The staff want to spot a celebrity so that they're 'with it' everyone else is chopped liver. So having established that the first impression was basically a joke and having my expectation for the room 'managed down' well, we headed upstairs...The Room: Fortuntely there was an area near the ceiling where a piece of rope would have supported my body weight - such was the disappointment. This room looked like somewhere depressed single dudes come to die, or where hookers come to do trade. Cheap, Best Western setup. $780 for a Deluxe King room bought us a (truly) miniscule bathroom, a dirty carpeted floor, a few cheap lamps and bedside tables, a flat screen TV that didn't work, scuffed walls and a very mean little bed. My heart sank as I surveyed the room as I was truly hoping for something special given the great location and price. Strangely, about one quarter of the floor area was taken up a closet like installation which stuck out from the wall, this enroached on the already small room and increased the sense of tight containment - alas I felt like a Soho cockroach in a glass jar. I called down to reception to see if we were given the right room category. After the phone was left on the desk for 3 minutes while the attendant checked (god knows what in that amount of time) I was informed that I had actually been upgraded. Too tired to bother with sarcasm, I hit the shower. Bathroom: Worth a special mention here as a fantastic bathroom can easily make a room and a stay that much more special. In this case, small, cheap &amp; nasty says it all. After 5 seconds in the bathroom I had visions of a mean little hotel baron dressed as the little man with a top hat from Monopoly screaming at his managers 'cut all costs and maximize profits!'. There were no toileteries other than three little bottles of super new age &quot;we hurt no monkeys making this product&quot; body gel and shampoo. The toilet seat was off its hinges. No shower cap, no cotton buds, no bath slippers, only 1 little robe, no cotton wool, no comb, none of the regular things you rarely use, but find comfort in being there and make you feel just a litte bit special. On the plus side, the shower over bath had good water pressure - little problem though, if you have a high pressure shower, make sure you have drainage that can cope with it. Sure enough, after 30 seconds, the bathtub was 3/4 full and I was pretending to be a vietnamese farmer wading through monsoonal rice paddies - &quot;Diddy Mao!&quot; I called this one down to housekeeping and they informed me that in fact the drainage was fine, it wasn't broken and that it was normal - clearly American Idol was mesmerizing that evening as it seemed no one wanted to work for the guests (If only my Doctor could give me an over the phone checkup like this...) Oh by the way and yes you guessed it, the plastic shower curtain (yes plastic) did cling to my body and ofcourse, there was mould around the edges of it. Rather unfortunately, the power outlets DID have safety switches so dropping the hair dryer into my rice paddy bath did not kill me. Truly a shame by this point. The food: Did not trust the kitchen after seeing dirty knives and forks, very wilted lettuce and tired looking food. In short, unimaginative and awful scrapings from Soho gutters. Enough said.Concierge: A really simple job here. Concierge (yes with the by-now-customary five person queue at his/her desk) points towards the shops &quot;over yonder&quot;. Anything else forget it. These guys just don't care and don't have a clue compared to switched on concierge desks like The Peninsula in mid town and The Mercer in Soho. Once again for this place, the emphasis on hiring young (and cheap), trendy looking staff comes wayyy ahead of hiring competent people. Conclusion: Checkout said it all to me. Once again a queue of 5 people and a 10 minute wait standing in the lobby. No &quot;we'll be just a minute&quot; or &quot;thanks for waiting, how can I help you&quot;. Far from it. They just took the money and offered very little in return. This place is basically a honey trap; first timers and the curious will go and rarely return. Suckers with no appreciation for what service and quality actually is will surely come back. Value for money was non-existant, staff totally hopeless and too few of them, almost no efficiency, dirty scuffed walls and cheap looking rooms supposedly covered up by an expensive fit out downstairs and trendy kids playing &quot;hotelier&quot; for a few years before moving into the media or arts world. Burn this dump to the ground, collect the insurance check and build something that gives guests a feeling of excitment, value and slick prestige. The tradition of Soho has given alot of its sould away to commercialism over the years, the least such commercialism can do then is to honor such a special part of the world by attempting to enchant its guests, not pillage them. Management clearly has alot of work to do here. Oh yes, getting a cab to the airport took 45 minutes despite the six doormen/porters/concierges milling around the outside. Prognosis: Marginally preferable over a park bench and newspapers...I would get more joy smoking bad weed with the $100 bills I used to pay for this place...Where instead: Book the Mercer. Great food, Great location, relliable, big rooms, great bathrooms, smart concierge, smooth checkin/out. Can't go wrong. If The Mercer is full, try Soho House. If no joy there, try a new one called The Bowery.	
Oct 18 2007 	Sweet hotel in a great location	SoHo Grand is a great hotel to splurge on. It's perfectly located at the bottom of SoHo. Plus, it's close to several subway lines. The staff was very friendly. Rooms were a reasonable size for NY. Beds were very comfy. Our room had a great northern view of the city. They offer to bring a Bose iPod dock to the room. Also, I like the apples in the lobby to snack on. Very cool atmosphere. I'd definitely stay again if I felt like splurging.	
Oct 4 2007 	Grand Hotel but way overpriced!!	Stayed at the Soho Grand for 3 nights. Very nice lobby and bar area. The rooms were very clean and very small. Overall I liked the hotel but it is overpriced.	
Sep 20 2007	Enjoyed but not worth the price	We stayed here last July. It was a nice hotel but definitely not worth the price. The room was cramped. The front desk was a little snotty..	
Sep 3 2007 	So So Soho	Nothing grand and nothing terrible about the Soho. Room was adequate but furniture was worn. Could use better lighting. Staff friendly enough. Room service sandwich was fine. Room faced construction across the street. All in all, an OK hotel but nothing more.	
Jul 27 2007 	Cool hotel in coolest location "Sure it was grand"	My wife and I stayed four nights in the Soho Grand in March 07. From our very large bed, above the flat screen tv, to the left of our goldfish &quot;Sammy&quot; and to the right of the iPod supplied by the hotel, we had a view of the Empire State and Chrysler buildings. At check-in we each were handed a glass of champagne and were made feel very welcome. The lobby of the hotel is very cool. In fact the interiors throughout the hotel are very well designed. The food in the bar was good, and the staff very friendly and helpful. We loved it there are would definitely stay there again. But the best thing is the location - Soho is the best. I wouldn't stay anywhere else in New York. Wandering around the shops and bars in this trendy neighbourhood was our favourite thing about New York.	
Jul 20 2007 	'Just Perfect'	The whole stay was fab.Booked to stay here for 7 nights over the New Year Period. From the minute we arrive to the minute we left everything was perfect. All staff were very friendly and full of knowledge of the City, nothing was too much trouble, they made the perfect arrangements for a heleicopter ride over the City and to see the Lion King on Braodway for us. I would recomend this hotel to anybody going to New York and will be returning there in the not too distance future.	
Jul 14 2007	Impeccable Service	This was our second stay at the Soho grand. The service was impeccable, people could not seem to do enough for us, from the manager, who changed our room and upgraded us when the a/c did not work, to the room service people. And of course, the location cannot be beat and the linens are fantastic. BUT, the rooms are very much in need of fixing up. Our bathroom ceiling was peeling and the room ceiling desperately needed paiting. We were in an executive king which is bigger by not much than the regular king and oddly enough contains no additional furniture. There is no desk, just one small table that barely fits a tray from room service. One small desk chair, and a small, uncomfortable arm chair and that's it. So would I stay there again? For a decent price for the executive king, I might. But I am more likely to go back to the Bryant Park which, althogh not in Soho, is maintained beautifully with good sized rooms.	
Jul 7 2007	Nothing Grander than the Soho Grand!	I have been a Soho Grand fan for many years. Everyone in the hotel is consistently professional, maintain upbeat attitudes and are always helpful and courteous. The commitment to keeping the property in perfect condition is evident. The location works out wonderfully for me with its close proximity to the Holland Tunnel. The winning factor for me in the beginning was that it was the only hotel to not give me any resistance to accommodating my 150lb Great Dane. He was always made to feel like a guest and that made traveling so much easier for me. I have never stayed anywhere else since.I have been recommending it for over 5 years now.	
Jul 3 2007 	Another Fantastic Stay at the Grand	I have stayed at the Soho Grand several times, and have always been impressed. My wife and I just returned from our most recent trip. The hotel is in a fantastic location in Soho and within walking distance to several other great areas. It is the place to be. I have stayed at boutique hotels all over the world, and the Soho Grand definitely measures up. The front desk was great and the concierge was full of helpful information. One tip however: make sure to stay in a King Size room.	
Jun 29 2007	Lovely hotel shame about the bratty concierge	The soho grand is, basically, cool: great rooms (tiny but hey this is new york) lovely chic slightly retro decor, a doorman who is charm personified (someone please give him his own TV show), terrific food, a general ambiance of laid back exclusivity and so on - everything you'd expect from a 5* hotel. The concierge was the only thing that let it down: offhand, abrupt and basically a pain - he also said twice that he'd booked something for us and the restaurant then had no record of it. once is forgiveable but twice is kind of bad, no? we started dreading talking to him after i stood at the desk for five minutes - alone - waiting for him to get off the phone, acknowledge me or even look up from the doodles he was making on his pad (he knew i was there - i was half a metre away!). i think he was new. someone, please, get rid of him. he's the reason we're staying at the mercer next time. oh, and please get ipod docks for every room. everywhere else has them...by the way, highly highly recommend employees only for drinks and schillers for dinner. both seriously good.	
Jun 24 2007 	Not my first choice in NYC ... better value elsewhere	Can't beat the lobby/reception area. The design is unique and while not warm or inviting, it's distinctive and memorable. Everyone knows that NYC hotels are small, rarely very clean and the bathrooms typically have room for significant improvement. My rooms in the Soho Grand have always been a bit more spacious than others in the city. But they are pretty spartan and could use another chair or something as you're either sitting at the desk or on the bed. The value is just out of whack in NYC as for $500/night I expect something truly remarkable. The Soho Grand is just average ... with below average service at the front desk (same for room service) and in the lobby lounge.	
Jun 18 2007 	Great hotel. Pet friendly	We booked the hotel on the recommendation of our children living in the City as well as searching the internet for pet friendly locations. The welcome was cordial and our request for room type was honored completely. The style of the hotel fits our taste and the room was spacious enoungh for my wife and I as well as our two 20+ lbs. dogs, Pet beds and stainless steel bowls were waiting for the dogs in the room. If you like the Soho/Tibeca area it is a perfect choice. I am unsure why others writing reviews on Trip Advisor had such a poor experience. It was both Father's Day Weekend as well as our 40th wedding anniversary and I can't imagine a nicer place to celebrate a special occasion in New York. We surely will stay there again.	
Jun 14 2007	Loved the Soho Grand	Even though I live in NYC, I was looking for a fabulous place to take my husband for our anniversary and found it at the Grand. The staff was highly attentive and the room wonderful. When I called and asked about discounts they explained about their loyalty program - all good stuff, didn't cost extra and it got us a discount! While we were celebrating our 3rd anniversary - the entire family came (including our 1 year old and our 7 year old dog). They made each and every one of us feel at home.We took advantage of it all - grand kids, dogs, the gold fish - and just loved it.	
Jun 13 2007 	The worst 	For over $600/ night, our expectations were high. Boy, were we disappointed. The plumber had to come to the room 3 times because the toilet didn't work. The shower head was so low I had to bend down. The room was not clean. The front desk people were snooty. The closet in the room was like a fold up partition. What a disaster!	
Jun 12 2007	Really Good Could Have Been Better	We heard good things about the hotel, we like staying downtown and the internet price was great; much better than other hotels in the same category. We booked two rooms online on a Sunday morning, and showed up at about 7:00 P.M. that evening at the hotel. There was no bell man at the door offering to take our luggage, although this is admittedly a theoretical concern for us on this trip, since we were staying for just one day and had only minimal luggage. But things got worse when we got to the front desk. The person there could find no record of our reservation in the system. He acted like he didn't know what to do, and seemed ready to send us away, but I had my blackberry with me and had the confirmation emails and confirmation numbers for both rooms. I showed him the emails and gave him the confirmation numbers. He still couldn't find the reservations, and seemed unsure what to do. Finally, he asked one of his colleagues, who apparently advised him to call somebody that deals more directly with online booking. Finally, after about 15 minutes of waiting, our reservations were found. Here's what the employee helping us said: &quot;Well, you do have a reservation.&quot; Of course, we knew that, because we had our confirmation numbers. I think this person must have been new. He wasn't malicious or rude (at least in my mind); he was clueless, but my wife but ready to jump across the desk at him. If he's new, the hotel should have a big &quot;trainee&quot; sign clipped to his lapel, and somebody supervising more carefully what's he's doing. Also, it's not the employee's fault that the online system works so poorly. His problem was the way he dealt with it. Seems to me this would take only minimal training. Maybe the hotel should upgrade its online booking system? If I book a room at 11:00 A.M., and the system hasn't swept it into the hotel reservation system 8 hours later, that seems like software that doesn't work very well. Finally, our room was great. Our only complaint about the room is the TV, which had two, confusing remotes. For reasons that I still can't explain, depending on which remote I used, sometimes the TV would stay on for just a few minutes and then the screen would go dark, although the sound would continue. By experimenting with both remotes, I finally got it to stay on, but I'd have to be there for several more hours to replicate what I did. Again, the room price was good, but for $300 + a night, one expects decent customer service and a TV that works without an instruction manual. The checkout people, concierge and bell/valet people were great on the day we checked out. Hopefully, our entry experience was just a fluke.	
Jun 7 2007	Looks fancy but isn't great	Entering the Soho Grand I was very impressed. It looks amazing, and the service is classy. Once I got to my room, I was disappointed. Now I did stay in the cheapest room they have, but still it cost between $400 and $500 a night.I got the basic room, and it was small. My last stay in a basic room was a Residence Inn &quot;Studio&quot; room in Austin Texas, and it was huge for a single.I sat down for a rest, and the TV remote didn't work. I turned the TV on with the buttons on the set, and the TV wasn't getting a signal. They had to come in and totally replace the TV set.As they were replacing the TV set, I turned on my laptop to get on the internet. Their wifi asks you to sign up, which is fine, but then tells you that you have to pay for the internet. I still signed up, but then it wouldn't let me get online. I had to call a 1-800 number to get online. A day later I couldn't get online again.The biggest surprise was when the power went out in our room. The phone is electric, so I couldn't even call downstairs to tell them. My wife and I were late for something, and were freaking out. I got out my cell phone, and called the 1-800 number for the Soho. 15 minutes later they must have switched the breaker and it came back on. They said that this can happen sometimes. This is just crazy.The service is great here, and the design of the interiors is excellent. Unfortunately, I don't think the facilities are in very good condition. My Studio room at the Residence Inn was 10 times more luxurious than this room, and was about 1/3 of the price.	
Jun 6 2007 	Dreadfull! Give it a miss.....	I had heard that the Soho Grand was one of New York's hip hotels and that was my initial impression. Interesting architecture, a stylish lobby, bar and lounge area and excellent service from the bell boys, concierge and reception. However, it is clear that the hotel is only interested in catering to the 'beautiful people' that hang out in its public areas since the bedrooms were no better than those you'd find in the cheap motels around Times Square. I'd booked a Executive King room ($548 (including tax)) which was described on the hotel's website as follows: &quot;In a City where space is always a luxury, Executive King guestrooms are open and airy with high loft-like ceilings and large spacious bathrooms&quot;. Nothing could have been further from the truth. The room was neither stylish nor comfortable. It was dark and dingy with a low concrete ceiling and so small that it could only just accommodate a Queen sized bed. There was no cupboard, just a small alcove only big enough to hang half a dozen items, covered by a shabby curtain. The air conditioning was old fashioned and so noisy it was impossible to use at night. The window blind and curtains were made from moth eaten sack cloth. When I informed the hotel manager of my disappointment with the room I was told that &quot;we cannot cater to the aesthetic sensibilities of all our visitors&quot;.A 'free' breakfast consisted only of juice, coffee and pastries and the tray was left unceremoniously on the floor outside our room where we discovered it several hours after we had ordered it.There a many stylish hotels in New York. The Soho Grand is not one of them.	
Jun 4 2007 	Not Worth the Pain	You are better off taking your $500 per night and investing it. The rate of return for this hotel is -100%.After checking in and heading to our room, I needed to use the bathroom. I had to hold the toilet seat up to urinate. The room had 2 towels and one glass even though I was there with my fiance. The pressure in the shower was akin to a leaking hose. When calling Guest Services, the line rang multiple times. The front desk said we could move rooms, only to call back and say that nothing was available. The bellman cut my fiance off while she was getting on the elevator. Ladies and guests first always! I mentioned it to the bellman and he laughed at me and said in a bizarre tone he would remember to do that next time. I could go on...But the kicker is the manager sent me to this link for the review. I called him first to give him my review. Guess what? He no longer works there. Shocker.The two saving graces were the concierge Annlore who ordered beautiful flowers for my girl and the location of the hotel.If it wasn't for my impending proposal to my girl the day after we checked in, we would have bounced to the myriad of fine hotels in Manhattan.Remember: We are revenue, they are overhead. Without travelers like us, the Soho Grand would be out of business.	
Jun 4 2007 	Terrible First Time Experience	The Hotel staff is EXCELLENT, they go out of their way to make sure you are comfortable, on the other side, the hotel policy, etc. uses this to their advantage by over charging you for any Concierge assistance and in some cases 150% more than you would have paid for making arrangements yourself. Example for $120.00 a piece Wicked tickets I could have purchased on the Internet they charged me $325.00 a piece. Also they charged me $146.00 for transportation from the airport to their hotel and after speaking with the cab drivers they informed me of the problems they are having with the hotels and it is against the taxi commission for the hotel to do this, etc. When i checked out of the hotel I got into a cab outside the hotel and it only cost me $45.00 to get to the airport and that included tip and toll! I was always under the impression that The Concierge was provided to the guest of the hotel for assistance this is not the case at this hotel. I just wanted future guest to BEWARE....if you use the Concierge expect to pay 100% or in some cases even more or any service they arrange for you! In addition to that I am sure they don't give those GREAT employees anything out of it so, be sure you still tip them! After all they are the ones doing the dirty work, not the hotel owners, etc.!!!!!! Once again, the Entire Staff from the front desk to the cleaning are Excellent!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	
Jun 3 2007 	Soho Grand is great	Great hotel, stayed there with my 18 month old son, they were more than accomodating to his needs. Crib, diaper genie, highchair in the room, Burt Bees baby products and always a smile whenever they saw him. Fabulous location, he was with me in the hotel bar till midnight in his stroller and siting on the sofas and everyone was very welcoming, not a disapproving look anywhere. Rooms are a bit on the small side but nevertheless well worth the money, enjoyed our NY visit and the SohoGrand greatly.	
May 31 2007	Seduction in Soho	Spent a night at the Soho Grand on the Seduction in Soho package - was very good. All staff very friendly and well-trained. Room was nice with a good view over the river. We would definitely stay againwhen in NYC. Price of water in room, however, is laughable. Don't buy it ($10 a litre)! Go down the street and buy it for $2.50!	
May 30 2007	Location is everything	I've stayed in many hotels throughout the city and love the SoHo Grand. On this trip we were greeted with a complimentary upgrade upon arrival which gave us a nice northerly view of the city. Although a few things could use some attention, coffee bars on each floor could use better quality coffee; we didn't spend a lot of time hanging around the hotel with south Manhattan right out the door.The hotel is exactly what you want in a boutique; clean and quiet with attentive service, great beds and above all perfect location.PS - They take dogs with open arms, and there is something nice about watching Fido stroll through the lobby.	
May 30 2007	Romantic Getaway	My husband and I celebrated our Anniversary at the Soho Grand. What a perfectly romantic getaway. Every detail was delightful. Champagne, strawberries, chocolate and Breakfast in bed. I highly recommend the Anniversary package. Loved the pet golfish too!	
May 28 2007 	Loved Soho Grand	My husband and I stayed at The Soho Grand along with somefriends for a shopping trip. The accomodations were just what we were looking for:clean, very nice bedding, nice sleekdecor, and the service was excellent, and everyone was veryhospitable from the doorman to the bellboy. The location was awesome as well; right in the heart of Soho, close to everything.Would definitely stay again.	
May 26 2007 	Felt Like a Million Bucks	From the moment we stepped into the place, my girlfriend and I felt taken care of. The decor is stunning and the staff is efficient, friendly, and very helpful without being intrusive. We were served cool face cloths at the reception desk, which helped take the edge off the NYC spring heat. We arrived earlier than general check-in, but were immediately let into our room because it was ready. The bug-eyed goldfish swimming in a bowl outside our door was an exotic treat. It kept us company for the length of our stay.The room, tasteful, restful, classy. The concierge -- completely on top of it. If you want to treat yourself to how the other half lives, I wholeheartedly recommend a short stay at the Soho Grand. Beware, though. Paparrazzi can ambush you outside the doors, waiting for a celebrity pic.	
May 20 2007	Overpriced little value	Have stayed at a variety of hotels, all well under the 600.00 USD per night I payed at the Soho Grand, and had a much better experience. The hotel overall looked dirty, and needs some money injected into it. The fact that smoking is allowed at all I was quite surprised at in this day and age. I was most shocked at however the small amenities missing such as no coffee machines in the room (the fact that I saw a guest in her pajamas having to leave her room to go down the hall for a coffee from a coffee machine), no ironing boards, and no morning paper. When I checked out no one asked how my stay was, even after I asked for a comment card...I now know why!	
May 14 2007 	Excellent Stay	Had heard bad reviews recently about the Soho Grand, but had good experiances there in the past. Stayed over the weekend and had a wonderful stay as usual. Beautiful room with a great view of NY. Attentive service, particularly at the front door.	
May 14 2007 	little town blues melting away..	Fantastic location between the Village and Tribeca. The rooms are well appointed and comfortable with great views of Manhattan. The front of house staff are enthusiastic and incredibly helpful, from booking restaurants and recommending local bars etc, really couldn't do enough - genuinely made my stay special.	
May 12 2007	Great stay at the SoHo Grand	My husband and I were staying with a friend in NYC and decide to splurge on a hotel. We called the SoHo Grande and the W Union Square. The SoHo Grande was so friendly and accommodating - they offered us 10% off our stay for signing up with their loyalty program and took our preferences - pillows, paper and our preferred welcome amenity (fruit, cookies, etc). Just to compare prices, we also checked wth the W Union Square and could not believe how expensive they were in comparison, and were by far not nearly as friendly. So, we chose the SoHo Grande which was a wise decision! We loved our stay - got a very nice room on the 11th floor with a lovely view of the Empire State and the Chrysler bldgs. My only disappointment was that we never received our welcome amenity or any other perks that were included - most likely due to our same day reservation. I'm sure we would have received them if we asked, but it would have been nice to have them without asking...not enough to warrant a bad review. I would hands down choose this hotel over any other I've stayed at in New York. Friendly service, comfortable rooms and reasonable prices...not to mention a great location in SoHo near tons of shops and restaurants.	
May 12 2007	Well situated and well staffed	This hotel is especially good if you're travelling alone. To get a room large enough for two people is pricey. HOWEVER, this is hotel has a great location, smart, courteous staff, and is very service oriented.I would stay there again in a heartbeat.	
May 11 2007 	fun and good with kids	Third time I stay there, first with my kids, a two year old and a four year old. Staff was very firendly. Got a fishbowl in the room. Concierge got us a babysitter. Overall, a great stay. Will return.	
May 3 2007 	Great location and excellent service	I've just returned from a five night stay at the Soho Grand Hotel. The hotel is well positioned to great eateries and shops in SoHO - a short walk to China Town and the trendy Tribeca area. The subway is also only a 5 minute walk away and taxis like the rest of the city are in abudance here. The rooms are small but that's nothing unusual where space is at a premium plus there's so much to do in New York you're not going to be spending much time in your room so this shouldn't put you off. The rooms are slightly dated, but clean the beds and pillows are amazing. They were so plush and comfortable I'm sure my I fell asleep as my head hit my pillow. A Bose iPod speaker dock which is stated on the hotel website as one of the room amenties is only availble on request from reception for small deposit. But because of the problems I had with returning the item (you have to call for someone to collect on check-out) its probably not worth the trouble. I never bothered requesting the gold fish.Breakfast is available at the hotel at an extra cost and you are expected to have it in your room. I couldn't imagine anyting worse considering the size. Luckily the hotel is close to so many great eateries, that we ate out every morning. Balthazar is only a 15 minute walk away on Spring Street , and was a great place to sit and people watch.The staff at the hotel are extremly polite and knowledgeable. We experienced no problems that other reviewers have reported in the bar. But word of advice if you do intend to sit and drink in the bar is that it's worth smartening up - I've learnt that you can never be over dressed in this city.All in all I enjoyed my stay at the Grand and would definitely go back. I would recommend the hotel to second-time visitors who've already done all the sights, and just want to experience New York as New Yorkers do.	
Apr 29 2007 	Excellent service good location	What more can I say? Excellent service, Couldn't do enough for us. Well located. Would highly recommend this hotel for couples, singles or business. Really great all rounder	
Apr 22 2007 	Good location but we like The Mercer Hotel better	Our daughter goes to NYU so when we go for a weekend we like to stay in the Soho/Village area. Hotel choices are limited. We tried the Soho Grand this time since The Mercer was full. The Soho Grand is certainly adequate. I found the staff to be helpful and efficient -- no complaints. The public areas of the hotel were also OK although the feel was a little run down. The room was also OK -- the usual small NYC room. I will say the bed was very comfortable. So while everything was OK we still like The Mercer better. The Mercer has a good restaurant and I think the rooms are nicer. But -- all in all the Soho Grand is a good choice if you want to be in the Soho area. I just can't rave about it. We've also stayed at the W on Union Square. A nice hotel but I don't like the Union Square area as well.	
Apr 9 2007	Disappointing	I have stayed at the Soho Grand a number of times over the years, including both personal and work related visits to NYC. All of the previous stays were above average. However, my wife and I stayed for two nights, April 6 and 7 and we were very disappointed. Both the service and the hotel are &quot;dated&quot;. We experienced problems with the Concierge, Guest Services and the Hostess at the bar. Generally, the service was one of disinterest. One example was when the Bar Hostess informed us that the reason that we could not secure a sofa for a drink in the bar was that there was a Soho Grand Manager's Meeting and the Managers would be using several sofas following their meeting. I asked if this meant that the employees took precedent over the guests and she basically said yes.The Furniture in the rooms and the common areas is worn and dirty. There were numerous other examples of lapses in service such as misplaced luggage, three requests for the Bose iPod Docking station before it appeared, three requests for luggage racks, etc., etc.The Sunday New York Times included an article stating that Terry Fant, the CEO of Soho/Tribeca Grand Hotels typically reviews all of the TripAdvisor reviews. Hopefully, he will not miss this one. Ironically, we had to chase down the Sunday New York Times as it was not delivered as promised.	
Apr 3 2007 	Fantastic Location	Fantastic location, convenient to shopping and great restaurants. We booked the Deluxe King room for 4 nights - it was small, but not unreasonably so for 2 people. The room was clean and comfortable with a great view of the city. I wasn't sure what to expect after reading other reviews, but every member of the staff that we encountered was friendly and helpful - and I never got the feeling that the property was understaffed. Check-in was fast and simple; room service was as scheduled. As one reviewer wrote, the tables in the lounge were marked &quot;reserved&quot; -- but we were immediately seated at a &quot;reserved&quot; table on a busy Saturday night (without reservations). Service at the bar and in the lounge were above average. There were nice touches, like cookies in our room at check-in, and a coffee/hot chocolate machine by the ice machine.	
Apr 1 2007	This Place is Brilliant	Again, the people at [--] have come up trumps, I wanted to stay downtowon on this occassion, they gave me some info on hotels and picked this one out to meet my requirements. Well, what a hotel, when I walked in the place, it looked absolutely stunning, I walked into my room and was amazed by the standard of the furnishing, the room size and the equipment within it, so much so that I actually asked at reception if I had been upgraded, no, this was the entry level room and it was out of this world. I made use of the concierge during my stay, nothing was too much trouble and the advice given absolutely spot on and impartial. Upon my travels from this hotel (the metro on canal street is about 2 mons walk), I suddenly realised how accessable midtown is from a downtown location, you could get to 34th street in about 10 mins on the metro. For the price, you seem to get much more hotel for your money especially at weekends and you are close to take in the statue of liberty. The neighbour hood of soho is fairly interesting as well, heading north from the hotel, you come across designer stores and smart shops, go south and you walk straight to ground zero, east is china town, and a a bit further past china town is little italy, what more could you want from a location and midtown just 10 mins away but right out of the hussle. I would recommend this hotel to anyone.	
