	The Manhattan Club	I found this hotel to have very comfortable accomodations. Travelling with a family or group, it is ideal as a place to sleep and relax. The services were excellent, catering to just about every need and giving excellent suggestions, whether it be for dining or theatre or a museum. The location is perfect. Right between Times Square and Central Park and across the street from Carnegie Hall	
Aug 27 2008 	Already paid in full but no room when arrive	I contacted the reservation dept. of the property. Firstly, it seemed nice and professional. I understood that the Manhattan Club is a time share property. I was asked to attend the sales presentation and I ageed. I was also asked for the credit card no. only for &quot;GUARANTEE&quot; the book. I did specifically mentioned that I will pay by cash - so the please do not charge on my card. This is due to the exchange rate matter. After I agreed on the booking, then the problems started.1. Changing of the contact personI once tried to contact the same representative for the booking as to change my staying date. I waited for a week before he contacted me back with the message that he only in charge of the booking. I do need to contact another department.2. My card was charged in full. I specifically mentioned that it was for &quot;Guarantee&quot; of the booking only, not to be charge. So I have to pay about USD 100 more due to the exchange rate and the bank charge.3. No room when arrivedWhen I and the family arrived at the property at 1 am (after a 27 hour-flight), the staff told us that there was no room for us for tonight. He didn't know the cause but he was asked to put us on another hotel nearby for a night. The room should be ready first thing in the morning. I was also suggested to file a complaint with the director who would be in the office tomorow in the morning. I asked the staff if the hotel he put us in was in the equivalent rate we paid. He said &quot;Yes&quot;. When we arrived at the hotel, we asked for the rate. It was USD 199, but we paid for USD 285. - How equivalent is that?3.1 When I came back in the in the morning (9.00 am), the director was not in yet. So, I decided to attend the presentation firstly by asking the front desk staff to inform me once the director is in. But until we finished with the presentation (11.00 am), there was no one informing us at all.3.2 When I contacted the front desk again, I was treated with neglecting behavior. There were 3 staffs behind the counter and they were snobbish and hostile. a) I asked for the director and the answer I got was that the director was in the meeting. b) I asked what time the meeting will end. The reply was in the afternoon.c) I asked if they could inform the director that there was a client waiting to see him because I had appointments in the afternoon. They refused to do so.d) I asked for my room. They said the check-in time is 4.00 pm.I was so upset because this vacation was for my mom's birthday. I had plans in the afternoon and couldn't wait the whole day for this mess. I started to piss off. The staff traited me to lower my voice or they would call the police. I, then, asked them to call the police. I called my lawyer. The police didn't come but the Chief of the Security came to talk with me. She informed me that the director was not working today. (I was surprise with the 3rd different messege I received about the director - so who's the [--].) And the room wouldn't be ready until 4. I said nevermind I already called lawyer. He would be here in a minute.After my lawyer arrived at 12.00 pm, he had a conversation with the same staffs. I got the room immediately with the complimented 1 day continental breakfast for 2 and the reimbursement for my 1st night at the cheaper hotel.I was once a New Yorker. I didn't expect this to be happening in one of my beloved city. Thanks to my friend who is a lawyer, otherwise, we would have been treated as a group of stupid asians who doesn't know anything.However, there was a nice thing. The guard who was asked to watch over me. He has more service mind than the front office staff. He should be promoted to replace them.	
Aug 24 2008 	Nice place to stay though I wouldn't buy	We had been contacted directly from the facility every 3 months for the past 4 years inviting our family to come stay at a reduced rate and take a &quot;no pressure&quot; tour of the facility. Being a native New Yorker, I am very familiar with the city. The location is as convienent as any in the city. The concierge was able to get us the theater tickets and restaurant reservations we requested that I was unable to do so directly myself. The 1 bedroom, 2 full bath room was spacious for Manhattan. The 26th floor lounge was large, friendly bar tender but only a few people there late night. The elevator efficieny was poor, average wait 5 minutes, faster using the 2 service elevators. The only disappointment we experienced was the we went for our &quot;90 minute tour / presentation&quot; before we checked in. We were expected to make a decision on the purchase right there even before we checked into our room. I found the finance &quot;money man&quot; was as pushy and arrogant as they come and this is coming from myself a native new yorker now living 3 hrs away. The &quot;special deal&quot; of $10 grand off was only good for those 90 minutes, if the place is so popular, why would they need to put a gun to our heads with this type of pressure sale. I responded that I did not intend to make that type of committment without &quot;driving the car first&quot;. They responded that this should be a no brainer, and it was we declinded their offer. At that time they became as cold as you could imagine. I was also told originally that I was paying for a 1 bedroom suite however on the initial check in they said they only had a studio and would see what they could do. They gave the impression that they were setting us up to see if we would buy before making the room committment. However, after declining to purchase, to my suprise we did get the 1 bedroom.Honestly speaking, if we took the tour at the end of our stay and if they were not so NY pushy, we may have purchased a week.They should rethink their strategy.Hopefully this helpful to othersA New York Native, living in a small country college town for the past 20 yrs (the best of both worlds)	
Aug 14 2008	no real problems	I stayed at the Manhattan Club with my Husband,30 yr old daughter and 13yr old granddaughter. we were there 7-4-08 to 7-11-08.Our check in was wonderful,the girl at the front desk could not have been nicer ,we exchanged though RCI and checked in at 3:30pm. Our room was 1708 and was very,very clean. It had a mini kitchen,two baths with tubs,a living room with pull out (which my daughter and granddaughter found ok to sleep on)we had a king bed in the bedroom that was very comfy. The maids came in every day for a fee of $25.00 per day but worth it. We rode the subway most of the time. We did take a taxi when we went to a show or out for the night . It was very warm and one would be too sweaty to walk to the theatre area. Location is great and there are little markets to get prepared foods, snacks or food items.There is a small fridge &amp; microwave in the unit. We had two TV's and a table to sit at to eat. The elevators were slow and we did take the service elevators at times but the wait was not that long. The staff helped with anything that we wanted with a smile and in a timely manner. We did not see anyone that was rude or did not want to be helpful from the maids,desk staff to the door men.We would stay here anytime we can. It was a wonderful week.	
Aug 13 2008 	Disappointed for a "Gold Crown" RCI Condo	I've stayed at quite a few &quot;Gold Crown&quot; timeshare resorts over the past 10 years in travels with my family, but I wouldn't consider Manhattan Club a Gold Crown resort at all. My husband and I signed up for the $250/night promotion and attended the timeshare presentation and received a $150 voucher to Alfredo's restaurant (not THAT great imo). The rooms they showed us during the presentation were DEFINITELY gold crown standard, however the ones that we were staying in were nothing even CLOSE to that quality! During our stay, one of two elevators were closed thus making it a really long wait to go up and down, especially when you have valets with their large baggage carts taking up 3/4 of the elevator. Instead, we used the service elevator which you had to go down this stuffy hallway and wait just as long (in the meanwhile, breaking out in sweat just waiting for the elevator). The floors of the hallways were covered in cardboard because of the elevator construction.The room itself...we booked about 4 months prior to the trip (they took our money right away at the time of booking) and upon arrival, they did not have an available room for us. They ended up putting us in a smoking room (when my husband is asthmatic) but moved us the next day to a &quot;suite&quot;. I must say, the suite was in much better condition than the first smoking room. In the smoking room, the wallpaper was bubbling, everything stenched of smoke, carpets were extremely dirty. As well, the shower in our suite was backing up so we had to get maintenance to clean the drain. The view from our room was of 3 brick walls. There were rooms on the right side of our room and the walls in front and to the left of our room were just plain brick walls. We were assured a room with a &quot;view&quot; by the manager because of their smoking room blunder but our view sure made us feel like we were living in a brick box!Front desk service was so so. Concierge was helpful. You can buy Broadway tickets from them (cash only).The best thing about Manhattan Club was its location. It's central to all the popular tourist sights and close to the subway stations.	
Aug 8 2008 	Great place but the service level was shocking	We stayed at the Manhattan Club for 7 days. Location was great as was the room/studio unit. In general we had a great stay but it was marred by the rudeness of the staff who were rather condescending and abrupt - in particular one of females working at the reception area was so rude that her manner bordered on insolence. We would recommend staying at the Manhattan Club as it is in a great location, easily accessible, clean, rooms are great and well maintained however we would warn people to expect rudeness from the staff .MDC - South Africa - August 2008	
Aug 3 2008 	Better than expected	Just back from a week long stay at the Manhattan Club (timeshare exchange via RCI). I was a bit nervous before our stay, after reading many of the reports here, however, we didn't have many of the problems that others experienced. The wait for elevators ranged from no time at all to 5-10 minutes. Longest waits were the days of check in/out on the weekends. Most waits were less than 3 minutes. Our 1 bedroom/ 2 bath unit was one of the smallest I have stayed in at the MC, but even with 5 people, we had room. The king sized bed was huge, and while not a lot of drawer space, we hung most of our clothes in the closet, or placed them on the high shelf in the closet. The desk in the bedroom provided a nice area to check email and search the internet for restaurants in the city. The internet connection was free, but at times, it was &quot;iffy&quot;. The living room was a nice size.....all of us could fit to watch TV in the evening. It became crowded once we opened the sofa bed (sister and her child slept in that), The two bathrooms were large, and came in handy w/ 5 people getting ready in the morning. We had plenty of towels, (think they gave 6 of each), as well as bath products, which were replenished daily if needed. The mini kitchen was very limited.....just a microwave to do any cooking, along with a small coffee pot (less than 4 cups), and a small fridge. Coffee, tea, and popcorn was replenished each day. There were enough plates/glasses (6 of each, in varying sizes) for everyone, as well as silverware. Some cabinet space to store snacks. Can't beat the location....subways are around the corner and across the street. Starbucks around the corner, full service grocery store within 2 blocks, and a large &quot;Whole Foods&quot; store in the Time Warner building (several blocks away). Plenty of restaurants/pubs in every price range within a short walk. Kids loved spending time in Central Park, at the playgrounds and climbing the huge rocks. We did the typical touring, saw some shows, and visited museums. Everyone had a great time.....and would definitely return.	
Jul 21 2008 	Great if you have patience and don't need a full service hotel	I was a bit nervous after reading the reviews, but pleasantly surprised during my stay this month.Starting with the cons:1) The elevators! We were on the 16th floor and at times just walked down! There was 1 regular elevator and then the service elevators, so we waited from 2-10 minutes based upon time of day. 2) While pleasant, housekeeping was very slow in helping us out our first night with a small issue, but then were fine after that.3) The concierge was adequate but not particularly helpful.4) The pullout couch, which my daughters slept on, was awful, so they put the mattress on the floor and layers of blankets on it to deal with the thin covering over the innersprings.Now the pros:1) Great location just 3 short blocks from Central Park, 10 minutes to Rockefeller Center and 5th Ave shops, diagonally across the street from Carnegie Hall, and the theatres were all within a 5-15 minute walking distance (there are so many sets of lights that it can take a while).2) The room was a generously sized 1 bedroom corner with views of Central Park, which I loved.3) The bed was surprizingly comfortable.4) Two great bathrooms! 5) Despite sweltering 88-92 degree weather, the ACs worked beautifully!So in summary, great location, great room, be careful of the pull-out couch mattresses and hope that both elevators are in service when you go, but I wouldn't hesitate to return!	
Jul 19 2008 	Manhattan Club has gone downhill	We are timeshare owners at the Manhattan Club and have been so since 2005. We stay here all the time when we come to NYC. We love the Manhattan Club and have no intention of selling our timeshare (we use it so much). However, it has gone downhill since we first began coming here:PROBLEMS:--Service is spotty at bets. Can be good. Can be terrible (unresponsive). However, we have never had rude service.--ELEVATORS!!!! Be prepared to wait a LONG time to catch an elevator. Usually only one (of two) elevator works so they open up the service elevators (which don't help much).STRENGTHS:--Nice clean rooms (usually).--LOCATION!!! You can't beat the location. Close to Time Square and Central Park.This is a nice place to stay. It isn't what it used to be which is a management problem. They need someone who can figure out how to run a timeshare hotel .	
Jul 17 2008 	Manhattan Club a pleasant surprise	My family consisting of my husband and I ( aged 50+) and my son and daughter (late 20s) stayed in the Manhattan Club for a week from 29th June 2008.We had read all the mixed reviews and were expecting to have to put up with a lot for the sake of the location. Quite the opposite!The staff couldn't have been nicer - and I mean that! Every single person working there, regardless of job, could not have been friendlier or more pleasant. I cannot understand how others reviewers give them such a bad press. We were on the 19th floor and when we stepped out of the lift, my heart sank. The carpet has been taken up and the refurbishment is under way. The apartments are generously sized but are rather careworn and not particularly light and airy. Everywhere is clean, though and the bathroom toiletries are lovely! We were on an RCI exchange and were led to believe it was a partial kitchen ie. hob but no oven. In fact there are no cooking facilities whatsoever. Sink, fridge and microwave only. There was free coffee, tea, hot water, cake and biscuits on the 26th floor every day from 11 to 4 which was very nice.The lifts (or elevators) were exactly what we had read from the reviews. How serious you were about it depended upon your character - either it was a bit of a hassle that you had to laugh about or you let yourself get really steamed up about it. It was really only a serious problem on check out day. We used the service elevator and felt sorry for the staff who couldn't get their service or luggage trolleys in for all the guests. Incidentally none of us ever travelled in the elevator with any garbage!The floors that have already been refurbished are lovely and once the elevators have been fixed, this place will be wonderful.I would definitely return.	
Jun 23 2008 	Great Location Horrible Service	I was invited to stay here for a package deal to tour the property and check out ownership.Check-in started fine- I was able to check in early and get situated before i went on my tour.After that- here are all of the things that went wrong:1. The TV in the room didn't work. We had to ask several people to come and check it before it would function. 2. I had to call several times for new towels.3. The elevator never came to Floor 2. If staff saw you waiting, they would yell at you to take the service elevators where you had to share the elevator with trash bins and garbage.4. The concierge was rude. When I asked her what there was to do around the hotel she said, &quot;Didn't you do your homework?&quot; I had to push her to give me specific suggestions.5. The &quot;Executive Level&quot; boasts a Continental Breakfast and Lounge Service. You have to pay for both.6. I was overcharged by $700 for my stay. When I went to complain, I was still overcharged by $100. I had to call the original booking company to get it fixed.7. I valet parked and gave my credit card. No one told me you had to request to be billed for your car so when my car came I was yelled at that I was trying to get away without paying. When I asked the Valet how to get to the Lincoln Tunnel, he said, &quot;I have no idea&quot;On the positive side- the location is great. It is walking distance to Central Park, 5th Ave and Times Square. The restaurant across the street, the Red Eagle is wonderful.I would NEVER stay here again.	
Jun 16 2008 	Absolute Garbish	If you like being told lies and treated like rubbish then this is the place for you ! If like any sane and normal person you dont, then give this place a miss.....even if there is a hooters bar over the road !! I have never been treated so badly in all my life than by this place. Keep your eyes peeled for Antonio Munoz (Assistant Front Desk Manager), he's the star performer in this shambolic performance. I can also back up what everybody else says about the elevators. I bet I'm not the only person on here to experience &quot;plumbing difficulties&quot;......Don't stay here or it'll tarnish your experience of this wonderful city.	
May 18 2008 	Manhattan Club was Good	It amazes me how the ratings for this resort vary. I stayed from May 3 to May 10, 2008. I think the rooms are great. I would rate this resort 3.5 stars. It could easily be 4 or 5 if they refurbished the rooms. Since TripAdvisor only has whole stars and I really enjoyed my stay, I gave it a 4. I got the room through RCI.The park is only 3 blocks away and Carnagie Hall is across the street. GREAT LOCATION! At W 57th and 7th Ave, you are in the middle of the hustle and bustle of New York.I had room 2219. It is a corner &quot;Executive Studio&quot; unit so I had 2 windows with a view of Central Park. Nice! My room was very funtional and a great place to relax after walking all day in the city. I don't understand folks that complain about noise in New York. That is part of the experience! If the windows are open, it is noisy. Cole Porter says it best:&quot;I happen to like New York, I happen to like this town. I like the city air, I like to drink of it, The more I know New York the more I think of it. I like the sight and the sound and even the stink of it. I happen to like New York.&quot;The rooms do need to be updated. While my room was very clean, the soft goods are showing wear and tear. Faded bed spread, spots on fabric chair/couch, wear and tear, etc. Just needs to be updated. The carpet looked new and the flat screen TV was nice.Air conditioning worked great. The small refirgerator worked but it was too cold. On the lowest setting, it would freeze my soft drinks. Had great cola slurpies. I let them know when I checked out.Elevator Issue RESOLVED: They completely replaced an entire elevator car. For half of my stay there was only one lobby elevator. They did allow you to use the freight elevator but I didn't like it. They opened up the new elevator so both elevators are in service. The new one is very nice. Yea!All of the major subway lines are very close. Very convenient for getting around the city. I recoomend buying a multi day subway pass. I bought a $25 7 days pass which was a really good value as I traveled all over the city.Tip: Get a &quot;City Pass&quot; if you plan to visit the museums and tourist attractions. It was great because you bypass many of the ticket purchase lines at the attractions. It also will save you a ton of money. I bought mine at the 3 hour around Manhattan Island Cirlcle Line cruise. Very interesting. Check it out at www.citypass.com.We saw Wicked and The Lion King. Great shows. These are still not available at TKTS (half price tickets) due to still being so popular.The hotel staff were helpful and courteous. They are New Yorkers however. I think some folks that review here don't understand New York culture. It is fast and succinct. This is not a slow paced Carribean resort.I would definately return to The Manhattan Club. If they refurbish the rooms I would even consider becoming an owner. Good times to be had at the Manhattan Club.Good Luck!	
May 13 2008 	Hated Manhattan Club!!	Only one elevator was running for guests. The back 2 service levators were opened for guests but we had to go up and down with the help, the garbage and the laundry. Long waits at the elevators. Very poor customer service. Bad management. Front Desk Staff very rude and not very helpful. Lots of banging outside the hotel windows. Would not buy timeshare here and would never stay here again! Beware!!	
Apr 20 2008	very disappointed in Manhattan Club	Have always heard great things and was very excited to stay there..Great location but ..BIG DISAPPOINTMENT. Stayed 2 nights...had a metro room...small, clean, nice but had frosted windows( claustraphobic) and air conditioning was NON EXSISTENT. Complaining did not bring any cold air...don't think they even addressed it. HOT STUFFY NIGHT...rooms have plastic dishes and cultery...what's the dishwasher for?? Show?? Only One elevator running and very LONG waits...seems like others had the same complaint in 2005 so that is no better 3 years later... Tried the stairs...stairwells were dirty and smelled....conceige was rude and front desk personal was very impersonable. The staff raved about the Club lounge. ... closed during our first try at 11;00 PM, open on second try at 4:00 PM, however we found no bartender, a tray of stale cookies, and nothing but water in plastic cups...not impressed. We were interested in buying atime share week but glad we stayed first because we would never buy now. Once they realized we were not interested...they seemed to no longer be interested in us!!	
Apr 20 2008	Very Good Value for the money and great location!......	We booked direct from the UK. After reading the reviews on here, we were pleasantly surprised when we arrived. Points to note: The Manhattan Club is a timeshare complex (NO sales pressure) and as such has very liitle in in the way of amenites. The concierge desk people are not particulary pleasant to talk to and give an impression of being unhelpful.The lifts are not all working, so be prepared to wait for typically up to 3-4 minutes. No real problem for us. The rooms are clean and comfortable (two bathrooms), but are beginning to look a littele-bit dated, The location is first-class, Times Square and Central Park, all easily within walking distance. Everything is almost on your doorstep and there's even an Irish Pub across the road which shows all the live premiership football (bliss). The rooms facing the front of the hotel can be a bit traffic noisy, but conversly the rooms at the side are next to buliding development works. This is definitely not the prettiest place to stay, but overall, you really would have to go some to beat it on value for money and location!! I am glad we picked this place to stay.	
Apr 12 2008 	Great location and room if you go at the right time of year	I own several timeshares and rented a one-bedroom suite with two bathrooms from an owner at Manhattan Club. RCI is the timeshare company for all suites except the penthouse suites, which is affiliated with Interval International timeshare management.This is a great property on West 56th and 7th Ave.-near Carnegie Hall, across from Redeye Grill. Easy walk to small grocery and Duane Reed pharmacy/sundry stores. I stayed here before in a studio suite, which is okay for a couple but crowded if you bring a grandchild. The one bedroom suite with 2 baths is large for NYC with nice kitchenette, dining table with 4 chairs. Plenty of dresser drawers and two closets. Best king sized bed I have ever had in a hotel,too. The sheets had several large tears in them but were soft.Only problems were:1. The elevators are very slow and crowded. Take your chance at the lobby elevator or the service elevator and hope for the best.When we were there, one of the lobby elevators was out of service for &quot;improvements&quot;. A staff member told us the improvements would make the elevator nicer but would have no affect on speed - too bad!2. Climate control can be a problem depending on time of year.We stayed in April and the rooms were VERY hot. You can open the windows but we had a room facing another building and ventilation was not great even when we had all four windows open. The temperature outside was between 48 and 62 F. We requested a fan but were told all of the fans were loaned out already for each day of our 3 night stay. We requested a fan twice a day for 3 days with no luck, although everyone was very polite. Why not put two fans in each room? It would have made our stay so much more comfortable. Management and the bell man told us they were not required to turn the air condioner on until late May. They said since this is a very old building there are only two pipes instead of four, which means they could turn on heat for the cooler months and A/C for the warmer months but never a choice of heat or A/C at all times. Everyone in the building was complaining of being too hot. We were considering purchasing a timeshare here, but the lack of individual climate control changed our minds. I would stay here only in December through March (good bet for the heater to be on) or June-August (good bet for the a/c to be on). The housekeeping was excellent, bathrooms were clean and of adequate size. Only complaint in bathroom is that there is a pedestal sink and absolutely no cabinet or stand to put toiletries. No hook on back of bathroom door to hold a hanging toiletry case either. Two nice terry robes were provided but only one hook in the small bath on the wall to hang one robe. The kitchenette had microwave,coffeemaker,small refrigerator, dishwasher, sink and small supply of dishes,bowls,plates and utencils.Maid service was provided daily (unusual for a timeshare) and soundproofing is good between rooms. If you close the windows, you hear minimal Manhattan street noise like horns and sirens. We ended up leaving all windows open to keep the room cooler. We were awakened by construction noise which we assumed were related to sandblasting since sand started coming through the opened windows on two mornings of our 3 night stay. We had to close the windows and leave until later in the day. There is a nice exercise room and business center, along with an owner's lounge on the 26th floor. Wireless internet was free and worked well in our suite.The &quot;Penthouse suites&quot; have access to owners or their guests by a key in the elevator on the 26th floor. I don't know if there are similar climate control problems but there are two terraces (north and south) with lovely views. Only problem is the very loud air handlers on the roof near both terraces that make conversation difficult due to noise. I would stay again but only during months when heat or A/C would be on.	
Mar 18 2008	Elevators are a HUGE problem.	We recently enjoyed a 3 night stay here.We had a 1 BR unit with a King bed, and the kids slept on a pullout in the living room. Both rooms were a really good size, especially for NYC, and there was lots of storage space. There were 2 full baths. One had a tub/shower combo, and the other had a large shower. Bath and Body works soaps/shampoos/lotions were included. The kitchenette area had a table and 4 chairs, microwave, frig., dishes, and dishwasher.There was also a coffeemaker and included coffeeWe enjoyed being able to have our coffee and breakfast in each morning.A major problem with this hotel/timeshare is the elevators. There are only 2 that serviced the timeshare apts., and 2 service elevators. Since 1 elevator was out of service,guests could use the service elevators, but it took FOREVER to get down from the 17th floor. We waited 40 minutes once, as every time one stopped, it was jammed full Finally we squeezed onto an elevator going up, and we stopped on each of the floors up until the 26th floor, and then on each floor on the way down.Everytime the door opened there were people hoping to get on, but there was no way. Everyone was complaining, and it was a huge problem! One couple squeezed their 2 kids on with us, and they walked down 17 flights to meet us at the bottom. Guess who got there 1st!Other than that, our stay was great..	
Mar 15 2008 	NYC at its best!	Just spent a week at the Manhattan Club...we completely enjoyed it (in spite of the negative reviews we had read, we were a little concerned, then were pleasantly surprised. The MC exceeded our expectations.) Great accommodations, close to everything (Broadway, Central Park, 5th Avenue, Times Square, restaurants) and we found the entire staff to be very polite and friendly! The elevators are under renovation (like many buildings in NYC, the building is very old, thus the elevators are being updated)....just be patient. When you visit, do ask the staff for restaurant recommendations to avoid potential tourist traps - and do expect to pay a little more - you are in Manhattan! To get half-priced broadway tickets, be sure to visit the TKTS booth in Times Square. To get around, buy a Metro Card and use the subway - very efficient and seemed safe. In fact, the city in general felt much safer than we expected.We are already looking forward to our next stay at The MC and highly recommend it to others. Can't imagine staying anywhere else in the city.	
Mar 10 2008 	Go to Howard Johnsons Instead!	Do yourself a favor....Stay at Howard Johnsons.It's nicer.Mediocre rooms, non-working elevators,phones and TV ,indifferent staff, poor views, no VCR or DVD player,no restaurant on premises. The list goes on.They made promises that they could not keep.I wanted to make my wife's 50th birthday special. This place ruined it. To top it off the double charged me for the valet parking when I was leaving! Don't believe that these pictures are views from the hotel! &amp;*&amp;^^*^%@@!!PS There are NO BATHTUBS in the rooms! Only showers!	
Feb 26 2008 	beware of the manhatan club	this is my 3 time staying at manhattan club the first one before the renovations which was unbelivabley dissapointing as i could not watch tv comforably in the room due the angle of the bed and the t.v. i stayed for a few days in january and the suites are designed nice and the engineer showed me how to operate the dvd player with the hi def tv. you had to ask for a dvd player why they are not standard in the room i dont know.i came back for a few more days as i had expiring points and the tv in one room did not work. my room was changed as i asked to have the dvd/vcr combo brought to my new room and i was told that it was not compatible with the t.v. but it was hooked up to the previous room tv which was defective . then i asked for a plain dvd player and i was told that no dvd players are compatible with the t.v. i told the engineer that i was here 2 weeks ago in the same room with a dvd player which worked and he told me no .the staff acts like you are disturbing them when you ask for something. the location of the building is the only positive thing here. the are so many hotels in n.y. where staff actually smiles when you come in and greets you. the light switches in my room were missing in most of the rooms so i had to leave the bathroom lights on otherwise there was no light in the room. ther is no bathroom bar for the tub and the whole bathroom is marble so it is dangeous for elderly people. this place is toutee as one of the most difficult timeshare exchanges there is so i expected much more from this place since it had been renovated.you also have to pay a per night housekeeping fee .personally i will stay at an affinia hotel next time.	
Feb 11 2008 	Wish I lived nearer!	Stayed here through RCI timeshare exchange for 7 nights in Sept 2007. Was a bit worried about mixed reviews of accommodation but all I can say is that it was fabulous.We had a 1 bed suite with 2 bathrooms, lounge area with kitchenette and separate bedroom with king size bed.Room was at rear of hotel so rather dark and no view but who goes to NY to look out of the window?Location on 56 St is amazing, so close to all attractions.Daily Maid service @$25 per night was well worth it.I would go back time and again if I didn't live so far awayKaren	
Feb 6 2008 	Great Place to Stay	Our family of 2 adults and 2 small children visited New York for the first time. We spent 7 nights in a 1 bedroom unit at this Timeshare/Hotel property. It was fantastic overall. By New York standards, the unit was very good size, including 2 full bathrooms, bedroom, a living room with eating area and a kitchenette, which ended up being our saving grace. There was a refrig., microwave, dishwasher, coffee pot and dishes. We were out walking and seeing from 8:00 am until 7:00 pm each day and it was wonderful to be able to pick up some fresh ready made food from the many markets/food bars in the neighborhood and go back to our room to eat, (instead of dragging 2 tired youngsters to a restaurant) relax, make some hot tea and really rejuvinate for the next day. The unit was clean, quiet and very comfortable. The front desk staff was not particularly friendly, but we had no specific issues with them. The Housekeeping and maintainance staff was great. (the guests in the unit next door left their bathtub running and it flooded our front hall closet).The best part about this property was its location. 2 blocks from the southern edge of Central Park - there was a subway station right downstairs - and only 15 min. walk to Broadway ! We loved this place and will definately be back to stay again.	
Feb 5 2008 	I love NYC	Having never been to NYC before I had no idea where we were staying but we could not have been in a better location.If you walk out the front door to your left is Broadway and to your right is Carnegie Hall, 2 Blocks and you are at Central Park. Times Square is nearby. There are subways close by to transfer you to downtown but we found we walked everywhere most of the time.We had a 1 bedroom unit with 1.7 bathrooms. This means the 2nd bathroom does not have a shower.We had 5 adults stay in the apartment. We had rung and requested a roll away prior to our arrival but it was not in the room when we arrived so my husband went down to the front desk and the roll away was delivered within minutes!Even with the rollaway we had plenty of space for all of us and our 10 bags!! (This was the last stop on a 6 week holiday.)The rooms were kept very clean when we were there but some of the plates in the cupboard were dirty when we arrived.The Club has a recently upgraded gym and the owners lounge looked extremely comfortable but we never spent time there.We did however spend time in the office with free internet access.Having this onsite was very helpful, instead of trying to find internet cafes , the right change etc at locations off site. We found this a very well equipped and high standard of accommodation. Though the lifts are annoyingWould definitely stay here again in the future.	
Jan 15 2008 	I love New Yorker	I am a timeshare owner at The Manhattan Club and, for the first time in ten years, broke my week into seven overnight stays. I went with my husband, daughters, girlfriends and each stay was more wonderful than the next.The staff may not be the friendliest , as other reviews have indicated ) but they do their job efficiently and courtiously and I never had a problem with any one of them. I really didn't care if the cleaners smiled at me or not. The elevators are a little slow, there are only two and a back elevator to the upper floors.The units were immaculate and had everything I needed. Very comfortable beds in the 1 bedroom units. Two great bathrooms.I spent 99.9% of my time enjoying the city, not sitting in the room but the little time I did was perfectly fine.The location is perfection. I highly recommend The Manhattan Club and look forward to another seven stays in 2008.	
Jan 3 2008 	Great for a busy weekend in NYC	I stayed in the Manhattan Club with 4 other girls while on a long weekend shopping in New York in December. I was very impressed with the apartment and with the location and would not hesitate to recommend it. We had a one bedroom apartment - with 2 bathrooms which was an unexpected bonus. The sofa bed was not great but most sofa beds are pretty poor - we were so tired after long days shopping we slept well anyway.I've seen a lot of complaints about the slow elevators. We used the service elevators near the reception desk during our stay - there was a sign beside the desk advising guests that there were additional elevators. It meant that sometimes we were sharing the elevator with the laundry or squeezing in with all the housekeeping staff – but nobody minded. We never saw any other guests using them – but you should! It saved lots of time.There is great diner nearby - we had dinner there and were very impressed by the food and service - Brooklyn Diner 212 West 57th Street (between Broadway and 7th Ave.)We go to New York every year shopping and will definitely be staying in the Manhattan Club again.	
Jan 2 2008 	Nice stay	Perfectly good. No complaints. Huge rooms.	
Dec 25 2007	Awesome Place	Awesome place. Great location. Fridge and microwave make it perfect. I love this place. Will be back again.	
Dec 24 2007 	Gorgeous Suite And No Car Needed	FANTASTIC LOCATION - multiple subway entries close and absolutely no need for a car. A few blocks from Central Park, across the street from Carnegie Hall and few blocks from the main shopping streets. The staff was really helpful and quick. The accommodations were spotlessly clean, spacious, and cleaned well daily. Only downside was waiting at times for the elevator, but the suite itself makes up for it. I will stay there again whenever I can book it.	
Nov 25 2007 	Thanksgiving in New York	My wife and I and our 3 children stayed for Thanksgiving week at the Manhattan club and had a great time. The midtown location is fabulous. Close to the subway, restaurants, Central Park, and Carnegie Hall. The room was clean, the beds were comfortable. The staff was competent. The price was very reasonable. The only negative is that the elevators are slow.	
Nov 23 2007 	Much better than most reviews.	I am compelled to write since there are many negative reviews of the Manhattan Club. I have stayed in at least 10 other hotels in NY and in my opinion this is one of the best. A family of four, we had a one bedroom suite with 1 3/4 baths. It had a nice size bedroom and the sitting area/kitchen was large enough to contain the open sleeper sofa and a twin air bed without any problems. The condition of the room was excellent, and we had no complaints about the cleanliness. Compared to most NY hotel rooms we have stayed, this is definitely one of the nicest and surely the largest.To address issues of other reviewers: We did not find the elevators particularly slow--only once did we feel the wait was greater than 3 to 4 minutes. The hotel invites patrons to use the service elevators and they can be quicker. The hotel has studios and one bedroom suites. The studios appear per other reviewers to be too small for 4 people. The one bedrooms are not and that may explain some of the poorer reviews. We did not find the staff to be unfriendly or rude. They did not try to be our friends, but they did their jobs adequately. The only negatives we encountered were the air conditioning system which was a bit weak, and difficulty accessing the wireless internet. The AC problem was solved in Nov. by opening the windows an inch. It took several phone calls to the front desk to get the long-on name to be able to access the free wireless internet; and the concierge had no idea how to get online.We would definitely return.	
