	Great Location	My friend and I stayed at the Comfort Inn in November for a week. We found the reception people most helpful and friendly. The food in Brendan's was very good, don't forget to use your key room card to get money off-we did-and they don't ask!!! The hotel may be a bit dated, but it was very clean. What a fantasic location. The subway, Macy's and the Empire State Building within 5 minutes. On the whole we loved our stay here. A bit of paint would help brighten it up. It was noisy at night with the dustbins being collected and the New Yorkers do like to use their car horns!!!	
Nov 4 2008 	Clean and Fabulous Location	I spent two nights in the city @ the Comfort Inn Manhattan/Murray Hill. Location: The location was excellent. Macy's was at one end of the block and the Empire State at the other. There was a subway stop close by as well and Penn Station (Amtrak) was just a 15 minute walk away. Starbucks was a block away as well as was a Duane Read (drugstore). The area was safe and clean.Rooms: The hotel was clean (it appeared that our bathroom had just been redone) but dated. The rooms were ample sized for NYC and had some nice touches such as bed skirts. We did not have any problems with noise levels either from the interior or exterior.The staff at the hotel was most friendly and the lobby offered a bit of a resting spot with free coffee.It was certainly a budget feel but great for the location and price.	
Oct 15 2008	(Dis)Comfort Inn	We arrived at 9.30pm to find the room allocated was not as booked, and no hot water. In the morning breakfast was served on plastic plates, with plastic cutlery and paper cups. Hot drinks came from flasks and the selection from the buffet is very limited.We were asked to vacate our room by 9am the next day whilst they prepared another room which would be available 4pm later that afternoon. Both rooms were noisy. The staff were very reluctant to admit the problem with our booking was their fault even though we produced written evidence of our booking. The maid knocked at 8am to clean the room and on the day of departure was amazed that we were still there even though we had booked a late check-out which we had to confirm at The Front Desk 3 times. There is a vending machine which dispenses free hot drinks into paper cups in the lobby for guests.The beds are comfortable. Recommed taking ear plugs if you are light sleeper. The food is nothing to write home about. Recommend contacting Big Apple Greeters for a free informal guided walking tour of the city to gain your bearings a few weeks before your visit. Try Ellens Stardust Diner for a bite to eat and entertainment.	
Oct 10 2008 	Friendly Buget Hotel!	We have just returned from a very comfortable 3 night stay at the Comfort Inn. The Hotel was exactly as we were expecting after reading reviews on this forum. On arrival at the Hotel our check in went very smoothly, we were allocated our non smoking room as requested and given our &quot;keys&quot; to room 409. The receptionist seemed very polite and helpful, explaining about the tea and coffee, internet facility and where breakfast would be served, about the works within the Hotel and also the location of othe local ammenities such as drug stores and subway stations. There is a modernisation programme going on within the Hotel at present, of which we were aware before arrival. However, the only sign we saw of this were workmen loading the lift in the evening, it certainly caused us no bother. The hotel also booked our transport back to Newark. This turned out to be a Limo and saved us just over $10 on the price of a Taxi. Not much, but definately a more comfortable ride.When we got to our room we were pleasantly surprised by its size and the amount of storage space. The room had a good sized Queen bed, table and chairs, large chest of drawers and a cupboard/wardrobe, complete with coat hangars, iron and board and keycode safe. So there was no tripping over the suitcases!The room also had an air conditioning/heating unit, but we did not need to use it during our stay.As the room was at the back of the Hotel we had a fantastic view of the Empire State Building. There was also some works being undertaken on a demolished building right behind the Hotel, as a result there was no need for an alarm clock as they started work at 7am sharp!The bathroom was perfectly adequate and very clean. The shower was very powerful and always hot. Our towels were replaced every day when the room was cleaned.Breakfast was fine. Not very exciting but as described by previous reviews. However, we still managed to smile at the disposable cutlery. But it was included in the price and meant we didn't have to buy food untill lunchtime.The location of the Hotel is fantastic with all the major attractions in easy reach.I would not hesitate to recommend this Hotel to anyone and would certainly visit again.	
Sep 16 2008 	noisy front bedrooms.	The front of the hotel overlooks 35th street, and as the cars and lorries seem to honk their horns continuously, it can get noisy. That said however, the room was adequate, with two double beds in it - could explain the reason some people call the rooms small, with nowhere to store suitcases etc - but very comfy and clean. No tea making facilities, so you may like to take a travel kettle for your early morning cuppa (European adaptor does not work in USA so you may have to buy a different one whilst there). Free tea and coffee in the reception, but 11 floors down in my nightie does not appeal!!! The breakfast was not very nice - same every day, bagels, waffles, cakes and toast. Filling but stodgy. Free internet access in reception - but only one computer, so there was always a queue for it no matter what time of day or evening. Taxi fare from JFK is a fixed 45 dollars, plus 5 dollars road toll, in a yellow cab. Same on return - although the receptionist said that we should take the firm they recommend (100 dollars or thereabouts!) as there was not a fixed fee for return journey. Not true. Taxi rank just by Macey's store,a two minute walk from the hotel. Hotel was fine for the price - however the weather was really wet on a couple of days we were there, and it would have been nice had there been a large reception/sitting area, instead of having to go to the room. Only a small lobby/reception at this hotel. Bathroom o.k., but no shelves to put things on, so toiletries had to go on floor. Think on reflection I would maybe go for a different hotel (Metro opposite looks nice), but it was a central position and easy to get to all the 'must see' sights.	
Sep 11 2008 	A good hotel for the budget conscience traveller	Me and my boyfriend stayed here for 4 nights at the start of Sept and were not expecting too much prior to our arrival due to previous reviews and photos but when we got to our room (on the 11th floor), we were both pleasantly suprised. Think we must of had one of the renovated rooms. I was expecting a really chintzy bedspread and floral patterns everywhere, but we got nothing like that.The room was a decent size for a New York hotel. There was a wardrobe which was big enough to put suitcases away. The in-room safe was in the wardrobe (which we found out upon check out that we had to pay $1 a day for it). Room to hang clothes up (hangers provided) and space for all those shopping bags. Bed was comfy. Television was mounted on the wall. Table and chairs in room as well. But no fridgeThe bathroom was small, but big enough for what you need it for.Breakfast was included. You get the basics : bagels, juice, tea/coffee, toast, doughnuts, cereal. Cutlery is plastic, which took us by suprise. You can get a cooked breakfast but it'll cost you a few dollars.Location is very good - never too far from an attractionReception staff weren't the most friendliest bunch of people i've ever met. But they did recommend a very nice Chinese restaurant across the street (next to the Korean restaurant)Our room wasn't cleaned till late afternoon (after 3pm) on 2 days. There was no 'maid service' sign to hang on doorIf you go to New York to explore the city and the shops and not spend the whole time locked away in the hotel, this place is fine.	
Aug 14 2008	great location	just returned from our trip to nyc were we stayed at the comfort inn mid town manatton great location just around the corner from the empire state building and macys department store . we were told when we booked that there would be minor buiding work going on during our stay but we saw no indication of this whatsoever .the hotel was clean and perfect for our needs which was a base while we were in new york . the bathroom was rather small and the closet i think you would struggle to hang all your clothes if you were staying for more than a few daysthe free breakfast set us up for the day which was great the stair wells were narrow and not very attractive but we used the lifts which were fine .staff very pleseant and helpful would definatly stay here again everything was so easy to find from this location.	
Aug 13 2008 	Location is the Best Thing about this Hotel	I loved the location of this hotel. Macys, Herald Square, Empire State Building were all right around the corner. Times Square was just a short walk away. I have stayed in NYC a few times and this was the smallest hotel room yet. The room was clean but the carpet should have been replaced years ago and I found the electrical outlets that were falling out of the wall a bit disturbing. The lobby is attractive but everything else in the building looked old to me. Furniture was not bad and bed was okay, I guess I was just hoping for a little better. If you do not need a lot of room and your expectations are not too high, this hotel will be fine, after all who comes to NYC to stay in a hotel room? There is free breakfast--the usual fare--we would have loved to had some fruit but did not see any. Overall-- the staff was nice, it is great location and certainly okay for a one night stay.	
Jul 23 2008 	I Love This Place !!!!!	I first stayed at this hotel in 1995 which was my ist time to NYC, booked as part of a package with Virgin Holidays. Next visited in November 2004 with my wife &amp; 2 kids, again with Virgin Holidays. We have visited every november/december since then to do our christmas shopping &amp; i wouldn't stay anywhere else.The location is absolutely perfect for shopping, 5th Ave is at one end of street, Macy's is the other end of street. You can walk to Times Sq in around 10 mins. The hotel is in a safe location, side street runnung between 5th &amp; 6th Avenues.Rooms are fine, it is an old hotel &amp; so some people on this site seem to knock it for not being as spotless as you would expect a more modern hotel to be. We have always found our rooms to be clean &amp; well kept, fresh towells each day &amp; a nice warm, safe environment. I wouldn't take my kids there if it wasn't good.The hotel has two small lifts so at times you may have to wait a few moments but no real problems there. The hotel offers a free continental breakfast each morning which is served in Brendans bar, it has a wide selection of cakes, pastries, cereals, juices, tea/coffee &amp; also some fresh fruit. We love it &amp; it sets ypu up nicely for the day ahead. The hotel staff are friendly, if you have not been to NYC before you may find them a little abrupt, you will get used to the fact that New Yorkers are like that as its a busy city &amp; everything moves quickly. We have got to know the staff very well &amp; if you treat them nicely then they will treat you nicely. Brian who is the senior reception guy is absolutely great, if you need information on anything then you just ask him &amp; he;ll help. Benny who is the luggage/concierge guy is an absolute diamond, a real New Yorker with a heart of gold. I really can not say any more, we love the hotel, the staff &amp; the city. If you want any info on where to go, what to see &amp; how best to get tickets then please email me &amp; i will share my knowledge &amp; experience on New York. davidsweeney2@aol.com	
Jul 5 2008 	Good Location	The hotel is located at very good location. We can easily walk to Empire State Building and Macy. It is also walkable to Times Square, Public Library and Central Terminal from the hotel. It is also close to subway station. However, hotel provides us a small room with a poorly designed and maintained bathroom. It is very different from the photos showing in websites. Though the bathroom is poor, I still recommend this hotel to friends due to the location.	
Jun 23 2008 	Just "OK"	We stayed here because we got two free nights with our Choice Privleges points. However, had I paid I would have been disappointed. The room was small and dark. The bedding looked clean however there was dust on the floor boards. It could have used a major scrub down. The breakfast was just &quot;ok&quot; and they had coffee and tea in the lobby all day. However, one morning I went to get coffee before the breakfast was open and they only had decaf in the lobby. The desk clerk suggestion was to go down the street rather than just to make the regular coffee. The elevators were slow and one of them was broke down a lot. Also, the ice machine on the 2nd floor never worked during our entire stay. I would go elsewhere for the price. There are nicer hotels in midtown for the same cost. Look further.	
Jun 22 2008 	Dark and dingy room	Upon arriving at this hotel the first impressions of the Lobby area are that it it's small but clean, up to date and well maintained. Upon taking the elevator to the 3rd floor I was somewhat disappointed with the standard of the corridor area, which could do with some serious updating. I felt like that we had wandered by accident into the staff only area of the hotel! Unforuntately this was not the case and we made our way to room 307. For the whole time we were there we had to give the door one hell of a kick to open it after inserting our room keycard.we had a very attractive view of a brick wall, the window recess was mouldy at the top and the window outside was so dirty that even if there was some light able to enter I doubt that it would have been able to penetrate the dirt! This made for a very dingy room and as a result we had to have all 3 lamps on if we were there during the daytime just to be able to see what we were doing.The rest of the room was average, apart from some dodgy looking stains on the carpet which made me very reluctant to walk around the room with no shoes or socks on.The bathroom was basic but clean.The hotel has a good location but there are plenty of other hotels also in the close area which cant all be as bad as this one!If I return to New york in the future I will be avoiding this hotel like the plague.	
Jun 12 2008 	very clean	we stayed here for 3 days and it is a beautiful hotel. The room we stayed in 403 was very cleas and spacious with 2 beds. The bathroom was spacious as well. The empire state building and macys is one block down and the subway to take you uptown or down is right there as well. Good restaurant and extensive free breakfast was great here is a pic	
Jun 6 2008 	Don't expect too much and you'll be ok	I've been to NYC a few times and am a big fan of staying in Jersey and making the short trip by PATH train. You fin the hotels are much nicer and usually around half the price.Anyway..I met up with a friend who had to leave very early next morning so we got this hotel. Taken out of context, for the price, it's rubbish. In context, we're talking about Manhattan....The room was just about big enough for the (admittedly comfortable) bed and the bathroom was tiny but clean....That's it...the only other room we could find available was a Marriot that was $500/night...Therefore, if you take into account location and comparison to other hotels nearby, this represents good value. But, do yourself a favour, be prepared to travel for 10 minutes and stay outside Manhattan.	
May 20 2008 	great location	great hotel located very near Macys one block away. The empire state building is in the other direction one block away. You can easily walk to times square in about 15-20 mins. The hotel has a great restaurant and bar, there are loads of different restaurants in the area if you fancy something different. Great base for exploring the Big Apple, i would definately stay here again	
May 13 2008 	Great place to stay!	We were fortunate to use this hotel for our 2 night stay in NYC in April 2008. We found the room to be very clean, reasonably quiet for a city (we slept very well!), and very convenient for seeing the sights. Everything worked great. The staff were very courteous and helpful for all our needs. If there were any negatives, I'd say we could have used a small refrigerator. But I would recommend this hotel to anyone!	
May 2 2008 	Perfect location Superb Room and Friendly Staff!	Three of my friends and I stayed at this hotel from Apr 3 - 5, 2008. We were so pleasantly surprised as to how central this hotel is to MANY wonderful things in NYC. The Macy's in Herald Square is literally across the street from this hotel (well, not exactly across the street but right at the corner of the block we were on). We were close to the Empire State Building and many subway lines. The staff was eager to please us and were very approachable in reference to suggestions for dining, sight-seeing and more! Our rooms were small (we had two rooms) but clean and perfect for what we were expecting (you don't go to NYC to spend all of your time in your room). The bathrooms were spacious, clean and with great water pressure. The continental breakfast, which is included, was filling and exactly what we needed to get our days started. Free coffee is available in the lobby 24 hours a day and a computer with high speed internet service is also available in the lobby for free for all guests to use! I would definitely stay here again! My friends loved it as well!	
Apr 22 2008 	Couldn't have asked for better	My friend and I stayed here from 11Apr-16Apr08. Upon checkin they did not have a non-smoking room as we had requested but then again I knew it was not guaranteed to us. They were willing to move us the following morning and provided us with an air freshener in the meantime. In the end we stayed put in the smoking room and after keeping the windows open for a while we had no problems with the room for the length of our stay.Our room was clean and a tad bigger than what I was expecting; always a plus. The bathroom was also clean. Our floor had a dip as you got into the room or right before you step into the bathroom but this could not possibly ruin my holiday. I cannot say enough about the staff. They are very accommodating and kind. My friend may feel differently, though, as he tried calling and complaining about a noisy room next door and (his words) was greeted with indifference after two calls down to the front desk. They told him that it had been dealt with but in his opinion it clearly was not. We also had difficulty having our in-room safe repaired for us but on such a wonderful trip it did not dampen my spirits at all.The location was perfect for me. The subway station was just down the block from us, Empire State Building was right around the corner, and for a shopping girl such as myself Macy's was only a skip away! And if that were not enough I was smackdab in the middle of the glorious garment district! It took all my willpower not to spend my whole time trying on all the gorgeous clothes instead of seeing the sites of this beautiful city.The free continental breakfast was not just donuts and juice, thank goodness. They always had an assortment of bagels and cream cheese (this is, after all, New York) and the hard boiled eggs were a great addition. I never tried the free coffee in the lobby but there were plenty of others taking advantage of it so it could not be that bad.A great tip I had learned from another forum: head up the staircase to the rooftop of the hotel. Not only was it unlocked but it was wide open. From here you can get unbelievable shots of the Empire State Building and, my personal favorite, the Chrysler Building. And don't forget to wave to the diners eating on the roof across the street!	
Apr 18 2008 	Worst Hotel Ever!	I stayed here in March of 2008 and I wish I could give it zero stars. This was the worst and nastiest hotel I have ever seen. The website is SO deceiving. Do not believe those pictures. The room was tiny. It was supposed to have two double beds in it, and instead it had one double bed and a twin shoved in the corner. The bedspread was badly stained with who knows what. Our &quot;view&quot; was of a creepy alley with nothing but trash. It smelled terrible and was extremely loud. I really do not understand the good reviews it is getting. Anyway, we checked out immediately, never even unpacked. Do not stay here, especially if you are traveling with family. Its not a family place at all. However the management was nice, and because we immediately checked out they didn't charge us for all of the dates we booked the room for.	
Mar 27 2008 	Good Value	My wife stayed in the Hotel for three nights. We selected it due to its location, just blocks from Broadway, and price. It was difficult to find a decent Hotel under $200 per night but this fit us fine. The rooms are very small and two people could barely walk around the room without bumping into each other. At the same time, we just slept there. It had a wide screen TV, the bed was excellent, the room and bath were new and clean. They had a continental breakfast each morning which was average. There was no parking on site, but there was one across the street. Also, no bellman service, but we handled everything just fine. If you are looking for a budget hotel in Manhatten I would recommend this one.	
Mar 17 2008 	Top of the Line!	We have been staying at this hotel regularly for the last 6 years, probably three to four times per year. The staff is just wonderful, very accommodating and personable. The rooms are clean and spacious and the breakfast, delicious! And for a midtown Manhattan motel, the prices are very reasonable. I would recommend this hotel each and every time, hands down!	
Mar 8 2008 	Ok at best really 1 1/2 stars.	I was put here while on business. The hotel is &quot;european&quot; in the sense of those cheaper places you might have stayed as a college student when you were in Paris in the 80s. Yes, NYC is expensive, but this did not seem a good value. When on my dime, I priceline NYC and get much better deals.Postives1) The staff was friendly and helpful.2) It had some nice older aspects to it and is not generic.3) The bathroom had been redone.Negatives1) The hallways and rooms are in desperate need of a renovation. They were filthy.2) There was a 1/2&quot; gap in the door so one could see 1/2 of the bed from the hallway.3) There is free wireless but I had a stronger signal from the hotel across the street.Depends on your point of view1) Majority of the rooms face air shafts (should be quieter)	
Mar 2 2008 	Clean and great location	Stayed here for 2 nights, on my first trip to NY. we were seeing the sights so didnt really spend much time in the hotel. the hotel itself is quite small, the staff were ok - nothing special - but then i dont really care about that as long as the room is ok. Room was actually quite nice - a bit bigger than i would expect of a city centre hotel. it was very clean and warm (good considering it was -4 degrees outside!). the windows looked out to a brick wall on one side and the other a view up of the Empire state building! but i wasnt there to stare out of the window i was there to see the city!!so all in all this place isnt anything spectaular but its clean, and it was just what we needed. we used the subway a lot and there was a station right at the end of the road. it was also very handy for all the sights/Macys etc.would stay there again.	
Mar 1 2008	Fantastic Location!	A great hotel in a fantastic location - minutes away from Macys and other shops, lots of restaurants/fast food outlets nearby and subway at the end of the street.Rooms were large enough for our needs and clean. Safe provided in room to store valuables and storage area for suitcases too. Free breakfast was ok but lots of lovely cafes nearby if you wanted something different. Although the rooms could be warm it is possible to turn the heating down or the air con up.Would not hesitate in recommending the hotel to anybody looking for a great location at a reasonable price.	
Feb 26 2008 	Excellent Value + Brilliant Stay	Just back from 6 nights at the Comfort Inn. Brilliant!The room was spacious ( by NY standards), cosy, warm, safe and very clean. We were in Room 803, which looked out onto the front of the hotel. Everything worked! The free breakfast was a complete bonus and my only negative and thats cos I'm a bit of a snob is that the breakfast was on paper / plastic plates.... and I believe that God gave us china, knives and forks and we should use them! ( only joking! :) Will book here again for my trip next year. The location is fantastic.... and here's a little tip...... go into Macys at either the beginning or end of the day..... its empty! ENJOY	
Feb 16 2008 	We liked it	Me and my husband stayed in this hotel 7-11 of Feb 2008.I booked the hotel thru a travelagent and wanted to have a basic hotel with a central location,which is exactly what we got !We stayed on the 11 th floor ,one window facing the busy street and the other facing the Empire State Building.New York is a very busy city that never sleeps...you WILL hear the traffic all night long,you WILL hear the building works as there is skyscrapers all around you,but I still think this hotel is FANTASTIC value for your money.The room is basic,but right in the middle of all the sights and shops.Macey's (the biggest department store in the world) is at the end of your street and it's cheap !!!!!!!(the hotel will give you an extra 11% off card there) The Empire State Building is just around the corner and so is ALL the other sights you would want to see.The only place we took a metro to was to the Statue of Liberty and even that was a breeze!!!! The metro leaves a few hundred yards from the hotel and takes about 20 minutes to go to the other side of the island.The breakfast was poor....but you are staying in the middle of New York with zillion little cafes ,corner shops and restaurants around you...do you REALLY need to stay in your hotel ????Our hotel room was clean and fit for purpose (shopping,sightseeing and exploring New York from a fantastic location)My condolencies to the families of Jackie Timmins and Andrew Hardie ,they were so excited about their trip to New York when we briefly spoke to them.The ONLY sad memory of our trip.	
Feb 15 2008 	Worst hotel stay ever!!!	Stayed in this grotty hotel for 4 nights in Jan 08. Wow!! The shame of this hotel... It is very deceiving as the foyer is nice and clean with shiny fmarble floors. But the rooms tell a different story. All night long there were horrid noises as if someone was trying to break into the room- long bangs and crashesagainst the windows and doors. The air con didn't work and was playing up- hence the loud noises!!I have stayed in NYC a number of times before in fantastic hotels but can honestly say this has to be the worse hotel ever...If you want somewhere peaceful, nice and clean then steer clear on the Comfort Inn Manhattan!	
Feb 14 2008 	Great Stay Great Location	Having read some of the reviews on this hotel i was quite worried about going to this hotel but i guess some people just like to complain.Its not exactly the Waldof but then i didnt pay for the Waldof i paid for a budget hotel in central manhattan exactley what i got the location was fantastic around the corner from the empire state building and down the road from Macy's.We booked a twin room and was placed on the 8th floor at the front of the hotel we did over look some building work but didnt hear any noise so that didnt bother us room was larger than we expected with 2 queen size beds bathroom was on the small side but we managed. I agree the breakfast wasnt that good but its not like we had paid for it we actually preferred to eat out and found a lovely deli called Pax just around the corner.All in all a great stay it wasnt a 5 star hotel but they dont advertise it to be.The virgin rep out there was great he had called me 2 weeks before we were due to depart and answered loads of questions i had, He also booked some excusions for us so we didnt have to worry when we got there i would def recommend the Lady Liberty Helicoptor Tour, Tv and Movie sites, empire state building and woodbury common for some great bargains.All in all we had a great time and if we return would quite happerly stay in this hotel unless of coarse i win the lottery.	
Feb 12 2008 	Good Hotel and great location	Good hotel and great location. Empire State Building just round the corner and macys at the end of the street. Rooms were more than adequate, clean and warm, though really was only in the room first thing in the morning and falling into bed at the end of the day. Great irish pub across the road that served great food. Was good getting a breakfast before heading off for the day, bagels, donuts etc. Staff always really friendly and helpful.First time in NY and would would love to go back and would definately stay at this hotel again.	
Feb 10 2008 	Location Location Location	Not the best hotel I have ever stayed in but, its location is excellent, the staff were all friendly and the breakfast while it was basic was free.The room was small but it was ensuite and clean.For what we paid for the room it was good value for money compared to other hotels in New York.If you are planning to stay here use it as a base to explore the city as it location is great but, don't be expecting luxury or 4 star service as you won't get it.	
Feb 8 2008 	Tatty round the edges but ok...	I stayed here with a colleague for 4 nights last week. On arrival I was a bit gutted, but its not bad for your money. Having stayed in New York before I was expecting a small bedroom, but this was not too bad. As others have said the beds are really comfy, and the showers good. The towels were crap, thin and nasty, and the bathroom was in need of some renovation. My room was on the 12th floor, looking out over the Empire State Building which is only 1 block away. The heating was uncontrollable and noisy overnight which was a pain. I wouldn't like to stay here in summer as the aircon was inefficient and noisy.The staff were nice and organised a taxi to collect us at 5.30am for our flight home. The breakfast was a a bit crap. It does however give you an excuse to eat a glazed doughnut for breakfast! Free internet access in the reception area too. All in all, its a great location, and for the price its never going to be the plaza. In a city like New York you are never going to spend much time in your room, and this way you save your money for the bargain shopping!	
Feb 8 2008 	Hated Every Minute!!!	We booked this property for three nights through Virgin after spending two weeks in Colorado. On arrival put on the second floor at the front of the hotel. It was awful, room dirty, big black hairs and stains on meant to be clean towels. Then just to top it off they are constructing a new hotel directly opposite and these guys worlk through the night. So we got exactly zero sleep. The radiator hisses too so if your staying here bring earplugs.Complained to the manager &quot;Tony&quot; the next day but he was too busy on the internet chat rooms (the computer meant for guests) Eventually got moved to the rear of the hotel into a smaller room only to discover another building site to the rear. It was rotten. Tried Virgin but they firstly didn't return our calls and then when I did get through was told I could move hotels if I paid £150. A word of advice if you have booked here &quot;CANCEL&quot; if not avoid at all costs....or face sleep deprivation.	
Jan 24 2008 	Great Location - Needs a facelift	we stayed here from 30th Dec 2007 till Jan 3 2008. on arrival I was very disappointed as the place looked like it was in real need of a lick of paint and a general face lift.The room itself was small ish but clean. After I got over my initial snobbery I realised that the place wasn't all that bad for those traveling on a budget or for those who don't mind compromising style for location and saving the pennies for other things like shopping.The sheets were clean, the shower was excellent and the bed comfy. For the amount of time we actually stayed in the place, I cant really complain too much.The breakfast was a bit crap if Im honest. Self service with paper plates and cups and plastic knife and fork etc.If you like the finer things in life then avoid this place like the plague. However, if you are not a snob like me and can put up with the paper plates, then this place is good value for money and really well located.	
Jan 22 2008 	When Location Is Important	We have a reward credit card for this chain of hotels which earns us free nights. We had enough points for two free nights at this hotel located in the heart of NYC. Last time we went to NYC we stayed in New Jersey to save money and took a train in to the city every day. Big mistake. This hotel is located just a block from Macy's and within walking distance of all kinds of Manhattan attractions. There is a subway stop (B, D, F, N, R, V Q, W) on the corner just about a minute walk away. The E train (to JFK) is also within walking distance, around 10 mins with bags. The staff was friendly and helpful. When we arrived too early for check-in they offered to store our bags in the luggage room without us having to ask. They provided us with some touristy handouts and a map which came in handy later. We were on the 11th floor - I think there are 12 or so in the building. The room and bed were pretty small - but that goes with the territory for NYC. The bathroom was ridiculously small as you can see from the picture I posted. Looking out the window you could see the Empire State Building towering overhead, lit beautifully in the night. We usually leave our DO NOT DISTURB sign out all the time. Housekeeping gave us a courtesy call (left a message) letting us know that if we wanted our room cleaned we could call them by 4pm. I thought that was considerate. I would definitely stay here again, even though the bathroom was SO small. The location is absolutely wonderful. Our stay was free, so I can't really speak about price, but I do know that the rooms are pretty pricey in Manhattan and I imagine this hotel was no different. It was pretty clean, location A+ - definitely would stay again.	
Jan 7 2008 	Not very impressed	We spent 5 nights at the Comfort Inn over Christmas. And I would NOT go back! We booked through Virgin Holidays and thought that the hotel would be value in a good location. We arrived on Christmas Eve and were put in a smoking room (with asthma) with no alternatives. The next morning after a large fuss we were moved to a similar non smoking room (which had been available the night before apparantly). We skipped the breakfast as the room looked as dingy as the rest of the building - dark and doomy. The hotel is in serious need of a make over. And the staff are extremely unfriendly. The only redeeming feature is the great location.	
Jan 7 2008 	Worst Hotel Ever	Booked as part of a East Coast tour with Virgin Holidays we arrived after a lovely three star hotel experience in Boston and didn't botherto unpack our cases.Our room was on the 7th floor - and the entire corridor stank of cigarette smoke. Room stank in equal proportions, had blood on the duvet and the bathroom was miniscule.Front desk advised us the hotel was full, we had requested a smoking room (we had not) and we would have to wait until the next day for anychance of a room swap.After a couple of hours of ringing around we found a new hotel and moved out. Our new hotel was delightful and ensured we had an absolutely fantastic time in New York.I appreciate that in Manhattan your money buys less - but this was a truly awful experience. Okay, the location is good - but that is aboutit!	
Jan 4 2008	Great central location	Had a great stay at the comfort inn - excellent location - 5th avenue on end and macy's the other. Very spacious rooms, helpful staff, standard breakfast but perfect for our short stay. wewere on 11th floor, but lifts were excellent. free coffee in the lobby too, yum!!	
Jan 1 2008 	Renovate me please--this location deserves it!	Can't beat 1 block from Herald Square at Christmas time. Property has big rooms and old paint, thin towels and a helpful staff. Breakfast was pleasant with lots of seating. Many guests were European. Hotel Metro across the street appears to be in better condition. If you are really location conscious on a budget, this may be your choice. You can get better condition and a newer property west of 8th Avenue, but you sacrifice proximity to most of the things you come here for.	
Dec 31 2007	Great Location	Cannot be faulted for location for visitors. Subway at end of block and Macy's across the road from there. Empire State Building one block behind. Pretty good breakfast spread - bagels, toast, cereals, juices,coffee/tea, boiled eggs, donuts, fruit - or more at addit. cost. Rooms were reasonable. Ours was very hot - turned radiator off. Clean. Bathroom fine. Toilet in 2nd booked room got blocked but attended to. Shower fine. Staff were OK. Was some noise intrusion from construction work across the road - started quite early!	
Dec 27 2007 	Amazing Location	Location could not have been better, between 5th &amp; 6th Avenue on W35th Street. Walk outside the hotel, turn left walk straight to the junction &amp; Macy's is straight in front of you!!! Left at the top of the road is the Empire state building (Which you can see from rooms at the back of the hotel, on the higher floors) 10 minute walk to Times Square. Excellent base for shopping, if the bags weigh you down it's a short walk to the hotel :)The staff were very friendly &amp; helpful, they arranged a sightseeing tour and transport back to the airport. Rooms are a little dated, but most hotels in NY are (Unless you're looking for a 5star hotel) 2 Double beds, great selection of t.v. channels. There was always hot water for a bath/shower. As I said the rooms were dated, but they were clean to me that's more important. Breakfast was fantastic, I've never stayed in a hotel in NY that provided a free breakfast!! Bagels, toast, cereal, fruit, doughnuts, waffles, muffins, juice, coffee It kept us going till well after lunch :)The bar next to the hotel &quot;Brendan's&quot; is a great place to get dinner, and as a guest of the hotel you get 15% off you meal when you show you're room key! I would recommend this hotel to anyone going sightseeing/shopping. Email me if you have any questionsRachael	
Dec 23 2007	good value	Just back from new york, its the second time we have stayed here, its a basic hotel, good value for money, the complementry breakfast is great, brendans grill is great for a steak well recomended, good location, will be going back.	
Dec 12 2007 	I enjoyed it 	The room and bathroom were clean and I thought the bathroom on the 12th floor was pretty spacious for Manhattan. It was pretty quiet except briefly during the first night when it sounded like someone couldn't figure out how to open their door. bang, bang, banging door. No problems with anything missing. They didn't let me check in right away and I had to freshen up in the closet of a bathroom in the basement- but oh well. It's super convenient to almost all the subway lines. I liked that you had Macy's and touristy stuff in one direction and the neat Murray Hill neighborhood in the other. I could have done without the porter trying to sell me car service and then ignoring me when I didn't go for it. If you're a foodie, don't expect any good recommendations from the desk clerk. He sent me to the Irish tavern/gambling establishment across the street where I had the saltiest French Onion soup ever. But I do love Manhattan and I would stay here again.	
