	Nice hotel	I agree with great service and very nice room. We upgraded to a one bedroom suite and it felt like we were in our apartment in NYC. A nice apartment at that. Everyone was very helpful.Now onto the opinion side of things. This is a great hotel if you want to be in a residential part of NYC and not close to the big attraction. If you want to party, stay in the meatpacking district. This is not a party hotel. It does have a nice bar downstairs, but you are not getting in at night just because you stay there. The rooftop was a dissapointment because it was enclosed and stuffy and not much of a view. If you wanna party ,stay at the Standard. If you want a rooftop, check out the Gansevoort. This hotel just seemed dark and stuffy. The W-Union Square, which is close by and closer to hustle and bustle, looked more airy and more people hanging out in lobby.I think I was just looking for a little bit more fun hotel. This hotel is a good place if you want a quiet getaway to NYC and want to stay in your room. Which I don't know who is looking for that? Celebs that don't want paprazzi? It is a &quot;nice hotel&quot; just not what I was looking for this time in NYC.	
Dec 18 2008 	Light on Love heavy on pretention. But still a good brew.	GPH is like an old girlfriend you still call at 1:00 am from the Star Bar after too many mojitos. She is always there, and happy to have a good time. I won't carry on. Here is the deal: I love this hotel, and have stayed on several visits. But this time the pretentiousness of the check-in event hovered at above normal altitudes. I was with my comely new girlfriend, and tinged by nerves, I confess. But I was so embarrassed by the complete lack of common courtesy demonstrated by the two people at the front desk. We walk up after a half day's travel, and neither woman acknowledged our existence. We stood there in disbelief as I was about to spend the dividend quotient of a large third world island, and no one could even muster a &quot;buenas tardes&quot;.Anyhow, one anecdote of many. Overall, despite my better judgement, I will return. The hotel is comfortable and tastefully designed. But the staff must improve (doormen excluded -- wonderful and helpful guys). The desk folks really must get over themselves. An air of sophisticated je-ne-sais-quoi is expected in such high end mercantile. But being an ass is just never cool. Greet guests with warmth. Not garrulous chatter, or saccharine fakery, just warmth. All the best.	
Nov 18 2008 	A Designed Experience	From the spicy cedar scent that permeated the lobby when I first arrived to the blue velvet throw strewn purposefully across the foot of the bed, my whole stay felt designer, chic, and artsy. I will echo some of the other reviewers and laud the staff at the property for their casual professionalism - the bellhops are the friendliest I've encountered in NYc.I had an opportunity to enjoy GPH's 1-bedroom suite and would return to the dark, moody, Absinthian room in a heartbeat for an extended stay. Even though some of the artwork within the room could qualify as creepy (rabbit-headed man in suit, anyone?)The aesthetic of the rooftop terrace/bar is simply amazing - you eventually notice that there is also a decent view of the city but realistically that plays second to the decor.Gramercy Park itself is cute even though the gates and fences make me feel more hemmed in rather than any sense of privacy.Now for the caveats:The Rose Bar is a disappointment. Though it was crammed full of people, I found the atmosphere stodgy and boring. Pretention, of course, is de rigeur and I enjoyed the artificial &quot;exclusivity&quot; of the guestlist.Also lacklustre is their restaurant, Wakiya - the flavours are uninspired and the menu lacks a signature. Not sure why it is fairly busy...Prices/Rates at GPH can beggar belief. If you have to ask how much then... you get the idea.Gramercy Park Hotel's beautiful property, decent location at the end of Lex, and friendly service, combined for a positive and memorable experience. I would recommend this hotel for young professionals, singles or couples, not traveling on a tight budget.	
Nov 13 2008 	The rooms are dark really dark	Public areas, the lobby, the rooftop terrace, the bars are kind of swank (and the drinks at the bar are priced suitably high), with pieces by art world celebs like Schnabel, Basqiat, Hirst, etc., but the rooms, though pretty spacious by NY standard, are marred by a poor color and decorating scheme. It's all way too much chintz and velvet. And it's way too dark in there! You can barely read the papers without turning on all the lights and raising the blinds! Clearly not intended for people who actually need to do work in their hotel rooms.And everything is a bit overpriced in that nickel and dime kind of way. For instance, they will charge you for Internet usage per device (so my wife and I were charged for each of our laptops until we protested and they took one of those charges off). On the other hand, being a guest at the hotel gives you exclusive access to the rooftop lounge, a really nice place to have a late night drink or breakfast in the morning. Again, it's all good but pricey.The neighborhood retains traces of the classic old NY, like Edith Wharton and Henry James NY, so that's a plus for anyone who wants to stay in a boutique hotel away from the mobs in Soho or LES. It's probably worth it to stay here once for the experience but not for return stays.	
Nov 12 2008 	Small bathrooms great staff	In the first room we entered pillows weren’t changed; we were immediately transferred to a new one – superior queen. After one night we decided either hotel has to upgrade us or we will change hotel. I haven’t seen such a small bathroom anywhere in NYC. Absolutely nowhere to put your toiletry, but nowhere. Light bulbs put around the mirror are great for photo session in fancy magazine but no use in bathroom; they produce heat and give no proper light. Rest of the room was nicely decorated in neo gothic style with very comfortable bad.After we talked to very polite and nice front desk lady we were given king loft room. Room was very spacious with working area and huge bathroom (same lights though). Hotel itself is very popular partly due to Rose bar. If you are guest of the hotel after 10 PM you have to put reservation, no entrance other way. We had a drink around 7 PM. How fancy bar is, well after we ordered drinks we waited for 15 min, and one cocktail came in broken glass, no drink napkins and no snacks (some tables get them some not random order). One waitress for whole bar. We never came back.One suggestion, hotel is keen to use red leather in walk-in closets, my white shirt and vest were colored red due to that. Hotel cleaned them with no extra charge.Hotel itself is very nicely decorated (though these imitations of a night club do have strong limitations – you hardly see numbers in the elevator for example) with one of the best staff we encountered around NYC. Form bellboys to front desk and housemaids, all of them were very kind and polite. If you go on published rate then I would say it is definitely overrated and not worth the money, on the other hand if you get a good deal then try it just be aware - in standard rooms bathrooms your toiletries will have no space, just like camping.	
Nov 9 2008 	An updated review...	Since I wrote my original review I've had the opportunity to stay at the Gramercy Park hotel a few more times, and my last visit was just plain disappointing. I've always found the doormen/bellhops at this property to be very friendly and really helpful, and this time was no different. However, on my this visit the man at the front desk who checked me in was extremely cold, and when I asked for a room facing Lexington Avenue I was told that I would need to pay more for such a room. They have always accommodated this request in the past and I was surprised by how quickly he turned me down without even looking in to the possibility. Upon entering my room I discovered the wonderful view of an air shaft and the brick building behind the hotel. I also discovered that I could look directly in to other hotel rooms, and realized they could do the same. When I went to close the blinds, I discovered that one of the blinds was broken, forcing me to pull the velvet curtains and make my small room seem even darker and smaller. The room was also half the size of the previous rooms I had stayed in and the trash can still had the previous guests trash inside of it.The bathroom was ridiculously small with absolutely no surfaces on which to place a toiletry kit. To top it all off the shower curtain liner was moldy.The only redeeming quality of the room was the closet, which was a walk in closet and larger than any of the closets I had previously at the hotel.The beds are definitely still fabulous, and when in NYC a comfy bed is so important after long days of running around.In the end I was disappointed. Disappointed that the hotel rewards frequent guests by lowering the quality of their rooms. To me, it just seems unacceptable. I'm definitely going to reconsider staying there on my next trip and will book myself and the crew that I am traveling with elsewhere.	
Nov 9 2008 	An Instant Classic	I am a New York native living on the West Coast and travel frequently for business. I generally stay in 4 and 5 star properties and decided to try the Gramercy based on rave reviews from various coworkers. I arrived quite early in the morning after a red eye and was pleasantly surprised that my room was ready at 6am. Bleary-eyed and exhausted, I was practically giddy upon entering the standard room. Hardwood floors, an incredible bed, a large sitting area with a full-sized sofa and leather-wrapped table, wood-paneled bathroom with an enormous bathtub, and various other delightful features. The room was rather spacious by NYC standards and the space is extremely thoughtfully laid out. I was actually able to entertain people in my sitting area before dinner several nights. Again, this was a standard room. The staff was both friendly and helpful, and let me into the park twice. Access to the exclysive park is a major bonus, as it is gated and private. The park location means peace and quiet are plentiful. If you're looking for a scene, you can find it at the hotel's Rose Bar. Just be sure to make a reservation if you plan on going after 9pm. I can honestly say this hotel has won me over and I will be a frequent guest. I was actually sad to leave the room upon check out. Now that's a first.	
Nov 1 2008 	Dark and Musty - Service Not So Good	We were recommended to this hotel by American Express Centurion Travel. This hotel is a member of their Fine Hotel and Resorts program. Normally this is a guarantee of at least four to five star category.This was a business trip and I didn't research much. The room rate was in the 7's, (but AMEX had a third night free deal). There's no way this hotel is worth this type of rate, and by what we saw downstairs at the reception - everybody was getting upgraded quite a bit.When we got there, there was no bellman for the first five minutes. The one that came was very nice, and he helped us go through there rooms before we found one we could stay in.Room one had no bathtub.Room two smelled strongly of cigarette smoke.Room three was a suite.The hallways and common areas can be described as a scene from Batman (probably where the joker would live) pretty much completely painted black but splashed with carnival color accents. The lobby smells of such dank, dried-in-the-walls incense that it reminded me of an old greek church. So imagine in your mind a dark, dank lobby atmosphere with a booming subwoofer, smelling of a monastery.The rooms (the three I saw) all faced a really drab brick building exterior with firewalks and vents. It's no wonder that they paint the blinds black, and keep all of the blinds closed. During the day, I opened the blinds, saw the creepy South-Central Los Angeles looking view out the window, and with the sunlight streaming in I could see all of the scuffs on the dark walls, which normally wouldn't be visible. I closed the blinds and preferred the &quot;dungeon&quot; look.The bed was very comfortable - great sheets. Room service menu is limited. There are two restaurants, an asian restaurant and another one, the asian restaurant menu is available only during limited hours.In the morning, breakfast is served on the garden rooftop. It's kind of like a greenhouse up there, with interior seating areas that open to an enclosed (but retractable) glass area. You can't see how high you are simply because the walls and plants around the perimeter don't allow you a view of the city, without standing on your toes. The glass was baked with a patina of city pollution anyway, so I don't really know what the view looks like.This hotel reminds me of those nights at the bowling alley when they turn on all of the black lights so that everything looks neon, and up goes the subwoofer, with all of the staff striking poses and trying to look hip.If you like any glimpse of daylight, you won't find any at this hotel. It is especially creepy during the daylight hours. My friends who live in Alaska tell me that the winters are the hardest - no sun during the daylight hours. Positives? Our room was a suite with separate sleeping room - so the size was good. The bed and bedding were super comfy. Oh - you should know, you only get one remote control for the two TV's in the separate rooms. When I called about the missing remote for the front room, the front desk said, &quot;the same remote controls both TV's&quot;.Oh.	
Oct 9 2008 	a pleasant surprise	I was on a long business trip, and this hotel was a pleasant surprise. Often &quot;boutique hotel&quot; means that the staff exhibits more &quot;Attitude&quot; than quality service. But everyone I dealt with was not only efficient but affable. The room was a delight, like the guest quarters of an eccentric aunt. The bath amenities were great, as was the bed. Dry cleaning, room service, computer access, rooftop garden lounge were all fine. The location near Gramercy Park provides a quiet enclave in Manhattan, but it is close to public transportation as well as some of the city's finest restaurants.	
Sep 8 2008	Silver Anniversary Sadness	Called ahead to ask for a view suite and mentioned it was our 25th anniversary. When arrived, desk staff surly, clueless about our request, brought us to dark inner suite. They changed it after much ado, to a semi nice suite with view. Went to roof terrace for a cocktail and told them we were entertaining people that evening did we need a reservation. They said no, when we got there we were told we did and no tables. I cried for the first time in 25 years. Thank God I have a wonderful husband. Service, ambience, absolutely the worst ever.	
Jul 5 2008 	Best Hotel in New York City	This is an amazing hotel. The decor by Ian Schrager is amazing, and definitely makes the overall experience of this hotel a fantastic one! My husband and I loved our room. It was a very spacious room with the most beautiful decor. Unfortunately, my digital camera battery was dead on this trip so I couldn't take any pictures of the room. I will be sure to post some on the next visit (we will stay at this hotel every time we travel to NY).The bathroom was decent sized and clean. The closet was good, though there was not enough space to hang clothing.The bedroom was very well layed out and plush. We loved the dark colored tones and the wood paneling on the walls. The flat screen tv could be pulled out and turned to face the bed, or the desk. The desk was setup so that one side had a chair, and the other side had the couch. A very innovative way to arrange the furniture, and well thought out.The only thing we didn't like about the room was the lack of electrical outlets. Usually we like to plug our cell phones in on the nightstand. There weren't any outlets around the bed, or in the entire room with the exception of 1 outlet (via the lamp), on the desk.I had to iron our clothing by plugging the iron into the bathroom plug and using the ironing board in the small hallway.Other than that the hotel was fantastic. It is conveniently located off of Gramery Park and within walking distance to the 6 train. I highly recommend this hotel.	
Jun 17 2008	Nice hotel with shortcomings	This is a boutique hotel that has excellent furnishing, the bed is amazing and the room decor is top notch.However, the location is not ideal for business travellers as it is rather far from the business district and midtown. The hotel restaurant Wakiya is the weakest link as it is very very pricey but delivers sub-par food and is very limited in its menu selection. The service was neither efficient nor firendly.Too bad, would have recommended this hotel but for Wakiya.	
Jun 11 2008 	Perfect NYC Experience	Everything about our stay was perfect. Amazing public spaces. I loved the design throughout the whole hotel including the two bars and the guest rooms. The service was very attentive and the staff was extremely warm and proffessional. The am concierge was stellar . All around this was a memorable NYC experience!	
Jun 11 2008 	Overpriced and disappointing	Positive things first: The design of the rooms is great and they are spacious. The roof garden is by far the best that I have seen in New York and the overall atmosphere of the hotel are what I had hoped for. Location is excellent. On the other hand, the hotel did definitely not live up to my expectations, which admittedly were rather high, given the steep price, ever for New York. Staff are not very helpful, service at the roof garden is painfully slow. Maid service is poor (a dirty towel that apparently had been used for cleaning had been left in the sink, soap etc was not re-stocked, etc etc). We had to call twice and it took the hotel more than 24 hours to have the safe opened that had been left open but with the bolts locked by the previous guests. Shower is absurdly small, given the rather spacious bathrooms. Windows are old and do not absorb the outside noise. The roof garden was closed for a private function during 3 nights of our 6 nights stay. I did not have any trouble with accessing the Rose bar - as the bar was always empty we did not even intend to have a drink there... Concierge was very kind, but in the end did not manage to secure us a table at one of their highly recommended restaurants, even on a Sunday night.All in all, I thought the hotel was overpriced for what they offer, service, room and style can be found with other New York hotels (Royalton, The London NYC) as well for much better value. I will not stay there again	
Jun 7 2008 	appalling	Huge dissappointment! if you have half a brain don't bother going.... service is completely non existent across the board. staff is useless, they seemed to be too worried in trying to be cool and completely lack guest attention. evrything took forever to get. one of my worst stays ever in a hotel	
May 22 2008 	Poor Service Dark rooms....it just doesn't live up!	The Gramercy was quite a disappointment. The Roof-top staff were unbelieveably slow with very few guests. Service is not a priority - they weren't even friendly. Pour the coffee - after it took 15 minutes to make - and go. Our room - an upgraded suite - had a toilet and shower in one room - the bathroom door hit the toilet the room was so small. You couldn't open the shower door and the bathroom door at the same time - they would hit each-other. Picture that--that is how small the bathroom is!! The sink, which was in the hallway, had a very bright light fixture on one side of the mirror, and nothing (except a dark brown wall) on the other. Absolutely impossible for putting on make-up, etc. The Asian restaurant was excellent - the best part of our stay.The mostly-male hotel staff seemed more for looks than service. Most times I had to look for someone to help us with the door in/out of the Hotel and I got my own cab most times, too.	
May 13 2008 	Great rooms service levels unacceptable.	This hotel was a beautiful boutique affair overlooking the peaceful Gramercy Park area of New York, and by definition is a little quieter than the buzz of the nearby Broadway and 5th Avenue. The design and decor of the hotel are fantastic, as is the hotel's Japanese restaurant where we ate on our first night. However, for this standard of hotel you simply don't accept or expect the following problems:- We booked a 4-person car to pick us up from JFK on arrival, and were greeted by a car which had been asked to pick up a single traveller, so we could not fit ourselves or our luggage into it. This was the hotel's mistake. - We arrived early and were told that we would be called on our mobile to let us know when the room was ready. This didn't happen. - Our travelling companions were then booked into a room that was already occupied. This is a definite &quot;no-no&quot; in the hotel world, and was shocking and unacceptable.- Having paid for a deluxe suite they were then given a tiny, old room. They had to argue to get this upgraded. Disgraceful. - We found the Rose bar's admission policy unacceptable and overly pretentious, as it favoured guests from outside the hotel. Even having booked a table each night, we found ourselves ignored and neglegted by the hosts on arrival at the bar. - Having collected our bags and coats prior to departure on the last day, they managed to lose our coats and had to search everywhere before finding them.It seems that this place expects you to pretend to be a celebrity of some description, as everyone there seemed to pretend to be so! All in all if they sorted out the service and the state of affairs in the Rose bar, this place would be great. Unfortunately for us it was not.	
May 11 2008	horrible service overrated and overpriced	Horrible service, inattentive staff, non-existent client-customer relationship experience, and not worth the price at all. Food is mediocre at best.	
Apr 23 2008 	Horrible service!!!	Stayed at Hotel for 4 nights last week - Service was terrible - I have stayed at other Ian Schrager properties and this was by far the worst - no water in rooms - glasses in restaurant still have orange pulp or lipstick marks from previous user - Smokey Rooms, No water in rooms, Arrival Martini Glasses that we finished were still dirty and in our room when we checked out - just terrible for the $725 rate we paid a night - I would certainly not go back - The Rose Bar was fun but you cannot get in even if you are a guest of hotel - you still have to beg!!!! Good Luck!	
Apr 22 2008	Awesome hotel	This is our third visit in 4 months and we can't get enough of this hotel.It exceeds our expectations each time we stay. It is not the typical sterile New York hotel. The location on Gramercy Park is perfect for most everything you want to do in New York Everything about the hotel is unique and interesting. It starts with the unique decor and terrific artwork, but the most outstanding part is the customer experience. From the greeting of the door man to the check in, concierge, and room service, everything was perfect. The entire staff has been expertly trained in making sure you have everything you need and are happy with your stay. The roof top bar is a wonderful place to have a cozy cocktail and the Rose Bar is a happening place to be after 11PM. The food isoutstanding at Wakiya as well.The total experience created here is one that we enjoy and can highly recommend.	
Apr 20 2008 	Expensive but worth it as a special treat	We had booked the hotel on their website saved a bit of money and so upgraded to a deluxe loft. When we arrived our room wasn't ready so we were given a complimentary drink on the roof terrace, whcih is lovely. Unfortunately the service was rubbish - took ages to order the drinks and then even longer to receive them. A lady from reception came to bring us our key, which was nice as they had said they would call our mobile.The room was even more beautiful that I expected it to be, and was massive. The bed was really comfy, and so was the sofa though you needed to use the cusions. It is quite a dark room, even with all the lights on, but during the day it was fine if you rolled the blinds up and at night it was very cosy. I had let the hotel know that it was my boyfriend's birthday and when we came back the next day we had a birthday cake on the table which was a nice gesture. Room service was very prompt and the breakfast was really good. However, service for brunch on the roof terrace was again rubbish as they gave our food to another table so we had to wait even longer!The Rose and Jade Bars were lovely - the Rose Bar has a pool table which was fun. Ask the concierge to book a table. The cocktails were yummy. One night we ate at the restaurant (Wakiya) and had the taster menu for $60 each - it was very tasty.We didn't really speak to the concierge as they all seemed a bit snooty, but the door staff were really approachable and gave a good tip for a local dinerThe hotel has a channel on the tv were you can view your hotel bill and check out remotely - it didn't work so had to do it the old fashioned way.We didn't manage to have time to check out the park but had a good view from the room. The whole area smelled of dog poo!Beautiful and expensive hotel full of elegant and rich people, but worth it to experience the luxury and amazing art work.	
Apr 12 2008	Very Nice!	Great boutique hotel in a perfect location!Upgraded to a corner suite at check in, it was by far one of the nicest, most stylish hotel rooms I've stayed in. Great atmosphere, though the corridors are very dark.Can't say enough about the room, the furniture, tv's, bathroom, everyhting was perfect. Not cheap, but worth the money	
Apr 8 2008 	Nice decor atmosphere a bit stuck up	We picked the Gramercy Park for it's location, &amp; because it looked as though it would be a cool modern hotel. All of that was delivered, &amp; we also had a great sized room (we booked a loft room) so that was all good. When we arrived, the service from the doormen &amp; concierge was good, but other than that it was a bit mixed, except a great cocktail waiter in the Rose Bar. It's hard to put my finger on it, but most of the people there didn't seem genuinely friendly, or particularly interested to give a good service or make your stay a memorable one. At a lot of the places we've been to in New York we've come across people who do seem genuinely friendly &amp; love the place they live, but this hotel was largely lacking in this, &amp; seemed more interested in things such as a booking policy for the bar after 10pm, even when it wasn't busy.So while there were good elements to staying here, we would probably try somewhere else in future, as we expected better for the money we paid.	
Mar 22 2008 	Loved Staying At Gramercy Park	I just returned from a three night stay at this hotel. My son and I were visiting New York University and wanted to stay at a hotel that was different from the every day hotel experience. This hotel did not disappoint.Yes, the hallways and decor are a little dark. I loved it! There's a nice aroma to the lobby and elevators -- it smells like cedar wood and perhaps a perfumed oil. We both found it to be very pleasant.The actual rooms are somewhat lighter -- although definitely not bright. The walls of our room were light blue, which brightened up the decor -- plus there are plenty of lamps and one can always open the blinds during the day. The bathroom was very nice, as were the toiletry products. There's an in-room safe and a refrigerator/bar area.The television in our room was set to the left of the beds, but that didn't really bother us as we stayed out all day and evening and by the time we landed, we only read a bit and then went to sleep.The hotel front desk, concierge and doorman were all very helpful and friendly. Housekeeping did an excellent and timely job.The location was great and I highly, highly recommend Sushi Samba which is just a block down and about a block over from the hotel. It was delicious and very trendy sushi restaurant.If I were to list any cons -- they would be:1) The rooftop restaurant is lovely, but $32 each for a breakfast meal (an omelette and fancy (tasty!) hashbrowns), along with $8 orange juice and $9 coffee was a little much. We did enjoy it one time, however, and the food was delicious.2) In the opinion of a caffeine addict, there should always be a coffee pot and coffee provided as a free amenity in hotels -- especially a hotel of this class.Other than that, I have nothing negative to say about our experience at the Gramercy Park Hotel!	
Mar 11 2008 	Dark smoky and with bad service - but the shower was great	My husband and I, who live in NYC, stayed here overnight for his birthday. We were greeted nicely and received excellent service by the front desk staff, But from there, it was a disappointment. We received a very nice upgrade to a gorgeous room overlooking the park. BUT, the room smelled overwhelmingly of cigarette smoke. Even after opening the windows. This contributed to the very dark feel that the hotel is trying to evoke. Which, frankly, I found a bit too much. The pay per view function on the TV did not work; after we called for a repair twice the guy never came. They forgot our coffee for room service; it took about a half hour for the guy to come back after we called. We had drinks in the bar, but the waitress was MIA when we would have liked another round. What a disappointment.	
Mar 11 2008 	Almost loved The Gramercy Park Hotel	This was my first stay at Gramercy Park and I love the decor, the vibe, and the furniture. The room set-up is wonderful, with a king size bed, big dining table that has two end chairs and couch, so you can work, entertain, etc in your room. The restaurant is wonderful and the roof top garden restaurant is great for breakfast and lunch. There were some problems: the heating/cooling system was not renovated so the radiators are VERY loud and clank any time the heating element kicks on, the thermostat was a constant problem, even after being replaced with a new one. The bathrooms are very small, and the room, although very cool in design, is as dark as a cave, even with all the lights on. With all that being said, I enjoyed my stay here and will stay here again on my next trip (with ear plugs). The location is perfect, service is excellent, food is fabulous, room service is great and quick.	
Feb 26 2008	A lot of problems especially relative to price	We spent a weekend at the hotel. For $695 we paid for the &quot;deluxe loft&quot; room we expected more.First, the room itself is very very dark. There aren't enough lamps and all the furniture is dark too. It's a bit depressing. The hotel is also dark in general - the corridors are almost black.The prices of everything are exaggerated - the mini bar, the hotel restaurants, the room service, and especially international phone calls - we were charged about $10/minute for an international call! and a small glass of orange juice is $10.We didn't go to the Gramercy Park itself since we saw it from our room and in the winter it looks like a cemetery, not a park. It's also very small.The service in the hotel isn't very good. We requested early check in, came at 11:45 and had to wait an hour for our room. I also asked for Champagne to be put in the room before we arrive and it wasn't - I had to remind the hotel staff and wait additional time for that. We did get a complementary chocolate cake for the birthday we were celebrating (however it wasn't tasty). I also emailed the hotel before coming about the champagne and didn't get a reply.In addition, when we wanted to use the &quot;business center&quot; (a tiny room with a printer) to print something it was always busy in the lobby (only one person can use it), and in the upper floor the printer didn't work. The location is good - quiet, but still close to Union Square, Broadway etc.To summarize - we're not experts in NYC hotels, but I think for this kind of money we could've found something better, maybe less &quot;stylish&quot; but with better value for money.	
Feb 18 2008 	5 star hotel prices with 2 star service	Great location but at $ 600 per night they dont have free coffee in the morning. Very bad service the front desk was like talking to my 5 year old. Our reservation got mixed up ! For this kind of money stay at a real 5 star hotel ! Bathrooms need to be updated	
Feb 7 2008 	Style with feeling	This hotel is all about style so if that annoys you, well gosh, stay at the Marriott Marquis. With that out of the way, the Grammercy Park is one hotel that really pulls off the high-style look but in a comfortable, even homey downtown way. Our King room, done in rich colors and lush fabrics, was ample, almost large with a super bathroom sink and walk-in shower. The flat screen TV and I-pod sound dock was really appreciated, and the bed was huge, firm and decked out in fine cottons. We didnt hear a peep from neighboring rooms or the street, we were on the 12th floor. Loved the rooftop garden and it makes a great nightclub... The guest breakfast was a little meager and with sub-par fruit, hope they can spruce that up. Loved the bars downstairs with lovely waitress, nice bartenders and a well-behaved local crowd. The concierge and doormen were outgoing and easy on the eyes! If you dont like it here, sorry there is something not right with you..I We could have stayed inside the hotel all weekend and feel like we really did NYC..	
Jan 16 2008 	Elegant but naive	The hotel is superbly furnished in the common parts and in the rooms, although our bathroom was really small. The two bars are fantastic and very popular as well as the Chinese restaurant, apparently one of the best in NY. Negative comments on the service: concierge and bar staff not as helpful as expected, essentially little experienced and made arrogant by the &quot;popularity of the hotel&quot;. I hope some further practice in customer hosting will help filling the gap between image and substance.	
Jan 3 2008 	Very Chic	We chose this hotel to celebrate our 25th anniversary and were ultimately pleased with our choice. We stayed one night. We arrived at 11 AM and our room was already available. We had read on this site that the noise from the bar was distracting to guests on the lower floors. I never heard the bar and had no problems on the 12th floor. The hallways are extremely dark (must be part of the glam decor) but the room was very nice. The furnishings and prints were very eclectic and well coordinated. The room was clean and comfortable. We went up to the rooftop (enclosed) bar for a drink before dinner. Evidently, only hotel guests have access to this bar. It was very nice and had a great view. Since we told the hotel ahead of time that it was our anniversary, they provided complimentary champagne--a nice touch.The neighborhood was very nice and convenient.Overall, a pleasant and worthwhile experience.	
Dec 5 2007 	Cool and different	We booked this, following a recommendation, for our wedding anniversary. I was arriving after 20 hours of flying and looking forward to some relaxation. My wife was there for the shopping!The entrance is very impressive, warm and dark, filled with the exclusive scent of the GPH candles ($115!). We had booked a standard room, which was typically New York and tiny. I hurriedly upgraded to a Loft room, which was great.I booked a massage at the spa and relaxed completely, while my wife went shopping.The bar is not bad and crowded after ten, but the rooftop area is really great, with views around Manhattan.I would definitely stay here again, although it is not cheap!	
Nov 13 2007 	Dark Boutique of a Hotel	We heard lots of cool things about The Grammercy Park Hotel, and have read several positive articles. We stayed two nights in a one room suite. Comments as follows:-Our room on 4th floor very dark, the whole aesthetic with red curtains, wood floors, funky furniture is really fun for an hour or two, but not very functional. It will not stand the test of time. Hard to see, heater fan loud, outdoor traffic/sirens/garbage truck made room very noisy. One full length mirror in very dark closet, no ironing board, funky switches for all the lamps. Had to swat several flies during two day stay as well. Kind of tires you out. Bed was very comfortable and flat screen tv in our room very nice.-If you stay here, you have to go to the Rose Bar, good music and crowd, but be sure to make a reservation, preferably around 10 or 11 p.m.-Upstairs rooftop spot was really nice, lots of plants and candles and friendly waitress, but was empty at cocktail hour around 7p.m on a Sat night. Continental breakfast the following day was okay and there were a handful of people up there.-Spa is just one or two small rooms with a common changing area (have to wait your turn to use locker or shower - unisex).Website makes it sound like a tremendous spot. Not the case, very small and no place to lounge/decompress beforehand. Got a great massage, but room is next to workout area and you can hear everyone talking and working out.-Workout area not used, but did not come across to me as comprehensive as website made it sound. Couple of treadmills, weight machines and big freeweight set. Workout area was bright and had windows, a plus.-Staff all very young, were very nice for the most part to us.-Hotel not conducive to getting a quick to go coffee or newspaper, or checking e-mails on house computer if you do not have one.-General area at 22nd and Lex is nice, restaurants and drugstores nearby.Summary: We had a fun experience, but will move on to another hotel in NY on next trip.	
Nov 13 2007	what a cool spot!	My husband and I were in town for a wedding and decided to stay at theGramercy Park Hotel after reading that it was a cool spot. I have tosay it was one of my more memorable stays-and for good reason. Thestaff was always on hand for any and all needs we had. My husband hadnever seen a broadway show so the concierge arranged us tickets. Ourcar service was always on time. Really felt like a true VIP. Oh anddid I mention the celeb sightings in the Rose Bar? Definitely aneexperience.	
Nov 9 2007	Style over substance	I was very excited about staying at Gramercy Park. I was taken on a celebratory trip by my father for three days of shopping and eating in NYC. We had both been advised by colleagues and friends - who are based in New York- that this was THE place to go and that the rooftop bar was the latest bar to see and be seen. As is often the case with much hyped and 'trendy' hotels, it was not quite up to scratch as a real luxury hotel. Given it is a boutique hotel, I guess some would say things might be different from an old fashioned luxury type of hotel. But I can't help but think when you pay so much for a room - even if it is highlyfashionable/trendy/boutique, you should still expect perfect service, food and luxury rooms. The room was fashionably decorated, but a little small. We had a room with two double beds and I guess the use of space was clever. The airconditioning was centrally controlled so we could not change the temperature on our own. Staff were friendly and helpful if you asked them but I was immediately disappointed when upon our arrival and check in around 10pm on a Sunday night and the front desk did not automatically offer to take our bags up. Is it just me being a bit old fashioned? I figureat those rates and it was not too late in the night- this is somethingthat should be automatic no matter how 'cool' a hotel might be. What we found most amusing was that we'd heard so much about the rooftop bar and yet on the night we arrived for a drink we were the only ones there. We thought, ok, maybe on Monday or Tuesday there'll be celebs coming out to play- but on both those nights I checked the bar and again, barely anyone was around. We were also amused by a young couplefrom abroad staying there who caught us in the lift and said they had heard they could go celeb spotting at the rooftop bar. I must say, it got me thinking about whoever it was that did the PR for this hotel. Fantastic job in giving such an impression. Or perhaps New Yorkers were already bored with this haunt. We only ate at the Wakiya room downstairs for breakfast and found it to be quite good but were tickled when my father ordered a Japanese breakfast with miso soup only to find the miso soup was filled with the seaweed salad that should have been on the plate. Either the breakfast chefs have not got a clue about Japanese food or someone was still recovering from a night out..The maitre d was somewhat embarassed and luckily we were hungry and in a good mood. She claimed none of the staff were Asian that morning. Funny for an Asian restaurant. Other than that, our stay was mostly pleasant. Luckily, this is a cityhotel so people don't really expect to stay in the hotel all day as one would with a resort. As I say though, sometimes experiences like this in trendy hotels make me think a good old fashioned luxury place where they have service down to perfection is more worth the large amount of money one pays to stay there.	
