	Will not say Good ... just OK types	Travel Time: November 2006Reviewer : Gaurav KumarI happened to Stay at this hotel during a business trip to New York. I stayed here for about a month. It was convenient for me to stay at this hotel as this was very close to my office, which was at 1180 Avenue of the Americas.The location of this hotel is excellent as it is at walking distance from Times Square, plus being in Manhattan has a lot of eating options around it.The was comfortable although the staff wasn't very courteous (at times even rude). After Check in I discovered the phone in my room was not working properly. I was unable to take calls in my room, On complaining I was told that this is a problem which only the IT could handle and the next two days being a holiday, it would be done only on the third day.They could not change my room as no rooms were available in the category in which I had a booking. I had to run down to the reception to take calls. Anyways after two days when the IT guy finally came in, I was told there was some wiring problem which would take another day or two. I finally had to put my foot down and after a lot of arguments I was finally upgraded to higher category room :) Leaving this aside the stay was OK.	
Sep 13 2008 	Taking Care of Business	This stay was a quick overnight for a business trip. I was familiar with the Club Quarters business model having been in their Philadelphia and London properties- small rooms, no fancy lobby or breathtaking views, but all the basics for business travelers. This is a very good location- short walk to Times Square and Grand Central. My room, not surprisingly, faced an air shaft, but that meant no street noises. The free Wi-Fi signal was a little weak and I got dropped a couple of times, but it was easy to set up and use. My wake-up call came as requested. There’s a renovation in progress but the only effect on the guests that I could see was that only one of the 2 elevators was working during my stay. Check-out was a little troublesome; the machine took my credit card but then stopped dead and the desk clerk had to check me out from his computer. I also asked him how to get to Grand Central (I’m directionally challenged and was under time constraints so I didn’t want to make any mistakes). First the clerk told me that it was at 34th Street and I should get a taxi. Well, I knew it wasn’t there. I told him it was at 42nd. He then told me it was a 10-minute walk. Well, true but not very informative. I headed out- in the wrong direction of course, but eventually corrected my course and got there. The young woman at the desk the night before was more helpful when I asked how to get to the nearest subway station to get a particular subway line. The hotel has an adjoining restaurant- looked to be a bit high-end for my taste, but, this being NYC, there many options all around the hotel. The Club Quarters Midtown is a good choice if you want the basics- a clean, quiet room in a good location.	
Sep 9 2008 	Snug little spot in midtown Manhattan	We were in town overnight for a (fantastic!) show and needed somewhere fairly close to Madison Square Garden to rest our weary bones before heading home. Well, it's good that's all we planned to do because there wasn't space for much more in our room! (This may be comparing apples to oranges but I got a *single* that was almost this size in Amsterdam last fall for less than 1/2 the price.)Pros: friendly staff, parking nearby, good location, clean. Cons: room size, lobby under construction, few amenities. If you're looking for someplace to sleep, shower and change and aren't looking for any luxuries, this might be your place. If you need lots of amenities or room to stretch out and use your laptop keep on looking.	
Sep 9 2008	Great location very clean friendly staff	Had a brilliant stay at club quarters midtown. Step to your right when you leave the hotel for half a block and you are on 5th avenue, step to left for a block and a half and your at times square! Very friendly staff upon arrival and throughout the stay. The room was a good size for the two of us... was worried it would be tiny from previous reviews. Very clean, cleaned each day with new bed sheet and towels when requested. Nice flat screen tv, with very comfortable beds.Room key card required to activate elevators so added to the safety factor. Our room was located on the 11th floor to the back of the hotel and as a result we had absolutely no street noise! brilliant!Overall a great hotel at a very reasonable price, looking to go back to new york as soon as finances allow and will definately stay in club quarters midtown again!	
Sep 7 2008 	Fine location for New York trip	Club Quarters Midtown is located very conveniently to midtown venues (Broadway theatres, Times Square), and to subway stations that access anything in the city. Desk staff was friendly enough, though we didn't need to talk to them much. Free internet was accessible through a computer in a public area, which was great, but since there was only one computer there was sometimes a wait. Don't know if there is wireless access because I didn't have a wireless device with me. The room was clean, and the air conditioner worked after you gave it a little while to rev up. No view from the room (an air shaft), but we were not there to gaze out the window - we wanted to go to shows, etc. Our room was located across from the two (small) elevators, and we could hear the elevator bells and people talking pretty distinctly from our room, but that diminished overnight as foot traffic slowed down. We would definitely go back.	
Sep 2 2008 	Great Location and Recommend	Just returned from a 5 night stay at Club Quarters, Midtown. A couple blocks from Times Square and Fifth Ave. Booked through Priceline and got an excellent price. Hotel was not a typical hotel with the small entry area serving as the lobby. The staff was very nice. The room we had was small, but once we got used to it and moved in, we really enjoyed it. Yes, it could have been larger, but all and all, it was great. The decorations were updated, the room was clean, bed comfortable, shower was nice...no tub though...not much storage place for clothing or hanging items. With this said, we would definitely recommend this to our daughters and friends.	
Aug 26 2008 	World's smallest room.	The downside:Having not stayed in a Club Quarters property before, I wasn't sure what to expect. What I found was one of the smallest hotel rooms I've ever stayed in. In fact, if I had wanted to, I could have washed my face while sitting on the toilet. The room itself was nice. However, it was terribly small. Unfortunately, the room never cooled down, as the air conditioning unit wasn't working properly. Finally at 1 a.m. I called down to the desk and asked what I could do. I was told to &quot;pull the curtains away from the sensor.&quot; Too little, too late. The irony of it all was the view from my room was of the cooling equipment. I'm sure the equipment worked for someone!The upside:Great location off of 45th and 5th. Easy walking to 30 Rock, Time Square, Theater District, etc. The rate was apparently pretty good for the area.	
Jul 25 2008 	Great price and location	We stayed at this hotel in April and as there was three of us this was best value hotel we could find. Its in a great location litterally walk to the end of the road and your on 5th, turn right towards the empire state and turn left towards central park, abercrombie, nike town trump towers etc. Its not the nicest hotel Ive stayed in but for the price its very good value, clean and comfortable. Afterall, we were in New York so it as just a base for showering and sleeping.	
Jul 10 2008 	Tiny Room Great location	Coming from a terrible hotel in Queens, the Club Quarters was a dream come true. We were traveling with out 5 year old, so for 2 adults and 1 child the room was WAY tiny, but we made the best of it. The room was very clean and well kept and we loved the location close to everything. Overall very satisfied with our value for the money,	
Jun 25 2008 	Very convenient	Small rooms (NY standard) but very good position and price for mid Manhattan. The breakfast offered for 12$ has fruits, pastry, bagels and cream cheese, cereals, aso. Rooms equipped with coffee maker and tiny wardrobe.	
Jun 23 2008	Lousy service matches bargain price	Stayed at Club Quarters last week in New York and I must say that the price is very good for a location that's so close to Times Square. That's all the positive comments I can provide. When I got there, the wi-fi that they advertised was not working. I called the desk and was advised to &quot;go out into the hall&quot; to try it. I took this advice, and it still didn't work. Over the course of the next five days, I asked the hotel staff six different times about the internet access. Each time, they promised to check into and get back to me. They never did. Luckily, my conference was at the Hilton, and I was able to take my laptop there and quickly get online. We requested that the hotel schedule a cab pickup for us the day of our departure. They instead called a car service. We were 10 minutes late getting back, which was completely our fault, but then we waited for another 20 minutes for our luggage to be brought down. When we asked about the length of time it was taking, the indifferent concierge said, &quot;it takes 15 minutes.&quot; When the employee kept coming down with partial or incorrect luggage, I asked if I could go up to help him identify our bags. They agreed and sent me to...get this...our room! That's where they were keeping the luggage. Instead of 15 minutes, it was a short walk up the stars on the 2nd floor. The car service tacked on $25 for their wait, and the total cost was $75 to get to La Guardia. Terrible, terrible service.	
May 29 2008 	Worse Service EVER!!!!!!	Got to hotel - seemed fine. Got to our room (tiny by even NYC standards) and found that we had only a queen bed. Now we are 2 married friends on a girls shopping weekend. We immediately contacted Reception who promised something would be done ..... to cut a long story short and after 5 conversations with Reception staff we were left to share the bed for the 5 nights we were there - if this wasnt bad enough, the water wasnt working in our room - this took a further 4 calls to Reception to sort out. My daughter emailed me our flight boarding passes through to the hotel to give to us - these were not given to us. I also left some items in the room by mistake - these also mysteriously disappeared - my advice is to not touch this hotel with a large bargepole!!	
May 27 2008 	Great Place Area And Staff!	I have just returned from New York and loved Club Quarters Midtown. It has the perfect location to everything like Times Square and 5th Ave. The staff was very helpful and polite. Our check in and check out was quick and handle very professionally. They even hold your bags at check out so you can do things if your flight is later in the day! Cafe Manhattan across the street is a great and affordable place for breakfast. We went there every morning! The room was a nice size and so was the bathroom. We were only in the room [pretty much to sleep and just get dressed so size wasn't that important! I will go to this hotel again for my future visits and I hope you will too! It was worth it!	
Apr 28 2008 	Great stay	It was very suprising to find such a great rate at such a great place. The staff was very friendly and always courteous. The room was bigger than I thought and was VERY clean. They had 2computers for guests to use down close to the lobby. One was out of comission when I got there but the other was working fine and was very convenient. They have a 30 minute limit which is very good that way you won't have to wait long in case you needed to use it. There wasn't much to see around the fin. district but we walked 2 blocks to get a cab (they do not call cabs, only car service) as there never seems to be any that go by that hotel and it is about $12-15 dollars for the taxi to take you to Time Square. So not bad I thought, it's much cheaper to get this hotel than to pay 100 bucks more a night and stay in times square. So you still save money. Last time I stayed at the Westin hotel in times square and it was very noisy even though we were up high in a club room. The Club Quarters hotel is so quiet at night, I loved it!!! I could actually sleep! there was no construction, no noisy people, no anything to keep me awake, thank goodness! I very much enjoyed my stay. They also have a binder which has several restaurants, one was a 24 hour deli on Water St. which has some awesome hamburgers and fries, they also serve sandwiches and have a ton of bakery items. This is a good place in case you get hungry in the middle of the night although it's like 7 blocks away, but it's worth it.	
Apr 24 2008	Never again with Club Quarters	It was my first &amp; last experience with a Club Quarters hotel. The rooms were clean, although relatively spartan. Customer service, however, was horrible. 3 months after my stay, an additional fee (which was essentially a &quot;cancellation fee&quot; for the time I was there) showed up on my credit card. Attempts to remedy the situation over the phone were met with resistance from the hotel. The main office insisted, first of all, that I had actually not showed up for my stay, and then when I proved I had, said I had booked twice. 6 months later, and they still won't credit my account for the errant charge.I would avoid this place like the plague. I'll never stay at any of their hotels, and encourage the rest of you to avoid it as well.	
Apr 14 2008 	What a suite deal	All I wanted was an inexpensive room for a one-night stay so my daughter and I could get a head start on shopping before we joined other relatives for a stay at another hotel. A Priceline bid was accepted and we were the winners of a room in a very clean, comfortable hotel in a fantastic location just off 5th Avenue- the one with all the stores. The very charming Grace checked us in efficiently, smiled mysteriously, and whispered that she had given us &quot;a little upgrade&quot;. The &quot;little upgrade&quot; was the Diplomat Suite, with a sitting room, bedroom and -*eureka* - TWO bathrooms. Need I tell you how nice it is for two women to have two bathrooms? The rooms were smallish, but clean, quiet and very enjoyable. We felt very safe and secure in the hotel and (did I mention that we wanted to shop?) we were just a few blocks from Rockefeller Center, Saks, the Garment District, and Lord and Taylor's. The hotel seems to be designed for the frequent business traveler, and we didn't have the opportunity to check out all the amenities because we had other plans (did I mention shopping?), but if I'm ever fortunate enough to stay at Club Quarters Midtown again, I'll do so with delight. Thank you, Grace, for getting our annual Girls' Week off to such a nice start. We hope to see you again....so we can do some more shopping.	
Apr 9 2008	Great Hotel	The hotel was very nice and in a great location. Free coffee and tea in the morning was nice. My only criticism is that the fitness room was a joke. The TV didn't work and there were no weights and they could update the cardio equipment.	
Mar 31 2008 	like others here had item stolen from room	The room was fine until checkout, when my ipod was nowhere to be found. I had put it on the desk after going running two days before. Looks like other people here have had the same problem with jewelry and electronics going missing.My experience with the hotel was fine otherwise but would never go back because of this. Front desk people were not helpful.	
Feb 25 2008 	A good hotel	I found the Club Quarters to be clean, with friendly staff and good sized rooms. The locations was excellent. The only downsides were an unnattractive view and thin walls (an arguing couple kept us up one night!)	
Feb 20 2008	Very Nice	My husband and I just came back today from staying in the diplomat suite at Club Quarters. We thought the rooms were very clean and it was nice to have two bathrooms............yes, the bathrooms were small but the overall design allows you to move around quite well. I like the contempory design and the flat screen TV'S were a plus (Tv's could use a little update-pic &amp; sound not to good) The only real down fall was PARKING!!! The hotel has no parking so you have to walk about 3 blocks from the 24hr parking garage. We would definitley stay here again! Location is great to restaurants, Broadway shows, shop and cocktail lounges.	
Feb 18 2008	Minimal customer service	I have been to NYC many times, but this was my first time at the Club Quarters. I will not return. When we arrived to check in, the tiny lobby was extremely crowded and lines were moving very slowly. We had to wait outside on the sidewalk. When we finally got checked in, we found out that one of the elevators was not working. As a result there were long lines waiting for the other (2)elevators and taking the stairs wasn't the best option since we were on the sixth floor and I was traveling with my sister who was pregnant. The staff was somewhat appologetic about the elevator and the fact that they were ALWAYS full when they stopped on our floor. It seemed as if Club Quarters staff could not handle adversity and they were overwhelmed by the broken elevator. They could have offered a discount on the rooms or complimentary snacks.	
Jan 22 2008 	Reallity Check	After reviewing the comments on this hotel, I decided to give this one a try and abandoned another hotel that we usually frequent. Maybe it's just me or people don't truly understand the purpose of this website which is to share information about your experience and not your expectations. These are my top five things I look for when booking a hotel:1. Cleanliness2. Location3. Cost4. Service5. AmenitiesStarting from the bottom, this hotel is slim on amenities. They have a fitness room with 4 pieces of equipment, but offer you complimentary bottle water. However, I'm not going to NY to work out and I'll get enough of that by walking up and down Broadway and 5th Avenue. There are no doormen, bellhops or a concierge desk, but they will provide you with information and you can do it, find it and get it yourself.Service - Automatic check-in. You don't even need to speak to the staff to get your room keys and check into your room. Yeah, they will hold your luguage after you check out if you have a late flight and they also offer late check-out at a small fee ($35) till 3pm. There is a dining hall that serves breakfast and dinner. Elevators are slow and small. For the health-minded, there is always the stairs.Cost - Very reasonable considering the location and in line with other hotel in its class.Location - 2 blocks from Broadway and 1 block from 5th Avenueand surrounded by plenty of small stores for breakfast, lunch and dinner and a little shopping.Most Important - Very, Very clean. When I opened to door, I was very pleased with the contemporary design and how clean the rooms were. We had a diplomat suite with 4 adults and we had plenty of room to manuver. The rooms came with plasma tvs a small refrigerator (clean) and microwave (didn't use). No Iron or board was provided, but I'm sure if asked they would have provided. Bathrooms were on the small size, but clean and modern. I'm not sure why people are concerned about the size of the bathroom as long it has a toilet, sink and shower, I don't know what else you need. BTW, the doors on the bathroom are sliding doors so you don't have the problem of the door hitting the toilet. With the diplomat suite you get 2 full bathrooms and 2 rooms.If your trip to NY is strictly to sightsee and do some shopping, then the majority of your time not spent inside the room. However, when you come back from an exhausting day, you want a nice clean room to relax, this hotel fits the bill in spades.	
Jan 2 2008 	You Be the Judge...	You be the judge…According to their website, Club Quarters is a “private, full-service hotel for member organizations”. They also accept reservations from the general public. Since my sister and I planned to be in New York the weekend of the New York Marathon, we went online to a travel website, and prepaid for a standard room (queen bed) for two nights at the Club Quarters Midtown near Times Square. When we arrived, because hotel management claimed there was nothing else available, we were given a room with one twin bed. When we complained, it was politely implied that we would have to make the best of it! The desk clerk said he would try to move us to a standard room for the next night and (by the way) providing a roll-away bed “wasn’t allowed”. It was late and the ‘discussion’ was going nowhere – so that at least one of us would be comfortable, I let my sister sleep in the twin bed and I slept on the floor. The following day, the staff was unapologetic and evasive when we mentioned compensation, stating that they had the right to assign rooms according to the ‘run of the house’. (So that must include cramming two people into a room clearly designed for one?) It’s been over a month and we have yet to hear from either the Club Quarters Midtown or from corporate headquarters even though a registered letter was sent to both explaining our concerns. Since we are talking ethics (?), I will say that the travel website offered compensation after they got in touch with hotel management and also found them to be uncooperative.  Club Quarters Midtown is described online as part of a “new concept for the hotel industry.” …No thanks. It’s well-priced, in a good location, but there is no way I can recommend this hotel. For those fellow travelers who still want to take a chance – pack an air mattress and sleeping bag just in case. – L.V.	
Jan 1 2008 	Great Location and Friendly Staff	My wife and I just returned from a weekend in New York and we were very pleased with the excellent customer service. We were blocks away from Times Square and Rockefeller Center for the location the price cannot be beat. Our check in was quick and easy without all the hassle unlike the other hotels we have stayed where there are long lines. I would recommend this hotel and can't wait to try out your other locations in New York next year.	
Dec 27 2007 	Good location and staff	We managed to fit 3 people into this tiny room! The staff was nice enough to provide us with a cot and extra bedding, so that worked out nicely for us. The rooms are clen, stylish and small but by NY standards they are fairly average size. However the tiny bathroom reminded me of an airplane lavoratory!The staff is very helpful as well! I would definitely stay here again!	
Dec 19 2007	Hotel average price and location fantastic!	Considering that I booked a room at the Club Quarters Midtown A) the morning of the day I checked in, B) at the height of the holiday season (December 12) and paid less than $300 a night for two nights, I don't have much room to complain! My standard room with a queen-size bed was not huge but acceptable. (It was probably a converted studio apartment - still had a fireplace mantel on one wall.) It took me a second to realize that there was no closet, but there was a corner with a pole for hanging things and a four-prong coat rack on the wall. My floor had a closet by the elevator where you could get an iron, ironing board, extra coffee, blankets, etc. The bathroom was, as to be expected, small but had good counter space for toiletries. The shower looked a little dated and didn't have enough hot water for a long shower, but the water pressure was good. The bed was comfortable and well-linened. The room also had a well-appointed workspace and a sitting chair (both of which we had to use for luggage storage). The small flat-screen TV made the room look very modern. The biggest issue I encountered - apparently the wiring is not equipped to handle a lot of voltage, because using the window-unit heater, a hair dryer and the bathroom light at the same time caused the power to go out. Overall, the room was nicely renovated given the space they had to work with.The staff was very friendly and helpful upon my check-in and check-out and when I had to call to get an extra washcloth and to get the power back on.My trip was for work, but I also had time to enjoy the holiday sights of the city. Times Square is about two avenue blocks west, and Rockefeller Center is a quick four blocks up Fifth Avenue. You really can't beat the location if you want to be in the Midtown hustle and bustle!I will stay at the CQ Midtown again - but if the price weren't so good, I might look for other options.	
Dec 18 2007 	Good Hotel	Club Quarters Midtown was a very nice place to stay.We were on a long weekend (4day/3night) stay in NYC to do all the NYC Christams stuff. The Club Quarters was very clean, the room was of an average size, not as small as I thought it was going to be. We did not use the hotel resturaunt or other immenities...so, a lot of what people are saying on here did not apply to us. But, we were in NYC to see the sites and plays, so those things were not important to us. We were only in our room to sleep and shower and for that, it was perfect! We had a king size bed, TV, good hot shower and the room was clean even by my standards! They even stored our luggage until check in and after check out until time for our flight to leave. With the exception of one staff member, everyone was overly friendly and helpful!We will definately stay there again!	
Dec 12 2007 	Ok hotel for business bit eerie for me	Stayed 6 nights at the CQ Midtown a few months ago for work. I usually stay at the QT but I thought I would switch it up for once. I should have probably stayed on the beaten path.At check-in I was pointed out a machine to complete my check-in with, fine by me, prefer not to deal with humans unless I really have to... (you know what i mean). Upon entering the room it was a bit drab, dark with inadequate lighting and no closet for belongings. Room was small -but doesn't particularly bother me if I'm traveling alone-, comfortable bed and clean bathroom. At this point I would say my stay was ok for a business trip. However things took a sharp downward turn when I asked for the a/c to be turned off as it was freezing in my room, after two morning attempts this did not happen. I had a friend come to visit me one evening and they gave her a key-card to be able to ride the elevator up to my floor without phoning me or me giving them previous permission. Slightly worrying...All in all it was an okay stay but I will probably not return.	
Dec 11 2007 	OK for Business Travel Only	I travel to NYC for business purposes a couple times a year. This time, we stayed at Club Quarters Midtown as the price was very affordable fo NYC standards and the location is very ideal. We were pleasantly satisfied with the finishings and overall look. Free fresh fruit at the front desk is a nice touch. Our room was small but not Tokyo-uncomfortable. Bathroom was clean. Bed was comfy too.Service is quite hit and miss. Don't expect 3-4 star hotel service. Their staff seem to have been trained only for the business crowd. You will be greeted with &quot;check-in at the kiosk please.&quot; Be sure to have your confirmation number or your check-in will not be swift. We did encounter a few really nice staff members, but they seem to be above standards there.I do not recommend the buffet breakfast as it is a sparse selection and pastries do not seem fresh. It's also quite overpriced and in the midtown area there are many many alternatives for a quality bite grab.If you are flying red-eye, note that they have an early-arrival option. This is good, but only if you know about it in advance unlike us. Most hotels allow for red-eye arrivals if you've booked for the preceding night as well. If you were to follow the same method with CQ, their computer system (many things automated at CQ) will consider you as a no-show and give up your room and charge you for one night. As you can expect with overly automated places, the charges from this required a lot of man-hours to resolve. Their management did not return any of my 5 voicemails, all of which were polite in tone (the front desk staff tried to help as much as possible and was understanding). On one attempt to reach management, I actually got her live. Imagine my delight. However, when I explained who I was, she said &quot;hold on&quot; and transferred me to her own voicemail! Had to deal with my credit card company instead to finally resolve erroneous charges.Additionally, we think our bose QC2 headphones were taken out of our room. We had left it by the desk in the room, but didn't see it when packing up. Unfortunately, we only realized they were missing when we wanted to use them the next day and had already checked out. The front desk tried to be helpful, and even checked the room even though someone else had already checked in.If you can manage to avoid out-of-the-norm transactions, keep your valuables safe, and not require too much service, I think CQ could be a good experience. Price-wise and location-wise, they are hard to beat. Due to the incidents described above though, I personally would be really cautious and might begrudgingly book them a second time if I had to.	
Nov 2 2007 	I always stay here when in NYC	I'm a bit surprised to read the poor reviews of this hotel. I always stay here when traveling to NYC for business (which is usually about 3-4 times a year). Yes, the rooms are small... but this is NYC! Yes, there can be street noise sometimes... but this is NYC! What do you expect? Are you planning on staying in your room all day? So who cares if the rooms are on the small side. And I always travel with earplugs no matter where I go, and any potential noise problem is solved.This is a hotel for people who want a great location, comfortable rooms, wireless internet access, and a TERRIFIC price for NYC. I'm booking another room today for a full week in December, and everything else is coming up in the $300 range. This hotel is $150. If you have the money for an expensive hotel, then book somewhere else. If you want a great value for the location and accommodations, then book here.	
Oct 16 2007 	Mattresses should be upgraded!	Considering most guests are staying for business (more than one night), I was surprised they didn't have more sense to purchase new mattresses when they were renovating (at least I assume it was renovated recently. It seemed like most things were new-ish for an older building in NYC.) The mattress sank in the middle--as if we were being folded in half vertically. Though the thermostat seemed fairly new, it did not work well. At least the room was freezing as opposed to hot. Shower was fantastic though. Got a corporate rate through my company, but did not realize they would add $15 for more than one person. Would look to stay at one of the hotels that can guarantee a good, new mattress and nice sheets (i.e., Marriott). Street outside was also quite dark at night for those nervous about walking alone.	
Oct 15 2007 	won't go back	We were in town 1 night only and stayed at Club Quarters. We attempted to check in at 8:45pm and were informed by the apologetic staff that our room was not ready, &quot;it's being cleaned now, it'll be just 10 minutes.&quot; 25 minutes later, we found dirty sheets on the bed in a room obviously not vacuumed. We complained to the staff, who promised to have it cleaned again. Upon our return an hour later, the room had been more thoroughly cleaned, but we found a huge wet spot in the carpet near the a/c unit. Since it was late, we placed an extra towel on the floor (we had 6 towels for 2 people) and found yellowish stains on the towel the following morning. The room thermostat was flaky and could not hold a consistent temperature; the bed was uncomfortably soft; sheets didn't entirely cover the bed, leaving a gap of uncovered mattress pad at the head. Bathroom was clean but a little shabby. The staff gave us a voucher for a future one-night free stay and apologized for the dirty room, but I don't intend to return to this hotel.	
Oct 3 2007	Excellent Customer Service!!!	My Husband and I stayed at Club Quartes MIdtown for the weekend of September 22-24 for my birthday. The receptionist Raquel Dietz was exceptional....She answered all our questions throughout our stay although she was busy assting other guest checking them in and out of the hotel. Our hotel suite was great!!! It was nice and clean and the staff made us feel at home, My husband and I will be back in New York in the near future and we will stay at your hotel again.. Thank you so much your hospitality...The Williams	
Sep 25 2007 	Comfortable	We had a one night stay at Club Quarters. It is generally oriented to self-reliant business travellers. The room was small, but the bed was very comfortable. They have a small exercise room (in the basement) with one bike, 2 treadmills, and a stairmaster. Check in was quick via a computer. They have free internet in the lobby for those not travelling with their own computer. It was a safe and very easy location.	
Aug 1 2007 	Good Hotel.....Great Location	Stayed from 7/29/07-7/31/07.....the staff was friendly......and rooms where good size....great location walking distance to Times Square and Madison Avenue....and Rockefeller Center......Found great cheap Soveneir shop on 32nd and 5th...you have to check out.....	
Apr 16 2007 	Nice Room	The room was small but nicely designed and completely functional for one person. I appreciated the free wireless connectivity in the room. I was staying on a weekend and there is no food service then. I went down to find Sunday continental breakfast to no avail as well.Location is terrific. I paid 175 plus fees off of Hotwire.	
Feb 24 2007 	Noisy; worst night of sleep I've ever had!	Just stayed through work, my 2nd experience at a CQ hotel. First experience (DC) was great. This one didn't meet expectations. Location was good (except, as others noted, 45th street between 5th and 6th leaves a little something to be desired, re: cleanliness, etc.), internet access in lounge was great, and for the most part, staff were friendly and tried to be helpful. But, there were problems, too. When I entered my room (double bed, room size of single college dorm room), I immediately noticed an odor, musty, but smelled most like urine. However, I realized it was coming mostly from HVAC system, so probably not urine. Anyway, it was unpleasant, so after a few minutes, I called front desk, who said they would send someone up. After an hour, no one came up, and I went downstairs, as I was having difficulty overriding the thermostat (was reading 72, but room was quite cold). They took care of that immediately. I also noted that the bathroom wasn't as clean as it could be (sink had some residue I wiped down myself, for example). My next problem came later that night. When I attempted to fall asleep, I kept being woken up by an occassional chirping noise (outside somewhere). I kept heat on for warmth and to try to drown out the chirping, but in regulating the temp, the automatic HVAC system kept turning itself off and kicking back on - VERY NOISILY. In addition to its kicking on, it regularly produced other loud banging noises. So, throughout the ENTIRE night, every time I was almost asleep, I would get woken up either by a chirping or by the HVAC banging / kicking on. It was AWFUL! Worst night sleep I can remember . When I left in the morning, I noticed that the chirping was actually coming from the open stairwell outside of my room (many rooms are off the stairwell, on multiple floors). I think it must have been a smoke alarm needing a new battery. I notified the front desk of the chirping and noisy HVAC system (and my resulting awful night's sleep) on my way out. They were nice and seemed to feel badly, but did not offer anything for my troubles. This wouldn't be my first CQ choice next time.	
Jan 23 2007 	Must give it a bad review	I have always been grateful for the concept of Club Quarters in that they give special breaks to non-profits on weekends, and have enjoyed stays in Pittsburg and Washington immensely. The facilities at the mid-town Club Quarters in NYC were perfectly decent, and the staff friendly. The room itself was well appointed (but for the clock that wasn't turned on). It took me a while to figure out the thermostat -- what looked like one when I entered must not have been, because while it said 72 degrees, I quickly realized I was freezing, and I finally figured out I had to manually work the radiator. When it came to trying to sleep at night, it was a bit of a nightmare -- for one thing, every time the heat came on, it came on with a huge rush of sound, which woke me up every time. Then, every time someone uses the bathroom, the flush is heard throughout the system. Finally, if you are on lower floors (I was on the 4th floor), be ready for the garbage trucks that come at odd hours of the night -- the windows must not be sealed in a way to cut out the sounds. It is always hard to retrofit an old building, and I am usually very tolerant of less than perfect situations in the quest of charm, but if you have a big meeting the next day that you really need a good night's sleep for, you may want to think twice.	
Jan 21 2007 	Great Location nice sized room	I wasn't expecting much after reading some bad reviews. I did however request a quiet room after reading some of the reviews. My room was a very nice size, clean and the decor was modern and not 'chinzy'. From the pictures some of the rooms seem smaller than others so I think I was lucky enough to be in one of the bigger ones.To be honest I didn't spend that much time in the room but it was everything I could have asked for really. My only quibble was that the air conditioning unit outside was loud at times but to be honest I'd be so tired by the time I got in I slept through it!! The PC's downstairs were useful as it meant I could check in online for my return flight. I'd certainly book here again when I return.	
Jan 3 2007 	Get an Upgraded Room	I booked this room through Delta Air Lines/Hotels.com. At first, I wished that I had done more research. Our first room had a broken heater. So did the second room. The 10th floor smells like an ash tray. Then, we got our upgrade at no additional cost to us. That room was very acceptable. Great midtown location. The common room is very nice with good use of community computers. The wireless signal in our rooms for my lap top was very weak. We did not eat at the hotel. I would stay here again with the upgraded room--only.	
Dec 27 2006 	Great Location Facilities can be limited	Club Quarters Midtown has a great location opposite Rockefeller Center. For business travellers, the facilities are a mixed bag. The staff at the front desk are somewhat helpful, but they always seemed distracted or busy with someone else. The lobby is tiny and is thus very busy and crowded. They have 3 computers for internet access if you aren't travelling with a computer (like I was). The rooms are larger than what you would expect in Midtown and has a large desk, a small-ish plasma TV, a sofa, sink, and coffee maker. The bed was very comfortable. I was a little disappointed that the bathroom didn't have a tub, but the shower was nice and powerful. Overall, my stay was quite good, but it doesn't live up to a hotel particularly designed with the business traveller in mind. Perhaps this hotel would be better for tourists.	
Dec 16 2006 	You won't regret it!	As others have mentioned, we, too, were a little anxious once we read a few reviews of this hotel. We must say, though, that we were pleasantly surprised when we arrived. The staff was friendly and helpful. The rooms were small, but the space is used very efficiently. Our bed with down pillows and comforter was very comfortable. Wi-fi is apparently free, but there are also two public computers that one can use at any time. The hotel is only a couple blocks from Times Square, but once inside, the street noise is quite unnoticeable. It is also a few short blocks from Grand Central Station, Radio City and Rockefeller Center. GREAT LOCATION! All in all, we had a superb time in NYC and thanks to the Club Quarters, the accommodations made our visit even more enjoyable.	
Dec 5 2006	Where's the Weekend Special Rates?	I like this hotel, like the staff very much. However, the hotel advertises special weekend rates, but every time I make a reservation they tell me that those rates are not available, even when I call six months or more in advance.Are they lying? Are they lying to my company when they quote these special corporate weekend rates for my company?	
Nov 25 2006 	Great Location Clean Room Loved the Club Quarters!	My husband and I booked this hotel for a two night stay in NYC. After reading some of the other reviews, we were a bit nervous. But, I found this hotel to be very nice, if a little on the smaller side. The lobby was tiny, the elevators were tiny, and the room was tiny. However, I found the room to be very clean and comfortable. The space in the room was utilized well, so we didn't feel as if we were missing any of the typical amenities found in larger rooms. The furnishings were new and comtemporary and in good repair. All the staff we worked with were quite helpfull and polite. And above all, the location is FANTASTIC! You are very close to several great Irish puba, restaurants, theaters, and Times Square. We loved this hotel, and would absolutely stay there again in the future!	
Nov 18 2006 	Good Good Good	Read the other reviews, go there, and have a great time! My wife and I stayed here for two nights, Nov. 7 &amp; 8, we couldn't have had a more enjoyable time. Why? Our adventure is not based on the hotel......it is based on the city.....and this is an outstanding location. Our room was as quiet as we needed (you're in a big city), the bed was way comfortable (sometimes the beds have ruined our stays elsewhere) and the small elevators were as charming as could be. Go ahead and stay here and have a great experience (if you choose to) or be grumpy and find something to complain about.Buy a MetroPass and ride the subways and buses. Sooo easy and we never felt intimated nor threatened.....noon or at night.	
