	Great comfortable room in a stylish hotel	We booked two deluxe double doubles and the rooms were spacious. The beds were comfortable. The room was very hot despite turning off the heat and turning on the A/C. The second room had some plumbing issues. The staff was really friendly and helpful and displayed none of the superior attitude that you often encounter in upscale hotels.	
Apr 11 2009 	Best value for money in New York	I stayed at the MARCEL 5 days just before easter. We had booked a de-luxe room at a really good price using hotels.com. 934 dollars for 5 nights.I would recommend this hotel at any time. the room we had was brilliant, modern and brand new. I had a young feel to it ( design) and was very far from the overprized run down hotels that new york is famous for.The view was fantastic and was overlooking 3 th avenue. At the other side we could see the empire state building. There's also a rooftop terrace for everybody to use.The staff was friendly and helpfull and the service at he hotel good.The location is very good if you ask me. I prefer downtown and union square is walking distance. Soho is a 20 min walk. the subway is 2 blocks away and there is some good restaurants in the area.My advice is - GO TO THE MARCEL - it's new, nice and has from time to time some really good deals. I will return next time I'm in New york ( I been there 7 times and the Marcel is by far the best value for money i had)For eating I would recommend the Meat packing district on the west side around 14 st. Its funky like hell and so nice food...... What is hip?.... That is!!!have a good trip.Thomas Copenhagen Denmark	
Apr 4 2009 	A good find in New York	Given the prices and size of rooms in NY the Marcel surprised us with a relatively spacious room and affordable prices. The location of the hotel is excellent in that it is in between Soho and uptown,has a number of affordable restaurants nearby and the subway is very close. The rooms were clean and the beds comfy. The staff were helpful especially the day we left where they organised a town car to pick us up for a very early flight which was cheaper than a cab and much nicer with less hassle. If you are looking for an afforable option in New York that is clean and above average without breaking the bank then this should fit the bill. I would stay here again.	
Apr 1 2009 	surprised in a good way	Arrived at the Marcel and found the staff very helpful and check in was quick. We were given a room on the 2nd floor 215 I think, and on first impression the room was small but nice with a decent bathroom, however there was an annoying whirring noise coming from outside - I think it was the air con or the elevator machinary? Anyway I we thought that the noise would be too unbearable and so went to reception to see if we could change, bearing in mind the hotel was very busy, it was no trouble at all to change rooms. We moved to a room on the 9th floor to the side of the hotel which was much quieter again the room was small but lovely inside - comfy bed , vey clean and the shower in the bathroom was huge with a normal shower head and a second 'rain effect' shower head. There is free coffee and internet on the 10th floor with a lovely roof terrace also - luckily the weather was great when we were there so we could actually use it to chill out.Loads of bars and nice resturants in local area - off the tourist trap, 10min to maddison square garden about 15- 20min walk and you are in times square. A nice boutique style hotel in a quiet area	
Mar 25 2009 	Great value friendly helpful staff. Loved it	My husband and I have just returned from a weekend in New York. We got an amazing deal through Quickbook with The Marcel and although I was a bit nervous having read the reviews here, it was too good to turn down.Yes the room was tiny, I had phoned ahead requesting a large room but there was none available when we arrived. My husband called the desk and told them we were very disappointed with the room and they told us they would upgrade us in the morning. I have to say that after sleeping in the incredibly comfortable bed I didn't really care whether we moved or not. Next morning we packed our bags and left for the day, when we returned in the evening our bags had been moved to a fabulous room on the 9th floor with a view of The Empire State building. At every turn the staff were friendly and helpful, I will definitely return. If you can, its worth paying the extra for a larger room, but if not you will still enjoy the location and this lovely hotel.	
Mar 20 2009 	Chic super-central hotel at an unbeatable price!	We got an excellent deal via hotels.com (around 700 $ for a 6-night stay) and very very pleasantly surprised when we got at the Marcel. Our late arrival time was no problem at all (we called ahead) and staff were genuinely friendly. The room (216) was quite spacious (in comaprison to some others, obvioulsy). The only backdrop was that it only had a window facing a backyard. But after all: who wants to spend their time just staring out of the hotel window in NYC? The decoration was very tasteful and elegant, and the room equipment was just perfect.For best rates we would recommend not booking through the hotel website but rather browse some common hotel websites for good deals.We would definitely go back to the Marcel as soon as we can!	
Mar 16 2009 	great stay for a great price	I have never written an online review before. But, since I relied so heavily on Tripadvisor reviews in deciding where to stay in New York, I felt compelled to write about my stay at this hotel. My partner and I stayed at the Marcel at the end of February, 2009. We got a decent rate on a deluxe room with a King size bed ($511 CAD after taxes for 3 nights plus Aeroplan points since we reserved on the Air Canada website). Overall we had a great stay. The hotel was very clean and all the staff we encountered was extremely helpful and courteous, especially the doormen. We used the computers in the nice lounge on the 10th floor one evening after a short wait. Our room itself was small, but nice. We didn't mind at all since we left the room early in the morning and only returned at night to sleep. There are a number of great places to eat within walking distance of the hotel. The subway is about a 5 minute walk away and major attractions are within a 15 to 25 minute walk. We would stay at the Marcel again.	
Mar 9 2009 	What a dump!	The hotel was renovating while we stayed there but had not advised us of this. The noise and the mess was unbearable and started at very early hours. The room was unbelievably small, it couldn't even accomodate two suitcases so we had to leave one in the bathroom which was very inconvenient. We asked for a new room but the rooms that were not being renovated were full so they could not move us. We said we would look for other hotels but they informed us as we had booked in advance they would not refund our money. The restaurant was closed during our entire stay (which we were also not told about)and the cappucino bar with complimentary coffees and pastries was just a coffee machine in the lobby which the staff wouldn't show us how to work. The elevator was taken up with the builders so most patrons used the stairs. Staff were very unfriendly and at some times borderline rude. The room was cleaned once in the 6 nights we were there. Although as the room was so tiny we tried not to spend any time there so it was more the mess outside of the room that concerned us. There were building supplies left in corridors, immediately outside of our room, the elevator and all over the common areas. The staff even refused to call us a taxi to the airport-apparently &quot;they just don't do that&quot;I would avoid this hotel at all costs, even factoring out the discomfort caused by the renovations, the service was appalling, the rooms tiny and noisy and the price was far far far too expensive for this standard. I would prefer a travelodge or hojo's to the marcel	
Feb 27 2009 	Great stay at the Marcel	We got a crazy deal through quikbook - something under $80, seriously. Given the price I was a little nervous, but the hotel was lovely. The room we had was on the 5th floor, and was very small. But it was spotless, and very well appointed. The bed was comfortable, the room was beautifully decorated, and the bathroom was great. Nice desk, ipod clock next to the bed, flat screen tv. The heating/AC unit was a little wonky, but overall I was thrilled with the whole place, especially given the price.	
Feb 25 2009 	The only hotel to stay at in NY	There aren't many hotels which I can say that will make me want to return to a city as much the Marcel. My partner and I stayed in one of their corner suites which was spacious and contemporary in design with lime and zebra print decor... believe me it was very tasteful and elegant. The rooms are extremely clean and kept that way through out your stay.The hotel is about a 20 minute walk away from Time Square ( to the north) and Union Square (to the south) and about 10/15 minutes away from the main shopping areas such as Maceys.The staff are extremely polite and go out of their way to help. During one of NY's frequent heavy down pours one of the concierges went out onto the flooded streets to hail us Taxi, he was absolutley soaked.There's also a nice roof garden which we didn't know about until we got there with views of the Chrysler building and MetLife tower. There's also 2 PC's which guests can use with free internet acces, handy to plan your day.	
Feb 24 2009 	Very hip!!	I was really surprised to get a room at such a low price at this hotel. I'm an interior design student and I thought the recent renovation of the decor was FABULOUS!! I'm also an airline worker and have traveled quite a bit over the last 18 years and this is by far the hippest hotel I've stayed in for the price I paid. I've been to NYC quite few times thus I wasn't surprised by the size of the room like some others were....that's the size they are in NYC unless money is no object to you. I will certainly stay at this hotel again if I can get the same price (around $140 ttl) although I imagine it might be low season and the economy that got me that price. The bedding was nice and plush and there were super-fluffy bathrobes on the bed. It's also close to the subway. Unfortunately, I only stayed one night and had a super-early flight in the morning so I can't comment on anything else really.	
Feb 9 2009 	Amazing Value	The Marcel had an incredible rate. The room was clean, decorated nicely, and was a good size for the city. We arrived at 10 a.m and the room was ready - big plus. If you want 24 hour room service and a spa or gym, this isn't the hotel for you. If you want a clean and nice room at a decent rate, you will love the Marcel. Although it is not in Midtown close to most of the tourists spots, everything is within walking distance. I enjoyed staying in a different part of NYC, I was able to discover areas previously ignored by staying in the more large and popular hotels.	
Jan 14 2009 	Great Value at the Marcel	Spent 5 nights in NY staying at the Marcel and loved it. We had room 904 which is corner room and could see Empire State Building.Was concerned about hotel after reading some of the Trip Advisor reviews but we had no complaints.Our room was large for NY standards, clean and very well appointed.The staff were very helpful and nothing was too much trouble, particularly the doormen.We loved the location as it was removed from the tourist area but close to everything.Would definitely recommend this hotel.	
Jan 14 2009 	Lovely hotel!	We stayed at this hotel for 2 nights over new years. We were allowed to check in early which was great as we had giant backpacks which i didnt want to have to carry round until the usual check in time of 3pm so we checked in abut 12. The room was lovely! lots of space and very clean, funky and modern. With the funky interior it mkaes the room look great! the staff were very friendly and on the 10th floor there is free hot drinks and free internet access, also if you can walk out onto the roof where they have seating and as you are on the 10th floor you have a great view of the city. Due to the nights we stayed all hotels prices went up, The marcel was the most reasonably priced with good reviews. the only problem was on new years day the cleaner were hoovering outside our door in the morning, i know they are just doing there job and im only having a moan but i love my sleep :)Overall I would definitely recommend this hotel!	
Jan 6 2009 	Great Experience !!! Got the best deal in NYC!!!	I had been planning this trip for a few months as a nice getaway from the Boston area. I had booked three previous hotels before I finally settled on the Marcel. I started my booking with a new hotel in the Madison Square Gdn area at $149.00/nt. Soon after that I found the Hampton Inn Soho for the same price &amp; booked it as a backup. A couple of weeks before the trip I saw on Quikbook the Eastgate Tower at $119.00/nt so I booked that &amp; cancelled the previous 2 reservations. 4 days later I was watching the sites &amp; found The Marcel at $106.00 per nite for a standard queen room. I quickly booked it at that rate for the 2 nites. I could not believe that I had found a 3 star hotel in Manhattan in a great location for such a low rate. I had my doubts, but was quickly reassured when we arrived at the Marcel &amp; were assigned a lovely room with a king size bed, flat screen tv, top quality toiletries., A NICE, NICE room !!!! Clean &amp; fresh every time we returned. I had no problems with the tv as others have written. Maybe we got lucky...There was a complimentary wine &amp; cheese party in the 10th floor lounge at 6pm on weekdays which was a very nice perk &amp; there was a beautiful outdoor terrace with a magnificent view of the Empire State Bldg. Service was more than accomodating &amp; exceptionally friendly. Doormen were great. Continental breakfast did not look wonderful for 12.00 per person. But there are many places for breakfast nearby with delicious food. The location is really nice for exploring alot of different areas of the city. We did walk most places but the sbway is only a few blocks away. Our room was very quiet as it was at the bacjk of the bldg. I do feel sorry for anyone who has gotten a smaller room, but we did have one of the larger rooms on our floor for quite a low rate. I had , before we arrived, signed up on the NYChotels.com website to join their Amsterdam Hospitality Club. I emailed the gen mnger of the club a few days before to confirm my reservation &amp; request a corner room on a higher floor. She was very quick to return my email with a confirmation &amp; assured me that my request was received. I never got that corner room but I was upgraded to a king room. I don't know if that email or joining their club had anything to do with it, but we had a great room for $106.00 a nite in Manhattan. I would DEFINITELY stay here again, anytime I visit the big apple.	
Jan 3 2009 	Shoebox rooms but very kind staff!	Ok, so it's New York, but I still wasn't prepared for this! I was on a budget of $250 a night and this was the best deal I could find through Expedia.We arrived late at about midnight, tired and in need of our bed - when we were shown our room I was in shock - there wasn't even room to lay our suitcase on the floor, I'm not exaggerating. The room was about 8x8 ft with a shoebox bathroom to match. Getting anything from our suitcase was a mission. I wouldn't even have thought it was possible to call this sized room a double bedroom. We tried to stick it out but there was some kind of generator whirring outside our window which kept me awake all night. When I called the reception at about 4am to see if there was anything they could do they weren't surprised that I couldn't sleep, they knew about the generator and how noisy it was but couldn't do anything as it belonged to the restaurant next door. Argh! Anyway, the very kind staff patiently showed us 2 more rooms the next day and moved us into a quieter (and much bigger, more than 2x the size!) room. From then on our stay was much more pleasant. I have to say I am not sure I'd recommend this hotel though, if you draw the short straw on the rooms you're f***ked! However the staff are delightful and couldn't do enough to help, possibly the most patient and kindest hotel staff I've ever met!Good but basic business lounge at the top of the hotel on 10th floor (nice and bright) which I spent a lot of my time in working - it has free tea and coffee and you can also get on the local pub's wireless so you don't pay hotel rates!I'd recommend a room away from the back of the hotel if you're staying here.	
Dec 7 2008 	Decent Lower east side hotel	Overall, it's a decent hotel in Lower East Side location away from the crowds, but from here, one can walk (if feeling energetic) to many places in midtown, Soho and Greenwich Village. Otherwise, subway (23rd/Park) is 2 blocks away. It felt safe walking around, even at night. For about USD 250/night, one has to lower expectations in NY. The staff were friendly. The rooms are cosy, and appear recently renovated (though a bit shoddy), with high ceilings; however, I do acknowledge that one would not be able to open a suitcase in my room (#515). There's a small armoire for clothes and large LCD TV, with occasional bad reception. The bed was very comfortable. It was very quiet, and did not hear any neighbours or the street (the room was at the back of the building), but looked out onto the back of adjacent buildings, the closest about a couple of meters away, off to one side. The room was reasonably bright with the blinds open, but I had them closed due to proximity to adjacent building, and thus appeared a bit dim even with the lights on. It was very clean and had no problems with heating or hot water, but one of 2 windows didn't close properly. There's a great communal area on 10th floor, with free internet and coffee after 11am, and free drinks and cheese in early evening (but I didn't attend). There's a fantastic outdoor patio with views of Chrysler and Met Life buildings. I didn't eat at the hotel; there are many eateries along 3rd Avenue to suit all tastes and budgets, as well as convenience stores, pharmacies etc.	
Dec 1 2008 	A very nice stay at Marcel	We had stayed at another hotel in Central Manhattan but decided to try this hotel for the last 3 days - and The Marcel suprised us in a pleasent manner.The service of the hotel was very good - from the luggage handler to the desk service ..... always helpful and very friendly!!The hotel have been renovated at is now very modern and up to date.There is a nice breakfast room/bar room on top with a super terrace overlooking  Chrysler Building.The breakfast buffet is OK but you can get more at a coffee shop for less money.The room was tip-top with a moderne touch (large mirrors, office desk, flat screen TV, etc.)At a price of 430 USD per night the Marcel dosn't come cheaply but compared to similar hotels and pricelevel in NY it's seems an OK deal	
Nov 22 2008 	The Fantastic Reliable Marcel	Booked The Marcel for a great $250 a night for a deluxe room for four nights through Booking.com based on recent reviews on Tripadvisor. Loved it, loved it! Mailed the hotel before arrival to confirm and request a corner room as recommended on Tripadvisor and received a reply from Ursula that could not have been more accommodating or professional. Lovely welcome on arrival and got a corner room on 7th floor which had a view of Empire State Building from one window and Crysler Building from the other. Room very clean always, with an iron and a great hairdryer that made me glad I'd risked leaving my travel dryer and iron at home in lieu of a space in my case for a couple of new pairs of shoes. Loved the 10th Floor guest floor. Great idea with free coffee, free wine and cheese from 6.00pm-7.00pm, free internet that was always available during my visit and a great outdoor area that would encourage me to return during summer for the views. Staff in the hotel were always friendly and polite. If I had to be picky, hotel is very warm and could hear the neighbours in adjoining room a couple of times but no big deal. Loved the area ,especially Milano next door and Vertigo bar for food across the road on 3rd., and accessibility of hotel to downtown Manhattan where there are great bargains and choice and a very friendly, happy buzz.. Would recommend and cannot wait to return.	
Nov 14 2008 	I've stayed at nicer Youth Hostels	Despite the trendy looking photos, and neighborhood cache, the Marcel does not at all live up to the price tag. The first room I was assigned was small and dark and had an air conditioner that couldn't be shut off, and didn't actually blow any remotely cool air. I asked the reception if I could change rooms and the only other one available was a smoking room that had windows too thin to block the traffic sounds from the street, one story down. The bathroom in that room was not very clean and overall, the room had very shoddy construction details. After a fairly sleepless night, I thought at least I'd have a good shower to start my day of long meetings. I got up early and could hear people in the room next door...apparently our showers were side-by-side separated by a wall. My shower had very little water pressure and the hot water started out hot, then got cold, then hot again and this continued for the duration of my moderate shower. Then, I tried to use my hairdryer that started out fine with its normal air-flow but then it seemed to die slowly and the air was reduced to hardly anything. I can only imagine this was due to poor electrical wiring in the hotel. The hotel did not have hairdryers in the room, and by the time my hair was dry, my hairdryer was fried and didn't work. Mind you, this was only my first night!! When I left for the day, I requested to be moved to a room on a higher floor that was a non-smoking room. This one was only slightly better. Wanna hear about my experience in that room? The flat panel TV, though nice looking, got snowy, static reception, the iron had black sticky stuff on the bottom of it, there was only one outlet in the room and it was in the bathroom...after cleaning off the iron, I set up the ironing board, plugged in the iron and the cord was not long enough to reach out of the bathroom. Ok, I think you get the drift. I would NOT recommend this hotel to anyone. There are much better moderate hotels in the city for this pricetag. I tend to think the positive reviews of this place were written by the hotel staff! Not sure how anyone could enjoy themselves here. Spend your money elsewhere and get a good night's sleep.	
Nov 8 2008 	Overpriced - even for NTC	Hotel expectations in NYC always need to be quite low. But I have just checked in at the Marcel with front desk staff who behave as though you are spending about a quarter of the actual cost of this place. And then a TINY TINY room with an air-conditioner from the 1970s, a few touches to make it look 'design' or 'boutique' but it doesn't hide the fact that it is not 100% clean, the bathroom suite is old fashioned and ugly and there is not even a wardrobe to store clothes. I would not stay again.	
Nov 4 2008 	Clean convenient	This hotel is in a nice location, convenient to the subway and to midtown. It is very clean and the staff are friendly and helpful. The room was small but we expect that in NYC and it was not tiny.The shower had only half a door! That was weird. It had what looked like half a sliding door but it did not slide. I called the front desk, assuming it was broken, and was told it was meant to be that way. So when you showered some water always got on the floor. There was no place to put anything in the shower, no shelf for your shampoo or razor.There is a very nice area on the 10th floor where wifi is available. They serve a continental breakfast which we did not buy, but coffee was free. There is an outdoor area too, on the 10th floor, which looked like it would be great when the weather is right.Aside from the shower we were satisfied with the hotel. There are plenty of places to eat that are very close by	
Nov 4 2008 	OK but not for 350$	We went there with my husbant between 23-29October 2008. After reading most of the reviews we requested for a front room overlooking the street rather than a back room. The size was very good and extremely comfortable, design was modern and room was very clean. The only problem with the room was - as one other reviewer mentioned- that the windows are not double glazed and imagine that the hotel is on 3rd avenue. The first 2 days we didn't have a problem as we were knackered from jetlag but after that the noise was too loud to have a decent amount of sleep so we ended up waking up every day at least at 7!!! On the noise issue, the first day we arrived we noticed that there was a connected door in our room which was locked and when you opened it it faced another door locked from inside from the adjoining room. First day the adjoining room was obviously NOT accupied. Second day, we had to wake up in the middle of the night because of laughter and conversation that I thought was taking place in our room - please bear in mind that in this hotel the acoustics are UNBELIEVABLE! You hear everything...even noises from toillet and showers.Also note that there was no room service until late afternoon, so no coffe in the morning if you want to have one in your room (not a big one for me but my husbant wanted an early morning waker so he had to dress and go to a Starbucks further down 3rd avenue).We have checked the 9th floor room with the complimentary coffee and pcs but bear in mind that this is the size of 2 small hotel rooms; pcs were almost always taken; view is truly very nice. Coffee not that great, even if it is complimentary...to be honest I have not tried the complimentary cheese in the afternoons.Staff specially the doormas was very nice - reception people were a bit indifferent, not too much bothered.Overall I would say that it was ok but not for this amount of money and they definitely need to do something about the noise...	
Oct 23 2008 	Fantastic	I loved the Marcel! Although the rooms are rather small, the comfort is fantastic. Especially the bed is great (exactly what you need after long strolling trough the city). And the roof terras on the tenth floor is great. On 6 o'clock there is a wine and cheese reception over there (free!) and it offers free coffee and access to the Internet. The location is very central in NY. I will be back.	
Oct 22 2008 	Hesitate	I had a bad experience and woudl hesitate to recommend the hotel. On arrival the air conditioning was on full blast so it was like walking into a fridge. Gave up trying to switch it off and had to get front desk to help. They then told me there was no heating at this time of year even though the room was freezing. Anyway i thought the room would eventually warm up so i let it go. I then noticed the horrendouss noise from outside, after checking the window i found it was broken. I asked for another room and was moved to a room that was so small the door hit the mini bar when i tried to open it. The room was quieter .......because the window was hidden away so it felt like I was in a cupboard. Again the air conditioning was on but in a corner which was so dark I couldn't see the controls. Also, the window opened onto a brick wall. I could not wait to get out of the place. One good point - i tried room service and the food was very good.	
Oct 8 2008 	We'll be back!	Our stay at The Marcel couldn't have been better, great location, very clean rooms and above all the staff were wonderful especially Angel the doorman and Michael at the front desk plus the views from the 10th floor breakfast lounge were stunning all this made our first trip to New York a truly memorable experience..........we'll be back!	
Sep 29 2008 	Great location; Great Staff.	This hotel was perfect for me as a &quot;just retired&quot; single woman.I was apprehensive about being alone in New York but the staff could not have been more helpful. Helped in the door with baggage; given a map with directions for walking, subway, everything I needed on arrival at reception (and next day theatre tickets and shuttle to airport arranged for me).Room was indeed small as other reviewers have said, (no-where to put suitcases) but very clean and street view which I recommend asking for. The housekeeper even lent me her own umbrella on the last day!I was on 9th floor so one floor down from roof lounge with free coffee and internet all day and terrace to sit on at right time of year.Area felt very safe even walking from subway two blocks away late at night after failing to find a cab from theatre district.I will definitely use this hotel again on any future trip to New York.	
Sep 21 2008 	Great location clean friendly	We chose to stay at The Marcel after consulting with Trip Advisor, and were not disappointed. It was very clean, maybe on the small side, but that is to be expected in Manhattan, and we did not spend much time in the room, except to sleep.The staff were very helpful and friendly. We did not eat at the hotel as there are lots of places in the vicinity to choose from. The only criticism we would have is that the capuccino machine was broken for three days! but we would definitely stay there again. We have to recommend Baluchis indian restaurant, this is just round the corner from The Marcel, the food and service was excellent.	
Sep 14 2008 	Loved the Marcel	I loved this hotel. I chose it for location (wanted to stay near a friend's apartment) and every time I returned to the hotel I felt so good walking into the calm and chic atmosphere. I loved my room, the beautiful rooftop terrace, breakfast and, later in the day, the complimentary wine and cheese get-together. Fellow guests were international and may have been there for Fashion Week as I saw several models during my stay. I could walk to the Lower East Side from there and enjoyed all the areas inbetween. I would definitely stay there again.	
Aug 3 2008 	Great service.	Stayed here 5 nights. Good lower midtown location. Not far from Madison square, nice area,walk a couple of blocks to the subway.Our room was spacious, clean, modern decoration. A great rooftop terrace, with complimentary wine and cheese between 6pm and 7pm when we stayed there, served by the wonderful Alex. Free coffee and internet access for 30 minutes in a lovely rooftop lounge room.Warm welcome from the receptionist and ever helpful staff. A smaller hotel so it feels more personal. Great little diner just down the road.Quiet enough area to give some respite from the 24 hour city fun.Don't hesitate to book this, its great. Only downside was our window faced inwards so we didn't really get much daylight. But you could ask for a street facing room if you want.	
Jul 14 2008 	A Very Honest Review!	I just stayed at the Marcel for Fourth Of July. I was really worried because I had read ALOT of bad reviews about it on Yahoo. So, my honest and unbiased OPINION is this. It was in a decent neighborhood and was clean. A couple of the front desk people had no personality or welcoming skills but the door men were very courteous and accomadating. The rooms are nice but very small. Some of the main channels on the t.v didn't come in. The sinks are very weird and almost unusable for brushing your teeth and washing your face. The elevators some time take a long time to come. But, all in all, for the price, it was not horrible. Not Great but average.	
Jul 8 2008 	excellent location! great staff!	The Marcel is in a nice location, many places to eat near the east side of NYC. If you are there for the 4th of July this is exactly where you want to be! Service and value are excellent. Great parks nearby, the subway is two short blocks away. Nice mixed, neighborhood, it's a no brainer.	
Jul 6 2008 	Great hotel with friendly staff and god location	The Marcel is a good looking, small hotel with a good location close to Union Square etc. We stayed in a superior room that was nicely decorated and featured a view of the Empire State. We did encounter one major problem when checking in - the hotel was overbooked and we were transfered to another hotel. The next day, however, our room was available and we got money for our taxi fares. I´d absolutely recomend this place.	
Jun 27 2008 	great moderately priced hotel	We recently stayed at the Marcel Hotel for 1 week from 7-14 June. What a find!. We did a lot of searching on the internet to get just the right hotel for us and finally decided to take a gamble with The Marcel. We were apprehensive at first as, with all hotels on Trip Advisor, there are always negative reviews as well as positive. We were thrilled with our choice. The location is great - in Murray Hill in midtown Manhattan, a relatively quiet area for NY (hotel is on the corner of 3rd Avenue and E 24th St). We had booked a deluxe room and based on other travellers' comments we had asked for a corner room which we got on the 7th floor (the hotel is only 10 floors). It was ample big enough for us and had 2 large windows looking out to the Empire State Building which was nearby. The bathroom was fine and cleanliness was excellent. Check in staff were friendly as were the doormen. We did not notice any traffic noise from the 7th floor. However, the next door room had their music blaring loudly until 1am but the staff dealt with that once we complained. There is an attractive lounge on the 10th floor (with great views of the ESB) with free internet access and a great coffee machine (available from 11am) where we had the best cafe au laits in NY! The lounge led to a rooftop deck which had just been developed with attractive shrubs in planters and loungers to relax on after a hard day's trudging around NY sights. 3rd Avenue has great restaurants and we particularly enjoyed Bamiyan (Afghani) and the Vertigo Bar. Pick A Bagel a block away satisfied out breakfast pangs.What a great moderately priced hotel and what a great city. Can't wait to go back.	
Jun 18 2008 	Average room excellent price sketchy website	I stayed at the Hotel Marcel in April 2008. This is a modern styled hotel in the Rose Hill neighborhood. The hotel room was overall adequate - it was bigger than I expected, but it had a slight air of residual smoke even though it was a non-smoking room. It wasn't bad enough for me to complain though, so I don't have any feedback on how the hotel would have dealt with this issue. The TV channel selection was pretty bad - many of the channels did not work. The bed was comfortable, but the street noise was a little bothersome. This is a problem with many hotels in Manhattan and it wasn't any worse than average NYC hotels. I did have an issue with booking my hotel - I booked through the hotel's web site (nychotels.com). While this clearly got me the best rate (less than $300 a night in Manhattan), the e-mail confirmation I got almost made me believe the web site was a fake. It looked very unofficial, and had my credit card number and expiration date in clear text. This is unacceptable in the modern internet era, in my opinion. I also only received a booking number, not a confirmation number. When I called to confirm my reservation, they could not find it at first (but they eventually did). I would recommend calling the hotel to confirm any reservation.Overall, the incredible price I was able to get for this room outweighed the minor flaws of the hotel. None of the items I've mentioned above had a negative impact on my stay, which is what I demand from a hotel.	
Jun 2 2008 	Ultra Modern and trendy	Stayed here for a long weekend with my boyfriend. Room was small as expected but very clean and modern. Excellent decor. After the 1st night the ceiling in our bathroom started to fall down! We were moved straight away to a superior room, no hasstle at all. Location is good. Chelsea area of manhatten. You can get a taxi to the main attractions for about $10. Taxi from airport is a flat fee of $50. Staff were friendly and helpful. The only odd thing was there was no bar loacted inside the hotel. I don not drink but it was still a bit strange. Be carfeul not to TOUCH anythng inthe minibar unless u actually want it. They have sensors and if u remove any item for 20secs or more u pay for it! Flat screen tv's and ipod docking stations were a nice touch. Nice cafes nearby to get breakfast - try hidden city cafe for traditional pancakes, breakfast muffins and smoothies. Neares subway is only a 5 min walk away - although i would rather get a taxi!	
Jun 2 2008 	Good value!	Stayed here with my husband on a 5 night holiday to NY. Hotel was lovely - nice boutique vibe and staff were friendly and helpful. Only problem was that we were next to the air con for the whole hotel and due to a problem it was very very noisy. Luckily we were so tired we slept through it but light sleepers would have struggled. That said I don't think its normally that bad as they were fixing it while we were there.Free cheese and wine in the evenings has been replaced with free nibbles with cocktails. Free coffee and internet still available and view of empire state from roof terrace was ace.Would recommend hotel - nice safe area and lots of local bars and restaurants. Would definitely stay there again.	
May 4 2008	pleasant hotel	lovely hotel, good location, bit expensive, but that's manhattan, friendly staff and very helpfull, love to stay there again next time!!!!!	
May 1 2008 	Very Nice for the price.	After years of traveling to NYC a couple times a year for both business and pleasure, I became tired of paying $400+ a night for places like the W Union Square (which is a great hotel a few blocks from the Marcel). I was pleasantly surprised by the Marcel, which reminded me of the W on many levels.Check-in was a little rough as we were told the room type we requested was not available (2 doubles/ non-smoking). We were offered a room in one of there other hotels (all near midtown, no way). Then he said he had a room on a smoking floor, and that was fine. The room we walked into had 1 double bed, and was the smallest room I had ever seen, even if it was for 1 person. The room we finally got into was fine. The floor did smell of smoke, but not horribly. The room was fine, but the TV didn't work very well. We had an interior room on the second floor, so there was no view. The bathroom was sufficient and clean. The location was great for me.The computers and free coffee and tea on the 10th floor were great as well, although the elevator was very slow at times.I would just recommend not requesting a room with 1 bed, as I have a feeling they may all be this small.	
Apr 16 2008	Nice boutique hotel!	We stayed at the Marcel for 4 nights at the beginning of April &amp; had a great time! Hotel was clean and the room adequate for our stay. It was in a good area to walk to places or the subway was only 2 blocks away.There is a guest lounge on the 10th floor that offers complimentary tea &amp; coffee all day and two pcs with free internet access which is handy. Currently there isn't a bar/restaurant but one is being built at the moment....Overall a nice hotel in a good location that doesn't break the bank!	
Apr 1 2008 	Overrated mediocre hotel	I just spent 7 nights at the Marcel so I have a pretty good sense of this hotel. They try to project a fancier image with doormen, funky decor and wine and cheese in the evening, but it didn't really live up to my expectations. My room--one bed-- was very, very tiny. I know it's New York, but when there's no place to put your suitcase, it's rough. The room decor is clashing but fun. I enjoyed the modern colors and prints. The biggest problem was the cleaning folks. Despite leaving our room repeatedly because they kept knocking on the door, the room still wasn't clean by 5:00 in the evening. I didn't feel comfortable with how well they cleaned. One day we came in to find the uncleaned room filled with cigarette smoke and the window open as if our room was the smoking lounge. I had to pay extra for the wireless service, which isn't cheap, and while it was adequate, it was rather slow. One plus was the front desk staff and doormen. They were always friendly and helpful. I think if this hotel works on improving their cleaning staff, it can get better, but you might want to ask if they have larger rooms.	
Mar 28 2008 	Very Pleasant	With the location and the price, my expectations of this hotel were pretty low. I was quite surprised to find how nice the hotel was. The staff could not have been more helpful or friendly. Upon check-in I requested a quiet room. I know, a quiet room in NYC, dream on! Again, shockingly surprised to get an interior room that was so quiet you couldn't have guessed you were even in a city. The beds were harder than I like and the bathroom had one of those annoying new square shallow sinks, but the wine and cheese reception was warm and friendly. Don't miss the chance to step out on the terrace from the hospitality suite, what a view!!!Overall, a most pleasant experience, one I will seek out again!	
Mar 13 2008	Really liked the Marcel	I thought it was excellent. I was staying on my own and had a massive bedroom which was slick and clean and groovy. Staff very helpful indeed and I was given a glass of sparkling wine the minute I checked in. A couple of downsides.. Bedroom terribly overheated. Loved the 10th floor where you get free internet and excellent coffee but the breakfast was very disappointing. Rock hard bagels and indifferent cereals. Don't waste your money when there are so many great places a 10 minute walk away. Overall I would definitely recommed it and would stay again.	
