	It's a place to sleep between activities	•Clean•Good Location for parade &amp; museum, local food 24x7•Close enough to Subway lines•Good mattress•Desk helpful and responsive•Toilet so close to walls on both sides, that …&lt;censored&gt;… (couldn’t use)•Wind loudly whistling through the closed/locked window one night•No window screen to allow room to cool down w/o risking bird entry•Bed too short – need queen sizes, but room too small•Nobody at desk for a time one morning	
Jul 30 2008 	Park 79 - Great bargain	We found the Park 79 hotel to be a great bargain. Excellent location - close to the Museum of Natural History, Central Park and to subway stations. It's situated in a beautiful neighborhood. We felt very safe walking around at night. We had a room with a shared bathroom. While we only spent one night, we never saw another soul on our floor and had the whole place to ourselves. You use a key for bathrooms. Bring your towels with you. We were in room 401 which faces 79th street and never heard any loud street noise - in fact we almost overslept!The room was small, but very typical of a NYC hotel. The air conditioner worked perfectly. Loved the duvet covers instead of bed spreads. The room was very clean. The bathroom was immaculate. Free coffee downstairs. I would totally recommend this hotel for short stays.There's a great breakfast spot a few blocks away on Columbus ave. and near 72 or 73 street.	
Jul 28 2008 	Great Expectations !	We found the hotel perfectly adequate.I often wonder when I read the reviews if I have stayed at the same place.Our room was clean no livestock whatsoever.The towels were replaced daily which in fact is too often in these energy saving times.The air con was a bit noisy but welcome in the heat and humidity.The lift was not speedy but not as slow as the one we experienced in Boston.The hotel was ideally situated for subway lines blue and red.Amsterdam Ave. was a great place to eat with lots of choice.I would recommend the hotel for those wanting a double go for the mid-size.Expectations are a funny thing	
Jul 19 2008 	Never ever ever ever ever again!	There are not a lot of choices of hotels on the Upper West Side (near where our daughter lives) and, based on the web site, we thought the Park 79 might be a nice, basic hotel. We expected a small room with few amenities, but we also expected it to be clean room with (judging from the photos) a modest dash of modern style. Instead, the place was a disaster. Both the hallways and rooms were shoddy -- for example, worn carpets, peeling paint in the bathroom, and curtains that only stayed open by stuffing them against the sides of the window frame. The single elevator took forever to arrive -- many guests on floors 4 and below seemed to take the stairs rather than wait. There was no water in the room, even for purchase. The maid took our dirty towels but forgot to leave clean ones. There was only one electric outlet in the room -- it was hard to reach (behind the bed), and when I tried to plug in our computer to recharge it, the cheap plastic extender gadget (that creates more plugs) was so loose that it immediately fell out from the wall and disconnected the clock, lamp, etc. The bathroom wasn't just small (hey, it's NY) -- it was so cramped that you literally had to be careful not to hit your head on the shower door getting up from the toilet. And -- drumroll, please -- our daughter and a friend saw a mouse in their room. To be fair, the front desk staff could not have been friendlier and more sympathetic with each new complaint -- they moved my daughter and immediately comped their room for the night after the mouse incident. But all the front desk's valiant efforts at customer service were no match for the hotel itself. If I had to choose between the Park 79 and a night on a bench in Central Park ........ it would be a tough choice.	
Jul 1 2008 	I finally found a great budget hotel in NYC!!	I have lived in NYC and now visit often. I've tried several budget hotels &amp; B&amp;Bs. This is, by far, the best I've stayed in. First, the location is perfect -- on a residential street and there is ZERO traffic noise (rare for budget NYC). One half block from the Natural History Museum and the adjacent park, 1.5 blocks to Central Park (this is a huge, huge plus). Park 79 is a BUDGET hotel, so expect no frills and the pics on the hotel website are more glamorous than the real deal (this is always the case), however, it's in such a glamorous area, and the bldg itself is totally clean and fine. The hallways are lovely w/ old pre-war moldings and fixures and original wood floors. The rooms are tiny, but fine -- good linens, flat screen TV w/ HBO, baths w/ all new fixtures that are totally clean (never seen this nice in budget NYC). Teeny-tiny elevator that runs slow (per usual for old bldgs in NYC). The staff was extremely curteous, professional &amp; efficient. My mother was appalled at first that we had to pre-pay for our entire stay upon checking-in, but after our lovely 3-night visit, she mentions staying here again and she's NOT a budget hotel type. I'm tickled pink that I now have a regular spot to return to when making my frequent visits.	
Jun 24 2008 	Park 79 hotel A GREAT Location on the Upper West side	We just came back from NYC. What a city ! Manhattan is the place to be ! We are from Montreal, Qc, Canada.It was our first time in the city and we loved it ! It is clean, modern, green. big, rich and so lively ! We stayed 2 couples in a Suite room at the Park 79 Hotel. The room was great, it was clean, 2 big TV's in each area (room area and the living room area(sofa bed)). Perfect for our needs, we were there for 3 nights but just for sleeping as we walked all over town ! The location is great, it is a hip area, quiet but entertainning at the same time. We were close to great little restaurants, Central park, Museums, the Metro and Broadway street (cute restaurant's and boutiques). The only complaint with the room is that there is no door to close the bedroom, so we lacked a bit of privacy (it was our 10th wedding anniversary and we went to NY with my brother and law and his wife). Also the sofa bed's mattress was tough (curved and unconfortable), but I guess that is normal with sofa beds. We did not car much about that because we were so happy to get away from routine life and just visit a Fantastic city, plus we were so tired at night that we crashed and passed out as soon as we touched the bed ! LOL ! The staff was nice and helpful (we arrived way before our check in so the they took care of keeping our luggages while we visited the city...).We will most certainly come back very soon ! Lots to see and do !	
Jun 23 2008 	Motel not Hotel	Small yes Boutique not!!!! I guess if you know ahead of time that you are going to check into a tiny room you will not be surprised like we were. Pictures that others have posted obviously vary from room to room. We did not have a view from our room. It was dark and musty. Our bathroom was so small that you literally had to back into it to use the toilet. I am only 105 pounds i could barely fit my hips between the sink and the wall. If you are fat or big/tall forget it. We checked in and as we opened the door we were greeted by a roach.(Only saw one in 3 days) It's New York but I was grossed out. The linens and towels were clean so we decided to stay for the entire stay. We just got home and we left our luggage in our garage. Everything we own has a foul smell. The room was dark, musty, moldy. Carpet and tiles are very dark so they hide all the dirt. It was like staying in a motel or a hostel. The location is great. If you do not plan to spend time in your room it's fine for the price.	
Jun 18 2008 	WiFi	I booked this hotel for 8 days but only stayed 3 hours.I must be the only person who couldnt get WiFi. I even took the comp to the lobby and they took off my firewall but I still couldnt get it. As I am on a 3 months vacation around america, this is the first place I couldnt get WiFi to work. (stayed in 26 hotels)As i need my comp at all times, I had to check out and booked into the Paramount Hotel on 46th street. I go wifi perfectly.So I dont know why I could not get it at the PArk79.the staff were very helpful and left on a good term.I cant stay in a hotel without WiFi.	
Jun 15 2008 	Somewhere Between Boutique and Budget	I stayed here for three nights, in a &quot;standard double room&quot;. The room was probably about 225 Sq. Feet -- average for NYC and small for most other cities in the U.S. The hallways had an upscale feel. The room itself was simple: one double bed against the wall, a desk, and a tiny bathroom in which you could take care of most of your necessities at the same time -- indeed, you could not move. Walls were pretty bare. Wireless internet was free and it worked -- nice touch. Window air conditioner unit worked well in 100-degree weather. Laptop-size safe in the room. Everything in the room worked and the room was quite clean. Free coffee in the lobby (though they had an electrical problem and there was a sign saying there was no coffee service the first day I was there.) Location is wonderful. I love the Upper West Side. The mattress was very uncomfortable. I'm sorry, but putting a white duvet on a lousy mattress does not a &quot;boutique hotel&quot; make. Staff was competent but (with the exception of someone named Gladys who was very helpful over the phone) didn't go out of their way to help. All in all I found this a very acceptable place to stay and, had it not been for the lousy mattress, I'd give it a rating of &quot;4&quot; instead of &quot;3&quot;. If I had to stay here again, and the price were right, I would be willing to do so. If given the opportunity though, especially in a city like NYC, so rich with hotel options, I'd probably look elsewhere before rushing back.	
Jun 7 2008 	Quality and great location with low price	I was very positively suprised by the level of our hotel!! Our standard room with a shared bathroom with max. two other guests turned out a great choice. The room was very clean and so was the bath room, absolutely no complaints about those! The bathroom was two doors away and it was never taken when me or my friend tried to go there. It looked like the bathroom had just been renovated because you seldom see such a clean toilet and shower. In the room there was a tap so we could wash our faces etc. in the room. There was a tv, air conditioner and a safety deposit in the room and we wouldn't have needed anything else. Earplugs are still a good item to carry along since the walls aren't the thickest. In the mornings there was coffee and tea in the lobby even though no specific breakfast was included. We had a tight budget and we were not looking for anything luxurious. We payed around 50€ per night per person and I will definitely go there again.Location: We had no idea about the location since a lot of the hotels are in the Time Square area but we coulnd't have been more happier with our choice of location. The Park 79 is located closely to the lively streets of Amsterdam and Broadway on the Westside on the 79th street. The Museum of Natural History is basicly just next doors and so is Central Park. There are two subway lines nearby and the area isn't that hectic as in downtown. It is easy to go to the riverside and an outlet store called the Basement is just two blocks away. (Tip; Go there if you want to avoid the maddness of Century 21st. The same clothes with the same prices but less people and the clothes are more organised). Many restaurants, a movie theather, a comedy club, bars, manicures, you name it, were just around the corner. Even a grocery store was pretty close and there are not that many to be found. Even though it's possible to walk to downtown, a metrocard is handy. There was no payment to leave your luggage in the last day when already checked-out. All in all, I can totally recommend this place.	
Jun 6 2008	Disappointment	I stayed at the Park 79 for four nights. I booked the hotel because I wanted to stay on the Upper West Side and because the hotel offered wifi. Only a few days before I arrived I called to book an extra night, because of a change in my schedule.The location is great. Just across the street from the American Museum of Natural History, close to Broadway. I love the Upper West Side. The hotel itself was rather disappointing. I payed way too much for the room on the first night (the extra night). Over 160 euro for a dark, drab room that was so small I could hardly put my suitcaes on the floor. The bathroom was also extremely small.After the first night I was moved to a room with a shared bathroom (this was my original reservation). This was a cheaper room and the room itself was actually a bit better. More light, mostly.The shared bathroom was hardly an issue. It was always available with I needed it. But the room itself was still very small. Of course this is New York City, but still..The frontdesk was ok. Not particularly chatty or helpful, but I didn't really need them anyway.All in all I just felt it was overpriced for what I got. Next time I will look for another place to stay in New York.	
May 30 2008 	Hotel Charm Not A Fluke!	My initial review of Park 79 hotel was for my stay in January. If you read it, you'd notice i was beyond pleased. I was traveling in FEB for business and a valentine's get away (while i wasn't in the office) and immediately gave Park 79 a second go. This property's charm and ambiance is not a fluke. My room was impeccably clean. The staff remembered who i was from my previous stay. Needless to say their hospitality was gracious. The airline misplaced our luggage which wasn't so much of a bummer (just my girlfriends make up and hair stuff). The staff would periodically check up with the airline for any updates, then made sure to locate me via cellphone to make sure i knew exactly when it had arrived. Detail oriented customer service, clean and modern accommodations, historical UWS neighborhood, museums/buss/train/restaurants/bars just a couple of feet away. Midtown is a train ride away, on the 1.Couldn't ask for more. Park 79 was without a doubt just as good the second time around. Consistent! Keep it up!	
May 25 2008 	OK for the price	Stayed here 2 nights.....the location is good ,as the subway stops are within a couple of blocks and it seemed quite safe to be out walking around , even at night......as for the hotel, be prepared...this is a very old place....they keep it up well as everything was clean, but it's still old! ask about the type of room you're getting...be specific...ours was very small....especially the bathroom...i'm 5' 11&quot;, 190 lbs. and believe me, anyone any larger would not be able to function in the bathroom...truth............the elevator , only one, is extremely slow....we were on the 7th floor (7 total) and it can take up to 10 mins. to get it up there....better off walking the stairs......once you do get it, it's only big enough for 2 adults and 2 suitcases.....you can hear the cables slapping as it operates...reminded me of an old horror movie scene...lol......everything went fine and the employees were awesome... the only reason to stay here would be for price.....2 nights $548.00...cheap for new york, but still expensive......i'll probably spend more and stay elsewhere next time.......	
May 8 2008 	SOME NICE STAFF	I made my reservation with Wendy every nice lady; So we knew the hotel was going to be NICE. When arriving to the hotel it seem very small. When checkin the lady at the front desk was very funny and nice, but check in was at 3pm a lady next to hear over heard and looked for a room to check us in the room was tiny but nice. The room smiled very clean the sheets were extremly white so was the duvet. I ladies had given us Godiva Chocolates with a note (nice). We went out to find everything was close by as the doorman said. (Just looking at him you don't want to leave the hotel). We questioned the lady at the front desk with short hair a history about the hotel and to find out four woman run the show NOW THATS CRAZY. Arriving late in the night we called the front desk to get ice the UNPLEASANT, UNATTRACTIVE, RUDE OLD LADY THAT WAS WORKING THAT NIGHT DID NOT HELP US AT ALL. The next morning we left the hotel very early and asked for her name it said it all CJ or Cee-JAY it should be CYL Cee You Later. The rest of the staff EXCELLENT. I never got to the the supervisor because we left the hotel early and came back every late, We saw the front desk supervisor verry sweet and professional want to upgrade us for one night, refund us for the night the inconvenience we just wanted her to Know this girl needs help. The supervisor gave us a sign card with her name &amp; Ms. Blake to get a 10% discount next stay (COoooooooooooooL). I highly recommend this hotel to everyone. Central park the Museum of natural history, Ocean grill, nice martin, shinning star, Blond's Bar, Evelyn Lounge, and many, many thing to do if the weather is nice.	
May 5 2008 	Tiny rooms overheated	We checked in on a Friday afternoon for the weekend. Had a double with private bath. The room was not much bigger than the double bed. No place to sit other than on the bed. The bathroom had a shower, but the shower door opened in (no room to open out) and one had to squeeze around the door to use the shower. Water pressure was low.The room was too hot, I turned off the radiator, opened the window which helped some. When we returned to the room Saturday night after the theater it was still too hot, despite the radiator being off all day, and the outside temperature only in the 50s. I would hate to think what it is like in the summer (No a/c.)The doorman and desk clerk were pleasant, and the doorman suggested I park in the street to save the cost of a garage. I took his advice and had no problem.Plenty of restauarants in the area, and subway nearby, although we chose to walk to the theater district and back. We felt safe on the streets, even at midnight.	
Apr 21 2008 	Great location. Extremely clean. Pleasant rooms	Park79 was a good option. Situated in the upper west side, it is a short walk to central park and the location is very safe and pretty posh. We stayed in a deluxe room and for New York, I think the prices were okay - I wouldn't say it was a steal but I think it was fairly reasonable. The hotel was very clean and the room was nicely furnished with character. This was my first time in New York and perhaps the next time I go, I would try something in mid-town as it is slightly out of the action but for two single girls in New York, it was a good safe option. Staff were quite competent. I wasn't bowled over by their efficiency or friendliness but there was nothing to complain about.	
Apr 14 2008 	Very satisfied	I spent about a week with friends at Park79. We had three rooms with en-suite bathroom and were perfectly satisfied with the standard and cleanliness of the rooms. Before we left for NY we had read some reviews complaining about the noise level. As a precaution we mailed and asked for rooms away from the street and we got these. But it didn't strike me that W. 79th Street is unduly noisy at night. I did notice a couple of times that if someone was holding a conversation in the corridor that could be disturbing, especially late at night, but that's true of any hotel of this category. It's a matter of luck how inconsiderate one's fellow guests are and that doesn't have much to do with the hotel. One of our party had problems with a blocked toilet. This has happened to me several times in different hotels in NY and I can only imagine that the piping in older NY buildings is inadequate for modern day needs. Anyway the blockage was promptly dealt with the next morning and in the mean time my friend was given access to one of the shared toilets, which was quite acceptable. We were satisfied with the attitude of the reception personnel and the service in general. The lift is antediluvian and slow, but it works reliably and a little patience is advisable. The location is ideal – one block from Central Park just behind the Museum of Natural History. There are plenty of excellent restaurants nearby, especially on Amsterdam Avenue. I would certainly recommend Park79, especially given the (for Manhattan) very reasonable price.Alan Miles	
Apr 11 2008 	Not Bad... Not Memorable Either...	My husband and I stayed here for 8 days, the week after Thanksgiving 2007. We had never gone to New York before and I spent countless hours trying to research the best places to stay, for a decent price at that time of year. This was the hotel I chose, based on a multitude of reviews, sites, pictures, etc.THE PICTURES AND WEBSITES ARE MISLEADING... Whatever impression you get from them, know that you will be disappointed on arrival, as the overall feeling of each room seems to be dated and tired, dark and somewhat cramped... Specifics: Clean but small rooms and smaller bathrooms (we had a private double...) Fresh linens and towels daily; toiletries small and generic. Adequate heating, with windows to open when it got a bit warm. Views of the alley or street traffic, depending on room location... Desk staff and concierge were very polite and helpful when necessary. Bed matress was generally uncomfortable... asked neighboring guests - theirs too. Elevator was painfully slow. Two adults, two average pieces of luggage, and maybe one other person can squeeze in at a time. Often waited 15 to 20 minutes to go up or down... Complimentary lobby coffee not so good, often cold; at least a 5-10 block walk in any direction for good food at reasonable prices. There's a GREAT deli about 7 blocks down Columbus, towards Lincoln Center... &quot;Columbus St. Deli&quot;... Great tasting food and reasonably priced breakfasts with a huge variety and great people! Subways in area, but know how to use the system before you go! Not the best stations to hang out in... empty on the weekends...Can walk across Central Park in an hour... Can walk to Times Square in about 40 minutes. Don't bother with cabs to TS; they'll get hung up in Lincoln Center area traffic for longer than it takes to walk it! Overall not a bad stay if you will be constantly on the go, but will probably try a different area on our next trip...	
Mar 4 2008 	Fantastic quaint little hotel!	I have just come back from the hotel with a couple of girlfriends and highly reccomend 79 Park. It is in an excellent location and although small, is just the right size for people coming to NYC to explore the city. Bathroom is very stylish and rooms were cleaned everyday. Really good value for money. If your looking for a hotel while your out and about in New York then this is the one! One sugestion - if you can affird one of the suites with their own bathroom then definately works out better...I will be back next year!	
Feb 8 2008 	Great stay at Park 79!	My husband and I and another couple stayed here the first weekend in December. This was out third trip to New York and even though we liked locations a little closer to some of the main attractions, we were very pleased with the location. A short walk or quick subway ride got us to wherever we wanted to go. We booked a room with two double beds. We were very pleased with how clean the room was, I especially like the hardwood floors. The doormen were very attentive and the hotel workers very hospitable. I would highly recommend this hotel.	
Jan 14 2008 	Visitors Beware	Ok, so I must start off with this saying the area of the hotel is GREAT! I am an often visitor of NY and I chose Park 79 because the pictures on Hotels.com made the place look so charming and also its not far from great restaurants and shopping. My first day I got into my room I was greatly disappointed. Boy did the pictures on Hotels.com lie! A bed and a small bathroom. THAT'S IT. Don't look for anything else. The heating didn't work in my room (I traveled in January one of the coldest months in NY) and I was told by the hotel front desk clerk that it would have to hit below 25 degrees in order for the heat to kick in. I was livid to say the least and by night time when I felt hyperthermia setting in the night desk clerk (CJ) who was a God send, took me to see several rooms where the heat actually did work and let me chose with room I wanted. After getting the second room, I tried to play plumber to a toilet that ran 2 nights straight even after they had maintenance come to repair it. After they couldn't get the toilet fixed I was then moved AGAIN for the third time to a room that was heated and had no running toilet but was even smaller than the other two previous ones. I decided to just cut my losses and just be happy with the heat and the non running toilet. The upside is that the staff is very helpful. Some more than others. Once again, the location is great, centrally located across the street from the Museum of Natural History and not far from Central Park. If you have the extra money to stay someplace better..DO SO! If you're short on cash or just need a place to crash for a couple of nights ...this place will fit your needs. My last warning is that the walls are PAPER THIN. You can and will hear everything. If someone has an infant in a room next to you, it will definitely feel as if they are in your room. BEWARE	
Jan 9 2008 	UN-BE-LIEV-A-BLE	I booked the reservation on the hotel website. I had to change the date of arrival. When I called the hotel a lady by the name of Glady's told me I had to go on the website and change my reservation when asked why the lady was RUDE and LAUGHING on the phone. I asked to speak with a manager and was transfer to a voice mail. I called again and a manager by the of Jennifer said ther was no one in reservation and she could not help me at that time, asking me to go on the website and do any changes explaining over and over the change in plans she did not want to help me. The next morning I called about 8am and spoke with the front desk explaining what had happen the lady looked up my reservation and made the change. She apologized for the inconvenience I had. When arriving to the hotel the doorman was very helpful and the receptionist maryell was well spoken, very friendly and courteous. Once again the lady apolgized. We had a reservation for a room that did not have a bathroom she upgraded us and gave us a room with the bathroom. the lady send the housekeeping manager with extra towels chocolates and a apology note. the room was spotless, sheets and duvet changed everyday, Cofee and newspaper in the lobby every morning. The hotel is great location excellent one block away from Central Park, American Museum of Natural History many restaurants, cofee shops and subway stations. OVER ALL THE STAY WAS ABSOLUTEL WONDERFUL. WITH THE ATTENTION WE RECEIVED AND SAW WITH EVRYONE ELSE THIS WILL BE MY CHOICE FOR THE FUTURE VISITS!	
Jan 1 2008 	Christmas In New York	This is only my second ever review on Trip Adviser, my first slated a certain place in China, this one however is as opposite as opposite could get! Park 79 on 79th Street, New York, is the place to go, want to know why… read on…My girlfriend and I were looking for somewhere to spend Xmas, what better place really than New York, it has everything, trust me, after I have reviewed the above mentioned hotel, I’ll tell you why and where you should go in the Big Apple. But first the hotel…Getting from JFK, as we did, to the hotel cost us around $50 in a taxi and it took around 1hr 20mins. You can do the same journey using the subway for only $7, which we did on the way back. Ok, location…..Perfect is the only word; you can walk to everything, within reason!Central Park - 10mins awayNatural History Museum - 5mins awaySubway - 10mins awayGreat Bars - 5mins awayGreat Diners/restaurants - 5mins awayI could go on, but there really is no need, take it from me, the location is perfect! You are far enough away from the “major” sights so as not to be hassled by crowds, if you want to fall out of your hotel and land in tourist heaven, then this is not the place for you. If you want to walk to them with your morning coffee through Central Park, then this is your place!The rooms are not the biggest you will see, if you are a more “bigger boned” person then the shower could be a bit of a squeeze, if you go for a room as we did, with own bathroom. Should you opt for the shared bathroom, then the shower is large enough for even the larger person to jump and dance around. Bed was very comfortable and there was more than enough storage room to accommodate our winter clothes. The rooms were very warm, if not too warm at night; excellent maid service ensured we had clean towels and a crisply made bed every day!Flat screen TV had a whole range of channels should you wish to kick back, relax and watch 10 minutes of a TV show before it being interrupted by adverts!!The doormen and reception staff were very obliging to any questions or help we asked of them, free coffee was on offer every morning too!If there was anything bad to say about this hotel, then I would have to say the lift, we were on the 4th floor so didn’t mind walking, but if you are on the top floor the walk could become a bit tiresome. The lift (singular, there was only one!) was slow, VERY slow, but the speed of the lift should not distract from the fact that this hotel is excellent.So a few more tips for the New York traveler. Number 1 tip, buy a subway card, we got one for 7 days for $24, every ride, no matter how far you are going cost $2, so buying a card means you can go subway crazy!!Empire state building - don’t be pulled in by the guys trying to convince you to go to the next level up, it’s so not worth it!Statue of Liberty and Ellis Island - both can be done by getting a ferry, the latter is the better venue, very interesting, don’t miss out by thinking, Blah Blah Blah… Ellis Island is well worth a visit.Central Park – best park in the world, it’s clean, it’s BIG, and it’s GREAT!Natural History Museum – check out the planetarium, the IMAX show they have on is very spectacular.I could waffle on, but you’ll all go out and buy your Lonely Planet Guide anyway, this review was about Park 79 on 79th Street. A great little hotel that shouldn’t be missed. Enjoy New York, we loved it!!	
Dec 19 2007 	Good hotel bad experience	Went after Thanksgiving. Rooms very small but clean and yes, near everything. Went to check out and was told owed $200 in additional fees. Did not use anything while in Room so questioned extra monies. Was told girl taking reservation made mistake on price! Paid well over $200 per night a far cry from the price listed on this site. Was told could not leave hotel until monies were paid. Had to stay on travel schedule so left. Emailed five times when I got home. No response! Not good business in my book.	
Dec 13 2007	Great little hotel	Hotel was in a great location away from the hype of NYC but in an equally nice spot of the city. Subway and plenty of shops and restaurants for breakfast, lunch or dinner were just 5 minutes away as was Central Park. A cab to Times square was under $10. Hotel itself was small and friendly, the staff were great and always helpful. Julio &amp; Joshua the doormen were very helpful with local info and directions. The std room we had was small but more than adequate for our stay and it was cleaned daily and fresh towels provided. Great value for money.	
Dec 6 2007 	Very expensive for what it is	I picked this hotel as it was recommended by a friendwho lives in new york and whose parents had stayed here. The location was great - no traffic noise, near subway but not so hectic in middle of everything but you could get to everywhere easily. The room was tiny - I had one with own bathroom but it was clean. However the walls are paper thin, my room was near the lift so I could hear doors banging, people shouting at all hours - coming out of their rooms - so I would ask for a room away from lift if that sort of thing bothers you. I didn;t spend much time in my room so it's size didn't particularly bother me. However the heating was unbearably hot - and when I opened the window the entire panel collapsed on me so i had to get maintance to fix it and they weren't able to turn it off. Also the pipes for heating make a lot of noise every few minutes so if you';re a light sleeper this might bother you. The first morning I had no hot water in my shower - for a hostel i would expect this - not for a 350 dollar a night stay! They rectified it when I rang reception but for that price it shouldn't be an issue. I would stay here again if I couldn't find anywhere else. On the plus side it was clean and felt safe and convenient. NEgatives it's not a boutique hotel - 350 dollars is a lot for paper thin walls, lack of hot water and a tiny room - but it appears impossible to get a good value hotel in New york. I would describe myself as reasonably well travelled especially in cities so the price and standard of this hotel suprised me I think they should throw in some more comfort for that price tag!	
Dec 3 2007 	Nice but....	Small hotel in a great location. All the fixtures are top quality, but the bathroom was extremely small - my husband bumped his backend on the wall while shaving at the sink. The double bed had no mattress pad and the sheets were not tucked in, so sleeping was somewhat uncomfortable and the sheets kept moving around. The most unpleasant thing about our stay was that we were quoted a price - on the telephone, but they changed it when we were checking out. We arrived and paid the full quoted price for five nights. On the last day, when we were checking out, they told us that we owed money, that the price was higher. It was their mistake, but we had to pay an extra $102. I just do not like this kind of thing. If they misquoted the price, they should deal with it. So, although we may have gone back again, we will not. I don't want any more increased price surprises.	
Nov 29 2007 	Never Ever Again	We stayed in this hotel for probably no more than 5 hours - although this did cost us around $350. We unfortunately had a delayed flight from Heathrow and checked in at 3am. The hotel is in a somewhat quiet part of New York. Close to the Natural History Museum and Central Park but a long way from the buzz of NYCThe receptionist managed to stuff up the credit card machine and kept us another hour before letting us finally go to our room. Despite the fact that we had been up for 26 hours at this stage she refused to take our passports as a deposit. Finally the payment was accepted and we were shown to our room.We had seen the hotel's website and were expecting a &quot;boutique&quot; quality hotel. The room was dark, drafty and damp with a tiny window overlooking a flat roof. The toilet was certainly not clean, the carpet had not been vacuumed and there were pubic hairs in the bed. It did however have a plasma TV - as per the photo. We then went through the charade of being shown an equally dire alternative room (by now it was 4am) but decided against and evenutally we changed the sheets ourselves.At 6am the plumbing came to life with the hotel's hot water pipes running right through our room. This continued until we checked out at 9am. We decided that enough was enough and decided to check out. The receptionist's English was so poor that it took some time to get this message across but we managed to find somewhere on a last minute type website (the hotel was wi-fi which was a blessing). I had made two local phone calls (on a NY phonecard) but somehow my phone bill was $22. In their defence, when I complained the next day to the management about the shocking state of the room they did reimburse me $100 for the inconvenience. Small mercy perhaps but it was something that they didn't have to do.	
Nov 13 2007 	Great Little Hotel	This is a great little hotel for those on a budget. Rooms are small, of course, but very clean and the bathroom had been completely redone. The beds had nice duvets and the bulding is old school with hardwood florrs in the hallways.The location is excellent - a nice neighbourhood in the upper west side. Away from the craziness of midtown but right near the subway with great little shops and restaurants around. It's also very near a Gray Line bus tour stop which is nice for tourists.Staff was very friendly and helpful. If you are looking to spend a considerable amount of time in your hotel room, this likely isn't the place, but I would stay here again in a heartbeat.	
Nov 13 2007 	Satisfactory	I stayed in this hotel because I was running the NYC marathon and if there is anyone doing the same I strongly recommend it, since it is located just a couple minutes from finish line. The premises were clean and nice and the staff very attentive, with special mention to doormen Joel and Julio who were extremely helpful.	
Oct 31 2007 	Absolutely Wonderful!	I go to NYC at least twice a year on vacation with my girlfriends, and I will now make Park 79 my permanent NYC vacation home!The doorman was readily available each time we arrived back to the hotel, he was as courteous and friendly as anyone could have been! Having arrived 3 hours early, we expected to have to check our bags, but they allowed us to go ahead and check into our room, which saved much time and aggravation! The room was spotless, duvet heavenly and the room safe a HUGE bonus for my expensive camera equipment! Bathrooms were immaculate and readily available. Hallways and lobby had a very expensive feel! Very nice location, great neighborhood, and staff was absolutely wonderful! This WILL be my choice for future visits!	
Oct 26 2007 	Good Value in Manhattan	Park 79 Hotel is a property I can recommend. The rooms aren't large, but they are fairly quiet, clean, and tastefully decorated. The shared bathrooms were close to our room, but we never heard them being used by other guests.The most impressive thing about this hotel, was the price, followed closely by the location. It is one block from the American Museum of Natural History on Central Park West, giving you access to many restaurants, coffee shops, and the subway. There is a weekend market a few blocks south...bought some gifts and had some fantastic hot apple cider there. Two blocks away is Central Park, and Tavern on the Green is within comfortable walking distance. A cab to Radio City Music Hall costs less than 5 bucks.Speaking of cabs, though...we had to catch an early flight back home, and a hotel employee insisted on calling a taxi for us, so it would be waiting for us when we checked out. That sounded great so we accepted the offer. Next morning, we checked out, and sure enough, there was a car waiting for us. We stepped outside and the driver (it was a livery cab) began loading our suitcases into his car. Seeing it was a livery cab (realize this...they are shady, and I'm being nice), I asked him how much the ride (to LGA) was going to cost. The answer?...&quot;Fifty dollars, plus tolls.&quot; I laughed for a second or two, thinking he was joking. When I realized he was serious, I snatched our bags out of his trunk with a quickness and said, &quot;I'll be hailing a real cab, thanks for nothing.&quot;He grumbled something along the lines of, &quot;Good luck at this time of the morning,&quot; stood there for a minute (like I might change my mind), then got into his dented Lincoln, and drove away, kicking up slush and swerving in the process.My wife and I walked about 100 feet, and hailed a real cab (elapsed time 3 minutes), and we were on our way to the airport...cost us $30, including a nice tip for the driver. Not so much of a commentary on the hotel staff, more of a warning regarding those black livery cabs.Nonetheless, I would recommend the Park 79 hotel, and I plan to stay there again.	
Oct 23 2007 	The best place	My family &amp; I booked for 3 room. When arriving at the hotel new it was going to be an EXCELLENT STAY looking at the lady staying at the front desk with GLAMOURS EYES AND A SWEET VOICE. We arrived before check in time. The lady at the front desk called the housekeeping manager and we had all 3 rooms ready to check in at noon. My brother and I wanted to stay just to ask her questions and hear her speak. Housekeeping manager was extremely nice so was the lady that did our rooms we got extra towel and sheets. The bellman was also pleasent. The information we asked for was always given. I recommend Park 79 Hotel to everyone young and old. Lady's and Gentlemen reading this page if you want to feel SPECIAL and RICH you have to go here. You will find everything from shopping stores to resaurants, Kids and Adult Activites in Central Park.The Clark family	
Oct 23 2007 	Horrible hotel but fantastic desk staff!	I was travelling up from Maryland for a three nights stay in New York. A friend had booked me into this hotel as he was worried that I was a woman staying in the city on her own. The hotel looked nice from the outside and the desk staff were very friendly and asked me out with them for a drink on my last night!But the hotel itself was another story. The room was tiny and the bathroom was like a cupboard with a shower that leaked. The final straw was the paper thin walls, you could quite literally hear EVERYTHING that was going on in the next room.Thankfully, as I love NY so much, the hotel didn't ruin the experience. But it wasn't nice &amp; I wouldn't return.	
