	Would not recommend this hotel	We stayed with Loews hotel in November 2009 and booked a non-smoking twin room. On arrival we were given a smoking double room. When we pointed out the error we were told that the room type was not guaranteed and were given very little by way of apology. We were met with a similar response when the issue was raised again on check out. In addition to the poor service, the hotel looked very tired and was in need of refurbishment. The location is good but there are much better hotels in the area for a similar price.	
Mar 26 2008	Just decent and overpriced.	For the $500 or so I paid for the room I expected 'immaculate' and the Regency falls short of that. It is a very nice hotel at a great location but the check-in service was less than friendly. The room was large but odd shaped (a very long hall with 3 huge cabinets). The work area was not optimal, with no electrical outlets under the desk, but at a side wall that was not too close. Your $500 do not buy you free WiFi ($14.95) - but you can easily grab wireless connectivity from the airwaves in the area. The bathroom was clean but the fixtures a bit aged. The shower/bath in particular was cramped and the stream mediocre. Again, not up to snuff for the price. An odd story showing indifferent customer service: a colleague staying at the hotel with me walked into the room he was assigned after checking in only to find it occupied with a couple in the throes of passion. The front-desk's reaction: &quot;We thought they had checked out already.&quot; That was at 9:00 PM. And that was all they had to say about it. Again, not what you'd expect from this class of hotel.If there were other places to stay during this conference-laden week in NYC, I would have tried them. Not a bad hotel at all, but for this amount of money, I would expect much more.	
Feb 8 2008 	Probably Won't Return	The hotel was just average. The room was small, but clean. The bathroom needed updating and the door was rusting around the bottom. There were wet spots on the carpet where it appeared that stains had been recently treated. The hallways were tired.The service was also average, which surpised us because Loew's has such wonderful service. At checkin, our complimentary upgrade through the Loew's first program was not even mentioned. At checkout, we noticed that we had not received the correct discount (AAA discount), despite the fact that I had booked with the hotel directly and discussed the discount. Also, it was quite an ordeal for the hotel to even locate the discount that takes 20% off of a Sunday night stay (as found on the site: http://www.nycvisit.com/content/index.cfm?pagePkey=2005&amp;CFID=2115235&amp;CFTOKEN=30338759).On the flip side, the location was great and the doormen were quite pleasant.	
Feb 4 2008 	Okay	Nice location on Upper East Side. Easy walk to Central Park and all it has to offer.Booked a 1 bedroom suite with 1.5 baths, kitchenette. Original room was light, bright, and had a small kitchenette, nice terrace facing Park Avenue and great windows, but only a single bathroom. My 12 y/o daughter, who had broken her ankle the week before our trip had a fit. We were moved to another 1 bedroom suite. This one was dark, not as spacious, in need of updating, no microwave, no coffee maker, but it did have 2 bathrooms, so my daughter was happy.The daytime doorman was superb and friendly. He quickly remembered our names and made friends with my 7 year old son. He went out of his way to accomodate us in and out of taxis, as we brought along a wheelchair for my daughter.The concierge was abrupt and not much help for kid-friendly dining options.Continental breakfast through room service was $29.00! Try Burger Heaven at Lexington and 62nd. Three of us had full breakfast with juice for $24.00 including tip! Service was wonderful and pleasant, and the food was decent.Would I stay there again, probably not, nor would I likely recommend it to a friend. There are other, better hotels.	
Jan 11 2008 	Another Great Stay at The Regency	I had another great stay at the The Regency the night of January 10, 2008. I booked a standard room for a short business trip and was upgraded upon check in to a 15th floor delxue king room as I am a gold member of the Loew's First loyalty program. Thr room was large by New York standards and there was no street noise at all in the room. I also received a complementary bottle of white wine in my room as per my Loews First profile. Much appreciated! The location of the hotel is excellent.Check in and check out were a breeze and my room was cleaned to perfection. The large flat panel TV was appreciated and the bed was exceedingly comfortable. I did not use the fitness center or dine through room service. Breakfast in the hotel restaurant was excellent and served quickly.All in all, this hotel consisently reminds me why I keep returning to The Regency.	
Dec 10 2007	Nice stay in midtown	In NYC on business and didn't want to stay downtown. Company travel agent suggested the Regency. The room was good size for NY and looked to be recently renovated. Large flat panel TV and a small desktop area made my stay. Bed linens were nice and the decor was modern, but not funky. Lobby bar/restaraunt was nice, but expensive. I didn't get a chance to walk around too much around there, but given the mid town location, I imagine you are a short cab ride from everything. All things considered, you get a good hotel for the rate.	
Nov 6 2007 	Perfect postiion	We stayed here for 4 nights in a junior suite. The suite was not large but by New York standards was more that adequate. The position was perfect for fifth avenue and Bloomingdales. Also the subway station was really close. The staff were fantastic - so helpful and the complementary umberellas came in really usefull on the rainy day! We did not eat in the hotel because we wanted to try lots of places but the free coffee in the lobby each morning was nice. The gym was well equipt and we used it every morning (yes really!)We would stay here again.	
Oct 5 2007 	Comfortable Stay	I stayed at the Regency for one week while in New York on business. I'd heard great things about the hotel, and while I wasn't disappointed, I wasn't completely blown away either. It is a great hotel, overall. The housekeeping service/turndown service was wonderful- really really great. The rooms are supremely spacious, although the bathrooms are rather small with unattractive lighting. I was disappointed with the gym hours, although the gym is very nice. I understand it was recently renovated. Still, I'd have enjoyed it much more if it opened earlier, or if guests had 24-hr access. The staff is awesome- everyone is sooo nice. Especially the woman who was at the desk when I checked out, I do regret not catching her name. She was just completely precious and set me off on my day in a great mood. The only other thing I'd comment on is the room service- not good service, but the gentleman who served it was delightful. I'm telling you, the staff in this hotel is awesome. Overall, nice stay, but then again, the company was paying. If I were paying, I might choose another hotel in the area.	
Sep 3 2007 	Loews Regency sorry not for me	Good:Location/NeighborhoodService/Staff is perfectBed &amp; Pillows are #1Limonade in lobby in the afternoonQuiet hotelHousekeeping and turndown servicesBad:Old hotel, need a big major makeoverOutdated room/Bathroom (2 tiles did fall down during shower) Small room/Bathroom with no ventilationRoom service prices and xtra fee(21%fee + 5$ a guest)is a jokeWay too expensive, you have much better hotel for same price or less (Sofitel hotel is still my favorite in NYC)Loews shoud put money in the hotel and stop thinking that the friendly employees will make up for the running down hotel	
Aug 25 2007 	Great home away from home.	Wonderful Hotel. 4 day weekender with two adults and three children (9-14). We stayed in a huge two room suite overlooking Park Ave. . 1100 sq. ft. with 3 closets and 1 1/2 baths, refrigerator and microwave. Sofa bed was useable but in poor shape, but the two rollaways the hotel provided were perfect for the kids. The room was on special discount via Leows hotels and offered best value I found in NYC--two small rooms at nearby Sheraton or Hilton would have cost more and provided half the space.The neighborhood is the perfect location for a nyc trip. Easy access via Park Ave. and great location to Central Park (2 blocks) &amp; Bloomingdales, Madison &amp; Fifth Ave. shopping all within easy walking distance of a few blocks. One block east to Lexington Ave (or two blocks east to Third Ave.) and there are a host of deli and supermarket choices, burger joints or fine dining--whatever you prefer. We visited the &quot;top of the rock&quot; for views of the city from the top of Rockefeller Center...The &quot;Rock&quot; is definitely a &quot;tourist&quot; destination, but if you like looking down on the city, the views are tremendous and there were no lines. The observation areas are very clean and the glass walls around the observation deck don't obstruct views like the screens/fences surrounding the Empire State Building. We also tried the circle-line double decker bus downtown tour. We picked up the bus at central park...just a few blocks from the hotel. The kids loved that as well...and they liked hopping off and back on a different bus at various stops. Two tour guides were great, one was a cynical jerk, but hey it's NYC and you never know what you're gonna get. The great thing about the buses is that you can hop off at any time.Cab rides even from downtown were never more than 10-12 dollars and there is easy access to the hotel. Subway entrances are also just a few blocks away.Regency Hotel went out of the way to make our stay enjoyable--they provided umbrellas from the doorman if it was raining. free coffee (delicious) in the lobby in a.m. and free lemonade in the afternoon. The housekeeping staff provided everything we needed right away. It's been a long time since I stayed in NYC and felt welcomed and not simply like I was being &quot;processed&quot; through the hotel system. The neighborhood also felt safe and clean. This will definitely be our hotel of choice for future visits.	
Aug 25 2007 	Dependable 4-star Great location.	We stay here about once or twice a year. Prices are generally competitive for New York- this time I paid just over $420 net per night. Rooms are clean and quiet, location couldn't be better, and if you join Loews First, you can generally get an upgrade to next larger/better room/suite. Restaurants are great for breakfast, lunch, dinner, and after dinner. But I usually want breakfast before they open. In that case, walk one block over (right out of hotel, right on 60th, right on Madison) and eat at Viande Coffee Shop. Fast basic food and they must open for business at dawn- I've never arrived &quot;too early&quot; for a quick hearty breakfast.	
Aug 12 2007 	Good location Adequate room	My husband and I stayed 3 nights and had a good experience. The staff was well trained, the location good and the room, although not special, met our needs.Nice location to get to shopping, but I would not recommend dining in the restaurant. I wanted a beverage one evening and got a mini can of diet coke for a whopping $7. The bowls of free M &amp; M's almost made up for it...but not quite!	
Aug 10 2007 	Very nice employees but a disappointment	We have just returned from a week at the Regency. The hotel was a very big disappointment. First, let me say I have been to NY several times and know that the room standards in New York are sometimes below other hotels in other parts of the country, but based on the reviews and our vacation club recommendations we booked a luxury room with two double beds. Upon arrival, I found the staff very very friendly. They had toys for my kids and were very courteous to my wife and I. The hotel is well off the tourist path and you might need to give the taxi driver the cross streets, since some did not know where the regency was located (park and 61st). Since the hotel is away from the hot spots, the noise from &quot;the city that never sleeps&quot; does not keep you awake. OK, now for the bad stuff. We were given a room on the third floor. When the hotel elevator doors open to this floor we were greeted with the great smell of ciggarette smoke. We are not talking about a light smell, but one that gives you the impression that this floor has seen years of smoke. Keep in mind, Im a ex-smoker and normally the smell does not bother me, but wow. Once we got to our room, we found it very large (by NY standards) with two double beds as promised along with a good size bathroom and a small kitchen net. You can tell the rooms have been occupied a lot by the amount of stains in the carpet. I always get very paranoid by the color of some of the stains.... Once i sat down on the bed, I noticed a very very strong vomit odor coming from the top right side of the bed. I immediately called down and was told that someone will be up soon. Within 2 mins, a maid had come to change the sheets. I asked for another room, but was told that there were none available until tomorrow. The following day, my wife was too scared to change rooms in fear that the new one would be worst. For anyone traveling with kids, sometimes you need things in the night to help with the boredom. One thing might be a movie on the on demand television. Well on the first night we tried to use this service we were billed, but no movie played. We, again, had to call the front desk to get the charge removed from our bill and were told the on demand service is not working in the hotel. We also found out our mini bar was missing...even though we had a mini bar key...lol. This meant that we had to order room service for a soft drink. (there were no machines in the hotel and no outside vendors in this area). I will say, even though we called down to the front desk more then I have ever done before, I can tell you the staff were never short with us and were very patient. As someone who likes to travel, I can tell you it would take a lot for me to stay at this hotel again.	
Jul 1 2007 	Great hotel - very pet friendly	Stayed at the Regency on business in April for four nights. My husband and small dog came along. Loews is great with pets. Our room was at the end of the hall, which is great when you have a pet and was very spacious. They provided dog bowls and treats and we were allowed to leave our dog in the room unattended. Our room was spotless, it is obvious that the hotel is very well maintained. Room service the three or four times we ordered it was delivered promptly and the food was of very high quality. There are three reasons that I give this hotel a 4 rather than a 5. First, it's pricey, even by New York standards. I believe our double room was $479 per night. Second, if you are scouting this hotel for tourism, the location is not supurb, it is somewhat far from the major tourist areas. It is, however, perfect for the Lex and Park area. Lastly, it's an older hotel and the soundproofing is not very good. It is a loud place, which is bothersome in the mornings if you are attempting to sleep in.Overall, I'd definitely return, mostly due to their wonderful treatment of pets.	
Jun 13 2007 	Very pleasant stay	This was a very nice place to stay! Just a couple of blocks from Madison Ave. and Central Park. 3 of us stayed in a suite which had a kitchenette, living room, king bedroom and 2 bathrooms, and plenty of closet space!!!! The room was clean and tastefully decorated. No clutter! The bathrooms were a little small but fine enough. The bedding was clean and very comfortable!!! the couch was cushy and comfy as was the cot they brought in for one of us. The extra blankets they brought in were soft and when we requested them, they had just come out of the dryeer and were warm:) The housekeeping cleaned up the bathrooms daily which was nice. The towels were clean(I've been to hotels where the towels were not!) Even though the mini bar was pricey, we still enjoyed some of it:) We didn't eat in the restaurant but did have lunch in the Library, which was nice, very tasty food! Room service was pricey, the food was good but nothing special. Your best bet would be to hit up a local grocery. The hotel staff including the housekeeping, maintenance and doormen were very friendly. We were on the 10th floor near the elevator which we did hear the noise from that, but it wasn't that bad and we had no problems getting to sleep after shopping all day!!! This is a pet friendly hotel and we noticed several guests had dogs, but we never heard any barking and the place didn't smell at all of pets. We plan to stay again because of the closeness to Madison Ave and because it was such a pleasant stay!	
Jun 4 2007 	Regency aims to please!	Just got back from a weekend at the Regency in NYC and it was a wonderful experience. I went with my significant other and my daughter. My goal was to book a hotel room that was comfortable with plenty of room for the three of us. We booked an Executive Suite and it worked out perfectly. This room had a king sized bed and french doors that opened to a second living area with a queen pull out sofa. It also had two bathrooms - I was nervous this would take away from the spacious living areas but they did not. The bathrooms themselves were small but had everything you could possibly need including great water pressure and the cleaning staff did an excellent job straightening up and replenishing everything. Their were plenty of drinks and snacks but we did not touch them as they were a bit pricey. I would definately stay at the Regency again. Overall the hotel was very clean and the staff went out of their way to make you feel comfortable, from the door man, folks at the front desk, room service, even the parking garage, it was a pleasant experience.	
Jun 1 2007	My favorite in NYC	This hotel is my first choice in New York, although it is frequently full or very expensive. It is not the most luxurious in the city, or even close, but the rooms are comfortable and the staff is excellent. The food is very good, but forget about breakfast. It is a hotspot for breakfast meetings or when you want to 'accidentally' run into someone in the NY real estate scene, so the average hotel guest can't run down and grab a bite. However, there are excellent choices nearby.Don't forget to bring home some of the Hero Stars, if you have a dog.	
May 29 2007 	Excellent location - close to the Park between shopping and arts	I can't say enough how wonderful The Regency was. We stayed during Memorial Day weekend. The staff was friendly and always accommodating. There were numerous taxis on Park Ave and because of the location, everywhere we went that weekend was within a $5 taxi fare. There is shopping just around the corner on 5th Ave. There are excellent restaurants all along Madison and Lexington Ave, both one block away. The rooms were great, even if the view was typical of New York - facing another nearby building. The internet connection was good.	
May 26 2007 	Our NYC base for sure	We have had some really unpleasant rooms in NYC and were hoping for a good experience here- and we got it! The hotel was lovely and verywell situated for us; we got off our transatlantic flight and took a nice hot bath, felt great!We were given a lovely huge room on the 11th floor, but it was right next to the elevator and sounded like being above the subway- much too noisy for us. We went down and they could not have been nicer about exchanging, gave us the keys to 3 rooms and told us to pick. We selected room 630 facing Park Avenue, even bigger than the first, with a small hidden kitchen facility- perfect for keeping drinks cold or snacks handy. I could not have been more pleased. I am super sensitive about smoke scents and I did not get a whiff, I was worriedabout what a prior reviewer noted. NYC is certainly expensive for hotels but this one was a gem, excellent value for the price. Loved the bedding and the staff, the nice view along Park and deep bathtub.My only nit-picks would have to be the in the bathroom- someone did a lousy job painting the bathroom door and left a swipe on the tiles.Sink had think cracks, which seemed unacceptable in a room of this caliber.But for sure this is our new NYC base and we feel very fortunate to have found it.	
Apr 4 2007 	The Regency is a excellent choice in NY	Excellent location for Park Ave , 5th Ave etc., friendly staff, classic oversized rooms, and a terrific service. The afternoon tea at the Library is the best way to rest after a busy day.	
Apr 1 2007 	Avoid the lower floors	Reviews calling this a slightly faded beauty are correct. Dull but safe uptown location, big rooms, HD TVs, friendly staff, near lots of attractions and subway and a short walk to the park. Big warning: the lower floors are used for movie interview sessions where thousands of cigarettes are smoked. The result was my 3rd floor room absolutely stunk like a thousand dirty ashtrays. The industrial air purifier in each room seems like a perk until you realize that it is fighting a losing battle to the stench. Even smokers will want to insist on a higher floor or a non smoking room and step outside.	
Mar 15 2007	Great hotel	We stay at this hotel on an annual basis for with our Show dog for the Westminster Kennel CLub dog show at Madision Square Gardens each feb, The staff is very friendly, welcomes us back each year and our precious poochies, Loews truly does love PETS. The One bedroom suites are lovely and massive in size, a great little kitchen ( fridge Microwave, sink, small oven , kettle) comes in handy to store your little goodies, The Library in the lobby is a great place for a quick bite or late night snacks and drinks, All the doormen and front desk staff greet you each and every time you enter the hotel. The location of this hotel is amazing, you can walk almost anywhere, and getting a cab is no issue at any time. The rooms do not come cheap $850 a nite for a one bedroom suite, but this hotel is worth every penny...	
Feb 17 2007 	Terrific Spot	My husband stays here for business one or two nights at a time, about 8 times a year. He travels weekly across the US so he's been in a lot of hotels. The staff here is very pleasant. The rooms are big compared to many other NY hotels of the same price range. It is a unique place in the city and just the right size to offer enough amenities and personal attention. It is always our first choice of hotels if we are traveling together and we want to stay in mid-town.	
Jan 31 2007 	Great stay at the Loews Regency	I am sitting in my bed at the Regency as I write this review :)My trip to NYC started in another hotel, which was pretty dirty. I was ready to get the heck out of that property and over to the Regency!Check-in was fast, even though there was an error in my reservation which was NOT the hotels fault.I stopped by the concierge to ask a few questions. They were funny and both had kind eyes. That sounds funny, but you know you can just feel when someone is genuinely nice.I head up to my room and was so happy when I walked in! I believe my room is a standard room. It is decorated in a minimalist decor, which I love. Loads of space, lots of counter space, 2 closets and large tub. The 'desk' is really a marble counter that extends the full width of the room. There is a large plasma TV, stereo, and Bloom bath products.The robe is great... and I never bother with robes. It is silk with a soft terry lining. Water pressure is excellent. Bed is HARD. I have a Select Comfort at home and generally I find hotel beds to be hard, but this one is really firm. Beautiful linens.This room is SPOTLESS. Possibly one of the cleanest I have ever been in (out of hundreds).I don't usually let anyone in the room once I check in... no housekeeping, no room service, no turn down. I just don't like it.Today housekeeping was in the neighboring room when I got back (1pm). The lady practically begged for me to let her clean my room. I went ahead and let her. She was just the nicest lady... very concerned for the guests in her rooms. Again, it did not seem fake. I tipped her very well, but I don't really think she was expecting it. Really. I met a guy (in a suit) in the elevator that was talking to the cleaning staff and I asked him what he does at the hotel... he INSPECTS the rooms after they are cleaned! Maybe that's why they are so spotless.The mini-bar is not electronic, so I was able to run down to Whole Foods and buy food for my whole stay and stick it in the fridge. Great... I hate eating out.There is a 24 hour mini-mart just around the corner for last minute purchases. Free hot chocolate (very rich) was at the elevator each evening, apples too.The doorman were really very nice as I walked in and out during the past few days. I attended a Departures magazine presentation yesterday and they were talking about 5,6 and 7 star (YES!) hotels. They were trying to explain to us the values of the very rich.Well, I am probably one of the least demanding travelers... I need a good location and I expect a clean, clean room, good amenities, services and quality furnishings. This hotel meets all my simple requirements Genuinely nice employees are a bonus!I hope I get to stay here again.	
Jan 9 2007	Tired Looking Hotel Passing off as Luxury - Good Location	This hotel is very nicely located on 61st street at Park Avenue - easy walking or subway distance to most places in Manhattan.The lobby is attractive, large and inviting. The room we stayed in was large for NY standards and you could tell it was decorated nicely and it was a luxurious room a few years ago - however, it's tired and shabby and needs a facelift now. Maybe this is because pets are allowed? I don't know the reason but a renovation is in order.I don't really have any complaints about the hotel or service but I didn't deem this as luxury.The bathroom was fairly large but again needed a facelift. The bed was comfortable and the room had all the mod-cons.	
Dec 27 2006 	Lovely ambience very friendly staff	My husband and I and our two small dogs have just spent a couple of days at the Regency and I would do it again. This is not an inexpensive hotel. Valet parking alone is more than $50 per day and tipping is expected and expensive. (When my husband handed the doorman a $20 bill, asking for change for the tip, the doorman gave him back a $10.00 bill!) But, the room was very nice and a good size with tasteful decorations. Room service was prompt and efficient. My dogs enjoyed the Loew's Loves Pets menu. The location is excellent and the staff is very pleasant. Overall, an enjoyable experience that I would repeat again, but as I said before, it is not even remotely for the budget minded.	
Dec 27 2006	Very classy hotel	We had a free certificate for a Loew's hotel because of a bad experience at another Loews hotel. This hotel is just lovely. The lobby is understated, the staff very, very welcoming. The room was gorgeous--nicely appointed with home touches, something you would see in Metropolitan Home or Elle Decor Magazines for a master bedroom. The room was huge was an entry way which included a large closet and large bath with double sinks, a separate shower and deep bathtub. The room had several chairs, a lounge, king bed with lovely linens. We were given a nice fruit bowl and two bottles of Fiji water and Hannukah chocolates at turn down. The location is wonderful. We were able to walk to Lincoln Center in 20 minutes at a leisurely pace. It was a most pleasant experience and Loew's redeemed itself.	
Oct 17 2006	Everything about this hotel is fabulous	This hotel is one of the best in New York. Very friendly staff, from the doormen to the concierge!! Beautiful comfortable beds.Close to everything!	
Oct 1 2006 	A fantastic hotel	This hotel is in a great location, especially for the subway and Bloomingdales! We did recieve a room upgrade which might effect this review but the staff were very friendly.When it was very cold outside, quite often in February, they have free hot chocolate and marshmallows in the lobby (next to the lift)They will store your bags for free if you have to check out.	
Sep 23 2006 	The Regency On Park Avenue is good but a boost is needed	I've stayed at The Regency On Park Avenue too many times to count, and I've always enjoyed the hotel, even with minor quibbles. My stays are the result of business trips. I've noticed that Loew's, which owns the hotel, has placed its name in a more prominent place alongside the words The Regency Hotel. This month my stay was for one night, over Thursday and Friday,I rarely think of Loew's as a luxury-oriented chain, and I think that's the reason things are not as terrific as they once were at The Regency.The bathroom toiletries are less deluxe; seemingly Loew's generic; whereas The Regency used to provide high-end toiletries. The towels are still good; the bath towel is especially fluffy and large.I was stunned to hear, at around 8 a.m. Friday morning, women from Housekeeping knocking on doors on my floor. That's absurd and much too early. This never happened as recently as 2005. And it should not happen at all. The woman tapped on my door and I ignored it. She even tried the door, but the extra &quot;chain-like&quot; security catch was linked, so she couldn't get in.The Reception Desk personnel were friendly, but not quite deluxe. I did not avail myself of the Concierge. The various uniformed gentlemen at the front door were always friendly and provided greetings. They were a little understaffed on Friday afternoon when I needed to get a cab to the airport.The bed was good; the air conditioning/heat fan system worked well. The room was quiet, clean, and pleasant. It was a standard room consisting of a very large and comfortable bed, crisp sheets, dresser, mini-bar (yes, nuttily overpriced), desk, and good size closet. The carpet was fine, although a cosmetic cleaning wouldn't hurt. The view out my 12th floor window was pleasing. I was away from Park Avenue, so the silence was golden. My biggest complaint was with Room Service, which actually blamed a longer waiting period on - get this - the fact that it was raining outside. What? Were they sending out for the food? Food was promised in one hour - ridiculous since the kitchen knows the menu and the foodstuffs are on the premesis. I've always found 30 minutes to be the norm at high-end hotels. I ordered Room Service at around 9:30 p.m.As for the food, well it failed. I ordered a bacon and turkey club sandwich, but it really wasn't a club sandwich at all, but two very large slices of toasted Italian bread with the dull and lifeless sandwich items within. The bread was too thin, thus it was hardish. The sandwich was cut in two sections and was more a panini than a club. My French fries were coolish. Is it so difficult to provide HOT French fries. And I hate cold or cool French fries. The sorbet was fine, well-chilled in a bowl set over ice; therefore it didn't melt as I hate my entree. The chicken soup was good, but not plentiful. And, of course, there was the absurd &quot;delivery fee,&quot; which I have found, still find, and always will find offensive. Are we able to go down and get the food ourselves? It isn't called ROOM SERVICE for nothing. This fee is actually an insult. I don't mind the normal 16%, 17%, or 18% tip fee - you live with it, but this delivery fee is so tacky.The Regency has a great location with quick steps to Madison or Fifth Avenue. One big problem is that if you want your own &quot;corner store&quot; or &quot;deli&quot; service, you won't fnd any along this stretch of Park Avenue or even a block up on Madison. I tried. You'll need to walk over to Lexington or maybe Third. The shops on Madison begin their high-end run, with Barney's anchoring a corner. The Regency is around 62nd Street and Park.Look, I consider myself fortunate that my work allows me stay in deluxe hotels. There are people who never even travel, let alone get to stay so well around the country. But, hotels that promise luxury need to live up to that claim. The Regency is slipping. My room was clean and pleasant. But overall, the hotel itself needs a little boost. High-end means luxury. And that's what I used to expect and once received from The Regency. It should make a return. Better toiletries in the bathroom would be a start. This stay was average, not wonderful. Definitely not Four Seasons style.	
Sep 10 2006 	great location worn out hotel	this hotel has a fabulous location on Park Ave. a block from the best shopping on Madison Ave. Prices are pretty decent for the size of the room, location and NYC in general. Staff are courteous and friendly by NY standards.We had a verly large 1 bedroom suite. The hotel just was not well-maintained or clean enough. There were two phones in the room that did not work. A doorknob was falling off. The hallway carpet was stained and worn and the room was dusty. Housekeeping was very weak when we were there - i.e. they do not throw out an empty soda can unless you put it directly into the trash. Bathrooms are very small....we did have two.I would pay more and stay in a better hotel next time....or even the pay the same and stay someplace like a W that would have a newer, fresher feel.This place is really stale. It's a shame. It has real potential b/ of the location and size of the rooms..	
Aug 31 2006 	A nice experience	We stayed at The Regency for 5 nights. The weather was not the greatest, but I can't fault the hotel on that. ;)We stayed in a Luxury Room which was of adequate size for two people. Unlinke others who have noted a &quot;worn out&quot; look to the hotel, we did not find any issues with my room. The bed and sheets were very comfortable. The bathroom was nice, but a bit on the small side.The concierge was fairly helpyful when it came to restaurant and sightseeing recommendations. The doormen were very attentive on weekdays (when the business travellers were there), and less so on weekends (when the families were there).We did not try the room service as it was quite pricey. The cleaning staff was courteous for the most part with the exception of the incident below.We were in the process of changing clothes just before dinner time to go out in the evening, and without any knock or warning, the cleaning lady walked into our room. I let the concierge know about the incident, but they did not really do much other than say &quot;Sorry&quot;.One tip ... if you want to use the Internet there, purchase an daily access pass or multi-day access pass directly through WayPort, and not through the hotel directly. We paid $8/day for the Internet, rather than the hotel's rate of $15/day.The nicest touch was the free umbrellas provided at the door one rainy days. They are very nice umbrellas.	
Jul 19 2006 	Fantastic Hotel!	My husband and I stayed for two nights and this hotel was perfect for us! Everything from our large room and the hotel staff were terrific and we honestly didn't have a single complaint. The hotel offers lemonade during the day and when we went to get a glass it was finished. It just so happen a hotel staff person saw that we didn't get any so he called to get more lemonade made and then he called our room to inform us the fresh supply was ready for us! Every single staff member we came in contact with during our stay gave us such good attention and service.Our favorie part of the stay was our amazing large bathroom. It was probably bigger than most NYC apartments. It even had a small television in there! The best part about this room was that we used our reward points to stay and we still were able to get this spacious room. The Regency Hotel is also within walking distance to many attractions. We couldn't have picked a more perfect hotel for our weekend getaway. We look forward to coming back soon!	
Jul 17 2006	Regency.. A Winner!	We stayed at the Regency July 7-9, 2006. The hotel is located at Park Avenue and 61st street. The location is excellent if you want to be minutes from Central Park and the upscale shopping on Madison and 5th Avenues. The hotel is very clean, the rooms spacious (for NewYork) and comfortable. The bedding is great! Feinstein's, the restaurant in the hotel is beautiful, but very over priced like most hotel restaurants. We enjoyed a yummy breakfast at Viande dinner located just around the corner on Madision. Lunch at La Goulue is a French Bistro treat (on Madison at 64th street). Go on Sunday for the brunch. It's expensive ($38.00 pp), but it's delicious. A great italian restaurant was recommended by the concierge. It's called La Scientalla. Huge portions. Share your entree. Excellent service in a high end neighbourhood restaurant. I usually stay at the Omni, but I prefer the quiet luxury of the Regency.	
Jun 11 2006	Sad and Tired	Surprised to see all the excellent reviews for this hotel. While the staff were very nice, the rooms are old and tired. In the king deluxe room, the bathroom is very small. There is only one sad chair...fine if you are alone on business but a little awkward when traveling as a couple. The wallpaper in the room was a mess and it obviously had not been replaced in along time. The furniture is also quite worn. If you are going into the city on a weekend there are much better hotels for the same money. On the positive side, Feinsteins at the Regency is a great place to hear live music in a very intimate atmosphere.	
Apr 10 2006	Great Stay--Perfect for Kids	We stayed at the Regency for three nights in April. We traveled with our 2 1/2 year old child. PERFECT HOTEL FOR KIDS in a city environment--within quick walking distance of the park (Zoo, flying horses), FAO, Dylan's candy bar etc. The staff was incredibly friendly, especially to our daughter. They gave a gift upon arrival, a welome basket for kids and a nice amenity as well. We were staying in a standard room and found the room to be spacious by city standards and very clean. We didn't feel cramped even with a crib in the room.The bathroom is small but well appointed. We really had no complaints at all about our stay. It is not the Ritz but you aren't paying Ritz prices. The overly nice staff makes up for it and they were more than willing to offer great suggestions for dining or child-friendly excursions.	
Mar 29 2006	Love this hotel!	My family and I stayed at the Regency for 4 nights and we loved it so much! We had 3 rooms but 2 of them were corner room and it was very big beautiful room. We loved the &quot;library&quot;(bar, tea room &amp; salon, I guess) and my grandmother and I hang out there before we go out for dinner. One problem we had was that one one of the room key was not working well and my father couldn't enter his room for a few times. Everytime, they need to fix the room key card but he had to go down for 3 times and that was not pleasant.. But besides that, we adored this hotel. You really get the upper side new york feeling.	
Mar 19 2006 	Perfect Manhattan!	We've stayed at the Regency several times during the past couple of years. Our very first visit made us loyal and each return visit has been better than the last! The location is absolutely perfect and the staff is amazing. During each visit we've seen movie stars, sports stars or famous politicians. I've heard that among celebrities it's known as &quot;Hollywood East&quot;. I guess if it's good enough for them . . . it's good enough for us. There may be a nicer hotel somewhere in Manhattan but after 15 years of searching we have't found one. We're always nervous that if we recommend a hotel to friends, perhaps they won't like it as much as we do. This is one of three hotels in America that I'd recommend without hesitation. Several friends have actually come back and thanked us profusely for letting them in on this New York &quot;secret&quot;.	
Mar 18 2006	nice hotel very expensive	nice hotel. very expensive. staff were very accomodating. The rooms were quite spacious. The hotel carpet in our room needed to be replaced. The hotel is very nice, but too expensive for what you get. The	
Mar 9 2006	This was my 10th stay here	I have stayed at the Regency at least 10 times in the last four years. The staff is so friendly and I have stayed in the average room and in a couple of the suites. The hotel is vintage and therefor all the rooms are slightly different. I have always had good experiences here and occassionaly have seen a few celebrities which obviously chose the property because they value your privacy. Hot chocolate in the winter and lemonade in the summer!!! My favorite hotel of all in the Big Apple!	
