	Great deal and great location great comfortable beds and nice lobby	This is my second time staying on the upper west side and my friends first time. They are now convinced that this is the place to be in NYC. It is so convenient to the subway, great cafe's, decent street vendors, fabulous markets and stores and the museum and park. The beds were so comfortable and the warmed cider available in the lobby was great. We had a small suite and the kitchenette was perfect to bring leftovers back. We loved the stay and the location.'Gail in Vermont	
Oct 18 2008 	Great NYC find!	We booked this hotel after discovering that most of the tourist area hotels in Manhattan had sky-high rates during September (we expected this would be a slower time but it obviously isn't). The Milburn was a great find and I would certainly stay here again.We have often wondered what it would be like to live in Manhattan and the Upper West Side location of the Milburn offered us the residential feel that we were looking for. The area is very safe and beautiful. We easily walked to Central Park (amazing!!) and visited some of the stores and restaurants in the area. As we explored the city, I realized that I was much happier staying out of the Times Square area. It was busy and garish. I liked staying in a more residential area like the Upper West Side. The hotel is not extravagant. The rooms were average but perfectly fine. They were clean and comfortable and roomy. We had a great experience with the front desk staff. There were a couple of employees that had great recommendations about the area. They were obviously glad to share a bit of their New York with visitors and we appreciated that. The breakfast was decent and a perfectly suitable start to the day. We did have to wait for 15 minutes to get seated because the tables were full of other guests. There was a nice variety of food and the bagels were tasty. If I were coming to New York again, I would be happy to stay at the Milburn.	
Oct 2 2008 	What a gem! I will stay here again.	I stayed here 9/28-9/30. The hotel is most definitely ABOVE average! Especially for $250/night + tax. We booked a room with 2 twin beds. Got a room on the 12th floor across from the elevators. Never heard the elevator once...and I'm a light sleeper. Never heard anyone in the hallway at night or through the walls. The room was much bigger than I expected for NYC. Plenty of room for me and my friend to push our beds apart, plus the &quot;dining table&quot;, a sitting chair, a desk, the TV stand and we put out the luggage rack. Still roomy! The room seemed nicely updated (decent beds, very nice linens, chandelier hanging from middle of room), except the TV was not flat panel, like we saw in a couple other rooms. No worries, I wasn't there to watch TV. Bathroom small, but very clean and modern. Water pressure in shower was fantastic! The glass tub door was a bit hard to maneuver, but we figured it out. Kitchenette area was tiny but useful (fridge, microwave, another sink, coffee maker). The AC unit was helpful to keep the room cold (good for sleepin') and is also good for masking any unwanted noise or providing white noise. I actually prefer a window unit to central AC...gives the user more control over temp, noise, fan, etc. Hotel staff very friendly at all times. Lent umbrellas out and a corkscrew for the wine we had brought back. Stored our luggage before check in and after check out. The breakfast was good...nice bagel selection, cereal, pastries. The breakfast room IS small, and they do monitor it. They would do best to put in smaller &quot;cafe&quot; furniture in there to accomodate more people, instead of the large, heavy, ornate furniture in there now. They will seat strangers together, which makes for fun conversation (i.e. 2 and 2 at a 4 person table). Now, they did post signs in the lobby and elevators that the water would need to be turned off between noon and 2pm one of the days to deal with a plumbing issue (fairly common around NYC in terms of older plumbing pipes throughout the city). Given that it was in the afternoon, this did not affect us at all, as we were out and about. They had it fixed by the time we returned to drop off shopping bags and it did not seem to inconvenience anyone that I saw. Now, for the tips. Here is what I found useful, when walking around the UWS:- Broadway is the &quot;main drag&quot;. A few casual eateries, gelato places, lots of commercial shopping (Loehmann's, Filenes, Circuit City). - Amsterdam (runs parallel to Broadway) has tons of restaurants. Many with outdoor seating. We spent 20 minutes walking around looking at menus, because we couldn't decide where to eat. We ended up at a tapas place called Luzia's. Excellent tapas. Try the portobello mushroom! - Columbus is parallel to Amsterdam (closest to Central Park). It has a mix of more &quot;boutique&quot; shopping and a variety of eateries. Ray's Famous Original Pizza is on Columbus. It came highly recommended by a former resident of NY. True NY style pizza. Other UWS benefits:- The Milburn is in a &quot;no honk&quot; area of the city. Was nice and quiet and residential around the hotel. - The 72nd St. subway stop for the 1,2 and 3 trains was very convenient and the subway was easy to use. 1 is the local train and makes many stops (grab a map from the Milburn!). 2 and 3 are express trains and make less stops. All in all, I would highly recommend this hotel and I would most definitely stay there again. Yes, it's not perfect, but what is, really? It was clean, nice, convenient, affordable with friendly staff. That's all I ask!	
Sep 17 2008 	Great stay at the Milburn	Our stay at the Milburn was excellent. Great price for a New York hotel (250 for a suite) and the room was large, recently refurbished and comfortable. The staff were helpful (provided umbrellas when it was raining) and the hotel had free internet service. We are in NYC about twice a year so we don't want to stay in the tourist areas of midtown. We love the location - two blocks from Central Park, two blocks from the subway, and a great deli/market on the next corner, so we did not have to eat out at every meal (the hotel room has a small kitchen).	
Sep 11 2008 	good location small and a bit shabby	My family of three (2 adults/elementary age child) stayed here for one week. The lobby, public restroom, computer room, and sitting room are nicely updated. I wished they had updated our room the same way! We had a studio, comfortably firm king bed, then ordered a cot to be delivered. The room was small but manageable. The bathroom consisted of a sink and tiny counter space opposite a toilet and shower/tub. There was also a wall phone that I kept knocking with my arm. The baseboards had come off in some spots revealing some ugly spots underneath. I didn't dare open the crooked doors under the bathroom sink. I didn't want to see what was in there (it could've been fine--I don't know). I showered with the door open because it felt so claustrophobic with the door shut. A small refrigerator, sink, and coffeemaker were squeezed in on the opposite side of the bathroom. The maids do not wash dishes as part of their contract. The rooms were cleaned daily and they did a good job. The amount of shampoos/conditioners/lotions they give you is stingy. Unless you ask, they give you one sliver of a soap for the sink AND bath. No shower cap unless you ask, too. The A/C was very loud the whole time. The low-med-high setting controls didn't seem to make a difference although it did keep the temperature cool in the room. I had a hard time sleeping with the A/C on at first but after the second night, I got used to the noise. The front desk staff said the A/C was brand new. That was probably true;' they just didn't mention it was the lowest-end model of the newest A/Cs available. The staff offered to change our room but we decided it was bearable. The hotel gives free wi-fi both in the room and in the lobby. They give you a passcode for thirty minutes of websurfing in the lobby. I don't know if you can get another ticket if you wanted to surf beyond that. We found we didn't need more than that. The hotel offers free use of a brand new pool a few blocks away--this turned out great for our daughter who was tired of traveling. They require a swim cap though; luckily, they had some spares so we didn't have to buy one. The hotel also offers free use of DVDs and videotapes-also good for down time of the kids. The continental breakfast downstairs is offered Mon-Thurs. It's ok--nothing fancy but enough to get you started in the morning. Room service food comes delivered from another restaurant in a brown bag. It was nicely wrapped up in foil on the inside but didn't come on a done-up tray like my daughter had hoped. A washer/dryer are in the basement--I didn't see it but I heard it was pretty spooky down there. It takes something like $4 in quarters to wash. The front desk didn't have any quarters. We decided to take our laundry next door, which they washed/dried/folded for $1/lb. It was in by 9am, out by 5pm. Well worth it. The hotel is located on the upper west side, just three blocks from the subway. The shops and delis give this area a residential feel, away from the busy tourist areas, yet close to museums and Central Park. After the U.S. Open, we walked home from the subway at 2am but didn't feel unsafe at all. Employees were cleaning their shops and sweeping the streets and other folks were walking to their destinations. I'm not used to paying about $200+ for a room but in NYC, this is considered to be on the low end. Good location, but would've liked an updated room.	
Sep 2 2008 	Great value in a terrific neighborhood	We've stayed at the Milburn before and are pleased to see that some of the rooms have been refurbished. We called up shortly before our trip to NYC when nearly all the rooms were sold out and ended up with a room on the 1st floor (there are 2) very close to the elevator that everyone uses to go their floor. It was noisy, dark, and the a/c was not adjustable and therefore extremely cold. In addition, the water in the bathroom was lukewarm, both for the shower and the sink. After one night we requested a different room and were moved to the 11th floor and a larger, lighter room that was very comfortable for our remaining 3 day stay. Great king sized bed, lots of hot water, clean, everything worked. For those of you who don't like the continental breakfast or are there on the weekend, spend the extra $$s and go the cafe upstairs at the Fairway or go across the street to the coffee shop at the Viand. All in all, the Milburn is terrific value for the money and the rooms are much larger than most NYC hotel rooms. The neighborhood can't be beat, and this is coming from a former New Yorker who once lived around here!	
Sep 2 2008 	Excellent choice for families!	My husband, son, and I stayed here for 4 nights at the end of August. We were extremely happy with this hotel and plan to use it again when we return to NYC. We've previously stayed in regular hotels and apartments in the city but think this may be a better value. We had a one bedroom suite. This was perfect for us because we could put our toddler to bed early and still have the living room area to relax in.The suite had a completely separate bedroom with a king sized bed, small closet, window unit air conditioner, small chair, lamp tables, dresser with 6 drawers, TV, and VCR/DVD player. Another door opened to the bathroom, which had a pedestal sink and a tub/shower combo. There was yet a 2nd door in the bathroom that opened up to the living area. This was great for us--we could get into the bathroom without waking our son up in the bedroom. Bed was comfortable (my husband thought it was a tad bit soft but I liked it); bathroom had toiletries brought in every day--soap, shampoo, body lotion, mouthwash. We were a little short on towels the first night but that was quickly fixed the next day after asking a housekeeper for more. Speaking of staff--all were friendly and helpful, especially the housekeeping staff. Very kind, and very understanding if our son was napping when they came to clean. Other staff were friendly and helpful as well--if we needed them.More about the room: the living area had a couch and two chairs, along with a table and chairs, a TV, VCR, dresser that held all of this, and a window unit air conditioner (worked very well!). There was also a small desk. In the entry, there was a small closet on one side with iron and ironing board. On the other side was a very tiny kitchen area--small sink, limited counter space, microwave, and small refrigerator. Only one person could stand in this area at a time, but it was great to have the frig and microwave! One quick note about the kitchen--make sure you wash the dishes before you use them. There is a statement in the hotel's information booklet (inside the room) about how the housekeeping staff does not wash dishes, per union agreement. So, just be aware of that if you plan to use them! I only found this out by accident when I was looking in the booklet to see what services the hotel offered.The location of this hotel is terrific--Upper West Side in a nice neighborhood with a grocery store on the next block (on Broadway between 76th and 77th)--it's called Westside Market. and it's amazing what all they can get into such tiny spaces. Besides regular grocery items, they also had lots of precooked and premade foods for take away. It's right next to Big Nick's-- a popular neighborhood restaurant--great hamburgers! There's another market going the opposite way on Broadway--a Fairways. There are lots of places to eat in this area and also some drugstores for other supplies too. Central Park is just a few blocks away. There are several subway stops nearby as well--72nd and 79th are the 2 that come to mind. This hotel was quiet and affordable (for NYC anyway) and we really felt like we were living in the neighborhood. If you want to be near Times Square and all the craziness, this is not the place for you. If you want a quiet, apartment style hotel with extra space for a good price, this is the place for you! It does take some time to get to other parts of the city so plan accordingly if using the subway, taxis, or even walking. We spent a lot of our time at Central Park, so this was extremely convenient for us. We also went to a Yankees game, so this was a good location for that as well.	
Aug 27 2008 	Highly recommended	Great location (near to subway stations and central park), very friendly staff, and by NY standards not unreasonable prices.....we loved it! As someone says in an earlier review, the bathrooms are a bit small, but that was our only complaint. And don't forget to check out Big Nick's hamburger joint just around the corner!	
Aug 21 2008 	Upper West Side Value	Used the Milburn for a five day &quot;girls' getaway.&quot; It is well located near shops and restaurants on Broadway and Amsterdam Ave. and just a walk away from Central Park and nearby museums. Two subway stations are just blocks away for seeing the rest of Manhattan. The hotel was clean and comfortable, but an older building. Three of us shared a suite with two queen beds and a sleeper sofa. The beds were comfy, but the sofa sleeper pretty lumpy. The person who used that elected to make up the couch as a bed, instead! We had a few plumbing issues in the bathroom which were quickly repaired and rectified. The maid service wasn't as on top of things ,as we were shorted a set of clean towels each day and had to keep asking for a third set! Agree with another reviewer, that it would have been nice to have another mirror somewhere in the suite other than the bathroom so that we could all get ready for the day at the same time. The continental breakfasts were adequate, but we often took the food back up to our room because the breakfast room was quite small and usually filled. The computer room came in handy for checking emails, getting information, and printing out airline boarding passes. We felt that the hotel was a good value for New York. The staff was always responsive to our requests. I would stay here again.	
Aug 20 2008 	Forget the free breakfast	We stayed here for four nights with two teenage boys. We had a huge kingsize bed in one room and a double sofabed in the other. The rooms are spacious and each has its own TV. However, for four full-sized people, the bathroom is tiny. It could also do with a cupboard/shelf to put toiletries on as they end up all over the floor. The bathroom could have done with a little TLC but it was clean and there was plenty of hot water. The hotel is in a quiet location - vehicles are not allowed to sound their horns in the road outside between 11pm-7.30am - which meant a good night's sleep. We didn't use the kitchenette other than for keeping drinks cool.The breakfast is not great. There aren't enough tables so you have to wait in the lobby until the &quot;breakfast doorman&quot; lets you in. It's very basic and breakfasts in NY needn't be expensive. (You could try Big Nick's Burger Joint around the corner at 2175 Broadway). Note also that the hotel breakfast is only available Monday to Thursday.The reception staff were extremely helpful and very pleasant. They answered all our queries and recommended great places to go.As far as New York goes, the hotel was good value for money and we would certainly consider it again.	
Aug 7 2008 	Bit tired but we loved it	We spent a lot of time looking for accomodation in N.Y. and decided on this one based on previous reviews. Not sure what to expect but we were pleasantly surprised.The hotel is a bit tired, but clean and tidy and a very good price. There were 5 of us and we fitted well. The kitchen wasn't great but they brought extra plates etc to accomodate all of us.The hotel is well placed and we even walked from there to Times Sq. and back, with a 6 year old.There are some great markets around to stock up on essentials, and a couple of restaurants too.The airconditioners were a bit noisy but blocked out street noise.All in all, we were very happy with The Milburn, and would stay there again anytime.	
Aug 6 2008	Gone downhill...	We've stayed at the Milburn for years, but it has gone seriously downhill. The mattress on the sofa bed was described by my daughter as springs in a sheet. The remote for the TV didn't work, and despite many, many promises to fix this, nothing happened. The refrigerator did not work well. Service was terrible. The dishes for the kitchenette were dirty. I needed to request coffee for the coffee maker, which on previous visits had just appeared, and I kept being told that it was on its way. Three phone calls and one hour later it arrived. Every time we needed something the people working there acted like we were bothering them. We will not stay here again.	
Jul 30 2008	Very comfortable great price!	I stayed at this hotel with a friend just last weekend. Before our trip we spent some time looking to optimize the quality for the price. I must say that we were very happy with this hotel and will recommend it to everybody who asks. We got a great rate -- much cheaper than all of the other places we looked into.Our room was clean and spacious and bed very comfortable. Our room had a small but quite adequate bathroom and a small kitchen with microwave, fridge and sink. Everything was very clean and the staff made sure to keep it that way throughout our stay!The service was excellent, and the hotel staff very friendly. The hotel has excellent amenities - a gym, free internet, lounge, free breakfast Monday-Thursday. It is located in the Upper West Side - a charming part of New York City. There are two great grocery stores nearby, it is near Central Park and very close to two subway stations. You will not be disapointed!	
Jul 20 2008 	good for the money	Just returned from a week stay in NYC and the Milburn Hotel. On first sight, it didn't look great due to the narrow street and older buildings across from it. The lobby is attractive and people behind the desk are very friendly and helpful. Sorry the same can't be said about the &quot;breakfast police.&quot; The free breakfast was a good deal, but the guys in charge took their jobs seriously and no one gets in until they say due to overcrowding. An easy solution is to let people eat in the lobby/lounge. The rooms were fine for our time there. We had a one bedroom suite for four females (two in the bedroom w/ twin beds and the other two on the fold out couch). We always received the extra towels we requested and the maids cleaned up daily. The elevators were slow and small, but it was ok. Often the service people had to wait forever on a car to do their jobs. It would be helpful if they would add another mirror in the living room so others can get ready in that room, too. We used the very small kitchen area to wash faces, hair, and brush teeth since we didn't cook in there. The walk is short to the subway and we always felt safe. It was very quiet in the evening, but the trucks were out early in the mornings. I would recommend this place to others and would consider staying there again. It is an old building and I'm sure in it's day is was the best.	
Jul 14 2008 	Bargain in Upper West Side	Stayed here with a friend one Sat night. Staff very helpful, room was nicer than expected. Had two double beds, kitchenette, large room in clean and good condition. Very quiet. Beds very comfortable but not luxurious. Bathroom was a bit in need of minor maintenance to remove some scrapes and scuff marks but it was clean. Great location. Would stay here again if price remains low.	
Jun 23 2008 	Bad math ! Milburn Hotel reservation cancellation policy	My wife booked a room at the MILBURN HOTEL in New York City on their online website. Their cancellation policy states &quot;72 hours notice&quot; in one location and &quot;3 days&quot; in another. The reservation was for June 25th. Their check-in time is 3:00 p.m. We believed she had until 3:00 p.m. on Sunday (= 72 hours) to cancel.She knew there was a possibility her plans changing and made a point of finalizing some details before 3:00 on Sunday the 22nd. It turned out she could not make it. My wife attempted to cancel the reservation online at 12:30 on the 22nd and the website rejected it. I called the hotel and the front desk said they were &quot;too busy&quot; and would not deal with web-booked rooms (their own website, remember, not a broker). We sent an email to their &quot;contact us&quot; at 1:30 p.m. on the 22nd requesting assistance and never received an answer. My wife called again on Monday and was rebuffed with the new claim that the cancellation had to be three days before the start of the day of the reservation -- e.g. by Midnight on Saturday, (87 HOURS before they would let her into the room.)For a decent-looking hotel the overall service response of their employees was more like the NYC of the 80's than the generally customer-friendly approach of recent years. We were very disappointed (and apparently are out $300 bucks).I would reccommmend a very cautious approach to working with this hotel.	
Jun 17 2008 	Fantastic hotel fantastic value!	I just came back from a 6 night stay at the Milburn Hotel. We were booked into a room with 2 twin beds, but were upgraded to a one-bedroom suite with a king sized bed and pullout couch when we arrived. It was a great size, and both rooms had air conditioning and their own TV's.The shower had really good water pressure which was surprising to me, but I was glad to have it! We constantly used our fridge and microwave in the kitchenette. When we would bring food or snacks back to the room, we would actually use the microwave as storage and to heat up the leftovers we always seemed to have. This was great because we didn't have to eat out all the time! I brought my laptop with me and the free WiFi in the room was a great bonus as many other hotels charge for this service. The connection is a bit slow, but good enough for anyone's needs. The in-room safe is big enough for passports, money and some other small things. Laptops will not fit in there, but you can get a lot of other things in there!You have to keep in mind that this hotel is definitely older and has some quirks. The main one being the slower elevators. We were on the 9th floor and just before we were ready to go, one of us would go and hit the button on the elevator. The floors aren't that big, so it was easily accessible. Other than that, some of the fixtures are older and a bit dated....but they work! There are no ice or drink machines on each floor either. I think you have to go to the basement to find these, but we just stocked our fridge so we always had cold drinks in the room.They have a really nice continental breakfast downstairs from Mon-Thurs. There are fresh bagels, fruit, cereal, juice, milk, and different dainties to choose from. I always had the bagels with cream cheese, and they were nice and fresh every day. Overall, this hotel is a great value on the Upper West Side. There are 2 subway stops within easy walking distance, and there are tons of shops around...including a few drug stores (for water and snacks, etc), a bunch of great restaurants, and 2 popular markets (Fairway and Westside) for groceries if you need them. It's in a beautiful area and it's a lot quieter than being in Midtown. You can walk to Central Park very easily too. It's just a lot more laid back and not swarming with tourists....you actually start to feel like a local after a while!	
Jun 15 2008 	Great hotel on the Upper West Side	The Milburn is a terrific hotel for tourists or fairly casual business travelers. I say casual business travelers because there is no business center and the Wifi wasn't very strong in the room I had. On the other hand, the staff was extremely friendly and eager to help on anything from internet to tourist advice.The location--Broadway at 76th--provided convenient access to the subway, restaurants, Central Park, Zabar's, and a great gelato place (Grom) just around the corner. My room (a queen suite) had a fridge and microwave, as well as dining table, dishes and utensils, so provided opportunities to save money by eating in. Complimentary continental breakfast and free wifi made the price an even better bargain.The rooms aren't fancy but my eyes were closed most of the time I was in the room. I wanted a quiet, comfortable, safe place to stay (I am a single woman) and I got all of that.On my next trip to NYC I will probably stay at the Milburn again.	
Jun 15 2008 	Great Value Fabulous Location Excellent Staff -- BUT a very tired hotel	You can't beat the location -- access to subways, restaurants, Central Park and Riverside Park -- and right in the hub of the Upper West Side. (Which is nice since it's a residiential area and not at all touristy. This makes staying at this hotel a great way to get a sense for the real New York -- at least the Upper West Side neighborhood.) And yes, the wireless internet services were excellent -- in room and in lobby. The Continental breakfast offered free from Monday through Thursday is really nice too. (Great NYC bagels!) And I found all the staff to be top shelf and would even say they were comparable to the service I've had at 5 star hotels. Big kudos to the management and those who work there. So incredibly pleasant, efficient and helpful. And the lobby is nicely done and very comfortable.And then there's the value. Great price given all of the above plus very nice sized rooms with mini kitchen facilities. (Fridge, microwave and coffee pot.) The bathroom yes, was small but that didn't bother me -- this is NYC afterall. What really did bother me was the fact that the rooms (as least the one I was in) are in DIRE need of renovating.I kept thinking I got one of the oldest rooms but apparently that was not the case. My room was very dinghy and depressing. Wallpaper was peeling, baseboards were in need of repair, there was random damage to the walls throughout, the caulking in the bathroom was really in bad shape, the furniture had dings all over it, the drapes were very old and tired looking, the bedspread was the kind that had seen far too many guests (I just gingerly folded it and tucked it away so I didn't have to look at it OR touch it), the carpet was pretty old looking (I was grossed out by it and never walked on it barefooted). I will be honest, it was awful and I was somewhat 'grossed out' by the state of the room. But, since I was not there with my husband and in NY for business, I made the best of it. If this was more of a vacation and I wanted to enjoy the atmosphere of my accomodations, I would have switched hotels in a heartbeat. Even if it meant paying more. And note: TripAdvisor is such a great site. I'm a real fan and avid user. In considering reviews however, it's important to take into consideration the 'standards' of the reviewer. One man's Taj Mahal might be another's Motel 6.(I actually wish Trip Advisor would come up with a way to measure that factor.) That said, The Milburn might be considered ideal and perfect for some. When I travel I typically like a more upscale experience. Ambience and quality of room decor is very important. That's why The Milburn is just not my cup of tea. Hopefully a renovation of rooms is in the works -- it has the potential to be a great place to stay...I just won't be there again in the near future.	
May 31 2008	Great on a budget	The Milburn is a great little hotel. I had an &quot;efficiency&quot; apt. with a king-sized bed. It is a really nice room, with a little kitchenette. The kitchenette has utensils, plates, etc. but more importantly, a microwave and a small refrigerator. I didn't use anything but the fridge, but it was available if I'd needed it. The bed was the most comfy bed I've had in a budget priced hotel, and the bedroom section is very roomy, with a desk, a table and chairs, and dresser. There is a TV with a DVD/VCR. The elevator seemed readily available, the staff was super friendly, and they even provide a continental breakfast on most days (not sure what the pattern is, you may want to ask. On Friday of my stay, there was not b'fast.). I did not use the workout room, but it looked well mainained and equipped. There is a nice lobby, with wi-fi. The wi-fi also worked well in the room. You have to ask for a code, but it's free, fast, and easy. It's in a great location, too, for restaurants, shopping, and subway. The negatives are: Small bathroom, loud air conditioner. These are very minor issues. If I were to recomend anything, I'd recommend remodeling/updating the bathroom. Otherwise, it was perfect. I have several upcoming trips to NY planned. I plan to stay at the Milburn. A colleague of mine stayed at a different hotel, nearby, and similarly priced. She was not pleased, and came up to my room to look. She liked my room much better than hers...Definitely worth checking on... but I hope the word doesn't get out too much. I like the fact it was easy to book.	
May 20 2008 	Homey quiet but chilly	The Milburn is a solid, good value hotel for NYC. I stayed in a 1-room suite (bedroom with two twin beds, living room, full bath and kitchenette) for $294 per night + taxes. The room was quiet-- a big improvement over the noisier places I've stayed near Time's Square. The doors and walls are thick so little sound was heard from the hallway or adjacent rooms. The room was also large by NYC hotel standards.The weather was on the chilly side- mid 60s. In need of some heat, I found that there wasn't any. The hotel has central heating and it was turned off since it was May. The front desk was kind enough to give me a big, thick, warm bathrobe, but with no heat in the room I found it a bit uncomfortable to sit around. I tried to purchase a heater from the hardware store nearby but they were out since it was May; so just a word to those who are sensitive to the cold and plan a Spring trip, either bring a heater or plenty of long underwear.The front desk was always helpful. Check in and check out were quick and easy. Hot cider was provided in the lobby-- at first I mistook it for coffee.The hotel location is excellent. Two blocks from the Subway and half a block from the bus stop. The area is safe to walk around in at night. I would definitely stay at the Milburn again.	
May 20 2008 	A gem in a treasure of a neighborhood	It seemed that searching for a hotel room under $300 a night, (and WITH its own bathroom) in Manhattan was futile. The message is don't give up. Finally we found The Milburn on 76th &amp; B'way. Perfect. Tasteful, clean,and by NY standards a large room, which was quiet and comfortable. Even had a little kitchenette. True, the bathroom was tiny but hey...it all worked. The staff was gracious and courteous. Did whatever they could to help us and suggested ideas we didn't know to think. Close to Riverside Park, the museum of natural history and the historical museum. An easy walk to Lincoln Center. Easy subway access. A 24 hour room service menu with surprisingly reasonable prices. Highly recommend. You can stop looking now.	
May 13 2008 	Horrible Treatment	disgusting treatment - after traveling 20 hours from Australia we were greeted with rudeness and total disinterest and the front manager with the beard started a shouting match that our room was not ready even tho we arrived at 1,30pm and that the bed we ordered wasnot available and who cares!He adopted a couldnot care less atitude. I am a medical doctor and not someone off the streets and have been to New York 15 times in the past 10 years - to be treated like this by this little man.He did us a great favour as we found better accomodation for 14 days where we were treated with professionalism and respect. I would never ever stay at this place and will give my opinion about it to othersThe best part was that he made us pay for one nights accomadation Thoroughly disgusted with this hotel - never ever see me again for sure!!!	
May 1 2008	Milburn Hotel	Stayed with my husbond in Milburn Hotel for five nights in March. The location in Upper West Side is perfect. Fairways and Zabars are just around the corner and there are lots of nice restaurants around. The hotel itself is nothing special (no luxury), but its clean and the staff is extreamly helpful and smiling. Our room was spacious enough and the small kitchen was very handy. The only minus was the very, very small bathroom. I would stay again in Milburn anytime.	
Apr 14 2008 	A Great Base For A Great City	Our first time to the &quot;Big Apple&quot; family of 5 from London. We had room 602 which is a 2 room suite with 2 big doubles in one room and an OK sofabed in the lounge .Kids had the doubles, we had the sofabed.Rooms are good size and clean, bathroom was OK with no screen issues as mentioned in other reviews, blinds and curtains fine. Also at $299 per night for all of us, is good value.Kitchenette is small, but a useful cubbyhole for tea/ coffee etcInitial problem in that we only had towels &amp; water glasses/ tea cups for 2 and no bedding for the sofabed, but a quick phone call sorted that. afterwards we had very little interaction with the staff until departure, we had an evening flight and had to checkout at 12.00we were able to stash our luggage in a secure room , gain access to it , and change clothes prior to one of the porters driving us to JFK.We were very happy with the hotel, good position, only 5 minutes walk from the 72 st subway, 10 minutes from central park.Also I must tell you about 3 great places to eat all within 100 yards of the hotel.Nicos: just 30 yards from the hotel on the corner of 76 and Broadway. Really nice meditteranian / greek food, nice atmosphere and not pricey.Breakfast: The Manhattan Diner diagonally opposite Nicos on the corner of 77 and Broadway . Just go there.For a newcomer to New York it was a classic introduction to the great American Breakfast.Finally inbetween the above, next to a small supermarket is &quot;Big Nick's Burger / Pizza Joint&quot; This place looks like a dive from the outside, but step inside and you have a 26 page menu and the best food in the world. So Thank you Milburn and the Upper West Side we will be back.Philip Murgatroyd	
Apr 13 2008 	Great budget hotel	I stayed at the Milburn from 03/29/08 to 04/05/08 in a studio. Check in went smoothly, and the front desk staff was friendly and helpful. The room was spacious, the bed was comfortable, and it was very clean. The bathroom was very small, and I had to be a bit creative in where I kept my toiletries, but it was fine for one person. Also could have done without the phone in the bathroom - I hit it with my shoulder a lot. Friends were also staying at the Milburn in a studio, and their bathroom was bigger, but their room was smaller (still adequate for them though). I loved having the refrigerator in the room - I only used it to store beverages, but still very nice to have.A few minor downsides:~ The elevators can be very s.l.o.w at times, and were also kind of dingy. We were only on the third floor, so we just took the stairs if we were tired of waiting for the elevator to get there. The higher up you are, the less inclined you would be take the stairs!~ The rooms have steam heat, and it can be a bit of a challenge to regulate. However, if you call the front desk, they will send someone from maintenance up very promptly to adjust it for you. My room was boiling hot when I got in. Maintenance turned it down as low as it would go, and I still managed room temperature by having the window open most of the time I was in the room.~ The phone system is old and doesn't work very well...at least it didn't in my room. The few times I made phone calls, I could hear other conversations in the background.I loved the location on the UWS. You are close to a subway station that will get you pretty well anywhere you want to go, and very near to many great restaurants, shops, and grocery stores, yet the side streets are residential and pretty quiet. It's an easy walk to both Central Park and Riverside Park.It's an older hotel, but very well kept. For the price, I would definitely stay at the Milburn again. Loved the location.	
Apr 3 2008 	A Gem of a Hotel on the Upper West Side	We wanted to celebrate our wedding anniversary in New York and friends recommended the Milburn. It was a terrific choice. The staff are friendly and helpful, the rooms are comfortable and clean and the hotel is in a great area. There is also a very good choice of shops around the Upper West Side. The kitchenette was a great bonus, as we were able to buy food at the huge local supermarket 2 minutes away and eat &quot;at home&quot; in our room.Free use of Internet in the computer room and exercise room is an added extra.We were also pleasantly surprised at how reasonable the rates were, as we had heard that New York hotels had raised their prices (but maybe that had something to do with the favourable UK Pound against the US Dollar rate).We would certainly stay there again.	
Mar 31 2008 	Good upper west side hotel	We booked a king suite for four people. The suite was quite spacious and suitable. There were three phones in the suite, two televisions, and a small kitchenette with coffee, tea, and cookies on the counter. The hotel lobby is comfortable, yet gracious, with exercise and computer rooms just off of it. It was nice to have free internet available in the computer room and there was always a computer available. Service personnel were attentive and professional. Room service is offered and provided from the Manhattan Diner close to the hotel.The only problem we encountered were the lack of darkening drapes or blinds to keep out the morning sun. The mini-blinds on the windows did not keep the sun from coming in in the morning. This made it difficult to sleep late. The hotel offers a continental breakfast during the week to its guests. It consists of bagels, muffins, fruit, juice, and cereal. The breakfast was average but a nice touch. The location of the Milburn is close to the subway, many neighborhood restaurants, shops, and grocery stores. Check out the prepared food at Fairways or Zabars. The neighborhood feels like a neighborhood, not a tourist trap like Times Square.	
