	Great position and excellent rooms with a view	This was my third stay at the London in the past 12 months and it continues to be excellent.Book a &quot;Vista Suite&quot; and you will get a room with a separate, generously proportioned sitting area with a bay window and a big curved sofa where you can sit and read the New York Times over coffee and a spectacular view up Central Park (and both rivers if you are on a high enough floor). I really believe these rooms to be great value considering size/cost options of other mid town hotels of this standard. Located just a couple of blocks from the park, shopping on 5th avenue, Carnegie hall and only half a block from Moma, this is the ideal position for a long weekend in NYC. It feels like your very own private apartment. While some of the newer boutique (hip) hotels may eclipse the London for the &quot;cool factor&quot; , this hotel offers good looking, functional, immaculately clean rooms (that still smell brand new because they have never been smoked in) that are above all, quiet. I am getting too old to want to hear the thumping of a hotel bar at 3:00AM and the London is pleasantly peaceful. The restaurant food is good, especially the breakfast selection. The gym is very well equipped and there is free WiFi. The concierge department are very helpful but the doormen remain just a touch edgy. In all, you cannot go wrong with choosing the London.	
May 22 2009 	Beautiful Large Rooms and Great Location...	i frequent NYC a few times a year on business and THE LONDON NYC is fantastic....the rooms are HUGE compared to most manhattan hotels and having gordon ramsey in house is certainly a great bonus.while the poor lighting has always been an issue, the service - especially rich the concierge - was excellent. richard was extremely helpful with some pretty radical, last minute requests for my customers after my assistant dropped the ball.highly recommend the london NYC and thanks again to rich the concierge for helping me out on such short notice....you hooked me up huge and saved my butt.	
May 21 2009 	oasis of comfort and quiet in a crazy city.....	we found this hotel thanks to tripadvisor reviews. the room was fantastic, roomy and had a rollaway for our daughter, 2 tvs! love that! the rooms service was , hmm, slow, and the food was so greasy, and despite saying that if you wanted 'anything',they could not give mash instead of fries..at those prices, forget it. it is a great midtown location, everything worked perfectly, our room was serviced promptly, we had a view over central park and could see the new year crowds and fireworks from the cosy seclusion of a warm and luxurious room. oh, and the bed was heavenly, mmm.	
May 18 2009 	Hotel Le Posh!	Stayed at the London for a weekend in NY in April. Oh the luxury - fantastic hotel and exceptionally clean. Housekeeping twice a day! Room very spacious (we had a suite), bathroom massive (by new york standards) with 2 showers! Location was great, beside good restaurants, nightlife and cultural attractions. If you want luxury, look no further!	
May 17 2009 	Fantastic	My wife have just returned from 8 nights at The London. Everything positive written about this hotel on trip Advisor is correct. Beautifully designed rooms - with ample space; excellent service from the amazing concierge service (Thanks to Manny &amp; Barry); housekeeping who visit at least twice a day (if you want them to); the reasonably quiet yet central location and of course the privilege of having two Gordon Ramsay Restaurants in the hotel.Best shower in any hotel I have ever stayed at and probably the best bed.I was quite amazed at the efficiency of everything. Literally, from not having to wait for more than a minute for an elevator to the speed of room service.The only negative which has been commented on already, was the relatively high price of some of the items on the in-room dining menu and of course if you are going to eat at Gordon Ramsay at The London (it was excellent) ensure your credit card is clear.We ate at some amazing restaurants in the city. If you can get a reservation do not miss Blue Hill nor for that matter Lupa.Overall - it was an excellent experience and we would stay again.	
May 15 2009 	Worth the cost!!	One of the best hotel experiences I ever had. We had the two-room suite plan on the 43 floor. Incredible view of CP and Hudson, Time Warner Ctr, side of Carnegie Hall. Room was very nicely appointed, bed incredible, plenty of room, flat screen TVs in both rooms, impeccable service at every turn. Location that can't be beat. And the food... even the &quot;bar food&quot; was superior to many, many restaurants' main menu offerings. Great place overall.	
May 13 2009 	Couldn't have picked better myself	My boyfriend took me here on 18 March 09 as a surprise trip to propose. He had been in touch with staff at the hotel to tell them his plans (although I knew nothing about it) and they had organised everything perfectly. We had a suite on the 48th floor with amazing views of Central Park and they left us a bottle of champagne for our arrival. The room was fabulous and the staff were all fantastic and a great help when it came to booking tickets for events. The hotel is easy walking distance to Times Square and near the subway if you are going further afield. We dined at the Gordon Ramsay restaurant within the hotel the night we got engaged and it didn't fail to deliver on taste, quality or service. I'm excited all over again just writing this and we will definitely be back.	
May 10 2009 	Everything ok EXCEPT Those Doorman Police Whistles	Make sure your room does not face the street. All night long the doormen blast on police whistles looking for taxis	
Apr 27 2009 	Excellent Room Location and Service	My girlfriend and I stayed April 17-22 for seven nights, both business and vacation.The room was spacious with a bay window sitting area, very comfortable bed, and large bath with cool shower area. We enjoyed the room on several rainy days. The view was looking north from the 27th floor and excellent.The staff was courteous, friendly and responsive. Of particular note to me was the house cleaning staff. They worked around my schedule and did an excellent job making me feel as if I was the only guest.Did not eat there, but heard good things. Had a couple drinks in the bar which was comfortable and classy.The location is what originally drew me to the hotel. A quick morning walk to the park, around the corner to my favorite Irish Pub, or down the street to Broadway.Overall, the room, and overall experience, was well worth the price.We will return.	
Apr 24 2009 	Fabulous NYC hotel spacious gracious modern hip a great value -- it doesn't get better than the London NYC	My husband and I just returned from 21 days and nights staying at the London, NYC. What a GREAT hotel! We love 5-star hotel treatment and accommodations (our previous NYC stays have been at the Plaza, the Carlyle, and the Four Seasons) and this is what we got at the London, but with much more space and for a much lower price. What makes the London so great? First, the accommodations; most of the rooms are suites, with living spaces and bedrooms overlooking great views in the city. Our room, on the 37th floor, had a bedroom and a separate living room, both with plasma TVs and fabulous room-size views looking over the Tavern on the Green in the Park, up along the West side. The skyline was fabuous, especially at night! Draperies and sheers closed electonically, with rope lighting under the cornice to give the rooms a light glow after dark -- we left the cornice light in the living room on at night as our perfect night light. The living room, which closed off from the bedroom with beautiful mirrored French doors, was furnished with trendy, modern furniture, including a fabuous curved couch (so comfortable for lounging) and a large desk with free Internet hook up, as well as wireless. We set up a small office on the desk, and never felt cramped by work overflowing into our &quot;personal&quot; space. The bathroom was fabulous -- all while marble, and clean, clean, clean! The Waterworks fixtures were luxurious. We requested both a tub and a separate walk-in shower in our suite, but many rooms have double walk-in showers instead -- also a luxury. My husband LOVED the rain shower, which made him feel like he was standing under a gushing, hot waterfall. Believe me, after 3 weeks in a hotel, a fabulous bathroom is more than a luxury! An open dressing space accommodated our 3-week wardrobe with ease, although we did pack away our cold-weather coats into the handy trunk at the base of the bed. Also, although this may seem like a small detail, I should add that our room was incredibly quiet -- we never heard another soul through a wall or door.As for service, it was 5-star from top to bottom. The hotel prides itself on its concierge staff, and rightfully so. We are not great trip-guide readers, and we depended on the concierges to direct us to restaurants for lunch and dinner nearly every day. They quickly figured out our eating preferences and made fabulous suggestions, ranging from the top-rated Jean-Georges to the best pizza place we've found in NYC. A bonus -- we ate lunch one day next to Paul McCartney; clearly these young men knew what was happening in the city and where the best spots are. The concierge staff were able to get reservations for us at booked up restaurants (like Bar Boulud and Babbo) that we likely would never have been able to get on our own, as well as tickets to a sold-out Rangers game. They were absolutely top drawer. (One staff member told us he got a private jet for a guest on a four-hour notice -- normally I'd question this but at the London I think it is the literal truth; they are THAT GOOD.)In fact, every person we encountered at the hotel, from the doormen in their fedoras and suites, to the several excellent concierge staff, to the housekeeping folks, were professional but also FRIENDLY, greeting us by name and welcoming us back to the hotel when we returned from our sojournes. We never saw a room service tray in the hallway set there for more than a half-hour. Our rooms were cleaned promptly when we left in the morning, and straightened at least twice more during the day. Elevators were quick, clean, and always available within a minute or two.The restaurant (Gordon Ramsey's flagship in the States) was always hopping in the evening hours with business -- as was the small bar. We certainly felt like we were in the middle of &quot;where it's at&quot; in NYC. The one thing that the London does NOT have is a large and luxurious private lobby. The lobby is on street level, and the lounge area is rather small and on level two. So, if you want a luxurious private upstairs lobby to relax in, the St. Regis, the Four Seasons, or the Pennisula might be your choices. But if you don't need the lobby space, the London compares favorably in every other way. We were happy to trade the lobby space for a room twice the size with a separate living room -- that's where we spent our time.Honestly, I can't imagine a better place to stay in New York. The hotel is hip, modern, clean, busy (in a good way), and the services were truly outstanding. The crowd is decidedly younger than at the Carlyle or Plaza, giving the London a kind of energetic vibe that is contagious. (We're &quot;50-something&quot; and we felt younger just walking into the lobby.) We saw a few children staying at the hotel, but mostly this is a place for &quot;young professionals&quot; who appreciate style, service, and comfort. I should also mention that the location on 54th is perfect for theater, walking, shopping, and eating.I can guarantee that the next time we are in New York, we will head to the London. We haven't found a place to compare.	
Apr 23 2009 	Well worth the money	The London was everything we heard it was, it far exceeded our expectations. Great location, friendly staff, very clean and spacious rooms. The Gordon Ramsey restraurant wasn't worth the money, imo.	
Apr 23 2009	FANTASTIC	a really good upmarket hotel. the hotel and its rooms are as good as the web site pictures.convenient location 5 mins from central park which is great for a pre- breakfast walk.take a helicopter tour of nyc-extravagant but leaves a lasting memory.	
Apr 20 2009 	BEST HOTEL for the $ in NYC	Was here for V-Day. Likes -1) Room Size Suites!2) Price3) Location4) Style5) Staff Service incl concierges6) Dual showers Dislikes -1) Evening door service not the best - Ignored us for cab - so we trekked 2 blocks away to get 1 on our own.2) Room service pricesSummary - outstanding stay top to bottom except for the evening door service. I would recommend this establishment to any1 wanting a 4 star michelin type accommodations without the &gt;$500 price. Central to everywhere &amp; the concierge comp us tixs to the top of the rock for a beautiful view of the Big Apple. Perfect in every way really.	
Apr 20 2009 	Great Hotel ideal location	Just came back from a week at the London NYC. The hotel is ideally loccated to Times square and other main shopping areas. We stayed in the london suite and it was definatly worth it. 2 large rooms with areas to sit and rest after a hard days shopping.The staff were great and were helpful when asked any questions. taxis were available directly outside so you didnt have to walk far to get one. Another plus to thehotel was the bar and the maze restaurant located on the ground floor - not the cheapest pleace to get a drink - $20 for a cocktail but was still good.	
Apr 19 2009	Very Pleasant Experience	I took my daughter to NYC for her 16th birthday and we atayed at the London NYC and I was very pleased with the room, service and staff. They made our trip very nice and memorable. Staff was very helpful with directions to area locations and attractions. They accomidated our every requests! Will stay here again!	
Apr 13 2009 	Unexpectedly great hotel	Wonderful location for theater and enjoying the City. Hotel has been recently redone with beautiful &quot;Waterworks&quot; bathrooms and living room area next to bedrooms. Hip restaurant with great food. Professional service oriented staff without the &quot;attitude&quot; frequently encountered in New York Hotels. Made for a great weekend to invite family back for post theater tea and relaxation.	
Apr 7 2009 	Great Hotel	I just had a wonderful stay at &quot;The London&quot; in New York. I was hosting 9 ladies for the weekend and the hotel was perfect. The location was wonderful, the rooms were very large with spacious bathrooms and the staff was great. I highly recommend this hotel for a New York stay. We had 3 London suites and 1 London apartment for the weekend.	
Apr 6 2009 	New York was nothing like we expected! Can't wait to go back!	My husband and I traveled to New York the first week in December to witness the lighting of the tree at Rockefeller Center in person. The weather was great during our stay and staying at the London allowed us to walk to almost everything that interested us. The location of the hotel was great! We were able to take in a Knicks game at Madison Square Garden, saw the musical Chicago, attended the matinee of the Rockettes holiday special, went to the Top of the Rock, witnessed the tree lighting live, toured the city a little and walked through Central Park in just 5 short days. Now that I have seen the tree lighting in person, I will be perfectly content watching it on tv from now on. I have never seen so many people in my life!	
Apr 3 2009 	A dead body lived under the bed	When we finally got into bed late that Saturday evening. My daughter told me she smelled something awful. It smelled like someone had died and rotting body was under the headboard and on the sheets near the pillows. It was so late that I called management in the morning and complained. NOTHING was done. We slept elsewhere because the smell was unbearable. My daughter is a doctor and knows what human remains smell like. That is the strange thing.	
Mar 30 2009 	Great value for NYC	I have stayed at the London twice in the last three months and have had very positive experiences both times...The rooms are very spacious and finished in a modern style with neutral furnishing that should appeal to everybody...Bathrooms are very spacious and rooms on the higher floors have great views...Service is excellent....Housekeeping is very efficient and thorough...I left money out one evening and, after being informed by housekeeping, security came to to the room to secure the money until I came back to make sure that there were no issues later on...The front desk staff was generally efficient and the doormen were very friendly...On about three or four occasions they put me in the house car to take me out in the evening...I have had that service before but never at a hotel in New York, a hotel this large or at a hotel that was relatively inexpensive...It really felt like a boutique hotel with personalised servince...All things considered (service, feel, room size and finish) it is my favorite hotel in NYC in this price range...The only other hotel I would consider would be the NY Palace and only becuase I think the Madision Ave location is much more convenient if you are in town on business.	
Mar 21 2009 	the London is our favorite and honest staff as well	My wife and I recently spent a weekend at the London and it was fantastic. We live in NJ and frequently go into the city for a weekend to see a show, concert or just to get away. and the London has become our hotel of choice. This was our 2nd time at the London. The room was clean and spacious, the staff could not have been more pleasant and helpful and the valet parking (we drove for a change) was seemless. We booked on American Express Platinum travel so we got afternoon tea (which is very nice) and a 4pm checkout which is very nice. The location is perfect, walking distance to shopping, dining and the theatre district. The honesty part is that after spending some time shopping at Bloomindales, we left a shopping bag in the room when we checked out. I thought there was no way we would ever see it again. but when we called the hotel on tuesday, they called us back to say they located the bag. They shipped it to us Federal Express and on Wednesday the bag of clothes arrived, still in tissue paper, and the receipt still sitting on the top of hte clothes. absolutely amazing that a 5 star hotel actually lived up to its billing in all respects!	
Mar 20 2009 	Lovely stay	We booked 3 nights at the London NYC under the &quot;buy two nights get one free&quot; deal that you can find on nycgo.com. As a result, including taxes we paid about $700 for three nights -- a total deal for NYC, particularly given the size of the rooms. I've stayed in probably 25 different hotels in NY over the years, and this is one of the nicest and most comfortable -- comfortable beds, nice sitting area with a couch, well-appointed bathroom. Great space for two people who are ach used to having their own space. My boyfriend thought the fitness centre was the best he'd ever seen in a hotel. Location was great (being a former New Yorker I'm not a fan of Times Square but the hotel is central to pretty much everything, and the street it was on is relatively quiet). Service was just OK -- we really didn't ask for anything. We had a bad experience with a rude/slow waitress, but overall left with a good impression. I would stay here again.	
Mar 15 2009 	arrogant and rude staff at front desk	The rooms are decent - we read reviews that the rooms are &quot;large&quot; but when we saw the suite we were surprised at how tiny the second bedroom was. The rooms are extremely dark as well and there's no option to make it brighter. My father was switching to another room because my brother and I were leaving. The front desk gave him a room that was not cleaned up yet and smelled like bleach. In addition, when I was checking out, the front desk lady (I wish I remembered her name) was extremely rude and arrogant. A decent hotel with decent service at best.	
Mar 12 2009 	can't wait to return	One of the most comfortable hotels i've ever stayed in. The huge bed felt as soft as a feather, the sound proofing second to none, air conditioning easy to adjust and blackout curtains so effective you would'nt have known if it was night or day - great when you are stopping off fromSouth America. Lively, smart atmosphere in the bar and attentive door and concierge staff.Location could not have been better - close to central park and Times square. Worth every penny!	
Mar 8 2009 	Amazing Hotel!	We loved everthing about this hotel, except that we were only there for one night! I was so pleasantly surprised about the size of the suite- it was truly a 1 bedroom suite, with doors separating the big living area from the big bedroom. The bathroom was huge and pretty (although I was not a fan of the full length mirror in the shower!). We had a really wonderful stay here, and the gym was one of the nicest I've ever used. We ate at the Maze restaurant (more casual of the two GR restaurants), which was a great meal. We paid $250 for our room, which felt like a bargain based on what we got for our money. I don't think I'll ever stay anywhere else when I come into the city.	
Mar 6 2009	Wonderful ambiance a truly unforgetable experience	My sister and dined at in the formal dining room at the London. The food was amazing, quite expensive but no regrets.A special &quot;thank you&quot; to our waiter for touring us through the kitchen and meeting with the chefs. This was something totally unexpected and very much appreciated.Signed, the two blonde Canadian sisters	
Feb 23 2009 	Ticket scam at the London	I stayed in the London between the 16th and 22nd February. On a positive note the rooms are big ( for New York ) and clean and the TV is flat. If you get a high floor 32 or above suite the view is also good.The hallways are dark and the breakfast was terrible.Beware of the concierge ! These guys have egos the size of the Empire state and attitudes that are the exception to the friendly New Yorkers on the street. We asked where to buy Shrek tickets and were told that they could get &quot;special&quot; tickets through there concierge network unavailable to the public. They wanted $75 for service on top of the $85 per ticket but told us that the only other tickets available were $300.The tickets they provided were in row x ( back row z ) with restricted view and not special in any way. We refused to pay for them and found tickets in row H online at [--]. The same concierge could not recommend an Italian restaurant in Little Italy or a restaurant with a view of the river.We booked a special VIP Saks 5th avenue shopping deal which the Hotel also rfused to honour.If there isn't a buck in it for the crooked concierge dont bother asking for it!	
Feb 22 2009 	Nice hotel but food is very overpriced	The breakfast in particular was very disappointing. The full english breakfast was very much on the small side, better off crossing the road to an irish pub.	
Feb 20 2009 	Affordable Luxury in New York	After staying at the Hilton on Times Sq for most of the week, I decided to surprise my girlfriend with a valentines night stay in the London. Now dont get me wrong the Hilton on Times Sq is good but the London is on a totally different level.Excellent service greeted us at 11am and a Happy Birthday from the reception staff to my girlfriend, was very welcoming. Followed by a complimentry bottle of wine.We were shown to our room on the 30th floor and were delighted with the size of it. A large well laid out lounge, A big King Bedroom and a huge shower with seperate tub greeted us as we stepped in.The hotel is situated 7-10mins walk from Central Park and was still only 15mins walk from Times Sq.We went out for the afternoon,and came back to find another complimentry bottle of wine plus snacks.A further suprise for my girlfriend was dinner at Gordon Ramsey's in the London.This was quite simply the best restaurant experience I have ever had and I have been to many many restaurants around the world. Now this was not cheap but you leave feeling you have had great value for money.If you can stretch the budget then go for it!We would definitely like to stay here again and would have no hesitation in recommending this hotel. 5 out of 5	
Feb 19 2009	Nice but service was somewhat disappointing	The resturants were very pricey and a relatively poor value. In additon we were mislead by a waiter in the MAZE and told that they would split a bill, which they did not. I paid over $200 for 5 breakfasts and when I complained at the desk when checking out they claimed there was nothing they could do?! I will not go back, to many other places want the business. They did not stand to loose a dime in the transaction, but they failed to follow thru.	
Feb 19 2009 	Hip and Elegant!	I took the red eye in from Seattle and showed up at the hotel before 8am. I was worried since check in time wasn't until 3pm, but the very accommodating staff set me up with a room to sleep in until my room was ready. They couldn't have been nicer! I took a long nap and a hot shower and was good to go! There's a great place around the corner for manicures, pedicures and massages called NY Nails. I highly recommend going there after a long trip! My room was ready in the afternoon and was on the 52nd floor! It was large and beautifully appointed with a very big shower along with amazing views of the city! Free wireless internet too, which is always a plus! I lunched at The Maze restaurant in the hotel and the food was excellent! The best tuna tartare and very nice cobb salad. I also dined at Gordon Ramsey's restaurant for dinner, which was delicious, but a bit too fancy for my taste. Great Italian restaurant down the street called Gattapardo; small restaurant with very nice atmosphere and wonderful dishes. I look forward to staying at The London again and would highly recommend it!	
Feb 10 2009 	Luxury at the London	We stayed at the London, NY in February 2009 and it was a fantastic experience. A warm welcome, great staff and beautiful surroundings. Our suite was large (particularly for NY) and spotlessly clean with Ipod docker, two flat screens, great toiletries, and soft robes etc. Five minutes from Central Park means morning runs are no excuse. We ate at Gordon Ramsay at Maze on the Saturday night and had one of the best meals we've ever had. Try the five course tasting menu and ask the sommelier to match your wines by course. At the end we were offered a tour of the kitchen - a fantastic chance to see great chefs at work. After praising the desserts several more were brought over to our table to try free of charge! Great and truly personal service. No, it's not cheap but for the overall experience it's great value. If you want a special weekend in NY with a loved one this is the place to stay.	
Feb 10 2009 	Would not stay anywhere else	I visit NYC a lot and have stayed at a lot of hotels there. Staying at The London is the best NYC hotel experience I have had for the money. We had a great room with breakfast included for $249/night. The rooms are new and clean and very spacious for NYC. The location is 54th between 6th and 7th right near the N&amp;R subway so you can easily make it downtown. The staff are great, the bathrooms are new and nice and there is free wifi!	
Feb 9 2009 	Pure luxury at the LONDON NYC	I stayed at The London with my daughters (ages 23 and 15) Feb 6-8. We had a 2 bedroom suite on the 52nd floor.It was absolutely amazing. The suite had 2 bathrooms, one with just a shower and the other had a shower and tub.We had 3 flat screen LGTV in our suite. We used all 3 of them! Our suite was divided by a hallway . The view was of Central Park . We could also see Time Square. Hardwood floors through out and tile in both bathrooms. We had verycomfortable beds and slept well. Very Quiet. We had dinner at Maze(in the hotel) which was pricey (what isn’t in NY) and it wasexcellent. We all had the 5 course dinner at $70 per person. It was worth it. We were looking for Gordon Ramsey butdidn’t see him ;0( The service was excellent. (2 hour minimum at Maze for 5 course dinner). Concierge was so helpful. They are always smiling and went out of their way to help.They had answers to all our questions and their recommendations for everything we did where right on! We went to Nobu 57for dinner to celebrate my daughters 15th birthday. Excellent sushi. Expensive as well but fresh, clean and well worth it. Wealso looked for Robert Dinero(he owns this restaurant) but didn’t get to see him either ;0( Concierge recommended Norma’sfor a great Sunday morning breakfast. It was unbelievable! Big portions! You don’t see this in NYC! Last, we saw Lion King and it wasone of the best shows I have seen. Great show for all ages. We will be returning to The London in the next year and will tell all ourfriends to stay there as well.	
Feb 2 2009 	#1 go to hotel in NYC	We recently stayed at the London NY January 2009. The London Suite is approx 500sq ft and is the most comfortable and civilized hotel experience I can recall ever having in New York. We paid $259-$279/daily and at that rate it was a great value: living room, bedroom, Waterworks signature bathroom with dual shower stall that was about 8 feet long. Returning to our room each evening was like coming home. Our dining experience was limited due to an uninspiring breakfast sampling but who cares when you have the city at your doorstep. It is known for Gordon Ramsay's signature New York restaurant which I understand is terrific. Location is great launching point for Rock Center shopping, Broadway, etc. I realize it is considered to be somewhat trendy and in fact we saw some celebs but the property was very low on the pretentious scale!	
Jan 28 2009 	Avoid	Very overpriced and poor value. Watch the bill and insist on closing the bill when leaving.	
Jan 22 2009 	Very Clean and upscale	Great Staff from the time you Valet your car, check in, bell service and Gordon Ramsay restaurant all exceded our expectations. Would highly recommend very good price for room with tax $349.00 Parking overnight valet $65.00 Dinner for 4-in Gordon Ramsay $650.00 plus tip.	
Jan 15 2009 	Fabulous location; beautiful comfortable room	I love Gordon Ramsay so since I was travelling for business, I thought I'd have a chance to eat at his famed NYC restaurant and stay at The London NYC, where the restaurant is housed. First of all, this hotel is in a fabulous area--close to everything NYC! A few blocks south to Time Square and theatres, a few blocks north to Rockefeller Plaza ,and great shopping a few blocks east. I'm a walker and was able to get everywhere I needed to go on foot. I asked for a high floor to escape the NYC noise and pleasantly surprised to have such a huge suite in New York on hte 25th floor--and it was very quiet and very clean! I didn't think the hotel was dirty at all as previous posters suggested. The lobby is beautiful and the room was amazing. The bed was the most comfortable bed I've ever slept on! Great beathroom, HUGE shower, huge closet area, living room, desk--all the amenities. I scored a great deal off their website--they matched all the other &quot;chain&quot; hotels in the area. The only negative is that I thought the staff was a little snooty, but it may be that &quot;very hip, english vibe&quot; they give off. I did have a chance to eat at Maze, Ramsay's small dish casual restaurant, and the food was magnificent! If you go, be sure to ask for the salted caramels at the end of your meal--eating those is like dying and going to heaven!! I will definitely stay here next time I'm in NYC!	
Jan 1 2009 	New years at the London	We love this hotel, stylish, clean, wonderfull staff, we have stayed several times and seem to get a bigger and bigger Londonn suite every time! Stayed through New Year Eve hotel was wonderfully quiet when we got back after spending midnight in Times Square! Room service efficient, beds turned back every evening. This hotel even smells good! We would never stay anywhere else in manhattan.	
Dec 28 2008	TOO NOISY	The major problem is the ambient noise level. We complained about a high pitched whine, it was promptly investigated, we were told it was the &quot;water pump&quot;. We checked out several floors during the night, and the high pitched whine was present on all floors This was very bad. Other problems: No good reading light in the rooms, inadequate storage facility in the rooms, a slippery wood floor, no pictures on the walls to decorate the room, computers in the business center that are not free, and no hand hold in the showers. Overall, we were pleased with the excellent staff, we were attentively cared for, we loved the in-room breakfast, the bed was great, the view from the 48th floor was spectacular, and the rooms were clean.	
Dec 24 2008 	Excellent with amazing views	We arrived on Sunday 21st December at the London. The hotel looked very swish as we pulled up in our cab. Check in was effortless and our vista suite was prepared and ready for us. We had a suite on the 52nd floor (two from the top of the hotel). There was a large living room area with a connected bedroom and bathroom. The windows were huge (with electric curtains) and had views across the city. It was night when we arrived so the city was lit up - it was lovely. The room had free wireless internet and 2 TVs and an ipod docking station.The bed was very comfortable and shower hot and powerful. The weak points of the suite would be that the bathroom was small ish and the wardrobe area is open plan with only 4 drawers and a hanging rail. If two people had brought lots of clothes it might be tricky to accommodate all of them. However, these problems were only small and made up for by the most incredible view across central park which we awoke to - see photo.The hotel is in a great location. just a short walk to Time Square area, very near to the park and a subway. Since we were so high we found our suite very quiet. We had a drink in the bar on the first night - they do great strong cocktails and it is open until 1am. We did not eat at the Gordon Ramsey restaurant but it looked very nice.Unfortunately our stay was cut short on the first night when we had a call from home to say that a relative was seriously ill and we had to return. The staff were very helpful. There was no problem canceling our room, we received a full refund and they gave us a late check out until 2.30pm so we could make calls etc at no extra charge. Everyone was vert concerned and kind.I would have no hesitation recommending the London hotel to anyone visiting NYC. Great location, nice staff, lovely rooms and incredible views.	
Dec 16 2008 	Had to stay here also for the restaurant	This is a very nice, and modern style, hotel in NYC. We choosed this one after reading on Tripadvisor, especially that the rooms are big for NYC hotels. It’s a luxury hotel and the price is there after, especially during high season as in december. Beautiful internal architecture and decorations, the choice of food by a Michelin chef, Gordon Ramsey, is excellent and the location, makes this a hit with us.Location 10/10:On 54th between 6th/7th makes this hotels location the best. Its just around the corner from Times Square, as well as 5th ave. and Central park. Walking distance to shopping, restaurants, museeums, etc.. Excellent.Lobby/Check-in 9/10:The entrance and lobby area is gorgeous and modern. A bit small, but its not a very big hotel, but the lobby can get a bit crowded. A good feautre was that outside the entrance, when you are waiting for a taxi, they have heating, so you can keep warm. What makes this not a top grade, is that the staff is not service minded or friendly, it could have been much better. Room 9/10:Got upgraded to a London suite, which was beautiful. We especially liked the there was a separate bedroom with closing doors. Also, that the main room with the sofa and large table, a big desk and a lounge/modern rocking chair, was with wooden floors, and the bedroom with wall-2-wall carpet. All colors were in different grey tones with white. The bed was extremelly nice and comfortable, with egyptian cotton, so it was very comfortable. One very good feature was the feature to close the curtains electriallly, by a button. A small, but good sized, separate closet section in between the bathroom and bathroom, but not that much room for clothes to store, if you are staying a longer time. The bathroom was gorgeous with a huge mirror and washbasin, but could easily have fitted two, which would have been perfect. Another cool and nice part of the bathroom was the two showers opposite each other with different shower heads and a mirror in between. One small extra feature, was the cable to connect the laptop to the flat screen plasma TV, so we could see a movie from the laptop. Restaurants 10/10:This is as good as it gets. Gordon Ramsey restaurants only, two of them. One casual and one exclusive. We dinned a the casual one, Maze, which was amazing. You have option of choosing from small sized servings, but being able to try a bit of everything, or choose from 4 or 5 entrées. When you read the combinations, you start to wonder how these ingridients can match, but it does in a wonderful way. We were just amazed how good the food was. The atmosphere and decoration is also very nice and modern.Gordon Ramsey @ the London is supposed to be even better, but also three times more expansive. We did not try the breakfast buffé, which is served in Maze, but we saw it, and it looked amazing as well, with so much selections of everything and it all looked so good.Other:There is complimentary high speed internet access in the rooms, which is good. There is also a small business center where you can print. A very modern and ultra cool and futuristic fitness center, but we did not have the time to try it. A small minus is that there is no relax with jacuzzi or similar.	
Dec 14 2008 	All style but not much substance …	The London NYC is an all suite hotel in a good Midtown location. You are near to the theatres, shops, Central Park and the subway. Although it is quite new, some of the public areas are already looking a bit tired. Similarly, some of the fixtures in our suite were tired and the furnishings were marked. The staff were mostly ok, but didn’t really go that extra mile to make our stay memorable or enjoyable.We stayed in one of the London Vista Suites with a view over Central Park from the bedroom and the city from the Sitting Room which was great. The bedroom had a massive double bed, a small flat screen TV, iPod docking alarm clock/radio and its own air con system. The wardrobe was simply an open hanging space with a few drawers which we felt was a bit on the small side.The sitting area was roomy and offered a trendy seating area with occasional table, work desk with wireless, a large flat screen TV, air con and a bizarre mini bar which was automated so that if you removed an item for any amount of time, you were charged for it. This meant that you could not remove the contents to chill your own water etc. You can ask for an additional fridge, but for a few days stay that seemed bit of a faff. There was no tea or coffee making facilities which was a big let down.You can open the windows slightly in both the bedroom and the sitting room which was lovely if, like me, you like a bit of fresh air and hate stuffy, over heated hotel rooms.The bathroom was adequate with a large, fixed deluge shower overhead along and a wall mounted hand held shower, but it had no bath. Water from the showers went all over the floor! After walking round the city all day, we would have welcomed a long, hot soak particularly when it was cold. It had the sort of goodies you would expect from this type of hotel – toiletries, bath robes, slippers etc.Maze restaurant at the London NYC is located in the bar area which is very buzzy in the evenings. However, what works for a bar leaves you feeling like you are eating in the middle of large throughfare in a restaurant. It was cold, draughty and noisy. The staff were thoroughly disinterested and the service was poor. The food was good, but not as good the London (UK) Maze where we eat quite regularly and really enjoy it. Gordon Ramsay at the London NYC is a bit of a mixed bag. The food and wines were excellent. The service was quite good if not a little fast. It was also a bit enthusiastic with a number of waiters asking if we were enjoying the food – always an irritation. You should be asked once per course, and once only! The restaurant felt cold and lacking in any atmosphere.As for the city … I would go back to NYC in a heartbeat. Everything is so familiar and yet so different. We only scratched the surface of the city in 5 days and I was left wanting more, much more!	
