	Not recommended	This Hotel really sucks... from outside it looks nice and is close to Times Square, however, the hotel does not deserve 4 Stars.Its an old Hotel and the Hotel Lobby is nice, but the rooms are really bad and small.... I was there with my Mother and we had to split a Queen size bed, they said that they dont have double beds and not even King beds and that i received a complimentary upgrade to Queen Size Bed anyways....usually they give out full size... even for 2 people...I found out then that they had Kingsize Beds and did not gives us those...Anyways, rooms are really small and very dark...some rooms doesnt have a window etc...If you get a nice room, it might be ok... but the standard for this Hotel is not 4 Stars !!	
Oct 29 2008 	Beyond Pet Friendly	I travel to NYC at least twice a month on business, and usually stay at my company's designated hotel. But I was accompanied by my 13 yr-old Tabby cat on this recent trip because we were driving through to another destination. Knowing that The Algonquin is famous for its House Cat, I confirmed that the hotel is pet friendly. Never did I expect that my cat would get more attention than me! The guest room was prepped with a disposable litter box, food &amp; water bowl, spoon for wet food, plastic bags and a strainer, and best of all -- a place mat!Even better than that was Hilda...the housekeeper who showered Tigger with rubs and kisses.Six stars for the Algonquin!	
Oct 24 2008 	Very good hotel for theatre district	I recently stayed a Saturday night in a Premier Suite (the Dorothy Parker!). Got a great rate from an online special from the hotel- 20% off the regular rate and an upgrade and continental breakfast. The suite had a separate living room with sofa bed ( pretty uncomfortable) and bedroom with small but adequate bathroom. Room was very clean, but could have used more towels. Some issues with noise from adjoining room as well. However, considering we had 2 rooms and the location ( a few blocks from the theatre) this was well worth the price. Staff was professional. The waiter at breakfast was very gracious, as was the bartender in the Blue Bar. Once again, New York cab drivers proved to be obnoxious. One refused to drop us off at the theatre after dinner at 21 Club (always excellent)and dropped us off several blocks away. NYC was bustling and crowded- stores did not seem to be affected by the economy. Salespeople at Bergdorf's and Bendel's were rude as usual, but saleswomen at the Coach and Cole-Haan stores on 50th St were great. If you are going to the theatre or get a great rate, this hotel is recommended. If not, I would stay elsewhere- probably the Grammercy Park .	
Oct 15 2008 	WARNING!!! There's a building being built next door! Wonder why the deals?	In comparison to the prices at the other hotels the $240 I paid to stay at the Algonquin was a steal. I bit my tongue when the front desk clerk smilingly told me 'Thats what you get when booking priceline!' when I ask for twin beds in exchange for the queen size bed I was given. Any bed size change was considerably more money... king, twin. He actually seemed to enjoy telling me. I chose to share a queen size bed with my nephew.It was only the next morning at before 7 am did it become clear WHY the rooms where so discounted (in comparison to near by hotels). There is a high rise under construction directly across the street. It is currently at foundation stage. I was way up in the building and still the yelling construction crew and the jackhammers and the resounding sound of metal pounding on steel easily penetrate my wax earplugs. The front desk response? &quot;Thats what you get for booking priceline!&quot; BTW, The hotel is tired. You will probably convince yourself that it is preserved history... but the dented wood, sloppy paint and the New Yorker magazine cartoon wallpaper throughout was pretty tacky.	
Oct 7 2008 	Great Value and Nice Hotel	I had been looking for a hotel for a weekend in NY for a while and found a great deal for the Algonquin on lastminute.com. The reviews on tripadvisor were good but since I was paying just over £100 per night I was concerned about the type of room we were going to get. Well, it was lovely. The room was above average by NY standards, well appointed, clean and not too noisy. the bed was very comfy and it had everything you need for a city break. the hotel itself has a great location, fab service and has a quirkiness to it that was very endearing. Great place for a NY city break.	
Sep 4 2008 	Class is Still Alive in New York	This is a hotel from a bygone era which has been updated and brought into the present time without sacrificing the very unique and classy heritage that it represents. Our room was a little small, but clean and functional. After all, we only needed it for sleeping and bathing. The bed was, without exception, the most comfortable and luxurious experience we've had in a hotel. What a joy to fall into it at the end of a long day of sightseeing and shopping. But the wonderful lounge area off of the lobby was where we had the most fun. Even if we weren't guests, we would be back there to enjoy a nightcap any time. The staff is outstanding. Their professionalism and friendlieness should be the envy of even the most &quot;exclusive&quot; hotels of New York. We felt safe, we felt appreciated and we have no problem returning there again in the future. It is a rare gem in the midst of the sprawl of Manhattan - but one that should not be overlooked. Be sure to order a &quot;Mathilda&quot; cocktail if you are in the bar and then stop by and say hello to the old girl herself. One very lucky kitty.	
Aug 29 2008 	Great Anniversary Weekend	We celebrated our anniversary in New York and wanted a nice Midtown hotel for the weekend. Priceline gave us the Algonquin, which was great because we probably wouldn't have come across it on our own.The location was one block from Time Square, so it was close but quiet. The room was a decent size (by NYC standards), clean and simply decorated. The bed was amazingly comfortable. The recent remodeling gave the room a modern feel despite being an older hotel.The staff was very friendly and helpful, which rounded out our great experience. My only concern was the 'house cat' that lives in the lobby, but it did not aggravate our cat allergies. I think we would gladly stay here again on our next visit to Manhattan.	
Aug 18 2008 	Great Stay!	Just celebrate my 40th birthday in New York with my mother. We had always wanted to stay here and were not disappointed. The location could not be better, and the hotel staff was very helpful and agreeable. The storage in the room is practically nonexisitent, but that was our only complaint. The bed was absolutely the most comfortable I have ever slept in, and our room toward the back of the hotel was totally quiet. I would highly recommend this hotel.	
Aug 11 2008 	Elegant hotel conveniently located	I had read about this hotel on trip adviser so I thought I had a pretty good idea of what to expect. The hotel is very historic, beautiful, absolutely charming, and the Times Square location really cannot be beat. I'm not quite sure what people were talking about regarding the rooms being small - we had a standard king-sized bed room and the size was fine- same size as any other hotel room. As far as the hotel being &quot;dated&quot; - the old style decor of the hotel is well maintained - nothing looks ragged or not well cared for by any means. I'm surprised that people would complain about the style of the hotel since it's not old in the forgotten, we-don't-care-to-renovate kind of way. Unfortunate that more hotels *don't* have the character of this one. I'd take this hotel any day over one of the boxy generic chains, even if the price of the others were cheaper.As someone who used to work in a hotel, I was surprised that the front desk staff was not more friendly. They were not immediately aware of what was happening in front of the desk, judging by their longer-than-normal non-response to a group of us standing in front of them. The doormen, however, are absolutely wonderful: so friendly, very very helpful, and exactly what one should expect in a 4-star hotel (4 stars according to hotwire). They seem to love their jobs, which is wonderful to see. ITechnical things: if one has trouble moving around due to age or disability, I'd recommend asking for a handicap accessible room. The main reason is because of the bathtub - it's quite higher than most to get into, so it's worth looking into if you normally have difficulty getting into a bathtub. It wasn't a problem for us, but it's something to be aware of. Some minor annoyances: the hot water had to run for a while before it actually got warm and then hot. Also, the remote didn't work. I did let the staff know about these issues. Finally, a coffee maker would have been appreciated as someone else mentioned.These minor issues did not detract from our stay, and we would definitely stay at the Algonquin again in a heartbeat.	
Aug 11 2008 	A quaint little place w/ great service	We stayed at the Algonquin for two nights, August 9 and 10, 2008. The bottom line: We enjoyed our visit and would stay there again. We booked through Priceline and saved over 50% off the rack rate. The hotel is just a few blocks from Times Square in the heart of Manhattan. It’s also just down the block from the Toys R Us so, although we didn’t have our kids with us, it made for a nice landmark. The hotel itself is stately without being stuffy. The lobby was filled with nice cushy chairs and made an enjoyable place to relax between excursions and have a quiet conversation. The staff were all excellent: extremely polite, helpful, knowledgeable, etc. Exactly what you would want during any hotel stay. The room was small but comfortable. The bed was incredibly comfy, surprisingly so since it was only a double. Complimentary bottles of water were provided, which came in quite handy on a summer day. Elevators seemed to run well, although it wasn’t a significant inconvenience to walk down the stairs. I’m not sure that I would recommend this hotel to a traveling family, but it was perfect for a quick getaway for my husband and me (late 30’s/early 40’s). I initially rated the hotel 4 stars, but I couldn't think of anything that I would change, so I've improved the rating.	
Jul 30 2008 	The good the bad and the ugly	Stayed for 7 nights on business. I came in a day early to rest up before the intense training I would be attending. Unfortunately at 11:30 pm on that Saturday night, I was awakened by the staff person who had checked me in. He had two workmen with him who he said needed to come in and repair my air conditioner (which seemed to be working okay to me). I had fallen asleep watching TV so was fuzzy-headed and stupidly let them in. After a few minutes though I realized it was almost midnight! The workmen were very nice and apologetic, but the rest of the staff at the hotel seemed unable to explain to me WHY they would be doing maintenance in an occupied room at midnight. The new air conditioner worked better, but I wouldn’t have known the difference if they’d waited until the next morning. When I talked to the manager, she apologized and said I would be compensated. This turned out to come in the form of a free breakfast. Whoopee. Especially insulting given that the company I was working for already had paid for me to have breakfast at the hotel. The amount of the tip came to more than breakfast next door at the diner would have cost altogether.Other than that…the room was small but perfectly comfortable as was the bed. Most staff were friendly and helpful (including the concierge – blonde woman whose name I didn’t get). The location is good if you want to be close to Times Square, but not much else to do in that immediate area. The Red Flame diner next door and the DBistro on the other side are both great (although opposite ends of the dining experience spectrum). Street noise in my room (on the 9th floor) was horrible. It was compounded by an idiot in a Lamborghini who parked on the curb outside and revved his engine every three hours ALL NIGHT LONG. My colleagues who had rooms on the other side of the building heard that, but said that otherwise the rooms were quieter than mine. I thought the building was beautiful and I was very happy to stay at such a historic icon. Given the disaster of the first night wherein I paid $350 to NOT sleep, and the staff’s disinterest in making me feel any better about that, I can not say that I recommend the Algonquin. P.S. I've attached a sweet picture of Matilda. That is the mellowest cat I've ever met!	
Jul 13 2008	Algonquin review from late 20's	My gf and I stayed there from the end of June till July 3rd and had a great time at our stay. The staff was extremely friendly, the room was small, but what room isnt small in Manhattan right? The bed was comfortable and overall our stay was pleasant. There was some construction going on outside our window which we didnt care for but it was just bad timing. great place to stay! by the way, the clientel seemed to be an average age of mid 40's if that matters to anyone.	
Jul 11 2008 	Dated by about 100 Years	The Algonquin hotel is OLD, and they seem proud of it. The decor is all turn-of-the-century (20th) themed. For those who are into that sort of thing, it's probably a great hotel.The rooms were actually more nicely appointed than I thought they would be, although I still wouldn't write home. There was an LCD flat panel TV, probably about 32&quot;, however there was no HD programming. There was also an MP3 clock radio -- the same model you find in Hilton hotels... terrible sound, but it gets the job done.The room was very small and a little uncomfortable.All in all, I would not stay here again. However, if early 1900s decor is something you would like, then this is the place for you.	
Jul 4 2008 	Great Service - Old Hotel	The service was very good, but the rooms are small. Because I had one child with me for only one of the two nights, I requested two beds. The only two bedded rooms are twin beds. They ended up upgrading us to a king bed, but was disappointed with the size of the room and the inability to accomodate my request for two beds. This is the first time doing hotwire that I have had that problem.	
Jul 2 2008 	Absolutely Awsome!!!	We just returned from a four night stay at THE ALGONQUIN in New York ... we absolutely loved it!! The room was perfect, the bed is very comfortable (heavenly) ... The hotel staff are very accomodating - we requested a fridge, and within minutes got it. Jenny (at the front desk) is very friendly. The hotel is in a great location ... everything is within walking distance. You cannot go wrong with this hotel. Don't think twice about booking your stay at the Algonquin ... rooms are great (very clean) and the noise is not bad (what city doesn't have some noise going on) ... You will NOT be disappointed if you book here!	
Jun 23 2008 	Ahhhh! Five Jackhammers Out My Window!!	I'm not kidding. I woke up at 6:45am to the miserable sensation of my room shaking and looked out the window, bleary-eyed, directly down into a massive construction pit. It was so horrible it was almost funny. We had wondered about the earplugs on the bedside table...Some of the rooms facing the other direction are probably fine, but I felt like we should at least have been given a warning considering how much we were paying for the room and that they clearly knew there was an issue. It was a Friday morning, and Saturday and Sunday were quieter, although work still did go on on Saturday - but more at a noise level you expect anyway in New York. That first morning was outrageous - we had to raise our voices to be heard. It was really at that level of complete disbelief. And actually, the room itself had a couple of very minor flaws - some patchwork in the bathroom. I wouldn't risk staying here again now that I've had the experience of staying in the famous Algonquin once.	
Jun 23 2008 	WOW WOW WOW Perfect for our anniversary	5th year in a row to nyc, last year was the iroqouis and i am having a hard time choosing a leader. the suite on the 11th floor was very quite, never a noise in our room. king size bed was perfect and i must say the best ac of any nyc hotel, instant 69 degrees for bedtime. room was pefrect size to have several friends over for pre-bar drinks. We loved matilda (the cat), work out room was adequate (no pool, hot tub though), bar was great, round table and lobby was great also. perfect spot to walk to db for dinner and walk to a show. will go again!	
Jun 23 2008 	History only goes so far	Stayed at The Algonquin with my partner on a work trip, mostly because its location was convenient for the work purpose of the trip.Can't say a lot of wonderful things - it has ts charms, but it's mostly running on its historic interest. Alas, Dorothy Parker's time has passed, and The Algonquin has done little to keep up with the times, or to compete on its merits as a hotel.Rooms and amenities are just adequate, service is gracious, location excellent. When the work leg of the trip ended we relocated to a much nicer hotel on the same street.	
Jun 14 2008 	Wonderful NYC Hotel!	We just returned from a weeks stay at the Algonquin in NYC. This hotel is wonderful! The Algonquin is truly a historic hotel, with a fantastic location. The rooms are small, however, remember this is a historic hotel and it's NYC--you don't find large rooms in the city. Our room was extremely clean and the beds very comfortable. The staff at the Algonquin really make this a unique hotel, they remember who you and are beyond helpful. We have a stayed at larger hotels in NYC, but from now on will stay at the Algonquin..we truly recommend this hotel to anyone who is looking for an authentic NYC experience.	
May 30 2008 	fantastic	just back from new york with my wife and two children.after twice staying at the sofitel i was nervous about staying at the algonquin due to mixed reviews.no need to worry though!!all the staff made us feel so welcome .never before have i seen staff so concerned that we should have a great time staying in new york.on arrival the bell man showed us to our suite explaining how everything worked.after returning to our room that night we were greeted with a welcome card,fresh fruit,and colouring books for the kids.the room was always very clean.never had a problem with lifts as others have mentioned.everything was perfect.i was a little worried about my five year old running about in such a high class hotel.on one occasion he went missing.no need to worry here though as he was sat outside with the bellman playing with his nintendo.in the lounge , a waiter , told us not to worry about my son playing as he was five and at that age its his job!!my fourteen year old daughter also loved the algonquin.tears followed our departure with a promise that we would return.all in all excellent hotel with excellent staff.we couldnt have chosen a better hotel at any price.thank you	
May 27 2008 	They left the Milk out for the Cat	I just returned home from a Holiday Weekend in New York. We stayed at the Algonquin for 3 nights over the Memorial Day weekend.We were greeted by an average bellman who did not say hello or welcome or anything. He just opened to door.While waiting to check in, we were greeted by a very cold staff at the front desk. The concierge, whom I had made eye contact with when I went up to the desk, could not be bothered to let the other staff know that there were people waiting in line so we actually had to ring the bell.The room was small, but very nice. It was exactly what I would expect from a Vintage Hotel. The bed was amazing. The bathroom was again tiny, but enough room for 1 person. The location was great! You can not ask for a better location. It's right in the heart of the Theater District.I was very disappointed that there was not a coffee maker in the room. It was one thing that I really need when I get up. While the coffee in those services is not the best, it’s at least a hot cup of coffee to start your day. I opted for ordering room service at a total charge of $18.00 for a 20oz carafe of coffee.We also ran into trouble with the Housekeeping staff. The Algonquin site boasts the worlds class housekeeping. I would beg to differ. On returning to our room after a long day of shopping we came into the room to find a shopping bag filled with rubbish from other rooms. I quickly called down to the front desk and advised them of the issue. Twenty minutes later they sent a housekeeper who had very little knowledge of the English Language to remove bag from the room. I did receive a very timid &quot;I'm Sorry&quot; from the woman.The Next morning was much the same, I needed my coffee and was forced to either walk down the street to get a coffee or pay $18.00 for room service. It was far too easy to dial the phone! I have to admit the coffee from room service was VERY GOOD. We left the room around 10 A.M. and planned on spending the entire day out and about. We returned to the Hotel very late at about 11 P.M. for a quick freshen up and then out for a night out on the town. We walked in to the faint smell of spoiled milk. The cleaning staff never removed the tray that contained the coffee service from that morning.I went down stairs to speak to a manager. He stated that he would have the tray removed at once and when asked what would be done to resolve the issue, I was told that the Manager would discuss it with me the next morning. He totally passed the issue off to the staff the following morning. We went out and when we returned to our floor we were greeted by the coffee tray in front of the 'service closet' with the spoiled milk still there. I guess they were waiting for the Algonquin House Cat to come and have a sip of milk before going to bed!The next morning was check out! We were again greeted by a very cold staff. When I asked the women if they had been made aware of the issue with my room, the woman acknowledged that she was in fact made aware and that the Housekeeping Manager was aware of the problems. No apologies were given! When I advised her that I was leaving with a very 'bad taste in my mouth for the service&quot; She asked if I would like the housekeeping manager to call me to apologize. I realized that I needed to speak to the General Manager as I was becoming more frustrated as time went on. My request was met with the extremely negative body language. Upon her return, she stated that the manager would be right out to speak to me momentarily.Ten Minutes later the manager never showed up to speak with me. I was so angry that I just walked out. I did book the room through Priceline.com so I contacted them in hopes of getting some type of resolution to the issue.In summary... Poor Service from Staff makes this hotel one of the worst hotels I have stayed in.	
May 24 2008	Mixed feelings	I booked on Priceline at $275/ night for five nights. I had stayed at The Algonquin about ten years ago and vowed not to return for many reasons. When bidding I chose a wide range of both star levels and areas in NYC and in the back of my mind was &quot;what are the chances I'll end up at The Algonquin&quot;. As luck would have it.......The guest rooms are as small as I remembered but nicely remodeled and very clean. The mattress was comfortable and the linens were top notch. The bathroom was updated and efficient albeit still dated in some respects and the bathroom amenities are slight.The hotel certainly has it's charm, the renovation of all the common areas is well done; nice, inviting and it stayes true to the hotels great history and ambiance. My room on the seventh floor and was very quiet other than a few rude neighbors that like to slam doors, the hotel has no control over them.The very best asset of The Algonguin are the support staff, the doormen, the bellman, the housekeepers and the maintenance crew are polite, friendly and always with a smile. Like all the reviews reveal, the elevators ARE a nightmare so here is your opportunity to meet them all while you wait and wait to decide whether to just take the stairs or not.The worst asset hands down is the front desk staff. The check in reception was cold and not at all welcoming. I approached the desk a few other times during my five night stay and got the cold shoulder again and again. At check out she never once looked up. All I got was &quot;room number?..... and your paid up&quot; She turned around and never looked back. No thank you, hope you enjoyed your stay....no nothing.You can't beat the location and if your a single business traveler or tourist it's a good choice If you need help rely on the doorman on duty. They were all great. The standard rooms are too small for two people.	
May 18 2008 	Now this is one special hotel. one of the best	This is a really, really special hotel. Has a great atmosphere, the cat is hillarious and the whole ambience is classy New York of the old school. The location is also ideal. The walls are covered in cartoons from the New Yorker, what more could you want to cheer you up on the way down to breakfast? Some people here are complaing about the size of the rooms, but they are not THAT small and secondly, who cares when everything else in the hotel is so good, including the mid-town Manhattan location. Matilda the cat is probably the highlight, she is so regal looking and adds something very special to the atmosphere. The staff are extremely helpful and the breakfast is top notch. As the phrase goes ``whats not to like''¬	
May 9 2008 	An Expensive Shoe Box	My wife and I have just had a 4-day break at the Algonquin NYC. For the price (around $480/night) we expected much more. The foyer area is quite charming and our room was freshly renovated and painted. Yes there was a whiff of paint in the air, but not too bad. However, the room was very small by New York standards with a tiny bathroom. More like a Paris hotel where small is expected. There was no in-room safe, no bar service refrigerator and no tea/coffee making facilities. The room was very dark in the middle of the building with almost no daylight. It was difficult connecting to the Internet and nobody was of much assistance. This was a major problem for my wife, as she urgently needed to connect when we arrived for business reasons. It took hours to resolve and my wife eventually got connected around 2:00am.I called reception soon after arrival to see if there was a larger room and was informed, “This is a boutique hotel sir and you have one of the largest rooms.” I can’t imagine what a small room would be like. I asked again in the morning and received exactly the same response, which implied that this is a common request from guests. It is almost as if the word boutique gives them licence to charge more.My wife and I are frequent travellers to NYC and know what to expect in terms of value for money. We are happy to pay more when we want more, but resent paying more for less. We would definitely not recommend this hotel, especially if you are a business traveller. We have just returned for 2 days and are happily residing in a relatively new chain hotel close by where the rooms are twice the size and have all the facilities we have come to expect, at a far cheaper room rate.	
May 8 2008 	Awesome!	We loved the Algonquin! We were in room 914 and we did not hear any construction noise. The room is small but the furniture was well thought out and therefore, I never felt cramped or uncomfortable. Free internet was great! The bed was super comfortable and the linens were soft. The towels were thick and plush. The hotel is very luxurious. The only thing that makes the hotel seem like a 3 star hotel vs. a 4 star hotel is the toliet paper. It was one ply and not very soft! :) The location is perfect. We were able to walk everywhere and the subway station is very close. It was great having a 24 hour drug store nearby as well. The staff was friendly and promptly brought up extra towels when we requested them. The lobby/lounge/bar area was crowded every night, so it made the hotel feel fun and festive.	
May 7 2008 	I want to buy their bed!!	Once I laid on that bed, I never wanted to leave the room! I surprised my boyfriend with a New York weekend trip for our anniversary in March 2007 (last year) and booked The Algonquin for its location. I love how the lobby is dark and lounge-y, and of course loved Matilda the kitty as she lounged on the bellhop carts! Check-in was pleasant. I was at first put off that my room was right across from the elevator, but found that it didn't bother me too much. The room is small, but clean and nicely decorated, and my window view was of the building next door (but hey, it's NY, so what do you expect?). There was construction also when we were there, but it ended at 6pm on Friday, and as far as I know they didn't do any work on the weekend because we didn't hear it. But I'll tell you, that bed is awesome!! I wasn't expecting it to be sooo comfortable. In fact, it was so comfortable that my boyfriend and I skipped our anniversary dinner and ordered room service in bed! Truly fantastic. The food was good, but as expected it was very pricey. Our on-demand movies were not working well..they would start to play and then randomly shut off in the middle of the movie, but after complaining to the front desk they took the charges off my bill. The location was PHENOMENAL, and there were tons of places to shop, sightsee, and eat right around the hotel. The next time I go to NY, I will no doubt be staying at The Algonquin.	
Apr 18 2008 	Construction Warning But A Great Hotel	We just returned fron a two night stay at the Algonquin to celebrate my birthday. It's a lovely boutique hotel but with horrendous construction noise! Our first night was in Room 1205. It was a cute, sunny room with a big bow window and window seat. It wasn't a large room but we're used to that in the city. When shown to my room, I noticed the construction site down below but thought, hey, we'll only be in the room to sleep so it shouldn't be a problem. At 1 AM I cursed myself for that thought as the construction was just stopping for the night. It resumed again around 6 AM with jack hammering, loud &quot;backing up&quot; beeps, and an air horn going off every 15 -20 minutes. Needless to say we were exhausted and it was ruining my birthday. On the way past the front desk, we expressed our complaints and were cheerfully moved to another room, 507, in the inner court.. This was even an upgrade to a larger room with a king size bed at no extra charge. It was much quieter but there is no escaping the air horns from the construction site. We both slept soundly for our second night. Try to get a room numbered 9-12 on each floor (ex 509 for the fith floor) as these rooms are on the front side of the hotel furthest from the construction site in the back.We thought the hotel staff was great. They were all very friendly and greeted you as you went in and out of the hotel. We got a kick out of Matilda, the hotel cat , who lounged around like the Queen of Sheba.We ate our breakfast a few doors down at the Red Flame diner. We had very expensive drinks ($16 each) in the Blue Bar to celebrate the end of my birthday. The drinks were wonderful.We also went to see the musical Curtains starring David Hyde Pierce from the Frazier show. It was a fun, entertaining show! We can't understand why it wasn't packed. We purchased our tickets online thru www.tdf.org for $36 each. In spite of the construction, we would stay at the Algonquin again. We love the older style hotels in New York City as they all have such a unique character that you don't find in the chain hotels. The Algonquin is in an excellent location for exploring the city and you can't beat the friendliness of the staff.	
Apr 14 2008 	Construction Noise- Stay Away!!!	The good- The hotel is charming. It has so much personality and history, and it was great for that.The bad- CONSTRUCTION noise from H*ll! Expect to be woken up at 6 am ET (especially hard if you're from another time zone) to the sound of jackhammers. It sounds like they're literally drilling in your room! They even put earplugs on the nightstand- I tried them but they didn't help whatsoever. Upon check out, the front desk said there was research recently done that showed 1/2 of all NY hotels are going through similar construction. I was too sleep deprived to tell her that I stay in NY quite often for business, and this is the first time I've ever been kept awake at night (I'm not even a light sleeper!) I also told her, and I quote &quot;This is a great hotel, but I'm not even going to think about staying here until the construction is over.&quot; If you want to sleep the hours between 6 am and 5 pm (and on vacation you probably do, or at least come back to take a nap), STAY AWAY. This is the first review I've ever done on TripAdvisor- I usually lurk, but I had to speak up on this one.	
Apr 10 2008 	Keep Looking! There are way better hotels for the $ in NYC!!!	I get to stay in a lot of NY hotels every year, and this is either the smallest room or the biggest shoe box in NYC. (but all nyc hotel rooms are small. So, let's talk about the real issues...)The beds are not comfortable.The hotel staff did not replace bathroom supplies.The bar staff is rude.The showers do not produce hot water after midnight!!!!! (Seriously!)And there is construction outside that starts in the early morning, every morning!Keep Looking!!!!!!!	
Apr 1 2008 	Below average!	We got a great rate through Travelzoo ($189 including Continental Breakfast and a Deluxe Room).Well, maybe that was the problem.Our room - 512 - was everything but &quot;Deluxe&quot;... It was a little bit bigger than a Queen Size bed. Yes, there was a flat screen TV, because a regular TV wouldn't fit in the room, unless you removed the bed. And I'm not joking!The &quot;gym&quot; was small and very basic.Wi-fi doesn't work in all the rooms, &quot;but works really well in the lobby&quot; - Great!And the staff... ah, the staff... it was the most unhappy staff I ever encounter in my life. From the unfriendliness of the front desk, to the bad mood in the restaurant Round Table - long wait for the food, the eggs Benedict were as cold as the waiter's behavior, when he saw that we had a coupon for breakfast - anyway, after two days of an early nightmare at the Round Table, we decided to go somewhere else for breakfast. Room service forgot to clean our room on the first day. So, we complain around 3PM and when we came back after the theater that night, the room wasn't done yet. The maid came around 11PM and blamed us for the mistake. Did you say 4 stars hotel? What?!They say the Algonquin is a boutique hotel... maybe so, but it was a Grand hotel in the 30's and 40's and today it tries to survive from past memories, location, and a cat in the old lobby - it's like the Queen Mary in Long Beach... Just pass the memory lane and go for a decent hotel that has style and substance not faded memories...	
Mar 30 2008	Gread Olde Worlde Hotel	A really lovely hotel, with a olde worlde foyer which looks like something from an Agatha Christie novel. Friendly staff, good sized rooms. The most comfortable beds ever. We got a great deal through Travelzoo which included continental breakfast and we were delighted. The room was quite large, bright and airy with a flatscreen tv on the wall. Just down the road was a great local bar called Jimmy's, and an excellent Mexican restaurant. Just a block back from Times Square, so a great location, without being noisy.	
Mar 28 2008 	Great Hotel For Family Visit	Just returned from a mini-trip to NYC with our two teens. Being our first trip to NYC, we wanted a location convenient to see as much of the city as possible. Could not have asked for a better location. Within easy walking distance of Times Square, Rockefeller Center, Broadway and Central Park. Very easy subway access to Lower East Side, Chinatown and Little Italy.We had a suite that was clean, comfy, very nicely appointed and recently renovated. The service and friendliness of the staff really sets this hotel apart. On our next trip, there will be no question, we'll stay at the Algonquin. Also highly recommend the Red Flame Diner next door.	
Mar 28 2008 	The Algonquin was Great!	We stayed at the Algonquin from March 16th - 22nd, 2008. We booked through Expedia and got a great rate (under $300.00 a night), so we weren't expecting a premier suite by any means.We thoroughly enjoyed our stay. We have stayed at two other hotels on that same block and the Algonquin certainly measured up. We found the staff to be very friendly and helpful, from the front desk to the doormen. Matilda the resident feline is a very nice touch!Our room was rather small, but in New York that is to be expected. It was still bigger than many hotel rooms I've stayed in when in Europe, and even in New York.The bed was a King and it was exceptionally comfortable, the room was very clean and tidy. The bathroom was also very functional, no bathtub but the shower was fine, in size and water pressure. Housekeeping was very thorough and accommodating, I like to lounge around the room when on vacation and they were always very good about not disturbing me - magically the room was always cleaned when I returned, no matter how late I left. It's true the elevators are small (and slow). We were on the 10th floor so the stairs were not really an option. Having travelled throughout Europe where small elevators are the norm, it didn't bother us at all. The location is superb, close to everything, and there's a most excellent diner right next door, the Red Flame - didn't even need to put on a coat to run over there. Coffee and breakfast for 10 bucks! There was some construction noise the first two mornings, but hey, it's New York - you're in the wrong place if you're looking for serenity! The noise is certainly not the hotel's fault, and it stopped after those first two days. I certainly don't hold the Algonquin responsible for New York's construction industry!I think the reviews here that complain about the style of the hotel fail to keep in mind the very essence of the Algonquin. It is a landmark and a historical building, the oldest hotel in NYC. It's not meant to be a trendy spot - it is a classic in the European tradition. I find it very telling that the negative reviews are mostly from North Americans, while visitors from Europe love it. We loved it, and will definitely stay there again.	
Mar 6 2008	a warm welcome at the algonquin	I had a faboulous time in NYC when I stayed at the Algonquin - infact I ended up getting engaged to my long standing girlfriend in the room there !It is a charming 1920s style hotel. I found the staff extremely helpful and the location fantastic.I found the foyer bar a relaxing place to chill out after a day's sightseeing / shopping and also enjoyed the hotel's evening thanksgiving meal. I am sure there are bigger / better / more fashionable places to stay in New York, but the warmth, charm and ambience of the Algonquin made it a fantastic place to stay. Happy times.	
Mar 3 2008	What a downer	We were very excited to stay in a &quot;Premier Suite&quot; (total bill approx $650 for one night) at the Algonquin. Unfortunately, our woes began immediately. We arrived shortly after 3 p.m. I parked the car and my wife went inside to check in. At the desk, a female guest cut in front of my wife. This guest complained loudly about the overpowering smell of paint in her suite. The desk moved her to a new suite. My wife then stepped up to check in to our suite. She was told that our suite was not ready and there would be a delay. We then waited until about 4:30, cooling our heels in the lobby, with our 2 kids who were itching to get over to Times Square. I went to the desk several times. On the 2d visit I was given 2 free breakfast passes, although there were four of us. Finally, we were brought upstairs to a suite on the 10th floor - - - which was gorgeous but reeked of fresh paint and did not include the pull out couch which was promised and necessary for our kids. No big mystery how and why we ended up in the &quot;paint suite&quot;. I advised the desk the paint suite was unacceptable because, aside from the obvious, our kids would have no place to sleep. After a short wait we then had to move our luggage to a new suite - - an old, dark, non-updated, back of the building space with dirty windows on the 5th floor - - and right on top of an active construction site which was so loud we could not hear each other speak inside the room. The coup de grace was yet to come. Thinking it was a closet, my wife opened our half of the pass-through door into the next room. Our neighbor then opened her side door and screamed at my wife &quot;this is another room&quot; and slammed her door. My wife then had some words through the walls. Things then got surreal, when the phone rang. The front desk had called to warn us that our neighbor had complained. My wife then began to cry and told the front desk the full story. The front desk could not have cared less, and advised my wife that the complainant had been moved to another room. The attitude was &quot;that's the way it is&quot;. My wife was then inconsolable. We are not complainers but we have never had such a negative experience at any other hotel. The unpleasant lady next door was certainly not the hotel's fault, but the hotel's insensitivity to my wife's side of it, as well as to her recounting of the other problems we had experienced, certainly was. Very, very discouraging and upsetting.	
