	Fantastic hotel in a perfect location	We stayed here for 4 nights over thanksgiving. The hotel is absolutely fantastic- rooms were super clean and spacious and everything was of high quality- the bed was really comfortable and the bedding was nice and soft. Bathroom was also really nice- it was big and the complimentary toiletries were great- they were neutrogena and got replaced every day. The staff were sensational- they knew the answer to any questions we had on how to get places, where the best deals for shopping were, where to stand for the parade etc. They even had flyers for 3 different price options on where to go for a traditional thanksgiving dinner. The only bugbear was that we had someone knocking on our door and attempt to come into our room at 9am on the day we were leaving to ask when we were checking out- this just seems ridiculous and hopefully they will change this for future guests. Will stay here again though without hesitation we had a fantastic time.	
Jul 21 2009	Very good value ...	Booked this hotel based on reviews - was not disappointed. Original booking price (on Hilton website) $275 for one night/twin room with breakfast - by careful weekly checking managed to get this down to $190 including breakfast, two free drinks at the bar and a $5 voucher to spend in the &quot;pantry&quot;. Exceptional value. Rooms modern and fairly spacious with quality linens and towels. Free wi-fi in room. W 28th St is mainly filled with flower shops and the like but an ok area. Despite my Mother being in her late 70's it was not too far to walk to Times Square (in the rain!!!!). Staff at the hotel couldn't have been more helpful and the breakfast was excellent - freshly cooked to order and with good selection. Highly recommended.	
Jul 20 2009 	Great place to stay at a great price	Don't overlook this place. We recently pre-paid for $140/night which is a great deal for NY. They have other deals for as low as $149/night that I saw. Not bad for a hotel that would nornally run $300+/night. Great location- less than 1 block to subway, 3 blocks to Penn station, 5 blocks to Empire State Building, 6 Blocks to Times Sq. Room was immaculate, with a great bed, bedding and pillows. Staff was nice, they have fresh cookies at certain times of the day. Very quiet. The room is cozy by US standards, but average by NY city standards.	
Jul 20 2009 	Clean and Close to everything!	This is a very nice hotel for people wanting to see the sights of NYC. We walkied to just about all the major attactions like Times Square, Macy's and even to Battery Park. although that was several miles. We would definately stay here again.	
Jul 18 2009 	Boutique style hotel - great location for international travellers	We arrived after the 4th July celebrations by Amtrak from Philadelphia. Short 3 block walk from Penn Station. Great location and very fresh. The staff are excellent - my husband had a whole range of golf purchases arriving by ebay. All purchases were received - some prior to our arrival and stored safely. The rooms whilst small are clean, new and modern. Bathrooms are very nice. Will definitely stay again, Subway at end of block. 5 blocks from Macy's. Excellent value for money. Breakfast package was a lovely surprise - very generous. Free wifi.	
Jul 17 2009 	A bit disorganised but otherwise just fine	We arrived late (or early in the AM) after a missed connection at JFK; having booked this hotel through the HH Honors Desk (actually thinking it was the one in TriBeCa).It took a while for check-in due to a discrepancy in the rate we were quoted versus the one they had on the card; then due to the computer malfunction which led to them giving us a key to an occupied room (I'm sure the people in that room were as surprised as we were when we opened their door at 12:00 AM).Seems like it would be an excellent hotel for the price if you were a solo business traveler, or a couple. The already-small room became impassible once the roll-a-way was brought in to accommodate our son (after the occupied-room incident, all that was left was a King room).The TV is on a standard-issue cable box with high def channels rather than &quot;hotel cable&quot; if such things are important to you. We slept too late for the breakfast, but nice to know if was offered.The bathroom was clean and well-stocked.	
Jul 15 2009 	Good standard priced hotel in convenient location	Stayed early june 2009. Payed roughly £150 per night, which is quite reasonable for a 4 star in new york. Good location. Short tube ride or 15 minute walk to Times Square.Hotel is located in Flower district, rather than Chelsea proper and has tube stop about 200 yards away.Good quality hotel without having anything flash. Rooms were pretty small but were clean, tidy and had everything you needed. The hotel seems a bit cramped all over, starting with the reception but it doesn't caused an issue and I guess it is New York!!Service was also good.If its good quality without anything plush and at a reasonable price that you're looking for then this is a good option	
Jul 14 2009 	Positive Reviews Substantiated	Spent four nights at the HGI/Chelsea. The reviews I had prior to booking were on the mark. Spotless rooms, competent staff and great location. &quot;A well-oiled machine, if you will.&quot; One thing that really stood out was how quite the hotel was. I always take ear plugs with me because I have so much trouble sleeping in hotels. Didn't really need them here. I reserved a king with a city view. Space was tight but very efficiently arranged. I really didn't spend a lot of time in the room except to sleep, have morning coffee and read the paper before heading out to explore the city.	
Jul 11 2009 	Fantastic Hotel with Friendly Staff	My partner and I stayed at this hotel during NY Pride weekend and were pleasantly surprised by how great this hotel was. The rates were very reasonable, rooms exceptionally clean with very cozy beds, and the staff very courteous and professional. Without a doubt, this is where we will always stay during our future trips to Chelsea, NY.	
Jul 7 2009 	brilliant hotel	i stayed with my daughters and found the service fantastic. staff where lovey and very good. very clean and the rooms where spotless.....bed sheets completly changed every day!!!	
Jun 28 2009 	nice	stayed for 2 nights, friendly staff ,room was a bit small for 2 double bed but nice furniture and bed . in the morning can be a bit noisy from the traffic but overall was great.	
Jun 28 2009 	Best in the area at that price point	I have spent the past five weeks staying at different hotels in the Penn Station/Madison Square Garden area. I'm travelling for business and wanted to stay in Manhattan but within a short walk to Penn Station so I could catch the LIRR out to Long Island. The Hilton Garden Inn Chelsea on 28th ranks first out of the five hotels.1) Hilton Garden Inn (121 W 28th St)2) Wyndham Garden (341 W 36th)3) Hilton Garden Inn (63 W 35th St)4) Hampton Inn (116 W 31st St)5) New Yorker (481 8th)This location had more space than the others. It had a fridge, microwave and an HDTV (as did the other HGI location). One option that really stood out was the Time Warner HD Cable. There were literally hundreds of channels and dozens of HBO and Showtime channels.While there may be higher end hotels in NY, you'll really have to search to find one in this price range. I'll be keeping this hotel on the top of my list for my next visit.	
Jun 26 2009 	SERVICE STINKS TV DOESN'T WORK and THEY DON'T CARE	Do not stay here. The service stinks and they don't care.We were there for one night- the tv did not work and they could not have cared less.The front desk was rude to my wife.This place is terrible = do not stay here.	
Jun 23 2009 	Enjoy. Definitely Better Than the Competition!	Stayed October 2008. Happy experience. I stayed by chance--as I was sent here for one night after the hotel at which I had reserved (Four Points by Sheraton Manhattan Chelsea) was overbooked on the night I arrived. This gave me a chance to compare the hotels, and I prefer the Hilton hands-down.Don't give the Sheraton your money. Everything about the Hilton was better. The room was cleaner, newer, better appointed. The hotel lobby and public areas were more polished. The hotel staff were more professional, from their manner at the reception desk to the way they were dressed.Everything about my one night here was superior to the following two nights I spent at the Sheraton. I believe room rates are similar. Do yourself a favor and stay here if you're looking for an affordable and slightly luxurious option in/near Chelsea.	
Jun 23 2009 	Great Location!!! Clean 	As stated before, if I wanted to fault this hotel for anything, I would just be picking at the details. The location is great. Very central to many major sites. Also 2 subway stops very close by. Many options for meals &amp; drinks on 7th Ave or about 6-10 blocks south on 6th Ave. Hotel was very clean, staff very nice and well informed &amp; helpful. Rooms are a bit small but the beds are great as are the free wi-fi and flat screen t.v.'s. Turn down service was awesome &amp; very honest. Left out money &amp;/or electronics &amp; nothing was stolen. The breakfast was o.k., but for the $14.95 you should venture out into the city for NYC. The business center is nice for quick e-mail updates if you forget the laptop. The small gym has 2 treadmills &amp; 2 elipse machines and small collection of free weights (COMPLIMENTARY WATER &amp; TOWELS). Again, location, location, location. You are just a few blocks from the Empire State Building, from which you can get tour buses to all the major sights/attractions. A nice bonus is the beautiful sight of flowers and greenery right outside the hotel! Smells wonderful, which can be helpful in masking the many other smells of bustling NYC.Overall the hotel was very nice. I would definitely stay again if I had business in MidTown NYC.	
Jun 23 2009 	Great value for money	My husband and I stayed at this hotel for a week in May and were really hppy about our choice. First of all, the rooms were clean and comfortable, especially the bed. Then, all the people there were very friendly and helpful. We booked the “Romance package”, which included a magnificent breakfast and the possibility of an early check-in provided the room was available. We arrived at 9 in the morning and could go straight to our room! Also, the location is very convenient. It is a good starting point for whichever part of town you want to visit and there is a subway stop a few metres away. There is also a free wireless internet connection in the rooms. We recommend it.	
Jun 22 2009 	Excellent stay for the whole family	We stayed here for 10 nights with family of four with a 10-year old. The location is pretty central with subway station within 2 minutes, good restaurants nearby. Restaturant had a very nice Bar and amazing, almost all-including brekfest with very good service. Rooms were very big, cozy, clean and huge TV-channel selection. Hotel also had very very good gym and business room with printing abilities. The ride to the airport arranged by hotel was very oo value for money also!	
Jun 20 2009 	Great hotel in so-so location	Set in the heart of the Flower District, this hotel is a gem. The service was great and the room was large and clean. A few drawbacks: the hotel does not have a full-service restaurant. They do a great breakfast buffet but for dinners, they offer take out service, which is fine. Also, right around the hotel, there are not that many restaurant options. It is located between 6th and 7th, but closer to 6th. You have to walk to 7th for anything even close to meal. In this area, 6th doesn’t seem to have any restaurants. 7th is not far, but it is a little inconvenient if you are tired from sightseeing or traveling.	
Jun 18 2009 	Great Place to Stay in NY	Whilst not in the most &quot;fashionable&quot; part of town, the hotel is well located to get all around the city (only a few blocks from the Empire State). It is also very close to subway stations. The immediate area around the hotel seemed safe to walk around and you already feel is likely to quickly grow into a more bustling tourist area, with new hotels already under construction. The lobby area is fairly uninspiring, but is comfortable. It also has the benefit of a small business centre, where you have free access to computers, internet, printers etc. The rooms are a little small, but very clean and comfortable (especially the bed!). Complete with air conditioning, flat screen TV, fridge, hairdryer, wi-fi etc..everything you need after a hard day in the city.The hotel has a small bar area and breakfast/ dining area. The buffet breakfast is excellent (cereals, fruit, toast, pastries, pancakes and a variety of hot food (incl. eggs &amp; omeletes cooked to order).The staff were exceptional. Nothing was too much trouble. We particularly found the Reception, bar and catering/ waiting staff were brilliant (and very knowledgeable)All in all, Highly Recommended.	
Jun 16 2009 	Couldn't Fault This Hotel!	To be perfectly honest, if i was to find something wrong with this hotel, i'd be being picky!The rooms are amazing, really nice, a little small for 4 girls but who could complain at that! The location is good, your not too far from a lot of the attractions. If you look it up on google street view or whatever, dont let the view of the street put you off!The staff were fabulous, happy to do anything you ask - luggage, take pictures whatever you wanted. They were really chatty too.If your lucky enough, you could even get a view of the Empire State Building from the rooms at the back of the building - unfortunately, we weren't one of them. No traffic noise either (we were on the 14th floor however!), i would definately stay here again.Free internet, only downside is there is no complimentary breakfast, but as I say i'm just being picky!	
Jun 14 2009 	Reasonable hotel for a short stay.	We stayed here one night, getting a good deal on Priceline. The hotel is on 28th St near 6th Ave, on a block which has much scaffolding and unattractive store fronts.The hotel itself had a small nice lobby. The room we had had about 200 sq ft, and a small bathroom with the usual small bottles and good towels. It was clean, and the furniture and rugs were presentable. The beds had the new soft fluffy tops. The staff was pleasant and accommodating, giving us the 2 double beds we had requested. The extra blankets we called down for were brought up in a short time. We did not eat there.While the hotel was in an unattractive area and the rooms were on the small side, it was reasonable for a short stay at a good rate.	
Jun 9 2009 	Great hotel that ticks all the boxes	If you are looking for somewhere that is clean, modern, spacious (well, spacious for New York!), has polite staff and easy access to the local sites and nightlife then I would highly recommend the Hilton Garden Inn.It was late at night before we checked in but everything was sorted very quickly and efficiently. We had a room on the 21st floor that was more than large enough for us with modern, clean facilities, a large flat screen TV (with more channels than you could ever need) and free wireless/wired internet that was fast enough for checking email and the news. One small thing to note is that I don’t think the booking option of an Empire State building view is valid any more as during our stay a new building was in the process of being completed that blocked our view and I think would for just about all rooms.If you plan is to spend as much time exploring the city as possible, and need somewhere comfortable, modern and in a good location to stay I would say the Hilton garden Inn ticks all the boxes.	
Jun 7 2009 	Great hotel good location decent sized rooms great staff typical Hilton	I found choosing a hotel bewildering for my first trip to NYC and did a lot of research. I'm satisfied I chose well with HGI Chelsea.Rooms were a good size, with a huge very comfortable bed, had all the facilities you wcould want (hairdryer, excellent range of toiletries, a lovely fresh coffee machine and a microwave!). The hotel staff were very friendly and approachable.The location is excellent - Chelsea district was very nice, and only a 10 minute ish walk up 6th avenue to the hustle of Times Square. The hotel has a little shop which sells food etc, but there are plenty of shop sand supermarkets nearby. A McDonalds at the end of the street. Loads of cafes, delis etc. I saw Harrison Ford just down the road! :-)I'd stay at this hotel again and reccommend it to anyone.	
Jun 5 2009 	Nice place - newly opened so clean 	Stayed here for 5 nights in late May / early June, a 40 yr old Brit travelling for work. Chose the location to be handy for work (lower Manhattan during the day) and for socialising &amp; sightseeing in midtown and the neighbourhoods.It was fine and met all of my expectations - the staff were friendly and very welcoming; the room was clean and comfy; the bed was very comfortable and the air was breathable; and the location was just what I needed.It is a slightly out of the way corner and if you're new to NY you might be a bit spooked by the environment in the nearby block or two, since there are wholesale flower warehouses, downmarket shops and at the moment there is lots of construction going on. In fact, it's not at all a seedy or 'low rent' neighbourhood and when you walk half a block over to 6th or 7th avenue you feel part of the city again - don't be put off!I didn't try any of the food except for breakfast on the first day, which was pretty much as you'd expect, and politely served. The 'pantry' was a good idea - if you're a Brit shaking off the time difference you can stock up on snack food to keep you going when you wake up at 4am!Used it as a base for travelling to Central Park, Greenwich Village, Soho, Downtown, Long Island (via Penn station just a few min walk away) - very practical and fun location. The complimentary wifi worked fine for me but not for my colleague.	
May 31 2009 	Perfectly fine	The hotel was a little better than we expected to tell you the truth. We expected &quot;B&quot; class but experienced &quot;A&quot; class. Front desk went above and beyond to make us feel welcome, comfortable, and offered &quot;extras&quot; regarding making our plans around the town a better experience. Bell staff was attentive and prompt. The room and bathroom was super clean!! The bed and especially the pillows were fantastic. We have stayed in all the best and most expensive hotels in the city. The demeanor of the staff can tell you a lot about a place of business. The staff here was very friendly and positive. This stay in the city for us required very little time spent in the hotel. The time we were at the Hilton Garden was perfectly fine and most satisfying - enough to make me want to write this review - which is the first one I've written.	
May 30 2009 	Great base for shopping trip	We stayed here for 3 nights and were very impressed. The rooms whilst not massive are a decent size for Manhattan. The hotel is only a couple of years old and has been well maintained and I did not notice anything untidy or in even slight disrepair during our stay. The bed was extremely comfortable, the furnishings stylish and the room well equiped. The facilities in the rooms include a flat screen TV, blackout blinds, an iron and board, a hairdryer, phone, bath and shower and air-conditioning. This hotel only has a 3 star rating, but I would say the rooms are more like you would find in a good 4 star. There is a bar, a restaurant (serving breakfast only), a fitness centre, a business centre with two PCs and free internet access, ice machines, free wifi, room service and a 24 hour reception. The staff were very pleasant and helpful although we didn't have a need for their assisstance other than to order us a taxi to the airport. There is a luggage storage area, within which the concierge will arrange to store your bags on your departure day. The hotel is centrally located and a great base if you plan to walk around Manhattan, although there are also three subway stations within less than a five minute walk, which are served the1,2,3,4,5,6, N, R, Q and W lines. The Empire State Building, Madison Square Gardens, Penn Station, Macys, Chelsea Park, Madison Sqaure Park, the Flatiron Building and Fith Avenue are all also within a less than five minue walk of the hotel. The street is not the prettiest although I consider this is to be expected of most locations in midtown if you are not staying on the Avenues. The flower market operated on all but one of the days of our stay and improved the appearance of our surroundings greatly. I would highly recommend this hotel to anyone visiting New York and it was perfect for our trip.	
May 19 2009 	I would definitely go back	I read the review from TA and it convinced me to go ahead with my reservation. We were extremely satisfied with the staff every time we had a question or a request. The rooms were very comfortable and the food at the restaurant for breakfast was good. At night it looks a little different outside because all of the vendors remove their products back into the stores. It was wonderful to walk along the streets and see all of the flowers &amp; plants available and customers coming to purchase their spring foliage.The subway was just at the corner and a very close walk. We walked from Times Square back to the hotel well after dark &amp; felt fairly safe.	
May 16 2009 	Great choice	This hotel is great! It's brand new, the beds are really comfortable, the room isn't small and the staff is really helpful (specially IRENE, John and Malcolm).The location is very good, near Metro Station, Madison Square Garden and Macy's. The street as people said is quite deserted at night so it doesn't seem so friendly but we had no problems with it, instead it was nice 'cause we could sleep without any noise from the street.	
May 15 2009 	Fantastic Location…fantastic hotel…enough said!	The title says it all really. Firstly the location was perfect. It was our first time to New York so didn’t know what to expect but I have to say I’m so glad we booked our 6 night stay here.Situated in the Flower District your about 10 mins walk to Times Square and a 5 min walk to Empire State building. 28th Street subway was just on the corner, which was such a bonus. Every morning your presented with an explosion of colour and wonderful smells as the whole street is covered in flowers through to trees. Was a perfect start to every day despite the rain that we had : (When we first arrived there was road works directly outside the hotel, which didn’t feel me with confidence, and as we entered the lobby area there was a flood (due to the roadwork’s outside). I was thinking “what have we booked here”. But I put that to the back of my mind hoping that this wasn’t the start of the holiday from hell.How I was wrong to even think that. Check in was easy, staff very helpful and room was ready straight away (we had arrived early). We only had three bags between us both so didn’t bother using the bellman. Had booked a King Evolution room with City view and were directed to the 23rd floor (of 24) so we were high up which I had requested when booking. Were in room 2303.What a lovely room. Nice and spacious and the view from the window was excellent (Check pics). We would recommend requesting a high level floor to get the views. Room came complete with Fridge, Microwave, Flat screen TV with sooooo many cable channels, iron, air conditioning, coffee making facilities and alarm clock radio. Bathroom was very clean and again spacious complete with bath (and shower) and hair dryer. Bed was very comfortable.Booked the room with breakfast was such a bonus considering the cost of food in New York (exchange rate was the killer). It was also very convenient as it saved us having to worry about finding somewhere to eat every morning. We would recommend highly to book with breakfast. The breakfast itself was excellent. It was buffet style so you could have whatever you wanted, and how ever much you wanted too. It included Breads, Cereals, Fruit, Cakes, yoghurts and then your choice of hot foods such as bacon, egg, sausage, French toast, pancakes and you could also order your eggs how ever you wished including the choice of omelets how ever you wanted them. Not forgetting choice of juices, tea and coffee. The staff were soooo helpful.Overall, I would say a fantastic hotel. Hotel was in a perfect location (away from the hussle and bussle), very clean and spacious room and the staff were just sooo helpful.A couple of minor things. The lifts are quite slow and as mentioned in previous posts there are only two and they are used by guests and staff (maids/maintenance/bellman). And lastly on a last day the bellman was (for the first time of our stay) collecting our bags to store while we waited for transport to the Airport as our flight was in the evening. He asked if we were British so I replied yes. His response was: “You British don’t tip very well” which I found rude if I’m honest considering I’d tipped everyone from maids, waitresses and the reception staff everyday, all holiday very well.But don’t let these minor things put you off. You will love this hotel. I guarantee it. Any questions please ask.	
May 11 2009 	perfect location	The best thing about this hotel was its location, especially if you've been to New York and usually stay closer to the park where all the tourists lurk - it's a slightly different environment down here. At night the streets are sort of dingy and look abandoned (it's safe though), but in the morning the doorways explode with color - it's the flower district, and a walk home through the fragrant spring bulbs was a daily joy. There are three metro stations on 28th, one right there on the corner of 7th, so the whole city was easily accessible. Plenty of great places to eat nearby, and a pharmacy there on the corner. About the hotel: rooms on the street get noisy sometimes. Not incredibly spacious, but you're not in the room that much on vacation anyway. Beds are very comfortable. Bathroom doors have tension hinges so they close automatically, which annoys me but may not be a problem for others. Internet was problematic. Very friendly staff. The only thing we found intolerable were the elevators. I think both elevators were working at the same time maybe once during our entire week-long stay, and there were no service elevators for the housekeeping staff. This becomes difficult with 24 floors of guests in a full hotel. It was not unusual to have to wait 20 minutes for an elevator which became really frustrating. But if they've fixed that little problem I'd say this place is a great choice.	
May 6 2009 	Great location and great accomodations!	I stayed at this hotel and it was very nice! The hotel room is exactly what you need for comfort and awesome room ammenities!! very very comfy and great atmosphere!!!!! KUDOS!!!	
Apr 27 2009 	Comfy hotel in great location	We have spent one week at this hotel and have felt at home on every ocassion. The room was very nicely decorated and felt very comfortable, in particular the huge bed with a perfect mattress. I enjoyed the coffee-making facilities, it saved me money, it was good to return from a whole day of strolling up and down Manhattan and having a cup of coffee in your quiet room. The American breakfast was very tasty: there were all sorts of sweet stuff they like to eat for breakfast down there; huge waffles and pancakes, yummy muffins and bagels, etc. They would also cook any variety of eggs at your request. Everything was well done, I would just ask for some cheese for us Europeans who are used to bread and cheese for breakfast.The service was friendly and uncomplicated. I would make just one complaint: the elevators were not in working order. Every single morning, one of the two broke down. Imagine a 24-storey hotel in Manhattan with a single working lift: grumpy tourists were forced to queue up for up to 20 minutes wasting precious time of their vacation. They need more lifts (or fully operative ones, at least). About the surroundings: very convenient location with 2 subway stations nearby. The street is lined with flower stores, makes a nice welcoming atmosphere in the morning.	
Apr 23 2009 	Great Hotel for NYC Neighbourhoods	We stayed at the Hilton Garden Inn for 4 nights in April 09. Location was very good if you have been to New York before and want to visit the neighbourhoods (Chelsea/ Soho/ Village, etc) rather than being close to all the main sites (Times Square, etc). Saying that, it's close to Macy's and midtown is walkable.The subway station is at the end of the street so very convenient - there are plenty of cabs on 6th and 7th Ave.The lobby is small &amp; not particularly impressive and there is no restaurant on site (breakfast only) but the rooms are large and comfortable and the staff are really helpful and friendly. There is cable tv in all rooms with a huge selection of channels. The room also has a fridge and microwave - good if you like to do your own breakfast and lunch. There is also a snack station in the lobby. There is free wireless access throughout and you can use the pc's in the business centre in the lobby.2 very small gripes - our room was cleaned at about 4PM each day, which was not really convenient for us, as we were back from a day out and resting before we went out for the evening - I know someone has to be last, but they could change it a bit so it wasn't us every day! Also, there is no service lift which means that the cleaners and maintenance people have to use the 2 passenger lifts - they are therefore really busy during the day and you often had to wait several minutes - bring on the 18th floor, waiting was not really an option.There was some construction work but we didn't hear it at all, and the area was generally quiet so we were able to have the window open all night.That said, I would definitely stay here again - I think it was excellent value and very comfortable.	
Apr 18 2009 	"Loverly" as in My Fair Lady	We just arrived back home in the Caribbean after a week's stay in New York City.Two women friends, in their fifties, who have lived the rat race but got out 15 years ago.Somewhat uncertain how we would experience A Big City after so many years, we arrived - and loved every minute of it. Upon check-in at the hotel we asked to be moved to a lower floor, which was arranged in a minute. The rooms are cozy, clean and have everything you need and Wonderful Beds (we had 2 huge ones). You can get online in the business center and the staff has a list of good suggestions of where to eat. The hotel seems small although it has 24 floors with 8 rooms - but you dont notice, the staff seems to know everyone. The street is vey nice with lots of little flowershops, you are right around MACY's and in walking distance of Times Square (we like walking). Construction is going on accross from the hotel, but we hardly noticed. After a couple of days we found a wine and licqeur shop with a huge selection just around the corner on 27th street (there is a fridge in the room). We would definitely stay here again and perhaps might soon. Do visit the Brooklyn Museum and Botanical Garden, wonderful!!!	
Apr 9 2009 	Second time here...and still nothing to put a finger on.	This was my second stay at Hilton Garden Inn Chelsea and everything was in perfect order. Staff are very helpful og have a sense of humor. I can´t recomend this hotel enough. If you don´t enjoy you stay at Hilton Garden Inn...then maybe it´s you who has a problem :-)P.s. Do remember to tip the maids, they are worth every penny!!!	
Apr 6 2009 	Awesome Hotel!!! Highly Recommended!	My husband and i came to New York for our honeymoon. We stayed 8 nights, and LOVED this hotel! The staff were friendly and accomodating. The hotel restaraunt served a wonderful breakfast. We were thrilled with every aspect of our stay! We would recommend this hotel to friends and family or anyone else else who wants a great place to stay for a reasonable price! FANTASTIC!!!	
Mar 23 2009 	Stay there!	Absolutely wonderful experience! The staff were oh so friendly and helpful. Hint: the hotel does a magnificent buffet breakast, but not dinner. And if u have had a busy day, u do not want to be bothered walking around the city. So, ask the lovely lady behind the bar to recommend local takeaways - they are delivered to the hotel, and you can eat in the bar area so it is still sociable. The Chinese takeaway I had whilst there was the best I have ever eaten, and was big enough for two, and cost something like $10 - fantastic. Had one of their special beds where u adjust the softness to your preference - amazing comfort! And great location - my bedroom looked onto the Empire State Building (magnificent view at night).	
Mar 22 2009 	nice hotel in the real New York City	new small boutique style hotel with about 8 rooms per floor. The mattress was firm and comfy, took a shower at 10 am on sunday and had plenty of hot water and good water pressure-strong enough to wash the conditioner out of my hair pretty quickly. But oh the walls are thin and the windows are not sound proof. Lots of construction out there so if quiet during the day is a top priority, pass on this. Neighborhood is definitely old NYC ethnic and kind of dirty. in the flower district though so you walk outside and there's all these great flower stores with their stuff on the sidewalk so very green and smells good. A great Ballys gym is 7 blocks away and good retail and fast food is near.	
Mar 16 2009 	Great Staff Location and prices	Definately the best hotel we stayed at during our NYC trip. We stayed for little over a week, but we would all have liked to have our entire stay here, Jessica at the bar was just hilarious, making drinks and starting up talks amongst the guest. John the guy at the frontdesk couldn't have been more helpfull in any way. I will make the Hilton Garden Inn Chelsea my hotell during my whole stay next time we go too NYC.Christoffer from Norway	
Mar 5 2009	Wonderful staff who went that extra mile to make our stay perfect!!	My Fiance and our family came over from Scotland to get married in NYC and we stayed at the Chelsea Garden Inn. John on Reception could not have been more accomodating or kind to us ensuring that even when he was on 'off days' that our big day went without a hitch. Jessica in the Bar was also a star, who looked after us and gave us all her local knowledge and advice. Between the two of them we had a lovely big table organised for our wedding breakfast all courtesy of the Hilton Garden Inn.This hotel is perfectly located, a stones throw from Madison Square Gdns, Empire State, Times Square and the Subway down to Battery Park/Ground Zero, the rooms are big by Manhattan standards and all the staff go that extra mile to make your stay as special and memorable as they can. Thank you to them all for making our New York Wedding trip all that we could have asked for....and much more !!!!	
Mar 4 2009 	New Hilton Hotel	I prefer the Hampton Inn on 23rd, but I could not procure a room. I enjoyed the stay and liked the room, I arrived at 10 am and had my bags checked after 15 minutes. The delay was caused by a woman that had used her debit card to secure a room, Hilton placed a hold on the checking account in an unspecified amount, the same has happened to me in the past. Always use a credit card when placing a reservation. The area is not lively, short walk to the subway, MSG etc.. The room was small, well furnished, view of Empire State Building, not much of a view with only 28 floors. I was placed on the 28th, I had some special needs and they worked to solve the reservation I had placed. I will most likely choose another Hilton location when reserving in NYC again. Great for a MSG event.	
Mar 1 2009 	Great Hotel	First class hotel with nice clean rooms. View not too good but we weren't there to look out the window, Found the location a bit dismal but other than that it was first class.The hotel staff from the bar staff to the manager were wonderful and most helpful, in particular Jessica the barmaid could not do enough for us - service with a smile.	
Feb 25 2009 	absolute class from start too finish	arrived 2 hours before check in time and they allowed us straight in a room not a great view out of window as we was only on the 8th floor.i think you need to be above the 17th floor talking about floors i think there is only 6 rooms per floor so noise was a minimum at all times.got to say the bed was one of the most comfortable i have ever slept in.rooms are a reasonable size for nyc standards.did not eat in the restaurant so cannot comment bar is a bit expensive and not got a massive range of choice the shop is very small and very expensive but with having a microwave and fridge in the room its easy to buy from out of the hotel and take it back to the room. staff are helpful when i went too use the buisness centre there was some teenagers just using it for facebook so told the front desk they politely asked them to leave as it was a buisness centre.be aware if you are travelling in a group with a fair amount of luggage they can arrange transfers too airport but the firm they use are really expensive we had asm limousine too the hotel they have a website and they were fantastic on the return too the airport we used carmel service and they was very good also the hotel has a baggage storage etc cannot speak highly enough of this hotel if we ever return we will stay here for sure	
Feb 24 2009 	Really enjoyable and comfortable stay	I read the worst and best review about this hotel and I am very glad I did because it helped me choose this hotel. It is nice, new and clean. The staff were courteous, helpful and respectful of our wishes to not disturb our room during our stay. They still left fresh towels and toiletries outside of our room everyday to make up for the fact that they did not get to clean the place. It is close to the subway and all the major attractions. At the end of a busy sight-seeing day, it is great to come back to a very comfy bed and a huge selection of TV shows. If I can get a deal again I would love to always stay at this hotel! BTW if you want last minute items there is a WHOLE FOODS around the corner. For great espresso, go to 20th street between 7th and 8th ave for Grumpy's. They make a truly fantastic brew.	
Feb 16 2009 	Great location and price	The location was great for everything we wanted to do. Shopping at macys, Time Square, Fashion show at Bryant park and shopping in China town. We were a short walk from macys, time square and bryant park and a taxi ride to china town.The staff was so helpfull with all our travelor questions and not rude at all like I have read most say about this hotel staff.The beds were exactly what I needed from a long days worth of shopping. Just remember to bring your ear plugs eventhough the hotel is quiet you can hear the street noise.	
Feb 15 2009 	Excellent business hotel	I can do little more than endorse the other positive reviews of this hotel, but just a few things to add based on a recent six-night stay, following a three night stay in January. The front desk staff are first rate, though I should say that I am a Hilton Honors member. It's worth asking for a room at the back of the hotel as there is construction work at the front at present. There is some noise from the refuse carts in the early morning, as well as from trucks deliverying to the numerous flower shops on 28th St. A key benefit is that most of the NY subway routes are no more than a 5-6 minute walk from the hotel and the 4.5 and 6 lines are abour a 10-12 minute walk. If you fly into Newark then the train from the plane gets you to Penn Station in 30 minutes for $15 and from there it is about a 8-10 minute walk to the hotel. If safety is a concern there is a police station on 30th Street and the road is used as a patrol car garage. Local restaurants take a little bit of finding but the front desk staff are very helpful in this respect and prices are lower than they would be north of 42nd Street. Calling it the Garden Inn Chelsea is pushing the boundaries of Chelsea a little. It is at the very NE edge of what is usually regarded as the Chelsea neighbourhood.I've been visiting New York on a regular basis since 1974 and just wish this hotel had been built before 2007. From now on this is my preferred business hotel. It ticks all the boxes as far as room standards and customer service are concerned. What you don't get are a bar with large comfy seats and much in the way of restaurant services in the evening. And when you arrive at the hotel for the first time (of many!) don't be put off by the rather cramped lobby area.	
