	Great hotel great location!	I stayed here for 5 nights with my dad from November 14th-20th. Check in was quick and easy, we were given a room on the 10th floor with a view of the Empire State Building. The rooms were of good size, we had a twin bedroom and were pleased with the size. There was also an electronic safe in the cupboard that was free to use and the rooms were cleaned everyday. Breakfast was fine - we thought we would probably have to go out and buy breakfast as it was only continental but there was plenty of choice and always enough food to go around. It was a buffet style breakfast with muffins, cereal, toast, youghurt, bagels etc and tea and coffee which you could help yourself to throughtout the day and night. The hotel was great location wise - down the road to macy's and empire state and about a 5-10 minute walk to times square. Beware though it IS the city that never sleeps - I don't think I had a night where I slept straight through without being woken up by a binman at 3am or noisy people coming back to their hotels. Our window was also broken the first night which meant the noise was awful but the staff did fix it straight away the next day so I have no complaints with that.The hotel also sell tickets to most attractions for exactly the same price as the attractions themseleves which is handy and means no queuing!! The staff are friendly and are really helpful, they reccommended a boat trip that we didn't even know about and it was fantastic. We did all of the main attractions and walked to most of them. People are quick to tell you to get in a taxi to get everywhere when you can walk it in 10 minutes!! We walked to central park from the hotel and to John Lennon's old house but people couldn't understand why we walked the 20 minutes to get there... The only place we did get the underground to was to Ground Zero and you can walk from there to the Statue of Liberty dock in around ten minutes if that.When you get given the map everything seems really far away... but it's not. Save yourself some money and walk, it really doesn't take that long and there is so much traffic on the roads it's not worth getting in a taxi.The security over there is immense so be prepared to be prodded and poked! It's good considering everything that has happened and makes you think that Britain should be the same. For Top of the Rock, Empire and Statue of Liberty you get searched and go through metal detectors etc before you can go up, understandable and makes you feel more secure plus it doesn't actually take that long.Coming to and from the airport we booked with Supershuttle.com before we went. Excellent service, you can tip when you book (tipping is a huge thing over there and most places if you go out and eat will actually add their own tip on..then ask if you want to leave anymore!!). We shared the ride with about 4 other couples and it did take about an hour to get to the hotel but it gave us time to take in the sights and sounds so we didn't mind at all. Going home we were the last to get picked up and the ride took about 20 mins! It's cheaper than getting a taxi they have a flat rate of about $43 one way. One final thing... I have to reccommend Keen's steak house. It is literally round the block from the hotel and was the best meal I've had!! It was expensive but well worth it. Don't go around 5/6pm though all the businessmen go there for their dinner and it gets stupidly busy. We went on a Sunday and it was quiet. Lovely place, excellent staff and fab food.	
Jan 6 2009 	Hotel metro	I booked the hotel a few months in advance and got a really good rate. We had a room on the 10th floor, not a great view but I was surprised by how large the room was... also extremely clean. The location is great; a block away from the Empire State Building and a short subway ride to the museums. For breakfast they have an assortment of cereals, pastries, muffins, bagels, bread for toast, juice, and yogurt. The only disappointment was that the rooftop terrace was closed. I would definitely stay here again.	
Jan 5 2009 	Hotel Metro didnt disappoint!	My Boyfriend and I were treated to a getaway for our Christmas as an early present and stayed from 16/12 - 22/12We had originally booked hotel Pennsylvania but thanks to reviews on tripadvisor we rebooked as it seemed a nightmare!On arrival we were booked in promptly by Eva, (who is a bit abrupt it has to be said - she wasnt patient when explaining the credit card approval needed for check in, which i thought was a bit rude) i cheekily asked for an upgrade as lots of reviews said this happened often, i was told we already had one with a queen bed, im not sure if this is the case but the room was lovely anyway.the room was warm, fairly spacious, and clean with a huge cupboard which enabled all our shopping to be stowed away in, plus 2 large suitcases, this was a lot of stuff!!The bathroom was fine, clean with loads of toiletries, and the shower was good, water pressure a bit too much for me but my bf loved it. Hairdryer and iron/ironing board were already in the room, as was a safe in the massive cupboard.Fresh towels provided everyday - and the room was cleaned regularly,. On 2 occaisons we had a problem with the room phone, but an engineer was sent up to repair it on both times and then it was fine. Dont use the phone to call international, buy a phonecard where you can call internationally and the minutes you use are deducted from the calling card, not billed to your room, which i was told, is an extortionate rate, if you use the card you are only charged 1 dollar per connected call, regardless of the length.The rooftop terrace has fabulous views of ESB and is worth a look, the coffee room always had fresh tea and coffee on tap, we didnt have breakfast in the hotel, we went to PAX just round the corner, there food is amazing, definately have a tossed salad from the bar!I do not reccomment visiting the Korean restaurant next door to the hotel!My bf and i visited this for takeout after a night out, clearly they though they could take advantage of us because we had a drink. We ordered soup and plain boiled rice, and the charged us 22 dollars!! when i looked in the bag in the room, they had added extra dishes we didnt want, and obviously the most expensive soup and rice that we didnt want!!I was really angry and took the order back, as soon as the guy saw me he tried to play dumb and said the extra dishes were complimentry before i even said a thing!! Admission of guilt straight away! I then argued that if this was the case then they charged 22 dollars for rice and soup and it was really not acceptable and demanded my cash back, whcih he gave me.Avoid like the plague - there food isnt even that nice!!All in all its a lovely hotel and the majority of staff are pleasant and helpfull, clean and confortable which is whats required after a hard day in NYC. its situated in a great spot, just a few blocks form ESB, times square and macys.i would reccommend this hotel and hopefully will return to stay here again.	
Jan 5 2009 	Great Location helpful and friendly staff coffee on tap!	Just spent six nights at the Hotel Metro, across the New Year period. This was my fifth time in New York and I can honestly say the Metro is the best hotel i've stayed in there so far. We booked a Deluxe non-smoking king room and whilst we didn't get the view of the Empire State building, the room was large by New York standards and the bed as comfortable as ours at home. The hotel is located just a couple of blocks from Macy's, central to everything. We found the hotel staff to be superb, they could not have been more helpful or friendly. Quite unusually for New York the rate included breakfast, basic but more than adequate and the big plus was that coffee/tea were available all day and night in the dining room/lounge just off the lobby, a welcome feature when returning from a day's sightseeing/shopping. The only downside was the unreliability of the lifts, one seemed to be out most days, but this is a small price to pay, for a medium sized(much more personality than a big faceless hotel), clean, centrally located lovely hotel. The other plus was the view of the Empire State from the roof of the hotel (used as a bar in Summer) it was closed due to the freezing conditions, but you could still go up and look at the amazing unobstructed view.	
Jan 3 2009	Great Vakue Hotel	I have just returned from NY having visited to shop and see in the New Year. The hotel ticked all the boxes and represents excellent value for money. The location is accessible to all the sites and shops. Rooms were clean and warm. And with the added bonus of breakfast and unlimited tea and coffee all day. Why would you want to stay anywhere else.No need to search the Internet. This is the one for you.......	
Dec 31 2008 	A great Christmas in NYC	I have just returned from a 6 night trip to NYC over Christmas with my husband. We stayed at the Metro and couldn't fault it one bit. The room was great, clean, surprisingly large and on the 12th floor, so great views of the Empire State Building. Breakfast was great and unlimited as was the tea and coffee. NYC was fantastic and we did all the sights and the highlight was definately the Rockafella Centre both during the day and at night. We treated ourselves to lunch at the Maze Restaurant (at the London Hotel, Gordon Ramsey's place) on Christmas Day which was excellent and then saw Jersey Boys in the evening - both highly recommended. Got some bargains in Macys and you must visit the M&amp;Ms store! A tip on the shopping front would be to get out there by 9.00/9.30 as by lunchtime the shops and streets are packed.O'Lunneys on 45th street is great for food and if you want something quick the Chinese next door to the hotel is well worth a visit.	
Dec 30 2008	Hotel Metro	This Hotel was really great. This was a birthday treat for me and I travelled with my mum and when we arrived the reception staff were very good, allocated us our room and even remembered that we had asked for a twin bedded room.The room was a nice size on 11th floor and there was never any waiting around for the lifts to come up. The breakfast was a big plus with this hotel as well. Lovely bagels and every type of bread and You could help yourself to coffee 24/7 as well.The location was also very good. So near to a subway and Macy's was practicaly on the doorstep. Try the chinese restaurant next door - also the Korean restaurant, lovely service with friendly staff. All in all a great time. The only drawback this year was that the exchange rate was not very good.	
Dec 23 2008 	great trip to NYC	I just back from my trip with my boyfriend to new york city. We stayed at the hotel metro and it is a nice hotel. We spent all of our time out shopping but the hotel indeed is very nice and clean and peacful. It is very good that at least people can enjoy free breakfast at the hotel rather then paying extra. The receptionist at night time is very nice and helpful but inded there is one Eva who is pretty snotty and can be rude. But if you are going to nyc you do spend your time oustdie shopping. We got to do pretty much everything we wanted to do in about three days. I still wished i had an extra day. So we stayed here at this hotel for four days. First trip to nyc but not the last one. I do reccomend future visitors to buy a daily metro card to ride the trains and it is much cheapper tehn a taxi. There are tons of things to do. Macys is about two blocks away from the hotel and so is the empire state building. Everything is near the hotel that it is a good hotel to stay at. But i do recommend to ride the train and buy a daily unlimited train card its only 7.50. i do advice to get familiar witht the trains and their routes since there are hardly any people working in the train stations to help. There is kust so many things about nyc that i learned and soo many things i saw. If anyone ahs any questions i will be more then happy to help you. It is always good to get some help before leaving on a trip. But i highly recommend this hotel for location and for the price. I know some people pay over $300 a night but we got a dealk trough our travel agent. One more thing i do n ot recomend taking ataxi to and from any airport it is pricy. Instead you can take a shuttle bus or public trasnportation. To NEWARK airport we took a new jersye transit train almost like a metra train and it left us right there in the airport and we got there in less then 30 minutes. So research ways of getting to and from aiports there are cheaper ways then taking a taxi.	
Dec 23 2008 	Metro highly recommended	With my wife and two teenage children I spent five nights at the Metro in one of their family suites a week before Christmas. The rooms are generously sized for central Manhattan, particularly the two-bedded room that the kids had, overlooking 35th St. The beds are comfortable, the bathroom well-supplied with large towels and Gilchrist &amp; Soames toiletries. The free buffet breakfast is limited but perfectly adequate, and the constant free hot drinks were very welcome, particularly when we arrived back after a hard day out. Free WiFi was convenient for researching things to do and for keeping in touch with home.On the downside, the Metro's elevators are small and slow, and one of the pair kept breaking down, leading to long delays at busy times. We also had some problems with the TVs, only getting a few or the many channels we should have had, and the hotel maintenance people were not able to fix this before we left. But we'd not come to NY to watch TV so it was no major issue.The hotel location is excellent, on W35th St between 5th and 6th Avenues. Herald Square subway station is two minutes walk; Macy's is right across 6th Ave (but what a disappointment!) There are lots of shops on 34th St and of course 5th Ave. Times Square is a 10 minute walk, or one stop on the subway. We bought MTA unlimited ride tickets so didn't hestiate to take the subway to get out of the snow and rain! The Empire State Building is a 5 minutes walk away, so we were able to get there early and avoid any queueing to get up to the observation deck, though we found the views from the Top of the Rock at Rockefeller Center equally good.There are plenty of eating options close by. More than once we had a pizza or a slice from Guiseppe's on the corner of 35th and 6th - simple and delicious.The staff were unfailingly friendly and helpful. Nowhere in Manhattan is cheap, but I felt we got our money's worth at the Metro and I'd have no qualms about staying there again.	
Dec 16 2008 	Proof that there are good deals in New York city	I've stayed in New York numerous times over the years and can honestly say that the Metro Hotel really does give you value for money.Plus Points: The rooms were clean, moderately sized, we asked for a bathroom (as opposed to a shower) and were given one. The hotel staff were very friendly and helpful - especially on reception and the door. We had a free breakfast in the morning - only toasts and muffins - but it was FREE. We could have tea/coffee whenever we wanted. We weren't bothered by noise - from outside or other guests. It is only 12 floors and I says it has 179 rooms - which is small enough for it to still have a personal touch unlike the gigantic places like the Penn Hotel around the corner.You could walk to Penn Station in about 6 minutes, Macy's in about 2 minutes, Time Square in about 10 minutes and Tiffany's etc in about 20 minutes. There is a subway/tube/underground station less than a minute away and so can be anywhere on the island in no time at all.We got a hotel shuttle back to JFK for $20 each (plus tip) - much cheaper than a taxi $80 (plus tip) and quicker than the Sky Train - to be fair - we would have caught the Sky Train back but there were engineering/track problems near to JFK and didn't want a bus transfer.Negative Points: Not many really - I thought it had free WifI but it didn't, no coffee/tea facilities in the room - but we just brought coffee to the room, the coffee wasn't the nicest in the world, the hanging space isn't the largest in the world and the radiator worked fine but it was a dry heat (fan assisted) which wasn't overly comfortable. These are only very minor points though - and compared with some HOLES like the Penn Hotel this was luxurious and we would definitely go back again.Also, the restaurant attached to the hotel isn't great - if you are tired and it's raining and don't want to go out - the food is passable - but I would really force yourself further afield - even if it's only to cross the road to the Bar &amp; Grill	
Dec 8 2008 	Can't beat the Hotel Metro!	We booked for a four night stay at the Hotel Metro in November 2008 through Thomson Signature. The hotel had been recommended to us by some friends who had previously stayed there. We had originally booked for a deluxe double but the room we had been allocated, although perfectly roomy and clean, smelled of smoke. George on Reception was our hero and very kindly upgraded us to a Family Suite! One bedroom window had a view of the Empire State Building and the other bedroom window had a view of Macys! What more could we ask for?! The room was spotlessly clean with the most comfortable bed I've ever slept in. Coffee and tea were available 24 hours a day downstairs and the breakfast was fantastic - bagels over here are not a patch on the real thing!Location-wise, you couldn't get much better if you tried. 1 block from the Empire State Building, a block from Macy's, 5th Avenue and all its shops are right on your doorstep. The Reception staff that we had contact with were all extremely helpful, gave advice and suggestions on where to go, what to see and the best/cheapest way of doing it. Again, a big shout out to George!There is a small gym on the top floor of the hotel, next to the roof terrace. I did go with the best intentions but never got round to using it - pounding the streets of New York was exercise enough!All in all, it was a fantastic and we are planning our return trip for next year to the same hotel.	
Dec 7 2008 	Great Location/Great Hotel	Booked with expedia and flew out on Nov 27th for 4 nights. The hotel is in a excellent location, empire state building just around the corner and at the other end of the road the biggest Macy's. The staff were friendly and helpful the room was small, but apparently that is the same everywhere, the breakfast was great, but it would help putting the toaster in a different place, tea and coffee all day was great. Would stay there again.	
Dec 2 2008 	Perfect Location!	We stayed at the Metro from 26th Nov for 4 nights, the location is excellent - right between 5th and 6th Avenue and so close to Macy's (which was great for our jet lag 5am mornings - went to macy's black friday sale!!), also the free tea and coffee all day we probably saved a small fortune it was so nice to come back after an afternoon shopping / sightseeing with sore feet to sit in the lounge with a cuppa! The breakfast was lovely too and we used the hotel restaurant on our first night as we were so tired and didn't fancy trying to find somewhere, the food was lovely they have lovely cosy booths for 2..nice to sit and relax in with a glass of wine!Our room was on the 4th floor, very nice and clean...views were out onto brick walls but didn't matter to us as we were hardly in the room. We found the staff helpful and friendly, arranged our transfer back the airport with the air link shuttle whihc was $20ea and luckily there were 6 of us so was only 1 other pick-up - would use this service again.We would love to return to New York, and will definately stay at the Hotel Metro again.	
Dec 2 2008 	Wonderful Hotel!	We stayed in the Hotel Metro from 26th November until 30th Novemeber. What a lovely hotel right inthe centre of New York. I had requested an upgrade if possible as it was a special birthday trip for my husband and the hotel not only accommodated my request (without additional charge) but also put in our room complimentary chocolates and water. Staff were extremely helpfyul and friendly. We could not fault this hotel. The complimentary breakfast was very very good and restaurant staff work really hard to ensure everything is refilled. The shower in the room was hot and there was additional heating/air con in the rooms. It is almost next tot he Empire State Building and a really good locattion for sightseeing. Again we could not find fault and would highly recommend this hotel.	
Nov 30 2008	Loved this great New York Experience	Booked this hotel as was my daughter's first trip to New York. We asked for a room on highest floor and they gave us a room looking out onto Empire state building. You can also take pictures up on their lovely roof garden which is open for visitorsThe hotel was lovely, the staff were so helpful and friendly, with the exception of one lady on reception, obviously not too happy that day. May I commend Matthew the doorman, a lovely helpful man. Lovely clean rooms and lovely comfortable beds. Rooms were a bit on the small side, but there again you only sleep in them (we were out from 7.30 am). The hotel surpised us with breakfast, lovely cheeses, jams pastries, bagels, muffins, fresh fruit salad, and lovely thick bread for toast. Breakfast is on from 6.30 am (I think). This definitely set us up for the day. Hotel is off Herald Square and just a short walk to Macy's Empire State and Time Square.Be careful in your room with the mini-bar (if you lift sometime up) for more than 20 seconds it is charged to the room, so be careful!!!Get the Staten Island Ferry across - it is free and lovely view of statue of Liberty.We are looking to visit NYC again next year and will definitely stay at this wonderful hotel	
Nov 29 2008 	Great little hotel	A great little hotel really well located for 5th Avenue, Broadway, Central Park &amp; within walking distance (if you've got good walking legs!) of most of the touristy places in the city. If you don't fancy the walk just hop on the metro (seconds away at the end of road) or take a cab. Hotel room was small but had everthing we needed &amp; our room was cleaned very well everyday. Breakfast was an added bonus, other reviewers have explained what was on offer. We thought this was a lot easier &amp; cheaper than going out for breakfast everyday although by day 6 it was getting a bit boring. Be aware that food &amp; drink in NY is very, very expensive, we spend a lot of our social time in London &amp; it even caught up by surprise. Having said that we had a really great time &amp; we would definately go back , most probably in the summer months as November was freezing!	
Nov 28 2008 	Superb Location/Hotel	Just arrived back from a 3 night break at the Metro :( The Hotel was Small but lovely with the added bonus of breakfast and tea/coffee on tap.ALL the staff were nice and friendly and would go out of their way for anything you asked.The room was spacey and very clean.Went up to the roof terrace for a look and got a wonderful view of the Empire state building (situated on the penthouse floor).The subway is outside the hotel to the right,about 100yrds and very easy to use(if in doubt ask the hotel staff).Just outside the hotel to the right their is a nice Chinese restraunt,very reasonable but beware of the portions HUGE.To the left of the hotel 50yrds their is an Irish bar and upstairs they have a restraunt which is also very good.A steady stroll uptown will get you to the start of Central park in an hour with stops for photos along the way.Would we go back to New York ? Tommorow please.Would we stay at same hotel? Definately.	
Nov 26 2008 	An okay but expensive hotel let down by lazy front desk staff	We stayed for nine nights from 14 November, on arrival there was no one to help with our luggage, so we struggled into the hotel (upstairs) with our bags and were told the hotel had no real views of the Empire State Building, but we had been upgraded from a double to a king size room (room 711), which we did appreciate, the view from this room was a building site, which began work at 8am everyday, however. The bed was large and amazingly comfortable, linen soft and the room was very well serviced on a daily basis. My only gripe about the bed would have to be the use of a quilt instead of blankets, this seems to be a trend in hotels these days, it isn't good and there is obviously no way of adjusting the layers as there is with blankets, the quilt was covered with a nasty nylon cover which we removed on our first night as it was too hot and felt horrid.There was no bath, which I did miss being a bath lover and find it especially useful after a long day on my feet. The fridge was one of those 'if you remove anything for more than 20 seconds you will be charged' mechanisms, and it was not possible to store anything of our own in there, and the mini bar was the same. So don't pick those USD6 M&amp;Ms up for too long or you'll pay for them. There was an ice bucket in the room and an ice machine on level 12, which we used to store our drinks. The hotel supplied free tea (bags) and filtered coffee and fresh milk, in the breakfast room all day and night, which was very nice. Breakfast itself was carbohydrate city, about five different kinds of bagels, muffins, sugary cereal and bread, with babybel cheese, cream cheese, peanut butter, grape jelly and orange marmalade. 'Juices' from concentrates and some instant oatmeal. I would have appreciated a low fat protein option, or even some boiled eggs, and given it is not a cheap hotel I think not an unreasonable expectation.I had three parcels arrive for me whilst at was at the hotel, on each occasion I was not told of their arrival and had to ask, the third one, when I did ask, I was told had not arrived. After messing about contacting the sender and her telling me it had been signed for by the hotel staff, three days earlier, I went back to the front desk who finally got off their backsides and found it. In ever other decent hotel I've stayed in, any packages have been delivered straight to my room, no questions asked. In addition we paid USD80 to have laundry done, which we also had to collect from the front desk. (are the staff glued to their chairs??)The wifi internet access to the rooms is almost non-existent and drops out every five minutes or so, my partner was attempting to work from our room one day and ended up having to go to the business centre. When he was unable to connect at all at one stage, the front desk staff just gave him the number of their wifi supplier and told him to phone them, and then tried to charge us for the phone call!! (A friend of ours was also staying in the hotel on the 9th floor, he too had trouble with bad wifi connection, so it wasn't just our room or floor). The cordless phone in the room had terrible reception and would drop out for every other word, we didn't use it much but when we did it was truly terrible.Overall, an okay hotel, with a subway nearby and Macy's just one block away, however, the front desk staff are lazy and unhelpful and really let the hotel down. I am not sure if I would stay here again, I suspect there are better hotels in the same price range.	
Nov 26 2008 	Superb want to go back asap	Just come back from the Metro, travelled with my Daughter and a friend to celebrate my Daughters 18th birthday. I had already contacted concierge in advance to arrange a few birthday surprises and had absolutely no complaints, everything was organised, the cost was cheaper than I could have found it and the pre arrival service faultless.On arrival we were delighted to have been upgraded. Our room was spotless and roomy, we sneaked a look at some other rooms and again although smaller, would have had no complaints.Bell hops, particularly Matthew were lovely and really funny, nothing was to much trouble. Ann on reception and the other man on the desk (I forgot his name) deserve a mention and credit for a really good job. I do know which receptionist people are mentioning, and yes she isn't the friendliest of characters and could do with a happy pill perhaps, but hey we all have bad days and perhaps she has more than others.The breakfast was lovely and just enough to fire you up for the day. Coffee and tea on tap 24/7 was an additional bonus. The hotel bar was expensive (but to be honest in the current financial climate the whole of New York is). Having read reviews before we left I was unsure just what to expect, it would go one way or the other. I can honestly say the entire stay was faultless, yes there is a little noise but tell me who expects to go to New York and find peace and quiet? Its all part of the experience.Location was perfect, ignore the bus ticket sellers (red &amp; Yellow jackets) go via yellow cab, far cheaper in the long run and quicker. If you are out late at night the bus stops at 6.30 anyway, so you would have to take a cab.Get to the Empire State Building as it opens at 8am and avoid the queues we were up at the top enjoying the views ... and snow at 8.06am!! We had been awake since 5 as the jet lag was kicking in so the early start wasn't a problem.The other thing to be aware of and something that did unnerve us was that we were 'given' promotional cd's outside Virgin megastore. They were signed by 'friendly' enough guys who, we assumed were promoting their music and were legitimate given where they were standing!. They then made it clear that they wanted money and were not going to take no for an answer, surrounding us at one point and it was quite scary. We did get away without paying, but please, if approached ignore and do not accept anything they try to give youBack to the hotel, would recommend to anyone, I have stayed in hotels all over the place some basic, some 5 star this was BY FAR the best ever and hope to get back there as soon as my credit card and the exchange rate have recovered!!.	
Nov 17 2008 	basic clean but with cockroaches!	We were recomended this hotel from our travel agent as the lady who booked it for us had stayed there previously. it is in a great position very near to fifth avenue and just around the corner from Macy's. However, there are no tea/coffee facilities in your room, you have to go down to the breakfast room for refreshments. Our room had not one but 2 cockroaches, caught by the bell boy but with no apology given. The bell boys were very helpful and friendly but the receptionist were totally different, disinterested when asking where would be good to eat and generally unhelpful and glum. Shame because the hotel has a warm atmosphere. Rooms are basic but clean (minus cockroaches)	
Nov 11 2008 	Very Average for the price!	I know this is New York and that what you get for your money isn't the same value as you pay and receive in other parts of the country, but this would not be my first choice ever again! Yes, it's conveniently located, right in between 5th and 6th Avenue, and yes, the rooms aren't too badly sized for New York. But, why wouldn't I stay there again? Firstly, there's no room service - well, there is, but the menu is limited and you can't charge it to your room! When I questioned this, I got a very terse response from the person on the phone, suggesting that I was strange to expect that kind of service! There weren't coffee making facilities in the room and we couldn't even get any brought up in the morning- not that this is a huge deal, but it's appreciated when you can do this. Secondly, the breakfast was ok, and included in the price, which is great -but it's all on plastic, disposable plates and cutlery - easy on the clean-up for them but not so great given environmental concerns. Thirdly, when we arrived into our room the carpet was more than damp and smelt very strongly of cleaning product. Great that the floor had been cleaned but it was horrible walking around on the carpet!! Finally, the beds were so incredibly hard that I left feeling like my body had been beaten to a pulp - and I had just 2 nights there! Hate to think what would have happened if I'd been there longer! On the good side though, the doorman we had was great - friendly, which is odd for NYC, and happily stored our bags for us and then made sure our taxi was there to take us to the airport when we needed it to. He didn't openly ask for a tip, as I have had other hotel staff do in the past, but we were happy to offer him one just for being so friendly and helpful! So, for the price we paid, no I wouldn't recommend it -you'd be better off at the Courtyard by Marriot!	
Nov 10 2008 	met our needs very well.	shared a room with 2 friends, 2 double beds, the size of the room was adequate, prob large by NY standards. the room was clean, beds comfy. wish there had been a coffee maker in the room. bathroom was small but again, adequate. good shower. reasonable rates...it was hard to find a dble room in NY that was in our budget and met our needs, we were pleased with the choice. We did not visit the metro grill or take advantage of the complimentary breakfast.	
Nov 7 2008 	Excellent accomodation	This was my 2nd stay at the Metro. A superb visit for my husbands 50th. Excellent on all counts, location, cleanliness, staff and rooms. The staff were always giving their valuable advice and when available discount tickets to attractions. I was recommended the Metro 1 year ago and only stayed briefly but couldnt wait to return. FANTASTIC.	
Oct 27 2008	fantastic	absolutely fantastic, the breakfast was great- only typical bagals and so on however, walking around NY on a heavy stomach isn't ideal. with a central location within reach of most attractions in minutes the Hotel Metro is outstanding. the rooms are spacious complete with TV facilities and shower. the staff are friendly and efficiant. i would most definately stay here again, do not hesitate to contact me if you have any questions.	
Oct 21 2008	Excellent Hotel	Hotel is in a great location, 2 minutes from Macys and the Empire State Building, and a ten minute walk to Times Square. the hotel is in a great location and it is easy to reach everything. The subway station is at the end of the street.Rooms at the front have an amazing view of the Empire State Building, although there is some traffic noise.The breakfast is great, with plenty of choice and its always fresh.Rooms are very clean and comfortable, with daily maid service.Staff are friendly and helpful. Would recommend this hotel, the price is very reasonable for what you get. We would definitely stay here again.	
Oct 20 2008 	nice hotel	We stayed at the hotel Metro in New york city in August, and thought it was an excellent choice, The location is great as your between Macy's and the Empire state! The hotel itself was very clean and the decor was nicely done. The breakfast room was great with lots of seating and plenty to eat and drink from cereal, bagels , muffins, toast fresh fruit etc. The hotel has a lovely roof garden with an excellent view of the empire state building. The hotel has a restaurant which we tried one night it was ok but directly across the street there is Brendans bar &amp; grill this was excellent value and great food. New York itself is amazing the highlights for me were the empire state building as the views are breathtaking, grand central station , central park and the hudson river cruise, oh and walking across the brooklyn bridge. You can get around really easily and cheaply on the subway, you buy a metrocard for 7dollars and 50 cents this will take you anywhere all day. The people are really friendly and it is very safe.	
Oct 18 2008 	Fantastic location	We stayed here for 3 nights from 30 September. We booked through BA who had a more favourable rate than other websites or the hotel direct.The hotel has a fantastic location, only 2 mins walk from a subway station and Macy's, and has views of the Empire State Building. The central location does mean that the rooms suffer from street noise due to a lack of double glazing, but you get used to it.The complimentary breakfast is a real bonus, and there is a plentiful selection of rolls, muffins, bagels, fruit, yoghurt etc. However, the breakfast area is not big enough to accommodate everyone at busy times, and it turns into a bit of a free for all!Staff were friendly and helpful, and we were able to check in early on arrival. The concierge was very helpful with looking after our bags on our last day, and arranging a taxi for us.The room was comfortable and very clean, and the hotel offers free wi-fi access which we found very useful.Overall a very enjoyable stay. This was our 4th visit to NY, and the Metro offered excellent value for money compared with other hotels we have stayed at. We we would definitely stay here again if we return.	
Oct 13 2008 	Great Stay	After reviewing this hotel on trip advisor my sister and I made a choice to stay here for our 5 day NY trip and were very pleased with our decision. The service was great, very friendly and helpful and the breakfast was just enough to get us going, including some fruit for later. A nice cup of tea at the end of our busy day allowed for some wind down time. The location is great, close to Macy's, Empire state building, Madison Square Garden, 5th Ave, Rockafeller Center and Time Square for walking. Area is clean and subway is 2 min away.We were given an upgrade to a suite upon check-in, big clean rooms and nice bathroom. Yes there is some road noise but not to bad, bring ear plugs if you are sensitive to it. We were on the 12th floor facing 35th st but inside corner so maybe less noisy there.Cab to and from La Gaurdia about 35.00 dollars or 30 min...We would recommend this hotel and would stay here again. I loved New York and can't wait to go back!	
Oct 13 2008 	Great location and great breakfast	My wife booked us a 5 night stay for my 30th birthday and before we went we requested a room with a view of the Empire State Building which they sorted out for us at no extra charge.Room were a decent size with a good sized bed, free to use safe and a shower room, the rooms were cleaned daily.Breakfast was included in the room rate and was a continental buffet which was a great way to start the day.The location of this hotel was fantastic and really we could of got a better location, turn right out the front door and walk about 200 yds (if that ) and you are at Herald Square, cross the road and you are at Macy's so you are right in Midtown, Empire State building is a block away and Maddison Square Gardens not much more, about 5-10 min walk to Time Square basically the hotel is very, very central.There were restaurants right next door to the hotel and also across the road, the Korean restaurant was very cheap and the portions huge. There was also a great Irish bar nearby and if it's your birthday you drink for free :o)We bought the New York passes and also a Circle Line bus pass before we went which we found great value for money also I would recommend a trip to Woodbury Common for some great value shopping.All in all great location, great hotel excellent staff, excellent service fantastic holiday.	
Oct 12 2008 	Very nice hotel! Great location/Nice room!	This was our first weekend visit to NYC and this hotel was part of a weekend package/airfare. Good choice! Great location, reasonably priced (for New York, not Chicago) and good service. Hotel is clean and lobby has a very nice art deco vibe. Check in time was 4 p.m., but we arrived at 11:30 a.m. to presumably only check our bags in before running off to Brooklyn. Nice surprise that we were able to check into our room right away! Even better was that our one room was upgraded to a two bedroom suite albeit a smoking suite; but that's okay, because i smoke. Service by all employees, esp. the daytime manager(?) and the doorman (George?) were great! Didn't take advantage of the rooftop bar/view, but will next time I return to NYC. Rooms were clean and comfy and I liked the IPOD radio/chargers they had...served well as alarm clocks. Definitely check this hotel out. Central Park, Times Square, Rockefeller Plaza are within walking distance: 1 to 3 miles, but it's a nice walk and only 20 minutes tops. Great value for the money!	
Oct 10 2008 	Amazing Manhattan Hotel	We took a 3 week trip to the States: 2 cities (New York and Chicago) and then a road trip along part of Route 66, up the Mississippi and back to Chicago. We booked every bit of our accommodation solely based on Tripadvisor reviews and everything was just perfect.Hotel Metro was the perfect Manhattan stay. Incredible location – literally right under the Empire State – we could gaze straight up at it from our window and an even more spectacular view at night from the hotel’s terrace bar on the roof. The hotel has been recently refurbished throughout and was spotlessly clean. Our room, a family suite was brilliant and such good value. We were a family of 4 but all adults and yet the room was spacious enough to not get in each other’s way. The double room had it’s own door and we shared a lovely modern shower room. They had thoughtfully put an extra sink outside, which was good for 4 people. The housekeeping was amazing, we lacked for nothing, extra pillows already there (and the pillows were top quality comfort), plenty of deep pile luxurious towels, lovely quality shampoo etc. The beds were SO comfy, the air conditioning spot on and everything absolutely spotless – and we are fussy!! In addition to this, all the staff were so helpful and friendly. We could have free internet access in the office – which was really useful. The breakfasts were free each morning and very fresh and tasty – fruits, yoghurts, bagels, pastries, breads, etc. Would definitely stay here again.	
