	Trendy modern  not for all tastes	This hotel is best for a romantic getaway type of deal. I'd give this 4 stars were it not for the loud cracking noise from the heating system. The regular rate is $200+ for a petite, which is overpriced unless you can get an upgrade to a queen or larger. If you are into sleek, dark, masculine, and more modern/trendy style it's for you. If you're into classic, warmth, coziness, than you should try something else. It has an excellent location. I got a special deal through hotels.com at the last minute. They upgraded me to a queen room with a terrace, which was awesome, and probably worth the money (~$160). They also let me check in 2 hours early. The look is very dark, masculine, and romantic. Television behind the mirror, nice entertainment system. Nice bath products, and a sexy bathroom set up (dark walls, mirrored walls, etc.) It would not suit all people's tastes, it's very modern and &quot;cold&quot;. The staff is very helpful, but not that friendly. There were loud cracking/drilling noises that I was told was due to the heating generator. I had to turn off the heat to get rid of the noise. I ordered room service for breakfast and it was neither generous nor that tasty. They give you cookies, which is nice. Overall, I'd say good for the younger, trendy set that's looking for a weekend away together. I liked the bathroom. Would not pay more than $200 to stay here - for that price, you could find something nicer.	
Oct 7 2007	Fantastic	We arrived at the hotel after a long flight and were immediatley greated by friendly and professional reception staff. As we were staying at the hotel for 5 days they had given us a room on the top floor with a balcony. Which was fantastic to have a bit of extra space. Plus as it was very warm whilst we were there it was lovely to sit out at night and in the mornings. The staff at the hotel were fantastic booking restaurants and cars for us. In regards to the rooms I was surprised as we booked a queen room which should have been around 295sq feet. The room was definatley smaller than I expected although it did'nt turn out to be a problem and we did have the added bonus of a roof terrace. The bed was comfortable and the room was cean and airy, i loved the bathrooms and all the amenities. However, I must say that I was very surprised for the price of the hotel that there was not a coffee or tea maker in the room. This was a big dissapointment and would definatley make me consider staying here again. I know it is only a small detail however, it is nice to have the choice of a hot drink when you get up in the morning. We were very happy with the hotel in all and found the location prefect for a sightseeing and shopping holiday in the city. Being only a short walk from 5th avenue and minutes from Grand central station it was fantastic. And if you stay you have to try the DB Bistro for dinner or room service. The burgers are amazing!	
May 30 2007 	Hated it! Too masculine and dark!	If a 'men's club' feel is what you're after, then I guess you'd like this place. However, as a woman traveling alone on business, it was quite a depressing place. First of all, it is not easy to find. The 'main entrance' consists of a single glass door squeezed between their restaurant and another hotel. The doorman at the Soffitel next door didn't even know where it was when I asked for directions. A corridor masquerades for a 'lobby' that leads to a dark black/brown tiny reception desk (my kitchen at home is bigger than this lobby). Only saw two staffers on entry and exit in the lobby. One at the desk and the other at the door. The corridors leading to the guest rooms are narrow and dark, with low lighting and dark walls and doors. Once inside the rooms are no better. Small rooms, low lighting, dark decor, dark brown tile on the floor, stark in furnishings. Very much a man's retreat. The bath was all dark brown granite, no tub - just a large open concept shower. Even the Bigelow toiletries were in dark brown bottles. Having forgotten my shampoo, I used the hotel provided one (Hermes) and now smell like I'm wearing men's cologne. The room had two old fashioned wooden paned windows on either side of the bed neither of which opened. However, you wouldn't have wanted them to open anyway since the glass was dirty with soot and both faced out to other similar old buildings whose windows were only about 10 feet away. The window coverings were only pull down shades that were a dirty beige (one of which had a huge patch of a different color right in the middle.) Given the horrible condition of the windows and the non-existent view, I kept the shades down the entire time. This only added to the dark depressing feeling of the room.The bed also faced directly toward the entry door and the TV was hidden behind some artwork, built into the wall beside the bed. You couldn't see the TV from bed without getting a crick in your neck, but had a clear view of the brown entry door. I would not recommend this hotel.	
May 18 2007	Great Hotel	I just got back from NYC and 3 nights at the City Club. I read the reviews on here before booking it, but made the res in spite of some decidedly negative reviews. I am glad I did because I absolutely enjoyed my stay and would definitely stay there again. The staff was very good overall--though some definitely more helpful than others. The cookies at turn down were great as was the location of the hotel. I was on a media tour and we were smack in the middle of everywhere we needed to be. My standard room was actually much larger than i was anticipating, as was the bathroom. The towels, bed and amenities were great. I love modern/contemporary design and felt the hotel was designed in great taste.My only minor complaints had to do with a fixed AC temp of 70 degrees, which was a little chilly for me, and a low-level of light. If you really wanted to get a lot of work or reading done in the room, you'd be stuck sitting on the bed or camped in the bathroom. Luckily that wasnt the case for me. Also the bathroom outlet was hard to find--I saw that another reviewer said there wasnt one--maybe they just couldnt find it (which isnt a good thing).One more note--i think some people are put off by the lack of a lobby. On the same block, there are many fancy hotels to have a drink and loiter in, and I actually enjoyed the fact that ours wasnt going to turn into party central. Overall, I would definitely recommend this hotel to others and stay there again.	
May 12 2007 	Nice hotel	I enjoyed my stay at the City Club. It's a small, intimate place with a lot of personality. Feels like a private club. The location is very central, close to Bryant Park, Grand Central and Times Square. The City Club is right next to the Algonquin, the Iroquois, the Sofitel and the Royalton. There is no ostentatious sign outside so it's easy to miss it. The lobby is very small and more like the entrance of an upscale residence. My room was on the 4th floor and the size was decent. It was very clean and perfectly decorated, with a very upscale, masculine feel. The bathroom was very classy both in size, design (black marble) and for the top quality amenities (Hermes and Bigelow). I especially loved the shower. The hotel was quiet with a limited number of rooms and guests. All in all, I can't complain about anything. The price - though relatively high - was quite acceptable by New York standards. Business hotel chains may offer large rooms, but they can hardly match the classy, intimate atmosphere of the City Club. Would definitely return to the City Club.	
May 6 2007 	Great Hotel but some problems	I really likied this hotel and would consider staying there again. However, although the staff is very cordial and efficient, they are not very sophisticated and could use to stay on top of the latest happenings in NYC. Also, my room did not have any bathroom outlets, or a desk and chair, something that is standard at any Days Inn. Other than that, the hotel was cozy, quiet and substantially upscale, more like a private club than a hotel.	
Apr 25 2007 	Chic Style No Substance	The &quot;chic boutique&quot; hotel category was at first a welcome and refreshing change from stale corporate mega hotels and down -in- the- dumps road warrior outposts. Many of the first entrants really transformed the usual hotel stay into a wonderful and exciting getaway, with non-boring rooms and decor, interesting public spaces and, above all, above-the-ordinary levels of personal service.As the category grew however, style began to trump substance. Name-brand owner personalities mattered more than professional hospitality. Over-indulged interior decorators exercised their 'creative vision' while actual comfort and service were after thoughts. The City Club, sadly, falls into this latter description.The front desk staff are obviously chosen for their looks rather than for any particular talent in professional hospitality, so don't ask for anything out of the ordinary or have a problem that they can't immediately solve. In our case, the sheets one night of our stay caused a horrendous rash on both of us (neither of us has a tendency towards sensitive skin, by the way), but trying to get any action from the front desk or housekeeping was a painfully drawn out affair.The rooms themselves, while visually interesting at first, are impractical, with relatively few useful light sources, places to sit or hang one's clothing. In our case, the windows could not be opened, and perhaps it was just as well as they were filthy with dirt and cobwebs. Apparently the lovely staff don't stoop to actually clean.We ate in the restaurant adjacent to the hotel, one of a series run by celebrity (for those who care about such things) chef Daniel Boulud. One of the bragging points of the place is that he sells 'the most expensive hamburger in the world&quot;. Apparently this is a place for the pretty people to see and be seen by each other - there was a lot of posing going on there -- but the food was quite enjoyable so we just considered it part of the floor show.The hotel's location is very close to Times Square so that is great if you want that, but be aware that there's virtually no lobby or public area to greet visitors or wait for friends, and the front door opens out to a busy street without a turn-in for your cab, so it can be tough checking in and out with luggage. Your stylish and good looking porters won't exactly hustle, but they do sport little ear pieces to be in touch with the front desk, or at least look kinda cool.A one-time only visit for us.	
Apr 17 2007 	Mixed feelings this time	I've loved this hotel since it opened. Stayed here 3-4 times for a night or two. This time, came for almost a week and persuaded friends from L.A. who were also coming to NYC to stay at the City Club. The location can't be beat. The staff are friendly and always helpful. Housekeeping is excellent and thorough.But.....the bloom is off the rose. There was the elevator that didn't work one day and no one seemed to know why not; then the bathroom door that was off its track and no one could figure out how to get it back, so it required brute force to open and close; then the toilet that needs a new flapper valve so that it closes each time; and room service who decided &quot;you must have an old menu&quot; but wouldn't bring a current one upstairs (!).I still like this place. I like it a lot. But after the latest visit, I will check out other new places before automatically coming back here. The NYC hotel scene is highly competitive - at current rates, you've got to stay on top of your game! I hope the City Club management can kick it up a notch.	
Mar 25 2007	Great Spot	small trendy hotel with a nice feel to it..very comfortable beds, nice marble bath, contemporary /warm, not to far over the top.perfect mid town location. We had a second floor room and had no problem sleeping. nice staff..perfect for our needs.	
Mar 25 2007 	thrilled with this find	Very lovely, quiet, cool decor, great location. Spent 3 nights there with my sister and mother in one of their suites. our New York friends thought it was a great find. we were thrilled.	
Mar 22 2007 	stop that infernal racket	My stay in Manhattan could have been a much nicer one had i known about the construction going on here.I arrived late at night for a 2 night business trip. The construction started at 7 in the morning and continued until 7 at night.I don't know what I would have done had I been with my wife for a relaxing stay. As mine was for business, I had to get up early anyway. It still bothered me though that I wasn't informed about this inconvenience when I booked the room.The manager refunded some money back to me but it was too little too late.I would have preferred to stay elsewhere.	
Mar 13 2007 	Nice Hotel	I stayed at the city club for the first time in March. The small hotel is very nice, quite and has a feel of quality - the reception staff was delightful. The room was a little dark for working but high on design....the bath room was the best.Overal this was a great find in a city where it is sometimes had to sleep	
Feb 3 2007 	very nice room	The rooms at this hotel are very nice. Large marble bathrooms. Service is okay. Overall this is a quiet, nice place to stay.	
Feb 3 2007	What a mistake!	I travel regularly for business and always stay at The Sunset Tower when I'm in LA. I am always pleased with the service so I decided to give the sister property in New York a try. What a mistake. The hotel is no where near the level of The Sunset Tower. The rooms were ok, but the service was terrible. Clearly the management of the hotel needs to be re-evaluated. The staff seemed clueless and no one was eager to please at all. When I'm travelling I am generally stressed and don't feel like dealing with incompetence. There was confusion at check in and I was downgraded to a room that supposedly had a queen sized bed, though I can't say I believe it was. Room service was a disaster. I kept being transferred between the restaurant and the front desk, with no one wanting to actually take my order. Like I said, I'm a frequent traveler so I understand that things can go wrong, but this hotel was just not up to my standards. I won't be staying there in the future, nor will I reccomend it to anyone else. I'm hoping that The Sunset Tower keeps it's standards a bit higher and doesn't follow suit and become a mess like the City Club!	
Jan 23 2007	Private Classy Intimate Great Service	My experience started with my reservation which I made via the phone; the reservationist allowed me to use a web rate which was accommodating. I arrived 3 hours before check-in to find out that my upgraded room was ready. (From a petite to a Queen Luxe.) Room size was fine, especially for nyc. The bathroom was a treat. Lots of mirrors, but not tacky. Only complaint was that the lighting could have been better for make-up application. Excellent bath amenities; Hermes shampoo &amp; conditioner and CO Bigelow soaps and lotion. Shower was fabulous. Bed was very comfortable. iPod docking station/clock didn't work, but that was remedied within 5 minutes. Cd/Dvd library is a nice feature, but not a great selection and almost everything I wanted was out of stock; it seemed like they did not have duplicates. The best part of my stay was the service. I was greeted by every staff member I passed. I work in a hotel in guest services, so I'm very picky about this aspect of my stay. Everything I needed or asked for was taken care of promptly. Entire feel of the hotel was intimate and cozy and a nice respite from the pace of Manhatten. Great Location too!	
Jan 18 2007 	Wonderful Christmas stay at the City Club!	My husband and I spent six days at the City Club celebrating our wedding anniversary. It was the week before Christmas and we were looking for an intimate, centrally-located hotel which would give us easy access to all the holiday sights of Manhattan. As it turned out, we were delighted with our choice and would definitely stay here again. For a start, we were pleasantly surprised at the spaciousness of the room (second floor facing the street) - we entertained six people for drinks with no difficulty whatsoever. Comfortable bed and furniture - great bathroom with excellent products and wonderful shower. (I missed having a bathtub, but apparently there are some rooms that do.) Maid service was thorough and reliable - they leave huge and delicious chocolate chip cookies as part of their &quot;turn-down&quot; routine - a mixed blessing if you've just had an enormous dinner!However, what really set this trip apart was the charming and helpful staff. It seemed as if nothing was too much trouble for any of them, and every request - tickets, a cab, a dinner reservation, directions, info. about skating, shopping etc. etc. - was handled efficiently with a smile. We never had to wait for help at the front desk, which can sometimes be a problem in larger hotels - and people like David and Juliette (?) started to feel almost like friends by the end of the week.As with any hotel, there were some minor negatives - the lobby is very small, and waiting there would be a problem as there's nowhere to sit. The room could definitely do with more storage ( and there's no point in having an &quot;invisible&quot; closet door that won't stay closed!) Some reviews mentioned the lack of lighting in the bathroom, but there is in fact a less-than-obvious dimmer switch - maybe a small discreetly-placed sign would help.All in all , we had a fabulous time. Thank you, City Club, for making our special trip one to remember- we'll be back!	
Jan 9 2007 	Nice room. Weak service.	We stayed at the City Club Hotel for a four night vacation over the long weekend. I am an experienced traveller, having been around the world for business and pleasure staying in a variety of accomodations (this was my 3rd stay in NYC). The purpose of our trip was a vacation, and for that the hotel's location was ideal, although 44th and 5/6th proved to be a mighty busy intersection. FYI - The street in front of the hotel is the marshalling area for parades on 5th ave.The check-in at the hotel was uneventful and efficient, as it should be. We were checked into the 2nd floor, 202, which was facing the street (more on that later). The stairs were inconveniently located and rather creepy, so we used the elevators (no problems there).The king room was large, clean, and just really nice in general, with a really huge plasma TV on the wall (no mirror-setup that other reviews have complained about). It really is a comfortable room. The king mattress was sub-par compared to similar class hotels that I have stayed at. Specifically, the mattress felt old, and the bedding had a distinct, albeit faint, odour of curry (nice on my dinner-plate, not so nice in my bed). The bathroom was perfect, except for a door that would not close. The scuffing on the floor was evidence that this was not a new problem, and indicative of a poor maintanence budget in the hotel (or simply a lack of caring)? The shower curtain was clear plastic, for those of you who like to view yourself in the wall-sized mirror while you shower. Some positive features - free wireless internet (speed was best I've seen for a hotel), and the housekeeping was excellent.Overall noise levels at night were indeed quite high. The street noise was beyond tolerable levels on Thursday night, as the windows/walls had very little soundproofing capability. I live in a busy city street myself, and am quite accostomed to sleeping with sirens, car honking, etc., but this was quite bad. Everything from the Friday morning garbage pick-up, to the taxi honking. A visitor from the midwest suburbs would probably remain sleepless. A city dweller would not care so much.The desk staff were useless (not to be confused with the very helpful doormen). Keep in mind that we have high expectations for a hotel on this level. Plain and simple the skillsets they displayed are not on par with either the room price, the claims put forth by the hotel, or the previous reviews on this website (fakes?). First test: I called the day before our arrival to make a simple request that flowers be in our room for our arrival and cost added to my bill. &quot;Jonathan&quot; assured me this was a piece of cake, and would be taken care of. Strike one - no flowers, no apologies, no nothing. Next, we attempted to procure some advice from the desk on nightlife options. Wow, they looked like we asked them for directions to Mars. They were lame, and unprepared for standard service requests throughout the stay. Strike two and three. Bottom line - this hotel desperately needs a concierge. Or retraining for exisiting staff.I think it's only pretending to be a full service hotel. They've made their money, and now it's not worth their effort to maintain, because people like me keep showing up and giving them money. At check-out, the staff did not even ask us if we had any comments, so it's clear that they are not interested in pleasing their customers. That said, the room was great and the location was terrific. So if you are willing to pay the money and get zero from the staff, or maybe you are a business traveller, then you might give this a 5 star rating.	
Jan 2 2007 	A New Years To Remember	My partner was eager to spend New Year's Eve in New York, and I (reluctantly) agreed. All I could picture were crowds, noise and tacky &quot;2007&quot; sunglasses. We made our reservation a few weeks prior and got a reasonable rate. The Hotel is close to Times Square, but we decided to brave it and drive in. Surprisingly enough I recieved a phone call from an employee at City Club two days prior to our arrival informing us of the street closures in and around Times Square. She was very pleasant, suggesting that if we were driving to leave early- not something I would expect from a NYC &quot;boutique&quot; hotel. She even offered directions from New Jersey by train if we decided against taking the car! I must admit, this was a nice gesture. We arrived at City Club and were greeted by the bellman at the curb. The check in was quick and the staff offered assistance with dinner reservations and some suggestions on what was going on around town. We had already had made reservations, so declined their assistance. before we knew it we were upstairs in our room- which was wonderfully appointed, clean, and comfortable in size. The water pressure in the shower was amazing- the beds very comfortable and the service impressive. I felt like I was part of the family right away! Though our dinner reservations were not the best choice for us (maybe we should've taken the offer for help at check-in) our stay at City Club was great! I've already recommended it to my friends and will stay again. And the best part was we didn't even feel like we were near Times Square!	
Dec 26 2006 	Remarakable Hotel	My (newly) fiancé and I just returned from our 3 night stay at City Club Hotel. We booked one of their Grand Duplex Suites, which in my opinion is an understatement. Our room was beyond words.The hotel is located on the north-side of 44th St. between 5th and 6th Ave. It is also sandwiched between the Algonquin and Iroquois Hotels, and across from the &quot;famous&quot; Royalton. The doorman Ray showed us up to the room and gave us a brief overview of how everything works in the room. We walked in to the perfectly dimmed room with smooth jazz Christmas carols playing all throughout the suite. The spiral staircase to the bedroom instantly grabs your eyes. Once you look beyond that you see the giant floor to ceiling windows with a door that leads to your own private terrace that overlooks 44th st. To the left is toward 5th ave, to the right is Times Square, which is literally 1.5 blocks or a 2-5 minute walk. Once we got done talking in the sights, sounds, and smells of the city we ran upstairs to check out the bedroom and bathroom. The bedroom is partitioned only by a glass railing that allows you to look outside as well as downstairs. The bed is extremely comfortable, especially after an exhausting day of walking all over the city. The bath has a lot of charm as well. I didn't think that I'd like the chocolate marble, but I was pleasantly surprised when I saw it in person. It really bring an elegant look to the bath. The shower isn't very wide, but could comfortably fit two.There is also an automated privacy shade that cover the entire length of the floor to ceiling windows.They offer a breakfast as room service or available for dine-in at the db Bistro Moderne for $13.95. We never got a chance to check it out but there is a great place a few doors down, toward 6th Ave and Times Square, called The Red Flame, which has great food, service and prices!If you are looking for a place to unwind and have a few drinks be sure to check out O'Lunney's. It's on 45th St. between 6th &amp; 7th Ave. Paul the bartender is funny and keeps you on your toes.One night we went over to the bar at the Royalton and it was about as expected, a hipster bar, with hipster prices. O'Lunney's is 2 for 1 for the money compared to the Royalton. Overall, my experience with the City Club was amazing. The entire staff was amazing and extremely helpful.My only complaint was that the downstairs TV didn't work initially. I called the front desk and they immediately sent someone to fix it. We then found that the remote didn't work and was missing a battery, however when the bellman came up with the battery, the remote still didn't work. The bellman must had left and came back 3-4 times trying to fix the remote before finally getting frustrated and giving up. Ultimately it never got fixed, but we were OK with that because we would rather enjoy listening to the soft jazz over the TV.	
Dec 20 2006	Best Kept Secret	To end our Honeymoon that took us to Grand Cayman Island and Miami, my wife and I checked into the City Club. To best describe the hotel, I'll describe it's neighbors. Across the street is The Royalton, an Ian Schreggar property that is consistent with the quazi-club feeling of the lobby, complete with ample seating, hip crowd, and drink service. A few doors down, The Sofitel guardian of the epi-european inspired lodging experience. If you are can't envision the feeling of the City Club, make note that this block also includes the Harvard Club, Yacht Club, New York Bar Association, and Princeton Club. OK....now you're getting it. The most priveledged little street in NY, with it's requisite understatement. The City Club has amazingly taken in all of these accounts as its' own. It's non-descript signage ( a visiting friend couldn't find it having walked past the entrance twice) and cozy loby with a front desk that should only accomodate one, but always seemed to hold three-ready to accomodate staffers, give the feeling of a very private place to be. Yet, don't think heavy wooden beams and shelving, and superflous cabinetry. Rather the design of City Club is neat, soft, and airy. It seems to have the cool feel of the Royalton, just not the space. It soon becomes evident that this is by design. I booked our room directly through the company site, and indicated that this was our honeymoon. We were given a wonderful room overlooking 44th St. which easily was the most lodging space I've ever experienced in Manhattan. The design while efficent is not actually modern, but more transitional. Cool guy features include Ipod Docking alarm clock, a television that shows through wall mirror, and the ultimate answer to in-room entertainment, a complimentary list of DVD's to be delivered from the front desk. A courtesy bottle of wine and cookies awaited us in our room. We quickly felt torn between exploring the city or soaking up this unique experience. We decided to go walk-about, which is the second reason to stay here. Cool things are steps ahead. We did take a drink at the Royalton which confirmed our suspcicions great place for cocktails, probably not a place to lay your head. We attempted to hang at the Sofitel, but the place seemed to be oover run with families, and fuddy duddies. Of course neither group is bad except if you're looking to kick it in NY to round out your honeymoon. OK back to the City Club....we decided to go in and reqroup. We saw our favorite bellman. A breif aside explains why. We drove up to NY from DC in our White Yukon Denali. Upon arriving at the Hotel, while my wife remained in the truck I got the attention of the bellman, and explained that we were checking in, needed help with baggage, and inquired about valet parking. However, each of my requests seemed to be a slight disconnect for him. After asking if all of the luggage needed to be collected, he informed me that I could park in front of the door. Which if you know NY is the craziest thing ever suggested. While he showed my now disembarking wife to the room, and managed the bags, another staffer said nothing about parking on the street, but directed me to a garage, and even held traffic so I could make the manuever. When I arrived to our room, my wife was laughing with tears in her eyes. Apparently, my odd interaction with the bellman was because he thought she was a celebrity and I was her driver. Apparently, Yukons are now the fleet of the chic, my all black outfit appeared more uniform then stylish, and her waiting in the truck with sunglasses and fur coat all communicated something different to someone who obviously has gotten used to a very different clientle. We got the biggest kick out of it, and shared laughs with the staff about our new found celebrity for the rest of our visit. If there is an achilles heel for this place it is only that room service appears to come from a diner a few doors down the street. In winter this almost gurantees that your food can not be piping hot. Although, since it i s adiner it seems almost any request can be satisfied. I know this isn't a traditional hotel review, about towels, and high speed internet, but that's because this is not a traditonal hotel. It's a place that serves as base of operations for hanging in the city, and returning to a quiet, comfortable, and upscale environment to recharge your batteries only to do it all over again. Cheers	
Dec 2 2006 	Great stay at the City Club	I was going for an overnight trip to New York and knew that I would not be spending much time in my room. So, I was looking for a nice, stylish hotel in a good location at a good price. I managed to snag a $200 rate from Quikbook for a &quot;petite&quot; room and it was perfect for my needs. The room was small - not much bigger than the double bed - but I expected that. It was beautifully appointed and stylishly decorated. TV, DVD player, mini-bar tucked away. The marble-clad bathroom was very nice with plenty of towels and Hermes products. There were even a couple of fresh chocolate chip cookies at the end of the day. And the NY Times at my door in the morning. The room might be tight for 2 people and it would be too small if I was staying for a few days. But there are larger rooms that are very nice - I looked in one as I went down the hallway. My only complaint is that the tile in the hallway echoes any footsteps that go by your door. It's not a big deal, but carpeting would deaden the noise. The reception and doormen were friendly and helpful. The lobby is small and connects to the well-rated DB Moderne restaurant, where meals can be taken. I'm a pretty tough critic of hotels, but I would stayat the City Club again.	
Nov 19 2006 	really disappointing hotel	We stayed for just three nights and was so glad it was only three! The place was dark and dingy - no hermes bath products or frette linens to be seen. We had to wait over an hour for our room on arrival and there is really nowhere comfortable to sit and we then found that there were no twin beds and they really did nothing to sort ouf this situation and we ended up in a tiny room, despite them saying they would do something the next day, nothing happened. On the last morning, the hot water went wrong and we had to wait over an hour for a shower. Absolutely terrible. The only good thing is the location.	
Nov 19 2006 	Booking problems and poor staff training at the City Club	Problems started early with our booking at the City Club. My wife tried to book online for our stay for two nights in a Queen Luxe. She called to book the rate available from the website, but was told that the rate is only available for booking via the Internet otherwise its was a hundred dollars more in total. At her request, I visited the website to make a reservation. However to my surprise, the website was not secured (read encrypted) so that my credit card number was going over the open internet. I called the hotel again and they told me that they didn't have encryption on their website (see the padlock in the bottom of the browser window). I asked the reservationist to take my booking over the telephone, but she refused to give me the lower rate.	
Oct 24 2006 	Loved it!!	Recently stayed at the City Club for four nights. Wonderful stay! We were upgraded to a King and found the rooms to be very clean and comfortable.Loved the dark colors, the privacy, the cookies on our pillows every night! The staff were curteous. Location in midtown perfect for theatre, proximity to Times Square, and easy access to the subway to other parts of town.Would absolutely stay here again anytime!	
Aug 21 2006	Problem with Booking Online	We booked a stay at the City Club for mid-July 2006. We booked the reservation on the hotel's website and thought we booked a queen-sized room. When we arrived, and despite the email confirmation I received and had with me, the hotel informed us that the only available room was a petite room, which was a full bed in a room that would have been better as a janitor's closet because it was so small. Although the bathroom was lovely, my husband and I barely fit in the room together. The TV was not a flat screen, but rather a 19 inch regular old TV. What a disappointment. We were told that the hotel's computerized booking system erred and resulted in us booking the wrong room. To his credit, the hotel manager tried to find us a room at another nearby hotel, but apparently they were sold out as well. The manager then discounted our rate, gave us a bottle of wine and free breakfast for the two mornings of our stay. The only reason I would stay here again is that the manager kept in email contact with me (I preferred email -- he offered to call instead) regarding our room and was quite helpful. The room, however, was so small and the bed so uncomfortable, that next time, rather than take the chance of this type of error happening again, I'd probably stay at the sort of big hotel I was trying to avoid in the first place.	
Jul 17 2006	Stylish Little Gem	If you're looking for a stylish small hotel, and are more of an Armani than Versace person, then look no further. My husband and I have had the good fortune to stay in some amazing hotels around the world - from country houses, to trendy boutiques, to spot on large hotels like The Mandarin Oriental and The Four Seasons. The style of City Club is low key and I say this as a compliment. Its a small, unassuming hotel, offering excellent service and a perfect place to rest your head in chic comfort. Location wise its on a fairly quiet street perfect for Midtown, 5th Avenue, Central Park and Times Square - for venturing further we never had more than a minute wait in hailing a cab. What makes the service stand apart from many other trendy hotels is that it did feel personal ....... returning after a long, hot day (and many a late evening!) of exploring this ever changing city, it felt unusual and uplifting to be recognised and acknowledged as guests of the hotel and for our day to be enquired of by the staff. The guys at City Club are just spot on ....happy for a start, welcoming, courteous, and extremely willing to offer suggestions and recommendations. The only downside of writing this review is that it means our holiday is now over and i'm back in Ol' Blightly .... I could have quite easily of taken up residence.	
Jul 4 2006	Nice Small Package	We enjoyed our stay at The City Club Hotel during our last visit. However, we found that the rooms were very small, the air condition was rather noisy and it could do with brighter lightings. Just a word of reminder for those who are planning to made reservations to ensure that you have a print out of their confirmation with the description of the room. We were promised a room with a day bed but upon arrival, we were assigned a room without the said day bed. Upon entering, I immediately noticed the noisy air con and the missing day bed. The receptionist was kind enough to reassign another room according to the description on my confirmation after I raised my concerns. The new room was obviously bigger (but still small) and the aircon is a little quiter (but still not the silent type that I would expect from a hotel of this grade).Aside from the Hermes amenities, the bath room was surprisingly spacious.	
Jun 20 2006	Highly Recommend City Club	My fiance and I just returned from a 3 night stay at the City Club Hotel. This is a unique alternative to the more mainstream name-brand hotels out there. Very quaint, modern decor, although some rooms were a bit small, it really provides all that is needed. If you are looking for a quiet, comfortable place to lay your head at night, this is a great place. The bed was very comfortable. The 2nd floor provides a comfortable, quiet space to spread out...with internet access. The location is one of the best. Just a block or two from 5th Avenue and high end shopping, with a short cab ride to the south into Greenwich Village area. It really is a very central location, and is removed from the craziness of Times Square. It's actually a very quiet street. The staff were very friendly and accomadating and provided information on what to do and where to go. It's small enough that they actually recognize you after a day and greet you with a warm smile upon entering to retire for the night. That was really nice, something you don't get with a larger hotel group. Continental breakfast was provided every morning, which was also very sufficient. Would definitely return here again in the future.	
May 31 2006	Noisy Design; Lousy Front Desk Staff	I checked into the room and immediately questioned whether the room was the one I reserved (and was paying for). I had to show the bellman (all of whom were very nice) a printed reservation to convince him it was the wrong room. So I was put into another room only to have another guest try to enter the room a little while later as the front desk assigned him the same room.The toilet was not working when I arrived. I removed the top and reconnected it, which made it work, although the flusher was pretty much hanging from a thread the whole time. (I didn't tell the desk about this until I checked out since I had already been through the rigamarole at the beginning.) I was supposed to have 3 free breakfasts with my 3 room nights but I wasn't told anything about this upon check-in. I had to ask the front desk clerk about it later and after some checking, he realized I was correct. He said I would have to try to convince the restaurant host not to charge my room for the breakfasts because they weren't used to not charging the room. Despite my trying to convince the restaurant staff not to put the breakfasts on the bill, they did, and I had to work that out again with the front desk staff when I checked out. Oh, also, there wasn't even a breakfast available on the third morning as the kitchen was closed. I mentioned all of this to the front-desk staff upon checking out and they did absolutely nothing to remedy the situation aside from removing the two breakfasts from the bill. (There wasn't even any refunding for the lost breakfast.)Lastly, the hotel has some fundamental design problems in terms of noise mitigation. The hotel is dormitory-like in terms of the way sound carries. That is due to the fact that there are no carpets anywhere (or other sound-abatement tools), and also because the doors all slam very loudly. This may not apply to the suites as the rooms are probably set back from the hall, but for most of the (very small) rooms, the beds are not far from the loud hallway, so if you are anything but a very, very deep sleeper, you will hear late night folks in the hall and returning to their rooms.In short, the trendy design and friendly bellmen could not make up for an otherwise poor experience, and the front desk did not seem too concerned.	
May 27 2006 	Never again	Found of Boutique Hotels this one makes me wonder if I should not forget about BH in the future....For 305 USD you get a room the size of...your bed, staff look at you as if you were coming from a different planet when you complain about it, and have nothing to say. Tough luck you are in a Boutique Hotel where you cannot open your suitcase as there is no space, you cannot work as there is no desk.Does not help much in giving a good name to Boutique Hotels, there should be an industry standard so that not everybody can abuse this name. Next time any other Hotel will do but this one never again	
Apr 21 2006	Great one week stay at the hotel!	I spent 7 nights there last Easter with my family. We had a family suite which consists on a queen and king rooms at the end of the corridor connected by a door that closes allowing the rooms to gain a spacious foyer. Our stay there was excellent, both the staff at reception and at the door were young and very helpful and attentive.We found the rooms to be a decent size for a family of 5 adults, nicely appointed with some well thought details. We had a double bed in each room as well as a daybed (the one in the king bedroom was a bit tight so we used the one in the queen room); it was made everyday, as opposed to what someone said in a previous post. The location on 44th between 5th and 6th, right opposite the Royalton can' t be beat.I strongly recommend it and would definetly return if we can book a similar rate.	
Mar 14 2006	Sophisticated and Classy Little Hotel Tucked Away	Our stay in this boutique hotel was perfect from start to finish. Sleek, but cozy room. Spacious marble bathroom with oversized glass shower was beautifully appointed. Everything looked squeaky clean and fresh. Bed was comfy, and the staff was gracious and attentive. Though tucked away on a quiet street, it is only a short walk to the theatre district, and convenient for traveling about the city. The windows in the room even opened! Five star restaurant in-house was a surprise bonus.	
