	Welcoming Staff!	The reception staff was very welcoming and very helpful even in the late hours of night. The hotel is nice, very well located. The room was basic, a bit small with very basic furniture. The bathroom however is really nice with multiple amenities. Breakfast during the week end is really good, on weekdays however there is a limited choice but you can always ask the staff for hot food.The only negative comment is the hours of opening of the bar. It closes on 11 pm on a Sunday.	
Mar 2 2009 	Excellent for little money	Usually when you think about London hotels you think about really expensive rates.I got through Hilton an extremely good rate room for 90€ breakfast included.The hotel is conveniently located just off Regent Street. It is a very trendy hotel.Rooms are very clean and big for London standards.Great is the breakfast, with fresh juices and just baked bread; while breakfast is served there is a singer singing ols music with his unplugged guitar.The hotel is a steal and i definitely recomend it especially for its strategical location just in the heart of the shopping area.	
Feb 26 2009 	Great location for very modern hotel	Stayed for a week+ at this Hilton for a business trip and left with a generally good impression. I'll quickly go over highs/lows...Positives:Room-was 'upgraded' due to length of stay and found room to be very clean, and comfortable. A nice view of Trafalgar Square RIGHT outside the window. Bed was decent although I'd prefer better pillows. The internet worked fine. Bathroom was modern, but prefer more functionality. Robes were nice to have.Location-I don't mind walking but found the location very close not only to all the sights, but to the nightlife/restaurants.Gym-good equipment, and never was busy. would`ve been nice to have a pool or at least a hottubLounge-quite funky and busy some nights, although see staff belowNegatives:Minbar-not that cold, and took 5 days to get a restock, although I never called frontdesk as was in meetings for most of the trip, and didn't have wherewithal to call. learned to drink the tapwaterStaff-never found anyone overly friendly whether at front-desk or bar (attitude), although girl at front desk was good on checkout.All in all, I would return.	
Feb 25 2009 	Good Value Hotel just little niggles	My Girlfriend and I booked this hotel as I bought tickets to Wicked for her birthday, and picked there because Trafalgar Square is central to everything, Initial impressions were good, hotel was easy to find, not sure about the bright pink flower pots outside, but made it easy to see i guess. The reception was strange since we weren't sure if it was reception or a internet point, it was just 4 computers on a square desk, took a member of staff to ask if he could help before we realised that was reception. The staff however were very polite and very helpful.The rooms were a good size, with large TFT screens and a double size walk in shower, the shower head wasn't great but hey, it gets alot of use! The room was quite bare and could have done with a picture on the wall, but appart from that happy with the room.At 9:30 on sunday morning the fire alarm went off, which made my girlfriend jump about 4 feet off the bed which was quite funny. But I was a bit worried about their fire alarm procedure, there were no staff outside advising were to go and what to do, or check that everyone was out, This was proved when we were going back in and we were passed by people who had obviously ignored the alarm, and were going to the reception to check out! this was a bit worrying! This should be resolved but is a one off thing, smell of burn't toast in reception kinda explained the alarm!The breakfast was excellent, plenty of choice between fruit, continental, or buffet style english breakfast, all good quality food. Tea, coffee and fruit juice was also available with decent sized glases not the silly small things you normally get. Breakfast was included in the price (£120 per room per night)Overall i was pleased with the hotel, yeah there were few little niggles, but nothing that would stop me from staying there again!	
Feb 19 2009 	The best in twenty-nine years.	The title says it.I have been staying in hotels on business since 1980..all over the world. London is where I call my home but the hotel experience has always been somewhat disappointing. Small rooms in a noisy environment, second class service being the norm.I arrived at the Trafalgar last week. I had booked through Amex Hilton Honors and was surprised, as the taxi pulled up, not to see any Hilton signage. To be honest, I thought we were in the wrong place. The polite young doorman answered my query with a smile..&quot;we're unbranded&quot; he said. Inside, reception was an open-plan area and a delightfuly pleasant receptionist took my details. Again I mentioned my surprise at the lack of branding. She smiled and just said &quot;It's the way we are, enjoy your stay - let me know if you need anything&quot;. My room was at the back of the hotel due to an error by Amex but was amazingly large and airy by normal London standards. Five minutes later, there was a knock at the door and a friendly waiter delivered a complimentary bottle of wine and some fruit. That evening, I was in London on business and was dining out down the road at the IoD. I also had to leave early the following morning so was not able to sample the restaurant but it certainly looked good as I walked past.Just walking out the front door and being in one of the most famous areas of London is amazing in itself but to be amongst genuinely friendly and attentive staff is a real bonus.I am so impressed with this hotel that I am taking my family there for a weekend break with the hotel being the major part of the treat. Believe me, this time we will sample the restaurant and everything else that is on offer. A lovely touch is that already the management have emailed to say they are waiting to welcome me back.I have no idea why this is not branded Hilton and to be honest, I don't care. If this hotel offered apartments, it would pay a Kings ransom for it to be our London home.Well done to the management and staff. Whatever happens, don't let anyone change what you are doing...it's perfect!	
Feb 8 2009 	Amazing hotel in a great location	I always try to stay at the Trafalgar whenever I travel to London. I fell in love with the hotel when I first stayed there three years ago. I think the biggest asset of this property is amazing staff - evryone is welcoming and accomodating and willing to make your stay enjoyable. At checkin, at the bar, at the restaurant - they make you feel welcome everywhere. I usually book Deluxe Plus rooms which have views of the Trafalgar Square (really nice!), and the rooms are spacious, always clean and comfortable. I am a HHonors Diamond member, and upon arrival I always find a personal welcome letter and a bottle of wine with fruits and drink coupons in the room... Hhonors perks are very generous at this property compared to other London Hilton hotels (however, HHonors members should note that there is no lounge). My only minor complaint is that I only was upgraded once, and other Hilton hotels usually upgrade me. The bar and the restaurant are great (best cocktails!). It is nice that some of the staff remember me and always give me a personal welcome. The roof restaurant is not to be missed when opened. Breakfast selection is good (and so is service). Location is great. Everything is right there and all sights are within walking distance. Look no further if you need a nice hotel with great location!	
Feb 7 2009 	Great Location and Value - Best overall in London	Stayed at The Trafalgar for 5 nights on a business trip to London. This is the fourth time I have stayed at the hotel. The rooms are spacious and recently renovated. The property overlooks Trafalgar Square which has somethinig going on all the time. The weekend I was there a day long series of rock concerts were in the square. The hotel has a great full English breakfast in the lower level with a musician playing soft music throughout the breakfast. They offer both buffet and kitchen made breakfast dishes - all highest quality. The hotel is the best location in London - walking distance to all of the theaters, Picadilly Circus, Soho, Regent Street shopping and a tube stop 50 yards from the entrance if one chooses not to walk. The concierge is very knowledgeable and helpful for theater and restaurant information. The staff is trained to be most friendly and helpful; saying hello every time you pass through the lobby. The main level operates as a bar which is quite crowded on Friday and Saturday nites which is a bit unusual, but fun. Good appetizer menu and great drink selection. Overall a great value and the best location in London. Not what one would think of for a Hilton as the building is hundreds of years old with character, but fully redone inside with a contemporary look. I highly recommend this hotel for either business or family travel - one trip was with the family in connecting rooms and by kids and wife loved the hotel.	
Feb 5 2009 	Fantastic except for one point	The hotel is in an excellent location, very easy to get around London. 2 minutes walk to Charring Cross tube station &amp; 5 minutes to Embankment.The rooms are modern and large with good amenities (iron &amp; ironing board, tea &amp; coffee, mini bar, safe, decent hair dryer etc) - only downside was that they were very hot. The staff were friendly &amp; helpful.My only complaint &amp; something I wanted to make others aware of is that as with many hotels, when you check in they take £100 from your card as a guarentee on any room extras/mini bar etc (I would imagine this is per night). Whilst I completely understand why this is done, what annoyed me was that despite not spending anything in the hotel, the £100 has still not been refunded to me (now 4 days after checking out!). Could have been even more annoying if at the end of the month and this was all the money I had left! Just be aware of this.On the whole though, we loved this hotel and will definitely return.	
Feb 3 2009 	Fantastic weekend	The Trafalgar was an excellent hotel. The location was brilliant, staff really friendly and helpful. Would definately stay again.	
Jan 27 2009 	The Trafalgar was Great!	My family and I went to London for Christmas and we stayed at the Trafalgar. It was definitely a great choice since it is in the centre of all London activity! The location is perfect since it's a walking distance from all the prominent sights.The service was really good, very helpful- the bar and restaurant staff especially were really friendly. The rooms were clean, modern and spacious.	
Jan 26 2009 	Lovely hotel excellent location!	Really nice hotel,with an excellent location. Our room was really spacious. With nice little touches like better than normal toiletries, bath robes, slippers. The staff at reception were very friendly.Overall an excellent, modern hotel.	
Jan 22 2009 	Very nice!	I booked this hotel as a treat to myself for my birthday so i didn't have the hassle of night bus travel after a night out in Leicester Square with friends. I got a great deal on lastminute.com, a room with kingsize bed for £98. The room was great, quite a bit more spacious than i was expecting, with a fab flat screen TV, cd stereo system and dvd player, all of which i took advantage of! The bed was amazingly comfortable and all the little amenities in the bathroom were great. The only negative i can think of is the tap in the bath was a bit loose, and you couldn't take anything out of the minibar to put your own stuff in as it would charge you. Apart from those minor things, i loved this hotel and would definately stay again if i could get a cheap rate.I can't comment on the public areas like the bar or restuarant as i didn't use them.	
Jan 19 2009 	outstanding	We always go to London for our Wedding anniversary, and look for a comtempory style hotel, consequently would not usually book into a Hilton for this occasion. The Trafalgar is not like a Hilton in the way it looks and is not branded Hilton-which was the attraction to us. The Hotel is in just the best position and easy enough to find with secure public parking right behind. We were able to unload our bags in the side street outside and were met by a member of staff who took our luggage while we checked in. We were early but this was not a problem, a call to house keeping found the room to be ready, I parked the car while my wife was helped to the room with the bags. The studio room was exactly what we wanted comtempory furnished and minimal with a separate lounge area with huge flat screen T.V, DVD, bose sound system, sofa, dining table and even a second W.C. The bathroom was big, clean and modern. The bedroom was a good size and had everything you could need. The bed was comfortable and from the lounge we had a view of the London Eye and big Ben and from the bedroom Trafalgar square. We had Cocktails in the bar after seeing a show and a buffet Breakfast accompany by live acoustic guitar- just perfect! We have stayed in most of the top Hip hotels in London but have never returned to the same one twice for our anniversary. However we will definitely return to the Trafalgar it has the right Mix of everything for us, central position comtempory modern- but, probably because it is a Hilton, the right mix of people- a few young and vital types combined with more mature residents ensured a fantastic mix that we felt totally comfortable with. Well done The Trafalgar.	
Jan 16 2009 	Great start for our trip	My fiance made our reservation through Hilton Hotels website. He arrived a couple days before me and checking in was super easy and everyone was very polite and helpful with maps and information. He used the room service and it had a decent selection and arrived quickly and was great.I had spoken to Rashida previously and had a gift waiting for him (cordinated through several e-mails which were very prompt and friendly) which she gave as promised, greeting him herself. I arrived a couple days later with all the luggage which was promptly brought up after being greeted at the entrance.We had a view overlooking the square which was gorgeous. It was very centrally located and we had a great time wandering during our time there, subway access right across the street.Staff was always very friendly and curteous withoout being intrusive.Accomodations weren't extravagant, but the room and bathroom were large with plenty of room and very comfortable.We hope to go back and visit again.	
Jan 15 2009 	Service weak tries hard good location	I used Hilton Honors points which I think is the only way for an American to stay in London as the pound remains ridiculous at an exchange rate and using hotel points is highway robbery. Anyone who uses their hotel points in the US is surely wasting them.The service staff was completely disinterested here, the bellmen just standing by the door and watching as we opened it to go inside. The front desk staff was also relatively unaccommodating. I have not stayed at other London hotels recently but my gut tells me that the comment from another reviewer regarding the fact that there are better options elsewhere rings true to me.The room was also unusual with no view, bi-level with no good view of the television from the bed and the most awkward layout of furniture I have ever seen. The place attempts to be modern in that backwards and awkward English style.We wanted to have English Tea somewhere and the concierge was completely unhelpful in finding a place or in offering assistance in securing a place and told us another Hilton in town offered it. What he neglected to say and should have known is that the place booked up days in advance and so we made a special trip to no avail. I complained to management to which I never got a response and ended up not being able to have tea as it seems that there are no more English living in London and her hospitality has long since disappeared with her colonies.	
Jan 6 2009 	Give it a miss! Not bad but plenty better around!	The hotel is in a great location, but the general facilities are not great.The room was ok, it was small but fairly comfy. It was clean and there was a good bathroom.The internet was charged and was expensive, so i didnt use this.The front desk were not good and I received my &quot;peliminary&quot; bill before checkout which contained charges for the minibar which we hadnt used. I called the front desk and queried this and they said the bill would be amended and my card would not be charged.It was charged £68! I called and asked them why they did this, and they never called me back. I called again and the guy said he would check the minibar listing and then refund my card. This has yet to happen.Overall it's not good for the money it costs. Go stay somewhere else as although the location is good, it's just not worth the money.	
Jan 2 2009 	Great stay great staff perfect location	Perfect in everyway. Room was great, staff was friendly and helpful and the breakfast is awesome. We would stay again in a heartbeat.	
Dec 5 2008 	London the way it's meant to be experienced	I've stayed at the Trafalgar 4 times over the past few years. I'm always thrilled with the location right in the Trafalgar Square which is makes it walking distance to the sights, theatre and nighlife in the West End and steps away from the tube. For those familiar with the W Hotel chain, this property offers the same combination of style, smartly dressed guests and generally flashy/yuppy environment. The rooms and appointments are very good by London standards. Rooms are comfortable and somewhat spartan all the while being very comfortable. A definite must-see is the rooftop terrace. If you're fortunate enough to be in London during the warmer months, it's a wonderful vantage point to take in the city.The breakfast offered on the lower level is excellent and commensurately priced. It is a recommended stop at least once if you decide to forgo a sloppy English breakfast in favour of something a bit more North American.	
Dec 3 2008 	Great Stay	My wife, daughter and myself stayed at the Trafalgar over Thanksgiving week. While people have complained about being able to find the hotel - it is right on the square, across the street from Canada House. Look for the clock over the doorway and you are there. Why others could not find the reception area, I don;t know, as the lobby is realtively small and there is someone at the corner door to direct to the left and the funky reception.We arrived from our overnight flight at 9:00am - the room was not ready - but they checked us in and upgraded us to larger room with a king bed. They took care of our luggage while we went off on a quick tour. Upon our return at 12:30 we were given our room keys and shown to our room. All the luggage had already been brought up - which was great.The room for London was very spacious. Minimalist - no pictures on the wall - big deal. Very clean and well stocked with towels etc. The bed - could be better but not horrible - the roll away bed for my daughter was more than adequate.Being Hilton Diamond, they gave all three of us breakfast each morning in the lower level. The english breakfast is more than adequate with excellent variety of breads, chees, smoked fish, fresh fruit and on and on.the location as can be imagined was excellent. Easy walks to many of the sights and a block from the Underground. We took the Underground to the hotel. You do need to make a change from the Piccadily to either the Bakerloo or Northern Line. I recommend the Bakerloo transfer at Piccadily as you will deal with fewer steps with your luggage. I wouldn;t take the fast express train from the airport - which is expensive and takes you to Paddington - which frankly is a pain in the butt to get to Trafalgar - so you might as well save money and take the underground.Other recommendations - purchase the London Pass - a good value if you are going to atl east 6 sites and with it but the Travel Pass. I know we got our moenys worth for the three day passes - one less money thing to worry about as well.Bottom line - nice hotel, very nice staff, clean rooms a very good experience!!	
Dec 3 2008 	Birthday treat	Our stay started off quite bad, the journy wasn't great then the rooms that we thought we booked online were not available!Enter Rashida, a very pleasant girl with a big smile. Well Rashida quickly sorted out our rooms (which were great) then arranged for the birthday girls,(my wife and my aunty) to have a lovely bottle of Champagne sent to the room. The weekend went splendidly and we all agreed that when we visit London for another show (my birthday) we will be booking into the Trafalger and hope that we wil be greated by Rashida as we believe that she will indeed lok after us once again.Dean,Shropshire	
Nov 28 2008 	Wicked time in London	Having made a booking for the Hempel hotel in London and then cancelled it based on the reviews here I was looking for a new botique style hotel for my girlfriend and I to stay in for a weekend in London. The Trafalgar Hilton hotel came back from both googling and a search on this site. Having read reviews we went ahead and booked. And I am glad I did. It was one of the better hotel experiences I have had in a while.Now, I will say that this hotel may not suit everybody. But as a 30yr old man taking his girlfriend away for a great weekend it was top notch.Upon arrival we came into the bar downstairs, lively with suits on a Friday evening but there was a nice buzz about the place. We went over to check in and were upgraded immediately to a deluxe room (which was nice). At all times over the weekend the staff (from the desk to room service) were top notch. I cannot fault their friendliness or attention to detail and sense of duty to looking after you as a guest in the hotel. The room was lovely (if a bit minimal for my taste) with plenty of movies etc and well stocked, bathroom was great. Room service was spot on, only slow the one time when I ordered a steak sandwich but I had been called by the kitchen already to let me know that it would be 15min or so before it arrived.BEST BLOODY MARYS you can get as well !! I mean it they have to be tasted to be believed.Breakfast buffet was lovely, again staff downstairs were great.Would stay here again next time I am back in London.	
Nov 27 2008 	Great Location	I'll start with the positive-The location was amazing! We were able to come back to the hotel anytime we wanted and we were able to walk to every sight, road, tube, in just 5-10 minutes. The National Gallery is literally steps away and the double decker bus tour meeting point is just across the street. We had a wonderful stay but we didn't LOVE the hotel. The room and bathroom were very big but the bed was not comfortable at all. The staff was not overly friendly and the drinks were very expensive. We used our points to get this hotel and if we would have paid full price we would have been very disappointed. But since we used our points we were just thrilled to be there and had a great time!	
Nov 14 2008 	Trafalgar - Hilton?	The Trafalgar describes itself as the only 'Unbranded' Hilton.....why is this? It was a really good hotel in a kind of a way - but the only thing 'Hilton' standard was the service. De-Luxe plus room promised view of Trafalgar Square, well if you reached your neck and craned to the side - you got a glimpse. Rooms also are not de-luxe plus.....they're nice, they're big for central London but they're stark and too minimalist. Please do what it takes to brand this hotel in the familiar Hilton fashion and show us some real luxury in those de-luxe plus rooms (see Glasgow Hilton for example). The Location was wonderful, really superb, the staff &amp; service were also wonderful. Restaurant ok but breakfast in the morning was a bit gloomy as it's a basement with no natural light - &amp; lose the live music at breakfast and pipe it in - spend the money on the rooms! I really liked The Trafalgar but I didn't love it - and I usually LOVE Hilton hotels.......	
Nov 5 2008 	Pleasantly surprised	We have just stayed 4 nights at the Trafalgar Hilton and were somewhat wary due to other reviews but as it turned out we liked this hotel.The reception area is easy to find as it is just to the left as you go in.We found the staff to be friendly and helpful even though we were probably their oldest guests.The bar is to one side and as there is separate walkway to the lifts so you don't come into contact with nightclubbers.The room was nice and clean with good quality furniture, I wouldn't class it as minimalist or austere.The bathroom was very well appointed with good quality towels and toiletries.The position of the Hotel is good but get used to walking across multiple traffic lights to get where you want to go.A Tesco Metro is near and handy but a bigger one is available a bit further up the Strand.All in all we would be happy to return to the Trafalgar.	
Oct 29 2008 	Excellent Property	My wife and I stayed here with Hilton reward points and throughlly enjoyed our stay. The room was comfortable and spacious, the service was excellent - hotel staff brought us complimentary fruit and a bottle of wine..each night there was something waiting for us.This hotel is extremely well located and we easily made our way on foot to many london landmarks including Buckingham Palace, Big Ben (British Parliament), and Westminster Abbey. It is also a short walk to the Charing Cross Subway station which gives convienient access to all of London.Would definately stay at this hotel again!	
Oct 18 2008 	Great hotel	Got the hotel quite cheap through lastminute's secret hotels. Pros: Fantastic location, very comfy beds, great views from the rooftop bar and lovely staff.Cons: DVD library hardly has any DVDs! That's all I can think of.	
Oct 13 2008 	Modern Rooms Great Location Miserable Beds	The positives:Great location on Trafalgar Square. Quick walk to Parliament, Eye, SoHo, Piccadilly. The two best art museums in London at your doorstep.Nice sized rooms with ample bathrooms.Plasma TV.Hip and happening bar in the lobby and roof deck in good weather.The negatives:The beds are horrendous. Thin mattresses on spring platforms.Linens are of poor quality. I would wash my car with the towels.No built in closets - instead, dormitory style armoires - so no drawers and 7 hangers per closet.15 pounds per day internetRoom service with &quot;service,&quot; &quot;tray,&quot; and &quot;delivery&quot; fees.If you want a great location and large rooms in a hip hotel, this is a good moderately priced choice. If you are a light sleeper or weigh more than 150 lbs, think twice.	
Oct 3 2008 	Great hotel great location	After a long series of stays at the Hiltons in America my job has taken me off the road for the time being. At my wife's suggestion, we cashed in a sizable portion of my HHonor &amp; Continental points for a dream vacation to London. Our destination, the Trafalgar. We arrived with none of the issues finding the hotel others had. It's right on Trafalgar Square across the street from Canada House. No ProblemoWhen we arriverd, the hotel staff was certainly a cut above the norm. Any question we had was resolved and issues didn't arise because they were cut off before they could even become issues. The rooms were pleasent enough. We were on the 4th floor with a view of Nelson's Column. There was no outside noise to speak of - even when facing the busy square on a weekned. The bathroom was a bit confusing at first - 6 knobs on the tub :) but we figured it out and after that it was delightful.Three staff members deserve special mention:1. Tom Howard - concierge extraordinaire. Part of our trip was planning to see a specific painting by Vermeer. The problem was, this painting is owned by Her Majesty, the Queen and is not always displayed in the same gallery. Google and the web were no help tracking the canvas down. Mr Howard precisely pinned down the location and helped make our trip a success. 2. Danny, on the reception desk. Danny consistently anticipated our needs - from maps and directions to scheduling a taxi for our return to Heathrow. His service was the cut above I've grown to enjoy from the Hilton. 3. Craig, our Breakfast Waiter. There is table service and then there is table service. Craig, after one night, knew our names, meal preferences, drink orders, and even how often we needed our glasses refilled. In my travels, I've yet to find a server so quick to make my wife and myself fell at home. He is truly a credit to the Trafalgar and helped us to start each day on an excellent note. Plenty of deluxe touches from the wonderful bar to the rotting guitarists during our breakfast made our stay a delight. In summary, the Trafalgar, in addition to being perfectly located in the heart of London, provided a level of service above and beyond the norm.	
Sep 23 2008 	Very pleasant stay	The hotel is very conveniently situated; it was wonderful to step outside and be instantly in Trafalgar Square, on a perfect Autumn day at 9am before all the tourists got there. Walkable distance to many other central London locations, too. I found the staff extremely helpful and friendly. The lobby is trendy and stylish, and we liked it.Although the food at the breakfast buffet was top notch, I did not care for the decor of the breakfast room. Dimly-lit, black chairs, and a guitarist! I felt as if I were in the Monty Python cheese shop sketch - wanted to stand up and say 'Stop that bloody bouzouki playing!'. At breakfast, I require a light airy space, newspapers and quiet, and I'm sure I'm not alone in this.The room itself was fine - white bedclothes, many electrical points, upmarket toiletries. Despite the fact that we were in central London, there was no traffic noise, as the windows are apparently triple-glazed. Wardrobes irritatingly located just inside the room door and outside the bathroom, making it impossible for one person to go past whilst the other was looking in the wardrobe. By the way, I think it's very funny when people complain about not being able to see the hotel sign; if you have the address of the hotel, then the words THE TRAFALGAR outside, the revolving doors and people walking in and out with suitcases are kind of a giveaway. Perhaps those who can't find their hotel are not yet ready for the rigours of international travel!	
Sep 10 2008 	GREAT LOCATION - Good value for london	This is a Hilton hotel and the room was typical Hilton standard. Hotel does not give Hilton Honours credits; otherwise good value for a hotel in London .The location is really great, walking distance to many, many central London sights. We stayed three nights. We took a package including dinner on first night and daily breakfast included at GBP 138/night including taxes. The roof bar is worth a visit, but note that drinks are expensive. Avoid rooms 610 to 612 as they are close to the entrance to the Roof Bar and are noisy because of people going to the toilets. The Lobby is also a very, very noisy bar so avoid rooms on the lower three floors.	
Sep 6 2008 	Location Location Location	Excellent hotel in all aspects especially the location. The hotel is within wlaking distance of much of the major attractions in London. The few attractions that are further away can easilt be reached by the tube or buses that are right outside the entrance of the hotel. Room had a nice view of Trafalgar Square also.	
Aug 25 2008 	Perfect location friendly staff very chic	I was very curious about this hotel after reading several very divergent reviews. Here's the real scoop as I see it. The hotel is perfectly located, central to most everything. The hotel is not your typical Hilton (I'm a Gold member), much more like a boutique type hotel. I found it quite refreshing. The lobby really isn't a typical lobby as many have said. It's a large lounge with nice jazz and a cool vibe most of the time except perhaps early. If you come in one door, you will walk directly into the check-in desk, not a counter but a desk. Some seem bothered by this but it didn't seem odd to me at all. If you come in the other door, you will meet the concierge you will direct you to the other side where the check in desk is located. As I said, not typical but perfectly fine.The rooms are very nice, minimalistic, cool, and ours had a beautiul tile and marble bathroomn that was wonderful. No complaints whatsover. Skip the minimbar though as you will go broke with $8 cokes. We found the staff very courteous and nice. The bartenders were great, the manager a true pleasure. Check out the rooftop bar as it is a great place to have a drink.Finally, let me say that Michael Phelps was staying at the hotel at the same time we were, having just arrived from Beijing for the Olympic handover to London. If that isn't the best endoresement for this particular hotel, I don't know what is. Enjoy!	
Aug 25 2008 	The winning formula for a great weekend!	What can I say about our stay at The Trafalgar Hilton, apart from we had an absolutely amazing romantic weekend there. The hotel offers a fabulous location and convenience to all of Londons attractions. The staff were extremely polite and helpful anytime we asked for assistance with directions, calling taxis and contacting restuarants. We found the whole Trafalgar setup very chic, stylish and boutique in presentation but not at all pretentious.The trafalgar is part for the Hilton hotel group, but I am very glad it doesnt fall in line with other big brand Hilton hotels my partner &amp; I have stayed in, as personally i think they can sometimes focus too much on the big brand name and therefore lack character and atmosphere, something my girlfriend and I personally think the Trafalgar has, due to it being different from the norm.I can see where alot of people maybe 'concerned' due to the lack off exterior Hilton signs etc. However the building does display a sign saying &quot;The Trafalagar&quot; above the main front door which will lead you straight to the conceirge desk, from there the check-in reception is 10m away (just to the left of the bar).The rooms at the Trafalgar were always spotlessly clean and well maintained, everything changed daily as far as we could tell. We found the rooms extremely comfortable and had a very modern and contemporary feel to them inline with the rest of the decor of the hotel, what you see in the hotel pictures is actually what you get. Other nice little touches were the creams and lotions left on your pillow at night, you bed being turned down for you etc.The Trafalgar bar, The Rockwell, is very nice and seems to have an endless selection off drinks to choose from, try the Vanilla Mojito. In the evenings as other reviewers have commented, the bar itself becomes very lively, which attracts a young professional crowd and has a DJ playing, more so on a Friday and Saturday nights, but it doesnt transform into a bustling nightclub, its more a pre going out bar if anything.All in all we would definitely go back and stay at the Trafalgar as it made our romantic getaway even better! Thanks to Hotel and all the staff, job well done.	
Aug 14 2008 	Disappointed HH Diamond member	On holiday with my family we stayed 3 nights at the Trafalgar Hilton. The Hotel would be better served if it changed its name to a &quot;W&quot; hotel. It is a minimalist boutique hotel with sparse if any decor in the rooms with little semblance to a Hilton hotel; cold and sterile is the best description. I had reserved 2 rooms, the twin beds in one room would be better described as “cots” as they were extremely small. As a HHonors Diamond member I should have been given complimentary room upgrades with free continental breakfast. The later was not offered and I had to negotiate the breakfast option at the forfeit of the room upgrade. The hotel finally obliged to offer us both amenities of room upgrades and breakfast. In all my years as a Diamond member this situation was ridiculous. Another gimmick I found interesting was that the hotel added gratuity to the beverage and restaurant bills after the fact without informing you of such action. Not sure of the appropriate tipping standard in the UK, I added a tip to my bills. Upon check out I realized servers received a double tip. Candidly, the hotel is ideally situated but that is about it. As a point of reference our next stop was the Arc de Triomphe Paris Hilton………..that was an outstanding hotel and the manager of the Trafalgar Hilton should pay them a visit.	
Aug 10 2008 	Great Location	We booked 4 rooms at the Trafalgar Hilton for a one night stay prior to a cruise. It was a little difficult to find , then we realized after circling the block that it was on the corner with just a discreet sign saying The Trafalgar, no big Hilton sign. You walk into the lobby &amp; there is a bar &amp; a small desk to check in although it took me a minute to realize it was indeed the check in desk. The staff was very helpful &amp; check in was a breeze. The rooms were well appointed, beds comfortable, very nice bathrooms. The decor is very modern, contemporary. I found that I enjoyed it as it was such a change from my own home &amp; hotels I usually stay in. So, I didn't find it &quot;souless&quot; but if you're not fond of that type of decor you may not want to stay longer. The best part of this hotel was the LOCATION. We walked to the theatre to see Jersey Boys. I would stay here again simply for the location &amp; access.	
Aug 10 2008 	Trendy and different with best location	We had a good stay at this trendy hotel. It's not a standard Hilton and just therefore it was different and sensational. We had a standard Plus room, wich was very spacious and had a calm view and location to a nearby office building. The room was well equipped with both DVD, CD-player, flatscreen, coffee/tea making facilities, bathroom and slippers, and had Temple Spa as bathroom amenities. The bar was very nice with a DJ and serving signature cocktails, as well as the restaurant in the basement served good food to ok prices. Breakfast was ok but nothing special- here they could use a little bit more innovation and focus of improvement. The breakfast at The Waldorf Hilton is much better. It's not luxury but a good trendy first class choice. The location is convient and best at Trafalgar Square, just foot steps from China Town, Big Ben, Downing Street, Bond Street, Buckingham Palace - you name it. Unfortunately the service limping overall, its seems that the staff are not well trained in their service skills. We ordered ice from room service we didn't recivied, the breakfast waitress missed to serve us both coffee and orange juice as well as some of the front desk staff are insignificant.	
Jul 30 2008 	Largest room in London	Moved here after spending first couple of days at the awful Sheraton Park Lane. Talk about going from the outhouse to the Penthouse. Whereas the Park Lane punished you for booking on priceline by giving you a dreadful, shabby room, the Trafalgar gave me a beautiful and enormous room-the largest I've ever had in London. You have to be okay with contemporary decor, but what I've found in London is that contemporary decor usually means a room that's been redone since the Tories were last in power.Unlike other reviewers I found the service to be just fine. Yes, it is of the modern, W Hotel variety, and there is not a typical front desk. Maybe I just arrived at the right time, but the staff couldn't have been lovelier. Meanwhile the location is PERFECT. Trafalgar is outside your door, everything is literally minutes away.	
Jul 28 2008 	Modern...	When you enter the hotel lobby you will get confused. At least I was. Is this really the hotel? It more looks like a bar. Especially if you arrive in the evening the sound level is really high and there is no visible reception desk. Anyway there is a reception and the staff is very friendly. The hotelroom is more like an ordinary hotelroom, but modern. However it is spacious, but very few furnitures. I would have liked two armchairs in a doubleroom, especially when the room is so large.The breakfast is OK, but not anything special.The location is of course more than perfect, but overall the hotell is soulless.In my view it is not worth the money to stay here. There are loads with more exiting hotels in London.	
Jul 23 2008 	Will not be staying here again	My husband is a Hilton honours member and picked this hotel to stay in for a family trip to London. As other people have commented the hotel has poor signage and if not for the taxi driver would have been hard to find. The rooms are very minimalistic and plain, it looked like someone had forgotten to put any art on the wall. It is useful to be aware that the rooms at the back of the hotel back onto an office block which was so close you could see the computer screen savers. This makes the rooms quite dark. The main problems that we had with the hotel were :-- the maid came into my sons' room at 11.00pm to do the turn down service. They were quite frightened by this as they had already gone to bed.On another evening they did the turn down service before 5pm.-one night we found that housekeeping had run out of duvet covers and decided to put the duvet between 2 sheets which just moved as soon as you got into bed .-in breakfast on the last day some of the bread products had run out and I was told that they would try to replace them but had I come earlier it had looked lovely. There was also an issue with teapot lids, they had run out. On the positive side the hotel is in an ideal location but overall have stayed in better Hilton hotels which are less pretentious and more welcoming.	
