	Incredibly noisy room	Unbeatable location which is both the best and worst asset of this hotel.Just across the road from Victoria Station, it is situated strategically, especially if you arrived in London from Gatwick. The drawback is... the room (4th fl) was facing Victoria Station and it was INCREDIBLY noisy at nights. I cannot believe that, when designed, nobody realized that being so close to Victoria the rooms should have been, at least to some extent, soundproof. I stayed for 2 nigths. First one barely slept. I got up from bed several times to double check that the windows were closed as I just could not believe so much noise could come into the room. Second night I slept much better... because I had previously bought earplugs.By the way, the internet connection was free, but very slow.	
Nov 11 2008 	Not as bad as it's made out - we liked it! :)	My boyfriend was exhibiting in the V&amp;A on halloween and so we needed a hotel that was handy for getting back to late at night, and then a good base for us to explore London at the weekend. He booked the hotel and so I had no input in the decision.I travelled to London alone, and went to the hotel to change before the exhibition. Check in was fine and I was really pleased with the room - the bathroom was lovely and the room was a decent size. Ours looked onto Victoria Station, but there was never any bother with the noise. The hotel booked me a taxi to the V&amp;A and I had no problems. When we returned that night we ordered room service, which was expensive (as it usually is in these kind of hotels) but the food was lovely.Our stay at the Hesperia was great. The location was really handy. However, there was one incident that left my boyfriend and I a bit perplexed - he had brought a 'smart' coat and scarf to wear in the evenings, and carried it with his travel bag after the exhibition on Friday night. He and I both remember him taking it off the top of his bag when he arrived in the room and putting it aside. When we were getting ready to go out for dinner on the Saturday night my boyfriend couldn't find his coat or scarf (he'd worn a different one out that day). We turned the room upside down and found it nowhere - I asked him if he was sure he'd not left it elsewhere (beginning to doubt myself, even though I was sure I had seen it in the room) but he was positive he hadn't. We rang reception who said they had a coat and a scarf there - but couldn't tell us where it was found. We were really puzzled, but are still positive he hadn't left it elsewhere and that it HAD been in the bedroom. I would be interested to know if this had happened to anyone else!Victoria was a good location. We ate at the Mango Tree, which was within walking distance had we not taken a wrong turn and got lost!! However we struggled to find somewhere to drink afterwards other than the hotel bar..I loved my weekend in London and would return to this hotel - but look after our coats!	
Nov 7 2008 	Just Fine	We stayed here for three nights last week. The hotel is located very close to the apollo theatre and would be perfect if you were going to see Wicked. We loved the area of Victoria; lots happening with some great bars and restaurants. I would strongly recommend a visit to the Cardinal centre close by. Lots of nice restaurants.The hotel itself was just average to be honest. The rooms are ok, breakfast was ok and the staff were ok. Nothing was excellent in my opinion but it suited our needs. After all, London is mad and you end up spending the majority of your time sightseeing and shopping... well maybe that's just us!The rooms are small but ours was incredibly quiet given the location. I would strongly recommend asking for a room at the rear of the hotel as the front looks directly onto the station. The breakfast was fine if rather strangely organised. There were bacon and sausages at one end of the buffet and then eggs and hash browns at the other with brown and red sauce plonked in the middle where the yoghurt and fruit lived. Very strange! There's plenty of staff though and we never had to wait more than 2 minutes for tea, coffee and toast. The staff in general were again... ok. Not overbrimming with personality but then again not rude... a bit non descript if you ask me. Noone really stood out. The hotel is however in a good location and there are lots of shops, eateries etc. in Victoria station itself to tap into. Loved the Krispy Kreme donuts! I think for me the area exceeded my expectation but the hotel didn't.Would I stay here again? Truthfully, if the rate was good and there were no other alternatives, probably but I wouldn't rush back to be honest. There are probably cheaper alternatives out there.	
Nov 2 2008	Good Value for money	I stayed here for one night on a short trip to London on a weekend. The hotel is located on a quiet street next to Victoria station. The room overlooked the road, and we did not hear any road nose. The room was of good size, with two single beds. If you want a double bed, they simply push the two beds together. The hotel was clean and relatively modern. The hotel was good value for money, and I would stay here again in London.	
Oct 19 2008 	Visitors in the Night	I stay in London at least one night each month and usually at the Jolly St Ermines. They were too expensive last time so I tried the Hesperia - but never again.It cost £153 for bed and breakfast but is nothing at all special in room, atmosphere or food - just the usual drab 'could be just about anywhere' type of hotel.What did make it a memorable stay was being woken up at 12.30 in the morning by someone entering my room and putting the light on! I shouted - they left. I rang reception and it appeared it was a member of staff who had come in. The next morning I complained to the duty manager who dealt with it very badly, eventually offering a 'massive' £7.50 discount for my disturbed night's sleep and intrusion on my privacy. She needn't have bothered - there are plenty of other hotels in London.	
Oct 10 2008 	Ok but nothing special	Enjoyed our stay, we thought that it was in a great location within easy walking distance to all the major attractions and was also extremely easy to find once we had left victoria station. However, although the room was ok and supplied us with all the basic needs we thought that for the price it was pretty standard and not at all worth the cost. With regards to the service we were overall pleased as the room was cleaned every day and we were provided with clean towels, we also had no problem with the hot water which we were expecting due to the complaints that we had read in many reviews. If we were to visit London again we would consider staying at this hotel again but at a cheaper rate.	
Sep 24 2008 	Very Central hotel would recommend it	Stayed in the Hesperia recently for a family weekend. Wonderful central location on Bridge place, 5 minute walk to Victoria tube station or Gatwick Express. Walking distance to Buckingham Palace and many other sites. The rooms were pleasant, normal 3 star. I would recommend this hotel for a weekend in London.	
Sep 3 2008 	OK but .....	My wife and I chose this hotel because it is just across the road from Victoria Station. We spent one night here before travelling to Paris by the Orient Express - WOW !I treated the boss to an Executive Room. Madame was chuffed with the extra bathroom goodies now on her dressing table. Sir was somewhat disappointed in the room - maybe I'm getting too fussy in my old age, but, for example, it was not as good as the 4 star Sofitel at Gatwick wherewe had stayed a couple of months previously. I felt it was tired and could have been better equipped.Perhaps it was the evening meal which really off put us. My salmon starter was overcooked, and the main couse of Lamb Shank suffered the same fate. Even though there were only four other guests present it took rather a long time for each course to appear. My wife quite enjoyed her choice though. But - and it is cruel to do so - compared with the Orient Express it would earn 2 out of 10 !!However they redeemed themselves the next morning with a good selection for a Room Service Continental breakfast at no extra inclusive cost. Nor could we fault the efficient and friendly Reception Staff.The hotel is in an excellent position for getting around London - but do eat elsewhere for your evening meal.....Tony and Hilary IrelandCheltenhamEngland	
Aug 31 2008 	Fabulous Location	This was my first time in London, and we booked this hotel primarly because my company has a corporate rate at this hotel. We landed at Gatwick and took the express train straight to Victoria station (30 GBP return per person and you can buy your ticket right on the train). Exit at Platform 1 from Victoria station and the hotel is right across the street. Our check-in was flawless (it was around 4:00 p.m.) and we got a room on the 3rd floor (executive level) in the rear of the hotel. I read that it is quite noisy from the station, so I requested it, and got it. The room was your standard room, king size bed, (a little too soft for our liking, but we got used to it), a TV (not enough channels, few english, french, german, and arabic), a mini-bar (we received complementary water, and juice from the mini-bar, not sure if that is standard practice, could have been because we were on the executive level). Coffee and tea were also included. The bathroom had the regular toiletries, including a comb, toothbrush and a razor with cream, but no hair conditioner, only shampoo. The bathroom had no fan and the water pressure was very low. We only had breakfast once in the restaurant which was 10GBP if you booked it in advance, or 17GBP if you showed up on the day. It is served weekdays from 6:30 a.m. to 10:30 a.m. and weekends from 7:00 to 11:00 a.m. We never ate dinner nor had drinks at the restaurant so I can't comment on that nor did we use any of the facilities. There is also a complementary newspaper in the lobby. We didn't have any problems with our check-out (10:30 a.m.), but it would have been nice to have an express check-out option, which is something the hotel could add, especially for business travellers.We liked the hotel for the location as well as the price, and if we ever visit London again, will probably stay there again. I would advise people to ask for a room in the rear, and try and get the executive level on the 3rd floor.	
Jul 27 2008 	No hot water 	The Hesperia is very easy to find being located right next to Victoria Train Station. Check in seemed to take forever, over 5 mins each, and I'm not sure why as for about 4 of those mins they didn't seem to be actually doing anything.The room itself was clean and tidy with all the usual bobbins of a London business hotel. The room also had a big(ish) LCD TV an a number of free TV channels (including Adult channel). The bathroom was clean and tidy and had the usual complimentary toiletries. However, in the morning there was NO hot water at all for a shower, not ideal ahead of a days worth of meetings and travelling!!!Breakfast in the morning was better than average with a full hot and cold selection including some rather nice cold meat and cheeses (much better than other hotels).Check out took over half an hour which for a central London hotel where people have to be places is just ridiculous. There was no express check out facility and as a result I was 20 mins late for a meeting. One of my colleagues complained about the hot water situation and was told to leave the queue and speak to the duty manager who advised as it was only off for 15 mins (I don't believe that to be true!!) they could offer no compensation. The duty manager would not complete the check out process leaving my colleague stranded and having to push back into the front of the queue.A nice hotel but simply wouldn't stop there again due to the problem and how it was (or wasn't!!) handled!!	
Jul 24 2008 	Service Disgraceful	Stayed at the Hesperia as an alternative to the truely awful Bromley Court as had to work in Bromley for a couple of days. The rooms and the hotel were all fine, pretty average really. The problem came when I woke up in the morning to find there was no hot water in the room at all. When I called reception to query this there was no answer. Like most office workers (I'm sure many stay in this hotel) I did not have time to sit around in my room waiting to see if the hot water would return, so I endured a cold shower.When I advised reception of this they weren't in the slightest bit interested. I explained that a hot shower is a pretty basic requirement for a 4 star hotel and suggested that they refunded an amount of £14.10, which was the cost of a round of drinks that appeared on the bill. They did not have the authority to refund such a small amount and had to call the duty manager.When the extremely curt duty manager appeared to look down his nose at me he explained that the hot water had been off for only fifteen minutes (no way, at LEAST 40 minutes!) and as such it was hotel policy that NO refund or discount could be given as it was unavailable for less than an hour. I explained that office workers could not sit around for an hour waiting to see if the hot water would return. He was as unconcerned as the reception staff and advised there was nothing he could do.As my company were paying the bill and not me I reluctantly paid full price for a room in a 4 star hotel that could not even provide a hot shower. Had it have been my own money I would have walked out and invited them to write to me!In addition to this I found out today that they overcharged the card by £120.00 and could not offer any explanation for this other than the receptionist must have made a mistake.So in summary the hotel itself is ok, but the service is non-existant and If anything goes wrong expect to still pay full price!	
Jul 17 2008 	Decent Central Hotel	Having tried a number of central London hotels and having an appointment near Victoria I thought I would give the Hesperia a go. Having read some of the comments on here however I was a bit apprehensive but wasn’t disappointed.The location of the hotel is ideal for business travellers and tourists alike and backs right onto Victoria Station. I arrived quite late at night and must say I was given a warm welcome by the lady on reception which makes a nice change for London (She was Australian which may explain this!). I was checked in very quickly and took the lift up to my room. The hotel is generally well kept and I found the room very clean and in good order. I know some people have moaned about the decorating but I actually quite liked the colours. The bit I was worried about was the noise from the station. Indeed I could see Victoria station and the dirty dustbins from my Window, not a pleasant view. The noise however wasn’t really a problem. I hard the odd announcement but it didn’t keep me awake at night.Whilst there as I arrived late I ordered some room service. It soon became clear that despite being a Spanish hotel, the rip off London tag still applies. £12 for a tiny crayfish wrap and £4 for a bottle of mineral water! Still it was okay but really this is taking liberties.I also had breakfast in the hotel and found this to be quite good with plenty of choice from a self service buffet.Upon checkout I encountered very long queues with a wait of about twenty minutes to get served. This was partly caused by having four desks but only two people serving, not a good policy at the busiest part of the day. Despite that the staff member was very friendly and courteous as were all the staff I encountered. I never tried the leisure facilities so can not comment on them. One final observation I made was the prices for people coming in off the street, in the region of £360 per night for a standard room, (my company paid £120) now it is not worth that much!On the whole this is a reasonable hotel ideal for a few nights in London but nothing particularly special.	
Jun 29 2008 	Great hotel	Our stay was for the weekend, to see a show ( Billy Elliot)My husband booked this hotel due to its location to the train station and the theater.After reading the reports on here about the noise from the platforms of the station i have to admit i was dreading it as iam a light sleeper.Upon arrival we expected to b turned away as we were 3hrs early for check in, but we were checked in no problem.I asked the receptionist about the noise levels and she told me we would be on the 7th floor and we sholud be ok,she offered us a room on the 1st floor but i thought it would be better away from the added street noise so we stayed with our allocated room.The rooms are nice for London i have to say i was impressed apart from the weird bathroom door.1- its glass, not totally frosted either2-there is a gap along the bottom on the doorand3-there was no lock or handle so it just closes to !! Its a good job we r married and comfortable with each other !We unpacked and i could hear the announcements,just, and i dreaded the nightime coming,however i did take earplugs to help.After the show we had tapas (not hot,luke warm) and drinks in the bar, the tv was on silently but the program was awfull, not something you want to see whilst relaxing in a bar on a saturday night, i would recommend they just turn in off, as the music is ambient.Bedtime came and............. I slept, i heard nothing,lucky me i didnt need the earplugs. so if you want to sleep well go higher up the hotel.The breakfast was the best iv ever had in a hotel, lots of choice hot and cold and good quality, it will take some beating anywere other than an all inclusive 5* hotel,we were very impressed.All in all i would totally recommend this hotel if u r seeing a show close by.	
Jun 9 2008 	4 stars and rightly so	My partner and I have just returned from a weekend in London booked as a package with show and stay. We went to see the musical 'Wicked' at the Apollo Theatre Victoria and stayed at the Hesperia Victoria Hotel. I have stayed in many hotels all over the world, some of which advertise as four star but in reality are more like two star. The Hesperia is a four star hotel and rightly so. Our stay there was excellent. The staff are friendly and helpful and the room was clean, comfortable and contained all the traveller would be likely to need on a weekend stay. The hotel is decorated in a contemporary design with the lounge area downstairs being very comfortable with large leather sofas and arm chairs. We had breakfast booked as part of our deal and were genuinely impressed with the fayre. There was a large selection catering for all tastes and all the food was presented beautifully and cooked to perfection. The hotel has a small swimming pool, sauna and gym for those of you who like to stay active and all facilities were in excellent condition and very clean. The only downside was the price of drinks in the bar - over £3 for a small coffee and beer was nearly £5 per small bottle (in the mini bar) but this is probably normal for a central London hotel. The hotel is ideally placed; Victoria train and tube stations are a short walk away and getting to anywhere in London is incredibly easy from this location - highly recommended.	
Apr 13 2008 	An ok hotel	This hotel is right opposite Victoria Station and so if your room is on the front of the hotel it will be noisy. We could clearly hear the platform announcements. I slept fine but my partner was kept awake by the noise. Our children had a room at the rear and they were fine.The rooms are fine for a central London hotel. Nice products. No robes. There is a small pool, hot tub and gym. After a hard day shopping the pool and hot tub were very welcome. Not luxurious but enjoyable.We ate in the restaurant. My partner ordered Sea Bream which was not cooked. The waitress dealt with this quickly and efficiently. She offered a complimentary replacement and a glass of wine. He chose fillet steak to replace the fish. He requested medium rare but it was very well done. However, the chocolate fondant was gorgeous.Breakfast was fine with a reasonable buffet. The train and tube station being opposite was very convenient for another day of shopping!	
Mar 10 2008 	THIRD VISIT	How guests can complain about this hotel is beyond me, a friend and me have just had another great weekend doing the shows and stayed again at The Hesperia, the bedroom and bathroom were sparkingly clean, the staff friendly and helpful and the breakfast was superb with really hot plates to eat off. A request for two more pillows was dealt with in five minutes. We have stayed at some of the top hotels in London costing three times the rate, they all had noise and dustbins outside, do not listen and look, if you have had a full day in the city sleep comes easy. Another weekend is planned and we will be going back to The Hesperia.Maggie and Jan Peterborough.	
Feb 12 2008 	great location	excellent location less than 5 mins from Victoria underground/ train station. hair dryer in room did not work. maintenance provided a working one withing 15 mins of complaint. view was over a recycling centre which was not the best. With the window open you could hear the announcements from the station.room was clean bed were comfy.great location for Appollo theatre.	
Feb 12 2008 	Disappointing from this normally good chain	I was actually waiting for someone to turn up from Gatwick to Victoria station but they were severly delayed so I booked in here as it was Bl00dy freezing outside!..The room was hot and had a smoky smell about it, the bathroom was decidely average compared to other Hesperia's I have seen (mostly in Spain)In London you generally do not get an awful lot for your money, particularly around the central area where this place is. For location it's great, but with the staff wearing lurid pink shirts and the TV's not working this place is an assault on the senses.The Park Plaza round the corner looks a lot better.	
Feb 5 2008 	Hot rooms noisy awful food	I know this hotel is overpriced for its great location, and that cant be faulted - the rooms were incredibly noisy with no soundproofing at all. There was a disco downstairs in the hotel while I was there till 3am and I heard every single beat and sound - not what you want to pay for. Breakfast was just a disaster, a ridiculous system making guests wait in another room fuming while they watch empty tables sit unused for 15minutes. Oh and the shower in the morning, there was a dribble, literally, of hot scalding water. Enough to put on shower gel and then it stopped - leaving you burnt and covered in soap with no way to wash it off. An irritating stay all round.	
Jan 13 2008 	Don't change but don't hurry	It's not that this hotel is bad enough to make you want to change, it's just not very good (and, as others have pointed out, especially when you have the Victoria Park Plaza just round the corner which is in just as convenient location). But back to the Hesperia.The rooms are a good size (although my room too overlooked the rubbish bins at the side of Victoria station), and the (hotel- and mini-) bar popular and well-stocked. The room too was clean and the beds comfortable. I think the main problem though is that this is a property with a distinctly Spanish flavour. I don't mean that in any way pejoratively, it's just different. For example, there was a bizarre mosaic above the bed; the attached photo of the lamp-shade at a (shall we call it gaudy) angle is supposed to be like that - it's not broken. All these little changes add up to a difference in service standard - especially when the staff on reception have difficulty in understanding you - that makes for an unwelcome ambience in parts of the hotel and not a great place to stay.Go there if you're getting a good deal, don't make a great effort to change if you're concerned, but don't make a beeline. It's OK, no better, no worse.	
Jan 7 2008 	Not Impressed	I booked this hotel for my parents 70th birthday and arranged for 8 relatives to come over from Dublin and also booked them rooms so 6 rooms in total and they all faced Victoria Station and the rubbish heaps outside. The room decor was grey and off white uninviting. Every room was the same , no wardrobe just a mirror with a rail, and an horrific smell from the drains. The lighting was dismal and the whole room was depressing. On a good note the breakfast was included and was fine, although there was a large queue for the toast every morning i think the temperature was too low, but no one seemed to know as the staff speak little english being a spanish hotel. Very convenient for the Victoria Station but hotel would not get taxis for you they ask you to walk outside and get your own!!!I thought the entrance could have been more festive for the time of year and was even more gutted when I seen the original hotel i was going to book the Park Plaza Victoria fantastic hotel. For the same price I would recommend the Park Plaza far more superior and in exact same location without the sights of the rubbish tip of station. I never bothered to ask to exchange my room as they would have had to exchange all 6 a large task indeed to put on anyone. So I was disapointed more for the irish than myself who had been told was a 4 star luxury hotel.	
Jan 3 2008	hotel at victoria Heperia	Stayed 10 nights there.Was very happy at the hotel.Very good location to travel,good breakfast, friendly staff.rooms not as big as in USA but normal for london.would stay again.rack rates high but lot of promotions.	
Dec 19 2007 	Great location comfortable hotel	Location here is great; right next to Victoria station. The room was very comfortable as well. Desk staff was friendly. The buffet breakfast was not included with our room; we found it expensive but very good, with a good selection. Overall, we were very satisfied with this hotel.	
Nov 19 2007 	Never Again Not A Four Star	Stayed at this hotel November 1st for 3 nights.The location is great, that is about all I can say.There was no hot water for 3 days. We called constantly, we were in an Executive room and no hot water. Had to shower at our friend's hotel 5 minutes away. They could not move us, hotel sold out. We tried early AM, lunch time and dinner, no hot water.When we returned to room first day, and opened the hotel door the door frame fell off. Carpenters were working in the hallway all day long and the noise was unreal, the air guns, etc. We could not hear any street noise from the 3rd floor in the back, but the inside hotel noise was terrible. Called front desk, and they offered to replace door frame next door. We had to sleep one night with no secured door.The breakfast was very good, but for the price you could do better. In US dollars it was a 35.00 a day breakfast, and not worth that price.As to sights, the hotel staff could not assist us. The language problem was a real barrier, they are spanish and had a hard time with English. We asked for a cab several times and it did not show. Finally the day we were leaving the concierage ran out and got us one from the main street and rode back with him. We knew it was about 10GBP ride to Waterloo Station, and when we got there we were told it was 20GBP because it was an arranged ride. I refused to pay it, and I called the hotel to complain. I think the concierage and the cabbie are running a little business on the side.Get your own cab and do so from the main street, near the Apollo Theatre.The check in process is to long. We had to wait at least 15 minutes to check in, language problem and there is no where in the lobby to sit. You only have a marble floor and no chairs. Also when you come into the hotel, there are steps going down to check in and to the elevators and you have to drag your luggage down all the steps to check in. The concierage would not help with luggage and after check in, we were given a luggage rack to roll our own luggage upstairs. No customer importance here.WI FI in rooms, would not stay on. Kept kicking us off and they changed the log in number and password every day. Apparently they don't trust their patrons and you have to keep calling down to get a new password and user ID.Hotel bar-- stopped in there after the theatre for a drink. Be prepared a margarita and a beer were 30.00 US dollars. That is high. That is no food, just the drinks and the bartender helped me carry it upstairs.There were many more minor issues, the lifts were slow and a few people got stuck in them for up to 15 minutes.I would not recommend this hotel. I think it is a health issue as to the water problems. We saw many other hotels in the area that were as close and are getting better ratings on Trip Adviser.Hope this all helps.	
Oct 16 2007 	Would stay somehwere else next time	The hotel's location was nice as it was walking distance to restaurants and shops. It was close to the Victoria Bus Station which was convenient. The hotel's appearance is nice and our room was clean. I didn't notice any noise being so close to the train station. However, we ran in to some problems while staying here. The a/c did not work very good. It was hot in our room. I am a type of person who gets cold easily and the room was still warm. We called the front desk 3 times to get this issue resolved. The room did a get a little cooler but it was still not working the way the a/c should be. In addition, one of the elevators in the hotel got stuck while we were in it! It may have taken 10-15 mins to get out of there but it really made me nervous. The hotel staff was not very apologetic either. We also paid $30/person for a hot breakfast at the hotel. If I ever go back I will not choose this hotel again.	
Oct 10 2007 	Dumpster's don't do it at $200+/night	Don't do it. There are better options out there. Stayed for two days based upon reviews. Proximity to Victoria Station, shopping and sights were good as advertised. No one mentioned, however, that the Hotel is on a side street behind Victoria Station overlooking the train stations recycling and dumpsters. Our first night there we were up all night as train personnel worked through the night breaking glass and moving dumpsters around. Non-Stop glass crashing. The smell outside the hotel wasn't the best either for obvious reasons. The rooms were okay but if I had to do it over again, I'd have stayed at 1 of the 2 Comfort Inn's that were two blocks away on quiet side streets, cheaper, and just as convenient to the sights. Also wasn't a huge fan of the personnel that had a hard time communicating or the $30 breakfast &quot;Deal&quot; they had....whoopee!!	
Oct 7 2007 	Modern hotel in a convienent location	Just outside Victoria Train station I was pleasantly surprised to find the Hesperia hotel modern, clean, and most importanltly quiet. The morning buffett is a bt pricey but considering the quality and selection it's good value for money. The rooms are tastefully decorated with modern furnishings. The bathrooms are huge lovely DEEP full size bath tubs. The hotel as wi-fi internet and I was able to connect in both my room and the lobby/bar area. For having booked the Hesperia the day before checking in I really hit the jackpot in terms of value for money and location. I would stay here again without hesitation.	
Sep 20 2007	loved it	I have just stayed at this hotel and the hotel is in a great place near victoria train station and next to the huslte of london streets around. The staff are warming and always smiling and they are happy to help you in any way poss. The room we had was great and had all the mod comms of what you would expect in the room even a expensive mini bar.  Breakfast is buffet style but you do get to pick what you want to eat and most of it is hot! But if you want fried eggs you do have to ask at no extra cost.For the price we paid for the hotel it was worth while and a good weekend break. This hotel is a must.	
Sep 19 2007 	Good quality good location	Good location...I asked for and got a back room ..it was nice and quiet. Bathroom smelt of sewage (not uncommon in other hotels I stayed at) but rest was clean. Bed sloped outwards on both sides...not that comfortable. Staff efficient but not overly friendly. Handy location for Palace and walking to Piccadilly. A bit rough at nite ouitside the station. Minded bags happily for late departure. I paid 118 pound.	
Sep 11 2007 	Credit when credits due?	This hotel was booked for me by the company I work for, through their London hotel agent. The price was £78 bed and breakfast paid in full, in advance, by credit card. I was given a voucher to present to the hotel on arrival. I arrived at about 22:00 and was dealt with by the receptionist who was polite and friendly. Things started to go wrong when she asked to swipe my credit card. I refused to do this as the room had been paid for in advance, by a different card obviously. She then said I had to offer a card or pay a bond in cash up front! So, I asked to see the manager. After she had a conversation with the manager in the back room, which I could clearly hear, the manager came to the reception desk and told me the same story. I refused again, stating that the room had been paid for in advance and if I did require any other services I would gladly pay for them at the time. He then proceeded to lecture me about 4 star European hotels and the procedures that the customer must follow, which apparently is to cover any theft/damages the customer may make. Very patronizing, I believe I should be treated with respect, not as an expectant thief or vandal. I still refused and he reluctantly gave me my keycard with the parting comment, that “we have your company address and we will write to them about you&quot;. The room was clean, though the hot water took a long time to come through at 06:40am. The airconditioning fan was quite loud even on the minimum setting.The single bed was comfortable but I think they over hype the LCD screen. After all, it’s just a flat screen TV with far from perfect reception quality, though it did have a working remote control. The kettle and tea making facilities were in a cupboard neatly hidden away. I had room 119 at the front of the building. It overlooks Victoria railway station, with a car park, trains, beer barrels and rubbish compactors as the all inclusive view.The noise was present for most of the night. Deliveries to the hotel also come in through the front so be warned. I believe another reviewer advised asking for a room at the rear if you want peace and quiet. The building is neighboured by office blocks and the UK Passport service building. When I went to breakfast on the next morning there was no record that I had breakfast included, but the waiter said he would look into the error. I did enjoy breakfast. It is a self service buffet with all the usual items, including black pudding, with other items available to order. On my second mornings visit to breakfast I was included on the computer printout with no further problem. The location is handy for the railway station, on that there is no doubt whatsoever. But it is hardly what I would describe as a &quot;4 star luxury&quot; location.  If the reception staff are following Hesperia company guidelines about the &quot;security deposit&quot;, then I feel this is certainly a backward step for the hotel trade, especially at this level. The advertised rate was on the reception board at £245 per night. Does anyone actually pay this I wonder!?	
