	Will always check here first when staying in London	This was our second stay at the London Elizabeth and we will definitely look into staying again. There is no denying that it is tired and shabby in places but it is only chips and cracks. It is clean and comfortable and has such character. Our first room was quite small but we must have been happy with it as we booked again for our next London trip and our room this last weekend was spacious with two armchairs, fireplace, desk and wardrobe. There was street noise this time but it didn't really bother us. The room was too warm for me but most hotels are (there was air conditioning but we didn't turn it on). There are no tea or coffee facilities so we took our own travel kettle etc, there is no fridge but we found a ledge outside the window to put the milk on. The location is brilliant, (google it, it has street view), bus stop outside, seconds away from Lancaster Gate tube and minutes walk from Kensington Gardens, few more minutes from Hyde Park. We (in our mid fifties) easily walked to and back from the Royal Albert Hall (takes about fifteen - twenty minutes). All staff we met were friendly, check in staff were brilliant and very helpful. There is a lovely pub just around the corner called The Swan. Breakfast comes with the room and on this occasion the bread rolls were stale, but you do have cereals, tinned fruit, yoghurt and fresh blueberry muffins. There were croissants, pastries and some brioche but we didn't have those so can’t comment on the freshness of them. I should add that the breakfast last time (end June) was much better. Both times though, for two of us, with breakfast it didn't cost £80 for everything and at that price (in London) it is a bargain. If you can afford to pay more, maybe you should do so, but if on a budget, I would definitely try this.	
Apr 13 2008 	OK but not great	I stayed here while on business. My room was tiny and faced a fairly busy street. The noise wasn't so bad, though. The hotel is directly across from Hyde Park, and there's an Underground stop within 100 feet of the hotel, and walking distance to Paddington Station. So the location is fantastic. I think I paid close to 100 GBP, so it was fairly inexpensive. I was disappointed to find that the hotel does not offer internet access. Staff were friendly, courteous, and very helpful.	
Mar 23 2008	Only fair.	This hotel is over priced. The service was good and the staff friendly. The decor was old and dirty. We stayed in the Elizabeth which was on the fourth floor. The lift only accomodates two people at a time and the stairs are many. The room size was good and the bed comfortable and the bathroom was good. No teapot in the room, although they do deliver anytime you want. The staff was attentive. The meal was not what one would expect for the price of the room and it took too long to be served. If you like this location stay in a lesser priced room.	
Mar 6 2008 	Go for the Deluxe room.	This hotel could be great, however my stay was not. I stayed here for one night in a Classic Double room (room 118). The hotel was running a promotion where the rate was the same whether in Pounds, Dollars or Euros, so it made for a very reasonable rate. Unfortunately, the room I was assigned did not make me feel like I was getting a good deal. I had requested a room with a bathtub facing the rear of the building, which I was given. However, the window was cracked &amp; warped and carelessly fixed by the hotel staff by simply stuffing tissues in the gaps. This effectively did nothing to fix the problem, as it felt as though the window was open and let in all the traffic noise. The curtains, when closed, blocked the radiator from providing heat to anywhere other than under the curtains, which made for a chilly night.The bathroom was fairly laughable. The bathtub was the smallest I have ever seen and if you are over 5'8&quot; tall, you wouldn't be able to stand up and take a shower. Strange for a London hotel, there was a shower curtain instead of the glass panel normally used and the curtain became part of my body while showering. There was no way to keep it from clinging to me. Yuck. The bed was pretty hard and the headboard squeaked with every move I made, however I have slept on worse. However, I was awoken at 7am by the housekeeping staff chatting directly outside the door to my room. Very thin doors &amp; walls!The positives: The room itself was fairly big by London standards. There was plenty of storage space for clothes and luggage and a small desk. The hotel has free Wi-Fi, which is great, although you had to get a new access code each day from the front desk. The staff was very friendly and helpful. The location is excellent - right across from Hyde Park and the Lancaster Gate tube station. Continental breakfast is included and was pretty filling. I believe you can pay an additional £4 for a hot breakfast, but I didn't partake.All in all, I would not recommend this hotel if staying in a Classic room. I would bet the Deluxe rooms and Suites would be much more acceptable.	
Mar 3 2008 	Decent hotel at reasonable price	I stayed here for three nights in mid February 2008 and found it a decent enough hotel.Two things to note when you book it depending on your preferencesRooms are smoking as well as non smoking. I didn't know this and ended up in a smoking room which as a non smoker I felt smelt a bit. Not horrendous though.Breakfast - if you want an English breakfast then be sure to book that style of breakfast or you will pay extra when you are there. £4 each plus a £1 service charge per day is a little steep for what you get I thought.The hotel is situated right down by Hyde Park but right next to Lancaster gate tube station so getting around on the tube is easy or taking a walk through Hyde Park is easy. There's an excellent Indian restaurant close by as well as a French one with a pub around the corner from the hotel as well.The room was cleaned well each day and a decent bathroom. Although we were on the back side of the hotel it wasn't a problem and noise levels were low given its central London.I did note that at breakfast time some people had problems getting in to the breakfast room which is a bit small so be prepared to wait although I was always ok in fairness. It's problem with size is because so many of the tables are set for 4 but most users were in pairs which could have solved the problem.Overall though as well as the trip being good it was nice to have a decent hotel which was relatively speaking a little out of the way.	
Feb 25 2008 	Same wonderful staff and a good location.	This was our second stay at the London Elizabeth, on Lancaster Terrace just north of Hyde Park.We had a suite in 2001, and the Elizabeth Room this year. My husband LOVED the Elizabeth room while I preferred the suite.But the main thing about this hotel is the staff. Not only are they charming, polite and knowledgeable, but great fun to just chat with while deciding on a place for dinner or waiting for a cab.The breakfast room is lovely, the waitstaff polite and offering good service, and the continental breakfast is more than filling.The extra £4 for a full English breakfast is also worth it on those mornings when sausage, bacon, eggs, mushrooms, beans, tomato and toast sounds good.Just around the corner on Bayswayter is the Swan Pub, very much improved since 2001, and serving really excellent pub food.There is a bus stop right in front of the hotel that has many stops including Victoria station and Westminster Abbey.The Lancaster Gate tube station is just across the street on the Central Line.And there is nothing finer on a sunny day than a walk through Hyde Park to Harrods for a visit to the Food Halls.We will be back here again, especially when they have their amazing special winter prices!	
Feb 16 2008 	Not living up to expectations	The Elizabeth sounded like a good deal, so my wife and I booked in for a couple of days sightseeing. The staff couldn't have been friendlier, which is why this is a 2 star review. They were lovely, but their hotel was not. The lift is an experience itself, akin to those tight claustrophobic moments you see in Royal Marine training videos. The room was very small and had a curious yellow stain on the wall. Despite the smoking ban coming in 7 months ago, the room still reeked of cigarettes. The bed was quite solid, but acceptable. The real problem with the place may have been down to the room we had. At the front of the building, and equipped with very very old sash windows, the room was open to the slightest of noises at all times. The noise during the night was simply unbearable and we ended up being very very tired tourists.	
Jan 26 2008 	Location: Great - Hotel: Average	You can hardly find a better location in the Bayswater area, very close to underground (Lancaster Gate), Hyde Park across the street and not too far away from Queensway (app 10 min by foot), where you find plenty of restaurants and shops. A pub just a two minutes walk away (The Swan, Bayswater road). The hotel itself is pretty much average, stayed in a suite and was satisfied but not impressed. Conservatory suite, which have panoramic stained-glass windows - and a view to the wall. Don't be fooled and expect stunning sights of Hyde Park! Room size was good, bath spacious and clean, nothing to complain about. Breakfast was good but pretty much average. Staff was polite and provided the service you can expect. Again; average. All in all, average is the word that covers it all. If you get a reasonable rate, this is a good choise in this area. But then, there are so many hotels to choose from in Bayswater. Compare rates and location and you probably won't do a mistake whether you pick this hotel or another one. I'd stay again if rates was good at the time of travelling, but won't spend the extra for the conservatory suite again. Just not worth it in my opinion.	
Jan 8 2008 	Conservatory suite nice	Stayed with my wife and son over Christmas. Got a deal on the Coservatory suite. It was quite comfortable for the three of us. Squirrels on the roof each morning so there was no wake up call necessary....not really a big deal but I spoke with management and they said they were going to do something about them. This suite does not look out on Hyde Park--its on the back of the hotel and looks over a small square. and parking lot. The free Breakfast is no great shakes but enough to get you started for the day. Never dined in the hotel so can't comment. The dining room is pink...very pink so I passed on meals there.Probably the best part of the stay was that the staff (who speak 19 different languages altogether-plus english) were really very nice. Saw the Hyde Park Suite and it is huge!!Overall a very positive stay. The hotel is older and could use some touch ups but a great value for the money and an excellent location.	
Jan 7 2008 	Fantastic Hotel Fantastic Location and Fantastic experience!!!!!!	Fantastic doesnt even begin to compliment this hotel. I booked the Hyde Park Suite for two nights for my girlfriend as a christmas present. I had read about the room on the website but nothing can prepare you for the amazing room you enter. The room is vast in size and the view is amazing (be sure to check out my photos of the room and of the view from my balcony). The staff are all very friendly and so helpful, they advised us on bus times and couldnt do enough to ensure we enjoyed our experience. Although the road outside is busy even at midnight, that becomes totally irrelevant considering the room and the view. The Lancaster Gate tube station is all of a few steps away and is perfect for travelling around London, there is also a regular bus service that stops right outside the front door every couple of mins. There is also an open top bus tour that stops across the road. The food is fantastic both breakfast and evening meals!!!!!!!!!The hotel and the room really made the weekend so enjoyable and I would like to thank all the staff for a great experience.	
Dec 28 2007	Lovely London Elizabeth	After doing some research on the internet, I booked The London Elizabeth Hotel via Orbitz and got a good rate... at least for London!After reading some of the negative reviews, we decided to upgrade once we arrived -- which I'm glad we did! The room was very large and decorated in the fashion of an English manor house -- dark cherry wood, crystal chandeliers, wingback chairs, etc.The room was very comfortable and the bathroom very clean. (Always a plus!)The hotel is located across the street from Hyde Park. It's also conveniently located to the Lancaster tube station.They have a little restaurant in the hotel which is very reasonable and the was food very good. We ate breakfast ($8 for English) which was also very good. The only negative I can think of is the elevator is very small and it didn't work part of the time. We had to use the stairs quite a bit.We look forward to staying there again in the future.	
Dec 13 2007 	Love the hotel	I stayed two nights. The room was clean and bright, the beds comfortable, the soaps top class (Neutrogena). The only thing less than perfect was the poor cable selection for the TV. The hotel is across the street from the Lancaster Gate Tube station, and a short walk from Paddington Station. I left my mobile phone in the room (I was checking out in a rush, and had to leave my luggage at the hotel). I called them about two hours later, and they said they would look for it. When I got back to get they luggage they had not only found my phone but also a tie that I had left there. Wonderful people. I would certainly stay there the next time I have to go to London.There is no air conditioning - not a problem in November, but possibly a downer in Globally Warmed London in July. But there was a ceiling fan.	
Dec 12 2007 	Love London Elizabeth	I love the London Elizabeth! Thats all I can say! The suite was beautiful, the bed was comfortable, the breakfast was delicious! I will be back as soon as I can!	
Dec 10 2007 	room disappointing	I booked a triple room on line, having looked at the hotels own web site and noted the reviews posted here. I was disappointed with the room, number 118, whilst adequate it did not live up to expectations and bore little resemblance to any pictures shown. We had a double bed, which I can report was very comfortable and a small camp type bed, sagging in the middle, pushed up against a radiator, under a window, not at all comfortable. The room was at the back of the hotel, the window whilst large, was sort of recessed and draped in rather grubby net curtains which afforded little natural light. Generally the room appeared rather dingy because of this, the decor was a little tired. The room also had a very strong odour which reminded us of TCP! The bathroom facilities were fine, nice selection of toiletries and a very powerful hot shower.The European breakfast was superb quite set you up for the day, though the restaurant wasnt big enough for the number of guests and people had to wait for a table.The hotel is located in a very accessible area, very handy for Cabs, Tubes, Buses and walking to many popular haunts.Because of the disappointment with the room, I would hesitate to recommend this hotel, however for location, the shower and breakfast I would!	
Nov 9 2007 	Great room huge bed	I had read the various reviews and was slightly concerned that we would have a tiny room with a small bed, our room was quite the opposite. The room (226) was a fairsize with a small staircase that went into the bathroom which was lovely. The king size bed was the biggest bed I have ever slept in it was huge. The room was really lovely the only downsize was we were near the tiny lift which was abit noisy but this wouldnt put me off booking this room again.The breakfast was ok but i was abit miffed we had to pay £4 extra if we wanted a cooked one!Overall the hotel was lovely right next to Hyde park which was great to walk around. We paid £160 for the deluxe room we had which wasnt bad considering the location.	
Oct 15 2007 	Tiny rooms but very convenient	I found the hotel via Rick Steve's guidebook...I was expecting a somewhat larger room and disappointed that it was sooo very small but that said, everything else was fine.I was glad for an elevator, taking luggage up stairs is a huge pain.Breakfast was fine, got you ready for the day.The Belgrave neighborhood is filled with nice little restaurants within walking distance. There is a nice little Thai restaurant just around the corner from the hotel.My boyfriend and I felt safe walking at night, the neighborhood is filled with little hotels and B&amp;B's.Friday and Saturday nights seem to be the party nights but Hotel Elizabeth far enough away from the cheaper places where travelling students stay and party.Hotel Elizabeth is about a 15 minute walk from Victoria Station. The bus station Victoria Coach is just down the street, this is where most tour buses pick up....but do not return you there necessarily. Check with tour company before you book on where they will return you.	
Oct 4 2007 	We LOVE the London Elizabeth!!	We had a fantastic experience at the London Elizabeth. Trish and the rest of the staff were so nice, our room was wonderful, the food and service at the breakfasts were splendid (and the room service food is the best we've ever had!), and its location and charm cannot be topped. We don't want to stay anywhere else in the future, and we are both London traveling veterans. Highest recommendation!Liz and Mark Easter	
Sep 25 2007 	It grows on you.	I kinda knew what to expect because of previous reviews and my own limited experience with London Hotels. Yes, the rooms are small and the beds are tiny. So what? It's a converted mansion not a resort in Cancun. Go out and see stuff. Trust me, if you put in the kind of miles sightseeing that me and and my Wife put in every day you won't have any trouble with the bed at the end of the evening. Especially if you have a pint at the bar downstairs or at The Swan around the corner. We spent 7 nights there. As for the lift, my advise is to use the itty bitty elevator to go up and just take the stairs down. &lt;i&gt;(dumbest dign ever: the placard that says occupancy limited to 3 persons on the elevator. You couldn't get more than 2 in there if you had a shoehorn!)&lt;/i&gt; I rated this as above average because of the helpful staff and the excellent location. Lancaster Underground station is a few steps away and the bus stop is right out the front door. Paddington station is a few minutes walk and Hyde Park is right across the street. You couldn't find a better location.However, If you are looking for a Marriot type experience with key cards and king sized beds, move along.	
Sep 18 2007 	Just OK	Stayed here in early June 2007 with my husband. The mixed reviews are mostly true.The front desk staff was nice and efficient. That was definitely a big plus. The breakfast staff left a lot to be desired. It was always a challenge to get their attention in order to get a coffee or tea refill, and if it was near the time when they stopped serving breakfast, they tended to become downright rude. Besides, the breakfast was terrible. Both my husband and I are used to Europe-style continental breakfasts, and this was perhaps the weakest one we've seen in a long time.We had a very charming room, very Elizabethan in its look, with wooden beams in the walls and along the ceiling. It was unlike any of the rooms I've seen in photos or rooms I caught gilmpses of when the doors were left open while they were being cleaned. :) So that was really nice. It seemed clean enough, as did the bathroom. The bed wasn't bad. However, the room did not have air conditioning. The weather was still nicely cool, but I could certainly see this being a drawback during warmer months.We did not mind the super small elevator. We did mind the many times it seemed to not be working/or more likely seemed stopped by the staff so only they could use it. We were also woken up by the cleaning staff speaking/gossiping *very* loudly either among themselves or on their cell phone, directly outside our door! It became bad enough that I had to get out of bed (I am Hispanic, as was this lady) to ask her to please be more quiet.Overall I am fairly certain we will be looking to stay elsewhere on our next visit to London. It wasn't horrible, but it certainly wasn't great! There has to be something better at a comparable rate.	
Sep 15 2007	horrible service	The room was old and smelled of smoke and door knob was broken. The management was rude .	
Sep 14 2007 	Great location old building	A selling point for this hotel is its location; subtract that and I would rather stay at a different, cheaper place. It's across the street from the Hyde Park, which is a wonderful and relaxing place; includes Kensington Gardens and makes for a pleasant 15 min stroll to the Buckingham Palace. We took a walk to Buckingham and then to Thames every day.The restaurants next to the hotel are extremely overprices and food tastes very average. If you want a good, ethnic (not British though :)) food take Wigmore Street (1,2 blocks below Oxford) - somewhere around Bond street there are millions of restaurants. The food at the hotel is good, but overpriced as well. The breakfasts, which are usually included, are substantial. All the staff is friendly, though many of them seem to be overworked and tired, so we felt bad to bug some of them with questions. The negative for me was an old carpet that gives this hotel a dusty feeling.Overall, I recommend this hotel, as I think the location is unbeatable and makes up for any minor negatives it has.	
Sep 12 2007 	Wonderful Quaint Hotel!	There were four of us traveling on our first trip to London and this hotel was one the highlights of our trip. It was soo easy to get to from the Heathrow airport, especially for being first timers and not having a rental car. We took the metro with all our bags and we found it right away. Restaurants and groceries are walking distance and they had free internet! We had a quad room and it was nice, cozy and CLEAN. Keep in mind this is an old historic hotel. No air conditioning but there was a ceiling fan. The lift/elevator was super small one of us had to walk up the stairs or wait but I think they are all small like that in England. It made up for funny stories to tell back home. The concierge Patrick was the best lad ever!!! He had tons of useful information and directions and he knew a little bit about everything he had us constantly laughing till it hurt. You're the best, Patrick!! We had afternoon tea in the Rose room which was where we spent breakfast every morning and is so pretty. Outside they have a little rose garden which we enjoyed too. It's on the border of Hyde Park which is GORGEOUS to walk through and of course the ever near Lancaster Gate Station is a hop skip and a jump away. Good times!	
Aug 25 2007 	London Elizabeth Hotel	This was our 2nd stay at the hotel in the past 2 years. We were so pleased with the hotel staff &amp; hotel manager, that it prompted a return visit. This is a very old hotel. Every room is different &amp; unique. If you like to stay in places that have character vs. a place where every room is the same, this is the location. There is a small bar adjacent to the lobby. They serve excellent light food. The dining room is open for dinner with a good menu. The dining room is open for breakfast to hotel guest (a nice continental is included in your stay &amp; a fee for a cooked meal). All the staff are eager to please. The hotel manager (Trish) is 1st rate. The Tube &amp; Bus are just outside the front door. Hyde Park is directly across the street for a nice morning or evening walk beside the pond &amp; to the Diana memorial.	
Aug 20 2007 	Ok hotel	This hotel is located in a great spot and I believe that is why they charge so much for their rooms. The hotel is right across from hyde park and a half block away from an underground station. The room itself was an ok size, but if you are going to stay at this hotel ask for a courtyard facing room, ours was not and the street is very loud. The bed was not that comfortable and I think they would do well to replace them, it would make a huge difference. The room was clean and we had a patio but the road noise made it a pace you wouldn't want to spend too much time except really late at night. The TV only got about 7 channels, but again, you don't go to london for the TV. Internet was free which was nice as everything else in london costs money. Breakfast is included and was actually pretty good. Not great but good. A wierd quirk to this hotel is that you don't leave the hotel with your key, you drop it off at the front desk when you leave and upon your return they give it to you again. This is a bit of a pain, but not that big a deal in my opinion, at least you can't lose the key. The staff were very friendly and are willing to help you out, you can even buy tickets to certain attractions at the front desk and and get into the prepaid lines (queues) at these attractions which often are shorter.	
Aug 9 2007 	Good location but not much more	I stayed at the London Elizabeth for 5 nights in early July 2007. The hotel is indeed very convenient in terms of location, right across the Hyde Park and only a few meters away from Lancaster Gate tube station. Apart from location, however, nothing impressive: The room was shabby, noisy and breakfast offered a limited selection. Overall, I found London Elizabeth overrated.	
Aug 7 2007	Elizabeth Hotel a grear place to stay inLondon	My husband and I visit London each year and we stay at the Elizabeth Hotel at Lancaster Gate. The Hotel over looks Hyde Park. The buses pull up in front of the hotel and there is the tube just across the road. Paddington Railway station is behind the hotel avout a ten minute walk. The Big Bus tours pull up in front of the hotel. The hotel is a small and very friendly. Breakfast is included. It is worth checking out on the hotels own site as sometimes they have a special which they change the rates. eg. pay in USA dollars$1 equals 1 pound. This hotel is also available on all hotel websites. We always enjoy our stay here it is like going home.	
Aug 7 2007 	A Lovely Old Hotel	It's close to Lancaster Tube Station - just a two-minute walk. It's also close to Hyde Park.The hotel is family-owned and indeed it's a very old building. The room is of a reasonable size and the bed is quite comfortable. It's not air-conditioned but there's a big fan on the ceiling and there's a big window.The breakfast was okay.The staff were very polite and helpful.It's pretty noisy as it's located near a busy road and close to the tube. But every coin has two sides - good location and noise problem. I don't think you can have both. To me it's okay as I can always fall asleep easily.There're only three minor problems. 1. The ceiling was a bit terrible and the paint kept peeling off.2. There's no coffee-making machine.3. The elevator's incredibly small. Only two slim people can travel in it at one time.But I think I'll definitely return to the hotel for my next London trip.	
Jul 31 2007 	Beware of Reservation System	We found this hotel through Trip Advisor and was passed onto a Central Reservation System. Beware!!! When we arrived in London, the hotel said they were overbooked and our reservation had just been received even though it was made weeks in advance. They had no room for us! The front desk receptionist said they would &quot;upgrade&quot; us to a room at a hotel down the street. Bad idea. Our new hotel was horrible. We were very upset by this turn of events. All we wanted to do was go sightseeing and stay out of our horrible hotel room. We went back to the London Elizabeth and told them this was NOT an upgrade. Trish, the manager, was very apologetic and much better than the first person we had met. We told her we would not be paying for our new room and she said that she would she what she could do. Thank goodness we were only in London one night. What a mess! And we didn't end up paying for our new room. What lesson...Always, Always contact your hotel directly. Do not rely on a 3rd party reservation system especially in Europe!	
Jul 17 2007 	What the..... Don't do it!	OK.... I've been using Tripadvisor for my trips for quite some time now and this was the first time I felt dupped. I usually read the negative reviews with a &quot;grain of salt&quot; but as long as the overall reviews are positive then I feel ok to take a change.With this hotel I was wrong. If you still decide to go then good luck and get off that the Lancaster Gate station (2 min walk) and not Paddington (10 min walk). But once you arrive plan to sleep in one of the most dillapidaated hotels in the city. This place is in need of a major upgrade. My room was small, my bed was ok, NO AC, the room wasn't clean, paint peeling from the walls and noisey. The highlight was the 8&quot; television, seriously. Bottomline, it you just need a place to lay your head for a few hours then you may be ok with some ear plugs. The only good thing about my stay here was a visit to a local Italian restaurant called &quot;Ask&quot;, food and price was great. Other than that, stay elsewhere. Out of dozens reviews I've written this is my only negative one. Just trust me, you will be dissappointed.	
Jul 6 2007	Hmm...	I booked this hotel for one of our business travellers. Although the location and breakfast was good, the hotel needs modernising and the traffic noise outside his room made it difficult for him to sleep (soundproofing required). He would not return to this hotel as these issues cannot be overlooked as a business traveller.	
Jun 26 2007 	Great old fashioned service!!	My sister and I stayed here for the Hyde Park calling festival on 24th June 2007. We chose the hotel because of its location and the price - £260 for a twin room for two nights. We weren't expecting much as it wasn't very expensive and all we wanted was a place to put our head down at night - Oh my god were we surprised! The hotel was literally 200 yards away from Lancaster Gate tube station which was on the central line. The hotel rooms themselves were pretty basic and quaint and very clean, but the room service was excellent - they would pretty much get you whatever you want whenever you wanted it, from pain killers in the middle of the night to running out and getting you some cigarettes from a late night shop!! The bar opened whenever you were there and the staff were very friendly and accommodating - even at 2am!! The staff even ran out in the rain to flag us a taxi so we wouldn't get wet.Overall we had a very pleasant stay and we would definately stay here again and recommend it to our friends. Booking through the website is cheaper as the advertised rates in the hotel themselves are £160 per night.	
May 30 2007 	Home from Home	I found this delightful hotel by accident nearly 5 years ago and since then have stayed on many occasions for both business and pleasure.Having to plan a meeting at the last moment I used the boardroom at a very competitive rate and the lunch served on the terrace was very pleasant. Nothing was too much trouble and the staff were their usual happy and helpful selves.All the rooms in which I have stayed have a certain charm and a lovely cosy feel of almost faded elegance. The theatre bar is small and attractive and I have met many interesting people there. This is always a bonus when travelling alone.Trish, the Guest Relations Manager bends over backwards to ensure that every guest knows their way around both the hotel and the local neighbourhood. She is always keen to share her knowledge of London and help you to get from A to B with ease.I find this a real home from home and would happily recommend it to anybody . .	
May 21 2007 	Good find in London	We stayed here for four nights and had a very enjoyable stay. The location is fantastic, a short walk from Paddington Station and practically right next door to Lancaster Gate Tube Stop. Our room was at the front of the hotel so we did cop some traffic noise, but it didn't stop me sleeping and after the first night I barely noticed it. The room was fine and was a decent size by London standards. While the furnishings aren't anything fancy, the rooms are more than comfortable. The staff are all lovely and very friendly. They are always there with a smile and willing to help with anything. The only downside we could think of was breakfast - it wasn't the best spread we had seen while we were away - but it was sufficient. We will definately stay at the London Elizabeth next time we visit London.	
May 12 2007 	The way to stay	I have stayed at the London Elizabeth hotel on many occassions whether for business or pleasure and have always found it to be a friendly environment. The staff are courteous and cannot do enough for you. One of the best things is you don't have to go out to eat as the menu is very good and the taste is even better. I would recommend this hotel to anyone who is visiting London. Oh and if you manage to get out then Hyde park is just over the road and for the girls the main shops are only a 15 minute walk away.	
Apr 26 2007 	INCREDIBLY friendly staff great location	Just got back from a stay at the London Elizabeth Hotel and had a great experience. There were some downsides, to be sure (our top-floor room got uncomfortably close and stuffy due to the heat being on during a spate of warm weather), but there were some great things as well (INCREDIBLY friendly staff, and believe me - you can't beat the location).The first night we arrived at the hotel we took the late flight from Chicago and didn't arrive until nearly midnight. The staff had our reservation right at hand and there was no confusion whatsoever as to who we were and what type of reservation we had made. The bellman helped with our bags and we were checked in inside probably five minutes (aside from chatting with Patrick, the insanely friendly and helpful night desk clerk). As it turned out, we were put into a room that was near the front of the hotel overlooking Bayswater Road, which is a six-lane main artery featuring loud traffic and sirens at all hours of the night. In the morning we asked to be moved to another room at the back of the hotel, which turned out to be no trouble at all, and again the staff couldn't have been more cooperative and helpful. (I travel a lot and have rarely encountered staff people who seemed so genuinely interested in what visitors think of their city. They also suggested a number of options for visiting things we wanted to see and were very efficient whenever anything was requested.)We had no trouble carrying bags to the room - the lift is a trifle small but arrives promptly and without delay...Some other great things about this hotel are the showers - plenty of hot water and great water pressure; the fact that, aside from the road noise, this hotel is totally quiet - people weren't running through the halls and slamming doors; the *free* buffet breakfast for guests of the hotel, which featured cereals, pastry and fresh fruit - with the terrible exchange rate, you won't want to pay for more meals than are necessary; and the great waitstaff at the restaurant, which was also very friendly, helpful and efficient. There's 24-hour room service and we thought prices were reasonable. There's also a small bar at the ground floor of the hotel where we got glasses of ice and soft drinks. The room furnishings could use an update - the furniture has seen better days, and we never did manage to receive more than two channels on the television - but this was offset by the fact that this hotel is literally about 20 steps from the Lancaster Gate tube stop on the Central Line and within sight of the Italian Gardens, a beautiful Victorian reflecting pool located within the gates of Hyde Park. We also had two great meals at The Swan, a traditional English pub located next door to the hotel (note: it's open till 11 but stops serving food at 10), and there's a small local market next door as well where we bought postcards and snacks. You'll be close to Spring Street, which has banks and good restaurants, and within about a two block walk of Paddington Station, where many National Rail trains and Tube lines converge. This probably isn't the most modern and glitzy hotel you'll ever encounter, but the beds were reasonably comfortable and clean, and even aside from the great location, we weren't even slightly nervous about the neighborhood and walked at night several times. You can also hear the wonderful sounds of birds chirping in Hyde Park if you open the windows. (There are no screens, so be careful of the pigeons, but the fresh air is worth it.) I would definitely recommend staying on the lower floors in warm weather as there is no air conditioning (though we had a ceiling fan), and ask to be placed near the back of the hotel. The rooms aren't huge but I've seen smaller, and you're provided with a tall armoire and two chests of drawers, which cuts down on &quot;stuff&quot; clutter. We had no trouble with the free wireless Internet - you'll need to call down to the desk for an access code, but the signal strength was good and the broadband service worked flawlessly.Overall, a good experience for a hotel in a huge, expensive major city, and I would stay here again.	
Mar 29 2007 	Very good great location	I was in London for five nights for a conference and found the London Elizabeth to be everything I needed and good value for money (I was on a budget!). The room was a tad small but that's no major complaint. Breakfast was adequate. Internet was free and usually available. I had no problems with the phone or with noise. Staff were friendly and courteous.The big plus was accessibility. Right adjacent to Lancaster Gate for the underground and five minutes walk to Paddington, hence trains to Heathrow and other parts of England were readily accessible.Will definitely use again if back in London on work matters.	
Mar 23 2007 	Not the best start but got better from there	Upon early morning arrival from the US, my room was not ready, but the staff was gracious and provided a place to freshen up and offered breakfast. Upon return from the office in the afternoon, was very disappointed in the room that I'd been given (extremely small and shabby, broken tiles and dirty bathroom, renovations in the hallway and severe paint odor in the room). When I called the desk to inquire about changing rooms, I was told that this was the room that I get when I book at the rate I'd booked at (I'd booked through discount site). When I inquired why there was no distinction between the room that I booked on the site and the rooms listed on their site, they had no answer. I was then told that there were no additional rooms available, and that since I had prepaid, I would be out all of my money if I moved to another hotel. And then, a few minutes later, the manager called and offered me a tour of rooms that had suddenly become available. They definitely need to get their act together to deal with customer complaints in a better manner. I was able to pick out a suitable room, and we had a very pleasant stay for the remainder of the trip. With the exception of the one interaction regarding moving rooms, all of the other staff were gracious and pleasant at all times. The location was great, right on the central tube line, and we had a great trip all around.	
Mar 23 2007 	Great Little hotel	The hotel was great. I'd been warned that European hotel rooms were very small, but this room was very cozy, big enough for my friend and I and all our bags. It was very clean and warm and quiet. The staff was very helpful and polite. The little restaurant served great food at a very reasonable price. Overall a great experience. Also, the hotel is right on several bus lines and right across the street from a tube stop. The only downside, and this is probably something found all over europe, was that people could smoke in the hotel, in both the public areas and their private rooms.	
Mar 20 2007 	Good hotel but not for the young single as reviews suggest	When I booked this hotel, I choose it because it was well priced and the reviews were good.The hotel was very cute in and old British kind of way. We had an awesome room with a terrace facing Hyde Park. The hotel is directly accross the street from the Lancaster Tube Station and Hyde Park which was fantastic. The staff was friendly and the continental breakfast was good. Internet access was free and very accessible. For a London hotel, the room was a good size.On the downside; the toilets had a hard time flushing, we could not use the phone without hearing an aweful dialtone in the background, and it was a little too far west of the city for my liking. As a young single, I would not stay here again, but rather closer to Picadilly Circus because nothing of action is within walking distance to hotel.Overall, a good hotel and good value.	
