	3 nights...perfect...nowt wrong with this hotel	stayed for our wedding anniversarya great hotel....good bedrooms...great fym /pool...also thy now have a spa...for spa treatments....lifts were ok.......no probs at all........nice walks to primrose hill and regents park canal...nice parks in area for kids....playgrounds and stuff.....all nice and clean .......fresh towels everyday ....staff very good and friendly.....will defo stay again 10/10.....	
May 26 2009 	5 star stay at Marriott Regents Park	My husband and I stayed here over the Bank Holiday weekend for 2 nights. They knew it was our wedding anniversary and we were upgraded to the most spectacular penthouse room - it was stunning. I couldn't fault a thing with this hotel - it had a great pool (although we didn't use it), and the breakfast was fantastic. I would say it is especially good for families (we are already planning a trip back with our two children) - they have films playing on the tv in the foyer for them and there is man who will make magic balloons.Primrose Hill is 10 minutes away and you can be in Camden in 5 minutes if you take the bus outside the hotel. The tube stop is 5 minutes walk away also. My husband said it would also be a great location for vists to Wembley. It has a lovely relaxed feel to the hotel and the staff are very welcoming.All in all we had a fantastic stay and can thoroughly recommend it.	
May 25 2009 	Excellent Hotel	We stayed at the marriott for bank holiday weekend.We loved it. The pool was great to cool off after a hot day sight seeing.The breakfast was excellent and staff were very friendly and helpful.It is a five minute walk to an underground station into London.The room was very spacious and comfortable.Definitely recommend this hotel	
May 21 2009 	Saw BED BUGS on my bed YUKKK!	We stayed at this hotel for 1 night in Room number 247. (thank God, it was only 1 nightmare)!! At night i saw 1 bed bug while lying down with my baby. I never seen one before so i showed it to my husband. He checked it out on the internet with his laptop. He said it was a bed bug. I thought maybe it was only a one off incidence and it was late at night so we didn't complain. (We should have done it). But in the morning, i saw 2 small ones and 1 big one and plenty of blood when we killed them. My husband saw another big one as well. We called the reception to complain. The duty manager came and only offer the breakfast which we didn't need. Then we had a very rude attitude when we checked out. So I decided to write the true comment about them here. Now we're back at home and I'm still very paranoid about the BED BUGS.	
May 21 2009 	Mamma Mia and the Marriot!!!	Booked a family room for two nights. On arrival we were upgraded to the penthouse floor 7 - the room was spacious and the beds were huge! we had a conservatory style lounge area and a balcony.The fan in the shower did not work, when we told the staff they really could not do anything after all we were up on the 7th floor at no extra cost.........Was a bit miffed at having to pay for internet access, and i thought it was expensive.............Pool was great for kids, we had an evening meal the first night which was not cheap but the service and food were exceptional.All in all it was a wonderful week end and the Marriot was a great place to stay	
May 18 2009 	lovely hotel just a bit far from the action	We stayed at the Marriott for the Race for Life in Regents Park in May 09, and were delighted with the size of rooms, great breakfast and ease with which to get to Primrose Hill and Regents Park. The hotel has a lovely pool with shallow end, great for kids and the breakfast is the usual Marriott high standard.As for location well you can walk up Swiss Cottage where there are the usual food restaurants and small shops with a Sainsburys in the O2 centre about 10/15 minutes walk away.Where this hotel loses out is location, on the weekend we were there Swiss Cottage Tube was closed for maintenance, so the next nearest tube then is a good 10/15 walk away (as apposed to 2 mins) so a Taxi to Oxford Street is needed cost £10 - just annoying nothing more....	
May 16 2009 	Great hotel shame about the cost of parking	We stayed in this hotel as we had tickets for the 4th day at Lords and the hotel is in walking distance. The hotel was great, the room was large but on a very busy road so could not have a window open. Our break included dinner on the first night and the set menu was more than adequate for choice and was delicious. The next night we decided to eat out but the area to the north of the hotel is quite run down and we were a bit wary of going too far but we found a small Albanian restaurant the was packed but managed to squeeze us in. The nearest tube station is a bit of a walk and across a few busy roads.Our worst shock of the whole weekend was when we put our card in to pay for the carpark!!! £50 for 33 hours seems a bit excessive especially as the hotel is not in the centre of London. We usually stay at the Kensington Hilton and that has a reduced price for Hotel guests and works out around £30.	
May 6 2009 	GOOD POSITIONBUT AVOID ROOMS 527528 ETC AS THEY SUFFER SOME ROAD NOISE	Enjoyed the stay altough pricey like most London hotels,at least it clean and well maintained.My wife tried the pool but it is family based and not really any good for serious swimmers due to the length of the shallow end.We have stayed before in better room positions overlooking the the internal courtyard.This time we were overlooking the road and there is a lot of road noise(I am a light sleeper).My 84 year old Mother-in Law actually thought the hotel had a railway line going by,that's how load it was.We had no real compalints apart from the noise.	
Apr 24 2009 	nice serene place	Located close to Regents park, this place is in a very quiet place despite it's proximity to central london..The rooms could have been better. Ditto for business services like internet access and all.The executive lounge is a nice addition. u can have entry only if you are a Gold Member at marriott's or higher	
Apr 20 2009 	Quality	Spent two nights here in a family room with the wife and kids. The hotel completely lived up to our expectations. The nearest tube station is a five minute walk, and is only three stops from Central London and so access to the tourist &amp; entertainment sights is good. The hotel has a pool which kept the kids happy when they needed a breather from the sightseeing and the room was very comfortable and well appointed. My only gripe is, why say you can check in after 3pm, when after a long day travelling you pitch up at 3.45pm to be told you cant have your room for an hour - just be more honest about check-in times please.	
Apr 10 2009 	A Great Hotel in good location for car travellers	WE had checked out of a terrible hotel so had nowhere to stay in London. A client mentioned this hotel and that it had been recently renovated. We were quite desperate after our experience at previous hotel so were over joyed to find the Marriott Hotel was up to standard. Excellent staff, room, car park and nice dining experience. The room was quite large for London - flat TV screens are on order but all other facilities were fine. The hotel caters of family and business with a lovely ambiance.	
Apr 9 2009 	Bit pricey	Nice enough, but a bit bland. Great breakfasts, pricey bar, comfy bed. Would I pay its prices out my own pocket - no!	
Apr 2 2009 	Great Hotel!	Stayed here the 21st of March for 1 night. We're a family of 2 adults and 3 children and were given a room with 2 double beds and a rollaway. We had been informed that the room would be extremely cramped but we were happy with this as didn't want to pay for 2 rooms. The room was a lot bigger than expected and we had room to walk around all of the beds. We arrived at the hotel in the morning as wanted to spend the day in London and we were told that our room would be ready from 12pm onwards. Staff were extremely helpful, room was excellent and breakfast was the usual Marriott standard (we love the Marriott breakfast!). Excellent location as only 5 minute walk to the nearest tube at Swiss Cottage on the Jubilee Line. First time my children had been to London and they loved the whole experience and have asked to go back and stay at this hotel again. We had a fantastic nights sleep. The Marriott beds are the most comfortable beds in any hotel I've ever stayed at, I have a back problem and managed to have a great nights sleep. Excellent value for money because it was going to cost me a lot more to have stayed in a Travelodge because there's 5 of us. Will definitely be staying here again.	
Mar 29 2009 	Ok -- not bad not great	Recently stayed at the hotel for three nights. It was far from perfect, but not terrible either. Things got off on the wrong foot when we asked for directions to walk to the nearby restaurants, and we were sent the wrong way (they provide a map, which only confuses things – can’t they dummy-proof something as basic as this???). So we ended up taking a cab, when it’s really just a 5 minute walk. The room we had was nice, though facing a fairly major street, so be sure to ask for a quiet room if this sort of thing bothers you. There’s a screwy lighting system, whereby you can’t turn on the desk light to work unless the light by the front door is also turned on (I assumed the desk light was broken). And the switch for the bathroom light and the light by the front door are right next to each other, so I was constantly turning on the wrong light (a problem if other people are sleeping in the room).I was pleased to find an American power outlet in my room, but alas, it didn’t work. And the wired Internet connection didn’t work either. I eventually got it fixed – not before being given the wrong number for technical service, for which I was charged – but when I asked the front desk to remove the Internet access charge (a steep 15 pounds) they did (though the request was initially met with a rather surly response)The gym is quite nice, with a lot of equipment. The pool is nice too, though you can’t really do lap swimming because one end of it is about a half meter deep. Very odd. Had a great chef’s salad in the hotel one night. The breakfasts were ok – runny eggs and artery-clogging sausage and bacon, but fresh fruit also available. Checkout is at noon, and as we learned, your key is disabled exactly at noon (we were locked at about 12:01 p.m.). We were given a replacement, and then that one didn’t work. So I had to return to the lobby a second time, to get a concierge to open the door. Never heard of this policy being used before. The location is nothing special, though it’s a very short walk to the Swiss Cottage tube. And you can also walk to restaurants in Primrose Hill. So you’re a little off the beaten path, but central London is still easily accessible. We stayed at the hotel because friends lived nearby, and the rate was quite low relative to other hotels in London. While the staff is friendly, I’m not sure we’d stay again, unless we needed to be in the vicinity. It’s a typical Marriott, which is to say it has little-to-no charm.	
Mar 24 2009 	FANTASTIC	We must of been lucky reading the other reveiws, my boyfriend and I arrived at 10am after catching the easy bus service to finchley road and walking about 12minutes to the hotel.  We were informed we were too early to check in, the entrance hall was lovely and the staff although all seemed from different countries/backgrounds had good English, the man we delt with told us to come back in an hour and he'd see what he could do- we were offered king smoking / non smoking. chose non-smokingwent away to explore the area, had breakfast in weatherspoons and returned to a different set of receptionist staff who said they cant promise or allocate rooms before check in at 3pm! well i got slightly upset and we decided to go into london town and come back, just as i was leaving i forgot something in the bag in the place they keep them for you. so went back in to get something and our friendly receptionist was back speaking and pointin towards me.. he came running along with a key and said sorry about the problem, so off me and my boyfriend went. Room 532Brilliant! see the photossooo soo clean, massive king size bed with duck/goose feather quilt/mattress topper and pillows. shower was okay, hot water and powerful enough, compliementary toiletriesEVERYDAY (3) our towels were cheanged and bed was made. the room was fine for travelling and exploring london, gettin the tube from swiss cottage on the jubilee was alright! but wont be for a couple of months/ years as planned engineering works are taking place, the buses from round the corner probs dont take too longday 2 we went for a swim at night, swimming pool isnt very great, very swallow and on a slope so cant really swim very far, no jaquzzi and no sauna as it was broken or something. never ate at the hotel.had a couple of drinks thought2 guiness cost my boyfriend £9 and i got a cocktail which forgot to get charged and tripple madoori and lemonade for 2.50... think i was liked?the balcony doors were shut as there was building works going on around the hotel? didnt really see any but the aircon wouls be sufficent. emm.. the king henry road side we were on was quite loud but we managed to sleep.. what can you expect in London anyway its a BIG CITY it's going to be Loud..	
Feb 26 2009 	Erratic housekeeping pokey ill equipped room expensive breakfast	We had an enforced, lengthy stay at this hotel, local to us, during our recent building work. You need to ask for a quiet room on the King Henry's Road side. The housekeeping was erratic - some days no towels, others no loo paper, towelling robes not changed until requested and then they disappeared completely. Breakfast was hugely expensive and not good, instant coffee is served which is inexcusable. The restaurant is cold and uninviting. Staff were friendly and willing but mainly incompetent and unable to sort out the many problems we encountered. The hotel has recently been refurbished but our mini-bar didn't work and when we made enquiries, we were told that most of the mini-bars weren't working. We were offered a fridge but in the small room, there was no-where to site it. The leisure centre was under refurbishment and the swimming pool was closed. There is no shop in the lobby - as there used to be. High speed internet is available but hugely expensive as is the parking. This hotel is fine for a night or two but no longer and when you book, try to get a rate that includes the sub-standard breakfast.	
Jan 25 2009 	Great service friendly staff and a good all round experience	I recently stayed at the London Marriot Hotel Regents Park overnight. The hotel itself is very well located for the west end and is very welcoming as you step through the entrance. The staff were friendly and highly professional and the rooms are well laid out and luxurious. The bar was very well stocked and the food (breakfast) provided many options to cater for all tastes and preferences. I would highly recommend a stay at this hotel. There was no fuss just a welcoming feel and excellent service and accomodation.	
Jan 23 2009 	Staff Helpful Management Lacking at London Marriott	My husband Jerry &amp; I chose Regents Park London Marriott for a 9 night stay because of its close proximity to the inner core of London and the rates were a little more reasonable for the week of Christmas to New Years. The staff were helpful, but several times were unable to operate the technology in the hotel. For example, the clock on the TV was off 10 min. and no one knew how to fix it for 4 days. The clock on the TV relates to when the pay movies come on, so we missed the first 10 min of the movie. The pay movies were very limited and local TV is limited too. Then the staff forgot to roll over the pay movies from one day to the next and the manager said &quot;We are on a learning curve&quot;. The mini bar was never restocked and at check out we found out that we were supposed to call and request the mini bar be refilled. Whenever you called housekeeping, you spoke to the front desk and then the front desk would call housekeeping and requests would get confused. Housekeeping was not consistent in supplying the variety and amount of towels and toilitries to the room. Room service was always dependable and the food was good; a service charge was always included. The hotel was full of families over the holidays. Doors were slamming with noise, but the hotel usually would quiet down by 11:00 p.m. Note: we also have a white noise machine running full blast which helps! We experienced 5 min. waits for the elevator routinely, so we tried the stairs, but were unable to access the lobby from the stairs which was a little scarry. What happens if there is a fire? The hotel is about a 10 min walk from Primrose Hill (south of the hotel) and Primrose Hill runs in to Regents Park and this was a nice walk even during the cold weather. The Zoo is about a 20 min walk from the hotel, heading south. The Underground Line Jubilee was not working the first 3 or 4 days of our trip, which was very inconvenient. The Jubilee access is about a 5 to 7 min walk from the hotel heading north. We took the bus for the first 3 days and the buses were crowded. A taxi ride from the hotel to Westminster Abbey was about $24.00 American dollars on a non holiday rate Taxi rides on holidays were time and a half. The Thai restaurant near the bus stop near the hotel has good food. In summary, we had a good time and the hotel was generally comfortable, but the management could do a better job! There is a lack of good management.	
Jan 17 2009 	1 of the best i've stayed in!	I booked my trip through show and stay as part of a theatre break and I chose this hotel and it was brilliant.We arrived at 10.00am not expecting to get our room but just leave our luggage and we were surprised and pleased to get shown to our room straight away. (checkin is 3pm) The receptionist was very friendly and helpful.the room was really good. A massive bed with plently of pillows to chose from. It was very comfy. The room was a good size and it was spotless. The bathroom was also spotless with plently of towels.Breakfast was very good also. Plently to hose from and filled us up for the whole day. Every member of staff we spoke to was more than helpful and always friendly. I don't know what peoples problem is with the lifts. We never had to wait. It always came striaght away.I have to say, after staying in quite a few hotels in London over the years, this really was the best. And I can't understand other peoples comments and I can be quite fussy!!!	
Jan 2 2009 	Very poor service	Okay, we travel a lot. We live in London and had friends over and decided to book this hotel which is a 15 minute ride from our house. The hotel is in a great, north-central location, a kilometer from Regents Park, a 10 minute walk from Swiss Cottage tube on the Jubilee Line which gets you to Westminster station in fifteen minutes. So a great value for a London hotel. But it ends there. We booked the executive room for our one night new year's eve stay and the room was big, but the extra roll away bed was not in the room when we got there, and was delivered to us - not set up, just plunked down at the front of the door. The beds were so bouncy that it was impossible to get comfortable. Parking - even by london standards is an OUTRAGEOUS 25 pounds. The hotel staff, who spoke better Arabic than English (!) told us that the hotel validated parking. Not true. They do not and we were incredibly surprised when we checked out. And then the exit machine was broken and we along with other guests had to wait until some dummy returned from break to raise the gate to let us go. Regarding the food: the breakfast room was lined out the door and so we skipped breakfast altogether. But that was not the worst: it was New Year's evening and we, along with our friends and our kids were watching the fireworks from the Executive Lounge, which of course is reserved for 16 year olds and up. Well, together we had 5 youngsters, who were simply sitting watching TV with no-one else in the room except an older couple playing cards and another couple with a young child. A manager happened to walk by (yet again another fellow who spoke more Arabic than English) and actually asked us to leave. When we suggested that he break policy and allow us 20 minutes to watch the nice flat screen and welcome in the new year he said &quot;no, sorry, policy says so&quot;, and he actually had a security guard with him! So we left, although I gave this joker a piece of my mind, big time. The next day, our friends did not have their rooms made up until after 6PM, the shower water was anaemic and the bathrooms were desperately in need of upgrade.The only saving grace of this hotel was the pool and workout room which was good. But the service was SO BAD and the rooms so mediocre that it astounded the mind. In our own city, a world class city, to have such a bad experience is really an outrage. I want to let all Trip Advisor readers know: DO NOT STAY HERE. Go to Gloucester Road and stay at either the Millenium Gloucester or Harrington Hall for a much cheaper rate and minutes from Chelsea, a walk to the museums and a quick ride to Knightsbridge and the Parks. I hope (but doubt) that management will respond to this note, but in our 20 years of travelling in over 90 locations around the world, this was one of the worst experiences ever.	
Jan 1 2009 	Nice Hotel	I stayed in this hotel for two nights with my wife and two year old daughter. Hotel is a bit old fashion. The area is one of the nicest areas in London. We stayed on the 5th floor. We had no problem with the lift as it was the main down side of the hotel in the reviews. The room was spacious and clean, bathroom was spottlessly clean. Double beds were comfy. I did not like the pillows that were too fat. The only problem we experienced was balcony door locked. If anyone would like to get fresh air inside the room, it is not possible. The price included breakfast that was very good and plenty. We had dinner two nigts at the hotel and we liked the ambient. The waiter Serdar Ali was very polite to us.	
Dec 23 2008	hmmmm	Stayed at this hotel the last couple of days with my two children 10 and 9. Ok you can get to Swiss cottage tube in 5 minutes walk max (Exit 1 from underground). M&amp;S and Subway is less than5 mins (from exit 4)underground). To those who don't know know what M&amp;S is, you can stock up on snacks and goodies and wine and more at normal prices rather than the minibar! This hotel is ok but I won't rate it higher than that. The staff were indifferent. The rooms- oh dear.... Marriott please listen, your ghastly feather pillows are too small if using one and too big for using two. This coupled with an over hot room(turned down a/c as much as I could but to no avail) meant a sleepless night. Hideous sleeepless night for me and the kids. Thanks but no thanks.Won't be back.	
Dec 19 2008 	It grows on you	I spent a week there this month. I started at a low weekend rate and then was elevated to a higher weekday rate. When I first stayed here a few years ago, I didn't get a good impression. It was run down. The neighborhood was boring and somewhat threatening, and it just didn't feel right. On this trip though, the price difference was so large and the convenient access to the Jubilee and Metropolitan (finchley road) lines made access to our client's offices easy.The hotel has been re-done in the past few years, and it is clean and comfortable. Maybe it is me, but the area around the hotel feels like a cohesive neighborhood. The biggest issues I had are ultimately minor. The elevators are incredibly inefficient. Meeting somebody in the lobby? leave your room well ahead of time. The Concierge Lounge is below average for a Marriott. While they did have &quot;snacks&quot; available every night, quantities were very limited and when they run out of the first tray or two, they replaced them with onion rings (which were gone after the first two or three people. The breakfast there was acceptable to good, though the toaster was broken all week.The area restaurants are nothing to shout about. You are better off to just hop the Underground and just a couple stops later you are in the heart of the action.By the end of the week, I was looking forward to the &quot;close in, quietness&quot; of the hotel. I found myself relived to be back there at the end of the long day. While you can stay in a small boutique hotels close in for the same price, I would recommend this Marriott for those wanting a full service facility.	
Dec 16 2008 	Good Value Modern London Hotel	I stayed in this hotel by myself in December of 2007 to do some sight seeing and meet up with friends before going to stay with family in other parts of the country. I payed $115 for a successful bid on Priceline, which was about half the rack rate.It's a very pleasant, well appointed, freshly decorated and clean hotel in fairly typical Marriott style. I have stayed in so many 4* London hotels and frankly, they are very disappointing by American standards. Although the lobby and public areas are generally fine, the rooms tend to be small and shabby. You don't get king beds, you get doubles, and in twin rooms you get two singles. However, the twin room in this hotel did have two doubles (they put me in a corner room so it was extra spacious with windows on two sides).I enjoyed lunch in the cafe and took advantage of the free wireless there. I also had dinner in the main restaurant which was absolutely fine, but more like another cafe than a restaurant, with a rather limited and uninspired ( but quite reasonably priced) selection of food and wine (very 3*ish)I made use of the gym, which was small but well equipped and peeked in at the pool, which looked quite inviting.The hotel is about a 7 minute walk from the nearest tube station and then a 15 minute ride into central London. The immediate area is mixed, with some exquisite single dwelling homes and some dingy council flats. However, it is well lit and I felt perfectly safe walking by myself at night to and from the tube station. Despite the name, the hotel is NOT right by Regent's Park.For the price I paid, this hotel was excellent value. If I had paid full rate, I would only be giving it three circles. Next week I will be spending a night in the London Marriott Maida Vale ($106 on Priceline). It will be interesting to see how they compare and I will post a review of that in the new year.	
Dec 8 2008 	Superb London Stay	Having just stayed for four nights, making a long weekend break in London, I cannot honestly think of a better hotel to recommend. The reservation process was so simple and the staff were friendly and helpful every step of the way - something that continued when I actually arrived at the hotel and was maintained throughout my time there. The reception staff and concierge could not do enough for me - from recommending places to go and the best places to see, to getting theatre tickets and suggesting walking tours of London that left me with great memories. The food was superb in the hotel. There had clearly been a recent refurbishment of the hotel as everything appeared to be new and the condition of the hotel exceeded its four star rating. Although, the care and attention each staff member displayed probably means that the Marriott Regents Park is like this every day of the year!! It was truly outstanding, set in a great location to explore London and with staff members who were true service professionals. Mr Marriott and his organisation have something to be very proud of!!!!!!	
Nov 29 2008 	loving it at 40	My friend, her daughter, my daughter and i went to London for my 40th and stayed at the Marriott i had read all the reviews and weas looking for ward to staying there ,as alot of reviews i have read we loved the breakfast there was so much to eat and amble coffee, and the rooms though it was weird when the tv switch itself on at 8am.The staff were really helpful especially letting us leave our luggage when we could not book in and where going watching Wicked. The beds where so comfy and the rooms where spotless. There was a longish walk from the changing rooms to the pool (so don't be shy), you also need a £1 coin for the lockers. We could not fault it at all and would definately stay again	
Nov 17 2008 	Absolutely Fabulous!	Excellent location, extremely helpful/friendly staff, and modern hotel made our week's stay perfect. It's a hidden gem in Swiss Cottage. I dont know why they call it &quot;Marriott Regents Park.&quot; The park is a good 15 minute walk from the hotel. After researching hotels in London for a month, I found the Marriott in Swiss Cottage to be the best fit for us. We arrived just after 3.15pm. Unfortunately, we didn't get our room till 4 pm since it was a busy weekend. It was only problem we had with the hotel.The rest of our stay was perfect. Since I had time to spare on my first day waiting for our room, I researched the local area and walked to the shops and the local Marks &amp; Spencer to buy groceries. The walk to the Swiss Cottage tube station and shops takes about 5-10 minutes. I requested a fridge to keep certain food items refrigerated in our room. As you know, hotel food is expensive anywhere you go.The first thing I noticed was how nice the hotel was smelling. The hotel was built some time ago, but was renovated last year in 2007. The rooms and bathrooms are contemporary, of good size, and the beds are very comfortable. I wont recommend putting 4 people in one room as the hotel suggested you could do.The buffet breakfast is worth having. I was pleasantly surprised at the high quality and variety of foods presented. We had it included in our nightly rate. Try to do the same if you can. Its well worth it!I truly felt &quot;at home&quot; staying at the hotel. You know you're staying in the city, but since the hotel is also located in the upscale residential area of Swiss Cottage/St. Johns Wood, you get the best of both worlds. So if you dont want to be in the dead center of town, Swiss Cottage is 2 stops away on the Jubilee line from Bond Street (Marble Arch, Oxford Circus). Its ideal! I plan on staying at the hotel again when I visit London next spring. I hope you will consider it too!	
Nov 4 2008 	Decent Homely Hotel	I stayed at Marriott Regents Park for 20 days in January 2008 for my business trip. Before going there, I was under an impression that it would be a magnificient hotel (basically on the lines of JW M) but I was unpleasantly surprised to see a small building just like a UK budget hotel.. (somewhat better than a Holiday Inn Express Hotel). The hotel did not stood up to it's Marriott Standard and was quite average. At the end of it, I thought, I should have stayed in another property of Marriott at London, or for that matter a 4 Seasons or a Hilton would have been a better choice.What I Liked about the Hotel??Now that I'd paid for the rooms, I better like something about it.If you forget the fact that it was a Marriott Hotel, there were many things to like about it. It was quite a peaceful hotel in one of the best areas of London, quite close to my work area and the Tube Station but away from Traffic and clamour of Oxford Street. The rooms were nice and huge and not very opulent which gave me a sense of belongingness and homliness. The food was also quite good, the best meal being the Breakfast.The stewards were very polite and overall the atmosphere was to make me feel like being at home.What I didnt like...Many things. Conicerge facility was useless and they didnt seem to be interested in assisting. The rooms were big but not grand. They lacked the feel of a big hotel and everything gave a hint of it being a budget hotel. The dinner was pathetic most of the times and the overall feel was &quot;boring&quot;My Take on it!!Go to this hotel only if your business purpose requires you to be at Central London and that too in the St Johns Wood Area or if you want to visit Lords. The hotel would not give you a feel of being a grand hotel, but would suit the bill if they give you some hefty discounts. You have better options like the Millenium nearby.	
Nov 3 2008 	Think well before you decide.	I should have chosen a more central location.Tube closed for two days , bus was bad .As you see old exterior , and our old window let in far too much traffic noise.The three lifts are large enough , but as reported keep you waiting for ages . Request a low floor.Small bathroom.My breakfast was included , but even the good staff could not make it a good experience , we gave up going for it .Option is to pay for tray room service.Large number of children , yet the good pool looked quiet when I passed .Room comfortable and staff polished.I had a very low room rate , (Marriott 3 day stay).Pleasant location for Primrose Hill and Zoo.I would not choose this hotel again	
Oct 30 2008 	Busman's Holiday	Great, convenient hotel, located in Swiss Cottage area of London,close to St John's Wood and Regenst Park etc . Very easy access to anywhere in London. Stayed in executive room on 6th floor which was very spacious, clean, had modern/new furnishings etc and was well maintained. Great views across town. Bed was very comfortable. Check-in very smooth and staff helpful at all times. Rate was comparable with many others checked on-line. Didn't make breakfast due to business however, restaurant/bar areas (as with other communal areas) are very amenable.	
Oct 15 2008	Short Stay	We recently had a short stay at The Marroitt Regents Park and the stay was everything I wanted it to be.The Reception staff were very friendly and All members of the staff were happy to help and nothing seemed too much trouble.The room was spotless and the bed very comfortable.The food was freshly cooked and very hot. All in all it was a wonderful experience	
Oct 15 2008 	Good Marriott standard rooms - expensive parking	When you book a Marriott, you expect certain things:1 - Comfortable room with good bed etc.2 - Enough room (even in a city center hotel) not to feel claustrophobic in the room3 - Good restaurantThe Marriott Regents Park ticks all these boxes. I could go on about how nice the breakfast was and how stylish the rooms were, but, you do expect these from a Marriott.I would make the following comments to be of specific interest:1 - Location - Excellent. 5 minutes from Swiss Cottage Tube on the Jubilee Line. I was on Picadilly (via a direct train to Green Park) just 20 minutes after leaving the hotel).Also - just off the A41, so easy to drive north to the A1 and M1. We left the hotel and were on the M1 just by Brent Cross just 20 minutes later - fantastic. Therefore, if you want a hotel close to the city center and easy to drive to, then this is a perfect place.2 - Cost of Parking - expensiveI understand that Hotels in London charge for parking, but, 25GBP a night with no discount for residents of the hotel seems a little steep (hotels in central london charge less than this - albeit often just for hotel residents). This latter point would not stop me staying at the hotel again if it was necessary to stay in the St John's Wood vicinity and I wanted Marriott standard rooms and service. But, if I was simply looking for a well connected hotel simply to sleep the night with access to Central London, (i.e. anywhere as long as I could drive by car and pick up a tube to get to London), then I would probably stay elsewhere.	
Sep 8 2008	Not bad but a few suggestions	Clean hotel, located in St John's Wood/Regency Park areas of London (nice neighborhoods) and convieniently located near Swiss Cottage Tube Station making it fairly easy to get anywhere in London. Great free breakfast.Room was clean, minibar well stocked and the bed was SO AWESOMEly comfortable. But don't plan on sleeping late. My room was 5 floors up and a corner room on the &quot;quiet&quot; side of the hotel (opposite side of hotel from busy street). Yet, I was woke up every morning either by traffic noise (garbage trucks, emergency vehicles) or the sliding closet door of my next door neighbor. The walls must be paper thin in the place.Concierge(s) were real hit andmiss; some very friendly and helpful and some nearly clueless about what you were wanting to know about and with huge accents making comprehention all but impossile.The TV selection was BORING! Just a few channels for free and nonsense stuff on each one..	
Sep 2 2008 	Loved the hotel and will return	We stayed with our 2 years old daughter in this hotel at the end of August and we were fully satisfied.Staff was very helpful and comprehensive of the fact that our English is not fluent (we're French), especially the concierge who gave us all good information on the Swiss Cottage area.The location is great and very peaceful. To get to central London you can take the jubilee line or buses at Swiss Cottage station which is 5 minutes walk.Inside the hotel, the swimming pool is great for kids, I tried the sauna and steaming room too and have no negative point on it.The fitness room is well-equiped and not too crowded at night (it's open till 11:00PM).We had a Deluxe room with a Kingsize bed and didn't regret our choice, even if our daughter had to sleep with us. We had everything we needed in the room including iron, tea set and a mini-bar (that we used only to keep our daughter's milk cold ;-)The only questionable things were the TV which was a bit old (a flat screen would be better), but we were not there to watch it; and the elevators which I reckon are incredibly slow but hey, on holidays we can afford a 5 minutes wait!!!Anyway I recommend this hotel and will go back when in London.	
Sep 1 2008 	good and bad	I recently stayed 9 nights at the Marriott Regents Park. I have mixed feelings about the place. It is not exactly at Regents Park. The park is a 15-20 minutes walk which is rather pleasant if you go through the neighborhood and Primrose Hill park.The reviews here that mention the glacially slow elevators are dead on. This is especially a problem during breakfast time in the morning. It turns out there are some back stairways that are not well-marked if you don't mind climbing. Just ask the staff. Ask for a room on a lower floor.Our room was quite pleasant. They have clearly recently renovated the rooms. The bedding is very comfortable. The a/c is powerful. The tv is small with not the greatest picture quality, but I think that is par for the course in London. The room was a decent size. The bathroom was fine but it is odd that there is no exhaust fan. There was also an odd odor at times, but opening the window helped get some fresh air in.There is a busy road behind the hotel. If you are a very light sleeper that might be an issue. You may want to ask for a room on the front of the building which faces a quiet street.The Swiss Cottage tube stop on the Jubilee line is a short walk away. You can reach it by walking through the pleasant grounds of the community center/school across the street. Getting around by tube is quite easy.There are several good restaurants on the main street by the tube. Several Thai restaurants that were very good. There are a number of Indian places as well that looked good but we didn't get around to visiting them. There is a Marks &amp; Spencer food market and a little independent market nearby as well. There is a small internet shop that charges GBP 1 per hour on the strip near the Odeon movie theater.The hotel staff are generally quite nice, especially in the restaurant and the concierge desk.There was a bit of a mix up with our reservation but things were resolved quickly by the front desk staff.My biggest issue was the ridiculous fees. I suppose it is Marriott corporate policy. But $30 a day for internet access is beyond outrageous. And also do not use the phone in your room. Unless you have money to burn that is. We misread the chart in the info book. Rather than costing 99 pence per call for a local call it is 99 pence per minute! Our little 9 minute call to a friend cost US$23!!! That is highway robbery. And there can be no reason for it other than simple greed. Calls to mobile phones cost an unbelievable GBP 2.99 PER MINUTE! That is US$6. Marriott really should be ashamed of itself for stealing from its guests this way.We also knew some folks staying in the hotel at the same time who had their wallets stolen from their room while they were at breakfast. The computer records showed that three entries were made by housekeeping to their room during that time, but their room was not cleaned...just cleaned out apparently. There is a safe in the room. Use it.My roommate used the gym and found it to be good quality. People seemed to like the pool.Overall, we liked the location and the room was relatively comfortable. Breakfast was good enough, but for 9 days there wasn't much variety. London is a crazily expensive place. There is no way I would have paid $270 per night (taxes included) for a room of this caliber anywhere else in the world.	
