	Convenient London City Hotel	Well located about 2 minutes walk from the Tower of London and 30 seconds from Tower Hill Underground Station and 1 Minute from the Tower Gate DLR Station. If the Circle Line is in operation, which it hasn't been most weekends, then the hotel is well located for all of London. The room we had overlooked the train line but we never heard anything. My wife is a very light sleeper and she never had an issue. The bed was comfortable, the room was large and so was the bathroom, with a good shower. The staff were helpful enough, but not that friendly, probably owing to their limited grasp of English in some cases.Continental breakfast was included, it was basic but of a good quality. The toast was a bit of a let down, put out in a basket pre-made, so it was a bit cold. Apart from that everything else was good. Didn't eat in the hotel for dinner. There are plenty of other places around including a few nice places at the Marina near Tower Bridge.	
Dec 12 2008 	Good Value Hotel	Stayed at this hotel last weekend with my mum as we were going to see a show and wanted to do some christmas shopping. Price was good value at 126 pounds for bed and continental breakfast however the prices in the hotel were dear but it was a 5 star hotel so I did expect this. On arrival we had a smooth check in and was told we had been upgraded to one of the new rooms with extra security. Not quite sure what the difference was as never saw any of the other rooms, but I have to say our room was very nice with 2 double beds, marble bathroom, mini bar, bathrobes slippers,Molton Brown toiletries and a great shower which is hard to find in hotels! I was surprised to have to pay for the room when we arrived, as well as a 50 pound pre authoristion whatever that is, (probably in case you take the bathrobes home) and I was worried this would come out of my bank account but I have checked and it hasn;t . The hotel has a swimming pool, steam room, jacuzzi etc which we used, however my skin was really itchy after using it and my mom had 2 bites on her face (looked like nat bites) Not sure if this was anything to do with the faciities but strange how it appeared just after our time in the spa?? We had lunch in the bistro bar which was lovely, BLT and chips, great big portion and very yummy. Breakfast was continental and was OK. I didn;t really want to pay another 16 pounds for us to have english breakast as we intended on having a nice lunch later on! The location of the hotel is OK - 2 mins from Tower Hill Tube, 15 pounds in taxi to Leicester Square. Next time would probably go for a hotel a bit closer to Theatreland but then would probably have to pay more for hotel room so is swings and roundabouts really... All in all, a nice hotel, nice little touches in the room, not so sure about the spa....	
Nov 30 2008 	Excellent for one delightfully decadent night	We spent a single night at this hotel as part of my husband's 27th birthday present from me.We have never stayed in a 5* hotel before so it was a bit of a special occasion and I picked this hotel because it was close to friends and attractions we wanted to visit. The staff were helpful and location very convenient.The lobby was as grand as you would expect, that aside we saw very little of the hotel except for our room. It was a good size with a wonderful view over Tower Bridge - we upgraded on arrival and it is worth it if you are staying there for a special occasion. The room was clean, comfy, spacious and well equipped. We decided to be completely decadent by having breakfast brought to the room the next morning which was delightfully naughty!I think in total with the upgrade and room service we probably spent nearly £200 for just one night but sometimes it is great to splash out - and we did it in style at the City Grange.	
Nov 25 2008 	Sloppy	This is the absolutely worst hotel I have ever stayed at in terms of service. I was in London for business and was booked into an executive suite and there is nothing executive about it but for the size. I had to call housekeeping every single night because I was either missing basic toiletries or something was missing or hadn't been replaced. One night I actually returned to the room and found it messier than when I had left it. I also had a pair of leather glovers taken from my room and when I reported it, I was told that I should have kept them in the room safe. Utter circus.	
Nov 19 2008 	Exceptional Central London Hotel - Outstanding Value	Exceptional value, fabulous rooms, excellent service and outstanding comfort. All that you would expect from a Central London City Hotel and more!Stayed here on an over- nighter for a friends Hen Weekend in September. The hotel was booked as part of a special pre wedding package so we girlies were extremely fortunate to get an expectional rate for such a deluxe Central London hotel.The Grange City being City based (as you would of course expect by the name!!) ; is about 30 seconds walk from Tower Hill tube, and offers fabulous value for money weekend rates in an attempt to draw in the leisure travellers in the absence of the week day City business folk!In our thirties, and enjoying the night away from children, husbands, housework and hum-drum - we all now appreciate a bit of luxury and glamour. The Grange City did not disappoint!!The last time I shared a hotel room with 3 of my best friends I was probably 19, on the outskirts of Playa De Las Americas in a cheap apartment smelling of last nights vodka!! What a pleasant suprise to find that 18 years on those days were just distant memories!!!The room offered a huge amount of living/sleeping space, sumputious beds you could sleep in for days, exceptional wardrobe and hanging space, fabulously styled bathroom with Molton Brown tolietries, an abundance of assorted teas and coffee, chocolates on your pillow and heating/air conditioning controls.The overall feel of the public areas in the hotel are under stated wealth and glamour. Decorated in chic almost art deco style in parts, this hotel would cater to the whims of the most descerning visitor.Continental Breakfast - included in the room rate was a morning delight! A vast array of pastries, fruit, cereals, breads, yoghurt, cold meats, juice etc etc laid on in style and buffet format so you can return as long as your tummy will allow!! For a small fee full English breakfast is also available.The bar although quite darkly lit ,is a comfortable chill out zone and fabulous area to relax with friends. The extensive wine list offers some outstanding vintages and I was pleasantly surprised to find that for a hotel of this calibre and location did not charge sky high prices. My partner - a London cabbie for 16 years , with extensive knowledge (excuse the pun!) of a multitude of Central London hotels; described the Grange City to me pre stay simply as ' Top Draw'!!Tops indeed it was and I wouldn't hesitate to recommend this hotel and it's service to anyone for business or leisure purposes. A true gem in the centre of my beloved London.	
Nov 2 2008 	Excellent hotel great location	We had to be in London for two nights and the company booked this hotel for us. The location is great, right next to Fenchurch St and very handy for Leadenhall.We flew in and out of London City, and the hotel is also excellently placed for that too.Our room was superb, 2 double beds, tastefully furnished and with a tremendous view right over the Tower and Tower Bridge - we were on 10th floor.The staff were friendly. attentive and helpful.We had dinner in the bar one of the nights, good quality and a reasonable price considering the location. I would not hesitate to stay here again, even if I had to pay it myself.	
Oct 8 2008 	Excellent Hotel	I have stayed here on a few occasions now, and every single time we have had a fantastic time. The staff are very helpful, the hotel is very relaxing throughout, from the swimming pool and steam rooms to the restaurants and bars. Everytime I visit London I now book the Grange, and would not thing of going elsewhere.	
Sep 25 2008 	Weekend Bargain	By the time we booked our tickets to the V-Festival in Chelmsford all the local hotel accommodation was fully booked. And we're not really the camping type - I like my home comforts and comfortable bed.We decided to stay in the city of London and travel the 30min train journey each day to the festival.I'd stayed in the Grange Hotel on a previous occassion and thought it plush and with weekend rates so cheap (on par with travelodge rates) it seemed daft not to allow ourselves a little luxury. It was all we wanted. It was great to get back there after the festival to a nice, cosy, comfortable room with Molton Brown toiletries and bathrobes. Bliss.It, as Ronseal would say, does what it says on the tin. It deserves the five star rating. We didn't get to eat in the restaurant other than breakfast, which was a little disappointing and bland, but room rates were so cheap we couldn't complain. The gym is a good size, as is the pool. The spa looks pretty luxurious, although we didn't have time to try out any of the treatments. I think the hotel is geared towards business travellers during the week, which is why the rates drop so steeply at weekends. Beware of the additional VAT that they don't advertise on the room rate.So, if you're in London at the weekend and are happy to be based around the City and Tower Hill area, I can't think of a better place to stay.	
Sep 24 2008 	Just OK!	We stayed in this hotel for two nights, its my no means a 5 star hotel - In fact its more like a 3 star.They could not find our reservation for quite a long time, the receptionist was most rude, she demanded £100 deposit per night as I did not have the pin code for my credit card even though we were not getting a room for several hours due to none being ready, I explained that i would have the code upon my return to the hotel but I was politely informed where the closest bank machine was.Upon return to the hotel to obtain out keys and check into the hotel, again out reservation could not be located for a long time, even though the room had been paid for in full earlier that day.When we arrived to the room the was only enough towels, bathrobes and toileteries for one person, we phoned reception but none were delivered to the room, finally these were obtained after I kicked up a fuss.On the second day after the room had been serviced we were AGAIN left with only 1 set of towels etc.The lesiure facilities were just ok, the changing rooms were tiny and filthy!Over all this was a disappointing hotel and the price is much too high! Therefore I think your money could be spent more wisely	
Sep 23 2008 	Perfect!	Similar to the earlier reviewer, myself and my partner stayed here on the evening of 13th Sep, it was a birthday celebration and it also coinsided with the Thames festival, again same as the previous reviewer, I requested a room with a view on the website and was amazed, we were floor 11 with a fantastic view of Tower Bridge, the Tower of London and the River Thames, we took advantage of using the steam/sauna and swimming pool facilities which were included in our room rate (alot of hotels in London charge extra) the bed was very comfortable and breakfast was more than suitable, if I had to give a negative comment about the hotel this would only be that the bathroom was very small, although this did not matter to us and the complimentary Molton Brown toiletries iin the bathroom were very nice. If I was guaranteed a similar room, I would definately stay at this hotel again. very pleased :)	
Sep 17 2008 	Great Location	quite o.k. for London, but definitely not a 5 star hotel. Location is great - just at the tower underground station. Rooms are small, but comfortable. Staff is friendly and helpful. Check-in and out was fast an without any problems	
Sep 16 2008 	Great hotel!	We have stayed here a couple of times before and will definitely stay again. Very good value for a weekend in London and in a good location. We stayed on the Friday night to visit the Thames Festival on the Saturday and it was really convenient. We booked a standard double room and were upgraded to an executive double room which was really nice. Not much different to the double (other than a bathrobe) but the rooms are excellent anyway. We used the spa facility in the afternoon which was really nice and relaxing. We had continental breakfast in the morning, which was fine and enough choice for us. We thought the price to upgrate to English breakfast too high and the mini bar price for a bottle of water (£2.75) was a bit steep, but apart from that great!	
Sep 15 2008 	Fantastic Views and Great Value	I stayed in the grange City hotel for 2 nights (Friday and Saturday) 13th and 14th of September. The purpose of the trip was an anniversary stay for myself and my husband and this hotel made the trip very special. I have stayed in a few hotels in london previously and used to live there so have a good knowledge of the city. Some reviews state that the hotel is not very central and a little out of the way but considering it is just a step out of Tower Hill tube station and overlooking 2 of the most famous buildings in london (The Tower of London and Tower Bridge) I consider this to be in the heart of london. It is barley a 10 minute tube ride to Embankment station from where you can walk to Covent Garden or Leicester Square in 5 minutes.I booked the hotel after many weeks of searching for a good deal in london on all the usual sites. I have normally settled for a basic holiday inn or thistle hotel but this time I wanted something a bit more special. I ended up booking the hotel through the Grange Hotels website and got 2 nights with continental breakfast for about £188 total. Barely anymore than a basic holiday inn in cost! I had seen other peoples reviews saying that they had been upgraded when staying on a weekend so I took the liberty of asking for a room with a view of the Tower in the comments section of the booking form and on arrival I couldn't have been more pleased when the receptionist said &quot;we have a very nice room for you&quot;. The room was indeed very nice and the view was magical. Panoramic views of the Tower, the bridge and the thames. I could not have asked for better. Check in was also instant which surprised me due to poor reviews I have read previously.This hotel also has a very nice pool which is open for long hours and is quite quiet therefore it is worth bringing along your swimming gear. There is also a jacuzzi, steam room, sauna and aromatherapy room. Breakfast was fairly standard for a continental but I didn't go there for the food. It was nice to have hot boiled eggs along with all the usual pastries, cereals, meat, cheeses, yoghurt and fruit. Our room was also generously stocked with a large selection of teas, coffee and biscuits.Overall our stay was fantastic. It was enhanced by the presence of the Thames festival which with a quick walk across Tower bridge meant we has access to performers and food stalls of all types. I would recomend this hotel to anyone wanting a beautiful location for a weekend stay in london.	
Sep 15 2008 	wonderful	what a wonderful hotel,from the moment you walked in ,nothing was to much trouble,the rooms are out of this world,beds like sleeping on a cloud,spotlessly clean,and the veiw of the tower of london ,and london bridge and the thames from your window ,was breath taking,we booked through ticket tree and had a theartre show as well we saw wicked which was the icing on the cake ,the bufett continatal breakfast was filling ,and well presented,eat as much as you want ,when signing out ,if your train is later in the day ythey will keep your bags for you while you do some more sight seeing ,overall would highly recomend to any one ,	
Sep 4 2008 	Theatre Break	Have just returned from a city/theatre break with friends,what a surprise the hotel was - we were upgraded and we had a view of the Thames and Tower from the rooms. The staff were very helpful, we rated the continental breakfast as excellent,will certainly reccomend to friends and return ourselves	
Sep 1 2008 	definitely a hit	Booked this hotel through lastminute.com. i've had some bad experiences on there recently with so-called 5 star hotels so I was reluctant to use them again but now they have the review facility, it's much better. The reviews for this hotel were good so I booked it. Very glad I did, it was excellent. Fast check in and the rooms were very good. We had 3 rooms, 2 twins and a double. THey upgraded us all. The double room was very close to Fenchurch Street railway but we literally could hear nothing, the triple glazing was excellent. The hotel is less than a minute's walk from Tower Hill tube so ideal if you want to go to the Tower. It took about 20 mins or so to get to the West End by cab but we mainly took the tube. THe pool was very good, I saw some reviews mention peeling paint but it was no more than I would expect from a basement pool with no windows, it was fine. All staff were helpful and friendly and yes they have Molton Brown complimentaries in the bathrooms. Couldn't fault the hotel at all, particularly at this price. We didn't try breakfast at £12 per head, with 6 of us that's a bit pricey and I could see it did look a bit crowded but that had been mentioned by other reviewers. Have to look around a bit for breakfast elsewhere as it's in the City so a bit quiet at weekends but that was fine.	
Aug 29 2008 	Pure luxury - didn't want to come home!	We managed to get a lastminute deal for 3 nights over August Bank Holiday weekend for just £100 a night and it was worth every penny and more! Upon arrival they couldn't locate our booking so gave us an automatic free upgrade to a room with a balcony which was lovely on the warm balmy evenings. The bed was by far the best I have ever slept in and awoke each morning revived and ready to tackle the city. It couldn't be any closer to Tower Hill tube or Fenchurch Street station if it tried, and despite being so close, the hotel is so well sound proofed that by bedtime it was total silence. The pool, sauna, spa and steam facilities were fantastic, despite them being shut for part of one day due to a technical issue. This was quickly resolved however. We didn't go for the breakfast option after reading reviews of it being disappointing and after calculating it would have cost us another £180 to include breakfast! There are, however, within a 2 minute walk plenty of pubs, bars and cafes that serve breakfast from 8am and from as little at £2.95. I really recommend the Crutched Friar pub for any meal - the prices are incredibly reasonable on both food and drink, with a lovely atmosphere and only a couple of hundred metres away. If you want to eat locally, there is a Gourmet Burger Kitchen, Pizza Express, Strada and Wetherspoons within a 5 minute walk, as well as many other independant bars and restaurants. For quality, luxury, proximity to tube and station and staff service, you couldn't hope for better.	
Aug 26 2008 	Great value on a weekend	This isa pricey business hotel during the week, but has some great prices on a weekend (as low as £68 sometimes!) as it seeks to fill rooms.Location isn't great if you are a tourist as although it is close to a few tourist attractions it goes dead in the evening since its on the edge of the business district. If I were a tourist I'd probably prefer to stay in the west end or go across the river around London Bridge where you have more bars and restaurants for the evening. This is great value for a good hotel. Excellent leisure facilities with nice gym, large pool, sauna and steam. The rooms are clean, comfortable and well done out (in a traditional way). However, they are a little small for theAll in all I wouldn't pay their weekday prices to stay here as you can get better hotels for the money elsewhere - however if you get a good deal, this is a great place to stay.	
Aug 24 2008 	Could not have asked for better	Booked through lastminute for a break in London. Fantastic price considering Bank holiday weekend.........great room, brilliant facilities and settings. Good location for a base to explore. Would recommend and will re-visit.	
Aug 20 2008	Nice but a bit pricy	Nice hotel, in a very nice part of town, ie, beside the tower. No need to worry about late nights etc and being mugged.downside - expensive..... you pay for everything, ie, broadband, £10, breakfast £17.50 and it is altready £180 a night for exec room.Excellent sports room and swimming pool.	
Aug 10 2008 	Excellent Hotel	Booked via hotels own website as very good value. Excellent room and very near tube station. Had two showers and a balcony. Think we were upgraded which was much appreciated. Check in very easy and the receptionist was great. Tea / Coffee in the room / flat screen tv and BOSE music station.The only downside was that the continental breakfast was a little bit boring and looked as if loads of people had raided it (you can upgrade to full English) but the setting in both the main restuarant and the overflow &quot;sushi&quot; area was great and it was quite busy. The bar area was not the best and was quite small. Perhaps it should be rellocated to the Sushi area to make use of the outdoor space. No table service which considering how many staff they had on duty seemed to be a let down. It could do with a pianist or better music. Prices were ok but expensive if you want 25 ml of spirits. Pint is four pounds. To sun up, it is in parts a 5* hotel and for the price you cannot beat the facilities. However if you are looking for true five star London luxury (i.e Mayfair etc) and service from the staff then this is perhaps not the right hotel but for a weekend break or business hotel it is excellent.Also each area of the hotel, restuarant, bar etc is stunning. Amazing glass works, marble and designer items.	
Aug 5 2008 	Could recommend this hotel more	This is my second time staying in this hotel; I stayed for August bank holiday this year and last year (Irish Bank Holiday). As we had stayed here last year and had no issues with the hotel we decided to stay here again as we knew our way around using the hotel as a base.Check in was quick and friendly despite a very busy reception area. When we got to our room, a standard double, we were a little disappointed as the room was much smaller than the one we had stayed in last year. I went to reception and spoke with the same receptionist, Georgina, to see if we could change our room. I explained that we had booked the same room as last year but this year’s room was smaller. She was very helpful and upgraded us to an executive room which when we entered discovered was the same room type as last year (we had obviously been upgraded last year and we didn't realise it). The room had a view of the train station below so we just kept the curtains closed but we didn't hear one train or announcement all weekend!!!The room was spotlessly clean, as is the whole hotel. The bathroom is immaculate and I love the toiletries this hotel provides (Molton Brown). They also provide a selection of teas in the room such as peppermint and honey and chamomile. This hotel is a great place to base yourself as a tourist as the tube is right next door and getting from Stanstead to the hotel is so easy. The bus tours all go from London Tower which is just across the road and a taxi from the hotel to Covent Garden costs £10. Staff are friendly and helpful, whether it’s to get taxis or to give you directions.There are only two things the hotel could possibly improve on; 1) The breakfast, there is an additional charge of £8 for an English breakfast - I guess I'm just used to Irish hotels that seem to all serve a hot breakfast. The selection for the continental breakfast is okay but nothing to look forward to in the morning. 2) The pool, it needs a bit of a clean. The pool is dimly lit and it makes the area around it seem grubby and dirty. The changing rooms again are very clean though.I couldn't recommend this hotel enough for its level of cleanliness, location and helpful staff.	
Jul 22 2008 	Great Place	We had a Club Room overlooking the Tower Bridge. Very Nice Room. Their food (room service) is great. I would go back just for the food. Not kidding. Breakfast on the other hand was average. It made me feel like its been mass produced. Didn't like it much.In terms of price, I would say, you can find a very crap room in London in a 4* hotel for almost the same price. (While Grange is a 5* hotel.) I am saying it because few weeks ago we stayed in a crap room at one of the very famous hotels. If you are a business-person and want to stay in a reasonably priced hotel then this is a good deal. (There are certainly many better places in London but pricewise, Grange is value for money.)They also offer free Gym, Swimming Pool and Sauna but we didn't get a chance to go out of the room in the evening.	
Jul 15 2008 	Better than expected...	...after reading previous reviews. I was dreading 1/ check-in taking forever, 2/ railway noise, 3/ nowhere nearby to eat at a weekend, 4/ a scrum for a poor breakfast etc. My fears were unfounded. 1/ On arrival at 7.30pm on a Friday the reception was very busy with people checking in and what looked like a school prom. We were attended to immediately and were in our room within ten minutes. As it was nearly bedtime for our small daughter, I grabbed a takeaway pizza for DW and me from Pizza Express which is about three minutes walk away. 2/ Our room was right on Fenchurch St. station platform but do you know what, we could barely hear the trains, the lines mustn't have any joints there because you don't hear any of that clunkety-clunk train noise. You could just hear some of the station announcements but only just. Yes, we would have loved to have been lucky and got a view of the Tower but we weren't so the curtains just stayed closed most of the time. The bed was comfortable and the bathroom although a bit on the small side was reasonably equipped with nice toiletries.3/ If you head away from the Tower into the city you will find a lot of the places, even little convenience shops closed for the weekend but there's a Wetherspoons pub right across the road for a pint and a bite to eat, the aforementioned Pizza Express is close by too. Not fine dining but acceptable reasonably priced grub. On Saturday night we walked to St .Katherine's dock about five minutes away and went to Strada, a chain Italian restaurant. All good, service, food and price. A bottle of wine was about the same as you'd pay at restaurants where I live and the water for the table was bottled filtered tap water FOC. A pleasant surprise in London not to feel your eyes are being taken out. I suppose some may find the area too quiet at night so if you want some kind of massive rave party your probably out of luck round there.4/ We aren't big breakfast eaters and the selection for Continental breakfast was fine. Cereals, fresh fruit salad, cold meats and cheese, bread rolls etc. Fruit juices weren't of good quality but there was enough selection to have a decent start to the day. The coffee was terrible though, only barely warm when it didn't need to be. Breakfast room was only about a third full at 8.30 am.We booked this hotel based on price and because it had a pool and a central London location with good access to the tube so we could use that to explore London. It fitted the bill on all these points, now if only they could warm their coffee up and upgrade me to an Imperial Super Deluxe Maharajah suite next time!	
Jul 14 2008 	ok but thats it	Booked a tripel room, to dbl beds and a sofabed at c-in (1pm) the eastern european girl told us that housekeeping would come to the room at do the extra bed asap, at midnight this hasnt happent yet, after a phone call asking for a toothbrush and help with the extra bed at man came to our room with the toothbrush, but couldn't be bothed to help us with the sofabed, so we call rep again and after at 1 am, two men came and helped us out with the sofa bed, the room (1018) was in a need of a refurbishment, most af the staff looked really stressed and the Concierge seemed obessed with knowing where we where going every time we aksed them to get a cab,	
Jul 7 2008 	Not a five star service	Surprisingly bad service. Took over 15 minutes to manage the check in, although I was the only person at the counter. had to pay a fortune for internet access, and it's not even Wi-Fi. I had to get a cable in reception, but it was broken. Rooms OK, but hotel personnel suddenly come in to my room early in the morning to deliver a message. The next morning the wake up call came 20 minutes too early.	
Jul 1 2008 	A Great Hotel in the Business District	This was a business trip for my wife that my daughter and I added ouselves to so no choice in Hotel for us. I found the Hotel Very clean, neat and friendly. They were responsive to any requests we had. My wife asked for a room change to the 11th floor after third floor room overlooked a working office. The higher room had a nice view of St Paul's Dome. This is a very convenient spot for Tower of London and BRidge. Right down the block from Tower Hill Stop and accessable to #15 bus.With the window open you could hear some noise from the street but it was not overwhelming. And that was with a prom there that night. It was a 15-20 minute ride to any of the city highlights and I think that was fine! Did not partake it any of the fitness or restaurant amenities. OVerall a good place to stay, even if you don't have business in this part of the city as my wife did.	
Jun 26 2008 	Very impressed with the Grange City Hotel	I stayed at the Grange City with my girlfriend for a long weekend in June. We got a deal on the hotel website including continental breakfast and access to the hotel golf simulator.We arrived early in the morning and had our luggage stored by the efficient concierge (for free) until our rooms were ready. The lobby and other public areas were very well appointed, and the inital impression was very good.This only got better when we got into our room. It was spacious, tastefully furnished, and well equipped with lots of tea/coffee, toiletries etc (probably more coffee than any other hotel I've stayed in!). The entry hallway to the room was nice and wide, and in addition to the bed there was a sofa, two chairs and a coffee table, with a writing table and TV etc along the side of the room. The beds were two singles pushed together, but after the first night the staff made the beds up as one double. The bathroom wasn't enormous, but was a good size and certainly more than sufficient for our needs during our stay. Breakfast was good, and included lots of pastries in addition to the usual continental breakfast. There were signs warning people to eat early at weekends to avoid delays in being seated for breakfast, but when we turned up (late) on Saturday and Sunday mornings there were no delays whatsoever. Our one complaint during the stay was about noise on the Saturday night. There was a ball in a function suite below our room, and the music was quite loud until about midnight. I think this was caused by the opening of a fire door in the function room though because we hadn't noticed the noise until quite late in the evening, and it wasn't such an issue that we bothered to phone the front desk. The hotel location is perfect for tourists and business trips, situated essentially next door to Tower Hill underground station (zone 1) and within 2 minutes walk of the Tower of London and Tower Bridge. The leisure facilities are also noteworthy - the sauna, aromatherapy, steam room and pool were all great, and the whirlpool heavenly after a day pounding the streets of London! We also tried the golf simulator which was amazing fun, though I must say it was my first experience of such things so I really can't compare it to anything else. It seemed quite good though!In summary the Grange City hotel provided a great setting for a weekend in London, with luxurious rooms, good food, very effective staff, and a great location for walking to local sights and getting onto the underground network for going further afield. Highly recommended.	
Jun 24 2008 	So So - more a 4 Star Hotel than a 5 Star Hotel	I've stayed here a couple of times, most recently for the Royal Ascot race meeting - its handy for Bank Tube and the Waterloo and City Line. Generally the location is good for the City, the West End is easily reachable on the Tube from Bank or Tower Hill.It has a superbly equipped gym and a really excellent pool, can't imagine there's a better hotel swimming pool anywhere in London. Bar is ok and not overly pricey and the breakfast again is ok, the standard buffet that you see at most hotels these days. I have to say the hotel falls down a bit on its rooms. I wasn't overly impressed by the cleanliness of my room and I'm not one of those really picky, fussy types. I think the standard of the rooms are more 4 star than 5.Service is god though and can't complain about the staff who all seemed pleasant and helpful.	
Jun 23 2008 	Loved the Grange City Hotel!	We stayed at The Grange City Hotel in London from June 18-22, 2008. We got a family room for approx 400 pounds including VAT. It's located just outside the Tower Hill tube station which is very convenient for visiting The Tower of London and many other attractions. We arrived at the hotel early morning on the 18th as we flew in from Toronto. They had a room for us which was great because we were very tired and feeling a bit jetlagged. We stayed in room 409 overlooking the patio area of the hotel where they host outdoor events. The room itself had two double beds and was very clean. Bathroom had a stand alone shower and a separate bath tub. Hotel staff were very nice and helpful. We chose this hotel as I had previously stayed at The Grange Rochester hotel when last in London but this time wanted a hotel with a pool as we were travelling with our teenage daughter. The hotel has a huge indoor swimming pool, hot tub, steam room, sauna and aromatherapy room. A nice thing to have after a long day of walking and sightseeing. Hotel breakfast (continental) was included on the Saturday and Sunday morning which was plenty for us. All you could eat, boiled eggs, toast, cereals, fruit, cheese, etc. You could upgrade to an English breakfast but we chose not to as this was enough for us. The only thing I would like to mention here is that the hotel is located in a business area so there is little to no nightlife nearby the hotel and on weekends its very quiet. This was suitable to us as we had a teenager with us and weren't looking for nightlife. Also, on the Saturday night there was an event taking place at the hotel for the City of London Police Officers... they had the music going downstairs until about 2:00 a.m. and you could hear the bass from the music as we were on the 4th floor - this would have to be the only negative. When we mentioned to the front desk upon checkout they said that normally these events only go on until midnight but I guess the attendees had asked if they could extend it for a couple of hours, I would assume if you were staying on the third floor right above this area it would have been very difficult to sleep. All in all, a great stay at this hotel and would highly recommend it!	
Jun 21 2008 	Fantastic Value !!!	Booked a friday stay via the hotel website. The rate was for the Room + Breakfast was £80 We were upgraded to an executive room without extra charge. Nicely located next to Tower Hill tube, good for Tower of London, Tower Bridge etcStaff were excellent and it doesn't matter which member of staff you passed in the hotel, they all said hello!Recommended!!	
Jun 7 2008 	Great location for getting about in London	Stayed here for 2 nights to do xmas shopping. Really enjoyed the pool and spa facilities, very attractive lobby, good staff and comfortable room.	
Jun 5 2008 	Good Place to Stay	Stayed at the Grange City Hotel for work in April. Good location for the business district and there was a tube station near. Very close to Tower Bridge and the area there. Did do some sightseeing but it was a work trip. Area pretty dead at night so had to travel a bit to find nightlife.	
May 30 2008 	Mixed experience in busy Conference hotel	We stayed here in May for two nights to attend a City Wedding. Glossy, grand public areas. Our party's accomodatoin experience was mixed - we had a roomy executive room - a bit like a Marriott - plenty of space, small bathroom. Others in our party had a similar room but with balcony, a grand penthouse suite, a small poky room described as a double but almost certainly a single, a twin room with extra bed added described as a family room . Those who used the swimming pool had a great time. We only tried one of the three restaurants - a brasserie which overlooked a nice little patio featuring a part of the London Wall. Our evening meal was punctuated by groups of walkers and a guide explaining all about Roman London. But the food was good and surprisingly good value. Sushi restaurant looked nice. Isis bar OK but full of relativley restrained stag and hen parties the nights we were there. Service was amazingly slow, tea and coffee in the rooms were not replenished and the advertised free paper was tucked away in the lobby. A good quality continental breakfast was served in the restaurant and brasserie - full English was £8 extra. The staff were universally helpful but universally struggling with English so their obvious good intentions were not always realised. Would I stay again for leisure- No but would be fine for a business trip.	
May 29 2008 	Good Value Quiet Location	Stayed here over the bank holiday weekend, for a very reasonable £79 per night.Rooms of a good standard, with continental breakfast included.Paid an additional £8 for the full English breakfast, which was a little disapointing ( the breakfast at the City's sister hotel at Holburn is much better).Room overlooked the railway line at the back of the hotel, which is the price you pay as a smoker I guess, but did not experience any noise, and would be ideal for trainspotters!Well located for the Tower of London. Tube station just around the corner, which you will need if you are after pubs etc, as the area was very quiet in the evening.A very nice hotel, but the Grange Holburn is better located for nightlife etc.	
May 27 2008 	Fantastic Stay	My wife and i stayed here over the May Bank Holiday weekend and thoroughly enjoyed our stay. The hotel was well located (next door to the Tower of London) and easily accessible to the O2 Arena via the Thames Clipper or the DLR (from Tower Gateway). The rooms are very clean and well presented with all the comforts you would expect from a 5 star hotel and was great value for only £70 per night inc breakfast. The staff were very helpful and friendly and the hotel website we used to book our stay was easy to navigate.We would defintely stay here again.	
Apr 30 2008 	Great Place	Stayed here the night before I ran the London Marathon. We got the hotel for £80 per room and it really was superb value. Clean, attentive staff, nice bar and excellent rooms. Breakfast the morning of the run was good and very quick and we needed milk for my 15 month old to drink and this was brought upto our room instantly. Location is fantastic and right on Tower Bridge. 200 yards walk from the tube station. Overall, fantastic and cant wait to go back next year.	
Apr 28 2008	Fantastic Hotel DEFINITELY 5*	Just come back from a hen weekend away at this beautiful hotel. We got our key and walked into our very spacious room (been to other hotels in london and rooms have been much smaller) with huge windows looking over Tower of London and Tower Bridge. Two HUGE double beds, flat screen, lovely bathroom, and it was absolutely spotless. I know a few other people didnt have such a good view, but i think its the luck of the draw. A continental breakfast is included which was lovely, but you have to pay extra for a full English. Less than a minute walk from the tube, and from the river. Whoever has a bad experience of this hotel must have been very unlucky as we had 15 rooms, and i didnt hear a bad word. Would definitely visit again.	
