	a fine establishment for the fashionably drunk	Our stay was spent in a compact cosy room, slightly warmer than desired but providing an excellent base temperature for spending the evening sweating out. More desirable than the average den, a television was provided but not tested as our entertainment was provided - a rich real-time audio/visual experience of atmosphere beyond the window, a fine example of some of King Cross' finest architecture and social investment programmes. The bathroom provided an array of clean surfaces (without being annoyingly greased like you find in so many public houses), and with tiling throughout and a drain in the corner, allowing us to fully relax through into the night - one oversight by the designers is perhaps the lack of barrier preventing fluids escaping into the bedroom.All in all a pleasant night, the polite and motivated staff having no quibble with us engaging with the local red light culture and activities.	
May 30 2008 	Cheap and generally cheerful !	When you get to Kings Cross, tired and carting your luggage, and can just stroll over the road to this tidy hotel, you know why its a good bargain. When I checked in and went to the room it had not been cleaned, despite this being 5:10 p.m., staff very apologetic and I sat in the lobby area for an hour while they sorted this out. They were very nice, although the offer of a cup of tea or a glass of water on a hot day would have made a difference. The room ( single ) was adequate and I think the tiny ensuite is excellent. The street outside is quiet considering where it is in relation to main roads etc. The bed overlooked the street so to have privacy it did mean drawing the curtains. The one thing I would like to see is a lamp as the overhead light is harsh, also an extra socket to charge phone/laptop. I liked the fact you can leave your luggage but be aware that the luggage room is unlocked. Staff were very kind and approachable. £49 is a bargain if you just want a place to sleep. Nearby in Caledonian Road: fantastic Ethiopian restaurant called Addis. Post Office opposite Kings Cross has a little tea bar where you can get a HUGE cuppa ( even had Earl Gray ) for 80p.	
May 27 2008 	Exactly what the website says	My husband and I stayed at Wardonia for one night. The location is perfect if you need to stay near the St. Pancras International Train Station. The room was small and basic but it was clean with an ensuite bathroom and that's all we needed. We got exactly what we were expecting based on the information on the hotel's website.	
May 23 2008 	Great value and location! Grade A	Yes, as others have said, the rooms are tiny but no tinier than other single rooms in London I have stayed in (and the room dimensions are shown on the website!) For a hotel so close to such a huge train station as Kings Cross/St. Pancras, (with connections to almost all of the Tube lines, and airports) the street the hotel is on is remarkably quiet, and my room did face the street. The hotel has all the necessities (plenty of hot water, satellite TV, pleasant staff) and the room is kept sparkling clean (a non-smoking property as well!). At this price I have never stayed in a place with such good value in London. Thank you, Wardonia. 4 1/2 stars (no elevator, but not your fault!)	
May 22 2008 	stunning	my girlfriend and i stayed there 5 night in march.we are completely satisfied.the rooms are small, but that wasnt a problem for us.also hotel is near to st pancras underground and train station so we easily reach the downtown.the staff are also pleasant.	
May 19 2008 	Ideal	My partner and I and a friend stayed at the Wardonia for one night in May 2008. It was ideal. We arrived around 4pm on Saturday which means you can park for free directly outside the hotel. Although it is in the congestion charge area, that is only during the week, so there were no issues. It is around 25 minutes walk to Oxford Street with plenty of shops within 10 minutes... and of course, Kings Cross, St Pancras and Euston within 5 minutes.Check in was smooth. We had rooms in the basement, which were a little musty smelling, but a window open for an hour while we were out got rid of that. Both rooms we had were bigger than those advertised on their website. Yes, they are basic but very clean and cheap (two rooms were £130 - £43ish each) which was significantly cheaper than two rooms elsewhere. Will definitely go again.. would be a good place to stop over for an early journey on Eurostar.	
May 18 2008 	Nothing fancy but a good value for London	I stayed here for two nights. This is a budget hotel, the rooms are small. I stayed in a single room, it was clean and quiet. The hotel is conveniently located near St. Pancras and King's Cross Tube Stations. The hotel staff was nice.	
May 17 2008 	Affordable hotel in a great location	The rooms are extremely small as other reviewers have said. Claustrophobes should stay clear of this place. But spotless bathrooms, clean linens, a comfortable bed, and a working TV at an affordable rate were all we needed to enjoy our stay in London. Hot water was plentiful even for back-to-back showers. There is a laundromat around the corner on Cromer St. That came in handy since we like to travel light. Several restaurants and markets are nearby. The St Pancras station is a five minute walk, which is convenient to the Eurostar.	
May 15 2008 	Small but clean and good located	As I read on other comments the hotel has really tiny rooms and bathrooms, but it hasn't been a problem once get used to it and our room was very clean and well kept.There was no elevator and the stair were really small.The hotel is located in a quiet neighbourhood and very close to King's Cross station.We were two friends and we had a good stay. Probably we'll stay at Wardonia again in future.	
Apr 20 2008 	Small clean cheap convenient	The Hotel is a very short walk from Kings Cross station. It is easy to find and well situated away from the majority of traffic noises. Which for London is impressive.The rooms are very small and basic. However they are spotlessly clean. Which if all you want is a place to lay your head for the night is all you really need.	
Apr 12 2008 	Great Location-Good Price..for London :)	Stayed at the Wardonia hotel for a few days in late March. The reviews were dead on-tiny rooms, but clean and the staff loveable! Would suggest asking for a room not directly above reception though...was a bit noisy...The kings cross underground station is VERY close (which is GREAT!), as are all the amenities you would need (ie: there is a corner store down the block that sells lovely bottles of cheap(ish) wine, and the staff will give you a couple of plastic cups at the hotel if you ask).	
Mar 27 2008 	Basic but clean and comfy	The Wardonia was a very clean and comfortable hotel in this price range. The room was quite small but that was to be expected. On the plus side, the bathroom was light , modern and clean.The location is good, very close to the tube station. The staff was helpful and friendly enough, but not overflowing with hospitality. Basic accomodation for good value. A pleasant stay.	
Mar 11 2008 	Small room and very cheap	Nice hotel. If you don't want to pay for facilities you will not use it is a great place. It was what we needed: a cheap hotel with a private bathroom. The room and the bathroom are tiny, but it is enough if you just want the room to sleep in it.	
Feb 25 2008 	Great for the price!! This the best you get for that little money!!	This hotel is definately worth its cheap price. It is central (easy access all around London), clean, calm and enjoyable. It is simple and cosy. LOCATION: It is only 2minutes walk from Charing Cross Tube station. At the station there are supermarkets, burger king etc. And Access to MANY different London Underground lines.There is are also various number of buses passing the station, so you can get back to the hotel 24/7!!The area is nice in my opinion. I did not feel as unsafe as in loads of other places in London. If you travel alone, then the street might seem a little empty at night to walk alone back to the hotel.In case you are flying to LUTON AIRPORT, this is the perfect spot for you. Next to that tube station there is a railway station called Pancrass and train takes you from there to the airport of Luton. The entire journey from the hotel to the airport takes you max. 1hour! So its closer than Heathrow then in time =) The trains go min. every 15minutes and it takes 45mins to get to the airport. Very comfy and costs £21,80 return.I am happy to recomment this hotel to anyone who doesnt want to pay a fortune for the hotel, but still wants to be centrally located and in a safe and clean environment!Hope you enjoy your stay in London!ROOMS: We had a double ensuite. It was just like they say it is on their webpage. Small! Hardly any space to keep our luggage. But not too small to stay the night at. We are big people (my girlfriend and me are both tall, me being 195cm tall), but we managed to sleep in that bed. Im not saying that it was overly comfy, because of the size of it, but good enough to sleep. Neither of us fell off the bed =)The bed was really new and soft! Above all the room was really clean and they cleaned it every day very nicely and provided new towels also!There was no hairdryer in the room, but you can get one from the reception and keep it in your room for your entire stay!The shower/toilet was spacious enought to shower comfortably and the water was (believe it or not) HOT and came with some power!! This has never happened to me in London before and I have stayed in a hotel there for five times before this. STAFF:The receptionist (met 3 of them in total) was treating us kindly, not overly service-like, but nicely and affectivly! The reception is open 24/7, so there was always someone to let us in and handing us our room key, so we didnt need to carry it with us in hectic London!!	
Jan 13 2008 	Excellent!	I'd heard great things about this hotel so I thought I'd check it out for myself. My friend and I were spending the weekend in London and Kings Cross is a great central location for us. Great for arriving at London Paddington (various tubes accessible) and departing to Heathrow (direct on Piccadilly line).The outside appearance of the hotel is nice and welcoming. It is quaint, with a small reception area and 24 hour reception. There are no elevators and only narrow stairs in this 3 level building, but that was not an issue for us. The rooms are very small but that was also not an issue for us as we were only sleeping there and didn't require space. The room was impeccably clean, the bed was fantastically comfortable and the shower had lots of pressure and made you not want to get out. We didn't hear any noise during our stay and we were in and out at various times of the day and arriving back late evening/early morning. The only downfall is the shower shares the same floor as the small bathroom so once you have a shower it is tough to get dressed because the floor is soaked, but it is doable. For the cheap price of 55GBP per night for a double bed (no breakfast) it was an amazing deal for London. I will definitely stay again and highly recommend it.	
Jan 12 2008 	Nice place so cheap for what you get.	Polite, efficient staff.Nice clean and comfortable room. Very central location, close to eurostar.Good price.	
Jan 9 2008 	Great Location Excellent Facilities Competitive Price and Nice Staff!	After having read some of the recent reviews, I almost wonder whether I stayed in the same hotel.I found the staff efficient and polite throughout. The place was spotless. The mattress was really comfortable.The sheets and towels were very well laundered. The multi channel tv worked and the shower and toilet looked brand new, with great water pressure. The location was excellent.What more, could you want ? It is true to say the rooms are compact. They are well designed though and their form follows function. You do not get a suite, bell boys, glass elevators or room service at this hotel. You do not get a restaurant, business centre, swimming pool etc. Which suited me fine as they wernt charging for any of these either. If I was to compare it to a £300+ a night room Boutique Kensington Hotel, it would come off very badly, being substantially smaller and without the luxuries of room service, mini bars, plasma screens etc but then at a 1/6th of the price, one must make concessions. All in all I would stay there again happily, when my budget dictates. At this price level, clean, safe and functional is all one can expect and it satisfies these criteria and exceeds in some respects.	
Jan 3 2008 	Simple and affordable	Stayed in this hotel for two nights, single room. The room has everything they say it does - a bed, a television, and an ensuite wet room. It doesn't have room for anything else. The space between the bed and the far wall is only big enough for the wetroom door to open. I needed to block the doorway in order to have enough room to open my bag. The hallways are very narrow and the stairs (no lift) rather steep and awkward. If you don't have a lot of luggage and you just need a simple place to rest, there is not much to fault at this hotel.	
Dec 27 2007	Steer clear	Didn't actually stay there but went through a hell of trouble when trying to book the room and then cancel it because of some dreadful reviews of it I found on the internet. Finally, when I called to cancel my room a week in advance, was asked why I wanted to cancel it and was told never to call them again in a rude manner. Very nice! Glad I cancelled.	
Dec 19 2007 	Claustrophobic!	We choose this hotel for its proximity to St.Pancras mainline station, which was indeed absolutely excellent only 2 mins walk.However, when people say this room is small... they mean SMALL! I couldnt believe it, the room was so depressing too, the receptionist seemed annoyed that she had customers, i was seriously annoyed that i had to struggle with a heavy case through narrow corridors and steep stairwells.the bed was nearly the entirety of the room and even it wasnt big enough, for a single person it would be fine but for a 'double'...! you are having a laugh! we both teatered on the edge of the bed, ridiculous. there is a tv and a bedside table. the ensuite is very cramped, not only is it tiny but the door is spring loaded so you have to get hit by the door just to sit on the loo, when you sit on the loo you can rest on the sink!! the shower (particularly stupid) is on the same level as the rest of the bathroom so if you have a shower the whole bathroom gets wet... very safe...For the price of £65 for one night i would have rather stayed anywhere else but if you need St.pancras thats where the hotel excells, if you dont need the station - get a travel lodge!	
Dec 19 2007 	Budget Hotel	The Wardonia Hotel is a clean and friendly budget hotel. If you are looking for a cheap hotel in London and want it to be ok, menaing clean and en-suite, choose the Wardonia.The rooms are very small, there are no closets and you cannot fit more then 1 bag in it. The double bed was small, the tv was small and far away. The bathroom was very small with no space to put you toothbrush or shower gel. There is no break in the floor for the shower, no carpet to put your feet and no towel rack. The bathroom floor will be very wet after you shower, so flip a coin to decide who is going to shower first.The staff were very friendly.There is no lift, so do not bring many bags ... not many space up the stairs either.However, the hotel is better than any of the others around as budget hotels, meaning less than 80 GBP a night.	
Nov 27 2007 	Strongly recommend - clean and quiet	I have very good feelings about this hotel. It's important to read on their website, what you shall expect. It's a low budget hotel, so the expectaions shall be reasonalbe. What I found very important is that it is clean, also bathrooms are very well maintained. (Also it's great that each room has its own bathroom). A very big advantage is location - hotel is 1 minute walk from King's Cross underground station. Although it's a busy place, the street with hotel is quiet and safe. I'm a young girl and safety was important for me - I felt really comfortable walking in the late evening back to hotel. Also staff in reception is very friendly and I felt as a welcomed guess. If I shall think of disadvantages, maybe narrow corridors, stairs and very tiny rooms. My room was actually just a bed and space to walk in to bed ;) So if it is just to spend night, then it's ok, otherwise, could be claustrophobic. But there is TV, which can distract you from thinking how tiny it is ;) One more minus is that walls and ceiling are very thin - so you feel having a group of elephants above you, and I was awoken during night by neighbours who were moving out. But in general I recommend and I think I will sleep there next time I'm in London.	
Nov 24 2007 	Great budget hotel	Me and my boyfriend stayed in this hotel when we went down to London to see a gig.The hotel is very close to St. Pancras train station and King's Cross tube station which was excellent for us.The rooms weren't massive, but they were comfy and clean and had everything you need for a simple overnight stay.The staff were friendly and welcoming and the front desk was manned 24 hours.I would recommend this hotel to anyone wanting a simple, cheap and comfortable stay in London.	
Nov 6 2007 	Great Location	Great location, located right near tube station. Very clean room. No lift so had to carry 2 suitcases up stairs but for price can't really complain. Pub around the corner has nice meals and is a friendly place to go for a drink.	
Nov 2 2007 	great value	First of all, do visit Wardonia's website, that should tell you exactly what you can espect of your rooms. The hotel is impeccably clean, the rooms and corridors have been recently refurbished, so there is none of that tiredness you see in the other hotels/b&amp;b's in Argyle Street. As I said, the rooms are VERY tiny, although I was extremely fortunate to get a double room for the price of a single. The beds are very comfy, brand new mattresses and there was room for my luggage under the bed. Nice, clean blue carpet, large mirror, although my being only 5'3&quot; tall I could only see myself from my neck upwards. Toilet&amp;shower, again, VERY tiny, as some of the other guests have said, you can use the sink while doing your business. Wonderful shower, I should say better than many people have at home, always hot water available. Every day new towels, two for me as I was in a double room. Tv signal very good but unfortunately no ITV or Ch4. Spent my evenings watching snooker on BBC (who would have wanted to see the rugby final anyway?).Locked luggage room very handy for late departures or early arrivals, always someone at reception, very pleasant staff. My room was up only one flight of stairs. The stairs and corridors are very narrow, only room for one at a time although the stairs are not so crooked and high as in the other hotels in the neighbourhood.No breakfast, this is very clearly stated in the website. Plenty of cafes and takeaways around, though. The location honestly couldn't be better, I have stayed many years in the Kings Cross area (well, actually in Argyle St every time), and there are six tube lines and countless buslines in about two minutes' walk away. The street is unexpectedly quiet for such a location, especially considering that the local pub, McGlynn's (quite lively with the natives) is literally 10 meters away round the corner.Most of the other people were staying in this hotel only for one or two nights, so I expect they didn't really mind the size of the rooms. I stayed for 4 nights and didn't want to leave, I felt so comfortable.Hotel Wardonia is such brilliant value that I am booking my next stay there as soon as I know when my spring brake is and bringing Mom and Sis as well. Cheers, Minni	
Oct 23 2007 	The Wardonia opens up a new world for frequent visits to London...	This place was great, a gem in the heart of London if all you want is a place to sleep at night. I loved the fact I knew exactly what I was getting due to the honest descriptions and although there is no food available there are plenty of places nearby that are open early for a variety of choice for breakfast. The location was excellant and in a very quiet well lit street where I felt very safe walking back at night. The room was very clean... no need for flip flops in the (powerful) shower here! My room was bigger than expected and the bed was extremely comfy. I just took a heating element and mug for a morning brew, borrowed a hairdrier from reception, asked for an extra towel and had a great stay... The only downside for some may be the lack of a lift and narrow staircases but apart from that this budget hotel is fab!	
Oct 11 2007 	ok	we just returned from a 6 night stay at the Wardonia and all we can say was that it was super noisy. There is a pub just down around the corner and also teenagers that hang around near the hotel all night till 3-4am 'every' night. When we checked out, there was another lady that wanted to check out early since it was also too noisy.However, the hotel is very clean. Our room was an ensuite and the all-in-one (with shower amonst the sink and toilet combo) worked well. The security also seemed to be ok as there were cameras in the lobby and stairwells. The hotel staff at night was more helpful than the morning one. Our original intention was that we only wanted a clean place to sleep after intense touring, but we realized that a noisy yet clean budget hotel doesn't necessarily do the trick. So if you're thinking about booking here, weigh whether noise makes a difference. If not, definately go for it!	
Sep 4 2007 	Great Value	I just returned from a trip to London, and I have stayed at the Wardonia Hotel for 3 nights. I am a single female traveler, and booked a single room for 40GBP a night. The location is execllent and very close to the tube. I had no trouble finding the place. The room is small, but the hotel put the dimension on their website, so I give them credit for it. [--]The bathroom is compact, but at least it was ensuite and very clean. If you don't try to do anything fancy in the bathroom (like trying to shave), and just take a shower you should be fine. Bring a pair of flip flop if you don't like standing in wet floor. For the amount that I paid, and the amount of time that I actually spent in the room, this is well worth it. There are restaurants in the area so breakfast shouldn't be a problem.A side notes regarding this area. It has definitely cleaned up, and I felt safe going back to the hotel at night. Also, the tube station is pretty easy to navigate around. Only one flight of stairs so that's a plus. Take the Piccadilly line from the airport. Once you get to the King's Cross station, use the Way Out that's leading to King's Cross, the railway station. Once you exit the gate for the tube, look for the exit for Euston Street (South). At the end of the tunnel way, take the right staircase and get on the street. You'll be on Euston Street, and the first block should be Argyle St. Make a left, and Wardonia hotel is at the end of the block.	
Aug 27 2007 	Tiny but Cheap!	After reading the positive reviews on TripAdvisor, my husband and I booked 4 nights at the Wardonia Hotel on Argyle street. Here are our thoughts:LOCATION: Great location! About a minute walk to the Kings Cross/St. Pancras station. [Also, just needed to hop on the Piccadilly line to take us straight to Heathrow airport.] We felt very safe walking around at night and there are some restaurants/grocery stores nearby. PRICE:We paid 60 GBP for 2 twins (a double was not available at the time) per night which we found decent.ROOM:Extremely tiny!!! [But apparently most budget London hotels are.] The pictures of the rooms on their website definitely look bigger/longer than the actual rooms so we were very surprised when we opened the door! The beds were clean and very comfortable. We barely had room for our luggage (1 piece each) which made it more awkward and tight in the room. There is a small TV in the room but no telephone/alarm clock/hair dryer. The washroom was a combo of shower/sink/toilet. Only a curtain separated the shower from the sink/toilet so the whole washroom floor got wet when you showered. SERVICE:Unfortunately, we were not happy with the service of this hotel. First, the evening reception was friendly enough but was not able to answer any of our simple 'tourist' questions: what to do/where to go/restaurants/subway etc. She seemed more clueless than we were! Second, the morning/afternoon receptionist we found unfriendly and a little rude. Further, we scheduled a 'wakeup call/knock' with her for 4:30am (we needed to get to the airport for 6:30am) and she assured us that someone would wake us up. However, when we followed up with the evening receptionist later on just to make sure, we learned that no message was left for her regarding any wakeup call. It would have been a disaster had we not double checked about our wakeup call!OVERALL:Despite the positives that we mentioned about this hotel (price, location...) we would definitely try somewhere else next time we stay in London.	
Aug 19 2007 	Great for Budget Traveler	I stayed at the Wardonia in July with my 8 year old son. Felt perfectly safe as a single woman with a child. As stated in plenty of reviews, the rooms are very, very small and the combination shower/bathroom can be a bit awkward with water all over the floor. However, it was clean and the closeness to the tube and rail stations could not be beat! I would stay there again in a heartbeat. Excellent value for the budget traveler.	
Aug 6 2007 	Perfect London Spot	We stayed in Wardonia hotel for 5 nights and I find it the perfect solution for a cheap but confortable stay in London.Wardonia is a newly rebuilt hotel just 5 minutes away from Kings Cross, St Pancras Station, right in the heart of London.We booked a double room, but it wasn't available, so they gave a twin room, but they arranged a double bed for us.The hotel is in Argyle street, a street full of hotels. The other hotels looked definately lower quality than the Wardonia.The room size is not too bad considering the average size of a London hotel room, expecially considering the price (55£ for a double, 60£ for a twin)The bed was very confortable and the linen spotless. The bathroom was tiny, but very clean. When we first arrived we could smell bleach, which in a way was reassuring.The shower fitted was a Grohe, very powerful and hot. The sink small. There was only space for one person at the time in the bathroom and the mirror steamed up after the shower, but there was another one in the room.There was a television as well with satellite channels.In this hotel don't do breakfast, but it was not a problem at all.The area and the station offer so many coffee places and supermarkets, that it didn't really create any problem to us.Apart from the tube / train station, the area is very well served by buses.I kwow that King's Cross used to be a rough area few years back, but I felt completely safe, even at night.The hotel had a luggage room well organised and safe.The only suggestion I would like to make to the hotel is to add a kettle to the room to make them even more confortable.I recommend this hotel to all those travelers with a low budget but still care about a central and clean enviroment.	
Jul 25 2007 	fantastic place	I needed somewhere to stay for one night only, wasn't bothered about amenities. Just wanted bed and en-suite. Well thats what you get here! And it is just what i needed. En-suite is a pod/capsular set up, shower, sink and toilet in one. Shower was brillant, even had a massage setting and a constant temperature setting. If you set the temp to high and don't switch the light on (it operates the fan) you can have a sauna! I used it to get the creases out of my clothes (only needed twenty minutes)as I had an interview the next day. I had a twin room (408) on the third floor, no lifts but that wasn't a problem. Bed as very soft, it suits me but quite narrow only 2'6&quot; wide. Might be a problem for those who want to stretch out. Only amenty in the room was the telly, 34 channels (freeview), a lot better than some hotels i've stayed in. If you are a person who just needs to bunk down for the night then this is the place for you, centrally located, opposite st pancras station and on top of 6 tube lines, what more could you ask for. Open and reception manned 24hrs and a secure luggage room.The hotel does not do food but you are surrounded by lots of cheap eating places so that shouldn't be a problem.	
Jul 12 2007 	Loved the Wardonia	My husband and I just returned from a trip to England and stayed at the Wardonia Hotel on Argyle Street in London. We chose this after favorable reviews on Trip Advisor and the room was exactly as stated - very small, good price, clean, with a comfortable bed and a one minute walk to the tube station at King's Cross/St. Pancras. Very helpful staff available 24 hrs. Would like to thank all the contributors to Trip Advisor who assisted us with our planning - wonderful trip!Mary D.	
Jun 19 2007 	Great for a weekend in London	I decided to book this hotel due to the good reviews read in this and other web sites. I also checked the web site of the hotel and everything seemed to be like described.Well, I have to say that the expected matched completely what I got there. The hotel is new, perfectly located near King's Cross/St Pancras , Euston and King's Cross Thameslink station (great if you are travelling to Luton). The rooms are clean and functional. They are small, but in the average of any London Hotel (you can get the exact size in sqr feet in the web site of the hotel). Perhaps the windows are not well isolated from light and a a lamp near the beds could be useful.The staff is friendly and the rate quality/price is perhaps the highest for a London hotel. What more to expect of a Central London Hotel for a weekend if you want it only to rest your tired bones after a busy day?	
Jun 16 2007 	Good value	Really good value for money and a great location for the tube and walking distance to Oxford Street shopping.I stayed two nights by myself and would recommend booking a twin bed/double room so you have more space and you get two towels - one of which you'll need to mop up the water from the shower! I would definitely stay again next time i'm in London	
Jun 10 2007 	So Funny Though Verrry Small	I've been there with my 9 years old daughter this week. I agree with previous reviews: great location, nice building, clean rooms. But rooms are very small and worst of all there is incredibly small bathroom. I tried to shave myself in the morning and it was like comitting especially sophisticated suicide. Still, I would recommended it to all poeple that ... do not have to shave in the morning ;-)Shortily, we have had a lot of fun in this hotel and we will take it into consideration in future trips as well.Wloczega from Warsaw	
Jun 4 2007 	Basic clean accomodations - good location	We stayed at the Wardonia for 4 nights at the end of May. It is in a great location just 2 blocks from the King's Cross station where you can get numerous underground lines to most places that you would want to go in London. It is located on a relatively quiet street so you could sleep with the windows open. However, the drapes don't cover the bottom of the window so we had to wear sleeping masks at night because it got light at 4:30 in the morning. The room is very small - could almost touch both walls if I stretched my arms out (and I am not tall). But, the bed was surprisingly comfortable and the room was clean. One thing that would be nice is if they provided a sheet in addition to just the comforter - it got a little too warm some nights. The bathroom is an &quot;all-in-one&quot; where there is not separation in the bathroom between the area where the sink and toilet are and where the shower is. We had never used an all in one before and were a little skeptical about it, but it was actually okay once we got used to it. Since the shower gets the bathroom steamy and you can't prop the bathroom door open, it would be nice to have a mirror on the outside of the room that's low enough for shorter people to use (there was one but it was mounted a little too high on the wall). In addition, one or two more wall mounted shelves to place small toiletries on would be great since you can't put much in the bathroom since it would get wet. One thing to note is that it would be difficult to get up the stairs with a large suitcase since the hotel has no elevator and the stairs are narrow and winding. They do have a luggage room (unlocked) if you need to leave your luggage there for the day. Staff were fine, but not overly friendly. The price was unbeatable at 50 pounds per night.. It's a good place for a short stay if you're going to be out all day. You would not want to stay in the room for long since there isn't even a chair there. But, there is a TV with a fair number of channels.	
May 31 2007 	Good No Frills Option	I came across The Wardonia by chance and didn't realised i've actually walked past the hotel a few times and said it looked a nice place to stay. You can see from the exterior that this is a very well maintained property.The rooms are as sold, very much a 'no frills' budget option. No tea/coffee tray, tiny rooms and no restaurant. For our purposes it was ideal as the room is just somewhere to shower, get ready for a night out and sleep. I don't always get up for breakfast so it was nice that i wasn't paying for it.We booked a twin and apart from being very small and offering no beverage tray our room was very pleasant. There's a little space for your bags at the end of the bed and a hanging rail under the tv shelf so fine for a short stay. The tv had freeview so it was nice to have a couple of music channels. The ensuite shower room was bright, clean and the shower excellent. Beds are very comfortable and the whole building was spotlessy clean and smart.The location is good, a short walk from St Pancras/Kings Cross, easy walking distance of Oxford St, Soho, etc. and good tube/bus links if you're travelling further a field.	
May 23 2007 	Great for small or single people	We live a couple of hours out of London so decided to stay at the Wardonia after seeing a gig in London mid-week.We appreciated the Wardonia's honesty about its no-frills approach. The staff are friendly and the hotel is portered 24 hours, so our late night out wasn't a problem. The rooms are very small, but they are clean and comfortable, and there is room to hang your clothes, stash your suitcase etc.The bathroom was great - the shower was one we'd expect from a much more expensive hotel.The street is quieter than your average London street, so you could probably even sleep with the window open on a hot London night.My only complaint was the size of the bed. The doubles aren't really doubles, more like large singles. My husband and I aren't fat by any means (!) but he's 6ft and quite broad-shouldered, so I spent most of the night hanging off my edge of the bed. Not the best night's sleep!So I would throughly recommend the Wardonia, but only if you're on your own, or if you're a couple of hobbits :o)	
May 16 2007 	Small but perfectly formed - Lovely hotel		
May 11 2007 	Great location and value		
May 6 2007 	Ideal Budget Hotel for Solo Traveller		
Apr 18 2007 	Good value basic property in central LLondon		
Apr 15 2007	Good budget place to shower and sleep - no amenities		
Mar 28 2007 	Great location!!		
Mar 13 2007 	Good Budget Option		
Feb 2 2007 	Very Good Value in a Central Location		
Jan 3 2007 	Very handy recommendation		
Nov 14 2009 	Ottimi prezzi posizione ben collegata		
Nov 9 2009 	Affascinante Londra		
Nov 7 2009 	Optimal für einen Kurztrip		
Oct 13 2009 	La persona que se queje de este hotel no conoce londres		
Oct 11 2009 	très bof et plutôt déprimant		
Oct 1 2009 	Bon rapport qualité-prix pour Londres		
Sep 23 2009 	Espacio suficiente barato limpio... PERFECTO!!!		
Sep 4 2009 	Super Preis-Leistungsverhältnis tolle Lage		
Aug 20 2009 	Posizione eccezionale		
Aug 18 2009	Problem bei Buchungsstornierung online		
Jul 20 2009 	leider heruntergekommen und viel zu klein		
Jul 15 2009 	super emplacement ! Très bon prix pour Londres !		
Jul 6 2009 	Pagas lo que ves		
Jun 23 2009 	unfassbar eng!		
Jun 9 2009 	.....mmmmm		
Mar 18 2009 	non è male		
Feb 28 2009	Jeden Euro wert!		
Feb 23 2009 	Stanze minuscole ma in pieno centro.		
Feb 15 2009 	Extrem kleines Zimmer aber Super-Lage		
Jan 23 2009 	perfetto per un breve soggiorno		
Jan 9 2009 	bellissimo		
Sep 23 2008 	Piccolissimo ma pulito e centrale		
Jul 27 2008 	Hotel Pequeño		
Jul 25 2008 	A misura d'uomo		
Jun 21 2008 	Un'ottima opzione per risparmiare qualche sterlina		
Jun 20 2008 	Muy buena ubicacion		
May 4 2008 	Básico pero buenas comunicaciones		
May 2 2008 	Super Lage aber selbst noch klein wenn man's vorher weiß...		
Mar 23 2008 	No estuvo mal		
Jan 17 2008	Molto carinoanche se le stanze sono piccolissime.		
Jan 16 2008 	básico pero muy aceptable		
Dec 16 2007 	Muy básico y muy pequeño		
Nov 30 2007 	Bueno bonito y barato (para Londres)		
Nov 6 2007 	Prácticolimpio y económico.		
Sep 3 2007 	Ideale per viaggiatori low budget		
Jul 21 2007 	Sehr angenehmer Aufenthalt		
May 21 2007 	pulito e carino		
