	average	hotel clean &amp; well presented. easy access to 02 dlr then one tube stop. room service meal was very poor over priced &amp; not very good. breakfast also poor £17 per person for lukewarm cooked breakfast not ideal.	
Jul 6 2009 	Why stay anywhere else in the Wharf???	The Radisson NPW is a fantastic hotel - the service is excellent, the facilities are excellent and all within easy reach of transport links and the O2. Having organised events at this hotel and hearing the fantastic reviews from my company's travellers, I just had to experience it myself. The restaurant food is not the standard hotel food, it is by far top quality food with top quality service. The spa is excellent and offers relaxing treatments. The rooms are minimalistic, stylish and have all the latest mod-cons. So, whether you stay for business or pleasure, I would highly recommend this hotel.	
Jul 2 2009 	Overnight Stay	Hotel was clean, staff were attentive. Wife ate in restaurant, said the food was very good. Would stay again.	
Jul 2 2009 	A true bit of luxury	A very modern and relaxing hotel with great views over the Thames and the O2 arena.The staff on the bar were very attentive making sure we never had an empty glass.The level of service from the rest of the staff was second to none who would go that extra mile for you.I will be recommending the hotel to my family and friends without a doubt.	
Jun 30 2009 	My new London apartment!	My girlfriend and I were lucky enough to find a late booking deal through a well known site offering mystery hotels at the last minute, as it were. We paid a bargain rate for a 2 night stay 25/26 June while we took in a show, some food and some typical tourist attractions around central London.Getting around London is easy enough, if you're young and virile a ten-minute walk to Canary Wharf tube on the Jubilee line gives great access, or 5 minutes to Blackwall DLR and get a transfer. - The concierge was delighted to help with directions and everything else we could ask for during our stay, unlike other high-end hotel groups which have a knack for hiring sullen front-of-house staff.I never bother writing reviews, but felt strongly enough about the experience we had at the RE:NPW to actually sit here and tell people.The rooms are clean, very well appointed with classy fittings and electronics and the views are special if you get the right room. The staff are delightful, from the cleaners we bumped into on the landing to the guard in the hut at the bottom of the street! - In a city as rushed and frequently unfriendly as London, this is a veritable haven of smiling, polite folks.We'll be back again, even if we can't get such a remarkable deal. - An absolute pleasure, thanks!	
Jun 27 2009 	Great place for the O2	Stayed here for a night out at the O2. Good hotel, nice room and helpful staff. Nearly travelled up on the train but with valet parking at £12.50 for 24 hours was cheaper than parking at our local station.On the night we stayed the Jubilee line was out of action so took advantage of a free ferry from right outside the hotel - couldn't have been easier.On the negatvie side, there's not much else in the area but the bars and shops at Canary Wharf are only 10mins walk away and there are plenty of options at the O2. Will definately stay again the next time we come up to the O2 for an event.	
Jun 26 2009 	Thank You for a Lovely Stay	Stayed in this Hotel for a Concert in O2 Arena, we were only 5 minutes by taxi. The Hotel was fabulous, definately 4*. Staff were fantastic, nothing was a problem. We were a little bit out from the centre of London but it only took 10 minutes to get to the underground. There is a lovely spa at the Hotel which I took to liberty of trying and felt totally refreshed after it. I have already recommended this hotel to my family and friends and when in London again I will definately be booking the Radisson Edwardian New Providence Wharf.	
Jun 23 2009 	Good Modern Hotel	My husband and I got a really good deal for 1 night staying at this hotel as we were attending a concert at the O2 arena. The rooms are a good size with a modern feel and the bathroom is well laid out with a separate bath and showerThe hotel is about a 5-10 minute walk to the DLR station which made getting to the O2 nice an easy.	
Jun 23 2009 	The place to be for West End Girls...........	I chose this hotel for its proximity to the O2 arena as I was going to see the Pet Shop Boys.Fantastic view of the O2 arena from my full length bedroom windowBathroom was divine with massive walk in shower and a seperate HUGE bath tub.Bed was super comfortable and quite an unusual style (Leather)Nice B&amp;O LCD TVAll in all an excellent stay and would throughly recommend	
Jun 22 2009 	Great hotel but ...	Great hotel, good location (although the DLR station might be a bit of a trek for the elderly/infirm). Good size rooms, with excellent decor and high quality fixtures and fittings, and aircon. Good selection of beers and food at the bar (rather expensive though).Really can’t fault the hotel at all, but the practise of including a service charge at every purchase from the bar no matter how big or small (and it seems to be a completely random amount) is at best cheeky and worst downright fraudulent. I have no problem with leaving a tip for waiting on staff when I leave the bar and the staff were all excellent, but the practise of having the staff deciding what tip they want when they serve you is just bizarre. %25 service charge for one bottle of lager ? Its a great hotel, but I woudn't stay there again, as there is are huge amount of hotels to stay in London, and not all of them rip you off...	
Jun 19 2009 	Great deal great room great hotel	We booked a suite for a staggering £164 (ex tax and breakfast) and had a room on the sixth floor. We didn't get a view of the Thames like other rooms, and instead could be nosey into the swanky apartments adjacent, and we did have a tantalising view of the Canary Wharf towers.We travelled to the hotel by DLR from Bank which is effortless, even with a five minute walk once you get off at Blackwall - don't in any way be put off by the fact that it looks like a long way from Canary Wharf. In fact, in the morning there's a free shuttle bus over to CW which cuts out a single change on the DLR at Poplar (and even that isn't inconvenient).The room was what I'd describe as Scandinavian minimalist - don't expect large pictures on the walls, but equally don't think I mean very clinical, cold furnishings. It had a functional yet relaxed feel and the suite itself was pretty spacious. As well as the standard Radisson B&amp;O TVs, there were two iPod-enabled music devices (Bose Soundwave and a alarm clock with iPod dock) - small features, but worthy ones for travellers who don't lug CDs around with them wherever they go. All rooms feature complimentary WiFi - some other chains aren't so generous - and my wife enjoyed a pedicure in the spa. We didn't eat in the restaurant, but did pop into the bar which was cool (but pricey).The service was good, the room service breakfast was great and overall we had a fantastic time here. I'm a closet fan of Radisson hotels but would chose this chain - and this hotel - over a nearby Hilton or Marriott any day.Quick note - we were staying here because we were going to a concert at the O2, which is literally just over the water from the hotel. However, it is still quite tricky to get to if using public transport. You will either need to take a cab (c. £12) or take the DLR to Poplar to change for Canary Wharf to pick up the Jubilee Line to the O2.	
Jun 19 2009 	Very Good Hotel	Excellent helpful service, good position, very clean but is very new, overall a comfortable stay. Would be very happy to stay again when in London.	
Jun 18 2009 	Simply The Best	An outstanding hotel with breathtaking views over the Thames, Rooms are fantastic, in particular the spacious bathroom, and the staff there are second to none Fabulous buffet Breakfast also	
Jun 14 2009 	Outsanding rooms at affordable prices	I stayed at this hotel on the 10 June. The room rate is excellent and the quality of room available is outstanding. The hotel is a short walk (10 mins) from Canary Wharf but also served by DLR and free shuttle. Given it is on the edge of Canary Wharf the size of room is tremendous and the location on the river means many rooms have River Views - the room I had was enormous with 4 windows looking on the River. The hotel is very clean, excellent reception staff who can't do enough for you. The bathroom facilites were again excellent with a large free standing bath (by the window). I will be going back, regularly.	
Jun 14 2009 	Peaceful hotel great to stay at for The O2.	I stayed here with my husband and 6 friends on Saturday 6th June as we were attending a concert at the O2, we arrived half an hour early for check-in but this was not a problem and were immediately given our room keys....we had parked up just outside the hotel and so handed over our car keys for the valet parking, this was completed efficiently and when we requested our car back in the morning - we didn't have to wait longer than 5 minutes. We asked if we could have rooms next to each other but the receptionist said the hotel was full up so could not arrange this...although the hotel never seemed to have many people around. We then went up to our rooms and were pleased with what we saw, the room was spacious with modern decoration...the bathroom was extremely clean and had a lovely deep tub and walk in shower, the bed was comfortable and when we finally went to bed for the night - the curtains kept the light out of the room completely. The bar was very nice, pricey but then it would be the same at any hotel bar....it was relaxing and not over-crowded. We never ate in the restaurant at the hotel so I can't comment on it but we had a quick peek at the breakfast in the morning and it looked very appetising. We received a courtesy call from reception asking if there was anything we needed and not to hesitate to contact them if we did. We got cabs straight outside the hotel over to The O2 as the jubilee line was not running, this was £15 for 4 people which we thought was reasonable....reading the response from the last message where they will be laying on a ferry service over to the O2 would have been extremely helpful but at least we know for next time...as I'm sure we will return to this hotel. In the morning we went for a swim in the small pool across the road from the hotel - it also has a sauna and steam room, apparently there is supposed to be a charge for this but we just said we were from the hotel and they let us in for free...it has floor to ceiling windows and had a great view of The O2. We then went back up to our rooms got ready and checked out which was a quick and easy process.The hotel was really very nice and I would definitely plan to stay here again - the only downside was the jubilee line not running but obviously that is not the hotel's fault and as they have begun the ferry service this will no longer be an issue...We all had a pleasant stay and were happy with the hotel.	
Jun 13 2009 	Perfect....nothing is too much trouble!	One of the best hotels I have ever stayed in! The staff are so polite and friendly, nothing was too much trouble for them, excellent location for the 02, and anything else was easy to get to. Rooms were excellent, with everyting you need whilst your away from home. Would definietly go back again......felt like I was royalty when I was there :)	
Jun 9 2009 	Lovely Hotel - Shame its in Canary Wharf!	I stayed in this hotel for 2 nights - we were going to see a concert in 02 the first night and sight seeing the next day and evening.Unfortunetly there were planned closures on the DLR and the Jubilee line when we arrived we got lost getting to the hotel so ended up getting a taxi (this was no fault of the hotel but be check to see if the lines are running if you are staying during a weekend as they are doing major improvements for the 2012 Olympics). Check in was fast and efficient, with a my credit card number taken in advance for any room service or spa treatments. We were booked into a superior room on the 5th floor. The room was lovely, very modern with a large bathroom, unfortunetly my request for a room overlooking the O2 had been ignored (even the hotel appeared to be very quiet) but this did not matter as I we enjoyed our view over Canary Wharf, The night of the concert we got a taxi back to the hotel from Canary Wharf - it was about £9 and this with a black cab - quite reasonable.During our stay we didnt use the East India DLR but walked up to Canary Wharf tube as we found this line more convienient (about a 15-20min walk) and very safe although you have to cross a couple of busy roads,We used Blackwall once and it was fine - I did not find this area intimidating at all.Check out was again fast and professional - I was told the £100 they had taken from my account for room service charges would be refunded (slight grumble that they didnt mention they had taken £100 out of my account when we checked in!).Conclusion is that this hotel is great for the 02 or Canary Wharf but if your looking to be in and out of the city I would stay somewhere closer. The novelty of Canary Wharf wears off after 5mins - all the shops, restaurants etc are all chain stores and you feel like you could be anywhere. I prefer somewhere with a bit of history and culture. On a side note I notice the manager of the hotel reads these posts - in the welcome book in the rooms it would be useful to include some maps, transport links etc of the wider area - particulary with the planned tube closures this summer and the amount of guests staying in the hotel on a weekend for 02 concerts.	
Jun 8 2009 	A great and unique experience every single time I stayed there!!!	Unusual big rooms for London's hotel with great bathrooms, great staff, great food.Staff very friendly even when I was stressed they had the patience to calm me down...	
Jun 4 2009 	Would be perfect if it were close to anything except Canary Wharf	Excellent service and accomodation. Restaurant fair; drinks overpriced. Says it's &quot;close&quot; to Canary Wharf DLR &quot;10 minute walk&quot; but they lied. more like twenty minutes at a brisk pace. Actually a 10 minute walk to Blackwall station. Walk to Canary Wharf is along very busy highway and was scary. Great views of Thames, especially at dusk. Would have been perfect if more convenient to usual Londo tourist destinations. Nowhere decent to eat except hotel without significant travel.	
Jun 1 2009 	Fantastic friendly quiet and perfect for the O2	When we first pulled upto the hotel we knew it would be good. Staff are fantastic and very friendly. They simply can't do enough for you. They don't hassle you but you know they are around. The hotel itself was quiet. Well it was when we stayed. The rooms are a good size and not overly priced. We stayed for the Beyonce concert at the O2 and found it a perfect location. Just a short taxi trip away and that cost about £15.00. We are waiting for the next concert so that we can book another room!!!	
May 30 2009 	AVOID regularly overbook sent to another hotel 1HR away way out of town	avoid this hotel at all costs. after driving for 4 hours the shift manager told us they had double booked so they sent us to another hotel 1 hour away in london traffic with most of the roads closed off due to building works. thearea resembles a building site not close to the tube network or city centre in an area that doesn't look very safe . next day the daytime shift manager Emile insisted that we return to the edwardian radisson or pay more to stop where we had been put by the evening manager, even though he had assured us we could stay put for the rest of our 3 day visit at no extra cost. staff at the replacement hotel told us the radisson regularly overbook and send irrate guests to them. so book this hotel at your peril. THE REAL LIFE FAULTY TOWERS. WE HAD BOOKED THIS HOTEL FOR MY HUSBAND'S 50TH BIRTHDAY WHICH WAS RUINED	
May 28 2009 	Stunning Hotel but avoid the restaurant	We stayed on a Friday night and the hotel really was fantastic. A modern and stlyish building with a light and airy feel. The rooms were beautiful with a really great bathroom.We loved everything about this hotel apart from the restaurant. We ordered a steak and a burger with a glass of wine each. After 50 minutes we questioned why the food hadn't arrived. They apologised and 10 minutes later our meals came. The restaurant wasn't busy and no explanation was given for the delay. When the bill came they charged us £9 a glass for a (very average) rose wine and added a 12.5% service charge. Poor service, disappointing food and rip off prices. I hate do dwell on the negatives but this really spoiled what would have been a great stay at this hotel	
May 27 2009 	good hotel - would like to go back for weekend break	A good hotel for a good price. Nice and clean and spacious. Deluxe room had a huge bathroom, but no bath! A walk in shower insted which suited me fine but may not suit everyone. Room was lovely - would definately stay again - especially for £100 a night advance booking, given the cost of other 4*plus in the area.Not sure there description of a 10 minute walk to Canary Wharf is correct (centre of it anyway) - unless you walk fast :-) but there is a hotel shuttle bus to take you there in the morning and return at night - last one around 9pm though. £5 in a taxi if you need one.	
May 22 2009 	Fabulous Hotel	We had stayed at the hotel to go to an exhibition in the area. From the point of arrival, the staff had been wonderful and attentive. Stayed in a beautiful room with a wonderful view, though slightly angled. One of the most comfortable beds we have ever slept in. Breakast too was good with a variety of dishes available. Would definitely stay there again and have already recommended the hotel to family and friends.	
May 22 2009 	A modern hotel with traditional values of personal service	I have stayed at a number of hotels around this location and based on star rating alone you are spoilt for choice. The Radisson, however, to me sets itself clearly above the rest by ensuring guests feel &quot;at home&quot;. The hotel is clean, and provides luxury for very good value - the bar and restaurant provide a friendly atmosphere whether staying on business or with your family (I have done both). Any minor complaints I have had were quickly given hotel management attention - overall, I would recommend this hotel to anyone. This is a hotel providing traditional high quality service levels in an age when good personal service is often rare - well done !	
May 14 2009 	Taking Customer Service to Another Level	From the moment we arrived for the weekend we were treated both warmly and respectfully - not a combination many hotels manage. The staff in all areas of the hotel did their absolute best to accommodate our every need without ever making it seem anything other than normal to do so. For me, with very specific dietary requirements, this is essential but so often lacking in other places I have visited. The entire weekend was spent relaxing, from the fabulous Spa treatments - where you are cosseted and cared for, to relaxing in the bar, nothing spoilt the calm, tranquil atmosphere so by the end of the weekend I was the most relaxed I'd been in a very long time! An important factor for this is the design and location of the hotel, for the first time I was able to sleep and was not kept awake by other guests or traffic - a real bonus as I never expect a good night's sleep in a hotel. Specific details: the rooms are so clean you would think they are new, they have many home from home features like soft robes, 'My Music' (allowing you to use your iPod in the room) and staff who will help you with anything you need. The hotel is quiet, bright and modern without being austere. Food from the bar and restaurant is modern in nature, of a high standard and as you would expect, beautifully presented and served by staff who can't do enough for you. If you enjoy a good breakfast, I would say their selection will impress you. You can have everything from a 'Full English' to Fruit Salad. It is all laid out for you to choose from and is even categorised into 'Low' and 'High' Calorie so if you are being good you can still eat your fill with plenty of choice. I wouldn't hesitate to recommend this hotel for both business and leisure and have already done so.	
May 11 2009 	outstanding hotel service and staff. 5star room for 4star money	Book early and take advantage of discounts for doing so, the staff were refreshingly helpful and attentive to our needs (not just the usual lip service experienced elsewhere).Very pleasantly suprised with the room and ensuite facility but particularly and without asking for one a room with a view up the thames.Really great place to stay.	
May 10 2009 	Fantasic Wedding Party	We stayed in Radisson Edwardian NPW in December for our wedding party. The River Room where the venue was held with its amazing view over the Thames and the O2 Arena was the perfect location for our special occasion. Friendly and very helpful Staff made us and our guests feel really special. Thank you All for the fantastic wedding party!!!	
May 8 2009 	Top quality	My stay here over two nights was a wonderful experience to say the very least. Checking in was easy and friendly with the kind offer of newspapers delivered to the room in the mornings which I accepted with thanks.The room was a wonder; huge bed, classy television and the adjoining bathroom was fantastic with its huge bath and even better shower.I ordered room service on the second night and was very plesed with the speed of service and all aspects of the meal. Just down the road is a very pleasant Italian restaurant which I enjoyed on my first night.Check-out was just as friendly and helpful as when we arrived. We needed a taxi arranging to take us to Canary Wharf station. This was done quickly and with a smile.This modern hotel is a great all-rounder and I'd reccomend it to everyone.	
May 1 2009 	A real treat for us	We used the hotel for a special couple of days in London as I had already visited it in connection with my business. The welcome was superb; the rooms was described by my wife as OMIGOD - in the best possible way of course. We felt very good to be there and we will return. The air-conditioning was hard to control and we kept our windows open much of the time - overlooking the river and the O2 - but otherwise it was great - and superb value for such a high standard. The breakfasts were fine but the service was not top-level. We used Mini Cab UK for getting into the West End and South of the river - in a very comfortable (and reasonably-priced) Ford Galaxy - and they sent the same driver each time, which again made us feel special. Here's to the next time!	
Apr 29 2009 	Chic Birthday Getaway	We stayed in the Radisson Edwardian New Providence on 19th-21st April 2009 for my 24th birthday and an event at the O2, I paid extra for a deluxe room &amp; it was well worth it. The room was spacious &amp; modern, with really trendy furniture &amp; gorgeous bathroom. The Decor was really simple but gorgeous, there was so much space, even with a huge glass dask , modern chaiselong, 2 chairs and a big bed in the room. The bathroom is also very spacious and modern with separate bath and shower.The hotel is about a 15-20min walk to Canary Wharf tube station (not 10 like it says on the hotel website!), it was nice weather so this didn't matter. I would recommend printing off directions to find the hotel if you intend to walk as we got a bit lost when we arrived and first tried to find the hotel. However, once you know where you are going the walk is enjoyable &amp; there are plenty of bars/shops/restaurants in Canary Wharf to walk to. We didn't eat in the hotel restaurant but we had drinks in the hotel bar both nights, prices &amp; choice were very good, &amp; service was great! We had room service breakfast on our last morning as a treat, it seemed expensive but we ordered anyway as a last minute luxury. Tthere was so much food, neither of us made a dent on the amount given and the selection they provided was huge &amp; the breakfast was worth the money. Views from the hotel of the O2 arena are amazing, and this is probably the closest hotel to it. (Although it does take some time to get there- it took us about 15mins in a taxi on the way there for £20 &amp; 30mins via the tube/walking on the way back, as its only one stop away). Although not near much, the area is peaceful and the rest of London is very easily accessible with everything being a maximum of about 30-35minutes away. It took us 30minutes all together to get to St Pancras Station and less than that to reach Oxfrod Street, including the 15minute walk from the hotel to the Canary Wharf tube station.We couldn't fault the hotel; the staff did everything to make our stay enjoyable and were really nice, the room was gorgeous &amp; probably one of the nicest looking/well finished hotel rooms I have stayed in. We went for a relaxing/romantic/fun few days of escape and I would definitely recommend the hotel for a couples getaway! I will definitely stay in this hotel again!Note: We had a really, really enjoyable stay in this hotel which I think was also due to the gorgeous sunny weather, walking to the shops / bars / restaurants / tube in Canary Wharf every day for 15 minutes was enjoyable rather than a chore. However, I'm not sure if the is would have been the case if it had been raining, it would have been expensive and more hassle to get around if the weather wasn't so nice. The hotel was amazing, but I wanted to emphasise the fact that you do have to walk/taxi to get anywhere: I will still stay at this hotel again though!!	
Apr 28 2009 	Great hotel lovely food decent location nice shower and bed - what more do you want as a business traveller?!	As a regular business traveller (and a regular of this hotel), I want a number of things1. A hotel that is easy to get to. Ok, so not in the heart of Canary Wharf but a short walk and a shorter shuttle ride. DLR to City Airport/Bank also walking distance2. A hotel that servies decent room service. Room service food is always very good here - steaks done as asked, food hot, good selection. Don't like the undisclosed tray charge, but its a fairly standard charge in hotels. Its hard to find the right button to press on the phone and sometimes it just rings and rings but all in all is good2. A decent bed with decent temperature. Beds are fine, cleanliness is immpeccible, and recent room temperature issues seem to be getting sorted3. A decent shower - not one of those things that you need to stand in a bath and contort your body under to get the miniscule trickle of scalding water! This one has a proper shower with none of the attributes above.4. Quick check in and check outI would have the following quibbles- TV channels are not great, poor reception, not all are available- Room service can be slow- customer service can sometimes leave a little to be desired (e.g. lack of follow up on queries/complaints)- gym is a little pokey and while never used pool it looks small for a decent swimHowever, no hotel is perfect and on balance I would be more than happy to continue to use this hotel.	
Apr 28 2009 	Excellent hotelstafffood 	This hotel is one of the best I have stayed and I have travelled around the world and have stopped at many hotels.I am in London on business every week and I have tried several hotel until I stayed at the Radisson, and because the hotel has such a wonderful atmosphere and staff I have stopped there ever since.Nothing is too much trouble for the staff, the room are very spacious and I love the flat screens TV in the rooms and even in the bathroom in some room I have stayed in.Even the busy general manager Paul Duggan will find time to come and have a friendly chat.I always recommend this hotel to my colleague and friends.	
Apr 25 2009 	Nice enough hotel but not as convenient as I had hoped for O2	My husband and I chose this hotel for it's proximity to the O2, but actually we needn't have bothered with worrying about this. Blackwall station on the DLR is the nearest station to the hotel, however once you emerge from the station it is a bit of a challenge to actually locate the hotel - a challenge made all the more daunting by the horrible neighbourhood (you are right next to Poplar, which is to be avoided!). After our arrival at the hotel I'd already decided that I didn't fancy coming back to Blackwall from the O2 after dark, so we agreed that we would take a taxi to the O2 (it then transpired that the Jubilee line, which services the O2, wasn't running anyway, so a taxi would have been our only option - other than a boat!!). So in summary ... if I were to be going to the O2 again, I would concentrate on finding a hotel in a nicer area and not worry quite so much about its proximity to the O2.As for the hotel itself ... it was nice enough. The reception staff were helpful and the room was adequate (although very very limited TV channels, and the naked female torso on the wall was a bit odd). The breakfast I would say was only adequate.	
Apr 24 2009 	Not completely convinced...	First impressions were mixed - the reception area is very clean and attractive but the lady at the front desk gave me a rather cool reception. I then went up to my (supposedly &quot;deluxe&quot;) room to find that it overlooked the main road and a car park - lovely! I'd asked for a river view room and, whilst I appreciate that hotels can't always accomodate such requests, I really didn't get the impression that the hotel was full or even busy. The room itself was very nicely furnished and immaculately clean. The lighting arrangements seemed to be a bit complicated - I ended up just mashing the switches until a light came on somewhere. I was not happy with the level of traffic noise throughout the night (however, I should point out that I'm used to sleeping in a very quiet room).The bar area was very nice and a good place to relax, but the member of staff who served me didn't seem to be paying attention to what he was doing. The wine he served tasted as though it had been open a long time and stored in a warm place - not nice at all.When I checked out, I got a flavour of why this hotel has had such good reviews - the member of staff who checked me out and the doorman were so friendly and eager to help that I was left with more positive feelings for this hotel. If I stay in this area again I'll consider this hotel, but I'm not ready to recommend it yet.	
Apr 23 2009 	The hotel resold my PREPAID room 	I prepaid 100% of the room charge &amp; was dismayed to find they had oversold the hotel when I arrived there and did not have a room for me. Understand it took me 2 taxi's and a train to travel specially to this hotel which I needed to be at as it was close to the O2 Arena. I still don't understand how they can resell your room if you have paid for 100% of it. Granted they sent me in a taxi to the May Fair Hotel which is in central London but the whole point of me staying there in the first place was to be close to the O2 Arena. No attempt to contact me was made &amp; I find the whole experience incredibly slack!	
Apr 23 2009 	Great Hotel hard to get to	As you would expect from the Radisson, the hotel facilities and staff were excellent. However, we choose the hotel as we were attending an event at the O2 (directly opposite the hotel across the Thames). Firstly, it is quite difficult to get to the hotel using public transport. Secondly, it is frustratingly difficult to get to the O2 considering it is just across the river. We ended up in a taxi which is a £30 round trip.	
Apr 17 2009 	Lovely Place	One of the Best places I have ever stayed. Most of the rooms have an excellent view. Very helpful and good staff, how are eager to help people. Be sure to find the best rates though, I have stayed there 3 times and the rates have fluctuated majorly.	
Apr 16 2009 	Enjoying the Docklands at the Providence Wharf Hotel	This was our second stay at The Radisson Edwardian New Providence Wharf, and we are very happy with it. Courteous and friendly staff, rooms with lovely design and beautiful river view, and also nice breakfasts. We - a pair ofd Norwegian academics - could not ask for more!	
Apr 15 2009 	Nice but not without severe drawbacks	Stayed here for 3 nights. Hotel is very new and nice. Convenient to the O2 and Canary Wharf, but a bit of a trip to Central London. Breakfast was good. Only problem was the A/C, or the lack thereof. Window only partially opens and I faced the highway, so it was either be hot or listen to the traffic. Hotel could've been good, but the sweltering room outweighed any positives.	
Apr 11 2009 	Quiet hotel but wacky room temperature controls	This is a brand new hotel in the Docklands area of London, close to Canary Wharf, where many companies have their headquarters. It's quiet and I had no problems with noise. The rooms, though, are very odd. If the temperature controls function properly, they do so in a way that mystified me. The control panel said the temperature when I arrived was 24 degrees Celsius (which is very warm) so I set it for 19 C. An hour later the temperature panel said 25 C. No matter what I did, I could not get it below 23 C. The air in the room was very dry and the beds were hard, so I did not sleep well. The shower was excessively complicated and stung me with high-powered jets of water that I could not mute. The hot breakfast downstairs was good.	
Apr 7 2009 	Fantastic Hotel with beautiful view	I had looked through tripadvisor, to find the perfect hotel in London. Didn't necessarily need to be in the center of town, but I focused more on how good the hotel was. It was down to the wire between the Marriott or Radisson Edwardian, and I'm really happy to have chosen the later. The rooms where really nice (very modern interior) and good size as well. The bathroom had both a tub and a shower. The only complaint (actually more of a preference) were the beds, they were really hard. Maybe you can get softer beds, but I didn't ask for it.The service was great and I would like to give a special thx to them for making our stay that much better.Location wise, if you wish to stay near the town center, the radisson is not for you. But if you like your evenings to be calm and relaxing this is. The Radisson Edwardian is in a really quiet area of town, so you won't be disturbed by street noise etc.Rooms were cleaned every day, excellent..The Money we spent on the two night stay was certainly worth the money, and I would love to stay there again when I return to London. If you choose to stay here make sure you have the breakfast, it's great and I promise you, you will not leave hungry. The hotel also had a Spa, Business Center (free of charge internet access computers) and more which is also great if you want to stay &quot;home&quot;.Absolutely worth the money......	
Apr 3 2009 	Relaxing venue with friendly helpful staff.	Very friendly well managed hotel. Exceptionally well presented.Staff could not be friendlier, they were a credit to their organisation.	
Mar 31 2009 	Absolutely fantastic hotel I would definitely recommend to anyone fab location for the o2.	We stayed for our friends' birthdays in March 09 and had a wonderful time. All the staff we met were extremely friendly and welcoming. Both us and our friends had one bedroom suites which were absolutely amazing. The room had a huge suite area, bedroom and bathroom which was was fantastic. It had a large rainshower and a tv you could watch whilst in the bath! I also loved the fact that it had a massive mirror on one wall and a small pull out mirror on the opposite wall soThe rooms were modernly decorated and felt very luxurious. The hotel doesn't have parking onsite but you drive right up to the door and the concierge park your car for you. We went to the o2 for the evening and the location of the hotel was brilliant. You can actually see the dome across the river right outside the hotel. It only cost us £15 for the short taxi ride (about 10 minutes) which the hotel staff had offered to book for us when we checked in as there were no jubilee line tubes running that night. It was a perfect weekend! I can't fault it at all.	
Mar 30 2009 	Fabulous rooms. Great staff.	Stayed whilst attending a civil partnership. Stylish yet relaxed hotel. Wonderful rooms. Great staff. Nothing too much trouble.	
Mar 30 2009 	Smart contemporary and efficient.	A very impressive contemporary hotel. I was staying whilst attending a wedding in London, but would very much recommend this hotel to business travellers. Very accessible for Docklands. The staff were very helpful in giving me advice on an area I did not know well at all. Rooms are contemporary and immaculate, as you would expect from a hotel in this class and price range. London hotels often disappoint - not this one.	
Mar 24 2009 	Customer service poor and small things let it down	Being an Events Manager, running conference and incentive events both in the UK and abroad, I spend a fair amount of time in hotels. It never fails to surprise me that time and time again, the difference in service you get when you are organising and event and bringing a large revenue to the hotel, verses arriving with your partner as a normal customer. I booked this hotel for a birthday treat for my other half along with tickets for the 02. On arrival at the hotel, there was no one at the entrance to greet us and valet park our car that had been pre booked. Once sorting the car issue out, check in was smooth.We had a room on the 5th floor, in order to get the lift to work you have to insert your room key. After trying 2 lift, the 3rd lift finally worked, this continued for our entire stay and had 3 different room keys, and still the same problem.First impression of the room, other than it being so hot (28) was good, we had a nice view of the river and the dome. The bathroom was massive, with a large bath, separate shower, big enough of two. The room was well dressed, clean tidy and modern. However small thing start to let it down as you spend more time in the room1) The window only open a fraction, and the air con doesn’t cool the room, in 24hrs we only managed to drop the temp to (24)2) The bedroom curtains dont cover the whole window, leaving a large gap for light to come streaming in, early morning3) The bathroom blind isnt wide enough, so whilst sitting on the toilet, or in the bath you are over looked by the flats opposite you.. not exactly private and the windows are floor to ceiling4) Room service, very limited after 10.30 at night. a ham sandwich of fish pie isn’t exactly what you want at 12 at night when you get back from the 02, thankfully there is a McDonalds 10 mins walk away.5) The bar is small, service is really slow and no where to sit, and it was cheaper to drink from the mini bar in our room, than drinks in the bar. £12.80 for 2 drinks is over priced for this hotel6) Be warned breakfast is £17.00 per person... another stop at MacDonald’sAs i say these are small things, but they do take away from the experience. For me when I stay at a hotel, I expect a level of service and facilities and not have to spend a night sweating, woken early as the curtains dont close, and to be able to use the bathroom in private.Check out was ok, when asked if we enjoyed our stay, we addressed a few of the issues, but the reception staff, didnt really have reply. After a night of only a few hours sleep I didn’t have the time or patience to take the matter any further, but again another small detail that makes you walk away from the hotel feeling negative. A simple we are sorry and we will address these issues would have been enough.And finally... a word of warning, if you like your car and want it to be taken care of... then don’t trust the valet parking service at this hotel. nor expect them to do anything about if they damage your car!After waiting 10 mins for our car, straight away we noticed that the radio Ariel had been snapped off and was now bent in two hanging off the roof.After much arguing, at the entrance of the hotel, with everyone looking on... the hotel's solution was to fix it with black tape. After more arguing it was clear that they were going to do nothing about it, and after spending an hour trying to resolve the matter it was pointless to waste any further time at the hotel. We drove away, far from amused, and will never be staying here again. Not only have they lost two customers, they have also lost any business for any future events I run, and would also have to carefully consider using a Radisson hotels full stop. When will hotels learn that customer services and little touches make the difference. Its not that difficult to get it right, but clearly here. they couldn’t care less.If you simply want somewhere to sleep, close to the o2 then you will be fine, but if you want a hotel experience, for a special event, where you want to feel special and treated as a guest rather than just a number, then don’t bother.	
